context: All units, stay put. response:	We grab him when he flips off the engine.
context: Moron.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams. response:	But in the shadows of all this chaos lurked countless crimes.
context: Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes. response:	Drugs. Prostitution. Weapons smuggling.
context: Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling. response:	The San-Teresa Metropolitan Police maintained
context: Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained response:	a special unit to deal with these crimes.
context: This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes. response:	Two hours in the mud and we didn't find the guy.
context: Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Two hours in the mud and we didn't find the guy. response:	If only a certain idiot hadn't brought the plane down into a swamp...
context: A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Two hours in the mud and we didn't find the guy.\If only a certain idiot hadn't brought the plane down into a swamp... response:	Hey, are you referring to me?
context: The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Two hours in the mud and we didn't find the guy.\If only a certain idiot hadn't brought the plane down into a swamp...\Hey, are you referring to me? response:	Is this the smuggled goods?
context: But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Two hours in the mud and we didn't find the guy.\If only a certain idiot hadn't brought the plane down into a swamp...\Hey, are you referring to me?\Is this the smuggled goods? response:	It's all junk.
context: Drugs. Prostitution. Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Two hours in the mud and we didn't find the guy.\If only a certain idiot hadn't brought the plane down into a swamp...\Hey, are you referring to me?\Is this the smuggled goods?\It's all junk. response:	What's up?
context: The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Two hours in the mud and we didn't find the guy.\If only a certain idiot hadn't brought the plane down into a swamp...\Hey, are you referring to me?\Is this the smuggled goods?\It's all junk.\What's up? response:	I smell latena.
context: a special unit to deal with these crimes.\Two hours in the mud and we didn't find the guy.\If only a certain idiot hadn't brought the plane down into a swamp...\Hey, are you referring to me?\Is this the smuggled goods?\It's all junk.\What's up?\I smell latena. response:	Hey, don't touch that without permission.
context: Two hours in the mud and we didn't find the guy.\If only a certain idiot hadn't brought the plane down into a swamp...\Hey, are you referring to me?\Is this the smuggled goods?\It's all junk.\What's up?\I smell latena.\Hey, don't touch that without permission. response:	Who are you?
context: If only a certain idiot hadn't brought the plane down into a swamp...\Hey, are you referring to me?\Is this the smuggled goods?\It's all junk.\What's up?\I smell latena.\Hey, don't touch that without permission.\Who are you? response:	Officer Hellmandes with the CBP, Customs and Border Protection.
context: Hey, are you referring to me?\Is this the smuggled goods?\It's all junk.\What's up?\I smell latena.\Hey, don't touch that without permission.\Who are you?\Officer Hellmandes with the CBP, Customs and Border Protection. response:	I don't need your permission.
context: Is this the smuggled goods?\It's all junk.\What's up?\I smell latena.\Hey, don't touch that without permission.\Who are you?\Officer Hellmandes with the CBP, Customs and Border Protection.\I don't need your permission. response:	We're the ones running this case-
context: It's all junk.\What's up?\I smell latena.\Hey, don't touch that without permission.\Who are you?\Officer Hellmandes with the CBP, Customs and Border Protection.\I don't need your permission.\We're the ones running this case- response:	You, the ones who let your target get away?
context: What's up?\I smell latena.\Hey, don't touch that without permission.\Who are you?\Officer Hellmandes with the CBP, Customs and Border Protection.\I don't need your permission.\We're the ones running this case-\You, the ones who let your target get away? response:	We'll take over here.
context: I smell latena.\Hey, don't touch that without permission.\Who are you?\Officer Hellmandes with the CBP, Customs and Border Protection.\I don't need your permission.\We're the ones running this case-\You, the ones who let your target get away?\We'll take over here. response:	We haven't even made a list of what we've found yet.
context: Hey, don't touch that without permission.\Who are you?\Officer Hellmandes with the CBP, Customs and Border Protection.\I don't need your permission.\We're the ones running this case-\You, the ones who let your target get away?\We'll take over here.\We haven't even made a list of what we've found yet. response:	So you're refusing a request from the CBP?
context: Who are you?\Officer Hellmandes with the CBP, Customs and Border Protection.\I don't need your permission.\We're the ones running this case-\You, the ones who let your target get away?\We'll take over here.\We haven't even made a list of what we've found yet.\So you're refusing a request from the CBP? response:	Of course not!
context: Officer Hellmandes with the CBP, Customs and Border Protection.\I don't need your permission.\We're the ones running this case-\You, the ones who let your target get away?\We'll take over here.\We haven't even made a list of what we've found yet.\So you're refusing a request from the CBP?\Of course not! response:	It'll just take a little time. Give us some time.
context: I don't need your permission.\We're the ones running this case-\You, the ones who let your target get away?\We'll take over here.\We haven't even made a list of what we've found yet.\So you're refusing a request from the CBP?\Of course not!\It'll just take a little time. Give us some time. response:	Do it as fast as possible.
context: We're the ones running this case-\You, the ones who let your target get away?\We'll take over here.\We haven't even made a list of what we've found yet.\So you're refusing a request from the CBP?\Of course not!\It'll just take a little time. Give us some time.\Do it as fast as possible. response:	Who's that rude man?
context: You, the ones who let your target get away?\We'll take over here.\We haven't even made a list of what we've found yet.\So you're refusing a request from the CBP?\Of course not!\It'll just take a little time. Give us some time.\Do it as fast as possible.\Who's that rude man? response:	An elite investigator on his way to the top, I guess.
context: We'll take over here.\We haven't even made a list of what we've found yet.\So you're refusing a request from the CBP?\Of course not!\It'll just take a little time. Give us some time.\Do it as fast as possible.\Who's that rude man?\An elite investigator on his way to the top, I guess. response:	This is part of the job. Take a look at it when we get home.
context: We haven't even made a list of what we've found yet.\So you're refusing a request from the CBP?\Of course not!\It'll just take a little time. Give us some time.\Do it as fast as possible.\Who's that rude man?\An elite investigator on his way to the top, I guess.\This is part of the job. Take a look at it when we get home. response:	You should be able to get it done tonight.
context: So you're refusing a request from the CBP?\Of course not!\It'll just take a little time. Give us some time.\Do it as fast as possible.\Who's that rude man?\An elite investigator on his way to the top, I guess.\This is part of the job. Take a look at it when we get home.\You should be able to get it done tonight. response:	No fair, Kei!
context: Of course not!\It'll just take a little time. Give us some time.\Do it as fast as possible.\Who's that rude man?\An elite investigator on his way to the top, I guess.\This is part of the job. Take a look at it when we get home.\You should be able to get it done tonight.\No fair, Kei! response:	I'm supposed to take a bath first today!
context: It'll just take a little time. Give us some time.\Do it as fast as possible.\Who's that rude man?\An elite investigator on his way to the top, I guess.\This is part of the job. Take a look at it when we get home.\You should be able to get it done tonight.\No fair, Kei!\I'm supposed to take a bath first today! response:	It's past midnight so it's a new day! I'm first!
context: Do it as fast as possible.\Who's that rude man?\An elite investigator on his way to the top, I guess.\This is part of the job. Take a look at it when we get home.\You should be able to get it done tonight.\No fair, Kei!\I'm supposed to take a bath first today!\It's past midnight so it's a new day! I'm first! response:	Rakebye! That's not how it works!
context: Who's that rude man?\An elite investigator on his way to the top, I guess.\This is part of the job. Take a look at it when we get home.\You should be able to get it done tonight.\No fair, Kei!\I'm supposed to take a bath first today!\It's past midnight so it's a new day! I'm first!\Rakebye! That's not how it works! response:	Don't you doreany always talk about ladies first?
context: An elite investigator on his way to the top, I guess.\This is part of the job. Take a look at it when we get home.\You should be able to get it done tonight.\No fair, Kei!\I'm supposed to take a bath first today!\It's past midnight so it's a new day! I'm first!\Rakebye! That's not how it works!\Don't you doreany always talk about ladies first? response:	Are you listening, Kei?
context: This is part of the job. Take a look at it when we get home.\You should be able to get it done tonight.\No fair, Kei!\I'm supposed to take a bath first today!\It's past midnight so it's a new day! I'm first!\Rakebye! That's not how it works!\Don't you doreany always talk about ladies first?\Are you listening, Kei? response:	Night!
context: You should be able to get it done tonight.\No fair, Kei!\I'm supposed to take a bath first today!\It's past midnight so it's a new day! I'm first!\Rakebye! That's not how it works!\Don't you doreany always talk about ladies first?\Are you listening, Kei?\Night! response:	Dummy.
context: No fair, Kei!\I'm supposed to take a bath first today!\It's past midnight so it's a new day! I'm first!\Rakebye! That's not how it works!\Don't you doreany always talk about ladies first?\Are you listening, Kei?\Night!\Dummy. response:	Oh, when you're out of the bath, sort through that stuff we found.
context: I'm supposed to take a bath first today!\It's past midnight so it's a new day! I'm first!\Rakebye! That's not how it works!\Don't you doreany always talk about ladies first?\Are you listening, Kei?\Night!\Dummy.\Oh, when you're out of the bath, sort through that stuff we found. response:	I'm going to bed.
context: It's past midnight so it's a new day! I'm first!\Rakebye! That's not how it works!\Don't you doreany always talk about ladies first?\Are you listening, Kei?\Night!\Dummy.\Oh, when you're out of the bath, sort through that stuff we found.\I'm going to bed. response:	You're the only one who can smell that stuff, right?
context: Rakebye! That's not how it works!\Don't you doreany always talk about ladies first?\Are you listening, Kei?\Night!\Dummy.\Oh, when you're out of the bath, sort through that stuff we found.\I'm going to bed.\You're the only one who can smell that stuff, right? response:	And who was it who was snoring next to me as I drove home?
context: Don't you doreany always talk about ladies first?\Are you listening, Kei?\Night!\Dummy.\Oh, when you're out of the bath, sort through that stuff we found.\I'm going to bed.\You're the only one who can smell that stuff, right?\And who was it who was snoring next to me as I drove home? response:	S-Snoring? I don't...
context: Are you listening, Kei?\Night!\Dummy.\Oh, when you're out of the bath, sort through that stuff we found.\I'm going to bed.\You're the only one who can smell that stuff, right?\And who was it who was snoring next to me as I drove home?\S-Snoring? I don't... response:	We need to put that stuff into the evidence lockers by 11:00 AM tomorrow.
context: Night!\Dummy.\Oh, when you're out of the bath, sort through that stuff we found.\I'm going to bed.\You're the only one who can smell that stuff, right?\And who was it who was snoring next to me as I drove home?\S-Snoring? I don't...\We need to put that stuff into the evidence lockers by 11:00 AM tomorrow. response:	Got it? Goodnight!
context: Dummy.\Oh, when you're out of the bath, sort through that stuff we found.\I'm going to bed.\You're the only one who can smell that stuff, right?\And who was it who was snoring next to me as I drove home?\S-Snoring? I don't...\We need to put that stuff into the evidence lockers by 11:00 AM tomorrow.\Got it? Goodnight! response:	Kei is a rude boor! Everything he does and says makes me so mad!
context: Oh, when you're out of the bath, sort through that stuff we found.\I'm going to bed.\You're the only one who can smell that stuff, right?\And who was it who was snoring next to me as I drove home?\S-Snoring? I don't...\We need to put that stuff into the evidence lockers by 11:00 AM tomorrow.\Got it? Goodnight!\Kei is a rude boor! Everything he does and says makes me so mad! response:	Don't you think so too?
context: I'm going to bed.\You're the only one who can smell that stuff, right?\And who was it who was snoring next to me as I drove home?\S-Snoring? I don't...\We need to put that stuff into the evidence lockers by 11:00 AM tomorrow.\Got it? Goodnight!\Kei is a rude boor! Everything he does and says makes me so mad!\Don't you think so too? response:	Right?
context: You're the only one who can smell that stuff, right?\And who was it who was snoring next to me as I drove home?\S-Snoring? I don't...\We need to put that stuff into the evidence lockers by 11:00 AM tomorrow.\Got it? Goodnight!\Kei is a rude boor! Everything he does and says makes me so mad!\Don't you think so too?\Right? response:	He doesn't know how to treat a lady.
context: And who was it who was snoring next to me as I drove home?\S-Snoring? I don't...\We need to put that stuff into the evidence lockers by 11:00 AM tomorrow.\Got it? Goodnight!\Kei is a rude boor! Everything he does and says makes me so mad!\Don't you think so too?\Right?\He doesn't know how to treat a lady. response:	You're a lady too, so I believe you understand my frustration, but...
context: S-Snoring? I don't...\We need to put that stuff into the evidence lockers by 11:00 AM tomorrow.\Got it? Goodnight!\Kei is a rude boor! Everything he does and says makes me so mad!\Don't you think so too?\Right?\He doesn't know how to treat a lady.\You're a lady too, so I believe you understand my frustration, but... response:	I thought I smelled strong latena.
context: We need to put that stuff into the evidence lockers by 11:00 AM tomorrow.\Got it? Goodnight!\Kei is a rude boor! Everything he does and says makes me so mad!\Don't you think so too?\Right?\He doesn't know how to treat a lady.\You're a lady too, so I believe you understand my frustration, but...\I thought I smelled strong latena. response:	Hey, Kuroi! That's bad manners!
context: Got it? Goodnight!\Kei is a rude boor! Everything he does and says makes me so mad!\Don't you think so too?\Right?\He doesn't know how to treat a lady.\You're a lady too, so I believe you understand my frustration, but...\I thought I smelled strong latena.\Hey, Kuroi! That's bad manners! response:	Kuroi, you're being a bad girl. Get off-
context: Kei is a rude boor! Everything he does and says makes me so mad!\Don't you think so too?\Right?\He doesn't know how to treat a lady.\You're a lady too, so I believe you understand my frustration, but...\I thought I smelled strong latena.\Hey, Kuroi! That's bad manners!\Kuroi, you're being a bad girl. Get off- response:	Hey! Wait! Kuroi!
context: Don't you think so too?\Right?\He doesn't know how to treat a lady.\You're a lady too, so I believe you understand my frustration, but...\I thought I smelled strong latena.\Hey, Kuroi! That's bad manners!\Kuroi, you're being a bad girl. Get off-\Hey! Wait! Kuroi! response:	Oww!
context: Right?\He doesn't know how to treat a lady.\You're a lady too, so I believe you understand my frustration, but...\I thought I smelled strong latena.\Hey, Kuroi! That's bad manners!\Kuroi, you're being a bad girl. Get off-\Hey! Wait! Kuroi!\Oww! response:	What's this?
context: He doesn't know how to treat a lady.\You're a lady too, so I believe you understand my frustration, but...\I thought I smelled strong latena.\Hey, Kuroi! That's bad manners!\Kuroi, you're being a bad girl. Get off-\Hey! Wait! Kuroi!\Oww!\What's this? response:	Kei...
context: You're a lady too, so I believe you understand my frustration, but...\I thought I smelled strong latena.\Hey, Kuroi! That's bad manners!\Kuroi, you're being a bad girl. Get off-\Hey! Wait! Kuroi!\Oww!\What's this?\Kei... response:	Kuroi, it's too early in the morning...
context: I thought I smelled strong latena.\Hey, Kuroi! That's bad manners!\Kuroi, you're being a bad girl. Get off-\Hey! Wait! Kuroi!\Oww!\What's this?\Kei...\Kuroi, it's too early in the morning... response:	What the heck?
context: Hey, Kuroi! That's bad manners!\Kuroi, you're being a bad girl. Get off-\Hey! Wait! Kuroi!\Oww!\What's this?\Kei...\Kuroi, it's too early in the morning...\What the heck? response:	Are you still asleep? Your bed is downstairs!
context: Kuroi, you're being a bad girl. Get off-\Hey! Wait! Kuroi!\Oww!\What's this?\Kei...\Kuroi, it's too early in the morning...\What the heck?\Are you still asleep? Your bed is downstairs! response:	Kei!
context: Hey! Wait! Kuroi!\Oww!\What's this?\Kei...\Kuroi, it's too early in the morning...\What the heck?\Are you still asleep? Your bed is downstairs!\Kei! response:	Tilarna? Hello?
context: Oww!\What's this?\Kei...\Kuroi, it's too early in the morning...\What the heck?\Are you still asleep? Your bed is downstairs!\Kei!\Tilarna? Hello? response:	Knock it off-
context: What's this?\Kei...\Kuroi, it's too early in the morning...\What the heck?\Are you still asleep? Your bed is downstairs!\Kei!\Tilarna? Hello?\Knock it off- response:	Wh-What is going on?
context: Kei...\Kuroi, it's too early in the morning...\What the heck?\Are you still asleep? Your bed is downstairs!\Kei!\Tilarna? Hello?\Knock it off-\Wh-What is going on? response:	K-Kuroi!
context: Kuroi, it's too early in the morning...\What the heck?\Are you still asleep? Your bed is downstairs!\Kei!\Tilarna? Hello?\Knock it off-\Wh-What is going on?\K-Kuroi! response:	You too? What is going on?
context: What the heck?\Are you still asleep? Your bed is downstairs!\Kei!\Tilarna? Hello?\Knock it off-\Wh-What is going on?\K-Kuroi!\You too? What is going on? response:	We're late!
context: Are you still asleep? Your bed is downstairs!\Kei!\Tilarna? Hello?\Knock it off-\Wh-What is going on?\K-Kuroi!\You too? What is going on?\We're late! response:	Hey, Tilarna! We need to get going!
context: Kei!\Tilarna? Hello?\Knock it off-\Wh-What is going on?\K-Kuroi!\You too? What is going on?\We're late!\Hey, Tilarna! We need to get going! response:	What are you doing?
context: Tilarna? Hello?\Knock it off-\Wh-What is going on?\K-Kuroi!\You too? What is going on?\We're late!\Hey, Tilarna! We need to get going!\What are you doing? response:	Are you not feeling well?
context: Knock it off-\Wh-What is going on?\K-Kuroi!\You too? What is going on?\We're late!\Hey, Tilarna! We need to get going!\What are you doing?\Are you not feeling well? response:	I won't know if you don't tell me.
context: Wh-What is going on?\K-Kuroi!\You too? What is going on?\We're late!\Hey, Tilarna! We need to get going!\What are you doing?\Are you not feeling well?\I won't know if you don't tell me. response:	I know. I know. You need food. Hang on.
context: K-Kuroi!\You too? What is going on?\We're late!\Hey, Tilarna! We need to get going!\What are you doing?\Are you not feeling well?\I won't know if you don't tell me.\I know. I know. You need food. Hang on. response:	Okay, stay home today.
context: You too? What is going on?\We're late!\Hey, Tilarna! We need to get going!\What are you doing?\Are you not feeling well?\I won't know if you don't tell me.\I know. I know. You need food. Hang on.\Okay, stay home today. response:	I'll tell the chief you've got some kind of special alien disease.
context: We're late!\Hey, Tilarna! We need to get going!\What are you doing?\Are you not feeling well?\I won't know if you don't tell me.\I know. I know. You need food. Hang on.\Okay, stay home today.\I'll tell the chief you've got some kind of special alien disease. response:	Get some sleep, okay?
context: Hey, Tilarna! We need to get going!\What are you doing?\Are you not feeling well?\I won't know if you don't tell me.\I know. I know. You need food. Hang on.\Okay, stay home today.\I'll tell the chief you've got some kind of special alien disease.\Get some sleep, okay? response:	Oh, right! The garbage!
context: What are you doing?\Are you not feeling well?\I won't know if you don't tell me.\I know. I know. You need food. Hang on.\Okay, stay home today.\I'll tell the chief you've got some kind of special alien disease.\Get some sleep, okay?\Oh, right! The garbage! response:	She left all this out? Jeez.
context: Are you not feeling well?\I won't know if you don't tell me.\I know. I know. You need food. Hang on.\Okay, stay home today.\I'll tell the chief you've got some kind of special alien disease.\Get some sleep, okay?\Oh, right! The garbage!\She left all this out? Jeez. response:	Kuroi, take care of Tilarna. Be a good girl.
context: I won't know if you don't tell me.\I know. I know. You need food. Hang on.\Okay, stay home today.\I'll tell the chief you've got some kind of special alien disease.\Get some sleep, okay?\Oh, right! The garbage!\She left all this out? Jeez.\Kuroi, take care of Tilarna. Be a good girl. response:	This is terrible...
context: I know. I know. You need food. Hang on.\Okay, stay home today.\I'll tell the chief you've got some kind of special alien disease.\Get some sleep, okay?\Oh, right! The garbage!\She left all this out? Jeez.\Kuroi, take care of Tilarna. Be a good girl.\This is terrible... response:	That bow had a mildey of Moz Nel Valva on it...
context: Okay, stay home today.\I'll tell the chief you've got some kind of special alien disease.\Get some sleep, okay?\Oh, right! The garbage!\She left all this out? Jeez.\Kuroi, take care of Tilarna. Be a good girl.\This is terrible...\That bow had a mildey of Moz Nel Valva on it... response:	She got on top of Kei wearing practically nothing!
context: I'll tell the chief you've got some kind of special alien disease.\Get some sleep, okay?\Oh, right! The garbage!\She left all this out? Jeez.\Kuroi, take care of Tilarna. Be a good girl.\This is terrible...\That bow had a mildey of Moz Nel Valva on it...\She got on top of Kei wearing practically nothing! response:	She's like an animal!
context: Get some sleep, okay?\Oh, right! The garbage!\She left all this out? Jeez.\Kuroi, take care of Tilarna. Be a good girl.\This is terrible...\That bow had a mildey of Moz Nel Valva on it...\She got on top of Kei wearing practically nothing!\She's like an animal! response:	Calm down. That's right. Calm down.
context: Oh, right! The garbage!\She left all this out? Jeez.\Kuroi, take care of Tilarna. Be a good girl.\This is terrible...\That bow had a mildey of Moz Nel Valva on it...\She got on top of Kei wearing practically nothing!\She's like an animal!\Calm down. That's right. Calm down. response:	First, that crossbow.
