context: Timing and Subtitles brought to you by The Little Lover Team @Viki response:	I want to go back to that time again.
context: So, please let me stay with you.\On that day, you fainted at the sound of thunder. Then, you woke up finding yourself small. Correct?\I see! If I do the same thing here again...\So, it's impossible after all.\Are you okay?\I'm a fool after all. I caught a cold.\Hello.\Nomura-san... response:	Dad, Mom, Asuka, how are you doing?
context: On that day, you fainted at the sound of thunder. Then, you woke up finding yourself small. Correct?\I see! If I do the same thing here again...\So, it's impossible after all.\Are you okay?\I'm a fool after all. I caught a cold.\Hello.\Nomura-san...\Dad, Mom, Asuka, how are you doing? response:	I am doing fine here... in T-Tokyo...
context: I see! If I do the same thing here again...\So, it's impossible after all.\Are you okay?\I'm a fool after all. I caught a cold.\Hello.\Nomura-san...\Dad, Mom, Asuka, how are you doing?\I am doing fine here... in T-Tokyo... response:	That's not good. They will know you're lying right away.
context: So, it's impossible after all.\Are you okay?\I'm a fool after all. I caught a cold.\Hello.\Nomura-san...\Dad, Mom, Asuka, how are you doing?\I am doing fine here... in T-Tokyo...\That's not good. They will know you're lying right away. response:	I'm so nervous...
context: Are you okay?\I'm a fool after all. I caught a cold.\Hello.\Nomura-san...\Dad, Mom, Asuka, how are you doing?\I am doing fine here... in T-Tokyo...\That's not good. They will know you're lying right away.\I'm so nervous... response:	Okay then, I'm shooting one more time.
context: I'm a fool after all. I caught a cold.\Hello.\Nomura-san...\Dad, Mom, Asuka, how are you doing?\I am doing fine here... in T-Tokyo...\That's not good. They will know you're lying right away.\I'm so nervous...\Okay then, I'm shooting one more time. response:	Dad, Mom, Asuka, how are you doing?
context: Hello.\Nomura-san...\Dad, Mom, Asuka, how are you doing?\I am doing fine here... in T-Tokyo...\That's not good. They will know you're lying right away.\I'm so nervous...\Okay then, I'm shooting one more time.\Dad, Mom, Asuka, how are you doing? response:	I am doing fine in Tokyo.
context: Nomura-san...\Dad, Mom, Asuka, how are you doing?\I am doing fine here... in T-Tokyo...\That's not good. They will know you're lying right away.\I'm so nervous...\Okay then, I'm shooting one more time.\Dad, Mom, Asuka, how are you doing?\I am doing fine in Tokyo. response:	I know you are worried about me, but I'm fine. I'll send you another video some time.
context: Dad, Mom, Asuka, how are you doing?\I am doing fine here... in T-Tokyo...\That's not good. They will know you're lying right away.\I'm so nervous...\Okay then, I'm shooting one more time.\Dad, Mom, Asuka, how are you doing?\I am doing fine in Tokyo.\I know you are worried about me, but I'm fine. I'll send you another video some time. response:	Good. It went okay.
context: I am doing fine here... in T-Tokyo...\That's not good. They will know you're lying right away.\I'm so nervous...\Okay then, I'm shooting one more time.\Dad, Mom, Asuka, how are you doing?\I am doing fine in Tokyo.\I know you are worried about me, but I'm fine. I'll send you another video some time.\Good. It went okay. response:	Nothing strange is captured.
context: That's not good. They will know you're lying right away.\I'm so nervous...\Okay then, I'm shooting one more time.\Dad, Mom, Asuka, how are you doing?\I am doing fine in Tokyo.\I know you are worried about me, but I'm fine. I'll send you another video some time.\Good. It went okay.\Nothing strange is captured. response:	It's been almost a week since my body became strange like this.
context: I'm so nervous...\Okay then, I'm shooting one more time.\Dad, Mom, Asuka, how are you doing?\I am doing fine in Tokyo.\I know you are worried about me, but I'm fine. I'll send you another video some time.\Good. It went okay.\Nothing strange is captured.\It's been almost a week since my body became strange like this. response:	There is no sign of me getting back to normal.
context: Okay then, I'm shooting one more time.\Dad, Mom, Asuka, how are you doing?\I am doing fine in Tokyo.\I know you are worried about me, but I'm fine. I'll send you another video some time.\Good. It went okay.\Nothing strange is captured.\It's been almost a week since my body became strange like this.\There is no sign of me getting back to normal. response:	Oh right. They won't know it is from Minami-kun even if you send it from there, right?
context: Dad, Mom, Asuka, how are you doing?\I am doing fine in Tokyo.\I know you are worried about me, but I'm fine. I'll send you another video some time.\Good. It went okay.\Nothing strange is captured.\It's been almost a week since my body became strange like this.\There is no sign of me getting back to normal.\Oh right. They won't know it is from Minami-kun even if you send it from there, right? response:	Right. I got a free email address that is different from mine.
context: I am doing fine in Tokyo.\I know you are worried about me, but I'm fine. I'll send you another video some time.\Good. It went okay.\Nothing strange is captured.\It's been almost a week since my body became strange like this.\There is no sign of me getting back to normal.\Oh right. They won't know it is from Minami-kun even if you send it from there, right?\Right. I got a free email address that is different from mine. response:	I had stopped talking to Minami-kun before I knew it although I used to love him when we were kids.
context: I know you are worried about me, but I'm fine. I'll send you another video some time.\Good. It went okay.\Nothing strange is captured.\It's been almost a week since my body became strange like this.\There is no sign of me getting back to normal.\Oh right. They won't know it is from Minami-kun even if you send it from there, right?\Right. I got a free email address that is different from mine.\I had stopped talking to Minami-kun before I knew it although I used to love him when we were kids. response:	I thought we would be like this forever.
context: Good. It went okay.\Nothing strange is captured.\It's been almost a week since my body became strange like this.\There is no sign of me getting back to normal.\Oh right. They won't know it is from Minami-kun even if you send it from there, right?\Right. I got a free email address that is different from mine.\I had stopped talking to Minami-kun before I knew it although I used to love him when we were kids.\I thought we would be like this forever. response:	Okay then, why don't you input your dad's address?
context: Nothing strange is captured.\It's been almost a week since my body became strange like this.\There is no sign of me getting back to normal.\Oh right. They won't know it is from Minami-kun even if you send it from there, right?\Right. I got a free email address that is different from mine.\I had stopped talking to Minami-kun before I knew it although I used to love him when we were kids.\I thought we would be like this forever.\Okay then, why don't you input your dad's address? response:	But, it was Minami-kun who found me when I had become like this.
context: It's been almost a week since my body became strange like this.\There is no sign of me getting back to normal.\Oh right. They won't know it is from Minami-kun even if you send it from there, right?\Right. I got a free email address that is different from mine.\I had stopped talking to Minami-kun before I knew it although I used to love him when we were kids.\I thought we would be like this forever.\Okay then, why don't you input your dad's address?\But, it was Minami-kun who found me when I had become like this. response:	It's more difficult than I expected.
context: There is no sign of me getting back to normal.\Oh right. They won't know it is from Minami-kun even if you send it from there, right?\Right. I got a free email address that is different from mine.\I had stopped talking to Minami-kun before I knew it although I used to love him when we were kids.\I thought we would be like this forever.\Okay then, why don't you input your dad's address?\But, it was Minami-kun who found me when I had become like this.\It's more difficult than I expected. response:	do... ro... bo...
context: Oh right. They won't know it is from Minami-kun even if you send it from there, right?\Right. I got a free email address that is different from mine.\I had stopped talking to Minami-kun before I knew it although I used to love him when we were kids.\I thought we would be like this forever.\Okay then, why don't you input your dad's address?\But, it was Minami-kun who found me when I had become like this.\It's more difficult than I expected.\do... ro... bo... response:	ne.jp... Send!
context: Right. I got a free email address that is different from mine.\I had stopped talking to Minami-kun before I knew it although I used to love him when we were kids.\I thought we would be like this forever.\Okay then, why don't you input your dad's address?\But, it was Minami-kun who found me when I had become like this.\It's more difficult than I expected.\do... ro... bo...\ne.jp... Send! response:	Okay.
context: I had stopped talking to Minami-kun before I knew it although I used to love him when we were kids.\I thought we would be like this forever.\Okay then, why don't you input your dad's address?\But, it was Minami-kun who found me when I had become like this.\It's more difficult than I expected.\do... ro... bo...\ne.jp... Send!\Okay. response:	I can't show what I look like now to my family or friends.
context: I thought we would be like this forever.\Okay then, why don't you input your dad's address?\But, it was Minami-kun who found me when I had become like this.\It's more difficult than I expected.\do... ro... bo...\ne.jp... Send!\Okay.\I can't show what I look like now to my family or friends. response:	So, I am living together with Minami-kun, which is quite fascinating.
context: Okay then, why don't you input your dad's address?\But, it was Minami-kun who found me when I had become like this.\It's more difficult than I expected.\do... ro... bo...\ne.jp... Send!\Okay.\I can't show what I look like now to my family or friends.\So, I am living together with Minami-kun, which is quite fascinating. response:	Minami Kun No Koibito
context: But, it was Minami-kun who found me when I had become like this.\It's more difficult than I expected.\do... ro... bo...\ne.jp... Send!\Okay.\I can't show what I look like now to my family or friends.\So, I am living together with Minami-kun, which is quite fascinating.\Minami Kun No Koibito response:	My Little Lover - Minami Kun No Koibito
context: It's more difficult than I expected.\do... ro... bo...\ne.jp... Send!\Okay.\I can't show what I look like now to my family or friends.\So, I am living together with Minami-kun, which is quite fascinating.\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito response:	N I am not good at talking in similitudes N
context: do... ro... bo...\ne.jp... Send!\Okay.\I can't show what I look like now to my family or friends.\So, I am living together with Minami-kun, which is quite fascinating.\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N response:	N But, I will tell you an amazing story N
context: ne.jp... Send!\Okay.\I can't show what I look like now to my family or friends.\So, I am living together with Minami-kun, which is quite fascinating.\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N response:	N It is not a small story that will fit in a pocket N
context: Okay.\I can't show what I look like now to my family or friends.\So, I am living together with Minami-kun, which is quite fascinating.\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N response:	N God played a trick N
context: I can't show what I look like now to my family or friends.\So, I am living together with Minami-kun, which is quite fascinating.\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N response:	N And a dramatic time began N
context: So, I am living together with Minami-kun, which is quite fascinating.\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N response:	N The shape of happiness you and I imagined N
context: Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N response:	N doesn't have a name N
context: My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N response:	N But if it is a world I create with you, it's okay N
context: N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N response:	N I will write words that won't be erased like a magic N
context: N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N response:	N and turn the page N
context: N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N response:	N We can smile forever N
context: N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N response:	N To a place over the rainbow N
context: N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N\N To a place over the rainbow N response:	N Let's imagine N
context: N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N response:	N a story with a happy ending N
context: N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N response:	It's Chiyomi. Honey, it's Chiyomi.
context: N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\It's Chiyomi. Honey, it's Chiyomi. response:	We are not fine. How could we be?
context: N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\It's Chiyomi. Honey, it's Chiyomi.\We are not fine. How could we be? response:	Because of Chiyomi, we are worn out and look older.
context: N and turn the page N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\It's Chiyomi. Honey, it's Chiyomi.\We are not fine. How could we be?\Because of Chiyomi, we are worn out and look older. response:	Be quiet, honey.
context: N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\It's Chiyomi. Honey, it's Chiyomi.\We are not fine. How could we be?\Because of Chiyomi, we are worn out and look older.\Be quiet, honey. response:	I know you are worried about me, but I am fine.
context: N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\It's Chiyomi. Honey, it's Chiyomi.\We are not fine. How could we be?\Because of Chiyomi, we are worn out and look older.\Be quiet, honey.\I know you are worried about me, but I am fine. response:	I will send you another video some time.
context: N Let's imagine N\N a story with a happy ending N\It's Chiyomi. Honey, it's Chiyomi.\We are not fine. How could we be?\Because of Chiyomi, we are worn out and look older.\Be quiet, honey.\I know you are worried about me, but I am fine.\I will send you another video some time. response:	What? That's all?
context: N a story with a happy ending N\It's Chiyomi. Honey, it's Chiyomi.\We are not fine. How could we be?\Because of Chiyomi, we are worn out and look older.\Be quiet, honey.\I know you are worried about me, but I am fine.\I will send you another video some time.\What? That's all? response:	What's this uncool dress? Did she have these kinds of clothes?
context: It's Chiyomi. Honey, it's Chiyomi.\We are not fine. How could we be?\Because of Chiyomi, we are worn out and look older.\Be quiet, honey.\I know you are worried about me, but I am fine.\I will send you another video some time.\What? That's all?\What's this uncool dress? Did she have these kinds of clothes? response:	She hasn't said anything we want to know.
context: We are not fine. How could we be?\Because of Chiyomi, we are worn out and look older.\Be quiet, honey.\I know you are worried about me, but I am fine.\I will send you another video some time.\What? That's all?\What's this uncool dress? Did she have these kinds of clothes?\She hasn't said anything we want to know. response:	Well, you are right, but aren't we happy just to see that she's doing okay?
context: Because of Chiyomi, we are worn out and look older.\Be quiet, honey.\I know you are worried about me, but I am fine.\I will send you another video some time.\What? That's all?\What's this uncool dress? Did she have these kinds of clothes?\She hasn't said anything we want to know.\Well, you are right, but aren't we happy just to see that she's doing okay? response:	It's so frustrating.
context: Be quiet, honey.\I know you are worried about me, but I am fine.\I will send you another video some time.\What? That's all?\What's this uncool dress? Did she have these kinds of clothes?\She hasn't said anything we want to know.\Well, you are right, but aren't we happy just to see that she's doing okay?\It's so frustrating. response:	That's so unfashionable. Look at that ribbon.
context: I know you are worried about me, but I am fine.\I will send you another video some time.\What? That's all?\What's this uncool dress? Did she have these kinds of clothes?\She hasn't said anything we want to know.\Well, you are right, but aren't we happy just to see that she's doing okay?\It's so frustrating.\That's so unfashionable. Look at that ribbon. response:	Why doesn't she just call us instead of doing annoying thing like this?
context: I will send you another video some time.\What? That's all?\What's this uncool dress? Did she have these kinds of clothes?\She hasn't said anything we want to know.\Well, you are right, but aren't we happy just to see that she's doing okay?\It's so frustrating.\That's so unfashionable. Look at that ribbon.\Why doesn't she just call us instead of doing annoying thing like this? response:	Well, maybe she can't call us because she is scared of you two.
context: What? That's all?\What's this uncool dress? Did she have these kinds of clothes?\She hasn't said anything we want to know.\Well, you are right, but aren't we happy just to see that she's doing okay?\It's so frustrating.\That's so unfashionable. Look at that ribbon.\Why doesn't she just call us instead of doing annoying thing like this?\Well, maybe she can't call us because she is scared of you two. response:	- What are you saying? You are the one who hit her. - Huh?
context: What's this uncool dress? Did she have these kinds of clothes?\She hasn't said anything we want to know.\Well, you are right, but aren't we happy just to see that she's doing okay?\It's so frustrating.\That's so unfashionable. Look at that ribbon.\Why doesn't she just call us instead of doing annoying thing like this?\Well, maybe she can't call us because she is scared of you two.\- What are you saying? You are the one who hit her. - Huh? response:	It's domestic violence, Dad.
context: She hasn't said anything we want to know.\Well, you are right, but aren't we happy just to see that she's doing okay?\It's so frustrating.\That's so unfashionable. Look at that ribbon.\Why doesn't she just call us instead of doing annoying thing like this?\Well, maybe she can't call us because she is scared of you two.\- What are you saying? You are the one who hit her. - Huh?\It's domestic violence, Dad. response:	Hey, you are mistaken. That's not it.
context: Well, you are right, but aren't we happy just to see that she's doing okay?\It's so frustrating.\That's so unfashionable. Look at that ribbon.\Why doesn't she just call us instead of doing annoying thing like this?\Well, maybe she can't call us because she is scared of you two.\- What are you saying? You are the one who hit her. - Huh?\It's domestic violence, Dad.\Hey, you are mistaken. That's not it. response:	Right? Right? That's not it, right?
context: It's so frustrating.\That's so unfashionable. Look at that ribbon.\Why doesn't she just call us instead of doing annoying thing like this?\Well, maybe she can't call us because she is scared of you two.\- What are you saying? You are the one who hit her. - Huh?\It's domestic violence, Dad.\Hey, you are mistaken. That's not it.\Right? Right? That's not it, right? response:	Hello, this is Horikiri residence. Chiyomi?!
context: That's so unfashionable. Look at that ribbon.\Why doesn't she just call us instead of doing annoying thing like this?\Well, maybe she can't call us because she is scared of you two.\- What are you saying? You are the one who hit her. - Huh?\It's domestic violence, Dad.\Hey, you are mistaken. That's not it.\Right? Right? That's not it, right?\Hello, this is Horikiri residence. Chiyomi?! response:	- You know what... - Eh? Chiyomi? Hey, hey.
context: Why doesn't she just call us instead of doing annoying thing like this?\Well, maybe she can't call us because she is scared of you two.\- What are you saying? You are the one who hit her. - Huh?\It's domestic violence, Dad.\Hey, you are mistaken. That's not it.\Right? Right? That's not it, right?\Hello, this is Horikiri residence. Chiyomi?!\- You know what... - Eh? Chiyomi? Hey, hey. response:	Hey, Chiyomi? It's you?
context: Well, maybe she can't call us because she is scared of you two.\- What are you saying? You are the one who hit her. - Huh?\It's domestic violence, Dad.\Hey, you are mistaken. That's not it.\Right? Right? That's not it, right?\Hello, this is Horikiri residence. Chiyomi?!\- You know what... - Eh? Chiyomi? Hey, hey.\Hey, Chiyomi? It's you? response:	We watched it now. What have you been doing?
context: - What are you saying? You are the one who hit her. - Huh?\It's domestic violence, Dad.\Hey, you are mistaken. That's not it.\Right? Right? That's not it, right?\Hello, this is Horikiri residence. Chiyomi?!\- You know what... - Eh? Chiyomi? Hey, hey.\Hey, Chiyomi? It's you?\We watched it now. What have you been doing? response:	Well, the workshop...
context: It's domestic violence, Dad.\Hey, you are mistaken. That's not it.\Right? Right? That's not it, right?\Hello, this is Horikiri residence. Chiyomi?!\- You know what... - Eh? Chiyomi? Hey, hey.\Hey, Chiyomi? It's you?\We watched it now. What have you been doing?\Well, the workshop... response:	How long is the workshop? Isn't it too long?
context: Hey, you are mistaken. That's not it.\Right? Right? That's not it, right?\Hello, this is Horikiri residence. Chiyomi?!\- You know what... - Eh? Chiyomi? Hey, hey.\Hey, Chiyomi? It's you?\We watched it now. What have you been doing?\Well, the workshop...\How long is the workshop? Isn't it too long? response:	Well, it's kind of getting longer.
context: Right? Right? That's not it, right?\Hello, this is Horikiri residence. Chiyomi?!\- You know what... - Eh? Chiyomi? Hey, hey.\Hey, Chiyomi? It's you?\We watched it now. What have you been doing?\Well, the workshop...\How long is the workshop? Isn't it too long?\Well, it's kind of getting longer. response:	The organizer has an artistic temperament, you know...
context: Hello, this is Horikiri residence. Chiyomi?!\- You know what... - Eh? Chiyomi? Hey, hey.\Hey, Chiyomi? It's you?\We watched it now. What have you been doing?\Well, the workshop...\How long is the workshop? Isn't it too long?\Well, it's kind of getting longer.\The organizer has an artistic temperament, you know... response:	- Artistic temperament... Gosh. - Hey, give it to me.
context: - You know what... - Eh? Chiyomi? Hey, hey.\Hey, Chiyomi? It's you?\We watched it now. What have you been doing?\Well, the workshop...\How long is the workshop? Isn't it too long?\Well, it's kind of getting longer.\The organizer has an artistic temperament, you know...\- Artistic temperament... Gosh. - Hey, give it to me. response:	Hello, Chiyomi. What happened to your cellphone?
context: Hey, Chiyomi? It's you?\We watched it now. What have you been doing?\Well, the workshop...\How long is the workshop? Isn't it too long?\Well, it's kind of getting longer.\The organizer has an artistic temperament, you know...\- Artistic temperament... Gosh. - Hey, give it to me.\Hello, Chiyomi. What happened to your cellphone? response:	It broke.
context: We watched it now. What have you been doing?\Well, the workshop...\How long is the workshop? Isn't it too long?\Well, it's kind of getting longer.\The organizer has an artistic temperament, you know...\- Artistic temperament... Gosh. - Hey, give it to me.\Hello, Chiyomi. What happened to your cellphone?\It broke. response:	- It broke? Get a new one. - I don't have money.
context: Well, the workshop...\How long is the workshop? Isn't it too long?\Well, it's kind of getting longer.\The organizer has an artistic temperament, you know...\- Artistic temperament... Gosh. - Hey, give it to me.\Hello, Chiyomi. What happened to your cellphone?\It broke.\- It broke? Get a new one. - I don't have money. response:	I will send you money. Where should I send it? Where are you?
context: How long is the workshop? Isn't it too long?\Well, it's kind of getting longer.\The organizer has an artistic temperament, you know...\- Artistic temperament... Gosh. - Hey, give it to me.\Hello, Chiyomi. What happened to your cellphone?\It broke.\- It broke? Get a new one. - I don't have money.\I will send you money. Where should I send it? Where are you? response:	Well... I want to focus on the dance,
context: Well, it's kind of getting longer.\The organizer has an artistic temperament, you know...\- Artistic temperament... Gosh. - Hey, give it to me.\Hello, Chiyomi. What happened to your cellphone?\It broke.\- It broke? Get a new one. - I don't have money.\I will send you money. Where should I send it? Where are you?\Well... I want to focus on the dance, response:	so I won't have it fixed and will endure loneliness.
context: The organizer has an artistic temperament, you know...\- Artistic temperament... Gosh. - Hey, give it to me.\Hello, Chiyomi. What happened to your cellphone?\It broke.\- It broke? Get a new one. - I don't have money.\I will send you money. Where should I send it? Where are you?\Well... I want to focus on the dance,\so I won't have it fixed and will endure loneliness. response:	Why are you talking like a trainee monk?
context: - Artistic temperament... Gosh. - Hey, give it to me.\Hello, Chiyomi. What happened to your cellphone?\It broke.\- It broke? Get a new one. - I don't have money.\I will send you money. Where should I send it? Where are you?\Well... I want to focus on the dance,\so I won't have it fixed and will endure loneliness.\Why are you talking like a trainee monk? response:	Anyway, please trust me. This is a pay phone. Oh, I'll be running out of 10 yen coins.
context: Hello, Chiyomi. What happened to your cellphone?\It broke.\- It broke? Get a new one. - I don't have money.\I will send you money. Where should I send it? Where are you?\Well... I want to focus on the dance,\so I won't have it fixed and will endure loneliness.\Why are you talking like a trainee monk?\Anyway, please trust me. This is a pay phone. Oh, I'll be running out of 10 yen coins. response:	Hey, Chiyomi?
context: It broke.\- It broke? Get a new one. - I don't have money.\I will send you money. Where should I send it? Where are you?\Well... I want to focus on the dance,\so I won't have it fixed and will endure loneliness.\Why are you talking like a trainee monk?\Anyway, please trust me. This is a pay phone. Oh, I'll be running out of 10 yen coins.\Hey, Chiyomi? response:	It's going to run out.
context: - It broke? Get a new one. - I don't have money.\I will send you money. Where should I send it? Where are you?\Well... I want to focus on the dance,\so I won't have it fixed and will endure loneliness.\Why are you talking like a trainee monk?\Anyway, please trust me. This is a pay phone. Oh, I'll be running out of 10 yen coins.\Hey, Chiyomi?\It's going to run out. response:	Chiyomi, hey. Chiyomi?
context: I will send you money. Where should I send it? Where are you?\Well... I want to focus on the dance,\so I won't have it fixed and will endure loneliness.\Why are you talking like a trainee monk?\Anyway, please trust me. This is a pay phone. Oh, I'll be running out of 10 yen coins.\Hey, Chiyomi?\It's going to run out.\Chiyomi, hey. Chiyomi? response:	How can you tell a lie like that?
context: Well... I want to focus on the dance,\so I won't have it fixed and will endure loneliness.\Why are you talking like a trainee monk?\Anyway, please trust me. This is a pay phone. Oh, I'll be running out of 10 yen coins.\Hey, Chiyomi?\It's going to run out.\Chiyomi, hey. Chiyomi?\How can you tell a lie like that? response:	I know.
context: so I won't have it fixed and will endure loneliness.\Why are you talking like a trainee monk?\Anyway, please trust me. This is a pay phone. Oh, I'll be running out of 10 yen coins.\Hey, Chiyomi?\It's going to run out.\Chiyomi, hey. Chiyomi?\How can you tell a lie like that?\I know. response:	But, I can't possibly tell them the truth.
context: Why are you talking like a trainee monk?\Anyway, please trust me. This is a pay phone. Oh, I'll be running out of 10 yen coins.\Hey, Chiyomi?\It's going to run out.\Chiyomi, hey. Chiyomi?\How can you tell a lie like that?\I know.\But, I can't possibly tell them the truth. response:	I can't let them see how I am now.
context: Anyway, please trust me. This is a pay phone. Oh, I'll be running out of 10 yen coins.\Hey, Chiyomi?\It's going to run out.\Chiyomi, hey. Chiyomi?\How can you tell a lie like that?\I know.\But, I can't possibly tell them the truth.\I can't let them see how I am now. response:	You are enduring loneliness...
context: Hey, Chiyomi?\It's going to run out.\Chiyomi, hey. Chiyomi?\How can you tell a lie like that?\I know.\But, I can't possibly tell them the truth.\I can't let them see how I am now.\You are enduring loneliness... response:	What?
