context: It seems the Ancient Dragon is approaching much faster than anticipated. response:	But the Queen's fleet should be here soon.
context: We did it!\It's a success!\No...\This is...\Lord Bidalsha?!\The elves?!\By combining the power of the spirits with this fire stone,\we can create a fire barrier. response:	I had no idea it could be used that way.
context: It's a success!\No...\This is...\Lord Bidalsha?!\The elves?!\By combining the power of the spirits with this fire stone,\we can create a fire barrier.\I had no idea it could be used that way. response:	Perhaps Joseph's rampage was
context: No...\This is...\Lord Bidalsha?!\The elves?!\By combining the power of the spirits with this fire stone,\we can create a fire barrier.\I had no idea it could be used that way.\Perhaps Joseph's rampage was response:	actually brought on by a greater power...
context: This is...\Lord Bidalsha?!\The elves?!\By combining the power of the spirits with this fire stone,\we can create a fire barrier.\I had no idea it could be used that way.\Perhaps Joseph's rampage was\actually brought on by a greater power... response:	It's the Nephthys fleet!
context: Lord Bidalsha?!\The elves?!\By combining the power of the spirits with this fire stone,\we can create a fire barrier.\I had no idea it could be used that way.\Perhaps Joseph's rampage was\actually brought on by a greater power...\It's the Nephthys fleet! response:	Lord Bidalsha came, just like he promised!
context: The elves?!\By combining the power of the spirits with this fire stone,\we can create a fire barrier.\I had no idea it could be used that way.\Perhaps Joseph's rampage was\actually brought on by a greater power...\It's the Nephthys fleet!\Lord Bidalsha came, just like he promised! response:	I never knew there were this many elves
context: By combining the power of the spirits with this fire stone,\we can create a fire barrier.\I had no idea it could be used that way.\Perhaps Joseph's rampage was\actually brought on by a greater power...\It's the Nephthys fleet!\Lord Bidalsha came, just like he promised!\I never knew there were this many elves response:	who support friendship with the barbarians!
context: we can create a fire barrier.\I had no idea it could be used that way.\Perhaps Joseph's rampage was\actually brought on by a greater power...\It's the Nephthys fleet!\Lord Bidalsha came, just like he promised!\I never knew there were this many elves\who support friendship with the barbarians! response:	This is going to be okay, right?
context: I had no idea it could be used that way.\Perhaps Joseph's rampage was\actually brought on by a greater power...\It's the Nephthys fleet!\Lord Bidalsha came, just like he promised!\I never knew there were this many elves\who support friendship with the barbarians!\This is going to be okay, right? response:	How should I know?
context: Perhaps Joseph's rampage was\actually brought on by a greater power...\It's the Nephthys fleet!\Lord Bidalsha came, just like he promised!\I never knew there were this many elves\who support friendship with the barbarians!\This is going to be okay, right?\How should I know? response:	Ask my brother Damien!
context: actually brought on by a greater power...\It's the Nephthys fleet!\Lord Bidalsha came, just like he promised!\I never knew there were this many elves\who support friendship with the barbarians!\This is going to be okay, right?\How should I know?\Ask my brother Damien! response:	This is bad!
context: It's the Nephthys fleet!\Lord Bidalsha came, just like he promised!\I never knew there were this many elves\who support friendship with the barbarians!\This is going to be okay, right?\How should I know?\Ask my brother Damien!\This is bad! response:	F-Flan!
context: Lord Bidalsha came, just like he promised!\I never knew there were this many elves\who support friendship with the barbarians!\This is going to be okay, right?\How should I know?\Ask my brother Damien!\This is bad!\F-Flan! response:	Guiche!
context: I never knew there were this many elves\who support friendship with the barbarians!\This is going to be okay, right?\How should I know?\Ask my brother Damien!\This is bad!\F-Flan!\Guiche! response:	It looks like this is no longer of use.
context: who support friendship with the barbarians!\This is going to be okay, right?\How should I know?\Ask my brother Damien!\This is bad!\F-Flan!\Guiche!\It looks like this is no longer of use. response:	We have to go to the others.
context: This is going to be okay, right?\How should I know?\Ask my brother Damien!\This is bad!\F-Flan!\Guiche!\It looks like this is no longer of use.\We have to go to the others. response:	Fireball!
context: How should I know?\Ask my brother Damien!\This is bad!\F-Flan!\Guiche!\It looks like this is no longer of use.\We have to go to the others.\Fireball! response:	Let's move!
context: Ask my brother Damien!\This is bad!\F-Flan!\Guiche!\It looks like this is no longer of use.\We have to go to the others.\Fireball!\Let's move! response:	Tiffa!
context: This is bad!\F-Flan!\Guiche!\It looks like this is no longer of use.\We have to go to the others.\Fireball!\Let's move!\Tiffa! response:	The dragon is after you and me.
context: F-Flan!\Guiche!\It looks like this is no longer of use.\We have to go to the others.\Fireball!\Let's move!\Tiffa!\The dragon is after you and me. response:	We've got to get away from here.
context: Guiche!\It looks like this is no longer of use.\We have to go to the others.\Fireball!\Let's move!\Tiffa!\The dragon is after you and me.\We've got to get away from here. response:	Y-Yes!
context: It looks like this is no longer of use.\We have to go to the others.\Fireball!\Let's move!\Tiffa!\The dragon is after you and me.\We've got to get away from here.\Y-Yes! response:	Illococoo, can you help us?
context: We have to go to the others.\Fireball!\Let's move!\Tiffa!\The dragon is after you and me.\We've got to get away from here.\Y-Yes!\Illococoo, can you help us? response:	Of course!
context: Fireball!\Let's move!\Tiffa!\The dragon is after you and me.\We've got to get away from here.\Y-Yes!\Illococoo, can you help us?\Of course! response:	Thank you!
context: Let's move!\Tiffa!\The dragon is after you and me.\We've got to get away from here.\Y-Yes!\Illococoo, can you help us?\Of course!\Thank you! response:	Louise, I'm on my way!
context: Tiffa!\The dragon is after you and me.\We've got to get away from here.\Y-Yes!\Illococoo, can you help us?\Of course!\Thank you!\Louise, I'm on my way! response:	Midois Algiz Delcana Manlagun!
context: The dragon is after you and me.\We've got to get away from here.\Y-Yes!\Illococoo, can you help us?\Of course!\Thank you!\Louise, I'm on my way!\Midois Algiz Delcana Manlagun! response:	Thanks, Tiffa!
context: We've got to get away from here.\Y-Yes!\Illococoo, can you help us?\Of course!\Thank you!\Louise, I'm on my way!\Midois Algiz Delcana Manlagun!\Thanks, Tiffa! response:	Of course.
context: Y-Yes!\Illococoo, can you help us?\Of course!\Thank you!\Louise, I'm on my way!\Midois Algiz Delcana Manlagun!\Thanks, Tiffa!\Of course. response:	My lady, shall we fire?
context: Illococoo, can you help us?\Of course!\Thank you!\Louise, I'm on my way!\Midois Algiz Delcana Manlagun!\Thanks, Tiffa!\Of course.\My lady, shall we fire? response:	No.
context: Of course!\Thank you!\Louise, I'm on my way!\Midois Algiz Delcana Manlagun!\Thanks, Tiffa!\Of course.\My lady, shall we fire?\No. response:	If you attack now, you might hit Louise and Tiffania.
context: Thank you!\Louise, I'm on my way!\Midois Algiz Delcana Manlagun!\Thanks, Tiffa!\Of course.\My lady, shall we fire?\No.\If you attack now, you might hit Louise and Tiffania. response:	The magic barrier was torn open by the previous attacks.
context: Louise, I'm on my way!\Midois Algiz Delcana Manlagun!\Thanks, Tiffa!\Of course.\My lady, shall we fire?\No.\If you attack now, you might hit Louise and Tiffania.\The magic barrier was torn open by the previous attacks. response:	If that's the case, then...
context: Midois Algiz Delcana Manlagun!\Thanks, Tiffa!\Of course.\My lady, shall we fire?\No.\If you attack now, you might hit Louise and Tiffania.\The magic barrier was torn open by the previous attacks.\If that's the case, then... response:	Aoren Suhn Fil Yarnsaksa...
context: Thanks, Tiffa!\Of course.\My lady, shall we fire?\No.\If you attack now, you might hit Louise and Tiffania.\The magic barrier was torn open by the previous attacks.\If that's the case, then...\Aoren Suhn Fil Yarnsaksa... response:	Osu Suhn Uryn Rurin Lagon...
context: Of course.\My lady, shall we fire?\No.\If you attack now, you might hit Louise and Tiffania.\The magic barrier was torn open by the previous attacks.\If that's the case, then...\Aoren Suhn Fil Yarnsaksa...\Osu Suhn Uryn Rurin Lagon... response:	Windy Icicle!
context: My lady, shall we fire?\No.\If you attack now, you might hit Louise and Tiffania.\The magic barrier was torn open by the previous attacks.\If that's the case, then...\Aoren Suhn Fil Yarnsaksa...\Osu Suhn Uryn Rurin Lagon...\Windy Icicle! response:	Deoru Yuru Sugia...
context: No.\If you attack now, you might hit Louise and Tiffania.\The magic barrier was torn open by the previous attacks.\If that's the case, then...\Aoren Suhn Fil Yarnsaksa...\Osu Suhn Uryn Rurin Lagon...\Windy Icicle!\Deoru Yuru Sugia... response:	Fly, my sword!
context: If you attack now, you might hit Louise and Tiffania.\The magic barrier was torn open by the previous attacks.\If that's the case, then...\Aoren Suhn Fil Yarnsaksa...\Osu Suhn Uryn Rurin Lagon...\Windy Icicle!\Deoru Yuru Sugia...\Fly, my sword! response:	Ossia Jer Undil...
context: The magic barrier was torn open by the previous attacks.\If that's the case, then...\Aoren Suhn Fil Yarnsaksa...\Osu Suhn Uryn Rurin Lagon...\Windy Icicle!\Deoru Yuru Sugia...\Fly, my sword!\Ossia Jer Undil... response:	Valkyrie!
context: If that's the case, then...\Aoren Suhn Fil Yarnsaksa...\Osu Suhn Uryn Rurin Lagon...\Windy Icicle!\Deoru Yuru Sugia...\Fly, my sword!\Ossia Jer Undil...\Valkyrie! response:	Hagal Beocs Fil...
context: Aoren Suhn Fil Yarnsaksa...\Osu Suhn Uryn Rurin Lagon...\Windy Icicle!\Deoru Yuru Sugia...\Fly, my sword!\Ossia Jer Undil...\Valkyrie!\Hagal Beocs Fil... response:	Explosion!
context: Osu Suhn Uryn Rurin Lagon...\Windy Icicle!\Deoru Yuru Sugia...\Fly, my sword!\Ossia Jer Undil...\Valkyrie!\Hagal Beocs Fil...\Explosion! response:	It's still alive...
context: Windy Icicle!\Deoru Yuru Sugia...\Fly, my sword!\Ossia Jer Undil...\Valkyrie!\Hagal Beocs Fil...\Explosion!\It's still alive... response:	Louise!
context: Deoru Yuru Sugia...\Fly, my sword!\Ossia Jer Undil...\Valkyrie!\Hagal Beocs Fil...\Explosion!\It's still alive...\Louise! response:	My strength is...
context: Fly, my sword!\Ossia Jer Undil...\Valkyrie!\Hagal Beocs Fil...\Explosion!\It's still alive...\Louise!\My strength is... response:	A Total Eclipse Over Japan
context: Ossia Jer Undil...\Valkyrie!\Hagal Beocs Fil...\Explosion!\It's still alive...\Louise!\My strength is...\A Total Eclipse Over Japan response:	They said that flying into
context: Valkyrie!\Hagal Beocs Fil...\Explosion!\It's still alive...\Louise!\My strength is...\A Total Eclipse Over Japan\They said that flying into response:	an eclipse might bring me back to this world.
context: Hagal Beocs Fil...\Explosion!\It's still alive...\Louise!\My strength is...\A Total Eclipse Over Japan\They said that flying into\an eclipse might bring me back to this world. response:	If that's true, then the opposite must be true as well.
context: Explosion!\It's still alive...\Louise!\My strength is...\A Total Eclipse Over Japan\They said that flying into\an eclipse might bring me back to this world.\If that's true, then the opposite must be true as well. response:	Tiffa!
context: It's still alive...\Louise!\My strength is...\A Total Eclipse Over Japan\They said that flying into\an eclipse might bring me back to this world.\If that's true, then the opposite must be true as well.\Tiffa! response:	No...
context: Louise!\My strength is...\A Total Eclipse Over Japan\They said that flying into\an eclipse might bring me back to this world.\If that's true, then the opposite must be true as well.\Tiffa!\No... response:	Saito, help me!
context: My strength is...\A Total Eclipse Over Japan\They said that flying into\an eclipse might bring me back to this world.\If that's true, then the opposite must be true as well.\Tiffa!\No...\Saito, help me! response:	Saito!
context: A Total Eclipse Over Japan\They said that flying into\an eclipse might bring me back to this world.\If that's true, then the opposite must be true as well.\Tiffa!\No...\Saito, help me!\Saito! response:	Did Saito actually...
context: They said that flying into\an eclipse might bring me back to this world.\If that's true, then the opposite must be true as well.\Tiffa!\No...\Saito, help me!\Saito!\Did Saito actually... response:	Saito came back?
context: an eclipse might bring me back to this world.\If that's true, then the opposite must be true as well.\Tiffa!\No...\Saito, help me!\Saito!\Did Saito actually...\Saito came back? response:	Yahoo!
context: If that's true, then the opposite must be true as well.\Tiffa!\No...\Saito, help me!\Saito!\Did Saito actually...\Saito came back?\Yahoo! response:	It's Halkeginia!
context: Tiffa!\No...\Saito, help me!\Saito!\Did Saito actually...\Saito came back?\Yahoo!\It's Halkeginia! response:	This is a surprise.
context: No...\Saito, help me!\Saito!\Did Saito actually...\Saito came back?\Yahoo!\It's Halkeginia!\This is a surprise. response:	I never thought that'd actually work.
context: Saito, help me!\Saito!\Did Saito actually...\Saito came back?\Yahoo!\It's Halkeginia!\This is a surprise.\I never thought that'd actually work. response:	Yeah, I'm surprised, too.
context: Saito!\Did Saito actually...\Saito came back?\Yahoo!\It's Halkeginia!\This is a surprise.\I never thought that'd actually work.\Yeah, I'm surprised, too. response:	Wait... Derf?!
context: Did Saito actually...\Saito came back?\Yahoo!\It's Halkeginia!\This is a surprise.\I never thought that'd actually work.\Yeah, I'm surprised, too.\Wait... Derf?! response:	Yup. Have you been well, pal?
context: Saito came back?\Yahoo!\It's Halkeginia!\This is a surprise.\I never thought that'd actually work.\Yeah, I'm surprised, too.\Wait... Derf?!\Yup. Have you been well, pal? response:	Have I been well? Seriously?!
context: Yahoo!\It's Halkeginia!\This is a surprise.\I never thought that'd actually work.\Yeah, I'm surprised, too.\Wait... Derf?!\Yup. Have you been well, pal?\Have I been well? Seriously?! response:	What's going on?
context: It's Halkeginia!\This is a surprise.\I never thought that'd actually work.\Yeah, I'm surprised, too.\Wait... Derf?!\Yup. Have you been well, pal?\Have I been well? Seriously?!\What's going on? response:	To tell you the truth, I'm not quite sure I understand it myself.
context: This is a surprise.\I never thought that'd actually work.\Yeah, I'm surprised, too.\Wait... Derf?!\Yup. Have you been well, pal?\Have I been well? Seriously?!\What's going on?\To tell you the truth, I'm not quite sure I understand it myself. response:	It seems like I was sleeping in your rune after the sword broke.
context: I never thought that'd actually work.\Yeah, I'm surprised, too.\Wait... Derf?!\Yup. Have you been well, pal?\Have I been well? Seriously?!\What's going on?\To tell you the truth, I'm not quite sure I understand it myself.\It seems like I was sleeping in your rune after the sword broke. response:	You were sleeping?
context: Yeah, I'm surprised, too.\Wait... Derf?!\Yup. Have you been well, pal?\Have I been well? Seriously?!\What's going on?\To tell you the truth, I'm not quite sure I understand it myself.\It seems like I was sleeping in your rune after the sword broke.\You were sleeping? response:	Well, it doesn't matter.
context: Wait... Derf?!\Yup. Have you been well, pal?\Have I been well? Seriously?!\What's going on?\To tell you the truth, I'm not quite sure I understand it myself.\It seems like I was sleeping in your rune after the sword broke.\You were sleeping?\Well, it doesn't matter. response:	You're alive, that's all that counts.
context: Yup. Have you been well, pal?\Have I been well? Seriously?!\What's going on?\To tell you the truth, I'm not quite sure I understand it myself.\It seems like I was sleeping in your rune after the sword broke.\You were sleeping?\Well, it doesn't matter.\You're alive, that's all that counts. response:	Yup. I feel great.
context: Have I been well? Seriously?!\What's going on?\To tell you the truth, I'm not quite sure I understand it myself.\It seems like I was sleeping in your rune after the sword broke.\You were sleeping?\Well, it doesn't matter.\You're alive, that's all that counts.\Yup. I feel great. response:	Oh yeah?
context: What's going on?\To tell you the truth, I'm not quite sure I understand it myself.\It seems like I was sleeping in your rune after the sword broke.\You were sleeping?\Well, it doesn't matter.\You're alive, that's all that counts.\Yup. I feel great.\Oh yeah? response:	Then let's get wild.
context: To tell you the truth, I'm not quite sure I understand it myself.\It seems like I was sleeping in your rune after the sword broke.\You were sleeping?\Well, it doesn't matter.\You're alive, that's all that counts.\Yup. I feel great.\Oh yeah?\Then let's get wild. response:	You got it.
context: It seems like I was sleeping in your rune after the sword broke.\You were sleeping?\Well, it doesn't matter.\You're alive, that's all that counts.\Yup. I feel great.\Oh yeah?\Then let's get wild.\You got it. response:	Damn, the magic barrier is still...
context: You were sleeping?\Well, it doesn't matter.\You're alive, that's all that counts.\Yup. I feel great.\Oh yeah?\Then let's get wild.\You got it.\Damn, the magic barrier is still... response:	Then...
context: Well, it doesn't matter.\You're alive, that's all that counts.\Yup. I feel great.\Oh yeah?\Then let's get wild.\You got it.\Damn, the magic barrier is still...\Then... response:	Saito, why?!
context: You're alive, that's all that counts.\Yup. I feel great.\Oh yeah?\Then let's get wild.\You got it.\Damn, the magic barrier is still...\Then...\Saito, why?! response:	Great timing, Louise!
