context: An Explosion of Anger!! Goku, Avenge Everyone's Deaths response:	W- What's with his transformation?
context: Father...\Thank you! Thank you, Father!\I'll be waiting. I'll be waiting for you to appear in good shape, Father!\There's no way I'm letting you get away like that.\Enough is enough, you scumbag!\You've killed so many blameless people, one after the other...\You even killed Kuririn...!\W- Why do you have this kind of power? response:	Don't tell me... don't tell me you're...!
context: Thank you! Thank you, Father!\I'll be waiting. I'll be waiting for you to appear in good shape, Father!\There's no way I'm letting you get away like that.\Enough is enough, you scumbag!\You've killed so many blameless people, one after the other...\You even killed Kuririn...!\W- Why do you have this kind of power?\Don't tell me... don't tell me you're...! response:	Father, I understood! What Vegeta was saying is true, isn't it?
context: I'll be waiting. I'll be waiting for you to appear in good shape, Father!\There's no way I'm letting you get away like that.\Enough is enough, you scumbag!\You've killed so many blameless people, one after the other...\You even killed Kuririn...!\W- Why do you have this kind of power?\Don't tell me... don't tell me you're...!\Father, I understood! What Vegeta was saying is true, isn't it? response:	Father, you've become one. A Super Saiyan!
context: There's no way I'm letting you get away like that.\Enough is enough, you scumbag!\You've killed so many blameless people, one after the other...\You even killed Kuririn...!\W- Why do you have this kind of power?\Don't tell me... don't tell me you're...!\Father, I understood! What Vegeta was saying is true, isn't it?\Father, you've become one. A Super Saiyan! response:	That's strange...
context: Enough is enough, you scumbag!\You've killed so many blameless people, one after the other...\You even killed Kuririn...!\W- Why do you have this kind of power?\Don't tell me... don't tell me you're...!\Father, I understood! What Vegeta was saying is true, isn't it?\Father, you've become one. A Super Saiyan!\That's strange... response:	There aren't any malfunctions anywhere.
context: You've killed so many blameless people, one after the other...\You even killed Kuririn...!\W- Why do you have this kind of power?\Don't tell me... don't tell me you're...!\Father, I understood! What Vegeta was saying is true, isn't it?\Father, you've become one. A Super Saiyan!\That's strange...\There aren't any malfunctions anywhere. response:	Aren't you done fixin' it yet!?
context: You even killed Kuririn...!\W- Why do you have this kind of power?\Don't tell me... don't tell me you're...!\Father, I understood! What Vegeta was saying is true, isn't it?\Father, you've become one. A Super Saiyan!\That's strange...\There aren't any malfunctions anywhere.\Aren't you done fixin' it yet!? response:	While we're here doin' this, Gohan-chan's growin' more and more delinquent!
context: W- Why do you have this kind of power?\Don't tell me... don't tell me you're...!\Father, I understood! What Vegeta was saying is true, isn't it?\Father, you've become one. A Super Saiyan!\That's strange...\There aren't any malfunctions anywhere.\Aren't you done fixin' it yet!?\While we're here doin' this, Gohan-chan's growin' more and more delinquent! response:	What's the matter, ol' timer?
context: Don't tell me... don't tell me you're...!\Father, I understood! What Vegeta was saying is true, isn't it?\Father, you've become one. A Super Saiyan!\That's strange...\There aren't any malfunctions anywhere.\Aren't you done fixin' it yet!?\While we're here doin' this, Gohan-chan's growin' more and more delinquent!\What's the matter, ol' timer? response:	You've got such a serious look on yer mug.
context: Father, I understood! What Vegeta was saying is true, isn't it?\Father, you've become one. A Super Saiyan!\That's strange...\There aren't any malfunctions anywhere.\Aren't you done fixin' it yet!?\While we're here doin' this, Gohan-chan's growin' more and more delinquent!\What's the matter, ol' timer?\You've got such a serious look on yer mug. response:	I want to go see Gohan now!
context: Father, you've become one. A Super Saiyan!\That's strange...\There aren't any malfunctions anywhere.\Aren't you done fixin' it yet!?\While we're here doin' this, Gohan-chan's growin' more and more delinquent!\What's the matter, ol' timer?\You've got such a serious look on yer mug.\I want to go see Gohan now! response:	It's nothing. I just had a strange, uneasy feeling is all.
context: That's strange...\There aren't any malfunctions anywhere.\Aren't you done fixin' it yet!?\While we're here doin' this, Gohan-chan's growin' more and more delinquent!\What's the matter, ol' timer?\You've got such a serious look on yer mug.\I want to go see Gohan now!\It's nothing. I just had a strange, uneasy feeling is all. response:	'Bout what?
context: There aren't any malfunctions anywhere.\Aren't you done fixin' it yet!?\While we're here doin' this, Gohan-chan's growin' more and more delinquent!\What's the matter, ol' timer?\You've got such a serious look on yer mug.\I want to go see Gohan now!\It's nothing. I just had a strange, uneasy feeling is all.\'Bout what? response:	Goku. I'm worried that as a result of his getting so strong, he's become a double-edged sword.
context: Aren't you done fixin' it yet!?\While we're here doin' this, Gohan-chan's growin' more and more delinquent!\What's the matter, ol' timer?\You've got such a serious look on yer mug.\I want to go see Gohan now!\It's nothing. I just had a strange, uneasy feeling is all.\'Bout what?\Goku. I'm worried that as a result of his getting so strong, he's become a double-edged sword. response:	What're you talkin''bout?
context: While we're here doin' this, Gohan-chan's growin' more and more delinquent!\What's the matter, ol' timer?\You've got such a serious look on yer mug.\I want to go see Gohan now!\It's nothing. I just had a strange, uneasy feeling is all.\'Bout what?\Goku. I'm worried that as a result of his getting so strong, he's become a double-edged sword.\What're you talkin''bout? response:	A double-edged sword can deliver a powerful blow to an opponent, but it can also deliver the same kind of blow the other way.
context: What's the matter, ol' timer?\You've got such a serious look on yer mug.\I want to go see Gohan now!\It's nothing. I just had a strange, uneasy feeling is all.\'Bout what?\Goku. I'm worried that as a result of his getting so strong, he's become a double-edged sword.\What're you talkin''bout?\A double-edged sword can deliver a powerful blow to an opponent, but it can also deliver the same kind of blow the other way. response:	Yeah, what about it?
context: You've got such a serious look on yer mug.\I want to go see Gohan now!\It's nothing. I just had a strange, uneasy feeling is all.\'Bout what?\Goku. I'm worried that as a result of his getting so strong, he's become a double-edged sword.\What're you talkin''bout?\A double-edged sword can deliver a powerful blow to an opponent, but it can also deliver the same kind of blow the other way.\Yeah, what about it? response:	What about it? Up until now, he's fought so many powerful opponents, one after another. As a result, he's gotten so strong.
context: I want to go see Gohan now!\It's nothing. I just had a strange, uneasy feeling is all.\'Bout what?\Goku. I'm worried that as a result of his getting so strong, he's become a double-edged sword.\What're you talkin''bout?\A double-edged sword can deliver a powerful blow to an opponent, but it can also deliver the same kind of blow the other way.\Yeah, what about it?\What about it? Up until now, he's fought so many powerful opponents, one after another. As a result, he's gotten so strong. response:	But supposing this Freeza guy turns out to have the ultimate in strength...
context: It's nothing. I just had a strange, uneasy feeling is all.\'Bout what?\Goku. I'm worried that as a result of his getting so strong, he's become a double-edged sword.\What're you talkin''bout?\A double-edged sword can deliver a powerful blow to an opponent, but it can also deliver the same kind of blow the other way.\Yeah, what about it?\What about it? Up until now, he's fought so many powerful opponents, one after another. As a result, he's gotten so strong.\But supposing this Freeza guy turns out to have the ultimate in strength... response:	Supposin' he does?
context: 'Bout what?\Goku. I'm worried that as a result of his getting so strong, he's become a double-edged sword.\What're you talkin''bout?\A double-edged sword can deliver a powerful blow to an opponent, but it can also deliver the same kind of blow the other way.\Yeah, what about it?\What about it? Up until now, he's fought so many powerful opponents, one after another. As a result, he's gotten so strong.\But supposing this Freeza guy turns out to have the ultimate in strength...\Supposin' he does? response:	As he fights against someone his equal, Goku just might...
context: Goku. I'm worried that as a result of his getting so strong, he's become a double-edged sword.\What're you talkin''bout?\A double-edged sword can deliver a powerful blow to an opponent, but it can also deliver the same kind of blow the other way.\Yeah, what about it?\What about it? Up until now, he's fought so many powerful opponents, one after another. As a result, he's gotten so strong.\But supposing this Freeza guy turns out to have the ultimate in strength...\Supposin' he does?\As he fights against someone his equal, Goku just might... response:	Ah, on the other hand, maybe I'm worrying unnecessarily.
context: What're you talkin''bout?\A double-edged sword can deliver a powerful blow to an opponent, but it can also deliver the same kind of blow the other way.\Yeah, what about it?\What about it? Up until now, he's fought so many powerful opponents, one after another. As a result, he's gotten so strong.\But supposing this Freeza guy turns out to have the ultimate in strength...\Supposin' he does?\As he fights against someone his equal, Goku just might...\Ah, on the other hand, maybe I'm worrying unnecessarily. response:	I am furious with you, Freeza!
context: A double-edged sword can deliver a powerful blow to an opponent, but it can also deliver the same kind of blow the other way.\Yeah, what about it?\What about it? Up until now, he's fought so many powerful opponents, one after another. As a result, he's gotten so strong.\But supposing this Freeza guy turns out to have the ultimate in strength...\Supposin' he does?\As he fights against someone his equal, Goku just might...\Ah, on the other hand, maybe I'm worrying unnecessarily.\I am furious with you, Freeza! response:	You talk like you're so self-important.
context: Yeah, what about it?\What about it? Up until now, he's fought so many powerful opponents, one after another. As a result, he's gotten so strong.\But supposing this Freeza guy turns out to have the ultimate in strength...\Supposin' he does?\As he fights against someone his equal, Goku just might...\Ah, on the other hand, maybe I'm worrying unnecessarily.\I am furious with you, Freeza!\You talk like you're so self-important. response:	You say I've killed the blameless?
context: What about it? Up until now, he's fought so many powerful opponents, one after another. As a result, he's gotten so strong.\But supposing this Freeza guy turns out to have the ultimate in strength...\Supposin' he does?\As he fights against someone his equal, Goku just might...\Ah, on the other hand, maybe I'm worrying unnecessarily.\I am furious with you, Freeza!\You talk like you're so self-important.\You say I've killed the blameless? response:	Are you trying to say that what you Saiyans have done up to now was so right?
context: But supposing this Freeza guy turns out to have the ultimate in strength...\Supposin' he does?\As he fights against someone his equal, Goku just might...\Ah, on the other hand, maybe I'm worrying unnecessarily.\I am furious with you, Freeza!\You talk like you're so self-important.\You say I've killed the blameless?\Are you trying to say that what you Saiyans have done up to now was so right? response:	That's why we were destroyed.
context: Supposin' he does?\As he fights against someone his equal, Goku just might...\Ah, on the other hand, maybe I'm worrying unnecessarily.\I am furious with you, Freeza!\You talk like you're so self-important.\You say I've killed the blameless?\Are you trying to say that what you Saiyans have done up to now was so right?\That's why we were destroyed. response:	I'm the one who destroyed you.
context: As he fights against someone his equal, Goku just might...\Ah, on the other hand, maybe I'm worrying unnecessarily.\I am furious with you, Freeza!\You talk like you're so self-important.\You say I've killed the blameless?\Are you trying to say that what you Saiyans have done up to now was so right?\That's why we were destroyed.\I'm the one who destroyed you. response:	All of you of monkeys got on my nerves.
context: Ah, on the other hand, maybe I'm worrying unnecessarily.\I am furious with you, Freeza!\You talk like you're so self-important.\You say I've killed the blameless?\Are you trying to say that what you Saiyans have done up to now was so right?\That's why we were destroyed.\I'm the one who destroyed you.\All of you of monkeys got on my nerves. response:	And now I'm going to destroy you.
context: I am furious with you, Freeza!\You talk like you're so self-important.\You say I've killed the blameless?\Are you trying to say that what you Saiyans have done up to now was so right?\That's why we were destroyed.\I'm the one who destroyed you.\All of you of monkeys got on my nerves.\And now I'm going to destroy you. response:	Me, Freeza-sama?
context: You talk like you're so self-important.\You say I've killed the blameless?\Are you trying to say that what you Saiyans have done up to now was so right?\That's why we were destroyed.\I'm the one who destroyed you.\All of you of monkeys got on my nerves.\And now I'm going to destroy you.\Me, Freeza-sama? response:	Don't let things go to your head. There's no way you can win.
context: You say I've killed the blameless?\Are you trying to say that what you Saiyans have done up to now was so right?\That's why we were destroyed.\I'm the one who destroyed you.\All of you of monkeys got on my nerves.\And now I'm going to destroy you.\Me, Freeza-sama?\Don't let things go to your head. There's no way you can win. response:	Even supposing you were a Super Saiyan.
context: Are you trying to say that what you Saiyans have done up to now was so right?\That's why we were destroyed.\I'm the one who destroyed you.\All of you of monkeys got on my nerves.\And now I'm going to destroy you.\Me, Freeza-sama?\Don't let things go to your head. There's no way you can win.\Even supposing you were a Super Saiyan. response:	Father...
context: That's why we were destroyed.\I'm the one who destroyed you.\All of you of monkeys got on my nerves.\And now I'm going to destroy you.\Me, Freeza-sama?\Don't let things go to your head. There's no way you can win.\Even supposing you were a Super Saiyan.\Father... response:	I ain't forgiving you, even if you apologize.
context: I'm the one who destroyed you.\All of you of monkeys got on my nerves.\And now I'm going to destroy you.\Me, Freeza-sama?\Don't let things go to your head. There's no way you can win.\Even supposing you were a Super Saiyan.\Father...\I ain't forgiving you, even if you apologize. response:	Dammit!
context: All of you of monkeys got on my nerves.\And now I'm going to destroy you.\Me, Freeza-sama?\Don't let things go to your head. There's no way you can win.\Even supposing you were a Super Saiyan.\Father...\I ain't forgiving you, even if you apologize.\Dammit! response:	Y- You dodged it! T- There's no way you could have!
context: And now I'm going to destroy you.\Me, Freeza-sama?\Don't let things go to your head. There's no way you can win.\Even supposing you were a Super Saiyan.\Father...\I ain't forgiving you, even if you apologize.\Dammit!\Y- You dodged it! T- There's no way you could have! response:	W- Why you...!
context: Me, Freeza-sama?\Don't let things go to your head. There's no way you can win.\Even supposing you were a Super Saiyan.\Father...\I ain't forgiving you, even if you apologize.\Dammit!\Y- You dodged it! T- There's no way you could have!\W- Why you...! response:	If only I could hit you, you'd be...!
context: Don't let things go to your head. There's no way you can win.\Even supposing you were a Super Saiyan.\Father...\I ain't forgiving you, even if you apologize.\Dammit!\Y- You dodged it! T- There's no way you could have!\W- Why you...!\If only I could hit you, you'd be...! response:	Hit me and see.
context: Even supposing you were a Super Saiyan.\Father...\I ain't forgiving you, even if you apologize.\Dammit!\Y- You dodged it! T- There's no way you could have!\W- Why you...!\If only I could hit you, you'd be...!\Hit me and see. response:	W- What did you...?
context: Father...\I ain't forgiving you, even if you apologize.\Dammit!\Y- You dodged it! T- There's no way you could have!\W- Why you...!\If only I could hit you, you'd be...!\Hit me and see.\W- What did you...? response:	Mock me, will you!?
context: I ain't forgiving you, even if you apologize.\Dammit!\Y- You dodged it! T- There's no way you could have!\W- Why you...!\If only I could hit you, you'd be...!\Hit me and see.\W- What did you...?\Mock me, will you!? response:	You can destroy whole planets, but it seems you can't even destroy a single man, huh?
context: Dammit!\Y- You dodged it! T- There's no way you could have!\W- Why you...!\If only I could hit you, you'd be...!\Hit me and see.\W- What did you...?\Mock me, will you!?\You can destroy whole planets, but it seems you can't even destroy a single man, huh? response:	W- Wh- What the hell are you!?
context: Y- You dodged it! T- There's no way you could have!\W- Why you...!\If only I could hit you, you'd be...!\Hit me and see.\W- What did you...?\Mock me, will you!?\You can destroy whole planets, but it seems you can't even destroy a single man, huh?\W- Wh- What the hell are you!? response:	As you are surely well aware...
context: W- Why you...!\If only I could hit you, you'd be...!\Hit me and see.\W- What did you...?\Mock me, will you!?\You can destroy whole planets, but it seems you can't even destroy a single man, huh?\W- Wh- What the hell are you!?\As you are surely well aware... response:	I am the Saiyan who came from Earth to defeat you.
context: If only I could hit you, you'd be...!\Hit me and see.\W- What did you...?\Mock me, will you!?\You can destroy whole planets, but it seems you can't even destroy a single man, huh?\W- Wh- What the hell are you!?\As you are surely well aware...\I am the Saiyan who came from Earth to defeat you. response:	Despite my calm, quiet heart, I am the legendary warrior, awakened by intense anger.
context: Hit me and see.\W- What did you...?\Mock me, will you!?\You can destroy whole planets, but it seems you can't even destroy a single man, huh?\W- Wh- What the hell are you!?\As you are surely well aware...\I am the Saiyan who came from Earth to defeat you.\Despite my calm, quiet heart, I am the legendary warrior, awakened by intense anger. response:	I am the Super Saiyan, Son Goku!!
context: W- What did you...?\Mock me, will you!?\You can destroy whole planets, but it seems you can't even destroy a single man, huh?\W- Wh- What the hell are you!?\As you are surely well aware...\I am the Saiyan who came from Earth to defeat you.\Despite my calm, quiet heart, I am the legendary warrior, awakened by intense anger.\I am the Super Saiyan, Son Goku!! response:	The transcendent power of a Super Saiyan!
context: Mock me, will you!?\You can destroy whole planets, but it seems you can't even destroy a single man, huh?\W- Wh- What the hell are you!?\As you are surely well aware...\I am the Saiyan who came from Earth to defeat you.\Despite my calm, quiet heart, I am the legendary warrior, awakened by intense anger.\I am the Super Saiyan, Son Goku!!\The transcendent power of a Super Saiyan! response:	Goku, now is the time to avenge everyone!
