context: You know, we've got a lot of only children in our group, huh? response:	I've got a little brother.
context: -Calm down, he doesn't have that many! -Or a brother?\-Calm down, he doesn't have that many!\I only found out when I went over to Shu's house not too long ago.\I'm back!\Thanks for having me over.\Hey.\Try to keep it down.\You got it. response:	And don't touch me.
context: -Calm down, he doesn't have that many!\I only found out when I went over to Shu's house not too long ago.\I'm back!\Thanks for having me over.\Hey.\Try to keep it down.\You got it.\And don't touch me. response:	Oh, hello.
context: I only found out when I went over to Shu's house not too long ago.\I'm back!\Thanks for having me over.\Hey.\Try to keep it down.\You got it.\And don't touch me.\Oh, hello. response:	Your little sister?
context: I'm back!\Thanks for having me over.\Hey.\Try to keep it down.\You got it.\And don't touch me.\Oh, hello.\Your little sister? response:	Yup, three years younger.
context: Thanks for having me over.\Hey.\Try to keep it down.\You got it.\And don't touch me.\Oh, hello.\Your little sister?\Yup, three years younger. response:	I totally figured his little sister would be all...
context: Hey.\Try to keep it down.\You got it.\And don't touch me.\Oh, hello.\Your little sister?\Yup, three years younger.\I totally figured his little sister would be all... response:	They look pretty similar, but she wasn't all that friendly with him.
context: Try to keep it down.\You got it.\And don't touch me.\Oh, hello.\Your little sister?\Yup, three years younger.\I totally figured his little sister would be all...\They look pretty similar, but she wasn't all that friendly with him. response:	Wow. Can't believe Iura's a big brother.
context: You got it.\And don't touch me.\Oh, hello.\Your little sister?\Yup, three years younger.\I totally figured his little sister would be all...\They look pretty similar, but she wasn't all that friendly with him.\Wow. Can't believe Iura's a big brother. response:	He's a big bwuther...
context: And don't touch me.\Oh, hello.\Your little sister?\Yup, three years younger.\I totally figured his little sister would be all...\They look pretty similar, but she wasn't all that friendly with him.\Wow. Can't believe Iura's a big brother.\He's a big bwuther... response:	He's pretty chill outside of school.
context: Oh, hello.\Your little sister?\Yup, three years younger.\I totally figured his little sister would be all...\They look pretty similar, but she wasn't all that friendly with him.\Wow. Can't believe Iura's a big brother.\He's a big bwuther...\He's pretty chill outside of school. response:	Whoa, really?
context: Your little sister?\Yup, three years younger.\I totally figured his little sister would be all...\They look pretty similar, but she wasn't all that friendly with him.\Wow. Can't believe Iura's a big brother.\He's a big bwuther...\He's pretty chill outside of school.\Whoa, really? response:	'Sup, my dudes!
context: Yup, three years younger.\I totally figured his little sister would be all...\They look pretty similar, but she wasn't all that friendly with him.\Wow. Can't believe Iura's a big brother.\He's a big bwuther...\He's pretty chill outside of school.\Whoa, really?\'Sup, my dudes! response:	Let's go get ourselves burgerfied after school, whaddya think?!
context: I totally figured his little sister would be all...\They look pretty similar, but she wasn't all that friendly with him.\Wow. Can't believe Iura's a big brother.\He's a big bwuther...\He's pretty chill outside of school.\Whoa, really?\'Sup, my dudes!\Let's go get ourselves burgerfied after school, whaddya think?! response:	You'd better start acting more responsible!
context: They look pretty similar, but she wasn't all that friendly with him.\Wow. Can't believe Iura's a big brother.\He's a big bwuther...\He's pretty chill outside of school.\Whoa, really?\'Sup, my dudes!\Let's go get ourselves burgerfied after school, whaddya think?!\You'd better start acting more responsible! response:	What?!
context: Wow. Can't believe Iura's a big brother.\He's a big bwuther...\He's pretty chill outside of school.\Whoa, really?\'Sup, my dudes!\Let's go get ourselves burgerfied after school, whaddya think?!\You'd better start acting more responsible!\What?! response:	Horimiya
context: He's a big bwuther...\He's pretty chill outside of school.\Whoa, really?\'Sup, my dudes!\Let's go get ourselves burgerfied after school, whaddya think?!\You'd better start acting more responsible!\What?!\Horimiya response:	Student Council Room
context: He's pretty chill outside of school.\Whoa, really?\'Sup, my dudes!\Let's go get ourselves burgerfied after school, whaddya think?!\You'd better start acting more responsible!\What?!\Horimiya\Student Council Room response:	Student Council Room It May Seem Like Hate
context: Whoa, really?\'Sup, my dudes!\Let's go get ourselves burgerfied after school, whaddya think?!\You'd better start acting more responsible!\What?!\Horimiya\Student Council Room\Student Council Room It May Seem Like Hate response:	Student Council Room It May Seem Like Hate
context: 'Sup, my dudes!\Let's go get ourselves burgerfied after school, whaddya think?!\You'd better start acting more responsible!\What?!\Horimiya\Student Council Room\Student Council Room It May Seem Like Hate\Student Council Room It May Seem Like Hate response:	Psych! Just kidding!
context: Let's go get ourselves burgerfied after school, whaddya think?!\You'd better start acting more responsible!\What?!\Horimiya\Student Council Room\Student Council Room It May Seem Like Hate\Student Council Room It May Seem Like Hate\Psych! Just kidding! response:	Student Council Room It May Seem Like Hate
context: You'd better start acting more responsible!\What?!\Horimiya\Student Council Room\Student Council Room It May Seem Like Hate\Student Council Room It May Seem Like Hate\Psych! Just kidding!\Student Council Room It May Seem Like Hate response:	God, Shu, you're such a clown.
context: What?!\Horimiya\Student Council Room\Student Council Room It May Seem Like Hate\Student Council Room It May Seem Like Hate\Psych! Just kidding!\Student Council Room It May Seem Like Hate\God, Shu, you're such a clown. response:	It May Seem Like Hate
context: Horimiya\Student Council Room\Student Council Room It May Seem Like Hate\Student Council Room It May Seem Like Hate\Psych! Just kidding!\Student Council Room It May Seem Like Hate\God, Shu, you're such a clown.\It May Seem Like Hate response:	God, Shu, you're such a clown.
context: Student Council Room\Student Council Room It May Seem Like Hate\Student Council Room It May Seem Like Hate\Psych! Just kidding!\Student Council Room It May Seem Like Hate\God, Shu, you're such a clown.\It May Seem Like Hate\God, Shu, you're such a clown. response:	God, Shu, you're such a clown.
context: Student Council Room It May Seem Like Hate\Student Council Room It May Seem Like Hate\Psych! Just kidding!\Student Council Room It May Seem Like Hate\God, Shu, you're such a clown.\It May Seem Like Hate\God, Shu, you're such a clown.\God, Shu, you're such a clown. response:	Iura-kun is quite the comedian, isn't he?
context: Student Council Room It May Seem Like Hate\Psych! Just kidding!\Student Council Room It May Seem Like Hate\God, Shu, you're such a clown.\It May Seem Like Hate\God, Shu, you're such a clown.\God, Shu, you're such a clown.\Iura-kun is quite the comedian, isn't he? response:	Hey, Yanagi-kun, why do you always talk so formally?
context: Psych! Just kidding!\Student Council Room It May Seem Like Hate\God, Shu, you're such a clown.\It May Seem Like Hate\God, Shu, you're such a clown.\God, Shu, you're such a clown.\Iura-kun is quite the comedian, isn't he?\Hey, Yanagi-kun, why do you always talk so formally? response:	Wait, I do?
context: Student Council Room It May Seem Like Hate\God, Shu, you're such a clown.\It May Seem Like Hate\God, Shu, you're such a clown.\God, Shu, you're such a clown.\Iura-kun is quite the comedian, isn't he?\Hey, Yanagi-kun, why do you always talk so formally?\Wait, I do? response:	Yeah, you've been super polite to us ever since the day we met.
context: God, Shu, you're such a clown.\It May Seem Like Hate\God, Shu, you're such a clown.\God, Shu, you're such a clown.\Iura-kun is quite the comedian, isn't he?\Hey, Yanagi-kun, why do you always talk so formally?\Wait, I do?\Yeah, you've been super polite to us ever since the day we met. response:	Sorry, I suppose it's just habit.
context: It May Seem Like Hate\God, Shu, you're such a clown.\God, Shu, you're such a clown.\Iura-kun is quite the comedian, isn't he?\Hey, Yanagi-kun, why do you always talk so formally?\Wait, I do?\Yeah, you've been super polite to us ever since the day we met.\Sorry, I suppose it's just habit. response:	But you're real casual with Yuki.
context: God, Shu, you're such a clown.\God, Shu, you're such a clown.\Iura-kun is quite the comedian, isn't he?\Hey, Yanagi-kun, why do you always talk so formally?\Wait, I do?\Yeah, you've been super polite to us ever since the day we met.\Sorry, I suppose it's just habit.\But you're real casual with Yuki. response:	Really?
context: God, Shu, you're such a clown.\Iura-kun is quite the comedian, isn't he?\Hey, Yanagi-kun, why do you always talk so formally?\Wait, I do?\Yeah, you've been super polite to us ever since the day we met.\Sorry, I suppose it's just habit.\But you're real casual with Yuki.\Really? response:	Yeah, just the other day...
context: Iura-kun is quite the comedian, isn't he?\Hey, Yanagi-kun, why do you always talk so formally?\Wait, I do?\Yeah, you've been super polite to us ever since the day we met.\Sorry, I suppose it's just habit.\But you're real casual with Yuki.\Really?\Yeah, just the other day... response:	Bye-bye!
context: Hey, Yanagi-kun, why do you always talk so formally?\Wait, I do?\Yeah, you've been super polite to us ever since the day we met.\Sorry, I suppose it's just habit.\But you're real casual with Yuki.\Really?\Yeah, just the other day...\Bye-bye! response:	Oh, goodbye.
context: Wait, I do?\Yeah, you've been super polite to us ever since the day we met.\Sorry, I suppose it's just habit.\But you're real casual with Yuki.\Really?\Yeah, just the other day...\Bye-bye!\Oh, goodbye. response:	Yanagin, bye-bye!
context: Yeah, you've been super polite to us ever since the day we met.\Sorry, I suppose it's just habit.\But you're real casual with Yuki.\Really?\Yeah, just the other day...\Bye-bye!\Oh, goodbye.\Yanagin, bye-bye! response:	Right...
context: Sorry, I suppose it's just habit.\But you're real casual with Yuki.\Really?\Yeah, just the other day...\Bye-bye!\Oh, goodbye.\Yanagin, bye-bye!\Right... response:	Yanagin! Bye-bye!
context: But you're real casual with Yuki.\Really?\Yeah, just the other day...\Bye-bye!\Oh, goodbye.\Yanagin, bye-bye!\Right...\Yanagin! Bye-bye! response:	Ohmigod, you said it! You're so cute!
context: Really?\Yeah, just the other day...\Bye-bye!\Oh, goodbye.\Yanagin, bye-bye!\Right...\Yanagin! Bye-bye!\Ohmigod, you said it! You're so cute! response:	Remi-Remi, I don't know if I should be impressed or weirded out.
context: Yeah, just the other day...\Bye-bye!\Oh, goodbye.\Yanagin, bye-bye!\Right...\Yanagin! Bye-bye!\Ohmigod, you said it! You're so cute!\Remi-Remi, I don't know if I should be impressed or weirded out. response:	Thanks for waiting, Hori.
context: Bye-bye!\Oh, goodbye.\Yanagin, bye-bye!\Right...\Yanagin! Bye-bye!\Ohmigod, you said it! You're so cute!\Remi-Remi, I don't know if I should be impressed or weirded out.\Thanks for waiting, Hori. response:	What's going on there?
context: Oh, goodbye.\Yanagin, bye-bye!\Right...\Yanagin! Bye-bye!\Ohmigod, you said it! You're so cute!\Remi-Remi, I don't know if I should be impressed or weirded out.\Thanks for waiting, Hori.\What's going on there? response:	Ayasaki-san's messing with Yanagi-kun.
context: Yanagin, bye-bye!\Right...\Yanagin! Bye-bye!\Ohmigod, you said it! You're so cute!\Remi-Remi, I don't know if I should be impressed or weirded out.\Thanks for waiting, Hori.\What's going on there?\Ayasaki-san's messing with Yanagi-kun. response:	Whoa.
context: Right...\Yanagin! Bye-bye!\Ohmigod, you said it! You're so cute!\Remi-Remi, I don't know if I should be impressed or weirded out.\Thanks for waiting, Hori.\What's going on there?\Ayasaki-san's messing with Yanagi-kun.\Whoa. response:	Oh, are you guys heading home? Bye-bye!
context: Yanagin! Bye-bye!\Ohmigod, you said it! You're so cute!\Remi-Remi, I don't know if I should be impressed or weirded out.\Thanks for waiting, Hori.\What's going on there?\Ayasaki-san's messing with Yanagi-kun.\Whoa.\Oh, are you guys heading home? Bye-bye! response:	Bye. See you, Yanagi-kun.
context: Ohmigod, you said it! You're so cute!\Remi-Remi, I don't know if I should be impressed or weirded out.\Thanks for waiting, Hori.\What's going on there?\Ayasaki-san's messing with Yanagi-kun.\Whoa.\Oh, are you guys heading home? Bye-bye!\Bye. See you, Yanagi-kun. response:	Goodbye.
context: Remi-Remi, I don't know if I should be impressed or weirded out.\Thanks for waiting, Hori.\What's going on there?\Ayasaki-san's messing with Yanagi-kun.\Whoa.\Oh, are you guys heading home? Bye-bye!\Bye. See you, Yanagi-kun.\Goodbye. response:	Later.
context: Thanks for waiting, Hori.\What's going on there?\Ayasaki-san's messing with Yanagi-kun.\Whoa.\Oh, are you guys heading home? Bye-bye!\Bye. See you, Yanagi-kun.\Goodbye.\Later. response:	Yeah. Later.
context: What's going on there?\Ayasaki-san's messing with Yanagi-kun.\Whoa.\Oh, are you guys heading home? Bye-bye!\Bye. See you, Yanagi-kun.\Goodbye.\Later.\Yeah. Later. response:	See?
context: Ayasaki-san's messing with Yanagi-kun.\Whoa.\Oh, are you guys heading home? Bye-bye!\Bye. See you, Yanagi-kun.\Goodbye.\Later.\Yeah. Later.\See? response:	I'm not sure why that is...
context: Whoa.\Oh, are you guys heading home? Bye-bye!\Bye. See you, Yanagi-kun.\Goodbye.\Later.\Yeah. Later.\See?\I'm not sure why that is... response:	I'd sure like to know why.
context: Oh, are you guys heading home? Bye-bye!\Bye. See you, Yanagi-kun.\Goodbye.\Later.\Yeah. Later.\See?\I'm not sure why that is...\I'd sure like to know why. response:	Okay, Yanagi, why don't you start calling everyone by their first name?
context: Bye. See you, Yanagi-kun.\Goodbye.\Later.\Yeah. Later.\See?\I'm not sure why that is...\I'd sure like to know why.\Okay, Yanagi, why don't you start calling everyone by their first name? response:	Huh?!
context: Goodbye.\Later.\Yeah. Later.\See?\I'm not sure why that is...\I'd sure like to know why.\Okay, Yanagi, why don't you start calling everyone by their first name?\Huh?! response:	I'll call you Akane!
context: Later.\Yeah. Later.\See?\I'm not sure why that is...\I'd sure like to know why.\Okay, Yanagi, why don't you start calling everyone by their first name?\Huh?!\I'll call you Akane! response:	It's times like these that I get really jealous of Iura's peppy personality.
context: Yeah. Later.\See?\I'm not sure why that is...\I'd sure like to know why.\Okay, Yanagi, why don't you start calling everyone by their first name?\Huh?!\I'll call you Akane!\It's times like these that I get really jealous of Iura's peppy personality. response:	Everyone wants to be closer friends with Yanagi
context: See?\I'm not sure why that is...\I'd sure like to know why.\Okay, Yanagi, why don't you start calling everyone by their first name?\Huh?!\I'll call you Akane!\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi response:	It's times like these that I get really jealous of Iura's peppy personality.
context: I'm not sure why that is...\I'd sure like to know why.\Okay, Yanagi, why don't you start calling everyone by their first name?\Huh?!\I'll call you Akane!\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\It's times like these that I get really jealous of Iura's peppy personality. response:	Everyone wants to be closer friends with Yanagi
context: I'd sure like to know why.\Okay, Yanagi, why don't you start calling everyone by their first name?\Huh?!\I'll call you Akane!\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi response:	You can use my first name, too!
context: Okay, Yanagi, why don't you start calling everyone by their first name?\Huh?!\I'll call you Akane!\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\You can use my first name, too! response:	You can use my first name, too!
context: Huh?!\I'll call you Akane!\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\You can use my first name, too!\You can use my first name, too! response:	I've never called a friend by their first name before.
context: I'll call you Akane!\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\You can use my first name, too!\You can use my first name, too!\I've never called a friend by their first name before. response:	I don't think it will come easily to me.
context: It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\You can use my first name, too!\You can use my first name, too!\I've never called a friend by their first name before.\I don't think it will come easily to me. response:	No! Stop using your polite voice!
context: Everyone wants to be closer friends with Yanagi\It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\You can use my first name, too!\You can use my first name, too!\I've never called a friend by their first name before.\I don't think it will come easily to me.\No! Stop using your polite voice! response:	-Huh?
context: It's times like these that I get really jealous of Iura's peppy personality.\Everyone wants to be closer friends with Yanagi\You can use my first name, too!\You can use my first name, too!\I've never called a friend by their first name before.\I don't think it will come easily to me.\No! Stop using your polite voice!\-Huh? response:	-No more formal talk, starting now! -Huh?
context: Everyone wants to be closer friends with Yanagi\You can use my first name, too!\You can use my first name, too!\I've never called a friend by their first name before.\I don't think it will come easily to me.\No! Stop using your polite voice!\-Huh?\-No more formal talk, starting now! -Huh? response:	-No more formal talk, starting now!
context: You can use my first name, too!\You can use my first name, too!\I've never called a friend by their first name before.\I don't think it will come easily to me.\No! Stop using your polite voice!\-Huh?\-No more formal talk, starting now! -Huh?\-No more formal talk, starting now! response:	What?!
context: You can use my first name, too!\I've never called a friend by their first name before.\I don't think it will come easily to me.\No! Stop using your polite voice!\-Huh?\-No more formal talk, starting now! -Huh?\-No more formal talk, starting now!\What?! response:	Owie!
context: I've never called a friend by their first name before.\I don't think it will come easily to me.\No! Stop using your polite voice!\-Huh?\-No more formal talk, starting now! -Huh?\-No more formal talk, starting now!\What?!\Owie! response:	Stop bothering Yanagi.
context: I don't think it will come easily to me.\No! Stop using your polite voice!\-Huh?\-No more formal talk, starting now! -Huh?\-No more formal talk, starting now!\What?!\Owie!\Stop bothering Yanagi. response:	Oh, no, he's certainly not bothering me...
context: No! Stop using your polite voice!\-Huh?\-No more formal talk, starting now! -Huh?\-No more formal talk, starting now!\What?!\Owie!\Stop bothering Yanagi.\Oh, no, he's certainly not bothering me... response:	But I'd like to become closer friends with Ishikawa-kun and Miyamura-kun...
context: -Huh?\-No more formal talk, starting now! -Huh?\-No more formal talk, starting now!\What?!\Owie!\Stop bothering Yanagi.\Oh, no, he's certainly not bothering me...\But I'd like to become closer friends with Ishikawa-kun and Miyamura-kun... response:	And of course, all the rest of you, too.
context: -No more formal talk, starting now! -Huh?\-No more formal talk, starting now!\What?!\Owie!\Stop bothering Yanagi.\Oh, no, he's certainly not bothering me...\But I'd like to become closer friends with Ishikawa-kun and Miyamura-kun...\And of course, all the rest of you, too. response:	What's going on in here? This is quite the odd bunch.
context: -No more formal talk, starting now!\What?!\Owie!\Stop bothering Yanagi.\Oh, no, he's certainly not bothering me...\But I'd like to become closer friends with Ishikawa-kun and Miyamura-kun...\And of course, all the rest of you, too.\What's going on in here? This is quite the odd bunch. response:	SQUEEZE
context: What?!\Owie!\Stop bothering Yanagi.\Oh, no, he's certainly not bothering me...\But I'd like to become closer friends with Ishikawa-kun and Miyamura-kun...\And of course, all the rest of you, too.\What's going on in here? This is quite the odd bunch.\SQUEEZE response:	SQUEEZE
context: Owie!\Stop bothering Yanagi.\Oh, no, he's certainly not bothering me...\But I'd like to become closer friends with Ishikawa-kun and Miyamura-kun...\And of course, all the rest of you, too.\What's going on in here? This is quite the odd bunch.\SQUEEZE\SQUEEZE response:	Look, Yanagi, we weren't friends with this guy here until recently, either!
context: Stop bothering Yanagi.\Oh, no, he's certainly not bothering me...\But I'd like to become closer friends with Ishikawa-kun and Miyamura-kun...\And of course, all the rest of you, too.\What's going on in here? This is quite the odd bunch.\SQUEEZE\SQUEEZE\Look, Yanagi, we weren't friends with this guy here until recently, either! response:	SQUEEZE
context: Oh, no, he's certainly not bothering me...\But I'd like to become closer friends with Ishikawa-kun and Miyamura-kun...\And of course, all the rest of you, too.\What's going on in here? This is quite the odd bunch.\SQUEEZE\SQUEEZE\Look, Yanagi, we weren't friends with this guy here until recently, either!\SQUEEZE response:	Hey!
context: But I'd like to become closer friends with Ishikawa-kun and Miyamura-kun...\And of course, all the rest of you, too.\What's going on in here? This is quite the odd bunch.\SQUEEZE\SQUEEZE\Look, Yanagi, we weren't friends with this guy here until recently, either!\SQUEEZE\Hey! response:	SQUEEZE
context: And of course, all the rest of you, too.\What's going on in here? This is quite the odd bunch.\SQUEEZE\SQUEEZE\Look, Yanagi, we weren't friends with this guy here until recently, either!\SQUEEZE\Hey!\SQUEEZE response:	But look how close we are now! Isn't that great?
context: What's going on in here? This is quite the odd bunch.\SQUEEZE\SQUEEZE\Look, Yanagi, we weren't friends with this guy here until recently, either!\SQUEEZE\Hey!\SQUEEZE\But look how close we are now! Isn't that great? response:	But look how close we are now! Isn't that great?
context: SQUEEZE\SQUEEZE\Look, Yanagi, we weren't friends with this guy here until recently, either!\SQUEEZE\Hey!\SQUEEZE\But look how close we are now! Isn't that great?\But look how close we are now! Isn't that great? response:	Boy, you couldn't pay me to do that with the Prez.
context: SQUEEZE\Look, Yanagi, we weren't friends with this guy here until recently, either!\SQUEEZE\Hey!\SQUEEZE\But look how close we are now! Isn't that great?\But look how close we are now! Isn't that great?\Boy, you couldn't pay me to do that with the Prez. response:	They managed to creep out Iura-kun!
context: Look, Yanagi, we weren't friends with this guy here until recently, either!\SQUEEZE\Hey!\SQUEEZE\But look how close we are now! Isn't that great?\But look how close we are now! Isn't that great?\Boy, you couldn't pay me to do that with the Prez.\They managed to creep out Iura-kun! response:	That's quite the feat, Ishikawa-kun, Miyamura-kun!
context: SQUEEZE\Hey!\SQUEEZE\But look how close we are now! Isn't that great?\But look how close we are now! Isn't that great?\Boy, you couldn't pay me to do that with the Prez.\They managed to creep out Iura-kun!\That's quite the feat, Ishikawa-kun, Miyamura-kun! response:	Sengoku! We're good buds now, right?
context: Hey!\SQUEEZE\But look how close we are now! Isn't that great?\But look how close we are now! Isn't that great?\Boy, you couldn't pay me to do that with the Prez.\They managed to creep out Iura-kun!\That's quite the feat, Ishikawa-kun, Miyamura-kun!\Sengoku! We're good buds now, right? response:	What?!
context: SQUEEZE\But look how close we are now! Isn't that great?\But look how close we are now! Isn't that great?\Boy, you couldn't pay me to do that with the Prez.\They managed to creep out Iura-kun!\That's quite the feat, Ishikawa-kun, Miyamura-kun!\Sengoku! We're good buds now, right?\What?! response:	We got to be best buds right away, too!
context: But look how close we are now! Isn't that great?\But look how close we are now! Isn't that great?\Boy, you couldn't pay me to do that with the Prez.\They managed to creep out Iura-kun!\That's quite the feat, Ishikawa-kun, Miyamura-kun!\Sengoku! We're good buds now, right?\What?!\We got to be best buds right away, too! response:	We are n-
context: But look how close we are now! Isn't that great?\Boy, you couldn't pay me to do that with the Prez.\They managed to creep out Iura-kun!\That's quite the feat, Ishikawa-kun, Miyamura-kun!\Sengoku! We're good buds now, right?\What?!\We got to be best buds right away, too!\We are n- response:	O-Of course we're best buds!
context: Boy, you couldn't pay me to do that with the Prez.\They managed to creep out Iura-kun!\That's quite the feat, Ishikawa-kun, Miyamura-kun!\Sengoku! We're good buds now, right?\What?!\We got to be best buds right away, too!\We are n-\O-Of course we're best buds! response:	I'm best buds with all of you, Yanagi-kun, too!
context: They managed to creep out Iura-kun!\That's quite the feat, Ishikawa-kun, Miyamura-kun!\Sengoku! We're good buds now, right?\What?!\We got to be best buds right away, too!\We are n-\O-Of course we're best buds!\I'm best buds with all of you, Yanagi-kun, too! response:	Way to go, Prez!
context: That's quite the feat, Ishikawa-kun, Miyamura-kun!\Sengoku! We're good buds now, right?\What?!\We got to be best buds right away, too!\We are n-\O-Of course we're best buds!\I'm best buds with all of you, Yanagi-kun, too!\Way to go, Prez! response:	-For real! Let's finish'im off with a wrestling move!
