context: I hear the ultimate stage calling to me... response:	This voice! This melody!
context: Don't leave me!\Amata just watched as fate slipped away from him that day.\And that's you.\You haven't gotten any better.\Amata is a pathetic wimp who can't do a thing when it really counts.\So what about you? You never saved Mom either!\What have you been doing on Altair?\I made it across the dimensions, but I ended up losing Mother. response:	Mikage found me.
context: Amata just watched as fate slipped away from him that day.\And that's you.\You haven't gotten any better.\Amata is a pathetic wimp who can't do a thing when it really counts.\So what about you? You never saved Mom either!\What have you been doing on Altair?\I made it across the dimensions, but I ended up losing Mother.\Mikage found me. response:	From this day on, you are now Kagura.
context: And that's you.\You haven't gotten any better.\Amata is a pathetic wimp who can't do a thing when it really counts.\So what about you? You never saved Mom either!\What have you been doing on Altair?\I made it across the dimensions, but I ended up losing Mother.\Mikage found me.\From this day on, you are now Kagura. response:	I had lost my memories. Mikage raised me.
context: You haven't gotten any better.\Amata is a pathetic wimp who can't do a thing when it really counts.\So what about you? You never saved Mom either!\What have you been doing on Altair?\I made it across the dimensions, but I ended up losing Mother.\Mikage found me.\From this day on, you are now Kagura.\I had lost my memories. Mikage raised me. response:	I don't care about my mother anymore.
context: Amata is a pathetic wimp who can't do a thing when it really counts.\So what about you? You never saved Mom either!\What have you been doing on Altair?\I made it across the dimensions, but I ended up losing Mother.\Mikage found me.\From this day on, you are now Kagura.\I had lost my memories. Mikage raised me.\I don't care about my mother anymore. response:	I have no idea who or where she is, just like with my father.
context: So what about you? You never saved Mom either!\What have you been doing on Altair?\I made it across the dimensions, but I ended up losing Mother.\Mikage found me.\From this day on, you are now Kagura.\I had lost my memories. Mikage raised me.\I don't care about my mother anymore.\I have no idea who or where she is, just like with my father. response:	There's only one smell I care about.
context: What have you been doing on Altair?\I made it across the dimensions, but I ended up losing Mother.\Mikage found me.\From this day on, you are now Kagura.\I had lost my memories. Mikage raised me.\I don't care about my mother anymore.\I have no idea who or where she is, just like with my father.\There's only one smell I care about. response:	My own dear smelly wench, the real Silvie!
context: I made it across the dimensions, but I ended up losing Mother.\Mikage found me.\From this day on, you are now Kagura.\I had lost my memories. Mikage raised me.\I don't care about my mother anymore.\I have no idea who or where she is, just like with my father.\There's only one smell I care about.\My own dear smelly wench, the real Silvie! response:	I'm not pathetic! And I won't let you have Mikono!
context: Mikage found me.\From this day on, you are now Kagura.\I had lost my memories. Mikage raised me.\I don't care about my mother anymore.\I have no idea who or where she is, just like with my father.\There's only one smell I care about.\My own dear smelly wench, the real Silvie!\I'm not pathetic! And I won't let you have Mikono! response:	See? Pathetic.
context: From this day on, you are now Kagura.\I had lost my memories. Mikage raised me.\I don't care about my mother anymore.\I have no idea who or where she is, just like with my father.\There's only one smell I care about.\My own dear smelly wench, the real Silvie!\I'm not pathetic! And I won't let you have Mikono!\See? Pathetic. response:	You're not good enough!
context: I had lost my memories. Mikage raised me.\I don't care about my mother anymore.\I have no idea who or where she is, just like with my father.\There's only one smell I care about.\My own dear smelly wench, the real Silvie!\I'm not pathetic! And I won't let you have Mikono!\See? Pathetic.\You're not good enough! response:	Stop! Why are you fighting?
context: I don't care about my mother anymore.\I have no idea who or where she is, just like with my father.\There's only one smell I care about.\My own dear smelly wench, the real Silvie!\I'm not pathetic! And I won't let you have Mikono!\See? Pathetic.\You're not good enough!\Stop! Why are you fighting? response:	Please! Stop fighting!
context: I have no idea who or where she is, just like with my father.\There's only one smell I care about.\My own dear smelly wench, the real Silvie!\I'm not pathetic! And I won't let you have Mikono!\See? Pathetic.\You're not good enough!\Stop! Why are you fighting?\Please! Stop fighting! response:	The Wings of the Sun are finally awakening.
context: There's only one smell I care about.\My own dear smelly wench, the real Silvie!\I'm not pathetic! And I won't let you have Mikono!\See? Pathetic.\You're not good enough!\Stop! Why are you fighting?\Please! Stop fighting!\The Wings of the Sun are finally awakening. response:	What's the matter, Amata?
context: My own dear smelly wench, the real Silvie!\I'm not pathetic! And I won't let you have Mikono!\See? Pathetic.\You're not good enough!\Stop! Why are you fighting?\Please! Stop fighting!\The Wings of the Sun are finally awakening.\What's the matter, Amata? response:	You say you're not pathetic? Prove it!
context: I'm not pathetic! And I won't let you have Mikono!\See? Pathetic.\You're not good enough!\Stop! Why are you fighting?\Please! Stop fighting!\The Wings of the Sun are finally awakening.\What's the matter, Amata?\You say you're not pathetic? Prove it! response:	The hell?
context: See? Pathetic.\You're not good enough!\Stop! Why are you fighting?\Please! Stop fighting!\The Wings of the Sun are finally awakening.\What's the matter, Amata?\You say you're not pathetic? Prove it!\The hell? response:	Mikono!
context: You're not good enough!\Stop! Why are you fighting?\Please! Stop fighting!\The Wings of the Sun are finally awakening.\What's the matter, Amata?\You say you're not pathetic? Prove it!\The hell?\Mikono! response:	Silvie!
context: Stop! Why are you fighting?\Please! Stop fighting!\The Wings of the Sun are finally awakening.\What's the matter, Amata?\You say you're not pathetic? Prove it!\The hell?\Mikono!\Silvie! response:	Mikono!
context: Please! Stop fighting!\The Wings of the Sun are finally awakening.\What's the matter, Amata?\You say you're not pathetic? Prove it!\The hell?\Mikono!\Silvie!\Mikono! response:	Aquarion?
context: The Wings of the Sun are finally awakening.\What's the matter, Amata?\You say you're not pathetic? Prove it!\The hell?\Mikono!\Silvie!\Mikono!\Aquarion? response:	What's going on?
context: What's the matter, Amata?\You say you're not pathetic? Prove it!\The hell?\Mikono!\Silvie!\Mikono!\Aquarion?\What's going on? response:	Detecting higher-dimensional quanta!
context: You say you're not pathetic? Prove it!\The hell?\Mikono!\Silvie!\Mikono!\Aquarion?\What's going on?\Detecting higher-dimensional quanta! response:	They're coming from near the former lake area!
context: The hell?\Mikono!\Silvie!\Mikono!\Aquarion?\What's going on?\Detecting higher-dimensional quanta!\They're coming from near the former lake area! response:	What do these mean?
context: Mikono!\Silvie!\Mikono!\Aquarion?\What's going on?\Detecting higher-dimensional quanta!\They're coming from near the former lake area!\What do these mean? response:	Aquarion is resonating with that thing.
context: Silvie!\Mikono!\Aquarion?\What's going on?\Detecting higher-dimensional quanta!\They're coming from near the former lake area!\What do these mean?\Aquarion is resonating with that thing. response:	This is an ancient melody, coming to our ears from 12,000 years ago!
context: Mikono!\Aquarion?\What's going on?\Detecting higher-dimensional quanta!\They're coming from near the former lake area!\What do these mean?\Aquarion is resonating with that thing.\This is an ancient melody, coming to our ears from 12,000 years ago! response:	There can be no mistake.
context: Aquarion?\What's going on?\Detecting higher-dimensional quanta!\They're coming from near the former lake area!\What do these mean?\Aquarion is resonating with that thing.\This is an ancient melody, coming to our ears from 12,000 years ago!\There can be no mistake. response:	That is the Legendary Aquarion from the myth!
context: What's going on?\Detecting higher-dimensional quanta!\They're coming from near the former lake area!\What do these mean?\Aquarion is resonating with that thing.\This is an ancient melody, coming to our ears from 12,000 years ago!\There can be no mistake.\That is the Legendary Aquarion from the myth! response:	At last!
context: Detecting higher-dimensional quanta!\They're coming from near the former lake area!\What do these mean?\Aquarion is resonating with that thing.\This is an ancient melody, coming to our ears from 12,000 years ago!\There can be no mistake.\That is the Legendary Aquarion from the myth!\At last! response:	At last you show yourself, Wings of the Sun!
context: They're coming from near the former lake area!\What do these mean?\Aquarion is resonating with that thing.\This is an ancient melody, coming to our ears from 12,000 years ago!\There can be no mistake.\That is the Legendary Aquarion from the myth!\At last!\At last you show yourself, Wings of the Sun! response:	Where am I?
context: What do these mean?\Aquarion is resonating with that thing.\This is an ancient melody, coming to our ears from 12,000 years ago!\There can be no mistake.\That is the Legendary Aquarion from the myth!\At last!\At last you show yourself, Wings of the Sun!\Where am I? response:	Aquarion?
context: Aquarion is resonating with that thing.\This is an ancient melody, coming to our ears from 12,000 years ago!\There can be no mistake.\That is the Legendary Aquarion from the myth!\At last!\At last you show yourself, Wings of the Sun!\Where am I?\Aquarion? response:	It's different...
context: This is an ancient melody, coming to our ears from 12,000 years ago!\There can be no mistake.\That is the Legendary Aquarion from the myth!\At last!\At last you show yourself, Wings of the Sun!\Where am I?\Aquarion?\It's different... response:	Mikono! Mikono!
context: There can be no mistake.\That is the Legendary Aquarion from the myth!\At last!\At last you show yourself, Wings of the Sun!\Where am I?\Aquarion?\It's different...\Mikono! Mikono! response:	Amata!
context: That is the Legendary Aquarion from the myth!\At last!\At last you show yourself, Wings of the Sun!\Where am I?\Aquarion?\It's different...\Mikono! Mikono!\Amata! response:	Silvie!
context: At last!\At last you show yourself, Wings of the Sun!\Where am I?\Aquarion?\It's different...\Mikono! Mikono!\Amata!\Silvie! response:	I've been waiting for you, Silvie!
context: At last you show yourself, Wings of the Sun!\Where am I?\Aquarion?\It's different...\Mikono! Mikono!\Amata!\Silvie!\I've been waiting for you, Silvie! response:	For 12,000 long years!
context: Where am I?\Aquarion?\It's different...\Mikono! Mikono!\Amata!\Silvie!\I've been waiting for you, Silvie!\For 12,000 long years! response:	But now I can finally kill you!
context: Aquarion?\It's different...\Mikono! Mikono!\Amata!\Silvie!\I've been waiting for you, Silvie!\For 12,000 long years!\But now I can finally kill you! response:	You want to kill Mikono!
context: It's different...\Mikono! Mikono!\Amata!\Silvie!\I've been waiting for you, Silvie!\For 12,000 long years!\But now I can finally kill you!\You want to kill Mikono! response:	You bet I want to kill her!
context: Mikono! Mikono!\Amata!\Silvie!\I've been waiting for you, Silvie!\For 12,000 long years!\But now I can finally kill you!\You want to kill Mikono!\You bet I want to kill her! response:	Bitterly, violently, and coldly!
context: Amata!\Silvie!\I've been waiting for you, Silvie!\For 12,000 long years!\But now I can finally kill you!\You want to kill Mikono!\You bet I want to kill her!\Bitterly, violently, and coldly! response:	I'm going to kill her over and over!
context: Silvie!\I've been waiting for you, Silvie!\For 12,000 long years!\But now I can finally kill you!\You want to kill Mikono!\You bet I want to kill her!\Bitterly, violently, and coldly!\I'm going to kill her over and over! response:	But first...
context: I've been waiting for you, Silvie!\For 12,000 long years!\But now I can finally kill you!\You want to kill Mikono!\You bet I want to kill her!\Bitterly, violently, and coldly!\I'm going to kill her over and over!\But first... response:	I'm going to crush you, Amata!
context: For 12,000 long years!\But now I can finally kill you!\You want to kill Mikono!\You bet I want to kill her!\Bitterly, violently, and coldly!\I'm going to kill her over and over!\But first...\I'm going to crush you, Amata! response:	Wait for me, Silvie!
context: But now I can finally kill you!\You want to kill Mikono!\You bet I want to kill her!\Bitterly, violently, and coldly!\I'm going to kill her over and over!\But first...\I'm going to crush you, Amata!\Wait for me, Silvie! response:	I'll get rid of him, and then we can kill each other all night long!
context: You want to kill Mikono!\You bet I want to kill her!\Bitterly, violently, and coldly!\I'm going to kill her over and over!\But first...\I'm going to crush you, Amata!\Wait for me, Silvie!\I'll get rid of him, and then we can kill each other all night long! response:	What?
context: You bet I want to kill her!\Bitterly, violently, and coldly!\I'm going to kill her over and over!\But first...\I'm going to crush you, Amata!\Wait for me, Silvie!\I'll get rid of him, and then we can kill each other all night long!\What? response:	I won't let you touch her!
context: Bitterly, violently, and coldly!\I'm going to kill her over and over!\But first...\I'm going to crush you, Amata!\Wait for me, Silvie!\I'll get rid of him, and then we can kill each other all night long!\What?\I won't let you touch her! response:	The higher-dimensional quantum emissions are still rising!
context: I'm going to kill her over and over!\But first...\I'm going to crush you, Amata!\Wait for me, Silvie!\I'll get rid of him, and then we can kill each other all night long!\What?\I won't let you touch her!\The higher-dimensional quantum emissions are still rising! response:	Guess that settles it. That's the real deal.
context: But first...\I'm going to crush you, Amata!\Wait for me, Silvie!\I'll get rid of him, and then we can kill each other all night long!\What?\I won't let you touch her!\The higher-dimensional quantum emissions are still rising!\Guess that settles it. That's the real deal. response:	The Legendary Aquarion?
context: I'm going to crush you, Amata!\Wait for me, Silvie!\I'll get rid of him, and then we can kill each other all night long!\What?\I won't let you touch her!\The higher-dimensional quantum emissions are still rising!\Guess that settles it. That's the real deal.\The Legendary Aquarion? response:	The stories are coming to life...
context: Wait for me, Silvie!\I'll get rid of him, and then we can kill each other all night long!\What?\I won't let you touch her!\The higher-dimensional quantum emissions are still rising!\Guess that settles it. That's the real deal.\The Legendary Aquarion?\The stories are coming to life... response:	I can't believe we're actually here for this moment in history...
context: I'll get rid of him, and then we can kill each other all night long!\What?\I won't let you touch her!\The higher-dimensional quantum emissions are still rising!\Guess that settles it. That's the real deal.\The Legendary Aquarion?\The stories are coming to life...\I can't believe we're actually here for this moment in history... response:	It's a momentous time, all right. So why is that kid messing around over there?
context: What?\I won't let you touch her!\The higher-dimensional quantum emissions are still rising!\Guess that settles it. That's the real deal.\The Legendary Aquarion?\The stories are coming to life...\I can't believe we're actually here for this moment in history...\It's a momentous time, all right. So why is that kid messing around over there? response:	That is another legend in itself.
context: I won't let you touch her!\The higher-dimensional quantum emissions are still rising!\Guess that settles it. That's the real deal.\The Legendary Aquarion?\The stories are coming to life...\I can't believe we're actually here for this moment in history...\It's a momentous time, all right. So why is that kid messing around over there?\That is another legend in itself. response:	High Commander Fudo! When did you return?
context: The higher-dimensional quantum emissions are still rising!\Guess that settles it. That's the real deal.\The Legendary Aquarion?\The stories are coming to life...\I can't believe we're actually here for this moment in history...\It's a momentous time, all right. So why is that kid messing around over there?\That is another legend in itself.\High Commander Fudo! When did you return? response:	You needn't concern yourself with this lovers' spat!
context: Guess that settles it. That's the real deal.\The Legendary Aquarion?\The stories are coming to life...\I can't believe we're actually here for this moment in history...\It's a momentous time, all right. So why is that kid messing around over there?\That is another legend in itself.\High Commander Fudo! When did you return?\You needn't concern yourself with this lovers' spat! response:	Amata!
context: The Legendary Aquarion?\The stories are coming to life...\I can't believe we're actually here for this moment in history...\It's a momentous time, all right. So why is that kid messing around over there?\That is another legend in itself.\High Commander Fudo! When did you return?\You needn't concern yourself with this lovers' spat!\Amata! response:	You can't have her!
context: The stories are coming to life...\I can't believe we're actually here for this moment in history...\It's a momentous time, all right. So why is that kid messing around over there?\That is another legend in itself.\High Commander Fudo! When did you return?\You needn't concern yourself with this lovers' spat!\Amata!\You can't have her! response:	Give up already.
context: I can't believe we're actually here for this moment in history...\It's a momentous time, all right. So why is that kid messing around over there?\That is another legend in itself.\High Commander Fudo! When did you return?\You needn't concern yourself with this lovers' spat!\Amata!\You can't have her!\Give up already. response:	This was destined 12,000 years ago.
context: It's a momentous time, all right. So why is that kid messing around over there?\That is another legend in itself.\High Commander Fudo! When did you return?\You needn't concern yourself with this lovers' spat!\Amata!\You can't have her!\Give up already.\This was destined 12,000 years ago. response:	You and Silvie aren't fated.
context: That is another legend in itself.\High Commander Fudo! When did you return?\You needn't concern yourself with this lovers' spat!\Amata!\You can't have her!\Give up already.\This was destined 12,000 years ago.\You and Silvie aren't fated. response:	You can't fight fate, no matter how much you struggle.
context: High Commander Fudo! When did you return?\You needn't concern yourself with this lovers' spat!\Amata!\You can't have her!\Give up already.\This was destined 12,000 years ago.\You and Silvie aren't fated.\You can't fight fate, no matter how much you struggle. response:	Fate even brought us together across the worlds.
context: You needn't concern yourself with this lovers' spat!\Amata!\You can't have her!\Give up already.\This was destined 12,000 years ago.\You and Silvie aren't fated.\You can't fight fate, no matter how much you struggle.\Fate even brought us together across the worlds. response:	I have the wings to overcome fate!
context: Amata!\You can't have her!\Give up already.\This was destined 12,000 years ago.\You and Silvie aren't fated.\You can't fight fate, no matter how much you struggle.\Fate even brought us together across the worlds.\I have the wings to overcome fate! response:	Your wings are useless if you can't fly.
context: You can't have her!\Give up already.\This was destined 12,000 years ago.\You and Silvie aren't fated.\You can't fight fate, no matter how much you struggle.\Fate even brought us together across the worlds.\I have the wings to overcome fate!\Your wings are useless if you can't fly. response:	Well, can you? Fly if you can!
context: Give up already.\This was destined 12,000 years ago.\You and Silvie aren't fated.\You can't fight fate, no matter how much you struggle.\Fate even brought us together across the worlds.\I have the wings to overcome fate!\Your wings are useless if you can't fly.\Well, can you? Fly if you can! response:	Stop! Don't hurt Amata anymore!
context: This was destined 12,000 years ago.\You and Silvie aren't fated.\You can't fight fate, no matter how much you struggle.\Fate even brought us together across the worlds.\I have the wings to overcome fate!\Your wings are useless if you can't fly.\Well, can you? Fly if you can!\Stop! Don't hurt Amata anymore! response:	I hate that smile of yours, Silvie.
context: You and Silvie aren't fated.\You can't fight fate, no matter how much you struggle.\Fate even brought us together across the worlds.\I have the wings to overcome fate!\Your wings are useless if you can't fly.\Well, can you? Fly if you can!\Stop! Don't hurt Amata anymore!\I hate that smile of yours, Silvie. response:	It makes me want to kill you even more.
context: You can't fight fate, no matter how much you struggle.\Fate even brought us together across the worlds.\I have the wings to overcome fate!\Your wings are useless if you can't fly.\Well, can you? Fly if you can!\Stop! Don't hurt Amata anymore!\I hate that smile of yours, Silvie.\It makes me want to kill you even more. response:	Smile for me more.
context: Fate even brought us together across the worlds.\I have the wings to overcome fate!\Your wings are useless if you can't fly.\Well, can you? Fly if you can!\Stop! Don't hurt Amata anymore!\I hate that smile of yours, Silvie.\It makes me want to kill you even more.\Smile for me more. response:	More! Smile more!
context: I have the wings to overcome fate!\Your wings are useless if you can't fly.\Well, can you? Fly if you can!\Stop! Don't hurt Amata anymore!\I hate that smile of yours, Silvie.\It makes me want to kill you even more.\Smile for me more.\More! Smile more! response:	Where is this?
context: Your wings are useless if you can't fly.\Well, can you? Fly if you can!\Stop! Don't hurt Amata anymore!\I hate that smile of yours, Silvie.\It makes me want to kill you even more.\Smile for me more.\More! Smile more!\Where is this? response:	Am I dead?
context: Well, can you? Fly if you can!\Stop! Don't hurt Amata anymore!\I hate that smile of yours, Silvie.\It makes me want to kill you even more.\Smile for me more.\More! Smile more!\Where is this?\Am I dead? response:	Amata!
context: Stop! Don't hurt Amata anymore!\I hate that smile of yours, Silvie.\It makes me want to kill you even more.\Smile for me more.\More! Smile more!\Where is this?\Am I dead?\Amata! response:	I'm so glad you're okay, Zessica!
context: I hate that smile of yours, Silvie.\It makes me want to kill you even more.\Smile for me more.\More! Smile more!\Where is this?\Am I dead?\Amata!\I'm so glad you're okay, Zessica! response:	Me too, Amata!
context: It makes me want to kill you even more.\Smile for me more.\More! Smile more!\Where is this?\Am I dead?\Amata!\I'm so glad you're okay, Zessica!\Me too, Amata! response:	Did you come back because you were worried about me?
context: Smile for me more.\More! Smile more!\Where is this?\Am I dead?\Amata!\I'm so glad you're okay, Zessica!\Me too, Amata!\Did you come back because you were worried about me? response:	Zessica, I finally understand.
context: More! Smile more!\Where is this?\Am I dead?\Amata!\I'm so glad you're okay, Zessica!\Me too, Amata!\Did you come back because you were worried about me?\Zessica, I finally understand. response:	I finally know what's precious to me.
context: Where is this?\Am I dead?\Amata!\I'm so glad you're okay, Zessica!\Me too, Amata!\Did you come back because you were worried about me?\Zessica, I finally understand.\I finally know what's precious to me. response:	Amata...
context: Am I dead?\Amata!\I'm so glad you're okay, Zessica!\Me too, Amata!\Did you come back because you were worried about me?\Zessica, I finally understand.\I finally know what's precious to me.\Amata... response:	Wake up.
context: Amata!\I'm so glad you're okay, Zessica!\Me too, Amata!\Did you come back because you were worried about me?\Zessica, I finally understand.\I finally know what's precious to me.\Amata...\Wake up. response:	You can't die yet.
context: I'm so glad you're okay, Zessica!\Me too, Amata!\Did you come back because you were worried about me?\Zessica, I finally understand.\I finally know what's precious to me.\Amata...\Wake up.\You can't die yet. response:	Because...
context: Me too, Amata!\Did you come back because you were worried about me?\Zessica, I finally understand.\I finally know what's precious to me.\Amata...\Wake up.\You can't die yet.\Because... response:	You haven't fulfilled your promise to me.
context: Did you come back because you were worried about me?\Zessica, I finally understand.\I finally know what's precious to me.\Amata...\Wake up.\You can't die yet.\Because...\You haven't fulfilled your promise to me. response:	Nooo!
context: Zessica, I finally understand.\I finally know what's precious to me.\Amata...\Wake up.\You can't die yet.\Because...\You haven't fulfilled your promise to me.\Nooo! response:	You can't die yet.
context: I finally know what's precious to me.\Amata...\Wake up.\You can't die yet.\Because...\You haven't fulfilled your promise to me.\Nooo!\You can't die yet. response:	Because you haven't fulfilled your promise to me.
context: Amata...\Wake up.\You can't die yet.\Because...\You haven't fulfilled your promise to me.\Nooo!\You can't die yet.\Because you haven't fulfilled your promise to me. response:	What promise?
context: Wake up.\You can't die yet.\Because...\You haven't fulfilled your promise to me.\Nooo!\You can't die yet.\Because you haven't fulfilled your promise to me.\What promise? response:	Please, stop!
context: You can't die yet.\Because...\You haven't fulfilled your promise to me.\Nooo!\You can't die yet.\Because you haven't fulfilled your promise to me.\What promise?\Please, stop! response:	I don't want to see you two fight anymore!
context: Because...\You haven't fulfilled your promise to me.\Nooo!\You can't die yet.\Because you haven't fulfilled your promise to me.\What promise?\Please, stop!\I don't want to see you two fight anymore! response:	I can't do that, Mikono!
context: You haven't fulfilled your promise to me.\Nooo!\You can't die yet.\Because you haven't fulfilled your promise to me.\What promise?\Please, stop!\I don't want to see you two fight anymore!\I can't do that, Mikono! response:	I'm going to settle this right now!
context: Nooo!\You can't die yet.\Because you haven't fulfilled your promise to me.\What promise?\Please, stop!\I don't want to see you two fight anymore!\I can't do that, Mikono!\I'm going to settle this right now! response:	Settle what?
context: You can't die yet.\Because you haven't fulfilled your promise to me.\What promise?\Please, stop!\I don't want to see you two fight anymore!\I can't do that, Mikono!\I'm going to settle this right now!\Settle what? response:	You want Mikono because you think you're destined?
context: Because you haven't fulfilled your promise to me.\What promise?\Please, stop!\I don't want to see you two fight anymore!\I can't do that, Mikono!\I'm going to settle this right now!\Settle what?\You want Mikono because you think you're destined? response:	Exactly. How many times do I have to say it?
context: What promise?\Please, stop!\I don't want to see you two fight anymore!\I can't do that, Mikono!\I'm going to settle this right now!\Settle what?\You want Mikono because you think you're destined?\Exactly. How many times do I have to say it? response:	Well, not me!
