context: This is the International Rescue Fleet of the Norma Administration Board. response:	Normas, thank you for your good work fighting the DRAGONs.
context: Yes, ma'am!\Arzenal is arming its anti-air weapons.\Oh, dear.\I was hoping to go about this peacefully.\Emperor Julio the First to all ships.\The Norma have just now rejected our rescue.\This is a clear act of treason against usagainst all humanity.\We cannot turn a blind eye to this. response:	All units, attack!
context: Arzenal is arming its anti-air weapons.\Oh, dear.\I was hoping to go about this peacefully.\Emperor Julio the First to all ships.\The Norma have just now rejected our rescue.\This is a clear act of treason against usagainst all humanity.\We cannot turn a blind eye to this.\All units, attack! response:	Girls, they're coming!
context: Oh, dear.\I was hoping to go about this peacefully.\Emperor Julio the First to all ships.\The Norma have just now rejected our rescue.\This is a clear act of treason against usagainst all humanity.\We cannot turn a blind eye to this.\All units, attack!\Girls, they're coming! response:	Shit, I was late.
context: I was hoping to go about this peacefully.\Emperor Julio the First to all ships.\The Norma have just now rejected our rescue.\This is a clear act of treason against usagainst all humanity.\We cannot turn a blind eye to this.\All units, attack!\Girls, they're coming!\Shit, I was late. response:	Please be safe, Ange.
context: Emperor Julio the First to all ships.\The Norma have just now rejected our rescue.\This is a clear act of treason against usagainst all humanity.\We cannot turn a blind eye to this.\All units, attack!\Girls, they're coming!\Shit, I was late.\Please be safe, Ange. response:	Arzenal in Flames
context: The Norma have just now rejected our rescue.\This is a clear act of treason against usagainst all humanity.\We cannot turn a blind eye to this.\All units, attack!\Girls, they're coming!\Shit, I was late.\Please be safe, Ange.\Arzenal in Flames response:	They're attacking us.
context: This is a clear act of treason against usagainst all humanity.\We cannot turn a blind eye to this.\All units, attack!\Girls, they're coming!\Shit, I was late.\Please be safe, Ange.\Arzenal in Flames\They're attacking us. response:	The rescue was a lie.
context: We cannot turn a blind eye to this.\All units, attack!\Girls, they're coming!\Shit, I was late.\Please be safe, Ange.\Arzenal in Flames\They're attacking us.\The rescue was a lie. response:	Everyone, they're humans.
context: All units, attack!\Girls, they're coming!\Shit, I was late.\Please be safe, Ange.\Arzenal in Flames\They're attacking us.\The rescue was a lie.\Everyone, they're humans. response:	They have no intention of helping us Norma.
context: Girls, they're coming!\Shit, I was late.\Please be safe, Ange.\Arzenal in Flames\They're attacking us.\The rescue was a lie.\Everyone, they're humans.\They have no intention of helping us Norma. response:	They intend to gather us up
context: Shit, I was late.\Please be safe, Ange.\Arzenal in Flames\They're attacking us.\The rescue was a lie.\Everyone, they're humans.\They have no intention of helping us Norma.\They intend to gather us up response:	like possessions and assign us to fight elsewhere.
context: Please be safe, Ange.\Arzenal in Flames\They're attacking us.\The rescue was a lie.\Everyone, they're humans.\They have no intention of helping us Norma.\They intend to gather us up\like possessions and assign us to fight elsewhere. response:	Those of you who want that, surrender.
context: Arzenal in Flames\They're attacking us.\The rescue was a lie.\Everyone, they're humans.\They have no intention of helping us Norma.\They intend to gather us up\like possessions and assign us to fight elsewhere.\Those of you who want that, surrender. response:	But if you want to resist, follow me.
context: They're attacking us.\The rescue was a lie.\Everyone, they're humans.\They have no intention of helping us Norma.\They intend to gather us up\like possessions and assign us to fight elsewhere.\Those of you who want that, surrender.\But if you want to resist, follow me. response:	Arzenal command hereby rejects human administration.
context: The rescue was a lie.\Everyone, they're humans.\They have no intention of helping us Norma.\They intend to gather us up\like possessions and assign us to fight elsewhere.\Those of you who want that, surrender.\But if you want to resist, follow me.\Arzenal command hereby rejects human administration. response:	We will now begin our rebellion...
context: Everyone, they're humans.\They have no intention of helping us Norma.\They intend to gather us up\like possessions and assign us to fight elsewhere.\Those of you who want that, surrender.\But if you want to resist, follow me.\Arzenal command hereby rejects human administration.\We will now begin our rebellion... response:	Operation Libertus.
context: They have no intention of helping us Norma.\They intend to gather us up\like possessions and assign us to fight elsewhere.\Those of you who want that, surrender.\But if you want to resist, follow me.\Arzenal command hereby rejects human administration.\We will now begin our rebellion...\Operation Libertus. response:	Those who wish to join us should take arms
context: They intend to gather us up\like possessions and assign us to fight elsewhere.\Those of you who want that, surrender.\But if you want to resist, follow me.\Arzenal command hereby rejects human administration.\We will now begin our rebellion...\Operation Libertus.\Those who wish to join us should take arms response:	and gather at the lowest level of Arzenal.
context: like possessions and assign us to fight elsewhere.\Those of you who want that, surrender.\But if you want to resist, follow me.\Arzenal command hereby rejects human administration.\We will now begin our rebellion...\Operation Libertus.\Those who wish to join us should take arms\and gather at the lowest level of Arzenal. response:	That is all.
context: Those of you who want that, surrender.\But if you want to resist, follow me.\Arzenal command hereby rejects human administration.\We will now begin our rebellion...\Operation Libertus.\Those who wish to join us should take arms\and gather at the lowest level of Arzenal.\That is all. response:	What will you do?
context: But if you want to resist, follow me.\Arzenal command hereby rejects human administration.\We will now begin our rebellion...\Operation Libertus.\Those who wish to join us should take arms\and gather at the lowest level of Arzenal.\That is all.\What will you do? response:	We'll come with you,
context: Arzenal command hereby rejects human administration.\We will now begin our rebellion...\Operation Libertus.\Those who wish to join us should take arms\and gather at the lowest level of Arzenal.\That is all.\What will you do?\We'll come with you, response:	Commander.
context: We will now begin our rebellion...\Operation Libertus.\Those who wish to join us should take arms\and gather at the lowest level of Arzenal.\That is all.\What will you do?\We'll come with you,\Commander. response:	Salia,
context: Operation Libertus.\Those who wish to join us should take arms\and gather at the lowest level of Arzenal.\That is all.\What will you do?\We'll come with you,\Commander.\Salia, response:	do not fail to bring Ange.
context: Those who wish to join us should take arms\and gather at the lowest level of Arzenal.\That is all.\What will you do?\We'll come with you,\Commander.\Salia,\do not fail to bring Ange. response:	I understand.
context: and gather at the lowest level of Arzenal.\That is all.\What will you do?\We'll come with you,\Commander.\Salia,\do not fail to bring Ange.\I understand. response:	When did this get so...
context: That is all.\What will you do?\We'll come with you,\Commander.\Salia,\do not fail to bring Ange.\I understand.\When did this get so... response:	Pamela, you sit in the pilot seat.
context: What will you do?\We'll come with you,\Commander.\Salia,\do not fail to bring Ange.\I understand.\When did this get so...\Pamela, you sit in the pilot seat. response:	Hikaru, you'll take radar.
context: We'll come with you,\Commander.\Salia,\do not fail to bring Ange.\I understand.\When did this get so...\Pamela, you sit in the pilot seat.\Hikaru, you'll take radar. response:	Olivier, on comms.
context: Commander.\Salia,\do not fail to bring Ange.\I understand.\When did this get so...\Pamela, you sit in the pilot seat.\Hikaru, you'll take radar.\Olivier, on comms. response:	All systems engaged.
context: Salia,\do not fail to bring Ange.\I understand.\When did this get so...\Pamela, you sit in the pilot seat.\Hikaru, you'll take radar.\Olivier, on comms.\All systems engaged. response:	Prepare for take-off.
context: do not fail to bring Ange.\I understand.\When did this get so...\Pamela, you sit in the pilot seat.\Hikaru, you'll take radar.\Olivier, on comms.\All systems engaged.\Prepare for take-off. response:	Yes, ma'am!
context: I understand.\When did this get so...\Pamela, you sit in the pilot seat.\Hikaru, you'll take radar.\Olivier, on comms.\All systems engaged.\Prepare for take-off.\Yes, ma'am! response:	Rebellion? What are they talking about?
context: When did this get so...\Pamela, you sit in the pilot seat.\Hikaru, you'll take radar.\Olivier, on comms.\All systems engaged.\Prepare for take-off.\Yes, ma'am!\Rebellion? What are they talking about? response:	It's die following the commander's orders,
context: Pamela, you sit in the pilot seat.\Hikaru, you'll take radar.\Olivier, on comms.\All systems engaged.\Prepare for take-off.\Yes, ma'am!\Rebellion? What are they talking about?\It's die following the commander's orders, response:	or be killed by the humans, I suppose.
context: Hikaru, you'll take radar.\Olivier, on comms.\All systems engaged.\Prepare for take-off.\Yes, ma'am!\Rebellion? What are they talking about?\It's die following the commander's orders,\or be killed by the humans, I suppose. response:	Hilda here.
context: Olivier, on comms.\All systems engaged.\Prepare for take-off.\Yes, ma'am!\Rebellion? What are they talking about?\It's die following the commander's orders,\or be killed by the humans, I suppose.\Hilda here. response:	Awaiting orders.
context: All systems engaged.\Prepare for take-off.\Yes, ma'am!\Rebellion? What are they talking about?\It's die following the commander's orders,\or be killed by the humans, I suppose.\Hilda here.\Awaiting orders. response:	I despise and hate the humans.
context: Prepare for take-off.\Yes, ma'am!\Rebellion? What are they talking about?\It's die following the commander's orders,\or be killed by the humans, I suppose.\Hilda here.\Awaiting orders.\I despise and hate the humans. response:	It's a good time to fight back.
context: Yes, ma'am!\Rebellion? What are they talking about?\It's die following the commander's orders,\or be killed by the humans, I suppose.\Hilda here.\Awaiting orders.\I despise and hate the humans.\It's a good time to fight back. response:	The second wave of enemies is approaching.
context: Rebellion? What are they talking about?\It's die following the commander's orders,\or be killed by the humans, I suppose.\Hilda here.\Awaiting orders.\I despise and hate the humans.\It's a good time to fight back.\The second wave of enemies is approaching. response:	Use the Para-mails to engage them.
context: It's die following the commander's orders,\or be killed by the humans, I suppose.\Hilda here.\Awaiting orders.\I despise and hate the humans.\It's a good time to fight back.\The second wave of enemies is approaching.\Use the Para-mails to engage them. response:	Yes, ma'am.
context: or be killed by the humans, I suppose.\Hilda here.\Awaiting orders.\I despise and hate the humans.\It's a good time to fight back.\The second wave of enemies is approaching.\Use the Para-mails to engage them.\Yes, ma'am. response:	I'll go, too, Hilda-chan.
context: Hilda here.\Awaiting orders.\I despise and hate the humans.\It's a good time to fight back.\The second wave of enemies is approaching.\Use the Para-mails to engage them.\Yes, ma'am.\I'll go, too, Hilda-chan. response:	We have to protect what's precious to us.
context: Awaiting orders.\I despise and hate the humans.\It's a good time to fight back.\The second wave of enemies is approaching.\Use the Para-mails to engage them.\Yes, ma'am.\I'll go, too, Hilda-chan.\We have to protect what's precious to us. response:	There's no way we can survive defying the humans!
context: I despise and hate the humans.\It's a good time to fight back.\The second wave of enemies is approaching.\Use the Para-mails to engage them.\Yes, ma'am.\I'll go, too, Hilda-chan.\We have to protect what's precious to us.\There's no way we can survive defying the humans! response:	We won't know until we try.
context: It's a good time to fight back.\The second wave of enemies is approaching.\Use the Para-mails to engage them.\Yes, ma'am.\I'll go, too, Hilda-chan.\We have to protect what's precious to us.\There's no way we can survive defying the humans!\We won't know until we try. response:	Right, Ange?
context: The second wave of enemies is approaching.\Use the Para-mails to engage them.\Yes, ma'am.\I'll go, too, Hilda-chan.\We have to protect what's precious to us.\There's no way we can survive defying the humans!\We won't know until we try.\Right, Ange? response:	The Villkiss is our top priority.
context: Use the Para-mails to engage them.\Yes, ma'am.\I'll go, too, Hilda-chan.\We have to protect what's precious to us.\There's no way we can survive defying the humans!\We won't know until we try.\Right, Ange?\The Villkiss is our top priority. response:	Ready the ammo later.
context: Yes, ma'am.\I'll go, too, Hilda-chan.\We have to protect what's precious to us.\There's no way we can survive defying the humans!\We won't know until we try.\Right, Ange?\The Villkiss is our top priority.\Ready the ammo later. response:	Take it to the emergency elevator.
context: I'll go, too, Hilda-chan.\We have to protect what's precious to us.\There's no way we can survive defying the humans!\We won't know until we try.\Right, Ange?\The Villkiss is our top priority.\Ready the ammo later.\Take it to the emergency elevator. response:	Mei, are we ready for take-off?
context: We have to protect what's precious to us.\There's no way we can survive defying the humans!\We won't know until we try.\Right, Ange?\The Villkiss is our top priority.\Ready the ammo later.\Take it to the emergency elevator.\Mei, are we ready for take-off? response:	Eh? Yeah, ready when you are.
context: There's no way we can survive defying the humans!\We won't know until we try.\Right, Ange?\The Villkiss is our top priority.\Ready the ammo later.\Take it to the emergency elevator.\Mei, are we ready for take-off?\Eh? Yeah, ready when you are. response:	Us, too.
context: We won't know until we try.\Right, Ange?\The Villkiss is our top priority.\Ready the ammo later.\Take it to the emergency elevator.\Mei, are we ready for take-off?\Eh? Yeah, ready when you are.\Us, too. response:	I, Tanya, and my group are ready to sortie, Captain Hilda.
context: Right, Ange?\The Villkiss is our top priority.\Ready the ammo later.\Take it to the emergency elevator.\Mei, are we ready for take-off?\Eh? Yeah, ready when you are.\Us, too.\I, Tanya, and my group are ready to sortie, Captain Hilda. response:	Good.
context: The Villkiss is our top priority.\Ready the ammo later.\Take it to the emergency elevator.\Mei, are we ready for take-off?\Eh? Yeah, ready when you are.\Us, too.\I, Tanya, and my group are ready to sortie, Captain Hilda.\Good. response:	First Troop, sortie!
context: Ready the ammo later.\Take it to the emergency elevator.\Mei, are we ready for take-off?\Eh? Yeah, ready when you are.\Us, too.\I, Tanya, and my group are ready to sortie, Captain Hilda.\Good.\First Troop, sortie! response:	Are we really going to fight humans?
context: Take it to the emergency elevator.\Mei, are we ready for take-off?\Eh? Yeah, ready when you are.\Us, too.\I, Tanya, and my group are ready to sortie, Captain Hilda.\Good.\First Troop, sortie!\Are we really going to fight humans? response:	What's that?
context: Mei, are we ready for take-off?\Eh? Yeah, ready when you are.\Us, too.\I, Tanya, and my group are ready to sortie, Captain Hilda.\Good.\First Troop, sortie!\Are we really going to fight humans?\What's that? response:	Retreat!
context: Eh? Yeah, ready when you are.\Us, too.\I, Tanya, and my group are ready to sortie, Captain Hilda.\Good.\First Troop, sortie!\Are we really going to fight humans?\What's that?\Retreat! response:	What was that?
context: Us, too.\I, Tanya, and my group are ready to sortie, Captain Hilda.\Good.\First Troop, sortie!\Are we really going to fight humans?\What's that?\Retreat!\What was that? response:	Shit.
context: I, Tanya, and my group are ready to sortie, Captain Hilda.\Good.\First Troop, sortie!\Are we really going to fight humans?\What's that?\Retreat!\What was that?\Shit. response:	C-Captain!
context: Good.\First Troop, sortie!\Are we really going to fight humans?\What's that?\Retreat!\What was that?\Shit.\C-Captain! response:	What is it, Tanya?
context: First Troop, sortie!\Are we really going to fight humans?\What's that?\Retreat!\What was that?\Shit.\C-Captain!\What is it, Tanya? response:	The unidentified machines are everywhere!
context: Are we really going to fight humans?\What's that?\Retreat!\What was that?\Shit.\C-Captain!\What is it, Tanya?\The unidentified machines are everywhere! response:	Help me!
context: What's that?\Retreat!\What was that?\Shit.\C-Captain!\What is it, Tanya?\The unidentified machines are everywhere!\Help me! response:	Captain!
context: Retreat!\What was that?\Shit.\C-Captain!\What is it, Tanya?\The unidentified machines are everywhere!\Help me!\Captain! response:	Ilma! They took Ilma!
context: What was that?\Shit.\C-Captain!\What is it, Tanya?\The unidentified machines are everywhere!\Help me!\Captain!\Ilma! They took Ilma! response:	They took her?
context: Shit.\C-Captain!\What is it, Tanya?\The unidentified machines are everywhere!\Help me!\Captain!\Ilma! They took Ilma!\They took her? response:	What?
context: C-Captain!\What is it, Tanya?\The unidentified machines are everywhere!\Help me!\Captain!\Ilma! They took Ilma!\They took her?\What? response:	Generators are not responding.
context: What is it, Tanya?\The unidentified machines are everywhere!\Help me!\Captain!\Ilma! They took Ilma!\They took her?\What?\Generators are not responding. response:	All power to the base has been lost.
context: The unidentified machines are everywhere!\Help me!\Captain!\Ilma! They took Ilma!\They took her?\What?\Generators are not responding.\All power to the base has been lost. response:	Activate auxiliary power.
context: Help me!\Captain!\Ilma! They took Ilma!\They took her?\What?\Generators are not responding.\All power to the base has been lost.\Activate auxiliary power. response:	Was it battle damage?
context: Captain!\Ilma! They took Ilma!\They took her?\What?\Generators are not responding.\All power to the base has been lost.\Activate auxiliary power.\Was it battle damage? response:	We've been infiltrated.
context: Ilma! They took Ilma!\They took her?\What?\Generators are not responding.\All power to the base has been lost.\Activate auxiliary power.\Was it battle damage?\We've been infiltrated. response:	No matches.
context: They took her?\What?\Generators are not responding.\All power to the base has been lost.\Activate auxiliary power.\Was it battle damage?\We've been infiltrated.\No matches. response:	Are we really going to kill them?
context: What?\Generators are not responding.\All power to the base has been lost.\Activate auxiliary power.\Was it battle damage?\We've been infiltrated.\No matches.\Are we really going to kill them? response:	Priority One is Angelise.
context: Generators are not responding.\All power to the base has been lost.\Activate auxiliary power.\Was it battle damage?\We've been infiltrated.\No matches.\Are we really going to kill them?\Priority One is Angelise. response:	Priority Two is Villkiss.
context: All power to the base has been lost.\Activate auxiliary power.\Was it battle damage?\We've been infiltrated.\No matches.\Are we really going to kill them?\Priority One is Angelise.\Priority Two is Villkiss. response:	Priority Three are Mail riders.
context: Activate auxiliary power.\Was it battle damage?\We've been infiltrated.\No matches.\Are we really going to kill them?\Priority One is Angelise.\Priority Two is Villkiss.\Priority Three are Mail riders. response:	We are to destroy the rest.
context: Was it battle damage?\We've been infiltrated.\No matches.\Are we really going to kill them?\Priority One is Angelise.\Priority Two is Villkiss.\Priority Three are Mail riders.\We are to destroy the rest. response:	Enemies are inside Arzenal.
context: We've been infiltrated.\No matches.\Are we really going to kill them?\Priority One is Angelise.\Priority Two is Villkiss.\Priority Three are Mail riders.\We are to destroy the rest.\Enemies are inside Arzenal. response:	Their objective is to eliminate all personnel.
context: No matches.\Are we really going to kill them?\Priority One is Angelise.\Priority Two is Villkiss.\Priority Three are Mail riders.\We are to destroy the rest.\Enemies are inside Arzenal.\Their objective is to eliminate all personnel. response:	All units, retreat!
context: Are we really going to kill them?\Priority One is Angelise.\Priority Two is Villkiss.\Priority Three are Mail riders.\We are to destroy the rest.\Enemies are inside Arzenal.\Their objective is to eliminate all personnel.\All units, retreat! response:	Run!
context: Priority One is Angelise.\Priority Two is Villkiss.\Priority Three are Mail riders.\We are to destroy the rest.\Enemies are inside Arzenal.\Their objective is to eliminate all personnel.\All units, retreat!\Run! response:	Ersha.
context: Priority Two is Villkiss.\Priority Three are Mail riders.\We are to destroy the rest.\Enemies are inside Arzenal.\Their objective is to eliminate all personnel.\All units, retreat!\Run!\Ersha. response:	Sorry, I'll be right back.
context: Priority Three are Mail riders.\We are to destroy the rest.\Enemies are inside Arzenal.\Their objective is to eliminate all personnel.\All units, retreat!\Run!\Ersha.\Sorry, I'll be right back. response:	Dammit.
context: We are to destroy the rest.\Enemies are inside Arzenal.\Their objective is to eliminate all personnel.\All units, retreat!\Run!\Ersha.\Sorry, I'll be right back.\Dammit. response:	All units on deck.
context: Enemies are inside Arzenal.\Their objective is to eliminate all personnel.\All units, retreat!\Run!\Ersha.\Sorry, I'll be right back.\Dammit.\All units on deck. response:	The enemy's objective is Villkiss.
context: Their objective is to eliminate all personnel.\All units, retreat!\Run!\Ersha.\Sorry, I'll be right back.\Dammit.\All units on deck.\The enemy's objective is Villkiss. response:	Bringing it to the lowest underground level is your top priority.
context: All units, retreat!\Run!\Ersha.\Sorry, I'll be right back.\Dammit.\All units on deck.\The enemy's objective is Villkiss.\Bringing it to the lowest underground level is your top priority. response:	Maintenance crew, gather!
context: Run!\Ersha.\Sorry, I'll be right back.\Dammit.\All units on deck.\The enemy's objective is Villkiss.\Bringing it to the lowest underground level is your top priority.\Maintenance crew, gather! response:	We'll move Villkiss down manually.
context: Ersha.\Sorry, I'll be right back.\Dammit.\All units on deck.\The enemy's objective is Villkiss.\Bringing it to the lowest underground level is your top priority.\Maintenance crew, gather!\We'll move Villkiss down manually. response:	Yes, ma'am!
context: Sorry, I'll be right back.\Dammit.\All units on deck.\The enemy's objective is Villkiss.\Bringing it to the lowest underground level is your top priority.\Maintenance crew, gather!\We'll move Villkiss down manually.\Yes, ma'am! response:	Your top priority is to transport the severely injured.
context: Dammit.\All units on deck.\The enemy's objective is Villkiss.\Bringing it to the lowest underground level is your top priority.\Maintenance crew, gather!\We'll move Villkiss down manually.\Yes, ma'am!\Your top priority is to transport the severely injured. response:	Don't complain about a little spilled blood!
context: All units on deck.\The enemy's objective is Villkiss.\Bringing it to the lowest underground level is your top priority.\Maintenance crew, gather!\We'll move Villkiss down manually.\Yes, ma'am!\Your top priority is to transport the severely injured.\Don't complain about a little spilled blood! response:	Help me! I'm not a Norma!
context: The enemy's objective is Villkiss.\Bringing it to the lowest underground level is your top priority.\Maintenance crew, gather!\We'll move Villkiss down manually.\Yes, ma'am!\Your top priority is to transport the severely injured.\Don't complain about a little spilled blood!\Help me! I'm not a Norma! response:	Idiot!
context: Bringing it to the lowest underground level is your top priority.\Maintenance crew, gather!\We'll move Villkiss down manually.\Yes, ma'am!\Your top priority is to transport the severely injured.\Don't complain about a little spilled blood!\Help me! I'm not a Norma!\Idiot! response:	Are you trying to get killed?
context: Maintenance crew, gather!\We'll move Villkiss down manually.\Yes, ma'am!\Your top priority is to transport the severely injured.\Don't complain about a little spilled blood!\Help me! I'm not a Norma!\Idiot!\Are you trying to get killed? response:	We've been overrun.
context: We'll move Villkiss down manually.\Yes, ma'am!\Your top priority is to transport the severely injured.\Don't complain about a little spilled blood!\Help me! I'm not a Norma!\Idiot!\Are you trying to get killed?\We've been overrun. response:	Retreat.
context: Yes, ma'am!\Your top priority is to transport the severely injured.\Don't complain about a little spilled blood!\Help me! I'm not a Norma!\Idiot!\Are you trying to get killed?\We've been overrun.\Retreat. response:	Vivian!
context: Your top priority is to transport the severely injured.\Don't complain about a little spilled blood!\Help me! I'm not a Norma!\Idiot!\Are you trying to get killed?\We've been overrun.\Retreat.\Vivian! response:	Match found. She's a Mail rider.
context: Don't complain about a little spilled blood!\Help me! I'm not a Norma!\Idiot!\Are you trying to get killed?\We've been overrun.\Retreat.\Vivian!\Match found. She's a Mail rider. response:	What are you trying to do to her?
context: Help me! I'm not a Norma!\Idiot!\Are you trying to get killed?\We've been overrun.\Retreat.\Vivian!\Match found. She's a Mail rider.\What are you trying to do to her? response:	Vivian!
context: Idiot!\Are you trying to get killed?\We've been overrun.\Retreat.\Vivian!\Match found. She's a Mail rider.\What are you trying to do to her?\Vivian! response:	Vivian!
context: Are you trying to get killed?\We've been overrun.\Retreat.\Vivian!\Match found. She's a Mail rider.\What are you trying to do to her?\Vivian!\Vivian! response:	Onee's gatling gun!
context: We've been overrun.\Retreat.\Vivian!\Match found. She's a Mail rider.\What are you trying to do to her?\Vivian!\Vivian!\Onee's gatling gun! response:	Bastards!
context: Retreat.\Vivian!\Match found. She's a Mail rider.\What are you trying to do to her?\Vivian!\Vivian!\Onee's gatling gun!\Bastards! response:	It's over.
context: Vivian!\Match found. She's a Mail rider.\What are you trying to do to her?\Vivian!\Vivian!\Onee's gatling gun!\Bastards!\It's over. response:	We're going to die.
context: Match found. She's a Mail rider.\What are you trying to do to her?\Vivian!\Vivian!\Onee's gatling gun!\Bastards!\It's over.\We're going to die. response:	We're the infamous First Troop. We can't die now!
context: What are you trying to do to her?\Vivian!\Vivian!\Onee's gatling gun!\Bastards!\It's over.\We're going to die.\We're the infamous First Troop. We can't die now! response:	It's too late to act like a captain now.
context: Vivian!\Vivian!\Onee's gatling gun!\Bastards!\It's over.\We're going to die.\We're the infamous First Troop. We can't die now!\It's too late to act like a captain now. response:	Fine, fine.
context: Vivian!\Onee's gatling gun!\Bastards!\It's over.\We're going to die.\We're the infamous First Troop. We can't die now!\It's too late to act like a captain now.\Fine, fine. response:	Look out!
context: Onee's gatling gun!\Bastards!\It's over.\We're going to die.\We're the infamous First Troop. We can't die now!\It's too late to act like a captain now.\Fine, fine.\Look out! response:	Son of a bitch!
context: Bastards!\It's over.\We're going to die.\We're the infamous First Troop. We can't die now!\It's too late to act like a captain now.\Fine, fine.\Look out!\Son of a bitch! response:	Hilda...
context: It's over.\We're going to die.\We're the infamous First Troop. We can't die now!\It's too late to act like a captain now.\Fine, fine.\Look out!\Son of a bitch!\Hilda... response:	Why?
context: We're going to die.\We're the infamous First Troop. We can't die now!\It's too late to act like a captain now.\Fine, fine.\Look out!\Son of a bitch!\Hilda...\Why? response:	No one dies. We don't allow it.
context: We're the infamous First Troop. We can't die now!\It's too late to act like a captain now.\Fine, fine.\Look out!\Son of a bitch!\Hilda...\Why?\No one dies. We don't allow it. response:	That's what the First Troop is about, right?
context: It's too late to act like a captain now.\Fine, fine.\Look out!\Son of a bitch!\Hilda...\Why?\No one dies. We don't allow it.\That's what the First Troop is about, right? response:	Villkiss is still on the maintenance deck.
context: Fine, fine.\Look out!\Son of a bitch!\Hilda...\Why?\No one dies. We don't allow it.\That's what the First Troop is about, right?\Villkiss is still on the maintenance deck. response:	I'll go back up as soon as I deliver Ange.
context: Look out!\Son of a bitch!\Hilda...\Why?\No one dies. We don't allow it.\That's what the First Troop is about, right?\Villkiss is still on the maintenance deck.\I'll go back up as soon as I deliver Ange. response:	It's dangerous here, isn't it?
context: Son of a bitch!\Hilda...\Why?\No one dies. We don't allow it.\That's what the First Troop is about, right?\Villkiss is still on the maintenance deck.\I'll go back up as soon as I deliver Ange.\It's dangerous here, isn't it? response:	Is this really time to prepare an escape?
context: Hilda...\Why?\No one dies. We don't allow it.\That's what the First Troop is about, right?\Villkiss is still on the maintenance deck.\I'll go back up as soon as I deliver Ange.\It's dangerous here, isn't it?\Is this really time to prepare an escape? response:	I told you, I have an important mission.
