context: Has there been any contact with Count Mazuurek since then? response:	No. However, his Landing Castle is still functional.
context: Mizusaki, do you know why men who are the silent type are so attractive?\Is it because they always seem calm and collected?\It's because they sit quietly and listen to what you have to say.\And our replacement crew?\Y-Yes, ma'am. They're already aboard, and station shifts have been revised.\A few of them were members of our previous crew.\Warrant Officer Kaizuka and Lt. Marito.\As well as Dr. Yagarai, who is now serving as an official medical officer with the rank of ensign. response:	Also, there has been a request from Ensign Kaizuka to interrogate the Mars Knight.
context: Is it because they always seem calm and collected?\It's because they sit quietly and listen to what you have to say.\And our replacement crew?\Y-Yes, ma'am. They're already aboard, and station shifts have been revised.\A few of them were members of our previous crew.\Warrant Officer Kaizuka and Lt. Marito.\As well as Dr. Yagarai, who is now serving as an official medical officer with the rank of ensign.\Also, there has been a request from Ensign Kaizuka to interrogate the Mars Knight. response:	From Kaizuka Junior?
context: It's because they sit quietly and listen to what you have to say.\And our replacement crew?\Y-Yes, ma'am. They're already aboard, and station shifts have been revised.\A few of them were members of our previous crew.\Warrant Officer Kaizuka and Lt. Marito.\As well as Dr. Yagarai, who is now serving as an official medical officer with the rank of ensign.\Also, there has been a request from Ensign Kaizuka to interrogate the Mars Knight.\From Kaizuka Junior? response:	He says he wants to use his analytical engine.
context: And our replacement crew?\Y-Yes, ma'am. They're already aboard, and station shifts have been revised.\A few of them were members of our previous crew.\Warrant Officer Kaizuka and Lt. Marito.\As well as Dr. Yagarai, who is now serving as an official medical officer with the rank of ensign.\Also, there has been a request from Ensign Kaizuka to interrogate the Mars Knight.\From Kaizuka Junior?\He says he wants to use his analytical engine. response:	You programmed this yourself, Inaho?
context: Y-Yes, ma'am. They're already aboard, and station shifts have been revised.\A few of them were members of our previous crew.\Warrant Officer Kaizuka and Lt. Marito.\As well as Dr. Yagarai, who is now serving as an official medical officer with the rank of ensign.\Also, there has been a request from Ensign Kaizuka to interrogate the Mars Knight.\From Kaizuka Junior?\He says he wants to use his analytical engine.\You programmed this yourself, Inaho? response:	All I did was customize the firmware that it was already running.
context: A few of them were members of our previous crew.\Warrant Officer Kaizuka and Lt. Marito.\As well as Dr. Yagarai, who is now serving as an official medical officer with the rank of ensign.\Also, there has been a request from Ensign Kaizuka to interrogate the Mars Knight.\From Kaizuka Junior?\He says he wants to use his analytical engine.\You programmed this yourself, Inaho?\All I did was customize the firmware that it was already running. response:	The area it's tied into has been expanded, too. How's it feel?
context: Warrant Officer Kaizuka and Lt. Marito.\As well as Dr. Yagarai, who is now serving as an official medical officer with the rank of ensign.\Also, there has been a request from Ensign Kaizuka to interrogate the Mars Knight.\From Kaizuka Junior?\He says he wants to use his analytical engine.\You programmed this yourself, Inaho?\All I did was customize the firmware that it was already running.\The area it's tied into has been expanded, too. How's it feel? response:	Not all that different.
context: As well as Dr. Yagarai, who is now serving as an official medical officer with the rank of ensign.\Also, there has been a request from Ensign Kaizuka to interrogate the Mars Knight.\From Kaizuka Junior?\He says he wants to use his analytical engine.\You programmed this yourself, Inaho?\All I did was customize the firmware that it was already running.\The area it's tied into has been expanded, too. How's it feel?\Not all that different. response:	Try not to expand it any further, okay?
context: Also, there has been a request from Ensign Kaizuka to interrogate the Mars Knight.\From Kaizuka Junior?\He says he wants to use his analytical engine.\You programmed this yourself, Inaho?\All I did was customize the firmware that it was already running.\The area it's tied into has been expanded, too. How's it feel?\Not all that different.\Try not to expand it any further, okay? response:	By the time you notice it's affecting your brain, it'll already be too late.
context: From Kaizuka Junior?\He says he wants to use his analytical engine.\You programmed this yourself, Inaho?\All I did was customize the firmware that it was already running.\The area it's tied into has been expanded, too. How's it feel?\Not all that different.\Try not to expand it any further, okay?\By the time you notice it's affecting your brain, it'll already be too late. response:	I won't. I'm aware of the risks.
context: He says he wants to use his analytical engine.\You programmed this yourself, Inaho?\All I did was customize the firmware that it was already running.\The area it's tied into has been expanded, too. How's it feel?\Not all that different.\Try not to expand it any further, okay?\By the time you notice it's affecting your brain, it'll already be too late.\I won't. I'm aware of the risks. response:	Oh, this is where you are.
context: You programmed this yourself, Inaho?\All I did was customize the firmware that it was already running.\The area it's tied into has been expanded, too. How's it feel?\Not all that different.\Try not to expand it any further, okay?\By the time you notice it's affecting your brain, it'll already be too late.\I won't. I'm aware of the risks.\Oh, this is where you are. response:	Yuki.
context: All I did was customize the firmware that it was already running.\The area it's tied into has been expanded, too. How's it feel?\Not all that different.\Try not to expand it any further, okay?\By the time you notice it's affecting your brain, it'll already be too late.\I won't. I'm aware of the risks.\Oh, this is where you are.\Yuki. response:	Got a minute?
context: The area it's tied into has been expanded, too. How's it feel?\Not all that different.\Try not to expand it any further, okay?\By the time you notice it's affecting your brain, it'll already be too late.\I won't. I'm aware of the risks.\Oh, this is where you are.\Yuki.\Got a minute? response:	Nao, why did you decide to serve aboard this ship?
context: Not all that different.\Try not to expand it any further, okay?\By the time you notice it's affecting your brain, it'll already be too late.\I won't. I'm aware of the risks.\Oh, this is where you are.\Yuki.\Got a minute?\Nao, why did you decide to serve aboard this ship? response:	What do you mean, why?
context: Try not to expand it any further, okay?\By the time you notice it's affecting your brain, it'll already be too late.\I won't. I'm aware of the risks.\Oh, this is where you are.\Yuki.\Got a minute?\Nao, why did you decide to serve aboard this ship?\What do you mean, why? response:	There's no reason for you to fight, right?
context: By the time you notice it's affecting your brain, it'll already be too late.\I won't. I'm aware of the risks.\Oh, this is where you are.\Yuki.\Got a minute?\Nao, why did you decide to serve aboard this ship?\What do you mean, why?\There's no reason for you to fight, right? response:	You should have packed up and left once your injuries were healed.
context: I won't. I'm aware of the risks.\Oh, this is where you are.\Yuki.\Got a minute?\Nao, why did you decide to serve aboard this ship?\What do you mean, why?\There's no reason for you to fight, right?\You should have packed up and left once your injuries were healed. response:	It's the same for you, Yuki.
context: Oh, this is where you are.\Yuki.\Got a minute?\Nao, why did you decide to serve aboard this ship?\What do you mean, why?\There's no reason for you to fight, right?\You should have packed up and left once your injuries were healed.\It's the same for you, Yuki. response:	No, it's not. I'm a soldier.
context: Yuki.\Got a minute?\Nao, why did you decide to serve aboard this ship?\What do you mean, why?\There's no reason for you to fight, right?\You should have packed up and left once your injuries were healed.\It's the same for you, Yuki.\No, it's not. I'm a soldier. response:	There was no reason for you to become a soldier, so it is the same.
context: Got a minute?\Nao, why did you decide to serve aboard this ship?\What do you mean, why?\There's no reason for you to fight, right?\You should have packed up and left once your injuries were healed.\It's the same for you, Yuki.\No, it's not. I'm a soldier.\There was no reason for you to become a soldier, so it is the same. response:	It is not!
context: Nao, why did you decide to serve aboard this ship?\What do you mean, why?\There's no reason for you to fight, right?\You should have packed up and left once your injuries were healed.\It's the same for you, Yuki.\No, it's not. I'm a soldier.\There was no reason for you to become a soldier, so it is the same.\It is not! response:	I regret it every day... That I made you into a soldier.
context: What do you mean, why?\There's no reason for you to fight, right?\You should have packed up and left once your injuries were healed.\It's the same for you, Yuki.\No, it's not. I'm a soldier.\There was no reason for you to become a soldier, so it is the same.\It is not!\I regret it every day... That I made you into a soldier. response:	When I saw you that day, unconscious and covered in blood,
context: There's no reason for you to fight, right?\You should have packed up and left once your injuries were healed.\It's the same for you, Yuki.\No, it's not. I'm a soldier.\There was no reason for you to become a soldier, so it is the same.\It is not!\I regret it every day... That I made you into a soldier.\When I saw you that day, unconscious and covered in blood, response:	I asked myself, Why didn't I stop you?
context: You should have packed up and left once your injuries were healed.\It's the same for you, Yuki.\No, it's not. I'm a soldier.\There was no reason for you to become a soldier, so it is the same.\It is not!\I regret it every day... That I made you into a soldier.\When I saw you that day, unconscious and covered in blood,\I asked myself, Why didn't I stop you? response:	I became a soldier because I wanted to protect you and the world you live in.
context: It's the same for you, Yuki.\No, it's not. I'm a soldier.\There was no reason for you to become a soldier, so it is the same.\It is not!\I regret it every day... That I made you into a soldier.\When I saw you that day, unconscious and covered in blood,\I asked myself, Why didn't I stop you?\I became a soldier because I wanted to protect you and the world you live in. response:	But you still...
context: No, it's not. I'm a soldier.\There was no reason for you to become a soldier, so it is the same.\It is not!\I regret it every day... That I made you into a soldier.\When I saw you that day, unconscious and covered in blood,\I asked myself, Why didn't I stop you?\I became a soldier because I wanted to protect you and the world you live in.\But you still... response:	I'm sorry. But I can't stand around doing nothing.
context: There was no reason for you to become a soldier, so it is the same.\It is not!\I regret it every day... That I made you into a soldier.\When I saw you that day, unconscious and covered in blood,\I asked myself, Why didn't I stop you?\I became a soldier because I wanted to protect you and the world you live in.\But you still...\I'm sorry. But I can't stand around doing nothing. response:	It's because of the princess, then?
context: It is not!\I regret it every day... That I made you into a soldier.\When I saw you that day, unconscious and covered in blood,\I asked myself, Why didn't I stop you?\I became a soldier because I wanted to protect you and the world you live in.\But you still...\I'm sorry. But I can't stand around doing nothing.\It's because of the princess, then? response:	That girl's not the Princess Asseylum you used to know.
context: I regret it every day... That I made you into a soldier.\When I saw you that day, unconscious and covered in blood,\I asked myself, Why didn't I stop you?\I became a soldier because I wanted to protect you and the world you live in.\But you still...\I'm sorry. But I can't stand around doing nothing.\It's because of the princess, then?\That girl's not the Princess Asseylum you used to know. response:	She's now an enemy who's trying to conquer the Earth.
context: When I saw you that day, unconscious and covered in blood,\I asked myself, Why didn't I stop you?\I became a soldier because I wanted to protect you and the world you live in.\But you still...\I'm sorry. But I can't stand around doing nothing.\It's because of the princess, then?\That girl's not the Princess Asseylum you used to know.\She's now an enemy who's trying to conquer the Earth. response:	That person is a fake. The real one is still alive somewhere.
context: I asked myself, Why didn't I stop you?\I became a soldier because I wanted to protect you and the world you live in.\But you still...\I'm sorry. But I can't stand around doing nothing.\It's because of the princess, then?\That girl's not the Princess Asseylum you used to know.\She's now an enemy who's trying to conquer the Earth.\That person is a fake. The real one is still alive somewhere. response:	How could you possibly know that?
context: I became a soldier because I wanted to protect you and the world you live in.\But you still...\I'm sorry. But I can't stand around doing nothing.\It's because of the princess, then?\That girl's not the Princess Asseylum you used to know.\She's now an enemy who's trying to conquer the Earth.\That person is a fake. The real one is still alive somewhere.\How could you possibly know that? response:	That's what my left eye determined.
context: But you still...\I'm sorry. But I can't stand around doing nothing.\It's because of the princess, then?\That girl's not the Princess Asseylum you used to know.\She's now an enemy who's trying to conquer the Earth.\That person is a fake. The real one is still alive somewhere.\How could you possibly know that?\That's what my left eye determined. response:	Judging from the situation, I think she's being held against her will.
context: I'm sorry. But I can't stand around doing nothing.\It's because of the princess, then?\That girl's not the Princess Asseylum you used to know.\She's now an enemy who's trying to conquer the Earth.\That person is a fake. The real one is still alive somewhere.\How could you possibly know that?\That's what my left eye determined.\Judging from the situation, I think she's being held against her will. response:	So I want to rescue Seylum.
context: It's because of the princess, then?\That girl's not the Princess Asseylum you used to know.\She's now an enemy who's trying to conquer the Earth.\That person is a fake. The real one is still alive somewhere.\How could you possibly know that?\That's what my left eye determined.\Judging from the situation, I think she's being held against her will.\So I want to rescue Seylum. response:	That's impossible!
context: That girl's not the Princess Asseylum you used to know.\She's now an enemy who's trying to conquer the Earth.\That person is a fake. The real one is still alive somewhere.\How could you possibly know that?\That's what my left eye determined.\Judging from the situation, I think she's being held against her will.\So I want to rescue Seylum.\That's impossible! response:	Yuki, she was shot right in front of me.
context: She's now an enemy who's trying to conquer the Earth.\That person is a fake. The real one is still alive somewhere.\How could you possibly know that?\That's what my left eye determined.\Judging from the situation, I think she's being held against her will.\So I want to rescue Seylum.\That's impossible!\Yuki, she was shot right in front of me. response:	I was hurt, and she was shot as she was trying to help me.
context: That person is a fake. The real one is still alive somewhere.\How could you possibly know that?\That's what my left eye determined.\Judging from the situation, I think she's being held against her will.\So I want to rescue Seylum.\That's impossible!\Yuki, she was shot right in front of me.\I was hurt, and she was shot as she was trying to help me. response:	That's why I have to save her.
context: How could you possibly know that?\That's what my left eye determined.\Judging from the situation, I think she's being held against her will.\So I want to rescue Seylum.\That's impossible!\Yuki, she was shot right in front of me.\I was hurt, and she was shot as she was trying to help me.\That's why I have to save her. response:	Nao...
context: That's what my left eye determined.\Judging from the situation, I think she's being held against her will.\So I want to rescue Seylum.\That's impossible!\Yuki, she was shot right in front of me.\I was hurt, and she was shot as she was trying to help me.\That's why I have to save her.\Nao... response:	It's been a long time.
context: Judging from the situation, I think she's being held against her will.\So I want to rescue Seylum.\That's impossible!\Yuki, she was shot right in front of me.\I was hurt, and she was shot as she was trying to help me.\That's why I have to save her.\Nao...\It's been a long time. response:	What is the Kataphrakt's status?
context: So I want to rescue Seylum.\That's impossible!\Yuki, she was shot right in front of me.\I was hurt, and she was shot as she was trying to help me.\That's why I have to save her.\Nao...\It's been a long time.\What is the Kataphrakt's status? response:	When they ran diagnostics,
context: That's impossible!\Yuki, she was shot right in front of me.\I was hurt, and she was shot as she was trying to help me.\That's why I have to save her.\Nao...\It's been a long time.\What is the Kataphrakt's status?\When they ran diagnostics, response:	they found even the sub-frame had been warped by the gravity waves.
context: Yuki, she was shot right in front of me.\I was hurt, and she was shot as she was trying to help me.\That's why I have to save her.\Nao...\It's been a long time.\What is the Kataphrakt's status?\When they ran diagnostics,\they found even the sub-frame had been warped by the gravity waves. response:	Looks like it basically needs an overhaul.
context: I was hurt, and she was shot as she was trying to help me.\That's why I have to save her.\Nao...\It's been a long time.\What is the Kataphrakt's status?\When they ran diagnostics,\they found even the sub-frame had been warped by the gravity waves.\Looks like it basically needs an overhaul. response:	I hear you quit drinking.
context: That's why I have to save her.\Nao...\It's been a long time.\What is the Kataphrakt's status?\When they ran diagnostics,\they found even the sub-frame had been warped by the gravity waves.\Looks like it basically needs an overhaul.\I hear you quit drinking. response:	My primary physician is a real nag.
context: Nao...\It's been a long time.\What is the Kataphrakt's status?\When they ran diagnostics,\they found even the sub-frame had been warped by the gravity waves.\Looks like it basically needs an overhaul.\I hear you quit drinking.\My primary physician is a real nag. response:	I guess a toast is out of the question, then.
context: It's been a long time.\What is the Kataphrakt's status?\When they ran diagnostics,\they found even the sub-frame had been warped by the gravity waves.\Looks like it basically needs an overhaul.\I hear you quit drinking.\My primary physician is a real nag.\I guess a toast is out of the question, then. response:	There's always room for toasts.
context: What is the Kataphrakt's status?\When they ran diagnostics,\they found even the sub-frame had been warped by the gravity waves.\Looks like it basically needs an overhaul.\I hear you quit drinking.\My primary physician is a real nag.\I guess a toast is out of the question, then.\There's always room for toasts. response:	You're unbelievable.
context: When they ran diagnostics,\they found even the sub-frame had been warped by the gravity waves.\Looks like it basically needs an overhaul.\I hear you quit drinking.\My primary physician is a real nag.\I guess a toast is out of the question, then.\There's always room for toasts.\You're unbelievable. response:	It was doctor's orders. Medicinal.
context: they found even the sub-frame had been warped by the gravity waves.\Looks like it basically needs an overhaul.\I hear you quit drinking.\My primary physician is a real nag.\I guess a toast is out of the question, then.\There's always room for toasts.\You're unbelievable.\It was doctor's orders. Medicinal. response:	How are you feeling?
context: Looks like it basically needs an overhaul.\I hear you quit drinking.\My primary physician is a real nag.\I guess a toast is out of the question, then.\There's always room for toasts.\You're unbelievable.\It was doctor's orders. Medicinal.\How are you feeling? response:	Not very well, looks like. I heard you were subjected to a full body search.
context: I hear you quit drinking.\My primary physician is a real nag.\I guess a toast is out of the question, then.\There's always room for toasts.\You're unbelievable.\It was doctor's orders. Medicinal.\How are you feeling?\Not very well, looks like. I heard you were subjected to a full body search. response:	I never imagined I would be subjected to such primitive questioning.
context: My primary physician is a real nag.\I guess a toast is out of the question, then.\There's always room for toasts.\You're unbelievable.\It was doctor's orders. Medicinal.\How are you feeling?\Not very well, looks like. I heard you were subjected to a full body search.\I never imagined I would be subjected to such primitive questioning. response:	We can't have you using a poison tooth.
context: I guess a toast is out of the question, then.\There's always room for toasts.\You're unbelievable.\It was doctor's orders. Medicinal.\How are you feeling?\Not very well, looks like. I heard you were subjected to a full body search.\I never imagined I would be subjected to such primitive questioning.\We can't have you using a poison tooth. response:	What an outdated notion...
context: There's always room for toasts.\You're unbelievable.\It was doctor's orders. Medicinal.\How are you feeling?\Not very well, looks like. I heard you were subjected to a full body search.\I never imagined I would be subjected to such primitive questioning.\We can't have you using a poison tooth.\What an outdated notion... response:	That does seem to be your national character.
context: You're unbelievable.\It was doctor's orders. Medicinal.\How are you feeling?\Not very well, looks like. I heard you were subjected to a full body search.\I never imagined I would be subjected to such primitive questioning.\We can't have you using a poison tooth.\What an outdated notion...\That does seem to be your national character. response:	From a Terran's point of view, I suppose Vers' feudal system
context: It was doctor's orders. Medicinal.\How are you feeling?\Not very well, looks like. I heard you were subjected to a full body search.\I never imagined I would be subjected to such primitive questioning.\We can't have you using a poison tooth.\What an outdated notion...\That does seem to be your national character.\From a Terran's point of view, I suppose Vers' feudal system response:	would seem just as anachronistic.
context: How are you feeling?\Not very well, looks like. I heard you were subjected to a full body search.\I never imagined I would be subjected to such primitive questioning.\We can't have you using a poison tooth.\What an outdated notion...\That does seem to be your national character.\From a Terran's point of view, I suppose Vers' feudal system\would seem just as anachronistic. response:	If it's a problem, change it yourselves.
context: Not very well, looks like. I heard you were subjected to a full body search.\I never imagined I would be subjected to such primitive questioning.\We can't have you using a poison tooth.\What an outdated notion...\That does seem to be your national character.\From a Terran's point of view, I suppose Vers' feudal system\would seem just as anachronistic.\If it's a problem, change it yourselves. response:	Spoken like someone born into a land of plenty.
context: I never imagined I would be subjected to such primitive questioning.\We can't have you using a poison tooth.\What an outdated notion...\That does seem to be your national character.\From a Terran's point of view, I suppose Vers' feudal system\would seem just as anachronistic.\If it's a problem, change it yourselves.\Spoken like someone born into a land of plenty. response:	You're like pigs who are about to die.
context: We can't have you using a poison tooth.\What an outdated notion...\That does seem to be your national character.\From a Terran's point of view, I suppose Vers' feudal system\would seem just as anachronistic.\If it's a problem, change it yourselves.\Spoken like someone born into a land of plenty.\You're like pigs who are about to die. response:	Once you are too cold to move, it is too late.
context: What an outdated notion...\That does seem to be your national character.\From a Terran's point of view, I suppose Vers' feudal system\would seem just as anachronistic.\If it's a problem, change it yourselves.\Spoken like someone born into a land of plenty.\You're like pigs who are about to die.\Once you are too cold to move, it is too late. response:	You know quite a bit.
context: That does seem to be your national character.\From a Terran's point of view, I suppose Vers' feudal system\would seem just as anachronistic.\If it's a problem, change it yourselves.\Spoken like someone born into a land of plenty.\You're like pigs who are about to die.\Once you are too cold to move, it is too late.\You know quite a bit. response:	You admit I'm right?
context: From a Terran's point of view, I suppose Vers' feudal system\would seem just as anachronistic.\If it's a problem, change it yourselves.\Spoken like someone born into a land of plenty.\You're like pigs who are about to die.\Once you are too cold to move, it is too late.\You know quite a bit.\You admit I'm right? response:	No, about pigs. Even though Princess Asseylum had never seen birds before.
context: would seem just as anachronistic.\If it's a problem, change it yourselves.\Spoken like someone born into a land of plenty.\You're like pigs who are about to die.\Once you are too cold to move, it is too late.\You know quite a bit.\You admit I'm right?\No, about pigs. Even though Princess Asseylum had never seen birds before. response:	You have spoken to Princess Asseylum?
context: If it's a problem, change it yourselves.\Spoken like someone born into a land of plenty.\You're like pigs who are about to die.\Once you are too cold to move, it is too late.\You know quite a bit.\You admit I'm right?\No, about pigs. Even though Princess Asseylum had never seen birds before.\You have spoken to Princess Asseylum? response:	She spent time aboard this ship.
context: Spoken like someone born into a land of plenty.\You're like pigs who are about to die.\Once you are too cold to move, it is too late.\You know quite a bit.\You admit I'm right?\No, about pigs. Even though Princess Asseylum had never seen birds before.\You have spoken to Princess Asseylum?\She spent time aboard this ship. response:	I see. You are one of those who sought to exploit her, then.
context: You're like pigs who are about to die.\Once you are too cold to move, it is too late.\You know quite a bit.\You admit I'm right?\No, about pigs. Even though Princess Asseylum had never seen birds before.\You have spoken to Princess Asseylum?\She spent time aboard this ship.\I see. You are one of those who sought to exploit her, then. response:	It wasn't exploitation. It was cooperation.
context: Once you are too cold to move, it is too late.\You know quite a bit.\You admit I'm right?\No, about pigs. Even though Princess Asseylum had never seen birds before.\You have spoken to Princess Asseylum?\She spent time aboard this ship.\I see. You are one of those who sought to exploit her, then.\It wasn't exploitation. It was cooperation. response:	Cooperation, you say?
context: You know quite a bit.\You admit I'm right?\No, about pigs. Even though Princess Asseylum had never seen birds before.\You have spoken to Princess Asseylum?\She spent time aboard this ship.\I see. You are one of those who sought to exploit her, then.\It wasn't exploitation. It was cooperation.\Cooperation, you say? response:	Can you tell me one thing?
context: You admit I'm right?\No, about pigs. Even though Princess Asseylum had never seen birds before.\You have spoken to Princess Asseylum?\She spent time aboard this ship.\I see. You are one of those who sought to exploit her, then.\It wasn't exploitation. It was cooperation.\Cooperation, you say?\Can you tell me one thing? response:	Do I look like a man who would sell out his country lightly?
context: No, about pigs. Even though Princess Asseylum had never seen birds before.\You have spoken to Princess Asseylum?\She spent time aboard this ship.\I see. You are one of those who sought to exploit her, then.\It wasn't exploitation. It was cooperation.\Cooperation, you say?\Can you tell me one thing?\Do I look like a man who would sell out his country lightly? response:	You don't look that way. Or sound that way.
