context: There's no way I could love anyone, response:	There's no way I could love anyone,
context: God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here?\a trackless path response:	a trackless path
context: I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here?\a trackless path\a trackless path response:	Please proceed inside. Watch your step.
context: I receive no reply\I never do\I never do\Are you still here?\Are you still here?\a trackless path\a trackless path\Please proceed inside. Watch your step. response:	Where are you taking me?
context: I never do\I never do\Are you still here?\Are you still here?\a trackless path\a trackless path\Please proceed inside. Watch your step.\Where are you taking me? response:	What you're about to see is the brain of this world, as well as its heart.
context: I never do\Are you still here?\Are you still here?\a trackless path\a trackless path\Please proceed inside. Watch your step.\Where are you taking me?\What you're about to see is the brain of this world, as well as its heart. response:	The heart of the world?
context: Are you still here?\Are you still here?\a trackless path\a trackless path\Please proceed inside. Watch your step.\Where are you taking me?\What you're about to see is the brain of this world, as well as its heart.\The heart of the world? response:	I would like to show
context: Are you still here?\a trackless path\a trackless path\Please proceed inside. Watch your step.\Where are you taking me?\What you're about to see is the brain of this world, as well as its heart.\The heart of the world?\I would like to show response:	Cut open my skull
context: a trackless path\a trackless path\Please proceed inside. Watch your step.\Where are you taking me?\What you're about to see is the brain of this world, as well as its heart.\The heart of the world?\I would like to show\Cut open my skull response:	Look into my head
context: a trackless path\Please proceed inside. Watch your step.\Where are you taking me?\What you're about to see is the brain of this world, as well as its heart.\The heart of the world?\I would like to show\Cut open my skull\Look into my head response:	I don't know why I'm so harsh
context: Please proceed inside. Watch your step.\Where are you taking me?\What you're about to see is the brain of this world, as well as its heart.\The heart of the world?\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh response:	I can't be so brash
context: Where are you taking me?\What you're about to see is the brain of this world, as well as its heart.\The heart of the world?\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash response:	I'm going to crash
context: What you're about to see is the brain of this world, as well as its heart.\The heart of the world?\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash response:	'Cause I feel
context: The heart of the world?\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel response:	I can always show my everything to you
context: I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	Again
context: I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again response:	'Cause I feel
context: I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel response:	I can always show my everything to you
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	So it goes
context: Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes response:	Again
context: Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again response:	20: Where Justice Lies
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\20: Where Justice Lies response:	The food we eat every day is all thanks to this remarkable technology,
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\20: Where Justice Lies\The food we eat every day is all thanks to this remarkable technology, response:	and yet, so many citizens are unaware of it, aren't they?
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\20: Where Justice Lies\The food we eat every day is all thanks to this remarkable technology,\and yet, so many citizens are unaware of it, aren't they? response:	Indeed. These days, the world is full of people who take the blessings of science for granted.
context: I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\20: Where Justice Lies\The food we eat every day is all thanks to this remarkable technology,\and yet, so many citizens are unaware of it, aren't they?\Indeed. These days, the world is full of people who take the blessings of science for granted. response:	You don't see many young people like yourself take an interest in it these days.
context: Voices inside, one link to join it all\So it goes\Again\20: Where Justice Lies\The food we eat every day is all thanks to this remarkable technology,\and yet, so many citizens are unaware of it, aren't they?\Indeed. These days, the world is full of people who take the blessings of science for granted.\You don't see many young people like yourself take an interest in it these days. response:	I hear that you were a pioneer in establishing the food system that Japan enjoys today.
context: So it goes\Again\20: Where Justice Lies\The food we eat every day is all thanks to this remarkable technology,\and yet, so many citizens are unaware of it, aren't they?\Indeed. These days, the world is full of people who take the blessings of science for granted.\You don't see many young people like yourself take an interest in it these days.\I hear that you were a pioneer in establishing the food system that Japan enjoys today. response:	It's quite regrettable to see you forgotten in your retirement.
context: Again\20: Where Justice Lies\The food we eat every day is all thanks to this remarkable technology,\and yet, so many citizens are unaware of it, aren't they?\Indeed. These days, the world is full of people who take the blessings of science for granted.\You don't see many young people like yourself take an interest in it these days.\I hear that you were a pioneer in establishing the food system that Japan enjoys today.\It's quite regrettable to see you forgotten in your retirement. response:	What I'm interested in is the Uka-no-Mitama defense virus's slipshod security system.
context: 20: Where Justice Lies\The food we eat every day is all thanks to this remarkable technology,\and yet, so many citizens are unaware of it, aren't they?\Indeed. These days, the world is full of people who take the blessings of science for granted.\You don't see many young people like yourself take an interest in it these days.\I hear that you were a pioneer in establishing the food system that Japan enjoys today.\It's quite regrettable to see you forgotten in your retirement.\What I'm interested in is the Uka-no-Mitama defense virus's slipshod security system. response:	Hm?
context: The food we eat every day is all thanks to this remarkable technology,\and yet, so many citizens are unaware of it, aren't they?\Indeed. These days, the world is full of people who take the blessings of science for granted.\You don't see many young people like yourself take an interest in it these days.\I hear that you were a pioneer in establishing the food system that Japan enjoys today.\It's quite regrettable to see you forgotten in your retirement.\What I'm interested in is the Uka-no-Mitama defense virus's slipshod security system.\Hm? response:	It may be a benign virus, but it's designed to attack whatever target is defined in its genetic configuration.
context: and yet, so many citizens are unaware of it, aren't they?\Indeed. These days, the world is full of people who take the blessings of science for granted.\You don't see many young people like yourself take an interest in it these days.\I hear that you were a pioneer in establishing the food system that Japan enjoys today.\It's quite regrettable to see you forgotten in your retirement.\What I'm interested in is the Uka-no-Mitama defense virus's slipshod security system.\Hm?\It may be a benign virus, but it's designed to attack whatever target is defined in its genetic configuration. response:	Therefore, it's possible to reconfigure the virus to attack the oats themselves instead of pests.
context: Indeed. These days, the world is full of people who take the blessings of science for granted.\You don't see many young people like yourself take an interest in it these days.\I hear that you were a pioneer in establishing the food system that Japan enjoys today.\It's quite regrettable to see you forgotten in your retirement.\What I'm interested in is the Uka-no-Mitama defense virus's slipshod security system.\Hm?\It may be a benign virus, but it's designed to attack whatever target is defined in its genetic configuration.\Therefore, it's possible to reconfigure the virus to attack the oats themselves instead of pests. response:	Uka-no-Mitama will transform from a god of fertility, bringing good harvests, to a demon who brings death.
context: You don't see many young people like yourself take an interest in it these days.\I hear that you were a pioneer in establishing the food system that Japan enjoys today.\It's quite regrettable to see you forgotten in your retirement.\What I'm interested in is the Uka-no-Mitama defense virus's slipshod security system.\Hm?\It may be a benign virus, but it's designed to attack whatever target is defined in its genetic configuration.\Therefore, it's possible to reconfigure the virus to attack the oats themselves instead of pests.\Uka-no-Mitama will transform from a god of fertility, bringing good harvests, to a demon who brings death. response:	Wh-What are you...
context: I hear that you were a pioneer in establishing the food system that Japan enjoys today.\It's quite regrettable to see you forgotten in your retirement.\What I'm interested in is the Uka-no-Mitama defense virus's slipshod security system.\Hm?\It may be a benign virus, but it's designed to attack whatever target is defined in its genetic configuration.\Therefore, it's possible to reconfigure the virus to attack the oats themselves instead of pests.\Uka-no-Mitama will transform from a god of fertility, bringing good harvests, to a demon who brings death.\Wh-What are you... response:	On top of that, the control center that handles the configuration and distribution of the virus
context: It's quite regrettable to see you forgotten in your retirement.\What I'm interested in is the Uka-no-Mitama defense virus's slipshod security system.\Hm?\It may be a benign virus, but it's designed to attack whatever target is defined in its genetic configuration.\Therefore, it's possible to reconfigure the virus to attack the oats themselves instead of pests.\Uka-no-Mitama will transform from a god of fertility, bringing good harvests, to a demon who brings death.\Wh-What are you...\On top of that, the control center that handles the configuration and distribution of the virus response:	was originally converted from a lab in a closed-down university.
context: What I'm interested in is the Uka-no-Mitama defense virus's slipshod security system.\Hm?\It may be a benign virus, but it's designed to attack whatever target is defined in its genetic configuration.\Therefore, it's possible to reconfigure the virus to attack the oats themselves instead of pests.\Uka-no-Mitama will transform from a god of fertility, bringing good harvests, to a demon who brings death.\Wh-What are you...\On top of that, the control center that handles the configuration and distribution of the virus\was originally converted from a lab in a closed-down university. response:	The facility predates the use of cymatic scans for security.
context: Hm?\It may be a benign virus, but it's designed to attack whatever target is defined in its genetic configuration.\Therefore, it's possible to reconfigure the virus to attack the oats themselves instead of pests.\Uka-no-Mitama will transform from a god of fertility, bringing good harvests, to a demon who brings death.\Wh-What are you...\On top of that, the control center that handles the configuration and distribution of the virus\was originally converted from a lab in a closed-down university.\The facility predates the use of cymatic scans for security. response:	Its security system uses numeric passwords or, at best, biometric scans.
context: It may be a benign virus, but it's designed to attack whatever target is defined in its genetic configuration.\Therefore, it's possible to reconfigure the virus to attack the oats themselves instead of pests.\Uka-no-Mitama will transform from a god of fertility, bringing good harvests, to a demon who brings death.\Wh-What are you...\On top of that, the control center that handles the configuration and distribution of the virus\was originally converted from a lab in a closed-down university.\The facility predates the use of cymatic scans for security.\Its security system uses numeric passwords or, at best, biometric scans. response:	Since you were once in charge there, I should be able to break in easily with your help.
context: Therefore, it's possible to reconfigure the virus to attack the oats themselves instead of pests.\Uka-no-Mitama will transform from a god of fertility, bringing good harvests, to a demon who brings death.\Wh-What are you...\On top of that, the control center that handles the configuration and distribution of the virus\was originally converted from a lab in a closed-down university.\The facility predates the use of cymatic scans for security.\Its security system uses numeric passwords or, at best, biometric scans.\Since you were once in charge there, I should be able to break in easily with your help. response:	Right, Professor Kudama?
context: Uka-no-Mitama will transform from a god of fertility, bringing good harvests, to a demon who brings death.\Wh-What are you...\On top of that, the control center that handles the configuration and distribution of the virus\was originally converted from a lab in a closed-down university.\The facility predates the use of cymatic scans for security.\Its security system uses numeric passwords or, at best, biometric scans.\Since you were once in charge there, I should be able to break in easily with your help.\Right, Professor Kudama? response:	This is the truth behind the Sibyl System. Behind us.
context: Wh-What are you...\On top of that, the control center that handles the configuration and distribution of the virus\was originally converted from a lab in a closed-down university.\The facility predates the use of cymatic scans for security.\Its security system uses numeric passwords or, at best, biometric scans.\Since you were once in charge there, I should be able to break in easily with your help.\Right, Professor Kudama?\This is the truth behind the Sibyl System. Behind us. response:	Did Kagari die here?
context: On top of that, the control center that handles the configuration and distribution of the virus\was originally converted from a lab in a closed-down university.\The facility predates the use of cymatic scans for security.\Its security system uses numeric passwords or, at best, biometric scans.\Since you were once in charge there, I should be able to break in easily with your help.\Right, Professor Kudama?\This is the truth behind the Sibyl System. Behind us.\Did Kagari die here? response:	Did you kill him?
context: was originally converted from a lab in a closed-down university.\The facility predates the use of cymatic scans for security.\Its security system uses numeric passwords or, at best, biometric scans.\Since you were once in charge there, I should be able to break in easily with your help.\Right, Professor Kudama?\This is the truth behind the Sibyl System. Behind us.\Did Kagari die here?\Did you kill him? response:	We compared and considered the contributions Kagari Shuusei would make to society throughout his life
context: The facility predates the use of cymatic scans for security.\Its security system uses numeric passwords or, at best, biometric scans.\Since you were once in charge there, I should be able to break in easily with your help.\Right, Professor Kudama?\This is the truth behind the Sibyl System. Behind us.\Did Kagari die here?\Did you kill him?\We compared and considered the contributions Kagari Shuusei would make to society throughout his life response:	against the risk of him revealing the secret of the Sibyl System,
context: Its security system uses numeric passwords or, at best, biometric scans.\Since you were once in charge there, I should be able to break in easily with your help.\Right, Professor Kudama?\This is the truth behind the Sibyl System. Behind us.\Did Kagari die here?\Did you kill him?\We compared and considered the contributions Kagari Shuusei would make to society throughout his life\against the risk of him revealing the secret of the Sibyl System, response:	and decided that the risks outweighed the benefits.
context: Since you were once in charge there, I should be able to break in easily with your help.\Right, Professor Kudama?\This is the truth behind the Sibyl System. Behind us.\Did Kagari die here?\Did you kill him?\We compared and considered the contributions Kagari Shuusei would make to society throughout his life\against the risk of him revealing the secret of the Sibyl System,\and decided that the risks outweighed the benefits. response:	Don't be ridiculous!
context: Right, Professor Kudama?\This is the truth behind the Sibyl System. Behind us.\Did Kagari die here?\Did you kill him?\We compared and considered the contributions Kagari Shuusei would make to society throughout his life\against the risk of him revealing the secret of the Sibyl System,\and decided that the risks outweighed the benefits.\Don't be ridiculous! response:	Who are you to decide his worth?
context: This is the truth behind the Sibyl System. Behind us.\Did Kagari die here?\Did you kill him?\We compared and considered the contributions Kagari Shuusei would make to society throughout his life\against the risk of him revealing the secret of the Sibyl System,\and decided that the risks outweighed the benefits.\Don't be ridiculous!\Who are you to decide his worth? response:	You couldn't even judge Makishima!
context: Did Kagari die here?\Did you kill him?\We compared and considered the contributions Kagari Shuusei would make to society throughout his life\against the risk of him revealing the secret of the Sibyl System,\and decided that the risks outweighed the benefits.\Don't be ridiculous!\Who are you to decide his worth?\You couldn't even judge Makishima! response:	You're simply useless!
context: Did you kill him?\We compared and considered the contributions Kagari Shuusei would make to society throughout his life\against the risk of him revealing the secret of the Sibyl System,\and decided that the risks outweighed the benefits.\Don't be ridiculous!\Who are you to decide his worth?\You couldn't even judge Makishima!\You're simply useless! response:	You are right.
context: We compared and considered the contributions Kagari Shuusei would make to society throughout his life\against the risk of him revealing the secret of the Sibyl System,\and decided that the risks outweighed the benefits.\Don't be ridiculous!\Who are you to decide his worth?\You couldn't even judge Makishima!\You're simply useless!\You are right. response:	The appearance of criminally asymptomatic people, whom the Sibyl System cannot analyze, is inevitable.
context: against the risk of him revealing the secret of the Sibyl System,\and decided that the risks outweighed the benefits.\Don't be ridiculous!\Who are you to decide his worth?\You couldn't even judge Makishima!\You're simply useless!\You are right.\The appearance of criminally asymptomatic people, whom the Sibyl System cannot analyze, is inevitable. response:	No matter how intricate and robust a system you build,
context: and decided that the risks outweighed the benefits.\Don't be ridiculous!\Who are you to decide his worth?\You couldn't even judge Makishima!\You're simply useless!\You are right.\The appearance of criminally asymptomatic people, whom the Sibyl System cannot analyze, is inevitable.\No matter how intricate and robust a system you build, response:	a certain number of irregularities that deviate from it are bound to appear.
context: Don't be ridiculous!\Who are you to decide his worth?\You couldn't even judge Makishima!\You're simply useless!\You are right.\The appearance of criminally asymptomatic people, whom the Sibyl System cannot analyze, is inevitable.\No matter how intricate and robust a system you build,\a certain number of irregularities that deviate from it are bound to appear. response:	And you call that a perfect system?!
context: Who are you to decide his worth?\You couldn't even judge Makishima!\You're simply useless!\You are right.\The appearance of criminally asymptomatic people, whom the Sibyl System cannot analyze, is inevitable.\No matter how intricate and robust a system you build,\a certain number of irregularities that deviate from it are bound to appear.\And you call that a perfect system?! response:	This is the system that decides whether people live or die?
context: You couldn't even judge Makishima!\You're simply useless!\You are right.\The appearance of criminally asymptomatic people, whom the Sibyl System cannot analyze, is inevitable.\No matter how intricate and robust a system you build,\a certain number of irregularities that deviate from it are bound to appear.\And you call that a perfect system?!\This is the system that decides whether people live or die? response:	If we simply add to the functionality and complexity of the system, we can never expect it to be perfect.
context: You're simply useless!\You are right.\The appearance of criminally asymptomatic people, whom the Sibyl System cannot analyze, is inevitable.\No matter how intricate and robust a system you build,\a certain number of irregularities that deviate from it are bound to appear.\And you call that a perfect system?!\This is the system that decides whether people live or die?\If we simply add to the functionality and complexity of the system, we can never expect it to be perfect. response:	Therefore, we have no choice
context: You are right.\The appearance of criminally asymptomatic people, whom the Sibyl System cannot analyze, is inevitable.\No matter how intricate and robust a system you build,\a certain number of irregularities that deviate from it are bound to appear.\And you call that a perfect system?!\This is the system that decides whether people live or die?\If we simply add to the functionality and complexity of the system, we can never expect it to be perfect.\Therefore, we have no choice response:	but to resolve the contradictions by altering the system's management as opposed to its functionality.
context: The appearance of criminally asymptomatic people, whom the Sibyl System cannot analyze, is inevitable.\No matter how intricate and robust a system you build,\a certain number of irregularities that deviate from it are bound to appear.\And you call that a perfect system?!\This is the system that decides whether people live or die?\If we simply add to the functionality and complexity of the system, we can never expect it to be perfect.\Therefore, we have no choice\but to resolve the contradictions by altering the system's management as opposed to its functionality. response:	By permitting the appearance of irregularities we cannot manage and taking measures to coexist,
context: No matter how intricate and robust a system you build,\a certain number of irregularities that deviate from it are bound to appear.\And you call that a perfect system?!\This is the system that decides whether people live or die?\If we simply add to the functionality and complexity of the system, we can never expect it to be perfect.\Therefore, we have no choice\but to resolve the contradictions by altering the system's management as opposed to its functionality.\By permitting the appearance of irregularities we cannot manage and taking measures to coexist, response:	the system achieves perfection in a practical sense.
context: a certain number of irregularities that deviate from it are bound to appear.\And you call that a perfect system?!\This is the system that decides whether people live or die?\If we simply add to the functionality and complexity of the system, we can never expect it to be perfect.\Therefore, we have no choice\but to resolve the contradictions by altering the system's management as opposed to its functionality.\By permitting the appearance of irregularities we cannot manage and taking measures to coexist,\the system achieves perfection in a practical sense. response:	What do you mean by that?
context: And you call that a perfect system?!\This is the system that decides whether people live or die?\If we simply add to the functionality and complexity of the system, we can never expect it to be perfect.\Therefore, we have no choice\but to resolve the contradictions by altering the system's management as opposed to its functionality.\By permitting the appearance of irregularities we cannot manage and taking measures to coexist,\the system achieves perfection in a practical sense.\What do you mean by that? response:	We can entrust the management of the system to those who deviate from the system.
context: This is the system that decides whether people live or die?\If we simply add to the functionality and complexity of the system, we can never expect it to be perfect.\Therefore, we have no choice\but to resolve the contradictions by altering the system's management as opposed to its functionality.\By permitting the appearance of irregularities we cannot manage and taking measures to coexist,\the system achieves perfection in a practical sense.\What do you mean by that?\We can entrust the management of the system to those who deviate from the system. response:	That is the most logical conclusion.
context: If we simply add to the functionality and complexity of the system, we can never expect it to be perfect.\Therefore, we have no choice\but to resolve the contradictions by altering the system's management as opposed to its functionality.\By permitting the appearance of irregularities we cannot manage and taking measures to coexist,\the system achieves perfection in a practical sense.\What do you mean by that?\We can entrust the management of the system to those who deviate from the system.\That is the most logical conclusion. response:	When we used to have individual personalities and bodies,
context: Therefore, we have no choice\but to resolve the contradictions by altering the system's management as opposed to its functionality.\By permitting the appearance of irregularities we cannot manage and taking measures to coexist,\the system achieves perfection in a practical sense.\What do you mean by that?\We can entrust the management of the system to those who deviate from the system.\That is the most logical conclusion.\When we used to have individual personalities and bodies, response:	we were all asymptomatic persons who deviated from the management of the Sibyl System.
context: but to resolve the contradictions by altering the system's management as opposed to its functionality.\By permitting the appearance of irregularities we cannot manage and taking measures to coexist,\the system achieves perfection in a practical sense.\What do you mean by that?\We can entrust the management of the system to those who deviate from the system.\That is the most logical conclusion.\When we used to have individual personalities and bodies,\we were all asymptomatic persons who deviated from the management of the Sibyl System. response:	In fact, there are many among us who acted far more cruelly than Makishima.
context: By permitting the appearance of irregularities we cannot manage and taking measures to coexist,\the system achieves perfection in a practical sense.\What do you mean by that?\We can entrust the management of the system to those who deviate from the system.\That is the most logical conclusion.\When we used to have individual personalities and bodies,\we were all asymptomatic persons who deviated from the management of the Sibyl System.\In fact, there are many among us who acted far more cruelly than Makishima. response:	Then are you saying...
context: the system achieves perfection in a practical sense.\What do you mean by that?\We can entrust the management of the system to those who deviate from the system.\That is the most logical conclusion.\When we used to have individual personalities and bodies,\we were all asymptomatic persons who deviated from the management of the Sibyl System.\In fact, there are many among us who acted far more cruelly than Makishima.\Then are you saying... response:	that Sibyl is a monster formed from evil people's brains that has been running the world?!
context: What do you mean by that?\We can entrust the management of the system to those who deviate from the system.\That is the most logical conclusion.\When we used to have individual personalities and bodies,\we were all asymptomatic persons who deviated from the management of the Sibyl System.\In fact, there are many among us who acted far more cruelly than Makishima.\Then are you saying...\that Sibyl is a monster formed from evil people's brains that has been running the world?! response:	In order to establish an absolute system, it is necessary to reject relative valuations such as good or evil.
context: We can entrust the management of the system to those who deviate from the system.\That is the most logical conclusion.\When we used to have individual personalities and bodies,\we were all asymptomatic persons who deviated from the management of the Sibyl System.\In fact, there are many among us who acted far more cruelly than Makishima.\Then are you saying...\that Sibyl is a monster formed from evil people's brains that has been running the world?!\In order to establish an absolute system, it is necessary to reject relative valuations such as good or evil. response:	All that is needed is a perfect, infallible system.
context: That is the most logical conclusion.\When we used to have individual personalities and bodies,\we were all asymptomatic persons who deviated from the management of the Sibyl System.\In fact, there are many among us who acted far more cruelly than Makishima.\Then are you saying...\that Sibyl is a monster formed from evil people's brains that has been running the world?!\In order to establish an absolute system, it is necessary to reject relative valuations such as good or evil.\All that is needed is a perfect, infallible system. response:	Who manages it and how it is managed are irrelevant.
context: When we used to have individual personalities and bodies,\we were all asymptomatic persons who deviated from the management of the Sibyl System.\In fact, there are many among us who acted far more cruelly than Makishima.\Then are you saying...\that Sibyl is a monster formed from evil people's brains that has been running the world?!\In order to establish an absolute system, it is necessary to reject relative valuations such as good or evil.\All that is needed is a perfect, infallible system.\Who manages it and how it is managed are irrelevant. response:	That's nonsense!
context: we were all asymptomatic persons who deviated from the management of the Sibyl System.\In fact, there are many among us who acted far more cruelly than Makishima.\Then are you saying...\that Sibyl is a monster formed from evil people's brains that has been running the world?!\In order to establish an absolute system, it is necessary to reject relative valuations such as good or evil.\All that is needed is a perfect, infallible system.\Who manages it and how it is managed are irrelevant.\That's nonsense! response:	In a truly perfect system, its operator's will is not questioned.
context: In fact, there are many among us who acted far more cruelly than Makishima.\Then are you saying...\that Sibyl is a monster formed from evil people's brains that has been running the world?!\In order to establish an absolute system, it is necessary to reject relative valuations such as good or evil.\All that is needed is a perfect, infallible system.\Who manages it and how it is managed are irrelevant.\That's nonsense!\In a truly perfect system, its operator's will is not questioned. response:	Our will itself is the system and the universal standard of value that transcends ethics.
context: Then are you saying...\that Sibyl is a monster formed from evil people's brains that has been running the world?!\In order to establish an absolute system, it is necessary to reject relative valuations such as good or evil.\All that is needed is a perfect, infallible system.\Who manages it and how it is managed are irrelevant.\That's nonsense!\In a truly perfect system, its operator's will is not questioned.\Our will itself is the system and the universal standard of value that transcends ethics. response:	Don't be ridiculous!
context: that Sibyl is a monster formed from evil people's brains that has been running the world?!\In order to establish an absolute system, it is necessary to reject relative valuations such as good or evil.\All that is needed is a perfect, infallible system.\Who manages it and how it is managed are irrelevant.\That's nonsense!\In a truly perfect system, its operator's will is not questioned.\Our will itself is the system and the universal standard of value that transcends ethics.\Don't be ridiculous! response:	Just who do you think you are?!
context: In order to establish an absolute system, it is necessary to reject relative valuations such as good or evil.\All that is needed is a perfect, infallible system.\Who manages it and how it is managed are irrelevant.\That's nonsense!\In a truly perfect system, its operator's will is not questioned.\Our will itself is the system and the universal standard of value that transcends ethics.\Don't be ridiculous!\Just who do you think you are?! response:	It is true that each and every one of us previously exhibited numerous problems with our personalities.
context: All that is needed is a perfect, infallible system.\Who manages it and how it is managed are irrelevant.\That's nonsense!\In a truly perfect system, its operator's will is not questioned.\Our will itself is the system and the universal standard of value that transcends ethics.\Don't be ridiculous!\Just who do you think you are?!\It is true that each and every one of us previously exhibited numerous problems with our personalities. response:	However, by integrating our minds, we have been able to operate in harmony, attaining a universal standard.
context: Who manages it and how it is managed are irrelevant.\That's nonsense!\In a truly perfect system, its operator's will is not questioned.\Our will itself is the system and the universal standard of value that transcends ethics.\Don't be ridiculous!\Just who do you think you are?!\It is true that each and every one of us previously exhibited numerous problems with our personalities.\However, by integrating our minds, we have been able to operate in harmony, attaining a universal standard. response:	The more prejudiced and peculiar the orientations of the individuals who comprise the system,
