context: How do you like it? response:	ULTRA GOKU UNIFORM CENTURION CAVALRY FORMATION
context: It's a big, rubber barrier!\- Ow... - Sanageyama!\That's what you get for running ahead by yourself!\You never learn, do you?\We have to turn off that jammer!\We're stopped in our tracks, huh?\Hup!\And hup! response:	You are always in my way...
context: - Ow... - Sanageyama!\That's what you get for running ahead by yourself!\You never learn, do you?\We have to turn off that jammer!\We're stopped in our tracks, huh?\Hup!\And hup!\You are always in my way... response:	Now, allow me to show you just who the master is.
context: That's what you get for running ahead by yourself!\You never learn, do you?\We have to turn off that jammer!\We're stopped in our tracks, huh?\Hup!\And hup!\You are always in my way...\Now, allow me to show you just who the master is. response:	- What on earth? - The stars are gone!
context: You never learn, do you?\We have to turn off that jammer!\We're stopped in our tracks, huh?\Hup!\And hup!\You are always in my way...\Now, allow me to show you just who the master is.\- What on earth? - The stars are gone! response:	Shinra...
context: We have to turn off that jammer!\We're stopped in our tracks, huh?\Hup!\And hup!\You are always in my way...\Now, allow me to show you just who the master is.\- What on earth? - The stars are gone!\Shinra... response:	Absolute Submission!
context: We're stopped in our tracks, huh?\Hup!\And hup!\You are always in my way...\Now, allow me to show you just who the master is.\- What on earth? - The stars are gone!\Shinra...\Absolute Submission! response:	EPISODE 24 PAST THE INFINITE DARKNESS
context: Hup!\And hup!\You are always in my way...\Now, allow me to show you just who the master is.\- What on earth? - The stars are gone!\Shinra...\Absolute Submission!\EPISODE 24 PAST THE INFINITE DARKNESS response:	What's wrong, Senketsu?
context: And hup!\You are always in my way...\Now, allow me to show you just who the master is.\- What on earth? - The stars are gone!\Shinra...\Absolute Submission!\EPISODE 24 PAST THE INFINITE DARKNESS\What's wrong, Senketsu? response:	It's no use, I have no strength!
context: You are always in my way...\Now, allow me to show you just who the master is.\- What on earth? - The stars are gone!\Shinra...\Absolute Submission!\EPISODE 24 PAST THE INFINITE DARKNESS\What's wrong, Senketsu?\It's no use, I have no strength! response:	Whenever I'm hit by that light, my body is paralyzed with fear!
context: Now, allow me to show you just who the master is.\- What on earth? - The stars are gone!\Shinra...\Absolute Submission!\EPISODE 24 PAST THE INFINITE DARKNESS\What's wrong, Senketsu?\It's no use, I have no strength!\Whenever I'm hit by that light, my body is paralyzed with fear! response:	Shinra-Koketsu is the master of all Life Fibers.
context: - What on earth? - The stars are gone!\Shinra...\Absolute Submission!\EPISODE 24 PAST THE INFINITE DARKNESS\What's wrong, Senketsu?\It's no use, I have no strength!\Whenever I'm hit by that light, my body is paralyzed with fear!\Shinra-Koketsu is the master of all Life Fibers. response:	Life Fibers who rebel against it tremble
context: Shinra...\Absolute Submission!\EPISODE 24 PAST THE INFINITE DARKNESS\What's wrong, Senketsu?\It's no use, I have no strength!\Whenever I'm hit by that light, my body is paralyzed with fear!\Shinra-Koketsu is the master of all Life Fibers.\Life Fibers who rebel against it tremble response:	in fear and are rendered powerless.
context: Absolute Submission!\EPISODE 24 PAST THE INFINITE DARKNESS\What's wrong, Senketsu?\It's no use, I have no strength!\Whenever I'm hit by that light, my body is paralyzed with fear!\Shinra-Koketsu is the master of all Life Fibers.\Life Fibers who rebel against it tremble\in fear and are rendered powerless. response:	This is absolute submission.
context: EPISODE 24 PAST THE INFINITE DARKNESS\What's wrong, Senketsu?\It's no use, I have no strength!\Whenever I'm hit by that light, my body is paralyzed with fear!\Shinra-Koketsu is the master of all Life Fibers.\Life Fibers who rebel against it tremble\in fear and are rendered powerless.\This is absolute submission. response:	ABSOLUTE SUBMISSION
context: What's wrong, Senketsu?\It's no use, I have no strength!\Whenever I'm hit by that light, my body is paralyzed with fear!\Shinra-Koketsu is the master of all Life Fibers.\Life Fibers who rebel against it tremble\in fear and are rendered powerless.\This is absolute submission.\ABSOLUTE SUBMISSION response:	These are images from around the world captured by the communications satellite.
context: It's no use, I have no strength!\Whenever I'm hit by that light, my body is paralyzed with fear!\Shinra-Koketsu is the master of all Life Fibers.\Life Fibers who rebel against it tremble\in fear and are rendered powerless.\This is absolute submission.\ABSOLUTE SUBMISSION\These are images from around the world captured by the communications satellite. response:	Look, the people of the world are all wearing clothing made by REVOCS.
context: Whenever I'm hit by that light, my body is paralyzed with fear!\Shinra-Koketsu is the master of all Life Fibers.\Life Fibers who rebel against it tremble\in fear and are rendered powerless.\This is absolute submission.\ABSOLUTE SUBMISSION\These are images from around the world captured by the communications satellite.\Look, the people of the world are all wearing clothing made by REVOCS. response:	When I unleash the power of Absolute Submission across the world,
context: Shinra-Koketsu is the master of all Life Fibers.\Life Fibers who rebel against it tremble\in fear and are rendered powerless.\This is absolute submission.\ABSOLUTE SUBMISSION\These are images from around the world captured by the communications satellite.\Look, the people of the world are all wearing clothing made by REVOCS.\When I unleash the power of Absolute Submission across the world, response:	the dormant Life Fibers inside REVOCS clothing will awaken.
context: Life Fibers who rebel against it tremble\in fear and are rendered powerless.\This is absolute submission.\ABSOLUTE SUBMISSION\These are images from around the world captured by the communications satellite.\Look, the people of the world are all wearing clothing made by REVOCS.\When I unleash the power of Absolute Submission across the world,\the dormant Life Fibers inside REVOCS clothing will awaken. response:	Every last human being will be swallowed up by their clothing,
context: in fear and are rendered powerless.\This is absolute submission.\ABSOLUTE SUBMISSION\These are images from around the world captured by the communications satellite.\Look, the people of the world are all wearing clothing made by REVOCS.\When I unleash the power of Absolute Submission across the world,\the dormant Life Fibers inside REVOCS clothing will awaken.\Every last human being will be swallowed up by their clothing, response:	and the Earth will be covered in a single piece of cloth.
context: This is absolute submission.\ABSOLUTE SUBMISSION\These are images from around the world captured by the communications satellite.\Look, the people of the world are all wearing clothing made by REVOCS.\When I unleash the power of Absolute Submission across the world,\the dormant Life Fibers inside REVOCS clothing will awaken.\Every last human being will be swallowed up by their clothing,\and the Earth will be covered in a single piece of cloth. response:	The Earth will become a Cocoon Sphere,
context: ABSOLUTE SUBMISSION\These are images from around the world captured by the communications satellite.\Look, the people of the world are all wearing clothing made by REVOCS.\When I unleash the power of Absolute Submission across the world,\the dormant Life Fibers inside REVOCS clothing will awaken.\Every last human being will be swallowed up by their clothing,\and the Earth will be covered in a single piece of cloth.\The Earth will become a Cocoon Sphere, response:	and the new Life Fibers that will be born will be scattered across the cosmos.
context: These are images from around the world captured by the communications satellite.\Look, the people of the world are all wearing clothing made by REVOCS.\When I unleash the power of Absolute Submission across the world,\the dormant Life Fibers inside REVOCS clothing will awaken.\Every last human being will be swallowed up by their clothing,\and the Earth will be covered in a single piece of cloth.\The Earth will become a Cocoon Sphere,\and the new Life Fibers that will be born will be scattered across the cosmos. response:	How wonderful...
context: Look, the people of the world are all wearing clothing made by REVOCS.\When I unleash the power of Absolute Submission across the world,\the dormant Life Fibers inside REVOCS clothing will awaken.\Every last human being will be swallowed up by their clothing,\and the Earth will be covered in a single piece of cloth.\The Earth will become a Cocoon Sphere,\and the new Life Fibers that will be born will be scattered across the cosmos.\How wonderful... response:	This is the fundamental truth of the universe.
context: When I unleash the power of Absolute Submission across the world,\the dormant Life Fibers inside REVOCS clothing will awaken.\Every last human being will be swallowed up by their clothing,\and the Earth will be covered in a single piece of cloth.\The Earth will become a Cocoon Sphere,\and the new Life Fibers that will be born will be scattered across the cosmos.\How wonderful...\This is the fundamental truth of the universe. response:	You no longer have any means of opposing me.
context: the dormant Life Fibers inside REVOCS clothing will awaken.\Every last human being will be swallowed up by their clothing,\and the Earth will be covered in a single piece of cloth.\The Earth will become a Cocoon Sphere,\and the new Life Fibers that will be born will be scattered across the cosmos.\How wonderful...\This is the fundamental truth of the universe.\You no longer have any means of opposing me. response:	We're still here to oppose you!
context: Every last human being will be swallowed up by their clothing,\and the Earth will be covered in a single piece of cloth.\The Earth will become a Cocoon Sphere,\and the new Life Fibers that will be born will be scattered across the cosmos.\How wonderful...\This is the fundamental truth of the universe.\You no longer have any means of opposing me.\We're still here to oppose you! response:	We're stripped down to...
context: and the Earth will be covered in a single piece of cloth.\The Earth will become a Cocoon Sphere,\and the new Life Fibers that will be born will be scattered across the cosmos.\How wonderful...\This is the fundamental truth of the universe.\You no longer have any means of opposing me.\We're still here to oppose you!\We're stripped down to... response:	Ultimate Double Naked DTR!
context: The Earth will become a Cocoon Sphere,\and the new Life Fibers that will be born will be scattered across the cosmos.\How wonderful...\This is the fundamental truth of the universe.\You no longer have any means of opposing me.\We're still here to oppose you!\We're stripped down to...\Ultimate Double Naked DTR! response:	ULTIMATE DOUBLE NAKED DTR
context: and the new Life Fibers that will be born will be scattered across the cosmos.\How wonderful...\This is the fundamental truth of the universe.\You no longer have any means of opposing me.\We're still here to oppose you!\We're stripped down to...\Ultimate Double Naked DTR!\ULTIMATE DOUBLE NAKED DTR response:	Beneath my notice.
context: How wonderful...\This is the fundamental truth of the universe.\You no longer have any means of opposing me.\We're still here to oppose you!\We're stripped down to...\Ultimate Double Naked DTR!\ULTIMATE DOUBLE NAKED DTR\Beneath my notice. response:	Oh, you aren't going to kill them?
context: This is the fundamental truth of the universe.\You no longer have any means of opposing me.\We're still here to oppose you!\We're stripped down to...\Ultimate Double Naked DTR!\ULTIMATE DOUBLE NAKED DTR\Beneath my notice.\Oh, you aren't going to kill them? response:	Not yet.
context: You no longer have any means of opposing me.\We're still here to oppose you!\We're stripped down to...\Ultimate Double Naked DTR!\ULTIMATE DOUBLE NAKED DTR\Beneath my notice.\Oh, you aren't going to kill them?\Not yet. response:	After all, these people are precious energy sources for the Original Life Fiber.
context: We're still here to oppose you!\We're stripped down to...\Ultimate Double Naked DTR!\ULTIMATE DOUBLE NAKED DTR\Beneath my notice.\Oh, you aren't going to kill them?\Not yet.\After all, these people are precious energy sources for the Original Life Fiber. response:	The Original Life Fiber...
context: We're stripped down to...\Ultimate Double Naked DTR!\ULTIMATE DOUBLE NAKED DTR\Beneath my notice.\Oh, you aren't going to kill them?\Not yet.\After all, these people are precious energy sources for the Original Life Fiber.\The Original Life Fiber... response:	It's still alive?!
context: Ultimate Double Naked DTR!\ULTIMATE DOUBLE NAKED DTR\Beneath my notice.\Oh, you aren't going to kill them?\Not yet.\After all, these people are precious energy sources for the Original Life Fiber.\The Original Life Fiber...\It's still alive?! response:	The Original Life Fiber will absorb you
context: ULTIMATE DOUBLE NAKED DTR\Beneath my notice.\Oh, you aren't going to kill them?\Not yet.\After all, these people are precious energy sources for the Original Life Fiber.\The Original Life Fiber...\It's still alive?!\The Original Life Fiber will absorb you response:	and your friends and be restored to health.
context: Beneath my notice.\Oh, you aren't going to kill them?\Not yet.\After all, these people are precious energy sources for the Original Life Fiber.\The Original Life Fiber...\It's still alive?!\The Original Life Fiber will absorb you\and your friends and be restored to health. response:	I am sorry, Ryuko.
context: Oh, you aren't going to kill them?\Not yet.\After all, these people are precious energy sources for the Original Life Fiber.\The Original Life Fiber...\It's still alive?!\The Original Life Fiber will absorb you\and your friends and be restored to health.\I am sorry, Ryuko. response:	The ploy you risked your life for was all for nothing.
context: Not yet.\After all, these people are precious energy sources for the Original Life Fiber.\The Original Life Fiber...\It's still alive?!\The Original Life Fiber will absorb you\and your friends and be restored to health.\I am sorry, Ryuko.\The ploy you risked your life for was all for nothing. response:	Not yet!
context: After all, these people are precious energy sources for the Original Life Fiber.\The Original Life Fiber...\It's still alive?!\The Original Life Fiber will absorb you\and your friends and be restored to health.\I am sorry, Ryuko.\The ploy you risked your life for was all for nothing.\Not yet! response:	We aren't done just yet!
context: The Original Life Fiber...\It's still alive?!\The Original Life Fiber will absorb you\and your friends and be restored to health.\I am sorry, Ryuko.\The ploy you risked your life for was all for nothing.\Not yet!\We aren't done just yet! response:	Gamagoori? Mako? Guys?
context: It's still alive?!\The Original Life Fiber will absorb you\and your friends and be restored to health.\I am sorry, Ryuko.\The ploy you risked your life for was all for nothing.\Not yet!\We aren't done just yet!\Gamagoori? Mako? Guys? response:	Oh, my!
context: The Original Life Fiber will absorb you\and your friends and be restored to health.\I am sorry, Ryuko.\The ploy you risked your life for was all for nothing.\Not yet!\We aren't done just yet!\Gamagoori? Mako? Guys?\Oh, my! response:	You must have superhuman strength
context: and your friends and be restored to health.\I am sorry, Ryuko.\The ploy you risked your life for was all for nothing.\Not yet!\We aren't done just yet!\Gamagoori? Mako? Guys?\Oh, my!\You must have superhuman strength response:	to be able to move in the Absolute Submission field!
context: I am sorry, Ryuko.\The ploy you risked your life for was all for nothing.\Not yet!\We aren't done just yet!\Gamagoori? Mako? Guys?\Oh, my!\You must have superhuman strength\to be able to move in the Absolute Submission field! response:	But it's no use! Humans are slaves to clothes!
context: The ploy you risked your life for was all for nothing.\Not yet!\We aren't done just yet!\Gamagoori? Mako? Guys?\Oh, my!\You must have superhuman strength\to be able to move in the Absolute Submission field!\But it's no use! Humans are slaves to clothes! response:	That relationship will never change!
context: Not yet!\We aren't done just yet!\Gamagoori? Mako? Guys?\Oh, my!\You must have superhuman strength\to be able to move in the Absolute Submission field!\But it's no use! Humans are slaves to clothes!\That relationship will never change! response:	That's not true! That isn't true at all!
context: We aren't done just yet!\Gamagoori? Mako? Guys?\Oh, my!\You must have superhuman strength\to be able to move in the Absolute Submission field!\But it's no use! Humans are slaves to clothes!\That relationship will never change!\That's not true! That isn't true at all! response:	I mean, with Ryuko and Senketsu, neither one of them is the boss!
context: Gamagoori? Mako? Guys?\Oh, my!\You must have superhuman strength\to be able to move in the Absolute Submission field!\But it's no use! Humans are slaves to clothes!\That relationship will never change!\That's not true! That isn't true at all!\I mean, with Ryuko and Senketsu, neither one of them is the boss! response:	They have a lovely partnership between human and clothing!
context: Oh, my!\You must have superhuman strength\to be able to move in the Absolute Submission field!\But it's no use! Humans are slaves to clothes!\That relationship will never change!\That's not true! That isn't true at all!\I mean, with Ryuko and Senketsu, neither one of them is the boss!\They have a lovely partnership between human and clothing! response:	I've had enough of you, too.
context: You must have superhuman strength\to be able to move in the Absolute Submission field!\But it's no use! Humans are slaves to clothes!\That relationship will never change!\That's not true! That isn't true at all!\I mean, with Ryuko and Senketsu, neither one of them is the boss!\They have a lovely partnership between human and clothing!\I've had enough of you, too. response:	Die, already!
context: to be able to move in the Absolute Submission field!\But it's no use! Humans are slaves to clothes!\That relationship will never change!\That's not true! That isn't true at all!\I mean, with Ryuko and Senketsu, neither one of them is the boss!\They have a lovely partnership between human and clothing!\I've had enough of you, too.\Die, already! response:	S-Senpai!
context: But it's no use! Humans are slaves to clothes!\That relationship will never change!\That's not true! That isn't true at all!\I mean, with Ryuko and Senketsu, neither one of them is the boss!\They have a lovely partnership between human and clothing!\I've had enough of you, too.\Die, already!\S-Senpai! response:	Honnouji Academy Disciplinary Committee Chair Ira Gamagoori!
context: That relationship will never change!\That's not true! That isn't true at all!\I mean, with Ryuko and Senketsu, neither one of them is the boss!\They have a lovely partnership between human and clothing!\I've had enough of you, too.\Die, already!\S-Senpai!\Honnouji Academy Disciplinary Committee Chair Ira Gamagoori! response:	I protect Satsuki Kiryuin and all students of Honnouji Academy!
context: That's not true! That isn't true at all!\I mean, with Ryuko and Senketsu, neither one of them is the boss!\They have a lovely partnership between human and clothing!\I've had enough of you, too.\Die, already!\S-Senpai!\Honnouji Academy Disciplinary Committee Chair Ira Gamagoori!\I protect Satsuki Kiryuin and all students of Honnouji Academy! response:	Know that I am a living shield that...
context: I mean, with Ryuko and Senketsu, neither one of them is the boss!\They have a lovely partnership between human and clothing!\I've had enough of you, too.\Die, already!\S-Senpai!\Honnouji Academy Disciplinary Committee Chair Ira Gamagoori!\I protect Satsuki Kiryuin and all students of Honnouji Academy!\Know that I am a living shield that... response:	Ugly, ugly, ugly!
context: They have a lovely partnership between human and clothing!\I've had enough of you, too.\Die, already!\S-Senpai!\Honnouji Academy Disciplinary Committee Chair Ira Gamagoori!\I protect Satsuki Kiryuin and all students of Honnouji Academy!\Know that I am a living shield that...\Ugly, ugly, ugly! response:	You ugly ape!
context: I've had enough of you, too.\Die, already!\S-Senpai!\Honnouji Academy Disciplinary Committee Chair Ira Gamagoori!\I protect Satsuki Kiryuin and all students of Honnouji Academy!\Know that I am a living shield that...\Ugly, ugly, ugly!\You ugly ape! response:	Like hell you will!
context: Die, already!\S-Senpai!\Honnouji Academy Disciplinary Committee Chair Ira Gamagoori!\I protect Satsuki Kiryuin and all students of Honnouji Academy!\Know that I am a living shield that...\Ugly, ugly, ugly!\You ugly ape!\Like hell you will! response:	Bitch!
context: S-Senpai!\Honnouji Academy Disciplinary Committee Chair Ira Gamagoori!\I protect Satsuki Kiryuin and all students of Honnouji Academy!\Know that I am a living shield that...\Ugly, ugly, ugly!\You ugly ape!\Like hell you will!\Bitch! response:	I may not be able to use my Kamui, but I can still fight on my own!
context: Honnouji Academy Disciplinary Committee Chair Ira Gamagoori!\I protect Satsuki Kiryuin and all students of Honnouji Academy!\Know that I am a living shield that...\Ugly, ugly, ugly!\You ugly ape!\Like hell you will!\Bitch!\I may not be able to use my Kamui, but I can still fight on my own! response:	Thanks to the Life Fibers inside my body!
context: I protect Satsuki Kiryuin and all students of Honnouji Academy!\Know that I am a living shield that...\Ugly, ugly, ugly!\You ugly ape!\Like hell you will!\Bitch!\I may not be able to use my Kamui, but I can still fight on my own!\Thanks to the Life Fibers inside my body! response:	What?!
context: Know that I am a living shield that...\Ugly, ugly, ugly!\You ugly ape!\Like hell you will!\Bitch!\I may not be able to use my Kamui, but I can still fight on my own!\Thanks to the Life Fibers inside my body!\What?! response:	I'm not a human, and I'm not clothing.
context: Ugly, ugly, ugly!\You ugly ape!\Like hell you will!\Bitch!\I may not be able to use my Kamui, but I can still fight on my own!\Thanks to the Life Fibers inside my body!\What?!\I'm not a human, and I'm not clothing. response:	I'm something in between!
context: You ugly ape!\Like hell you will!\Bitch!\I may not be able to use my Kamui, but I can still fight on my own!\Thanks to the Life Fibers inside my body!\What?!\I'm not a human, and I'm not clothing.\I'm something in between! response:	But right now, I'm real grateful that my body is the way it is!
context: Like hell you will!\Bitch!\I may not be able to use my Kamui, but I can still fight on my own!\Thanks to the Life Fibers inside my body!\What?!\I'm not a human, and I'm not clothing.\I'm something in between!\But right now, I'm real grateful that my body is the way it is! response:	Cause it looks like I'm the only one
context: Bitch!\I may not be able to use my Kamui, but I can still fight on my own!\Thanks to the Life Fibers inside my body!\What?!\I'm not a human, and I'm not clothing.\I'm something in between!\But right now, I'm real grateful that my body is the way it is!\Cause it looks like I'm the only one response:	that Absolute Submission field isn't working on!
context: I may not be able to use my Kamui, but I can still fight on my own!\Thanks to the Life Fibers inside my body!\What?!\I'm not a human, and I'm not clothing.\I'm something in between!\But right now, I'm real grateful that my body is the way it is!\Cause it looks like I'm the only one\that Absolute Submission field isn't working on! response:	Senpai! Gamagoori-senpai!
context: Thanks to the Life Fibers inside my body!\What?!\I'm not a human, and I'm not clothing.\I'm something in between!\But right now, I'm real grateful that my body is the way it is!\Cause it looks like I'm the only one\that Absolute Submission field isn't working on!\Senpai! Gamagoori-senpai! response:	Are you safe, Mankanshoku...?
context: What?!\I'm not a human, and I'm not clothing.\I'm something in between!\But right now, I'm real grateful that my body is the way it is!\Cause it looks like I'm the only one\that Absolute Submission field isn't working on!\Senpai! Gamagoori-senpai!\Are you safe, Mankanshoku...? response:	Then it was worth it...
context: I'm not a human, and I'm not clothing.\I'm something in between!\But right now, I'm real grateful that my body is the way it is!\Cause it looks like I'm the only one\that Absolute Submission field isn't working on!\Senpai! Gamagoori-senpai!\Are you safe, Mankanshoku...?\Then it was worth it... response:	S-Senpai!
context: I'm something in between!\But right now, I'm real grateful that my body is the way it is!\Cause it looks like I'm the only one\that Absolute Submission field isn't working on!\Senpai! Gamagoori-senpai!\Are you safe, Mankanshoku...?\Then it was worth it...\S-Senpai! response:	Gamagoori!
context: But right now, I'm real grateful that my body is the way it is!\Cause it looks like I'm the only one\that Absolute Submission field isn't working on!\Senpai! Gamagoori-senpai!\Are you safe, Mankanshoku...?\Then it was worth it...\S-Senpai!\Gamagoori! response:	Harime... Damn you...
context: Cause it looks like I'm the only one\that Absolute Submission field isn't working on!\Senpai! Gamagoori-senpai!\Are you safe, Mankanshoku...?\Then it was worth it...\S-Senpai!\Gamagoori!\Harime... Damn you... response:	You bastards...!
context: that Absolute Submission field isn't working on!\Senpai! Gamagoori-senpai!\Are you safe, Mankanshoku...?\Then it was worth it...\S-Senpai!\Gamagoori!\Harime... Damn you...\You bastards...! response:	Right here, Ryuko.
context: Senpai! Gamagoori-senpai!\Are you safe, Mankanshoku...?\Then it was worth it...\S-Senpai!\Gamagoori!\Harime... Damn you...\You bastards...!\Right here, Ryuko. response:	The Absolute Submission field is being powered
context: Are you safe, Mankanshoku...?\Then it was worth it...\S-Senpai!\Gamagoori!\Harime... Damn you...\You bastards...!\Right here, Ryuko.\The Absolute Submission field is being powered response:	Right here, she says!
context: Then it was worth it...\S-Senpai!\Gamagoori!\Harime... Damn you...\You bastards...!\Right here, Ryuko.\The Absolute Submission field is being powered\Right here, she says! response:	by Hououmaru as she sleeps here.
context: S-Senpai!\Gamagoori!\Harime... Damn you...\You bastards...!\Right here, Ryuko.\The Absolute Submission field is being powered\Right here, she says!\by Hououmaru as she sleeps here. response:	Right here!
context: Gamagoori!\Harime... Damn you...\You bastards...!\Right here, Ryuko.\The Absolute Submission field is being powered\Right here, she says!\by Hououmaru as she sleeps here.\Right here! response:	This is where you need to aim.
context: Harime... Damn you...\You bastards...!\Right here, Ryuko.\The Absolute Submission field is being powered\Right here, she says!\by Hououmaru as she sleeps here.\Right here!\This is where you need to aim. response:	Don't screw with me!
context: You bastards...!\Right here, Ryuko.\The Absolute Submission field is being powered\Right here, she says!\by Hououmaru as she sleeps here.\Right here!\This is where you need to aim.\Don't screw with me! response:	But even knowing that, you can do nothing!
context: Right here, Ryuko.\The Absolute Submission field is being powered\Right here, she says!\by Hououmaru as she sleeps here.\Right here!\This is where you need to aim.\Don't screw with me!\But even knowing that, you can do nothing! response:	Ryuko! It's too dangerous!
context: The Absolute Submission field is being powered\Right here, she says!\by Hououmaru as she sleeps here.\Right here!\This is where you need to aim.\Don't screw with me!\But even knowing that, you can do nothing!\Ryuko! It's too dangerous! response:	Calm down, Senketsu!
context: Right here, she says!\by Hououmaru as she sleeps here.\Right here!\This is where you need to aim.\Don't screw with me!\But even knowing that, you can do nothing!\Ryuko! It's too dangerous!\Calm down, Senketsu! response:	B-But Ryuko will-
context: by Hououmaru as she sleeps here.\Right here!\This is where you need to aim.\Don't screw with me!\But even knowing that, you can do nothing!\Ryuko! It's too dangerous!\Calm down, Senketsu!\B-But Ryuko will- response:	I understand how you feel.
context: Right here!\This is where you need to aim.\Don't screw with me!\But even knowing that, you can do nothing!\Ryuko! It's too dangerous!\Calm down, Senketsu!\B-But Ryuko will-\I understand how you feel. response:	But she wouldn't be Ryuko if she stopped when told to.
context: This is where you need to aim.\Don't screw with me!\But even knowing that, you can do nothing!\Ryuko! It's too dangerous!\Calm down, Senketsu!\B-But Ryuko will-\I understand how you feel.\But she wouldn't be Ryuko if she stopped when told to. response:	Satsuki, you... You can hear me?!
context: Don't screw with me!\But even knowing that, you can do nothing!\Ryuko! It's too dangerous!\Calm down, Senketsu!\B-But Ryuko will-\I understand how you feel.\But she wouldn't be Ryuko if she stopped when told to.\Satsuki, you... You can hear me?! response:	Yes, I can hear you.
context: But even knowing that, you can do nothing!\Ryuko! It's too dangerous!\Calm down, Senketsu!\B-But Ryuko will-\I understand how you feel.\But she wouldn't be Ryuko if she stopped when told to.\Satsuki, you... You can hear me?!\Yes, I can hear you. response:	So that's it...
context: Ryuko! It's too dangerous!\Calm down, Senketsu!\B-But Ryuko will-\I understand how you feel.\But she wouldn't be Ryuko if she stopped when told to.\Satsuki, you... You can hear me?!\Yes, I can hear you.\So that's it... response:	Lady Ragyo.
context: Calm down, Senketsu!\B-But Ryuko will-\I understand how you feel.\But she wouldn't be Ryuko if she stopped when told to.\Satsuki, you... You can hear me?!\Yes, I can hear you.\So that's it...\Lady Ragyo. response:	Yes, I suppose it's time.
context: B-But Ryuko will-\I understand how you feel.\But she wouldn't be Ryuko if she stopped when told to.\Satsuki, you... You can hear me?!\Yes, I can hear you.\So that's it...\Lady Ragyo.\Yes, I suppose it's time. response:	And now, with this, humanity ends.
context: I understand how you feel.\But she wouldn't be Ryuko if she stopped when told to.\Satsuki, you... You can hear me?!\Yes, I can hear you.\So that's it...\Lady Ragyo.\Yes, I suppose it's time.\And now, with this, humanity ends. response:	Guys!
context: But she wouldn't be Ryuko if she stopped when told to.\Satsuki, you... You can hear me?!\Yes, I can hear you.\So that's it...\Lady Ragyo.\Yes, I suppose it's time.\And now, with this, humanity ends.\Guys! response:	I will begin with your friends.
