context: It's finally here. response:	The Okinawa training camp.
context: Don't you think that's too much luggage just for those two?\I see we're all here.\Let's go.\Let's begin that experiment known as a training camp!\Science Fell in Love, So I Tried to Prove It\The beginning of a trip always makes my heart race a little.\Proof 9 Science-types Fell in Love, So They Tried Attending a Training Camp in Okinawa.\Makes my heart race a little... response:	Press more closely against me.
context: I see we're all here.\Let's go.\Let's begin that experiment known as a training camp!\Science Fell in Love, So I Tried to Prove It\The beginning of a trip always makes my heart race a little.\Proof 9 Science-types Fell in Love, So They Tried Attending a Training Camp in Okinawa.\Makes my heart race a little...\Press more closely against me. response:	Wait...
context: Let's go.\Let's begin that experiment known as a training camp!\Science Fell in Love, So I Tried to Prove It\The beginning of a trip always makes my heart race a little.\Proof 9 Science-types Fell in Love, So They Tried Attending a Training Camp in Okinawa.\Makes my heart race a little...\Press more closely against me.\Wait... response:	I will have your saliva now.
context: Let's begin that experiment known as a training camp!\Science Fell in Love, So I Tried to Prove It\The beginning of a trip always makes my heart race a little.\Proof 9 Science-types Fell in Love, So They Tried Attending a Training Camp in Okinawa.\Makes my heart race a little...\Press more closely against me.\Wait...\I will have your saliva now. response:	We can't. Not here.
context: Science Fell in Love, So I Tried to Prove It\The beginning of a trip always makes my heart race a little.\Proof 9 Science-types Fell in Love, So They Tried Attending a Training Camp in Okinawa.\Makes my heart race a little...\Press more closely against me.\Wait...\I will have your saliva now.\We can't. Not here. response:	E-Excuse me, I'm very sorry, but if you could please fasten your seat belts.
context: The beginning of a trip always makes my heart race a little.\Proof 9 Science-types Fell in Love, So They Tried Attending a Training Camp in Okinawa.\Makes my heart race a little...\Press more closely against me.\Wait...\I will have your saliva now.\We can't. Not here.\E-Excuse me, I'm very sorry, but if you could please fasten your seat belts. response:	In that case, when the experiment is completed
context: Proof 9 Science-types Fell in Love, So They Tried Attending a Training Camp in Okinawa.\Makes my heart race a little...\Press more closely against me.\Wait...\I will have your saliva now.\We can't. Not here.\E-Excuse me, I'm very sorry, but if you could please fasten your seat belts.\In that case, when the experiment is completed response:	I'm very sorry! They're pretty much done.
context: Makes my heart race a little...\Press more closely against me.\Wait...\I will have your saliva now.\We can't. Not here.\E-Excuse me, I'm very sorry, but if you could please fasten your seat belts.\In that case, when the experiment is completed\I'm very sorry! They're pretty much done. response:	I apologize for the disturbance.
context: Press more closely against me.\Wait...\I will have your saliva now.\We can't. Not here.\E-Excuse me, I'm very sorry, but if you could please fasten your seat belts.\In that case, when the experiment is completed\I'm very sorry! They're pretty much done.\I apologize for the disturbance. response:	Yukimura-senpai!
context: Wait...\I will have your saliva now.\We can't. Not here.\E-Excuse me, I'm very sorry, but if you could please fasten your seat belts.\In that case, when the experiment is completed\I'm very sorry! They're pretty much done.\I apologize for the disturbance.\Yukimura-senpai! response:	Please don't conduct your experiments in public places!
context: I will have your saliva now.\We can't. Not here.\E-Excuse me, I'm very sorry, but if you could please fasten your seat belts.\In that case, when the experiment is completed\I'm very sorry! They're pretty much done.\I apologize for the disturbance.\Yukimura-senpai!\Please don't conduct your experiments in public places! response:	Why not?
context: We can't. Not here.\E-Excuse me, I'm very sorry, but if you could please fasten your seat belts.\In that case, when the experiment is completed\I'm very sorry! They're pretty much done.\I apologize for the disturbance.\Yukimura-senpai!\Please don't conduct your experiments in public places!\Why not? response:	It may be necessary in order to measure oxytocin,
context: E-Excuse me, I'm very sorry, but if you could please fasten your seat belts.\In that case, when the experiment is completed\I'm very sorry! They're pretty much done.\I apologize for the disturbance.\Yukimura-senpai!\Please don't conduct your experiments in public places!\Why not?\It may be necessary in order to measure oxytocin, response:	but even I wonder about the appropriateness in this instance.
context: In that case, when the experiment is completed\I'm very sorry! They're pretty much done.\I apologize for the disturbance.\Yukimura-senpai!\Please don't conduct your experiments in public places!\Why not?\It may be necessary in order to measure oxytocin,\but even I wonder about the appropriateness in this instance. response:	What's so inappropriate?
context: I'm very sorry! They're pretty much done.\I apologize for the disturbance.\Yukimura-senpai!\Please don't conduct your experiments in public places!\Why not?\It may be necessary in order to measure oxytocin,\but even I wonder about the appropriateness in this instance.\What's so inappropriate? response:	Even if Himuro and I initiate close contact here,
context: I apologize for the disturbance.\Yukimura-senpai!\Please don't conduct your experiments in public places!\Why not?\It may be necessary in order to measure oxytocin,\but even I wonder about the appropriateness in this instance.\What's so inappropriate?\Even if Himuro and I initiate close contact here, response:	it isn't as if it would cause problems for others.
context: Yukimura-senpai!\Please don't conduct your experiments in public places!\Why not?\It may be necessary in order to measure oxytocin,\but even I wonder about the appropriateness in this instance.\What's so inappropriate?\Even if Himuro and I initiate close contact here,\it isn't as if it would cause problems for others. response:	People would assume I'm involved somehow,
context: Please don't conduct your experiments in public places!\Why not?\It may be necessary in order to measure oxytocin,\but even I wonder about the appropriateness in this instance.\What's so inappropriate?\Even if Himuro and I initiate close contact here,\it isn't as if it would cause problems for others.\People would assume I'm involved somehow, response:	and it would cause problems for me!
context: Why not?\It may be necessary in order to measure oxytocin,\but even I wonder about the appropriateness in this instance.\What's so inappropriate?\Even if Himuro and I initiate close contact here,\it isn't as if it would cause problems for others.\People would assume I'm involved somehow,\and it would cause problems for me! response:	Does paying heed to the inane expectations of society come with some great benefit?
context: It may be necessary in order to measure oxytocin,\but even I wonder about the appropriateness in this instance.\What's so inappropriate?\Even if Himuro and I initiate close contact here,\it isn't as if it would cause problems for others.\People would assume I'm involved somehow,\and it would cause problems for me!\Does paying heed to the inane expectations of society come with some great benefit? response:	Force of Impact
context: but even I wonder about the appropriateness in this instance.\What's so inappropriate?\Even if Himuro and I initiate close contact here,\it isn't as if it would cause problems for others.\People would assume I'm involved somehow,\and it would cause problems for me!\Does paying heed to the inane expectations of society come with some great benefit?\Force of Impact response:	As your concept of tact infinitely approaches zero,
context: What's so inappropriate?\Even if Himuro and I initiate close contact here,\it isn't as if it would cause problems for others.\People would assume I'm involved somehow,\and it would cause problems for me!\Does paying heed to the inane expectations of society come with some great benefit?\Force of Impact\As your concept of tact infinitely approaches zero, response:	Yukimura-kun, you may not understand this,
context: Even if Himuro and I initiate close contact here,\it isn't as if it would cause problems for others.\People would assume I'm involved somehow,\and it would cause problems for me!\Does paying heed to the inane expectations of society come with some great benefit?\Force of Impact\As your concept of tact infinitely approaches zero,\Yukimura-kun, you may not understand this, response:	but it is difficult to conduct this in a public venue.
context: it isn't as if it would cause problems for others.\People would assume I'm involved somehow,\and it would cause problems for me!\Does paying heed to the inane expectations of society come with some great benefit?\Force of Impact\As your concept of tact infinitely approaches zero,\Yukimura-kun, you may not understand this,\but it is difficult to conduct this in a public venue. response:	Physical contact experiments conducted in public view are forbidden.
context: People would assume I'm involved somehow,\and it would cause problems for me!\Does paying heed to the inane expectations of society come with some great benefit?\Force of Impact\As your concept of tact infinitely approaches zero,\Yukimura-kun, you may not understand this,\but it is difficult to conduct this in a public venue.\Physical contact experiments conducted in public view are forbidden. response:	Do you understand, Yukimura-kun?
context: and it would cause problems for me!\Does paying heed to the inane expectations of society come with some great benefit?\Force of Impact\As your concept of tact infinitely approaches zero,\Yukimura-kun, you may not understand this,\but it is difficult to conduct this in a public venue.\Physical contact experiments conducted in public view are forbidden.\Do you understand, Yukimura-kun? response:	I suppose that's fine. Tch.
context: Does paying heed to the inane expectations of society come with some great benefit?\Force of Impact\As your concept of tact infinitely approaches zero,\Yukimura-kun, you may not understand this,\but it is difficult to conduct this in a public venue.\Physical contact experiments conducted in public view are forbidden.\Do you understand, Yukimura-kun?\I suppose that's fine. Tch. response:	What do I do?
context: Force of Impact\As your concept of tact infinitely approaches zero,\Yukimura-kun, you may not understand this,\but it is difficult to conduct this in a public venue.\Physical contact experiments conducted in public view are forbidden.\Do you understand, Yukimura-kun?\I suppose that's fine. Tch.\What do I do? response:	For some reason, I feel like cuddling close to Yukimura-kun.
context: As your concept of tact infinitely approaches zero,\Yukimura-kun, you may not understand this,\but it is difficult to conduct this in a public venue.\Physical contact experiments conducted in public view are forbidden.\Do you understand, Yukimura-kun?\I suppose that's fine. Tch.\What do I do?\For some reason, I feel like cuddling close to Yukimura-kun. response:	Now that physical contact is forbidden,
context: Yukimura-kun, you may not understand this,\but it is difficult to conduct this in a public venue.\Physical contact experiments conducted in public view are forbidden.\Do you understand, Yukimura-kun?\I suppose that's fine. Tch.\What do I do?\For some reason, I feel like cuddling close to Yukimura-kun.\Now that physical contact is forbidden, response:	I find myself yearning for that sensation of pressing closely together.
context: but it is difficult to conduct this in a public venue.\Physical contact experiments conducted in public view are forbidden.\Do you understand, Yukimura-kun?\I suppose that's fine. Tch.\What do I do?\For some reason, I feel like cuddling close to Yukimura-kun.\Now that physical contact is forbidden,\I find myself yearning for that sensation of pressing closely together. response:	No!
context: Physical contact experiments conducted in public view are forbidden.\Do you understand, Yukimura-kun?\I suppose that's fine. Tch.\What do I do?\For some reason, I feel like cuddling close to Yukimura-kun.\Now that physical contact is forbidden,\I find myself yearning for that sensation of pressing closely together.\No! response:	I was the one who said it!
context: Do you understand, Yukimura-kun?\I suppose that's fine. Tch.\What do I do?\For some reason, I feel like cuddling close to Yukimura-kun.\Now that physical contact is forbidden,\I find myself yearning for that sensation of pressing closely together.\No!\I was the one who said it! response:	I must restrain myself until we are somewhere out of public view.
context: I suppose that's fine. Tch.\What do I do?\For some reason, I feel like cuddling close to Yukimura-kun.\Now that physical contact is forbidden,\I find myself yearning for that sensation of pressing closely together.\No!\I was the one who said it!\I must restrain myself until we are somewhere out of public view. response:	But, you know...
context: What do I do?\For some reason, I feel like cuddling close to Yukimura-kun.\Now that physical contact is forbidden,\I find myself yearning for that sensation of pressing closely together.\No!\I was the one who said it!\I must restrain myself until we are somewhere out of public view.\But, you know... response:	It's amazing something this big can fly, isn't it?
context: For some reason, I feel like cuddling close to Yukimura-kun.\Now that physical contact is forbidden,\I find myself yearning for that sensation of pressing closely together.\No!\I was the one who said it!\I must restrain myself until we are somewhere out of public view.\But, you know...\It's amazing something this big can fly, isn't it? response:	How is it flying, anyway?
context: Now that physical contact is forbidden,\I find myself yearning for that sensation of pressing closely together.\No!\I was the one who said it!\I must restrain myself until we are somewhere out of public view.\But, you know...\It's amazing something this big can fly, isn't it?\How is it flying, anyway? response:	It's something about wind over the wings creating lift, right?
context: I find myself yearning for that sensation of pressing closely together.\No!\I was the one who said it!\I must restrain myself until we are somewhere out of public view.\But, you know...\It's amazing something this big can fly, isn't it?\How is it flying, anyway?\It's something about wind over the wings creating lift, right? response:	There are a lot of theories involving lift.
context: No!\I was the one who said it!\I must restrain myself until we are somewhere out of public view.\But, you know...\It's amazing something this big can fly, isn't it?\How is it flying, anyway?\It's something about wind over the wings creating lift, right?\There are a lot of theories involving lift. response:	But, what's more important is...
context: I was the one who said it!\I must restrain myself until we are somewhere out of public view.\But, you know...\It's amazing something this big can fly, isn't it?\How is it flying, anyway?\It's something about wind over the wings creating lift, right?\There are a lot of theories involving lift.\But, what's more important is... response:	The air flowing over the top and bottom of the wings flow at different speeds.
context: I must restrain myself until we are somewhere out of public view.\But, you know...\It's amazing something this big can fly, isn't it?\How is it flying, anyway?\It's something about wind over the wings creating lift, right?\There are a lot of theories involving lift.\But, what's more important is...\The air flowing over the top and bottom of the wings flow at different speeds. response:	Faster Air Current
context: But, you know...\It's amazing something this big can fly, isn't it?\How is it flying, anyway?\It's something about wind over the wings creating lift, right?\There are a lot of theories involving lift.\But, what's more important is...\The air flowing over the top and bottom of the wings flow at different speeds.\Faster Air Current response:	Slower Air Current
context: It's amazing something this big can fly, isn't it?\How is it flying, anyway?\It's something about wind over the wings creating lift, right?\There are a lot of theories involving lift.\But, what's more important is...\The air flowing over the top and bottom of the wings flow at different speeds.\Faster Air Current\Slower Air Current response:	According to what's known as Bernoulli's principle,
context: How is it flying, anyway?\It's something about wind over the wings creating lift, right?\There are a lot of theories involving lift.\But, what's more important is...\The air flowing over the top and bottom of the wings flow at different speeds.\Faster Air Current\Slower Air Current\According to what's known as Bernoulli's principle, response:	Faster Air Current
context: It's something about wind over the wings creating lift, right?\There are a lot of theories involving lift.\But, what's more important is...\The air flowing over the top and bottom of the wings flow at different speeds.\Faster Air Current\Slower Air Current\According to what's known as Bernoulli's principle,\Faster Air Current response:	Slower Air Current
context: There are a lot of theories involving lift.\But, what's more important is...\The air flowing over the top and bottom of the wings flow at different speeds.\Faster Air Current\Slower Air Current\According to what's known as Bernoulli's principle,\Faster Air Current\Slower Air Current response:	Lift
context: But, what's more important is...\The air flowing over the top and bottom of the wings flow at different speeds.\Faster Air Current\Slower Air Current\According to what's known as Bernoulli's principle,\Faster Air Current\Slower Air Current\Lift response:	this causes a difference in air pressure,
context: The air flowing over the top and bottom of the wings flow at different speeds.\Faster Air Current\Slower Air Current\According to what's known as Bernoulli's principle,\Faster Air Current\Slower Air Current\Lift\this causes a difference in air pressure, response:	which pulls the wings upwards. It's the most common way of thinking about it.
context: Faster Air Current\Slower Air Current\According to what's known as Bernoulli's principle,\Faster Air Current\Slower Air Current\Lift\this causes a difference in air pressure,\which pulls the wings upwards. It's the most common way of thinking about it. response:	I want to hug Yukimura-kun!
context: Slower Air Current\According to what's known as Bernoulli's principle,\Faster Air Current\Slower Air Current\Lift\this causes a difference in air pressure,\which pulls the wings upwards. It's the most common way of thinking about it.\I want to hug Yukimura-kun! response:	Circulating Currents
context: According to what's known as Bernoulli's principle,\Faster Air Current\Slower Air Current\Lift\this causes a difference in air pressure,\which pulls the wings upwards. It's the most common way of thinking about it.\I want to hug Yukimura-kun!\Circulating Currents response:	Direction of Travel
context: Faster Air Current\Slower Air Current\Lift\this causes a difference in air pressure,\which pulls the wings upwards. It's the most common way of thinking about it.\I want to hug Yukimura-kun!\Circulating Currents\Direction of Travel response:	In flight, the wings create air currents which circulate in the vicinity,
context: Slower Air Current\Lift\this causes a difference in air pressure,\which pulls the wings upwards. It's the most common way of thinking about it.\I want to hug Yukimura-kun!\Circulating Currents\Direction of Travel\In flight, the wings create air currents which circulate in the vicinity, response:	Circulating Currents
context: Lift\this causes a difference in air pressure,\which pulls the wings upwards. It's the most common way of thinking about it.\I want to hug Yukimura-kun!\Circulating Currents\Direction of Travel\In flight, the wings create air currents which circulate in the vicinity,\Circulating Currents response:	Direction of Travel
context: this causes a difference in air pressure,\which pulls the wings upwards. It's the most common way of thinking about it.\I want to hug Yukimura-kun!\Circulating Currents\Direction of Travel\In flight, the wings create air currents which circulate in the vicinity,\Circulating Currents\Direction of Travel response:	that's what's known as the Kutta-Joukowski theorem...
context: which pulls the wings upwards. It's the most common way of thinking about it.\I want to hug Yukimura-kun!\Circulating Currents\Direction of Travel\In flight, the wings create air currents which circulate in the vicinity,\Circulating Currents\Direction of Travel\that's what's known as the Kutta-Joukowski theorem... response:	I want press my forehead to Yukimura-kun and rub up against him!
context: I want to hug Yukimura-kun!\Circulating Currents\Direction of Travel\In flight, the wings create air currents which circulate in the vicinity,\Circulating Currents\Direction of Travel\that's what's known as the Kutta-Joukowski theorem...\I want press my forehead to Yukimura-kun and rub up against him! response:	According to that theorem, the air flowing over the top of the wings
context: Circulating Currents\Direction of Travel\In flight, the wings create air currents which circulate in the vicinity,\Circulating Currents\Direction of Travel\that's what's known as the Kutta-Joukowski theorem...\I want press my forehead to Yukimura-kun and rub up against him!\According to that theorem, the air flowing over the top of the wings response:	travels faster than the air currents below the wings for that reason.
context: Direction of Travel\In flight, the wings create air currents which circulate in the vicinity,\Circulating Currents\Direction of Travel\that's what's known as the Kutta-Joukowski theorem...\I want press my forehead to Yukimura-kun and rub up against him!\According to that theorem, the air flowing over the top of the wings\travels faster than the air currents below the wings for that reason. response:	And, according to Bernoulli's theorem,
context: In flight, the wings create air currents which circulate in the vicinity,\Circulating Currents\Direction of Travel\that's what's known as the Kutta-Joukowski theorem...\I want press my forehead to Yukimura-kun and rub up against him!\According to that theorem, the air flowing over the top of the wings\travels faster than the air currents below the wings for that reason.\And, according to Bernoulli's theorem, response:	Low Pressure
context: Circulating Currents\Direction of Travel\that's what's known as the Kutta-Joukowski theorem...\I want press my forehead to Yukimura-kun and rub up against him!\According to that theorem, the air flowing over the top of the wings\travels faster than the air currents below the wings for that reason.\And, according to Bernoulli's theorem,\Low Pressure response:	the faster the air current, the lower the pressure,
context: Direction of Travel\that's what's known as the Kutta-Joukowski theorem...\I want press my forehead to Yukimura-kun and rub up against him!\According to that theorem, the air flowing over the top of the wings\travels faster than the air currents below the wings for that reason.\And, according to Bernoulli's theorem,\Low Pressure\the faster the air current, the lower the pressure, response:	and the slower the current, the greater the pressure.
context: that's what's known as the Kutta-Joukowski theorem...\I want press my forehead to Yukimura-kun and rub up against him!\According to that theorem, the air flowing over the top of the wings\travels faster than the air currents below the wings for that reason.\And, according to Bernoulli's theorem,\Low Pressure\the faster the air current, the lower the pressure,\and the slower the current, the greater the pressure. response:	High Pressure
context: I want press my forehead to Yukimura-kun and rub up against him!\According to that theorem, the air flowing over the top of the wings\travels faster than the air currents below the wings for that reason.\And, according to Bernoulli's theorem,\Low Pressure\the faster the air current, the lower the pressure,\and the slower the current, the greater the pressure.\High Pressure response:	That difference of pressure works to lift the wings...
context: According to that theorem, the air flowing over the top of the wings\travels faster than the air currents below the wings for that reason.\And, according to Bernoulli's theorem,\Low Pressure\the faster the air current, the lower the pressure,\and the slower the current, the greater the pressure.\High Pressure\That difference of pressure works to lift the wings... response:	Yukimura-kun! Yukimura-kun!
context: travels faster than the air currents below the wings for that reason.\And, according to Bernoulli's theorem,\Low Pressure\the faster the air current, the lower the pressure,\and the slower the current, the greater the pressure.\High Pressure\That difference of pressure works to lift the wings...\Yukimura-kun! Yukimura-kun! response:	And then...
context: And, according to Bernoulli's theorem,\Low Pressure\the faster the air current, the lower the pressure,\and the slower the current, the greater the pressure.\High Pressure\That difference of pressure works to lift the wings...\Yukimura-kun! Yukimura-kun!\And then... response:	they become one!
context: Low Pressure\the faster the air current, the lower the pressure,\and the slower the current, the greater the pressure.\High Pressure\That difference of pressure works to lift the wings...\Yukimura-kun! Yukimura-kun!\And then...\they become one! response:	That ending wasn't right.
context: the faster the air current, the lower the pressure,\and the slower the current, the greater the pressure.\High Pressure\That difference of pressure works to lift the wings...\Yukimura-kun! Yukimura-kun!\And then...\they become one!\That ending wasn't right. response:	You should know they don't become one.
context: and the slower the current, the greater the pressure.\High Pressure\That difference of pressure works to lift the wings...\Yukimura-kun! Yukimura-kun!\And then...\they become one!\That ending wasn't right.\You should know they don't become one. response:	Why would you say something like that?
context: High Pressure\That difference of pressure works to lift the wings...\Yukimura-kun! Yukimura-kun!\And then...\they become one!\That ending wasn't right.\You should know they don't become one.\Why would you say something like that? response:	You're horrible, Yukimura-kun!
context: That difference of pressure works to lift the wings...\Yukimura-kun! Yukimura-kun!\And then...\they become one!\That ending wasn't right.\You should know they don't become one.\Why would you say something like that?\You're horrible, Yukimura-kun! response:	Why?
context: Yukimura-kun! Yukimura-kun!\And then...\they become one!\That ending wasn't right.\You should know they don't become one.\Why would you say something like that?\You're horrible, Yukimura-kun!\Why? response:	Bernoulli's Principle
context: And then...\they become one!\That ending wasn't right.\You should know they don't become one.\Why would you say something like that?\You're horrible, Yukimura-kun!\Why?\Bernoulli's Principle response:	Bernoulli's Principle.
context: they become one!\That ending wasn't right.\You should know they don't become one.\Why would you say something like that?\You're horrible, Yukimura-kun!\Why?\Bernoulli's Principle\Bernoulli's Principle. response:	First, take a tissue and stick it to your forehead.
context: That ending wasn't right.\You should know they don't become one.\Why would you say something like that?\You're horrible, Yukimura-kun!\Why?\Bernoulli's Principle\Bernoulli's Principle.\First, take a tissue and stick it to your forehead. response:	and look straight down, bear.
context: You should know they don't become one.\Why would you say something like that?\You're horrible, Yukimura-kun!\Why?\Bernoulli's Principle\Bernoulli's Principle.\First, take a tissue and stick it to your forehead.\and look straight down, bear. response:	If you exhale gently, for some reason I don't understand,
context: Why would you say something like that?\You're horrible, Yukimura-kun!\Why?\Bernoulli's Principle\Bernoulli's Principle.\First, take a tissue and stick it to your forehead.\and look straight down, bear.\If you exhale gently, for some reason I don't understand, response:	the tissue gets sucked toward your breath, bear.
context: You're horrible, Yukimura-kun!\Why?\Bernoulli's Principle\Bernoulli's Principle.\First, take a tissue and stick it to your forehead.\and look straight down, bear.\If you exhale gently, for some reason I don't understand,\the tissue gets sucked toward your breath, bear. response:	Evidently, the science behind the phenomenon also allows airplanes to fly, bear.
context: Why?\Bernoulli's Principle\Bernoulli's Principle.\First, take a tissue and stick it to your forehead.\and look straight down, bear.\If you exhale gently, for some reason I don't understand,\the tissue gets sucked toward your breath, bear.\Evidently, the science behind the phenomenon also allows airplanes to fly, bear. response:	It's super exhausting, but you stupid humans should give it a try, bear.
context: Bernoulli's Principle\Bernoulli's Principle.\First, take a tissue and stick it to your forehead.\and look straight down, bear.\If you exhale gently, for some reason I don't understand,\the tissue gets sucked toward your breath, bear.\Evidently, the science behind the phenomenon also allows airplanes to fly, bear.\It's super exhausting, but you stupid humans should give it a try, bear. response:	And... I'm out of oxygen!
context: Bernoulli's Principle.\First, take a tissue and stick it to your forehead.\and look straight down, bear.\If you exhale gently, for some reason I don't understand,\the tissue gets sucked toward your breath, bear.\Evidently, the science behind the phenomenon also allows airplanes to fly, bear.\It's super exhausting, but you stupid humans should give it a try, bear.\And... I'm out of oxygen! response:	We're here!
context: First, take a tissue and stick it to your forehead.\and look straight down, bear.\If you exhale gently, for some reason I don't understand,\the tissue gets sucked toward your breath, bear.\Evidently, the science behind the phenomenon also allows airplanes to fly, bear.\It's super exhausting, but you stupid humans should give it a try, bear.\And... I'm out of oxygen!\We're here! response:	It's my first time here, but it really is a southern land!
context: and look straight down, bear.\If you exhale gently, for some reason I don't understand,\the tissue gets sucked toward your breath, bear.\Evidently, the science behind the phenomenon also allows airplanes to fly, bear.\It's super exhausting, but you stupid humans should give it a try, bear.\And... I'm out of oxygen!\We're here!\It's my first time here, but it really is a southern land! response:	Kanadecchi!
context: If you exhale gently, for some reason I don't understand,\the tissue gets sucked toward your breath, bear.\Evidently, the science behind the phenomenon also allows airplanes to fly, bear.\It's super exhausting, but you stupid humans should give it a try, bear.\And... I'm out of oxygen!\We're here!\It's my first time here, but it really is a southern land!\Kanadecchi! response:	Are you wondering why there are palm trees? Allow this master of Okinawa to explain!
context: the tissue gets sucked toward your breath, bear.\Evidently, the science behind the phenomenon also allows airplanes to fly, bear.\It's super exhausting, but you stupid humans should give it a try, bear.\And... I'm out of oxygen!\We're here!\It's my first time here, but it really is a southern land!\Kanadecchi!\Are you wondering why there are palm trees? Allow this master of Okinawa to explain! response:	It's because...
context: Evidently, the science behind the phenomenon also allows airplanes to fly, bear.\It's super exhausting, but you stupid humans should give it a try, bear.\And... I'm out of oxygen!\We're here!\It's my first time here, but it really is a southern land!\Kanadecchi!\Are you wondering why there are palm trees? Allow this master of Okinawa to explain!\It's because... response:	this place is Okinawa.
context: It's super exhausting, but you stupid humans should give it a try, bear.\And... I'm out of oxygen!\We're here!\It's my first time here, but it really is a southern land!\Kanadecchi!\Are you wondering why there are palm trees? Allow this master of Okinawa to explain!\It's because...\this place is Okinawa. response:	That's why!
