context: Why are you crying? response:	B-Because everyone is going to go away...
context: This thing should be totally destroyed by now...\Warren, what's going on?\Half of those chains are still intact!\Hurry, everyone!\Oh, no! This is taking too long!\But all we can do is cut through them one at a time!\Come on, to the next one!\Just a little more! response:	Just a little more and my father's will can be carried out!
context: Warren, what's going on?\Half of those chains are still intact!\Hurry, everyone!\Oh, no! This is taking too long!\But all we can do is cut through them one at a time!\Come on, to the next one!\Just a little more!\Just a little more and my father's will can be carried out! response:	No! Princess! Wake up!
context: Half of those chains are still intact!\Hurry, everyone!\Oh, no! This is taking too long!\But all we can do is cut through them one at a time!\Come on, to the next one!\Just a little more!\Just a little more and my father's will can be carried out!\No! Princess! Wake up! response:	Natsu! At this rate, Lucy will...
context: Hurry, everyone!\Oh, no! This is taking too long!\But all we can do is cut through them one at a time!\Come on, to the next one!\Just a little more!\Just a little more and my father's will can be carried out!\No! Princess! Wake up!\Natsu! At this rate, Lucy will... response:	Dammit!
context: Oh, no! This is taking too long!\But all we can do is cut through them one at a time!\Come on, to the next one!\Just a little more!\Just a little more and my father's will can be carried out!\No! Princess! Wake up!\Natsu! At this rate, Lucy will...\Dammit! response:	I ain't gonna let you vanish!
context: But all we can do is cut through them one at a time!\Come on, to the next one!\Just a little more!\Just a little more and my father's will can be carried out!\No! Princess! Wake up!\Natsu! At this rate, Lucy will...\Dammit!\I ain't gonna let you vanish! response:	Hang in there, Lucy!
context: Come on, to the next one!\Just a little more!\Just a little more and my father's will can be carried out!\No! Princess! Wake up!\Natsu! At this rate, Lucy will...\Dammit!\I ain't gonna let you vanish!\Hang in there, Lucy! response:	You can stand, can't you?
context: Just a little more!\Just a little more and my father's will can be carried out!\No! Princess! Wake up!\Natsu! At this rate, Lucy will...\Dammit!\I ain't gonna let you vanish!\Hang in there, Lucy!\You can stand, can't you? response:	Michelle is...
context: Just a little more and my father's will can be carried out!\No! Princess! Wake up!\Natsu! At this rate, Lucy will...\Dammit!\I ain't gonna let you vanish!\Hang in there, Lucy!\You can stand, can't you?\Michelle is... response:	Yeah.
context: No! Princess! Wake up!\Natsu! At this rate, Lucy will...\Dammit!\I ain't gonna let you vanish!\Hang in there, Lucy!\You can stand, can't you?\Michelle is...\Yeah. response:	But if you're a Man, you cry only after you do what needs to be done!
context: Natsu! At this rate, Lucy will...\Dammit!\I ain't gonna let you vanish!\Hang in there, Lucy!\You can stand, can't you?\Michelle is...\Yeah.\But if you're a Man, you cry only after you do what needs to be done! response:	I know!
context: Dammit!\I ain't gonna let you vanish!\Hang in there, Lucy!\You can stand, can't you?\Michelle is...\Yeah.\But if you're a Man, you cry only after you do what needs to be done!\I know! response:	Wake up!
context: I ain't gonna let you vanish!\Hang in there, Lucy!\You can stand, can't you?\Michelle is...\Yeah.\But if you're a Man, you cry only after you do what needs to be done!\I know!\Wake up! response:	They're cutting through the chains, so why...?!
context: Hang in there, Lucy!\You can stand, can't you?\Michelle is...\Yeah.\But if you're a Man, you cry only after you do what needs to be done!\I know!\Wake up!\They're cutting through the chains, so why...?! response:	We won't be in time like this!
context: You can stand, can't you?\Michelle is...\Yeah.\But if you're a Man, you cry only after you do what needs to be done!\I know!\Wake up!\They're cutting through the chains, so why...?!\We won't be in time like this! response:	Anyway, we're going to defeat the Six Generals!
context: Michelle is...\Yeah.\But if you're a Man, you cry only after you do what needs to be done!\I know!\Wake up!\They're cutting through the chains, so why...?!\We won't be in time like this!\Anyway, we're going to defeat the Six Generals! response:	I'll back you up, Natsu-nii!
context: Yeah.\But if you're a Man, you cry only after you do what needs to be done!\I know!\Wake up!\They're cutting through the chains, so why...?!\We won't be in time like this!\Anyway, we're going to defeat the Six Generals!\I'll back you up, Natsu-nii! response:	Alright!
context: But if you're a Man, you cry only after you do what needs to be done!\I know!\Wake up!\They're cutting through the chains, so why...?!\We won't be in time like this!\Anyway, we're going to defeat the Six Generals!\I'll back you up, Natsu-nii!\Alright! response:	Klodoa...
context: I know!\Wake up!\They're cutting through the chains, so why...?!\We won't be in time like this!\Anyway, we're going to defeat the Six Generals!\I'll back you up, Natsu-nii!\Alright!\Klodoa... response:	Leave this to me. I'm not lettin' anybody get in our way!
context: Wake up!\They're cutting through the chains, so why...?!\We won't be in time like this!\Anyway, we're going to defeat the Six Generals!\I'll back you up, Natsu-nii!\Alright!\Klodoa...\Leave this to me. I'm not lettin' anybody get in our way! response:	You guys snap that stick in half!
context: They're cutting through the chains, so why...?!\We won't be in time like this!\Anyway, we're going to defeat the Six Generals!\I'll back you up, Natsu-nii!\Alright!\Klodoa...\Leave this to me. I'm not lettin' anybody get in our way!\You guys snap that stick in half! response:	I'm gonna knock the sneer right off this one's face!
context: We won't be in time like this!\Anyway, we're going to defeat the Six Generals!\I'll back you up, Natsu-nii!\Alright!\Klodoa...\Leave this to me. I'm not lettin' anybody get in our way!\You guys snap that stick in half!\I'm gonna knock the sneer right off this one's face! response:	Let's go, Romeo!
context: Anyway, we're going to defeat the Six Generals!\I'll back you up, Natsu-nii!\Alright!\Klodoa...\Leave this to me. I'm not lettin' anybody get in our way!\You guys snap that stick in half!\I'm gonna knock the sneer right off this one's face!\Let's go, Romeo! response:	Yeah! I'm fired up!
context: I'll back you up, Natsu-nii!\Alright!\Klodoa...\Leave this to me. I'm not lettin' anybody get in our way!\You guys snap that stick in half!\I'm gonna knock the sneer right off this one's face!\Let's go, Romeo!\Yeah! I'm fired up! response:	Lucy and Michelle!
context: Alright!\Klodoa...\Leave this to me. I'm not lettin' anybody get in our way!\You guys snap that stick in half!\I'm gonna knock the sneer right off this one's face!\Let's go, Romeo!\Yeah! I'm fired up!\Lucy and Michelle! response:	Damn you, Titania...
context: Klodoa...\Leave this to me. I'm not lettin' anybody get in our way!\You guys snap that stick in half!\I'm gonna knock the sneer right off this one's face!\Let's go, Romeo!\Yeah! I'm fired up!\Lucy and Michelle!\Damn you, Titania... response:	Why didn't you finish me off?
context: Leave this to me. I'm not lettin' anybody get in our way!\You guys snap that stick in half!\I'm gonna knock the sneer right off this one's face!\Let's go, Romeo!\Yeah! I'm fired up!\Lucy and Michelle!\Damn you, Titania...\Why didn't you finish me off? response:	I can hear you... Who's there?
context: You guys snap that stick in half!\I'm gonna knock the sneer right off this one's face!\Let's go, Romeo!\Yeah! I'm fired up!\Lucy and Michelle!\Damn you, Titania...\Why didn't you finish me off?\I can hear you... Who's there? response:	Your flames will never burn me.
context: I'm gonna knock the sneer right off this one's face!\Let's go, Romeo!\Yeah! I'm fired up!\Lucy and Michelle!\Damn you, Titania...\Why didn't you finish me off?\I can hear you... Who's there?\Your flames will never burn me. response:	In the end, your magic will run out.
context: Let's go, Romeo!\Yeah! I'm fired up!\Lucy and Michelle!\Damn you, Titania...\Why didn't you finish me off?\I can hear you... Who's there?\Your flames will never burn me.\In the end, your magic will run out. response:	Oh, is that right?
context: Yeah! I'm fired up!\Lucy and Michelle!\Damn you, Titania...\Why didn't you finish me off?\I can hear you... Who's there?\Your flames will never burn me.\In the end, your magic will run out.\Oh, is that right? response:	And yet, you're totally on the defensive. I got you shakin' in your boots!
context: Lucy and Michelle!\Damn you, Titania...\Why didn't you finish me off?\I can hear you... Who's there?\Your flames will never burn me.\In the end, your magic will run out.\Oh, is that right?\And yet, you're totally on the defensive. I got you shakin' in your boots! response:	Say what you like.
context: Damn you, Titania...\Why didn't you finish me off?\I can hear you... Who's there?\Your flames will never burn me.\In the end, your magic will run out.\Oh, is that right?\And yet, you're totally on the defensive. I got you shakin' in your boots!\Say what you like. response:	Loathe me. But also fear and respect me.
context: Why didn't you finish me off?\I can hear you... Who's there?\Your flames will never burn me.\In the end, your magic will run out.\Oh, is that right?\And yet, you're totally on the defensive. I got you shakin' in your boots!\Say what you like.\Loathe me. But also fear and respect me. response:	I received my power by making a huge sacrifice.
context: I can hear you... Who's there?\Your flames will never burn me.\In the end, your magic will run out.\Oh, is that right?\And yet, you're totally on the defensive. I got you shakin' in your boots!\Say what you like.\Loathe me. But also fear and respect me.\I received my power by making a huge sacrifice. response:	I'm as powerful as my father now!
context: Your flames will never burn me.\In the end, your magic will run out.\Oh, is that right?\And yet, you're totally on the defensive. I got you shakin' in your boots!\Say what you like.\Loathe me. But also fear and respect me.\I received my power by making a huge sacrifice.\I'm as powerful as my father now! response:	Sacrifice?
context: In the end, your magic will run out.\Oh, is that right?\And yet, you're totally on the defensive. I got you shakin' in your boots!\Say what you like.\Loathe me. But also fear and respect me.\I received my power by making a huge sacrifice.\I'm as powerful as my father now!\Sacrifice? response:	Become a resident of the World of Nil, Salamander!
context: Oh, is that right?\And yet, you're totally on the defensive. I got you shakin' in your boots!\Say what you like.\Loathe me. But also fear and respect me.\I received my power by making a huge sacrifice.\I'm as powerful as my father now!\Sacrifice?\Become a resident of the World of Nil, Salamander! response:	Genesis Zero!
context: And yet, you're totally on the defensive. I got you shakin' in your boots!\Say what you like.\Loathe me. But also fear and respect me.\I received my power by making a huge sacrifice.\I'm as powerful as my father now!\Sacrifice?\Become a resident of the World of Nil, Salamander!\Genesis Zero! response:	I cast open the Gate of Wraithwail!
context: Say what you like.\Loathe me. But also fear and respect me.\I received my power by making a huge sacrifice.\I'm as powerful as my father now!\Sacrifice?\Become a resident of the World of Nil, Salamander!\Genesis Zero!\I cast open the Gate of Wraithwail! response:	Travelers of nothingness,
context: Loathe me. But also fear and respect me.\I received my power by making a huge sacrifice.\I'm as powerful as my father now!\Sacrifice?\Become a resident of the World of Nil, Salamander!\Genesis Zero!\I cast open the Gate of Wraithwail!\Travelers of nothingness, response:	devour that man's soul, his memories, his very existence!
context: I received my power by making a huge sacrifice.\I'm as powerful as my father now!\Sacrifice?\Become a resident of the World of Nil, Salamander!\Genesis Zero!\I cast open the Gate of Wraithwail!\Travelers of nothingness,\devour that man's soul, his memories, his very existence! response:	Cease to exist, in the name of Zero!
context: I'm as powerful as my father now!\Sacrifice?\Become a resident of the World of Nil, Salamander!\Genesis Zero!\I cast open the Gate of Wraithwail!\Travelers of nothingness,\devour that man's soul, his memories, his very existence!\Cease to exist, in the name of Zero! response:	Natsu!
context: Sacrifice?\Become a resident of the World of Nil, Salamander!\Genesis Zero!\I cast open the Gate of Wraithwail!\Travelers of nothingness,\devour that man's soul, his memories, his very existence!\Cease to exist, in the name of Zero!\Natsu! response:	Natsu-nii!
context: Become a resident of the World of Nil, Salamander!\Genesis Zero!\I cast open the Gate of Wraithwail!\Travelers of nothingness,\devour that man's soul, his memories, his very existence!\Cease to exist, in the name of Zero!\Natsu!\Natsu-nii! response:	Fitting for two friends.
context: Genesis Zero!\I cast open the Gate of Wraithwail!\Travelers of nothingness,\devour that man's soul, his memories, his very existence!\Cease to exist, in the name of Zero!\Natsu!\Natsu-nii!\Fitting for two friends. response:	You're caught in a world of darkness,
context: I cast open the Gate of Wraithwail!\Travelers of nothingness,\devour that man's soul, his memories, his very existence!\Cease to exist, in the name of Zero!\Natsu!\Natsu-nii!\Fitting for two friends.\You're caught in a world of darkness, response:	while the little girl is trapped in time without an exit.
context: Travelers of nothingness,\devour that man's soul, his memories, his very existence!\Cease to exist, in the name of Zero!\Natsu!\Natsu-nii!\Fitting for two friends.\You're caught in a world of darkness,\while the little girl is trapped in time without an exit. response:	Lucy...
context: devour that man's soul, his memories, his very existence!\Cease to exist, in the name of Zero!\Natsu!\Natsu-nii!\Fitting for two friends.\You're caught in a world of darkness,\while the little girl is trapped in time without an exit.\Lucy... response:	Do you like it, Lucy?
context: Cease to exist, in the name of Zero!\Natsu!\Natsu-nii!\Fitting for two friends.\You're caught in a world of darkness,\while the little girl is trapped in time without an exit.\Lucy...\Do you like it, Lucy? response:	Yeah! It's the best birthday present ever!
context: Natsu!\Natsu-nii!\Fitting for two friends.\You're caught in a world of darkness,\while the little girl is trapped in time without an exit.\Lucy...\Do you like it, Lucy?\Yeah! It's the best birthday present ever! response:	I'm gonna make this girl my little sister!
context: Natsu-nii!\Fitting for two friends.\You're caught in a world of darkness,\while the little girl is trapped in time without an exit.\Lucy...\Do you like it, Lucy?\Yeah! It's the best birthday present ever!\I'm gonna make this girl my little sister! response:	Good! Be friends with her.
context: Fitting for two friends.\You're caught in a world of darkness,\while the little girl is trapped in time without an exit.\Lucy...\Do you like it, Lucy?\Yeah! It's the best birthday present ever!\I'm gonna make this girl my little sister!\Good! Be friends with her. response:	What should I call her? I know! Maybe Gonzales?
context: You're caught in a world of darkness,\while the little girl is trapped in time without an exit.\Lucy...\Do you like it, Lucy?\Yeah! It's the best birthday present ever!\I'm gonna make this girl my little sister!\Good! Be friends with her.\What should I call her? I know! Maybe Gonzales? response:	Oh, I think you should use a cuter name...
context: while the little girl is trapped in time without an exit.\Lucy...\Do you like it, Lucy?\Yeah! It's the best birthday present ever!\I'm gonna make this girl my little sister!\Good! Be friends with her.\What should I call her? I know! Maybe Gonzales?\Oh, I think you should use a cuter name... response:	I had so much fun then.
context: Lucy...\Do you like it, Lucy?\Yeah! It's the best birthday present ever!\I'm gonna make this girl my little sister!\Good! Be friends with her.\What should I call her? I know! Maybe Gonzales?\Oh, I think you should use a cuter name...\I had so much fun then. response:	In that big mansion... It was like a castle.
context: Do you like it, Lucy?\Yeah! It's the best birthday present ever!\I'm gonna make this girl my little sister!\Good! Be friends with her.\What should I call her? I know! Maybe Gonzales?\Oh, I think you should use a cuter name...\I had so much fun then.\In that big mansion... It was like a castle. response:	Nee-san, you made all kinds of clothes for me out of paper and flowers.
context: Yeah! It's the best birthday present ever!\I'm gonna make this girl my little sister!\Good! Be friends with her.\What should I call her? I know! Maybe Gonzales?\Oh, I think you should use a cuter name...\I had so much fun then.\In that big mansion... It was like a castle.\Nee-san, you made all kinds of clothes for me out of paper and flowers. response:	We went everywhere together. And we smiled wherever we went...
context: I'm gonna make this girl my little sister!\Good! Be friends with her.\What should I call her? I know! Maybe Gonzales?\Oh, I think you should use a cuter name...\I had so much fun then.\In that big mansion... It was like a castle.\Nee-san, you made all kinds of clothes for me out of paper and flowers.\We went everywhere together. And we smiled wherever we went... response:	But...
context: Good! Be friends with her.\What should I call her? I know! Maybe Gonzales?\Oh, I think you should use a cuter name...\I had so much fun then.\In that big mansion... It was like a castle.\Nee-san, you made all kinds of clothes for me out of paper and flowers.\We went everywhere together. And we smiled wherever we went...\But... response:	I took it out on everyone and everything. I think I made everyone really worry about me...
context: What should I call her? I know! Maybe Gonzales?\Oh, I think you should use a cuter name...\I had so much fun then.\In that big mansion... It was like a castle.\Nee-san, you made all kinds of clothes for me out of paper and flowers.\We went everywhere together. And we smiled wherever we went...\But...\I took it out on everyone and everything. I think I made everyone really worry about me... response:	All I could do was watch...
context: Oh, I think you should use a cuter name...\I had so much fun then.\In that big mansion... It was like a castle.\Nee-san, you made all kinds of clothes for me out of paper and flowers.\We went everywhere together. And we smiled wherever we went...\But...\I took it out on everyone and everything. I think I made everyone really worry about me...\All I could do was watch... response:	It was hard not being able to do anything...
context: I had so much fun then.\In that big mansion... It was like a castle.\Nee-san, you made all kinds of clothes for me out of paper and flowers.\We went everywhere together. And we smiled wherever we went...\But...\I took it out on everyone and everything. I think I made everyone really worry about me...\All I could do was watch...\It was hard not being able to do anything... response:	Whenever I looked at you, I was reminded of Mama, and that became painful...
context: In that big mansion... It was like a castle.\Nee-san, you made all kinds of clothes for me out of paper and flowers.\We went everywhere together. And we smiled wherever we went...\But...\I took it out on everyone and everything. I think I made everyone really worry about me...\All I could do was watch...\It was hard not being able to do anything...\Whenever I looked at you, I was reminded of Mama, and that became painful... response:	That's right. You stopped talking to me altogether.
context: Nee-san, you made all kinds of clothes for me out of paper and flowers.\We went everywhere together. And we smiled wherever we went...\But...\I took it out on everyone and everything. I think I made everyone really worry about me...\All I could do was watch...\It was hard not being able to do anything...\Whenever I looked at you, I was reminded of Mama, and that became painful...\That's right. You stopped talking to me altogether. response:	Eventually, I...
context: We went everywhere together. And we smiled wherever we went...\But...\I took it out on everyone and everything. I think I made everyone really worry about me...\All I could do was watch...\It was hard not being able to do anything...\Whenever I looked at you, I was reminded of Mama, and that became painful...\That's right. You stopped talking to me altogether.\Eventually, I... response:	I see... I left you behind.
context: But...\I took it out on everyone and everything. I think I made everyone really worry about me...\All I could do was watch...\It was hard not being able to do anything...\Whenever I looked at you, I was reminded of Mama, and that became painful...\That's right. You stopped talking to me altogether.\Eventually, I...\I see... I left you behind. response:	But you waited all that time for me to come back, didn't you?
context: I took it out on everyone and everything. I think I made everyone really worry about me...\All I could do was watch...\It was hard not being able to do anything...\Whenever I looked at you, I was reminded of Mama, and that became painful...\That's right. You stopped talking to me altogether.\Eventually, I...\I see... I left you behind.\But you waited all that time for me to come back, didn't you? response:	I'm sorry. She didn't mean to abandon you.
context: All I could do was watch...\It was hard not being able to do anything...\Whenever I looked at you, I was reminded of Mama, and that became painful...\That's right. You stopped talking to me altogether.\Eventually, I...\I see... I left you behind.\But you waited all that time for me to come back, didn't you?\I'm sorry. She didn't mean to abandon you. response:	It's just that she's so sad now after losing her mother,
context: It was hard not being able to do anything...\Whenever I looked at you, I was reminded of Mama, and that became painful...\That's right. You stopped talking to me altogether.\Eventually, I...\I see... I left you behind.\But you waited all that time for me to come back, didn't you?\I'm sorry. She didn't mean to abandon you.\It's just that she's so sad now after losing her mother, response:	she can't bear to see you or anything, really...
context: Whenever I looked at you, I was reminded of Mama, and that became painful...\That's right. You stopped talking to me altogether.\Eventually, I...\I see... I left you behind.\But you waited all that time for me to come back, didn't you?\I'm sorry. She didn't mean to abandon you.\It's just that she's so sad now after losing her mother,\she can't bear to see you or anything, really... response:	I don't know how to talk to my daughter these days.
context: That's right. You stopped talking to me altogether.\Eventually, I...\I see... I left you behind.\But you waited all that time for me to come back, didn't you?\I'm sorry. She didn't mean to abandon you.\It's just that she's so sad now after losing her mother,\she can't bear to see you or anything, really...\I don't know how to talk to my daughter these days. response:	Someday...
context: Eventually, I...\I see... I left you behind.\But you waited all that time for me to come back, didn't you?\I'm sorry. She didn't mean to abandon you.\It's just that she's so sad now after losing her mother,\she can't bear to see you or anything, really...\I don't know how to talk to my daughter these days.\Someday... response:	I waited for years after that.
context: I see... I left you behind.\But you waited all that time for me to come back, didn't you?\I'm sorry. She didn't mean to abandon you.\It's just that she's so sad now after losing her mother,\she can't bear to see you or anything, really...\I don't know how to talk to my daughter these days.\Someday...\I waited for years after that. response:	The once lively mansion was now deathly quiet.
context: But you waited all that time for me to come back, didn't you?\I'm sorry. She didn't mean to abandon you.\It's just that she's so sad now after losing her mother,\she can't bear to see you or anything, really...\I don't know how to talk to my daughter these days.\Someday...\I waited for years after that.\The once lively mansion was now deathly quiet. response:	Suddenly, everyone was gone.
context: I'm sorry. She didn't mean to abandon you.\It's just that she's so sad now after losing her mother,\she can't bear to see you or anything, really...\I don't know how to talk to my daughter these days.\Someday...\I waited for years after that.\The once lively mansion was now deathly quiet.\Suddenly, everyone was gone. response:	In the end, the person who came for me wasn't you, Nee-san.
context: It's just that she's so sad now after losing her mother,\she can't bear to see you or anything, really...\I don't know how to talk to my daughter these days.\Someday...\I waited for years after that.\The once lively mansion was now deathly quiet.\Suddenly, everyone was gone.\In the end, the person who came for me wasn't you, Nee-san. response:	I was given life, as Imitatia,
context: she can't bear to see you or anything, really...\I don't know how to talk to my daughter these days.\Someday...\I waited for years after that.\The once lively mansion was now deathly quiet.\Suddenly, everyone was gone.\In the end, the person who came for me wasn't you, Nee-san.\I was given life, as Imitatia, response:	and did as I was told, pretending to be Michelle Lobster.
context: I don't know how to talk to my daughter these days.\Someday...\I waited for years after that.\The once lively mansion was now deathly quiet.\Suddenly, everyone was gone.\In the end, the person who came for me wasn't you, Nee-san.\I was given life, as Imitatia,\and did as I was told, pretending to be Michelle Lobster. response:	My mission was to retrieve the Infinity Clock.
context: Someday...\I waited for years after that.\The once lively mansion was now deathly quiet.\Suddenly, everyone was gone.\In the end, the person who came for me wasn't you, Nee-san.\I was given life, as Imitatia,\and did as I was told, pretending to be Michelle Lobster.\My mission was to retrieve the Infinity Clock. response:	Before, you said you helped my father with his work...
context: I waited for years after that.\The once lively mansion was now deathly quiet.\Suddenly, everyone was gone.\In the end, the person who came for me wasn't you, Nee-san.\I was given life, as Imitatia,\and did as I was told, pretending to be Michelle Lobster.\My mission was to retrieve the Infinity Clock.\Before, you said you helped my father with his work... response:	That's true.
context: The once lively mansion was now deathly quiet.\Suddenly, everyone was gone.\In the end, the person who came for me wasn't you, Nee-san.\I was given life, as Imitatia,\and did as I was told, pretending to be Michelle Lobster.\My mission was to retrieve the Infinity Clock.\Before, you said you helped my father with his work...\That's true. response:	It was difficult using Uncle like that,
context: Suddenly, everyone was gone.\In the end, the person who came for me wasn't you, Nee-san.\I was given life, as Imitatia,\and did as I was told, pretending to be Michelle Lobster.\My mission was to retrieve the Infinity Clock.\Before, you said you helped my father with his work...\That's true.\It was difficult using Uncle like that, response:	but I wanted to go back...
context: In the end, the person who came for me wasn't you, Nee-san.\I was given life, as Imitatia,\and did as I was told, pretending to be Michelle Lobster.\My mission was to retrieve the Infinity Clock.\Before, you said you helped my father with his work...\That's true.\It was difficult using Uncle like that,\but I wanted to go back... response:	I just wanted to go back to those days...
context: I was given life, as Imitatia,\and did as I was told, pretending to be Michelle Lobster.\My mission was to retrieve the Infinity Clock.\Before, you said you helped my father with his work...\That's true.\It was difficult using Uncle like that,\but I wanted to go back...\I just wanted to go back to those days... response:	That's all I felt...
context: and did as I was told, pretending to be Michelle Lobster.\My mission was to retrieve the Infinity Clock.\Before, you said you helped my father with his work...\That's true.\It was difficult using Uncle like that,\but I wanted to go back...\I just wanted to go back to those days...\That's all I felt... response:	I heard a lot had happened between you and Uncle...
context: My mission was to retrieve the Infinity Clock.\Before, you said you helped my father with his work...\That's true.\It was difficult using Uncle like that,\but I wanted to go back...\I just wanted to go back to those days...\That's all I felt...\I heard a lot had happened between you and Uncle... response:	But...
context: Before, you said you helped my father with his work...\That's true.\It was difficult using Uncle like that,\but I wanted to go back...\I just wanted to go back to those days...\That's all I felt...\I heard a lot had happened between you and Uncle...\But... response:	Families are a mystery...
context: That's true.\It was difficult using Uncle like that,\but I wanted to go back...\I just wanted to go back to those days...\That's all I felt...\I heard a lot had happened between you and Uncle...\But...\Families are a mystery... response:	No matter what happens, their feelings always keep them connected.
context: It was difficult using Uncle like that,\but I wanted to go back...\I just wanted to go back to those days...\That's all I felt...\I heard a lot had happened between you and Uncle...\But...\Families are a mystery...\No matter what happens, their feelings always keep them connected. response:	I'm sure she's alive somewhere...
context: but I wanted to go back...\I just wanted to go back to those days...\That's all I felt...\I heard a lot had happened between you and Uncle...\But...\Families are a mystery...\No matter what happens, their feelings always keep them connected.\I'm sure she's alive somewhere... response:	I know she'll come back, so I want you to find her and give that to her...
context: I just wanted to go back to those days...\That's all I felt...\I heard a lot had happened between you and Uncle...\But...\Families are a mystery...\No matter what happens, their feelings always keep them connected.\I'm sure she's alive somewhere...\I know she'll come back, so I want you to find her and give that to her... response:	Alright?
context: That's all I felt...\I heard a lot had happened between you and Uncle...\But...\Families are a mystery...\No matter what happens, their feelings always keep them connected.\I'm sure she's alive somewhere...\I know she'll come back, so I want you to find her and give that to her...\Alright? response:	Uncle...
context: I heard a lot had happened between you and Uncle...\But...\Families are a mystery...\No matter what happens, their feelings always keep them connected.\I'm sure she's alive somewhere...\I know she'll come back, so I want you to find her and give that to her...\Alright?\Uncle... response:	But magic is a mysterious and marvelous thing, isn't it?
context: But...\Families are a mystery...\No matter what happens, their feelings always keep them connected.\I'm sure she's alive somewhere...\I know she'll come back, so I want you to find her and give that to her...\Alright?\Uncle...\But magic is a mysterious and marvelous thing, isn't it? response:	Next time for sure,
context: Families are a mystery...\No matter what happens, their feelings always keep them connected.\I'm sure she's alive somewhere...\I know she'll come back, so I want you to find her and give that to her...\Alright?\Uncle...\But magic is a mysterious and marvelous thing, isn't it?\Next time for sure, response:	I hope you can become her little sister...
context: No matter what happens, their feelings always keep them connected.\I'm sure she's alive somewhere...\I know she'll come back, so I want you to find her and give that to her...\Alright?\Uncle...\But magic is a mysterious and marvelous thing, isn't it?\Next time for sure,\I hope you can become her little sister... response:	I'm sorry, Michelle. It must've been so hard on you...
context: I'm sure she's alive somewhere...\I know she'll come back, so I want you to find her and give that to her...\Alright?\Uncle...\But magic is a mysterious and marvelous thing, isn't it?\Next time for sure,\I hope you can become her little sister...\I'm sorry, Michelle. It must've been so hard on you... response:	You don't have to cry, Nee-san. It's okay.
context: I know she'll come back, so I want you to find her and give that to her...\Alright?\Uncle...\But magic is a mysterious and marvelous thing, isn't it?\Next time for sure,\I hope you can become her little sister...\I'm sorry, Michelle. It must've been so hard on you...\You don't have to cry, Nee-san. It's okay. response:	After all, you can hear them, can't you?
context: Alright?\Uncle...\But magic is a mysterious and marvelous thing, isn't it?\Next time for sure,\I hope you can become her little sister...\I'm sorry, Michelle. It must've been so hard on you...\You don't have to cry, Nee-san. It's okay.\After all, you can hear them, can't you? response:	The voices of the people who love you...
