context: Pre! Preparation! response:	I'm not strong
context: P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff response:	I'm only worrying about things that don't matter
context: P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter response:	How does it feel? It feels like that
context: If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that response:	You're gentle and sincere yet eccentric
context: I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric response:	I pretend to be strong all over and compete against you
context: What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you response:	Just by being honest, it's so stimulating and I feel dizzy
context: But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy response:	I get hurt, I hurt you, in a preparation of pure feelings
context: Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings response:	In my head, there's always a pre-parade of pure feelings all by myself
context: Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself response:	ba ni ra
context: I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra response:	With vanilla salt
context: How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt response:	vanilla
context: You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla response:	If it's just sweet
context: I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet response:	Then let's put salt on
context: Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on response:	Because I want you to know more about me
context: I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me response:	More than anyone else, I want to bare my self
context: In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self response:	But I can't do it, I've got nothing for experience
context: ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience response:	It's too frustrating
context: With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating response:	But a love that's just sweet
context: vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet response:	Is slightly different from what I'm seeking
context: If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking response:	If I'm told it's white
context: Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white response:	I'd say it's black
context: Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black response:	I can't be honest
context: More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest response:	I say one thing but do another
context: But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another response:	If I'm told, I love you
context: It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you response:	I'd say, I hate you
context: But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you response:	I'm happy, but what am I saying?
context: Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying? response:	Like putting salt
context: If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt response:	Into sweet vanilla...
context: I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla... response:	Vale
context: I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Vale response:	Tudo
context: I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Vale\Tudo response:	For whose sake?
context: If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Vale\Tudo\For whose sake? response:	Everyone in 2-C
context: I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Vale\Tudo\For whose sake?\Everyone in 2-C response:	must read this!
context: I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Vale\Tudo\For whose sake?\Everyone in 2-C\must read this! response:	Exclude Ami-
context: Like putting salt\Into sweet vanilla...\Vale\Tudo\For whose sake?\Everyone in 2-C\must read this!\Exclude Ami- response:	tan, Taiga
context: Into sweet vanilla...\Vale\Tudo\For whose sake?\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga response:	Takasu and Judge
context: Vale\Tudo\For whose sake?\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge response:	Kushieda when sending
context: Tudo\For whose sake?\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending response:	this around
context: For whose sake?\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around response:	Everyone in 2-C
context: Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C response:	must read this!
context: must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this! response:	Exclude Ami-
context: Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami- response:	tan, Taiga
context: tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga response:	Takasu and Judge
context: Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge response:	Kushieda when sending
context: Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending response:	this around
context: this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around response:	Everyone in 2-C
context: Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C response:	must read this!
context: must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this! response:	Exclude Ami-
context: Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami- response:	tan, Taiga
context: tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga response:	Takasu and Judge
context: Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge response:	Kushieda when sending
context: Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending response:	this around
context: this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around response:	Everyone in 2-C
context: Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C response:	must read this!
context: must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this! response:	Exclude Ami-
context: Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami- response:	tan, Taiga
context: tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga response:	Takasu and Judge
context: Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge response:	Kushieda when sending
context: Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending response:	this around
context: this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around response:	Everyone in 2-C
context: Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C response:	must read this!
context: must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this! response:	Exclude Ami-
context: Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami- response:	tan, Taiga
context: tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga response:	Takasu and Judge
context: Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge response:	Kushieda when sending
context: Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending response:	this around
context: this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around response:	Everyone in 2-C
context: Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C response:	must read this!
context: must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this! response:	Exclude Ami-
context: Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami- response:	tan, Taiga
context: tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga response:	Takasu and Judge
context: Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge response:	Kushieda when sending
context: Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending response:	this around
context: this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around response:	Everyone in 2-C
context: Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C response:	must read this!
context: must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this! response:	Exclude Ami-
context: Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami- response:	tan, Taiga
context: tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga response:	Takasu and Judge
context: Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge response:	Kushieda when sending
context: Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending response:	this around
context: this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around response:	Everyone in 2-C
context: Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C response:	must read this!
context: must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this! response:	Exclude Ami-
context: Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami- response:	tan, Taiga
context: tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga response:	Takasu and Judge
context: Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge response:	Kushieda when sending
context: Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending response:	this around
context: this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around response:	Everyone in 2-C
context: Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C response:	must read this!
context: must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this! response:	Exclude Ami-
context: Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami- response:	tan, Taiga
context: tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga response:	Takasu and Judge
context: Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge response:	Kushieda when sending
context: Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending response:	this around
context: this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around response:	Everyone in 2-C
context: Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C response:	must read this!
context: must read this!\Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this! response:	Exclude Ami-
context: Exclude Ami-\tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami- response:	tan, Taiga
context: tan, Taiga\Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga response:	Isn't that kinda screwed up that you can't write'all'?
context: Takasu and Judge\Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Isn't that kinda screwed up that you can't write'all'? response:	>Haruta
context: Kushieda when sending\this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Isn't that kinda screwed up that you can't write'all'?\>Haruta response:	You cheated your way into this school, didn't you? >Haruta
context: this around\Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Isn't that kinda screwed up that you can't write'all'?\>Haruta\You cheated your way into this school, didn't you? >Haruta response:	3000 Tirols! Takasu Ryuuji
context: Everyone in 2-C\must read this!\Exclude Ami-\tan, Taiga\Isn't that kinda screwed up that you can't write'all'?\>Haruta\You cheated your way into this school, didn't you? >Haruta\3000 Tirols! Takasu Ryuuji response:	3000 Tirols! Takasu Ryuuji
context: must read this!\Exclude Ami-\tan, Taiga\Isn't that kinda screwed up that you can't write'all'?\>Haruta\You cheated your way into this school, didn't you? >Haruta\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji response:	3000 Tirols! Takasu Ryuuji
context: Exclude Ami-\tan, Taiga\Isn't that kinda screwed up that you can't write'all'?\>Haruta\You cheated your way into this school, didn't you? >Haruta\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji response:	Next Episode Preview
context: tan, Taiga\Isn't that kinda screwed up that you can't write'all'?\>Haruta\You cheated your way into this school, didn't you? >Haruta\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\Next Episode Preview response:	You, who are going to the sea?
context: Isn't that kinda screwed up that you can't write'all'?\>Haruta\You cheated your way into this school, didn't you? >Haruta\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\Next Episode Preview\You, who are going to the sea? response:	The sport for the competition will be...
context: >Haruta\You cheated your way into this school, didn't you? >Haruta\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\Next Episode Preview\You, who are going to the sea?\The sport for the competition will be... response:	A 50 metre freestyle, one-off swimming match, as proposed by Kawashima-san!
context: You cheated your way into this school, didn't you? >Haruta\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\Next Episode Preview\You, who are going to the sea?\The sport for the competition will be...\A 50 metre freestyle, one-off swimming match, as proposed by Kawashima-san! response:	Lucky me!
context: 3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\Next Episode Preview\You, who are going to the sea?\The sport for the competition will be...\A 50 metre freestyle, one-off swimming match, as proposed by Kawashima-san!\Lucky me! response:	What did you write?
context: 3000 Tirols! Takasu Ryuuji\3000 Tirols! Takasu Ryuuji\Next Episode Preview\You, who are going to the sea?\The sport for the competition will be...\A 50 metre freestyle, one-off swimming match, as proposed by Kawashima-san!\Lucky me!\What did you write? response:	If I win, I'm going to put the movie of your imitation on display, for all to see.
context: 3000 Tirols! Takasu Ryuuji\Next Episode Preview\You, who are going to the sea?\The sport for the competition will be...\A 50 metre freestyle, one-off swimming match, as proposed by Kawashima-san!\Lucky me!\What did you write?\If I win, I'm going to put the movie of your imitation on display, for all to see. response:	If I win, Takasu-kun's spending his entire summer with me at my vacation home.
context: Next Episode Preview\You, who are going to the sea?\The sport for the competition will be...\A 50 metre freestyle, one-off swimming match, as proposed by Kawashima-san!\Lucky me!\What did you write?\If I win, I'm going to put the movie of your imitation on display, for all to see.\If I win, Takasu-kun's spending his entire summer with me at my vacation home. response:	You'll be all alone for the entire summer.
context: You, who are going to the sea?\The sport for the competition will be...\A 50 metre freestyle, one-off swimming match, as proposed by Kawashima-san!\Lucky me!\What did you write?\If I win, I'm going to put the movie of your imitation on display, for all to see.\If I win, Takasu-kun's spending his entire summer with me at my vacation home.\You'll be all alone for the entire summer. response:	If you know the answer, come up and write it on the blackboard.
context: The sport for the competition will be...\A 50 metre freestyle, one-off swimming match, as proposed by Kawashima-san!\Lucky me!\What did you write?\If I win, I'm going to put the movie of your imitation on display, for all to see.\If I win, Takasu-kun's spending his entire summer with me at my vacation home.\You'll be all alone for the entire summer.\If you know the answer, come up and write it on the blackboard. response:	I will.
context: A 50 metre freestyle, one-off swimming match, as proposed by Kawashima-san!\Lucky me!\What did you write?\If I win, I'm going to put the movie of your imitation on display, for all to see.\If I win, Takasu-kun's spending his entire summer with me at my vacation home.\You'll be all alone for the entire summer.\If you know the answer, come up and write it on the blackboard.\I will. response:	Just what I'd expect from the class representative.
context: Lucky me!\What did you write?\If I win, I'm going to put the movie of your imitation on display, for all to see.\If I win, Takasu-kun's spending his entire summer with me at my vacation home.\You'll be all alone for the entire summer.\If you know the answer, come up and write it on the blackboard.\I will.\Just what I'd expect from the class representative. response:	Hey.
context: What did you write?\If I win, I'm going to put the movie of your imitation on display, for all to see.\If I win, Takasu-kun's spending his entire summer with me at my vacation home.\You'll be all alone for the entire summer.\If you know the answer, come up and write it on the blackboard.\I will.\Just what I'd expect from the class representative.\Hey. response:	Idiot.
context: If I win, I'm going to put the movie of your imitation on display, for all to see.\If I win, Takasu-kun's spending his entire summer with me at my vacation home.\You'll be all alone for the entire summer.\If you know the answer, come up and write it on the blackboard.\I will.\Just what I'd expect from the class representative.\Hey.\Idiot. response:	First round of the Takasu Cup commencing?
context: If I win, Takasu-kun's spending his entire summer with me at my vacation home.\You'll be all alone for the entire summer.\If you know the answer, come up and write it on the blackboard.\I will.\Just what I'd expect from the class representative.\Hey.\Idiot.\First round of the Takasu Cup commencing? response:	Ami-tan vs the Palmtop Tiger. 500 Tirols per bet.
context: You'll be all alone for the entire summer.\If you know the answer, come up and write it on the blackboard.\I will.\Just what I'd expect from the class representative.\Hey.\Idiot.\First round of the Takasu Cup commencing?\Ami-tan vs the Palmtop Tiger. 500 Tirols per bet. response:	What the hell is this?
context: If you know the answer, come up and write it on the blackboard.\I will.\Just what I'd expect from the class representative.\Hey.\Idiot.\First round of the Takasu Cup commencing?\Ami-tan vs the Palmtop Tiger. 500 Tirols per bet.\What the hell is this? response:	Will this even be a competition?
context: I will.\Just what I'd expect from the class representative.\Hey.\Idiot.\First round of the Takasu Cup commencing?\Ami-tan vs the Palmtop Tiger. 500 Tirols per bet.\What the hell is this?\Will this even be a competition? response:	Of course Ami-tan will win at swimming! Taiga just sank, remember?
context: Just what I'd expect from the class representative.\Hey.\Idiot.\First round of the Takasu Cup commencing?\Ami-tan vs the Palmtop Tiger. 500 Tirols per bet.\What the hell is this?\Will this even be a competition?\Of course Ami-tan will win at swimming! Taiga just sank, remember? response:	I want to be fought over as well!
context: Hey.\Idiot.\First round of the Takasu Cup commencing?\Ami-tan vs the Palmtop Tiger. 500 Tirols per bet.\What the hell is this?\Will this even be a competition?\Of course Ami-tan will win at swimming! Taiga just sank, remember?\I want to be fought over as well! response:	What should I do?
context: Idiot.\First round of the Takasu Cup commencing?\Ami-tan vs the Palmtop Tiger. 500 Tirols per bet.\What the hell is this?\Will this even be a competition?\Of course Ami-tan will win at swimming! Taiga just sank, remember?\I want to be fought over as well!\What should I do? response:	Damn, these guys...
context: First round of the Takasu Cup commencing?\Ami-tan vs the Palmtop Tiger. 500 Tirols per bet.\What the hell is this?\Will this even be a competition?\Of course Ami-tan will win at swimming! Taiga just sank, remember?\I want to be fought over as well!\What should I do?\Damn, these guys... response:	Ami's mine, sorry arl.
context: Ami-tan vs the Palmtop Tiger. 500 Tirols per bet.\What the hell is this?\Will this even be a competition?\Of course Ami-tan will win at swimming! Taiga just sank, remember?\I want to be fought over as well!\What should I do?\Damn, these guys...\Ami's mine, sorry arl. response:	Were you trying to write all?
context: What the hell is this?\Will this even be a competition?\Of course Ami-tan will win at swimming! Taiga just sank, remember?\I want to be fought over as well!\What should I do?\Damn, these guys...\Ami's mine, sorry arl.\Were you trying to write all? response:	Isn't that kinda screwed up that you can't write'all'?
