context: From One Year to the Next response:	Coffee Shop
context: Right, Principal Hina-chan?\Yeah!\I bet our second play will go even better than the first!\That settles it! It'll be about...\Hmm, let's see...\For the end of the year...\Maybe Chushingura?\Since it'll be Christmas, response:	maybe it should be more of a Christmas story.
context: Yeah!\I bet our second play will go even better than the first!\That settles it! It'll be about...\Hmm, let's see...\For the end of the year...\Maybe Chushingura?\Since it'll be Christmas,\maybe it should be more of a Christmas story. response:	A Christmas story, huh?
context: I bet our second play will go even better than the first!\That settles it! It'll be about...\Hmm, let's see...\For the end of the year...\Maybe Chushingura?\Since it'll be Christmas,\maybe it should be more of a Christmas story.\A Christmas story, huh? response:	Okay, how about this?
context: That settles it! It'll be about...\Hmm, let's see...\For the end of the year...\Maybe Chushingura?\Since it'll be Christmas,\maybe it should be more of a Christmas story.\A Christmas story, huh?\Okay, how about this? response:	A tragic love story between Santa Claus and a reindeer.
context: Hmm, let's see...\For the end of the year...\Maybe Chushingura?\Since it'll be Christmas,\maybe it should be more of a Christmas story.\A Christmas story, huh?\Okay, how about this?\A tragic love story between Santa Claus and a reindeer. response:	Wherefore are thou a reindeer?
context: For the end of the year...\Maybe Chushingura?\Since it'll be Christmas,\maybe it should be more of a Christmas story.\A Christmas story, huh?\Okay, how about this?\A tragic love story between Santa Claus and a reindeer.\Wherefore are thou a reindeer? response:	Like that.
context: Maybe Chushingura?\Since it'll be Christmas,\maybe it should be more of a Christmas story.\A Christmas story, huh?\Okay, how about this?\A tragic love story between Santa Claus and a reindeer.\Wherefore are thou a reindeer?\Like that. response:	Or maybe...
context: Since it'll be Christmas,\maybe it should be more of a Christmas story.\A Christmas story, huh?\Okay, how about this?\A tragic love story between Santa Claus and a reindeer.\Wherefore are thou a reindeer?\Like that.\Or maybe... response:	A revenge drama about Prince Santa Claus driven mad with the need for vengeance.
context: maybe it should be more of a Christmas story.\A Christmas story, huh?\Okay, how about this?\A tragic love story between Santa Claus and a reindeer.\Wherefore are thou a reindeer?\Like that.\Or maybe...\A revenge drama about Prince Santa Claus driven mad with the need for vengeance. response:	Get to the convent!
context: A Christmas story, huh?\Okay, how about this?\A tragic love story between Santa Claus and a reindeer.\Wherefore are thou a reindeer?\Like that.\Or maybe...\A revenge drama about Prince Santa Claus driven mad with the need for vengeance.\Get to the convent! response:	Aww!
context: Okay, how about this?\A tragic love story between Santa Claus and a reindeer.\Wherefore are thou a reindeer?\Like that.\Or maybe...\A revenge drama about Prince Santa Claus driven mad with the need for vengeance.\Get to the convent!\Aww! response:	How about that?
context: A tragic love story between Santa Claus and a reindeer.\Wherefore are thou a reindeer?\Like that.\Or maybe...\A revenge drama about Prince Santa Claus driven mad with the need for vengeance.\Get to the convent!\Aww!\How about that? response:	Um, what do those have to do with Christmas,
context: Wherefore are thou a reindeer?\Like that.\Or maybe...\A revenge drama about Prince Santa Claus driven mad with the need for vengeance.\Get to the convent!\Aww!\How about that?\Um, what do those have to do with Christmas, response:	other than having Santa and a reindeer?
context: Like that.\Or maybe...\A revenge drama about Prince Santa Claus driven mad with the need for vengeance.\Get to the convent!\Aww!\How about that?\Um, what do those have to do with Christmas,\other than having Santa and a reindeer? response:	I like it! Santa and his reindeer!
context: Or maybe...\A revenge drama about Prince Santa Claus driven mad with the need for vengeance.\Get to the convent!\Aww!\How about that?\Um, what do those have to do with Christmas,\other than having Santa and a reindeer?\I like it! Santa and his reindeer! response:	I'll have to start preparing the costumes right away!
context: A revenge drama about Prince Santa Claus driven mad with the need for vengeance.\Get to the convent!\Aww!\How about that?\Um, what do those have to do with Christmas,\other than having Santa and a reindeer?\I like it! Santa and his reindeer!\I'll have to start preparing the costumes right away! response:	Mayu-chan's switch just flipped on.
context: Get to the convent!\Aww!\How about that?\Um, what do those have to do with Christmas,\other than having Santa and a reindeer?\I like it! Santa and his reindeer!\I'll have to start preparing the costumes right away!\Mayu-chan's switch just flipped on. response:	Yeah.
context: Aww!\How about that?\Um, what do those have to do with Christmas,\other than having Santa and a reindeer?\I like it! Santa and his reindeer!\I'll have to start preparing the costumes right away!\Mayu-chan's switch just flipped on.\Yeah. response:	I can't wait until the costume fitting!
context: How about that?\Um, what do those have to do with Christmas,\other than having Santa and a reindeer?\I like it! Santa and his reindeer!\I'll have to start preparing the costumes right away!\Mayu-chan's switch just flipped on.\Yeah.\I can't wait until the costume fitting! response:	Oh, I know! You'll need dresses, too, right?
context: Um, what do those have to do with Christmas,\other than having Santa and a reindeer?\I like it! Santa and his reindeer!\I'll have to start preparing the costumes right away!\Mayu-chan's switch just flipped on.\Yeah.\I can't wait until the costume fitting!\Oh, I know! You'll need dresses, too, right? response:	Uh, Mayu-chan...
context: other than having Santa and a reindeer?\I like it! Santa and his reindeer!\I'll have to start preparing the costumes right away!\Mayu-chan's switch just flipped on.\Yeah.\I can't wait until the costume fitting!\Oh, I know! You'll need dresses, too, right?\Uh, Mayu-chan... response:	What?
context: I like it! Santa and his reindeer!\I'll have to start preparing the costumes right away!\Mayu-chan's switch just flipped on.\Yeah.\I can't wait until the costume fitting!\Oh, I know! You'll need dresses, too, right?\Uh, Mayu-chan...\What? response:	Like I said before, we won't have much time,
context: I'll have to start preparing the costumes right away!\Mayu-chan's switch just flipped on.\Yeah.\I can't wait until the costume fitting!\Oh, I know! You'll need dresses, too, right?\Uh, Mayu-chan...\What?\Like I said before, we won't have much time, response:	so I was thinking of borrowing costumes from the theater club.
context: Mayu-chan's switch just flipped on.\Yeah.\I can't wait until the costume fitting!\Oh, I know! You'll need dresses, too, right?\Uh, Mayu-chan...\What?\Like I said before, we won't have much time,\so I was thinking of borrowing costumes from the theater club. response:	D'oh...
context: Yeah.\I can't wait until the costume fitting!\Oh, I know! You'll need dresses, too, right?\Uh, Mayu-chan...\What?\Like I said before, we won't have much time,\so I was thinking of borrowing costumes from the theater club.\D'oh... response:	Mayu-chan's switch just flipped off.
context: I can't wait until the costume fitting!\Oh, I know! You'll need dresses, too, right?\Uh, Mayu-chan...\What?\Like I said before, we won't have much time,\so I was thinking of borrowing costumes from the theater club.\D'oh...\Mayu-chan's switch just flipped off. response:	Yeah.
context: Oh, I know! You'll need dresses, too, right?\Uh, Mayu-chan...\What?\Like I said before, we won't have much time,\so I was thinking of borrowing costumes from the theater club.\D'oh...\Mayu-chan's switch just flipped off.\Yeah. response:	Okay, then, how about something based on A Christmas Carol?
context: Uh, Mayu-chan...\What?\Like I said before, we won't have much time,\so I was thinking of borrowing costumes from the theater club.\D'oh...\Mayu-chan's switch just flipped off.\Yeah.\Okay, then, how about something based on A Christmas Carol? response:	That might be nice.
context: What?\Like I said before, we won't have much time,\so I was thinking of borrowing costumes from the theater club.\D'oh...\Mayu-chan's switch just flipped off.\Yeah.\Okay, then, how about something based on A Christmas Carol?\That might be nice. response:	On Christmas Eve night, a cruel, miserly girl is haunted by a ghost,
context: Like I said before, we won't have much time,\so I was thinking of borrowing costumes from the theater club.\D'oh...\Mayu-chan's switch just flipped off.\Yeah.\Okay, then, how about something based on A Christmas Carol?\That might be nice.\On Christmas Eve night, a cruel, miserly girl is haunted by a ghost, response:	who asks Santa Claus and his reindeer for a certain gift...
context: so I was thinking of borrowing costumes from the theater club.\D'oh...\Mayu-chan's switch just flipped off.\Yeah.\Okay, then, how about something based on A Christmas Carol?\That might be nice.\On Christmas Eve night, a cruel, miserly girl is haunted by a ghost,\who asks Santa Claus and his reindeer for a certain gift... response:	You won't budge on Santa and the reindeer, huh?
context: D'oh...\Mayu-chan's switch just flipped off.\Yeah.\Okay, then, how about something based on A Christmas Carol?\That might be nice.\On Christmas Eve night, a cruel, miserly girl is haunted by a ghost,\who asks Santa Claus and his reindeer for a certain gift...\You won't budge on Santa and the reindeer, huh? response:	Nope!
context: Mayu-chan's switch just flipped off.\Yeah.\Okay, then, how about something based on A Christmas Carol?\That might be nice.\On Christmas Eve night, a cruel, miserly girl is haunted by a ghost,\who asks Santa Claus and his reindeer for a certain gift...\You won't budge on Santa and the reindeer, huh?\Nope! response:	Wait, but if it has that many characters,
context: Yeah.\Okay, then, how about something based on A Christmas Carol?\That might be nice.\On Christmas Eve night, a cruel, miserly girl is haunted by a ghost,\who asks Santa Claus and his reindeer for a certain gift...\You won't budge on Santa and the reindeer, huh?\Nope!\Wait, but if it has that many characters, response:	won't we be short on actors?
context: Okay, then, how about something based on A Christmas Carol?\That might be nice.\On Christmas Eve night, a cruel, miserly girl is haunted by a ghost,\who asks Santa Claus and his reindeer for a certain gift...\You won't budge on Santa and the reindeer, huh?\Nope!\Wait, but if it has that many characters,\won't we be short on actors? response:	We have the landlady, Hina-chan, and Yua-chan, right?
context: That might be nice.\On Christmas Eve night, a cruel, miserly girl is haunted by a ghost,\who asks Santa Claus and his reindeer for a certain gift...\You won't budge on Santa and the reindeer, huh?\Nope!\Wait, but if it has that many characters,\won't we be short on actors?\We have the landlady, Hina-chan, and Yua-chan, right? response:	You're right.
context: On Christmas Eve night, a cruel, miserly girl is haunted by a ghost,\who asks Santa Claus and his reindeer for a certain gift...\You won't budge on Santa and the reindeer, huh?\Nope!\Wait, but if it has that many characters,\won't we be short on actors?\We have the landlady, Hina-chan, and Yua-chan, right?\You're right. response:	If we can get a real reindeer, we should be able to manage.
context: who asks Santa Claus and his reindeer for a certain gift...\You won't budge on Santa and the reindeer, huh?\Nope!\Wait, but if it has that many characters,\won't we be short on actors?\We have the landlady, Hina-chan, and Yua-chan, right?\You're right.\If we can get a real reindeer, we should be able to manage. response:	If a regular deer will work instead of a reindeer, I might be able to get one.
context: You won't budge on Santa and the reindeer, huh?\Nope!\Wait, but if it has that many characters,\won't we be short on actors?\We have the landlady, Hina-chan, and Yua-chan, right?\You're right.\If we can get a real reindeer, we should be able to manage.\If a regular deer will work instead of a reindeer, I might be able to get one. response:	W-We can do that?!
context: Nope!\Wait, but if it has that many characters,\won't we be short on actors?\We have the landlady, Hina-chan, and Yua-chan, right?\You're right.\If we can get a real reindeer, we should be able to manage.\If a regular deer will work instead of a reindeer, I might be able to get one.\W-We can do that?! response:	Animals do like Hina-chan, after all.
context: Wait, but if it has that many characters,\won't we be short on actors?\We have the landlady, Hina-chan, and Yua-chan, right?\You're right.\If we can get a real reindeer, we should be able to manage.\If a regular deer will work instead of a reindeer, I might be able to get one.\W-We can do that?!\Animals do like Hina-chan, after all. response:	Do you think you could summon Santa while you're at it?!
context: won't we be short on actors?\We have the landlady, Hina-chan, and Yua-chan, right?\You're right.\If we can get a real reindeer, we should be able to manage.\If a regular deer will work instead of a reindeer, I might be able to get one.\W-We can do that?!\Animals do like Hina-chan, after all.\Do you think you could summon Santa while you're at it?! response:	Huh?! Um, um...
context: We have the landlady, Hina-chan, and Yua-chan, right?\You're right.\If we can get a real reindeer, we should be able to manage.\If a regular deer will work instead of a reindeer, I might be able to get one.\W-We can do that?!\Animals do like Hina-chan, after all.\Do you think you could summon Santa while you're at it?!\Huh?! Um, um... response:	I-If you think my grandpa would be good enough...
context: You're right.\If we can get a real reindeer, we should be able to manage.\If a regular deer will work instead of a reindeer, I might be able to get one.\W-We can do that?!\Animals do like Hina-chan, after all.\Do you think you could summon Santa while you're at it?!\Huh?! Um, um...\I-If you think my grandpa would be good enough... response:	Oh, I don't know if I can act...
context: If we can get a real reindeer, we should be able to manage.\If a regular deer will work instead of a reindeer, I might be able to get one.\W-We can do that?!\Animals do like Hina-chan, after all.\Do you think you could summon Santa while you're at it?!\Huh?! Um, um...\I-If you think my grandpa would be good enough...\Oh, I don't know if I can act... response:	Hina-chan, you don't need to worry about it that much.
context: If a regular deer will work instead of a reindeer, I might be able to get one.\W-We can do that?!\Animals do like Hina-chan, after all.\Do you think you could summon Santa while you're at it?!\Huh?! Um, um...\I-If you think my grandpa would be good enough...\Oh, I don't know if I can act...\Hina-chan, you don't need to worry about it that much. response:	Used Bookstore Hitotose
context: W-We can do that?!\Animals do like Hina-chan, after all.\Do you think you could summon Santa while you're at it?!\Huh?! Um, um...\I-If you think my grandpa would be good enough...\Oh, I don't know if I can act...\Hina-chan, you don't need to worry about it that much.\Used Bookstore Hitotose response:	The Next Day
context: Animals do like Hina-chan, after all.\Do you think you could summon Santa while you're at it?!\Huh?! Um, um...\I-If you think my grandpa would be good enough...\Oh, I don't know if I can act...\Hina-chan, you don't need to worry about it that much.\Used Bookstore Hitotose\The Next Day response:	I heard the news!
context: Do you think you could summon Santa while you're at it?!\Huh?! Um, um...\I-If you think my grandpa would be good enough...\Oh, I don't know if I can act...\Hina-chan, you don't need to worry about it that much.\Used Bookstore Hitotose\The Next Day\I heard the news! response:	We're doing a play on Christmas Eve, right?
context: Huh?! Um, um...\I-If you think my grandpa would be good enough...\Oh, I don't know if I can act...\Hina-chan, you don't need to worry about it that much.\Used Bookstore Hitotose\The Next Day\I heard the news!\We're doing a play on Christmas Eve, right? response:	Let me help... you... with that...
context: I-If you think my grandpa would be good enough...\Oh, I don't know if I can act...\Hina-chan, you don't need to worry about it that much.\Used Bookstore Hitotose\The Next Day\I heard the news!\We're doing a play on Christmas Eve, right?\Let me help... you... with that... response:	Thanks.
context: Oh, I don't know if I can act...\Hina-chan, you don't need to worry about it that much.\Used Bookstore Hitotose\The Next Day\I heard the news!\We're doing a play on Christmas Eve, right?\Let me help... you... with that...\Thanks. response:	Huh?
context: Hina-chan, you don't need to worry about it that much.\Used Bookstore Hitotose\The Next Day\I heard the news!\We're doing a play on Christmas Eve, right?\Let me help... you... with that...\Thanks.\Huh? response:	So...
context: Used Bookstore Hitotose\The Next Day\I heard the news!\We're doing a play on Christmas Eve, right?\Let me help... you... with that...\Thanks.\Huh?\So... response:	I went straight to the theater club to borrow costumes!
context: The Next Day\I heard the news!\We're doing a play on Christmas Eve, right?\Let me help... you... with that...\Thanks.\Huh?\So...\I went straight to the theater club to borrow costumes! response:	They're in the bag.
context: I heard the news!\We're doing a play on Christmas Eve, right?\Let me help... you... with that...\Thanks.\Huh?\So...\I went straight to the theater club to borrow costumes!\They're in the bag. response:	And I also came up with a practice schedule!
context: We're doing a play on Christmas Eve, right?\Let me help... you... with that...\Thanks.\Huh?\So...\I went straight to the theater club to borrow costumes!\They're in the bag.\And I also came up with a practice schedule! response:	Thanks.
context: Let me help... you... with that...\Thanks.\Huh?\So...\I went straight to the theater club to borrow costumes!\They're in the bag.\And I also came up with a practice schedule!\Thanks. response:	Here, Hinako.
context: Thanks.\Huh?\So...\I went straight to the theater club to borrow costumes!\They're in the bag.\And I also came up with a practice schedule!\Thanks.\Here, Hinako. response:	And you, Kuina.
context: Huh?\So...\I went straight to the theater club to borrow costumes!\They're in the bag.\And I also came up with a practice schedule!\Thanks.\Here, Hinako.\And you, Kuina. response:	And Mayuki-senpai, here's yours.
context: So...\I went straight to the theater club to borrow costumes!\They're in the bag.\And I also came up with a practice schedule!\Thanks.\Here, Hinako.\And you, Kuina.\And Mayuki-senpai, here's yours. response:	Oh, Chiaki-senpai! Please try on your costume!
context: I went straight to the theater club to borrow costumes!\They're in the bag.\And I also came up with a practice schedule!\Thanks.\Here, Hinako.\And you, Kuina.\And Mayuki-senpai, here's yours.\Oh, Chiaki-senpai! Please try on your costume! response:	I think it'll fit, but it's a little different from normal costumes, so...
context: They're in the bag.\And I also came up with a practice schedule!\Thanks.\Here, Hinako.\And you, Kuina.\And Mayuki-senpai, here's yours.\Oh, Chiaki-senpai! Please try on your costume!\I think it'll fit, but it's a little different from normal costumes, so... response:	Okay. I'll try it on.
context: And I also came up with a practice schedule!\Thanks.\Here, Hinako.\And you, Kuina.\And Mayuki-senpai, here's yours.\Oh, Chiaki-senpai! Please try on your costume!\I think it'll fit, but it's a little different from normal costumes, so...\Okay. I'll try it on. response:	Is that a spirit costume?
context: Thanks.\Here, Hinako.\And you, Kuina.\And Mayuki-senpai, here's yours.\Oh, Chiaki-senpai! Please try on your costume!\I think it'll fit, but it's a little different from normal costumes, so...\Okay. I'll try it on.\Is that a spirit costume? response:	It's pretty extreme.
context: Here, Hinako.\And you, Kuina.\And Mayuki-senpai, here's yours.\Oh, Chiaki-senpai! Please try on your costume!\I think it'll fit, but it's a little different from normal costumes, so...\Okay. I'll try it on.\Is that a spirit costume?\It's pretty extreme. response:	I-It fit perfectly when I tried it on...
context: And you, Kuina.\And Mayuki-senpai, here's yours.\Oh, Chiaki-senpai! Please try on your costume!\I think it'll fit, but it's a little different from normal costumes, so...\Okay. I'll try it on.\Is that a spirit costume?\It's pretty extreme.\I-It fit perfectly when I tried it on... response:	Is this what you call an unequal bodily society?
context: And Mayuki-senpai, here's yours.\Oh, Chiaki-senpai! Please try on your costume!\I think it'll fit, but it's a little different from normal costumes, so...\Okay. I'll try it on.\Is that a spirit costume?\It's pretty extreme.\I-It fit perfectly when I tried it on...\Is this what you call an unequal bodily society? response:	Fujimiya Girls' High School
context: Oh, Chiaki-senpai! Please try on your costume!\I think it'll fit, but it's a little different from normal costumes, so...\Okay. I'll try it on.\Is that a spirit costume?\It's pretty extreme.\I-It fit perfectly when I tried it on...\Is this what you call an unequal bodily society?\Fujimiya Girls' High School response:	We'll be holding a play on the 24th!
context: I think it'll fit, but it's a little different from normal costumes, so...\Okay. I'll try it on.\Is that a spirit costume?\It's pretty extreme.\I-It fit perfectly when I tried it on...\Is this what you call an unequal bodily society?\Fujimiya Girls' High School\We'll be holding a play on the 24th! response:	Please take one!
context: Okay. I'll try it on.\Is that a spirit costume?\It's pretty extreme.\I-It fit perfectly when I tried it on...\Is this what you call an unequal bodily society?\Fujimiya Girls' High School\We'll be holding a play on the 24th!\Please take one! response:	Here you go.
context: Is that a spirit costume?\It's pretty extreme.\I-It fit perfectly when I tried it on...\Is this what you call an unequal bodily society?\Fujimiya Girls' High School\We'll be holding a play on the 24th!\Please take one!\Here you go. response:	How cute!
context: It's pretty extreme.\I-It fit perfectly when I tried it on...\Is this what you call an unequal bodily society?\Fujimiya Girls' High School\We'll be holding a play on the 24th!\Please take one!\Here you go.\How cute! response:	Please take one! And be sure to come!
context: I-It fit perfectly when I tried it on...\Is this what you call an unequal bodily society?\Fujimiya Girls' High School\We'll be holding a play on the 24th!\Please take one!\Here you go.\How cute!\Please take one! And be sure to come! response:	Here you go!
context: Is this what you call an unequal bodily society?\Fujimiya Girls' High School\We'll be holding a play on the 24th!\Please take one!\Here you go.\How cute!\Please take one! And be sure to come!\Here you go! response:	It'll be really fun, so please come!
context: Fujimiya Girls' High School\We'll be holding a play on the 24th!\Please take one!\Here you go.\How cute!\Please take one! And be sure to come!\Here you go!\It'll be really fun, so please come! response:	Sensei!
context: We'll be holding a play on the 24th!\Please take one!\Here you go.\How cute!\Please take one! And be sure to come!\Here you go!\It'll be really fun, so please come!\Sensei! response:	Here you go!
context: Please take one!\Here you go.\How cute!\Please take one! And be sure to come!\Here you go!\It'll be really fun, so please come!\Sensei!\Here you go! response:	The Hitotose Troupe December 24 Mini Drama
context: Here you go.\How cute!\Please take one! And be sure to come!\Here you go!\It'll be really fun, so please come!\Sensei!\Here you go!\The Hitotose Troupe December 24 Mini Drama response:	Place: Coffee Shop Hitotose Starting at 5:00 PM
context: How cute!\Please take one! And be sure to come!\Here you go!\It'll be really fun, so please come!\Sensei!\Here you go!\The Hitotose Troupe December 24 Mini Drama\Place: Coffee Shop Hitotose Starting at 5:00 PM response:	December 24th... A mini-drama...
context: Please take one! And be sure to come!\Here you go!\It'll be really fun, so please come!\Sensei!\Here you go!\The Hitotose Troupe December 24 Mini Drama\Place: Coffee Shop Hitotose Starting at 5:00 PM\December 24th... A mini-drama... response:	You're putting on another play at Hitotose Manor?
context: Here you go!\It'll be really fun, so please come!\Sensei!\Here you go!\The Hitotose Troupe December 24 Mini Drama\Place: Coffee Shop Hitotose Starting at 5:00 PM\December 24th... A mini-drama...\You're putting on another play at Hitotose Manor? response:	Yes! We hope you'll come watch it, too!
context: It'll be really fun, so please come!\Sensei!\Here you go!\The Hitotose Troupe December 24 Mini Drama\Place: Coffee Shop Hitotose Starting at 5:00 PM\December 24th... A mini-drama...\You're putting on another play at Hitotose Manor?\Yes! We hope you'll come watch it, too! response:	Of course.
context: Sensei!\Here you go!\The Hitotose Troupe December 24 Mini Drama\Place: Coffee Shop Hitotose Starting at 5:00 PM\December 24th... A mini-drama...\You're putting on another play at Hitotose Manor?\Yes! We hope you'll come watch it, too!\Of course. response:	What kind of play is it?
context: Here you go!\The Hitotose Troupe December 24 Mini Drama\Place: Coffee Shop Hitotose Starting at 5:00 PM\December 24th... A mini-drama...\You're putting on another play at Hitotose Manor?\Yes! We hope you'll come watch it, too!\Of course.\What kind of play is it? response:	It's based on A Christmas Carol.
context: The Hitotose Troupe December 24 Mini Drama\Place: Coffee Shop Hitotose Starting at 5:00 PM\December 24th... A mini-drama...\You're putting on another play at Hitotose Manor?\Yes! We hope you'll come watch it, too!\Of course.\What kind of play is it?\It's based on A Christmas Carol. response:	That's certainly a classic.
context: Place: Coffee Shop Hitotose Starting at 5:00 PM\December 24th... A mini-drama...\You're putting on another play at Hitotose Manor?\Yes! We hope you'll come watch it, too!\Of course.\What kind of play is it?\It's based on A Christmas Carol.\That's certainly a classic. response:	We'll have a real deer.
context: December 24th... A mini-drama...\You're putting on another play at Hitotose Manor?\Yes! We hope you'll come watch it, too!\Of course.\What kind of play is it?\It's based on A Christmas Carol.\That's certainly a classic.\We'll have a real deer. response:	And Chiaki-senpai will strip!
context: You're putting on another play at Hitotose Manor?\Yes! We hope you'll come watch it, too!\Of course.\What kind of play is it?\It's based on A Christmas Carol.\That's certainly a classic.\We'll have a real deer.\And Chiaki-senpai will strip! response:	Huh?
context: Yes! We hope you'll come watch it, too!\Of course.\What kind of play is it?\It's based on A Christmas Carol.\That's certainly a classic.\We'll have a real deer.\And Chiaki-senpai will strip!\Huh? response:	Not really.
context: Of course.\What kind of play is it?\It's based on A Christmas Carol.\That's certainly a classic.\We'll have a real deer.\And Chiaki-senpai will strip!\Huh?\Not really. response:	Yes, really.
context: What kind of play is it?\It's based on A Christmas Carol.\That's certainly a classic.\We'll have a real deer.\And Chiaki-senpai will strip!\Huh?\Not really.\Yes, really. response:	Which is it?
context: It's based on A Christmas Carol.\That's certainly a classic.\We'll have a real deer.\And Chiaki-senpai will strip!\Huh?\Not really.\Yes, really.\Which is it? response:	You really did call a deer.
context: That's certainly a classic.\We'll have a real deer.\And Chiaki-senpai will strip!\Huh?\Not really.\Yes, really.\Which is it?\You really did call a deer. response:	Okay, you two,
context: We'll have a real deer.\And Chiaki-senpai will strip!\Huh?\Not really.\Yes, really.\Which is it?\You really did call a deer.\Okay, you two, response:	take the deer with you to draw in customers, okay?
context: And Chiaki-senpai will strip!\Huh?\Not really.\Yes, really.\Which is it?\You really did call a deer.\Okay, you two,\take the deer with you to draw in customers, okay? response:	O-Okay...
context: Huh?\Not really.\Yes, really.\Which is it?\You really did call a deer.\Okay, you two,\take the deer with you to draw in customers, okay?\O-Okay... response:	W-We'll be holding a play here in our shop today!
context: Not really.\Yes, really.\Which is it?\You really did call a deer.\Okay, you two,\take the deer with you to draw in customers, okay?\O-Okay...\W-We'll be holding a play here in our shop today! response:	P-Please come and... w-watch...
context: Yes, really.\Which is it?\You really did call a deer.\Okay, you two,\take the deer with you to draw in customers, okay?\O-Okay...\W-We'll be holding a play here in our shop today!\P-Please come and... w-watch... response:	Wh-Why did I have to dress like this, too?
context: Which is it?\You really did call a deer.\Okay, you two,\take the deer with you to draw in customers, okay?\O-Okay...\W-We'll be holding a play here in our shop today!\P-Please come and... w-watch...\Wh-Why did I have to dress like this, too? response:	Hina-chan, I can't do this! It's too embarrassing!
context: You really did call a deer.\Okay, you two,\take the deer with you to draw in customers, okay?\O-Okay...\W-We'll be holding a play here in our shop today!\P-Please come and... w-watch...\Wh-Why did I have to dress like this, too?\Hina-chan, I can't do this! It's too embarrassing! response:	Hina-chan's a scarecrow already?!
