context: You're here early, Inspector Ando. response:	Don't forget that HQ overrode your orders
context: Yeah!\Spitz to Doghouse.\Hana Mutou is not currently at the Tanegashima base.\Hana Mutou, pilot of the Flare Engine that defeated the Kiltgang Type-5,\is evidently aboard the Tenkaidou.\Over.\We have not received such information from our agent aboard the Tenkaidou.\They got us. response:	Nishikubo set this up to protect Hana Mutou.
context: Spitz to Doghouse.\Hana Mutou is not currently at the Tanegashima base.\Hana Mutou, pilot of the Flare Engine that defeated the Kiltgang Type-5,\is evidently aboard the Tenkaidou.\Over.\We have not received such information from our agent aboard the Tenkaidou.\They got us.\Nishikubo set this up to protect Hana Mutou. response:	Those Midsummer's Knights are quite irritating.
context: Hana Mutou is not currently at the Tanegashima base.\Hana Mutou, pilot of the Flare Engine that defeated the Kiltgang Type-5,\is evidently aboard the Tenkaidou.\Over.\We have not received such information from our agent aboard the Tenkaidou.\They got us.\Nishikubo set this up to protect Hana Mutou.\Those Midsummer's Knights are quite irritating. response:	Though, they did succeed in buying time.
context: Hana Mutou, pilot of the Flare Engine that defeated the Kiltgang Type-5,\is evidently aboard the Tenkaidou.\Over.\We have not received such information from our agent aboard the Tenkaidou.\They got us.\Nishikubo set this up to protect Hana Mutou.\Those Midsummer's Knights are quite irritating.\Though, they did succeed in buying time. response:	Cerberus, Sarama, and Garmr are together now.
context: is evidently aboard the Tenkaidou.\Over.\We have not received such information from our agent aboard the Tenkaidou.\They got us.\Nishikubo set this up to protect Hana Mutou.\Those Midsummer's Knights are quite irritating.\Though, they did succeed in buying time.\Cerberus, Sarama, and Garmr are together now. response:	We don't need the Knights anymore.
context: Over.\We have not received such information from our agent aboard the Tenkaidou.\They got us.\Nishikubo set this up to protect Hana Mutou.\Those Midsummer's Knights are quite irritating.\Though, they did succeed in buying time.\Cerberus, Sarama, and Garmr are together now.\We don't need the Knights anymore. response:	The Knights of Midsummer
context: We have not received such information from our agent aboard the Tenkaidou.\They got us.\Nishikubo set this up to protect Hana Mutou.\Those Midsummer's Knights are quite irritating.\Though, they did succeed in buying time.\Cerberus, Sarama, and Garmr are together now.\We don't need the Knights anymore.\The Knights of Midsummer response:	Are you lonely without Hana?
context: They got us.\Nishikubo set this up to protect Hana Mutou.\Those Midsummer's Knights are quite irritating.\Though, they did succeed in buying time.\Cerberus, Sarama, and Garmr are together now.\We don't need the Knights anymore.\The Knights of Midsummer\Are you lonely without Hana? response:	Well, nothing I can do about it. That's the plan.
context: Nishikubo set this up to protect Hana Mutou.\Those Midsummer's Knights are quite irritating.\Though, they did succeed in buying time.\Cerberus, Sarama, and Garmr are together now.\We don't need the Knights anymore.\The Knights of Midsummer\Are you lonely without Hana?\Well, nothing I can do about it. That's the plan. response:	I told Pitz, you know.
context: Those Midsummer's Knights are quite irritating.\Though, they did succeed in buying time.\Cerberus, Sarama, and Garmr are together now.\We don't need the Knights anymore.\The Knights of Midsummer\Are you lonely without Hana?\Well, nothing I can do about it. That's the plan.\I told Pitz, you know. response:	There's someone who's even sadder without Hana than you are.
context: Though, they did succeed in buying time.\Cerberus, Sarama, and Garmr are together now.\We don't need the Knights anymore.\The Knights of Midsummer\Are you lonely without Hana?\Well, nothing I can do about it. That's the plan.\I told Pitz, you know.\There's someone who's even sadder without Hana than you are. response:	Okay, I'll break out my healing spell for you again.
context: Cerberus, Sarama, and Garmr are together now.\We don't need the Knights anymore.\The Knights of Midsummer\Are you lonely without Hana?\Well, nothing I can do about it. That's the plan.\I told Pitz, you know.\There's someone who's even sadder without Hana than you are.\Okay, I'll break out my healing spell for you again. response:	You mean...
context: We don't need the Knights anymore.\The Knights of Midsummer\Are you lonely without Hana?\Well, nothing I can do about it. That's the plan.\I told Pitz, you know.\There's someone who's even sadder without Hana than you are.\Okay, I'll break out my healing spell for you again.\You mean... response:	Belly Button Forte!
context: The Knights of Midsummer\Are you lonely without Hana?\Well, nothing I can do about it. That's the plan.\I told Pitz, you know.\There's someone who's even sadder without Hana than you are.\Okay, I'll break out my healing spell for you again.\You mean...\Belly Button Forte! response:	Does that work on Pitz?
context: Are you lonely without Hana?\Well, nothing I can do about it. That's the plan.\I told Pitz, you know.\There's someone who's even sadder without Hana than you are.\Okay, I'll break out my healing spell for you again.\You mean...\Belly Button Forte!\Does that work on Pitz? response:	I'm pretending to cast it on Pitz,
context: Well, nothing I can do about it. That's the plan.\I told Pitz, you know.\There's someone who's even sadder without Hana than you are.\Okay, I'll break out my healing spell for you again.\You mean...\Belly Button Forte!\Does that work on Pitz?\I'm pretending to cast it on Pitz, response:	but I'm really using it on Daichi.
context: I told Pitz, you know.\There's someone who's even sadder without Hana than you are.\Okay, I'll break out my healing spell for you again.\You mean...\Belly Button Forte!\Does that work on Pitz?\I'm pretending to cast it on Pitz,\but I'm really using it on Daichi. response:	R-Really?
context: There's someone who's even sadder without Hana than you are.\Okay, I'll break out my healing spell for you again.\You mean...\Belly Button Forte!\Does that work on Pitz?\I'm pretending to cast it on Pitz,\but I'm really using it on Daichi.\R-Really? response:	Belly Button Forte!
context: Okay, I'll break out my healing spell for you again.\You mean...\Belly Button Forte!\Does that work on Pitz?\I'm pretending to cast it on Pitz,\but I'm really using it on Daichi.\R-Really?\Belly Button Forte! response:	Who are you doing that one for?
context: You mean...\Belly Button Forte!\Does that work on Pitz?\I'm pretending to cast it on Pitz,\but I'm really using it on Daichi.\R-Really?\Belly Button Forte!\Who are you doing that one for? response:	It feels like I'm the only one not showing any skin today,
context: Belly Button Forte!\Does that work on Pitz?\I'm pretending to cast it on Pitz,\but I'm really using it on Daichi.\R-Really?\Belly Button Forte!\Who are you doing that one for?\It feels like I'm the only one not showing any skin today, response:	and my position as heroine is in danger... I guess.
context: Does that work on Pitz?\I'm pretending to cast it on Pitz,\but I'm really using it on Daichi.\R-Really?\Belly Button Forte!\Who are you doing that one for?\It feels like I'm the only one not showing any skin today,\and my position as heroine is in danger... I guess. response:	Oh, sir.
context: I'm pretending to cast it on Pitz,\but I'm really using it on Daichi.\R-Really?\Belly Button Forte!\Who are you doing that one for?\It feels like I'm the only one not showing any skin today,\and my position as heroine is in danger... I guess.\Oh, sir. response:	Then, goodbye.
context: but I'm really using it on Daichi.\R-Really?\Belly Button Forte!\Who are you doing that one for?\It feels like I'm the only one not showing any skin today,\and my position as heroine is in danger... I guess.\Oh, sir.\Then, goodbye. response:	I'll be free tonight.
context: R-Really?\Belly Button Forte!\Who are you doing that one for?\It feels like I'm the only one not showing any skin today,\and my position as heroine is in danger... I guess.\Oh, sir.\Then, goodbye.\I'll be free tonight. response:	Yes, sir.
context: Belly Button Forte!\Who are you doing that one for?\It feels like I'm the only one not showing any skin today,\and my position as heroine is in danger... I guess.\Oh, sir.\Then, goodbye.\I'll be free tonight.\Yes, sir. response:	With a feather in my hand, sunlight glowing through it,
context: Who are you doing that one for?\It feels like I'm the only one not showing any skin today,\and my position as heroine is in danger... I guess.\Oh, sir.\Then, goodbye.\I'll be free tonight.\Yes, sir.\With a feather in my hand, sunlight glowing through it, response:	like a dancing butterfly...
context: It feels like I'm the only one not showing any skin today,\and my position as heroine is in danger... I guess.\Oh, sir.\Then, goodbye.\I'll be free tonight.\Yes, sir.\With a feather in my hand, sunlight glowing through it,\like a dancing butterfly... response:	I want to see you.
context: and my position as heroine is in danger... I guess.\Oh, sir.\Then, goodbye.\I'll be free tonight.\Yes, sir.\With a feather in my hand, sunlight glowing through it,\like a dancing butterfly...\I want to see you. response:	Let us go on a journey
context: Oh, sir.\Then, goodbye.\I'll be free tonight.\Yes, sir.\With a feather in my hand, sunlight glowing through it,\like a dancing butterfly...\I want to see you.\Let us go on a journey response:	toward gentleness, toward warmth.
context: Then, goodbye.\I'll be free tonight.\Yes, sir.\With a feather in my hand, sunlight glowing through it,\like a dancing butterfly...\I want to see you.\Let us go on a journey\toward gentleness, toward warmth. response:	We've received reports that large numbers of people
context: I'll be free tonight.\Yes, sir.\With a feather in my hand, sunlight glowing through it,\like a dancing butterfly...\I want to see you.\Let us go on a journey\toward gentleness, toward warmth.\We've received reports that large numbers of people response:	have simultaneously fallen into comas in the Tokyo ES area.
context: Yes, sir.\With a feather in my hand, sunlight glowing through it,\like a dancing butterfly...\I want to see you.\Let us go on a journey\toward gentleness, toward warmth.\We've received reports that large numbers of people\have simultaneously fallen into comas in the Tokyo ES area. response:	They're probably gathering more Orgone energy again.
context: With a feather in my hand, sunlight glowing through it,\like a dancing butterfly...\I want to see you.\Let us go on a journey\toward gentleness, toward warmth.\We've received reports that large numbers of people\have simultaneously fallen into comas in the Tokyo ES area.\They're probably gathering more Orgone energy again. response:	Hey, Teppei, the pendant on your chest...
context: like a dancing butterfly...\I want to see you.\Let us go on a journey\toward gentleness, toward warmth.\We've received reports that large numbers of people\have simultaneously fallen into comas in the Tokyo ES area.\They're probably gathering more Orgone energy again.\Hey, Teppei, the pendant on your chest... response:	This?
context: I want to see you.\Let us go on a journey\toward gentleness, toward warmth.\We've received reports that large numbers of people\have simultaneously fallen into comas in the Tokyo ES area.\They're probably gathering more Orgone energy again.\Hey, Teppei, the pendant on your chest...\This? response:	The Blue Star.
context: Let us go on a journey\toward gentleness, toward warmth.\We've received reports that large numbers of people\have simultaneously fallen into comas in the Tokyo ES area.\They're probably gathering more Orgone energy again.\Hey, Teppei, the pendant on your chest...\This?\The Blue Star. response:	You two take turns wearing it, right?
context: toward gentleness, toward warmth.\We've received reports that large numbers of people\have simultaneously fallen into comas in the Tokyo ES area.\They're probably gathering more Orgone energy again.\Hey, Teppei, the pendant on your chest...\This?\The Blue Star.\You two take turns wearing it, right? response:	It's a game we've played since we were kids.
context: We've received reports that large numbers of people\have simultaneously fallen into comas in the Tokyo ES area.\They're probably gathering more Orgone energy again.\Hey, Teppei, the pendant on your chest...\This?\The Blue Star.\You two take turns wearing it, right?\It's a game we've played since we were kids. response:	Whichever one of us is able to surprise the other gets to wear it.
context: have simultaneously fallen into comas in the Tokyo ES area.\They're probably gathering more Orgone energy again.\Hey, Teppei, the pendant on your chest...\This?\The Blue Star.\You two take turns wearing it, right?\It's a game we've played since we were kids.\Whichever one of us is able to surprise the other gets to wear it. response:	I'm retaking it!
context: They're probably gathering more Orgone energy again.\Hey, Teppei, the pendant on your chest...\This?\The Blue Star.\You two take turns wearing it, right?\It's a game we've played since we were kids.\Whichever one of us is able to surprise the other gets to wear it.\I'm retaking it! response:	I like the way you never give up.
context: Hey, Teppei, the pendant on your chest...\This?\The Blue Star.\You two take turns wearing it, right?\It's a game we've played since we were kids.\Whichever one of us is able to surprise the other gets to wear it.\I'm retaking it!\I like the way you never give up. response:	You boys are so in love.
context: This?\The Blue Star.\You two take turns wearing it, right?\It's a game we've played since we were kids.\Whichever one of us is able to surprise the other gets to wear it.\I'm retaking it!\I like the way you never give up.\You boys are so in love. response:	Who's that?
context: The Blue Star.\You two take turns wearing it, right?\It's a game we've played since we were kids.\Whichever one of us is able to surprise the other gets to wear it.\I'm retaking it!\I like the way you never give up.\You boys are so in love.\Who's that? response:	She's with Salty Dog.
context: You two take turns wearing it, right?\It's a game we've played since we were kids.\Whichever one of us is able to surprise the other gets to wear it.\I'm retaking it!\I like the way you never give up.\You boys are so in love.\Who's that?\She's with Salty Dog. response:	An inspector?
context: It's a game we've played since we were kids.\Whichever one of us is able to surprise the other gets to wear it.\I'm retaking it!\I like the way you never give up.\You boys are so in love.\Who's that?\She's with Salty Dog.\An inspector? response:	You really are kids.
context: Whichever one of us is able to surprise the other gets to wear it.\I'm retaking it!\I like the way you never give up.\You boys are so in love.\Who's that?\She's with Salty Dog.\An inspector?\You really are kids. response:	If you seriously expect an Independent Attack Force
context: I'm retaking it!\I like the way you never give up.\You boys are so in love.\Who's that?\She's with Salty Dog.\An inspector?\You really are kids.\If you seriously expect an Independent Attack Force response:	comprised of children to accomplish anything,
context: I like the way you never give up.\You boys are so in love.\Who's that?\She's with Salty Dog.\An inspector?\You really are kids.\If you seriously expect an Independent Attack Force\comprised of children to accomplish anything, response:	I must question your sanity.
context: You boys are so in love.\Who's that?\She's with Salty Dog.\An inspector?\You really are kids.\If you seriously expect an Independent Attack Force\comprised of children to accomplish anything,\I must question your sanity. response:	Thank you, Siren-sama.
context: Who's that?\She's with Salty Dog.\An inspector?\You really are kids.\If you seriously expect an Independent Attack Force\comprised of children to accomplish anything,\I must question your sanity.\Thank you, Siren-sama. response:	This time, I have two capsules.
context: She's with Salty Dog.\An inspector?\You really are kids.\If you seriously expect an Independent Attack Force\comprised of children to accomplish anything,\I must question your sanity.\Thank you, Siren-sama.\This time, I have two capsules. response:	Then one person will be staying here.
context: An inspector?\You really are kids.\If you seriously expect an Independent Attack Force\comprised of children to accomplish anything,\I must question your sanity.\Thank you, Siren-sama.\This time, I have two capsules.\Then one person will be staying here. response:	Where are the others?
context: You really are kids.\If you seriously expect an Independent Attack Force\comprised of children to accomplish anything,\I must question your sanity.\Thank you, Siren-sama.\This time, I have two capsules.\Then one person will be staying here.\Where are the others? response:	Leaving it to you.
context: If you seriously expect an Independent Attack Force\comprised of children to accomplish anything,\I must question your sanity.\Thank you, Siren-sama.\This time, I have two capsules.\Then one person will be staying here.\Where are the others?\Leaving it to you. response:	We have issues with teamwork.
context: comprised of children to accomplish anything,\I must question your sanity.\Thank you, Siren-sama.\This time, I have two capsules.\Then one person will be staying here.\Where are the others?\Leaving it to you.\We have issues with teamwork. response:	Teamwork?
context: I must question your sanity.\Thank you, Siren-sama.\This time, I have two capsules.\Then one person will be staying here.\Where are the others?\Leaving it to you.\We have issues with teamwork.\Teamwork? response:	You've been influenced by the Earthlings, too.
context: Thank you, Siren-sama.\This time, I have two capsules.\Then one person will be staying here.\Where are the others?\Leaving it to you.\We have issues with teamwork.\Teamwork?\You've been influenced by the Earthlings, too. response:	Siren-sama...
context: This time, I have two capsules.\Then one person will be staying here.\Where are the others?\Leaving it to you.\We have issues with teamwork.\Teamwork?\You've been influenced by the Earthlings, too.\Siren-sama... response:	Are you still concerned about the Earthlings?
context: Then one person will be staying here.\Where are the others?\Leaving it to you.\We have issues with teamwork.\Teamwork?\You've been influenced by the Earthlings, too.\Siren-sama...\Are you still concerned about the Earthlings? response:	They aren't like us. Their lives are finite.
context: Where are the others?\Leaving it to you.\We have issues with teamwork.\Teamwork?\You've been influenced by the Earthlings, too.\Siren-sama...\Are you still concerned about the Earthlings?\They aren't like us. Their lives are finite. response:	When a finite life form evolves sentience,
context: Leaving it to you.\We have issues with teamwork.\Teamwork?\You've been influenced by the Earthlings, too.\Siren-sama...\Are you still concerned about the Earthlings?\They aren't like us. Their lives are finite.\When a finite life form evolves sentience, response:	a destructive desire manifests deep within its heart.
context: We have issues with teamwork.\Teamwork?\You've been influenced by the Earthlings, too.\Siren-sama...\Are you still concerned about the Earthlings?\They aren't like us. Their lives are finite.\When a finite life form evolves sentience,\a destructive desire manifests deep within its heart. response:	In the end, their race's only purpose is to be eaten by us.
context: Teamwork?\You've been influenced by the Earthlings, too.\Siren-sama...\Are you still concerned about the Earthlings?\They aren't like us. Their lives are finite.\When a finite life form evolves sentience,\a destructive desire manifests deep within its heart.\In the end, their race's only purpose is to be eaten by us. response:	But our lives were once finite, as well.
context: You've been influenced by the Earthlings, too.\Siren-sama...\Are you still concerned about the Earthlings?\They aren't like us. Their lives are finite.\When a finite life form evolves sentience,\a destructive desire manifests deep within its heart.\In the end, their race's only purpose is to be eaten by us.\But our lives were once finite, as well. response:	We've got two Orgone Capsules.
context: Siren-sama...\Are you still concerned about the Earthlings?\They aren't like us. Their lives are finite.\When a finite life form evolves sentience,\a destructive desire manifests deep within its heart.\In the end, their race's only purpose is to be eaten by us.\But our lives were once finite, as well.\We've got two Orgone Capsules. response:	Can we say ladies first?
context: Are you still concerned about the Earthlings?\They aren't like us. Their lives are finite.\When a finite life form evolves sentience,\a destructive desire manifests deep within its heart.\In the end, their race's only purpose is to be eaten by us.\But our lives were once finite, as well.\We've got two Orgone Capsules.\Can we say ladies first? response:	I don't care.
context: They aren't like us. Their lives are finite.\When a finite life form evolves sentience,\a destructive desire manifests deep within its heart.\In the end, their race's only purpose is to be eaten by us.\But our lives were once finite, as well.\We've got two Orgone Capsules.\Can we say ladies first?\I don't care. response:	What about the other?
context: When a finite life form evolves sentience,\a destructive desire manifests deep within its heart.\In the end, their race's only purpose is to be eaten by us.\But our lives were once finite, as well.\We've got two Orgone Capsules.\Can we say ladies first?\I don't care.\What about the other? response:	Let's use this to decide.
context: a destructive desire manifests deep within its heart.\In the end, their race's only purpose is to be eaten by us.\But our lives were once finite, as well.\We've got two Orgone Capsules.\Can we say ladies first?\I don't care.\What about the other?\Let's use this to decide. response:	Tails.
context: In the end, their race's only purpose is to be eaten by us.\But our lives were once finite, as well.\We've got two Orgone Capsules.\Can we say ladies first?\I don't care.\What about the other?\Let's use this to decide.\Tails. response:	Heads.
context: But our lives were once finite, as well.\We've got two Orgone Capsules.\Can we say ladies first?\I don't care.\What about the other?\Let's use this to decide.\Tails.\Heads. response:	Heads, it is.
