context: Regarding the Hayase laboratory... response:	We have identified a researcher we believe was involved in his core research.
context: Studying should come first, and soccer second!\What's wrong with losing yourself in what you love?!\Futa!\November 7th, 1872.\The Mary Celeste departed from New York, heading to Italy.\Then, on December 4th, it was discovered adrift in the ocean near Portugal.\There was no sign of damage to the ship,\or of having being attacked by pirates. response:	But the eleven people on board, including the captain's family, were gone.
context: What's wrong with losing yourself in what you love?!\Futa!\November 7th, 1872.\The Mary Celeste departed from New York, heading to Italy.\Then, on December 4th, it was discovered adrift in the ocean near Portugal.\There was no sign of damage to the ship,\or of having being attacked by pirates.\But the eleven people on board, including the captain's family, were gone. response:	No one knows what happened to them.
context: Futa!\November 7th, 1872.\The Mary Celeste departed from New York, heading to Italy.\Then, on December 4th, it was discovered adrift in the ocean near Portugal.\There was no sign of damage to the ship,\or of having being attacked by pirates.\But the eleven people on board, including the captain's family, were gone.\No one knows what happened to them. response:	Shun! You're here!
context: November 7th, 1872.\The Mary Celeste departed from New York, heading to Italy.\Then, on December 4th, it was discovered adrift in the ocean near Portugal.\There was no sign of damage to the ship,\or of having being attacked by pirates.\But the eleven people on board, including the captain's family, were gone.\No one knows what happened to them.\Shun! You're here! response:	Yeah.
context: The Mary Celeste departed from New York, heading to Italy.\Then, on December 4th, it was discovered adrift in the ocean near Portugal.\There was no sign of damage to the ship,\or of having being attacked by pirates.\But the eleven people on board, including the captain's family, were gone.\No one knows what happened to them.\Shun! You're here!\Yeah. response:	What are you looking at?
context: Then, on December 4th, it was discovered adrift in the ocean near Portugal.\There was no sign of damage to the ship,\or of having being attacked by pirates.\But the eleven people on board, including the captain's family, were gone.\No one knows what happened to them.\Shun! You're here!\Yeah.\What are you looking at? response:	Incidents of disappearances all over the world.
context: There was no sign of damage to the ship,\or of having being attacked by pirates.\But the eleven people on board, including the captain's family, were gone.\No one knows what happened to them.\Shun! You're here!\Yeah.\What are you looking at?\Incidents of disappearances all over the world. response:	Wow... You like that kind of stuff, Shun?
context: or of having being attacked by pirates.\But the eleven people on board, including the captain's family, were gone.\No one knows what happened to them.\Shun! You're here!\Yeah.\What are you looking at?\Incidents of disappearances all over the world.\Wow... You like that kind of stuff, Shun? response:	Not exactly.
context: But the eleven people on board, including the captain's family, were gone.\No one knows what happened to them.\Shun! You're here!\Yeah.\What are you looking at?\Incidents of disappearances all over the world.\Wow... You like that kind of stuff, Shun?\Not exactly. response:	I thought these incidents and legends
context: No one knows what happened to them.\Shun! You're here!\Yeah.\What are you looking at?\Incidents of disappearances all over the world.\Wow... You like that kind of stuff, Shun?\Not exactly.\I thought these incidents and legends response:	might have some connection to Dr. Hayase's research.
context: Shun! You're here!\Yeah.\What are you looking at?\Incidents of disappearances all over the world.\Wow... You like that kind of stuff, Shun?\Not exactly.\I thought these incidents and legends\might have some connection to Dr. Hayase's research. response:	That's all.
context: Yeah.\What are you looking at?\Incidents of disappearances all over the world.\Wow... You like that kind of stuff, Shun?\Not exactly.\I thought these incidents and legends\might have some connection to Dr. Hayase's research.\That's all. response:	To Papa's research?
context: What are you looking at?\Incidents of disappearances all over the world.\Wow... You like that kind of stuff, Shun?\Not exactly.\I thought these incidents and legends\might have some connection to Dr. Hayase's research.\That's all.\To Papa's research? response:	Yeah.
context: Incidents of disappearances all over the world.\Wow... You like that kind of stuff, Shun?\Not exactly.\I thought these incidents and legends\might have some connection to Dr. Hayase's research.\That's all.\To Papa's research?\Yeah. response:	A man goes missing suddenly, without explanation.
context: Wow... You like that kind of stuff, Shun?\Not exactly.\I thought these incidents and legends\might have some connection to Dr. Hayase's research.\That's all.\To Papa's research?\Yeah.\A man goes missing suddenly, without explanation. response:	If it's actually because he traveled through time or dimensions...
context: Not exactly.\I thought these incidents and legends\might have some connection to Dr. Hayase's research.\That's all.\To Papa's research?\Yeah.\A man goes missing suddenly, without explanation.\If it's actually because he traveled through time or dimensions... response:	Traveled through time? You mean, like me?
context: I thought these incidents and legends\might have some connection to Dr. Hayase's research.\That's all.\To Papa's research?\Yeah.\A man goes missing suddenly, without explanation.\If it's actually because he traveled through time or dimensions...\Traveled through time? You mean, like me? response:	Yes.
context: might have some connection to Dr. Hayase's research.\That's all.\To Papa's research?\Yeah.\A man goes missing suddenly, without explanation.\If it's actually because he traveled through time or dimensions...\Traveled through time? You mean, like me?\Yes. response:	So if I investigate incidents of possible time travel like these,
context: That's all.\To Papa's research?\Yeah.\A man goes missing suddenly, without explanation.\If it's actually because he traveled through time or dimensions...\Traveled through time? You mean, like me?\Yes.\So if I investigate incidents of possible time travel like these, response:	it's possible that I might learn
context: To Papa's research?\Yeah.\A man goes missing suddenly, without explanation.\If it's actually because he traveled through time or dimensions...\Traveled through time? You mean, like me?\Yes.\So if I investigate incidents of possible time travel like these,\it's possible that I might learn response:	what the machine downstairs is, and why Dr. Hayase gave you the armillary compass.
context: Yeah.\A man goes missing suddenly, without explanation.\If it's actually because he traveled through time or dimensions...\Traveled through time? You mean, like me?\Yes.\So if I investigate incidents of possible time travel like these,\it's possible that I might learn\what the machine downstairs is, and why Dr. Hayase gave you the armillary compass. response:	I think all this might be a message from him.
context: A man goes missing suddenly, without explanation.\If it's actually because he traveled through time or dimensions...\Traveled through time? You mean, like me?\Yes.\So if I investigate incidents of possible time travel like these,\it's possible that I might learn\what the machine downstairs is, and why Dr. Hayase gave you the armillary compass.\I think all this might be a message from him. response:	A message from Papa?
context: If it's actually because he traveled through time or dimensions...\Traveled through time? You mean, like me?\Yes.\So if I investigate incidents of possible time travel like these,\it's possible that I might learn\what the machine downstairs is, and why Dr. Hayase gave you the armillary compass.\I think all this might be a message from him.\A message from Papa? response:	Gilbert. Franklin. Volta.
context: Traveled through time? You mean, like me?\Yes.\So if I investigate incidents of possible time travel like these,\it's possible that I might learn\what the machine downstairs is, and why Dr. Hayase gave you the armillary compass.\I think all this might be a message from him.\A message from Papa?\Gilbert. Franklin. Volta. response:	Why do these people appear in this book?
context: Yes.\So if I investigate incidents of possible time travel like these,\it's possible that I might learn\what the machine downstairs is, and why Dr. Hayase gave you the armillary compass.\I think all this might be a message from him.\A message from Papa?\Gilbert. Franklin. Volta.\Why do these people appear in this book? response:	Why are you traveling into the times they come from?
context: So if I investigate incidents of possible time travel like these,\it's possible that I might learn\what the machine downstairs is, and why Dr. Hayase gave you the armillary compass.\I think all this might be a message from him.\A message from Papa?\Gilbert. Franklin. Volta.\Why do these people appear in this book?\Why are you traveling into the times they come from? response:	Mari!
context: it's possible that I might learn\what the machine downstairs is, and why Dr. Hayase gave you the armillary compass.\I think all this might be a message from him.\A message from Papa?\Gilbert. Franklin. Volta.\Why do these people appear in this book?\Why are you traveling into the times they come from?\Mari! response:	Waka?
context: what the machine downstairs is, and why Dr. Hayase gave you the armillary compass.\I think all this might be a message from him.\A message from Papa?\Gilbert. Franklin. Volta.\Why do these people appear in this book?\Why are you traveling into the times they come from?\Mari!\Waka? response:	What's wrong?
context: I think all this might be a message from him.\A message from Papa?\Gilbert. Franklin. Volta.\Why do these people appear in this book?\Why are you traveling into the times they come from?\Mari!\Waka?\What's wrong? response:	Please! Send me into the past!
context: A message from Papa?\Gilbert. Franklin. Volta.\Why do these people appear in this book?\Why are you traveling into the times they come from?\Mari!\Waka?\What's wrong?\Please! Send me into the past! response:	What?!
context: Gilbert. Franklin. Volta.\Why do these people appear in this book?\Why are you traveling into the times they come from?\Mari!\Waka?\What's wrong?\Please! Send me into the past!\What?! response:	I don't mean the 16th or 18th centuries!
context: Why do these people appear in this book?\Why are you traveling into the times they come from?\Mari!\Waka?\What's wrong?\Please! Send me into the past!\What?!\I don't mean the 16th or 18th centuries! response:	Just an hour or so ago!
context: Why are you traveling into the times they come from?\Mari!\Waka?\What's wrong?\Please! Send me into the past!\What?!\I don't mean the 16th or 18th centuries!\Just an hour or so ago! response:	What are you talking about?
context: Mari!\Waka?\What's wrong?\Please! Send me into the past!\What?!\I don't mean the 16th or 18th centuries!\Just an hour or so ago!\What are you talking about? response:	I didn't mean to make Futa mad!
context: Waka?\What's wrong?\Please! Send me into the past!\What?!\I don't mean the 16th or 18th centuries!\Just an hour or so ago!\What are you talking about?\I didn't mean to make Futa mad! response:	I was just worried about him!
context: What's wrong?\Please! Send me into the past!\What?!\I don't mean the 16th or 18th centuries!\Just an hour or so ago!\What are you talking about?\I didn't mean to make Futa mad!\I was just worried about him! response:	And yet...
context: Please! Send me into the past!\What?!\I don't mean the 16th or 18th centuries!\Just an hour or so ago!\What are you talking about?\I didn't mean to make Futa mad!\I was just worried about him!\And yet... response:	Oh, I'm so stupid! Stupid! Stupid!
context: What?!\I don't mean the 16th or 18th centuries!\Just an hour or so ago!\What are you talking about?\I didn't mean to make Futa mad!\I was just worried about him!\And yet...\Oh, I'm so stupid! Stupid! Stupid! response:	Calm down, Waka!
context: I don't mean the 16th or 18th centuries!\Just an hour or so ago!\What are you talking about?\I didn't mean to make Futa mad!\I was just worried about him!\And yet...\Oh, I'm so stupid! Stupid! Stupid!\Calm down, Waka! response:	That's why... you have to send me back!
context: Just an hour or so ago!\What are you talking about?\I didn't mean to make Futa mad!\I was just worried about him!\And yet...\Oh, I'm so stupid! Stupid! Stupid!\Calm down, Waka!\That's why... you have to send me back! response:	Let me meet myself before I talk to Futa,
context: What are you talking about?\I didn't mean to make Futa mad!\I was just worried about him!\And yet...\Oh, I'm so stupid! Stupid! Stupid!\Calm down, Waka!\That's why... you have to send me back!\Let me meet myself before I talk to Futa, response:	so I can tell me to be nicer!
context: I didn't mean to make Futa mad!\I was just worried about him!\And yet...\Oh, I'm so stupid! Stupid! Stupid!\Calm down, Waka!\That's why... you have to send me back!\Let me meet myself before I talk to Futa,\so I can tell me to be nicer! response:	Please!
context: I was just worried about him!\And yet...\Oh, I'm so stupid! Stupid! Stupid!\Calm down, Waka!\That's why... you have to send me back!\Let me meet myself before I talk to Futa,\so I can tell me to be nicer!\Please! response:	Huh?! Why do you have that armillary compass?!
context: And yet...\Oh, I'm so stupid! Stupid! Stupid!\Calm down, Waka!\That's why... you have to send me back!\Let me meet myself before I talk to Futa,\so I can tell me to be nicer!\Please!\Huh?! Why do you have that armillary compass?! response:	Oh, this?
context: Oh, I'm so stupid! Stupid! Stupid!\Calm down, Waka!\That's why... you have to send me back!\Let me meet myself before I talk to Futa,\so I can tell me to be nicer!\Please!\Huh?! Why do you have that armillary compass?!\Oh, this? response:	Didn't I mention it?
context: Calm down, Waka!\That's why... you have to send me back!\Let me meet myself before I talk to Futa,\so I can tell me to be nicer!\Please!\Huh?! Why do you have that armillary compass?!\Oh, this?\Didn't I mention it? response:	I found it in the basement!
context: That's why... you have to send me back!\Let me meet myself before I talk to Futa,\so I can tell me to be nicer!\Please!\Huh?! Why do you have that armillary compass?!\Oh, this?\Didn't I mention it?\I found it in the basement! response:	Why do you have it?
context: Let me meet myself before I talk to Futa,\so I can tell me to be nicer!\Please!\Huh?! Why do you have that armillary compass?!\Oh, this?\Didn't I mention it?\I found it in the basement!\Why do you have it? response:	Well... with the way things were going...
context: so I can tell me to be nicer!\Please!\Huh?! Why do you have that armillary compass?!\Oh, this?\Didn't I mention it?\I found it in the basement!\Why do you have it?\Well... with the way things were going... response:	It seemed like the right idea at the time, I guess...
context: Please!\Huh?! Why do you have that armillary compass?!\Oh, this?\Didn't I mention it?\I found it in the basement!\Why do you have it?\Well... with the way things were going...\It seemed like the right idea at the time, I guess... response:	With the way things were going?
context: Huh?! Why do you have that armillary compass?!\Oh, this?\Didn't I mention it?\I found it in the basement!\Why do you have it?\Well... with the way things were going...\It seemed like the right idea at the time, I guess...\With the way things were going? response:	I'm a member of Team Time Travelers, too!
context: Oh, this?\Didn't I mention it?\I found it in the basement!\Why do you have it?\Well... with the way things were going...\It seemed like the right idea at the time, I guess...\With the way things were going?\I'm a member of Team Time Travelers, too! response:	Team Time Travelers I'm a member of Team Time Travelers, too!
context: Didn't I mention it?\I found it in the basement!\Why do you have it?\Well... with the way things were going...\It seemed like the right idea at the time, I guess...\With the way things were going?\I'm a member of Team Time Travelers, too!\Team Time Travelers I'm a member of Team Time Travelers, too! response:	Team Time Travelers I need an item of my own!
context: I found it in the basement!\Why do you have it?\Well... with the way things were going...\It seemed like the right idea at the time, I guess...\With the way things were going?\I'm a member of Team Time Travelers, too!\Team Time Travelers I'm a member of Team Time Travelers, too!\Team Time Travelers I need an item of my own! response:	I need an item of my own!
context: Why do you have it?\Well... with the way things were going...\It seemed like the right idea at the time, I guess...\With the way things were going?\I'm a member of Team Time Travelers, too!\Team Time Travelers I'm a member of Team Time Travelers, too!\Team Time Travelers I need an item of my own!\I need an item of my own! response:	Team Time Travelers?!
context: Well... with the way things were going...\It seemed like the right idea at the time, I guess...\With the way things were going?\I'm a member of Team Time Travelers, too!\Team Time Travelers I'm a member of Team Time Travelers, too!\Team Time Travelers I need an item of my own!\I need an item of my own!\Team Time Travelers?! response:	W-W-We'll talk about that some other time!
context: It seemed like the right idea at the time, I guess...\With the way things were going?\I'm a member of Team Time Travelers, too!\Team Time Travelers I'm a member of Team Time Travelers, too!\Team Time Travelers I need an item of my own!\I need an item of my own!\Team Time Travelers?!\W-W-We'll talk about that some other time! response:	Anyway, send me into the past!
context: With the way things were going?\I'm a member of Team Time Travelers, too!\Team Time Travelers I'm a member of Team Time Travelers, too!\Team Time Travelers I need an item of my own!\I need an item of my own!\Team Time Travelers?!\W-W-We'll talk about that some other time!\Anyway, send me into the past! response:	Just an hour back!
context: I'm a member of Team Time Travelers, too!\Team Time Travelers I'm a member of Team Time Travelers, too!\Team Time Travelers I need an item of my own!\I need an item of my own!\Team Time Travelers?!\W-W-We'll talk about that some other time!\Anyway, send me into the past!\Just an hour back! response:	Listen, Waka.
context: Team Time Travelers I'm a member of Team Time Travelers, too!\Team Time Travelers I need an item of my own!\I need an item of my own!\Team Time Travelers?!\W-W-We'll talk about that some other time!\Anyway, send me into the past!\Just an hour back!\Listen, Waka. response:	The system doesn't let us go back whenever we want to.
context: Team Time Travelers I need an item of my own!\I need an item of my own!\Team Time Travelers?!\W-W-We'll talk about that some other time!\Anyway, send me into the past!\Just an hour back!\Listen, Waka.\The system doesn't let us go back whenever we want to. response:	We can only travel back to the eras of the people in this book.
context: I need an item of my own!\Team Time Travelers?!\W-W-We'll talk about that some other time!\Anyway, send me into the past!\Just an hour back!\Listen, Waka.\The system doesn't let us go back whenever we want to.\We can only travel back to the eras of the people in this book. response:	Lucky me!
