context: I'm sorry... I just couldn't be alone. response:	That's all right.
context: You may object, but my feelings won't change.\If I cannot marry Emma, then I shall never marry!\Do you not realize how insular polite society is?\Although fortune, land and position count, the most important thing of all is...\You must be worthy of people's respect.\If not, you will be rejected. The world is unforgiving.\I don't believe that marrying Emma would warrant me losing respect!\It may take some time, but I believe that people will understand in the end. response:	I've told you before...
context: If I cannot marry Emma, then I shall never marry!\Do you not realize how insular polite society is?\Although fortune, land and position count, the most important thing of all is...\You must be worthy of people's respect.\If not, you will be rejected. The world is unforgiving.\I don't believe that marrying Emma would warrant me losing respect!\It may take some time, but I believe that people will understand in the end.\I've told you before... response:	Don't go thinking you can graft a reed to an elm tree.
context: Do you not realize how insular polite society is?\Although fortune, land and position count, the most important thing of all is...\You must be worthy of people's respect.\If not, you will be rejected. The world is unforgiving.\I don't believe that marrying Emma would warrant me losing respect!\It may take some time, but I believe that people will understand in the end.\I've told you before...\Don't go thinking you can graft a reed to an elm tree. response:	Elms grow in the hills, reeds by the water.
context: Although fortune, land and position count, the most important thing of all is...\You must be worthy of people's respect.\If not, you will be rejected. The world is unforgiving.\I don't believe that marrying Emma would warrant me losing respect!\It may take some time, but I believe that people will understand in the end.\I've told you before...\Don't go thinking you can graft a reed to an elm tree.\Elms grow in the hills, reeds by the water. response:	That's just the natural way of things.
context: You must be worthy of people's respect.\If not, you will be rejected. The world is unforgiving.\I don't believe that marrying Emma would warrant me losing respect!\It may take some time, but I believe that people will understand in the end.\I've told you before...\Don't go thinking you can graft a reed to an elm tree.\Elms grow in the hills, reeds by the water.\That's just the natural way of things. response:	If you try to bend the rules, the reeds could wither and die.
context: If not, you will be rejected. The world is unforgiving.\I don't believe that marrying Emma would warrant me losing respect!\It may take some time, but I believe that people will understand in the end.\I've told you before...\Don't go thinking you can graft a reed to an elm tree.\Elms grow in the hills, reeds by the water.\That's just the natural way of things.\If you try to bend the rules, the reeds could wither and die. response:	If that's the case...
context: I don't believe that marrying Emma would warrant me losing respect!\It may take some time, but I believe that people will understand in the end.\I've told you before...\Don't go thinking you can graft a reed to an elm tree.\Elms grow in the hills, reeds by the water.\That's just the natural way of things.\If you try to bend the rules, the reeds could wither and die.\If that's the case... response:	If that's the case, then l shall have to live by the water!
context: It may take some time, but I believe that people will understand in the end.\I've told you before...\Don't go thinking you can graft a reed to an elm tree.\Elms grow in the hills, reeds by the water.\That's just the natural way of things.\If you try to bend the rules, the reeds could wither and die.\If that's the case...\If that's the case, then l shall have to live by the water! response:	That really happened at the Jones' house?
context: I've told you before...\Don't go thinking you can graft a reed to an elm tree.\Elms grow in the hills, reeds by the water.\That's just the natural way of things.\If you try to bend the rules, the reeds could wither and die.\If that's the case...\If that's the case, then l shall have to live by the water!\That really happened at the Jones' house? response:	Well, that ends Miss Eleanor's chances for marriage.
context: Don't go thinking you can graft a reed to an elm tree.\Elms grow in the hills, reeds by the water.\That's just the natural way of things.\If you try to bend the rules, the reeds could wither and die.\If that's the case...\If that's the case, then l shall have to live by the water!\That really happened at the Jones' house?\Well, that ends Miss Eleanor's chances for marriage. response:	Indeed! It's as if the whole Campbell family's been snubbed...
context: Elms grow in the hills, reeds by the water.\That's just the natural way of things.\If you try to bend the rules, the reeds could wither and die.\If that's the case...\If that's the case, then l shall have to live by the water!\That really happened at the Jones' house?\Well, that ends Miss Eleanor's chances for marriage.\Indeed! It's as if the whole Campbell family's been snubbed... response:	You're right.
context: That's just the natural way of things.\If you try to bend the rules, the reeds could wither and die.\If that's the case...\If that's the case, then l shall have to live by the water!\That really happened at the Jones' house?\Well, that ends Miss Eleanor's chances for marriage.\Indeed! It's as if the whole Campbell family's been snubbed...\You're right. response:	And here I thought the Jones' wanted a title.
context: If you try to bend the rules, the reeds could wither and die.\If that's the case...\If that's the case, then l shall have to live by the water!\That really happened at the Jones' house?\Well, that ends Miss Eleanor's chances for marriage.\Indeed! It's as if the whole Campbell family's been snubbed...\You're right.\And here I thought the Jones' wanted a title. response:	Hurry!
context: If that's the case...\If that's the case, then l shall have to live by the water!\That really happened at the Jones' house?\Well, that ends Miss Eleanor's chances for marriage.\Indeed! It's as if the whole Campbell family's been snubbed...\You're right.\And here I thought the Jones' wanted a title.\Hurry! response:	What? Hurry!
context: If that's the case, then l shall have to live by the water!\That really happened at the Jones' house?\Well, that ends Miss Eleanor's chances for marriage.\Indeed! It's as if the whole Campbell family's been snubbed...\You're right.\And here I thought the Jones' wanted a title.\Hurry!\What? Hurry! response:	What?
context: That really happened at the Jones' house?\Well, that ends Miss Eleanor's chances for marriage.\Indeed! It's as if the whole Campbell family's been snubbed...\You're right.\And here I thought the Jones' wanted a title.\Hurry!\What? Hurry!\What? response:	Don't pay any attention to them.
context: Well, that ends Miss Eleanor's chances for marriage.\Indeed! It's as if the whole Campbell family's been snubbed...\You're right.\And here I thought the Jones' wanted a title.\Hurry!\What? Hurry!\What?\Don't pay any attention to them. response:	It's bound to be an unfounded rumor!
context: Indeed! It's as if the whole Campbell family's been snubbed...\You're right.\And here I thought the Jones' wanted a title.\Hurry!\What? Hurry!\What?\Don't pay any attention to them.\It's bound to be an unfounded rumor! response:	Just between us gentlemen, I'm rather tired of all these parties.
context: You're right.\And here I thought the Jones' wanted a title.\Hurry!\What? Hurry!\What?\Don't pay any attention to them.\It's bound to be an unfounded rumor!\Just between us gentlemen, I'm rather tired of all these parties. response:	Already looking forward to the Epsom Derby?
context: And here I thought the Jones' wanted a title.\Hurry!\What? Hurry!\What?\Don't pay any attention to them.\It's bound to be an unfounded rumor!\Just between us gentlemen, I'm rather tired of all these parties.\Already looking forward to the Epsom Derby? response:	Oh yes, I can't wait!
context: Hurry!\What? Hurry!\What?\Don't pay any attention to them.\It's bound to be an unfounded rumor!\Just between us gentlemen, I'm rather tired of all these parties.\Already looking forward to the Epsom Derby?\Oh yes, I can't wait! response:	You prefer horses to ladies? Shame on you!
context: What? Hurry!\What?\Don't pay any attention to them.\It's bound to be an unfounded rumor!\Just between us gentlemen, I'm rather tired of all these parties.\Already looking forward to the Epsom Derby?\Oh yes, I can't wait!\You prefer horses to ladies? Shame on you! response:	Excuse me for a moment.
context: What?\Don't pay any attention to them.\It's bound to be an unfounded rumor!\Just between us gentlemen, I'm rather tired of all these parties.\Already looking forward to the Epsom Derby?\Oh yes, I can't wait!\You prefer horses to ladies? Shame on you!\Excuse me for a moment. response:	Mrs. Campbell...
context: Don't pay any attention to them.\It's bound to be an unfounded rumor!\Just between us gentlemen, I'm rather tired of all these parties.\Already looking forward to the Epsom Derby?\Oh yes, I can't wait!\You prefer horses to ladies? Shame on you!\Excuse me for a moment.\Mrs. Campbell... response:	Mr. Jones.
context: It's bound to be an unfounded rumor!\Just between us gentlemen, I'm rather tired of all these parties.\Already looking forward to the Epsom Derby?\Oh yes, I can't wait!\You prefer horses to ladies? Shame on you!\Excuse me for a moment.\Mrs. Campbell...\Mr. Jones. response:	A pleasure to see you. Is Miss Eleanor with you today?
context: Just between us gentlemen, I'm rather tired of all these parties.\Already looking forward to the Epsom Derby?\Oh yes, I can't wait!\You prefer horses to ladies? Shame on you!\Excuse me for a moment.\Mrs. Campbell...\Mr. Jones.\A pleasure to see you. Is Miss Eleanor with you today? response:	She's at a difficult age.
context: Already looking forward to the Epsom Derby?\Oh yes, I can't wait!\You prefer horses to ladies? Shame on you!\Excuse me for a moment.\Mrs. Campbell...\Mr. Jones.\A pleasure to see you. Is Miss Eleanor with you today?\She's at a difficult age. response:	She seemed quite happy yesterday, but today she's out of sorts again.
context: Oh yes, I can't wait!\You prefer horses to ladies? Shame on you!\Excuse me for a moment.\Mrs. Campbell...\Mr. Jones.\A pleasure to see you. Is Miss Eleanor with you today?\She's at a difficult age.\She seemed quite happy yesterday, but today she's out of sorts again. response:	I haven't kept a close enough eye on William. His recent behavior has been most inappropriate.
context: You prefer horses to ladies? Shame on you!\Excuse me for a moment.\Mrs. Campbell...\Mr. Jones.\A pleasure to see you. Is Miss Eleanor with you today?\She's at a difficult age.\She seemed quite happy yesterday, but today she's out of sorts again.\I haven't kept a close enough eye on William. His recent behavior has been most inappropriate. response:	Many people behave inappropriately in their youth, it can't really be helped.
context: Excuse me for a moment.\Mrs. Campbell...\Mr. Jones.\A pleasure to see you. Is Miss Eleanor with you today?\She's at a difficult age.\She seemed quite happy yesterday, but today she's out of sorts again.\I haven't kept a close enough eye on William. His recent behavior has been most inappropriate.\Many people behave inappropriately in their youth, it can't really be helped. response:	Even so, some behavior is simply unacceptable.
context: Mrs. Campbell...\Mr. Jones.\A pleasure to see you. Is Miss Eleanor with you today?\She's at a difficult age.\She seemed quite happy yesterday, but today she's out of sorts again.\I haven't kept a close enough eye on William. His recent behavior has been most inappropriate.\Many people behave inappropriately in their youth, it can't really be helped.\Even so, some behavior is simply unacceptable. response:	I intend to hand out much stronger discipline in the future.
context: Mr. Jones.\A pleasure to see you. Is Miss Eleanor with you today?\She's at a difficult age.\She seemed quite happy yesterday, but today she's out of sorts again.\I haven't kept a close enough eye on William. His recent behavior has been most inappropriate.\Many people behave inappropriately in their youth, it can't really be helped.\Even so, some behavior is simply unacceptable.\I intend to hand out much stronger discipline in the future. response:	The poor dear, don't be too hard on him.
context: A pleasure to see you. Is Miss Eleanor with you today?\She's at a difficult age.\She seemed quite happy yesterday, but today she's out of sorts again.\I haven't kept a close enough eye on William. His recent behavior has been most inappropriate.\Many people behave inappropriately in their youth, it can't really be helped.\Even so, some behavior is simply unacceptable.\I intend to hand out much stronger discipline in the future.\The poor dear, don't be too hard on him. response:	Please ask him to invite Eleanor out sometime.
context: She's at a difficult age.\She seemed quite happy yesterday, but today she's out of sorts again.\I haven't kept a close enough eye on William. His recent behavior has been most inappropriate.\Many people behave inappropriately in their youth, it can't really be helped.\Even so, some behavior is simply unacceptable.\I intend to hand out much stronger discipline in the future.\The poor dear, don't be too hard on him.\Please ask him to invite Eleanor out sometime. response:	I certainly will. I'll inform William as such.
context: She seemed quite happy yesterday, but today she's out of sorts again.\I haven't kept a close enough eye on William. His recent behavior has been most inappropriate.\Many people behave inappropriately in their youth, it can't really be helped.\Even so, some behavior is simply unacceptable.\I intend to hand out much stronger discipline in the future.\The poor dear, don't be too hard on him.\Please ask him to invite Eleanor out sometime.\I certainly will. I'll inform William as such. response:	Young Master!
context: I haven't kept a close enough eye on William. His recent behavior has been most inappropriate.\Many people behave inappropriately in their youth, it can't really be helped.\Even so, some behavior is simply unacceptable.\I intend to hand out much stronger discipline in the future.\The poor dear, don't be too hard on him.\Please ask him to invite Eleanor out sometime.\I certainly will. I'll inform William as such.\Young Master! response:	Young Master, please don't!
context: Many people behave inappropriately in their youth, it can't really be helped.\Even so, some behavior is simply unacceptable.\I intend to hand out much stronger discipline in the future.\The poor dear, don't be too hard on him.\Please ask him to invite Eleanor out sometime.\I certainly will. I'll inform William as such.\Young Master!\Young Master, please don't! response:	Someone, please stop the Young Master!
context: Even so, some behavior is simply unacceptable.\I intend to hand out much stronger discipline in the future.\The poor dear, don't be too hard on him.\Please ask him to invite Eleanor out sometime.\I certainly will. I'll inform William as such.\Young Master!\Young Master, please don't!\Someone, please stop the Young Master! response:	Mr. Stevens, stop him!
context: I intend to hand out much stronger discipline in the future.\The poor dear, don't be too hard on him.\Please ask him to invite Eleanor out sometime.\I certainly will. I'll inform William as such.\Young Master!\Young Master, please don't!\Someone, please stop the Young Master!\Mr. Stevens, stop him! response:	You must stop the Young Master, now!
context: The poor dear, don't be too hard on him.\Please ask him to invite Eleanor out sometime.\I certainly will. I'll inform William as such.\Young Master!\Young Master, please don't!\Someone, please stop the Young Master!\Mr. Stevens, stop him!\You must stop the Young Master, now! response:	Why didn't you stop him? The Master didn't want him to leave the house!
context: Please ask him to invite Eleanor out sometime.\I certainly will. I'll inform William as such.\Young Master!\Young Master, please don't!\Someone, please stop the Young Master!\Mr. Stevens, stop him!\You must stop the Young Master, now!\Why didn't you stop him? The Master didn't want him to leave the house! response:	The Young Master is not permitted to leave.
context: I certainly will. I'll inform William as such.\Young Master!\Young Master, please don't!\Someone, please stop the Young Master!\Mr. Stevens, stop him!\You must stop the Young Master, now!\Why didn't you stop him? The Master didn't want him to leave the house!\The Young Master is not permitted to leave. response:	Yes, but...
context: Young Master!\Young Master, please don't!\Someone, please stop the Young Master!\Mr. Stevens, stop him!\You must stop the Young Master, now!\Why didn't you stop him? The Master didn't want him to leave the house!\The Young Master is not permitted to leave.\Yes, but... response:	So, Stevens understands the workings of love as well.
context: Young Master, please don't!\Someone, please stop the Young Master!\Mr. Stevens, stop him!\You must stop the Young Master, now!\Why didn't you stop him? The Master didn't want him to leave the house!\The Young Master is not permitted to leave.\Yes, but...\So, Stevens understands the workings of love as well. response:	That was not my intention...
context: Someone, please stop the Young Master!\Mr. Stevens, stop him!\You must stop the Young Master, now!\Why didn't you stop him? The Master didn't want him to leave the house!\The Young Master is not permitted to leave.\Yes, but...\So, Stevens understands the workings of love as well.\That was not my intention... response:	I wish Master William to lead the life he wants as well.
context: Mr. Stevens, stop him!\You must stop the Young Master, now!\Why didn't you stop him? The Master didn't want him to leave the house!\The Young Master is not permitted to leave.\Yes, but...\So, Stevens understands the workings of love as well.\That was not my intention...\I wish Master William to lead the life he wants as well. response:	But, not with a maid! Even if he does love her, it's obvious that life will always be hard for them.
context: You must stop the Young Master, now!\Why didn't you stop him? The Master didn't want him to leave the house!\The Young Master is not permitted to leave.\Yes, but...\So, Stevens understands the workings of love as well.\That was not my intention...\I wish Master William to lead the life he wants as well.\But, not with a maid! Even if he does love her, it's obvious that life will always be hard for them. response:	I'm certain the Master is only thinking of the Young Master's happiness.
context: Why didn't you stop him? The Master didn't want him to leave the house!\The Young Master is not permitted to leave.\Yes, but...\So, Stevens understands the workings of love as well.\That was not my intention...\I wish Master William to lead the life he wants as well.\But, not with a maid! Even if he does love her, it's obvious that life will always be hard for them.\I'm certain the Master is only thinking of the Young Master's happiness. response:	Do you have some business here?
context: The Young Master is not permitted to leave.\Yes, but...\So, Stevens understands the workings of love as well.\That was not my intention...\I wish Master William to lead the life he wants as well.\But, not with a maid! Even if he does love her, it's obvious that life will always be hard for them.\I'm certain the Master is only thinking of the Young Master's happiness.\Do you have some business here? response:	Ah! Um, do you know where Emma...?
context: Yes, but...\So, Stevens understands the workings of love as well.\That was not my intention...\I wish Master William to lead the life he wants as well.\But, not with a maid! Even if he does love her, it's obvious that life will always be hard for them.\I'm certain the Master is only thinking of the Young Master's happiness.\Do you have some business here?\Ah! Um, do you know where Emma...? response:	Could you possibly be...?
context: So, Stevens understands the workings of love as well.\That was not my intention...\I wish Master William to lead the life he wants as well.\But, not with a maid! Even if he does love her, it's obvious that life will always be hard for them.\I'm certain the Master is only thinking of the Young Master's happiness.\Do you have some business here?\Ah! Um, do you know where Emma...?\Could you possibly be...? response:	Eh?
context: That was not my intention...\I wish Master William to lead the life he wants as well.\But, not with a maid! Even if he does love her, it's obvious that life will always be hard for them.\I'm certain the Master is only thinking of the Young Master's happiness.\Do you have some business here?\Ah! Um, do you know where Emma...?\Could you possibly be...?\Eh? response:	Please buy a flower, sir.
context: I wish Master William to lead the life he wants as well.\But, not with a maid! Even if he does love her, it's obvious that life will always be hard for them.\I'm certain the Master is only thinking of the Young Master's happiness.\Do you have some business here?\Ah! Um, do you know where Emma...?\Could you possibly be...?\Eh?\Please buy a flower, sir. response:	Um, sorry!
context: But, not with a maid! Even if he does love her, it's obvious that life will always be hard for them.\I'm certain the Master is only thinking of the Young Master's happiness.\Do you have some business here?\Ah! Um, do you know where Emma...?\Could you possibly be...?\Eh?\Please buy a flower, sir.\Um, sorry! response:	It's not exactly a place to bring nobility...
context: I'm certain the Master is only thinking of the Young Master's happiness.\Do you have some business here?\Ah! Um, do you know where Emma...?\Could you possibly be...?\Eh?\Please buy a flower, sir.\Um, sorry!\It's not exactly a place to bring nobility... response:	You'll have to forgive the mess.
