context: What's happened so far! response:	This is our sister,
context: We were getting along great until last week...\Hey, Miyazawa.\Want to form a study group?\Our school has lots of tests, right?\If we cooperate, I think we\might both be able to do better.\I see! That's a wonderful idea.\Cooperation is such a beautiful thing! response:	I can just see you thinking about
context: Hey, Miyazawa.\Want to form a study group?\Our school has lots of tests, right?\If we cooperate, I think we\might both be able to do better.\I see! That's a wonderful idea.\Cooperation is such a beautiful thing!\I can just see you thinking about response:	getting good grades without working...
context: Want to form a study group?\Our school has lots of tests, right?\If we cooperate, I think we\might both be able to do better.\I see! That's a wonderful idea.\Cooperation is such a beautiful thing!\I can just see you thinking about\getting good grades without working... response:	This is just like on Lifestyles of the Rich and Famous!
context: Our school has lots of tests, right?\If we cooperate, I think we\might both be able to do better.\I see! That's a wonderful idea.\Cooperation is such a beautiful thing!\I can just see you thinking about\getting good grades without working...\This is just like on Lifestyles of the Rich and Famous! response:	That's exaggerating a bit...
context: If we cooperate, I think we\might both be able to do better.\I see! That's a wonderful idea.\Cooperation is such a beautiful thing!\I can just see you thinking about\getting good grades without working...\This is just like on Lifestyles of the Rich and Famous!\That's exaggerating a bit... response:	Wow, it's so big! You're so rich!
context: might both be able to do better.\I see! That's a wonderful idea.\Cooperation is such a beautiful thing!\I can just see you thinking about\getting good grades without working...\This is just like on Lifestyles of the Rich and Famous!\That's exaggerating a bit...\Wow, it's so big! You're so rich! response:	Father, Mother, this is Miyazawa from my class.
context: I see! That's a wonderful idea.\Cooperation is such a beautiful thing!\I can just see you thinking about\getting good grades without working...\This is just like on Lifestyles of the Rich and Famous!\That's exaggerating a bit...\Wow, it's so big! You're so rich!\Father, Mother, this is Miyazawa from my class. response:	I had no idea that Souichirou had such a darling classmate.
context: Cooperation is such a beautiful thing!\I can just see you thinking about\getting good grades without working...\This is just like on Lifestyles of the Rich and Famous!\That's exaggerating a bit...\Wow, it's so big! You're so rich!\Father, Mother, this is Miyazawa from my class.\I had no idea that Souichirou had such a darling classmate. response:	Oh, surely not.
context: I can just see you thinking about\getting good grades without working...\This is just like on Lifestyles of the Rich and Famous!\That's exaggerating a bit...\Wow, it's so big! You're so rich!\Father, Mother, this is Miyazawa from my class.\I had no idea that Souichirou had such a darling classmate.\Oh, surely not. response:	I hope you and Souichirou
context: getting good grades without working...\This is just like on Lifestyles of the Rich and Famous!\That's exaggerating a bit...\Wow, it's so big! You're so rich!\Father, Mother, this is Miyazawa from my class.\I had no idea that Souichirou had such a darling classmate.\Oh, surely not.\I hope you and Souichirou response:	will be friends from now on.
context: This is just like on Lifestyles of the Rich and Famous!\That's exaggerating a bit...\Wow, it's so big! You're so rich!\Father, Mother, this is Miyazawa from my class.\I had no idea that Souichirou had such a darling classmate.\Oh, surely not.\I hope you and Souichirou\will be friends from now on. response:	I'll cut some cake later.
context: That's exaggerating a bit...\Wow, it's so big! You're so rich!\Father, Mother, this is Miyazawa from my class.\I had no idea that Souichirou had such a darling classmate.\Oh, surely not.\I hope you and Souichirou\will be friends from now on.\I'll cut some cake later. response:	Girls are so much more fun to entertain.
context: Wow, it's so big! You're so rich!\Father, Mother, this is Miyazawa from my class.\I had no idea that Souichirou had such a darling classmate.\Oh, surely not.\I hope you and Souichirou\will be friends from now on.\I'll cut some cake later.\Girls are so much more fun to entertain. response:	Souichirou, come down for tea at 3 o'clock.
context: Father, Mother, this is Miyazawa from my class.\I had no idea that Souichirou had such a darling classmate.\Oh, surely not.\I hope you and Souichirou\will be friends from now on.\I'll cut some cake later.\Girls are so much more fun to entertain.\Souichirou, come down for tea at 3 o'clock. response:	Miyazawa, too, of course.
context: I had no idea that Souichirou had such a darling classmate.\Oh, surely not.\I hope you and Souichirou\will be friends from now on.\I'll cut some cake later.\Girls are so much more fun to entertain.\Souichirou, come down for tea at 3 o'clock.\Miyazawa, too, of course. response:	Yes, Father.
context: Oh, surely not.\I hope you and Souichirou\will be friends from now on.\I'll cut some cake later.\Girls are so much more fun to entertain.\Souichirou, come down for tea at 3 o'clock.\Miyazawa, too, of course.\Yes, Father. response:	Your skill of feigning innocence is really amazing.
context: I hope you and Souichirou\will be friends from now on.\I'll cut some cake later.\Girls are so much more fun to entertain.\Souichirou, come down for tea at 3 o'clock.\Miyazawa, too, of course.\Yes, Father.\Your skill of feigning innocence is really amazing. response:	Sometimes frighteningly so.
context: will be friends from now on.\I'll cut some cake later.\Girls are so much more fun to entertain.\Souichirou, come down for tea at 3 o'clock.\Miyazawa, too, of course.\Yes, Father.\Your skill of feigning innocence is really amazing.\Sometimes frighteningly so. response:	It's the result of extremely rigorous training.
context: I'll cut some cake later.\Girls are so much more fun to entertain.\Souichirou, come down for tea at 3 o'clock.\Miyazawa, too, of course.\Yes, Father.\Your skill of feigning innocence is really amazing.\Sometimes frighteningly so.\It's the result of extremely rigorous training. response:	But your parents are really wonderful.
context: Girls are so much more fun to entertain.\Souichirou, come down for tea at 3 o'clock.\Miyazawa, too, of course.\Yes, Father.\Your skill of feigning innocence is really amazing.\Sometimes frighteningly so.\It's the result of extremely rigorous training.\But your parents are really wonderful. response:	Must be nice.
context: Souichirou, come down for tea at 3 o'clock.\Miyazawa, too, of course.\Yes, Father.\Your skill of feigning innocence is really amazing.\Sometimes frighteningly so.\It's the result of extremely rigorous training.\But your parents are really wonderful.\Must be nice. response:	My house is really small. It just doesn't compare.
context: Miyazawa, too, of course.\Yes, Father.\Your skill of feigning innocence is really amazing.\Sometimes frighteningly so.\It's the result of extremely rigorous training.\But your parents are really wonderful.\Must be nice.\My house is really small. It just doesn't compare. response:	I said to forget about my house already.
context: Yes, Father.\Your skill of feigning innocence is really amazing.\Sometimes frighteningly so.\It's the result of extremely rigorous training.\But your parents are really wonderful.\Must be nice.\My house is really small. It just doesn't compare.\I said to forget about my house already. response:	I'm home!
context: Your skill of feigning innocence is really amazing.\Sometimes frighteningly so.\It's the result of extremely rigorous training.\But your parents are really wonderful.\Must be nice.\My house is really small. It just doesn't compare.\I said to forget about my house already.\I'm home! response:	Oh, Yuki, you brought your fr...
context: Sometimes frighteningly so.\It's the result of extremely rigorous training.\But your parents are really wonderful.\Must be nice.\My house is really small. It just doesn't compare.\I said to forget about my house already.\I'm home!\Oh, Yuki, you brought your fr... response:	Good afternoon.
context: It's the result of extremely rigorous training.\But your parents are really wonderful.\Must be nice.\My house is really small. It just doesn't compare.\I said to forget about my house already.\I'm home!\Oh, Yuki, you brought your fr...\Good afternoon. response:	A guy!
context: But your parents are really wonderful.\Must be nice.\My house is really small. It just doesn't compare.\I said to forget about my house already.\I'm home!\Oh, Yuki, you brought your fr...\Good afternoon.\A guy! response:	What?!
context: Must be nice.\My house is really small. It just doesn't compare.\I said to forget about my house already.\I'm home!\Oh, Yuki, you brought your fr...\Good afternoon.\A guy!\What?! response:	A guy! *Father*
context: My house is really small. It just doesn't compare.\I said to forget about my house already.\I'm home!\Oh, Yuki, you brought your fr...\Good afternoon.\A guy!\What?!\A guy! *Father* response:	I won't stand for this!
context: I said to forget about my house already.\I'm home!\Oh, Yuki, you brought your fr...\Good afternoon.\A guy!\What?!\A guy! *Father*\I won't stand for this! response:	How dare you approach my precious princesses, you goddamn maggot!
context: I'm home!\Oh, Yuki, you brought your fr...\Good afternoon.\A guy!\What?!\A guy! *Father*\I won't stand for this!\How dare you approach my precious princesses, you goddamn maggot! response:	Prepare to meet your doom!
context: Oh, Yuki, you brought your fr...\Good afternoon.\A guy!\What?!\A guy! *Father*\I won't stand for this!\How dare you approach my precious princesses, you goddamn maggot!\Prepare to meet your doom! response:	Pleased to meet you.
context: Good afternoon.\A guy!\What?!\A guy! *Father*\I won't stand for this!\How dare you approach my precious princesses, you goddamn maggot!\Prepare to meet your doom!\Pleased to meet you. response:	I'm Arima Souichirou.
context: A guy!\What?!\A guy! *Father*\I won't stand for this!\How dare you approach my precious princesses, you goddamn maggot!\Prepare to meet your doom!\Pleased to meet you.\I'm Arima Souichirou. response:	We entrust our daughter to you.
context: What?!\A guy! *Father*\I won't stand for this!\How dare you approach my precious princesses, you goddamn maggot!\Prepare to meet your doom!\Pleased to meet you.\I'm Arima Souichirou.\We entrust our daughter to you. response:	What the hell are you doing?
context: A guy! *Father*\I won't stand for this!\How dare you approach my precious princesses, you goddamn maggot!\Prepare to meet your doom!\Pleased to meet you.\I'm Arima Souichirou.\We entrust our daughter to you.\What the hell are you doing? response:	I guess Yukino really goes for looks.
context: I won't stand for this!\How dare you approach my precious princesses, you goddamn maggot!\Prepare to meet your doom!\Pleased to meet you.\I'm Arima Souichirou.\We entrust our daughter to you.\What the hell are you doing?\I guess Yukino really goes for looks. response:	Or like, I don't think she acknowledges anyone below her level.
context: How dare you approach my precious princesses, you goddamn maggot!\Prepare to meet your doom!\Pleased to meet you.\I'm Arima Souichirou.\We entrust our daughter to you.\What the hell are you doing?\I guess Yukino really goes for looks.\Or like, I don't think she acknowledges anyone below her level. response:	She's not that interested in guys in the first place.
context: Prepare to meet your doom!\Pleased to meet you.\I'm Arima Souichirou.\We entrust our daughter to you.\What the hell are you doing?\I guess Yukino really goes for looks.\Or like, I don't think she acknowledges anyone below her level.\She's not that interested in guys in the first place. response:	I'm sure she sees most guys as nothing more than paper dolls.
context: Pleased to meet you.\I'm Arima Souichirou.\We entrust our daughter to you.\What the hell are you doing?\I guess Yukino really goes for looks.\Or like, I don't think she acknowledges anyone below her level.\She's not that interested in guys in the first place.\I'm sure she sees most guys as nothing more than paper dolls. response:	You can say that again. She's as cold as a demon
context: I'm Arima Souichirou.\We entrust our daughter to you.\What the hell are you doing?\I guess Yukino really goes for looks.\Or like, I don't think she acknowledges anyone below her level.\She's not that interested in guys in the first place.\I'm sure she sees most guys as nothing more than paper dolls.\You can say that again. She's as cold as a demon response:	when it comes to stuff like that.
context: We entrust our daughter to you.\What the hell are you doing?\I guess Yukino really goes for looks.\Or like, I don't think she acknowledges anyone below her level.\She's not that interested in guys in the first place.\I'm sure she sees most guys as nothing more than paper dolls.\You can say that again. She's as cold as a demon\when it comes to stuff like that. response:	Anyway, I'm surprised you allowed this, Dad.
context: What the hell are you doing?\I guess Yukino really goes for looks.\Or like, I don't think she acknowledges anyone below her level.\She's not that interested in guys in the first place.\I'm sure she sees most guys as nothing more than paper dolls.\You can say that again. She's as cold as a demon\when it comes to stuff like that.\Anyway, I'm surprised you allowed this, Dad. response:	Well, you see...
context: I guess Yukino really goes for looks.\Or like, I don't think she acknowledges anyone below her level.\She's not that interested in guys in the first place.\I'm sure she sees most guys as nothing more than paper dolls.\You can say that again. She's as cold as a demon\when it comes to stuff like that.\Anyway, I'm surprised you allowed this, Dad.\Well, you see... response:	A guy like that may never appear in Yukino's life again.
context: Or like, I don't think she acknowledges anyone below her level.\She's not that interested in guys in the first place.\I'm sure she sees most guys as nothing more than paper dolls.\You can say that again. She's as cold as a demon\when it comes to stuff like that.\Anyway, I'm surprised you allowed this, Dad.\Well, you see...\A guy like that may never appear in Yukino's life again. response:	I see, a keeper, is he?
context: She's not that interested in guys in the first place.\I'm sure she sees most guys as nothing more than paper dolls.\You can say that again. She's as cold as a demon\when it comes to stuff like that.\Anyway, I'm surprised you allowed this, Dad.\Well, you see...\A guy like that may never appear in Yukino's life again.\I see, a keeper, is he? response:	Parents are such schemers.
context: I'm sure she sees most guys as nothing more than paper dolls.\You can say that again. She's as cold as a demon\when it comes to stuff like that.\Anyway, I'm surprised you allowed this, Dad.\Well, you see...\A guy like that may never appear in Yukino's life again.\I see, a keeper, is he?\Parents are such schemers. response:	But I hear Aririn's family operates a big hospital.
context: You can say that again. She's as cold as a demon\when it comes to stuff like that.\Anyway, I'm surprised you allowed this, Dad.\Well, you see...\A guy like that may never appear in Yukino's life again.\I see, a keeper, is he?\Parents are such schemers.\But I hear Aririn's family operates a big hospital. response:	No way! For real?
context: when it comes to stuff like that.\Anyway, I'm surprised you allowed this, Dad.\Well, you see...\A guy like that may never appear in Yukino's life again.\I see, a keeper, is he?\Parents are such schemers.\But I hear Aririn's family operates a big hospital.\No way! For real? response:	So if I tell them that
context: Anyway, I'm surprised you allowed this, Dad.\Well, you see...\A guy like that may never appear in Yukino's life again.\I see, a keeper, is he?\Parents are such schemers.\But I hear Aririn's family operates a big hospital.\No way! For real?\So if I tell them that response:	my daughter is a friend of his,
context: Well, you see...\A guy like that may never appear in Yukino's life again.\I see, a keeper, is he?\Parents are such schemers.\But I hear Aririn's family operates a big hospital.\No way! For real?\So if I tell them that\my daughter is a friend of his, response:	maybe they'll give me a discount.
context: A guy like that may never appear in Yukino's life again.\I see, a keeper, is he?\Parents are such schemers.\But I hear Aririn's family operates a big hospital.\No way! For real?\So if I tell them that\my daughter is a friend of his,\maybe they'll give me a discount. response:	Right! Next time, let's all go together!
context: I see, a keeper, is he?\Parents are such schemers.\But I hear Aririn's family operates a big hospital.\No way! For real?\So if I tell them that\my daughter is a friend of his,\maybe they'll give me a discount.\Right! Next time, let's all go together! response:	But we're all perfectly healthy!
context: Parents are such schemers.\But I hear Aririn's family operates a big hospital.\No way! For real?\So if I tell them that\my daughter is a friend of his,\maybe they'll give me a discount.\Right! Next time, let's all go together!\But we're all perfectly healthy! response:	Miyazawa, don't worry, I don't mind...
context: But I hear Aririn's family operates a big hospital.\No way! For real?\So if I tell them that\my daughter is a friend of his,\maybe they'll give me a discount.\Right! Next time, let's all go together!\But we're all perfectly healthy!\Miyazawa, don't worry, I don't mind... response:	Why the hell does my family have to be so DUMB?!
context: No way! For real?\So if I tell them that\my daughter is a friend of his,\maybe they'll give me a discount.\Right! Next time, let's all go together!\But we're all perfectly healthy!\Miyazawa, don't worry, I don't mind...\Why the hell does my family have to be so DUMB?! response:	That was so embarassing.
context: So if I tell them that\my daughter is a friend of his,\maybe they'll give me a discount.\Right! Next time, let's all go together!\But we're all perfectly healthy!\Miyazawa, don't worry, I don't mind...\Why the hell does my family have to be so DUMB?!\That was so embarassing. response:	But it was fun too.
context: my daughter is a friend of his,\maybe they'll give me a discount.\Right! Next time, let's all go together!\But we're all perfectly healthy!\Miyazawa, don't worry, I don't mind...\Why the hell does my family have to be so DUMB?!\That was so embarassing.\But it was fun too. response:	Up until then, he laughed a lot
context: maybe they'll give me a discount.\Right! Next time, let's all go together!\But we're all perfectly healthy!\Miyazawa, don't worry, I don't mind...\Why the hell does my family have to be so DUMB?!\That was so embarassing.\But it was fun too.\Up until then, he laughed a lot response:	and was with me a lot of the time.
context: Right! Next time, let's all go together!\But we're all perfectly healthy!\Miyazawa, don't worry, I don't mind...\Why the hell does my family have to be so DUMB?!\That was so embarassing.\But it was fun too.\Up until then, he laughed a lot\and was with me a lot of the time. response:	But this week, he became cold all of a sudden,
context: But we're all perfectly healthy!\Miyazawa, don't worry, I don't mind...\Why the hell does my family have to be so DUMB?!\That was so embarassing.\But it was fun too.\Up until then, he laughed a lot\and was with me a lot of the time.\But this week, he became cold all of a sudden, response:	and barely speaks to me at all.
context: Miyazawa, don't worry, I don't mind...\Why the hell does my family have to be so DUMB?!\That was so embarassing.\But it was fun too.\Up until then, he laughed a lot\and was with me a lot of the time.\But this week, he became cold all of a sudden,\and barely speaks to me at all. response:	I wonder if it's something I did.
context: Why the hell does my family have to be so DUMB?!\That was so embarassing.\But it was fun too.\Up until then, he laughed a lot\and was with me a lot of the time.\But this week, he became cold all of a sudden,\and barely speaks to me at all.\I wonder if it's something I did. response:	Arima.
context: That was so embarassing.\But it was fun too.\Up until then, he laughed a lot\and was with me a lot of the time.\But this week, he became cold all of a sudden,\and barely speaks to me at all.\I wonder if it's something I did.\Arima. response:	Yeah, what?
context: But it was fun too.\Up until then, he laughed a lot\and was with me a lot of the time.\But this week, he became cold all of a sudden,\and barely speaks to me at all.\I wonder if it's something I did.\Arima.\Yeah, what? response:	Um, I was asked to give this to you.
context: Up until then, he laughed a lot\and was with me a lot of the time.\But this week, he became cold all of a sudden,\and barely speaks to me at all.\I wonder if it's something I did.\Arima.\Yeah, what?\Um, I was asked to give this to you. response:	Thanks.
context: and was with me a lot of the time.\But this week, he became cold all of a sudden,\and barely speaks to me at all.\I wonder if it's something I did.\Arima.\Yeah, what?\Um, I was asked to give this to you.\Thanks. response:	This is different.
context: But this week, he became cold all of a sudden,\and barely speaks to me at all.\I wonder if it's something I did.\Arima.\Yeah, what?\Um, I was asked to give this to you.\Thanks.\This is different. response:	This is...rejection.
context: and barely speaks to me at all.\I wonder if it's something I did.\Arima.\Yeah, what?\Um, I was asked to give this to you.\Thanks.\This is different.\This is...rejection. response:	Why?
context: I wonder if it's something I did.\Arima.\Yeah, what?\Um, I was asked to give this to you.\Thanks.\This is different.\This is...rejection.\Why? response:	We were friends until last week!
context: Arima.\Yeah, what?\Um, I was asked to give this to you.\Thanks.\This is different.\This is...rejection.\Why?\We were friends until last week! response:	How'd it get this way?
context: Yeah, what?\Um, I was asked to give this to you.\Thanks.\This is different.\This is...rejection.\Why?\We were friends until last week!\How'd it get this way? response:	I became afraid.
context: Um, I was asked to give this to you.\Thanks.\This is different.\This is...rejection.\Why?\We were friends until last week!\How'd it get this way?\I became afraid. response:	I don't know why these things happen.
context: Thanks.\This is different.\This is...rejection.\Why?\We were friends until last week!\How'd it get this way?\I became afraid.\I don't know why these things happen. response:	I realized then for the first time how clueless I am.
context: This is different.\This is...rejection.\Why?\We were friends until last week!\How'd it get this way?\I became afraid.\I don't know why these things happen.\I realized then for the first time how clueless I am. response:	I've always just
