context: Good morning! response:	It's 8:15 on November 5th!
context: there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you response:	Secret kills for you
context: My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you response:	Secret image for you
context: My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you response:	Secret image for you
context: and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you response:	Don't show me a dark future
context: and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future response:	Don't show me a dark future
context: Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future response:	with this gaudy land
context: Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land response:	with this gaudy land
context: Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land response:	Show me a way to fade
context: Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade response:	Show me a way to fade
context: Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade response:	I'm not on the day shift today... right?
context: Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\I'm not on the day shift today... right? response:	You're meeting up with Funahara Yuki and Minase Kaori at Akebonobashi Station at 11:00.
context: Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\I'm not on the day shift today... right?\You're meeting up with Funahara Yuki and Minase Kaori at Akebonobashi Station at 11:00. response:	At 14:30, you start second shift duty at the Public Safety Bureau.
context: Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\I'm not on the day shift today... right?\You're meeting up with Funahara Yuki and Minase Kaori at Akebonobashi Station at 11:00.\At 14:30, you start second shift duty at the Public Safety Bureau. response:	Oh, that's right.
context: with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\I'm not on the day shift today... right?\You're meeting up with Funahara Yuki and Minase Kaori at Akebonobashi Station at 11:00.\At 14:30, you start second shift duty at the Public Safety Bureau.\Oh, that's right. response:	What's your room preference today?
context: with this gaudy land\Show me a way to fade\Show me a way to fade\I'm not on the day shift today... right?\You're meeting up with Funahara Yuki and Minase Kaori at Akebonobashi Station at 11:00.\At 14:30, you start second shift duty at the Public Safety Bureau.\Oh, that's right.\What's your room preference today? response:	Victor Horta's Hotel Tassel.
context: Show me a way to fade\Show me a way to fade\I'm not on the day shift today... right?\You're meeting up with Funahara Yuki and Minase Kaori at Akebonobashi Station at 11:00.\At 14:30, you start second shift duty at the Public Safety Bureau.\Oh, that's right.\What's your room preference today?\Victor Horta's Hotel Tassel. response:	Okay! I'll use the library as reference!
context: Show me a way to fade\I'm not on the day shift today... right?\You're meeting up with Funahara Yuki and Minase Kaori at Akebonobashi Station at 11:00.\At 14:30, you start second shift duty at the Public Safety Bureau.\Oh, that's right.\What's your room preference today?\Victor Horta's Hotel Tassel.\Okay! I'll use the library as reference! response:	02: Those Capable
context: I'm not on the day shift today... right?\You're meeting up with Funahara Yuki and Minase Kaori at Akebonobashi Station at 11:00.\At 14:30, you start second shift duty at the Public Safety Bureau.\Oh, that's right.\What's your room preference today?\Victor Horta's Hotel Tassel.\Okay! I'll use the library as reference!\02: Those Capable response:	Your dietary intake yesterday was 2200 kilocalories in total.
context: You're meeting up with Funahara Yuki and Minase Kaori at Akebonobashi Station at 11:00.\At 14:30, you start second shift duty at the Public Safety Bureau.\Oh, that's right.\What's your room preference today?\Victor Horta's Hotel Tassel.\Okay! I'll use the library as reference!\02: Those Capable\Your dietary intake yesterday was 2200 kilocalories in total. response:	The recommended amount for today's breakfast is 240 kilocalories.
context: At 14:30, you start second shift duty at the Public Safety Bureau.\Oh, that's right.\What's your room preference today?\Victor Horta's Hotel Tassel.\Okay! I'll use the library as reference!\02: Those Capable\Your dietary intake yesterday was 2200 kilocalories in total.\The recommended amount for today's breakfast is 240 kilocalories. response:	I'll have a 200 kilocalorie Chinese-flavored breakfast.
context: Oh, that's right.\What's your room preference today?\Victor Horta's Hotel Tassel.\Okay! I'll use the library as reference!\02: Those Capable\Your dietary intake yesterday was 2200 kilocalories in total.\The recommended amount for today's breakfast is 240 kilocalories.\I'll have a 200 kilocalorie Chinese-flavored breakfast. response:	Certainly!
context: What's your room preference today?\Victor Horta's Hotel Tassel.\Okay! I'll use the library as reference!\02: Those Capable\Your dietary intake yesterday was 2200 kilocalories in total.\The recommended amount for today's breakfast is 240 kilocalories.\I'll have a 200 kilocalorie Chinese-flavored breakfast.\Certainly! response:	It was my very first day on the job...
context: Victor Horta's Hotel Tassel.\Okay! I'll use the library as reference!\02: Those Capable\Your dietary intake yesterday was 2200 kilocalories in total.\The recommended amount for today's breakfast is 240 kilocalories.\I'll have a 200 kilocalorie Chinese-flavored breakfast.\Certainly!\It was my very first day on the job... response:	Why me? What'd I do?
context: Okay! I'll use the library as reference!\02: Those Capable\Your dietary intake yesterday was 2200 kilocalories in total.\The recommended amount for today's breakfast is 240 kilocalories.\I'll have a 200 kilocalorie Chinese-flavored breakfast.\Certainly!\It was my very first day on the job...\Why me? What'd I do? response:	Today's weather will be morning clouds giving way to sunny skies.
context: 02: Those Capable\Your dietary intake yesterday was 2200 kilocalories in total.\The recommended amount for today's breakfast is 240 kilocalories.\I'll have a 200 kilocalorie Chinese-flavored breakfast.\Certainly!\It was my very first day on the job...\Why me? What'd I do?\Today's weather will be morning clouds giving way to sunny skies. response:	There is a 0 chance of precipitation.
context: Your dietary intake yesterday was 2200 kilocalories in total.\The recommended amount for today's breakfast is 240 kilocalories.\I'll have a 200 kilocalorie Chinese-flavored breakfast.\Certainly!\It was my very first day on the job...\Why me? What'd I do?\Today's weather will be morning clouds giving way to sunny skies.\There is a 0 chance of precipitation. response:	The anticipated group stress in the Shinjuku ward is Level 3.
context: The recommended amount for today's breakfast is 240 kilocalories.\I'll have a 200 kilocalorie Chinese-flavored breakfast.\Certainly!\It was my very first day on the job...\Why me? What'd I do?\Today's weather will be morning clouds giving way to sunny skies.\There is a 0 chance of precipitation.\The anticipated group stress in the Shinjuku ward is Level 3. response:	I recommend taking a supplement to prevent mental contamination.
context: I'll have a 200 kilocalorie Chinese-flavored breakfast.\Certainly!\It was my very first day on the job...\Why me? What'd I do?\Today's weather will be morning clouds giving way to sunny skies.\There is a 0 chance of precipitation.\The anticipated group stress in the Shinjuku ward is Level 3.\I recommend taking a supplement to prevent mental contamination. response:	I guess this'll do.
context: Certainly!\It was my very first day on the job...\Why me? What'd I do?\Today's weather will be morning clouds giving way to sunny skies.\There is a 0 chance of precipitation.\The anticipated group stress in the Shinjuku ward is Level 3.\I recommend taking a supplement to prevent mental contamination.\I guess this'll do. response:	All right, see you later.
context: It was my very first day on the job...\Why me? What'd I do?\Today's weather will be morning clouds giving way to sunny skies.\There is a 0 chance of precipitation.\The anticipated group stress in the Shinjuku ward is Level 3.\I recommend taking a supplement to prevent mental contamination.\I guess this'll do.\All right, see you later. response:	Take care!
context: Why me? What'd I do?\Today's weather will be morning clouds giving way to sunny skies.\There is a 0 chance of precipitation.\The anticipated group stress in the Shinjuku ward is Level 3.\I recommend taking a supplement to prevent mental contamination.\I guess this'll do.\All right, see you later.\Take care! response:	So...
context: Today's weather will be morning clouds giving way to sunny skies.\There is a 0 chance of precipitation.\The anticipated group stress in the Shinjuku ward is Level 3.\I recommend taking a supplement to prevent mental contamination.\I guess this'll do.\All right, see you later.\Take care!\So... response:	You messed up, huh?
context: There is a 0 chance of precipitation.\The anticipated group stress in the Shinjuku ward is Level 3.\I recommend taking a supplement to prevent mental contamination.\I guess this'll do.\All right, see you later.\Take care!\So...\You messed up, huh? response:	Yeah... though I can't give you the details
context: The anticipated group stress in the Shinjuku ward is Level 3.\I recommend taking a supplement to prevent mental contamination.\I guess this'll do.\All right, see you later.\Take care!\So...\You messed up, huh?\Yeah... though I can't give you the details response:	since I work for the Public Safety Bureau and all.
context: I recommend taking a supplement to prevent mental contamination.\I guess this'll do.\All right, see you later.\Take care!\So...\You messed up, huh?\Yeah... though I can't give you the details\since I work for the Public Safety Bureau and all. response:	I don't know much about these things,
context: I guess this'll do.\All right, see you later.\Take care!\So...\You messed up, huh?\Yeah... though I can't give you the details\since I work for the Public Safety Bureau and all.\I don't know much about these things, response:	but what you did wasn't in violation of your duties, right?
context: All right, see you later.\Take care!\So...\You messed up, huh?\Yeah... though I can't give you the details\since I work for the Public Safety Bureau and all.\I don't know much about these things,\but what you did wasn't in violation of your duties, right? response:	I guess not.
context: Take care!\So...\You messed up, huh?\Yeah... though I can't give you the details\since I work for the Public Safety Bureau and all.\I don't know much about these things,\but what you did wasn't in violation of your duties, right?\I guess not. response:	Then you don't have to worry about it, right?
context: So...\You messed up, huh?\Yeah... though I can't give you the details\since I work for the Public Safety Bureau and all.\I don't know much about these things,\but what you did wasn't in violation of your duties, right?\I guess not.\Then you don't have to worry about it, right? response:	Besides, your Psycho-Pass isn't that clouded either.
context: You messed up, huh?\Yeah... though I can't give you the details\since I work for the Public Safety Bureau and all.\I don't know much about these things,\but what you did wasn't in violation of your duties, right?\I guess not.\Then you don't have to worry about it, right?\Besides, your Psycho-Pass isn't that clouded either. response:	I guess that means you're not that bothered by it after all?
context: Yeah... though I can't give you the details\since I work for the Public Safety Bureau and all.\I don't know much about these things,\but what you did wasn't in violation of your duties, right?\I guess not.\Then you don't have to worry about it, right?\Besides, your Psycho-Pass isn't that clouded either.\I guess that means you're not that bothered by it after all? response:	C'mon, don't be mean!
context: since I work for the Public Safety Bureau and all.\I don't know much about these things,\but what you did wasn't in violation of your duties, right?\I guess not.\Then you don't have to worry about it, right?\Besides, your Psycho-Pass isn't that clouded either.\I guess that means you're not that bothered by it after all?\C'mon, don't be mean! response:	I didn't get a wink of sleep last night.
context: I don't know much about these things,\but what you did wasn't in violation of your duties, right?\I guess not.\Then you don't have to worry about it, right?\Besides, your Psycho-Pass isn't that clouded either.\I guess that means you're not that bothered by it after all?\C'mon, don't be mean!\I didn't get a wink of sleep last night. response:	I'm surprised the Hue Check showed such a clear color for you, considering what you went through.
context: but what you did wasn't in violation of your duties, right?\I guess not.\Then you don't have to worry about it, right?\Besides, your Psycho-Pass isn't that clouded either.\I guess that means you're not that bothered by it after all?\C'mon, don't be mean!\I didn't get a wink of sleep last night.\I'm surprised the Hue Check showed such a clear color for you, considering what you went through. response:	You don't give yourself much psychological care,
context: I guess not.\Then you don't have to worry about it, right?\Besides, your Psycho-Pass isn't that clouded either.\I guess that means you're not that bothered by it after all?\C'mon, don't be mean!\I didn't get a wink of sleep last night.\I'm surprised the Hue Check showed such a clear color for you, considering what you went through.\You don't give yourself much psychological care, response:	and yet you're such a mental beauty.
context: Then you don't have to worry about it, right?\Besides, your Psycho-Pass isn't that clouded either.\I guess that means you're not that bothered by it after all?\C'mon, don't be mean!\I didn't get a wink of sleep last night.\I'm surprised the Hue Check showed such a clear color for you, considering what you went through.\You don't give yourself much psychological care,\and yet you're such a mental beauty. response:	How do you stay so healthy?
context: Besides, your Psycho-Pass isn't that clouded either.\I guess that means you're not that bothered by it after all?\C'mon, don't be mean!\I didn't get a wink of sleep last night.\I'm surprised the Hue Check showed such a clear color for you, considering what you went through.\You don't give yourself much psychological care,\and yet you're such a mental beauty.\How do you stay so healthy? response:	Well... Maybe I'm just thick-skinned, you know?
context: I guess that means you're not that bothered by it after all?\C'mon, don't be mean!\I didn't get a wink of sleep last night.\I'm surprised the Hue Check showed such a clear color for you, considering what you went through.\You don't give yourself much psychological care,\and yet you're such a mental beauty.\How do you stay so healthy?\Well... Maybe I'm just thick-skinned, you know? response:	God really is unfair.
context: C'mon, don't be mean!\I didn't get a wink of sleep last night.\I'm surprised the Hue Check showed such a clear color for you, considering what you went through.\You don't give yourself much psychological care,\and yet you're such a mental beauty.\How do you stay so healthy?\Well... Maybe I'm just thick-skinned, you know?\God really is unfair. response:	You said it.
context: I didn't get a wink of sleep last night.\I'm surprised the Hue Check showed such a clear color for you, considering what you went through.\You don't give yourself much psychological care,\and yet you're such a mental beauty.\How do you stay so healthy?\Well... Maybe I'm just thick-skinned, you know?\God really is unfair.\You said it. response:	I-In any case... It's not that I doubt the Sibyl System,
context: I'm surprised the Hue Check showed such a clear color for you, considering what you went through.\You don't give yourself much psychological care,\and yet you're such a mental beauty.\How do you stay so healthy?\Well... Maybe I'm just thick-skinned, you know?\God really is unfair.\You said it.\I-In any case... It's not that I doubt the Sibyl System, response:	but I wonder if a career at the Public Safety Bureau is really right for me.
context: You don't give yourself much psychological care,\and yet you're such a mental beauty.\How do you stay so healthy?\Well... Maybe I'm just thick-skinned, you know?\God really is unfair.\You said it.\I-In any case... It's not that I doubt the Sibyl System,\but I wonder if a career at the Public Safety Bureau is really right for me. response:	Jeez, you're lucky to even have the choice!
context: and yet you're such a mental beauty.\How do you stay so healthy?\Well... Maybe I'm just thick-skinned, you know?\God really is unfair.\You said it.\I-In any case... It's not that I doubt the Sibyl System,\but I wonder if a career at the Public Safety Bureau is really right for me.\Jeez, you're lucky to even have the choice! response:	I know you like to speak without thinking, but that's pushing it even for you!
context: How do you stay so healthy?\Well... Maybe I'm just thick-skinned, you know?\God really is unfair.\You said it.\I-In any case... It's not that I doubt the Sibyl System,\but I wonder if a career at the Public Safety Bureau is really right for me.\Jeez, you're lucky to even have the choice!\I know you like to speak without thinking, but that's pushing it even for you! response:	To start with, you were found to have an aptitude for jobs
context: Well... Maybe I'm just thick-skinned, you know?\God really is unfair.\You said it.\I-In any case... It's not that I doubt the Sibyl System,\but I wonder if a career at the Public Safety Bureau is really right for me.\Jeez, you're lucky to even have the choice!\I know you like to speak without thinking, but that's pushing it even for you!\To start with, you were found to have an aptitude for jobs response:	at the Ministry of Economy and the Ministry of Technology,
context: God really is unfair.\You said it.\I-In any case... It's not that I doubt the Sibyl System,\but I wonder if a career at the Public Safety Bureau is really right for me.\Jeez, you're lucky to even have the choice!\I know you like to speak without thinking, but that's pushing it even for you!\To start with, you were found to have an aptitude for jobs\at the Ministry of Economy and the Ministry of Technology, response:	and yet you rejected them both and picked the Public Safety Bureau, right?
context: You said it.\I-In any case... It's not that I doubt the Sibyl System,\but I wonder if a career at the Public Safety Bureau is really right for me.\Jeez, you're lucky to even have the choice!\I know you like to speak without thinking, but that's pushing it even for you!\To start with, you were found to have an aptitude for jobs\at the Ministry of Economy and the Ministry of Technology,\and yet you rejected them both and picked the Public Safety Bureau, right? response:	The best I could do was C-rank scores across the board.
context: I-In any case... It's not that I doubt the Sibyl System,\but I wonder if a career at the Public Safety Bureau is really right for me.\Jeez, you're lucky to even have the choice!\I know you like to speak without thinking, but that's pushing it even for you!\To start with, you were found to have an aptitude for jobs\at the Ministry of Economy and the Ministry of Technology,\and yet you rejected them both and picked the Public Safety Bureau, right?\The best I could do was C-rank scores across the board. response:	What's the problem? You're good at blue-collar work.
context: but I wonder if a career at the Public Safety Bureau is really right for me.\Jeez, you're lucky to even have the choice!\I know you like to speak without thinking, but that's pushing it even for you!\To start with, you were found to have an aptitude for jobs\at the Ministry of Economy and the Ministry of Technology,\and yet you rejected them both and picked the Public Safety Bureau, right?\The best I could do was C-rank scores across the board.\What's the problem? You're good at blue-collar work. response:	I'm a systems engineer, so my shoulders are always killing me.
context: Jeez, you're lucky to even have the choice!\I know you like to speak without thinking, but that's pushing it even for you!\To start with, you were found to have an aptitude for jobs\at the Ministry of Economy and the Ministry of Technology,\and yet you rejected them both and picked the Public Safety Bureau, right?\The best I could do was C-rank scores across the board.\What's the problem? You're good at blue-collar work.\I'm a systems engineer, so my shoulders are always killing me. response:	Akane, you were an honor student who scored 700 points on the last exam.
context: I know you like to speak without thinking, but that's pushing it even for you!\To start with, you were found to have an aptitude for jobs\at the Ministry of Economy and the Ministry of Technology,\and yet you rejected them both and picked the Public Safety Bureau, right?\The best I could do was C-rank scores across the board.\What's the problem? You're good at blue-collar work.\I'm a systems engineer, so my shoulders are always killing me.\Akane, you were an honor student who scored 700 points on the last exam. response:	You should be able to take on any job with ease, right?
context: To start with, you were found to have an aptitude for jobs\at the Ministry of Economy and the Ministry of Technology,\and yet you rejected them both and picked the Public Safety Bureau, right?\The best I could do was C-rank scores across the board.\What's the problem? You're good at blue-collar work.\I'm a systems engineer, so my shoulders are always killing me.\Akane, you were an honor student who scored 700 points on the last exam.\You should be able to take on any job with ease, right? response:	Sorry. I guess we went a little too far.
context: at the Ministry of Economy and the Ministry of Technology,\and yet you rejected them both and picked the Public Safety Bureau, right?\The best I could do was C-rank scores across the board.\What's the problem? You're good at blue-collar work.\I'm a systems engineer, so my shoulders are always killing me.\Akane, you were an honor student who scored 700 points on the last exam.\You should be able to take on any job with ease, right?\Sorry. I guess we went a little too far. response:	But I think that if anyone can pull off that job, it's you.
context: and yet you rejected them both and picked the Public Safety Bureau, right?\The best I could do was C-rank scores across the board.\What's the problem? You're good at blue-collar work.\I'm a systems engineer, so my shoulders are always killing me.\Akane, you were an honor student who scored 700 points on the last exam.\You should be able to take on any job with ease, right?\Sorry. I guess we went a little too far.\But I think that if anyone can pull off that job, it's you. response:	And not just because of the aptitude the System indicated.
context: The best I could do was C-rank scores across the board.\What's the problem? You're good at blue-collar work.\I'm a systems engineer, so my shoulders are always killing me.\Akane, you were an honor student who scored 700 points on the last exam.\You should be able to take on any job with ease, right?\Sorry. I guess we went a little too far.\But I think that if anyone can pull off that job, it's you.\And not just because of the aptitude the System indicated. response:	As a friend, I know you'll do well.
context: What's the problem? You're good at blue-collar work.\I'm a systems engineer, so my shoulders are always killing me.\Akane, you were an honor student who scored 700 points on the last exam.\You should be able to take on any job with ease, right?\Sorry. I guess we went a little too far.\But I think that if anyone can pull off that job, it's you.\And not just because of the aptitude the System indicated.\As a friend, I know you'll do well. response:	That which needs to be done is carried out by those capable of doing it.
context: I'm a systems engineer, so my shoulders are always killing me.\Akane, you were an honor student who scored 700 points on the last exam.\You should be able to take on any job with ease, right?\Sorry. I guess we went a little too far.\But I think that if anyone can pull off that job, it's you.\And not just because of the aptitude the System indicated.\As a friend, I know you'll do well.\That which needs to be done is carried out by those capable of doing it. response:	Such is the grace bestowed upon mankind by Sibyl.
context: Akane, you were an honor student who scored 700 points on the last exam.\You should be able to take on any job with ease, right?\Sorry. I guess we went a little too far.\But I think that if anyone can pull off that job, it's you.\And not just because of the aptitude the System indicated.\As a friend, I know you'll do well.\That which needs to be done is carried out by those capable of doing it.\Such is the grace bestowed upon mankind by Sibyl. response:	Just kidding.
context: You should be able to take on any job with ease, right?\Sorry. I guess we went a little too far.\But I think that if anyone can pull off that job, it's you.\And not just because of the aptitude the System indicated.\As a friend, I know you'll do well.\That which needs to be done is carried out by those capable of doing it.\Such is the grace bestowed upon mankind by Sibyl.\Just kidding. response:	Excuse me!
context: Sorry. I guess we went a little too far.\But I think that if anyone can pull off that job, it's you.\And not just because of the aptitude the System indicated.\As a friend, I know you'll do well.\That which needs to be done is carried out by those capable of doing it.\Such is the grace bestowed upon mankind by Sibyl.\Just kidding.\Excuse me! response:	Is Analyst Karanomori Shion here?
context: But I think that if anyone can pull off that job, it's you.\And not just because of the aptitude the System indicated.\As a friend, I know you'll do well.\That which needs to be done is carried out by those capable of doing it.\Such is the grace bestowed upon mankind by Sibyl.\Just kidding.\Excuse me!\Is Analyst Karanomori Shion here? response:	Yeah, yeah. Who are you?
context: And not just because of the aptitude the System indicated.\As a friend, I know you'll do well.\That which needs to be done is carried out by those capable of doing it.\Such is the grace bestowed upon mankind by Sibyl.\Just kidding.\Excuse me!\Is Analyst Karanomori Shion here?\Yeah, yeah. Who are you? response:	I'm Tsunemori Akane. I've been assigned to the CID as of yesterday.
context: As a friend, I know you'll do well.\That which needs to be done is carried out by those capable of doing it.\Such is the grace bestowed upon mankind by Sibyl.\Just kidding.\Excuse me!\Is Analyst Karanomori Shion here?\Yeah, yeah. Who are you?\I'm Tsunemori Akane. I've been assigned to the CID as of yesterday. response:	Oh! You're the new Inspector who shot Shinya, aren't you?
context: That which needs to be done is carried out by those capable of doing it.\Such is the grace bestowed upon mankind by Sibyl.\Just kidding.\Excuse me!\Is Analyst Karanomori Shion here?\Yeah, yeah. Who are you?\I'm Tsunemori Akane. I've been assigned to the CID as of yesterday.\Oh! You're the new Inspector who shot Shinya, aren't you? response:	Wow... You're a lot cuter than I thought.
