context: Hey, you! response:	How are All Might's classes?
context: Apparently, there are sensors all over the school.\What the heck?!\They think they're so high and mighty!\They could at least give a brief comment!\You said it, seriously!\We've been here for two days, and they still won't say anything!\The news that All Might had been hired as a teacher at U.A.\surprised the nation... response:	Everyone knew about it.
context: What the heck?!\They think they're so high and mighty!\They could at least give a brief comment!\You said it, seriously!\We've been here for two days, and they still won't say anything!\The news that All Might had been hired as a teacher at U.A.\surprised the nation...\Everyone knew about it. response:	Yeah... everyone.
context: They think they're so high and mighty!\They could at least give a brief comment!\You said it, seriously!\We've been here for two days, and they still won't say anything!\The news that All Might had been hired as a teacher at U.A.\surprised the nation...\Everyone knew about it.\Yeah... everyone. response:	Good work on yesterday's combat training.
context: They could at least give a brief comment!\You said it, seriously!\We've been here for two days, and they still won't say anything!\The news that All Might had been hired as a teacher at U.A.\surprised the nation...\Everyone knew about it.\Yeah... everyone.\Good work on yesterday's combat training. response:	I saw the video and results.
context: You said it, seriously!\We've been here for two days, and they still won't say anything!\The news that All Might had been hired as a teacher at U.A.\surprised the nation...\Everyone knew about it.\Yeah... everyone.\Good work on yesterday's combat training.\I saw the video and results. response:	Bakugou.
context: We've been here for two days, and they still won't say anything!\The news that All Might had been hired as a teacher at U.A.\surprised the nation...\Everyone knew about it.\Yeah... everyone.\Good work on yesterday's combat training.\I saw the video and results.\Bakugou. response:	You're talented, so don't act like a kid.
context: The news that All Might had been hired as a teacher at U.A.\surprised the nation...\Everyone knew about it.\Yeah... everyone.\Good work on yesterday's combat training.\I saw the video and results.\Bakugou.\You're talented, so don't act like a kid. response:	I know.
context: surprised the nation...\Everyone knew about it.\Yeah... everyone.\Good work on yesterday's combat training.\I saw the video and results.\Bakugou.\You're talented, so don't act like a kid.\I know. response:	And Midoriya...
context: Everyone knew about it.\Yeah... everyone.\Good work on yesterday's combat training.\I saw the video and results.\Bakugou.\You're talented, so don't act like a kid.\I know.\And Midoriya... response:	You settled it by breaking your arm again, huh?
context: Yeah... everyone.\Good work on yesterday's combat training.\I saw the video and results.\Bakugou.\You're talented, so don't act like a kid.\I know.\And Midoriya...\You settled it by breaking your arm again, huh? response:	You can't keep saying you can't help it because you can't control your Quirk.
context: Good work on yesterday's combat training.\I saw the video and results.\Bakugou.\You're talented, so don't act like a kid.\I know.\And Midoriya...\You settled it by breaking your arm again, huh?\You can't keep saying you can't help it because you can't control your Quirk. response:	I don't like saying the same thing over and over.
context: I saw the video and results.\Bakugou.\You're talented, so don't act like a kid.\I know.\And Midoriya...\You settled it by breaking your arm again, huh?\You can't keep saying you can't help it because you can't control your Quirk.\I don't like saying the same thing over and over. response:	As long as you fix the control issue, there's a lot you'll be able to do.
context: Bakugou.\You're talented, so don't act like a kid.\I know.\And Midoriya...\You settled it by breaking your arm again, huh?\You can't keep saying you can't help it because you can't control your Quirk.\I don't like saying the same thing over and over.\As long as you fix the control issue, there's a lot you'll be able to do. response:	Feel a sense of urgency, Midoriya.
context: You're talented, so don't act like a kid.\I know.\And Midoriya...\You settled it by breaking your arm again, huh?\You can't keep saying you can't help it because you can't control your Quirk.\I don't like saying the same thing over and over.\As long as you fix the control issue, there's a lot you'll be able to do.\Feel a sense of urgency, Midoriya. response:	Yes, sir!
context: I know.\And Midoriya...\You settled it by breaking your arm again, huh?\You can't keep saying you can't help it because you can't control your Quirk.\I don't like saying the same thing over and over.\As long as you fix the control issue, there's a lot you'll be able to do.\Feel a sense of urgency, Midoriya.\Yes, sir! response:	Now let's get down to homeroom business.
context: And Midoriya...\You settled it by breaking your arm again, huh?\You can't keep saying you can't help it because you can't control your Quirk.\I don't like saying the same thing over and over.\As long as you fix the control issue, there's a lot you'll be able to do.\Feel a sense of urgency, Midoriya.\Yes, sir!\Now let's get down to homeroom business. response:	Sorry about the late notice, but today, I'll have you...
context: You settled it by breaking your arm again, huh?\You can't keep saying you can't help it because you can't control your Quirk.\I don't like saying the same thing over and over.\As long as you fix the control issue, there's a lot you'll be able to do.\Feel a sense of urgency, Midoriya.\Yes, sir!\Now let's get down to homeroom business.\Sorry about the late notice, but today, I'll have you... response:	It's actually a normal school activity!
context: You can't keep saying you can't help it because you can't control your Quirk.\I don't like saying the same thing over and over.\As long as you fix the control issue, there's a lot you'll be able to do.\Feel a sense of urgency, Midoriya.\Yes, sir!\Now let's get down to homeroom business.\Sorry about the late notice, but today, I'll have you...\It's actually a normal school activity! response:	It's actually a normal school activity!
context: I don't like saying the same thing over and over.\As long as you fix the control issue, there's a lot you'll be able to do.\Feel a sense of urgency, Midoriya.\Yes, sir!\Now let's get down to homeroom business.\Sorry about the late notice, but today, I'll have you...\It's actually a normal school activity!\It's actually a normal school activity! response:	I want to be class rep! Pick me!
context: As long as you fix the control issue, there's a lot you'll be able to do.\Feel a sense of urgency, Midoriya.\Yes, sir!\Now let's get down to homeroom business.\Sorry about the late notice, but today, I'll have you...\It's actually a normal school activity!\It's actually a normal school activity!\I want to be class rep! Pick me! response:	Me tool
context: Feel a sense of urgency, Midoriya.\Yes, sir!\Now let's get down to homeroom business.\Sorry about the late notice, but today, I'll have you...\It's actually a normal school activity!\It's actually a normal school activity!\I want to be class rep! Pick me!\Me tool response:	I want to do it, too.
context: Yes, sir!\Now let's get down to homeroom business.\Sorry about the late notice, but today, I'll have you...\It's actually a normal school activity!\It's actually a normal school activity!\I want to be class rep! Pick me!\Me tool\I want to do it, too. response:	It's a job made for m
context: Now let's get down to homeroom business.\Sorry about the late notice, but today, I'll have you...\It's actually a normal school activity!\It's actually a normal school activity!\I want to be class rep! Pick me!\Me tool\I want to do it, too.\It's a job made for m response:	I'll be the leader!
context: Sorry about the late notice, but today, I'll have you...\It's actually a normal school activity!\It's actually a normal school activity!\I want to be class rep! Pick me!\Me tool\I want to do it, too.\It's a job made for m\I'll be the leader! response:	My manifesto is for all girls' skirts to be 30 centimeters above the knee!
context: It's actually a normal school activity!\It's actually a normal school activity!\I want to be class rep! Pick me!\Me tool\I want to do it, too.\It's a job made for m\I'll be the leader!\My manifesto is for all girls' skirts to be 30 centimeters above the knee! response:	In a normal class, it's about taking on daily duties, so this wouldn't happen.
context: It's actually a normal school activity!\I want to be class rep! Pick me!\Me tool\I want to do it, too.\It's a job made for m\I'll be the leader!\My manifesto is for all girls' skirts to be 30 centimeters above the knee!\In a normal class, it's about taking on daily duties, so this wouldn't happen. response:	In a normal class, students might feel like they're just taking on daily duties, and this wouldn't happen.
context: I want to be class rep! Pick me!\Me tool\I want to do it, too.\It's a job made for m\I'll be the leader!\My manifesto is for all girls' skirts to be 30 centimeters above the knee!\In a normal class, it's about taking on daily duties, so this wouldn't happen.\In a normal class, students might feel like they're just taking on daily duties, and this wouldn't happen. response:	Let me do it! Me!
context: Me tool\I want to do it, too.\It's a job made for m\I'll be the leader!\My manifesto is for all girls' skirts to be 30 centimeters above the knee!\In a normal class, it's about taking on daily duties, so this wouldn't happen.\In a normal class, students might feel like they're just taking on daily duties, and this wouldn't happen.\Let me do it! Me! response:	But here in the hero course,
context: I want to do it, too.\It's a job made for m\I'll be the leader!\My manifesto is for all girls' skirts to be 30 centimeters above the knee!\In a normal class, it's about taking on daily duties, so this wouldn't happen.\In a normal class, students might feel like they're just taking on daily duties, and this wouldn't happen.\Let me do it! Me!\But here in the hero course, response:	it's a role that allows one to practice being a top hero by leading a group.
context: It's a job made for m\I'll be the leader!\My manifesto is for all girls' skirts to be 30 centimeters above the knee!\In a normal class, it's about taking on daily duties, so this wouldn't happen.\In a normal class, students might feel like they're just taking on daily duties, and this wouldn't happen.\Let me do it! Me!\But here in the hero course,\it's a role that allows one to practice being a top hero by leading a group. response:	Silence, please!
context: I'll be the leader!\My manifesto is for all girls' skirts to be 30 centimeters above the knee!\In a normal class, it's about taking on daily duties, so this wouldn't happen.\In a normal class, students might feel like they're just taking on daily duties, and this wouldn't happen.\Let me do it! Me!\But here in the hero course,\it's a role that allows one to practice being a top hero by leading a group.\Silence, please! response:	It is a job with the serious responsibility of leading others!
context: My manifesto is for all girls' skirts to be 30 centimeters above the knee!\In a normal class, it's about taking on daily duties, so this wouldn't happen.\In a normal class, students might feel like they're just taking on daily duties, and this wouldn't happen.\Let me do it! Me!\But here in the hero course,\it's a role that allows one to practice being a top hero by leading a group.\Silence, please!\It is a job with the serious responsibility of leading others! response:	It is not a job for just anyone who wants to do it!
context: In a normal class, it's about taking on daily duties, so this wouldn't happen.\In a normal class, students might feel like they're just taking on daily duties, and this wouldn't happen.\Let me do it! Me!\But here in the hero course,\it's a role that allows one to practice being a top hero by leading a group.\Silence, please!\It is a job with the serious responsibility of leading others!\It is not a job for just anyone who wants to do it! response:	It is a calling that requires the trust of those around you!
context: In a normal class, students might feel like they're just taking on daily duties, and this wouldn't happen.\Let me do it! Me!\But here in the hero course,\it's a role that allows one to practice being a top hero by leading a group.\Silence, please!\It is a job with the serious responsibility of leading others!\It is not a job for just anyone who wants to do it!\It is a calling that requires the trust of those around you! response:	If we want to use democracy to decide on a true leader...
context: Let me do it! Me!\But here in the hero course,\it's a role that allows one to practice being a top hero by leading a group.\Silence, please!\It is a job with the serious responsibility of leading others!\It is not a job for just anyone who wants to do it!\It is a calling that requires the trust of those around you!\If we want to use democracy to decide on a true leader... response:	Your hand is raised the highest!
context: But here in the hero course,\it's a role that allows one to practice being a top hero by leading a group.\Silence, please!\It is a job with the serious responsibility of leading others!\It is not a job for just anyone who wants to do it!\It is a calling that requires the trust of those around you!\If we want to use democracy to decide on a true leader...\Your hand is raised the highest! response:	Your hand is raised the highest!
context: it's a role that allows one to practice being a top hero by leading a group.\Silence, please!\It is a job with the serious responsibility of leading others!\It is not a job for just anyone who wants to do it!\It is a calling that requires the trust of those around you!\If we want to use democracy to decide on a true leader...\Your hand is raised the highest!\Your hand is raised the highest! response:	Why did you suggest that?
context: Silence, please!\It is a job with the serious responsibility of leading others!\It is not a job for just anyone who wants to do it!\It is a calling that requires the trust of those around you!\If we want to use democracy to decide on a true leader...\Your hand is raised the highest!\Your hand is raised the highest!\Why did you suggest that? response:	We haven't known each other for that long, so how can we have trust or anything?
context: It is a job with the serious responsibility of leading others!\It is not a job for just anyone who wants to do it!\It is a calling that requires the trust of those around you!\If we want to use democracy to decide on a true leader...\Your hand is raised the highest!\Your hand is raised the highest!\Why did you suggest that?\We haven't known each other for that long, so how can we have trust or anything? response:	If that's the case, and everyone votes for themselves...
context: It is not a job for just anyone who wants to do it!\It is a calling that requires the trust of those around you!\If we want to use democracy to decide on a true leader...\Your hand is raised the highest!\Your hand is raised the highest!\Why did you suggest that?\We haven't known each other for that long, so how can we have trust or anything?\If that's the case, and everyone votes for themselves... response:	Don't you think that is precisely why whoever receives multiple votes here
context: It is a calling that requires the trust of those around you!\If we want to use democracy to decide on a true leader...\Your hand is raised the highest!\Your hand is raised the highest!\Why did you suggest that?\We haven't known each other for that long, so how can we have trust or anything?\If that's the case, and everyone votes for themselves...\Don't you think that is precisely why whoever receives multiple votes here response:	can be truly considered the most suitable person?!
context: If we want to use democracy to decide on a true leader...\Your hand is raised the highest!\Your hand is raised the highest!\Why did you suggest that?\We haven't known each other for that long, so how can we have trust or anything?\If that's the case, and everyone votes for themselves...\Don't you think that is precisely why whoever receives multiple votes here\can be truly considered the most suitable person?! response:	What do you think, teacher?!
context: Your hand is raised the highest!\Your hand is raised the highest!\Why did you suggest that?\We haven't known each other for that long, so how can we have trust or anything?\If that's the case, and everyone votes for themselves...\Don't you think that is precisely why whoever receives multiple votes here\can be truly considered the most suitable person?!\What do you think, teacher?! response:	I don't care, as long as you decide before homeroom is over.
context: Your hand is raised the highest!\Why did you suggest that?\We haven't known each other for that long, so how can we have trust or anything?\If that's the case, and everyone votes for themselves...\Don't you think that is precisely why whoever receives multiple votes here\can be truly considered the most suitable person?!\What do you think, teacher?!\I don't care, as long as you decide before homeroom is over. response:	Thank you very much!
context: Why did you suggest that?\We haven't known each other for that long, so how can we have trust or anything?\If that's the case, and everyone votes for themselves...\Don't you think that is precisely why whoever receives multiple votes here\can be truly considered the most suitable person?!\What do you think, teacher?!\I don't care, as long as you decide before homeroom is over.\Thank you very much! response:	I got three votes?!
context: We haven't known each other for that long, so how can we have trust or anything?\If that's the case, and everyone votes for themselves...\Don't you think that is precisely why whoever receives multiple votes here\can be truly considered the most suitable person?!\What do you think, teacher?!\I don't care, as long as you decide before homeroom is over.\Thank you very much!\I got three votes?! response:	Why Deku?!
context: If that's the case, and everyone votes for themselves...\Don't you think that is precisely why whoever receives multiple votes here\can be truly considered the most suitable person?!\What do you think, teacher?!\I don't care, as long as you decide before homeroom is over.\Thank you very much!\I got three votes?!\Why Deku?! response:	Who voted for him?!
context: Don't you think that is precisely why whoever receives multiple votes here\can be truly considered the most suitable person?!\What do you think, teacher?!\I don't care, as long as you decide before homeroom is over.\Thank you very much!\I got three votes?!\Why Deku?!\Who voted for him?! response:	Well, it's better than voting for you.
context: can be truly considered the most suitable person?!\What do you think, teacher?!\I don't care, as long as you decide before homeroom is over.\Thank you very much!\I got three votes?!\Why Deku?!\Who voted for him?!\Well, it's better than voting for you. response:	What did you say?!
context: What do you think, teacher?!\I don't care, as long as you decide before homeroom is over.\Thank you very much!\I got three votes?!\Why Deku?!\Who voted for him?!\Well, it's better than voting for you.\What did you say?! response:	It'll be scary if Bakugou finds out...
context: I don't care, as long as you decide before homeroom is over.\Thank you very much!\I got three votes?!\Why Deku?!\Who voted for him?!\Well, it's better than voting for you.\What did you say?!\It'll be scary if Bakugou finds out... response:	I give up! I give up!
context: Thank you very much!\I got three votes?!\Why Deku?!\Who voted for him?!\Well, it's better than voting for you.\What did you say?!\It'll be scary if Bakugou finds out...\I give up! I give up! response:	Zero votes...
context: I got three votes?!\Why Deku?!\Who voted for him?!\Well, it's better than voting for you.\What did you say?!\It'll be scary if Bakugou finds out...\I give up! I give up!\Zero votes... response:	I knew that would happen...
context: Why Deku?!\Who voted for him?!\Well, it's better than voting for you.\What did you say?!\It'll be scary if Bakugou finds out...\I give up! I give up!\Zero votes...\I knew that would happen... response:	That is only to be expected of a person's calling!
context: Who voted for him?!\Well, it's better than voting for you.\What did you say?!\It'll be scary if Bakugou finds out...\I give up! I give up!\Zero votes...\I knew that would happen...\That is only to be expected of a person's calling! response:	You voted for someone else, huh?
context: Well, it's better than voting for you.\What did you say?!\It'll be scary if Bakugou finds out...\I give up! I give up!\Zero votes...\I knew that would happen...\That is only to be expected of a person's calling!\You voted for someone else, huh? response:	But you wanted to do it, too.
context: What did you say?!\It'll be scary if Bakugou finds out...\I give up! I give up!\Zero votes...\I knew that would happen...\That is only to be expected of a person's calling!\You voted for someone else, huh?\But you wanted to do it, too. response:	What are you trying to do, Iida?
context: It'll be scary if Bakugou finds out...\I give up! I give up!\Zero votes...\I knew that would happen...\That is only to be expected of a person's calling!\You voted for someone else, huh?\But you wanted to do it, too.\What are you trying to do, Iida? response:	Then, the class rep is Midoriya,
context: I give up! I give up!\Zero votes...\I knew that would happen...\That is only to be expected of a person's calling!\You voted for someone else, huh?\But you wanted to do it, too.\What are you trying to do, Iida?\Then, the class rep is Midoriya, response:	and the deputy class rep will be Yaoyorozu.
context: Zero votes...\I knew that would happen...\That is only to be expected of a person's calling!\You voted for someone else, huh?\But you wanted to do it, too.\What are you trying to do, Iida?\Then, the class rep is Midoriya,\and the deputy class rep will be Yaoyorozu. response:	S-S-Seriously?
context: I knew that would happen...\That is only to be expected of a person's calling!\You voted for someone else, huh?\But you wanted to do it, too.\What are you trying to do, Iida?\Then, the class rep is Midoriya,\and the deputy class rep will be Yaoyorozu.\S-S-Seriously? response:	Seriously?
context: That is only to be expected of a person's calling!\You voted for someone else, huh?\But you wanted to do it, too.\What are you trying to do, Iida?\Then, the class rep is Midoriya,\and the deputy class rep will be Yaoyorozu.\S-S-Seriously?\Seriously? response:	How vexing...
context: You voted for someone else, huh?\But you wanted to do it, too.\What are you trying to do, Iida?\Then, the class rep is Midoriya,\and the deputy class rep will be Yaoyorozu.\S-S-Seriously?\Seriously?\How vexing... response:	That might not be too bad.
context: But you wanted to do it, too.\What are you trying to do, Iida?\Then, the class rep is Midoriya,\and the deputy class rep will be Yaoyorozu.\S-S-Seriously?\Seriously?\How vexing...\That might not be too bad. response:	After all's said and done, Midoriya can be pretty fired up, anyway!
context: What are you trying to do, Iida?\Then, the class rep is Midoriya,\and the deputy class rep will be Yaoyorozu.\S-S-Seriously?\Seriously?\How vexing...\That might not be too bad.\After all's said and done, Midoriya can be pretty fired up, anyway! response:	And Yaoyorozu was cool when we were going over the battle results!
context: Then, the class rep is Midoriya,\and the deputy class rep will be Yaoyorozu.\S-S-Seriously?\Seriously?\How vexing...\That might not be too bad.\After all's said and done, Midoriya can be pretty fired up, anyway!\And Yaoyorozu was cool when we were going over the battle results! response:	There are a lot of people today, too!
context: and the deputy class rep will be Yaoyorozu.\S-S-Seriously?\Seriously?\How vexing...\That might not be too bad.\After all's said and done, Midoriya can be pretty fired up, anyway!\And Yaoyorozu was cool when we were going over the battle results!\There are a lot of people today, too! response:	That's because everyone in the hero course,
context: S-S-Seriously?\Seriously?\How vexing...\That might not be too bad.\After all's said and done, Midoriya can be pretty fired up, anyway!\And Yaoyorozu was cool when we were going over the battle results!\There are a lot of people today, too!\That's because everyone in the hero course, response:	support course, and management course meets in the same place.
context: Seriously?\How vexing...\That might not be too bad.\After all's said and done, Midoriya can be pretty fired up, anyway!\And Yaoyorozu was cool when we were going over the battle results!\There are a lot of people today, too!\That's because everyone in the hero course,\support course, and management course meets in the same place. response:	The rice is so delicious!
context: How vexing...\That might not be too bad.\After all's said and done, Midoriya can be pretty fired up, anyway!\And Yaoyorozu was cool when we were going over the battle results!\There are a lot of people today, too!\That's because everyone in the hero course,\support course, and management course meets in the same place.\The rice is so delicious! response:	Even though I've been chosen as class rep, I don't know if I'm qualified for it.
context: That might not be too bad.\After all's said and done, Midoriya can be pretty fired up, anyway!\And Yaoyorozu was cool when we were going over the battle results!\There are a lot of people today, too!\That's because everyone in the hero course,\support course, and management course meets in the same place.\The rice is so delicious!\Even though I've been chosen as class rep, I don't know if I'm qualified for it. response:	You are.
