context: Signs response:	Signs
context: when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way response:	with all of my courage!
context: my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage! response:	My flimsy silky heart.
context: I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart. response:	After meeting you, I finally realised
context: that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised response:	that I'm really clumsy when it comes to love.
context: But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love. response:	The scars from love that I'd almost forgotten
context: I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten response:	have started to ache all of a sudden.
context: So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden. response:	Someday, like how I normally would...
context: of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would... response:	I must say I love you, or else I'll become even weaker.
context: with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker. response:	On the nights I cant sleep
context: My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\On the nights I cant sleep response:	I sigh alone.
context: After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\On the nights I cant sleep\I sigh alone. response:	H ow is everyone?
context: that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\On the nights I cant sleep\I sigh alone.\H ow is everyone? response:	I feel a little lonely.
context: The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\On the nights I cant sleep\I sigh alone.\H ow is everyone?\I feel a little lonely. response:	Within the vast world, a single seed
context: have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\On the nights I cant sleep\I sigh alone.\H ow is everyone?\I feel a little lonely.\Within the vast world, a single seed response:	extended its roots
context: Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\On the nights I cant sleep\I sigh alone.\H ow is everyone?\I feel a little lonely.\Within the vast world, a single seed\extended its roots response:	and put out a fruit that was still unripe.
context: I must say I love you, or else I'll become even weaker.\On the nights I cant sleep\I sigh alone.\H ow is everyone?\I feel a little lonely.\Within the vast world, a single seed\extended its roots\and put out a fruit that was still unripe. response:	The fruit that I wish would turn orange soon
context: On the nights I cant sleep\I sigh alone.\H ow is everyone?\I feel a little lonely.\Within the vast world, a single seed\extended its roots\and put out a fruit that was still unripe.\The fruit that I wish would turn orange soon response:	is bathed in your light.
context: I sigh alone.\H ow is everyone?\I feel a little lonely.\Within the vast world, a single seed\extended its roots\and put out a fruit that was still unripe.\The fruit that I wish would turn orange soon\is bathed in your light. response:	The ideals and dreams just swell -
context: H ow is everyone?\I feel a little lonely.\Within the vast world, a single seed\extended its roots\and put out a fruit that was still unripe.\The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell - response:	H ey, feel it.
context: I feel a little lonely.\Within the vast world, a single seed\extended its roots\and put out a fruit that was still unripe.\The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell -\H ey, feel it. response:	Today, I tried eating an orange
context: Within the vast world, a single seed\extended its roots\and put out a fruit that was still unripe.\The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange response:	but it was so sour I cried.
context: extended its roots\and put out a fruit that was still unripe.\The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried. response:	I couldnt leave it behind like I have been
context: and put out a fruit that was still unripe.\The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried.\I couldnt leave it behind like I have been response:	so I ate it all.
context: The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried.\I couldnt leave it behind like I have been\so I ate it all. response:	I love it I feel like crying.
context: is bathed in your light.\The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried.\I couldnt leave it behind like I have been\so I ate it all.\I love it I feel like crying. response:	I love it I love it.
context: The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried.\I couldnt leave it behind like I have been\so I ate it all.\I love it I feel like crying.\I love it I love it. response:	The Road We Must Advance On
context: H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried.\I couldnt leave it behind like I have been\so I ate it all.\I love it I feel like crying.\I love it I love it.\The Road We Must Advance On response:	Interview room
context: Today, I tried eating an orange\but it was so sour I cried.\I couldnt leave it behind like I have been\so I ate it all.\I love it I feel like crying.\I love it I love it.\The Road We Must Advance On\Interview room response:	I wish to find a job.
context: but it was so sour I cried.\I couldnt leave it behind like I have been\so I ate it all.\I love it I feel like crying.\I love it I love it.\The Road We Must Advance On\Interview room\I wish to find a job. response:	Next Episode Preview
context: I couldnt leave it behind like I have been\so I ate it all.\I love it I feel like crying.\I love it I love it.\The Road We Must Advance On\Interview room\I wish to find a job.\Next Episode Preview response:	Confession
context: so I ate it all.\I love it I feel like crying.\I love it I love it.\The Road We Must Advance On\Interview room\I wish to find a job.\Next Episode Preview\Confession response:	No, no, no, no!
context: I love it I feel like crying.\I love it I love it.\The Road We Must Advance On\Interview room\I wish to find a job.\Next Episode Preview\Confession\No, no, no, no! response:	You don't need to, really!
context: I love it I love it.\The Road We Must Advance On\Interview room\I wish to find a job.\Next Episode Preview\Confession\No, no, no, no!\You don't need to, really! response:	People are eating, so don't do it!
context: The Road We Must Advance On\Interview room\I wish to find a job.\Next Episode Preview\Confession\No, no, no, no!\You don't need to, really!\People are eating, so don't do it! response:	It's better to see it with your own eyes than to hear about it!
context: Interview room\I wish to find a job.\Next Episode Preview\Confession\No, no, no, no!\You don't need to, really!\People are eating, so don't do it!\It's better to see it with your own eyes than to hear about it! response:	Now, see for yourself!
context: I wish to find a job.\Next Episode Preview\Confession\No, no, no, no!\You don't need to, really!\People are eating, so don't do it!\It's better to see it with your own eyes than to hear about it!\Now, see for yourself! response:	It's great, right?
context: Next Episode Preview\Confession\No, no, no, no!\You don't need to, really!\People are eating, so don't do it!\It's better to see it with your own eyes than to hear about it!\Now, see for yourself!\It's great, right? response:	Aisaka is finally back.
context: Confession\No, no, no, no!\You don't need to, really!\People are eating, so don't do it!\It's better to see it with your own eyes than to hear about it!\Now, see for yourself!\It's great, right?\Aisaka is finally back. response:	Yeah, you're right.
context: No, no, no, no!\You don't need to, really!\People are eating, so don't do it!\It's better to see it with your own eyes than to hear about it!\Now, see for yourself!\It's great, right?\Aisaka is finally back.\Yeah, you're right. response:	Hey, why are you girls screaming?
context: You don't need to, really!\People are eating, so don't do it!\It's better to see it with your own eyes than to hear about it!\Now, see for yourself!\It's great, right?\Aisaka is finally back.\Yeah, you're right.\Hey, why are you girls screaming? response:	Speaking of which, Valentine's is nearly here.
context: People are eating, so don't do it!\It's better to see it with your own eyes than to hear about it!\Now, see for yourself!\It's great, right?\Aisaka is finally back.\Yeah, you're right.\Hey, why are you girls screaming?\Speaking of which, Valentine's is nearly here. response:	I doubt these festive youngsters will listen to anything I say.
context: It's better to see it with your own eyes than to hear about it!\Now, see for yourself!\It's great, right?\Aisaka is finally back.\Yeah, you're right.\Hey, why are you girls screaming?\Speaking of which, Valentine's is nearly here.\I doubt these festive youngsters will listen to anything I say. response:	Oh, Valentine's...
context: Now, see for yourself!\It's great, right?\Aisaka is finally back.\Yeah, you're right.\Hey, why are you girls screaming?\Speaking of which, Valentine's is nearly here.\I doubt these festive youngsters will listen to anything I say.\Oh, Valentine's... response:	I nearly forgot about it.
context: It's great, right?\Aisaka is finally back.\Yeah, you're right.\Hey, why are you girls screaming?\Speaking of which, Valentine's is nearly here.\I doubt these festive youngsters will listen to anything I say.\Oh, Valentine's...\I nearly forgot about it. response:	Stop pretending! Those lies won't work on me!
context: Aisaka is finally back.\Yeah, you're right.\Hey, why are you girls screaming?\Speaking of which, Valentine's is nearly here.\I doubt these festive youngsters will listen to anything I say.\Oh, Valentine's...\I nearly forgot about it.\Stop pretending! Those lies won't work on me! response:	Sensei?
context: Yeah, you're right.\Hey, why are you girls screaming?\Speaking of which, Valentine's is nearly here.\I doubt these festive youngsters will listen to anything I say.\Oh, Valentine's...\I nearly forgot about it.\Stop pretending! Those lies won't work on me!\Sensei? response:	You plan to make out while I'm not paying attention, right?
context: Hey, why are you girls screaming?\Speaking of which, Valentine's is nearly here.\I doubt these festive youngsters will listen to anything I say.\Oh, Valentine's...\I nearly forgot about it.\Stop pretending! Those lies won't work on me!\Sensei?\You plan to make out while I'm not paying attention, right? response:	Doing such indecent things at school...
context: Speaking of which, Valentine's is nearly here.\I doubt these festive youngsters will listen to anything I say.\Oh, Valentine's...\I nearly forgot about it.\Stop pretending! Those lies won't work on me!\Sensei?\You plan to make out while I'm not paying attention, right?\Doing such indecent things at school... response:	You know, it's really pointless to give or receive chocolate at school.
context: I doubt these festive youngsters will listen to anything I say.\Oh, Valentine's...\I nearly forgot about it.\Stop pretending! Those lies won't work on me!\Sensei?\You plan to make out while I'm not paying attention, right?\Doing such indecent things at school...\You know, it's really pointless to give or receive chocolate at school. response:	School is a place to learn.
context: Oh, Valentine's...\I nearly forgot about it.\Stop pretending! Those lies won't work on me!\Sensei?\You plan to make out while I'm not paying attention, right?\Doing such indecent things at school...\You know, it's really pointless to give or receive chocolate at school.\School is a place to learn. response:	W-We're being lectured by Haruta...
context: I nearly forgot about it.\Stop pretending! Those lies won't work on me!\Sensei?\You plan to make out while I'm not paying attention, right?\Doing such indecent things at school...\You know, it's really pointless to give or receive chocolate at school.\School is a place to learn.\W-We're being lectured by Haruta... response:	Huh? Am I wrong?
context: Stop pretending! Those lies won't work on me!\Sensei?\You plan to make out while I'm not paying attention, right?\Doing such indecent things at school...\You know, it's really pointless to give or receive chocolate at school.\School is a place to learn.\W-We're being lectured by Haruta...\Huh? Am I wrong? response:	Then, what's school for?
context: Sensei?\You plan to make out while I'm not paying attention, right?\Doing such indecent things at school...\You know, it's really pointless to give or receive chocolate at school.\School is a place to learn.\W-We're being lectured by Haruta...\Huh? Am I wrong?\Then, what's school for? response:	Health care and PE, right?
context: You plan to make out while I'm not paying attention, right?\Doing such indecent things at school...\You know, it's really pointless to give or receive chocolate at school.\School is a place to learn.\W-We're being lectured by Haruta...\Huh? Am I wrong?\Then, what's school for?\Health care and PE, right? response:	Oh, yeah.
context: Doing such indecent things at school...\You know, it's really pointless to give or receive chocolate at school.\School is a place to learn.\W-We're being lectured by Haruta...\Huh? Am I wrong?\Then, what's school for?\Health care and PE, right?\Oh, yeah. response:	Takasu-kun, Aisaka-san, please come to the interview room after school.
context: You know, it's really pointless to give or receive chocolate at school.\School is a place to learn.\W-We're being lectured by Haruta...\Huh? Am I wrong?\Then, what's school for?\Health care and PE, right?\Oh, yeah.\Takasu-kun, Aisaka-san, please come to the interview room after school. response:	Takasu-kun, you still can't turn in your career assessment?
context: School is a place to learn.\W-We're being lectured by Haruta...\Huh? Am I wrong?\Then, what's school for?\Health care and PE, right?\Oh, yeah.\Takasu-kun, Aisaka-san, please come to the interview room after school.\Takasu-kun, you still can't turn in your career assessment? response:	And Aisaka-san, you haven't even turned the one from first semester in...
context: W-We're being lectured by Haruta...\Huh? Am I wrong?\Then, what's school for?\Health care and PE, right?\Oh, yeah.\Takasu-kun, Aisaka-san, please come to the interview room after school.\Takasu-kun, you still can't turn in your career assessment?\And Aisaka-san, you haven't even turned the one from first semester in... response:	I'm sorry, I'm still discussing it with my family.
context: Huh? Am I wrong?\Then, what's school for?\Health care and PE, right?\Oh, yeah.\Takasu-kun, Aisaka-san, please come to the interview room after school.\Takasu-kun, you still can't turn in your career assessment?\And Aisaka-san, you haven't even turned the one from first semester in...\I'm sorry, I'm still discussing it with my family. response:	Your mother wants you to go to college, right?
context: Then, what's school for?\Health care and PE, right?\Oh, yeah.\Takasu-kun, Aisaka-san, please come to the interview room after school.\Takasu-kun, you still can't turn in your career assessment?\And Aisaka-san, you haven't even turned the one from first semester in...\I'm sorry, I'm still discussing it with my family.\Your mother wants you to go to college, right? response:	Yasuko has -
context: Health care and PE, right?\Oh, yeah.\Takasu-kun, Aisaka-san, please come to the interview room after school.\Takasu-kun, you still can't turn in your career assessment?\And Aisaka-san, you haven't even turned the one from first semester in...\I'm sorry, I'm still discussing it with my family.\Your mother wants you to go to college, right?\Yasuko has - response:	My mother has always been a hard worker, but sometimes she pushes herself too much.
context: Oh, yeah.\Takasu-kun, Aisaka-san, please come to the interview room after school.\Takasu-kun, you still can't turn in your career assessment?\And Aisaka-san, you haven't even turned the one from first semester in...\I'm sorry, I'm still discussing it with my family.\Your mother wants you to go to college, right?\Yasuko has -\My mother has always been a hard worker, but sometimes she pushes herself too much. response:	I don't want to be a burden anymore,
context: Takasu-kun, Aisaka-san, please come to the interview room after school.\Takasu-kun, you still can't turn in your career assessment?\And Aisaka-san, you haven't even turned the one from first semester in...\I'm sorry, I'm still discussing it with my family.\Your mother wants you to go to college, right?\Yasuko has -\My mother has always been a hard worker, but sometimes she pushes herself too much.\I don't want to be a burden anymore, response:	so I'm not planning on going to college.
context: Takasu-kun, you still can't turn in your career assessment?\And Aisaka-san, you haven't even turned the one from first semester in...\I'm sorry, I'm still discussing it with my family.\Your mother wants you to go to college, right?\Yasuko has -\My mother has always been a hard worker, but sometimes she pushes herself too much.\I don't want to be a burden anymore,\so I'm not planning on going to college. response:	That is what I wish for.
context: And Aisaka-san, you haven't even turned the one from first semester in...\I'm sorry, I'm still discussing it with my family.\Your mother wants you to go to college, right?\Yasuko has -\My mother has always been a hard worker, but sometimes she pushes herself too much.\I don't want to be a burden anymore,\so I'm not planning on going to college.\That is what I wish for. response:	So Aisaka-san, what's your reason for not turning it in?
context: I'm sorry, I'm still discussing it with my family.\Your mother wants you to go to college, right?\Yasuko has -\My mother has always been a hard worker, but sometimes she pushes herself too much.\I don't want to be a burden anymore,\so I'm not planning on going to college.\That is what I wish for.\So Aisaka-san, what's your reason for not turning it in? response:	I come from a rich family, so I won't ever need to work.
context: Your mother wants you to go to college, right?\Yasuko has -\My mother has always been a hard worker, but sometimes she pushes herself too much.\I don't want to be a burden anymore,\so I'm not planning on going to college.\That is what I wish for.\So Aisaka-san, what's your reason for not turning it in?\I come from a rich family, so I won't ever need to work. response:	That's also why I don't need to study.
context: Yasuko has -\My mother has always been a hard worker, but sometimes she pushes herself too much.\I don't want to be a burden anymore,\so I'm not planning on going to college.\That is what I wish for.\So Aisaka-san, what's your reason for not turning it in?\I come from a rich family, so I won't ever need to work.\That's also why I don't need to study. response:	Plus, there's nothing I want to do.
context: My mother has always been a hard worker, but sometimes she pushes herself too much.\I don't want to be a burden anymore,\so I'm not planning on going to college.\That is what I wish for.\So Aisaka-san, what's your reason for not turning it in?\I come from a rich family, so I won't ever need to work.\That's also why I don't need to study.\Plus, there's nothing I want to do. response:	Seriously, you two...
context: I don't want to be a burden anymore,\so I'm not planning on going to college.\That is what I wish for.\So Aisaka-san, what's your reason for not turning it in?\I come from a rich family, so I won't ever need to work.\That's also why I don't need to study.\Plus, there's nothing I want to do.\Seriously, you two... response:	Even if I don't go to college -
context: so I'm not planning on going to college.\That is what I wish for.\So Aisaka-san, what's your reason for not turning it in?\I come from a rich family, so I won't ever need to work.\That's also why I don't need to study.\Plus, there's nothing I want to do.\Seriously, you two...\Even if I don't go to college - response:	I understand. It's just that you'll be on your own for the rest of your life.
context: That is what I wish for.\So Aisaka-san, what's your reason for not turning it in?\I come from a rich family, so I won't ever need to work.\That's also why I don't need to study.\Plus, there's nothing I want to do.\Seriously, you two...\Even if I don't go to college -\I understand. It's just that you'll be on your own for the rest of your life. response:	You can't just blame stuff on others.
context: So Aisaka-san, what's your reason for not turning it in?\I come from a rich family, so I won't ever need to work.\That's also why I don't need to study.\Plus, there's nothing I want to do.\Seriously, you two...\Even if I don't go to college -\I understand. It's just that you'll be on your own for the rest of your life.\You can't just blame stuff on others. response:	No one will take responsibility for you.
context: I come from a rich family, so I won't ever need to work.\That's also why I don't need to study.\Plus, there's nothing I want to do.\Seriously, you two...\Even if I don't go to college -\I understand. It's just that you'll be on your own for the rest of your life.\You can't just blame stuff on others.\No one will take responsibility for you. response:	That's why I want you two to carefully think it through.
context: That's also why I don't need to study.\Plus, there's nothing I want to do.\Seriously, you two...\Even if I don't go to college -\I understand. It's just that you'll be on your own for the rest of your life.\You can't just blame stuff on others.\No one will take responsibility for you.\That's why I want you two to carefully think it through. response:	Takasu-kun, you haven't gone against your mother's intentions, have you?
context: Plus, there's nothing I want to do.\Seriously, you two...\Even if I don't go to college -\I understand. It's just that you'll be on your own for the rest of your life.\You can't just blame stuff on others.\No one will take responsibility for you.\That's why I want you two to carefully think it through.\Takasu-kun, you haven't gone against your mother's intentions, have you? response:	After you've finished filling it out, bring it to the staff room.
context: Seriously, you two...\Even if I don't go to college -\I understand. It's just that you'll be on your own for the rest of your life.\You can't just blame stuff on others.\No one will take responsibility for you.\That's why I want you two to carefully think it through.\Takasu-kun, you haven't gone against your mother's intentions, have you?\After you've finished filling it out, bring it to the staff room. response:	The rest of my life, huh?
context: Even if I don't go to college -\I understand. It's just that you'll be on your own for the rest of your life.\You can't just blame stuff on others.\No one will take responsibility for you.\That's why I want you two to carefully think it through.\Takasu-kun, you haven't gone against your mother's intentions, have you?\After you've finished filling it out, bring it to the staff room.\The rest of my life, huh? response:	What are you -
context: I understand. It's just that you'll be on your own for the rest of your life.\You can't just blame stuff on others.\No one will take responsibility for you.\That's why I want you two to carefully think it through.\Takasu-kun, you haven't gone against your mother's intentions, have you?\After you've finished filling it out, bring it to the staff room.\The rest of my life, huh?\What are you - response:	Hey, that's the career assessment form -
context: You can't just blame stuff on others.\No one will take responsibility for you.\That's why I want you two to carefully think it through.\Takasu-kun, you haven't gone against your mother's intentions, have you?\After you've finished filling it out, bring it to the staff room.\The rest of my life, huh?\What are you -\Hey, that's the career assessment form - response:	Hey!
context: No one will take responsibility for you.\That's why I want you two to carefully think it through.\Takasu-kun, you haven't gone against your mother's intentions, have you?\After you've finished filling it out, bring it to the staff room.\The rest of my life, huh?\What are you -\Hey, that's the career assessment form -\Hey! response:	I don't need something like that.
context: That's why I want you two to carefully think it through.\Takasu-kun, you haven't gone against your mother's intentions, have you?\After you've finished filling it out, bring it to the staff room.\The rest of my life, huh?\What are you -\Hey, that's the career assessment form -\Hey!\I don't need something like that. response:	It's impossible for me to think about my future.
context: Takasu-kun, you haven't gone against your mother's intentions, have you?\After you've finished filling it out, bring it to the staff room.\The rest of my life, huh?\What are you -\Hey, that's the career assessment form -\Hey!\I don't need something like that.\It's impossible for me to think about my future. response:	I can't even recognise myself right now.
context: After you've finished filling it out, bring it to the staff room.\The rest of my life, huh?\What are you -\Hey, that's the career assessment form -\Hey!\I don't need something like that.\It's impossible for me to think about my future.\I can't even recognise myself right now. response:	I've always, always denied my present self.
context: The rest of my life, huh?\What are you -\Hey, that's the career assessment form -\Hey!\I don't need something like that.\It's impossible for me to think about my future.\I can't even recognise myself right now.\I've always, always denied my present self. response:	Why is this happening?
context: What are you -\Hey, that's the career assessment form -\Hey!\I don't need something like that.\It's impossible for me to think about my future.\I can't even recognise myself right now.\I've always, always denied my present self.\Why is this happening? response:	What should I do to avoid it?
context: Hey, that's the career assessment form -\Hey!\I don't need something like that.\It's impossible for me to think about my future.\I can't even recognise myself right now.\I've always, always denied my present self.\Why is this happening?\What should I do to avoid it? response:	How can I know what I want to do later when I don't even know what I want to do right now?
context: Hey!\I don't need something like that.\It's impossible for me to think about my future.\I can't even recognise myself right now.\I've always, always denied my present self.\Why is this happening?\What should I do to avoid it?\How can I know what I want to do later when I don't even know what I want to do right now? response:	There's one thing I want to do!
context: I don't need something like that.\It's impossible for me to think about my future.\I can't even recognise myself right now.\I've always, always denied my present self.\Why is this happening?\What should I do to avoid it?\How can I know what I want to do later when I don't even know what I want to do right now?\There's one thing I want to do! response:	I want to fall in love normally!
context: It's impossible for me to think about my future.\I can't even recognise myself right now.\I've always, always denied my present self.\Why is this happening?\What should I do to avoid it?\How can I know what I want to do later when I don't even know what I want to do right now?\There's one thing I want to do!\I want to fall in love normally! response:	Hey, what's wrong?
context: I can't even recognise myself right now.\I've always, always denied my present self.\Why is this happening?\What should I do to avoid it?\How can I know what I want to do later when I don't even know what I want to do right now?\There's one thing I want to do!\I want to fall in love normally!\Hey, what's wrong? response:	Y-You don't even have someone -
context: I've always, always denied my present self.\Why is this happening?\What should I do to avoid it?\How can I know what I want to do later when I don't even know what I want to do right now?\There's one thing I want to do!\I want to fall in love normally!\Hey, what's wrong?\Y-You don't even have someone - response:	No...
context: Why is this happening?\What should I do to avoid it?\How can I know what I want to do later when I don't even know what I want to do right now?\There's one thing I want to do!\I want to fall in love normally!\Hey, what's wrong?\Y-You don't even have someone -\No... response:	Someone I like?
context: What should I do to avoid it?\How can I know what I want to do later when I don't even know what I want to do right now?\There's one thing I want to do!\I want to fall in love normally!\Hey, what's wrong?\Y-You don't even have someone -\No...\Someone I like? response:	I don't even know who it is.
context: How can I know what I want to do later when I don't even know what I want to do right now?\There's one thing I want to do!\I want to fall in love normally!\Hey, what's wrong?\Y-You don't even have someone -\No...\Someone I like?\I don't even know who it is. response:	I wanted to be born into a normal family, then raised as a normal good girl,
context: There's one thing I want to do!\I want to fall in love normally!\Hey, what's wrong?\Y-You don't even have someone -\No...\Someone I like?\I don't even know who it is.\I wanted to be born into a normal family, then raised as a normal good girl, response:	and then have a normal encounter with a guy, and become friends normally.
context: I want to fall in love normally!\Hey, what's wrong?\Y-You don't even have someone -\No...\Someone I like?\I don't even know who it is.\I wanted to be born into a normal family, then raised as a normal good girl,\and then have a normal encounter with a guy, and become friends normally. response:	I wanted to fall in love normally like that...
context: Hey, what's wrong?\Y-You don't even have someone -\No...\Someone I like?\I don't even know who it is.\I wanted to be born into a normal family, then raised as a normal good girl,\and then have a normal encounter with a guy, and become friends normally.\I wanted to fall in love normally like that... response:	Why are you using past tense?
context: Y-You don't even have someone -\No...\Someone I like?\I don't even know who it is.\I wanted to be born into a normal family, then raised as a normal good girl,\and then have a normal encounter with a guy, and become friends normally.\I wanted to fall in love normally like that...\Why are you using past tense? response:	I told you, it's impossible.
context: No...\Someone I like?\I don't even know who it is.\I wanted to be born into a normal family, then raised as a normal good girl,\and then have a normal encounter with a guy, and become friends normally.\I wanted to fall in love normally like that...\Why are you using past tense?\I told you, it's impossible. response:	I mean, the conditions are already wrong.
context: Someone I like?\I don't even know who it is.\I wanted to be born into a normal family, then raised as a normal good girl,\and then have a normal encounter with a guy, and become friends normally.\I wanted to fall in love normally like that...\Why are you using past tense?\I told you, it's impossible.\I mean, the conditions are already wrong. response:	I'm not normal at all.
context: I don't even know who it is.\I wanted to be born into a normal family, then raised as a normal good girl,\and then have a normal encounter with a guy, and become friends normally.\I wanted to fall in love normally like that...\Why are you using past tense?\I told you, it's impossible.\I mean, the conditions are already wrong.\I'm not normal at all. response:	What do you mean by normal?
context: I wanted to be born into a normal family, then raised as a normal good girl,\and then have a normal encounter with a guy, and become friends normally.\I wanted to fall in love normally like that...\Why are you using past tense?\I told you, it's impossible.\I mean, the conditions are already wrong.\I'm not normal at all.\What do you mean by normal? response:	What's right, and what's wrong?
