context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha. response:	Unless he masters Tetsusaiga...
context: What'll you do, Inuyasha?\If you stay transformed and battle Ryukotsusei with those claws...\you will come out of this alive.\However, Tetsusaiga will...\Tetsusaiga will never become lighter for you.\Little man, stop acting cocky!\A-Amazing!\He pushed back Ryukotsusei's huge body! response:	Did Inuyasha win?
context: If you stay transformed and battle Ryukotsusei with those claws...\you will come out of this alive.\However, Tetsusaiga will...\Tetsusaiga will never become lighter for you.\Little man, stop acting cocky!\A-Amazing!\He pushed back Ryukotsusei's huge body!\Did Inuyasha win? response:	Hmm... let's retreat.
context: you will come out of this alive.\However, Tetsusaiga will...\Tetsusaiga will never become lighter for you.\Little man, stop acting cocky!\A-Amazing!\He pushed back Ryukotsusei's huge body!\Did Inuyasha win?\Hmm... let's retreat. response:	What do you mean?
context: However, Tetsusaiga will...\Tetsusaiga will never become lighter for you.\Little man, stop acting cocky!\A-Amazing!\He pushed back Ryukotsusei's huge body!\Did Inuyasha win?\Hmm... let's retreat.\What do you mean? response:	Isn't it obvious?
context: Tetsusaiga will never become lighter for you.\Little man, stop acting cocky!\A-Amazing!\He pushed back Ryukotsusei's huge body!\Did Inuyasha win?\Hmm... let's retreat.\What do you mean?\Isn't it obvious? response:	Inuyasha is fighting as a demon.
context: Little man, stop acting cocky!\A-Amazing!\He pushed back Ryukotsusei's huge body!\Did Inuyasha win?\Hmm... let's retreat.\What do you mean?\Isn't it obvious?\Inuyasha is fighting as a demon. response:	So you'll just abandon him?
context: A-Amazing!\He pushed back Ryukotsusei's huge body!\Did Inuyasha win?\Hmm... let's retreat.\What do you mean?\Isn't it obvious?\Inuyasha is fighting as a demon.\So you'll just abandon him? response:	That's cruel!
context: He pushed back Ryukotsusei's huge body!\Did Inuyasha win?\Hmm... let's retreat.\What do you mean?\Isn't it obvious?\Inuyasha is fighting as a demon.\So you'll just abandon him?\That's cruel! response:	Wake up! If we stay here...
context: Did Inuyasha win?\Hmm... let's retreat.\What do you mean?\Isn't it obvious?\Inuyasha is fighting as a demon.\So you'll just abandon him?\That's cruel!\Wake up! If we stay here... response:	Inuyasha might even come after us, after Ryukotsusei!
context: Hmm... let's retreat.\What do you mean?\Isn't it obvious?\Inuyasha is fighting as a demon.\So you'll just abandon him?\That's cruel!\Wake up! If we stay here...\Inuyasha might even come after us, after Ryukotsusei! response:	Old Myoga!
context: What do you mean?\Isn't it obvious?\Inuyasha is fighting as a demon.\So you'll just abandon him?\That's cruel!\Wake up! If we stay here...\Inuyasha might even come after us, after Ryukotsusei!\Old Myoga! response:	Each time Master Inuyasha transforms...
context: Isn't it obvious?\Inuyasha is fighting as a demon.\So you'll just abandon him?\That's cruel!\Wake up! If we stay here...\Inuyasha might even come after us, after Ryukotsusei!\Old Myoga!\Each time Master Inuyasha transforms... response:	he becomes less discriminating.
context: Inuyasha is fighting as a demon.\So you'll just abandon him?\That's cruel!\Wake up! If we stay here...\Inuyasha might even come after us, after Ryukotsusei!\Old Myoga!\Each time Master Inuyasha transforms...\he becomes less discriminating. response:	Kagome, you won't be an exception.
context: So you'll just abandon him?\That's cruel!\Wake up! If we stay here...\Inuyasha might even come after us, after Ryukotsusei!\Old Myoga!\Each time Master Inuyasha transforms...\he becomes less discriminating.\Kagome, you won't be an exception. response:	All right.
context: That's cruel!\Wake up! If we stay here...\Inuyasha might even come after us, after Ryukotsusei!\Old Myoga!\Each time Master Inuyasha transforms...\he becomes less discriminating.\Kagome, you won't be an exception.\All right. response:	Old Myoga, please escape.
context: Wake up! If we stay here...\Inuyasha might even come after us, after Ryukotsusei!\Old Myoga!\Each time Master Inuyasha transforms...\he becomes less discriminating.\Kagome, you won't be an exception.\All right.\Old Myoga, please escape. response:	Huh?!
context: Inuyasha might even come after us, after Ryukotsusei!\Old Myoga!\Each time Master Inuyasha transforms...\he becomes less discriminating.\Kagome, you won't be an exception.\All right.\Old Myoga, please escape.\Huh?! response:	Let me down, Totosai. I'm staying here.
context: Old Myoga!\Each time Master Inuyasha transforms...\he becomes less discriminating.\Kagome, you won't be an exception.\All right.\Old Myoga, please escape.\Huh?!\Let me down, Totosai. I'm staying here. response:	Kagome, you!
context: Each time Master Inuyasha transforms...\he becomes less discriminating.\Kagome, you won't be an exception.\All right.\Old Myoga, please escape.\Huh?!\Let me down, Totosai. I'm staying here.\Kagome, you! response:	Yes. I know what you're going to say.
context: he becomes less discriminating.\Kagome, you won't be an exception.\All right.\Old Myoga, please escape.\Huh?!\Let me down, Totosai. I'm staying here.\Kagome, you!\Yes. I know what you're going to say. response:	But...
context: Kagome, you won't be an exception.\All right.\Old Myoga, please escape.\Huh?!\Let me down, Totosai. I'm staying here.\Kagome, you!\Yes. I know what you're going to say.\But... response:	But I can't abandon Inuyasha when he's battling for his life!
context: All right.\Old Myoga, please escape.\Huh?!\Let me down, Totosai. I'm staying here.\Kagome, you!\Yes. I know what you're going to say.\But...\But I can't abandon Inuyasha when he's battling for his life! response:	Please Totosai, let me down!
context: Old Myoga, please escape.\Huh?!\Let me down, Totosai. I'm staying here.\Kagome, you!\Yes. I know what you're going to say.\But...\But I can't abandon Inuyasha when he's battling for his life!\Please Totosai, let me down! response:	A-All right, all right.
context: Huh?!\Let me down, Totosai. I'm staying here.\Kagome, you!\Yes. I know what you're going to say.\But...\But I can't abandon Inuyasha when he's battling for his life!\Please Totosai, let me down!\A-All right, all right. response:	Oh well... it can't be helped.
context: Let me down, Totosai. I'm staying here.\Kagome, you!\Yes. I know what you're going to say.\But...\But I can't abandon Inuyasha when he's battling for his life!\Please Totosai, let me down!\A-All right, all right.\Oh well... it can't be helped. response:	Just a minute!
context: Kagome, you!\Yes. I know what you're going to say.\But...\But I can't abandon Inuyasha when he's battling for his life!\Please Totosai, let me down!\A-All right, all right.\Oh well... it can't be helped.\Just a minute! response:	Inuyasha is acting strange...
context: Yes. I know what you're going to say.\But...\But I can't abandon Inuyasha when he's battling for his life!\Please Totosai, let me down!\A-All right, all right.\Oh well... it can't be helped.\Just a minute!\Inuyasha is acting strange... response:	Huh?!
context: But...\But I can't abandon Inuyasha when he's battling for his life!\Please Totosai, let me down!\A-All right, all right.\Oh well... it can't be helped.\Just a minute!\Inuyasha is acting strange...\Huh?! response:	Inuyasha!
context: But I can't abandon Inuyasha when he's battling for his life!\Please Totosai, let me down!\A-All right, all right.\Oh well... it can't be helped.\Just a minute!\Inuyasha is acting strange...\Huh?!\Inuyasha! response:	Master Inuyasha!
context: Please Totosai, let me down!\A-All right, all right.\Oh well... it can't be helped.\Just a minute!\Inuyasha is acting strange...\Huh?!\Inuyasha!\Master Inuyasha! response:	He's transformed, yet he's trying to pick up Tetsusaiga!
context: A-All right, all right.\Oh well... it can't be helped.\Just a minute!\Inuyasha is acting strange...\Huh?!\Inuyasha!\Master Inuyasha!\He's transformed, yet he's trying to pick up Tetsusaiga! response:	Could it be...as Kagome said?
context: Oh well... it can't be helped.\Just a minute!\Inuyasha is acting strange...\Huh?!\Inuyasha!\Master Inuyasha!\He's transformed, yet he's trying to pick up Tetsusaiga!\Could it be...as Kagome said? response:	Yes, Inuyasha is battling right now.
context: Just a minute!\Inuyasha is acting strange...\Huh?!\Inuyasha!\Master Inuyasha!\He's transformed, yet he's trying to pick up Tetsusaiga!\Could it be...as Kagome said?\Yes, Inuyasha is battling right now. response:	His heart against the demon blood that courses through his veins.
context: Inuyasha is acting strange...\Huh?!\Inuyasha!\Master Inuyasha!\He's transformed, yet he's trying to pick up Tetsusaiga!\Could it be...as Kagome said?\Yes, Inuyasha is battling right now.\His heart against the demon blood that courses through his veins. response:	He is fighting desperately!
context: Huh?!\Inuyasha!\Master Inuyasha!\He's transformed, yet he's trying to pick up Tetsusaiga!\Could it be...as Kagome said?\Yes, Inuyasha is battling right now.\His heart against the demon blood that courses through his veins.\He is fighting desperately! response:	Inuyasha, hang in there!
context: Inuyasha!\Master Inuyasha!\He's transformed, yet he's trying to pick up Tetsusaiga!\Could it be...as Kagome said?\Yes, Inuyasha is battling right now.\His heart against the demon blood that courses through his veins.\He is fighting desperately!\Inuyasha, hang in there! response:	Why that... little punk! Getting wise with me!
context: Master Inuyasha!\He's transformed, yet he's trying to pick up Tetsusaiga!\Could it be...as Kagome said?\Yes, Inuyasha is battling right now.\His heart against the demon blood that courses through his veins.\He is fighting desperately!\Inuyasha, hang in there!\Why that... little punk! Getting wise with me! response:	Playtime is over!
context: He's transformed, yet he's trying to pick up Tetsusaiga!\Could it be...as Kagome said?\Yes, Inuyasha is battling right now.\His heart against the demon blood that courses through his veins.\He is fighting desperately!\Inuyasha, hang in there!\Why that... little punk! Getting wise with me!\Playtime is over! response:	Inuyasha!
context: Could it be...as Kagome said?\Yes, Inuyasha is battling right now.\His heart against the demon blood that courses through his veins.\He is fighting desperately!\Inuyasha, hang in there!\Why that... little punk! Getting wise with me!\Playtime is over!\Inuyasha! response:	Inuyasha!
context: Yes, Inuyasha is battling right now.\His heart against the demon blood that courses through his veins.\He is fighting desperately!\Inuyasha, hang in there!\Why that... little punk! Getting wise with me!\Playtime is over!\Inuyasha!\Inuyasha! response:	Oh?! What's that?
context: His heart against the demon blood that courses through his veins.\He is fighting desperately!\Inuyasha, hang in there!\Why that... little punk! Getting wise with me!\Playtime is over!\Inuyasha!\Inuyasha!\Oh?! What's that? response:	Huh?
context: He is fighting desperately!\Inuyasha, hang in there!\Why that... little punk! Getting wise with me!\Playtime is over!\Inuyasha!\Inuyasha!\Oh?! What's that?\Huh? response:	Huh?!
context: Inuyasha, hang in there!\Why that... little punk! Getting wise with me!\Playtime is over!\Inuyasha!\Inuyasha!\Oh?! What's that?\Huh?\Huh?! response:	The sheath of Tetsusaiga?! What's going on?
context: Why that... little punk! Getting wise with me!\Playtime is over!\Inuyasha!\Inuyasha!\Oh?! What's that?\Huh?\Huh?!\The sheath of Tetsusaiga?! What's going on? response:	I dunno...
context: Playtime is over!\Inuyasha!\Inuyasha!\Oh?! What's that?\Huh?\Huh?!\The sheath of Tetsusaiga?! What's going on?\I dunno... response:	Hmm... the barrier of the sheath.
context: Inuyasha!\Inuyasha!\Oh?! What's that?\Huh?\Huh?!\The sheath of Tetsusaiga?! What's going on?\I dunno...\Hmm... the barrier of the sheath. response:	That's right.
context: Inuyasha!\Oh?! What's that?\Huh?\Huh?!\The sheath of Tetsusaiga?! What's going on?\I dunno...\Hmm... the barrier of the sheath.\That's right. response:	When we fought the Thunder Brothers...
context: Oh?! What's that?\Huh?\Huh?!\The sheath of Tetsusaiga?! What's going on?\I dunno...\Hmm... the barrier of the sheath.\That's right.\When we fought the Thunder Brothers... response:	Yes! He used the sheath to deflect the lightning attacks.
context: Huh?\Huh?!\The sheath of Tetsusaiga?! What's going on?\I dunno...\Hmm... the barrier of the sheath.\That's right.\When we fought the Thunder Brothers...\Yes! He used the sheath to deflect the lightning attacks. response:	The sheath... Tetsusaiga's sheath protected Inuyasha!
context: Huh?!\The sheath of Tetsusaiga?! What's going on?\I dunno...\Hmm... the barrier of the sheath.\That's right.\When we fought the Thunder Brothers...\Yes! He used the sheath to deflect the lightning attacks.\The sheath... Tetsusaiga's sheath protected Inuyasha! response:	Yes, but...
context: The sheath of Tetsusaiga?! What's going on?\I dunno...\Hmm... the barrier of the sheath.\That's right.\When we fought the Thunder Brothers...\Yes! He used the sheath to deflect the lightning attacks.\The sheath... Tetsusaiga's sheath protected Inuyasha!\Yes, but... response:	there won't be a second time.
context: I dunno...\Hmm... the barrier of the sheath.\That's right.\When we fought the Thunder Brothers...\Yes! He used the sheath to deflect the lightning attacks.\The sheath... Tetsusaiga's sheath protected Inuyasha!\Yes, but...\there won't be a second time. response:	The sheathe won't hold.
context: Hmm... the barrier of the sheath.\That's right.\When we fought the Thunder Brothers...\Yes! He used the sheath to deflect the lightning attacks.\The sheath... Tetsusaiga's sheath protected Inuyasha!\Yes, but...\there won't be a second time.\The sheathe won't hold. response:	That thing is useless!
context: That's right.\When we fought the Thunder Brothers...\Yes! He used the sheath to deflect the lightning attacks.\The sheath... Tetsusaiga's sheath protected Inuyasha!\Yes, but...\there won't be a second time.\The sheathe won't hold.\That thing is useless! response:	Take this!
context: When we fought the Thunder Brothers...\Yes! He used the sheath to deflect the lightning attacks.\The sheath... Tetsusaiga's sheath protected Inuyasha!\Yes, but...\there won't be a second time.\The sheathe won't hold.\That thing is useless!\Take this! response:	Inuyasha!
context: Yes! He used the sheath to deflect the lightning attacks.\The sheath... Tetsusaiga's sheath protected Inuyasha!\Yes, but...\there won't be a second time.\The sheathe won't hold.\That thing is useless!\Take this!\Inuyasha! response:	Wind Tunnel!
context: The sheath... Tetsusaiga's sheath protected Inuyasha!\Yes, but...\there won't be a second time.\The sheathe won't hold.\That thing is useless!\Take this!\Inuyasha!\Wind Tunnel! response:	Miroku!
context: Yes, but...\there won't be a second time.\The sheathe won't hold.\That thing is useless!\Take this!\Inuyasha!\Wind Tunnel!\Miroku! response:	W-what a strength!
context: there won't be a second time.\The sheathe won't hold.\That thing is useless!\Take this!\Inuyasha!\Wind Tunnel!\Miroku!\W-what a strength! response:	You diverted it!
context: The sheathe won't hold.\That thing is useless!\Take this!\Inuyasha!\Wind Tunnel!\Miroku!\W-what a strength!\You diverted it! response:	That was a close call.
context: That thing is useless!\Take this!\Inuyasha!\Wind Tunnel!\Miroku!\W-what a strength!\You diverted it!\That was a close call. response:	It drained my strength just to turn its path a tad.
context: Take this!\Inuyasha!\Wind Tunnel!\Miroku!\W-what a strength!\You diverted it!\That was a close call.\It drained my strength just to turn its path a tad. response:	Inuyasha is facing this formidable foe all alone!
context: Inuyasha!\Wind Tunnel!\Miroku!\W-what a strength!\You diverted it!\That was a close call.\It drained my strength just to turn its path a tad.\Inuyasha is facing this formidable foe all alone! response:	The little man's evil aura is dissipating.
context: Wind Tunnel!\Miroku!\W-what a strength!\You diverted it!\That was a close call.\It drained my strength just to turn its path a tad.\Inuyasha is facing this formidable foe all alone!\The little man's evil aura is dissipating. response:	Get on my sword with that fat body, will you?!
context: Miroku!\W-what a strength!\You diverted it!\That was a close call.\It drained my strength just to turn its path a tad.\Inuyasha is facing this formidable foe all alone!\The little man's evil aura is dissipating.\Get on my sword with that fat body, will you?! response:	Ryukotsusei! I'll defeat you with Tetsusaiga!
context: W-what a strength!\You diverted it!\That was a close call.\It drained my strength just to turn its path a tad.\Inuyasha is facing this formidable foe all alone!\The little man's evil aura is dissipating.\Get on my sword with that fat body, will you?!\Ryukotsusei! I'll defeat you with Tetsusaiga! response:	With that dull sword, weak boy?
context: You diverted it!\That was a close call.\It drained my strength just to turn its path a tad.\Inuyasha is facing this formidable foe all alone!\The little man's evil aura is dissipating.\Get on my sword with that fat body, will you?!\Ryukotsusei! I'll defeat you with Tetsusaiga!\With that dull sword, weak boy? response:	Don't make me laugh!
context: That was a close call.\It drained my strength just to turn its path a tad.\Inuyasha is facing this formidable foe all alone!\The little man's evil aura is dissipating.\Get on my sword with that fat body, will you?!\Ryukotsusei! I'll defeat you with Tetsusaiga!\With that dull sword, weak boy?\Don't make me laugh! response:	Shaddup!
context: It drained my strength just to turn its path a tad.\Inuyasha is facing this formidable foe all alone!\The little man's evil aura is dissipating.\Get on my sword with that fat body, will you?!\Ryukotsusei! I'll defeat you with Tetsusaiga!\With that dull sword, weak boy?\Don't make me laugh!\Shaddup! response:	I have to use Tetsusaiga or there's no sense in fighting!
context: Inuyasha is facing this formidable foe all alone!\The little man's evil aura is dissipating.\Get on my sword with that fat body, will you?!\Ryukotsusei! I'll defeat you with Tetsusaiga!\With that dull sword, weak boy?\Don't make me laugh!\Shaddup!\I have to use Tetsusaiga or there's no sense in fighting! response:	Fool! I'm not holding back anymore.
context: The little man's evil aura is dissipating.\Get on my sword with that fat body, will you?!\Ryukotsusei! I'll defeat you with Tetsusaiga!\With that dull sword, weak boy?\Don't make me laugh!\Shaddup!\I have to use Tetsusaiga or there's no sense in fighting!\Fool! I'm not holding back anymore. response:	It's not my imagination! Tetsusaiga is...
context: Get on my sword with that fat body, will you?!\Ryukotsusei! I'll defeat you with Tetsusaiga!\With that dull sword, weak boy?\Don't make me laugh!\Shaddup!\I have to use Tetsusaiga or there's no sense in fighting!\Fool! I'm not holding back anymore.\It's not my imagination! Tetsusaiga is... response:	getting lighter!
context: Ryukotsusei! I'll defeat you with Tetsusaiga!\With that dull sword, weak boy?\Don't make me laugh!\Shaddup!\I have to use Tetsusaiga or there's no sense in fighting!\Fool! I'm not holding back anymore.\It's not my imagination! Tetsusaiga is...\getting lighter! response:	Huh?!
context: With that dull sword, weak boy?\Don't make me laugh!\Shaddup!\I have to use Tetsusaiga or there's no sense in fighting!\Fool! I'm not holding back anymore.\It's not my imagination! Tetsusaiga is...\getting lighter!\Huh?! response:	Look! Inuyasha and Tetsusaiga!
context: Don't make me laugh!\Shaddup!\I have to use Tetsusaiga or there's no sense in fighting!\Fool! I'm not holding back anymore.\It's not my imagination! Tetsusaiga is...\getting lighter!\Huh?!\Look! Inuyasha and Tetsusaiga! response:	I know!
context: Shaddup!\I have to use Tetsusaiga or there's no sense in fighting!\Fool! I'm not holding back anymore.\It's not my imagination! Tetsusaiga is...\getting lighter!\Huh?!\Look! Inuyasha and Tetsusaiga!\I know! response:	Now's my chance to pierce through Ryukotsusei's heart!
context: I have to use Tetsusaiga or there's no sense in fighting!\Fool! I'm not holding back anymore.\It's not my imagination! Tetsusaiga is...\getting lighter!\Huh?!\Look! Inuyasha and Tetsusaiga!\I know!\Now's my chance to pierce through Ryukotsusei's heart! response:	Fool!
context: Fool! I'm not holding back anymore.\It's not my imagination! Tetsusaiga is...\getting lighter!\Huh?!\Look! Inuyasha and Tetsusaiga!\I know!\Now's my chance to pierce through Ryukotsusei's heart!\Fool! response:	Huh?!
context: It's not my imagination! Tetsusaiga is...\getting lighter!\Huh?!\Look! Inuyasha and Tetsusaiga!\I know!\Now's my chance to pierce through Ryukotsusei's heart!\Fool!\Huh?! response:	I did it!
context: getting lighter!\Huh?!\Look! Inuyasha and Tetsusaiga!\I know!\Now's my chance to pierce through Ryukotsusei's heart!\Fool!\Huh?!\I did it! response:	He pierced through Ryukotsusei's heart!
context: Huh?!\Look! Inuyasha and Tetsusaiga!\I know!\Now's my chance to pierce through Ryukotsusei's heart!\Fool!\Huh?!\I did it!\He pierced through Ryukotsusei's heart! response:	Did he do it?
context: Look! Inuyasha and Tetsusaiga!\I know!\Now's my chance to pierce through Ryukotsusei's heart!\Fool!\Huh?!\I did it!\He pierced through Ryukotsusei's heart!\Did he do it? response:	It's light!
context: I know!\Now's my chance to pierce through Ryukotsusei's heart!\Fool!\Huh?!\I did it!\He pierced through Ryukotsusei's heart!\Did he do it?\It's light! response:	Tetsusaiga used to be so heavy...
