context: Hey, Izuna. response:	What, please?
context: The difference between their strengths is overwhelming.\This battle is already over.\I predicted this to a certain extent,\but I never expected all this.\I can't calculate what to do...\I told you she's going beyond physical limits, didn't I?\So physics equations won't help you.\Brother... response:	At times like this, leave everything to me.
context: This battle is already over.\I predicted this to a certain extent,\but I never expected all this.\I can't calculate what to do...\I told you she's going beyond physical limits, didn't I?\So physics equations won't help you.\Brother...\At times like this, leave everything to me. response:	Let your brother's bluffs take care of it!
context: I predicted this to a certain extent,\but I never expected all this.\I can't calculate what to do...\I told you she's going beyond physical limits, didn't I?\So physics equations won't help you.\Brother...\At times like this, leave everything to me.\Let your brother's bluffs take care of it! response:	With this kind of speed,
context: but I never expected all this.\I can't calculate what to do...\I told you she's going beyond physical limits, didn't I?\So physics equations won't help you.\Brother...\At times like this, leave everything to me.\Let your brother's bluffs take care of it!\With this kind of speed, response:	she'll predict that I'll dodge, and try to block both sides!
context: I can't calculate what to do...\I told you she's going beyond physical limits, didn't I?\So physics equations won't help you.\Brother...\At times like this, leave everything to me.\Let your brother's bluffs take care of it!\With this kind of speed,\she'll predict that I'll dodge, and try to block both sides! response:	And once she decides that I won't dodge, she'll fire down the middle!
context: I told you she's going beyond physical limits, didn't I?\So physics equations won't help you.\Brother...\At times like this, leave everything to me.\Let your brother's bluffs take care of it!\With this kind of speed,\she'll predict that I'll dodge, and try to block both sides!\And once she decides that I won't dodge, she'll fire down the middle! response:	Two shots?
context: So physics equations won't help you.\Brother...\At times like this, leave everything to me.\Let your brother's bluffs take care of it!\With this kind of speed,\she'll predict that I'll dodge, and try to block both sides!\And once she decides that I won't dodge, she'll fire down the middle!\Two shots? response:	No!
context: Brother...\At times like this, leave everything to me.\Let your brother's bluffs take care of it!\With this kind of speed,\she'll predict that I'll dodge, and try to block both sides!\And once she decides that I won't dodge, she'll fire down the middle!\Two shots?\No! response:	This is what Izuna was after?
context: At times like this, leave everything to me.\Let your brother's bluffs take care of it!\With this kind of speed,\she'll predict that I'll dodge, and try to block both sides!\And once she decides that I won't dodge, she'll fire down the middle!\Two shots?\No!\This is what Izuna was after? response:	Sora and Shiro's heartbeats have both gone flat.
context: Let your brother's bluffs take care of it!\With this kind of speed,\she'll predict that I'll dodge, and try to block both sides!\And once she decides that I won't dodge, she'll fire down the middle!\Two shots?\No!\This is what Izuna was after?\Sora and Shiro's heartbeats have both gone flat. response:	A perfect headshot.
context: With this kind of speed,\she'll predict that I'll dodge, and try to block both sides!\And once she decides that I won't dodge, she'll fire down the middle!\Two shots?\No!\This is what Izuna was after?\Sora and Shiro's heartbeats have both gone flat.\A perfect headshot. response:	There's no way to disguise that.
context: she'll predict that I'll dodge, and try to block both sides!\And once she decides that I won't dodge, she'll fire down the middle!\Two shots?\No!\This is what Izuna was after?\Sora and Shiro's heartbeats have both gone flat.\A perfect headshot.\There's no way to disguise that. response:	You got them, Izuna!
context: And once she decides that I won't dodge, she'll fire down the middle!\Two shots?\No!\This is what Izuna was after?\Sora and Shiro's heartbeats have both gone flat.\A perfect headshot.\There's no way to disguise that.\You got them, Izuna! response:	I won!
context: Two shots?\No!\This is what Izuna was after?\Sora and Shiro's heartbeats have both gone flat.\A perfect headshot.\There's no way to disguise that.\You got them, Izuna!\I won! response:	I won!
context: No!\This is what Izuna was after?\Sora and Shiro's heartbeats have both gone flat.\A perfect headshot.\There's no way to disguise that.\You got them, Izuna!\I won!\I won! response:	I did it!
context: This is what Izuna was after?\Sora and Shiro's heartbeats have both gone flat.\A perfect headshot.\There's no way to disguise that.\You got them, Izuna!\I won!\I won!\I did it! response:	What was that?
context: Sora and Shiro's heartbeats have both gone flat.\A perfect headshot.\There's no way to disguise that.\You got them, Izuna!\I won!\I won!\I did it!\What was that? response:	S-Sora?
context: A perfect headshot.\There's no way to disguise that.\You got them, Izuna!\I won!\I won!\I did it!\What was that?\S-Sora? response:	Was that okay?
context: There's no way to disguise that.\You got them, Izuna!\I won!\I won!\I did it!\What was that?\S-Sora?\Was that okay? response:	Can I open my eyes now?
context: You got them, Izuna!\I won!\I won!\I did it!\What was that?\S-Sora?\Was that okay?\Can I open my eyes now? response:	Shiro?
context: I won!\I won!\I did it!\What was that?\S-Sora?\Was that okay?\Can I open my eyes now?\Shiro? response:	Are you two there?
context: I won!\I did it!\What was that?\S-Sora?\Was that okay?\Can I open my eyes now?\Shiro?\Are you two there? response:	Looks like it worked.
context: I did it!\What was that?\S-Sora?\Was that okay?\Can I open my eyes now?\Shiro?\Are you two there?\Looks like it worked. response:	Yeah.
context: What was that?\S-Sora?\Was that okay?\Can I open my eyes now?\Shiro?\Are you two there?\Looks like it worked.\Yeah. response:	Was that their plan?
context: S-Sora?\Was that okay?\Can I open my eyes now?\Shiro?\Are you two there?\Looks like it worked.\Yeah.\Was that their plan? response:	Even if you have a sixth sense, you didn't see that coming, right?
context: Was that okay?\Can I open my eyes now?\Shiro?\Are you two there?\Looks like it worked.\Yeah.\Was that their plan?\Even if you have a sixth sense, you didn't see that coming, right? response:	When Shiro bounced her shot off of Jibril's bullet,
context: Can I open my eyes now?\Shiro?\Are you two there?\Looks like it worked.\Yeah.\Was that their plan?\Even if you have a sixth sense, you didn't see that coming, right?\When Shiro bounced her shot off of Jibril's bullet, response:	she wasn't aiming for you.
context: Shiro?\Are you two there?\Looks like it worked.\Yeah.\Was that their plan?\Even if you have a sixth sense, you didn't see that coming, right?\When Shiro bounced her shot off of Jibril's bullet,\she wasn't aiming for you. response:	I was aiming below...
context: Are you two there?\Looks like it worked.\Yeah.\Was that their plan?\Even if you have a sixth sense, you didn't see that coming, right?\When Shiro bounced her shot off of Jibril's bullet,\she wasn't aiming for you.\I was aiming below... response:	What?
context: Looks like it worked.\Yeah.\Was that their plan?\Even if you have a sixth sense, you didn't see that coming, right?\When Shiro bounced her shot off of Jibril's bullet,\she wasn't aiming for you.\I was aiming below...\What? response:	NPC movement is controlled by certain rules.
context: Yeah.\Was that their plan?\Even if you have a sixth sense, you didn't see that coming, right?\When Shiro bounced her shot off of Jibril's bullet,\she wasn't aiming for you.\I was aiming below...\What?\NPC movement is controlled by certain rules. response:	In other words, you can predict where they'll be.
context: Was that their plan?\Even if you have a sixth sense, you didn't see that coming, right?\When Shiro bounced her shot off of Jibril's bullet,\she wasn't aiming for you.\I was aiming below...\What?\NPC movement is controlled by certain rules.\In other words, you can predict where they'll be. response:	And NPCs don't make a sound as they walk.
context: Even if you have a sixth sense, you didn't see that coming, right?\When Shiro bounced her shot off of Jibril's bullet,\she wasn't aiming for you.\I was aiming below...\What?\NPC movement is controlled by certain rules.\In other words, you can predict where they'll be.\And NPCs don't make a sound as they walk. response:	Since Steph was unconscious, you couldn't sense
context: When Shiro bounced her shot off of Jibril's bullet,\she wasn't aiming for you.\I was aiming below...\What?\NPC movement is controlled by certain rules.\In other words, you can predict where they'll be.\And NPCs don't make a sound as they walk.\Since Steph was unconscious, you couldn't sense response:	her desire to attack you.
context: she wasn't aiming for you.\I was aiming below...\What?\NPC movement is controlled by certain rules.\In other words, you can predict where they'll be.\And NPCs don't make a sound as they walk.\Since Steph was unconscious, you couldn't sense\her desire to attack you. response:	It was impossible to detect her.
context: I was aiming below...\What?\NPC movement is controlled by certain rules.\In other words, you can predict where they'll be.\And NPCs don't make a sound as they walk.\Since Steph was unconscious, you couldn't sense\her desire to attack you.\It was impossible to detect her. response:	And before the game,
context: What?\NPC movement is controlled by certain rules.\In other words, you can predict where they'll be.\And NPCs don't make a sound as they walk.\Since Steph was unconscious, you couldn't sense\her desire to attack you.\It was impossible to detect her.\And before the game, response:	I bound Steph with the pledges to obey any order
context: NPC movement is controlled by certain rules.\In other words, you can predict where they'll be.\And NPCs don't make a sound as they walk.\Since Steph was unconscious, you couldn't sense\her desire to attack you.\It was impossible to detect her.\And before the game,\I bound Steph with the pledges to obey any order response:	that Shiro had written on the ground, but to forget it.
context: In other words, you can predict where they'll be.\And NPCs don't make a sound as they walk.\Since Steph was unconscious, you couldn't sense\her desire to attack you.\It was impossible to detect her.\And before the game,\I bound Steph with the pledges to obey any order\that Shiro had written on the ground, but to forget it. response:	Once your love power is restored,
context: And NPCs don't make a sound as they walk.\Since Steph was unconscious, you couldn't sense\her desire to attack you.\It was impossible to detect her.\And before the game,\I bound Steph with the pledges to obey any order\that Shiro had written on the ground, but to forget it.\Once your love power is restored, response:	wait until your energy is
context: Since Steph was unconscious, you couldn't sense\her desire to attack you.\It was impossible to detect her.\And before the game,\I bound Steph with the pledges to obey any order\that Shiro had written on the ground, but to forget it.\Once your love power is restored,\wait until your energy is response:	just about to run out and then fire straight ahead?
context: her desire to attack you.\It was impossible to detect her.\And before the game,\I bound Steph with the pledges to obey any order\that Shiro had written on the ground, but to forget it.\Once your love power is restored,\wait until your energy is\just about to run out and then fire straight ahead? response:	All we had to do then was
context: It was impossible to detect her.\And before the game,\I bound Steph with the pledges to obey any order\that Shiro had written on the ground, but to forget it.\Once your love power is restored,\wait until your energy is\just about to run out and then fire straight ahead?\All we had to do then was response:	calculate the NPC's movements and lead her there.
context: And before the game,\I bound Steph with the pledges to obey any order\that Shiro had written on the ground, but to forget it.\Once your love power is restored,\wait until your energy is\just about to run out and then fire straight ahead?\All we had to do then was\calculate the NPC's movements and lead her there. response:	Impossible.
context: I bound Steph with the pledges to obey any order\that Shiro had written on the ground, but to forget it.\Once your love power is restored,\wait until your energy is\just about to run out and then fire straight ahead?\All we had to do then was\calculate the NPC's movements and lead her there.\Impossible. response:	That's not calculating, that's...
context: that Shiro had written on the ground, but to forget it.\Once your love power is restored,\wait until your energy is\just about to run out and then fire straight ahead?\All we had to do then was\calculate the NPC's movements and lead her there.\Impossible.\That's not calculating, that's... response:	Seeing the future, right?
context: Once your love power is restored,\wait until your energy is\just about to run out and then fire straight ahead?\All we had to do then was\calculate the NPC's movements and lead her there.\Impossible.\That's not calculating, that's...\Seeing the future, right? response:	Is that what you're thinking, mister?
context: wait until your energy is\just about to run out and then fire straight ahead?\All we had to do then was\calculate the NPC's movements and lead her there.\Impossible.\That's not calculating, that's...\Seeing the future, right?\Is that what you're thinking, mister? response:	You've been monitoring our heartbeats the whole time and
context: just about to run out and then fire straight ahead?\All we had to do then was\calculate the NPC's movements and lead her there.\Impossible.\That's not calculating, that's...\Seeing the future, right?\Is that what you're thinking, mister?\You've been monitoring our heartbeats the whole time and response:	telling Izuna where we were, right?
context: All we had to do then was\calculate the NPC's movements and lead her there.\Impossible.\That's not calculating, that's...\Seeing the future, right?\Is that what you're thinking, mister?\You've been monitoring our heartbeats the whole time and\telling Izuna where we were, right? response:	Impossible...
context: calculate the NPC's movements and lead her there.\Impossible.\That's not calculating, that's...\Seeing the future, right?\Is that what you're thinking, mister?\You've been monitoring our heartbeats the whole time and\telling Izuna where we were, right?\Impossible... response:	They knew it, and took advantage of it?
context: Impossible.\That's not calculating, that's...\Seeing the future, right?\Is that what you're thinking, mister?\You've been monitoring our heartbeats the whole time and\telling Izuna where we were, right?\Impossible...\They knew it, and took advantage of it? response:	Ultimately, there are only two actions you can take in a game.
context: That's not calculating, that's...\Seeing the future, right?\Is that what you're thinking, mister?\You've been monitoring our heartbeats the whole time and\telling Izuna where we were, right?\Impossible...\They knew it, and took advantage of it?\Ultimately, there are only two actions you can take in a game. response:	Advance your own strategy,
context: Seeing the future, right?\Is that what you're thinking, mister?\You've been monitoring our heartbeats the whole time and\telling Izuna where we were, right?\Impossible...\They knew it, and took advantage of it?\Ultimately, there are only two actions you can take in a game.\Advance your own strategy, response:	or respond to another player's strategy.
context: Is that what you're thinking, mister?\You've been monitoring our heartbeats the whole time and\telling Izuna where we were, right?\Impossible...\They knew it, and took advantage of it?\Ultimately, there are only two actions you can take in a game.\Advance your own strategy,\or respond to another player's strategy. response:	It's a question of who has the initiative.
context: You've been monitoring our heartbeats the whole time and\telling Izuna where we were, right?\Impossible...\They knew it, and took advantage of it?\Ultimately, there are only two actions you can take in a game.\Advance your own strategy,\or respond to another player's strategy.\It's a question of who has the initiative. response:	In this case, we held the initiative throughout the entire game.
context: telling Izuna where we were, right?\Impossible...\They knew it, and took advantage of it?\Ultimately, there are only two actions you can take in a game.\Advance your own strategy,\or respond to another player's strategy.\It's a question of who has the initiative.\In this case, we held the initiative throughout the entire game. response:	That's all there is to it.
context: Impossible...\They knew it, and took advantage of it?\Ultimately, there are only two actions you can take in a game.\Advance your own strategy,\or respond to another player's strategy.\It's a question of who has the initiative.\In this case, we held the initiative throughout the entire game.\That's all there is to it. response:	You thought you were making moves,
context: They knew it, and took advantage of it?\Ultimately, there are only two actions you can take in a game.\Advance your own strategy,\or respond to another player's strategy.\It's a question of who has the initiative.\In this case, we held the initiative throughout the entire game.\That's all there is to it.\You thought you were making moves, response:	but we were controlling what you did.
context: Ultimately, there are only two actions you can take in a game.\Advance your own strategy,\or respond to another player's strategy.\It's a question of who has the initiative.\In this case, we held the initiative throughout the entire game.\That's all there is to it.\You thought you were making moves,\but we were controlling what you did. response:	It wasn't precognition; the result was inevitable.
context: Advance your own strategy,\or respond to another player's strategy.\It's a question of who has the initiative.\In this case, we held the initiative throughout the entire game.\That's all there is to it.\You thought you were making moves,\but we were controlling what you did.\It wasn't precognition; the result was inevitable. response:	The weak have their own way of fighting.
context: or respond to another player's strategy.\It's a question of who has the initiative.\In this case, we held the initiative throughout the entire game.\That's all there is to it.\You thought you were making moves,\but we were controlling what you did.\It wasn't precognition; the result was inevitable.\The weak have their own way of fighting. response:	We leave it to the strong to fight each other head-on.
context: It's a question of who has the initiative.\In this case, we held the initiative throughout the entire game.\That's all there is to it.\You thought you were making moves,\but we were controlling what you did.\It wasn't precognition; the result was inevitable.\The weak have their own way of fighting.\We leave it to the strong to fight each other head-on. response:	Now then, can we get our declaration of victory, old man?
context: In this case, we held the initiative throughout the entire game.\That's all there is to it.\You thought you were making moves,\but we were controlling what you did.\It wasn't precognition; the result was inevitable.\The weak have their own way of fighting.\We leave it to the strong to fight each other head-on.\Now then, can we get our declaration of victory, old man? response:	The winner is Elkia.
context: That's all there is to it.\You thought you were making moves,\but we were controlling what you did.\It wasn't precognition; the result was inevitable.\The weak have their own way of fighting.\We leave it to the strong to fight each other head-on.\Now then, can we get our declaration of victory, old man?\The winner is Elkia. response:	In accordance with the pledges,
context: You thought you were making moves,\but we were controlling what you did.\It wasn't precognition; the result was inevitable.\The weak have their own way of fighting.\We leave it to the strong to fight each other head-on.\Now then, can we get our declaration of victory, old man?\The winner is Elkia.\In accordance with the pledges, response:	the Eastern Federation turns over all rights it owns on the continent
context: but we were controlling what you did.\It wasn't precognition; the result was inevitable.\The weak have their own way of fighting.\We leave it to the strong to fight each other head-on.\Now then, can we get our declaration of victory, old man?\The winner is Elkia.\In accordance with the pledges,\the Eastern Federation turns over all rights it owns on the continent response:	to the kingdom of Elkia.
context: It wasn't precognition; the result was inevitable.\The weak have their own way of fighting.\We leave it to the strong to fight each other head-on.\Now then, can we get our declaration of victory, old man?\The winner is Elkia.\In accordance with the pledges,\the Eastern Federation turns over all rights it owns on the continent\to the kingdom of Elkia. response:	Hey, Brother...
context: The weak have their own way of fighting.\We leave it to the strong to fight each other head-on.\Now then, can we get our declaration of victory, old man?\The winner is Elkia.\In accordance with the pledges,\the Eastern Federation turns over all rights it owns on the continent\to the kingdom of Elkia.\Hey, Brother... response:	You deliberately left my shirt, so why did you aim for my panties?
context: We leave it to the strong to fight each other head-on.\Now then, can we get our declaration of victory, old man?\The winner is Elkia.\In accordance with the pledges,\the Eastern Federation turns over all rights it owns on the continent\to the kingdom of Elkia.\Hey, Brother...\You deliberately left my shirt, so why did you aim for my panties? response:	Don't ask that! You know the answer!
context: Now then, can we get our declaration of victory, old man?\The winner is Elkia.\In accordance with the pledges,\the Eastern Federation turns over all rights it owns on the continent\to the kingdom of Elkia.\Hey, Brother...\You deliberately left my shirt, so why did you aim for my panties?\Don't ask that! You know the answer! response:	I couldn't let all these people see you naked!
context: The winner is Elkia.\In accordance with the pledges,\the Eastern Federation turns over all rights it owns on the continent\to the kingdom of Elkia.\Hey, Brother...\You deliberately left my shirt, so why did you aim for my panties?\Don't ask that! You know the answer!\I couldn't let all these people see you naked! response:	You're talking like it doesn't matter if they see me naked!
context: In accordance with the pledges,\the Eastern Federation turns over all rights it owns on the continent\to the kingdom of Elkia.\Hey, Brother...\You deliberately left my shirt, so why did you aim for my panties?\Don't ask that! You know the answer!\I couldn't let all these people see you naked!\You're talking like it doesn't matter if they see me naked! response:	Now, now, your magnificent actions won the day, Dola-chan.
context: the Eastern Federation turns over all rights it owns on the continent\to the kingdom of Elkia.\Hey, Brother...\You deliberately left my shirt, so why did you aim for my panties?\Don't ask that! You know the answer!\I couldn't let all these people see you naked!\You're talking like it doesn't matter if they see me naked!\Now, now, your magnificent actions won the day, Dola-chan. response:	Oh, Jibril. Good work.
context: to the kingdom of Elkia.\Hey, Brother...\You deliberately left my shirt, so why did you aim for my panties?\Don't ask that! You know the answer!\I couldn't let all these people see you naked!\You're talking like it doesn't matter if they see me naked!\Now, now, your magnificent actions won the day, Dola-chan.\Oh, Jibril. Good work. response:	You did everything according to plan. Well done.
context: Hey, Brother...\You deliberately left my shirt, so why did you aim for my panties?\Don't ask that! You know the answer!\I couldn't let all these people see you naked!\You're talking like it doesn't matter if they see me naked!\Now, now, your magnificent actions won the day, Dola-chan.\Oh, Jibril. Good work.\You did everything according to plan. Well done. response:	Yes. I'll do anything you order, Master.
context: You deliberately left my shirt, so why did you aim for my panties?\Don't ask that! You know the answer!\I couldn't let all these people see you naked!\You're talking like it doesn't matter if they see me naked!\Now, now, your magnificent actions won the day, Dola-chan.\Oh, Jibril. Good work.\You did everything according to plan. Well done.\Yes. I'll do anything you order, Master. response:	Now...
context: Don't ask that! You know the answer!\I couldn't let all these people see you naked!\You're talking like it doesn't matter if they see me naked!\Now, now, your magnificent actions won the day, Dola-chan.\Oh, Jibril. Good work.\You did everything according to plan. Well done.\Yes. I'll do anything you order, Master.\Now... response:	Now... the Eastern Federation is...
context: I couldn't let all these people see you naked!\You're talking like it doesn't matter if they see me naked!\Now, now, your magnificent actions won the day, Dola-chan.\Oh, Jibril. Good work.\You did everything according to plan. Well done.\Yes. I'll do anything you order, Master.\Now...\Now... the Eastern Federation is... response:	The Warbeasts are...
context: You're talking like it doesn't matter if they see me naked!\Now, now, your magnificent actions won the day, Dola-chan.\Oh, Jibril. Good work.\You did everything according to plan. Well done.\Yes. I'll do anything you order, Master.\Now...\Now... the Eastern Federation is...\The Warbeasts are... response:	Izuna, it's not your fault.
context: Now, now, your magnificent actions won the day, Dola-chan.\Oh, Jibril. Good work.\You did everything according to plan. Well done.\Yes. I'll do anything you order, Master.\Now...\Now... the Eastern Federation is...\The Warbeasts are...\Izuna, it's not your fault. response:	The home country decided it, and I ordered it.
context: Oh, Jibril. Good work.\You did everything according to plan. Well done.\Yes. I'll do anything you order, Master.\Now...\Now... the Eastern Federation is...\The Warbeasts are...\Izuna, it's not your fault.\The home country decided it, and I ordered it. response:	That's not it, is it, Izuna?
context: You did everything according to plan. Well done.\Yes. I'll do anything you order, Master.\Now...\Now... the Eastern Federation is...\The Warbeasts are...\Izuna, it's not your fault.\The home country decided it, and I ordered it.\That's not it, is it, Izuna? response:	You're confused and don't know what to do, because you had fun.
context: Yes. I'll do anything you order, Master.\Now...\Now... the Eastern Federation is...\The Warbeasts are...\Izuna, it's not your fault.\The home country decided it, and I ordered it.\That's not it, is it, Izuna?\You're confused and don't know what to do, because you had fun. response:	Right?
context: Now...\Now... the Eastern Federation is...\The Warbeasts are...\Izuna, it's not your fault.\The home country decided it, and I ordered it.\That's not it, is it, Izuna?\You're confused and don't know what to do, because you had fun.\Right? response:	That's impossible.
context: Now... the Eastern Federation is...\The Warbeasts are...\Izuna, it's not your fault.\The home country decided it, and I ordered it.\That's not it, is it, Izuna?\You're confused and don't know what to do, because you had fun.\Right?\That's impossible. response:	So many people are going to suffer because I lost.
context: The Warbeasts are...\Izuna, it's not your fault.\The home country decided it, and I ordered it.\That's not it, is it, Izuna?\You're confused and don't know what to do, because you had fun.\Right?\That's impossible.\So many people are going to suffer because I lost. response:	But you were
context: Izuna, it's not your fault.\The home country decided it, and I ordered it.\That's not it, is it, Izuna?\You're confused and don't know what to do, because you had fun.\Right?\That's impossible.\So many people are going to suffer because I lost.\But you were response:	smiling then, Izuna-tan.
context: The home country decided it, and I ordered it.\That's not it, is it, Izuna?\You're confused and don't know what to do, because you had fun.\Right?\That's impossible.\So many people are going to suffer because I lost.\But you were\smiling then, Izuna-tan. response:	Why?
context: That's not it, is it, Izuna?\You're confused and don't know what to do, because you had fun.\Right?\That's impossible.\So many people are going to suffer because I lost.\But you were\smiling then, Izuna-tan.\Why? response:	Why did I smile?
context: You're confused and don't know what to do, because you had fun.\Right?\That's impossible.\So many people are going to suffer because I lost.\But you were\smiling then, Izuna-tan.\Why?\Why did I smile? response:	Because I did, the Eastern Federation will be taken over,
context: Right?\That's impossible.\So many people are going to suffer because I lost.\But you were\smiling then, Izuna-tan.\Why?\Why did I smile?\Because I did, the Eastern Federation will be taken over, response:	and so many people will...
context: That's impossible.\So many people are going to suffer because I lost.\But you were\smiling then, Izuna-tan.\Why?\Why did I smile?\Because I did, the Eastern Federation will be taken over,\and so many people will... response:	And it's all my fault for having fun.
context: So many people are going to suffer because I lost.\But you were\smiling then, Izuna-tan.\Why?\Why did I smile?\Because I did, the Eastern Federation will be taken over,\and so many people will...\And it's all my fault for having fun. response:	Don't worry.
context: But you were\smiling then, Izuna-tan.\Why?\Why did I smile?\Because I did, the Eastern Federation will be taken over,\and so many people will...\And it's all my fault for having fun.\Don't worry. response:	We would've won, no matter what you thought.
context: smiling then, Izuna-tan.\Why?\Why did I smile?\Because I did, the Eastern Federation will be taken over,\and so many people will...\And it's all my fault for having fun.\Don't worry.\We would've won, no matter what you thought. response:	Well?
context: Why?\Why did I smile?\Because I did, the Eastern Federation will be taken over,\and so many people will...\And it's all my fault for having fun.\Don't worry.\We would've won, no matter what you thought.\Well? response:	How does it feel to know
context: Why did I smile?\Because I did, the Eastern Federation will be taken over,\and so many people will...\And it's all my fault for having fun.\Don't worry.\We would've won, no matter what you thought.\Well?\How does it feel to know response:	that there's an enemy you can't defeat, no matter how hard you try?
context: Because I did, the Eastern Federation will be taken over,\and so many people will...\And it's all my fault for having fun.\Don't worry.\We would've won, no matter what you thought.\Well?\How does it feel to know\that there's an enemy you can't defeat, no matter how hard you try? response:	To put it mildly...
context: and so many people will...\And it's all my fault for having fun.\Don't worry.\We would've won, no matter what you thought.\Well?\How does it feel to know\that there's an enemy you can't defeat, no matter how hard you try?\To put it mildly... response:	It's awesome...
context: And it's all my fault for having fun.\Don't worry.\We would've won, no matter what you thought.\Well?\How does it feel to know\that there's an enemy you can't defeat, no matter how hard you try?\To put it mildly...\It's awesome... response:	Right?
