context: Yeah! The ocean! response:	The ocean!
context: I'm sure Mari will do a lot of studying,\and become a researcher just like her father!\Huh? I don't know about that.\Well, we're almost there!\Episode 8 Bell's Decision\It's so big!\Isn't it extravagant?\Are you sure we can stay in this house? response:	My parents built it for fun.
context: and become a researcher just like her father!\Huh? I don't know about that.\Well, we're almost there!\Episode 8 Bell's Decision\It's so big!\Isn't it extravagant?\Are you sure we can stay in this house?\My parents built it for fun. response:	It's a waste if we don't use it now and then.
context: Huh? I don't know about that.\Well, we're almost there!\Episode 8 Bell's Decision\It's so big!\Isn't it extravagant?\Are you sure we can stay in this house?\My parents built it for fun.\It's a waste if we don't use it now and then. response:	Mari, take care of Rika, okay?
context: Well, we're almost there!\Episode 8 Bell's Decision\It's so big!\Isn't it extravagant?\Are you sure we can stay in this house?\My parents built it for fun.\It's a waste if we don't use it now and then.\Mari, take care of Rika, okay? response:	Okay!
context: Episode 8 Bell's Decision\It's so big!\Isn't it extravagant?\Are you sure we can stay in this house?\My parents built it for fun.\It's a waste if we don't use it now and then.\Mari, take care of Rika, okay?\Okay! response:	Miwa
context: It's so big!\Isn't it extravagant?\Are you sure we can stay in this house?\My parents built it for fun.\It's a waste if we don't use it now and then.\Mari, take care of Rika, okay?\Okay!\Miwa response:	Miwa? Wait...
context: Isn't it extravagant?\Are you sure we can stay in this house?\My parents built it for fun.\It's a waste if we don't use it now and then.\Mari, take care of Rika, okay?\Okay!\Miwa\Miwa? Wait... response:	Are your parents from the Miwa Concern?
context: Are you sure we can stay in this house?\My parents built it for fun.\It's a waste if we don't use it now and then.\Mari, take care of Rika, okay?\Okay!\Miwa\Miwa? Wait...\Are your parents from the Miwa Concern? response:	Oh, yes...
context: My parents built it for fun.\It's a waste if we don't use it now and then.\Mari, take care of Rika, okay?\Okay!\Miwa\Miwa? Wait...\Are your parents from the Miwa Concern?\Oh, yes... response:	I never knew! So you're very wealthy, aren't you?
context: It's a waste if we don't use it now and then.\Mari, take care of Rika, okay?\Okay!\Miwa\Miwa? Wait...\Are your parents from the Miwa Concern?\Oh, yes...\I never knew! So you're very wealthy, aren't you? response:	My parents are my parents. I'm me.
context: Mari, take care of Rika, okay?\Okay!\Miwa\Miwa? Wait...\Are your parents from the Miwa Concern?\Oh, yes...\I never knew! So you're very wealthy, aren't you?\My parents are my parents. I'm me. response:	Wow! The ceilings are so high!
context: Okay!\Miwa\Miwa? Wait...\Are your parents from the Miwa Concern?\Oh, yes...\I never knew! So you're very wealthy, aren't you?\My parents are my parents. I'm me.\Wow! The ceilings are so high! response:	Yeah!
context: Miwa\Miwa? Wait...\Are your parents from the Miwa Concern?\Oh, yes...\I never knew! So you're very wealthy, aren't you?\My parents are my parents. I'm me.\Wow! The ceilings are so high!\Yeah! response:	Yahoo!
context: Miwa? Wait...\Are your parents from the Miwa Concern?\Oh, yes...\I never knew! So you're very wealthy, aren't you?\My parents are my parents. I'm me.\Wow! The ceilings are so high!\Yeah!\Yahoo! response:	It really echoes!
context: Are your parents from the Miwa Concern?\Oh, yes...\I never knew! So you're very wealthy, aren't you?\My parents are my parents. I'm me.\Wow! The ceilings are so high!\Yeah!\Yahoo!\It really echoes! response:	Echoes!
context: Oh, yes...\I never knew! So you're very wealthy, aren't you?\My parents are my parents. I'm me.\Wow! The ceilings are so high!\Yeah!\Yahoo!\It really echoes!\Echoes! response:	Waka, want to explore the rooms?
context: I never knew! So you're very wealthy, aren't you?\My parents are my parents. I'm me.\Wow! The ceilings are so high!\Yeah!\Yahoo!\It really echoes!\Echoes!\Waka, want to explore the rooms? response:	Yeah! Let's go!
context: My parents are my parents. I'm me.\Wow! The ceilings are so high!\Yeah!\Yahoo!\It really echoes!\Echoes!\Waka, want to explore the rooms?\Yeah! Let's go! response:	This way!
context: Wow! The ceilings are so high!\Yeah!\Yahoo!\It really echoes!\Echoes!\Waka, want to explore the rooms?\Yeah! Let's go!\This way! response:	Do you think I could, too?
context: Yeah!\Yahoo!\It really echoes!\Echoes!\Waka, want to explore the rooms?\Yeah! Let's go!\This way!\Do you think I could, too? response:	Rika, too!
context: Yahoo!\It really echoes!\Echoes!\Waka, want to explore the rooms?\Yeah! Let's go!\This way!\Do you think I could, too?\Rika, too! response:	Could you look after Rika, then?
context: It really echoes!\Echoes!\Waka, want to explore the rooms?\Yeah! Let's go!\This way!\Do you think I could, too?\Rika, too!\Could you look after Rika, then? response:	Yes!
context: Echoes!\Waka, want to explore the rooms?\Yeah! Let's go!\This way!\Do you think I could, too?\Rika, too!\Could you look after Rika, then?\Yes! response:	Rika, let's go.
context: Waka, want to explore the rooms?\Yeah! Let's go!\This way!\Do you think I could, too?\Rika, too!\Could you look after Rika, then?\Yes!\Rika, let's go. response:	Okay!
context: Yeah! Let's go!\This way!\Do you think I could, too?\Rika, too!\Could you look after Rika, then?\Yes!\Rika, let's go.\Okay! response:	It's lovely!
context: This way!\Do you think I could, too?\Rika, too!\Could you look after Rika, then?\Yes!\Rika, let's go.\Okay!\It's lovely! response:	How many rooms are there?
context: Do you think I could, too?\Rika, too!\Could you look after Rika, then?\Yes!\Rika, let's go.\Okay!\It's lovely!\How many rooms are there? response:	I dunno!
context: Rika, too!\Could you look after Rika, then?\Yes!\Rika, let's go.\Okay!\It's lovely!\How many rooms are there?\I dunno! response:	Oh, Rika, wait!
context: Could you look after Rika, then?\Yes!\Rika, let's go.\Okay!\It's lovely!\How many rooms are there?\I dunno!\Oh, Rika, wait! response:	Come on now! Really...
context: Yes!\Rika, let's go.\Okay!\It's lovely!\How many rooms are there?\I dunno!\Oh, Rika, wait!\Come on now! Really... response:	Mom...
context: Rika, let's go.\Okay!\It's lovely!\How many rooms are there?\I dunno!\Oh, Rika, wait!\Come on now! Really...\Mom... response:	It's sparkly!
context: Okay!\It's lovely!\How many rooms are there?\I dunno!\Oh, Rika, wait!\Come on now! Really...\Mom...\It's sparkly! response:	Yes, it is beautiful!
context: It's lovely!\How many rooms are there?\I dunno!\Oh, Rika, wait!\Come on now! Really...\Mom...\It's sparkly!\Yes, it is beautiful! response:	Get me one, Rei!
context: How many rooms are there?\I dunno!\Oh, Rika, wait!\Come on now! Really...\Mom...\It's sparkly!\Yes, it is beautiful!\Get me one, Rei! response:	I think it's too high for me to reach...
context: I dunno!\Oh, Rika, wait!\Come on now! Really...\Mom...\It's sparkly!\Yes, it is beautiful!\Get me one, Rei!\I think it's too high for me to reach... response:	The blue sky, the shining sea. It's so nice.
context: Oh, Rika, wait!\Come on now! Really...\Mom...\It's sparkly!\Yes, it is beautiful!\Get me one, Rei!\I think it's too high for me to reach...\The blue sky, the shining sea. It's so nice. response:	The salt air brushing my cheeks...
context: Come on now! Really...\Mom...\It's sparkly!\Yes, it is beautiful!\Get me one, Rei!\I think it's too high for me to reach...\The blue sky, the shining sea. It's so nice.\The salt air brushing my cheeks... response:	Summer days spent at an extravagant villa...
context: Mom...\It's sparkly!\Yes, it is beautiful!\Get me one, Rei!\I think it's too high for me to reach...\The blue sky, the shining sea. It's so nice.\The salt air brushing my cheeks...\Summer days spent at an extravagant villa... response:	But why couldn't that jerk have come with us?
context: It's sparkly!\Yes, it is beautiful!\Get me one, Rei!\I think it's too high for me to reach...\The blue sky, the shining sea. It's so nice.\The salt air brushing my cheeks...\Summer days spent at an extravagant villa...\But why couldn't that jerk have come with us? response:	You mean Futa?
context: Yes, it is beautiful!\Get me one, Rei!\I think it's too high for me to reach...\The blue sky, the shining sea. It's so nice.\The salt air brushing my cheeks...\Summer days spent at an extravagant villa...\But why couldn't that jerk have come with us?\You mean Futa? response:	Huh?
context: Get me one, Rei!\I think it's too high for me to reach...\The blue sky, the shining sea. It's so nice.\The salt air brushing my cheeks...\Summer days spent at an extravagant villa...\But why couldn't that jerk have come with us?\You mean Futa?\Huh? response:	Waka, you invited him, right?
context: I think it's too high for me to reach...\The blue sky, the shining sea. It's so nice.\The salt air brushing my cheeks...\Summer days spent at an extravagant villa...\But why couldn't that jerk have come with us?\You mean Futa?\Huh?\Waka, you invited him, right? response:	I guess, but...
context: The blue sky, the shining sea. It's so nice.\The salt air brushing my cheeks...\Summer days spent at an extravagant villa...\But why couldn't that jerk have come with us?\You mean Futa?\Huh?\Waka, you invited him, right?\I guess, but... response:	He said no because he had a soccer match.
context: The salt air brushing my cheeks...\Summer days spent at an extravagant villa...\But why couldn't that jerk have come with us?\You mean Futa?\Huh?\Waka, you invited him, right?\I guess, but...\He said no because he had a soccer match. response:	It's hard being far away and not getting to see each other.
context: Summer days spent at an extravagant villa...\But why couldn't that jerk have come with us?\You mean Futa?\Huh?\Waka, you invited him, right?\I guess, but...\He said no because he had a soccer match.\It's hard being far away and not getting to see each other. response:	Hey, now, you'll see him again when school starts.
context: But why couldn't that jerk have come with us?\You mean Futa?\Huh?\Waka, you invited him, right?\I guess, but...\He said no because he had a soccer match.\It's hard being far away and not getting to see each other.\Hey, now, you'll see him again when school starts. response:	Here.
context: You mean Futa?\Huh?\Waka, you invited him, right?\I guess, but...\He said no because he had a soccer match.\It's hard being far away and not getting to see each other.\Hey, now, you'll see him again when school starts.\Here. response:	Ma'am, isn't it hard for you, not seeing your husband for three years?
context: Huh?\Waka, you invited him, right?\I guess, but...\He said no because he had a soccer match.\It's hard being far away and not getting to see each other.\Hey, now, you'll see him again when school starts.\Here.\Ma'am, isn't it hard for you, not seeing your husband for three years? response:	What?
context: Waka, you invited him, right?\I guess, but...\He said no because he had a soccer match.\It's hard being far away and not getting to see each other.\Hey, now, you'll see him again when school starts.\Here.\Ma'am, isn't it hard for you, not seeing your husband for three years?\What? response:	Waka!
context: I guess, but...\He said no because he had a soccer match.\It's hard being far away and not getting to see each other.\Hey, now, you'll see him again when school starts.\Here.\Ma'am, isn't it hard for you, not seeing your husband for three years?\What?\Waka! response:	Oh, yes.
context: He said no because he had a soccer match.\It's hard being far away and not getting to see each other.\Hey, now, you'll see him again when school starts.\Here.\Ma'am, isn't it hard for you, not seeing your husband for three years?\What?\Waka!\Oh, yes. response:	Well, we met while I was abroad.
context: It's hard being far away and not getting to see each other.\Hey, now, you'll see him again when school starts.\Here.\Ma'am, isn't it hard for you, not seeing your husband for three years?\What?\Waka!\Oh, yes.\Well, we met while I was abroad. response:	And when he went back to Japan, I stayed in Paris,
context: Hey, now, you'll see him again when school starts.\Here.\Ma'am, isn't it hard for you, not seeing your husband for three years?\What?\Waka!\Oh, yes.\Well, we met while I was abroad.\And when he went back to Japan, I stayed in Paris, response:	so we've gone a year at a time without seeing each other.
context: Here.\Ma'am, isn't it hard for you, not seeing your husband for three years?\What?\Waka!\Oh, yes.\Well, we met while I was abroad.\And when he went back to Japan, I stayed in Paris,\so we've gone a year at a time without seeing each other. response:	A year? You're so strong...
context: Ma'am, isn't it hard for you, not seeing your husband for three years?\What?\Waka!\Oh, yes.\Well, we met while I was abroad.\And when he went back to Japan, I stayed in Paris,\so we've gone a year at a time without seeing each other.\A year? You're so strong... response:	Yeah.
context: What?\Waka!\Oh, yes.\Well, we met while I was abroad.\And when he went back to Japan, I stayed in Paris,\so we've gone a year at a time without seeing each other.\A year? You're so strong...\Yeah. response:	He loves to be free, and hates carrying things like cell phones.
context: Waka!\Oh, yes.\Well, we met while I was abroad.\And when he went back to Japan, I stayed in Paris,\so we've gone a year at a time without seeing each other.\A year? You're so strong...\Yeah.\He loves to be free, and hates carrying things like cell phones. response:	So I'm used to not being in touch with him.
context: Oh, yes.\Well, we met while I was abroad.\And when he went back to Japan, I stayed in Paris,\so we've gone a year at a time without seeing each other.\A year? You're so strong...\Yeah.\He loves to be free, and hates carrying things like cell phones.\So I'm used to not being in touch with him. response:	What? He doesn't even have a cell phone?
context: Well, we met while I was abroad.\And when he went back to Japan, I stayed in Paris,\so we've gone a year at a time without seeing each other.\A year? You're so strong...\Yeah.\He loves to be free, and hates carrying things like cell phones.\So I'm used to not being in touch with him.\What? He doesn't even have a cell phone? response:	He never carries one.
context: And when he went back to Japan, I stayed in Paris,\so we've gone a year at a time without seeing each other.\A year? You're so strong...\Yeah.\He loves to be free, and hates carrying things like cell phones.\So I'm used to not being in touch with him.\What? He doesn't even have a cell phone?\He never carries one. response:	Never carries a cell phone? How old-fashioned...
context: so we've gone a year at a time without seeing each other.\A year? You're so strong...\Yeah.\He loves to be free, and hates carrying things like cell phones.\So I'm used to not being in touch with him.\What? He doesn't even have a cell phone?\He never carries one.\Never carries a cell phone? How old-fashioned... response:	Waka...
context: A year? You're so strong...\Yeah.\He loves to be free, and hates carrying things like cell phones.\So I'm used to not being in touch with him.\What? He doesn't even have a cell phone?\He never carries one.\Never carries a cell phone? How old-fashioned...\Waka... response:	But cell phones are a relatively recent invention.
context: Yeah.\He loves to be free, and hates carrying things like cell phones.\So I'm used to not being in touch with him.\What? He doesn't even have a cell phone?\He never carries one.\Never carries a cell phone? How old-fashioned...\Waka...\But cell phones are a relatively recent invention. response:	So I find that rather normal.
context: He loves to be free, and hates carrying things like cell phones.\So I'm used to not being in touch with him.\What? He doesn't even have a cell phone?\He never carries one.\Never carries a cell phone? How old-fashioned...\Waka...\But cell phones are a relatively recent invention.\So I find that rather normal. response:	Yeah!
context: So I'm used to not being in touch with him.\What? He doesn't even have a cell phone?\He never carries one.\Never carries a cell phone? How old-fashioned...\Waka...\But cell phones are a relatively recent invention.\So I find that rather normal.\Yeah! response:	When I was young, my husband didn't have a cell phone.
context: What? He doesn't even have a cell phone?\He never carries one.\Never carries a cell phone? How old-fashioned...\Waka...\But cell phones are a relatively recent invention.\So I find that rather normal.\Yeah!\When I was young, my husband didn't have a cell phone. response:	We'd end up waiting on either side of the Hachiko statue without seeing each other.
context: He never carries one.\Never carries a cell phone? How old-fashioned...\Waka...\But cell phones are a relatively recent invention.\So I find that rather normal.\Yeah!\When I was young, my husband didn't have a cell phone.\We'd end up waiting on either side of the Hachiko statue without seeing each other. response:	That close?
context: Never carries a cell phone? How old-fashioned...\Waka...\But cell phones are a relatively recent invention.\So I find that rather normal.\Yeah!\When I was young, my husband didn't have a cell phone.\We'd end up waiting on either side of the Hachiko statue without seeing each other.\That close? response:	That's right!
context: Waka...\But cell phones are a relatively recent invention.\So I find that rather normal.\Yeah!\When I was young, my husband didn't have a cell phone.\We'd end up waiting on either side of the Hachiko statue without seeing each other.\That close?\That's right! response:	I think that's because you're you, Mom.
context: But cell phones are a relatively recent invention.\So I find that rather normal.\Yeah!\When I was young, my husband didn't have a cell phone.\We'd end up waiting on either side of the Hachiko statue without seeing each other.\That close?\That's right!\I think that's because you're you, Mom. response:	Oh, really?
context: So I find that rather normal.\Yeah!\When I was young, my husband didn't have a cell phone.\We'd end up waiting on either side of the Hachiko statue without seeing each other.\That close?\That's right!\I think that's because you're you, Mom.\Oh, really? response:	I wonder what Papa's doing now.
context: Yeah!\When I was young, my husband didn't have a cell phone.\We'd end up waiting on either side of the Hachiko statue without seeing each other.\That close?\That's right!\I think that's because you're you, Mom.\Oh, really?\I wonder what Papa's doing now. response:	The Year 1876 (What is Now) Boston, America
context: When I was young, my husband didn't have a cell phone.\We'd end up waiting on either side of the Hachiko statue without seeing each other.\That close?\That's right!\I think that's because you're you, Mom.\Oh, really?\I wonder what Papa's doing now.\The Year 1876 (What is Now) Boston, America response:	Are you catching a cold?
context: We'd end up waiting on either side of the Hachiko statue without seeing each other.\That close?\That's right!\I think that's because you're you, Mom.\Oh, really?\I wonder what Papa's doing now.\The Year 1876 (What is Now) Boston, America\Are you catching a cold? response:	I think someone's spreading rumors about me.
context: That close?\That's right!\I think that's because you're you, Mom.\Oh, really?\I wonder what Papa's doing now.\The Year 1876 (What is Now) Boston, America\Are you catching a cold?\I think someone's spreading rumors about me. response:	Your Majesty.
context: That's right!\I think that's because you're you, Mom.\Oh, really?\I wonder what Papa's doing now.\The Year 1876 (What is Now) Boston, America\Are you catching a cold?\I think someone's spreading rumors about me.\Your Majesty. response:	Thank you so much for coming to view our classes.
context: I think that's because you're you, Mom.\Oh, really?\I wonder what Papa's doing now.\The Year 1876 (What is Now) Boston, America\Are you catching a cold?\I think someone's spreading rumors about me.\Your Majesty.\Thank you so much for coming to view our classes. response:	The honor is all mine, Mr. Bell.
context: Oh, really?\I wonder what Papa's doing now.\The Year 1876 (What is Now) Boston, America\Are you catching a cold?\I think someone's spreading rumors about me.\Your Majesty.\Thank you so much for coming to view our classes.\The honor is all mine, Mr. Bell. response:	The visible speech system your father invented was truly incredible!
context: I wonder what Papa's doing now.\The Year 1876 (What is Now) Boston, America\Are you catching a cold?\I think someone's spreading rumors about me.\Your Majesty.\Thank you so much for coming to view our classes.\The honor is all mine, Mr. Bell.\The visible speech system your father invented was truly incredible! response:	Now, let's try speaking together.
context: The Year 1876 (What is Now) Boston, America\Are you catching a cold?\I think someone's spreading rumors about me.\Your Majesty.\Thank you so much for coming to view our classes.\The honor is all mine, Mr. Bell.\The visible speech system your father invented was truly incredible!\Now, let's try speaking together. response:	-One good turn deserves another. -One good turn deserves another.
context: Are you catching a cold?\I think someone's spreading rumors about me.\Your Majesty.\Thank you so much for coming to view our classes.\The honor is all mine, Mr. Bell.\The visible speech system your father invented was truly incredible!\Now, let's try speaking together.\-One good turn deserves another. -One good turn deserves another. response:	You wouldn't think those children were deaf.
context: I think someone's spreading rumors about me.\Your Majesty.\Thank you so much for coming to view our classes.\The honor is all mine, Mr. Bell.\The visible speech system your father invented was truly incredible!\Now, let's try speaking together.\-One good turn deserves another. -One good turn deserves another.\You wouldn't think those children were deaf. response:	I would love to bring it back to Brazil.
context: Your Majesty.\Thank you so much for coming to view our classes.\The honor is all mine, Mr. Bell.\The visible speech system your father invented was truly incredible!\Now, let's try speaking together.\-One good turn deserves another. -One good turn deserves another.\You wouldn't think those children were deaf.\I would love to bring it back to Brazil. response:	Could I have a few of your books?
context: Thank you so much for coming to view our classes.\The honor is all mine, Mr. Bell.\The visible speech system your father invented was truly incredible!\Now, let's try speaking together.\-One good turn deserves another. -One good turn deserves another.\You wouldn't think those children were deaf.\I would love to bring it back to Brazil.\Could I have a few of your books? response:	Certainly, Your Majesty! I'll send them to you.
context: The honor is all mine, Mr. Bell.\The visible speech system your father invented was truly incredible!\Now, let's try speaking together.\-One good turn deserves another. -One good turn deserves another.\You wouldn't think those children were deaf.\I would love to bring it back to Brazil.\Could I have a few of your books?\Certainly, Your Majesty! I'll send them to you. response:	Thank you. Please, call me Dom Pedro.
context: The visible speech system your father invented was truly incredible!\Now, let's try speaking together.\-One good turn deserves another. -One good turn deserves another.\You wouldn't think those children were deaf.\I would love to bring it back to Brazil.\Could I have a few of your books?\Certainly, Your Majesty! I'll send them to you.\Thank you. Please, call me Dom Pedro. response:	Dom Pedro, then.
context: Now, let's try speaking together.\-One good turn deserves another. -One good turn deserves another.\You wouldn't think those children were deaf.\I would love to bring it back to Brazil.\Could I have a few of your books?\Certainly, Your Majesty! I'll send them to you.\Thank you. Please, call me Dom Pedro.\Dom Pedro, then. response:	Mabel, your fiance is-
context: -One good turn deserves another. -One good turn deserves another.\You wouldn't think those children were deaf.\I would love to bring it back to Brazil.\Could I have a few of your books?\Certainly, Your Majesty! I'll send them to you.\Thank you. Please, call me Dom Pedro.\Dom Pedro, then.\Mabel, your fiance is- response:	What?
context: You wouldn't think those children were deaf.\I would love to bring it back to Brazil.\Could I have a few of your books?\Certainly, Your Majesty! I'll send them to you.\Thank you. Please, call me Dom Pedro.\Dom Pedro, then.\Mabel, your fiance is-\What? response:	The emperor's addressing you.
context: I would love to bring it back to Brazil.\Could I have a few of your books?\Certainly, Your Majesty! I'll send them to you.\Thank you. Please, call me Dom Pedro.\Dom Pedro, then.\Mabel, your fiance is-\What?\The emperor's addressing you. response:	I'm sorry.
context: Could I have a few of your books?\Certainly, Your Majesty! I'll send them to you.\Thank you. Please, call me Dom Pedro.\Dom Pedro, then.\Mabel, your fiance is-\What?\The emperor's addressing you.\I'm sorry. response:	She's hard of hearing, too.
context: Certainly, Your Majesty! I'll send them to you.\Thank you. Please, call me Dom Pedro.\Dom Pedro, then.\Mabel, your fiance is-\What?\The emperor's addressing you.\I'm sorry.\She's hard of hearing, too. response:	If she can't see your lips, she can't understand what you're saying.
context: Thank you. Please, call me Dom Pedro.\Dom Pedro, then.\Mabel, your fiance is-\What?\The emperor's addressing you.\I'm sorry.\She's hard of hearing, too.\If she can't see your lips, she can't understand what you're saying. response:	I didn't know.
context: Dom Pedro, then.\Mabel, your fiance is-\What?\The emperor's addressing you.\I'm sorry.\She's hard of hearing, too.\If she can't see your lips, she can't understand what you're saying.\I didn't know. response:	Beautiful lady, I must be going.
context: Mabel, your fiance is-\What?\The emperor's addressing you.\I'm sorry.\She's hard of hearing, too.\If she can't see your lips, she can't understand what you're saying.\I didn't know.\Beautiful lady, I must be going. response:	Excellent work, everyone.
context: What?\The emperor's addressing you.\I'm sorry.\She's hard of hearing, too.\If she can't see your lips, she can't understand what you're saying.\I didn't know.\Beautiful lady, I must be going.\Excellent work, everyone. response:	Now, let's head back to the classroom.
context: The emperor's addressing you.\I'm sorry.\She's hard of hearing, too.\If she can't see your lips, she can't understand what you're saying.\I didn't know.\Beautiful lady, I must be going.\Excellent work, everyone.\Now, let's head back to the classroom. response:	Yes, sir!
context: I'm sorry.\She's hard of hearing, too.\If she can't see your lips, she can't understand what you're saying.\I didn't know.\Beautiful lady, I must be going.\Excellent work, everyone.\Now, let's head back to the classroom.\Yes, sir! response:	Thank you for your help before, Doctor...
context: She's hard of hearing, too.\If she can't see your lips, she can't understand what you're saying.\I didn't know.\Beautiful lady, I must be going.\Excellent work, everyone.\Now, let's head back to the classroom.\Yes, sir!\Thank you for your help before, Doctor... response:	Hayase!
context: If she can't see your lips, she can't understand what you're saying.\I didn't know.\Beautiful lady, I must be going.\Excellent work, everyone.\Now, let's head back to the classroom.\Yes, sir!\Thank you for your help before, Doctor...\Hayase! response:	Doctor Hayase.
context: I didn't know.\Beautiful lady, I must be going.\Excellent work, everyone.\Now, let's head back to the classroom.\Yes, sir!\Thank you for your help before, Doctor...\Hayase!\Doctor Hayase. response:	You came all the way from Japan to see our classes?
context: Beautiful lady, I must be going.\Excellent work, everyone.\Now, let's head back to the classroom.\Yes, sir!\Thank you for your help before, Doctor...\Hayase!\Doctor Hayase.\You came all the way from Japan to see our classes? response:	Well, I saw that code of yours.
context: Excellent work, everyone.\Now, let's head back to the classroom.\Yes, sir!\Thank you for your help before, Doctor...\Hayase!\Doctor Hayase.\You came all the way from Japan to see our classes?\Well, I saw that code of yours. response:	I thought it might be useful for learning pronunciation in different languages.
context: Now, let's head back to the classroom.\Yes, sir!\Thank you for your help before, Doctor...\Hayase!\Doctor Hayase.\You came all the way from Japan to see our classes?\Well, I saw that code of yours.\I thought it might be useful for learning pronunciation in different languages. response:	Exactly! Thank you!
context: Yes, sir!\Thank you for your help before, Doctor...\Hayase!\Doctor Hayase.\You came all the way from Japan to see our classes?\Well, I saw that code of yours.\I thought it might be useful for learning pronunciation in different languages.\Exactly! Thank you! response:	Ow!
context: Thank you for your help before, Doctor...\Hayase!\Doctor Hayase.\You came all the way from Japan to see our classes?\Well, I saw that code of yours.\I thought it might be useful for learning pronunciation in different languages.\Exactly! Thank you!\Ow! response:	That's a rather strong handshake.
context: Hayase!\Doctor Hayase.\You came all the way from Japan to see our classes?\Well, I saw that code of yours.\I thought it might be useful for learning pronunciation in different languages.\Exactly! Thank you!\Ow!\That's a rather strong handshake. response:	Oh, I'm sorry. I wasn't thinking.
context: Doctor Hayase.\You came all the way from Japan to see our classes?\Well, I saw that code of yours.\I thought it might be useful for learning pronunciation in different languages.\Exactly! Thank you!\Ow!\That's a rather strong handshake.\Oh, I'm sorry. I wasn't thinking. response:	Mabel?
context: You came all the way from Japan to see our classes?\Well, I saw that code of yours.\I thought it might be useful for learning pronunciation in different languages.\Exactly! Thank you!\Ow!\That's a rather strong handshake.\Oh, I'm sorry. I wasn't thinking.\Mabel? response:	It's a telegram from Father.
