context: My lord, you must return. response:	Enough, Tsunamoto.
context: But more importantly,\why is he sending the priestess he's been hiding back to Izumo?\Sanada Yukimura knows more than he lets on.\What's so important in Izumo that you and Sanada are doing this?\The Kushimitama.\The Kushimitama?\It's a relic that houses the soul of the gods.\The gods? response:	I suppose someone interested in the popular foreign deities,
context: why is he sending the priestess he's been hiding back to Izumo?\Sanada Yukimura knows more than he lets on.\What's so important in Izumo that you and Sanada are doing this?\The Kushimitama.\The Kushimitama?\It's a relic that houses the soul of the gods.\The gods?\I suppose someone interested in the popular foreign deities, response:	like Buddha or Kannon, wouldn't know what I'm talking about.
context: Sanada Yukimura knows more than he lets on.\What's so important in Izumo that you and Sanada are doing this?\The Kushimitama.\The Kushimitama?\It's a relic that houses the soul of the gods.\The gods?\I suppose someone interested in the popular foreign deities,\like Buddha or Kannon, wouldn't know what I'm talking about. response:	What do you intend to do with this soul of the gods?
context: What's so important in Izumo that you and Sanada are doing this?\The Kushimitama.\The Kushimitama?\It's a relic that houses the soul of the gods.\The gods?\I suppose someone interested in the popular foreign deities,\like Buddha or Kannon, wouldn't know what I'm talking about.\What do you intend to do with this soul of the gods? response:	I will acquire it and turn this world upside down.
context: The Kushimitama.\The Kushimitama?\It's a relic that houses the soul of the gods.\The gods?\I suppose someone interested in the popular foreign deities,\like Buddha or Kannon, wouldn't know what I'm talking about.\What do you intend to do with this soul of the gods?\I will acquire it and turn this world upside down. response:	Upside down?
context: The Kushimitama?\It's a relic that houses the soul of the gods.\The gods?\I suppose someone interested in the popular foreign deities,\like Buddha or Kannon, wouldn't know what I'm talking about.\What do you intend to do with this soul of the gods?\I will acquire it and turn this world upside down.\Upside down? response:	I will make the winds of change blow!
context: It's a relic that houses the soul of the gods.\The gods?\I suppose someone interested in the popular foreign deities,\like Buddha or Kannon, wouldn't know what I'm talking about.\What do you intend to do with this soul of the gods?\I will acquire it and turn this world upside down.\Upside down?\I will make the winds of change blow! response:	My lord seeks to bring misfortune to this world.
context: The gods?\I suppose someone interested in the popular foreign deities,\like Buddha or Kannon, wouldn't know what I'm talking about.\What do you intend to do with this soul of the gods?\I will acquire it and turn this world upside down.\Upside down?\I will make the winds of change blow!\My lord seeks to bring misfortune to this world. response:	He is the...
context: I suppose someone interested in the popular foreign deities,\like Buddha or Kannon, wouldn't know what I'm talking about.\What do you intend to do with this soul of the gods?\I will acquire it and turn this world upside down.\Upside down?\I will make the winds of change blow!\My lord seeks to bring misfortune to this world.\He is the... response:	The Souls of the Gods
context: like Buddha or Kannon, wouldn't know what I'm talking about.\What do you intend to do with this soul of the gods?\I will acquire it and turn this world upside down.\Upside down?\I will make the winds of change blow!\My lord seeks to bring misfortune to this world.\He is the...\The Souls of the Gods response:	That's Izumo Shrine?
context: What do you intend to do with this soul of the gods?\I will acquire it and turn this world upside down.\Upside down?\I will make the winds of change blow!\My lord seeks to bring misfortune to this world.\He is the...\The Souls of the Gods\That's Izumo Shrine? response:	Yeah.
context: I will acquire it and turn this world upside down.\Upside down?\I will make the winds of change blow!\My lord seeks to bring misfortune to this world.\He is the...\The Souls of the Gods\That's Izumo Shrine?\Yeah. response:	I'm glad we made it here safely.
context: Upside down?\I will make the winds of change blow!\My lord seeks to bring misfortune to this world.\He is the...\The Souls of the Gods\That's Izumo Shrine?\Yeah.\I'm glad we made it here safely. response:	Is there really anything left down there?
context: I will make the winds of change blow!\My lord seeks to bring misfortune to this world.\He is the...\The Souls of the Gods\That's Izumo Shrine?\Yeah.\I'm glad we made it here safely.\Is there really anything left down there? response:	Burnt to a crisp...
context: My lord seeks to bring misfortune to this world.\He is the...\The Souls of the Gods\That's Izumo Shrine?\Yeah.\I'm glad we made it here safely.\Is there really anything left down there?\Burnt to a crisp... response:	It looks completely destroyed.
context: He is the...\The Souls of the Gods\That's Izumo Shrine?\Yeah.\I'm glad we made it here safely.\Is there really anything left down there?\Burnt to a crisp...\It looks completely destroyed. response:	Sorry.
context: The Souls of the Gods\That's Izumo Shrine?\Yeah.\I'm glad we made it here safely.\Is there really anything left down there?\Burnt to a crisp...\It looks completely destroyed.\Sorry. response:	Let's go check it out!
context: That's Izumo Shrine?\Yeah.\I'm glad we made it here safely.\Is there really anything left down there?\Burnt to a crisp...\It looks completely destroyed.\Sorry.\Let's go check it out! response:	To destroy all of this...
context: Yeah.\I'm glad we made it here safely.\Is there really anything left down there?\Burnt to a crisp...\It looks completely destroyed.\Sorry.\Let's go check it out!\To destroy all of this... response:	They must have been desperate to get their hands on whatever it is.
context: I'm glad we made it here safely.\Is there really anything left down there?\Burnt to a crisp...\It looks completely destroyed.\Sorry.\Let's go check it out!\To destroy all of this...\They must have been desperate to get their hands on whatever it is. response:	Let's split up and look.
context: Is there really anything left down there?\Burnt to a crisp...\It looks completely destroyed.\Sorry.\Let's go check it out!\To destroy all of this...\They must have been desperate to get their hands on whatever it is.\Let's split up and look. response:	But we don't know what we're looking for.
context: Burnt to a crisp...\It looks completely destroyed.\Sorry.\Let's go check it out!\To destroy all of this...\They must have been desperate to get their hands on whatever it is.\Let's split up and look.\But we don't know what we're looking for. response:	Carefully examine anything that appears suspicious.
context: It looks completely destroyed.\Sorry.\Let's go check it out!\To destroy all of this...\They must have been desperate to get their hands on whatever it is.\Let's split up and look.\But we don't know what we're looking for.\Carefully examine anything that appears suspicious. response:	Isanami?
context: Sorry.\Let's go check it out!\To destroy all of this...\They must have been desperate to get their hands on whatever it is.\Let's split up and look.\But we don't know what we're looking for.\Carefully examine anything that appears suspicious.\Isanami? response:	Hey, Isanami!
context: Let's go check it out!\To destroy all of this...\They must have been desperate to get their hands on whatever it is.\Let's split up and look.\But we don't know what we're looking for.\Carefully examine anything that appears suspicious.\Isanami?\Hey, Isanami! response:	Right.
context: To destroy all of this...\They must have been desperate to get their hands on whatever it is.\Let's split up and look.\But we don't know what we're looking for.\Carefully examine anything that appears suspicious.\Isanami?\Hey, Isanami!\Right. response:	I'll go look over there.
context: They must have been desperate to get their hands on whatever it is.\Let's split up and look.\But we don't know what we're looking for.\Carefully examine anything that appears suspicious.\Isanami?\Hey, Isanami!\Right.\I'll go look over there. response:	Hey! Don't run off on your own!
context: Let's split up and look.\But we don't know what we're looking for.\Carefully examine anything that appears suspicious.\Isanami?\Hey, Isanami!\Right.\I'll go look over there.\Hey! Don't run off on your own! response:	I'll call you if something happens.
context: But we don't know what we're looking for.\Carefully examine anything that appears suspicious.\Isanami?\Hey, Isanami!\Right.\I'll go look over there.\Hey! Don't run off on your own!\I'll call you if something happens. response:	I'll go look around the perimeter.
context: Carefully examine anything that appears suspicious.\Isanami?\Hey, Isanami!\Right.\I'll go look over there.\Hey! Don't run off on your own!\I'll call you if something happens.\I'll go look around the perimeter. response:	You keep an eye on Isanami.
context: Isanami?\Hey, Isanami!\Right.\I'll go look over there.\Hey! Don't run off on your own!\I'll call you if something happens.\I'll go look around the perimeter.\You keep an eye on Isanami. response:	I'll fire a shot if I find anything.
context: Hey, Isanami!\Right.\I'll go look over there.\Hey! Don't run off on your own!\I'll call you if something happens.\I'll go look around the perimeter.\You keep an eye on Isanami.\I'll fire a shot if I find anything. response:	Sheesh. That woman...
context: Right.\I'll go look over there.\Hey! Don't run off on your own!\I'll call you if something happens.\I'll go look around the perimeter.\You keep an eye on Isanami.\I'll fire a shot if I find anything.\Sheesh. That woman... response:	This pillar used to be a beautiful red.
context: I'll go look over there.\Hey! Don't run off on your own!\I'll call you if something happens.\I'll go look around the perimeter.\You keep an eye on Isanami.\I'll fire a shot if I find anything.\Sheesh. That woman...\This pillar used to be a beautiful red. response:	The walls were a brilliant green.
context: Hey! Don't run off on your own!\I'll call you if something happens.\I'll go look around the perimeter.\You keep an eye on Isanami.\I'll fire a shot if I find anything.\Sheesh. That woman...\This pillar used to be a beautiful red.\The walls were a brilliant green. response:	It used to be such a colorful and welcoming place.
context: I'll call you if something happens.\I'll go look around the perimeter.\You keep an eye on Isanami.\I'll fire a shot if I find anything.\Sheesh. That woman...\This pillar used to be a beautiful red.\The walls were a brilliant green.\It used to be such a colorful and welcoming place. response:	Isanami, you're so good at that.
context: I'll go look around the perimeter.\You keep an eye on Isanami.\I'll fire a shot if I find anything.\Sheesh. That woman...\This pillar used to be a beautiful red.\The walls were a brilliant green.\It used to be such a colorful and welcoming place.\Isanami, you're so good at that. response:	You really are a great dancer.
context: You keep an eye on Isanami.\I'll fire a shot if I find anything.\Sheesh. That woman...\This pillar used to be a beautiful red.\The walls were a brilliant green.\It used to be such a colorful and welcoming place.\Isanami, you're so good at that.\You really are a great dancer. response:	Sisters...
context: I'll fire a shot if I find anything.\Sheesh. That woman...\This pillar used to be a beautiful red.\The walls were a brilliant green.\It used to be such a colorful and welcoming place.\Isanami, you're so good at that.\You really are a great dancer.\Sisters... response:	I'm sure you will become Izumo's best dancer.
context: Sheesh. That woman...\This pillar used to be a beautiful red.\The walls were a brilliant green.\It used to be such a colorful and welcoming place.\Isanami, you're so good at that.\You really are a great dancer.\Sisters...\I'm sure you will become Izumo's best dancer. response:	Master...
context: This pillar used to be a beautiful red.\The walls were a brilliant green.\It used to be such a colorful and welcoming place.\Isanami, you're so good at that.\You really are a great dancer.\Sisters...\I'm sure you will become Izumo's best dancer.\Master... response:	They're all...
context: The walls were a brilliant green.\It used to be such a colorful and welcoming place.\Isanami, you're so good at that.\You really are a great dancer.\Sisters...\I'm sure you will become Izumo's best dancer.\Master...\They're all... response:	Isanami.
context: It used to be such a colorful and welcoming place.\Isanami, you're so good at that.\You really are a great dancer.\Sisters...\I'm sure you will become Izumo's best dancer.\Master...\They're all...\Isanami. response:	I told you not to go off on your own.
context: Isanami, you're so good at that.\You really are a great dancer.\Sisters...\I'm sure you will become Izumo's best dancer.\Master...\They're all...\Isanami.\I told you not to go off on your own. response:	There's nothing over here.
context: You really are a great dancer.\Sisters...\I'm sure you will become Izumo's best dancer.\Master...\They're all...\Isanami.\I told you not to go off on your own.\There's nothing over here. response:	Looks like it.
context: Sisters...\I'm sure you will become Izumo's best dancer.\Master...\They're all...\Isanami.\I told you not to go off on your own.\There's nothing over here.\Looks like it. response:	Saizo, why don't you go look somewhere else?
context: I'm sure you will become Izumo's best dancer.\Master...\They're all...\Isanami.\I told you not to go off on your own.\There's nothing over here.\Looks like it.\Saizo, why don't you go look somewhere else? response:	What's wrong with you?
context: Master...\They're all...\Isanami.\I told you not to go off on your own.\There's nothing over here.\Looks like it.\Saizo, why don't you go look somewhere else?\What's wrong with you? response:	You're always saying we should go together.
context: They're all...\Isanami.\I told you not to go off on your own.\There's nothing over here.\Looks like it.\Saizo, why don't you go look somewhere else?\What's wrong with you?\You're always saying we should go together. response:	Hey.
context: Isanami.\I told you not to go off on your own.\There's nothing over here.\Looks like it.\Saizo, why don't you go look somewhere else?\What's wrong with you?\You're always saying we should go together.\Hey. response:	I was actually afraid to see Izumo again.
context: I told you not to go off on your own.\There's nothing over here.\Looks like it.\Saizo, why don't you go look somewhere else?\What's wrong with you?\You're always saying we should go together.\Hey.\I was actually afraid to see Izumo again. response:	As long as I didn't see it, I still had hope.
context: There's nothing over here.\Looks like it.\Saizo, why don't you go look somewhere else?\What's wrong with you?\You're always saying we should go together.\Hey.\I was actually afraid to see Izumo again.\As long as I didn't see it, I still had hope. response:	Hope that, maybe, someone survived,
context: Looks like it.\Saizo, why don't you go look somewhere else?\What's wrong with you?\You're always saying we should go together.\Hey.\I was actually afraid to see Izumo again.\As long as I didn't see it, I still had hope.\Hope that, maybe, someone survived, response:	and would be here to greet me.
context: Saizo, why don't you go look somewhere else?\What's wrong with you?\You're always saying we should go together.\Hey.\I was actually afraid to see Izumo again.\As long as I didn't see it, I still had hope.\Hope that, maybe, someone survived,\and would be here to greet me. response:	But it's...
context: What's wrong with you?\You're always saying we should go together.\Hey.\I was actually afraid to see Izumo again.\As long as I didn't see it, I still had hope.\Hope that, maybe, someone survived,\and would be here to greet me.\But it's... response:	It's all gone, isn't it?
context: You're always saying we should go together.\Hey.\I was actually afraid to see Izumo again.\As long as I didn't see it, I still had hope.\Hope that, maybe, someone survived,\and would be here to greet me.\But it's...\It's all gone, isn't it? response:	It hurts...
context: Hey.\I was actually afraid to see Izumo again.\As long as I didn't see it, I still had hope.\Hope that, maybe, someone survived,\and would be here to greet me.\But it's...\It's all gone, isn't it?\It hurts... response:	Wipe your nose.
context: I was actually afraid to see Izumo again.\As long as I didn't see it, I still had hope.\Hope that, maybe, someone survived,\and would be here to greet me.\But it's...\It's all gone, isn't it?\It hurts...\Wipe your nose. response:	It's filthy, so keep your face hidden for a while.
context: As long as I didn't see it, I still had hope.\Hope that, maybe, someone survived,\and would be here to greet me.\But it's...\It's all gone, isn't it?\It hurts...\Wipe your nose.\It's filthy, so keep your face hidden for a while. response:	Thank you...
context: Hope that, maybe, someone survived,\and would be here to greet me.\But it's...\It's all gone, isn't it?\It hurts...\Wipe your nose.\It's filthy, so keep your face hidden for a while.\Thank you... response:	Yeah.
context: and would be here to greet me.\But it's...\It's all gone, isn't it?\It hurts...\Wipe your nose.\It's filthy, so keep your face hidden for a while.\Thank you...\Yeah. response:	They should be arriving in Izumo about now.
context: But it's...\It's all gone, isn't it?\It hurts...\Wipe your nose.\It's filthy, so keep your face hidden for a while.\Thank you...\Yeah.\They should be arriving in Izumo about now. response:	Won't they go after Isanami?
context: It's all gone, isn't it?\It hurts...\Wipe your nose.\It's filthy, so keep your face hidden for a while.\Thank you...\Yeah.\They should be arriving in Izumo about now.\Won't they go after Isanami? response:	Probably.
context: It hurts...\Wipe your nose.\It's filthy, so keep your face hidden for a while.\Thank you...\Yeah.\They should be arriving in Izumo about now.\Won't they go after Isanami?\Probably. response:	If you sent her there knowing that, you must have a plan.
context: Wipe your nose.\It's filthy, so keep your face hidden for a while.\Thank you...\Yeah.\They should be arriving in Izumo about now.\Won't they go after Isanami?\Probably.\If you sent her there knowing that, you must have a plan. response:	A plan?
context: It's filthy, so keep your face hidden for a while.\Thank you...\Yeah.\They should be arriving in Izumo about now.\Won't they go after Isanami?\Probably.\If you sent her there knowing that, you must have a plan.\A plan? response:	There must be something in Izumo you needed Isanami to retrieve.
context: Thank you...\Yeah.\They should be arriving in Izumo about now.\Won't they go after Isanami?\Probably.\If you sent her there knowing that, you must have a plan.\A plan?\There must be something in Izumo you needed Isanami to retrieve. response:	Is that not what you thought?
context: Yeah.\They should be arriving in Izumo about now.\Won't they go after Isanami?\Probably.\If you sent her there knowing that, you must have a plan.\A plan?\There must be something in Izumo you needed Isanami to retrieve.\Is that not what you thought? response:	There are things about Izumo that only a local would know.
context: They should be arriving in Izumo about now.\Won't they go after Isanami?\Probably.\If you sent her there knowing that, you must have a plan.\A plan?\There must be something in Izumo you needed Isanami to retrieve.\Is that not what you thought?\There are things about Izumo that only a local would know. response:	That's all.
context: Won't they go after Isanami?\Probably.\If you sent her there knowing that, you must have a plan.\A plan?\There must be something in Izumo you needed Isanami to retrieve.\Is that not what you thought?\There are things about Izumo that only a local would know.\That's all. response:	I will bring you more tea.
context: Probably.\If you sent her there knowing that, you must have a plan.\A plan?\There must be something in Izumo you needed Isanami to retrieve.\Is that not what you thought?\There are things about Izumo that only a local would know.\That's all.\I will bring you more tea. response:	However, I do think they might run into someone along the way.
context: If you sent her there knowing that, you must have a plan.\A plan?\There must be something in Izumo you needed Isanami to retrieve.\Is that not what you thought?\There are things about Izumo that only a local would know.\That's all.\I will bring you more tea.\However, I do think they might run into someone along the way. response:	Who will it be this time?
context: A plan?\There must be something in Izumo you needed Isanami to retrieve.\Is that not what you thought?\There are things about Izumo that only a local would know.\That's all.\I will bring you more tea.\However, I do think they might run into someone along the way.\Who will it be this time? response:	Hey, Saizo.
context: There must be something in Izumo you needed Isanami to retrieve.\Is that not what you thought?\There are things about Izumo that only a local would know.\That's all.\I will bring you more tea.\However, I do think they might run into someone along the way.\Who will it be this time?\Hey, Saizo. response:	Why'd it have to be Izumo?
context: Is that not what you thought?\There are things about Izumo that only a local would know.\That's all.\I will bring you more tea.\However, I do think they might run into someone along the way.\Who will it be this time?\Hey, Saizo.\Why'd it have to be Izumo? response:	Why'd it have to be here, and not Kasuga or Ise?
context: There are things about Izumo that only a local would know.\That's all.\I will bring you more tea.\However, I do think they might run into someone along the way.\Who will it be this time?\Hey, Saizo.\Why'd it have to be Izumo?\Why'd it have to be here, and not Kasuga or Ise? response:	We're here to figure that out.
context: That's all.\I will bring you more tea.\However, I do think they might run into someone along the way.\Who will it be this time?\Hey, Saizo.\Why'd it have to be Izumo?\Why'd it have to be here, and not Kasuga or Ise?\We're here to figure that out. response:	You're right.
context: I will bring you more tea.\However, I do think they might run into someone along the way.\Who will it be this time?\Hey, Saizo.\Why'd it have to be Izumo?\Why'd it have to be here, and not Kasuga or Ise?\We're here to figure that out.\You're right. response:	Besides, we can't bring the dead back to life.
context: However, I do think they might run into someone along the way.\Who will it be this time?\Hey, Saizo.\Why'd it have to be Izumo?\Why'd it have to be here, and not Kasuga or Ise?\We're here to figure that out.\You're right.\Besides, we can't bring the dead back to life. response:	And you can't pretend it didn't happen,
context: Who will it be this time?\Hey, Saizo.\Why'd it have to be Izumo?\Why'd it have to be here, and not Kasuga or Ise?\We're here to figure that out.\You're right.\Besides, we can't bring the dead back to life.\And you can't pretend it didn't happen, response:	but at least you can figure out why it did.
context: Hey, Saizo.\Why'd it have to be Izumo?\Why'd it have to be here, and not Kasuga or Ise?\We're here to figure that out.\You're right.\Besides, we can't bring the dead back to life.\And you can't pretend it didn't happen,\but at least you can figure out why it did. response:	It might not make you feel any better,
context: Why'd it have to be Izumo?\Why'd it have to be here, and not Kasuga or Ise?\We're here to figure that out.\You're right.\Besides, we can't bring the dead back to life.\And you can't pretend it didn't happen,\but at least you can figure out why it did.\It might not make you feel any better, response:	but isn't it the most the living can do?
context: Why'd it have to be here, and not Kasuga or Ise?\We're here to figure that out.\You're right.\Besides, we can't bring the dead back to life.\And you can't pretend it didn't happen,\but at least you can figure out why it did.\It might not make you feel any better,\but isn't it the most the living can do? response:	Thank you, Saizo!
context: We're here to figure that out.\You're right.\Besides, we can't bring the dead back to life.\And you can't pretend it didn't happen,\but at least you can figure out why it did.\It might not make you feel any better,\but isn't it the most the living can do?\Thank you, Saizo! response:	Get off of me.
context: You're right.\Besides, we can't bring the dead back to life.\And you can't pretend it didn't happen,\but at least you can figure out why it did.\It might not make you feel any better,\but isn't it the most the living can do?\Thank you, Saizo!\Get off of me. response:	Get off.
context: Besides, we can't bring the dead back to life.\And you can't pretend it didn't happen,\but at least you can figure out why it did.\It might not make you feel any better,\but isn't it the most the living can do?\Thank you, Saizo!\Get off of me.\Get off. response:	Just for a little bit! It makes me feel safe!
context: And you can't pretend it didn't happen,\but at least you can figure out why it did.\It might not make you feel any better,\but isn't it the most the living can do?\Thank you, Saizo!\Get off of me.\Get off.\Just for a little bit! It makes me feel safe! response:	What?
context: but at least you can figure out why it did.\It might not make you feel any better,\but isn't it the most the living can do?\Thank you, Saizo!\Get off of me.\Get off.\Just for a little bit! It makes me feel safe!\What? response:	But if not for this thing we're looking for,
context: It might not make you feel any better,\but isn't it the most the living can do?\Thank you, Saizo!\Get off of me.\Get off.\Just for a little bit! It makes me feel safe!\What?\But if not for this thing we're looking for, response:	this place would have been peaceful.
context: but isn't it the most the living can do?\Thank you, Saizo!\Get off of me.\Get off.\Just for a little bit! It makes me feel safe!\What?\But if not for this thing we're looking for,\this place would have been peaceful. response:	Kakei-san's signal.
context: Thank you, Saizo!\Get off of me.\Get off.\Just for a little bit! It makes me feel safe!\What?\But if not for this thing we're looking for,\this place would have been peaceful.\Kakei-san's signal. response:	Kakei-san, did you find something?
context: Get off of me.\Get off.\Just for a little bit! It makes me feel safe!\What?\But if not for this thing we're looking for,\this place would have been peaceful.\Kakei-san's signal.\Kakei-san, did you find something? response:	No, nothing.
context: Get off.\Just for a little bit! It makes me feel safe!\What?\But if not for this thing we're looking for,\this place would have been peaceful.\Kakei-san's signal.\Kakei-san, did you find something?\No, nothing. response:	Didn't you say you'd fire your gun if you found something?
context: Just for a little bit! It makes me feel safe!\What?\But if not for this thing we're looking for,\this place would have been peaceful.\Kakei-san's signal.\Kakei-san, did you find something?\No, nothing.\Didn't you say you'd fire your gun if you found something? response:	I thought I should let you know I did not find anything.
context: What?\But if not for this thing we're looking for,\this place would have been peaceful.\Kakei-san's signal.\Kakei-san, did you find something?\No, nothing.\Didn't you say you'd fire your gun if you found something?\I thought I should let you know I did not find anything. response:	I see.
context: But if not for this thing we're looking for,\this place would have been peaceful.\Kakei-san's signal.\Kakei-san, did you find something?\No, nothing.\Didn't you say you'd fire your gun if you found something?\I thought I should let you know I did not find anything.\I see. response:	I searched everywhere, but it had all burnt down.
context: this place would have been peaceful.\Kakei-san's signal.\Kakei-san, did you find something?\No, nothing.\Didn't you say you'd fire your gun if you found something?\I thought I should let you know I did not find anything.\I see.\I searched everywhere, but it had all burnt down. response:	This trip has been worthless.
context: Kakei-san's signal.\Kakei-san, did you find something?\No, nothing.\Didn't you say you'd fire your gun if you found something?\I thought I should let you know I did not find anything.\I see.\I searched everywhere, but it had all burnt down.\This trip has been worthless. response:	What's wrong?
context: Kakei-san, did you find something?\No, nothing.\Didn't you say you'd fire your gun if you found something?\I thought I should let you know I did not find anything.\I see.\I searched everywhere, but it had all burnt down.\This trip has been worthless.\What's wrong? response:	Why didn't this burn down?
context: No, nothing.\Didn't you say you'd fire your gun if you found something?\I thought I should let you know I did not find anything.\I see.\I searched everywhere, but it had all burnt down.\This trip has been worthless.\What's wrong?\Why didn't this burn down? response:	It appears to be made of bronze.
context: Didn't you say you'd fire your gun if you found something?\I thought I should let you know I did not find anything.\I see.\I searched everywhere, but it had all burnt down.\This trip has been worthless.\What's wrong?\Why didn't this burn down?\It appears to be made of bronze. response:	That must be why it survived the fire.
context: I thought I should let you know I did not find anything.\I see.\I searched everywhere, but it had all burnt down.\This trip has been worthless.\What's wrong?\Why didn't this burn down?\It appears to be made of bronze.\That must be why it survived the fire. response:	It should at least be covered in soot.
context: I see.\I searched everywhere, but it had all burnt down.\This trip has been worthless.\What's wrong?\Why didn't this burn down?\It appears to be made of bronze.\That must be why it survived the fire.\It should at least be covered in soot. response:	Saizo?
context: I searched everywhere, but it had all burnt down.\This trip has been worthless.\What's wrong?\Why didn't this burn down?\It appears to be made of bronze.\That must be why it survived the fire.\It should at least be covered in soot.\Saizo? response:	This symbol...
context: This trip has been worthless.\What's wrong?\Why didn't this burn down?\It appears to be made of bronze.\That must be why it survived the fire.\It should at least be covered in soot.\Saizo?\This symbol... response:	Did you find something?
context: What's wrong?\Why didn't this burn down?\It appears to be made of bronze.\That must be why it survived the fire.\It should at least be covered in soot.\Saizo?\This symbol...\Did you find something? response:	It looks familiar...
context: Why didn't this burn down?\It appears to be made of bronze.\That must be why it survived the fire.\It should at least be covered in soot.\Saizo?\This symbol...\Did you find something?\It looks familiar... response:	Let me see. Hey, let me see.
context: It appears to be made of bronze.\That must be why it survived the fire.\It should at least be covered in soot.\Saizo?\This symbol...\Did you find something?\It looks familiar...\Let me see. Hey, let me see. response:	That's it. It's a yin-yang symbol.
context: That must be why it survived the fire.\It should at least be covered in soot.\Saizo?\This symbol...\Did you find something?\It looks familiar...\Let me see. Hey, let me see.\That's it. It's a yin-yang symbol. response:	But...
context: It should at least be covered in soot.\Saizo?\This symbol...\Did you find something?\It looks familiar...\Let me see. Hey, let me see.\That's it. It's a yin-yang symbol.\But... response:	But?
context: Saizo?\This symbol...\Did you find something?\It looks familiar...\Let me see. Hey, let me see.\That's it. It's a yin-yang symbol.\But...\But? response:	It's a little different from the actual symbol.
context: This symbol...\Did you find something?\It looks familiar...\Let me see. Hey, let me see.\That's it. It's a yin-yang symbol.\But...\But?\It's a little different from the actual symbol. response:	Let me see!
context: Did you find something?\It looks familiar...\Let me see. Hey, let me see.\That's it. It's a yin-yang symbol.\But...\But?\It's a little different from the actual symbol.\Let me see! response:	There must be some sort of trick.
context: It looks familiar...\Let me see. Hey, let me see.\That's it. It's a yin-yang symbol.\But...\But?\It's a little different from the actual symbol.\Let me see!\There must be some sort of trick. response:	Yeah.
context: Let me see. Hey, let me see.\That's it. It's a yin-yang symbol.\But...\But?\It's a little different from the actual symbol.\Let me see!\There must be some sort of trick.\Yeah. response:	Maybe we're supposed to make the correct symbol.
context: That's it. It's a yin-yang symbol.\But...\But?\It's a little different from the actual symbol.\Let me see!\There must be some sort of trick.\Yeah.\Maybe we're supposed to make the correct symbol. response:	Can those stones be moved?
context: But...\But?\It's a little different from the actual symbol.\Let me see!\There must be some sort of trick.\Yeah.\Maybe we're supposed to make the correct symbol.\Can those stones be moved? response:	Hey!
context: But?\It's a little different from the actual symbol.\Let me see!\There must be some sort of trick.\Yeah.\Maybe we're supposed to make the correct symbol.\Can those stones be moved?\Hey! response:	Don't push yourself too hard.
context: It's a little different from the actual symbol.\Let me see!\There must be some sort of trick.\Yeah.\Maybe we're supposed to make the correct symbol.\Can those stones be moved?\Hey!\Don't push yourself too hard. response:	I am shamed.
context: Let me see!\There must be some sort of trick.\Yeah.\Maybe we're supposed to make the correct symbol.\Can those stones be moved?\Hey!\Don't push yourself too hard.\I am shamed. response:	I think it moves.
context: There must be some sort of trick.\Yeah.\Maybe we're supposed to make the correct symbol.\Can those stones be moved?\Hey!\Don't push yourself too hard.\I am shamed.\I think it moves. response:	It moves?
