context: Stop, Kohaku! response:	What's happened, Kohaku?!
context: It's Naraku!\Tell me in detail.\The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel? response:	He must have believed that he would find the Jewel at the village...
context: Tell me in detail.\The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village... response:	and thus attacked it.
context: The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it. response:	Sango!
context: and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango! response:	Give me my weapon!
context: His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango!\Give me my weapon! response:	I will get the one who attacked my village...
context: Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango!\Give me my weapon!\I will get the one who attacked my village... response:	I will kill this half-demon Inuyasha!
context: to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango!\Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha! response:	A horse cannot make it from here on.
context: Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango!\Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\A horse cannot make it from here on. response:	Sango... is dead?
context: He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango!\Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\A horse cannot make it from here on.\Sango... is dead? response:	No way! Until I get that Inuyasha, I'll not die!
context: and thus attacked it.\Sango!\Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\A horse cannot make it from here on.\Sango... is dead?\No way! Until I get that Inuyasha, I'll not die! response:	That's good.
context: Sango!\Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\A horse cannot make it from here on.\Sango... is dead?\No way! Until I get that Inuyasha, I'll not die!\That's good. response:	But can you fight decently in that condition?
context: Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\A horse cannot make it from here on.\Sango... is dead?\No way! Until I get that Inuyasha, I'll not die!\That's good.\But can you fight decently in that condition? response:	Slaying demons is my profession.
context: I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\A horse cannot make it from here on.\Sango... is dead?\No way! Until I get that Inuyasha, I'll not die!\That's good.\But can you fight decently in that condition?\Slaying demons is my profession. response:	So you can't be stopped?
context: I will kill this half-demon Inuyasha!\A horse cannot make it from here on.\Sango... is dead?\No way! Until I get that Inuyasha, I'll not die!\That's good.\But can you fight decently in that condition?\Slaying demons is my profession.\So you can't be stopped? response:	Well then, I will send Naraku with you.
context: A horse cannot make it from here on.\Sango... is dead?\No way! Until I get that Inuyasha, I'll not die!\That's good.\But can you fight decently in that condition?\Slaying demons is my profession.\So you can't be stopped?\Well then, I will send Naraku with you. response:	He is my advisor.
context: Sango... is dead?\No way! Until I get that Inuyasha, I'll not die!\That's good.\But can you fight decently in that condition?\Slaying demons is my profession.\So you can't be stopped?\Well then, I will send Naraku with you.\He is my advisor. response:	He's very familiar with demons and should prove useful to you.
context: No way! Until I get that Inuyasha, I'll not die!\That's good.\But can you fight decently in that condition?\Slaying demons is my profession.\So you can't be stopped?\Well then, I will send Naraku with you.\He is my advisor.\He's very familiar with demons and should prove useful to you. response:	And...
context: That's good.\But can you fight decently in that condition?\Slaying demons is my profession.\So you can't be stopped?\Well then, I will send Naraku with you.\He is my advisor.\He's very familiar with demons and should prove useful to you.\And... response:	when your mission is complete, come back here.
context: But can you fight decently in that condition?\Slaying demons is my profession.\So you can't be stopped?\Well then, I will send Naraku with you.\He is my advisor.\He's very familiar with demons and should prove useful to you.\And...\when your mission is complete, come back here. response:	You have lost your family and all your fellow villagers...
context: Slaying demons is my profession.\So you can't be stopped?\Well then, I will send Naraku with you.\He is my advisor.\He's very familiar with demons and should prove useful to you.\And...\when your mission is complete, come back here.\You have lost your family and all your fellow villagers... response:	I am much saddened for you.
context: So you can't be stopped?\Well then, I will send Naraku with you.\He is my advisor.\He's very familiar with demons and should prove useful to you.\And...\when your mission is complete, come back here.\You have lost your family and all your fellow villagers...\I am much saddened for you. response:	I will never return.
context: Well then, I will send Naraku with you.\He is my advisor.\He's very familiar with demons and should prove useful to you.\And...\when your mission is complete, come back here.\You have lost your family and all your fellow villagers...\I am much saddened for you.\I will never return. response:	I do not have much time left.
context: He is my advisor.\He's very familiar with demons and should prove useful to you.\And...\when your mission is complete, come back here.\You have lost your family and all your fellow villagers...\I am much saddened for you.\I will never return.\I do not have much time left. response:	Please...my body... hold up a little longer.
context: He's very familiar with demons and should prove useful to you.\And...\when your mission is complete, come back here.\You have lost your family and all your fellow villagers...\I am much saddened for you.\I will never return.\I do not have much time left.\Please...my body... hold up a little longer. response:	Until I complete my final task.
context: And...\when your mission is complete, come back here.\You have lost your family and all your fellow villagers...\I am much saddened for you.\I will never return.\I do not have much time left.\Please...my body... hold up a little longer.\Until I complete my final task. response:	The cave where the Sacred Jewel was created?
context: when your mission is complete, come back here.\You have lost your family and all your fellow villagers...\I am much saddened for you.\I will never return.\I do not have much time left.\Please...my body... hold up a little longer.\Until I complete my final task.\The cave where the Sacred Jewel was created? response:	Yes. We are headed now to the outskirts of the village...
context: You have lost your family and all your fellow villagers...\I am much saddened for you.\I will never return.\I do not have much time left.\Please...my body... hold up a little longer.\Until I complete my final task.\The cave where the Sacred Jewel was created?\Yes. We are headed now to the outskirts of the village... response:	to the limestone cave.
context: I am much saddened for you.\I will never return.\I do not have much time left.\Please...my body... hold up a little longer.\Until I complete my final task.\The cave where the Sacred Jewel was created?\Yes. We are headed now to the outskirts of the village...\to the limestone cave. response:	Actually, this village served as a sort of factory.
context: I will never return.\I do not have much time left.\Please...my body... hold up a little longer.\Until I complete my final task.\The cave where the Sacred Jewel was created?\Yes. We are headed now to the outskirts of the village...\to the limestone cave.\Actually, this village served as a sort of factory. response:	Factory?
context: I do not have much time left.\Please...my body... hold up a little longer.\Until I complete my final task.\The cave where the Sacred Jewel was created?\Yes. We are headed now to the outskirts of the village...\to the limestone cave.\Actually, this village served as a sort of factory.\Factory? response:	They made weapons and armor from the skins and bones...
context: Please...my body... hold up a little longer.\Until I complete my final task.\The cave where the Sacred Jewel was created?\Yes. We are headed now to the outskirts of the village...\to the limestone cave.\Actually, this village served as a sort of factory.\Factory?\They made weapons and armor from the skins and bones... response:	of the demons that were slain.
context: Until I complete my final task.\The cave where the Sacred Jewel was created?\Yes. We are headed now to the outskirts of the village...\to the limestone cave.\Actually, this village served as a sort of factory.\Factory?\They made weapons and armor from the skins and bones...\of the demons that were slain. response:	And unused portions were disposed of in this cave.
context: The cave where the Sacred Jewel was created?\Yes. We are headed now to the outskirts of the village...\to the limestone cave.\Actually, this village served as a sort of factory.\Factory?\They made weapons and armor from the skins and bones...\of the demons that were slain.\And unused portions were disposed of in this cave. response:	Hence, this limestone cave is filled with the remains of demons.
context: Yes. We are headed now to the outskirts of the village...\to the limestone cave.\Actually, this village served as a sort of factory.\Factory?\They made weapons and armor from the skins and bones...\of the demons that were slain.\And unused portions were disposed of in this cave.\Hence, this limestone cave is filled with the remains of demons. response:	And it seems that deep inside the cave was once...
context: to the limestone cave.\Actually, this village served as a sort of factory.\Factory?\They made weapons and armor from the skins and bones...\of the demons that were slain.\And unused portions were disposed of in this cave.\Hence, this limestone cave is filled with the remains of demons.\And it seems that deep inside the cave was once... response:	full of carcasses of demons.
context: Actually, this village served as a sort of factory.\Factory?\They made weapons and armor from the skins and bones...\of the demons that were slain.\And unused portions were disposed of in this cave.\Hence, this limestone cave is filled with the remains of demons.\And it seems that deep inside the cave was once...\full of carcasses of demons. response:	That's where the Sacred Jewel was?
context: Factory?\They made weapons and armor from the skins and bones...\of the demons that were slain.\And unused portions were disposed of in this cave.\Hence, this limestone cave is filled with the remains of demons.\And it seems that deep inside the cave was once...\full of carcasses of demons.\That's where the Sacred Jewel was? response:	Yes... that is the story that has been passed down in this region.
context: They made weapons and armor from the skins and bones...\of the demons that were slain.\And unused portions were disposed of in this cave.\Hence, this limestone cave is filled with the remains of demons.\And it seems that deep inside the cave was once...\full of carcasses of demons.\That's where the Sacred Jewel was?\Yes... that is the story that has been passed down in this region. response:	Good work, Myoga.
context: of the demons that were slain.\And unused portions were disposed of in this cave.\Hence, this limestone cave is filled with the remains of demons.\And it seems that deep inside the cave was once...\full of carcasses of demons.\That's where the Sacred Jewel was?\Yes... that is the story that has been passed down in this region.\Good work, Myoga. response:	Thank you for the compliment!
context: And unused portions were disposed of in this cave.\Hence, this limestone cave is filled with the remains of demons.\And it seems that deep inside the cave was once...\full of carcasses of demons.\That's where the Sacred Jewel was?\Yes... that is the story that has been passed down in this region.\Good work, Myoga.\Thank you for the compliment! response:	I did my best in the hope that it would be of help to you.
context: Hence, this limestone cave is filled with the remains of demons.\And it seems that deep inside the cave was once...\full of carcasses of demons.\That's where the Sacred Jewel was?\Yes... that is the story that has been passed down in this region.\Good work, Myoga.\Thank you for the compliment!\I did my best in the hope that it would be of help to you. response:	Really?
context: And it seems that deep inside the cave was once...\full of carcasses of demons.\That's where the Sacred Jewel was?\Yes... that is the story that has been passed down in this region.\Good work, Myoga.\Thank you for the compliment!\I did my best in the hope that it would be of help to you.\Really? response:	When you stay by me, you're always in danger...
context: full of carcasses of demons.\That's where the Sacred Jewel was?\Yes... that is the story that has been passed down in this region.\Good work, Myoga.\Thank you for the compliment!\I did my best in the hope that it would be of help to you.\Really?\When you stay by me, you're always in danger... response:	so I thought you just ran away.
context: That's where the Sacred Jewel was?\Yes... that is the story that has been passed down in this region.\Good work, Myoga.\Thank you for the compliment!\I did my best in the hope that it would be of help to you.\Really?\When you stay by me, you're always in danger...\so I thought you just ran away. response:	Master Inuyasha, how could you think that?!
context: Yes... that is the story that has been passed down in this region.\Good work, Myoga.\Thank you for the compliment!\I did my best in the hope that it would be of help to you.\Really?\When you stay by me, you're always in danger...\so I thought you just ran away.\Master Inuyasha, how could you think that?! response:	Sorry about that.
context: Good work, Myoga.\Thank you for the compliment!\I did my best in the hope that it would be of help to you.\Really?\When you stay by me, you're always in danger...\so I thought you just ran away.\Master Inuyasha, how could you think that?!\Sorry about that. response:	Shall we go in?
context: Thank you for the compliment!\I did my best in the hope that it would be of help to you.\Really?\When you stay by me, you're always in danger...\so I thought you just ran away.\Master Inuyasha, how could you think that?!\Sorry about that.\Shall we go in? response:	All right... let's go.
context: I did my best in the hope that it would be of help to you.\Really?\When you stay by me, you're always in danger...\so I thought you just ran away.\Master Inuyasha, how could you think that?!\Sorry about that.\Shall we go in?\All right... let's go. response:	Just a minute, Master Inuyasha!
context: Really?\When you stay by me, you're always in danger...\so I thought you just ran away.\Master Inuyasha, how could you think that?!\Sorry about that.\Shall we go in?\All right... let's go.\Just a minute, Master Inuyasha! response:	What is it?!
context: When you stay by me, you're always in danger...\so I thought you just ran away.\Master Inuyasha, how could you think that?!\Sorry about that.\Shall we go in?\All right... let's go.\Just a minute, Master Inuyasha!\What is it?! response:	A strong barrier has been placed at the entrance...
context: so I thought you just ran away.\Master Inuyasha, how could you think that?!\Sorry about that.\Shall we go in?\All right... let's go.\Just a minute, Master Inuyasha!\What is it?!\A strong barrier has been placed at the entrance... response:	and one cannot just walk in.
context: Master Inuyasha, how could you think that?!\Sorry about that.\Shall we go in?\All right... let's go.\Just a minute, Master Inuyasha!\What is it?!\A strong barrier has been placed at the entrance...\and one cannot just walk in. response:	Then say so earlier!
context: Sorry about that.\Shall we go in?\All right... let's go.\Just a minute, Master Inuyasha!\What is it?!\A strong barrier has been placed at the entrance...\and one cannot just walk in.\Then say so earlier! response:	S-sister!
context: Shall we go in?\All right... let's go.\Just a minute, Master Inuyasha!\What is it?!\A strong barrier has been placed at the entrance...\and one cannot just walk in.\Then say so earlier!\S-sister! response:	Kohaku!
context: All right... let's go.\Just a minute, Master Inuyasha!\What is it?!\A strong barrier has been placed at the entrance...\and one cannot just walk in.\Then say so earlier!\S-sister!\Kohaku! response:	Sister!
context: Just a minute, Master Inuyasha!\What is it?!\A strong barrier has been placed at the entrance...\and one cannot just walk in.\Then say so earlier!\S-sister!\Kohaku!\Sister! response:	Are you in pain, Sango?
context: What is it?!\A strong barrier has been placed at the entrance...\and one cannot just walk in.\Then say so earlier!\S-sister!\Kohaku!\Sister!\Are you in pain, Sango? response:	Damn!
context: A strong barrier has been placed at the entrance...\and one cannot just walk in.\Then say so earlier!\S-sister!\Kohaku!\Sister!\Are you in pain, Sango?\Damn! response:	Pitiful thing...
context: and one cannot just walk in.\Then say so earlier!\S-sister!\Kohaku!\Sister!\Are you in pain, Sango?\Damn!\Pitiful thing... response:	But you won't be able to rest in peace even if you died.
context: Then say so earlier!\S-sister!\Kohaku!\Sister!\Are you in pain, Sango?\Damn!\Pitiful thing...\But you won't be able to rest in peace even if you died. response:	Would you care to try this?
context: S-sister!\Kohaku!\Sister!\Are you in pain, Sango?\Damn!\Pitiful thing...\But you won't be able to rest in peace even if you died.\Would you care to try this? response:	T-that's...
context: Kohaku!\Sister!\Are you in pain, Sango?\Damn!\Pitiful thing...\But you won't be able to rest in peace even if you died.\Would you care to try this?\T-that's... response:	a Sacred Jewel fragment!
context: Sister!\Are you in pain, Sango?\Damn!\Pitiful thing...\But you won't be able to rest in peace even if you died.\Would you care to try this?\T-that's...\a Sacred Jewel fragment! response:	Why are you in possession of it?
context: Are you in pain, Sango?\Damn!\Pitiful thing...\But you won't be able to rest in peace even if you died.\Would you care to try this?\T-that's...\a Sacred Jewel fragment!\Why are you in possession of it? response:	Just who?!
context: Damn!\Pitiful thing...\But you won't be able to rest in peace even if you died.\Would you care to try this?\T-that's...\a Sacred Jewel fragment!\Why are you in possession of it?\Just who?! response:	I have had this from long before.
context: Pitiful thing...\But you won't be able to rest in peace even if you died.\Would you care to try this?\T-that's...\a Sacred Jewel fragment!\Why are you in possession of it?\Just who?!\I have had this from long before. response:	I am willing to lend it to you.
context: But you won't be able to rest in peace even if you died.\Would you care to try this?\T-that's...\a Sacred Jewel fragment!\Why are you in possession of it?\Just who?!\I have had this from long before.\I am willing to lend it to you. response:	To me?
context: Would you care to try this?\T-that's...\a Sacred Jewel fragment!\Why are you in possession of it?\Just who?!\I have had this from long before.\I am willing to lend it to you.\To me? response:	You may believe that the Sacred Jewel is used only for evil.
context: T-that's...\a Sacred Jewel fragment!\Why are you in possession of it?\Just who?!\I have had this from long before.\I am willing to lend it to you.\To me?\You may believe that the Sacred Jewel is used only for evil. response:	But there are good uses for it as well.
context: a Sacred Jewel fragment!\Why are you in possession of it?\Just who?!\I have had this from long before.\I am willing to lend it to you.\To me?\You may believe that the Sacred Jewel is used only for evil.\But there are good uses for it as well. response:	Inuyasha!
context: Why are you in possession of it?\Just who?!\I have had this from long before.\I am willing to lend it to you.\To me?\You may believe that the Sacred Jewel is used only for evil.\But there are good uses for it as well.\Inuyasha! response:	Damn!
context: Just who?!\I have had this from long before.\I am willing to lend it to you.\To me?\You may believe that the Sacred Jewel is used only for evil.\But there are good uses for it as well.\Inuyasha!\Damn! response:	It's hopeless.
context: I have had this from long before.\I am willing to lend it to you.\To me?\You may believe that the Sacred Jewel is used only for evil.\But there are good uses for it as well.\Inuyasha!\Damn!\It's hopeless. response:	There's no way into the cave...
context: I am willing to lend it to you.\To me?\You may believe that the Sacred Jewel is used only for evil.\But there are good uses for it as well.\Inuyasha!\Damn!\It's hopeless.\There's no way into the cave... response:	and everyone who could've talked to us has been killed.
context: To me?\You may believe that the Sacred Jewel is used only for evil.\But there are good uses for it as well.\Inuyasha!\Damn!\It's hopeless.\There's no way into the cave...\and everyone who could've talked to us has been killed. response:	Not everyone.
context: You may believe that the Sacred Jewel is used only for evil.\But there are good uses for it as well.\Inuyasha!\Damn!\It's hopeless.\There's no way into the cave...\and everyone who could've talked to us has been killed.\Not everyone. response:	What?
context: But there are good uses for it as well.\Inuyasha!\Damn!\It's hopeless.\There's no way into the cave...\and everyone who could've talked to us has been killed.\Not everyone.\What? response:	The more skilled Slayers went to some castle.
context: Inuyasha!\Damn!\It's hopeless.\There's no way into the cave...\and everyone who could've talked to us has been killed.\Not everyone.\What?\The more skilled Slayers went to some castle. response:	That's right!
context: Damn!\It's hopeless.\There's no way into the cave...\and everyone who could've talked to us has been killed.\Not everyone.\What?\The more skilled Slayers went to some castle.\That's right! response:	If those men had been in the village...
context: It's hopeless.\There's no way into the cave...\and everyone who could've talked to us has been killed.\Not everyone.\What?\The more skilled Slayers went to some castle.\That's right!\If those men had been in the village... response:	they would easily have turned back an attack by the demons.
context: There's no way into the cave...\and everyone who could've talked to us has been killed.\Not everyone.\What?\The more skilled Slayers went to some castle.\That's right!\If those men had been in the village...\they would easily have turned back an attack by the demons. response:	All right... Let's go to that castle...
context: and everyone who could've talked to us has been killed.\Not everyone.\What?\The more skilled Slayers went to some castle.\That's right!\If those men had been in the village...\they would easily have turned back an attack by the demons.\All right... Let's go to that castle... response:	and talk to the men about the secret of the Sacred Jewel...
context: Not everyone.\What?\The more skilled Slayers went to some castle.\That's right!\If those men had been in the village...\they would easily have turned back an attack by the demons.\All right... Let's go to that castle...\and talk to the men about the secret of the Sacred Jewel... response:	and find out how to get into that cave... easy!
context: What?\The more skilled Slayers went to some castle.\That's right!\If those men had been in the village...\they would easily have turned back an attack by the demons.\All right... Let's go to that castle...\and talk to the men about the secret of the Sacred Jewel...\and find out how to get into that cave... easy! response:	Now then, let's get started.
context: The more skilled Slayers went to some castle.\That's right!\If those men had been in the village...\they would easily have turned back an attack by the demons.\All right... Let's go to that castle...\and talk to the men about the secret of the Sacred Jewel...\and find out how to get into that cave... easy!\Now then, let's get started. response:	Hurry, Kagome! Or we'll leave you!
context: That's right!\If those men had been in the village...\they would easily have turned back an attack by the demons.\All right... Let's go to that castle...\and talk to the men about the secret of the Sacred Jewel...\and find out how to get into that cave... easy!\Now then, let's get started.\Hurry, Kagome! Or we'll leave you! response:	Wait!
context: If those men had been in the village...\they would easily have turned back an attack by the demons.\All right... Let's go to that castle...\and talk to the men about the secret of the Sacred Jewel...\and find out how to get into that cave... easy!\Now then, let's get started.\Hurry, Kagome! Or we'll leave you!\Wait! response:	Myoga...
context: they would easily have turned back an attack by the demons.\All right... Let's go to that castle...\and talk to the men about the secret of the Sacred Jewel...\and find out how to get into that cave... easy!\Now then, let's get started.\Hurry, Kagome! Or we'll leave you!\Wait!\Myoga... response:	is the castle this way?
context: All right... Let's go to that castle...\and talk to the men about the secret of the Sacred Jewel...\and find out how to get into that cave... easy!\Now then, let's get started.\Hurry, Kagome! Or we'll leave you!\Wait!\Myoga...\is the castle this way? response:	Hmmm?
context: and talk to the men about the secret of the Sacred Jewel...\and find out how to get into that cave... easy!\Now then, let's get started.\Hurry, Kagome! Or we'll leave you!\Wait!\Myoga...\is the castle this way?\Hmmm? response:	Master Inuyasha, were you walking without knowing which way to go?
context: and find out how to get into that cave... easy!\Now then, let's get started.\Hurry, Kagome! Or we'll leave you!\Wait!\Myoga...\is the castle this way?\Hmmm?\Master Inuyasha, were you walking without knowing which way to go? response:	Huh?! Err... You didn't say a word...
context: Now then, let's get started.\Hurry, Kagome! Or we'll leave you!\Wait!\Myoga...\is the castle this way?\Hmmm?\Master Inuyasha, were you walking without knowing which way to go?\Huh?! Err... You didn't say a word... response:	so I figured I was going the right way!
context: Hurry, Kagome! Or we'll leave you!\Wait!\Myoga...\is the castle this way?\Hmmm?\Master Inuyasha, were you walking without knowing which way to go?\Huh?! Err... You didn't say a word...\so I figured I was going the right way! response:	Inuyasha...
context: Wait!\Myoga...\is the castle this way?\Hmmm?\Master Inuyasha, were you walking without knowing which way to go?\Huh?! Err... You didn't say a word...\so I figured I was going the right way!\Inuyasha... response:	the castle shouldn't be too far.
context: Myoga...\is the castle this way?\Hmmm?\Master Inuyasha, were you walking without knowing which way to go?\Huh?! Err... You didn't say a word...\so I figured I was going the right way!\Inuyasha...\the castle shouldn't be too far. response:	Can't you sniff it out from here?
context: is the castle this way?\Hmmm?\Master Inuyasha, were you walking without knowing which way to go?\Huh?! Err... You didn't say a word...\so I figured I was going the right way!\Inuyasha...\the castle shouldn't be too far.\Can't you sniff it out from here? response:	Uh-huh... I can't get a whiff of anything here.
context: Hmmm?\Master Inuyasha, were you walking without knowing which way to go?\Huh?! Err... You didn't say a word...\so I figured I was going the right way!\Inuyasha...\the castle shouldn't be too far.\Can't you sniff it out from here?\Uh-huh... I can't get a whiff of anything here. response:	Huh? What's the matter?
context: Master Inuyasha, were you walking without knowing which way to go?\Huh?! Err... You didn't say a word...\so I figured I was going the right way!\Inuyasha...\the castle shouldn't be too far.\Can't you sniff it out from here?\Uh-huh... I can't get a whiff of anything here.\Huh? What's the matter? response:	You are Inuyasha?
context: Huh?! Err... You didn't say a word...\so I figured I was going the right way!\Inuyasha...\the castle shouldn't be too far.\Can't you sniff it out from here?\Uh-huh... I can't get a whiff of anything here.\Huh? What's the matter?\You are Inuyasha? response:	I will slay you!
context: so I figured I was going the right way!\Inuyasha...\the castle shouldn't be too far.\Can't you sniff it out from here?\Uh-huh... I can't get a whiff of anything here.\Huh? What's the matter?\You are Inuyasha?\I will slay you! response:	Just who are you?!
context: Inuyasha...\the castle shouldn't be too far.\Can't you sniff it out from here?\Uh-huh... I can't get a whiff of anything here.\Huh? What's the matter?\You are Inuyasha?\I will slay you!\Just who are you?! response:	Sango!
context: the castle shouldn't be too far.\Can't you sniff it out from here?\Uh-huh... I can't get a whiff of anything here.\Huh? What's the matter?\You are Inuyasha?\I will slay you!\Just who are you?!\Sango! response:	Someone from the village?
context: Can't you sniff it out from here?\Uh-huh... I can't get a whiff of anything here.\Huh? What's the matter?\You are Inuyasha?\I will slay you!\Just who are you?!\Sango!\Someone from the village? response:	Master Inuyasha!
context: Uh-huh... I can't get a whiff of anything here.\Huh? What's the matter?\You are Inuyasha?\I will slay you!\Just who are you?!\Sango!\Someone from the village?\Master Inuyasha! response:	You must not cross swords with Sango!
context: Huh? What's the matter?\You are Inuyasha?\I will slay you!\Just who are you?!\Sango!\Someone from the village?\Master Inuyasha!\You must not cross swords with Sango! response:	Hiraikotsu!
context: You are Inuyasha?\I will slay you!\Just who are you?!\Sango!\Someone from the village?\Master Inuyasha!\You must not cross swords with Sango!\Hiraikotsu! response:	This ain't the time to say that!
context: I will slay you!\Just who are you?!\Sango!\Someone from the village?\Master Inuyasha!\You must not cross swords with Sango!\Hiraikotsu!\This ain't the time to say that! response:	Tetsusaiga is losing!
context: Just who are you?!\Sango!\Someone from the village?\Master Inuyasha!\You must not cross swords with Sango!\Hiraikotsu!\This ain't the time to say that!\Tetsusaiga is losing! response:	Inuyasha!
context: Sango!\Someone from the village?\Master Inuyasha!\You must not cross swords with Sango!\Hiraikotsu!\This ain't the time to say that!\Tetsusaiga is losing!\Inuyasha! response:	Why do you come after me?!
context: Someone from the village?\Master Inuyasha!\You must not cross swords with Sango!\Hiraikotsu!\This ain't the time to say that!\Tetsusaiga is losing!\Inuyasha!\Why do you come after me?! response:	Silence, half-demon!
context: Master Inuyasha!\You must not cross swords with Sango!\Hiraikotsu!\This ain't the time to say that!\Tetsusaiga is losing!\Inuyasha!\Why do you come after me?!\Silence, half-demon! response:	I will avenge everyone from my village!
context: You must not cross swords with Sango!\Hiraikotsu!\This ain't the time to say that!\Tetsusaiga is losing!\Inuyasha!\Why do you come after me?!\Silence, half-demon!\I will avenge everyone from my village! response:	Old Myoga! What's she saying?!
context: Hiraikotsu!\This ain't the time to say that!\Tetsusaiga is losing!\Inuyasha!\Why do you come after me?!\Silence, half-demon!\I will avenge everyone from my village!\Old Myoga! What's she saying?! response:	I have no idea!
context: This ain't the time to say that!\Tetsusaiga is losing!\Inuyasha!\Why do you come after me?!\Silence, half-demon!\I will avenge everyone from my village!\Old Myoga! What's she saying?!\I have no idea! response:	Master Inuyasha, it's coming again!
context: Tetsusaiga is losing!\Inuyasha!\Why do you come after me?!\Silence, half-demon!\I will avenge everyone from my village!\Old Myoga! What's she saying?!\I have no idea!\Master Inuyasha, it's coming again! response:	We must do something about that weapon!
context: Inuyasha!\Why do you come after me?!\Silence, half-demon!\I will avenge everyone from my village!\Old Myoga! What's she saying?!\I have no idea!\Master Inuyasha, it's coming again!\We must do something about that weapon! response:	Agreed!
context: Why do you come after me?!\Silence, half-demon!\I will avenge everyone from my village!\Old Myoga! What's she saying?!\I have no idea!\Master Inuyasha, it's coming again!\We must do something about that weapon!\Agreed! response:	Wind Tunnel!
