context: Why the hell are you empty?! response:	Taking it out on the shampoo won't get you anywhere.
context: Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite response:	And carries me up into the skies
context: Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies response:	And carries me up into the skies
context: kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies response:	watashi wo sora e maneku yo
context: kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo response:	watashi wo sora e maneku yo
context: But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo response:	Hope awaits on the other side
context: But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side response:	Hope awaits on the other side
context: yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side response:	kibou ga kanata de matteru
context: yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru response:	kibou ga kanata de matteru
context: And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru response:	So here I go
context: And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go response:	So here I go
context: watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go response:	sou da yo iku yo
context: watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo response:	sou da yo iku yo
context: Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo response:	I've been wandering, trying to find you
context: Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you response:	I've been wandering, trying to find you
context: kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you response:	mayoi nagara mo kimi wo sagasu tabi
context: kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi response:	mayoi nagara mo kimi wo sagasu tabi
context: So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi response:	We missed each other, but our hands touched
context: So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched response:	We missed each other, but our hands touched
context: sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched response:	surechigau ishiki te ga fureta yo ne
context: sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne response:	surechigau ishiki te ga fureta yo ne
context: I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne response:	I'll hold your hand tightly
context: I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly response:	I'll hold your hand tightly
context: mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly response:	tsukaemaeru yo shikkari
context: mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari response:	tsukaemaeru yo shikkari
context: We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari response:	Our mutual longing is
context: We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is response:	Our mutual longing is
context: surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is response:	motomeau kokoro
context: surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro response:	motomeau kokoro
context: I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro response:	The first step toward our dream
context: I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream response:	The first step toward our dream
context: tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream response:	sore wa yume no akashi
context: tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi response:	sore wa yume no akashi
context: Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi response:	We're drawn closer as we begin to accept each other
context: Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other response:	We're drawn closer as we begin to accept each other
context: motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other response:	tagai wo uketomeru tabi ni hikareteku
context: motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku response:	tagai wo uketomeru tabi ni hikareteku
context: The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku response:	We won't need to spend our days in sadness anymore
context: The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore response:	We won't need to spend our days in sadness anymore
context: sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore response:	kanashii hibi wa mou iranai
context: sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai response:	kanashii hibi wa mou iranai
context: We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai response:	Because we'll have a great time together
context: We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together response:	Because we'll have a great time together
context: tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together response:	tagai wo uketomete ikiru yorokobi ni
context: tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni response:	tagai wo uketomete ikiru yorokobi ni
context: We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni response:	That I'm sure the two of us will
context: We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will response:	That I'm sure the two of us will
context: kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will response:	kitto kitto futari
context: kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari response:	kitto kitto futari
context: Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari response:	Learn to appreciate
context: Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate response:	Learn to appreciate
context: tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate response:	mezameru yo
context: tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo response:	mezameru yo
context: That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo response:	What matters is that I've finally found you
context: That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you response:	What matters is that I've finally found you
context: kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you response:	mayoi nagara mo kimi wo mitsuketa yo
context: kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo response:	mayoi nagara mo kimi wo mitsuketa yo
context: Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo response:	One Week Ago
context: Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\One Week Ago response:	Kuriyama-san, could you stand there for a moment?
context: mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\One Week Ago\Kuriyama-san, could you stand there for a moment? response:	R-Right here?
context: mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\One Week Ago\Kuriyama-san, could you stand there for a moment?\R-Right here? response:	A petite and demure damsel in glasses...
context: What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\One Week Ago\Kuriyama-san, could you stand there for a moment?\R-Right here?\A petite and demure damsel in glasses... response:	Shocking Pink
context: What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\One Week Ago\Kuriyama-san, could you stand there for a moment?\R-Right here?\A petite and demure damsel in glasses...\Shocking Pink response:	Shocking Pink
context: mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\One Week Ago\Kuriyama-san, could you stand there for a moment?\R-Right here?\A petite and demure damsel in glasses...\Shocking Pink\Shocking Pink response:	Shocking Pink
context: mayoi nagara mo kimi wo mitsuketa yo\One Week Ago\Kuriyama-san, could you stand there for a moment?\R-Right here?\A petite and demure damsel in glasses...\Shocking Pink\Shocking Pink\Shocking Pink response:	Well then, I can see why boring guys who can't properly express their feelings would find you irresistible.
context: One Week Ago\Kuriyama-san, could you stand there for a moment?\R-Right here?\A petite and demure damsel in glasses...\Shocking Pink\Shocking Pink\Shocking Pink\Well then, I can see why boring guys who can't properly express their feelings would find you irresistible. response:	What are you trying to say?
context: Kuriyama-san, could you stand there for a moment?\R-Right here?\A petite and demure damsel in glasses...\Shocking Pink\Shocking Pink\Shocking Pink\Well then, I can see why boring guys who can't properly express their feelings would find you irresistible.\What are you trying to say? response:	As an upperclassman, I'd like to help you make your high school debut.
context: R-Right here?\A petite and demure damsel in glasses...\Shocking Pink\Shocking Pink\Shocking Pink\Well then, I can see why boring guys who can't properly express their feelings would find you irresistible.\What are you trying to say?\As an upperclassman, I'd like to help you make your high school debut. response:	During that festival, I thought to myself, She could be a diamond in the rough.
context: A petite and demure damsel in glasses...\Shocking Pink\Shocking Pink\Shocking Pink\Well then, I can see why boring guys who can't properly express their feelings would find you irresistible.\What are you trying to say?\As an upperclassman, I'd like to help you make your high school debut.\During that festival, I thought to myself, She could be a diamond in the rough. response:	Why don't we start by taking off your glasses?
context: Shocking Pink\Shocking Pink\Shocking Pink\Well then, I can see why boring guys who can't properly express their feelings would find you irresistible.\What are you trying to say?\As an upperclassman, I'd like to help you make your high school debut.\During that festival, I thought to myself, She could be a diamond in the rough.\Why don't we start by taking off your glasses? response:	Wait!
context: Shocking Pink\Shocking Pink\Well then, I can see why boring guys who can't properly express their feelings would find you irresistible.\What are you trying to say?\As an upperclassman, I'd like to help you make your high school debut.\During that festival, I thought to myself, She could be a diamond in the rough.\Why don't we start by taking off your glasses?\Wait! response:	That's sacred territory that mankind must never sully!
context: Shocking Pink\Well then, I can see why boring guys who can't properly express their feelings would find you irresistible.\What are you trying to say?\As an upperclassman, I'd like to help you make your high school debut.\During that festival, I thought to myself, She could be a diamond in the rough.\Why don't we start by taking off your glasses?\Wait!\That's sacred territory that mankind must never sully! response:	Akkey, you should put more faith in Mitsuki.
context: Well then, I can see why boring guys who can't properly express their feelings would find you irresistible.\What are you trying to say?\As an upperclassman, I'd like to help you make your high school debut.\During that festival, I thought to myself, She could be a diamond in the rough.\Why don't we start by taking off your glasses?\Wait!\That's sacred territory that mankind must never sully!\Akkey, you should put more faith in Mitsuki. response:	No, I'm not backing down on this one!
context: What are you trying to say?\As an upperclassman, I'd like to help you make your high school debut.\During that festival, I thought to myself, She could be a diamond in the rough.\Why don't we start by taking off your glasses?\Wait!\That's sacred territory that mankind must never sully!\Akkey, you should put more faith in Mitsuki.\No, I'm not backing down on this one! response:	A girl without glasses is like a shortcake without strawberries!
context: As an upperclassman, I'd like to help you make your high school debut.\During that festival, I thought to myself, She could be a diamond in the rough.\Why don't we start by taking off your glasses?\Wait!\That's sacred territory that mankind must never sully!\Akkey, you should put more faith in Mitsuki.\No, I'm not backing down on this one!\A girl without glasses is like a shortcake without strawberries! response:	Really? If you're comparing girls to shortcakes like that,
context: During that festival, I thought to myself, She could be a diamond in the rough.\Why don't we start by taking off your glasses?\Wait!\That's sacred territory that mankind must never sully!\Akkey, you should put more faith in Mitsuki.\No, I'm not backing down on this one!\A girl without glasses is like a shortcake without strawberries!\Really? If you're comparing girls to shortcakes like that, response:	having strawberries would be whether or not she was a little sister.
context: Why don't we start by taking off your glasses?\Wait!\That's sacred territory that mankind must never sully!\Akkey, you should put more faith in Mitsuki.\No, I'm not backing down on this one!\A girl without glasses is like a shortcake without strawberries!\Really? If you're comparing girls to shortcakes like that,\having strawberries would be whether or not she was a little sister. response:	Could you drop that disturbing conversation already?
context: Wait!\That's sacred territory that mankind must never sully!\Akkey, you should put more faith in Mitsuki.\No, I'm not backing down on this one!\A girl without glasses is like a shortcake without strawberries!\Really? If you're comparing girls to shortcakes like that,\having strawberries would be whether or not she was a little sister.\Could you drop that disturbing conversation already? response:	Why'd you take them off?!
context: That's sacred territory that mankind must never sully!\Akkey, you should put more faith in Mitsuki.\No, I'm not backing down on this one!\A girl without glasses is like a shortcake without strawberries!\Really? If you're comparing girls to shortcakes like that,\having strawberries would be whether or not she was a little sister.\Could you drop that disturbing conversation already?\Why'd you take them off?! response:	For the love of... Kuriyama-san, put these on!
context: Akkey, you should put more faith in Mitsuki.\No, I'm not backing down on this one!\A girl without glasses is like a shortcake without strawberries!\Really? If you're comparing girls to shortcakes like that,\having strawberries would be whether or not she was a little sister.\Could you drop that disturbing conversation already?\Why'd you take them off?!\For the love of... Kuriyama-san, put these on! response:	Akkey, you're freaking the ladies out.
context: No, I'm not backing down on this one!\A girl without glasses is like a shortcake without strawberries!\Really? If you're comparing girls to shortcakes like that,\having strawberries would be whether or not she was a little sister.\Could you drop that disturbing conversation already?\Why'd you take them off?!\For the love of... Kuriyama-san, put these on!\Akkey, you're freaking the ladies out. response:	So are you.
context: A girl without glasses is like a shortcake without strawberries!\Really? If you're comparing girls to shortcakes like that,\having strawberries would be whether or not she was a little sister.\Could you drop that disturbing conversation already?\Why'd you take them off?!\For the love of... Kuriyama-san, put these on!\Akkey, you're freaking the ladies out.\So are you. response:	Anyway...
context: Really? If you're comparing girls to shortcakes like that,\having strawberries would be whether or not she was a little sister.\Could you drop that disturbing conversation already?\Why'd you take them off?!\For the love of... Kuriyama-san, put these on!\Akkey, you're freaking the ladies out.\So are you.\Anyway... response:	What's with the bonsai trees?
context: having strawberries would be whether or not she was a little sister.\Could you drop that disturbing conversation already?\Why'd you take them off?!\For the love of... Kuriyama-san, put these on!\Akkey, you're freaking the ladies out.\So are you.\Anyway...\What's with the bonsai trees? response:	Kuriyama-san, would you happen to know anything about them?
context: Could you drop that disturbing conversation already?\Why'd you take them off?!\For the love of... Kuriyama-san, put these on!\Akkey, you're freaking the ladies out.\So are you.\Anyway...\What's with the bonsai trees?\Kuriyama-san, would you happen to know anything about them? response:	B-Bonsai?
context: Why'd you take them off?!\For the love of... Kuriyama-san, put these on!\Akkey, you're freaking the ladies out.\So are you.\Anyway...\What's with the bonsai trees?\Kuriyama-san, would you happen to know anything about them?\B-Bonsai? response:	Wiping your glasses like that is only proving your guilt.
context: For the love of... Kuriyama-san, put these on!\Akkey, you're freaking the ladies out.\So are you.\Anyway...\What's with the bonsai trees?\Kuriyama-san, would you happen to know anything about them?\B-Bonsai?\Wiping your glasses like that is only proving your guilt. response:	You're so unpleasant!
context: Akkey, you're freaking the ladies out.\So are you.\Anyway...\What's with the bonsai trees?\Kuriyama-san, would you happen to know anything about them?\B-Bonsai?\Wiping your glasses like that is only proving your guilt.\You're so unpleasant! response:	You're so unpleasant!
context: So are you.\Anyway...\What's with the bonsai trees?\Kuriyama-san, would you happen to know anything about them?\B-Bonsai?\Wiping your glasses like that is only proving your guilt.\You're so unpleasant!\You're so unpleasant! response:	Impressive! I had no idea you were into bonsai.
context: Anyway...\What's with the bonsai trees?\Kuriyama-san, would you happen to know anything about them?\B-Bonsai?\Wiping your glasses like that is only proving your guilt.\You're so unpleasant!\You're so unpleasant!\Impressive! I had no idea you were into bonsai. response:	You have to handle them with care!
context: What's with the bonsai trees?\Kuriyama-san, would you happen to know anything about them?\B-Bonsai?\Wiping your glasses like that is only proving your guilt.\You're so unpleasant!\You're so unpleasant!\Impressive! I had no idea you were into bonsai.\You have to handle them with care! response:	I spent several 10,000 yen bills to grow it that big!
context: Kuriyama-san, would you happen to know anything about them?\B-Bonsai?\Wiping your glasses like that is only proving your guilt.\You're so unpleasant!\You're so unpleasant!\Impressive! I had no idea you were into bonsai.\You have to handle them with care!\I spent several 10,000 yen bills to grow it that big! response:	Be gentle! Gentle!
context: B-Bonsai?\Wiping your glasses like that is only proving your guilt.\You're so unpleasant!\You're so unpleasant!\Impressive! I had no idea you were into bonsai.\You have to handle them with care!\I spent several 10,000 yen bills to grow it that big!\Be gentle! Gentle! response:	S-Several?!
context: Wiping your glasses like that is only proving your guilt.\You're so unpleasant!\You're so unpleasant!\Impressive! I had no idea you were into bonsai.\You have to handle them with care!\I spent several 10,000 yen bills to grow it that big!\Be gentle! Gentle!\S-Several?! response:	I think I know why you're always short on cash...
context: You're so unpleasant!\You're so unpleasant!\Impressive! I had no idea you were into bonsai.\You have to handle them with care!\I spent several 10,000 yen bills to grow it that big!\Be gentle! Gentle!\S-Several?!\I think I know why you're always short on cash... response:	and why your stomach is always growling.
context: You're so unpleasant!\Impressive! I had no idea you were into bonsai.\You have to handle them with care!\I spent several 10,000 yen bills to grow it that big!\Be gentle! Gentle!\S-Several?!\I think I know why you're always short on cash...\and why your stomach is always growling. response:	B-But that hardship ends today!
context: Impressive! I had no idea you were into bonsai.\You have to handle them with care!\I spent several 10,000 yen bills to grow it that big!\Be gentle! Gentle!\S-Several?!\I think I know why you're always short on cash...\and why your stomach is always growling.\B-But that hardship ends today! response:	At long last...
context: You have to handle them with care!\I spent several 10,000 yen bills to grow it that big!\Be gentle! Gentle!\S-Several?!\I think I know why you're always short on cash...\and why your stomach is always growling.\B-But that hardship ends today!\At long last... response:	I got it back!
