context: Don't touch me with your right hand! response:	This is the last cherry bomb I have.
context: I'm not too sure about the man, but the woman is all right.\I thought he was just common scum, but he's something else.\Don't you think so?\Now then,\I promised that I would kill the one who survived,\but it's not clear whether he's alive or dead.\What do you think I should do?\Is this Huey guy your sweetheart? response:	Family?
context: I thought he was just common scum, but he's something else.\Don't you think so?\Now then,\I promised that I would kill the one who survived,\but it's not clear whether he's alive or dead.\What do you think I should do?\Is this Huey guy your sweetheart?\Family? response:	Your father?
context: Don't you think so?\Now then,\I promised that I would kill the one who survived,\but it's not clear whether he's alive or dead.\What do you think I should do?\Is this Huey guy your sweetheart?\Family?\Your father? response:	Is it true that he's immortal?
context: Now then,\I promised that I would kill the one who survived,\but it's not clear whether he's alive or dead.\What do you think I should do?\Is this Huey guy your sweetheart?\Family?\Your father?\Is it true that he's immortal? response:	Is that what you think? That I might coerce Huey,
context: I promised that I would kill the one who survived,\but it's not clear whether he's alive or dead.\What do you think I should do?\Is this Huey guy your sweetheart?\Family?\Your father?\Is it true that he's immortal?\Is that what you think? That I might coerce Huey, response:	and steal away the secret of his immortal youth from him?
context: but it's not clear whether he's alive or dead.\What do you think I should do?\Is this Huey guy your sweetheart?\Family?\Your father?\Is it true that he's immortal?\Is that what you think? That I might coerce Huey,\and steal away the secret of his immortal youth from him? response:	Is he the only family you have?
context: What do you think I should do?\Is this Huey guy your sweetheart?\Family?\Your father?\Is it true that he's immortal?\Is that what you think? That I might coerce Huey,\and steal away the secret of his immortal youth from him?\Is he the only family you have? response:	He's the only family you've got, so you want to do
context: Is this Huey guy your sweetheart?\Family?\Your father?\Is it true that he's immortal?\Is that what you think? That I might coerce Huey,\and steal away the secret of his immortal youth from him?\Is he the only family you have?\He's the only family you've got, so you want to do response:	whatever it takes to protect him,
context: Family?\Your father?\Is it true that he's immortal?\Is that what you think? That I might coerce Huey,\and steal away the secret of his immortal youth from him?\Is he the only family you have?\He's the only family you've got, so you want to do\whatever it takes to protect him, response:	am I right?
context: Your father?\Is it true that he's immortal?\Is that what you think? That I might coerce Huey,\and steal away the secret of his immortal youth from him?\Is he the only family you have?\He's the only family you've got, so you want to do\whatever it takes to protect him,\am I right? response:	I was thinking about that...
context: Is it true that he's immortal?\Is that what you think? That I might coerce Huey,\and steal away the secret of his immortal youth from him?\Is he the only family you have?\He's the only family you've got, so you want to do\whatever it takes to protect him,\am I right?\I was thinking about that... response:	If you and I got married, I would become that Huey guy's son.
context: Is that what you think? That I might coerce Huey,\and steal away the secret of his immortal youth from him?\Is he the only family you have?\He's the only family you've got, so you want to do\whatever it takes to protect him,\am I right?\I was thinking about that...\If you and I got married, I would become that Huey guy's son. response:	Then, I would be a member of your family,
context: and steal away the secret of his immortal youth from him?\Is he the only family you have?\He's the only family you've got, so you want to do\whatever it takes to protect him,\am I right?\I was thinking about that...\If you and I got married, I would become that Huey guy's son.\Then, I would be a member of your family, response:	so that wouldn't be an issue anymore.
context: Is he the only family you have?\He's the only family you've got, so you want to do\whatever it takes to protect him,\am I right?\I was thinking about that...\If you and I got married, I would become that Huey guy's son.\Then, I would be a member of your family,\so that wouldn't be an issue anymore. response:	You can think I'm kidding if you want to, but I'm serious.
context: He's the only family you've got, so you want to do\whatever it takes to protect him,\am I right?\I was thinking about that...\If you and I got married, I would become that Huey guy's son.\Then, I would be a member of your family,\so that wouldn't be an issue anymore.\You can think I'm kidding if you want to, but I'm serious. response:	Unlike your buddies in there, I will not betray you.
context: whatever it takes to protect him,\am I right?\I was thinking about that...\If you and I got married, I would become that Huey guy's son.\Then, I would be a member of your family,\so that wouldn't be an issue anymore.\You can think I'm kidding if you want to, but I'm serious.\Unlike your buddies in there, I will not betray you. response:	I won't try to pull anything like stealing the secrets of immortality from Huey, either.
context: am I right?\I was thinking about that...\If you and I got married, I would become that Huey guy's son.\Then, I would be a member of your family,\so that wouldn't be an issue anymore.\You can think I'm kidding if you want to, but I'm serious.\Unlike your buddies in there, I will not betray you.\I won't try to pull anything like stealing the secrets of immortality from Huey, either. response:	After all, I don't need them.
context: I was thinking about that...\If you and I got married, I would become that Huey guy's son.\Then, I would be a member of your family,\so that wouldn't be an issue anymore.\You can think I'm kidding if you want to, but I'm serious.\Unlike your buddies in there, I will not betray you.\I won't try to pull anything like stealing the secrets of immortality from Huey, either.\After all, I don't need them. response:	You see, whether I have the power of immortality or not,
context: If you and I got married, I would become that Huey guy's son.\Then, I would be a member of your family,\so that wouldn't be an issue anymore.\You can think I'm kidding if you want to, but I'm serious.\Unlike your buddies in there, I will not betray you.\I won't try to pull anything like stealing the secrets of immortality from Huey, either.\After all, I don't need them.\You see, whether I have the power of immortality or not, response:	there's no way I'm going to die. I believe that.
context: Then, I would be a member of your family,\so that wouldn't be an issue anymore.\You can think I'm kidding if you want to, but I'm serious.\Unlike your buddies in there, I will not betray you.\I won't try to pull anything like stealing the secrets of immortality from Huey, either.\After all, I don't need them.\You see, whether I have the power of immortality or not,\there's no way I'm going to die. I believe that. response:	So don't say anything, and believe it, too.
context: so that wouldn't be an issue anymore.\You can think I'm kidding if you want to, but I'm serious.\Unlike your buddies in there, I will not betray you.\I won't try to pull anything like stealing the secrets of immortality from Huey, either.\After all, I don't need them.\You see, whether I have the power of immortality or not,\there's no way I'm going to die. I believe that.\So don't say anything, and believe it, too. response:	I am a man who will never die.
context: You can think I'm kidding if you want to, but I'm serious.\Unlike your buddies in there, I will not betray you.\I won't try to pull anything like stealing the secrets of immortality from Huey, either.\After all, I don't need them.\You see, whether I have the power of immortality or not,\there's no way I'm going to die. I believe that.\So don't say anything, and believe it, too.\I am a man who will never die. response:	We'll be coming up on a river soon.
context: Unlike your buddies in there, I will not betray you.\I won't try to pull anything like stealing the secrets of immortality from Huey, either.\After all, I don't need them.\You see, whether I have the power of immortality or not,\there's no way I'm going to die. I believe that.\So don't say anything, and believe it, too.\I am a man who will never die.\We'll be coming up on a river soon. response:	If you're not planning on being caught by the police, jump off there.
context: I won't try to pull anything like stealing the secrets of immortality from Huey, either.\After all, I don't need them.\You see, whether I have the power of immortality or not,\there's no way I'm going to die. I believe that.\So don't say anything, and believe it, too.\I am a man who will never die.\We'll be coming up on a river soon.\If you're not planning on being caught by the police, jump off there. response:	Carve your answer to me into the roof over there.
context: After all, I don't need them.\You see, whether I have the power of immortality or not,\there's no way I'm going to die. I believe that.\So don't say anything, and believe it, too.\I am a man who will never die.\We'll be coming up on a river soon.\If you're not planning on being caught by the police, jump off there.\Carve your answer to me into the roof over there. response:	Bye, now.
context: You see, whether I have the power of immortality or not,\there's no way I'm going to die. I believe that.\So don't say anything, and believe it, too.\I am a man who will never die.\We'll be coming up on a river soon.\If you're not planning on being caught by the police, jump off there.\Carve your answer to me into the roof over there.\Bye, now. response:	You can throw the knife at me, if you want to.
context: there's no way I'm going to die. I believe that.\So don't say anything, and believe it, too.\I am a man who will never die.\We'll be coming up on a river soon.\If you're not planning on being caught by the police, jump off there.\Carve your answer to me into the roof over there.\Bye, now.\You can throw the knife at me, if you want to. response:	I'll just dodge it.
context: So don't say anything, and believe it, too.\I am a man who will never die.\We'll be coming up on a river soon.\If you're not planning on being caught by the police, jump off there.\Carve your answer to me into the roof over there.\Bye, now.\You can throw the knife at me, if you want to.\I'll just dodge it. response:	Jacuzzi is usually a crybaby, but when he sets his mind to something,
context: I am a man who will never die.\We'll be coming up on a river soon.\If you're not planning on being caught by the police, jump off there.\Carve your answer to me into the roof over there.\Bye, now.\You can throw the knife at me, if you want to.\I'll just dodge it.\Jacuzzi is usually a crybaby, but when he sets his mind to something, response:	he doesn't cry, no matter what.
context: We'll be coming up on a river soon.\If you're not planning on being caught by the police, jump off there.\Carve your answer to me into the roof over there.\Bye, now.\You can throw the knife at me, if you want to.\I'll just dodge it.\Jacuzzi is usually a crybaby, but when he sets his mind to something,\he doesn't cry, no matter what. response:	When he got that tattoo, he didn't complain about it once.
context: If you're not planning on being caught by the police, jump off there.\Carve your answer to me into the roof over there.\Bye, now.\You can throw the knife at me, if you want to.\I'll just dodge it.\Jacuzzi is usually a crybaby, but when he sets his mind to something,\he doesn't cry, no matter what.\When he got that tattoo, he didn't complain about it once. response:	Then, why is he such a crybaby the rest of the time?
context: Carve your answer to me into the roof over there.\Bye, now.\You can throw the knife at me, if you want to.\I'll just dodge it.\Jacuzzi is usually a crybaby, but when he sets his mind to something,\he doesn't cry, no matter what.\When he got that tattoo, he didn't complain about it once.\Then, why is he such a crybaby the rest of the time? response:	So, are you ready, tattooed boy?
context: Bye, now.\You can throw the knife at me, if you want to.\I'll just dodge it.\Jacuzzi is usually a crybaby, but when he sets his mind to something,\he doesn't cry, no matter what.\When he got that tattoo, he didn't complain about it once.\Then, why is he such a crybaby the rest of the time?\So, are you ready, tattooed boy? response:	Are you mad, kid?!
context: You can throw the knife at me, if you want to.\I'll just dodge it.\Jacuzzi is usually a crybaby, but when he sets his mind to something,\he doesn't cry, no matter what.\When he got that tattoo, he didn't complain about it once.\Then, why is he such a crybaby the rest of the time?\So, are you ready, tattooed boy?\Are you mad, kid?! response:	What?
context: I'll just dodge it.\Jacuzzi is usually a crybaby, but when he sets his mind to something,\he doesn't cry, no matter what.\When he got that tattoo, he didn't complain about it once.\Then, why is he such a crybaby the rest of the time?\So, are you ready, tattooed boy?\Are you mad, kid?!\What? response:	Hmm? What's wrong?
context: Jacuzzi is usually a crybaby, but when he sets his mind to something,\he doesn't cry, no matter what.\When he got that tattoo, he didn't complain about it once.\Then, why is he such a crybaby the rest of the time?\So, are you ready, tattooed boy?\Are you mad, kid?!\What?\Hmm? What's wrong? response:	Impossible!
context: he doesn't cry, no matter what.\When he got that tattoo, he didn't complain about it once.\Then, why is he such a crybaby the rest of the time?\So, are you ready, tattooed boy?\Are you mad, kid?!\What?\Hmm? What's wrong?\Impossible! response:	I was thinking, the times when I'd want to cry are sure to be
context: When he got that tattoo, he didn't complain about it once.\Then, why is he such a crybaby the rest of the time?\So, are you ready, tattooed boy?\Are you mad, kid?!\What?\Hmm? What's wrong?\Impossible!\I was thinking, the times when I'd want to cry are sure to be response:	the times when I need to try my hardest, right?
context: Then, why is he such a crybaby the rest of the time?\So, are you ready, tattooed boy?\Are you mad, kid?!\What?\Hmm? What's wrong?\Impossible!\I was thinking, the times when I'd want to cry are sure to be\the times when I need to try my hardest, right? response:	So I've decided to get lots of crying out of the way, all the time.
context: So, are you ready, tattooed boy?\Are you mad, kid?!\What?\Hmm? What's wrong?\Impossible!\I was thinking, the times when I'd want to cry are sure to be\the times when I need to try my hardest, right?\So I've decided to get lots of crying out of the way, all the time. response:	I'm going to shed the tears I would when I'll want to cry the most, now,
context: Are you mad, kid?!\What?\Hmm? What's wrong?\Impossible!\I was thinking, the times when I'd want to cry are sure to be\the times when I need to try my hardest, right?\So I've decided to get lots of crying out of the way, all the time.\I'm going to shed the tears I would when I'll want to cry the most, now, response:	so that when I have to try my hardest, those tears will have already dried up.
context: What?\Hmm? What's wrong?\Impossible!\I was thinking, the times when I'd want to cry are sure to be\the times when I need to try my hardest, right?\So I've decided to get lots of crying out of the way, all the time.\I'm going to shed the tears I would when I'll want to cry the most, now,\so that when I have to try my hardest, those tears will have already dried up. response:	You take it from here.
context: Hmm? What's wrong?\Impossible!\I was thinking, the times when I'd want to cry are sure to be\the times when I need to try my hardest, right?\So I've decided to get lots of crying out of the way, all the time.\I'm going to shed the tears I would when I'll want to cry the most, now,\so that when I have to try my hardest, those tears will have already dried up.\You take it from here. response:	Boss!
context: Impossible!\I was thinking, the times when I'd want to cry are sure to be\the times when I need to try my hardest, right?\So I've decided to get lots of crying out of the way, all the time.\I'm going to shed the tears I would when I'll want to cry the most, now,\so that when I have to try my hardest, those tears will have already dried up.\You take it from here.\Boss! response:	Nick, please jump off ahead of us, and join up with the recovery team.
context: I was thinking, the times when I'd want to cry are sure to be\the times when I need to try my hardest, right?\So I've decided to get lots of crying out of the way, all the time.\I'm going to shed the tears I would when I'll want to cry the most, now,\so that when I have to try my hardest, those tears will have already dried up.\You take it from here.\Boss!\Nick, please jump off ahead of us, and join up with the recovery team. response:	Handy, isn't it?
context: the times when I need to try my hardest, right?\So I've decided to get lots of crying out of the way, all the time.\I'm going to shed the tears I would when I'll want to cry the most, now,\so that when I have to try my hardest, those tears will have already dried up.\You take it from here.\Boss!\Nick, please jump off ahead of us, and join up with the recovery team.\Handy, isn't it? response:	It's rigged to shoot a bullet when I make a fist,
context: So I've decided to get lots of crying out of the way, all the time.\I'm going to shed the tears I would when I'll want to cry the most, now,\so that when I have to try my hardest, those tears will have already dried up.\You take it from here.\Boss!\Nick, please jump off ahead of us, and join up with the recovery team.\Handy, isn't it?\It's rigged to shoot a bullet when I make a fist, response:	and press it against someone.
context: I'm going to shed the tears I would when I'll want to cry the most, now,\so that when I have to try my hardest, those tears will have already dried up.\You take it from here.\Boss!\Nick, please jump off ahead of us, and join up with the recovery team.\Handy, isn't it?\It's rigged to shoot a bullet when I make a fist,\and press it against someone. response:	Now then, I may have had a bit of an accident earlier,
context: so that when I have to try my hardest, those tears will have already dried up.\You take it from here.\Boss!\Nick, please jump off ahead of us, and join up with the recovery team.\Handy, isn't it?\It's rigged to shoot a bullet when I make a fist,\and press it against someone.\Now then, I may have had a bit of an accident earlier, response:	but at this range, I'm more than close enough to roast you.
context: You take it from here.\Boss!\Nick, please jump off ahead of us, and join up with the recovery team.\Handy, isn't it?\It's rigged to shoot a bullet when I make a fist,\and press it against someone.\Now then, I may have had a bit of an accident earlier,\but at this range, I'm more than close enough to roast you. response:	Do you have any last words, boy?
context: Boss!\Nick, please jump off ahead of us, and join up with the recovery team.\Handy, isn't it?\It's rigged to shoot a bullet when I make a fist,\and press it against someone.\Now then, I may have had a bit of an accident earlier,\but at this range, I'm more than close enough to roast you.\Do you have any last words, boy? response:	What is this? What kind of monster is this?!
context: Nick, please jump off ahead of us, and join up with the recovery team.\Handy, isn't it?\It's rigged to shoot a bullet when I make a fist,\and press it against someone.\Now then, I may have had a bit of an accident earlier,\but at this range, I'm more than close enough to roast you.\Do you have any last words, boy?\What is this? What kind of monster is this?! response:	It couldn't be...
context: Handy, isn't it?\It's rigged to shoot a bullet when I make a fist,\and press it against someone.\Now then, I may have had a bit of an accident earlier,\but at this range, I'm more than close enough to roast you.\Do you have any last words, boy?\What is this? What kind of monster is this?!\It couldn't be... response:	Isaac- san... Miria- san...
context: It's rigged to shoot a bullet when I make a fist,\and press it against someone.\Now then, I may have had a bit of an accident earlier,\but at this range, I'm more than close enough to roast you.\Do you have any last words, boy?\What is this? What kind of monster is this?!\It couldn't be...\Isaac- san... Miria- san... response:	What?
context: and press it against someone.\Now then, I may have had a bit of an accident earlier,\but at this range, I'm more than close enough to roast you.\Do you have any last words, boy?\What is this? What kind of monster is this?!\It couldn't be...\Isaac- san... Miria- san...\What? response:	I'm sorry. Thank you.
context: Now then, I may have had a bit of an accident earlier,\but at this range, I'm more than close enough to roast you.\Do you have any last words, boy?\What is this? What kind of monster is this?!\It couldn't be...\Isaac- san... Miria- san...\What?\I'm sorry. Thank you. response:	I'm really glad that I got a chance to speak to you again, at the end.
context: but at this range, I'm more than close enough to roast you.\Do you have any last words, boy?\What is this? What kind of monster is this?!\It couldn't be...\Isaac- san... Miria- san...\What?\I'm sorry. Thank you.\I'm really glad that I got a chance to speak to you again, at the end. response:	If you'd be willing to do just one more favor for me,
context: Do you have any last words, boy?\What is this? What kind of monster is this?!\It couldn't be...\Isaac- san... Miria- san...\What?\I'm sorry. Thank you.\I'm really glad that I got a chance to speak to you again, at the end.\If you'd be willing to do just one more favor for me, response:	then please, don't forget about me.
context: What is this? What kind of monster is this?!\It couldn't be...\Isaac- san... Miria- san...\What?\I'm sorry. Thank you.\I'm really glad that I got a chance to speak to you again, at the end.\If you'd be willing to do just one more favor for me,\then please, don't forget about me. response:	Damn it! Stay back! Stay back!
context: It couldn't be...\Isaac- san... Miria- san...\What?\I'm sorry. Thank you.\I'm really glad that I got a chance to speak to you again, at the end.\If you'd be willing to do just one more favor for me,\then please, don't forget about me.\Damn it! Stay back! Stay back! response:	Stay back, damn it!
context: Isaac- san... Miria- san...\What?\I'm sorry. Thank you.\I'm really glad that I got a chance to speak to you again, at the end.\If you'd be willing to do just one more favor for me,\then please, don't forget about me.\Damn it! Stay back! Stay back!\Stay back, damn it! response:	Die! Die! Die!
context: What?\I'm sorry. Thank you.\I'm really glad that I got a chance to speak to you again, at the end.\If you'd be willing to do just one more favor for me,\then please, don't forget about me.\Damn it! Stay back! Stay back!\Stay back, damn it!\Die! Die! Die! response:	Burn! Burn! Burn!
context: I'm sorry. Thank you.\I'm really glad that I got a chance to speak to you again, at the end.\If you'd be willing to do just one more favor for me,\then please, don't forget about me.\Damn it! Stay back! Stay back!\Stay back, damn it!\Die! Die! Die!\Burn! Burn! Burn! response:	Burn!
context: I'm really glad that I got a chance to speak to you again, at the end.\If you'd be willing to do just one more favor for me,\then please, don't forget about me.\Damn it! Stay back! Stay back!\Stay back, damn it!\Die! Die! Die!\Burn! Burn! Burn!\Burn! response:	Czes- kun!
context: If you'd be willing to do just one more favor for me,\then please, don't forget about me.\Damn it! Stay back! Stay back!\Stay back, damn it!\Die! Die! Die!\Burn! Burn! Burn!\Burn!\Czes- kun! response:	Are you all right, Czes- kun?
context: then please, don't forget about me.\Damn it! Stay back! Stay back!\Stay back, damn it!\Die! Die! Die!\Burn! Burn! Burn!\Burn!\Czes- kun!\Are you all right, Czes- kun? response:	Stay with us!
context: Damn it! Stay back! Stay back!\Stay back, damn it!\Die! Die! Die!\Burn! Burn! Burn!\Burn!\Czes- kun!\Are you all right, Czes- kun?\Stay with us! response:	Why...
context: Stay back, damn it!\Die! Die! Die!\Burn! Burn! Burn!\Burn!\Czes- kun!\Are you all right, Czes- kun?\Stay with us!\Why... response:	Why don't you... eat me?
context: Die! Die! Die!\Burn! Burn! Burn!\Burn!\Czes- kun!\Are you all right, Czes- kun?\Stay with us!\Why...\Why don't you... eat me? response:	Boss...
context: Burn! Burn! Burn!\Burn!\Czes- kun!\Are you all right, Czes- kun?\Stay with us!\Why...\Why don't you... eat me?\Boss... response:	You fool! What do you plan to do, unarmed?!
context: Burn!\Czes- kun!\Are you all right, Czes- kun?\Stay with us!\Why...\Why don't you... eat me?\Boss...\You fool! What do you plan to do, unarmed?! response:	I've got a gun...
context: Czes- kun!\Are you all right, Czes- kun?\Stay with us!\Why...\Why don't you... eat me?\Boss...\You fool! What do you plan to do, unarmed?!\I've got a gun... response:	What is that? It keeps doing that. Is that the enemy?
context: Are you all right, Czes- kun?\Stay with us!\Why...\Why don't you... eat me?\Boss...\You fool! What do you plan to do, unarmed?!\I've got a gun...\What is that? It keeps doing that. Is that the enemy? response:	Wah! Isaac!
context: Stay with us!\Why...\Why don't you... eat me?\Boss...\You fool! What do you plan to do, unarmed?!\I've got a gun...\What is that? It keeps doing that. Is that the enemy?\Wah! Isaac! response:	What is that?!
context: Why...\Why don't you... eat me?\Boss...\You fool! What do you plan to do, unarmed?!\I've got a gun...\What is that? It keeps doing that. Is that the enemy?\Wah! Isaac!\What is that?! response:	T-This must be the Rail Tracer!
context: Why don't you... eat me?\Boss...\You fool! What do you plan to do, unarmed?!\I've got a gun...\What is that? It keeps doing that. Is that the enemy?\Wah! Isaac!\What is that?!\T-This must be the Rail Tracer! response:	It's come to eat up what it left of Czes- kun!
context: Boss...\You fool! What do you plan to do, unarmed?!\I've got a gun...\What is that? It keeps doing that. Is that the enemy?\Wah! Isaac!\What is that?!\T-This must be the Rail Tracer!\It's come to eat up what it left of Czes- kun! response:	Damn it, I won't let that happen!
context: You fool! What do you plan to do, unarmed?!\I've got a gun...\What is that? It keeps doing that. Is that the enemy?\Wah! Isaac!\What is that?!\T-This must be the Rail Tracer!\It's come to eat up what it left of Czes- kun!\Damn it, I won't let that happen! response:	Jacuzzi!
context: I've got a gun...\What is that? It keeps doing that. Is that the enemy?\Wah! Isaac!\What is that?!\T-This must be the Rail Tracer!\It's come to eat up what it left of Czes- kun!\Damn it, I won't let that happen!\Jacuzzi! response:	Nice...
context: What is that? It keeps doing that. Is that the enemy?\Wah! Isaac!\What is that?!\T-This must be the Rail Tracer!\It's come to eat up what it left of Czes- kun!\Damn it, I won't let that happen!\Jacuzzi!\Nice... response:	Thank goodness you're safe.
context: Wah! Isaac!\What is that?!\T-This must be the Rail Tracer!\It's come to eat up what it left of Czes- kun!\Damn it, I won't let that happen!\Jacuzzi!\Nice...\Thank goodness you're safe. response:	I'm all right. Never mind me, we have to hurry and stop this bleeding.
context: What is that?!\T-This must be the Rail Tracer!\It's come to eat up what it left of Czes- kun!\Damn it, I won't let that happen!\Jacuzzi!\Nice...\Thank goodness you're safe.\I'm all right. Never mind me, we have to hurry and stop this bleeding. response:	Yeah, about that... I used that new type of bomb you gave me.
context: T-This must be the Rail Tracer!\It's come to eat up what it left of Czes- kun!\Damn it, I won't let that happen!\Jacuzzi!\Nice...\Thank goodness you're safe.\I'm all right. Never mind me, we have to hurry and stop this bleeding.\Yeah, about that... I used that new type of bomb you gave me. response:	We've got ourselves a real treasure.
context: It's come to eat up what it left of Czes- kun!\Damn it, I won't let that happen!\Jacuzzi!\Nice...\Thank goodness you're safe.\I'm all right. Never mind me, we have to hurry and stop this bleeding.\Yeah, about that... I used that new type of bomb you gave me.\We've got ourselves a real treasure. response:	Jacuzzi...
context: Damn it, I won't let that happen!\Jacuzzi!\Nice...\Thank goodness you're safe.\I'm all right. Never mind me, we have to hurry and stop this bleeding.\Yeah, about that... I used that new type of bomb you gave me.\We've got ourselves a real treasure.\Jacuzzi... response:	You know what, Nice? Maybe I have cried a bit too much before.
context: Jacuzzi!\Nice...\Thank goodness you're safe.\I'm all right. Never mind me, we have to hurry and stop this bleeding.\Yeah, about that... I used that new type of bomb you gave me.\We've got ourselves a real treasure.\Jacuzzi...\You know what, Nice? Maybe I have cried a bit too much before. response:	So, for all that I've cried too much,
context: Nice...\Thank goodness you're safe.\I'm all right. Never mind me, we have to hurry and stop this bleeding.\Yeah, about that... I used that new type of bomb you gave me.\We've got ourselves a real treasure.\Jacuzzi...\You know what, Nice? Maybe I have cried a bit too much before.\So, for all that I've cried too much, response:	I'm going to say that I've been crying your share, too.
context: Thank goodness you're safe.\I'm all right. Never mind me, we have to hurry and stop this bleeding.\Yeah, about that... I used that new type of bomb you gave me.\We've got ourselves a real treasure.\Jacuzzi...\You know what, Nice? Maybe I have cried a bit too much before.\So, for all that I've cried too much,\I'm going to say that I've been crying your share, too. response:	Since I've done your crying for you, Nice,
context: I'm all right. Never mind me, we have to hurry and stop this bleeding.\Yeah, about that... I used that new type of bomb you gave me.\We've got ourselves a real treasure.\Jacuzzi...\You know what, Nice? Maybe I have cried a bit too much before.\So, for all that I've cried too much,\I'm going to say that I've been crying your share, too.\Since I've done your crying for you, Nice, response:	no matter what hardships you have from now on, don't you cry.
context: Yeah, about that... I used that new type of bomb you gave me.\We've got ourselves a real treasure.\Jacuzzi...\You know what, Nice? Maybe I have cried a bit too much before.\So, for all that I've cried too much,\I'm going to say that I've been crying your share, too.\Since I've done your crying for you, Nice,\no matter what hardships you have from now on, don't you cry. response:	Jacuzzi!
context: We've got ourselves a real treasure.\Jacuzzi...\You know what, Nice? Maybe I have cried a bit too much before.\So, for all that I've cried too much,\I'm going to say that I've been crying your share, too.\Since I've done your crying for you, Nice,\no matter what hardships you have from now on, don't you cry.\Jacuzzi! response:	I knew this would be coming.
context: Jacuzzi...\You know what, Nice? Maybe I have cried a bit too much before.\So, for all that I've cried too much,\I'm going to say that I've been crying your share, too.\Since I've done your crying for you, Nice,\no matter what hardships you have from now on, don't you cry.\Jacuzzi!\I knew this would be coming. response:	I made several others before you, after all,
context: You know what, Nice? Maybe I have cried a bit too much before.\So, for all that I've cried too much,\I'm going to say that I've been crying your share, too.\Since I've done your crying for you, Nice,\no matter what hardships you have from now on, don't you cry.\Jacuzzi!\I knew this would be coming.\I made several others before you, after all, response:	and as soon as they got too much knowledge, they turned on me.
context: So, for all that I've cried too much,\I'm going to say that I've been crying your share, too.\Since I've done your crying for you, Nice,\no matter what hardships you have from now on, don't you cry.\Jacuzzi!\I knew this would be coming.\I made several others before you, after all,\and as soon as they got too much knowledge, they turned on me. response:	I won't kill you quickly. I'm going to make you suffer abundantly.
context: I'm going to say that I've been crying your share, too.\Since I've done your crying for you, Nice,\no matter what hardships you have from now on, don't you cry.\Jacuzzi!\I knew this would be coming.\I made several others before you, after all,\and as soon as they got too much knowledge, they turned on me.\I won't kill you quickly. I'm going to make you suffer abundantly. response:	Hey, you! What have you done to Ennis?!
context: Since I've done your crying for you, Nice,\no matter what hardships you have from now on, don't you cry.\Jacuzzi!\I knew this would be coming.\I made several others before you, after all,\and as soon as they got too much knowledge, they turned on me.\I won't kill you quickly. I'm going to make you suffer abundantly.\Hey, you! What have you done to Ennis?! response:	What have you done?!
context: no matter what hardships you have from now on, don't you cry.\Jacuzzi!\I knew this would be coming.\I made several others before you, after all,\and as soon as they got too much knowledge, they turned on me.\I won't kill you quickly. I'm going to make you suffer abundantly.\Hey, you! What have you done to Ennis?!\What have you done?! response:	Why, you...
