context: I'm so sorry. response:	I set my alarm to a wrong time'
context: Oh? Lunch? This'\Somehow I felt confident today.\Thank you.\I won't be as busy next week.\Don't worry about it.\Isn't it about time already?\Oh?! Then, I gotta go.\Take care. response:	I made lunch and did the dishes.
context: Somehow I felt confident today.\Thank you.\I won't be as busy next week.\Don't worry about it.\Isn't it about time already?\Oh?! Then, I gotta go.\Take care.\I made lunch and did the dishes. response:	A perfect score today.
context: Thank you.\I won't be as busy next week.\Don't worry about it.\Isn't it about time already?\Oh?! Then, I gotta go.\Take care.\I made lunch and did the dishes.\A perfect score today. response:	Oh? You're leaving already?
context: I won't be as busy next week.\Don't worry about it.\Isn't it about time already?\Oh?! Then, I gotta go.\Take care.\I made lunch and did the dishes.\A perfect score today.\Oh? You're leaving already? response:	Morning practice.
context: Don't worry about it.\Isn't it about time already?\Oh?! Then, I gotta go.\Take care.\I made lunch and did the dishes.\A perfect score today.\Oh? You're leaving already?\Morning practice. response:	I'm meeting up with Yuki.
context: Isn't it about time already?\Oh?! Then, I gotta go.\Take care.\I made lunch and did the dishes.\A perfect score today.\Oh? You're leaving already?\Morning practice.\I'm meeting up with Yuki. response:	Wa' Wait! I'm going too!
context: Oh?! Then, I gotta go.\Take care.\I made lunch and did the dishes.\A perfect score today.\Oh? You're leaving already?\Morning practice.\I'm meeting up with Yuki.\Wa' Wait! I'm going too! response:	Father, Keep it up at work!
context: Take care.\I made lunch and did the dishes.\A perfect score today.\Oh? You're leaving already?\Morning practice.\I'm meeting up with Yuki.\Wa' Wait! I'm going too!\Father, Keep it up at work! response:	Okay!
context: I made lunch and did the dishes.\A perfect score today.\Oh? You're leaving already?\Morning practice.\I'm meeting up with Yuki.\Wa' Wait! I'm going too!\Father, Keep it up at work!\Okay! response:	The total comes to 700 yen.
context: A perfect score today.\Oh? You're leaving already?\Morning practice.\I'm meeting up with Yuki.\Wa' Wait! I'm going too!\Father, Keep it up at work!\Okay!\The total comes to 700 yen. response:	Can I have a bag for this?
context: Oh? You're leaving already?\Morning practice.\I'm meeting up with Yuki.\Wa' Wait! I'm going too!\Father, Keep it up at work!\Okay!\The total comes to 700 yen.\Can I have a bag for this? response:	Oh, you two are doing the housework?
context: Morning practice.\I'm meeting up with Yuki.\Wa' Wait! I'm going too!\Father, Keep it up at work!\Okay!\The total comes to 700 yen.\Can I have a bag for this?\Oh, you two are doing the housework? response:	Yeah. Father said he'll be reading
context: I'm meeting up with Yuki.\Wa' Wait! I'm going too!\Father, Keep it up at work!\Okay!\The total comes to 700 yen.\Can I have a bag for this?\Oh, you two are doing the housework?\Yeah. Father said he'll be reading response:	A very important paper at this academic meeting.
context: Wa' Wait! I'm going too!\Father, Keep it up at work!\Okay!\The total comes to 700 yen.\Can I have a bag for this?\Oh, you two are doing the housework?\Yeah. Father said he'll be reading\A very important paper at this academic meeting. response:	That's why Touya and I discussed and decided to do that.
context: Father, Keep it up at work!\Okay!\The total comes to 700 yen.\Can I have a bag for this?\Oh, you two are doing the housework?\Yeah. Father said he'll be reading\A very important paper at this academic meeting.\That's why Touya and I discussed and decided to do that. response:	We would do all the housework
context: Okay!\The total comes to 700 yen.\Can I have a bag for this?\Oh, you two are doing the housework?\Yeah. Father said he'll be reading\A very important paper at this academic meeting.\That's why Touya and I discussed and decided to do that.\We would do all the housework response:	so Father can concentrate on work just this week.
context: The total comes to 700 yen.\Can I have a bag for this?\Oh, you two are doing the housework?\Yeah. Father said he'll be reading\A very important paper at this academic meeting.\That's why Touya and I discussed and decided to do that.\We would do all the housework\so Father can concentrate on work just this week. response:	When is the research announcement?
context: Can I have a bag for this?\Oh, you two are doing the housework?\Yeah. Father said he'll be reading\A very important paper at this academic meeting.\That's why Touya and I discussed and decided to do that.\We would do all the housework\so Father can concentrate on work just this week.\When is the research announcement? response:	Next Monday. That's why it seems that now is the busiest time.
context: Oh, you two are doing the housework?\Yeah. Father said he'll be reading\A very important paper at this academic meeting.\That's why Touya and I discussed and decided to do that.\We would do all the housework\so Father can concentrate on work just this week.\When is the research announcement?\Next Monday. That's why it seems that now is the busiest time. response:	That is very nice of you two. Teamwork from you and your brother.
context: Yeah. Father said he'll be reading\A very important paper at this academic meeting.\That's why Touya and I discussed and decided to do that.\We would do all the housework\so Father can concentrate on work just this week.\When is the research announcement?\Next Monday. That's why it seems that now is the busiest time.\That is very nice of you two. Teamwork from you and your brother. response:	It's not that big of a deal.
context: A very important paper at this academic meeting.\That's why Touya and I discussed and decided to do that.\We would do all the housework\so Father can concentrate on work just this week.\When is the research announcement?\Next Monday. That's why it seems that now is the busiest time.\That is very nice of you two. Teamwork from you and your brother.\It's not that big of a deal. response:	Oh, how about this book?
context: That's why Touya and I discussed and decided to do that.\We would do all the housework\so Father can concentrate on work just this week.\When is the research announcement?\Next Monday. That's why it seems that now is the busiest time.\That is very nice of you two. Teamwork from you and your brother.\It's not that big of a deal.\Oh, how about this book? response:	Then I will take this too'
context: We would do all the housework\so Father can concentrate on work just this week.\When is the research announcement?\Next Monday. That's why it seems that now is the busiest time.\That is very nice of you two. Teamwork from you and your brother.\It's not that big of a deal.\Oh, how about this book?\Then I will take this too' response:	With this many, I think I will do fine. Thank you very much.
context: so Father can concentrate on work just this week.\When is the research announcement?\Next Monday. That's why it seems that now is the busiest time.\That is very nice of you two. Teamwork from you and your brother.\It's not that big of a deal.\Oh, how about this book?\Then I will take this too'\With this many, I think I will do fine. Thank you very much. response:	But what are you doing with all these books about flowers?
context: When is the research announcement?\Next Monday. That's why it seems that now is the busiest time.\That is very nice of you two. Teamwork from you and your brother.\It's not that big of a deal.\Oh, how about this book?\Then I will take this too'\With this many, I think I will do fine. Thank you very much.\But what are you doing with all these books about flowers? response:	Recently, I have come to a bit of deadlock'
context: Next Monday. That's why it seems that now is the busiest time.\That is very nice of you two. Teamwork from you and your brother.\It's not that big of a deal.\Oh, how about this book?\Then I will take this too'\With this many, I think I will do fine. Thank you very much.\But what are you doing with all these books about flowers?\Recently, I have come to a bit of deadlock' response:	I was thinking of doing some research for a new motif.
context: That is very nice of you two. Teamwork from you and your brother.\It's not that big of a deal.\Oh, how about this book?\Then I will take this too'\With this many, I think I will do fine. Thank you very much.\But what are you doing with all these books about flowers?\Recently, I have come to a bit of deadlock'\I was thinking of doing some research for a new motif. response:	Mo' Motif?
context: It's not that big of a deal.\Oh, how about this book?\Then I will take this too'\With this many, I think I will do fine. Thank you very much.\But what are you doing with all these books about flowers?\Recently, I have come to a bit of deadlock'\I was thinking of doing some research for a new motif.\Mo' Motif? response:	Of course! This is for your costume design!
context: Oh, how about this book?\Then I will take this too'\With this many, I think I will do fine. Thank you very much.\But what are you doing with all these books about flowers?\Recently, I have come to a bit of deadlock'\I was thinking of doing some research for a new motif.\Mo' Motif?\Of course! This is for your costume design! response:	Eh!
context: Then I will take this too'\With this many, I think I will do fine. Thank you very much.\But what are you doing with all these books about flowers?\Recently, I have come to a bit of deadlock'\I was thinking of doing some research for a new motif.\Mo' Motif?\Of course! This is for your costume design!\Eh! response:	Because you made all the effort to wear them for me'
context: With this many, I think I will do fine. Thank you very much.\But what are you doing with all these books about flowers?\Recently, I have come to a bit of deadlock'\I was thinking of doing some research for a new motif.\Mo' Motif?\Of course! This is for your costume design!\Eh!\Because you made all the effort to wear them for me' response:	I must always put in new thoughts and ideas.
context: But what are you doing with all these books about flowers?\Recently, I have come to a bit of deadlock'\I was thinking of doing some research for a new motif.\Mo' Motif?\Of course! This is for your costume design!\Eh!\Because you made all the effort to wear them for me'\I must always put in new thoughts and ideas. response:	Tomoyo'
context: Recently, I have come to a bit of deadlock'\I was thinking of doing some research for a new motif.\Mo' Motif?\Of course! This is for your costume design!\Eh!\Because you made all the effort to wear them for me'\I must always put in new thoughts and ideas.\Tomoyo' response:	Thank you very much.
context: I was thinking of doing some research for a new motif.\Mo' Motif?\Of course! This is for your costume design!\Eh!\Because you made all the effort to wear them for me'\I must always put in new thoughts and ideas.\Tomoyo'\Thank you very much. response:	Excuse me, I came to pick up a pre-ordered book'
context: Mo' Motif?\Of course! This is for your costume design!\Eh!\Because you made all the effort to wear them for me'\I must always put in new thoughts and ideas.\Tomoyo'\Thank you very much.\Excuse me, I came to pick up a pre-ordered book' response:	May I have your name please?
context: Of course! This is for your costume design!\Eh!\Because you made all the effort to wear them for me'\I must always put in new thoughts and ideas.\Tomoyo'\Thank you very much.\Excuse me, I came to pick up a pre-ordered book'\May I have your name please? response:	Kinomoto.
context: Eh!\Because you made all the effort to wear them for me'\I must always put in new thoughts and ideas.\Tomoyo'\Thank you very much.\Excuse me, I came to pick up a pre-ordered book'\May I have your name please?\Kinomoto. response:	Yukito!
context: Because you made all the effort to wear them for me'\I must always put in new thoughts and ideas.\Tomoyo'\Thank you very much.\Excuse me, I came to pick up a pre-ordered book'\May I have your name please?\Kinomoto.\Yukito! response:	Touya asked you to get it for him, didn't he?
context: I must always put in new thoughts and ideas.\Tomoyo'\Thank you very much.\Excuse me, I came to pick up a pre-ordered book'\May I have your name please?\Kinomoto.\Yukito!\Touya asked you to get it for him, didn't he? response:	Yeah. His club practice has gotten a little long.
context: Tomoyo'\Thank you very much.\Excuse me, I came to pick up a pre-ordered book'\May I have your name please?\Kinomoto.\Yukito!\Touya asked you to get it for him, didn't he?\Yeah. His club practice has gotten a little long. response:	It looks like your father needs this book
context: Thank you very much.\Excuse me, I came to pick up a pre-ordered book'\May I have your name please?\Kinomoto.\Yukito!\Touya asked you to get it for him, didn't he?\Yeah. His club practice has gotten a little long.\It looks like your father needs this book response:	in a hurry'
context: Excuse me, I came to pick up a pre-ordered book'\May I have your name please?\Kinomoto.\Yukito!\Touya asked you to get it for him, didn't he?\Yeah. His club practice has gotten a little long.\It looks like your father needs this book\in a hurry' response:	Oh, then it's a book Father pre-ordered.
context: May I have your name please?\Kinomoto.\Yukito!\Touya asked you to get it for him, didn't he?\Yeah. His club practice has gotten a little long.\It looks like your father needs this book\in a hurry'\Oh, then it's a book Father pre-ordered. response:	Thank you very much.
context: Kinomoto.\Yukito!\Touya asked you to get it for him, didn't he?\Yeah. His club practice has gotten a little long.\It looks like your father needs this book\in a hurry'\Oh, then it's a book Father pre-ordered.\Thank you very much. response:	Not at all. I heard from Touya that
context: Yukito!\Touya asked you to get it for him, didn't he?\Yeah. His club practice has gotten a little long.\It looks like your father needs this book\in a hurry'\Oh, then it's a book Father pre-ordered.\Thank you very much.\Not at all. I heard from Touya that response:	you worked very hard for your father.
context: Touya asked you to get it for him, didn't he?\Yeah. His club practice has gotten a little long.\It looks like your father needs this book\in a hurry'\Oh, then it's a book Father pre-ordered.\Thank you very much.\Not at all. I heard from Touya that\you worked very hard for your father. response:	It wasn't anything at all'
context: Yeah. His club practice has gotten a little long.\It looks like your father needs this book\in a hurry'\Oh, then it's a book Father pre-ordered.\Thank you very much.\Not at all. I heard from Touya that\you worked very hard for your father.\It wasn't anything at all' response:	Here it is.
context: It looks like your father needs this book\in a hurry'\Oh, then it's a book Father pre-ordered.\Thank you very much.\Not at all. I heard from Touya that\you worked very hard for your father.\It wasn't anything at all'\Here it is. response:	Thanks.
context: in a hurry'\Oh, then it's a book Father pre-ordered.\Thank you very much.\Not at all. I heard from Touya that\you worked very hard for your father.\It wasn't anything at all'\Here it is.\Thanks. response:	I'm sure everything will go well.
context: Oh, then it's a book Father pre-ordered.\Thank you very much.\Not at all. I heard from Touya that\you worked very hard for your father.\It wasn't anything at all'\Here it is.\Thanks.\I'm sure everything will go well. response:	Because you put in all these efforts to help.
context: Thank you very much.\Not at all. I heard from Touya that\you worked very hard for your father.\It wasn't anything at all'\Here it is.\Thanks.\I'm sure everything will go well.\Because you put in all these efforts to help. response:	See you later.
context: Not at all. I heard from Touya that\you worked very hard for your father.\It wasn't anything at all'\Here it is.\Thanks.\I'm sure everything will go well.\Because you put in all these efforts to help.\See you later. response:	Yukito'
context: you worked very hard for your father.\It wasn't anything at all'\Here it is.\Thanks.\I'm sure everything will go well.\Because you put in all these efforts to help.\See you later.\Yukito' response:	Father is working late tonight too'
context: It wasn't anything at all'\Here it is.\Thanks.\I'm sure everything will go well.\Because you put in all these efforts to help.\See you later.\Yukito'\Father is working late tonight too' response:	Sakura'
context: Here it is.\Thanks.\I'm sure everything will go well.\Because you put in all these efforts to help.\See you later.\Yukito'\Father is working late tonight too'\Sakura' response:	Did you fold the laundry?
context: Thanks.\I'm sure everything will go well.\Because you put in all these efforts to help.\See you later.\Yukito'\Father is working late tonight too'\Sakura'\Did you fold the laundry? response:	Yeah, I finished it a while ago.
context: I'm sure everything will go well.\Because you put in all these efforts to help.\See you later.\Yukito'\Father is working late tonight too'\Sakura'\Did you fold the laundry?\Yeah, I finished it a while ago. response:	Okay. Then, I've one more thing for you.
context: Because you put in all these efforts to help.\See you later.\Yukito'\Father is working late tonight too'\Sakura'\Did you fold the laundry?\Yeah, I finished it a while ago.\Okay. Then, I've one more thing for you. response:	What is it?
context: See you later.\Yukito'\Father is working late tonight too'\Sakura'\Did you fold the laundry?\Yeah, I finished it a while ago.\Okay. Then, I've one more thing for you.\What is it? response:	Can you bring Father his midnight snack?
context: Yukito'\Father is working late tonight too'\Sakura'\Did you fold the laundry?\Yeah, I finished it a while ago.\Okay. Then, I've one more thing for you.\What is it?\Can you bring Father his midnight snack? response:	Okay!
context: Father is working late tonight too'\Sakura'\Did you fold the laundry?\Yeah, I finished it a while ago.\Okay. Then, I've one more thing for you.\What is it?\Can you bring Father his midnight snack?\Okay! response:	Father's still working, so don't stay in there for too long.
context: Sakura'\Did you fold the laundry?\Yeah, I finished it a while ago.\Okay. Then, I've one more thing for you.\What is it?\Can you bring Father his midnight snack?\Okay!\Father's still working, so don't stay in there for too long. response:	Also, it's getting late, so go to sleep!
context: Did you fold the laundry?\Yeah, I finished it a while ago.\Okay. Then, I've one more thing for you.\What is it?\Can you bring Father his midnight snack?\Okay!\Father's still working, so don't stay in there for too long.\Also, it's getting late, so go to sleep! response:	I came to bring you midnight snack.
context: Yeah, I finished it a while ago.\Okay. Then, I've one more thing for you.\What is it?\Can you bring Father his midnight snack?\Okay!\Father's still working, so don't stay in there for too long.\Also, it's getting late, so go to sleep!\I came to bring you midnight snack. response:	Maybe I'll eat it now. It's good to take a little break.
context: Okay. Then, I've one more thing for you.\What is it?\Can you bring Father his midnight snack?\Okay!\Father's still working, so don't stay in there for too long.\Also, it's getting late, so go to sleep!\I came to bring you midnight snack.\Maybe I'll eat it now. It's good to take a little break. response:	It's good.
context: What is it?\Can you bring Father his midnight snack?\Okay!\Father's still working, so don't stay in there for too long.\Also, it's getting late, so go to sleep!\I came to bring you midnight snack.\Maybe I'll eat it now. It's good to take a little break.\It's good. response:	Are you almost done?
context: Can you bring Father his midnight snack?\Okay!\Father's still working, so don't stay in there for too long.\Also, it's getting late, so go to sleep!\I came to bring you midnight snack.\Maybe I'll eat it now. It's good to take a little break.\It's good.\Are you almost done? response:	I'm just about done gathering data,
context: Okay!\Father's still working, so don't stay in there for too long.\Also, it's getting late, so go to sleep!\I came to bring you midnight snack.\Maybe I'll eat it now. It's good to take a little break.\It's good.\Are you almost done?\I'm just about done gathering data, response:	but putting them together will take a while.
context: Father's still working, so don't stay in there for too long.\Also, it's getting late, so go to sleep!\I came to bring you midnight snack.\Maybe I'll eat it now. It's good to take a little break.\It's good.\Are you almost done?\I'm just about done gathering data,\but putting them together will take a while. response:	I'll be fine.
context: Also, it's getting late, so go to sleep!\I came to bring you midnight snack.\Maybe I'll eat it now. It's good to take a little break.\It's good.\Are you almost done?\I'm just about done gathering data,\but putting them together will take a while.\I'll be fine. response:	I'll just have to stay at the university for two to three days,
context: I came to bring you midnight snack.\Maybe I'll eat it now. It's good to take a little break.\It's good.\Are you almost done?\I'm just about done gathering data,\but putting them together will take a while.\I'll be fine.\I'll just have to stay at the university for two to three days, response:	and I can probably finish it at home on Saturday.
context: Maybe I'll eat it now. It's good to take a little break.\It's good.\Are you almost done?\I'm just about done gathering data,\but putting them together will take a while.\I'll be fine.\I'll just have to stay at the university for two to three days,\and I can probably finish it at home on Saturday. response:	I give you and Touya so much trouble,
context: It's good.\Are you almost done?\I'm just about done gathering data,\but putting them together will take a while.\I'll be fine.\I'll just have to stay at the university for two to three days,\and I can probably finish it at home on Saturday.\I give you and Touya so much trouble, response:	next week after the announcement is over'
context: Are you almost done?\I'm just about done gathering data,\but putting them together will take a while.\I'll be fine.\I'll just have to stay at the university for two to three days,\and I can probably finish it at home on Saturday.\I give you and Touya so much trouble,\next week after the announcement is over' response:	Don't worry about things like that. Just concentrate on work.
context: I'm just about done gathering data,\but putting them together will take a while.\I'll be fine.\I'll just have to stay at the university for two to three days,\and I can probably finish it at home on Saturday.\I give you and Touya so much trouble,\next week after the announcement is over'\Don't worry about things like that. Just concentrate on work. response:	Thanks.
context: but putting them together will take a while.\I'll be fine.\I'll just have to stay at the university for two to three days,\and I can probably finish it at home on Saturday.\I give you and Touya so much trouble,\next week after the announcement is over'\Don't worry about things like that. Just concentrate on work.\Thanks. response:	So, what kind of people
context: I'll be fine.\I'll just have to stay at the university for two to three days,\and I can probably finish it at home on Saturday.\I give you and Touya so much trouble,\next week after the announcement is over'\Don't worry about things like that. Just concentrate on work.\Thanks.\So, what kind of people response:	are you presenting this to?
context: I'll just have to stay at the university for two to three days,\and I can probably finish it at home on Saturday.\I give you and Touya so much trouble,\next week after the announcement is over'\Don't worry about things like that. Just concentrate on work.\Thanks.\So, what kind of people\are you presenting this to? response:	Are there going to be lots of famous people?
context: and I can probably finish it at home on Saturday.\I give you and Touya so much trouble,\next week after the announcement is over'\Don't worry about things like that. Just concentrate on work.\Thanks.\So, what kind of people\are you presenting this to?\Are there going to be lots of famous people? response:	How should I put it'
context: I give you and Touya so much trouble,\next week after the announcement is over'\Don't worry about things like that. Just concentrate on work.\Thanks.\So, what kind of people\are you presenting this to?\Are there going to be lots of famous people?\How should I put it' response:	Those people attending aren't any famous people in particular.
context: next week after the announcement is over'\Don't worry about things like that. Just concentrate on work.\Thanks.\So, what kind of people\are you presenting this to?\Are there going to be lots of famous people?\How should I put it'\Those people attending aren't any famous people in particular. response:	Yes!
context: Don't worry about things like that. Just concentrate on work.\Thanks.\So, what kind of people\are you presenting this to?\Are there going to be lots of famous people?\How should I put it'\Those people attending aren't any famous people in particular.\Yes! response:	We live in a big world,
context: Thanks.\So, what kind of people\are you presenting this to?\Are there going to be lots of famous people?\How should I put it'\Those people attending aren't any famous people in particular.\Yes!\We live in a big world, response:	and it has been a long time since human beings were born.
context: So, what kind of people\are you presenting this to?\Are there going to be lots of famous people?\How should I put it'\Those people attending aren't any famous people in particular.\Yes!\We live in a big world,\and it has been a long time since human beings were born. response:	But what we know is actually very little.
context: are you presenting this to?\Are there going to be lots of famous people?\How should I put it'\Those people attending aren't any famous people in particular.\Yes!\We live in a big world,\and it has been a long time since human beings were born.\But what we know is actually very little. response:	Living in different countries, speaking different languages,
context: Are there going to be lots of famous people?\How should I put it'\Those people attending aren't any famous people in particular.\Yes!\We live in a big world,\and it has been a long time since human beings were born.\But what we know is actually very little.\Living in different countries, speaking different languages, response:	those people who lived in different times
context: How should I put it'\Those people attending aren't any famous people in particular.\Yes!\We live in a big world,\and it has been a long time since human beings were born.\But what we know is actually very little.\Living in different countries, speaking different languages,\those people who lived in different times response:	We hardly know anything about them.
context: Those people attending aren't any famous people in particular.\Yes!\We live in a big world,\and it has been a long time since human beings were born.\But what we know is actually very little.\Living in different countries, speaking different languages,\those people who lived in different times\We hardly know anything about them. response:	That's why this is what I do for work.
context: Yes!\We live in a big world,\and it has been a long time since human beings were born.\But what we know is actually very little.\Living in different countries, speaking different languages,\those people who lived in different times\We hardly know anything about them.\That's why this is what I do for work. response:	Things about the ancient times, about the ancient countries.
context: We live in a big world,\and it has been a long time since human beings were born.\But what we know is actually very little.\Living in different countries, speaking different languages,\those people who lived in different times\We hardly know anything about them.\That's why this is what I do for work.\Things about the ancient times, about the ancient countries. response:	I want to learn about them, research on them.
context: and it has been a long time since human beings were born.\But what we know is actually very little.\Living in different countries, speaking different languages,\those people who lived in different times\We hardly know anything about them.\That's why this is what I do for work.\Things about the ancient times, about the ancient countries.\I want to learn about them, research on them. response:	And then, I announce my result, because I want to tell someone about them.
context: But what we know is actually very little.\Living in different countries, speaking different languages,\those people who lived in different times\We hardly know anything about them.\That's why this is what I do for work.\Things about the ancient times, about the ancient countries.\I want to learn about them, research on them.\And then, I announce my result, because I want to tell someone about them. response:	Rather than keeping something you enjoy to yourself,
context: Living in different countries, speaking different languages,\those people who lived in different times\We hardly know anything about them.\That's why this is what I do for work.\Things about the ancient times, about the ancient countries.\I want to learn about them, research on them.\And then, I announce my result, because I want to tell someone about them.\Rather than keeping something you enjoy to yourself, response:	it's more fun to let everyone know about it, right?
context: those people who lived in different times\We hardly know anything about them.\That's why this is what I do for work.\Things about the ancient times, about the ancient countries.\I want to learn about them, research on them.\And then, I announce my result, because I want to tell someone about them.\Rather than keeping something you enjoy to yourself,\it's more fun to let everyone know about it, right? response:	Yeah!
context: We hardly know anything about them.\That's why this is what I do for work.\Things about the ancient times, about the ancient countries.\I want to learn about them, research on them.\And then, I announce my result, because I want to tell someone about them.\Rather than keeping something you enjoy to yourself,\it's more fun to let everyone know about it, right?\Yeah! response:	Thanks for the midnight snack.
context: That's why this is what I do for work.\Things about the ancient times, about the ancient countries.\I want to learn about them, research on them.\And then, I announce my result, because I want to tell someone about them.\Rather than keeping something you enjoy to yourself,\it's more fun to let everyone know about it, right?\Yeah!\Thanks for the midnight snack. response:	One more day of hard work and it should be done.
context: Things about the ancient times, about the ancient countries.\I want to learn about them, research on them.\And then, I announce my result, because I want to tell someone about them.\Rather than keeping something you enjoy to yourself,\it's more fun to let everyone know about it, right?\Yeah!\Thanks for the midnight snack.\One more day of hard work and it should be done. response:	Now, you need to get up early tomorrow too, right?
context: I want to learn about them, research on them.\And then, I announce my result, because I want to tell someone about them.\Rather than keeping something you enjoy to yourself,\it's more fun to let everyone know about it, right?\Yeah!\Thanks for the midnight snack.\One more day of hard work and it should be done.\Now, you need to get up early tomorrow too, right? response:	Yeah. Good night.
context: And then, I announce my result, because I want to tell someone about them.\Rather than keeping something you enjoy to yourself,\it's more fun to let everyone know about it, right?\Yeah!\Thanks for the midnight snack.\One more day of hard work and it should be done.\Now, you need to get up early tomorrow too, right?\Yeah. Good night. response:	G'night.
context: Rather than keeping something you enjoy to yourself,\it's more fun to let everyone know about it, right?\Yeah!\Thanks for the midnight snack.\One more day of hard work and it should be done.\Now, you need to get up early tomorrow too, right?\Yeah. Good night.\G'night. response:	Goin' to your father's school?
context: it's more fun to let everyone know about it, right?\Yeah!\Thanks for the midnight snack.\One more day of hard work and it should be done.\Now, you need to get up early tomorrow too, right?\Yeah. Good night.\G'night.\Goin' to your father's school? response:	Why don't you come along too?
context: Yeah!\Thanks for the midnight snack.\One more day of hard work and it should be done.\Now, you need to get up early tomorrow too, right?\Yeah. Good night.\G'night.\Goin' to your father's school?\Why don't you come along too? response:	I don't need to study. I'm already so smart.
context: Thanks for the midnight snack.\One more day of hard work and it should be done.\Now, you need to get up early tomorrow too, right?\Yeah. Good night.\G'night.\Goin' to your father's school?\Why don't you come along too?\I don't need to study. I'm already so smart. response:	No, I'm thinking of bringing him some snacks.
context: One more day of hard work and it should be done.\Now, you need to get up early tomorrow too, right?\Yeah. Good night.\G'night.\Goin' to your father's school?\Why don't you come along too?\I don't need to study. I'm already so smart.\No, I'm thinking of bringing him some snacks. response:	He's staying there overnight and probably even has a change of clothes.
context: Now, you need to get up early tomorrow too, right?\Yeah. Good night.\G'night.\Goin' to your father's school?\Why don't you come along too?\I don't need to study. I'm already so smart.\No, I'm thinking of bringing him some snacks.\He's staying there overnight and probably even has a change of clothes. response:	Oh, maybe I'll ask Tomoyo to come with me too.
