context: Thanks for helping out today. response:	Sota's been eating me out of house and home, so shopping's been rough.
context: J Believe in yourself and your friends! Let's go! J\That's from an anime.\W-Was I singing along?!\Yup. You're a good singer, Hori-san.\I'm so not!\I can't believe I was singing that in public... I gotta pay attention.\What's wrong with liking anime music?\I'm not into it, but Sota is. response:	He listens to those same CDs over and over, so now I know the lyrics.
context: That's from an anime.\W-Was I singing along?!\Yup. You're a good singer, Hori-san.\I'm so not!\I can't believe I was singing that in public... I gotta pay attention.\What's wrong with liking anime music?\I'm not into it, but Sota is.\He listens to those same CDs over and over, so now I know the lyrics. response:	Well, what kind of music do you like, Hori-san?
context: W-Was I singing along?!\Yup. You're a good singer, Hori-san.\I'm so not!\I can't believe I was singing that in public... I gotta pay attention.\What's wrong with liking anime music?\I'm not into it, but Sota is.\He listens to those same CDs over and over, so now I know the lyrics.\Well, what kind of music do you like, Hori-san? response:	Me? I like...
context: Yup. You're a good singer, Hori-san.\I'm so not!\I can't believe I was singing that in public... I gotta pay attention.\What's wrong with liking anime music?\I'm not into it, but Sota is.\He listens to those same CDs over and over, so now I know the lyrics.\Well, what kind of music do you like, Hori-san?\Me? I like... response:	I have no idea what's popular!
context: I'm so not!\I can't believe I was singing that in public... I gotta pay attention.\What's wrong with liking anime music?\I'm not into it, but Sota is.\He listens to those same CDs over and over, so now I know the lyrics.\Well, what kind of music do you like, Hori-san?\Me? I like...\I have no idea what's popular! response:	But I know all the words to an anime song!
context: I can't believe I was singing that in public... I gotta pay attention.\What's wrong with liking anime music?\I'm not into it, but Sota is.\He listens to those same CDs over and over, so now I know the lyrics.\Well, what kind of music do you like, Hori-san?\Me? I like...\I have no idea what's popular!\But I know all the words to an anime song! response:	I'm back!
context: What's wrong with liking anime music?\I'm not into it, but Sota is.\He listens to those same CDs over and over, so now I know the lyrics.\Well, what kind of music do you like, Hori-san?\Me? I like...\I have no idea what's popular!\But I know all the words to an anime song!\I'm back! response:	Wait... Mom?!
context: I'm not into it, but Sota is.\He listens to those same CDs over and over, so now I know the lyrics.\Well, what kind of music do you like, Hori-san?\Me? I like...\I have no idea what's popular!\But I know all the words to an anime song!\I'm back!\Wait... Mom?! response:	Hi!
context: He listens to those same CDs over and over, so now I know the lyrics.\Well, what kind of music do you like, Hori-san?\Me? I like...\I have no idea what's popular!\But I know all the words to an anime song!\I'm back!\Wait... Mom?!\Hi! response:	Horimiya
context: Well, what kind of music do you like, Hori-san?\Me? I like...\I have no idea what's popular!\But I know all the words to an anime song!\I'm back!\Wait... Mom?!\Hi!\Horimiya response:	Wow, so you've been having lots of fun with him, then?
context: Me? I like...\I have no idea what's popular!\But I know all the words to an anime song!\I'm back!\Wait... Mom?!\Hi!\Horimiya\Wow, so you've been having lots of fun with him, then? response:	Uh-huh! He comes over all the time to play with me!
context: I have no idea what's popular!\But I know all the words to an anime song!\I'm back!\Wait... Mom?!\Hi!\Horimiya\Wow, so you've been having lots of fun with him, then?\Uh-huh! He comes over all the time to play with me! response:	You Wear More Than One Face
context: But I know all the words to an anime song!\I'm back!\Wait... Mom?!\Hi!\Horimiya\Wow, so you've been having lots of fun with him, then?\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face response:	Uh-huh! He comes over all the time to play with me!
context: I'm back!\Wait... Mom?!\Hi!\Horimiya\Wow, so you've been having lots of fun with him, then?\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\Uh-huh! He comes over all the time to play with me! response:	You Wear More Than One Face
context: Wait... Mom?!\Hi!\Horimiya\Wow, so you've been having lots of fun with him, then?\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face response:	He even bought me a book, see?
context: Hi!\Horimiya\Wow, so you've been having lots of fun with him, then?\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\He even bought me a book, see? response:	He even bought me a book, see?
context: Horimiya\Wow, so you've been having lots of fun with him, then?\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\He even bought me a book, see?\He even bought me a book, see? response:	Wow, how nice!
context: Wow, so you've been having lots of fun with him, then?\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\He even bought me a book, see?\He even bought me a book, see?\Wow, how nice! response:	Good going there, Kyoko.
context: Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\He even bought me a book, see?\He even bought me a book, see?\Wow, how nice!\Good going there, Kyoko. response:	So, what's he like? Is he cute?
context: You Wear More Than One Face\Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\He even bought me a book, see?\He even bought me a book, see?\Wow, how nice!\Good going there, Kyoko.\So, what's he like? Is he cute? response:	He reminds me of the dark villain in a detective movie...
context: Uh-huh! He comes over all the time to play with me!\You Wear More Than One Face\He even bought me a book, see?\He even bought me a book, see?\Wow, how nice!\Good going there, Kyoko.\So, what's he like? Is he cute?\He reminds me of the dark villain in a detective movie... response:	What kind of description is that, Kyoko? Isn't he your friend?
context: You Wear More Than One Face\He even bought me a book, see?\He even bought me a book, see?\Wow, how nice!\Good going there, Kyoko.\So, what's he like? Is he cute?\He reminds me of the dark villain in a detective movie...\What kind of description is that, Kyoko? Isn't he your friend? response:	Well, yeah, but...
context: He even bought me a book, see?\He even bought me a book, see?\Wow, how nice!\Good going there, Kyoko.\So, what's he like? Is he cute?\He reminds me of the dark villain in a detective movie...\What kind of description is that, Kyoko? Isn't he your friend?\Well, yeah, but... response:	I'd love to talk with him one-on-one sometime!
context: He even bought me a book, see?\Wow, how nice!\Good going there, Kyoko.\So, what's he like? Is he cute?\He reminds me of the dark villain in a detective movie...\What kind of description is that, Kyoko? Isn't he your friend?\Well, yeah, but...\I'd love to talk with him one-on-one sometime! response:	What do you wanna discuss with him alone?!
context: Wow, how nice!\Good going there, Kyoko.\So, what's he like? Is he cute?\He reminds me of the dark villain in a detective movie...\What kind of description is that, Kyoko? Isn't he your friend?\Well, yeah, but...\I'd love to talk with him one-on-one sometime!\What do you wanna discuss with him alone?! response:	Okay, all done.
context: Good going there, Kyoko.\So, what's he like? Is he cute?\He reminds me of the dark villain in a detective movie...\What kind of description is that, Kyoko? Isn't he your friend?\Well, yeah, but...\I'd love to talk with him one-on-one sometime!\What do you wanna discuss with him alone?!\Okay, all done. response:	That felt good! Thank you.
context: So, what's he like? Is he cute?\He reminds me of the dark villain in a detective movie...\What kind of description is that, Kyoko? Isn't he your friend?\Well, yeah, but...\I'd love to talk with him one-on-one sometime!\What do you wanna discuss with him alone?!\Okay, all done.\That felt good! Thank you. response:	So what's his name?
context: He reminds me of the dark villain in a detective movie...\What kind of description is that, Kyoko? Isn't he your friend?\Well, yeah, but...\I'd love to talk with him one-on-one sometime!\What do you wanna discuss with him alone?!\Okay, all done.\That felt good! Thank you.\So what's his name? response:	Huh?
context: What kind of description is that, Kyoko? Isn't he your friend?\Well, yeah, but...\I'd love to talk with him one-on-one sometime!\What do you wanna discuss with him alone?!\Okay, all done.\That felt good! Thank you.\So what's his name?\Huh? response:	Your villain.
context: Well, yeah, but...\I'd love to talk with him one-on-one sometime!\What do you wanna discuss with him alone?!\Okay, all done.\That felt good! Thank you.\So what's his name?\Huh?\Your villain. response:	His name's Miyamura.
context: I'd love to talk with him one-on-one sometime!\What do you wanna discuss with him alone?!\Okay, all done.\That felt good! Thank you.\So what's his name?\Huh?\Your villain.\His name's Miyamura. response:	Miyamura-kun?
context: What do you wanna discuss with him alone?!\Okay, all done.\That felt good! Thank you.\So what's his name?\Huh?\Your villain.\His name's Miyamura.\Miyamura-kun? response:	Yeah, Miyamura. First name...
context: Okay, all done.\That felt good! Thank you.\So what's his name?\Huh?\Your villain.\His name's Miyamura.\Miyamura-kun?\Yeah, Miyamura. First name... response:	What's Miyamura's first name?!
context: That felt good! Thank you.\So what's his name?\Huh?\Your villain.\His name's Miyamura.\Miyamura-kun?\Yeah, Miyamura. First name...\What's Miyamura's first name?! response:	Oh my God, he's been coming over to my house for forever now,
context: So what's his name?\Huh?\Your villain.\His name's Miyamura.\Miyamura-kun?\Yeah, Miyamura. First name...\What's Miyamura's first name?!\Oh my God, he's been coming over to my house for forever now, response:	but I still have no idea what his first name is!
context: Huh?\Your villain.\His name's Miyamura.\Miyamura-kun?\Yeah, Miyamura. First name...\What's Miyamura's first name?!\Oh my God, he's been coming over to my house for forever now,\but I still have no idea what his first name is! response:	And our teacher took the attendance sheet with him...
context: Your villain.\His name's Miyamura.\Miyamura-kun?\Yeah, Miyamura. First name...\What's Miyamura's first name?!\Oh my God, he's been coming over to my house for forever now,\but I still have no idea what his first name is!\And our teacher took the attendance sheet with him... response:	Why don't I just ask him?
context: His name's Miyamura.\Miyamura-kun?\Yeah, Miyamura. First name...\What's Miyamura's first name?!\Oh my God, he's been coming over to my house for forever now,\but I still have no idea what his first name is!\And our teacher took the attendance sheet with him...\Why don't I just ask him? response:	Hey, Miyamura, you got a first name?
context: Miyamura-kun?\Yeah, Miyamura. First name...\What's Miyamura's first name?!\Oh my God, he's been coming over to my house for forever now,\but I still have no idea what his first name is!\And our teacher took the attendance sheet with him...\Why don't I just ask him?\Hey, Miyamura, you got a first name? response:	What?
context: Yeah, Miyamura. First name...\What's Miyamura's first name?!\Oh my God, he's been coming over to my house for forever now,\but I still have no idea what his first name is!\And our teacher took the attendance sheet with him...\Why don't I just ask him?\Hey, Miyamura, you got a first name?\What? response:	No way! That's the absolute last thing I should do!
context: What's Miyamura's first name?!\Oh my God, he's been coming over to my house for forever now,\but I still have no idea what his first name is!\And our teacher took the attendance sheet with him...\Why don't I just ask him?\Hey, Miyamura, you got a first name?\What?\No way! That's the absolute last thing I should do! response:	Let's go get changed.
context: Oh my God, he's been coming over to my house for forever now,\but I still have no idea what his first name is!\And our teacher took the attendance sheet with him...\Why don't I just ask him?\Hey, Miyamura, you got a first name?\What?\No way! That's the absolute last thing I should do!\Let's go get changed. response:	Hey, Miyamura, what's P.E. gonna be today?
context: but I still have no idea what his first name is!\And our teacher took the attendance sheet with him...\Why don't I just ask him?\Hey, Miyamura, you got a first name?\What?\No way! That's the absolute last thing I should do!\Let's go get changed.\Hey, Miyamura, what's P.E. gonna be today? response:	Pretty sure we have a combined class.
context: And our teacher took the attendance sheet with him...\Why don't I just ask him?\Hey, Miyamura, you got a first name?\What?\No way! That's the absolute last thing I should do!\Let's go get changed.\Hey, Miyamura, what's P.E. gonna be today?\Pretty sure we have a combined class. response:	Someone call him by his first name! C'mon, boys!
context: Why don't I just ask him?\Hey, Miyamura, you got a first name?\What?\No way! That's the absolute last thing I should do!\Let's go get changed.\Hey, Miyamura, what's P.E. gonna be today?\Pretty sure we have a combined class.\Someone call him by his first name! C'mon, boys! response:	Hori-san's watching us change!
context: Hey, Miyamura, you got a first name?\What?\No way! That's the absolute last thing I should do!\Let's go get changed.\Hey, Miyamura, what's P.E. gonna be today?\Pretty sure we have a combined class.\Someone call him by his first name! C'mon, boys!\Hori-san's watching us change! response:	You were peeping? Are you pent up and frustrated or something, Hori?
context: What?\No way! That's the absolute last thing I should do!\Let's go get changed.\Hey, Miyamura, what's P.E. gonna be today?\Pretty sure we have a combined class.\Someone call him by his first name! C'mon, boys!\Hori-san's watching us change!\You were peeping? Are you pent up and frustrated or something, Hori? response:	Yeah.
context: No way! That's the absolute last thing I should do!\Let's go get changed.\Hey, Miyamura, what's P.E. gonna be today?\Pretty sure we have a combined class.\Someone call him by his first name! C'mon, boys!\Hori-san's watching us change!\You were peeping? Are you pent up and frustrated or something, Hori?\Yeah. response:	Wait, what?!
context: Let's go get changed.\Hey, Miyamura, what's P.E. gonna be today?\Pretty sure we have a combined class.\Someone call him by his first name! C'mon, boys!\Hori-san's watching us change!\You were peeping? Are you pent up and frustrated or something, Hori?\Yeah.\Wait, what?! response:	Class Academic Standings 1: Kakeru Sengoku
context: Hey, Miyamura, what's P.E. gonna be today?\Pretty sure we have a combined class.\Someone call him by his first name! C'mon, boys!\Hori-san's watching us change!\You were peeping? Are you pent up and frustrated or something, Hori?\Yeah.\Wait, what?!\Class Academic Standings 1: Kakeru Sengoku response:	Dammit...
context: Pretty sure we have a combined class.\Someone call him by his first name! C'mon, boys!\Hori-san's watching us change!\You were peeping? Are you pent up and frustrated or something, Hori?\Yeah.\Wait, what?!\Class Academic Standings 1: Kakeru Sengoku\Dammit... response:	Dammit...
context: Someone call him by his first name! C'mon, boys!\Hori-san's watching us change!\You were peeping? Are you pent up and frustrated or something, Hori?\Yeah.\Wait, what?!\Class Academic Standings 1: Kakeru Sengoku\Dammit...\Dammit... response:	If he were a little bit smarter, I'd know!
context: Hori-san's watching us change!\You were peeping? Are you pent up and frustrated or something, Hori?\Yeah.\Wait, what?!\Class Academic Standings 1: Kakeru Sengoku\Dammit...\Dammit...\If he were a little bit smarter, I'd know! response:	Hori? You heading home?
context: You were peeping? Are you pent up and frustrated or something, Hori?\Yeah.\Wait, what?!\Class Academic Standings 1: Kakeru Sengoku\Dammit...\Dammit...\If he were a little bit smarter, I'd know!\Hori? You heading home? response:	Toru! Good timing.
context: Yeah.\Wait, what?!\Class Academic Standings 1: Kakeru Sengoku\Dammit...\Dammit...\If he were a little bit smarter, I'd know!\Hori? You heading home?\Toru! Good timing. response:	I need to ask you about Miyamura-
context: Wait, what?!\Class Academic Standings 1: Kakeru Sengoku\Dammit...\Dammit...\If he were a little bit smarter, I'd know!\Hori? You heading home?\Toru! Good timing.\I need to ask you about Miyamura- response:	Miyamura?
context: Class Academic Standings 1: Kakeru Sengoku\Dammit...\Dammit...\If he were a little bit smarter, I'd know!\Hori? You heading home?\Toru! Good timing.\I need to ask you about Miyamura-\Miyamura? response:	My broken heart's still healing!
context: Dammit...\Dammit...\If he were a little bit smarter, I'd know!\Hori? You heading home?\Toru! Good timing.\I need to ask you about Miyamura-\Miyamura?\My broken heart's still healing! response:	Some help you are!
context: Dammit...\If he were a little bit smarter, I'd know!\Hori? You heading home?\Toru! Good timing.\I need to ask you about Miyamura-\Miyamura?\My broken heart's still healing!\Some help you are! response:	Who knew trying to find out his name would be this exhausting...
context: If he were a little bit smarter, I'd know!\Hori? You heading home?\Toru! Good timing.\I need to ask you about Miyamura-\Miyamura?\My broken heart's still healing!\Some help you are!\Who knew trying to find out his name would be this exhausting... response:	Hey, Kyoko, is there something wrong with my curry?
context: Hori? You heading home?\Toru! Good timing.\I need to ask you about Miyamura-\Miyamura?\My broken heart's still healing!\Some help you are!\Who knew trying to find out his name would be this exhausting...\Hey, Kyoko, is there something wrong with my curry? response:	This is the third day in a row we've had microwave curry.
context: Toru! Good timing.\I need to ask you about Miyamura-\Miyamura?\My broken heart's still healing!\Some help you are!\Who knew trying to find out his name would be this exhausting...\Hey, Kyoko, is there something wrong with my curry?\This is the third day in a row we've had microwave curry. response:	So you've got no school tomorrow. Will Miyamura-kun be coming over?
context: I need to ask you about Miyamura-\Miyamura?\My broken heart's still healing!\Some help you are!\Who knew trying to find out his name would be this exhausting...\Hey, Kyoko, is there something wrong with my curry?\This is the third day in a row we've had microwave curry.\So you've got no school tomorrow. Will Miyamura-kun be coming over? response:	I dunno, probably.
context: Miyamura?\My broken heart's still healing!\Some help you are!\Who knew trying to find out his name would be this exhausting...\Hey, Kyoko, is there something wrong with my curry?\This is the third day in a row we've had microwave curry.\So you've got no school tomorrow. Will Miyamura-kun be coming over?\I dunno, probably. response:	Wow, really? Oh, boy, I'm so excited!
context: My broken heart's still healing!\Some help you are!\Who knew trying to find out his name would be this exhausting...\Hey, Kyoko, is there something wrong with my curry?\This is the third day in a row we've had microwave curry.\So you've got no school tomorrow. Will Miyamura-kun be coming over?\I dunno, probably.\Wow, really? Oh, boy, I'm so excited! response:	Why? He's not coming over to hang with you, Mom.
context: Some help you are!\Who knew trying to find out his name would be this exhausting...\Hey, Kyoko, is there something wrong with my curry?\This is the third day in a row we've had microwave curry.\So you've got no school tomorrow. Will Miyamura-kun be coming over?\I dunno, probably.\Wow, really? Oh, boy, I'm so excited!\Why? He's not coming over to hang with you, Mom. response:	Wait, he might tell Mom his name!
context: Who knew trying to find out his name would be this exhausting...\Hey, Kyoko, is there something wrong with my curry?\This is the third day in a row we've had microwave curry.\So you've got no school tomorrow. Will Miyamura-kun be coming over?\I dunno, probably.\Wow, really? Oh, boy, I'm so excited!\Why? He's not coming over to hang with you, Mom.\Wait, he might tell Mom his name! response:	Yes!
context: Hey, Kyoko, is there something wrong with my curry?\This is the third day in a row we've had microwave curry.\So you've got no school tomorrow. Will Miyamura-kun be coming over?\I dunno, probably.\Wow, really? Oh, boy, I'm so excited!\Why? He's not coming over to hang with you, Mom.\Wait, he might tell Mom his name!\Yes! response:	The Next Day
context: This is the third day in a row we've had microwave curry.\So you've got no school tomorrow. Will Miyamura-kun be coming over?\I dunno, probably.\Wow, really? Oh, boy, I'm so excited!\Why? He's not coming over to hang with you, Mom.\Wait, he might tell Mom his name!\Yes!\The Next Day response:	Hi! I'm so glad to finally meet you! Come on in.
context: So you've got no school tomorrow. Will Miyamura-kun be coming over?\I dunno, probably.\Wow, really? Oh, boy, I'm so excited!\Why? He's not coming over to hang with you, Mom.\Wait, he might tell Mom his name!\Yes!\The Next Day\Hi! I'm so glad to finally meet you! Come on in. response:	Thank you, ma'am.
context: I dunno, probably.\Wow, really? Oh, boy, I'm so excited!\Why? He's not coming over to hang with you, Mom.\Wait, he might tell Mom his name!\Yes!\The Next Day\Hi! I'm so glad to finally meet you! Come on in.\Thank you, ma'am. response:	H-Hori's mom! So this is what she's like.
context: Wow, really? Oh, boy, I'm so excited!\Why? He's not coming over to hang with you, Mom.\Wait, he might tell Mom his name!\Yes!\The Next Day\Hi! I'm so glad to finally meet you! Come on in.\Thank you, ma'am.\H-Hori's mom! So this is what she's like. response:	Oh, I brought you this.
context: Why? He's not coming over to hang with you, Mom.\Wait, he might tell Mom his name!\Yes!\The Next Day\Hi! I'm so glad to finally meet you! Come on in.\Thank you, ma'am.\H-Hori's mom! So this is what she's like.\Oh, I brought you this. response:	My, thank you so much!
context: Wait, he might tell Mom his name!\Yes!\The Next Day\Hi! I'm so glad to finally meet you! Come on in.\Thank you, ma'am.\H-Hori's mom! So this is what she's like.\Oh, I brought you this.\My, thank you so much! response:	I'm sorry, Kyoko's out on some errands right now.
context: Yes!\The Next Day\Hi! I'm so glad to finally meet you! Come on in.\Thank you, ma'am.\H-Hori's mom! So this is what she's like.\Oh, I brought you this.\My, thank you so much!\I'm sorry, Kyoko's out on some errands right now. response:	She's told me so much about you.
context: The Next Day\Hi! I'm so glad to finally meet you! Come on in.\Thank you, ma'am.\H-Hori's mom! So this is what she's like.\Oh, I brought you this.\My, thank you so much!\I'm sorry, Kyoko's out on some errands right now.\She's told me so much about you. response:	-Hi, Mom!
context: Hi! I'm so glad to finally meet you! Come on in.\Thank you, ma'am.\H-Hori's mom! So this is what she's like.\Oh, I brought you this.\My, thank you so much!\I'm sorry, Kyoko's out on some errands right now.\She's told me so much about you.\-Hi, Mom! response:	-Oh, Sota's home late. -Hi, Mom!
context: Thank you, ma'am.\H-Hori's mom! So this is what she's like.\Oh, I brought you this.\My, thank you so much!\I'm sorry, Kyoko's out on some errands right now.\She's told me so much about you.\-Hi, Mom!\-Oh, Sota's home late. -Hi, Mom! response:	-Oh, Sota's home late.
context: H-Hori's mom! So this is what she's like.\Oh, I brought you this.\My, thank you so much!\I'm sorry, Kyoko's out on some errands right now.\She's told me so much about you.\-Hi, Mom!\-Oh, Sota's home late. -Hi, Mom!\-Oh, Sota's home late. response:	Hey! You're here!
context: Oh, I brought you this.\My, thank you so much!\I'm sorry, Kyoko's out on some errands right now.\She's told me so much about you.\-Hi, Mom!\-Oh, Sota's home late. -Hi, Mom!\-Oh, Sota's home late.\Hey! You're here! response:	What a lovely name!
context: My, thank you so much!\I'm sorry, Kyoko's out on some errands right now.\She's told me so much about you.\-Hi, Mom!\-Oh, Sota's home late. -Hi, Mom!\-Oh, Sota's home late.\Hey! You're here!\What a lovely name! response:	I'd love to sit and chat, but I have to get back to work.
context: I'm sorry, Kyoko's out on some errands right now.\She's told me so much about you.\-Hi, Mom!\-Oh, Sota's home late. -Hi, Mom!\-Oh, Sota's home late.\Hey! You're here!\What a lovely name!\I'd love to sit and chat, but I have to get back to work. response:	That's okay. I'll be heading out soon, too...
context: She's told me so much about you.\-Hi, Mom!\-Oh, Sota's home late. -Hi, Mom!\-Oh, Sota's home late.\Hey! You're here!\What a lovely name!\I'd love to sit and chat, but I have to get back to work.\That's okay. I'll be heading out soon, too... response:	You're leaving already?! C'mon, stay!
context: -Hi, Mom!\-Oh, Sota's home late. -Hi, Mom!\-Oh, Sota's home late.\Hey! You're here!\What a lovely name!\I'd love to sit and chat, but I have to get back to work.\That's okay. I'll be heading out soon, too...\You're leaving already?! C'mon, stay! response:	Thank you for always helping out.
context: -Oh, Sota's home late. -Hi, Mom!\-Oh, Sota's home late.\Hey! You're here!\What a lovely name!\I'd love to sit and chat, but I have to get back to work.\That's okay. I'll be heading out soon, too...\You're leaving already?! C'mon, stay!\Thank you for always helping out. response:	Wait, where's Mom?!
context: -Oh, Sota's home late.\Hey! You're here!\What a lovely name!\I'd love to sit and chat, but I have to get back to work.\That's okay. I'll be heading out soon, too...\You're leaving already?! C'mon, stay!\Thank you for always helping out.\Wait, where's Mom?! response:	Uh, she went back to work.
context: Hey! You're here!\What a lovely name!\I'd love to sit and chat, but I have to get back to work.\That's okay. I'll be heading out soon, too...\You're leaving already?! C'mon, stay!\Thank you for always helping out.\Wait, where's Mom?!\Uh, she went back to work. response:	Which one do you want?
context: What a lovely name!\I'd love to sit and chat, but I have to get back to work.\That's okay. I'll be heading out soon, too...\You're leaving already?! C'mon, stay!\Thank you for always helping out.\Wait, where's Mom?!\Uh, she went back to work.\Which one do you want? response:	The one with the strawberry!
context: I'd love to sit and chat, but I have to get back to work.\That's okay. I'll be heading out soon, too...\You're leaving already?! C'mon, stay!\Thank you for always helping out.\Wait, where's Mom?!\Uh, she went back to work.\Which one do you want?\The one with the strawberry! response:	That witch! She sent me on errands so she could talk alone with him!
context: That's okay. I'll be heading out soon, too...\You're leaving already?! C'mon, stay!\Thank you for always helping out.\Wait, where's Mom?!\Uh, she went back to work.\Which one do you want?\The one with the strawberry!\That witch! She sent me on errands so she could talk alone with him! response:	Your mom's the first person to call me by my first name since 6th grade.
context: You're leaving already?! C'mon, stay!\Thank you for always helping out.\Wait, where's Mom?!\Uh, she went back to work.\Which one do you want?\The one with the strawberry!\That witch! She sent me on errands so she could talk alone with him!\Your mom's the first person to call me by my first name since 6th grade. response:	It felt kinda awkward.
context: Thank you for always helping out.\Wait, where's Mom?!\Uh, she went back to work.\Which one do you want?\The one with the strawberry!\That witch! She sent me on errands so she could talk alone with him!\Your mom's the first person to call me by my first name since 6th grade.\It felt kinda awkward. response:	Wait, what?
context: Wait, where's Mom?!\Uh, she went back to work.\Which one do you want?\The one with the strawberry!\That witch! She sent me on errands so she could talk alone with him!\Your mom's the first person to call me by my first name since 6th grade.\It felt kinda awkward.\Wait, what? response:	She used my first name.
context: Uh, she went back to work.\Which one do you want?\The one with the strawberry!\That witch! She sent me on errands so she could talk alone with him!\Your mom's the first person to call me by my first name since 6th grade.\It felt kinda awkward.\Wait, what?\She used my first name. response:	I heard you the first time!
context: Which one do you want?\The one with the strawberry!\That witch! She sent me on errands so she could talk alone with him!\Your mom's the first person to call me by my first name since 6th grade.\It felt kinda awkward.\Wait, what?\She used my first name.\I heard you the first time! response:	Oh, you mean how she used it?
context: The one with the strawberry!\That witch! She sent me on errands so she could talk alone with him!\Your mom's the first person to call me by my first name since 6th grade.\It felt kinda awkward.\Wait, what?\She used my first name.\I heard you the first time!\Oh, you mean how she used it? response:	She used -kun. Your mom's pretty young, huh?
context: That witch! She sent me on errands so she could talk alone with him!\Your mom's the first person to call me by my first name since 6th grade.\It felt kinda awkward.\Wait, what?\She used my first name.\I heard you the first time!\Oh, you mean how she used it?\She used -kun. Your mom's pretty young, huh? response:	Has this guy literally ever had a coherent conversation with me?
context: Your mom's the first person to call me by my first name since 6th grade.\It felt kinda awkward.\Wait, what?\She used my first name.\I heard you the first time!\Oh, you mean how she used it?\She used -kun. Your mom's pretty young, huh?\Has this guy literally ever had a coherent conversation with me? response:	Ugh, that's not what I meant!
context: It felt kinda awkward.\Wait, what?\She used my first name.\I heard you the first time!\Oh, you mean how she used it?\She used -kun. Your mom's pretty young, huh?\Has this guy literally ever had a coherent conversation with me?\Ugh, that's not what I meant! response:	You know, Hori-san, you've been acting kind of weird lately.
context: Wait, what?\She used my first name.\I heard you the first time!\Oh, you mean how she used it?\She used -kun. Your mom's pretty young, huh?\Has this guy literally ever had a coherent conversation with me?\Ugh, that's not what I meant!\You know, Hori-san, you've been acting kind of weird lately. response:	W-Weird how?!
