context: OP response:	Eyecatch
context: Firstly, for the next Golden Future Cup, submit this as a one-shot and get good results.\Golden Future Cup?\That's in the summer, isn't it?\And I have something for you to do until then.\At the pace of one every two weeks...\write and bring in mangas 19 pages long each.\Even without having serialization decided?\That's right. response:	Do you guys normally go this far?
context: Golden Future Cup?\That's in the summer, isn't it?\And I have something for you to do until then.\At the pace of one every two weeks...\write and bring in mangas 19 pages long each.\Even without having serialization decided?\That's right.\Do you guys normally go this far? response:	We don't.
context: That's in the summer, isn't it?\And I have something for you to do until then.\At the pace of one every two weeks...\write and bring in mangas 19 pages long each.\Even without having serialization decided?\That's right.\Do you guys normally go this far?\We don't. response:	But I want to go that far.
context: And I have something for you to do until then.\At the pace of one every two weeks...\write and bring in mangas 19 pages long each.\Even without having serialization decided?\That's right.\Do you guys normally go this far?\We don't.\But I want to go that far. response:	If you can't do that much, you can't draw a series while going to high school.
context: At the pace of one every two weeks...\write and bring in mangas 19 pages long each.\Even without having serialization decided?\That's right.\Do you guys normally go this far?\We don't.\But I want to go that far.\If you can't do that much, you can't draw a series while going to high school. response:	It's unfortunate, but I think you two are different from Niizuma-kun.
context: write and bring in mangas 19 pages long each.\Even without having serialization decided?\That's right.\Do you guys normally go this far?\We don't.\But I want to go that far.\If you can't do that much, you can't draw a series while going to high school.\It's unfortunate, but I think you two are different from Niizuma-kun. response:	And the way detective stories are made is completely different from how battle stories are made.
context: Even without having serialization decided?\That's right.\Do you guys normally go this far?\We don't.\But I want to go that far.\If you can't do that much, you can't draw a series while going to high school.\It's unfortunate, but I think you two are different from Niizuma-kun.\And the way detective stories are made is completely different from how battle stories are made. response:	But even if what you write doesn't get serialized, your efforts definitely haven't been in vain.
context: That's right.\Do you guys normally go this far?\We don't.\But I want to go that far.\If you can't do that much, you can't draw a series while going to high school.\It's unfortunate, but I think you two are different from Niizuma-kun.\And the way detective stories are made is completely different from how battle stories are made.\But even if what you write doesn't get serialized, your efforts definitely haven't been in vain. response:	Thank you very much.
context: Do you guys normally go this far?\We don't.\But I want to go that far.\If you can't do that much, you can't draw a series while going to high school.\It's unfortunate, but I think you two are different from Niizuma-kun.\And the way detective stories are made is completely different from how battle stories are made.\But even if what you write doesn't get serialized, your efforts definitely haven't been in vain.\Thank you very much. response:	We'll do it!
context: We don't.\But I want to go that far.\If you can't do that much, you can't draw a series while going to high school.\It's unfortunate, but I think you two are different from Niizuma-kun.\And the way detective stories are made is completely different from how battle stories are made.\But even if what you write doesn't get serialized, your efforts definitely haven't been in vain.\Thank you very much.\We'll do it! response:	I'm sure we can!
context: But I want to go that far.\If you can't do that much, you can't draw a series while going to high school.\It's unfortunate, but I think you two are different from Niizuma-kun.\And the way detective stories are made is completely different from how battle stories are made.\But even if what you write doesn't get serialized, your efforts definitely haven't been in vain.\Thank you very much.\We'll do it!\I'm sure we can! response:	And then we'll definitely grab serialization!
context: If you can't do that much, you can't draw a series while going to high school.\It's unfortunate, but I think you two are different from Niizuma-kun.\And the way detective stories are made is completely different from how battle stories are made.\But even if what you write doesn't get serialized, your efforts definitely haven't been in vain.\Thank you very much.\We'll do it!\I'm sure we can!\And then we'll definitely grab serialization! response:	I lost in the rankings for NEXT!, but there's no way I'll lose this time, Ashirogi Muto!
context: It's unfortunate, but I think you two are different from Niizuma-kun.\And the way detective stories are made is completely different from how battle stories are made.\But even if what you write doesn't get serialized, your efforts definitely haven't been in vain.\Thank you very much.\We'll do it!\I'm sure we can!\And then we'll definitely grab serialization!\I lost in the rankings for NEXT!, but there's no way I'll lose this time, Ashirogi Muto! response:	The curry's finished!
context: And the way detective stories are made is completely different from how battle stories are made.\But even if what you write doesn't get serialized, your efforts definitely haven't been in vain.\Thank you very much.\We'll do it!\I'm sure we can!\And then we'll definitely grab serialization!\I lost in the rankings for NEXT!, but there's no way I'll lose this time, Ashirogi Muto!\The curry's finished! response:	Oh, thank you.
context: But even if what you write doesn't get serialized, your efforts definitely haven't been in vain.\Thank you very much.\We'll do it!\I'm sure we can!\And then we'll definitely grab serialization!\I lost in the rankings for NEXT!, but there's no way I'll lose this time, Ashirogi Muto!\The curry's finished!\Oh, thank you. response:	It's making me hungry.
context: Thank you very much.\We'll do it!\I'm sure we can!\And then we'll definitely grab serialization!\I lost in the rankings for NEXT!, but there's no way I'll lose this time, Ashirogi Muto!\The curry's finished!\Oh, thank you.\It's making me hungry. response:	Thanks for the meal!
context: We'll do it!\I'm sure we can!\And then we'll definitely grab serialization!\I lost in the rankings for NEXT!, but there's no way I'll lose this time, Ashirogi Muto!\The curry's finished!\Oh, thank you.\It's making me hungry.\Thanks for the meal! response:	Eh? It's cold!
context: I'm sure we can!\And then we'll definitely grab serialization!\I lost in the rankings for NEXT!, but there's no way I'll lose this time, Ashirogi Muto!\The curry's finished!\Oh, thank you.\It's making me hungry.\Thanks for the meal!\Eh? It's cold! response:	It's hiya-atsu curry!
context: And then we'll definitely grab serialization!\I lost in the rankings for NEXT!, but there's no way I'll lose this time, Ashirogi Muto!\The curry's finished!\Oh, thank you.\It's making me hungry.\Thanks for the meal!\Eh? It's cold!\It's hiya-atsu curry! response:	TL note:Hiya-atsu (cold-hot) is a cooking style with cold ingredients in a hot broth.
context: I lost in the rankings for NEXT!, but there's no way I'll lose this time, Ashirogi Muto!\The curry's finished!\Oh, thank you.\It's making me hungry.\Thanks for the meal!\Eh? It's cold!\It's hiya-atsu curry!\TL note:Hiya-atsu (cold-hot) is a cooking style with cold ingredients in a hot broth. response:	It's just regular cold curry, isn't it?
context: The curry's finished!\Oh, thank you.\It's making me hungry.\Thanks for the meal!\Eh? It's cold!\It's hiya-atsu curry!\TL note:Hiya-atsu (cold-hot) is a cooking style with cold ingredients in a hot broth.\It's just regular cold curry, isn't it? response:	But I put in all the soup stock and the curry powder.
context: Oh, thank you.\It's making me hungry.\Thanks for the meal!\Eh? It's cold!\It's hiya-atsu curry!\TL note:Hiya-atsu (cold-hot) is a cooking style with cold ingredients in a hot broth.\It's just regular cold curry, isn't it?\But I put in all the soup stock and the curry powder. response:	Then added plenty of meat and onions.
context: It's making me hungry.\Thanks for the meal!\Eh? It's cold!\It's hiya-atsu curry!\TL note:Hiya-atsu (cold-hot) is a cooking style with cold ingredients in a hot broth.\It's just regular cold curry, isn't it?\But I put in all the soup stock and the curry powder.\Then added plenty of meat and onions. response:	It was a lot of work.
context: Thanks for the meal!\Eh? It's cold!\It's hiya-atsu curry!\TL note:Hiya-atsu (cold-hot) is a cooking style with cold ingredients in a hot broth.\It's just regular cold curry, isn't it?\But I put in all the soup stock and the curry powder.\Then added plenty of meat and onions.\It was a lot of work. response:	You want some curry, Mashiro?
context: Eh? It's cold!\It's hiya-atsu curry!\TL note:Hiya-atsu (cold-hot) is a cooking style with cold ingredients in a hot broth.\It's just regular cold curry, isn't it?\But I put in all the soup stock and the curry powder.\Then added plenty of meat and onions.\It was a lot of work.\You want some curry, Mashiro? response:	Are you not eating?
context: It's hiya-atsu curry!\TL note:Hiya-atsu (cold-hot) is a cooking style with cold ingredients in a hot broth.\It's just regular cold curry, isn't it?\But I put in all the soup stock and the curry powder.\Then added plenty of meat and onions.\It was a lot of work.\You want some curry, Mashiro?\Are you not eating? response:	Ah, I'll have some.
context: TL note:Hiya-atsu (cold-hot) is a cooking style with cold ingredients in a hot broth.\It's just regular cold curry, isn't it?\But I put in all the soup stock and the curry powder.\Then added plenty of meat and onions.\It was a lot of work.\You want some curry, Mashiro?\Are you not eating?\Ah, I'll have some. response:	Miho told me she landed another role.
context: It's just regular cold curry, isn't it?\But I put in all the soup stock and the curry powder.\Then added plenty of meat and onions.\It was a lot of work.\You want some curry, Mashiro?\Are you not eating?\Ah, I'll have some.\Miho told me she landed another role. response:	Oh, glad to hear it. She's doing pretty well.
context: But I put in all the soup stock and the curry powder.\Then added plenty of meat and onions.\It was a lot of work.\You want some curry, Mashiro?\Are you not eating?\Ah, I'll have some.\Miho told me she landed another role.\Oh, glad to hear it. She's doing pretty well. response:	I got a message about it too.
context: Then added plenty of meat and onions.\It was a lot of work.\You want some curry, Mashiro?\Are you not eating?\Ah, I'll have some.\Miho told me she landed another role.\Oh, glad to hear it. She's doing pretty well.\I got a message about it too. response:	Mashiro, at least during meals, could you...
context: It was a lot of work.\You want some curry, Mashiro?\Are you not eating?\Ah, I'll have some.\Miho told me she landed another role.\Oh, glad to hear it. She's doing pretty well.\I got a message about it too.\Mashiro, at least during meals, could you... response:	The deadline's tomorrow.
context: You want some curry, Mashiro?\Are you not eating?\Ah, I'll have some.\Miho told me she landed another role.\Oh, glad to hear it. She's doing pretty well.\I got a message about it too.\Mashiro, at least during meals, could you...\The deadline's tomorrow. response:	We have to finish today.
context: Are you not eating?\Ah, I'll have some.\Miho told me she landed another role.\Oh, glad to hear it. She's doing pretty well.\I got a message about it too.\Mashiro, at least during meals, could you...\The deadline's tomorrow.\We have to finish today. response:	But we have midterms too, and there haven't been any holidays either.
context: Ah, I'll have some.\Miho told me she landed another role.\Oh, glad to hear it. She's doing pretty well.\I got a message about it too.\Mashiro, at least during meals, could you...\The deadline's tomorrow.\We have to finish today.\But we have midterms too, and there haven't been any holidays either. response:	Can't you at least get a one-day extension?
context: Miho told me she landed another role.\Oh, glad to hear it. She's doing pretty well.\I got a message about it too.\Mashiro, at least during meals, could you...\The deadline's tomorrow.\We have to finish today.\But we have midterms too, and there haven't been any holidays either.\Can't you at least get a one-day extension? response:	Deadlines are absolute.
context: Oh, glad to hear it. She's doing pretty well.\I got a message about it too.\Mashiro, at least during meals, could you...\The deadline's tomorrow.\We have to finish today.\But we have midterms too, and there haven't been any holidays either.\Can't you at least get a one-day extension?\Deadlines are absolute. response:	I guess you can't be carefree even after you've been decided as an entrant.
context: I got a message about it too.\Mashiro, at least during meals, could you...\The deadline's tomorrow.\We have to finish today.\But we have midterms too, and there haven't been any holidays either.\Can't you at least get a one-day extension?\Deadlines are absolute.\I guess you can't be carefree even after you've been decided as an entrant. response:	Are you choking?!
context: Mashiro, at least during meals, could you...\The deadline's tomorrow.\We have to finish today.\But we have midterms too, and there haven't been any holidays either.\Can't you at least get a one-day extension?\Deadlines are absolute.\I guess you can't be carefree even after you've been decided as an entrant.\Are you choking?! response:	No, it's just that when I think of running in Jack,
context: The deadline's tomorrow.\We have to finish today.\But we have midterms too, and there haven't been any holidays either.\Can't you at least get a one-day extension?\Deadlines are absolute.\I guess you can't be carefree even after you've been decided as an entrant.\Are you choking?!\No, it's just that when I think of running in Jack, response:	it makes me feel pressured, like we need to be popular and get the top spot in the Golden Future Cup.
context: We have to finish today.\But we have midterms too, and there haven't been any holidays either.\Can't you at least get a one-day extension?\Deadlines are absolute.\I guess you can't be carefree even after you've been decided as an entrant.\Are you choking?!\No, it's just that when I think of running in Jack,\it makes me feel pressured, like we need to be popular and get the top spot in the Golden Future Cup. response:	Manga really is a competition to be the most popular, isn't it?
context: But we have midterms too, and there haven't been any holidays either.\Can't you at least get a one-day extension?\Deadlines are absolute.\I guess you can't be carefree even after you've been decided as an entrant.\Are you choking?!\No, it's just that when I think of running in Jack,\it makes me feel pressured, like we need to be popular and get the top spot in the Golden Future Cup.\Manga really is a competition to be the most popular, isn't it? response:	How many are there besides you?
context: Can't you at least get a one-day extension?\Deadlines are absolute.\I guess you can't be carefree even after you've been decided as an entrant.\Are you choking?!\No, it's just that when I think of running in Jack,\it makes me feel pressured, like we need to be popular and get the top spot in the Golden Future Cup.\Manga really is a competition to be the most popular, isn't it?\How many are there besides you? response:	I forgot to ask.
context: Deadlines are absolute.\I guess you can't be carefree even after you've been decided as an entrant.\Are you choking?!\No, it's just that when I think of running in Jack,\it makes me feel pressured, like we need to be popular and get the top spot in the Golden Future Cup.\Manga really is a competition to be the most popular, isn't it?\How many are there besides you?\I forgot to ask. response:	Maybe I'll call Hattori-san now and ask.
context: I guess you can't be carefree even after you've been decided as an entrant.\Are you choking?!\No, it's just that when I think of running in Jack,\it makes me feel pressured, like we need to be popular and get the top spot in the Golden Future Cup.\Manga really is a competition to be the most popular, isn't it?\How many are there besides you?\I forgot to ask.\Maybe I'll call Hattori-san now and ask. response:	It's fine, we'll just ask him tomorrow in person.
context: Are you choking?!\No, it's just that when I think of running in Jack,\it makes me feel pressured, like we need to be popular and get the top spot in the Golden Future Cup.\Manga really is a competition to be the most popular, isn't it?\How many are there besides you?\I forgot to ask.\Maybe I'll call Hattori-san now and ask.\It's fine, we'll just ask him tomorrow in person. response:	Do you think you'll get the manuscript done in time?
context: No, it's just that when I think of running in Jack,\it makes me feel pressured, like we need to be popular and get the top spot in the Golden Future Cup.\Manga really is a competition to be the most popular, isn't it?\How many are there besides you?\I forgot to ask.\Maybe I'll call Hattori-san now and ask.\It's fine, we'll just ask him tomorrow in person.\Do you think you'll get the manuscript done in time? response:	If I don't sleep.
context: it makes me feel pressured, like we need to be popular and get the top spot in the Golden Future Cup.\Manga really is a competition to be the most popular, isn't it?\How many are there besides you?\I forgot to ask.\Maybe I'll call Hattori-san now and ask.\It's fine, we'll just ask him tomorrow in person.\Do you think you'll get the manuscript done in time?\If I don't sleep. response:	If you don't sleep?!
context: Manga really is a competition to be the most popular, isn't it?\How many are there besides you?\I forgot to ask.\Maybe I'll call Hattori-san now and ask.\It's fine, we'll just ask him tomorrow in person.\Do you think you'll get the manuscript done in time?\If I don't sleep.\If you don't sleep?! response:	But didn't you go without sleep yesterday too?!
context: How many are there besides you?\I forgot to ask.\Maybe I'll call Hattori-san now and ask.\It's fine, we'll just ask him tomorrow in person.\Do you think you'll get the manuscript done in time?\If I don't sleep.\If you don't sleep?!\But didn't you go without sleep yesterday too?! response:	You too, Takagi.
context: I forgot to ask.\Maybe I'll call Hattori-san now and ask.\It's fine, we'll just ask him tomorrow in person.\Do you think you'll get the manuscript done in time?\If I don't sleep.\If you don't sleep?!\But didn't you go without sleep yesterday too?!\You too, Takagi. response:	Being a mangaka means drawing works that cut down on your lifespan.
context: Maybe I'll call Hattori-san now and ask.\It's fine, we'll just ask him tomorrow in person.\Do you think you'll get the manuscript done in time?\If I don't sleep.\If you don't sleep?!\But didn't you go without sleep yesterday too?!\You too, Takagi.\Being a mangaka means drawing works that cut down on your lifespan. response:	I thought we might not make it.
context: It's fine, we'll just ask him tomorrow in person.\Do you think you'll get the manuscript done in time?\If I don't sleep.\If you don't sleep?!\But didn't you go without sleep yesterday too?!\You too, Takagi.\Being a mangaka means drawing works that cut down on your lifespan.\I thought we might not make it. response:	Good job.
context: Do you think you'll get the manuscript done in time?\If I don't sleep.\If you don't sleep?!\But didn't you go without sleep yesterday too?!\You too, Takagi.\Being a mangaka means drawing works that cut down on your lifespan.\I thought we might not make it.\Good job. response:	Ah, oh man!
context: If I don't sleep.\If you don't sleep?!\But didn't you go without sleep yesterday too?!\You too, Takagi.\Being a mangaka means drawing works that cut down on your lifespan.\I thought we might not make it.\Good job.\Ah, oh man! response:	Huh? Just this afternoon you said you hadn't even heard of KOOGY.
context: If you don't sleep?!\But didn't you go without sleep yesterday too?!\You too, Takagi.\Being a mangaka means drawing works that cut down on your lifespan.\I thought we might not make it.\Good job.\Ah, oh man!\Huh? Just this afternoon you said you hadn't even heard of KOOGY. response:	Ah, well, I think he's kind of cool after all.
context: But didn't you go without sleep yesterday too?!\You too, Takagi.\Being a mangaka means drawing works that cut down on your lifespan.\I thought we might not make it.\Good job.\Ah, oh man!\Huh? Just this afternoon you said you hadn't even heard of KOOGY.\Ah, well, I think he's kind of cool after all. response:	I'm going to see him live today.
context: You too, Takagi.\Being a mangaka means drawing works that cut down on your lifespan.\I thought we might not make it.\Good job.\Ah, oh man!\Huh? Just this afternoon you said you hadn't even heard of KOOGY.\Ah, well, I think he's kind of cool after all.\I'm going to see him live today. response:	Seriously?!
context: Being a mangaka means drawing works that cut down on your lifespan.\I thought we might not make it.\Good job.\Ah, oh man!\Huh? Just this afternoon you said you hadn't even heard of KOOGY.\Ah, well, I think he's kind of cool after all.\I'm going to see him live today.\Seriously?! response:	Have you thought up the next story?
context: I thought we might not make it.\Good job.\Ah, oh man!\Huh? Just this afternoon you said you hadn't even heard of KOOGY.\Ah, well, I think he's kind of cool after all.\I'm going to see him live today.\Seriously?!\Have you thought up the next story? response:	For the most part.
context: Good job.\Ah, oh man!\Huh? Just this afternoon you said you hadn't even heard of KOOGY.\Ah, well, I think he's kind of cool after all.\I'm going to see him live today.\Seriously?!\Have you thought up the next story?\For the most part. response:	I'll finish it by the end of the school day.
context: Ah, oh man!\Huh? Just this afternoon you said you hadn't even heard of KOOGY.\Ah, well, I think he's kind of cool after all.\I'm going to see him live today.\Seriously?!\Have you thought up the next story?\For the most part.\I'll finish it by the end of the school day. response:	Hey, are you all right?
context: Huh? Just this afternoon you said you hadn't even heard of KOOGY.\Ah, well, I think he's kind of cool after all.\I'm going to see him live today.\Seriously?!\Have you thought up the next story?\For the most part.\I'll finish it by the end of the school day.\Hey, are you all right? response:	Somehow...
context: Ah, well, I think he's kind of cool after all.\I'm going to see him live today.\Seriously?!\Have you thought up the next story?\For the most part.\I'll finish it by the end of the school day.\Hey, are you all right?\Somehow... response:	We've got three months until the results for the Golden Future Cup come out.
context: I'm going to see him live today.\Seriously?!\Have you thought up the next story?\For the most part.\I'll finish it by the end of the school day.\Hey, are you all right?\Somehow...\We've got three months until the results for the Golden Future Cup come out. response:	Until then, we have to do one work consisting of 19 pages every two weeks.
context: Seriously?!\Have you thought up the next story?\For the most part.\I'll finish it by the end of the school day.\Hey, are you all right?\Somehow...\We've got three months until the results for the Golden Future Cup come out.\Until then, we have to do one work consisting of 19 pages every two weeks. response:	So we've got six in total left to do...
context: Have you thought up the next story?\For the most part.\I'll finish it by the end of the school day.\Hey, are you all right?\Somehow...\We've got three months until the results for the Golden Future Cup come out.\Until then, we have to do one work consisting of 19 pages every two weeks.\So we've got six in total left to do... response:	We have to do at least this much,
context: For the most part.\I'll finish it by the end of the school day.\Hey, are you all right?\Somehow...\We've got three months until the results for the Golden Future Cup come out.\Until then, we have to do one work consisting of 19 pages every two weeks.\So we've got six in total left to do...\We have to do at least this much, response:	otherwise we won't be able to be serialized while going to high school.
context: I'll finish it by the end of the school day.\Hey, are you all right?\Somehow...\We've got three months until the results for the Golden Future Cup come out.\Until then, we have to do one work consisting of 19 pages every two weeks.\So we've got six in total left to do...\We have to do at least this much,\otherwise we won't be able to be serialized while going to high school. response:	I know.
context: Hey, are you all right?\Somehow...\We've got three months until the results for the Golden Future Cup come out.\Until then, we have to do one work consisting of 19 pages every two weeks.\So we've got six in total left to do...\We have to do at least this much,\otherwise we won't be able to be serialized while going to high school.\I know. response:	We've finally made it this far.
context: Somehow...\We've got three months until the results for the Golden Future Cup come out.\Until then, we have to do one work consisting of 19 pages every two weeks.\So we've got six in total left to do...\We have to do at least this much,\otherwise we won't be able to be serialized while going to high school.\I know.\We've finally made it this far. response:	We have to...
context: We've got three months until the results for the Golden Future Cup come out.\Until then, we have to do one work consisting of 19 pages every two weeks.\So we've got six in total left to do...\We have to do at least this much,\otherwise we won't be able to be serialized while going to high school.\I know.\We've finally made it this far.\We have to... response:	Huh?
context: Until then, we have to do one work consisting of 19 pages every two weeks.\So we've got six in total left to do...\We have to do at least this much,\otherwise we won't be able to be serialized while going to high school.\I know.\We've finally made it this far.\We have to...\Huh? response:	Nakai-san?
context: So we've got six in total left to do...\We have to do at least this much,\otherwise we won't be able to be serialized while going to high school.\I know.\We've finally made it this far.\We have to...\Huh?\Nakai-san? response:	That really good assistant you were talking about?
context: We have to do at least this much,\otherwise we won't be able to be serialized while going to high school.\I know.\We've finally made it this far.\We have to...\Huh?\Nakai-san?\That really good assistant you were talking about? response:	Yeah.
context: otherwise we won't be able to be serialized while going to high school.\I know.\We've finally made it this far.\We have to...\Huh?\Nakai-san?\That really good assistant you were talking about?\Yeah. response:	The one who was crying about how he wanted to get serialized?
context: I know.\We've finally made it this far.\We have to...\Huh?\Nakai-san?\That really good assistant you were talking about?\Yeah.\The one who was crying about how he wanted to get serialized? response:	Looks like spring has sprung for him.
context: We've finally made it this far.\We have to...\Huh?\Nakai-san?\That really good assistant you were talking about?\Yeah.\The one who was crying about how he wanted to get serialized?\Looks like spring has sprung for him. response:	No, it's probably a meeting or something.
context: We have to...\Huh?\Nakai-san?\That really good assistant you were talking about?\Yeah.\The one who was crying about how he wanted to get serialized?\Looks like spring has sprung for him.\No, it's probably a meeting or something. response:	There's no way there's an editor that young and cute.
context: Huh?\Nakai-san?\That really good assistant you were talking about?\Yeah.\The one who was crying about how he wanted to get serialized?\Looks like spring has sprung for him.\No, it's probably a meeting or something.\There's no way there's an editor that young and cute. response:	Yeah. Now that you mention it, she kinda looks like Iwase.
context: Nakai-san?\That really good assistant you were talking about?\Yeah.\The one who was crying about how he wanted to get serialized?\Looks like spring has sprung for him.\No, it's probably a meeting or something.\There's no way there's an editor that young and cute.\Yeah. Now that you mention it, she kinda looks like Iwase. response:	No, I didn't mean it like that.
context: That really good assistant you were talking about?\Yeah.\The one who was crying about how he wanted to get serialized?\Looks like spring has sprung for him.\No, it's probably a meeting or something.\There's no way there's an editor that young and cute.\Yeah. Now that you mention it, she kinda looks like Iwase.\No, I didn't mean it like that. response:	Oh, if it isn't Mashiro-kun!
context: Yeah.\The one who was crying about how he wanted to get serialized?\Looks like spring has sprung for him.\No, it's probably a meeting or something.\There's no way there's an editor that young and cute.\Yeah. Now that you mention it, she kinda looks like Iwase.\No, I didn't mean it like that.\Oh, if it isn't Mashiro-kun! response:	It's been a while.
context: The one who was crying about how he wanted to get serialized?\Looks like spring has sprung for him.\No, it's probably a meeting or something.\There's no way there's an editor that young and cute.\Yeah. Now that you mention it, she kinda looks like Iwase.\No, I didn't mean it like that.\Oh, if it isn't Mashiro-kun!\It's been a while. response:	Are you having a meeting for the Golden Future Cup?
context: Looks like spring has sprung for him.\No, it's probably a meeting or something.\There's no way there's an editor that young and cute.\Yeah. Now that you mention it, she kinda looks like Iwase.\No, I didn't mean it like that.\Oh, if it isn't Mashiro-kun!\It's been a while.\Are you having a meeting for the Golden Future Cup? response:	This is bad, we've been spotted.
context: No, it's probably a meeting or something.\There's no way there's an editor that young and cute.\Yeah. Now that you mention it, she kinda looks like Iwase.\No, I didn't mean it like that.\Oh, if it isn't Mashiro-kun!\It's been a while.\Are you having a meeting for the Golden Future Cup?\This is bad, we've been spotted. response:	Why is it bad?
context: There's no way there's an editor that young and cute.\Yeah. Now that you mention it, she kinda looks like Iwase.\No, I didn't mean it like that.\Oh, if it isn't Mashiro-kun!\It's been a while.\Are you having a meeting for the Golden Future Cup?\This is bad, we've been spotted.\Why is it bad? response:	It just is.
context: Yeah. Now that you mention it, she kinda looks like Iwase.\No, I didn't mean it like that.\Oh, if it isn't Mashiro-kun!\It's been a while.\Are you having a meeting for the Golden Future Cup?\This is bad, we've been spotted.\Why is it bad?\It just is. response:	Yeah, we've got one at Yuueisha at 6.
context: No, I didn't mean it like that.\Oh, if it isn't Mashiro-kun!\It's been a while.\Are you having a meeting for the Golden Future Cup?\This is bad, we've been spotted.\Why is it bad?\It just is.\Yeah, we've got one at Yuueisha at 6. response:	Wanna have a little chat together?
context: Oh, if it isn't Mashiro-kun!\It's been a while.\Are you having a meeting for the Golden Future Cup?\This is bad, we've been spotted.\Why is it bad?\It just is.\Yeah, we've got one at Yuueisha at 6.\Wanna have a little chat together? response:	Or because we're rivals in the Golden Future Cup, do you not want to?
context: It's been a while.\Are you having a meeting for the Golden Future Cup?\This is bad, we've been spotted.\Why is it bad?\It just is.\Yeah, we've got one at Yuueisha at 6.\Wanna have a little chat together?\Or because we're rivals in the Golden Future Cup, do you not want to? response:	Eh? You're in it too?
context: Are you having a meeting for the Golden Future Cup?\This is bad, we've been spotted.\Why is it bad?\It just is.\Yeah, we've got one at Yuueisha at 6.\Wanna have a little chat together?\Or because we're rivals in the Golden Future Cup, do you not want to?\Eh? You're in it too? response:	Let me introduce you.
context: This is bad, we've been spotted.\Why is it bad?\It just is.\Yeah, we've got one at Yuueisha at 6.\Wanna have a little chat together?\Or because we're rivals in the Golden Future Cup, do you not want to?\Eh? You're in it too?\Let me introduce you. response:	This is the person who took the runner-up spot for last year's Story King, Aoki Kou-san.
context: Why is it bad?\It just is.\Yeah, we've got one at Yuueisha at 6.\Wanna have a little chat together?\Or because we're rivals in the Golden Future Cup, do you not want to?\Eh? You're in it too?\Let me introduce you.\This is the person who took the runner-up spot for last year's Story King, Aoki Kou-san. response:	For the longest time she didn't have an artist to draw her story, but I've since stepped up.
