context: 'Transformed At Last!! Son Goku, the Legendary Super Saiyan' response:	It's all completely changed.
context: They couldn't have been!\I don't feel their Ki...\That's just because we've lost our powers of concentration.\Piccolo was there with him! They're not about to die!\Kuririn-san, over there...\P- Piccolo-san!\-It's Goku! -Father! He's alive!\-We did it, we did it! -Just like I told you, right!? response:	Damn! With barely any Ki left, we can't fly very fast!
context: I don't feel their Ki...\That's just because we've lost our powers of concentration.\Piccolo was there with him! They're not about to die!\Kuririn-san, over there...\P- Piccolo-san!\-It's Goku! -Father! He's alive!\-We did it, we did it! -Just like I told you, right!?\Damn! With barely any Ki left, we can't fly very fast! response:	-Father! -Piccolo-san!
context: That's just because we've lost our powers of concentration.\Piccolo was there with him! They're not about to die!\Kuririn-san, over there...\P- Piccolo-san!\-It's Goku! -Father! He's alive!\-We did it, we did it! -Just like I told you, right!?\Damn! With barely any Ki left, we can't fly very fast!\-Father! -Piccolo-san! response:	-Piccolo! -Father!
context: Piccolo was there with him! They're not about to die!\Kuririn-san, over there...\P- Piccolo-san!\-It's Goku! -Father! He's alive!\-We did it, we did it! -Just like I told you, right!?\Damn! With barely any Ki left, we can't fly very fast!\-Father! -Piccolo-san!\-Piccolo! -Father! response:	-Father! -G- Gohan...
context: Kuririn-san, over there...\P- Piccolo-san!\-It's Goku! -Father! He's alive!\-We did it, we did it! -Just like I told you, right!?\Damn! With barely any Ki left, we can't fly very fast!\-Father! -Piccolo-san!\-Piccolo! -Father!\-Father! -G- Gohan... response:	Hey, Goku, are you okay?
context: P- Piccolo-san!\-It's Goku! -Father! He's alive!\-We did it, we did it! -Just like I told you, right!?\Damn! With barely any Ki left, we can't fly very fast!\-Father! -Piccolo-san!\-Piccolo! -Father!\-Father! -G- Gohan...\Hey, Goku, are you okay? response:	Piccolo-san!
context: -It's Goku! -Father! He's alive!\-We did it, we did it! -Just like I told you, right!?\Damn! With barely any Ki left, we can't fly very fast!\-Father! -Piccolo-san!\-Piccolo! -Father!\-Father! -G- Gohan...\Hey, Goku, are you okay?\Piccolo-san! response:	Gohan, you must have been worried.
context: -We did it, we did it! -Just like I told you, right!?\Damn! With barely any Ki left, we can't fly very fast!\-Father! -Piccolo-san!\-Piccolo! -Father!\-Father! -G- Gohan...\Hey, Goku, are you okay?\Piccolo-san!\Gohan, you must have been worried. response:	It was incredible! That Genki Dama! Wasn't it huge!?
context: Damn! With barely any Ki left, we can't fly very fast!\-Father! -Piccolo-san!\-Piccolo! -Father!\-Father! -G- Gohan...\Hey, Goku, are you okay?\Piccolo-san!\Gohan, you must have been worried.\It was incredible! That Genki Dama! Wasn't it huge!? response:	That it was. It had the hopes of everyone in the universe packed inside it, after all.
context: -Father! -Piccolo-san!\-Piccolo! -Father!\-Father! -G- Gohan...\Hey, Goku, are you okay?\Piccolo-san!\Gohan, you must have been worried.\It was incredible! That Genki Dama! Wasn't it huge!?\That it was. It had the hopes of everyone in the universe packed inside it, after all. response:	I was afraid the two of you had died...
context: -Piccolo! -Father!\-Father! -G- Gohan...\Hey, Goku, are you okay?\Piccolo-san!\Gohan, you must have been worried.\It was incredible! That Genki Dama! Wasn't it huge!?\That it was. It had the hopes of everyone in the universe packed inside it, after all.\I was afraid the two of you had died... response:	You expect us to bite the dust so easily?
context: -Father! -G- Gohan...\Hey, Goku, are you okay?\Piccolo-san!\Gohan, you must have been worried.\It was incredible! That Genki Dama! Wasn't it huge!?\That it was. It had the hopes of everyone in the universe packed inside it, after all.\I was afraid the two of you had died...\You expect us to bite the dust so easily? response:	Now we can head back to Earth with our heads held high.
context: Hey, Goku, are you okay?\Piccolo-san!\Gohan, you must have been worried.\It was incredible! That Genki Dama! Wasn't it huge!?\That it was. It had the hopes of everyone in the universe packed inside it, after all.\I was afraid the two of you had died...\You expect us to bite the dust so easily?\Now we can head back to Earth with our heads held high. response:	I didn't think I was ever going to be able to...
context: Piccolo-san!\Gohan, you must have been worried.\It was incredible! That Genki Dama! Wasn't it huge!?\That it was. It had the hopes of everyone in the universe packed inside it, after all.\I was afraid the two of you had died...\You expect us to bite the dust so easily?\Now we can head back to Earth with our heads held high.\I didn't think I was ever going to be able to... response:	What's that?
context: Gohan, you must have been worried.\It was incredible! That Genki Dama! Wasn't it huge!?\That it was. It had the hopes of everyone in the universe packed inside it, after all.\I was afraid the two of you had died...\You expect us to bite the dust so easily?\Now we can head back to Earth with our heads held high.\I didn't think I was ever going to be able to...\What's that? response:	I- I just wanted to give it a shot once, y'know!
context: It was incredible! That Genki Dama! Wasn't it huge!?\That it was. It had the hopes of everyone in the universe packed inside it, after all.\I was afraid the two of you had died...\You expect us to bite the dust so easily?\Now we can head back to Earth with our heads held high.\I didn't think I was ever going to be able to...\What's that?\I- I just wanted to give it a shot once, y'know! response:	Marriage.
context: That it was. It had the hopes of everyone in the universe packed inside it, after all.\I was afraid the two of you had died...\You expect us to bite the dust so easily?\Now we can head back to Earth with our heads held high.\I didn't think I was ever going to be able to...\What's that?\I- I just wanted to give it a shot once, y'know!\Marriage. response:	Goku did it!
context: I was afraid the two of you had died...\You expect us to bite the dust so easily?\Now we can head back to Earth with our heads held high.\I didn't think I was ever going to be able to...\What's that?\I- I just wanted to give it a shot once, y'know!\Marriage.\Goku did it! response:	With the Genki Dama I taught him!
context: You expect us to bite the dust so easily?\Now we can head back to Earth with our heads held high.\I didn't think I was ever going to be able to...\What's that?\I- I just wanted to give it a shot once, y'know!\Marriage.\Goku did it!\With the Genki Dama I taught him! response:	He really did it to that Freeza with a super-giant Genki Dama!
context: Now we can head back to Earth with our heads held high.\I didn't think I was ever going to be able to...\What's that?\I- I just wanted to give it a shot once, y'know!\Marriage.\Goku did it!\With the Genki Dama I taught him!\He really did it to that Freeza with a super-giant Genki Dama! response:	Freeza-sama beaten by that monkey scum!?
context: I didn't think I was ever going to be able to...\What's that?\I- I just wanted to give it a shot once, y'know!\Marriage.\Goku did it!\With the Genki Dama I taught him!\He really did it to that Freeza with a super-giant Genki Dama!\Freeza-sama beaten by that monkey scum!? response:	T- that can't be!
context: What's that?\I- I just wanted to give it a shot once, y'know!\Marriage.\Goku did it!\With the Genki Dama I taught him!\He really did it to that Freeza with a super-giant Genki Dama!\Freeza-sama beaten by that monkey scum!?\T- that can't be! response:	-Never! -I don't believe it!
context: I- I just wanted to give it a shot once, y'know!\Marriage.\Goku did it!\With the Genki Dama I taught him!\He really did it to that Freeza with a super-giant Genki Dama!\Freeza-sama beaten by that monkey scum!?\T- that can't be!\-Never! -I don't believe it! response:	Goku won!
context: Marriage.\Goku did it!\With the Genki Dama I taught him!\He really did it to that Freeza with a super-giant Genki Dama!\Freeza-sama beaten by that monkey scum!?\T- that can't be!\-Never! -I don't believe it!\Goku won! response:	And we're going to stick it out too!
context: Goku did it!\With the Genki Dama I taught him!\He really did it to that Freeza with a super-giant Genki Dama!\Freeza-sama beaten by that monkey scum!?\T- that can't be!\-Never! -I don't believe it!\Goku won!\And we're going to stick it out too! response:	With Piccolo-san still alive, we can all go back to Earth.
context: With the Genki Dama I taught him!\He really did it to that Freeza with a super-giant Genki Dama!\Freeza-sama beaten by that monkey scum!?\T- that can't be!\-Never! -I don't believe it!\Goku won!\And we're going to stick it out too!\With Piccolo-san still alive, we can all go back to Earth. response:	All right! Let's go!
context: He really did it to that Freeza with a super-giant Genki Dama!\Freeza-sama beaten by that monkey scum!?\T- that can't be!\-Never! -I don't believe it!\Goku won!\And we're going to stick it out too!\With Piccolo-san still alive, we can all go back to Earth.\All right! Let's go! response:	Charge!
context: Freeza-sama beaten by that monkey scum!?\T- that can't be!\-Never! -I don't believe it!\Goku won!\And we're going to stick it out too!\With Piccolo-san still alive, we can all go back to Earth.\All right! Let's go!\Charge! response:	Purple Comet-
context: T- that can't be!\-Never! -I don't believe it!\Goku won!\And we're going to stick it out too!\With Piccolo-san still alive, we can all go back to Earth.\All right! Let's go!\Charge!\Purple Comet- response:	-Zed Crush!
context: -Never! -I don't believe it!\Goku won!\And we're going to stick it out too!\With Piccolo-san still alive, we can all go back to Earth.\All right! Let's go!\Charge!\Purple Comet-\-Zed Crush! response:	W- what was that oni?
context: Goku won!\And we're going to stick it out too!\With Piccolo-san still alive, we can all go back to Earth.\All right! Let's go!\Charge!\Purple Comet-\-Zed Crush!\W- what was that oni? response:	Order up!
context: And we're going to stick it out too!\With Piccolo-san still alive, we can all go back to Earth.\All right! Let's go!\Charge!\Purple Comet-\-Zed Crush!\W- what was that oni?\Order up! response:	Oh? We have so many guests today oni!
context: With Piccolo-san still alive, we can all go back to Earth.\All right! Let's go!\Charge!\Purple Comet-\-Zed Crush!\W- what was that oni?\Order up!\Oh? We have so many guests today oni! response:	Jheese! Butta! ReaCoom!
context: All right! Let's go!\Charge!\Purple Comet-\-Zed Crush!\W- what was that oni?\Order up!\Oh? We have so many guests today oni!\Jheese! Butta! ReaCoom! response:	Yeah, we won, we won! We beat the Ginyu Special Corps!
context: Charge!\Purple Comet-\-Zed Crush!\W- what was that oni?\Order up!\Oh? We have so many guests today oni!\Jheese! Butta! ReaCoom!\Yeah, we won, we won! We beat the Ginyu Special Corps! response:	Dammit! We can't just leave it like this!
context: Purple Comet-\-Zed Crush!\W- what was that oni?\Order up!\Oh? We have so many guests today oni!\Jheese! Butta! ReaCoom!\Yeah, we won, we won! We beat the Ginyu Special Corps!\Dammit! We can't just leave it like this! response:	It's no use, oni! It's easy to drop down here into Hell, but crawling out is very difficult oni!
context: -Zed Crush!\W- what was that oni?\Order up!\Oh? We have so many guests today oni!\Jheese! Butta! ReaCoom!\Yeah, we won, we won! We beat the Ginyu Special Corps!\Dammit! We can't just leave it like this!\It's no use, oni! It's easy to drop down here into Hell, but crawling out is very difficult oni! response:	Nothing is impossible for ReaCoom-sama, of the Ginyu Special Corps!
context: W- what was that oni?\Order up!\Oh? We have so many guests today oni!\Jheese! Butta! ReaCoom!\Yeah, we won, we won! We beat the Ginyu Special Corps!\Dammit! We can't just leave it like this!\It's no use, oni! It's easy to drop down here into Hell, but crawling out is very difficult oni!\Nothing is impossible for ReaCoom-sama, of the Ginyu Special Corps! response:	ReaCoom Jump!
context: Order up!\Oh? We have so many guests today oni!\Jheese! Butta! ReaCoom!\Yeah, we won, we won! We beat the Ginyu Special Corps!\Dammit! We can't just leave it like this!\It's no use, oni! It's easy to drop down here into Hell, but crawling out is very difficult oni!\Nothing is impossible for ReaCoom-sama, of the Ginyu Special Corps!\ReaCoom Jump! response:	You fought well! You guys have improved more than I thought!
context: Oh? We have so many guests today oni!\Jheese! Butta! ReaCoom!\Yeah, we won, we won! We beat the Ginyu Special Corps!\Dammit! We can't just leave it like this!\It's no use, oni! It's easy to drop down here into Hell, but crawling out is very difficult oni!\Nothing is impossible for ReaCoom-sama, of the Ginyu Special Corps!\ReaCoom Jump!\You fought well! You guys have improved more than I thought! response:	To think that you could so easily kick around those training partners I took the trouble to call here...
context: Jheese! Butta! ReaCoom!\Yeah, we won, we won! We beat the Ginyu Special Corps!\Dammit! We can't just leave it like this!\It's no use, oni! It's easy to drop down here into Hell, but crawling out is very difficult oni!\Nothing is impossible for ReaCoom-sama, of the Ginyu Special Corps!\ReaCoom Jump!\You fought well! You guys have improved more than I thought!\To think that you could so easily kick around those training partners I took the trouble to call here... response:	Training partners?
context: Yeah, we won, we won! We beat the Ginyu Special Corps!\Dammit! We can't just leave it like this!\It's no use, oni! It's easy to drop down here into Hell, but crawling out is very difficult oni!\Nothing is impossible for ReaCoom-sama, of the Ginyu Special Corps!\ReaCoom Jump!\You fought well! You guys have improved more than I thought!\To think that you could so easily kick around those training partners I took the trouble to call here...\Training partners? response:	To tell the truth, in order to give you some training in actual battle,
context: Dammit! We can't just leave it like this!\It's no use, oni! It's easy to drop down here into Hell, but crawling out is very difficult oni!\Nothing is impossible for ReaCoom-sama, of the Ginyu Special Corps!\ReaCoom Jump!\You fought well! You guys have improved more than I thought!\To think that you could so easily kick around those training partners I took the trouble to call here...\Training partners?\To tell the truth, in order to give you some training in actual battle, response:	I made a request of Yama the Great to have the Ginyu Special Corps sent here.
context: It's no use, oni! It's easy to drop down here into Hell, but crawling out is very difficult oni!\Nothing is impossible for ReaCoom-sama, of the Ginyu Special Corps!\ReaCoom Jump!\You fought well! You guys have improved more than I thought!\To think that you could so easily kick around those training partners I took the trouble to call here...\Training partners?\To tell the truth, in order to give you some training in actual battle,\I made a request of Yama the Great to have the Ginyu Special Corps sent here. response:	Given their powers, it isn't likely they'll be able to climb out of Hell.
context: Nothing is impossible for ReaCoom-sama, of the Ginyu Special Corps!\ReaCoom Jump!\You fought well! You guys have improved more than I thought!\To think that you could so easily kick around those training partners I took the trouble to call here...\Training partners?\To tell the truth, in order to give you some training in actual battle,\I made a request of Yama the Great to have the Ginyu Special Corps sent here.\Given their powers, it isn't likely they'll be able to climb out of Hell. response:	Well done, well done!
context: ReaCoom Jump!\You fought well! You guys have improved more than I thought!\To think that you could so easily kick around those training partners I took the trouble to call here...\Training partners?\To tell the truth, in order to give you some training in actual battle,\I made a request of Yama the Great to have the Ginyu Special Corps sent here.\Given their powers, it isn't likely they'll be able to climb out of Hell.\Well done, well done! response:	Your training partners have parted and run away! Your training partners have parted!
context: You fought well! You guys have improved more than I thought!\To think that you could so easily kick around those training partners I took the trouble to call here...\Training partners?\To tell the truth, in order to give you some training in actual battle,\I made a request of Yama the Great to have the Ginyu Special Corps sent here.\Given their powers, it isn't likely they'll be able to climb out of Hell.\Well done, well done!\Your training partners have parted and run away! Your training partners have parted! response:	Good joke!
context: To think that you could so easily kick around those training partners I took the trouble to call here...\Training partners?\To tell the truth, in order to give you some training in actual battle,\I made a request of Yama the Great to have the Ginyu Special Corps sent here.\Given their powers, it isn't likely they'll be able to climb out of Hell.\Well done, well done!\Your training partners have parted and run away! Your training partners have parted!\Good joke! response:	Shall we go home? The spaceship I came in can get us back to Earth in five days.
context: Training partners?\To tell the truth, in order to give you some training in actual battle,\I made a request of Yama the Great to have the Ginyu Special Corps sent here.\Given their powers, it isn't likely they'll be able to climb out of Hell.\Well done, well done!\Your training partners have parted and run away! Your training partners have parted!\Good joke!\Shall we go home? The spaceship I came in can get us back to Earth in five days. response:	I'll see Mother!
context: To tell the truth, in order to give you some training in actual battle,\I made a request of Yama the Great to have the Ginyu Special Corps sent here.\Given their powers, it isn't likely they'll be able to climb out of Hell.\Well done, well done!\Your training partners have parted and run away! Your training partners have parted!\Good joke!\Shall we go home? The spaceship I came in can get us back to Earth in five days.\I'll see Mother! response:	We'll see everyone!
context: I made a request of Yama the Great to have the Ginyu Special Corps sent here.\Given their powers, it isn't likely they'll be able to climb out of Hell.\Well done, well done!\Your training partners have parted and run away! Your training partners have parted!\Good joke!\Shall we go home? The spaceship I came in can get us back to Earth in five days.\I'll see Mother!\We'll see everyone! response:	Ouchie...!
context: Given their powers, it isn't likely they'll be able to climb out of Hell.\Well done, well done!\Your training partners have parted and run away! Your training partners have parted!\Good joke!\Shall we go home? The spaceship I came in can get us back to Earth in five days.\I'll see Mother!\We'll see everyone!\Ouchie...! response:	I completely forgot! Bulma-san!
context: Well done, well done!\Your training partners have parted and run away! Your training partners have parted!\Good joke!\Shall we go home? The spaceship I came in can get us back to Earth in five days.\I'll see Mother!\We'll see everyone!\Ouchie...!\I completely forgot! Bulma-san! response:	Don't scare me like that! I thought that maybe Freeza had shown up again, you know!
context: Your training partners have parted and run away! Your training partners have parted!\Good joke!\Shall we go home? The spaceship I came in can get us back to Earth in five days.\I'll see Mother!\We'll see everyone!\Ouchie...!\I completely forgot! Bulma-san!\Don't scare me like that! I thought that maybe Freeza had shown up again, you know! response:	I- in some senses, Bulma-san is even scarier than Freeza!
context: Good joke!\Shall we go home? The spaceship I came in can get us back to Earth in five days.\I'll see Mother!\We'll see everyone!\Ouchie...!\I completely forgot! Bulma-san!\Don't scare me like that! I thought that maybe Freeza had shown up again, you know!\I- in some senses, Bulma-san is even scarier than Freeza! response:	Ooh, ow! Don't make me laugh so much, I ache all over!
context: Shall we go home? The spaceship I came in can get us back to Earth in five days.\I'll see Mother!\We'll see everyone!\Ouchie...!\I completely forgot! Bulma-san!\Don't scare me like that! I thought that maybe Freeza had shown up again, you know!\I- in some senses, Bulma-san is even scarier than Freeza!\Ooh, ow! Don't make me laugh so much, I ache all over! response:	You know, Planet Namek has endured something terrible.
context: I'll see Mother!\We'll see everyone!\Ouchie...!\I completely forgot! Bulma-san!\Don't scare me like that! I thought that maybe Freeza had shown up again, you know!\I- in some senses, Bulma-san is even scarier than Freeza!\Ooh, ow! Don't make me laugh so much, I ache all over!\You know, Planet Namek has endured something terrible. response:	However, this should allow the Grand Elder-sama, and all the others who have died, to rest in peace now.
context: We'll see everyone!\Ouchie...!\I completely forgot! Bulma-san!\Don't scare me like that! I thought that maybe Freeza had shown up again, you know!\I- in some senses, Bulma-san is even scarier than Freeza!\Ooh, ow! Don't make me laugh so much, I ache all over!\You know, Planet Namek has endured something terrible.\However, this should allow the Grand Elder-sama, and all the others who have died, to rest in peace now. response:	H- how is it you know about the Grand Elder?
context: Ouchie...!\I completely forgot! Bulma-san!\Don't scare me like that! I thought that maybe Freeza had shown up again, you know!\I- in some senses, Bulma-san is even scarier than Freeza!\Ooh, ow! Don't make me laugh so much, I ache all over!\You know, Planet Namek has endured something terrible.\However, this should allow the Grand Elder-sama, and all the others who have died, to rest in peace now.\H- how is it you know about the Grand Elder? response:	What is it, Kuririn?
context: I completely forgot! Bulma-san!\Don't scare me like that! I thought that maybe Freeza had shown up again, you know!\I- in some senses, Bulma-san is even scarier than Freeza!\Ooh, ow! Don't make me laugh so much, I ache all over!\You know, Planet Namek has endured something terrible.\However, this should allow the Grand Elder-sama, and all the others who have died, to rest in peace now.\H- how is it you know about the Grand Elder?\What is it, Kuririn? response:	Freeza!
context: Don't scare me like that! I thought that maybe Freeza had shown up again, you know!\I- in some senses, Bulma-san is even scarier than Freeza!\Ooh, ow! Don't make me laugh so much, I ache all over!\You know, Planet Namek has endured something terrible.\However, this should allow the Grand Elder-sama, and all the others who have died, to rest in peace now.\H- how is it you know about the Grand Elder?\What is it, Kuririn?\Freeza! response:	He took that huge Genki Dama head-on, and yet he's still alive!
context: I- in some senses, Bulma-san is even scarier than Freeza!\Ooh, ow! Don't make me laugh so much, I ache all over!\You know, Planet Namek has endured something terrible.\However, this should allow the Grand Elder-sama, and all the others who have died, to rest in peace now.\H- how is it you know about the Grand Elder?\What is it, Kuririn?\Freeza!\He took that huge Genki Dama head-on, and yet he's still alive! response:	I- it can't be!
context: Ooh, ow! Don't make me laugh so much, I ache all over!\You know, Planet Namek has endured something terrible.\However, this should allow the Grand Elder-sama, and all the others who have died, to rest in peace now.\H- how is it you know about the Grand Elder?\What is it, Kuririn?\Freeza!\He took that huge Genki Dama head-on, and yet he's still alive!\I- it can't be! response:	Goku!
context: You know, Planet Namek has endured something terrible.\However, this should allow the Grand Elder-sama, and all the others who have died, to rest in peace now.\H- how is it you know about the Grand Elder?\What is it, Kuririn?\Freeza!\He took that huge Genki Dama head-on, and yet he's still alive!\I- it can't be!\Goku! response:	P- Piccolo-san... P-...P-...
context: However, this should allow the Grand Elder-sama, and all the others who have died, to rest in peace now.\H- how is it you know about the Grand Elder?\What is it, Kuririn?\Freeza!\He took that huge Genki Dama head-on, and yet he's still alive!\I- it can't be!\Goku!\P- Piccolo-san... P-...P-... response:	PICCOLO-SAN!!
context: H- how is it you know about the Grand Elder?\What is it, Kuririn?\Freeza!\He took that huge Genki Dama head-on, and yet he's still alive!\I- it can't be!\Goku!\P- Piccolo-san... P-...P-...\PICCOLO-SAN!! response:	Wha...no way!
context: What is it, Kuririn?\Freeza!\He took that huge Genki Dama head-on, and yet he's still alive!\I- it can't be!\Goku!\P- Piccolo-san... P-...P-...\PICCOLO-SAN!!\Wha...no way! response:	Kaio-sama, what is it?
context: Freeza!\He took that huge Genki Dama head-on, and yet he's still alive!\I- it can't be!\Goku!\P- Piccolo-san... P-...P-...\PICCOLO-SAN!!\Wha...no way!\Kaio-sama, what is it? response:	Piccolo's been...Piccolo's been done in!
context: He took that huge Genki Dama head-on, and yet he's still alive!\I- it can't be!\Goku!\P- Piccolo-san... P-...P-...\PICCOLO-SAN!!\Wha...no way!\Kaio-sama, what is it?\Piccolo's been...Piccolo's been done in! response:	But I thought Freeza was supposed to be dead!
context: I- it can't be!\Goku!\P- Piccolo-san... P-...P-...\PICCOLO-SAN!!\Wha...no way!\Kaio-sama, what is it?\Piccolo's been...Piccolo's been done in!\But I thought Freeza was supposed to be dead! response:	Freeza is a frightful one! More so than I had imagined!
context: Goku!\P- Piccolo-san... P-...P-...\PICCOLO-SAN!!\Wha...no way!\Kaio-sama, what is it?\Piccolo's been...Piccolo's been done in!\But I thought Freeza was supposed to be dead!\Freeza is a frightful one! More so than I had imagined! response:	Piccolo! Hey, Piccolo!
context: P- Piccolo-san... P-...P-...\PICCOLO-SAN!!\Wha...no way!\Kaio-sama, what is it?\Piccolo's been...Piccolo's been done in!\But I thought Freeza was supposed to be dead!\Freeza is a frightful one! More so than I had imagined!\Piccolo! Hey, Piccolo! response:	Free...za...!
context: PICCOLO-SAN!!\Wha...no way!\Kaio-sama, what is it?\Piccolo's been...Piccolo's been done in!\But I thought Freeza was supposed to be dead!\Freeza is a frightful one! More so than I had imagined!\Piccolo! Hey, Piccolo!\Free...za...! response:	Even I questioned whether or not I was going to die this time.
context: Wha...no way!\Kaio-sama, what is it?\Piccolo's been...Piccolo's been done in!\But I thought Freeza was supposed to be dead!\Freeza is a frightful one! More so than I had imagined!\Piccolo! Hey, Piccolo!\Free...za...!\Even I questioned whether or not I was going to die this time. response:	I, Freeza-sama, nearly died!
context: Kaio-sama, what is it?\Piccolo's been...Piccolo's been done in!\But I thought Freeza was supposed to be dead!\Freeza is a frightful one! More so than I had imagined!\Piccolo! Hey, Piccolo!\Free...za...!\Even I questioned whether or not I was going to die this time.\I, Freeza-sama, nearly died! response:	Run...Kuririn, Gohan...!
context: Piccolo's been...Piccolo's been done in!\But I thought Freeza was supposed to be dead!\Freeza is a frightful one! More so than I had imagined!\Piccolo! Hey, Piccolo!\Free...za...!\Even I questioned whether or not I was going to die this time.\I, Freeza-sama, nearly died!\Run...Kuririn, Gohan...! response:	There's a spaceship very near the location where I first arrived.
context: But I thought Freeza was supposed to be dead!\Freeza is a frightful one! More so than I had imagined!\Piccolo! Hey, Piccolo!\Free...za...!\Even I questioned whether or not I was going to die this time.\I, Freeza-sama, nearly died!\Run...Kuririn, Gohan...!\There's a spaceship very near the location where I first arrived. response:	Take Bulma and get yourselves away from this planet, now!
context: Freeza is a frightful one! More so than I had imagined!\Piccolo! Hey, Piccolo!\Free...za...!\Even I questioned whether or not I was going to die this time.\I, Freeza-sama, nearly died!\Run...Kuririn, Gohan...!\There's a spaceship very near the location where I first arrived.\Take Bulma and get yourselves away from this planet, now! response:	Gohan, snap out of it!
context: Piccolo! Hey, Piccolo!\Free...za...!\Even I questioned whether or not I was going to die this time.\I, Freeza-sama, nearly died!\Run...Kuririn, Gohan...!\There's a spaceship very near the location where I first arrived.\Take Bulma and get yourselves away from this planet, now!\Gohan, snap out of it! response:	I will fight! I'm going to avenge Piccolo-san!
context: Free...za...!\Even I questioned whether or not I was going to die this time.\I, Freeza-sama, nearly died!\Run...Kuririn, Gohan...!\There's a spaceship very near the location where I first arrived.\Take Bulma and get yourselves away from this planet, now!\Gohan, snap out of it!\I will fight! I'm going to avenge Piccolo-san! response:	Get the hell out of here! You guys are in my way! Do you all want to die together here?
context: Even I questioned whether or not I was going to die this time.\I, Freeza-sama, nearly died!\Run...Kuririn, Gohan...!\There's a spaceship very near the location where I first arrived.\Take Bulma and get yourselves away from this planet, now!\Gohan, snap out of it!\I will fight! I'm going to avenge Piccolo-san!\Get the hell out of here! You guys are in my way! Do you all want to die together here? response:	-G- Goku... -Father...
context: I, Freeza-sama, nearly died!\Run...Kuririn, Gohan...!\There's a spaceship very near the location where I first arrived.\Take Bulma and get yourselves away from this planet, now!\Gohan, snap out of it!\I will fight! I'm going to avenge Piccolo-san!\Get the hell out of here! You guys are in my way! Do you all want to die together here?\-G- Goku... -Father... response:	You think I'm going to excuse you? I'm not letting a single one of you go home alive!
context: Run...Kuririn, Gohan...!\There's a spaceship very near the location where I first arrived.\Take Bulma and get yourselves away from this planet, now!\Gohan, snap out of it!\I will fight! I'm going to avenge Piccolo-san!\Get the hell out of here! You guys are in my way! Do you all want to die together here?\-G- Goku... -Father...\You think I'm going to excuse you? I'm not letting a single one of you go home alive! response:	Kuririn-san!
context: There's a spaceship very near the location where I first arrived.\Take Bulma and get yourselves away from this planet, now!\Gohan, snap out of it!\I will fight! I'm going to avenge Piccolo-san!\Get the hell out of here! You guys are in my way! Do you all want to die together here?\-G- Goku... -Father...\You think I'm going to excuse you? I'm not letting a single one of you go home alive!\Kuririn-san! response:	Kuririn!
