context: Serara, the girl we saved in Susukino, response:	belongs to Marielle's guild, the Crescent Moon Alliance.
context: which are more provisional, don't have.\For example, a shared vault in the game's bank,\and a dedicated communication system.\And most important, potential use of a guild hall,\located here, at the Guild Building.\These halls can be purchased or rented, and are divided into several ranks.\Normally, you select a hall based on your guild's size.\The Crescent Moon Alliance uses what's known as a rank-B hall, consisting of seven rooms. response:	For them, the size is exactly right.
context: For example, a shared vault in the game's bank,\and a dedicated communication system.\And most important, potential use of a guild hall,\located here, at the Guild Building.\These halls can be purchased or rented, and are divided into several ranks.\Normally, you select a hall based on your guild's size.\The Crescent Moon Alliance uses what's known as a rank-B hall, consisting of seven rooms.\For them, the size is exactly right. response:	Making the food without using commands is more difficult,
context: and a dedicated communication system.\And most important, potential use of a guild hall,\located here, at the Guild Building.\These halls can be purchased or rented, and are divided into several ranks.\Normally, you select a hall based on your guild's size.\The Crescent Moon Alliance uses what's known as a rank-B hall, consisting of seven rooms.\For them, the size is exactly right.\Making the food without using commands is more difficult, response:	but it's worth it.
context: And most important, potential use of a guild hall,\located here, at the Guild Building.\These halls can be purchased or rented, and are divided into several ranks.\Normally, you select a hall based on your guild's size.\The Crescent Moon Alliance uses what's known as a rank-B hall, consisting of seven rooms.\For them, the size is exactly right.\Making the food without using commands is more difficult,\but it's worth it. response:	This smell... This perfectly charred color...
context: located here, at the Guild Building.\These halls can be purchased or rented, and are divided into several ranks.\Normally, you select a hall based on your guild's size.\The Crescent Moon Alliance uses what's known as a rank-B hall, consisting of seven rooms.\For them, the size is exactly right.\Making the food without using commands is more difficult,\but it's worth it.\This smell... This perfectly charred color... response:	I remember this!
context: These halls can be purchased or rented, and are divided into several ranks.\Normally, you select a hall based on your guild's size.\The Crescent Moon Alliance uses what's known as a rank-B hall, consisting of seven rooms.\For them, the size is exactly right.\Making the food without using commands is more difficult,\but it's worth it.\This smell... This perfectly charred color...\I remember this! response:	It's food!
context: Normally, you select a hall based on your guild's size.\The Crescent Moon Alliance uses what's known as a rank-B hall, consisting of seven rooms.\For them, the size is exactly right.\Making the food without using commands is more difficult,\but it's worth it.\This smell... This perfectly charred color...\I remember this!\It's food! response:	You're going to make it too salty.
context: The Crescent Moon Alliance uses what's known as a rank-B hall, consisting of seven rooms.\For them, the size is exactly right.\Making the food without using commands is more difficult,\but it's worth it.\This smell... This perfectly charred color...\I remember this!\It's food!\You're going to make it too salty. response:	I still can't do it!
context: For them, the size is exactly right.\Making the food without using commands is more difficult,\but it's worth it.\This smell... This perfectly charred color...\I remember this!\It's food!\You're going to make it too salty.\I still can't do it! response:	To make difficult foods, you need a high cooking skill.
context: Making the food without using commands is more difficult,\but it's worth it.\This smell... This perfectly charred color...\I remember this!\It's food!\You're going to make it too salty.\I still can't do it!\To make difficult foods, you need a high cooking skill. response:	And even if two people with the same level use the same ingredients,
context: but it's worth it.\This smell... This perfectly charred color...\I remember this!\It's food!\You're going to make it too salty.\I still can't do it!\To make difficult foods, you need a high cooking skill.\And even if two people with the same level use the same ingredients, response:	their dishes can still taste different.
context: This smell... This perfectly charred color...\I remember this!\It's food!\You're going to make it too salty.\I still can't do it!\To make difficult foods, you need a high cooking skill.\And even if two people with the same level use the same ingredients,\their dishes can still taste different. response:	It's no different than in our old world.
context: I remember this!\It's food!\You're going to make it too salty.\I still can't do it!\To make difficult foods, you need a high cooking skill.\And even if two people with the same level use the same ingredients,\their dishes can still taste different.\It's no different than in our old world. response:	Serara's working hard.
context: It's food!\You're going to make it too salty.\I still can't do it!\To make difficult foods, you need a high cooking skill.\And even if two people with the same level use the same ingredients,\their dishes can still taste different.\It's no different than in our old world.\Serara's working hard. response:	Even though this party is for her...
context: You're going to make it too salty.\I still can't do it!\To make difficult foods, you need a high cooking skill.\And even if two people with the same level use the same ingredients,\their dishes can still taste different.\It's no different than in our old world.\Serara's working hard.\Even though this party is for her... response:	Resolve
context: I still can't do it!\To make difficult foods, you need a high cooking skill.\And even if two people with the same level use the same ingredients,\their dishes can still taste different.\It's no different than in our old world.\Serara's working hard.\Even though this party is for her...\Resolve response:	Resolve.
context: To make difficult foods, you need a high cooking skill.\And even if two people with the same level use the same ingredients,\their dishes can still taste different.\It's no different than in our old world.\Serara's working hard.\Even though this party is for her...\Resolve\Resolve. response:	Listen, kid.
context: And even if two people with the same level use the same ingredients,\their dishes can still taste different.\It's no different than in our old world.\Serara's working hard.\Even though this party is for her...\Resolve\Resolve.\Listen, kid. response:	Your level isn't what's important. It's what comes after that.
context: their dishes can still taste different.\It's no different than in our old world.\Serara's working hard.\Even though this party is for her...\Resolve\Resolve.\Listen, kid.\Your level isn't what's important. It's what comes after that. response:	What comes after my level?
context: It's no different than in our old world.\Serara's working hard.\Even though this party is for her...\Resolve\Resolve.\Listen, kid.\Your level isn't what's important. It's what comes after that.\What comes after my level? response:	Secret techniques?!
context: Serara's working hard.\Even though this party is for her...\Resolve\Resolve.\Listen, kid.\Your level isn't what's important. It's what comes after that.\What comes after my level?\Secret techniques?! response:	I mean panties.
context: Even though this party is for her...\Resolve\Resolve.\Listen, kid.\Your level isn't what's important. It's what comes after that.\What comes after my level?\Secret techniques?!\I mean panties. response:	Pa
context: Resolve\Resolve.\Listen, kid.\Your level isn't what's important. It's what comes after that.\What comes after my level?\Secret techniques?!\I mean panties.\Pa response:	What are you talking about?
context: Resolve.\Listen, kid.\Your level isn't what's important. It's what comes after that.\What comes after my level?\Secret techniques?!\I mean panties.\Pa\What are you talking about? response:	Nothing much, just p
context: Listen, kid.\Your level isn't what's important. It's what comes after that.\What comes after my level?\Secret techniques?!\I mean panties.\Pa\What are you talking about?\Nothing much, just p response:	Powerful monsters! About powerful monsters...
context: Your level isn't what's important. It's what comes after that.\What comes after my level?\Secret techniques?!\I mean panties.\Pa\What are you talking about?\Nothing much, just p\Powerful monsters! About powerful monsters... response:	Marielle?
context: What comes after my level?\Secret techniques?!\I mean panties.\Pa\What are you talking about?\Nothing much, just p\Powerful monsters! About powerful monsters...\Marielle? response:	Coming!
context: Secret techniques?!\I mean panties.\Pa\What are you talking about?\Nothing much, just p\Powerful monsters! About powerful monsters...\Marielle?\Coming! response:	Don't tell anyone?
context: I mean panties.\Pa\What are you talking about?\Nothing much, just p\Powerful monsters! About powerful monsters...\Marielle?\Coming!\Don't tell anyone? response:	We shouldn't let our rivals learn about this food for a while.
context: Pa\What are you talking about?\Nothing much, just p\Powerful monsters! About powerful monsters...\Marielle?\Coming!\Don't tell anyone?\We shouldn't let our rivals learn about this food for a while. response:	Why? It's a big deal!
context: What are you talking about?\Nothing much, just p\Powerful monsters! About powerful monsters...\Marielle?\Coming!\Don't tell anyone?\We shouldn't let our rivals learn about this food for a while.\Why? It's a big deal! response:	It's too big a deal.
context: Nothing much, just p\Powerful monsters! About powerful monsters...\Marielle?\Coming!\Don't tell anyone?\We shouldn't let our rivals learn about this food for a while.\Why? It's a big deal!\It's too big a deal. response:	If people suddenly find out, it could cause problems.
context: Powerful monsters! About powerful monsters...\Marielle?\Coming!\Don't tell anyone?\We shouldn't let our rivals learn about this food for a while.\Why? It's a big deal!\It's too big a deal.\If people suddenly find out, it could cause problems. response:	That's what Shiroe said.
context: Marielle?\Coming!\Don't tell anyone?\We shouldn't let our rivals learn about this food for a while.\Why? It's a big deal!\It's too big a deal.\If people suddenly find out, it could cause problems.\That's what Shiroe said. response:	Thank you for your help.
context: Coming!\Don't tell anyone?\We shouldn't let our rivals learn about this food for a while.\Why? It's a big deal!\It's too big a deal.\If people suddenly find out, it could cause problems.\That's what Shiroe said.\Thank you for your help. response:	I-It was nothing...
context: Don't tell anyone?\We shouldn't let our rivals learn about this food for a while.\Why? It's a big deal!\It's too big a deal.\If people suddenly find out, it could cause problems.\That's what Shiroe said.\Thank you for your help.\I-It was nothing... response:	Everyone's grateful!
context: We shouldn't let our rivals learn about this food for a while.\Why? It's a big deal!\It's too big a deal.\If people suddenly find out, it could cause problems.\That's what Shiroe said.\Thank you for your help.\I-It was nothing...\Everyone's grateful! response:	Let's have a toast!
context: Why? It's a big deal!\It's too big a deal.\If people suddenly find out, it could cause problems.\That's what Shiroe said.\Thank you for your help.\I-It was nothing...\Everyone's grateful!\Let's have a toast! response:	I'm so happy!
context: It's too big a deal.\If people suddenly find out, it could cause problems.\That's what Shiroe said.\Thank you for your help.\I-It was nothing...\Everyone's grateful!\Let's have a toast!\I'm so happy! response:	Not just Ashlin, but Akatsuki, too!
context: If people suddenly find out, it could cause problems.\That's what Shiroe said.\Thank you for your help.\I-It was nothing...\Everyone's grateful!\Let's have a toast!\I'm so happy!\Not just Ashlin, but Akatsuki, too! response:	Wh-What are you going to do?
context: That's what Shiroe said.\Thank you for your help.\I-It was nothing...\Everyone's grateful!\Let's have a toast!\I'm so happy!\Not just Ashlin, but Akatsuki, too!\Wh-What are you going to do? response:	Ashlin...
context: Thank you for your help.\I-It was nothing...\Everyone's grateful!\Let's have a toast!\I'm so happy!\Not just Ashlin, but Akatsuki, too!\Wh-What are you going to do?\Ashlin... response:	Right!
context: I-It was nothing...\Everyone's grateful!\Let's have a toast!\I'm so happy!\Not just Ashlin, but Akatsuki, too!\Wh-What are you going to do?\Ashlin...\Right! response:	Today, we have three types of summer dress for you.
context: Everyone's grateful!\Let's have a toast!\I'm so happy!\Not just Ashlin, but Akatsuki, too!\Wh-What are you going to do?\Ashlin...\Right!\Today, we have three types of summer dress for you. response:	I am my lord's personal ninja!
context: Let's have a toast!\I'm so happy!\Not just Ashlin, but Akatsuki, too!\Wh-What are you going to do?\Ashlin...\Right!\Today, we have three types of summer dress for you.\I am my lord's personal ninja! response:	I couldn't wear such frivolous things!
context: I'm so happy!\Not just Ashlin, but Akatsuki, too!\Wh-What are you going to do?\Ashlin...\Right!\Today, we have three types of summer dress for you.\I am my lord's personal ninja!\I couldn't wear such frivolous things! response:	Shiroe's given his permission.
context: Not just Ashlin, but Akatsuki, too!\Wh-What are you going to do?\Ashlin...\Right!\Today, we have three types of summer dress for you.\I am my lord's personal ninja!\I couldn't wear such frivolous things!\Shiroe's given his permission. response:	Now, just give up...
context: Wh-What are you going to do?\Ashlin...\Right!\Today, we have three types of summer dress for you.\I am my lord's personal ninja!\I couldn't wear such frivolous things!\Shiroe's given his permission.\Now, just give up... response:	Y-You sold me out, my lord!
context: Ashlin...\Right!\Today, we have three types of summer dress for you.\I am my lord's personal ninja!\I couldn't wear such frivolous things!\Shiroe's given his permission.\Now, just give up...\Y-You sold me out, my lord! response:	You sold me out!
context: Right!\Today, we have three types of summer dress for you.\I am my lord's personal ninja!\I couldn't wear such frivolous things!\Shiroe's given his permission.\Now, just give up...\Y-You sold me out, my lord!\You sold me out! response:	Marie, I...
context: Today, we have three types of summer dress for you.\I am my lord's personal ninja!\I couldn't wear such frivolous things!\Shiroe's given his permission.\Now, just give up...\Y-You sold me out, my lord!\You sold me out!\Marie, I... response:	We'll have a lot of cleaning tomorrow.
context: I am my lord's personal ninja!\I couldn't wear such frivolous things!\Shiroe's given his permission.\Now, just give up...\Y-You sold me out, my lord!\You sold me out!\Marie, I...\We'll have a lot of cleaning tomorrow. response:	Are you going to sleep, too?
context: I couldn't wear such frivolous things!\Shiroe's given his permission.\Now, just give up...\Y-You sold me out, my lord!\You sold me out!\Marie, I...\We'll have a lot of cleaning tomorrow.\Are you going to sleep, too? response:	I'm not that tired.
context: Shiroe's given his permission.\Now, just give up...\Y-You sold me out, my lord!\You sold me out!\Marie, I...\We'll have a lot of cleaning tomorrow.\Are you going to sleep, too?\I'm not that tired. response:	Then shall I make some tea?
context: Now, just give up...\Y-You sold me out, my lord!\You sold me out!\Marie, I...\We'll have a lot of cleaning tomorrow.\Are you going to sleep, too?\I'm not that tired.\Then shall I make some tea? response:	You really helped us this time.
context: Y-You sold me out, my lord!\You sold me out!\Marie, I...\We'll have a lot of cleaning tomorrow.\Are you going to sleep, too?\I'm not that tired.\Then shall I make some tea?\You really helped us this time. response:	Thank you.
context: You sold me out!\Marie, I...\We'll have a lot of cleaning tomorrow.\Are you going to sleep, too?\I'm not that tired.\Then shall I make some tea?\You really helped us this time.\Thank you. response:	It's fine, really.
context: Marie, I...\We'll have a lot of cleaning tomorrow.\Are you going to sleep, too?\I'm not that tired.\Then shall I make some tea?\You really helped us this time.\Thank you.\It's fine, really. response:	I didn't do anything too big.
context: We'll have a lot of cleaning tomorrow.\Are you going to sleep, too?\I'm not that tired.\Then shall I make some tea?\You really helped us this time.\Thank you.\It's fine, really.\I didn't do anything too big. response:	If it wasn't big, then what would be?
context: Are you going to sleep, too?\I'm not that tired.\Then shall I make some tea?\You really helped us this time.\Thank you.\It's fine, really.\I didn't do anything too big.\If it wasn't big, then what would be? response:	While I was away, what's happened here?
context: I'm not that tired.\Then shall I make some tea?\You really helped us this time.\Thank you.\It's fine, really.\I didn't do anything too big.\If it wasn't big, then what would be?\While I was away, what's happened here? response:	Here? You mean in Akihabara?
context: Then shall I make some tea?\You really helped us this time.\Thank you.\It's fine, really.\I didn't do anything too big.\If it wasn't big, then what would be?\While I was away, what's happened here?\Here? You mean in Akihabara? response:	I think it's better than it was.
context: You really helped us this time.\Thank you.\It's fine, really.\I didn't do anything too big.\If it wasn't big, then what would be?\While I was away, what's happened here?\Here? You mean in Akihabara?\I think it's better than it was. response:	There is far less PKing, and it's a little safer.
context: Thank you.\It's fine, really.\I didn't do anything too big.\If it wasn't big, then what would be?\While I was away, what's happened here?\Here? You mean in Akihabara?\I think it's better than it was.\There is far less PKing, and it's a little safer. response:	But...
context: It's fine, really.\I didn't do anything too big.\If it wasn't big, then what would be?\While I was away, what's happened here?\Here? You mean in Akihabara?\I think it's better than it was.\There is far less PKing, and it's a little safer.\But... response:	I couldn't say exactly why, but there's something unpleasant in the air.
context: I didn't do anything too big.\If it wasn't big, then what would be?\While I was away, what's happened here?\Here? You mean in Akihabara?\I think it's better than it was.\There is far less PKing, and it's a little safer.\But...\I couldn't say exactly why, but there's something unpleasant in the air. response:	It's like, well... Like everyone has fallen into ranks.
context: If it wasn't big, then what would be?\While I was away, what's happened here?\Here? You mean in Akihabara?\I think it's better than it was.\There is far less PKing, and it's a little safer.\But...\I couldn't say exactly why, but there's something unpleasant in the air.\It's like, well... Like everyone has fallen into ranks. response:	Ranks?
context: While I was away, what's happened here?\Here? You mean in Akihabara?\I think it's better than it was.\There is far less PKing, and it's a little safer.\But...\I couldn't say exactly why, but there's something unpleasant in the air.\It's like, well... Like everyone has fallen into ranks.\Ranks? response:	We're a small guild, with fewer than thirty members, right?
context: Here? You mean in Akihabara?\I think it's better than it was.\There is far less PKing, and it's a little safer.\But...\I couldn't say exactly why, but there's something unpleasant in the air.\It's like, well... Like everyone has fallen into ranks.\Ranks?\We're a small guild, with fewer than thirty members, right? response:	We have four level 90s, while most are under 50.
context: I think it's better than it was.\There is far less PKing, and it's a little safer.\But...\I couldn't say exactly why, but there's something unpleasant in the air.\It's like, well... Like everyone has fallen into ranks.\Ranks?\We're a small guild, with fewer than thirty members, right?\We have four level 90s, while most are under 50. response:	But the biggest guilds...
context: There is far less PKing, and it's a little safer.\But...\I couldn't say exactly why, but there's something unpleasant in the air.\It's like, well... Like everyone has fallen into ranks.\Ranks?\We're a small guild, with fewer than thirty members, right?\We have four level 90s, while most are under 50.\But the biggest guilds... response:	For example, have you heard of D.D.D., Crusty's guild?
context: But...\I couldn't say exactly why, but there's something unpleasant in the air.\It's like, well... Like everyone has fallen into ranks.\Ranks?\We're a small guild, with fewer than thirty members, right?\We have four level 90s, while most are under 50.\But the biggest guilds...\For example, have you heard of D.D.D., Crusty's guild? response:	The raid guild that beat Oracle's Tower, right?
context: I couldn't say exactly why, but there's something unpleasant in the air.\It's like, well... Like everyone has fallen into ranks.\Ranks?\We're a small guild, with fewer than thirty members, right?\We have four level 90s, while most are under 50.\But the biggest guilds...\For example, have you heard of D.D.D., Crusty's guild?\The raid guild that beat Oracle's Tower, right? response:	The Legion Raid that they said the Japanese couldn't have beaten...
context: It's like, well... Like everyone has fallen into ranks.\Ranks?\We're a small guild, with fewer than thirty members, right?\We have four level 90s, while most are under 50.\But the biggest guilds...\For example, have you heard of D.D.D., Crusty's guild?\The raid guild that beat Oracle's Tower, right?\The Legion Raid that they said the Japanese couldn't have beaten... response:	Yeah.
context: Ranks?\We're a small guild, with fewer than thirty members, right?\We have four level 90s, while most are under 50.\But the biggest guilds...\For example, have you heard of D.D.D., Crusty's guild?\The raid guild that beat Oracle's Tower, right?\The Legion Raid that they said the Japanese couldn't have beaten...\Yeah. response:	A raid like that can have hundred-player fights.
context: We're a small guild, with fewer than thirty members, right?\We have four level 90s, while most are under 50.\But the biggest guilds...\For example, have you heard of D.D.D., Crusty's guild?\The raid guild that beat Oracle's Tower, right?\The Legion Raid that they said the Japanese couldn't have beaten...\Yeah.\A raid like that can have hundred-player fights. response:	Supposedly, they have over 1,500 members, including plenty of level 90s.
context: We have four level 90s, while most are under 50.\But the biggest guilds...\For example, have you heard of D.D.D., Crusty's guild?\The raid guild that beat Oracle's Tower, right?\The Legion Raid that they said the Japanese couldn't have beaten...\Yeah.\A raid like that can have hundred-player fights.\Supposedly, they have over 1,500 members, including plenty of level 90s. response:	Then, by rank, you meant the guilds?
context: But the biggest guilds...\For example, have you heard of D.D.D., Crusty's guild?\The raid guild that beat Oracle's Tower, right?\The Legion Raid that they said the Japanese couldn't have beaten...\Yeah.\A raid like that can have hundred-player fights.\Supposedly, they have over 1,500 members, including plenty of level 90s.\Then, by rank, you meant the guilds? response:	It feels as though
context: For example, have you heard of D.D.D., Crusty's guild?\The raid guild that beat Oracle's Tower, right?\The Legion Raid that they said the Japanese couldn't have beaten...\Yeah.\A raid like that can have hundred-player fights.\Supposedly, they have over 1,500 members, including plenty of level 90s.\Then, by rank, you meant the guilds?\It feels as though response:	the bigger guilds are determining the town's feel and its rules.
context: The raid guild that beat Oracle's Tower, right?\The Legion Raid that they said the Japanese couldn't have beaten...\Yeah.\A raid like that can have hundred-player fights.\Supposedly, they have over 1,500 members, including plenty of level 90s.\Then, by rank, you meant the guilds?\It feels as though\the bigger guilds are determining the town's feel and its rules. response:	For example, who has priority using the market.
context: The Legion Raid that they said the Japanese couldn't have beaten...\Yeah.\A raid like that can have hundred-player fights.\Supposedly, they have over 1,500 members, including plenty of level 90s.\Then, by rank, you meant the guilds?\It feels as though\the bigger guilds are determining the town's feel and its rules.\For example, who has priority using the market. response:	I had no idea.
context: Yeah.\A raid like that can have hundred-player fights.\Supposedly, they have over 1,500 members, including plenty of level 90s.\Then, by rank, you meant the guilds?\It feels as though\the bigger guilds are determining the town's feel and its rules.\For example, who has priority using the market.\I had no idea. response:	It's the same way with the hunting grounds.
context: A raid like that can have hundred-player fights.\Supposedly, they have over 1,500 members, including plenty of level 90s.\Then, by rank, you meant the guilds?\It feels as though\the bigger guilds are determining the town's feel and its rules.\For example, who has priority using the market.\I had no idea.\It's the same way with the hunting grounds. response:	Since the strong and weak guilds were divided,
context: Supposedly, they have over 1,500 members, including plenty of level 90s.\Then, by rank, you meant the guilds?\It feels as though\the bigger guilds are determining the town's feel and its rules.\For example, who has priority using the market.\I had no idea.\It's the same way with the hunting grounds.\Since the strong and weak guilds were divided, response:	the weak guilds will no longer approach the stronger guilds' territories.
context: Then, by rank, you meant the guilds?\It feels as though\the bigger guilds are determining the town's feel and its rules.\For example, who has priority using the market.\I had no idea.\It's the same way with the hunting grounds.\Since the strong and weak guilds were divided,\the weak guilds will no longer approach the stronger guilds' territories. response:	Then the larger guilds have taken all the good hunting spots?
context: It feels as though\the bigger guilds are determining the town's feel and its rules.\For example, who has priority using the market.\I had no idea.\It's the same way with the hunting grounds.\Since the strong and weak guilds were divided,\the weak guilds will no longer approach the stronger guilds' territories.\Then the larger guilds have taken all the good hunting spots? response:	You can't fight in the town, of course.
context: the bigger guilds are determining the town's feel and its rules.\For example, who has priority using the market.\I had no idea.\It's the same way with the hunting grounds.\Since the strong and weak guilds were divided,\the weak guilds will no longer approach the stronger guilds' territories.\Then the larger guilds have taken all the good hunting spots?\You can't fight in the town, of course. response:	But that doesn't mean you can clash in the hunting areas.
context: For example, who has priority using the market.\I had no idea.\It's the same way with the hunting grounds.\Since the strong and weak guilds were divided,\the weak guilds will no longer approach the stronger guilds' territories.\Then the larger guilds have taken all the good hunting spots?\You can't fight in the town, of course.\But that doesn't mean you can clash in the hunting areas. response:	Well, it means there's less PKing, which is good.
context: I had no idea.\It's the same way with the hunting grounds.\Since the strong and weak guilds were divided,\the weak guilds will no longer approach the stronger guilds' territories.\Then the larger guilds have taken all the good hunting spots?\You can't fight in the town, of course.\But that doesn't mean you can clash in the hunting areas.\Well, it means there's less PKing, which is good. response:	But that's still...
context: It's the same way with the hunting grounds.\Since the strong and weak guilds were divided,\the weak guilds will no longer approach the stronger guilds' territories.\Then the larger guilds have taken all the good hunting spots?\You can't fight in the town, of course.\But that doesn't mean you can clash in the hunting areas.\Well, it means there's less PKing, which is good.\But that's still... response:	Somehow, I don't like it...
context: Since the strong and weak guilds were divided,\the weak guilds will no longer approach the stronger guilds' territories.\Then the larger guilds have taken all the good hunting spots?\You can't fight in the town, of course.\But that doesn't mean you can clash in the hunting areas.\Well, it means there's less PKing, which is good.\But that's still...\Somehow, I don't like it... response:	I understand what you mean.
context: the weak guilds will no longer approach the stronger guilds' territories.\Then the larger guilds have taken all the good hunting spots?\You can't fight in the town, of course.\But that doesn't mean you can clash in the hunting areas.\Well, it means there's less PKing, which is good.\But that's still...\Somehow, I don't like it...\I understand what you mean. response:	It isn't just the hunting grounds.
context: Then the larger guilds have taken all the good hunting spots?\You can't fight in the town, of course.\But that doesn't mean you can clash in the hunting areas.\Well, it means there's less PKing, which is good.\But that's still...\Somehow, I don't like it...\I understand what you mean.\It isn't just the hunting grounds. response:	Invisible barriers are being erected everywhere.
context: You can't fight in the town, of course.\But that doesn't mean you can clash in the hunting areas.\Well, it means there's less PKing, which is good.\But that's still...\Somehow, I don't like it...\I understand what you mean.\It isn't just the hunting grounds.\Invisible barriers are being erected everywhere. response:	I think that's what they mean by the guilds falling into ranks.
context: But that doesn't mean you can clash in the hunting areas.\Well, it means there's less PKing, which is good.\But that's still...\Somehow, I don't like it...\I understand what you mean.\It isn't just the hunting grounds.\Invisible barriers are being erected everywhere.\I think that's what they mean by the guilds falling into ranks. response:	No one's to blame.
context: Well, it means there's less PKing, which is good.\But that's still...\Somehow, I don't like it...\I understand what you mean.\It isn't just the hunting grounds.\Invisible barriers are being erected everywhere.\I think that's what they mean by the guilds falling into ranks.\No one's to blame. response:	And I'm sure the large guilds have their own problems.
context: But that's still...\Somehow, I don't like it...\I understand what you mean.\It isn't just the hunting grounds.\Invisible barriers are being erected everywhere.\I think that's what they mean by the guilds falling into ranks.\No one's to blame.\And I'm sure the large guilds have their own problems. response:	No laws or ethics prohibit people from using whatever strategy they can
context: Somehow, I don't like it...\I understand what you mean.\It isn't just the hunting grounds.\Invisible barriers are being erected everywhere.\I think that's what they mean by the guilds falling into ranks.\No one's to blame.\And I'm sure the large guilds have their own problems.\No laws or ethics prohibit people from using whatever strategy they can response:	to give themselves an edge in this world.
context: I understand what you mean.\It isn't just the hunting grounds.\Invisible barriers are being erected everywhere.\I think that's what they mean by the guilds falling into ranks.\No one's to blame.\And I'm sure the large guilds have their own problems.\No laws or ethics prohibit people from using whatever strategy they can\to give themselves an edge in this world. response:	But still...
context: It isn't just the hunting grounds.\Invisible barriers are being erected everywhere.\I think that's what they mean by the guilds falling into ranks.\No one's to blame.\And I'm sure the large guilds have their own problems.\No laws or ethics prohibit people from using whatever strategy they can\to give themselves an edge in this world.\But still... response:	It isn't a good thing.
context: Invisible barriers are being erected everywhere.\I think that's what they mean by the guilds falling into ranks.\No one's to blame.\And I'm sure the large guilds have their own problems.\No laws or ethics prohibit people from using whatever strategy they can\to give themselves an edge in this world.\But still...\It isn't a good thing. response:	Though perhaps it's a matter of preference.
context: I think that's what they mean by the guilds falling into ranks.\No one's to blame.\And I'm sure the large guilds have their own problems.\No laws or ethics prohibit people from using whatever strategy they can\to give themselves an edge in this world.\But still...\It isn't a good thing.\Though perhaps it's a matter of preference. response:	That's true.
context: No one's to blame.\And I'm sure the large guilds have their own problems.\No laws or ethics prohibit people from using whatever strategy they can\to give themselves an edge in this world.\But still...\It isn't a good thing.\Though perhaps it's a matter of preference.\That's true. response:	A few days ago...
context: And I'm sure the large guilds have their own problems.\No laws or ethics prohibit people from using whatever strategy they can\to give themselves an edge in this world.\But still...\It isn't a good thing.\Though perhaps it's a matter of preference.\That's true.\A few days ago... response:	But even if we try to oppose the bigger guilds...
context: No laws or ethics prohibit people from using whatever strategy they can\to give themselves an edge in this world.\But still...\It isn't a good thing.\Though perhaps it's a matter of preference.\That's true.\A few days ago...\But even if we try to oppose the bigger guilds... response:	That's why we're trying to think of a way.
context: to give themselves an edge in this world.\But still...\It isn't a good thing.\Though perhaps it's a matter of preference.\That's true.\A few days ago...\But even if we try to oppose the bigger guilds...\That's why we're trying to think of a way. response:	For example, we could share the hunting grounds among ourselves.
context: But still...\It isn't a good thing.\Though perhaps it's a matter of preference.\That's true.\A few days ago...\But even if we try to oppose the bigger guilds...\That's why we're trying to think of a way.\For example, we could share the hunting grounds among ourselves. response:	discussed the possibility of creating a joint council.
