context: I've had this image in my head since I was a child. response:	An image of a landscape you could find anywhere.
context: Huh? An emergency?\I'm hitting debris? Why?\There aren't any cleaners this far out...\Please...\Rinon!\Take control of the ship!\Make a short jump as soon as the ship is stable!\Please! response:	Take me to that place!
context: I'm hitting debris? Why?\There aren't any cleaners this far out...\Please...\Rinon!\Take control of the ship!\Make a short jump as soon as the ship is stable!\Please!\Take me to that place! response:	Just... a little farther...
context: There aren't any cleaners this far out...\Please...\Rinon!\Take control of the ship!\Make a short jump as soon as the ship is stable!\Please!\Take me to that place!\Just... a little farther... response:	There's a life-sign in the crash zone?
context: Please...\Rinon!\Take control of the ship!\Make a short jump as soon as the ship is stable!\Please!\Take me to that place!\Just... a little farther...\There's a life-sign in the crash zone? response:	I'd likely...
context: Rinon!\Take control of the ship!\Make a short jump as soon as the ship is stable!\Please!\Take me to that place!\Just... a little farther...\There's a life-sign in the crash zone?\I'd likely... response:	Nanami-san!
context: Take control of the ship!\Make a short jump as soon as the ship is stable!\Please!\Take me to that place!\Just... a little farther...\There's a life-sign in the crash zone?\I'd likely...\Nanami-san! response:	Nanami-san!
context: Make a short jump as soon as the ship is stable!\Please!\Take me to that place!\Just... a little farther...\There's a life-sign in the crash zone?\I'd likely...\Nanami-san!\Nanami-san! response:	Kanna-chan?
context: Please!\Take me to that place!\Just... a little farther...\There's a life-sign in the crash zone?\I'd likely...\Nanami-san!\Nanami-san!\Kanna-chan? response:	Oh, man. I had this weird dream.
context: Take me to that place!\Just... a little farther...\There's a life-sign in the crash zone?\I'd likely...\Nanami-san!\Nanami-san!\Kanna-chan?\Oh, man. I had this weird dream. response:	This naked girl was holding Kai-kun while they were surrounded by light.
context: Just... a little farther...\There's a life-sign in the crash zone?\I'd likely...\Nanami-san!\Nanami-san!\Kanna-chan?\Oh, man. I had this weird dream.\This naked girl was holding Kai-kun while they were surrounded by light. response:	The girl was really adorable.
context: There's a life-sign in the crash zone?\I'd likely...\Nanami-san!\Nanami-san!\Kanna-chan?\Oh, man. I had this weird dream.\This naked girl was holding Kai-kun while they were surrounded by light.\The girl was really adorable. response:	No, she was very beautiful.
context: I'd likely...\Nanami-san!\Nanami-san!\Kanna-chan?\Oh, man. I had this weird dream.\This naked girl was holding Kai-kun while they were surrounded by light.\The girl was really adorable.\No, she was very beautiful. response:	Yeah, she looked exactly like that girl sitting over...
context: Nanami-san!\Nanami-san!\Kanna-chan?\Oh, man. I had this weird dream.\This naked girl was holding Kai-kun while they were surrounded by light.\The girl was really adorable.\No, she was very beautiful.\Yeah, she looked exactly like that girl sitting over... response:	Na
context: Nanami-san!\Kanna-chan?\Oh, man. I had this weird dream.\This naked girl was holding Kai-kun while they were surrounded by light.\The girl was really adorable.\No, she was very beautiful.\Yeah, she looked exactly like that girl sitting over...\Na response:	Nanami-san!
context: Kanna-chan?\Oh, man. I had this weird dream.\This naked girl was holding Kai-kun while they were surrounded by light.\The girl was really adorable.\No, she was very beautiful.\Yeah, she looked exactly like that girl sitting over...\Na\Nanami-san! response:	Could you explain exactly what's going on?
context: Oh, man. I had this weird dream.\This naked girl was holding Kai-kun while they were surrounded by light.\The girl was really adorable.\No, she was very beautiful.\Yeah, she looked exactly like that girl sitting over...\Na\Nanami-san!\Could you explain exactly what's going on? response:	Just let me say this: Don't get the wrong idea.
context: This naked girl was holding Kai-kun while they were surrounded by light.\The girl was really adorable.\No, she was very beautiful.\Yeah, she looked exactly like that girl sitting over...\Na\Nanami-san!\Could you explain exactly what's going on?\Just let me say this: Don't get the wrong idea. response:	What idea would that be?
context: The girl was really adorable.\No, she was very beautiful.\Yeah, she looked exactly like that girl sitting over...\Na\Nanami-san!\Could you explain exactly what's going on?\Just let me say this: Don't get the wrong idea.\What idea would that be? response:	What you're thinking right now.
context: No, she was very beautiful.\Yeah, she looked exactly like that girl sitting over...\Na\Nanami-san!\Could you explain exactly what's going on?\Just let me say this: Don't get the wrong idea.\What idea would that be?\What you're thinking right now. response:	Anyway, she's
context: Yeah, she looked exactly like that girl sitting over...\Na\Nanami-san!\Could you explain exactly what's going on?\Just let me say this: Don't get the wrong idea.\What idea would that be?\What you're thinking right now.\Anyway, she's response:	Ichika Takatsuki-senpai.
context: Na\Nanami-san!\Could you explain exactly what's going on?\Just let me say this: Don't get the wrong idea.\What idea would that be?\What you're thinking right now.\Anyway, she's\Ichika Takatsuki-senpai. response:	She transferred into the third year class at our school today.
context: Nanami-san!\Could you explain exactly what's going on?\Just let me say this: Don't get the wrong idea.\What idea would that be?\What you're thinking right now.\Anyway, she's\Ichika Takatsuki-senpai.\She transferred into the third year class at our school today. response:	That's right...
context: Could you explain exactly what's going on?\Just let me say this: Don't get the wrong idea.\What idea would that be?\What you're thinking right now.\Anyway, she's\Ichika Takatsuki-senpai.\She transferred into the third year class at our school today.\That's right... response:	So your name's Ichika Takatsuki-san?
context: Just let me say this: Don't get the wrong idea.\What idea would that be?\What you're thinking right now.\Anyway, she's\Ichika Takatsuki-senpai.\She transferred into the third year class at our school today.\That's right...\So your name's Ichika Takatsuki-san? response:	Nice to meet you.
context: What idea would that be?\What you're thinking right now.\Anyway, she's\Ichika Takatsuki-senpai.\She transferred into the third year class at our school today.\That's right...\So your name's Ichika Takatsuki-san?\Nice to meet you. response:	I'm Kai-kun's older sister, Nanami.
context: What you're thinking right now.\Anyway, she's\Ichika Takatsuki-senpai.\She transferred into the third year class at our school today.\That's right...\So your name's Ichika Takatsuki-san?\Nice to meet you.\I'm Kai-kun's older sister, Nanami. response:	Thank you for having me in your home.
context: Anyway, she's\Ichika Takatsuki-senpai.\She transferred into the third year class at our school today.\That's right...\So your name's Ichika Takatsuki-san?\Nice to meet you.\I'm Kai-kun's older sister, Nanami.\Thank you for having me in your home. response:	Indeed...
context: Ichika Takatsuki-senpai.\She transferred into the third year class at our school today.\That's right...\So your name's Ichika Takatsuki-san?\Nice to meet you.\I'm Kai-kun's older sister, Nanami.\Thank you for having me in your home.\Indeed... response:	So? Why is she at your house, Kai-kun, when you've only just met today?
context: She transferred into the third year class at our school today.\That's right...\So your name's Ichika Takatsuki-san?\Nice to meet you.\I'm Kai-kun's older sister, Nanami.\Thank you for having me in your home.\Indeed...\So? Why is she at your house, Kai-kun, when you've only just met today? response:	I, uh...
context: That's right...\So your name's Ichika Takatsuki-san?\Nice to meet you.\I'm Kai-kun's older sister, Nanami.\Thank you for having me in your home.\Indeed...\So? Why is she at your house, Kai-kun, when you've only just met today?\I, uh... response:	W-Well...
context: So your name's Ichika Takatsuki-san?\Nice to meet you.\I'm Kai-kun's older sister, Nanami.\Thank you for having me in your home.\Indeed...\So? Why is she at your house, Kai-kun, when you've only just met today?\I, uh...\W-Well... response:	Th-There was a malfunction in the quan linkage,
context: Nice to meet you.\I'm Kai-kun's older sister, Nanami.\Thank you for having me in your home.\Indeed...\So? Why is she at your house, Kai-kun, when you've only just met today?\I, uh...\W-Well...\Th-There was a malfunction in the quan linkage, response:	and my altalite was seriously damaged,
context: I'm Kai-kun's older sister, Nanami.\Thank you for having me in your home.\Indeed...\So? Why is she at your house, Kai-kun, when you've only just met today?\I, uh...\W-Well...\Th-There was a malfunction in the quan linkage,\and my altalite was seriously damaged, response:	so I couldn't go anywhere,
context: Thank you for having me in your home.\Indeed...\So? Why is she at your house, Kai-kun, when you've only just met today?\I, uh...\W-Well...\Th-There was a malfunction in the quan linkage,\and my altalite was seriously damaged,\so I couldn't go anywhere, response:	and the damage to the incrobe was extensive...
context: Indeed...\So? Why is she at your house, Kai-kun, when you've only just met today?\I, uh...\W-Well...\Th-There was a malfunction in the quan linkage,\and my altalite was seriously damaged,\so I couldn't go anywhere,\and the damage to the incrobe was extensive... response:	That's all too hard for Onee-chan to understand...
context: So? Why is she at your house, Kai-kun, when you've only just met today?\I, uh...\W-Well...\Th-There was a malfunction in the quan linkage,\and my altalite was seriously damaged,\so I couldn't go anywhere,\and the damage to the incrobe was extensive...\That's all too hard for Onee-chan to understand... response:	Basically, she has nowhere to live due to some problems,
context: I, uh...\W-Well...\Th-There was a malfunction in the quan linkage,\and my altalite was seriously damaged,\so I couldn't go anywhere,\and the damage to the incrobe was extensive...\That's all too hard for Onee-chan to understand...\Basically, she has nowhere to live due to some problems, response:	and it seems she has no money, either.
context: W-Well...\Th-There was a malfunction in the quan linkage,\and my altalite was seriously damaged,\so I couldn't go anywhere,\and the damage to the incrobe was extensive...\That's all too hard for Onee-chan to understand...\Basically, she has nowhere to live due to some problems,\and it seems she has no money, either. response:	I just happened to run into her on the way home from school,
context: Th-There was a malfunction in the quan linkage,\and my altalite was seriously damaged,\so I couldn't go anywhere,\and the damage to the incrobe was extensive...\That's all too hard for Onee-chan to understand...\Basically, she has nowhere to live due to some problems,\and it seems she has no money, either.\I just happened to run into her on the way home from school, response:	and she told me the story.
context: and my altalite was seriously damaged,\so I couldn't go anywhere,\and the damage to the incrobe was extensive...\That's all too hard for Onee-chan to understand...\Basically, she has nowhere to live due to some problems,\and it seems she has no money, either.\I just happened to run into her on the way home from school,\and she told me the story. response:	So I told her she could stay here for a night...
context: so I couldn't go anywhere,\and the damage to the incrobe was extensive...\That's all too hard for Onee-chan to understand...\Basically, she has nowhere to live due to some problems,\and it seems she has no money, either.\I just happened to run into her on the way home from school,\and she told me the story.\So I told her she could stay here for a night... response:	I mean, you couldn't just walk away after hearing that.
context: and the damage to the incrobe was extensive...\That's all too hard for Onee-chan to understand...\Basically, she has nowhere to live due to some problems,\and it seems she has no money, either.\I just happened to run into her on the way home from school,\and she told me the story.\So I told her she could stay here for a night...\I mean, you couldn't just walk away after hearing that. response:	You can't have a girl camping out somewhere by herself.
context: That's all too hard for Onee-chan to understand...\Basically, she has nowhere to live due to some problems,\and it seems she has no money, either.\I just happened to run into her on the way home from school,\and she told me the story.\So I told her she could stay here for a night...\I mean, you couldn't just walk away after hearing that.\You can't have a girl camping out somewhere by herself. response:	So that's what happened.
context: Basically, she has nowhere to live due to some problems,\and it seems she has no money, either.\I just happened to run into her on the way home from school,\and she told me the story.\So I told her she could stay here for a night...\I mean, you couldn't just walk away after hearing that.\You can't have a girl camping out somewhere by herself.\So that's what happened. response:	Question.
context: and it seems she has no money, either.\I just happened to run into her on the way home from school,\and she told me the story.\So I told her she could stay here for a night...\I mean, you couldn't just walk away after hearing that.\You can't have a girl camping out somewhere by herself.\So that's what happened.\Question. response:	Why were you two embracing by the front door?
context: I just happened to run into her on the way home from school,\and she told me the story.\So I told her she could stay here for a night...\I mean, you couldn't just walk away after hearing that.\You can't have a girl camping out somewhere by herself.\So that's what happened.\Question.\Why were you two embracing by the front door? response:	We weren't!
context: and she told me the story.\So I told her she could stay here for a night...\I mean, you couldn't just walk away after hearing that.\You can't have a girl camping out somewhere by herself.\So that's what happened.\Question.\Why were you two embracing by the front door?\We weren't! response:	That was...
context: So I told her she could stay here for a night...\I mean, you couldn't just walk away after hearing that.\You can't have a girl camping out somewhere by herself.\So that's what happened.\Question.\Why were you two embracing by the front door?\We weren't!\That was... response:	We were?!
context: I mean, you couldn't just walk away after hearing that.\You can't have a girl camping out somewhere by herself.\So that's what happened.\Question.\Why were you two embracing by the front door?\We weren't!\That was...\We were?! response:	Ka-Kaito-kun's altalite...
context: You can't have a girl camping out somewhere by herself.\So that's what happened.\Question.\Why were you two embracing by the front door?\We weren't!\That was...\We were?!\Ka-Kaito-kun's altalite... response:	I-I mean, he wasn't feeling well, so I was just taking care of him!
context: So that's what happened.\Question.\Why were you two embracing by the front door?\We weren't!\That was...\We were?!\Ka-Kaito-kun's altalite...\I-I mean, he wasn't feeling well, so I was just taking care of him! response:	Oh, that's right...
context: Question.\Why were you two embracing by the front door?\We weren't!\That was...\We were?!\Ka-Kaito-kun's altalite...\I-I mean, he wasn't feeling well, so I was just taking care of him!\Oh, that's right... response:	I started to feel sick and lost consciousness...
context: Why were you two embracing by the front door?\We weren't!\That was...\We were?!\Ka-Kaito-kun's altalite...\I-I mean, he wasn't feeling well, so I was just taking care of him!\Oh, that's right...\I started to feel sick and lost consciousness... response:	Kai-kun, are you sick?
context: We weren't!\That was...\We were?!\Ka-Kaito-kun's altalite...\I-I mean, he wasn't feeling well, so I was just taking care of him!\Oh, that's right...\I started to feel sick and lost consciousness...\Kai-kun, are you sick? response:	Huh?
context: That was...\We were?!\Ka-Kaito-kun's altalite...\I-I mean, he wasn't feeling well, so I was just taking care of him!\Oh, that's right...\I started to feel sick and lost consciousness...\Kai-kun, are you sick?\Huh? response:	I'm not sure, but I'm fine now.
context: We were?!\Ka-Kaito-kun's altalite...\I-I mean, he wasn't feeling well, so I was just taking care of him!\Oh, that's right...\I started to feel sick and lost consciousness...\Kai-kun, are you sick?\Huh?\I'm not sure, but I'm fine now. response:	Taking care of him...
context: Ka-Kaito-kun's altalite...\I-I mean, he wasn't feeling well, so I was just taking care of him!\Oh, that's right...\I started to feel sick and lost consciousness...\Kai-kun, are you sick?\Huh?\I'm not sure, but I'm fine now.\Taking care of him... response:	That's what you were doing?
context: I-I mean, he wasn't feeling well, so I was just taking care of him!\Oh, that's right...\I started to feel sick and lost consciousness...\Kai-kun, are you sick?\Huh?\I'm not sure, but I'm fine now.\Taking care of him...\That's what you were doing? response:	Holding him close to you so he gets better...
context: Oh, that's right...\I started to feel sick and lost consciousness...\Kai-kun, are you sick?\Huh?\I'm not sure, but I'm fine now.\Taking care of him...\That's what you were doing?\Holding him close to you so he gets better... response:	That's taking care of him, all right.
context: I started to feel sick and lost consciousness...\Kai-kun, are you sick?\Huh?\I'm not sure, but I'm fine now.\Taking care of him...\That's what you were doing?\Holding him close to you so he gets better...\That's taking care of him, all right. response:	Did you think he'd get better if you embraced him?
context: Kai-kun, are you sick?\Huh?\I'm not sure, but I'm fine now.\Taking care of him...\That's what you were doing?\Holding him close to you so he gets better...\That's taking care of him, all right.\Did you think he'd get better if you embraced him? response:	That's what we do on my planet!
context: Huh?\I'm not sure, but I'm fine now.\Taking care of him...\That's what you were doing?\Holding him close to you so he gets better...\That's taking care of him, all right.\Did you think he'd get better if you embraced him?\That's what we do on my planet! response:	Your planet?
context: I'm not sure, but I'm fine now.\Taking care of him...\That's what you were doing?\Holding him close to you so he gets better...\That's taking care of him, all right.\Did you think he'd get better if you embraced him?\That's what we do on my planet!\Your planet? response:	I-I mean, where I come from.
context: Taking care of him...\That's what you were doing?\Holding him close to you so he gets better...\That's taking care of him, all right.\Did you think he'd get better if you embraced him?\That's what we do on my planet!\Your planet?\I-I mean, where I come from. response:	Where are you from, Takatsuki-san?
context: That's what you were doing?\Holding him close to you so he gets better...\That's taking care of him, all right.\Did you think he'd get better if you embraced him?\That's what we do on my planet!\Your planet?\I-I mean, where I come from.\Where are you from, Takatsuki-san? response:	Ple
context: Holding him close to you so he gets better...\That's taking care of him, all right.\Did you think he'd get better if you embraced him?\That's what we do on my planet!\Your planet?\I-I mean, where I come from.\Where are you from, Takatsuki-san?\Ple response:	No, I mean...
context: That's taking care of him, all right.\Did you think he'd get better if you embraced him?\That's what we do on my planet!\Your planet?\I-I mean, where I come from.\Where are you from, Takatsuki-san?\Ple\No, I mean... response:	North of here.
context: Did you think he'd get better if you embraced him?\That's what we do on my planet!\Your planet?\I-I mean, where I come from.\Where are you from, Takatsuki-san?\Ple\No, I mean...\North of here. response:	Like, Hokkaido?
context: That's what we do on my planet!\Your planet?\I-I mean, where I come from.\Where are you from, Takatsuki-san?\Ple\No, I mean...\North of here.\Like, Hokkaido? response:	No, farther away than that.
context: Your planet?\I-I mean, where I come from.\Where are you from, Takatsuki-san?\Ple\No, I mean...\North of here.\Like, Hokkaido?\No, farther away than that. response:	Are you studying abroad?
context: I-I mean, where I come from.\Where are you from, Takatsuki-san?\Ple\No, I mean...\North of here.\Like, Hokkaido?\No, farther away than that.\Are you studying abroad? response:	Y-Yeah, something like that.
context: Where are you from, Takatsuki-san?\Ple\No, I mean...\North of here.\Like, Hokkaido?\No, farther away than that.\Are you studying abroad?\Y-Yeah, something like that. response:	Wow, so you came from so far away to study abroad by yourself!
context: Ple\No, I mean...\North of here.\Like, Hokkaido?\No, farther away than that.\Are you studying abroad?\Y-Yeah, something like that.\Wow, so you came from so far away to study abroad by yourself! response:	That's impressive!
context: No, I mean...\North of here.\Like, Hokkaido?\No, farther away than that.\Are you studying abroad?\Y-Yeah, something like that.\Wow, so you came from so far away to study abroad by yourself!\That's impressive! response:	Your Japanese is really good, too!
context: North of here.\Like, Hokkaido?\No, farther away than that.\Are you studying abroad?\Y-Yeah, something like that.\Wow, so you came from so far away to study abroad by yourself!\That's impressive!\Your Japanese is really good, too! response:	Th-Thanks...
context: Like, Hokkaido?\No, farther away than that.\Are you studying abroad?\Y-Yeah, something like that.\Wow, so you came from so far away to study abroad by yourself!\That's impressive!\Your Japanese is really good, too!\Th-Thanks... response:	I see.
context: No, farther away than that.\Are you studying abroad?\Y-Yeah, something like that.\Wow, so you came from so far away to study abroad by yourself!\That's impressive!\Your Japanese is really good, too!\Th-Thanks...\I see. response:	Well, I understand what's going on now.
context: Are you studying abroad?\Y-Yeah, something like that.\Wow, so you came from so far away to study abroad by yourself!\That's impressive!\Your Japanese is really good, too!\Th-Thanks...\I see.\Well, I understand what's going on now. response:	That's good.
context: Y-Yeah, something like that.\Wow, so you came from so far away to study abroad by yourself!\That's impressive!\Your Japanese is really good, too!\Th-Thanks...\I see.\Well, I understand what's going on now.\That's good. response:	But if something happened,
context: Wow, so you came from so far away to study abroad by yourself!\That's impressive!\Your Japanese is really good, too!\Th-Thanks...\I see.\Well, I understand what's going on now.\That's good.\But if something happened, response:	why not contact your parents back home?
context: That's impressive!\Your Japanese is really good, too!\Th-Thanks...\I see.\Well, I understand what's going on now.\That's good.\But if something happened,\why not contact your parents back home? response:	Well, I...
context: Your Japanese is really good, too!\Th-Thanks...\I see.\Well, I understand what's going on now.\That's good.\But if something happened,\why not contact your parents back home?\Well, I... response:	Senpai?
context: Th-Thanks...\I see.\Well, I understand what's going on now.\That's good.\But if something happened,\why not contact your parents back home?\Well, I...\Senpai? response:	Did something happen to your...?
context: I see.\Well, I understand what's going on now.\That's good.\But if something happened,\why not contact your parents back home?\Well, I...\Senpai?\Did something happen to your...? response:	I think I know how you feel!
context: Well, I understand what's going on now.\That's good.\But if something happened,\why not contact your parents back home?\Well, I...\Senpai?\Did something happen to your...?\I think I know how you feel! response:	Are you an esper?!
context: That's good.\But if something happened,\why not contact your parents back home?\Well, I...\Senpai?\Did something happen to your...?\I think I know how you feel!\Are you an esper?! response:	Takatsuki-san...
context: But if something happened,\why not contact your parents back home?\Well, I...\Senpai?\Did something happen to your...?\I think I know how you feel!\Are you an esper?!\Takatsuki-san... response:	No, Ichika-chan.
context: why not contact your parents back home?\Well, I...\Senpai?\Did something happen to your...?\I think I know how you feel!\Are you an esper?!\Takatsuki-san...\No, Ichika-chan. response:	I'm sorry we brought up such sad memories.
context: Well, I...\Senpai?\Did something happen to your...?\I think I know how you feel!\Are you an esper?!\Takatsuki-san...\No, Ichika-chan.\I'm sorry we brought up such sad memories. response:	Kai-kun and I lost our parents, too,
context: Senpai?\Did something happen to your...?\I think I know how you feel!\Are you an esper?!\Takatsuki-san...\No, Ichika-chan.\I'm sorry we brought up such sad memories.\Kai-kun and I lost our parents, too, response:	so I know...
context: Did something happen to your...?\I think I know how you feel!\Are you an esper?!\Takatsuki-san...\No, Ichika-chan.\I'm sorry we brought up such sad memories.\Kai-kun and I lost our parents, too,\so I know... response:	I really know how you feel!
context: I think I know how you feel!\Are you an esper?!\Takatsuki-san...\No, Ichika-chan.\I'm sorry we brought up such sad memories.\Kai-kun and I lost our parents, too,\so I know...\I really know how you feel! response:	Wai Nanami-san?!
context: Are you an esper?!\Takatsuki-san...\No, Ichika-chan.\I'm sorry we brought up such sad memories.\Kai-kun and I lost our parents, too,\so I know...\I really know how you feel!\Wai Nanami-san?! response:	A-Anyway, so that's what's going on.
context: Takatsuki-san...\No, Ichika-chan.\I'm sorry we brought up such sad memories.\Kai-kun and I lost our parents, too,\so I know...\I really know how you feel!\Wai Nanami-san?!\A-Anyway, so that's what's going on. response:	So there shouldn't be a problem with letting her stay here a night, right?
context: No, Ichika-chan.\I'm sorry we brought up such sad memories.\Kai-kun and I lost our parents, too,\so I know...\I really know how you feel!\Wai Nanami-san?!\A-Anyway, so that's what's going on.\So there shouldn't be a problem with letting her stay here a night, right? response:	A night?
context: I'm sorry we brought up such sad memories.\Kai-kun and I lost our parents, too,\so I know...\I really know how you feel!\Wai Nanami-san?!\A-Anyway, so that's what's going on.\So there shouldn't be a problem with letting her stay here a night, right?\A night? response:	How about just letting her live here?
context: Kai-kun and I lost our parents, too,\so I know...\I really know how you feel!\Wai Nanami-san?!\A-Anyway, so that's what's going on.\So there shouldn't be a problem with letting her stay here a night, right?\A night?\How about just letting her live here? response:	Nanami-san?!
context: so I know...\I really know how you feel!\Wai Nanami-san?!\A-Anyway, so that's what's going on.\So there shouldn't be a problem with letting her stay here a night, right?\A night?\How about just letting her live here?\Nanami-san?! response:	I mean, I'll be leaving for a pretty long business trip tomorrow.
context: I really know how you feel!\Wai Nanami-san?!\A-Anyway, so that's what's going on.\So there shouldn't be a problem with letting her stay here a night, right?\A night?\How about just letting her live here?\Nanami-san?!\I mean, I'll be leaving for a pretty long business trip tomorrow. response:	Someone'll need to take care of Kai-kun.
context: Wai Nanami-san?!\A-Anyway, so that's what's going on.\So there shouldn't be a problem with letting her stay here a night, right?\A night?\How about just letting her live here?\Nanami-san?!\I mean, I'll be leaving for a pretty long business trip tomorrow.\Someone'll need to take care of Kai-kun. response:	Since she's a senpai from his school, I won't have to worry.
context: A-Anyway, so that's what's going on.\So there shouldn't be a problem with letting her stay here a night, right?\A night?\How about just letting her live here?\Nanami-san?!\I mean, I'll be leaving for a pretty long business trip tomorrow.\Someone'll need to take care of Kai-kun.\Since she's a senpai from his school, I won't have to worry. response:	And since she's a girl, she'll be able to cook and do the laundry.
context: So there shouldn't be a problem with letting her stay here a night, right?\A night?\How about just letting her live here?\Nanami-san?!\I mean, I'll be leaving for a pretty long business trip tomorrow.\Someone'll need to take care of Kai-kun.\Since she's a senpai from his school, I won't have to worry.\And since she's a girl, she'll be able to cook and do the laundry. response:	I-I'll do my best!
context: A night?\How about just letting her live here?\Nanami-san?!\I mean, I'll be leaving for a pretty long business trip tomorrow.\Someone'll need to take care of Kai-kun.\Since she's a senpai from his school, I won't have to worry.\And since she's a girl, she'll be able to cook and do the laundry.\I-I'll do my best! response:	Sounds great.
context: How about just letting her live here?\Nanami-san?!\I mean, I'll be leaving for a pretty long business trip tomorrow.\Someone'll need to take care of Kai-kun.\Since she's a senpai from his school, I won't have to worry.\And since she's a girl, she'll be able to cook and do the laundry.\I-I'll do my best!\Sounds great. response:	Nanami-san, you're being too lax!
context: Nanami-san?!\I mean, I'll be leaving for a pretty long business trip tomorrow.\Someone'll need to take care of Kai-kun.\Since she's a senpai from his school, I won't have to worry.\And since she's a girl, she'll be able to cook and do the laundry.\I-I'll do my best!\Sounds great.\Nanami-san, you're being too lax! response:	You can't let a girl and guy live under the same roof like this!
context: I mean, I'll be leaving for a pretty long business trip tomorrow.\Someone'll need to take care of Kai-kun.\Since she's a senpai from his school, I won't have to worry.\And since she's a girl, she'll be able to cook and do the laundry.\I-I'll do my best!\Sounds great.\Nanami-san, you're being too lax!\You can't let a girl and guy live under the same roof like this! response:	People have to help each other out when they're on hard times.
context: Someone'll need to take care of Kai-kun.\Since she's a senpai from his school, I won't have to worry.\And since she's a girl, she'll be able to cook and do the laundry.\I-I'll do my best!\Sounds great.\Nanami-san, you're being too lax!\You can't let a girl and guy live under the same roof like this!\People have to help each other out when they're on hard times. response:	And Kai-kun is nice,
context: Since she's a senpai from his school, I won't have to worry.\And since she's a girl, she'll be able to cook and do the laundry.\I-I'll do my best!\Sounds great.\Nanami-san, you're being too lax!\You can't let a girl and guy live under the same roof like this!\People have to help each other out when they're on hard times.\And Kai-kun is nice, response:	so he wouldn't try anything funny...
context: And since she's a girl, she'll be able to cook and do the laundry.\I-I'll do my best!\Sounds great.\Nanami-san, you're being too lax!\You can't let a girl and guy live under the same roof like this!\People have to help each other out when they're on hard times.\And Kai-kun is nice,\so he wouldn't try anything funny... response:	He wouldn't, would he?
context: I-I'll do my best!\Sounds great.\Nanami-san, you're being too lax!\You can't let a girl and guy live under the same roof like this!\People have to help each other out when they're on hard times.\And Kai-kun is nice,\so he wouldn't try anything funny...\He wouldn't, would he? response:	O-Of course not.
context: Sounds great.\Nanami-san, you're being too lax!\You can't let a girl and guy live under the same roof like this!\People have to help each other out when they're on hard times.\And Kai-kun is nice,\so he wouldn't try anything funny...\He wouldn't, would he?\O-Of course not. response:	You paused!
