context: TS response:	Even if it's really an aftereffect of Nirvash's weapon,
context: Then this world, inclusive of our memories, is a continuation of the changed past.\There's no way for us to confirm the changes, though.\Ao, what are you doing?\I was wondering, if what you just said\Children don't need to worry about it.\Ao, leave it to us.\The consequences were unexpected,\but you made the right choice when you decided to fire the weapon. response:	Weapon...
context: There's no way for us to confirm the changes, though.\Ao, what are you doing?\I was wondering, if what you just said\Children don't need to worry about it.\Ao, leave it to us.\The consequences were unexpected,\but you made the right choice when you decided to fire the weapon.\Weapon... response:	Also...
context: Ao, what are you doing?\I was wondering, if what you just said\Children don't need to worry about it.\Ao, leave it to us.\The consequences were unexpected,\but you made the right choice when you decided to fire the weapon.\Weapon...\Also... response:	Have you gotten the list of staff who showed abnormalities in the health checkup yesterday?
context: I was wondering, if what you just said\Children don't need to worry about it.\Ao, leave it to us.\The consequences were unexpected,\but you made the right choice when you decided to fire the weapon.\Weapon...\Also...\Have you gotten the list of staff who showed abnormalities in the health checkup yesterday? response:	According to Hannah Mama: despite the rise in white blood cell count,
context: Children don't need to worry about it.\Ao, leave it to us.\The consequences were unexpected,\but you made the right choice when you decided to fire the weapon.\Weapon...\Also...\Have you gotten the list of staff who showed abnormalities in the health checkup yesterday?\According to Hannah Mama: despite the rise in white blood cell count, response:	their composition is different.
context: Ao, leave it to us.\The consequences were unexpected,\but you made the right choice when you decided to fire the weapon.\Weapon...\Also...\Have you gotten the list of staff who showed abnormalities in the health checkup yesterday?\According to Hannah Mama: despite the rise in white blood cell count,\their composition is different. response:	Also, by looking at the x-ray results,
context: The consequences were unexpected,\but you made the right choice when you decided to fire the weapon.\Weapon...\Also...\Have you gotten the list of staff who showed abnormalities in the health checkup yesterday?\According to Hannah Mama: despite the rise in white blood cell count,\their composition is different.\Also, by looking at the x-ray results, response:	you can see a material identical to that of the Scub Coral.
context: but you made the right choice when you decided to fire the weapon.\Weapon...\Also...\Have you gotten the list of staff who showed abnormalities in the health checkup yesterday?\According to Hannah Mama: despite the rise in white blood cell count,\their composition is different.\Also, by looking at the x-ray results,\you can see a material identical to that of the Scub Coral. response:	The allergic reaction to trapar is a condition that has been known for decades.
context: Weapon...\Also...\Have you gotten the list of staff who showed abnormalities in the health checkup yesterday?\According to Hannah Mama: despite the rise in white blood cell count,\their composition is different.\Also, by looking at the x-ray results,\you can see a material identical to that of the Scub Coral.\The allergic reaction to trapar is a condition that has been known for decades. response:	This is an entirely different matter.
context: Also...\Have you gotten the list of staff who showed abnormalities in the health checkup yesterday?\According to Hannah Mama: despite the rise in white blood cell count,\their composition is different.\Also, by looking at the x-ray results,\you can see a material identical to that of the Scub Coral.\The allergic reaction to trapar is a condition that has been known for decades.\This is an entirely different matter. response:	Not to mention similar cases have been reported around the globe since yesterday's Secret emergence.
context: Have you gotten the list of staff who showed abnormalities in the health checkup yesterday?\According to Hannah Mama: despite the rise in white blood cell count,\their composition is different.\Also, by looking at the x-ray results,\you can see a material identical to that of the Scub Coral.\The allergic reaction to trapar is a condition that has been known for decades.\This is an entirely different matter.\Not to mention similar cases have been reported around the globe since yesterday's Secret emergence. response:	I get it. I'll ask the American government and the WHO for their opinions first.
context: According to Hannah Mama: despite the rise in white blood cell count,\their composition is different.\Also, by looking at the x-ray results,\you can see a material identical to that of the Scub Coral.\The allergic reaction to trapar is a condition that has been known for decades.\This is an entirely different matter.\Not to mention similar cases have been reported around the globe since yesterday's Secret emergence.\I get it. I'll ask the American government and the WHO for their opinions first. response:	Is that good enough for you?
context: their composition is different.\Also, by looking at the x-ray results,\you can see a material identical to that of the Scub Coral.\The allergic reaction to trapar is a condition that has been known for decades.\This is an entirely different matter.\Not to mention similar cases have been reported around the globe since yesterday's Secret emergence.\I get it. I'll ask the American government and the WHO for their opinions first.\Is that good enough for you? response:	I think the first case of this condition was diagnosed in a girl from Iwato island, Okinawa.
context: Also, by looking at the x-ray results,\you can see a material identical to that of the Scub Coral.\The allergic reaction to trapar is a condition that has been known for decades.\This is an entirely different matter.\Not to mention similar cases have been reported around the globe since yesterday's Secret emergence.\I get it. I'll ask the American government and the WHO for their opinions first.\Is that good enough for you?\I think the first case of this condition was diagnosed in a girl from Iwato island, Okinawa. response:	Her, huh?
context: you can see a material identical to that of the Scub Coral.\The allergic reaction to trapar is a condition that has been known for decades.\This is an entirely different matter.\Not to mention similar cases have been reported around the globe since yesterday's Secret emergence.\I get it. I'll ask the American government and the WHO for their opinions first.\Is that good enough for you?\I think the first case of this condition was diagnosed in a girl from Iwato island, Okinawa.\Her, huh? response:	The Scub Coral is the enemy of mankind and the Earth!
context: The allergic reaction to trapar is a condition that has been known for decades.\This is an entirely different matter.\Not to mention similar cases have been reported around the globe since yesterday's Secret emergence.\I get it. I'll ask the American government and the WHO for their opinions first.\Is that good enough for you?\I think the first case of this condition was diagnosed in a girl from Iwato island, Okinawa.\Her, huh?\The Scub Coral is the enemy of mankind and the Earth! response:	Trapar's harmful to our body and it will cause the downfall of mankind!
context: This is an entirely different matter.\Not to mention similar cases have been reported around the globe since yesterday's Secret emergence.\I get it. I'll ask the American government and the WHO for their opinions first.\Is that good enough for you?\I think the first case of this condition was diagnosed in a girl from Iwato island, Okinawa.\Her, huh?\The Scub Coral is the enemy of mankind and the Earth!\Trapar's harmful to our body and it will cause the downfall of mankind! response:	There's been a lot more of these protests lately.
context: Not to mention similar cases have been reported around the globe since yesterday's Secret emergence.\I get it. I'll ask the American government and the WHO for their opinions first.\Is that good enough for you?\I think the first case of this condition was diagnosed in a girl from Iwato island, Okinawa.\Her, huh?\The Scub Coral is the enemy of mankind and the Earth!\Trapar's harmful to our body and it will cause the downfall of mankind!\There's been a lot more of these protests lately. response:	They aren't Okinawans.
context: I get it. I'll ask the American government and the WHO for their opinions first.\Is that good enough for you?\I think the first case of this condition was diagnosed in a girl from Iwato island, Okinawa.\Her, huh?\The Scub Coral is the enemy of mankind and the Earth!\Trapar's harmful to our body and it will cause the downfall of mankind!\There's been a lot more of these protests lately.\They aren't Okinawans. response:	Huh? Aren't they protesting for the control of the trapar?
context: Is that good enough for you?\I think the first case of this condition was diagnosed in a girl from Iwato island, Okinawa.\Her, huh?\The Scub Coral is the enemy of mankind and the Earth!\Trapar's harmful to our body and it will cause the downfall of mankind!\There's been a lot more of these protests lately.\They aren't Okinawans.\Huh? Aren't they protesting for the control of the trapar? response:	They claim that the G-Monsters are Gods who will save the world.
context: I think the first case of this condition was diagnosed in a girl from Iwato island, Okinawa.\Her, huh?\The Scub Coral is the enemy of mankind and the Earth!\Trapar's harmful to our body and it will cause the downfall of mankind!\There's been a lot more of these protests lately.\They aren't Okinawans.\Huh? Aren't they protesting for the control of the trapar?\They claim that the G-Monsters are Gods who will save the world. response:	And that the Scub Coral is the root of all evil.
context: Her, huh?\The Scub Coral is the enemy of mankind and the Earth!\Trapar's harmful to our body and it will cause the downfall of mankind!\There's been a lot more of these protests lately.\They aren't Okinawans.\Huh? Aren't they protesting for the control of the trapar?\They claim that the G-Monsters are Gods who will save the world.\And that the Scub Coral is the root of all evil. response:	G-Monsters as Gods?
context: The Scub Coral is the enemy of mankind and the Earth!\Trapar's harmful to our body and it will cause the downfall of mankind!\There's been a lot more of these protests lately.\They aren't Okinawans.\Huh? Aren't they protesting for the control of the trapar?\They claim that the G-Monsters are Gods who will save the world.\And that the Scub Coral is the root of all evil.\G-Monsters as Gods? response:	Trapar and plant corals don't belong in this world!
context: Trapar's harmful to our body and it will cause the downfall of mankind!\There's been a lot more of these protests lately.\They aren't Okinawans.\Huh? Aren't they protesting for the control of the trapar?\They claim that the G-Monsters are Gods who will save the world.\And that the Scub Coral is the root of all evil.\G-Monsters as Gods?\Trapar and plant corals don't belong in this world! response:	Johansson said so as well!
context: There's been a lot more of these protests lately.\They aren't Okinawans.\Huh? Aren't they protesting for the control of the trapar?\They claim that the G-Monsters are Gods who will save the world.\And that the Scub Coral is the root of all evil.\G-Monsters as Gods?\Trapar and plant corals don't belong in this world!\Johansson said so as well! response:	Calm down! It's just smoke!
context: They aren't Okinawans.\Huh? Aren't they protesting for the control of the trapar?\They claim that the G-Monsters are Gods who will save the world.\And that the Scub Coral is the root of all evil.\G-Monsters as Gods?\Trapar and plant corals don't belong in this world!\Johansson said so as well!\Calm down! It's just smoke! response:	They're just trying to scare us!
context: Huh? Aren't they protesting for the control of the trapar?\They claim that the G-Monsters are Gods who will save the world.\And that the Scub Coral is the root of all evil.\G-Monsters as Gods?\Trapar and plant corals don't belong in this world!\Johansson said so as well!\Calm down! It's just smoke!\They're just trying to scare us! response:	Those bastards! They killed him!
context: They claim that the G-Monsters are Gods who will save the world.\And that the Scub Coral is the root of all evil.\G-Monsters as Gods?\Trapar and plant corals don't belong in this world!\Johansson said so as well!\Calm down! It's just smoke!\They're just trying to scare us!\Those bastards! They killed him! response:	Johansson my ass!
context: And that the Scub Coral is the root of all evil.\G-Monsters as Gods?\Trapar and plant corals don't belong in this world!\Johansson said so as well!\Calm down! It's just smoke!\They're just trying to scare us!\Those bastards! They killed him!\Johansson my ass! response:	Find out where those environmentalists are from!
context: G-Monsters as Gods?\Trapar and plant corals don't belong in this world!\Johansson said so as well!\Calm down! It's just smoke!\They're just trying to scare us!\Those bastards! They killed him!\Johansson my ass!\Find out where those environmentalists are from! response:	What the
context: Trapar and plant corals don't belong in this world!\Johansson said so as well!\Calm down! It's just smoke!\They're just trying to scare us!\Those bastards! They killed him!\Johansson my ass!\Find out where those environmentalists are from!\What the response:	You're...
context: Johansson said so as well!\Calm down! It's just smoke!\They're just trying to scare us!\Those bastards! They killed him!\Johansson my ass!\Find out where those environmentalists are from!\What the\You're... response:	He's alive!
context: Calm down! It's just smoke!\They're just trying to scare us!\Those bastards! They killed him!\Johansson my ass!\Find out where those environmentalists are from!\What the\You're...\He's alive! response:	We've met before...
context: They're just trying to scare us!\Those bastards! They killed him!\Johansson my ass!\Find out where those environmentalists are from!\What the\You're...\He's alive!\We've met before... response:	You're Ao's girlfriend, right?
context: Those bastards! They killed him!\Johansson my ass!\Find out where those environmentalists are from!\What the\You're...\He's alive!\We've met before...\You're Ao's girlfriend, right? response:	Where's the injured person?
context: Johansson my ass!\Find out where those environmentalists are from!\What the\You're...\He's alive!\We've met before...\You're Ao's girlfriend, right?\Where's the injured person? response:	Why is a child here?
context: Find out where those environmentalists are from!\What the\You're...\He's alive!\We've met before...\You're Ao's girlfriend, right?\Where's the injured person?\Why is a child here? response:	She's that terrorist!
context: What the\You're...\He's alive!\We've met before...\You're Ao's girlfriend, right?\Where's the injured person?\Why is a child here?\She's that terrorist! response:	What?
context: You're...\He's alive!\We've met before...\You're Ao's girlfriend, right?\Where's the injured person?\Why is a child here?\She's that terrorist!\What? response:	Stop!
context: He's alive!\We've met before...\You're Ao's girlfriend, right?\Where's the injured person?\Why is a child here?\She's that terrorist!\What?\Stop! response:	Step away.
context: We've met before...\You're Ao's girlfriend, right?\Where's the injured person?\Why is a child here?\She's that terrorist!\What?\Stop!\Step away. response:	It's dangerous.
context: You're Ao's girlfriend, right?\Where's the injured person?\Why is a child here?\She's that terrorist!\What?\Stop!\Step away.\It's dangerous. response:	Hey...
context: Where's the injured person?\Why is a child here?\She's that terrorist!\What?\Stop!\Step away.\It's dangerous.\Hey... response:	What are you doing?
context: Why is a child here?\She's that terrorist!\What?\Stop!\Step away.\It's dangerous.\Hey...\What are you doing? response:	Can't you hear the Scub Coral's voice?
context: She's that terrorist!\What?\Stop!\Step away.\It's dangerous.\Hey...\What are you doing?\Can't you hear the Scub Coral's voice? response:	The trapar doesn't belong to anyone.
context: What?\Stop!\Step away.\It's dangerous.\Hey...\What are you doing?\Can't you hear the Scub Coral's voice?\The trapar doesn't belong to anyone. response:	It's the Scub Coral's.
context: Stop!\Step away.\It's dangerous.\Hey...\What are you doing?\Can't you hear the Scub Coral's voice?\The trapar doesn't belong to anyone.\It's the Scub Coral's. response:	Look this way! I'm testing the camera!
context: Step away.\It's dangerous.\Hey...\What are you doing?\Can't you hear the Scub Coral's voice?\The trapar doesn't belong to anyone.\It's the Scub Coral's.\Look this way! I'm testing the camera! response:	Nice! Fleur, smile!
context: It's dangerous.\Hey...\What are you doing?\Can't you hear the Scub Coral's voice?\The trapar doesn't belong to anyone.\It's the Scub Coral's.\Look this way! I'm testing the camera!\Nice! Fleur, smile! response:	You girls really are the best! So cute!
context: Hey...\What are you doing?\Can't you hear the Scub Coral's voice?\The trapar doesn't belong to anyone.\It's the Scub Coral's.\Look this way! I'm testing the camera!\Nice! Fleur, smile!\You girls really are the best! So cute! response:	You girls are clearly better than your anime counterparts!
context: What are you doing?\Can't you hear the Scub Coral's voice?\The trapar doesn't belong to anyone.\It's the Scub Coral's.\Look this way! I'm testing the camera!\Nice! Fleur, smile!\You girls really are the best! So cute!\You girls are clearly better than your anime counterparts! response:	Please stop!
context: Can't you hear the Scub Coral's voice?\The trapar doesn't belong to anyone.\It's the Scub Coral's.\Look this way! I'm testing the camera!\Nice! Fleur, smile!\You girls really are the best! So cute!\You girls are clearly better than your anime counterparts!\Please stop! response:	Guys don't care about 3DPD like us.
context: The trapar doesn't belong to anyone.\It's the Scub Coral's.\Look this way! I'm testing the camera!\Nice! Fleur, smile!\You girls really are the best! So cute!\You girls are clearly better than your anime counterparts!\Please stop!\Guys don't care about 3DPD like us. response:	They prefer what Kanzaki draws over us.
context: It's the Scub Coral's.\Look this way! I'm testing the camera!\Nice! Fleur, smile!\You girls really are the best! So cute!\You girls are clearly better than your anime counterparts!\Please stop!\Guys don't care about 3DPD like us.\They prefer what Kanzaki draws over us. response:	You two are special!
context: Look this way! I'm testing the camera!\Nice! Fleur, smile!\You girls really are the best! So cute!\You girls are clearly better than your anime counterparts!\Please stop!\Guys don't care about 3DPD like us.\They prefer what Kanzaki draws over us.\You two are special! response:	Yeah! You're not merely models for PiedPi, you knocked it to the top of popularity charts!
context: Nice! Fleur, smile!\You girls really are the best! So cute!\You girls are clearly better than your anime counterparts!\Please stop!\Guys don't care about 3DPD like us.\They prefer what Kanzaki draws over us.\You two are special!\Yeah! You're not merely models for PiedPi, you knocked it to the top of popularity charts! response:	You two are the real knockers!
context: You girls really are the best! So cute!\You girls are clearly better than your anime counterparts!\Please stop!\Guys don't care about 3DPD like us.\They prefer what Kanzaki draws over us.\You two are special!\Yeah! You're not merely models for PiedPi, you knocked it to the top of popularity charts!\You two are the real knockers! response:	Please stop with the boob jokes.
context: You girls are clearly better than your anime counterparts!\Please stop!\Guys don't care about 3DPD like us.\They prefer what Kanzaki draws over us.\You two are special!\Yeah! You're not merely models for PiedPi, you knocked it to the top of popularity charts!\You two are the real knockers!\Please stop with the boob jokes. response:	People say we might get cancelled, but until autumn we should work
context: Please stop!\Guys don't care about 3DPD like us.\They prefer what Kanzaki draws over us.\You two are special!\Yeah! You're not merely models for PiedPi, you knocked it to the top of popularity charts!\You two are the real knockers!\Please stop with the boob jokes.\People say we might get cancelled, but until autumn we should work response:	Cancelled? You mean our show is getting cut?
context: Guys don't care about 3DPD like us.\They prefer what Kanzaki draws over us.\You two are special!\Yeah! You're not merely models for PiedPi, you knocked it to the top of popularity charts!\You two are the real knockers!\Please stop with the boob jokes.\People say we might get cancelled, but until autumn we should work\Cancelled? You mean our show is getting cut? response:	We're still getting the highest amount of downloads, though.
context: They prefer what Kanzaki draws over us.\You two are special!\Yeah! You're not merely models for PiedPi, you knocked it to the top of popularity charts!\You two are the real knockers!\Please stop with the boob jokes.\People say we might get cancelled, but until autumn we should work\Cancelled? You mean our show is getting cut?\We're still getting the highest amount of downloads, though. response:	You check that stuff?!
context: You two are special!\Yeah! You're not merely models for PiedPi, you knocked it to the top of popularity charts!\You two are the real knockers!\Please stop with the boob jokes.\People say we might get cancelled, but until autumn we should work\Cancelled? You mean our show is getting cut?\We're still getting the highest amount of downloads, though.\You check that stuff?! response:	It's just a rumor! They say our sponsors are getting pressured...
context: Yeah! You're not merely models for PiedPi, you knocked it to the top of popularity charts!\You two are the real knockers!\Please stop with the boob jokes.\People say we might get cancelled, but until autumn we should work\Cancelled? You mean our show is getting cut?\We're still getting the highest amount of downloads, though.\You check that stuff?!\It's just a rumor! They say our sponsors are getting pressured... response:	Getting pressured?
context: You two are the real knockers!\Please stop with the boob jokes.\People say we might get cancelled, but until autumn we should work\Cancelled? You mean our show is getting cut?\We're still getting the highest amount of downloads, though.\You check that stuff?!\It's just a rumor! They say our sponsors are getting pressured...\Getting pressured? response:	You know, because GenBlu kept the Quartz a secret,
context: Please stop with the boob jokes.\People say we might get cancelled, but until autumn we should work\Cancelled? You mean our show is getting cut?\We're still getting the highest amount of downloads, though.\You check that stuff?!\It's just a rumor! They say our sponsors are getting pressured...\Getting pressured?\You know, because GenBlu kept the Quartz a secret, response:	people are saying PiedPi is just propaganda for a terrorist organization.
context: People say we might get cancelled, but until autumn we should work\Cancelled? You mean our show is getting cut?\We're still getting the highest amount of downloads, though.\You check that stuff?!\It's just a rumor! They say our sponsors are getting pressured...\Getting pressured?\You know, because GenBlu kept the Quartz a secret,\people are saying PiedPi is just propaganda for a terrorist organization. response:	So you think what the Secret said is right?
context: Cancelled? You mean our show is getting cut?\We're still getting the highest amount of downloads, though.\You check that stuff?!\It's just a rumor! They say our sponsors are getting pressured...\Getting pressured?\You know, because GenBlu kept the Quartz a secret,\people are saying PiedPi is just propaganda for a terrorist organization.\So you think what the Secret said is right? response:	Look at yourself.
context: We're still getting the highest amount of downloads, though.\You check that stuff?!\It's just a rumor! They say our sponsors are getting pressured...\Getting pressured?\You know, because GenBlu kept the Quartz a secret,\people are saying PiedPi is just propaganda for a terrorist organization.\So you think what the Secret said is right?\Look at yourself. response:	You seem down for someone who just saved the world, kiddo.
context: You check that stuff?!\It's just a rumor! They say our sponsors are getting pressured...\Getting pressured?\You know, because GenBlu kept the Quartz a secret,\people are saying PiedPi is just propaganda for a terrorist organization.\So you think what the Secret said is right?\Look at yourself.\You seem down for someone who just saved the world, kiddo. response:	I'm not a kid.
context: It's just a rumor! They say our sponsors are getting pressured...\Getting pressured?\You know, because GenBlu kept the Quartz a secret,\people are saying PiedPi is just propaganda for a terrorist organization.\So you think what the Secret said is right?\Look at yourself.\You seem down for someone who just saved the world, kiddo.\I'm not a kid. response:	Oh yes you are.
context: Getting pressured?\You know, because GenBlu kept the Quartz a secret,\people are saying PiedPi is just propaganda for a terrorist organization.\So you think what the Secret said is right?\Look at yourself.\You seem down for someone who just saved the world, kiddo.\I'm not a kid.\Oh yes you are. response:	No matter how many times you ask,
context: You know, because GenBlu kept the Quartz a secret,\people are saying PiedPi is just propaganda for a terrorist organization.\So you think what the Secret said is right?\Look at yourself.\You seem down for someone who just saved the world, kiddo.\I'm not a kid.\Oh yes you are.\No matter how many times you ask, response:	the only IFO teams are the Pied Piper and the Harlequin.
context: people are saying PiedPi is just propaganda for a terrorist organization.\So you think what the Secret said is right?\Look at yourself.\You seem down for someone who just saved the world, kiddo.\I'm not a kid.\Oh yes you are.\No matter how many times you ask,\the only IFO teams are the Pied Piper and the Harlequin. response:	I've never heard about Goldi-whatever.
context: So you think what the Secret said is right?\Look at yourself.\You seem down for someone who just saved the world, kiddo.\I'm not a kid.\Oh yes you are.\No matter how many times you ask,\the only IFO teams are the Pied Piper and the Harlequin.\I've never heard about Goldi-whatever. response:	I erased them.
context: Look at yourself.\You seem down for someone who just saved the world, kiddo.\I'm not a kid.\Oh yes you are.\No matter how many times you ask,\the only IFO teams are the Pied Piper and the Harlequin.\I've never heard about Goldi-whatever.\I erased them. response:	Huh?
context: You seem down for someone who just saved the world, kiddo.\I'm not a kid.\Oh yes you are.\No matter how many times you ask,\the only IFO teams are the Pied Piper and the Harlequin.\I've never heard about Goldi-whatever.\I erased them.\Huh? response:	That weapon erased the Coral in Norway as if it's never existed.
context: I'm not a kid.\Oh yes you are.\No matter how many times you ask,\the only IFO teams are the Pied Piper and the Harlequin.\I've never heard about Goldi-whatever.\I erased them.\Huh?\That weapon erased the Coral in Norway as if it's never existed. response:	For the same reason, those girls have never been born...
context: Oh yes you are.\No matter how many times you ask,\the only IFO teams are the Pied Piper and the Harlequin.\I've never heard about Goldi-whatever.\I erased them.\Huh?\That weapon erased the Coral in Norway as if it's never existed.\For the same reason, those girls have never been born... response:	Cut the crap out! You've been weird lately!
context: No matter how many times you ask,\the only IFO teams are the Pied Piper and the Harlequin.\I've never heard about Goldi-whatever.\I erased them.\Huh?\That weapon erased the Coral in Norway as if it's never existed.\For the same reason, those girls have never been born...\Cut the crap out! You've been weird lately! response:	That sounds like what this book says.
context: the only IFO teams are the Pied Piper and the Harlequin.\I've never heard about Goldi-whatever.\I erased them.\Huh?\That weapon erased the Coral in Norway as if it's never existed.\For the same reason, those girls have never been born...\Cut the crap out! You've been weird lately!\That sounds like what this book says. response:	The one you got from Japan...
context: I've never heard about Goldi-whatever.\I erased them.\Huh?\That weapon erased the Coral in Norway as if it's never existed.\For the same reason, those girls have never been born...\Cut the crap out! You've been weird lately!\That sounds like what this book says.\The one you got from Japan... response:	A world without Scub Coral and Secrets.
context: I erased them.\Huh?\That weapon erased the Coral in Norway as if it's never existed.\For the same reason, those girls have never been born...\Cut the crap out! You've been weird lately!\That sounds like what this book says.\The one you got from Japan...\A world without Scub Coral and Secrets. response:	Our country believes that it might be more than just a dream.
context: Huh?\That weapon erased the Coral in Norway as if it's never existed.\For the same reason, those girls have never been born...\Cut the crap out! You've been weird lately!\That sounds like what this book says.\The one you got from Japan...\A world without Scub Coral and Secrets.\Our country believes that it might be more than just a dream. response:	Isn't this Johansson dude some shady prophet?
context: That weapon erased the Coral in Norway as if it's never existed.\For the same reason, those girls have never been born...\Cut the crap out! You've been weird lately!\That sounds like what this book says.\The one you got from Japan...\A world without Scub Coral and Secrets.\Our country believes that it might be more than just a dream.\Isn't this Johansson dude some shady prophet? response:	He says that the Scub Coral and the Secrets are twisting our world...
context: For the same reason, those girls have never been born...\Cut the crap out! You've been weird lately!\That sounds like what this book says.\The one you got from Japan...\A world without Scub Coral and Secrets.\Our country believes that it might be more than just a dream.\Isn't this Johansson dude some shady prophet?\He says that the Scub Coral and the Secrets are twisting our world... response:	or I should say, our history.
context: Cut the crap out! You've been weird lately!\That sounds like what this book says.\The one you got from Japan...\A world without Scub Coral and Secrets.\Our country believes that it might be more than just a dream.\Isn't this Johansson dude some shady prophet?\He says that the Scub Coral and the Secrets are twisting our world...\or I should say, our history. response:	The conspiracy theory is that governments know about it too.
