context: Seriously, I was about to lose it. response:	Who would ruin a school trip like that?
context: Jeez...\Sorry.\Middle School Dating\Things you shouldn't do in a relationship\Dating is so hard.\Oh, stop it.\Goodnight.\Nee-chan. response:	What are you supposed to do when you're dating?
context: Sorry.\Middle School Dating\Things you shouldn't do in a relationship\Dating is so hard.\Oh, stop it.\Goodnight.\Nee-chan.\What are you supposed to do when you're dating? response:	What?
context: Middle School Dating\Things you shouldn't do in a relationship\Dating is so hard.\Oh, stop it.\Goodnight.\Nee-chan.\What are you supposed to do when you're dating?\What? response:	You got a boyfriend, huh?
context: Things you shouldn't do in a relationship\Dating is so hard.\Oh, stop it.\Goodnight.\Nee-chan.\What are you supposed to do when you're dating?\What?\You got a boyfriend, huh? response:	Good for you!
context: Dating is so hard.\Oh, stop it.\Goodnight.\Nee-chan.\What are you supposed to do when you're dating?\What?\You got a boyfriend, huh?\Good for you! response:	D-Don't tell Mom yet.
context: Oh, stop it.\Goodnight.\Nee-chan.\What are you supposed to do when you're dating?\What?\You got a boyfriend, huh?\Good for you!\D-Don't tell Mom yet. response:	I know.
context: Goodnight.\Nee-chan.\What are you supposed to do when you're dating?\What?\You got a boyfriend, huh?\Good for you!\D-Don't tell Mom yet.\I know. response:	Middle schoolers go on dates, walk home together,
context: Nee-chan.\What are you supposed to do when you're dating?\What?\You got a boyfriend, huh?\Good for you!\D-Don't tell Mom yet.\I know.\Middle schoolers go on dates, walk home together, response:	hang out at each other's homes...
context: What are you supposed to do when you're dating?\What?\You got a boyfriend, huh?\Good for you!\D-Don't tell Mom yet.\I know.\Middle schoolers go on dates, walk home together,\hang out at each other's homes... response:	At home?
context: What?\You got a boyfriend, huh?\Good for you!\D-Don't tell Mom yet.\I know.\Middle schoolers go on dates, walk home together,\hang out at each other's homes...\At home? response:	Why not bring him over?
context: You got a boyfriend, huh?\Good for you!\D-Don't tell Mom yet.\I know.\Middle schoolers go on dates, walk home together,\hang out at each other's homes...\At home?\Why not bring him over? response:	N-No way.
context: Good for you!\D-Don't tell Mom yet.\I know.\Middle schoolers go on dates, walk home together,\hang out at each other's homes...\At home?\Why not bring him over?\N-No way. response:	Yahho! Answers
context: D-Don't tell Mom yet.\I know.\Middle schoolers go on dates, walk home together,\hang out at each other's homes...\At home?\Why not bring him over?\N-No way.\Yahho! Answers response:	Question I'm in middle school. How can I spend time alone with my girlfriend at school?
context: I know.\Middle schoolers go on dates, walk home together,\hang out at each other's homes...\At home?\Why not bring him over?\N-No way.\Yahho! Answers\Question I'm in middle school. How can I spend time alone with my girlfriend at school? response:	Best Answer
context: Middle schoolers go on dates, walk home together,\hang out at each other's homes...\At home?\Why not bring him over?\N-No way.\Yahho! Answers\Question I'm in middle school. How can I spend time alone with my girlfriend at school?\Best Answer response:	Master of Love
context: hang out at each other's homes...\At home?\Why not bring him over?\N-No way.\Yahho! Answers\Question I'm in middle school. How can I spend time alone with my girlfriend at school?\Best Answer\Master of Love response:	I used to meet mine in the library. There was no one there. It was awesome.
context: At home?\Why not bring him over?\N-No way.\Yahho! Answers\Question I'm in middle school. How can I spend time alone with my girlfriend at school?\Best Answer\Master of Love\I used to meet mine in the library. There was no one there. It was awesome. response:	I'm coming in.
context: Why not bring him over?\N-No way.\Yahho! Answers\Question I'm in middle school. How can I spend time alone with my girlfriend at school?\Best Answer\Master of Love\I used to meet mine in the library. There was no one there. It was awesome.\I'm coming in. response:	You'd better study.
context: N-No way.\Yahho! Answers\Question I'm in middle school. How can I spend time alone with my girlfriend at school?\Best Answer\Master of Love\I used to meet mine in the library. There was no one there. It was awesome.\I'm coming in.\You'd better study. response:	I know.
context: Yahho! Answers\Question I'm in middle school. How can I spend time alone with my girlfriend at school?\Best Answer\Master of Love\I used to meet mine in the library. There was no one there. It was awesome.\I'm coming in.\You'd better study.\I know. response:	You're banned from the festival and your writing if you do poorly on your finals.
context: Question I'm in middle school. How can I spend time alone with my girlfriend at school?\Best Answer\Master of Love\I used to meet mine in the library. There was no one there. It was awesome.\I'm coming in.\You'd better study.\I know.\You're banned from the festival and your writing if you do poorly on your finals. response:	Understand?
context: Best Answer\Master of Love\I used to meet mine in the library. There was no one there. It was awesome.\I'm coming in.\You'd better study.\I know.\You're banned from the festival and your writing if you do poorly on your finals.\Understand? response:	Goodnight
context: Master of Love\I used to meet mine in the library. There was no one there. It was awesome.\I'm coming in.\You'd better study.\I know.\You're banned from the festival and your writing if you do poorly on your finals.\Understand?\Goodnight response:	Goodnight
context: I used to meet mine in the library. There was no one there. It was awesome.\I'm coming in.\You'd better study.\I know.\You're banned from the festival and your writing if you do poorly on your finals.\Understand?\Goodnight\Goodnight response:	Are you asleep already?
context: I'm coming in.\You'd better study.\I know.\You're banned from the festival and your writing if you do poorly on your finals.\Understand?\Goodnight\Goodnight\Are you asleep already? response:	No, I'm good
context: You'd better study.\I know.\You're banned from the festival and your writing if you do poorly on your finals.\Understand?\Goodnight\Goodnight\Are you asleep already?\No, I'm good response:	We didn't get to talk today again
context: I know.\You're banned from the festival and your writing if you do poorly on your finals.\Understand?\Goodnight\Goodnight\Are you asleep already?\No, I'm good\We didn't get to talk today again response:	Keep it cool. Keep it cool.
context: You're banned from the festival and your writing if you do poorly on your finals.\Understand?\Goodnight\Goodnight\Are you asleep already?\No, I'm good\We didn't get to talk today again\Keep it cool. Keep it cool. response:	But I'm just happy I get to see you at school
context: Understand?\Goodnight\Goodnight\Are you asleep already?\No, I'm good\We didn't get to talk today again\Keep it cool. Keep it cool.\But I'm just happy I get to see you at school response:	But I'm just happy I get to see you at school
context: Goodnight\Goodnight\Are you asleep already?\No, I'm good\We didn't get to talk today again\Keep it cool. Keep it cool.\But I'm just happy I get to see you at school\But I'm just happy I get to see you at school response:	Me too
context: Goodnight\Are you asleep already?\No, I'm good\We didn't get to talk today again\Keep it cool. Keep it cool.\But I'm just happy I get to see you at school\But I'm just happy I get to see you at school\Me too response:	I'm going to the library during lunch break tomorrow
context: Are you asleep already?\No, I'm good\We didn't get to talk today again\Keep it cool. Keep it cool.\But I'm just happy I get to see you at school\But I'm just happy I get to see you at school\Me too\I'm going to the library during lunch break tomorrow response:	I'll go with you!
context: No, I'm good\We didn't get to talk today again\Keep it cool. Keep it cool.\But I'm just happy I get to see you at school\But I'm just happy I get to see you at school\Me too\I'm going to the library during lunch break tomorrow\I'll go with you! response:	I'm all sweaty.
context: We didn't get to talk today again\Keep it cool. Keep it cool.\But I'm just happy I get to see you at school\But I'm just happy I get to see you at school\Me too\I'm going to the library during lunch break tomorrow\I'll go with you!\I'm all sweaty. response:	Let's eat outside.
context: Keep it cool. Keep it cool.\But I'm just happy I get to see you at school\But I'm just happy I get to see you at school\Me too\I'm going to the library during lunch break tomorrow\I'll go with you!\I'm all sweaty.\Let's eat outside. response:	Kota, what about lunch?
context: But I'm just happy I get to see you at school\But I'm just happy I get to see you at school\Me too\I'm going to the library during lunch break tomorrow\I'll go with you!\I'm all sweaty.\Let's eat outside.\Kota, what about lunch? response:	Sorry.
context: But I'm just happy I get to see you at school\Me too\I'm going to the library during lunch break tomorrow\I'll go with you!\I'm all sweaty.\Let's eat outside.\Kota, what about lunch?\Sorry. response:	I'm starving.
context: Me too\I'm going to the library during lunch break tomorrow\I'll go with you!\I'm all sweaty.\Let's eat outside.\Kota, what about lunch?\Sorry.\I'm starving. response:	I almost forgot to bring my lunch today.
context: I'm going to the library during lunch break tomorrow\I'll go with you!\I'm all sweaty.\Let's eat outside.\Kota, what about lunch?\Sorry.\I'm starving.\I almost forgot to bring my lunch today. response:	Wow, that's bad.
context: I'll go with you!\I'm all sweaty.\Let's eat outside.\Kota, what about lunch?\Sorry.\I'm starving.\I almost forgot to bring my lunch today.\Wow, that's bad. response:	I know.
context: I'm all sweaty.\Let's eat outside.\Kota, what about lunch?\Sorry.\I'm starving.\I almost forgot to bring my lunch today.\Wow, that's bad.\I know. response:	I was freaking out.
context: Let's eat outside.\Kota, what about lunch?\Sorry.\I'm starving.\I almost forgot to bring my lunch today.\Wow, that's bad.\I know.\I was freaking out. response:	What the?
context: Kota, what about lunch?\Sorry.\I'm starving.\I almost forgot to bring my lunch today.\Wow, that's bad.\I know.\I was freaking out.\What the? response:	Restroom, probably.
context: Sorry.\I'm starving.\I almost forgot to bring my lunch today.\Wow, that's bad.\I know.\I was freaking out.\What the?\Restroom, probably. response:	Dude, Daichi, you eat too much.
context: I'm starving.\I almost forgot to bring my lunch today.\Wow, that's bad.\I know.\I was freaking out.\What the?\Restroom, probably.\Dude, Daichi, you eat too much. response:	I ran back home so fast.
context: I almost forgot to bring my lunch today.\Wow, that's bad.\I know.\I was freaking out.\What the?\Restroom, probably.\Dude, Daichi, you eat too much.\I ran back home so fast. response:	No, I don't.
context: Wow, that's bad.\I know.\I was freaking out.\What the?\Restroom, probably.\Dude, Daichi, you eat too much.\I ran back home so fast.\No, I don't. response:	It was scary.
context: I know.\I was freaking out.\What the?\Restroom, probably.\Dude, Daichi, you eat too much.\I ran back home so fast.\No, I don't.\It was scary. response:	Akanecchi, let's eat.
context: I was freaking out.\What the?\Restroom, probably.\Dude, Daichi, you eat too much.\I ran back home so fast.\No, I don't.\It was scary.\Akanecchi, let's eat. response:	Fatty.
context: What the?\Restroom, probably.\Dude, Daichi, you eat too much.\I ran back home so fast.\No, I don't.\It was scary.\Akanecchi, let's eat.\Fatty. response:	I'm not fat! This is muscle!
context: Restroom, probably.\Dude, Daichi, you eat too much.\I ran back home so fast.\No, I don't.\It was scary.\Akanecchi, let's eat.\Fatty.\I'm not fat! This is muscle! response:	Fatty.
context: Dude, Daichi, you eat too much.\I ran back home so fast.\No, I don't.\It was scary.\Akanecchi, let's eat.\Fatty.\I'm not fat! This is muscle!\Fatty. response:	What's wrong?
context: I ran back home so fast.\No, I don't.\It was scary.\Akanecchi, let's eat.\Fatty.\I'm not fat! This is muscle!\Fatty.\What's wrong? response:	Muscle. Muscle!
context: No, I don't.\It was scary.\Akanecchi, let's eat.\Fatty.\I'm not fat! This is muscle!\Fatty.\What's wrong?\Muscle. Muscle! response:	Nothing.
context: It was scary.\Akanecchi, let's eat.\Fatty.\I'm not fat! This is muscle!\Fatty.\What's wrong?\Muscle. Muscle!\Nothing. response:	Let's eat.
context: Akanecchi, let's eat.\Fatty.\I'm not fat! This is muscle!\Fatty.\What's wrong?\Muscle. Muscle!\Nothing.\Let's eat. response:	See? It's all muscle.
context: Fatty.\I'm not fat! This is muscle!\Fatty.\What's wrong?\Muscle. Muscle!\Nothing.\Let's eat.\See? It's all muscle. response:	There you are, Curly-kun!
context: I'm not fat! This is muscle!\Fatty.\What's wrong?\Muscle. Muscle!\Nothing.\Let's eat.\See? It's all muscle.\There you are, Curly-kun! response:	I guess you don't have the curl anymore.
context: Fatty.\What's wrong?\Muscle. Muscle!\Nothing.\Let's eat.\See? It's all muscle.\There you are, Curly-kun!\I guess you don't have the curl anymore. response:	Pardon me.
context: What's wrong?\Muscle. Muscle!\Nothing.\Let's eat.\See? It's all muscle.\There you are, Curly-kun!\I guess you don't have the curl anymore.\Pardon me. response:	I'll ask, then.
context: Muscle. Muscle!\Nothing.\Let's eat.\See? It's all muscle.\There you are, Curly-kun!\I guess you don't have the curl anymore.\Pardon me.\I'll ask, then. response:	Thank goodness.
context: Nothing.\Let's eat.\See? It's all muscle.\There you are, Curly-kun!\I guess you don't have the curl anymore.\Pardon me.\I'll ask, then.\Thank goodness. response:	You saved me.
context: Let's eat.\See? It's all muscle.\There you are, Curly-kun!\I guess you don't have the curl anymore.\Pardon me.\I'll ask, then.\Thank goodness.\You saved me. response:	Akane?
context: See? It's all muscle.\There you are, Curly-kun!\I guess you don't have the curl anymore.\Pardon me.\I'll ask, then.\Thank goodness.\You saved me.\Akane? response:	Huh?
context: There you are, Curly-kun!\I guess you don't have the curl anymore.\Pardon me.\I'll ask, then.\Thank goodness.\You saved me.\Akane?\Huh? response:	Were you two...
context: I guess you don't have the curl anymore.\Pardon me.\I'll ask, then.\Thank goodness.\You saved me.\Akane?\Huh?\Were you two... response:	What? No!
context: Pardon me.\I'll ask, then.\Thank goodness.\You saved me.\Akane?\Huh?\Were you two...\What? No! response:	That's not it!
context: I'll ask, then.\Thank goodness.\You saved me.\Akane?\Huh?\Were you two...\What? No!\That's not it! response:	Sorry, I kind of...
context: Thank goodness.\You saved me.\Akane?\Huh?\Were you two...\What? No!\That's not it!\Sorry, I kind of... response:	It's fine.
context: You saved me.\Akane?\Huh?\Were you two...\What? No!\That's not it!\Sorry, I kind of...\It's fine. response:	Right?
context: Akane?\Huh?\Were you two...\What? No!\That's not it!\Sorry, I kind of...\It's fine.\Right? response:	Azumi-kun goes to the cram school by the station.
context: Huh?\Were you two...\What? No!\That's not it!\Sorry, I kind of...\It's fine.\Right?\Azumi-kun goes to the cram school by the station. response:	Oh... Yeah.
context: Were you two...\What? No!\That's not it!\Sorry, I kind of...\It's fine.\Right?\Azumi-kun goes to the cram school by the station.\Oh... Yeah. response:	I'm thinking of going, too.
context: What? No!\That's not it!\Sorry, I kind of...\It's fine.\Right?\Azumi-kun goes to the cram school by the station.\Oh... Yeah.\I'm thinking of going, too. response:	Right?
context: That's not it!\Sorry, I kind of...\It's fine.\Right?\Azumi-kun goes to the cram school by the station.\Oh... Yeah.\I'm thinking of going, too.\Right? response:	Yeah.
context: Sorry, I kind of...\It's fine.\Right?\Azumi-kun goes to the cram school by the station.\Oh... Yeah.\I'm thinking of going, too.\Right?\Yeah. response:	Want to go visit it with me?
context: It's fine.\Right?\Azumi-kun goes to the cram school by the station.\Oh... Yeah.\I'm thinking of going, too.\Right?\Yeah.\Want to go visit it with me? response:	Our club takes up so much time.
context: Right?\Azumi-kun goes to the cram school by the station.\Oh... Yeah.\I'm thinking of going, too.\Right?\Yeah.\Want to go visit it with me?\Our club takes up so much time. response:	Yeah.
context: Azumi-kun goes to the cram school by the station.\Oh... Yeah.\I'm thinking of going, too.\Right?\Yeah.\Want to go visit it with me?\Our club takes up so much time.\Yeah. response:	And my grades suck.
context: Oh... Yeah.\I'm thinking of going, too.\Right?\Yeah.\Want to go visit it with me?\Our club takes up so much time.\Yeah.\And my grades suck. response:	That's not true.
context: I'm thinking of going, too.\Right?\Yeah.\Want to go visit it with me?\Our club takes up so much time.\Yeah.\And my grades suck.\That's not true. response:	Thanks for everything.
context: Right?\Yeah.\Want to go visit it with me?\Our club takes up so much time.\Yeah.\And my grades suck.\That's not true.\Thanks for everything. response:	Sure.
context: Yeah.\Want to go visit it with me?\Our club takes up so much time.\Yeah.\And my grades suck.\That's not true.\Thanks for everything.\Sure. response:	Okay, see you, Akane.
context: Want to go visit it with me?\Our club takes up so much time.\Yeah.\And my grades suck.\That's not true.\Thanks for everything.\Sure.\Okay, see you, Akane. response:	Man, I don't know.
context: Our club takes up so much time.\Yeah.\And my grades suck.\That's not true.\Thanks for everything.\Sure.\Okay, see you, Akane.\Man, I don't know. response:	Uh, so, do you want to come to the cram
context: Yeah.\And my grades suck.\That's not true.\Thanks for everything.\Sure.\Okay, see you, Akane.\Man, I don't know.\Uh, so, do you want to come to the cram response:	No.
context: And my grades suck.\That's not true.\Thanks for everything.\Sure.\Okay, see you, Akane.\Man, I don't know.\Uh, so, do you want to come to the cram\No. response:	Off-leash dogs are causing problems.
context: That's not true.\Thanks for everything.\Sure.\Okay, see you, Akane.\Man, I don't know.\Uh, so, do you want to come to the cram\No.\Off-leash dogs are causing problems. response:	Please keep your dog on a leash.
context: Thanks for everything.\Sure.\Okay, see you, Akane.\Man, I don't know.\Uh, so, do you want to come to the cram\No.\Off-leash dogs are causing problems.\Please keep your dog on a leash. response:	Here we go!
context: Sure.\Okay, see you, Akane.\Man, I don't know.\Uh, so, do you want to come to the cram\No.\Off-leash dogs are causing problems.\Please keep your dog on a leash.\Here we go! response:	Go!
context: Okay, see you, Akane.\Man, I don't know.\Uh, so, do you want to come to the cram\No.\Off-leash dogs are causing problems.\Please keep your dog on a leash.\Here we go!\Go! response:	Sorry, Sensei.
context: Man, I don't know.\Uh, so, do you want to come to the cram\No.\Off-leash dogs are causing problems.\Please keep your dog on a leash.\Here we go!\Go!\Sorry, Sensei. response:	Well, it's exam season.
