context: This is the depths' second layer... response:	We did it, Reg!
context: So, they're helpful when it's hard to make out your surroundings.\There's an old saying that goes: If you get lost, just follow the amagiri.\Whoa, you sound pretty smart right now, Riko...\nothing like when we were back in Orth!\Wait... That's a compliment, right?\Let's see...\We're supposed to descend from around here, right?\We really need to head to Seeker Camp, the monitoring base down here. response:	Help me!
context: There's an old saying that goes: If you get lost, just follow the amagiri.\Whoa, you sound pretty smart right now, Riko...\nothing like when we were back in Orth!\Wait... That's a compliment, right?\Let's see...\We're supposed to descend from around here, right?\We really need to head to Seeker Camp, the monitoring base down here.\Help me! response:	Somebody's voice? This isn't like that other time...
context: Whoa, you sound pretty smart right now, Riko...\nothing like when we were back in Orth!\Wait... That's a compliment, right?\Let's see...\We're supposed to descend from around here, right?\We really need to head to Seeker Camp, the monitoring base down here.\Help me!\Somebody's voice? This isn't like that other time... response:	What's the matter?!
context: nothing like when we were back in Orth!\Wait... That's a compliment, right?\Let's see...\We're supposed to descend from around here, right?\We really need to head to Seeker Camp, the monitoring base down here.\Help me!\Somebody's voice? This isn't like that other time...\What's the matter?! response:	Shh! There's somebody here!
context: Wait... That's a compliment, right?\Let's see...\We're supposed to descend from around here, right?\We really need to head to Seeker Camp, the monitoring base down here.\Help me!\Somebody's voice? This isn't like that other time...\What's the matter?!\Shh! There's somebody here! response:	Help...
context: Let's see...\We're supposed to descend from around here, right?\We really need to head to Seeker Camp, the monitoring base down here.\Help me!\Somebody's voice? This isn't like that other time...\What's the matter?!\Shh! There's somebody here!\Help... response:	Over there!
context: We're supposed to descend from around here, right?\We really need to head to Seeker Camp, the monitoring base down here.\Help me!\Somebody's voice? This isn't like that other time...\What's the matter?!\Shh! There's somebody here!\Help...\Over there! response:	Someone's crying for help!
context: We really need to head to Seeker Camp, the monitoring base down here.\Help me!\Somebody's voice? This isn't like that other time...\What's the matter?!\Shh! There's somebody here!\Help...\Over there!\Someone's crying for help! response:	Really?!
context: Help me!\Somebody's voice? This isn't like that other time...\What's the matter?!\Shh! There's somebody here!\Help...\Over there!\Someone's crying for help!\Really?! response:	Help...
context: Somebody's voice? This isn't like that other time...\What's the matter?!\Shh! There's somebody here!\Help...\Over there!\Someone's crying for help!\Really?!\Help... response:	I heard it!
context: What's the matter?!\Shh! There's somebody here!\Help...\Over there!\Someone's crying for help!\Really?!\Help...\I heard it! response:	Help...
context: Shh! There's somebody here!\Help...\Over there!\Someone's crying for help!\Really?!\Help...\I heard it!\Help... response:	Help...
context: Help...\Over there!\Someone's crying for help!\Really?!\Help...\I heard it!\Help...\Help... response:	Down on the ground there... It's a cave raider!
context: Over there!\Someone's crying for help!\Really?!\Help...\I heard it!\Help...\Help...\Down on the ground there... It's a cave raider! response:	I'll drive that thing away.
context: Someone's crying for help!\Really?!\Help...\I heard it!\Help...\Help...\Down on the ground there... It's a cave raider!\I'll drive that thing away. response:	Help me... Help...
context: Really?!\Help...\I heard it!\Help...\Help...\Down on the ground there... It's a cave raider!\I'll drive that thing away.\Help me... Help... response:	Reg, hold on! It could be a trap!
context: Help...\I heard it!\Help...\Help...\Down on the ground there... It's a cave raider!\I'll drive that thing away.\Help me... Help...\Reg, hold on! It could be a trap! response:	A trap?
context: I heard it!\Help...\Help...\Down on the ground there... It's a cave raider!\I'll drive that thing away.\Help me... Help...\Reg, hold on! It could be a trap!\A trap? response:	That thing is a corpse-weeper...
context: Help...\Help...\Down on the ground there... It's a cave raider!\I'll drive that thing away.\Help me... Help...\Reg, hold on! It could be a trap!\A trap?\That thing is a corpse-weeper... response:	They mimic the cries for help of prey they capture to lure others to their colonies.
context: Help...\Down on the ground there... It's a cave raider!\I'll drive that thing away.\Help me... Help...\Reg, hold on! It could be a trap!\A trap?\That thing is a corpse-weeper...\They mimic the cries for help of prey they capture to lure others to their colonies. response:	Which means... that person is already...
context: Down on the ground there... It's a cave raider!\I'll drive that thing away.\Help me... Help...\Reg, hold on! It could be a trap!\A trap?\That thing is a corpse-weeper...\They mimic the cries for help of prey they capture to lure others to their colonies.\Which means... that person is already... response:	Reg, get down!
context: I'll drive that thing away.\Help me... Help...\Reg, hold on! It could be a trap!\A trap?\That thing is a corpse-weeper...\They mimic the cries for help of prey they capture to lure others to their colonies.\Which means... that person is already...\Reg, get down! response:	Riko!
context: Help me... Help...\Reg, hold on! It could be a trap!\A trap?\That thing is a corpse-weeper...\They mimic the cries for help of prey they capture to lure others to their colonies.\Which means... that person is already...\Reg, get down!\Riko! response:	Another one?! How careless of me!
context: Reg, hold on! It could be a trap!\A trap?\That thing is a corpse-weeper...\They mimic the cries for help of prey they capture to lure others to their colonies.\Which means... that person is already...\Reg, get down!\Riko!\Another one?! How careless of me! response:	It's okay.
context: A trap?\That thing is a corpse-weeper...\They mimic the cries for help of prey they capture to lure others to their colonies.\Which means... that person is already...\Reg, get down!\Riko!\Another one?! How careless of me!\It's okay. response:	It's... It's still in range!
context: That thing is a corpse-weeper...\They mimic the cries for help of prey they capture to lure others to their colonies.\Which means... that person is already...\Reg, get down!\Riko!\Another one?! How careless of me!\It's okay.\It's... It's still in range! response:	Calm down...
context: They mimic the cries for help of prey they capture to lure others to their colonies.\Which means... that person is already...\Reg, get down!\Riko!\Another one?! How careless of me!\It's okay.\It's... It's still in range!\Calm down... response:	I can't miss this!
context: Which means... that person is already...\Reg, get down!\Riko!\Another one?! How careless of me!\It's okay.\It's... It's still in range!\Calm down...\I can't miss this! response:	Everyone, unable to resist, goes down in
context: Reg, get down!\Riko!\Another one?! How careless of me!\It's okay.\It's... It's still in range!\Calm down...\I can't miss this!\Everyone, unable to resist, goes down in response:	Make those eyes shine brighter than a torch
context: Riko!\Another one?! How careless of me!\It's okay.\It's... It's still in range!\Calm down...\I can't miss this!\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch response:	The destination we are aiming for is deep
context: Another one?! How careless of me!\It's okay.\It's... It's still in range!\Calm down...\I can't miss this!\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep response:	We squarely lose our way
context: It's okay.\It's... It's still in range!\Calm down...\I can't miss this!\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way response:	The trap of the open-mouthed netherworld
context: It's... It's still in range!\Calm down...\I can't miss this!\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld response:	Let's chase the traces of truth
context: Calm down...\I can't miss this!\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth response:	If an answer can be found now, we don't mind losing it all
context: I can't miss this!\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all response:	The echo is still reverberating
context: Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating response:	So that we do not part with that voice
context: Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice response:	The compass is always
context: The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always response:	Pointed to the darkness
context: We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness response:	Where there is no escape
context: The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape response:	In that direction
context: Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction response:	Even if that is a curse
context: If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse response:	The pulse is the real thing
context: The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing response:	Never again will the yearning stop
context: So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop response:	Reg!
context: The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\Reg! response:	This is bad!
context: Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\Reg!\This is bad! response:	Ascending within the Abyss means...!
context: Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\Reg!\This is bad!\Ascending within the Abyss means...! response:	Riko!
context: In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\Reg!\This is bad!\Ascending within the Abyss means...!\Riko! response:	Too far!
context: Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\Reg!\This is bad!\Ascending within the Abyss means...!\Riko!\Too far! response:	She's being fed to the chicks?!
context: The pulse is the real thing\Never again will the yearning stop\Reg!\This is bad!\Ascending within the Abyss means...!\Riko!\Too far!\She's being fed to the chicks?! response:	No!
context: Never again will the yearning stop\Reg!\This is bad!\Ascending within the Abyss means...!\Riko!\Too far!\She's being fed to the chicks?!\No! response:	D-don't do it!
context: Reg!\This is bad!\Ascending within the Abyss means...!\Riko!\Too far!\She's being fed to the chicks?!\No!\D-don't do it! response:	No!
context: This is bad!\Ascending within the Abyss means...!\Riko!\Too far!\She's being fed to the chicks?!\No!\D-don't do it!\No! response:	Riko!
context: Ascending within the Abyss means...!\Riko!\Too far!\She's being fed to the chicks?!\No!\D-don't do it!\No!\Riko! response:	What...?
context: Riko!\Too far!\She's being fed to the chicks?!\No!\D-don't do it!\No!\Riko!\What...? response:	What can I possibly do?!
context: Too far!\She's being fed to the chicks?!\No!\D-don't do it!\No!\Riko!\What...?\What can I possibly do?! response:	Where...?
context: She's being fed to the chicks?!\No!\D-don't do it!\No!\Riko!\What...?\What can I possibly do?!\Where...? response:	Where am I...?
context: No!\D-don't do it!\No!\Riko!\What...?\What can I possibly do?!\Where...?\Where am I...? response:	Go!
context: D-don't do it!\No!\Riko!\What...?\What can I possibly do?!\Where...?\Where am I...?\Go! response:	Yet again.
context: No!\Riko!\What...?\What can I possibly do?!\Where...?\Where am I...?\Go!\Yet again. response:	But still, this feeling...
context: Riko!\What...?\What can I possibly do?!\Where...?\Where am I...?\Go!\Yet again.\But still, this feeling... response:	My body remembers.
context: What...?\What can I possibly do?!\Where...?\Where am I...?\Go!\Yet again.\But still, this feeling...\My body remembers. response:	In the past, I did something like this.
context: What can I possibly do?!\Where...?\Where am I...?\Go!\Yet again.\But still, this feeling...\My body remembers.\In the past, I did something like this. response:	Riko!
context: Where...?\Where am I...?\Go!\Yet again.\But still, this feeling...\My body remembers.\In the past, I did something like this.\Riko! response:	Ah... the strain of the second layer is serious.
context: Where am I...?\Go!\Yet again.\But still, this feeling...\My body remembers.\In the past, I did something like this.\Riko!\Ah... the strain of the second layer is serious. response:	I need to lay her down quickly...
context: Go!\Yet again.\But still, this feeling...\My body remembers.\In the past, I did something like this.\Riko!\Ah... the strain of the second layer is serious.\I need to lay her down quickly... response:	If that thing had hit Riko...
context: Yet again.\But still, this feeling...\My body remembers.\In the past, I did something like this.\Riko!\Ah... the strain of the second layer is serious.\I need to lay her down quickly...\If that thing had hit Riko... response:	What in the...
context: But still, this feeling...\My body remembers.\In the past, I did something like this.\Riko!\Ah... the strain of the second layer is serious.\I need to lay her down quickly...\If that thing had hit Riko...\What in the... response:	What in the world...
context: My body remembers.\In the past, I did something like this.\Riko!\Ah... the strain of the second layer is serious.\I need to lay her down quickly...\If that thing had hit Riko...\What in the...\What in the world... response:	am I?
context: In the past, I did something like this.\Riko!\Ah... the strain of the second layer is serious.\I need to lay her down quickly...\If that thing had hit Riko...\What in the...\What in the world...\am I? response:	She doesn't seem to be injured.
context: Riko!\Ah... the strain of the second layer is serious.\I need to lay her down quickly...\If that thing had hit Riko...\What in the...\What in the world...\am I?\She doesn't seem to be injured. response:	Reg...
context: Ah... the strain of the second layer is serious.\I need to lay her down quickly...\If that thing had hit Riko...\What in the...\What in the world...\am I?\She doesn't seem to be injured.\Reg... response:	Riko!
context: I need to lay her down quickly...\If that thing had hit Riko...\What in the...\What in the world...\am I?\She doesn't seem to be injured.\Reg...\Riko! response:	I'm glad you're awake!
context: If that thing had hit Riko...\What in the...\What in the world...\am I?\She doesn't seem to be injured.\Reg...\Riko!\I'm glad you're awake! response:	You wouldn't wake up, so I got really worried!
context: What in the...\What in the world...\am I?\She doesn't seem to be injured.\Reg...\Riko!\I'm glad you're awake!\You wouldn't wake up, so I got really worried! response:	Ah, but... you should stay lying down for now...
context: What in the world...\am I?\She doesn't seem to be injured.\Reg...\Riko!\I'm glad you're awake!\You wouldn't wake up, so I got really worried!\Ah, but... you should stay lying down for now... response:	Uh...
context: am I?\She doesn't seem to be injured.\Reg...\Riko!\I'm glad you're awake!\You wouldn't wake up, so I got really worried!\Ah, but... you should stay lying down for now...\Uh... response:	You were taking so long to wake up, so I thought you might be hurt...
context: She doesn't seem to be injured.\Reg...\Riko!\I'm glad you're awake!\You wouldn't wake up, so I got really worried!\Ah, but... you should stay lying down for now...\Uh...\You were taking so long to wake up, so I thought you might be hurt... response:	And, uh...
context: Reg...\Riko!\I'm glad you're awake!\You wouldn't wake up, so I got really worried!\Ah, but... you should stay lying down for now...\Uh...\You were taking so long to wake up, so I thought you might be hurt...\And, uh... response:	And your clothes were all covered with vomit and stuff.
context: Riko!\I'm glad you're awake!\You wouldn't wake up, so I got really worried!\Ah, but... you should stay lying down for now...\Uh...\You were taking so long to wake up, so I thought you might be hurt...\And, uh...\And your clothes were all covered with vomit and stuff. response:	Oh, come on, Reg, you don't need to act so embarrassed.
context: I'm glad you're awake!\You wouldn't wake up, so I got really worried!\Ah, but... you should stay lying down for now...\Uh...\You were taking so long to wake up, so I thought you might be hurt...\And, uh...\And your clothes were all covered with vomit and stuff.\Oh, come on, Reg, you don't need to act so embarrassed. response:	You're a robot, after all.
context: You wouldn't wake up, so I got really worried!\Ah, but... you should stay lying down for now...\Uh...\You were taking so long to wake up, so I thought you might be hurt...\And, uh...\And your clothes were all covered with vomit and stuff.\Oh, come on, Reg, you don't need to act so embarrassed.\You're a robot, after all. response:	Besides, you're the one who saved me, Reg, right?
context: Ah, but... you should stay lying down for now...\Uh...\You were taking so long to wake up, so I thought you might be hurt...\And, uh...\And your clothes were all covered with vomit and stuff.\Oh, come on, Reg, you don't need to act so embarrassed.\You're a robot, after all.\Besides, you're the one who saved me, Reg, right? response:	Reg, did...
context: Uh...\You were taking so long to wake up, so I thought you might be hurt...\And, uh...\And your clothes were all covered with vomit and stuff.\Oh, come on, Reg, you don't need to act so embarrassed.\You're a robot, after all.\Besides, you're the one who saved me, Reg, right?\Reg, did... response:	Reg, did you...
context: You were taking so long to wake up, so I thought you might be hurt...\And, uh...\And your clothes were all covered with vomit and stuff.\Oh, come on, Reg, you don't need to act so embarrassed.\You're a robot, after all.\Besides, you're the one who saved me, Reg, right?\Reg, did...\Reg, did you... response:	Reg, did you do this?
context: And, uh...\And your clothes were all covered with vomit and stuff.\Oh, come on, Reg, you don't need to act so embarrassed.\You're a robot, after all.\Besides, you're the one who saved me, Reg, right?\Reg, did...\Reg, did you...\Reg, did you do this? response:	I kind of lost myself in the moment...
context: And your clothes were all covered with vomit and stuff.\Oh, come on, Reg, you don't need to act so embarrassed.\You're a robot, after all.\Besides, you're the one who saved me, Reg, right?\Reg, did...\Reg, did you...\Reg, did you do this?\I kind of lost myself in the moment... response:	But to think I ended up doing this...
context: Oh, come on, Reg, you don't need to act so embarrassed.\You're a robot, after all.\Besides, you're the one who saved me, Reg, right?\Reg, did...\Reg, did you...\Reg, did you do this?\I kind of lost myself in the moment...\But to think I ended up doing this... response:	Amazing!
context: You're a robot, after all.\Besides, you're the one who saved me, Reg, right?\Reg, did...\Reg, did you...\Reg, did you do this?\I kind of lost myself in the moment...\But to think I ended up doing this...\Amazing! response:	Hey, it must've come out of this spot on your hand here?
context: Besides, you're the one who saved me, Reg, right?\Reg, did...\Reg, did you...\Reg, did you do this?\I kind of lost myself in the moment...\But to think I ended up doing this...\Amazing!\Hey, it must've come out of this spot on your hand here? response:	I wonder what we should name it...
context: Reg, did...\Reg, did you...\Reg, did you do this?\I kind of lost myself in the moment...\But to think I ended up doing this...\Amazing!\Hey, it must've come out of this spot on your hand here?\I wonder what we should name it... response:	Incinerator! Let's call this cannon thing that!
context: Reg, did you...\Reg, did you do this?\I kind of lost myself in the moment...\But to think I ended up doing this...\Amazing!\Hey, it must've come out of this spot on your hand here?\I wonder what we should name it...\Incinerator! Let's call this cannon thing that! response:	Uh, Riko...
context: Reg, did you do this?\I kind of lost myself in the moment...\But to think I ended up doing this...\Amazing!\Hey, it must've come out of this spot on your hand here?\I wonder what we should name it...\Incinerator! Let's call this cannon thing that!\Uh, Riko... response:	I'm not in the mood for this...
context: I kind of lost myself in the moment...\But to think I ended up doing this...\Amazing!\Hey, it must've come out of this spot on your hand here?\I wonder what we should name it...\Incinerator! Let's call this cannon thing that!\Uh, Riko...\I'm not in the mood for this... response:	I very nearly completely blew you away.
context: But to think I ended up doing this...\Amazing!\Hey, it must've come out of this spot on your hand here?\I wonder what we should name it...\Incinerator! Let's call this cannon thing that!\Uh, Riko...\I'm not in the mood for this...\I very nearly completely blew you away. response:	If I had, I...
context: Amazing!\Hey, it must've come out of this spot on your hand here?\I wonder what we should name it...\Incinerator! Let's call this cannon thing that!\Uh, Riko...\I'm not in the mood for this...\I very nearly completely blew you away.\If I had, I... response:	Reg! It's alright!
context: Hey, it must've come out of this spot on your hand here?\I wonder what we should name it...\Incinerator! Let's call this cannon thing that!\Uh, Riko...\I'm not in the mood for this...\I very nearly completely blew you away.\If I had, I...\Reg! It's alright! response:	Let's see, it was around...
context: I wonder what we should name it...\Incinerator! Let's call this cannon thing that!\Uh, Riko...\I'm not in the mood for this...\I very nearly completely blew you away.\If I had, I...\Reg! It's alright!\Let's see, it was around... response:	this big or so.
context: Incinerator! Let's call this cannon thing that!\Uh, Riko...\I'm not in the mood for this...\I very nearly completely blew you away.\If I had, I...\Reg! It's alright!\Let's see, it was around...\this big or so. response:	What exactly was?
context: Uh, Riko...\I'm not in the mood for this...\I very nearly completely blew you away.\If I had, I...\Reg! It's alright!\Let's see, it was around...\this big or so.\What exactly was? response:	The size of the blast from your Incinerator the first time you saved me, Reg!
context: I'm not in the mood for this...\I very nearly completely blew you away.\If I had, I...\Reg! It's alright!\Let's see, it was around...\this big or so.\What exactly was?\The size of the blast from your Incinerator the first time you saved me, Reg! response:	And that was from about 200 meters away!
context: I very nearly completely blew you away.\If I had, I...\Reg! It's alright!\Let's see, it was around...\this big or so.\What exactly was?\The size of the blast from your Incinerator the first time you saved me, Reg!\And that was from about 200 meters away! response:	It'll be fine!
context: If I had, I...\Reg! It's alright!\Let's see, it was around...\this big or so.\What exactly was?\The size of the blast from your Incinerator the first time you saved me, Reg!\And that was from about 200 meters away!\It'll be fine! response:	Reg, you used to be able to control that power quite well!
