context: Naminanakai Public Hospital response:	Episode Fourteen: The Promised Day
context: Everyone's changed so much...\and it's only been five years.\I think you've changed the most.\Huh?\I dunno...\There's a rumor going around like you're some lonely housewife.\It's oddly hot.\Wh-What?! response:	You're late, mister!
context: and it's only been five years.\I think you've changed the most.\Huh?\I dunno...\There's a rumor going around like you're some lonely housewife.\It's oddly hot.\Wh-What?!\You're late, mister! response:	You were probably out playing pachinko again.
context: I think you've changed the most.\Huh?\I dunno...\There's a rumor going around like you're some lonely housewife.\It's oddly hot.\Wh-What?!\You're late, mister!\You were probably out playing pachinko again. response:	Just went out for a refresher.
context: Huh?\I dunno...\There's a rumor going around like you're some lonely housewife.\It's oddly hot.\Wh-What?!\You're late, mister!\You were probably out playing pachinko again.\Just went out for a refresher. response:	The boss was waiting quite a while...
context: I dunno...\There's a rumor going around like you're some lonely housewife.\It's oddly hot.\Wh-What?!\You're late, mister!\You were probably out playing pachinko again.\Just went out for a refresher.\The boss was waiting quite a while... response:	Oh, Chisaki!
context: There's a rumor going around like you're some lonely housewife.\It's oddly hot.\Wh-What?!\You're late, mister!\You were probably out playing pachinko again.\Just went out for a refresher.\The boss was waiting quite a while...\Oh, Chisaki! response:	Hello.
context: It's oddly hot.\Wh-What?!\You're late, mister!\You were probably out playing pachinko again.\Just went out for a refresher.\The boss was waiting quite a while...\Oh, Chisaki!\Hello. response:	Here, Akira-kun. This is for you.
context: Wh-What?!\You're late, mister!\You were probably out playing pachinko again.\Just went out for a refresher.\The boss was waiting quite a while...\Oh, Chisaki!\Hello.\Here, Akira-kun. This is for you. response:	Where's your thank you?
context: You're late, mister!\You were probably out playing pachinko again.\Just went out for a refresher.\The boss was waiting quite a while...\Oh, Chisaki!\Hello.\Here, Akira-kun. This is for you.\Where's your thank you? response:	Fanks...
context: You were probably out playing pachinko again.\Just went out for a refresher.\The boss was waiting quite a while...\Oh, Chisaki!\Hello.\Here, Akira-kun. This is for you.\Where's your thank you?\Fanks... response:	Stop it, Akira!
context: Just went out for a refresher.\The boss was waiting quite a while...\Oh, Chisaki!\Hello.\Here, Akira-kun. This is for you.\Where's your thank you?\Fanks...\Stop it, Akira! response:	He only listens to Miuna so I don't know what to do with him.
context: The boss was waiting quite a while...\Oh, Chisaki!\Hello.\Here, Akira-kun. This is for you.\Where's your thank you?\Fanks...\Stop it, Akira!\He only listens to Miuna so I don't know what to do with him. response:	But...
context: Oh, Chisaki!\Hello.\Here, Akira-kun. This is for you.\Where's your thank you?\Fanks...\Stop it, Akira!\He only listens to Miuna so I don't know what to do with him.\But... response:	It's all thanks to Miuna.
context: Hello.\Here, Akira-kun. This is for you.\Where's your thank you?\Fanks...\Stop it, Akira!\He only listens to Miuna so I don't know what to do with him.\But...\It's all thanks to Miuna. response:	The people of the sea can hibernate, right?
context: Here, Akira-kun. This is for you.\Where's your thank you?\Fanks...\Stop it, Akira!\He only listens to Miuna so I don't know what to do with him.\But...\It's all thanks to Miuna.\The people of the sea can hibernate, right? response:	Then Hikari-kun and the others are probably asleep, too.
context: Where's your thank you?\Fanks...\Stop it, Akira!\He only listens to Miuna so I don't know what to do with him.\But...\It's all thanks to Miuna.\The people of the sea can hibernate, right?\Then Hikari-kun and the others are probably asleep, too. response:	Right. I'm sure they're okay.
context: Fanks...\Stop it, Akira!\He only listens to Miuna so I don't know what to do with him.\But...\It's all thanks to Miuna.\The people of the sea can hibernate, right?\Then Hikari-kun and the others are probably asleep, too.\Right. I'm sure they're okay. response:	So...
context: Stop it, Akira!\He only listens to Miuna so I don't know what to do with him.\But...\It's all thanks to Miuna.\The people of the sea can hibernate, right?\Then Hikari-kun and the others are probably asleep, too.\Right. I'm sure they're okay.\So... response:	That's not it!
context: He only listens to Miuna so I don't know what to do with him.\But...\It's all thanks to Miuna.\The people of the sea can hibernate, right?\Then Hikari-kun and the others are probably asleep, too.\Right. I'm sure they're okay.\So...\That's not it! response:	Akari?!
context: But...\It's all thanks to Miuna.\The people of the sea can hibernate, right?\Then Hikari-kun and the others are probably asleep, too.\Right. I'm sure they're okay.\So...\That's not it!\Akari?! response:	There's no way I can have the baby right now...
context: It's all thanks to Miuna.\The people of the sea can hibernate, right?\Then Hikari-kun and the others are probably asleep, too.\Right. I'm sure they're okay.\So...\That's not it!\Akari?!\There's no way I can have the baby right now... response:	We've been blessed with a baby...
context: The people of the sea can hibernate, right?\Then Hikari-kun and the others are probably asleep, too.\Right. I'm sure they're okay.\So...\That's not it!\Akari?!\There's no way I can have the baby right now...\We've been blessed with a baby... response:	Don't say something so sad...
context: Then Hikari-kun and the others are probably asleep, too.\Right. I'm sure they're okay.\So...\That's not it!\Akari?!\There's no way I can have the baby right now...\We've been blessed with a baby...\Don't say something so sad... response:	I'm sorry. Just leave me alone.
context: Right. I'm sure they're okay.\So...\That's not it!\Akari?!\There's no way I can have the baby right now...\We've been blessed with a baby...\Don't say something so sad...\I'm sorry. Just leave me alone. response:	Akari...
context: So...\That's not it!\Akari?!\There's no way I can have the baby right now...\We've been blessed with a baby...\Don't say something so sad...\I'm sorry. Just leave me alone.\Akari... response:	Just go over there! Please.
context: That's not it!\Akari?!\There's no way I can have the baby right now...\We've been blessed with a baby...\Don't say something so sad...\I'm sorry. Just leave me alone.\Akari...\Just go over there! Please. response:	M-Miuna?
context: Akari?!\There's no way I can have the baby right now...\We've been blessed with a baby...\Don't say something so sad...\I'm sorry. Just leave me alone.\Akari...\Just go over there! Please.\M-Miuna? response:	Miuna...
context: There's no way I can have the baby right now...\We've been blessed with a baby...\Don't say something so sad...\I'm sorry. Just leave me alone.\Akari...\Just go over there! Please.\M-Miuna?\Miuna... response:	It'll be a little brother.
context: We've been blessed with a baby...\Don't say something so sad...\I'm sorry. Just leave me alone.\Akari...\Just go over there! Please.\M-Miuna?\Miuna...\It'll be a little brother. response:	You can tell?
context: Don't say something so sad...\I'm sorry. Just leave me alone.\Akari...\Just go over there! Please.\M-Miuna?\Miuna...\It'll be a little brother.\You can tell? response:	A boy, huh...
context: I'm sorry. Just leave me alone.\Akari...\Just go over there! Please.\M-Miuna?\Miuna...\It'll be a little brother.\You can tell?\A boy, huh... response:	I'm happy.
context: Akari...\Just go over there! Please.\M-Miuna?\Miuna...\It'll be a little brother.\You can tell?\A boy, huh...\I'm happy. response:	I'm happy...
context: Just go over there! Please.\M-Miuna?\Miuna...\It'll be a little brother.\You can tell?\A boy, huh...\I'm happy.\I'm happy... response:	I'm happy that I'll have a younger brother.
context: M-Miuna?\Miuna...\It'll be a little brother.\You can tell?\A boy, huh...\I'm happy.\I'm happy...\I'm happy that I'll have a younger brother. response:	Thank you, Mom.
context: Miuna...\It'll be a little brother.\You can tell?\A boy, huh...\I'm happy.\I'm happy...\I'm happy that I'll have a younger brother.\Thank you, Mom. response:	Akari-san?
context: It'll be a little brother.\You can tell?\A boy, huh...\I'm happy.\I'm happy...\I'm happy that I'll have a younger brother.\Thank you, Mom.\Akari-san? response:	Oh, i-it's nothing.
context: You can tell?\A boy, huh...\I'm happy.\I'm happy...\I'm happy that I'll have a younger brother.\Thank you, Mom.\Akari-san?\Oh, i-it's nothing. response:	Kancho.
context: A boy, huh...\I'm happy.\I'm happy...\I'm happy that I'll have a younger brother.\Thank you, Mom.\Akari-san?\Oh, i-it's nothing.\Kancho. response:	Hey, Akira!
context: I'm happy.\I'm happy...\I'm happy that I'll have a younger brother.\Thank you, Mom.\Akari-san?\Oh, i-it's nothing.\Kancho.\Hey, Akira! response:	I'm so sorry...
context: I'm happy...\I'm happy that I'll have a younger brother.\Thank you, Mom.\Akari-san?\Oh, i-it's nothing.\Kancho.\Hey, Akira!\I'm so sorry... response:	He's so obsessed with that lately...
context: I'm happy that I'll have a younger brother.\Thank you, Mom.\Akari-san?\Oh, i-it's nothing.\Kancho.\Hey, Akira!\I'm so sorry...\He's so obsessed with that lately... response:	I-It's okay...
context: Thank you, Mom.\Akari-san?\Oh, i-it's nothing.\Kancho.\Hey, Akira!\I'm so sorry...\He's so obsessed with that lately...\I-It's okay... response:	Jeez... you dummy!
context: Akari-san?\Oh, i-it's nothing.\Kancho.\Hey, Akira!\I'm so sorry...\He's so obsessed with that lately...\I-It's okay...\Jeez... you dummy! response:	Come back here!
context: Oh, i-it's nothing.\Kancho.\Hey, Akira!\I'm so sorry...\He's so obsessed with that lately...\I-It's okay...\Jeez... you dummy!\Come back here! response:	Oh? Did you get one of your special kancho attacks in?
context: Kancho.\Hey, Akira!\I'm so sorry...\He's so obsessed with that lately...\I-It's okay...\Jeez... you dummy!\Come back here!\Oh? Did you get one of your special kancho attacks in? response:	I said, wait! Hey!
context: Hey, Akira!\I'm so sorry...\He's so obsessed with that lately...\I-It's okay...\Jeez... you dummy!\Come back here!\Oh? Did you get one of your special kancho attacks in?\I said, wait! Hey! response:	Run! Run!
context: I'm so sorry...\He's so obsessed with that lately...\I-It's okay...\Jeez... you dummy!\Come back here!\Oh? Did you get one of your special kancho attacks in?\I said, wait! Hey!\Run! Run! response:	Miuna...
context: He's so obsessed with that lately...\I-It's okay...\Jeez... you dummy!\Come back here!\Oh? Did you get one of your special kancho attacks in?\I said, wait! Hey!\Run! Run!\Miuna... response:	Mi-u-na.
context: I-It's okay...\Jeez... you dummy!\Come back here!\Oh? Did you get one of your special kancho attacks in?\I said, wait! Hey!\Run! Run!\Miuna...\Mi-u-na. response:	Well done, Sayu.
context: Jeez... you dummy!\Come back here!\Oh? Did you get one of your special kancho attacks in?\I said, wait! Hey!\Run! Run!\Miuna...\Mi-u-na.\Well done, Sayu. response:	Good morning, Miss Miuna.
context: Come back here!\Oh? Did you get one of your special kancho attacks in?\I said, wait! Hey!\Run! Run!\Miuna...\Mi-u-na.\Well done, Sayu.\Good morning, Miss Miuna. response:	Good morning, Teacher.
context: Oh? Did you get one of your special kancho attacks in?\I said, wait! Hey!\Run! Run!\Miuna...\Mi-u-na.\Well done, Sayu.\Good morning, Miss Miuna.\Good morning, Teacher. response:	You look a lot like your uncle.
context: I said, wait! Hey!\Run! Run!\Miuna...\Mi-u-na.\Well done, Sayu.\Good morning, Miss Miuna.\Good morning, Teacher.\You look a lot like your uncle. response:	Huh?
context: Run! Run!\Miuna...\Mi-u-na.\Well done, Sayu.\Good morning, Miss Miuna.\Good morning, Teacher.\You look a lot like your uncle.\Huh? response:	Your sleeping face.
context: Miuna...\Mi-u-na.\Well done, Sayu.\Good morning, Miss Miuna.\Good morning, Teacher.\You look a lot like your uncle.\Huh?\Your sleeping face. response:	Hikari used to sleep a lot, too.
context: Mi-u-na.\Well done, Sayu.\Good morning, Miss Miuna.\Good morning, Teacher.\You look a lot like your uncle.\Huh?\Your sleeping face.\Hikari used to sleep a lot, too. response:	Oh...
context: Well done, Sayu.\Good morning, Miss Miuna.\Good morning, Teacher.\You look a lot like your uncle.\Huh?\Your sleeping face.\Hikari used to sleep a lot, too.\Oh... response:	Now, today's the day of the exciting Tomoebi.
context: Good morning, Miss Miuna.\Good morning, Teacher.\You look a lot like your uncle.\Huh?\Your sleeping face.\Hikari used to sleep a lot, too.\Oh...\Now, today's the day of the exciting Tomoebi. response:	Before, you couldn't see it unless you were at the bottom of the sea.
context: Good morning, Teacher.\You look a lot like your uncle.\Huh?\Your sleeping face.\Hikari used to sleep a lot, too.\Oh...\Now, today's the day of the exciting Tomoebi.\Before, you couldn't see it unless you were at the bottom of the sea. response:	And, now it's the moon rather than the sun.
context: You look a lot like your uncle.\Huh?\Your sleeping face.\Hikari used to sleep a lot, too.\Oh...\Now, today's the day of the exciting Tomoebi.\Before, you couldn't see it unless you were at the bottom of the sea.\And, now it's the moon rather than the sun. response:	Tomoebi
context: Huh?\Your sleeping face.\Hikari used to sleep a lot, too.\Oh...\Now, today's the day of the exciting Tomoebi.\Before, you couldn't see it unless you were at the bottom of the sea.\And, now it's the moon rather than the sun.\Tomoebi response:	Because the sea is frozen, the ice acts like a prism,
context: Your sleeping face.\Hikari used to sleep a lot, too.\Oh...\Now, today's the day of the exciting Tomoebi.\Before, you couldn't see it unless you were at the bottom of the sea.\And, now it's the moon rather than the sun.\Tomoebi\Because the sea is frozen, the ice acts like a prism, response:	and gathers the light from the saltflake snow.
context: Hikari used to sleep a lot, too.\Oh...\Now, today's the day of the exciting Tomoebi.\Before, you couldn't see it unless you were at the bottom of the sea.\And, now it's the moon rather than the sun.\Tomoebi\Because the sea is frozen, the ice acts like a prism,\and gathers the light from the saltflake snow. response:	That creates an image in the atmosphere,
context: Oh...\Now, today's the day of the exciting Tomoebi.\Before, you couldn't see it unless you were at the bottom of the sea.\And, now it's the moon rather than the sun.\Tomoebi\Because the sea is frozen, the ice acts like a prism,\and gathers the light from the saltflake snow.\That creates an image in the atmosphere, response:	Tomoebi Before Only visible from inside the sea
context: Now, today's the day of the exciting Tomoebi.\Before, you couldn't see it unless you were at the bottom of the sea.\And, now it's the moon rather than the sun.\Tomoebi\Because the sea is frozen, the ice acts like a prism,\and gathers the light from the saltflake snow.\That creates an image in the atmosphere,\Tomoebi Before Only visible from inside the sea response:	Temperature Water Temperature Tidal Current
context: Before, you couldn't see it unless you were at the bottom of the sea.\And, now it's the moon rather than the sun.\Tomoebi\Because the sea is frozen, the ice acts like a prism,\and gathers the light from the saltflake snow.\That creates an image in the atmosphere,\Tomoebi Before Only visible from inside the sea\Temperature Water Temperature Tidal Current response:	Sun
context: And, now it's the moon rather than the sun.\Tomoebi\Because the sea is frozen, the ice acts like a prism,\and gathers the light from the saltflake snow.\That creates an image in the atmosphere,\Tomoebi Before Only visible from inside the sea\Temperature Water Temperature Tidal Current\Sun response:	Calm Sea Surface
context: Tomoebi\Because the sea is frozen, the ice acts like a prism,\and gathers the light from the saltflake snow.\That creates an image in the atmosphere,\Tomoebi Before Only visible from inside the sea\Temperature Water Temperature Tidal Current\Sun\Calm Sea Surface response:	Tidal Current
context: Because the sea is frozen, the ice acts like a prism,\and gathers the light from the saltflake snow.\That creates an image in the atmosphere,\Tomoebi Before Only visible from inside the sea\Temperature Water Temperature Tidal Current\Sun\Calm Sea Surface\Tidal Current response:	and makes an illusory moon.
context: and gathers the light from the saltflake snow.\That creates an image in the atmosphere,\Tomoebi Before Only visible from inside the sea\Temperature Water Temperature Tidal Current\Sun\Calm Sea Surface\Tidal Current\and makes an illusory moon. response:	When the moon is low in the sky, let's see...
context: That creates an image in the atmosphere,\Tomoebi Before Only visible from inside the sea\Temperature Water Temperature Tidal Current\Sun\Calm Sea Surface\Tidal Current\and makes an illusory moon.\When the moon is low in the sky, let's see... response:	I'd say 8 o'clock is probably the best viewing time.
context: Tomoebi Before Only visible from inside the sea\Temperature Water Temperature Tidal Current\Sun\Calm Sea Surface\Tidal Current\and makes an illusory moon.\When the moon is low in the sky, let's see...\I'd say 8 o'clock is probably the best viewing time. response:	Sensei, before that...
context: Temperature Water Temperature Tidal Current\Sun\Calm Sea Surface\Tidal Current\and makes an illusory moon.\When the moon is low in the sky, let's see...\I'd say 8 o'clock is probably the best viewing time.\Sensei, before that... response:	Oh? Oh, right. Dinner.
context: Sun\Calm Sea Surface\Tidal Current\and makes an illusory moon.\When the moon is low in the sky, let's see...\I'd say 8 o'clock is probably the best viewing time.\Sensei, before that...\Oh? Oh, right. Dinner. response:	After this, it's time to get ready for the rice feeding.
context: Calm Sea Surface\Tidal Current\and makes an illusory moon.\When the moon is low in the sky, let's see...\I'd say 8 o'clock is probably the best viewing time.\Sensei, before that...\Oh? Oh, right. Dinner.\After this, it's time to get ready for the rice feeding. response:	Having a rice feeding by the sea with everyone...
context: Tidal Current\and makes an illusory moon.\When the moon is low in the sky, let's see...\I'd say 8 o'clock is probably the best viewing time.\Sensei, before that...\Oh? Oh, right. Dinner.\After this, it's time to get ready for the rice feeding.\Having a rice feeding by the sea with everyone... response:	Hello, everyone...
context: and makes an illusory moon.\When the moon is low in the sky, let's see...\I'd say 8 o'clock is probably the best viewing time.\Sensei, before that...\Oh? Oh, right. Dinner.\After this, it's time to get ready for the rice feeding.\Having a rice feeding by the sea with everyone...\Hello, everyone... response:	It's sort of nostalgic, isn't it?
