context: I'll do it. response:	I'll change history.
context: I'm back, baby!\Must be that thing they call PTSD.\Wait! This isn't the time for celebrating!\Only ten days until New Year's Eve.\What do I do?\For starters, I'll try outlining everything that's about to happen.\Cheermancy/ Muhi discovered\23rd: Cheermancy; Muhi discovered. response:	Turtle Man = Tomoda attacks
context: Must be that thing they call PTSD.\Wait! This isn't the time for celebrating!\Only ten days until New Year's Eve.\What do I do?\For starters, I'll try outlining everything that's about to happen.\Cheermancy/ Muhi discovered\23rd: Cheermancy; Muhi discovered.\Turtle Man = Tomoda attacks response:	24th: Turtle Man, a.k.a Tomoda, attacks;
context: Wait! This isn't the time for celebrating!\Only ten days until New Year's Eve.\What do I do?\For starters, I'll try outlining everything that's about to happen.\Cheermancy/ Muhi discovered\23rd: Cheermancy; Muhi discovered.\Turtle Man = Tomoda attacks\24th: Turtle Man, a.k.a Tomoda, attacks; response:	Miyazawa Kenji arrives
context: Only ten days until New Year's Eve.\What do I do?\For starters, I'll try outlining everything that's about to happen.\Cheermancy/ Muhi discovered\23rd: Cheermancy; Muhi discovered.\Turtle Man = Tomoda attacks\24th: Turtle Man, a.k.a Tomoda, attacks;\Miyazawa Kenji arrives response:	Miya Ken arrives.
context: What do I do?\For starters, I'll try outlining everything that's about to happen.\Cheermancy/ Muhi discovered\23rd: Cheermancy; Muhi discovered.\Turtle Man = Tomoda attacks\24th: Turtle Man, a.k.a Tomoda, attacks;\Miyazawa Kenji arrives\Miya Ken arrives. response:	I slept through this day, didn't I?
context: For starters, I'll try outlining everything that's about to happen.\Cheermancy/ Muhi discovered\23rd: Cheermancy; Muhi discovered.\Turtle Man = Tomoda attacks\24th: Turtle Man, a.k.a Tomoda, attacks;\Miyazawa Kenji arrives\Miya Ken arrives.\I slept through this day, didn't I? response:	I think they had a Christmas party or something.
context: Cheermancy/ Muhi discovered\23rd: Cheermancy; Muhi discovered.\Turtle Man = Tomoda attacks\24th: Turtle Man, a.k.a Tomoda, attacks;\Miyazawa Kenji arrives\Miya Ken arrives.\I slept through this day, didn't I?\I think they had a Christmas party or something. response:	Meika discovered to be a robot
context: 23rd: Cheermancy; Muhi discovered.\Turtle Man = Tomoda attacks\24th: Turtle Man, a.k.a Tomoda, attacks;\Miyazawa Kenji arrives\Miya Ken arrives.\I slept through this day, didn't I?\I think they had a Christmas party or something.\Meika discovered to be a robot response:	26th: Meika discovered to be a robot.
context: Turtle Man = Tomoda attacks\24th: Turtle Man, a.k.a Tomoda, attacks;\Miyazawa Kenji arrives\Miya Ken arrives.\I slept through this day, didn't I?\I think they had a Christmas party or something.\Meika discovered to be a robot\26th: Meika discovered to be a robot. response:	Gliese visits/ Miyazawa Kenji attacks
context: 24th: Turtle Man, a.k.a Tomoda, attacks;\Miyazawa Kenji arrives\Miya Ken arrives.\I slept through this day, didn't I?\I think they had a Christmas party or something.\Meika discovered to be a robot\26th: Meika discovered to be a robot.\Gliese visits/ Miyazawa Kenji attacks response:	27th: Gliese visits; Miya Ken attacks.
context: Miyazawa Kenji arrives\Miya Ken arrives.\I slept through this day, didn't I?\I think they had a Christmas party or something.\Meika discovered to be a robot\26th: Meika discovered to be a robot.\Gliese visits/ Miyazawa Kenji attacks\27th: Gliese visits; Miya Ken attacks. response:	Ito in danger!
context: Miya Ken arrives.\I slept through this day, didn't I?\I think they had a Christmas party or something.\Meika discovered to be a robot\26th: Meika discovered to be a robot.\Gliese visits/ Miyazawa Kenji attacks\27th: Gliese visits; Miya Ken attacks.\Ito in danger! response:	29th: Ito in danger.
context: I slept through this day, didn't I?\I think they had a Christmas party or something.\Meika discovered to be a robot\26th: Meika discovered to be a robot.\Gliese visits/ Miyazawa Kenji attacks\27th: Gliese visits; Miya Ken attacks.\Ito in danger!\29th: Ito in danger. response:	Turtle Man = Tomoda Battle
context: I think they had a Christmas party or something.\Meika discovered to be a robot\26th: Meika discovered to be a robot.\Gliese visits/ Miyazawa Kenji attacks\27th: Gliese visits; Miya Ken attacks.\Ito in danger!\29th: Ito in danger.\Turtle Man = Tomoda Battle response:	30th: Battle with Turtle Man.
context: Meika discovered to be a robot\26th: Meika discovered to be a robot.\Gliese visits/ Miyazawa Kenji attacks\27th: Gliese visits; Miya Ken attacks.\Ito in danger!\29th: Ito in danger.\Turtle Man = Tomoda Battle\30th: Battle with Turtle Man. response:	Meikaemon Party Asteroid Hits
context: 26th: Meika discovered to be a robot.\Gliese visits/ Miyazawa Kenji attacks\27th: Gliese visits; Miya Ken attacks.\Ito in danger!\29th: Ito in danger.\Turtle Man = Tomoda Battle\30th: Battle with Turtle Man.\Meikaemon Party Asteroid Hits response:	31st: Meikaemon Party; asteroid hits.
context: Gliese visits/ Miyazawa Kenji attacks\27th: Gliese visits; Miya Ken attacks.\Ito in danger!\29th: Ito in danger.\Turtle Man = Tomoda Battle\30th: Battle with Turtle Man.\Meikaemon Party Asteroid Hits\31st: Meikaemon Party; asteroid hits. response:	The two important dates are the 24th and the 27th.
context: 27th: Gliese visits; Miya Ken attacks.\Ito in danger!\29th: Ito in danger.\Turtle Man = Tomoda Battle\30th: Battle with Turtle Man.\Meikaemon Party Asteroid Hits\31st: Meikaemon Party; asteroid hits.\The two important dates are the 24th and the 27th. response:	Tomoda attacks on the 24th,
context: Ito in danger!\29th: Ito in danger.\Turtle Man = Tomoda Battle\30th: Battle with Turtle Man.\Meikaemon Party Asteroid Hits\31st: Meikaemon Party; asteroid hits.\The two important dates are the 24th and the 27th.\Tomoda attacks on the 24th, response:	Turtle Man = Tomoda attacks
context: 29th: Ito in danger.\Turtle Man = Tomoda Battle\30th: Battle with Turtle Man.\Meikaemon Party Asteroid Hits\31st: Meikaemon Party; asteroid hits.\The two important dates are the 24th and the 27th.\Tomoda attacks on the 24th,\Turtle Man = Tomoda attacks response:	and Gliese comes to Korai House on the 27th.
context: Turtle Man = Tomoda Battle\30th: Battle with Turtle Man.\Meikaemon Party Asteroid Hits\31st: Meikaemon Party; asteroid hits.\The two important dates are the 24th and the 27th.\Tomoda attacks on the 24th,\Turtle Man = Tomoda attacks\and Gliese comes to Korai House on the 27th. response:	Gliese visits/ Miyazawa Kenji attacks
context: 30th: Battle with Turtle Man.\Meikaemon Party Asteroid Hits\31st: Meikaemon Party; asteroid hits.\The two important dates are the 24th and the 27th.\Tomoda attacks on the 24th,\Turtle Man = Tomoda attacks\and Gliese comes to Korai House on the 27th.\Gliese visits/ Miyazawa Kenji attacks response:	Those two must know something.
context: Meikaemon Party Asteroid Hits\31st: Meikaemon Party; asteroid hits.\The two important dates are the 24th and the 27th.\Tomoda attacks on the 24th,\Turtle Man = Tomoda attacks\and Gliese comes to Korai House on the 27th.\Gliese visits/ Miyazawa Kenji attacks\Those two must know something. response:	Sitting around thinking won't help!
context: 31st: Meikaemon Party; asteroid hits.\The two important dates are the 24th and the 27th.\Tomoda attacks on the 24th,\Turtle Man = Tomoda attacks\and Gliese comes to Korai House on the 27th.\Gliese visits/ Miyazawa Kenji attacks\Those two must know something.\Sitting around thinking won't help! response:	I've gotta move!
context: The two important dates are the 24th and the 27th.\Tomoda attacks on the 24th,\Turtle Man = Tomoda attacks\and Gliese comes to Korai House on the 27th.\Gliese visits/ Miyazawa Kenji attacks\Those two must know something.\Sitting around thinking won't help!\I've gotta move! response:	I'm going to find them!
context: Tomoda attacks on the 24th,\Turtle Man = Tomoda attacks\and Gliese comes to Korai House on the 27th.\Gliese visits/ Miyazawa Kenji attacks\Those two must know something.\Sitting around thinking won't help!\I've gotta move!\I'm going to find them! response:	Ow...
context: Turtle Man = Tomoda attacks\and Gliese comes to Korai House on the 27th.\Gliese visits/ Miyazawa Kenji attacks\Those two must know something.\Sitting around thinking won't help!\I've gotta move!\I'm going to find them!\Ow... response:	Chiranosuke!
context: and Gliese comes to Korai House on the 27th.\Gliese visits/ Miyazawa Kenji attacks\Those two must know something.\Sitting around thinking won't help!\I've gotta move!\I'm going to find them!\Ow...\Chiranosuke! response:	What the hell was that for?!
context: Gliese visits/ Miyazawa Kenji attacks\Those two must know something.\Sitting around thinking won't help!\I've gotta move!\I'm going to find them!\Ow...\Chiranosuke!\What the hell was that for?! response:	Wait, I can still see you.
context: Those two must know something.\Sitting around thinking won't help!\I've gotta move!\I'm going to find them!\Ow...\Chiranosuke!\What the hell was that for?!\Wait, I can still see you. response:	You're still at the same spirit power level.
context: Sitting around thinking won't help!\I've gotta move!\I'm going to find them!\Ow...\Chiranosuke!\What the hell was that for?!\Wait, I can still see you.\You're still at the same spirit power level. response:	It's the same as if you'd trained to become a psychic.
context: I've gotta move!\I'm going to find them!\Ow...\Chiranosuke!\What the hell was that for?!\Wait, I can still see you.\You're still at the same spirit power level.\It's the same as if you'd trained to become a psychic. response:	And? What was that for?
context: I'm going to find them!\Ow...\Chiranosuke!\What the hell was that for?!\Wait, I can still see you.\You're still at the same spirit power level.\It's the same as if you'd trained to become a psychic.\And? What was that for? response:	You must not change history without my permission.
context: Ow...\Chiranosuke!\What the hell was that for?!\Wait, I can still see you.\You're still at the same spirit power level.\It's the same as if you'd trained to become a psychic.\And? What was that for?\You must not change history without my permission. response:	You must not tell anyone else the truth.
context: Chiranosuke!\What the hell was that for?!\Wait, I can still see you.\You're still at the same spirit power level.\It's the same as if you'd trained to become a psychic.\And? What was that for?\You must not change history without my permission.\You must not tell anyone else the truth. response:	Why not?!
context: What the hell was that for?!\Wait, I can still see you.\You're still at the same spirit power level.\It's the same as if you'd trained to become a psychic.\And? What was that for?\You must not change history without my permission.\You must not tell anyone else the truth.\Why not?! response:	Because then the plan will fail.
context: Wait, I can still see you.\You're still at the same spirit power level.\It's the same as if you'd trained to become a psychic.\And? What was that for?\You must not change history without my permission.\You must not tell anyone else the truth.\Why not?!\Because then the plan will fail. response:	Just like the previous Miya Ken.
context: You're still at the same spirit power level.\It's the same as if you'd trained to become a psychic.\And? What was that for?\You must not change history without my permission.\You must not tell anyone else the truth.\Why not?!\Because then the plan will fail.\Just like the previous Miya Ken. response:	The previous Miya Ken?
context: It's the same as if you'd trained to become a psychic.\And? What was that for?\You must not change history without my permission.\You must not tell anyone else the truth.\Why not?!\Because then the plan will fail.\Just like the previous Miya Ken.\The previous Miya Ken? response:	You saw him on the rooftop.
context: And? What was that for?\You must not change history without my permission.\You must not tell anyone else the truth.\Why not?!\Because then the plan will fail.\Just like the previous Miya Ken.\The previous Miya Ken?\You saw him on the rooftop. response:	That's you from the future.
context: You must not change history without my permission.\You must not tell anyone else the truth.\Why not?!\Because then the plan will fail.\Just like the previous Miya Ken.\The previous Miya Ken?\You saw him on the rooftop.\That's you from the future. response:	Still, I can't have you becoming that Miya Ken.
context: You must not tell anyone else the truth.\Why not?!\Because then the plan will fail.\Just like the previous Miya Ken.\The previous Miya Ken?\You saw him on the rooftop.\That's you from the future.\Still, I can't have you becoming that Miya Ken. response:	What are you talking about?
context: Why not?!\Because then the plan will fail.\Just like the previous Miya Ken.\The previous Miya Ken?\You saw him on the rooftop.\That's you from the future.\Still, I can't have you becoming that Miya Ken.\What are you talking about? response:	I'll make it easy to understand.
context: Because then the plan will fail.\Just like the previous Miya Ken.\The previous Miya Ken?\You saw him on the rooftop.\That's you from the future.\Still, I can't have you becoming that Miya Ken.\What are you talking about?\I'll make it easy to understand. response:	First, this is the world you're in.
context: Just like the previous Miya Ken.\The previous Miya Ken?\You saw him on the rooftop.\That's you from the future.\Still, I can't have you becoming that Miya Ken.\What are you talking about?\I'll make it easy to understand.\First, this is the world you're in. response:	And this train travels down the rail, toward the future.
context: The previous Miya Ken?\You saw him on the rooftop.\That's you from the future.\Still, I can't have you becoming that Miya Ken.\What are you talking about?\I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future. response:	If it goes straight, it will arrive here, at the worst-case scenario,
context: You saw him on the rooftop.\That's you from the future.\Still, I can't have you becoming that Miya Ken.\What are you talking about?\I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario, response:	the New Year's Eve when the asteroid hits.
context: That's you from the future.\Still, I can't have you becoming that Miya Ken.\What are you talking about?\I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits. response:	That Miya Ken ended up here.
context: Still, I can't have you becoming that Miya Ken.\What are you talking about?\I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\That Miya Ken ended up here. response:	But I need you to go
context: What are you talking about?\I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\That Miya Ken ended up here.\But I need you to go response:	toward the New Year's Eve where the asteroid doesn't strike.
context: I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\That Miya Ken ended up here.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike. response:	Beyond that is a supremely happy and peaceful future.
context: First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\That Miya Ken ended up here.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future. response:	To guide the world to that future is
context: And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\That Miya Ken ended up here.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is response:	the ultimate purpose of the Human Preservation Project.
context: If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\That Miya Ken ended up here.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project. response:	The Human Preservation Project?
context: the New Year's Eve when the asteroid hits.\That Miya Ken ended up here.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\The Human Preservation Project? response:	To stop the asteroid from falling,
context: That Miya Ken ended up here.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\The Human Preservation Project?\To stop the asteroid from falling, response:	thereby protecting the human species from extinction.
context: But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\The Human Preservation Project?\To stop the asteroid from falling,\thereby protecting the human species from extinction. response:	In any case, you absolutely, unfailingly, must succeed in this project.
context: toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\The Human Preservation Project?\To stop the asteroid from falling,\thereby protecting the human species from extinction.\In any case, you absolutely, unfailingly, must succeed in this project. response:	That is your destiny.
context: Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\The Human Preservation Project?\To stop the asteroid from falling,\thereby protecting the human species from extinction.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny. response:	My destiny?
context: To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\The Human Preservation Project?\To stop the asteroid from falling,\thereby protecting the human species from extinction.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\My destiny? response:	That's the reason.
context: the ultimate purpose of the Human Preservation Project.\The Human Preservation Project?\To stop the asteroid from falling,\thereby protecting the human species from extinction.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\My destiny?\That's the reason. response:	That's why when your spirit sees panties, humanity ends.
context: The Human Preservation Project?\To stop the asteroid from falling,\thereby protecting the human species from extinction.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\My destiny?\That's the reason.\That's why when your spirit sees panties, humanity ends. response:	Huh?
context: To stop the asteroid from falling,\thereby protecting the human species from extinction.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\My destiny?\That's the reason.\That's why when your spirit sees panties, humanity ends.\Huh? response:	A spirit without its body is like an egg without its shell.
context: thereby protecting the human species from extinction.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\My destiny?\That's the reason.\That's why when your spirit sees panties, humanity ends.\Huh?\A spirit without its body is like an egg without its shell. response:	It's delicate and easily damaged,
context: In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\My destiny?\That's the reason.\That's why when your spirit sees panties, humanity ends.\Huh?\A spirit without its body is like an egg without its shell.\It's delicate and easily damaged, response:	and sensitive to all kinds of stimuli.
context: That is your destiny.\My destiny?\That's the reason.\That's why when your spirit sees panties, humanity ends.\Huh?\A spirit without its body is like an egg without its shell.\It's delicate and easily damaged,\and sensitive to all kinds of stimuli. response:	And what happens when such a spirit becomes excited twice in a row?
context: My destiny?\That's the reason.\That's why when your spirit sees panties, humanity ends.\Huh?\A spirit without its body is like an egg without its shell.\It's delicate and easily damaged,\and sensitive to all kinds of stimuli.\And what happens when such a spirit becomes excited twice in a row? response:	You become infused with a massive torrent of excited energy, and your body
context: That's the reason.\That's why when your spirit sees panties, humanity ends.\Huh?\A spirit without its body is like an egg without its shell.\It's delicate and easily damaged,\and sensitive to all kinds of stimuli.\And what happens when such a spirit becomes excited twice in a row?\You become infused with a massive torrent of excited energy, and your body response:	dies.
context: That's why when your spirit sees panties, humanity ends.\Huh?\A spirit without its body is like an egg without its shell.\It's delicate and easily damaged,\and sensitive to all kinds of stimuli.\And what happens when such a spirit becomes excited twice in a row?\You become infused with a massive torrent of excited energy, and your body\dies. response:	You undergo a technobreak.
context: Huh?\A spirit without its body is like an egg without its shell.\It's delicate and easily damaged,\and sensitive to all kinds of stimuli.\And what happens when such a spirit becomes excited twice in a row?\You become infused with a massive torrent of excited energy, and your body\dies.\You undergo a technobreak. response:	Seriously?
context: A spirit without its body is like an egg without its shell.\It's delicate and easily damaged,\and sensitive to all kinds of stimuli.\And what happens when such a spirit becomes excited twice in a row?\You become infused with a massive torrent of excited energy, and your body\dies.\You undergo a technobreak.\Seriously? response:	That's the relationship between panties and human extinction.
context: It's delicate and easily damaged,\and sensitive to all kinds of stimuli.\And what happens when such a spirit becomes excited twice in a row?\You become infused with a massive torrent of excited energy, and your body\dies.\You undergo a technobreak.\Seriously?\That's the relationship between panties and human extinction. response:	By being exposed repeatedly to panties,
context: and sensitive to all kinds of stimuli.\And what happens when such a spirit becomes excited twice in a row?\You become infused with a massive torrent of excited energy, and your body\dies.\You undergo a technobreak.\Seriously?\That's the relationship between panties and human extinction.\By being exposed repeatedly to panties, response:	the person executing the operation is lost...
context: And what happens when such a spirit becomes excited twice in a row?\You become infused with a massive torrent of excited energy, and your body\dies.\You undergo a technobreak.\Seriously?\That's the relationship between panties and human extinction.\By being exposed repeatedly to panties,\the person executing the operation is lost... response:	And ultimately, the asteroid hits Earth...
context: You become infused with a massive torrent of excited energy, and your body\dies.\You undergo a technobreak.\Seriously?\That's the relationship between panties and human extinction.\By being exposed repeatedly to panties,\the person executing the operation is lost...\And ultimately, the asteroid hits Earth... response:	How do I make sure I don't fail?
context: dies.\You undergo a technobreak.\Seriously?\That's the relationship between panties and human extinction.\By being exposed repeatedly to panties,\the person executing the operation is lost...\And ultimately, the asteroid hits Earth...\How do I make sure I don't fail? response:	Y-You wanna know?
context: You undergo a technobreak.\Seriously?\That's the relationship between panties and human extinction.\By being exposed repeatedly to panties,\the person executing the operation is lost...\And ultimately, the asteroid hits Earth...\How do I make sure I don't fail?\Y-You wanna know? response:	There, I put all of them up.
context: Seriously?\That's the relationship between panties and human extinction.\By being exposed repeatedly to panties,\the person executing the operation is lost...\And ultimately, the asteroid hits Earth...\How do I make sure I don't fail?\Y-You wanna know?\There, I put all of them up. response:	Yes. Well done.
context: That's the relationship between panties and human extinction.\By being exposed repeatedly to panties,\the person executing the operation is lost...\And ultimately, the asteroid hits Earth...\How do I make sure I don't fail?\Y-You wanna know?\There, I put all of them up.\Yes. Well done. response:	Um, is that really all I have to do?
context: By being exposed repeatedly to panties,\the person executing the operation is lost...\And ultimately, the asteroid hits Earth...\How do I make sure I don't fail?\Y-You wanna know?\There, I put all of them up.\Yes. Well done.\Um, is that really all I have to do? response:	If I just do the same thing as last time,
context: the person executing the operation is lost...\And ultimately, the asteroid hits Earth...\How do I make sure I don't fail?\Y-You wanna know?\There, I put all of them up.\Yes. Well done.\Um, is that really all I have to do?\If I just do the same thing as last time, response:	won't history stay the same?
context: And ultimately, the asteroid hits Earth...\How do I make sure I don't fail?\Y-You wanna know?\There, I put all of them up.\Yes. Well done.\Um, is that really all I have to do?\If I just do the same thing as last time,\won't history stay the same? response:	Don't worry.
context: How do I make sure I don't fail?\Y-You wanna know?\There, I put all of them up.\Yes. Well done.\Um, is that really all I have to do?\If I just do the same thing as last time,\won't history stay the same?\Don't worry. response:	Just have faith in me.
context: Y-You wanna know?\There, I put all of them up.\Yes. Well done.\Um, is that really all I have to do?\If I just do the same thing as last time,\won't history stay the same?\Don't worry.\Just have faith in me. response:	Good, good.
context: There, I put all of them up.\Yes. Well done.\Um, is that really all I have to do?\If I just do the same thing as last time,\won't history stay the same?\Don't worry.\Just have faith in me.\Good, good. response:	Now Niconico Live Encoder should start automatically.
context: Yes. Well done.\Um, is that really all I have to do?\If I just do the same thing as last time,\won't history stay the same?\Don't worry.\Just have faith in me.\Good, good.\Now Niconico Live Encoder should start automatically. response:	Next...
context: Um, is that really all I have to do?\If I just do the same thing as last time,\won't history stay the same?\Don't worry.\Just have faith in me.\Good, good.\Now Niconico Live Encoder should start automatically.\Next... response:	I know.
context: If I just do the same thing as last time,\won't history stay the same?\Don't worry.\Just have faith in me.\Good, good.\Now Niconico Live Encoder should start automatically.\Next...\I know. response:	Akina's Secret Box
context: won't history stay the same?\Don't worry.\Just have faith in me.\Good, good.\Now Niconico Live Encoder should start automatically.\Next...\I know.\Akina's Secret Box response:	Don't look inside!
context: Don't worry.\Just have faith in me.\Good, good.\Now Niconico Live Encoder should start automatically.\Next...\I know.\Akina's Secret Box\Don't look inside! response:	Danger
context: Just have faith in me.\Good, good.\Now Niconico Live Encoder should start automatically.\Next...\I know.\Akina's Secret Box\Don't look inside!\Danger response:	Is this it?
context: Good, good.\Now Niconico Live Encoder should start automatically.\Next...\I know.\Akina's Secret Box\Don't look inside!\Danger\Is this it? response:	The Indian Sacred Book Nandala Gandala
