context: Found it! It's this! response:	Hot Springs A complete guide to the most popular traditional inns
context: Takako!\I need to contact Takako!\Takako!\If you applied the term retro,\it would be too much of a compliment.\It's undeniable that the inn isn't suited for this era,\and the meals served are plain and boring.\Like hell they are! response:	Mr. Ren is always trying
context: I need to contact Takako!\Takako!\If you applied the term retro,\it would be too much of a compliment.\It's undeniable that the inn isn't suited for this era,\and the meals served are plain and boring.\Like hell they are!\Mr. Ren is always trying response:	his best to make the most delicious meals possible!
context: Takako!\If you applied the term retro,\it would be too much of a compliment.\It's undeniable that the inn isn't suited for this era,\and the meals served are plain and boring.\Like hell they are!\Mr. Ren is always trying\his best to make the most delicious meals possible! response:	Don't you feel frustrated?!
context: If you applied the term retro,\it would be too much of a compliment.\It's undeniable that the inn isn't suited for this era,\and the meals served are plain and boring.\Like hell they are!\Mr. Ren is always trying\his best to make the most delicious meals possible!\Don't you feel frustrated?! response:	Yeah, and I was certain we did everything perfectly that day too.
context: it would be too much of a compliment.\It's undeniable that the inn isn't suited for this era,\and the meals served are plain and boring.\Like hell they are!\Mr. Ren is always trying\his best to make the most delicious meals possible!\Don't you feel frustrated?!\Yeah, and I was certain we did everything perfectly that day too. response:	This discussion ends here.
context: It's undeniable that the inn isn't suited for this era,\and the meals served are plain and boring.\Like hell they are!\Mr. Ren is always trying\his best to make the most delicious meals possible!\Don't you feel frustrated?!\Yeah, and I was certain we did everything perfectly that day too.\This discussion ends here. response:	Everyone, return to your workstations.
context: and the meals served are plain and boring.\Like hell they are!\Mr. Ren is always trying\his best to make the most delicious meals possible!\Don't you feel frustrated?!\Yeah, and I was certain we did everything perfectly that day too.\This discussion ends here.\Everyone, return to your workstations. response:	Madam Manager!
context: Like hell they are!\Mr. Ren is always trying\his best to make the most delicious meals possible!\Don't you feel frustrated?!\Yeah, and I was certain we did everything perfectly that day too.\This discussion ends here.\Everyone, return to your workstations.\Madam Manager! response:	Didn't you hear me?
context: Mr. Ren is always trying\his best to make the most delicious meals possible!\Don't you feel frustrated?!\Yeah, and I was certain we did everything perfectly that day too.\This discussion ends here.\Everyone, return to your workstations.\Madam Manager!\Didn't you hear me? response:	I don't like repeating myself.
context: his best to make the most delicious meals possible!\Don't you feel frustrated?!\Yeah, and I was certain we did everything perfectly that day too.\This discussion ends here.\Everyone, return to your workstations.\Madam Manager!\Didn't you hear me?\I don't like repeating myself. response:	Please!
context: Don't you feel frustrated?!\Yeah, and I was certain we did everything perfectly that day too.\This discussion ends here.\Everyone, return to your workstations.\Madam Manager!\Didn't you hear me?\I don't like repeating myself.\Please! response:	Let me talk to the person who wrote that article!
context: Yeah, and I was certain we did everything perfectly that day too.\This discussion ends here.\Everyone, return to your workstations.\Madam Manager!\Didn't you hear me?\I don't like repeating myself.\Please!\Let me talk to the person who wrote that article! response:	I won't stand for this!
context: This discussion ends here.\Everyone, return to your workstations.\Madam Manager!\Didn't you hear me?\I don't like repeating myself.\Please!\Let me talk to the person who wrote that article!\I won't stand for this! response:	Please!
context: Everyone, return to your workstations.\Madam Manager!\Didn't you hear me?\I don't like repeating myself.\Please!\Let me talk to the person who wrote that article!\I won't stand for this!\Please! response:	W-Wait, hang on!
context: Madam Manager!\Didn't you hear me?\I don't like repeating myself.\Please!\Let me talk to the person who wrote that article!\I won't stand for this!\Please!\W-Wait, hang on! response:	B-Beanman.
context: Didn't you hear me?\I don't like repeating myself.\Please!\Let me talk to the person who wrote that article!\I won't stand for this!\Please!\W-Wait, hang on!\B-Beanman. response:	Where's Madam Manager?
context: I don't like repeating myself.\Please!\Let me talk to the person who wrote that article!\I won't stand for this!\Please!\W-Wait, hang on!\B-Beanman.\Where's Madam Manager? response:	At Fukuya.
context: Please!\Let me talk to the person who wrote that article!\I won't stand for this!\Please!\W-Wait, hang on!\B-Beanman.\Where's Madam Manager?\At Fukuya. response:	What?
context: Let me talk to the person who wrote that article!\I won't stand for this!\Please!\W-Wait, hang on!\B-Beanman.\Where's Madam Manager?\At Fukuya.\What? response:	All of the inns around the
context: I won't stand for this!\Please!\W-Wait, hang on!\B-Beanman.\Where's Madam Manager?\At Fukuya.\What?\All of the inns around the response:	Yunosagi Hot Springs area scored poorly.
context: Please!\W-Wait, hang on!\B-Beanman.\Where's Madam Manager?\At Fukuya.\What?\All of the inns around the\Yunosagi Hot Springs area scored poorly. response:	This is an extremely serious situation...
context: W-Wait, hang on!\B-Beanman.\Where's Madam Manager?\At Fukuya.\What?\All of the inns around the\Yunosagi Hot Springs area scored poorly.\This is an extremely serious situation... response:	considering how, not too far from Yunosagi
context: B-Beanman.\Where's Madam Manager?\At Fukuya.\What?\All of the inns around the\Yunosagi Hot Springs area scored poorly.\This is an extremely serious situation...\considering how, not too far from Yunosagi response:	something of this scale is being constructed.
context: Where's Madam Manager?\At Fukuya.\What?\All of the inns around the\Yunosagi Hot Springs area scored poorly.\This is an extremely serious situation...\considering how, not too far from Yunosagi\something of this scale is being constructed. response:	8000 yen a night, eh?
context: At Fukuya.\What?\All of the inns around the\Yunosagi Hot Springs area scored poorly.\This is an extremely serious situation...\considering how, not too far from Yunosagi\something of this scale is being constructed.\8000 yen a night, eh? response:	I'd like to pay them a visit one day.
context: What?\All of the inns around the\Yunosagi Hot Springs area scored poorly.\This is an extremely serious situation...\considering how, not too far from Yunosagi\something of this scale is being constructed.\8000 yen a night, eh?\I'd like to pay them a visit one day. response:	What are you talking about?!
context: All of the inns around the\Yunosagi Hot Springs area scored poorly.\This is an extremely serious situation...\considering how, not too far from Yunosagi\something of this scale is being constructed.\8000 yen a night, eh?\I'd like to pay them a visit one day.\What are you talking about?! response:	The completion of this project will be a huge blow to Yunosagi!
context: Yunosagi Hot Springs area scored poorly.\This is an extremely serious situation...\considering how, not too far from Yunosagi\something of this scale is being constructed.\8000 yen a night, eh?\I'd like to pay them a visit one day.\What are you talking about?!\The completion of this project will be a huge blow to Yunosagi! response:	We shouldn't be competing with them on this.
context: This is an extremely serious situation...\considering how, not too far from Yunosagi\something of this scale is being constructed.\8000 yen a night, eh?\I'd like to pay them a visit one day.\What are you talking about?!\The completion of this project will be a huge blow to Yunosagi!\We shouldn't be competing with them on this. response:	The quality is what counts-
context: considering how, not too far from Yunosagi\something of this scale is being constructed.\8000 yen a night, eh?\I'd like to pay them a visit one day.\What are you talking about?!\The completion of this project will be a huge blow to Yunosagi!\We shouldn't be competing with them on this.\The quality is what counts- response:	And this magazine questions our quality!
context: something of this scale is being constructed.\8000 yen a night, eh?\I'd like to pay them a visit one day.\What are you talking about?!\The completion of this project will be a huge blow to Yunosagi!\We shouldn't be competing with them on this.\The quality is what counts-\And this magazine questions our quality! response:	This is not the time to be fighting amongst one another.
context: 8000 yen a night, eh?\I'd like to pay them a visit one day.\What are you talking about?!\The completion of this project will be a huge blow to Yunosagi!\We shouldn't be competing with them on this.\The quality is what counts-\And this magazine questions our quality!\This is not the time to be fighting amongst one another. response:	Everyone in the Yunosagi group needs to work together.
context: I'd like to pay them a visit one day.\What are you talking about?!\The completion of this project will be a huge blow to Yunosagi!\We shouldn't be competing with them on this.\The quality is what counts-\And this magazine questions our quality!\This is not the time to be fighting amongst one another.\Everyone in the Yunosagi group needs to work together. response:	Watcha doin'?
context: What are you talking about?!\The completion of this project will be a huge blow to Yunosagi!\We shouldn't be competing with them on this.\The quality is what counts-\And this magazine questions our quality!\This is not the time to be fighting amongst one another.\Everyone in the Yunosagi group needs to work together.\Watcha doin'? response:	Sorry for dragging you to help me.
context: The completion of this project will be a huge blow to Yunosagi!\We shouldn't be competing with them on this.\The quality is what counts-\And this magazine questions our quality!\This is not the time to be fighting amongst one another.\Everyone in the Yunosagi group needs to work together.\Watcha doin'?\Sorry for dragging you to help me. response:	These will be used in the Bonbori Festival, right?
context: We shouldn't be competing with them on this.\The quality is what counts-\And this magazine questions our quality!\This is not the time to be fighting amongst one another.\Everyone in the Yunosagi group needs to work together.\Watcha doin'?\Sorry for dragging you to help me.\These will be used in the Bonbori Festival, right? response:	Yeah. Isn't it a pain?
context: The quality is what counts-\And this magazine questions our quality!\This is not the time to be fighting amongst one another.\Everyone in the Yunosagi group needs to work together.\Watcha doin'?\Sorry for dragging you to help me.\These will be used in the Bonbori Festival, right?\Yeah. Isn't it a pain? response:	But Grandma's really irritated at the moment,
context: And this magazine questions our quality!\This is not the time to be fighting amongst one another.\Everyone in the Yunosagi group needs to work together.\Watcha doin'?\Sorry for dragging you to help me.\These will be used in the Bonbori Festival, right?\Yeah. Isn't it a pain?\But Grandma's really irritated at the moment, response:	so arguing with her is a bad idea right now.
context: This is not the time to be fighting amongst one another.\Everyone in the Yunosagi group needs to work together.\Watcha doin'?\Sorry for dragging you to help me.\These will be used in the Bonbori Festival, right?\Yeah. Isn't it a pain?\But Grandma's really irritated at the moment,\so arguing with her is a bad idea right now. response:	Of course she's irritated.
context: Everyone in the Yunosagi group needs to work together.\Watcha doin'?\Sorry for dragging you to help me.\These will be used in the Bonbori Festival, right?\Yeah. Isn't it a pain?\But Grandma's really irritated at the moment,\so arguing with her is a bad idea right now.\Of course she's irritated. response:	Everyone was given such awful reviews,
context: Watcha doin'?\Sorry for dragging you to help me.\These will be used in the Bonbori Festival, right?\Yeah. Isn't it a pain?\But Grandma's really irritated at the moment,\so arguing with her is a bad idea right now.\Of course she's irritated.\Everyone was given such awful reviews, response:	and some huge hotel's being built nearby.
context: Sorry for dragging you to help me.\These will be used in the Bonbori Festival, right?\Yeah. Isn't it a pain?\But Grandma's really irritated at the moment,\so arguing with her is a bad idea right now.\Of course she's irritated.\Everyone was given such awful reviews,\and some huge hotel's being built nearby. response:	But it sounds really nice.
context: These will be used in the Bonbori Festival, right?\Yeah. Isn't it a pain?\But Grandma's really irritated at the moment,\so arguing with her is a bad idea right now.\Of course she's irritated.\Everyone was given such awful reviews,\and some huge hotel's being built nearby.\But it sounds really nice. response:	I'd like to stay there at least once!
context: Yeah. Isn't it a pain?\But Grandma's really irritated at the moment,\so arguing with her is a bad idea right now.\Of course she's irritated.\Everyone was given such awful reviews,\and some huge hotel's being built nearby.\But it sounds really nice.\I'd like to stay there at least once! response:	Yuina...
context: But Grandma's really irritated at the moment,\so arguing with her is a bad idea right now.\Of course she's irritated.\Everyone was given such awful reviews,\and some huge hotel's being built nearby.\But it sounds really nice.\I'd like to stay there at least once!\Yuina... response:	If you do that, I'm calling you balut.
context: so arguing with her is a bad idea right now.\Of course she's irritated.\Everyone was given such awful reviews,\and some huge hotel's being built nearby.\But it sounds really nice.\I'd like to stay there at least once!\Yuina...\If you do that, I'm calling you balut. response:	No...
context: Of course she's irritated.\Everyone was given such awful reviews,\and some huge hotel's being built nearby.\But it sounds really nice.\I'd like to stay there at least once!\Yuina...\If you do that, I'm calling you balut.\No... response:	You're not the one to blame here.
context: Everyone was given such awful reviews,\and some huge hotel's being built nearby.\But it sounds really nice.\I'd like to stay there at least once!\Yuina...\If you do that, I'm calling you balut.\No...\You're not the one to blame here. response:	Umm...
context: and some huge hotel's being built nearby.\But it sounds really nice.\I'd like to stay there at least once!\Yuina...\If you do that, I'm calling you balut.\No...\You're not the one to blame here.\Umm... response:	Yeah!
context: But it sounds really nice.\I'd like to stay there at least once!\Yuina...\If you do that, I'm calling you balut.\No...\You're not the one to blame here.\Umm...\Yeah! response:	I don't care how you feel.
context: I'd like to stay there at least once!\Yuina...\If you do that, I'm calling you balut.\No...\You're not the one to blame here.\Umm...\Yeah!\I don't care how you feel. response:	I'm gonna fest it up!
context: Yuina...\If you do that, I'm calling you balut.\No...\You're not the one to blame here.\Umm...\Yeah!\I don't care how you feel.\I'm gonna fest it up! response:	Fest it up?
context: If you do that, I'm calling you balut.\No...\You're not the one to blame here.\Umm...\Yeah!\I don't care how you feel.\I'm gonna fest it up!\Fest it up? response:	I just made that phrase up!
context: No...\You're not the one to blame here.\Umm...\Yeah!\I don't care how you feel.\I'm gonna fest it up!\Fest it up?\I just made that phrase up! response:	You're so funny, Ohana.
context: You're not the one to blame here.\Umm...\Yeah!\I don't care how you feel.\I'm gonna fest it up!\Fest it up?\I just made that phrase up!\You're so funny, Ohana. response:	You want a vacation?
context: Umm...\Yeah!\I don't care how you feel.\I'm gonna fest it up!\Fest it up?\I just made that phrase up!\You're so funny, Ohana.\You want a vacation? response:	Yes.
context: Yeah!\I don't care how you feel.\I'm gonna fest it up!\Fest it up?\I just made that phrase up!\You're so funny, Ohana.\You want a vacation?\Yes. response:	I want to know why the publishers gave us that review.
context: I don't care how you feel.\I'm gonna fest it up!\Fest it up?\I just made that phrase up!\You're so funny, Ohana.\You want a vacation?\Yes.\I want to know why the publishers gave us that review. response:	Ohana...
context: I'm gonna fest it up!\Fest it up?\I just made that phrase up!\You're so funny, Ohana.\You want a vacation?\Yes.\I want to know why the publishers gave us that review.\Ohana... response:	We don't have a lot of customers this weekend,
context: Fest it up?\I just made that phrase up!\You're so funny, Ohana.\You want a vacation?\Yes.\I want to know why the publishers gave us that review.\Ohana...\We don't have a lot of customers this weekend, response:	and even though I tried calling-
context: I just made that phrase up!\You're so funny, Ohana.\You want a vacation?\Yes.\I want to know why the publishers gave us that review.\Ohana...\We don't have a lot of customers this weekend,\and even though I tried calling- response:	That's a waste of time.
context: You're so funny, Ohana.\You want a vacation?\Yes.\I want to know why the publishers gave us that review.\Ohana...\We don't have a lot of customers this weekend,\and even though I tried calling-\That's a waste of time. response:	Reviews are supposed to be given by others, not by yourself.
context: You want a vacation?\Yes.\I want to know why the publishers gave us that review.\Ohana...\We don't have a lot of customers this weekend,\and even though I tried calling-\That's a waste of time.\Reviews are supposed to be given by others, not by yourself. response:	But...
context: Yes.\I want to know why the publishers gave us that review.\Ohana...\We don't have a lot of customers this weekend,\and even though I tried calling-\That's a waste of time.\Reviews are supposed to be given by others, not by yourself.\But... response:	Even if you're unsatisfied with the review,
context: I want to know why the publishers gave us that review.\Ohana...\We don't have a lot of customers this weekend,\and even though I tried calling-\That's a waste of time.\Reviews are supposed to be given by others, not by yourself.\But...\Even if you're unsatisfied with the review, response:	you need to accept it,
context: Ohana...\We don't have a lot of customers this weekend,\and even though I tried calling-\That's a waste of time.\Reviews are supposed to be given by others, not by yourself.\But...\Even if you're unsatisfied with the review,\you need to accept it, response:	move on, and work to improve yourself.
context: We don't have a lot of customers this weekend,\and even though I tried calling-\That's a waste of time.\Reviews are supposed to be given by others, not by yourself.\But...\Even if you're unsatisfied with the review,\you need to accept it,\move on, and work to improve yourself. response:	But...
context: and even though I tried calling-\That's a waste of time.\Reviews are supposed to be given by others, not by yourself.\But...\Even if you're unsatisfied with the review,\you need to accept it,\move on, and work to improve yourself.\But... response:	But it is wrong!
context: That's a waste of time.\Reviews are supposed to be given by others, not by yourself.\But...\Even if you're unsatisfied with the review,\you need to accept it,\move on, and work to improve yourself.\But...\But it is wrong! response:	Ohana...
context: Reviews are supposed to be given by others, not by yourself.\But...\Even if you're unsatisfied with the review,\you need to accept it,\move on, and work to improve yourself.\But...\But it is wrong!\Ohana... response:	That's because...
context: But...\Even if you're unsatisfied with the review,\you need to accept it,\move on, and work to improve yourself.\But...\But it is wrong!\Ohana...\That's because... response:	Kissuiso...
context: Even if you're unsatisfied with the review,\you need to accept it,\move on, and work to improve yourself.\But...\But it is wrong!\Ohana...\That's because...\Kissuiso... response:	is a much better inn than any of the others!
context: you need to accept it,\move on, and work to improve yourself.\But...\But it is wrong!\Ohana...\That's because...\Kissuiso...\is a much better inn than any of the others! response:	I refuse to accept such a review.
context: move on, and work to improve yourself.\But...\But it is wrong!\Ohana...\That's because...\Kissuiso...\is a much better inn than any of the others!\I refuse to accept such a review. response:	Ohana went looking for a fight?!
context: But...\But it is wrong!\Ohana...\That's because...\Kissuiso...\is a much better inn than any of the others!\I refuse to accept such a review.\Ohana went looking for a fight?! response:	She left a note.
context: But it is wrong!\Ohana...\That's because...\Kissuiso...\is a much better inn than any of the others!\I refuse to accept such a review.\Ohana went looking for a fight?!\She left a note. response:	Let me see...
context: Ohana...\That's because...\Kissuiso...\is a much better inn than any of the others!\I refuse to accept such a review.\Ohana went looking for a fight?!\She left a note.\Let me see... response:	I'm going to
context: That's because...\Kissuiso...\is a much better inn than any of the others!\I refuse to accept such a review.\Ohana went looking for a fight?!\She left a note.\Let me see...\I'm going to response:	talk to the person who gave
context: Kissuiso...\is a much better inn than any of the others!\I refuse to accept such a review.\Ohana went looking for a fight?!\She left a note.\Let me see...\I'm going to\talk to the person who gave response:	Kissuiso that crazy review.
context: is a much better inn than any of the others!\I refuse to accept such a review.\Ohana went looking for a fight?!\She left a note.\Let me see...\I'm going to\talk to the person who gave\Kissuiso that crazy review. response:	I'm gonna fest it up.
context: I refuse to accept such a review.\Ohana went looking for a fight?!\She left a note.\Let me see...\I'm going to\talk to the person who gave\Kissuiso that crazy review.\I'm gonna fest it up. response:	What does that even mean?
context: Ohana went looking for a fight?!\She left a note.\Let me see...\I'm going to\talk to the person who gave\Kissuiso that crazy review.\I'm gonna fest it up.\What does that even mean? response:	Maybe Ohana's Japanese deserves
context: She left a note.\Let me see...\I'm going to\talk to the person who gave\Kissuiso that crazy review.\I'm gonna fest it up.\What does that even mean?\Maybe Ohana's Japanese deserves response:	a five out of ten too.
context: Let me see...\I'm going to\talk to the person who gave\Kissuiso that crazy review.\I'm gonna fest it up.\What does that even mean?\Maybe Ohana's Japanese deserves\a five out of ten too. response:	Yes, you've reached Kissuiso.
context: I'm going to\talk to the person who gave\Kissuiso that crazy review.\I'm gonna fest it up.\What does that even mean?\Maybe Ohana's Japanese deserves\a five out of ten too.\Yes, you've reached Kissuiso. response:	Okay.
context: talk to the person who gave\Kissuiso that crazy review.\I'm gonna fest it up.\What does that even mean?\Maybe Ohana's Japanese deserves\a five out of ten too.\Yes, you've reached Kissuiso.\Okay. response:	I understand.
context: Kissuiso that crazy review.\I'm gonna fest it up.\What does that even mean?\Maybe Ohana's Japanese deserves\a five out of ten too.\Yes, you've reached Kissuiso.\Okay.\I understand. response:	Hello, you've reached Kissuiso.
context: I'm gonna fest it up.\What does that even mean?\Maybe Ohana's Japanese deserves\a five out of ten too.\Yes, you've reached Kissuiso.\Okay.\I understand.\Hello, you've reached Kissuiso. response:	Okay.
context: What does that even mean?\Maybe Ohana's Japanese deserves\a five out of ten too.\Yes, you've reached Kissuiso.\Okay.\I understand.\Hello, you've reached Kissuiso.\Okay. response:	Madam Manager, a customer who had
context: Maybe Ohana's Japanese deserves\a five out of ten too.\Yes, you've reached Kissuiso.\Okay.\I understand.\Hello, you've reached Kissuiso.\Okay.\Madam Manager, a customer who had response:	a reservation with us just canceled.
context: a five out of ten too.\Yes, you've reached Kissuiso.\Okay.\I understand.\Hello, you've reached Kissuiso.\Okay.\Madam Manager, a customer who had\a reservation with us just canceled. response:	Seriously?!
context: Yes, you've reached Kissuiso.\Okay.\I understand.\Hello, you've reached Kissuiso.\Okay.\Madam Manager, a customer who had\a reservation with us just canceled.\Seriously?! response:	Umm...
context: Okay.\I understand.\Hello, you've reached Kissuiso.\Okay.\Madam Manager, a customer who had\a reservation with us just canceled.\Seriously?!\Umm... response:	This customer's canceling too...
context: I understand.\Hello, you've reached Kissuiso.\Okay.\Madam Manager, a customer who had\a reservation with us just canceled.\Seriously?!\Umm...\This customer's canceling too... response:	It's because of that magazine!
context: Hello, you've reached Kissuiso.\Okay.\Madam Manager, a customer who had\a reservation with us just canceled.\Seriously?!\Umm...\This customer's canceling too...\It's because of that magazine! response:	Madam Manager!
context: Okay.\Madam Manager, a customer who had\a reservation with us just canceled.\Seriously?!\Umm...\This customer's canceling too...\It's because of that magazine!\Madam Manager! response:	Madam Manager!
context: Madam Manager, a customer who had\a reservation with us just canceled.\Seriously?!\Umm...\This customer's canceling too...\It's because of that magazine!\Madam Manager!\Madam Manager! response:	Working hard so my wish will come true. My wish at the Bonbori Festival. Fest it up
context: a reservation with us just canceled.\Seriously?!\Umm...\This customer's canceling too...\It's because of that magazine!\Madam Manager!\Madam Manager!\Working hard so my wish will come true. My wish at the Bonbori Festival. Fest it up response:	Fest it up.
context: Seriously?!\Umm...\This customer's canceling too...\It's because of that magazine!\Madam Manager!\Madam Manager!\Working hard so my wish will come true. My wish at the Bonbori Festival. Fest it up\Fest it up. response:	Nakochi
context: Umm...\This customer's canceling too...\It's because of that magazine!\Madam Manager!\Madam Manager!\Working hard so my wish will come true. My wish at the Bonbori Festival. Fest it up\Fest it up.\Nakochi response:	Sorry...
context: This customer's canceling too...\It's because of that magazine!\Madam Manager!\Madam Manager!\Working hard so my wish will come true. My wish at the Bonbori Festival. Fest it up\Fest it up.\Nakochi\Sorry... response:	I can't answer the phone right now.
context: It's because of that magazine!\Madam Manager!\Madam Manager!\Working hard so my wish will come true. My wish at the Bonbori Festival. Fest it up\Fest it up.\Nakochi\Sorry...\I can't answer the phone right now. response:	I need to fest it up.
context: Madam Manager!\Madam Manager!\Working hard so my wish will come true. My wish at the Bonbori Festival. Fest it up\Fest it up.\Nakochi\Sorry...\I can't answer the phone right now.\I need to fest it up. response:	I need to fest it up in order to protect Kissuiso.
context: Madam Manager!\Working hard so my wish will come true. My wish at the Bonbori Festival. Fest it up\Fest it up.\Nakochi\Sorry...\I can't answer the phone right now.\I need to fest it up.\I need to fest it up in order to protect Kissuiso. response:	Well, that article was written by an editor.
context: Working hard so my wish will come true. My wish at the Bonbori Festival. Fest it up\Fest it up.\Nakochi\Sorry...\I can't answer the phone right now.\I need to fest it up.\I need to fest it up in order to protect Kissuiso.\Well, that article was written by an editor. response:	We don't have anything to do with-
context: Fest it up.\Nakochi\Sorry...\I can't answer the phone right now.\I need to fest it up.\I need to fest it up in order to protect Kissuiso.\Well, that article was written by an editor.\We don't have anything to do with- response:	You published it yet you're saying that you have nothing to do with this?!
context: Nakochi\Sorry...\I can't answer the phone right now.\I need to fest it up.\I need to fest it up in order to protect Kissuiso.\Well, that article was written by an editor.\We don't have anything to do with-\You published it yet you're saying that you have nothing to do with this?! response:	Are you that irresponsible?!
context: Sorry...\I can't answer the phone right now.\I need to fest it up.\I need to fest it up in order to protect Kissuiso.\Well, that article was written by an editor.\We don't have anything to do with-\You published it yet you're saying that you have nothing to do with this?!\Are you that irresponsible?! response:	So the mass media really is as evil as everyone says?!
context: I can't answer the phone right now.\I need to fest it up.\I need to fest it up in order to protect Kissuiso.\Well, that article was written by an editor.\We don't have anything to do with-\You published it yet you're saying that you have nothing to do with this?!\Are you that irresponsible?!\So the mass media really is as evil as everyone says?! response:	No...
context: I need to fest it up.\I need to fest it up in order to protect Kissuiso.\Well, that article was written by an editor.\We don't have anything to do with-\You published it yet you're saying that you have nothing to do with this?!\Are you that irresponsible?!\So the mass media really is as evil as everyone says?!\No... response:	Well...
context: I need to fest it up in order to protect Kissuiso.\Well, that article was written by an editor.\We don't have anything to do with-\You published it yet you're saying that you have nothing to do with this?!\Are you that irresponsible?!\So the mass media really is as evil as everyone says?!\No...\Well... response:	Tell me!
context: Well, that article was written by an editor.\We don't have anything to do with-\You published it yet you're saying that you have nothing to do with this?!\Are you that irresponsible?!\So the mass media really is as evil as everyone says?!\No...\Well...\Tell me! response:	Who in the world wrote this awful article?
context: We don't have anything to do with-\You published it yet you're saying that you have nothing to do with this?!\Are you that irresponsible?!\So the mass media really is as evil as everyone says?!\No...\Well...\Tell me!\Who in the world wrote this awful article? response:	N-Now...
context: You published it yet you're saying that you have nothing to do with this?!\Are you that irresponsible?!\So the mass media really is as evil as everyone says?!\No...\Well...\Tell me!\Who in the world wrote this awful article?\N-Now... response:	You're close! Too close!
context: Are you that irresponsible?!\So the mass media really is as evil as everyone says?!\No...\Well...\Tell me!\Who in the world wrote this awful article?\N-Now...\You're close! Too close! response:	I'm sorry!
context: So the mass media really is as evil as everyone says?!\No...\Well...\Tell me!\Who in the world wrote this awful article?\N-Now...\You're close! Too close!\I'm sorry! response:	Please tell me!
