context: CITY A HERO ASSOCIATION HQ response:	Then it is decided that Mumen Rider CITY A HERO ASSOCIATION HQ
context: the numbers are meaningless.\Therefore, we ought to be even more critical during evaluations.\Also, I hear that a certain person of interest\is taking the exam this time.\Yes, it hasn't been confirmed yet,\but it seems very likely that he will.\HERO TEST LOCATION 6\Candidates, please form two lines for registration. response:	Next! Side-to-side jumps for 30 seconds!
context: Therefore, we ought to be even more critical during evaluations.\Also, I hear that a certain person of interest\is taking the exam this time.\Yes, it hasn't been confirmed yet,\but it seems very likely that he will.\HERO TEST LOCATION 6\Candidates, please form two lines for registration.\Next! Side-to-side jumps for 30 seconds! response:	Ready
context: Also, I hear that a certain person of interest\is taking the exam this time.\Yes, it hasn't been confirmed yet,\but it seems very likely that he will.\HERO TEST LOCATION 6\Candidates, please form two lines for registration.\Next! Side-to-side jumps for 30 seconds!\Ready response:	Go!
context: is taking the exam this time.\Yes, it hasn't been confirmed yet,\but it seems very likely that he will.\HERO TEST LOCATION 6\Candidates, please form two lines for registration.\Next! Side-to-side jumps for 30 seconds!\Ready\Go! response:	Next, the 1500-meter run. Go!
context: Yes, it hasn't been confirmed yet,\but it seems very likely that he will.\HERO TEST LOCATION 6\Candidates, please form two lines for registration.\Next! Side-to-side jumps for 30 seconds!\Ready\Go!\Next, the 1500-meter run. Go! response:	Next, weightlifting!
context: but it seems very likely that he will.\HERO TEST LOCATION 6\Candidates, please form two lines for registration.\Next! Side-to-side jumps for 30 seconds!\Ready\Go!\Next, the 1500-meter run. Go!\Next, weightlifting! response:	Next, shot put!
context: HERO TEST LOCATION 6\Candidates, please form two lines for registration.\Next! Side-to-side jumps for 30 seconds!\Ready\Go!\Next, the 1500-meter run. Go!\Next, weightlifting!\Next, shot put! response:	Vertical jumping!
context: Candidates, please form two lines for registration.\Next! Side-to-side jumps for 30 seconds!\Ready\Go!\Next, the 1500-meter run. Go!\Next, weightlifting!\Next, shot put!\Vertical jumping! response:	Whack-a-Mole!
context: Next! Side-to-side jumps for 30 seconds!\Ready\Go!\Next, the 1500-meter run. Go!\Next, weightlifting!\Next, shot put!\Vertical jumping!\Whack-a-Mole! response:	Punching machine!
context: Ready\Go!\Next, the 1500-meter run. Go!\Next, weightlifting!\Next, shot put!\Vertical jumping!\Whack-a-Mole!\Punching machine! response:	I'm going home
context: Go!\Next, the 1500-meter run. Go!\Next, weightlifting!\Next, shot put!\Vertical jumping!\Whack-a-Mole!\Punching machine!\I'm going home response:	THE ULTIMATE MASTER
context: Next, the 1500-meter run. Go!\Next, weightlifting!\Next, shot put!\Vertical jumping!\Whack-a-Mole!\Punching machine!\I'm going home\THE ULTIMATE MASTER response:	Finally done with all the tests.
context: Next, weightlifting!\Next, shot put!\Vertical jumping!\Whack-a-Mole!\Punching machine!\I'm going home\THE ULTIMATE MASTER\Finally done with all the tests. response:	Now I just wait for the results.
context: Next, shot put!\Vertical jumping!\Whack-a-Mole!\Punching machine!\I'm going home\THE ULTIMATE MASTER\Finally done with all the tests.\Now I just wait for the results. response:	Oh, you done, too?
context: Vertical jumping!\Whack-a-Mole!\Punching machine!\I'm going home\THE ULTIMATE MASTER\Finally done with all the tests.\Now I just wait for the results.\Oh, you done, too? response:	Yes.
context: Whack-a-Mole!\Punching machine!\I'm going home\THE ULTIMATE MASTER\Finally done with all the tests.\Now I just wait for the results.\Oh, you done, too?\Yes. response:	Hey, is there a point in you taking fitness tests?
context: Punching machine!\I'm going home\THE ULTIMATE MASTER\Finally done with all the tests.\Now I just wait for the results.\Oh, you done, too?\Yes.\Hey, is there a point in you taking fitness tests? response:	Huh?
context: I'm going home\THE ULTIMATE MASTER\Finally done with all the tests.\Now I just wait for the results.\Oh, you done, too?\Yes.\Hey, is there a point in you taking fitness tests?\Huh? response:	I mean, can't you just give them the data on your specs?
context: THE ULTIMATE MASTER\Finally done with all the tests.\Now I just wait for the results.\Oh, you done, too?\Yes.\Hey, is there a point in you taking fitness tests?\Huh?\I mean, can't you just give them the data on your specs? response:	Well, whatever. So how was it?
context: Finally done with all the tests.\Now I just wait for the results.\Oh, you done, too?\Yes.\Hey, is there a point in you taking fitness tests?\Huh?\I mean, can't you just give them the data on your specs?\Well, whatever. So how was it? response:	Both the written and fitness tests were far too simple.
context: Now I just wait for the results.\Oh, you done, too?\Yes.\Hey, is there a point in you taking fitness tests?\Huh?\I mean, can't you just give them the data on your specs?\Well, whatever. So how was it?\Both the written and fitness tests were far too simple. response:	Right? Is that really all there is to becoming a hero?
context: Oh, you done, too?\Yes.\Hey, is there a point in you taking fitness tests?\Huh?\I mean, can't you just give them the data on your specs?\Well, whatever. So how was it?\Both the written and fitness tests were far too simple.\Right? Is that really all there is to becoming a hero? response:	We should get our results soon.
context: Yes.\Hey, is there a point in you taking fitness tests?\Huh?\I mean, can't you just give them the data on your specs?\Well, whatever. So how was it?\Both the written and fitness tests were far too simple.\Right? Is that really all there is to becoming a hero?\We should get our results soon. response:	70 points is a passing grade.
context: Hey, is there a point in you taking fitness tests?\Huh?\I mean, can't you just give them the data on your specs?\Well, whatever. So how was it?\Both the written and fitness tests were far too simple.\Right? Is that really all there is to becoming a hero?\We should get our results soon.\70 points is a passing grade. response:	The written test was so easy anyone could get full points on it.
context: Huh?\I mean, can't you just give them the data on your specs?\Well, whatever. So how was it?\Both the written and fitness tests were far too simple.\Right? Is that really all there is to becoming a hero?\We should get our results soon.\70 points is a passing grade.\The written test was so easy anyone could get full points on it. response:	That just leaves the fitness test,
context: I mean, can't you just give them the data on your specs?\Well, whatever. So how was it?\Both the written and fitness tests were far too simple.\Right? Is that really all there is to becoming a hero?\We should get our results soon.\70 points is a passing grade.\The written test was so easy anyone could get full points on it.\That just leaves the fitness test, response:	which for us should not have posed any problems.
context: Well, whatever. So how was it?\Both the written and fitness tests were far too simple.\Right? Is that really all there is to becoming a hero?\We should get our results soon.\70 points is a passing grade.\The written test was so easy anyone could get full points on it.\That just leaves the fitness test,\which for us should not have posed any problems. response:	ONE HOUR LATER
context: Both the written and fitness tests were far too simple.\Right? Is that really all there is to becoming a hero?\We should get our results soon.\70 points is a passing grade.\The written test was so easy anyone could get full points on it.\That just leaves the fitness test,\which for us should not have posed any problems.\ONE HOUR LATER response:	I got 100 points.
context: Right? Is that really all there is to becoming a hero?\We should get our results soon.\70 points is a passing grade.\The written test was so easy anyone could get full points on it.\That just leaves the fitness test,\which for us should not have posed any problems.\ONE HOUR LATER\I got 100 points. response:	Seriously?
context: We should get our results soon.\70 points is a passing grade.\The written test was so easy anyone could get full points on it.\That just leaves the fitness test,\which for us should not have posed any problems.\ONE HOUR LATER\I got 100 points.\Seriously? response:	Yes.
context: 70 points is a passing grade.\The written test was so easy anyone could get full points on it.\That just leaves the fitness test,\which for us should not have posed any problems.\ONE HOUR LATER\I got 100 points.\Seriously?\Yes. response:	It says I'm certified as a class S hero.
context: The written test was so easy anyone could get full points on it.\That just leaves the fitness test,\which for us should not have posed any problems.\ONE HOUR LATER\I got 100 points.\Seriously?\Yes.\It says I'm certified as a class S hero. response:	Class S? What's that?
context: That just leaves the fitness test,\which for us should not have posed any problems.\ONE HOUR LATER\I got 100 points.\Seriously?\Yes.\It says I'm certified as a class S hero.\Class S? What's that? response:	I am sure these rankings mean little.
context: which for us should not have posed any problems.\ONE HOUR LATER\I got 100 points.\Seriously?\Yes.\It says I'm certified as a class S hero.\Class S? What's that?\I am sure these rankings mean little. response:	How did you do, Master?
context: ONE HOUR LATER\I got 100 points.\Seriously?\Yes.\It says I'm certified as a class S hero.\Class S? What's that?\I am sure these rankings mean little.\How did you do, Master? response:	Huh?
context: I got 100 points.\Seriously?\Yes.\It says I'm certified as a class S hero.\Class S? What's that?\I am sure these rankings mean little.\How did you do, Master?\Huh? response:	Oh! The letter says I'm also
context: Seriously?\Yes.\It says I'm certified as a class S hero.\Class S? What's that?\I am sure these rankings mean little.\How did you do, Master?\Huh?\Oh! The letter says I'm also response:	Class S.
context: Yes.\It says I'm certified as a class S hero.\Class S? What's that?\I am sure these rankings mean little.\How did you do, Master?\Huh?\Oh! The letter says I'm also\Class S. response:	I am not surprised.
context: It says I'm certified as a class S hero.\Class S? What's that?\I am sure these rankings mean little.\How did you do, Master?\Huh?\Oh! The letter says I'm also\Class S.\I am not surprised. response:	On top of that, the font size is bigger than mine.
context: Class S? What's that?\I am sure these rankings mean little.\How did you do, Master?\Huh?\Oh! The letter says I'm also\Class S.\I am not surprised.\On top of that, the font size is bigger than mine. response:	I expected nothing less, Master.
context: I am sure these rankings mean little.\How did you do, Master?\Huh?\Oh! The letter says I'm also\Class S.\I am not surprised.\On top of that, the font size is bigger than mine.\I expected nothing less, Master. response:	By the way, what did they ask you at the interview?
context: How did you do, Master?\Huh?\Oh! The letter says I'm also\Class S.\I am not surprised.\On top of that, the font size is bigger than mine.\I expected nothing less, Master.\By the way, what did they ask you at the interview? response:	Interview?
context: Huh?\Oh! The letter says I'm also\Class S.\I am not surprised.\On top of that, the font size is bigger than mine.\I expected nothing less, Master.\By the way, what did they ask you at the interview?\Interview? response:	Yes.
context: Oh! The letter says I'm also\Class S.\I am not surprised.\On top of that, the font size is bigger than mine.\I expected nothing less, Master.\By the way, what did they ask you at the interview?\Interview?\Yes. response:	Just one final question, Genos.
context: Class S.\I am not surprised.\On top of that, the font size is bigger than mine.\I expected nothing less, Master.\By the way, what did they ask you at the interview?\Interview?\Yes.\Just one final question, Genos. response:	Does this building look familiar to you?
context: I am not surprised.\On top of that, the font size is bigger than mine.\I expected nothing less, Master.\By the way, what did they ask you at the interview?\Interview?\Yes.\Just one final question, Genos.\Does this building look familiar to you? response:	We've been secretly investigating a group of troublemakers
context: On top of that, the font size is bigger than mine.\I expected nothing less, Master.\By the way, what did they ask you at the interview?\Interview?\Yes.\Just one final question, Genos.\Does this building look familiar to you?\We've been secretly investigating a group of troublemakers response:	that call themselves the House of Evolution.
context: I expected nothing less, Master.\By the way, what did they ask you at the interview?\Interview?\Yes.\Just one final question, Genos.\Does this building look familiar to you?\We've been secretly investigating a group of troublemakers\that call themselves the House of Evolution. response:	Just when we identified its center of operations,
context: By the way, what did they ask you at the interview?\Interview?\Yes.\Just one final question, Genos.\Does this building look familiar to you?\We've been secretly investigating a group of troublemakers\that call themselves the House of Evolution.\Just when we identified its center of operations, response:	we found the building had been mysteriously destroyed.
context: Interview?\Yes.\Just one final question, Genos.\Does this building look familiar to you?\We've been secretly investigating a group of troublemakers\that call themselves the House of Evolution.\Just when we identified its center of operations,\we found the building had been mysteriously destroyed. response:	And with overwhelmingly intense firepower.
context: Yes.\Just one final question, Genos.\Does this building look familiar to you?\We've been secretly investigating a group of troublemakers\that call themselves the House of Evolution.\Just when we identified its center of operations,\we found the building had been mysteriously destroyed.\And with overwhelmingly intense firepower. response:	Are you responsible for this?
context: Just one final question, Genos.\Does this building look familiar to you?\We've been secretly investigating a group of troublemakers\that call themselves the House of Evolution.\Just when we identified its center of operations,\we found the building had been mysteriously destroyed.\And with overwhelmingly intense firepower.\Are you responsible for this? response:	I am.
context: Does this building look familiar to you?\We've been secretly investigating a group of troublemakers\that call themselves the House of Evolution.\Just when we identified its center of operations,\we found the building had been mysteriously destroyed.\And with overwhelmingly intense firepower.\Are you responsible for this?\I am. response:	Why?
context: We've been secretly investigating a group of troublemakers\that call themselves the House of Evolution.\Just when we identified its center of operations,\we found the building had been mysteriously destroyed.\And with overwhelmingly intense firepower.\Are you responsible for this?\I am.\Why? response:	CERTIFIED S CLASS
context: that call themselves the House of Evolution.\Just when we identified its center of operations,\we found the building had been mysteriously destroyed.\And with overwhelmingly intense firepower.\Are you responsible for this?\I am.\Why?\CERTIFIED S CLASS response:	I see
context: Just when we identified its center of operations,\we found the building had been mysteriously destroyed.\And with overwhelmingly intense firepower.\Are you responsible for this?\I am.\Why?\CERTIFIED S CLASS\I see response:	I suppose it must be that
context: we found the building had been mysteriously destroyed.\And with overwhelmingly intense firepower.\Are you responsible for this?\I am.\Why?\CERTIFIED S CLASS\I see\I suppose it must be that response:	they felt no need to go through the trouble of interviewing you.
context: And with overwhelmingly intense firepower.\Are you responsible for this?\I am.\Why?\CERTIFIED S CLASS\I see\I suppose it must be that\they felt no need to go through the trouble of interviewing you. response:	Master?
context: Are you responsible for this?\I am.\Why?\CERTIFIED S CLASS\I see\I suppose it must be that\they felt no need to go through the trouble of interviewing you.\Master? response:	Yeah, after all
context: I am.\Why?\CERTIFIED S CLASS\I see\I suppose it must be that\they felt no need to go through the trouble of interviewing you.\Master?\Yeah, after all response:	I'm just a class C hero with a score of 71 points.
context: Why?\CERTIFIED S CLASS\I see\I suppose it must be that\they felt no need to go through the trouble of interviewing you.\Master?\Yeah, after all\I'm just a class C hero with a score of 71 points. response:	I see.
context: CERTIFIED S CLASS\I see\I suppose it must be that\they felt no need to go through the trouble of interviewing you.\Master?\Yeah, after all\I'm just a class C hero with a score of 71 points.\I see. response:	So I mistakenly thought the top half of the C was part an S.
context: I see\I suppose it must be that\they felt no need to go through the trouble of interviewing you.\Master?\Yeah, after all\I'm just a class C hero with a score of 71 points.\I see.\So I mistakenly thought the top half of the C was part an S. response:	Stop analyzing it!
context: I suppose it must be that\they felt no need to go through the trouble of interviewing you.\Master?\Yeah, after all\I'm just a class C hero with a score of 71 points.\I see.\So I mistakenly thought the top half of the C was part an S.\Stop analyzing it! response:	It must be a mistake.
context: they felt no need to go through the trouble of interviewing you.\Master?\Yeah, after all\I'm just a class C hero with a score of 71 points.\I see.\So I mistakenly thought the top half of the C was part an S.\Stop analyzing it!\It must be a mistake. response:	I will talk to the person in charge.
context: Master?\Yeah, after all\I'm just a class C hero with a score of 71 points.\I see.\So I mistakenly thought the top half of the C was part an S.\Stop analyzing it!\It must be a mistake.\I will talk to the person in charge. response:	No, don't! You'll just embarrass me!
context: Yeah, after all\I'm just a class C hero with a score of 71 points.\I see.\So I mistakenly thought the top half of the C was part an S.\Stop analyzing it!\It must be a mistake.\I will talk to the person in charge.\No, don't! You'll just embarrass me! response:	Mr. Genos, Mr. Saitama,
context: I'm just a class C hero with a score of 71 points.\I see.\So I mistakenly thought the top half of the C was part an S.\Stop analyzing it!\It must be a mistake.\I will talk to the person in charge.\No, don't! You'll just embarrass me!\Mr. Genos, Mr. Saitama, response:	there will be a seminar for successful candidates at 4:00 PM.
context: I see.\So I mistakenly thought the top half of the C was part an S.\Stop analyzing it!\It must be a mistake.\I will talk to the person in charge.\No, don't! You'll just embarrass me!\Mr. Genos, Mr. Saitama,\there will be a seminar for successful candidates at 4:00 PM. response:	Please come to lecture hall 3.
context: So I mistakenly thought the top half of the C was part an S.\Stop analyzing it!\It must be a mistake.\I will talk to the person in charge.\No, don't! You'll just embarrass me!\Mr. Genos, Mr. Saitama,\there will be a seminar for successful candidates at 4:00 PM.\Please come to lecture hall 3. response:	All right, come on.
context: Stop analyzing it!\It must be a mistake.\I will talk to the person in charge.\No, don't! You'll just embarrass me!\Mr. Genos, Mr. Saitama,\there will be a seminar for successful candidates at 4:00 PM.\Please come to lecture hall 3.\All right, come on. response:	All that really matters is we passed.
context: It must be a mistake.\I will talk to the person in charge.\No, don't! You'll just embarrass me!\Mr. Genos, Mr. Saitama,\there will be a seminar for successful candidates at 4:00 PM.\Please come to lecture hall 3.\All right, come on.\All that really matters is we passed. response:	Let's get it over with and go home.
context: I will talk to the person in charge.\No, don't! You'll just embarrass me!\Mr. Genos, Mr. Saitama,\there will be a seminar for successful candidates at 4:00 PM.\Please come to lecture hall 3.\All right, come on.\All that really matters is we passed.\Let's get it over with and go home. response:	We finally found the cyborg we've been looking for.
context: No, don't! You'll just embarrass me!\Mr. Genos, Mr. Saitama,\there will be a seminar for successful candidates at 4:00 PM.\Please come to lecture hall 3.\All right, come on.\All that really matters is we passed.\Let's get it over with and go home.\We finally found the cyborg we've been looking for. response:	So I've heard.
context: Mr. Genos, Mr. Saitama,\there will be a seminar for successful candidates at 4:00 PM.\Please come to lecture hall 3.\All right, come on.\All that really matters is we passed.\Let's get it over with and go home.\We finally found the cyborg we've been looking for.\So I've heard. response:	In consideration of his past accomplishments,
context: there will be a seminar for successful candidates at 4:00 PM.\Please come to lecture hall 3.\All right, come on.\All that really matters is we passed.\Let's get it over with and go home.\We finally found the cyborg we've been looking for.\So I've heard.\In consideration of his past accomplishments, response:	we made an exception and certified him as a Class S hero.
context: Please come to lecture hall 3.\All right, come on.\All that really matters is we passed.\Let's get it over with and go home.\We finally found the cyborg we've been looking for.\So I've heard.\In consideration of his past accomplishments,\we made an exception and certified him as a Class S hero. response:	I just wanted to make sure you were notified of this.
context: All right, come on.\All that really matters is we passed.\Let's get it over with and go home.\We finally found the cyborg we've been looking for.\So I've heard.\In consideration of his past accomplishments,\we made an exception and certified him as a Class S hero.\I just wanted to make sure you were notified of this. response:	Yes, I approve.
context: All that really matters is we passed.\Let's get it over with and go home.\We finally found the cyborg we've been looking for.\So I've heard.\In consideration of his past accomplishments,\we made an exception and certified him as a Class S hero.\I just wanted to make sure you were notified of this.\Yes, I approve. response:	Genos, huh?
context: Let's get it over with and go home.\We finally found the cyborg we've been looking for.\So I've heard.\In consideration of his past accomplishments,\we made an exception and certified him as a Class S hero.\I just wanted to make sure you were notified of this.\Yes, I approve.\Genos, huh? response:	LECTURE HALL 3
context: We finally found the cyborg we've been looking for.\So I've heard.\In consideration of his past accomplishments,\we made an exception and certified him as a Class S hero.\I just wanted to make sure you were notified of this.\Yes, I approve.\Genos, huh?\LECTURE HALL 3 response:	First, congratulations on passing.
context: So I've heard.\In consideration of his past accomplishments,\we made an exception and certified him as a Class S hero.\I just wanted to make sure you were notified of this.\Yes, I approve.\Genos, huh?\LECTURE HALL 3\First, congratulations on passing. response:	Now one of you only made it on a fluke,
context: In consideration of his past accomplishments,\we made an exception and certified him as a Class S hero.\I just wanted to make sure you were notified of this.\Yes, I approve.\Genos, huh?\LECTURE HALL 3\First, congratulations on passing.\Now one of you only made it on a fluke, response:	so unless you want your luck to go to waste,
context: we made an exception and certified him as a Class S hero.\I just wanted to make sure you were notified of this.\Yes, I approve.\Genos, huh?\LECTURE HALL 3\First, congratulations on passing.\Now one of you only made it on a fluke,\so unless you want your luck to go to waste, response:	I better see you giving it your all.
context: I just wanted to make sure you were notified of this.\Yes, I approve.\Genos, huh?\LECTURE HALL 3\First, congratulations on passing.\Now one of you only made it on a fluke,\so unless you want your luck to go to waste,\I better see you giving it your all. response:	And don't get all puffed up!
context: Yes, I approve.\Genos, huh?\LECTURE HALL 3\First, congratulations on passing.\Now one of you only made it on a fluke,\so unless you want your luck to go to waste,\I better see you giving it your all.\And don't get all puffed up! response:	From here on, keep your hero status in mind and act modestly!
context: Genos, huh?\LECTURE HALL 3\First, congratulations on passing.\Now one of you only made it on a fluke,\so unless you want your luck to go to waste,\I better see you giving it your all.\And don't get all puffed up!\From here on, keep your hero status in mind and act modestly! response:	After all, your faces will be placed on the Hero Association website.
context: LECTURE HALL 3\First, congratulations on passing.\Now one of you only made it on a fluke,\so unless you want your luck to go to waste,\I better see you giving it your all.\And don't get all puffed up!\From here on, keep your hero status in mind and act modestly!\After all, your faces will be placed on the Hero Association website. response:	Did you hear me?
context: First, congratulations on passing.\Now one of you only made it on a fluke,\so unless you want your luck to go to waste,\I better see you giving it your all.\And don't get all puffed up!\From here on, keep your hero status in mind and act modestly!\After all, your faces will be placed on the Hero Association website.\Did you hear me? response:	That goofball head of yours is gonna be shown to the whole world.
context: Now one of you only made it on a fluke,\so unless you want your luck to go to waste,\I better see you giving it your all.\And don't get all puffed up!\From here on, keep your hero status in mind and act modestly!\After all, your faces will be placed on the Hero Association website.\Did you hear me?\That goofball head of yours is gonna be shown to the whole world. response:	If you don't want to humiliate yourselves
context: so unless you want your luck to go to waste,\I better see you giving it your all.\And don't get all puffed up!\From here on, keep your hero status in mind and act modestly!\After all, your faces will be placed on the Hero Association website.\Did you hear me?\That goofball head of yours is gonna be shown to the whole world.\If you don't want to humiliate yourselves response:	Aspire to be a fine hero like me!
context: I better see you giving it your all.\And don't get all puffed up!\From here on, keep your hero status in mind and act modestly!\After all, your faces will be placed on the Hero Association website.\Did you hear me?\That goofball head of yours is gonna be shown to the whole world.\If you don't want to humiliate yourselves\Aspire to be a fine hero like me! response:	Master!
context: And don't get all puffed up!\From here on, keep your hero status in mind and act modestly!\After all, your faces will be placed on the Hero Association website.\Did you hear me?\That goofball head of yours is gonna be shown to the whole world.\If you don't want to humiliate yourselves\Aspire to be a fine hero like me!\Master! response:	As a class A hero, I have some influence over the Association.
context: From here on, keep your hero status in mind and act modestly!\After all, your faces will be placed on the Hero Association website.\Did you hear me?\That goofball head of yours is gonna be shown to the whole world.\If you don't want to humiliate yourselves\Aspire to be a fine hero like me!\Master!\As a class A hero, I have some influence over the Association. response:	I'll make sure those who behave irresponsibly
context: After all, your faces will be placed on the Hero Association website.\Did you hear me?\That goofball head of yours is gonna be shown to the whole world.\If you don't want to humiliate yourselves\Aspire to be a fine hero like me!\Master!\As a class A hero, I have some influence over the Association.\I'll make sure those who behave irresponsibly response:	lose points and get demoted.
context: Did you hear me?\That goofball head of yours is gonna be shown to the whole world.\If you don't want to humiliate yourselves\Aspire to be a fine hero like me!\Master!\As a class A hero, I have some influence over the Association.\I'll make sure those who behave irresponsibly\lose points and get demoted. response:	Don't you forget it!
context: That goofball head of yours is gonna be shown to the whole world.\If you don't want to humiliate yourselves\Aspire to be a fine hero like me!\Master!\As a class A hero, I have some influence over the Association.\I'll make sure those who behave irresponsibly\lose points and get demoted.\Don't you forget it! response:	What should I have for dinner?
context: If you don't want to humiliate yourselves\Aspire to be a fine hero like me!\Master!\As a class A hero, I have some influence over the Association.\I'll make sure those who behave irresponsibly\lose points and get demoted.\Don't you forget it!\What should I have for dinner? response:	Apparently, the Hero Association was formed about three years ago.
context: Aspire to be a fine hero like me!\Master!\As a class A hero, I have some influence over the Association.\I'll make sure those who behave irresponsibly\lose points and get demoted.\Don't you forget it!\What should I have for dinner?\Apparently, the Hero Association was formed about three years ago. response:	So it's only been three years?
context: Master!\As a class A hero, I have some influence over the Association.\I'll make sure those who behave irresponsibly\lose points and get demoted.\Don't you forget it!\What should I have for dinner?\Apparently, the Hero Association was formed about three years ago.\So it's only been three years? response:	It was after the grandchild of a millionaire called Agoni
context: As a class A hero, I have some influence over the Association.\I'll make sure those who behave irresponsibly\lose points and get demoted.\Don't you forget it!\What should I have for dinner?\Apparently, the Hero Association was formed about three years ago.\So it's only been three years?\It was after the grandchild of a millionaire called Agoni response:	was attacked by a monster.
context: I'll make sure those who behave irresponsibly\lose points and get demoted.\Don't you forget it!\What should I have for dinner?\Apparently, the Hero Association was formed about three years ago.\So it's only been three years?\It was after the grandchild of a millionaire called Agoni\was attacked by a monster. response:	The child was saved by a passerby.
