context: Good morning. This is Morioh Radio, response:	brought to you again today by your neighbor, Kai Harada.
context: Sorry, but I'll have to pass.\I need to go deliver these documents.\Goodbye.\Give it up!\He never wants to hang out.\Whenever we invite him out somewhere,\I can't tell if he's really having fun or not.\Yoshikage Kira, age 33, single. response:	He's serious about his work and gets it done efficiently,
context: I need to go deliver these documents.\Goodbye.\Give it up!\He never wants to hang out.\Whenever we invite him out somewhere,\I can't tell if he's really having fun or not.\Yoshikage Kira, age 33, single.\He's serious about his work and gets it done efficiently, response:	but the guy lacks any passion.
context: Goodbye.\Give it up!\He never wants to hang out.\Whenever we invite him out somewhere,\I can't tell if he's really having fun or not.\Yoshikage Kira, age 33, single.\He's serious about his work and gets it done efficiently,\but the guy lacks any passion. response:	He's not a bad guy, but he just doesn't stand out very much.
context: Give it up!\He never wants to hang out.\Whenever we invite him out somewhere,\I can't tell if he's really having fun or not.\Yoshikage Kira, age 33, single.\He's serious about his work and gets it done efficiently,\but the guy lacks any passion.\He's not a bad guy, but he just doesn't stand out very much. response:	Hey, what are you so grumpy about?
context: He never wants to hang out.\Whenever we invite him out somewhere,\I can't tell if he's really having fun or not.\Yoshikage Kira, age 33, single.\He's serious about his work and gets it done efficiently,\but the guy lacks any passion.\He's not a bad guy, but he just doesn't stand out very much.\Hey, what are you so grumpy about? response:	The new girls at work just invited me to lunch, that's all.
context: Whenever we invite him out somewhere,\I can't tell if he's really having fun or not.\Yoshikage Kira, age 33, single.\He's serious about his work and gets it done efficiently,\but the guy lacks any passion.\He's not a bad guy, but he just doesn't stand out very much.\Hey, what are you so grumpy about?\The new girls at work just invited me to lunch, that's all. response:	I promised that I'd have lunch with you,
context: I can't tell if he's really having fun or not.\Yoshikage Kira, age 33, single.\He's serious about his work and gets it done efficiently,\but the guy lacks any passion.\He's not a bad guy, but he just doesn't stand out very much.\Hey, what are you so grumpy about?\The new girls at work just invited me to lunch, that's all.\I promised that I'd have lunch with you, response:	so there's no way I'd go with them.
context: Yoshikage Kira, age 33, single.\He's serious about his work and gets it done efficiently,\but the guy lacks any passion.\He's not a bad guy, but he just doesn't stand out very much.\Hey, what are you so grumpy about?\The new girls at work just invited me to lunch, that's all.\I promised that I'd have lunch with you,\so there's no way I'd go with them. response:	You heard me decline immediately, didn't you?
context: He's serious about his work and gets it done efficiently,\but the guy lacks any passion.\He's not a bad guy, but he just doesn't stand out very much.\Hey, what are you so grumpy about?\The new girls at work just invited me to lunch, that's all.\I promised that I'd have lunch with you,\so there's no way I'd go with them.\You heard me decline immediately, didn't you? response:	Have I ever left you alone? Hm?
context: but the guy lacks any passion.\He's not a bad guy, but he just doesn't stand out very much.\Hey, what are you so grumpy about?\The new girls at work just invited me to lunch, that's all.\I promised that I'd have lunch with you,\so there's no way I'd go with them.\You heard me decline immediately, didn't you?\Have I ever left you alone? Hm? response:	Now, stop worrying about it,
context: He's not a bad guy, but he just doesn't stand out very much.\Hey, what are you so grumpy about?\The new girls at work just invited me to lunch, that's all.\I promised that I'd have lunch with you,\so there's no way I'd go with them.\You heard me decline immediately, didn't you?\Have I ever left you alone? Hm?\Now, stop worrying about it, response:	and let's pick out some sandwiches together.
context: Hey, what are you so grumpy about?\The new girls at work just invited me to lunch, that's all.\I promised that I'd have lunch with you,\so there's no way I'd go with them.\You heard me decline immediately, didn't you?\Have I ever left you alone? Hm?\Now, stop worrying about it,\and let's pick out some sandwiches together. response:	Katsu Sandwich
context: The new girls at work just invited me to lunch, that's all.\I promised that I'd have lunch with you,\so there's no way I'd go with them.\You heard me decline immediately, didn't you?\Have I ever left you alone? Hm?\Now, stop worrying about it,\and let's pick out some sandwiches together.\Katsu Sandwich response:	Come on, which one do you want?
context: I promised that I'd have lunch with you,\so there's no way I'd go with them.\You heard me decline immediately, didn't you?\Have I ever left you alone? Hm?\Now, stop worrying about it,\and let's pick out some sandwiches together.\Katsu Sandwich\Come on, which one do you want? response:	Isn't the bread wonderfully soft?
context: so there's no way I'd go with them.\You heard me decline immediately, didn't you?\Have I ever left you alone? Hm?\Now, stop worrying about it,\and let's pick out some sandwiches together.\Katsu Sandwich\Come on, which one do you want?\Isn't the bread wonderfully soft? response:	The sandwiches at this shop
context: You heard me decline immediately, didn't you?\Have I ever left you alone? Hm?\Now, stop worrying about it,\and let's pick out some sandwiches together.\Katsu Sandwich\Come on, which one do you want?\Isn't the bread wonderfully soft?\The sandwiches at this shop response:	use bread that's freshly baked at 11 AM, so they're really popular.
context: Have I ever left you alone? Hm?\Now, stop worrying about it,\and let's pick out some sandwiches together.\Katsu Sandwich\Come on, which one do you want?\Isn't the bread wonderfully soft?\The sandwiches at this shop\use bread that's freshly baked at 11 AM, so they're really popular. response:	They're usually sold out by 1 PM.
context: Now, stop worrying about it,\and let's pick out some sandwiches together.\Katsu Sandwich\Come on, which one do you want?\Isn't the bread wonderfully soft?\The sandwiches at this shop\use bread that's freshly baked at 11 AM, so they're really popular.\They're usually sold out by 1 PM. response:	You can feel how warm they are, even through the wrapper.
context: and let's pick out some sandwiches together.\Katsu Sandwich\Come on, which one do you want?\Isn't the bread wonderfully soft?\The sandwiches at this shop\use bread that's freshly baked at 11 AM, so they're really popular.\They're usually sold out by 1 PM.\You can feel how warm they are, even through the wrapper. response:	The katsu in the katsu sandwiches are freshly fried, too, and so crispy.
context: Katsu Sandwich\Come on, which one do you want?\Isn't the bread wonderfully soft?\The sandwiches at this shop\use bread that's freshly baked at 11 AM, so they're really popular.\They're usually sold out by 1 PM.\You can feel how warm they are, even through the wrapper.\The katsu in the katsu sandwiches are freshly fried, too, and so crispy. response:	Oh, no.
context: Come on, which one do you want?\Isn't the bread wonderfully soft?\The sandwiches at this shop\use bread that's freshly baked at 11 AM, so they're really popular.\They're usually sold out by 1 PM.\You can feel how warm they are, even through the wrapper.\The katsu in the katsu sandwiches are freshly fried, too, and so crispy.\Oh, no. response:	You broke though the wrapper, and now the sauce is spilling out.
context: Isn't the bread wonderfully soft?\The sandwiches at this shop\use bread that's freshly baked at 11 AM, so they're really popular.\They're usually sold out by 1 PM.\You can feel how warm they are, even through the wrapper.\The katsu in the katsu sandwiches are freshly fried, too, and so crispy.\Oh, no.\You broke though the wrapper, and now the sauce is spilling out. response:	You naughty girl.
context: The sandwiches at this shop\use bread that's freshly baked at 11 AM, so they're really popular.\They're usually sold out by 1 PM.\You can feel how warm they are, even through the wrapper.\The katsu in the katsu sandwiches are freshly fried, too, and so crispy.\Oh, no.\You broke though the wrapper, and now the sauce is spilling out.\You naughty girl. response:	But now this sandwich has a hole in it,
context: use bread that's freshly baked at 11 AM, so they're really popular.\They're usually sold out by 1 PM.\You can feel how warm they are, even through the wrapper.\The katsu in the katsu sandwiches are freshly fried, too, and so crispy.\Oh, no.\You broke though the wrapper, and now the sauce is spilling out.\You naughty girl.\But now this sandwich has a hole in it, response:	so let's buy the one below it.
context: They're usually sold out by 1 PM.\You can feel how warm they are, even through the wrapper.\The katsu in the katsu sandwiches are freshly fried, too, and so crispy.\Oh, no.\You broke though the wrapper, and now the sauce is spilling out.\You naughty girl.\But now this sandwich has a hole in it,\so let's buy the one below it. response:	Thank you very much.
context: You can feel how warm they are, even through the wrapper.\The katsu in the katsu sandwiches are freshly fried, too, and so crispy.\Oh, no.\You broke though the wrapper, and now the sauce is spilling out.\You naughty girl.\But now this sandwich has a hole in it,\so let's buy the one below it.\Thank you very much. response:	Morioh is such a beautiful town...
context: The katsu in the katsu sandwiches are freshly fried, too, and so crispy.\Oh, no.\You broke though the wrapper, and now the sauce is spilling out.\You naughty girl.\But now this sandwich has a hole in it,\so let's buy the one below it.\Thank you very much.\Morioh is such a beautiful town... response:	Could there possibly be another town this wonderful?
context: Oh, no.\You broke though the wrapper, and now the sauce is spilling out.\You naughty girl.\But now this sandwich has a hole in it,\so let's buy the one below it.\Thank you very much.\Morioh is such a beautiful town...\Could there possibly be another town this wonderful? response:	It almost feels like we're on a picnic.
context: You broke though the wrapper, and now the sauce is spilling out.\You naughty girl.\But now this sandwich has a hole in it,\so let's buy the one below it.\Thank you very much.\Morioh is such a beautiful town...\Could there possibly be another town this wonderful?\It almost feels like we're on a picnic. response:	She's getting a bit ripe.
context: You naughty girl.\But now this sandwich has a hole in it,\so let's buy the one below it.\Thank you very much.\Morioh is such a beautiful town...\Could there possibly be another town this wonderful?\It almost feels like we're on a picnic.\She's getting a bit ripe. response:	I guess it's about time to break up with her...
context: But now this sandwich has a hole in it,\so let's buy the one below it.\Thank you very much.\Morioh is such a beautiful town...\Could there possibly be another town this wonderful?\It almost feels like we're on a picnic.\She's getting a bit ripe.\I guess it's about time to break up with her... response:	Time to sever ties.
context: so let's buy the one below it.\Thank you very much.\Morioh is such a beautiful town...\Could there possibly be another town this wonderful?\It almost feels like we're on a picnic.\She's getting a bit ripe.\I guess it's about time to break up with her...\Time to sever ties. response:	Sever ties...
context: Thank you very much.\Morioh is such a beautiful town...\Could there possibly be another town this wonderful?\It almost feels like we're on a picnic.\She's getting a bit ripe.\I guess it's about time to break up with her...\Time to sever ties.\Sever ties... response:	Maybe I'll go find a new girl, one who's on vacation or something.
context: Morioh is such a beautiful town...\Could there possibly be another town this wonderful?\It almost feels like we're on a picnic.\She's getting a bit ripe.\I guess it's about time to break up with her...\Time to sever ties.\Sever ties...\Maybe I'll go find a new girl, one who's on vacation or something. response:	Oh, it's just a dog.
context: Could there possibly be another town this wonderful?\It almost feels like we're on a picnic.\She's getting a bit ripe.\I guess it's about time to break up with her...\Time to sever ties.\Sever ties...\Maybe I'll go find a new girl, one who's on vacation or something.\Oh, it's just a dog. response:	Shigechi!
context: It almost feels like we're on a picnic.\She's getting a bit ripe.\I guess it's about time to break up with her...\Time to sever ties.\Sever ties...\Maybe I'll go find a new girl, one who's on vacation or something.\Oh, it's just a dog.\Shigechi! response:	Oyo?
context: She's getting a bit ripe.\I guess it's about time to break up with her...\Time to sever ties.\Sever ties...\Maybe I'll go find a new girl, one who's on vacation or something.\Oh, it's just a dog.\Shigechi!\Oyo? response:	Josuke, Okuyasu!
context: I guess it's about time to break up with her...\Time to sever ties.\Sever ties...\Maybe I'll go find a new girl, one who's on vacation or something.\Oh, it's just a dog.\Shigechi!\Oyo?\Josuke, Okuyasu! response:	Hey, perfect timing, Shigechi.
context: Time to sever ties.\Sever ties...\Maybe I'll go find a new girl, one who's on vacation or something.\Oh, it's just a dog.\Shigechi!\Oyo?\Josuke, Okuyasu!\Hey, perfect timing, Shigechi. response:	Sorry this is out of the blue, but please lend us some lunch money.
context: Sever ties...\Maybe I'll go find a new girl, one who's on vacation or something.\Oh, it's just a dog.\Shigechi!\Oyo?\Josuke, Okuyasu!\Hey, perfect timing, Shigechi.\Sorry this is out of the blue, but please lend us some lunch money. response:	We forgot to bring money.
context: Maybe I'll go find a new girl, one who's on vacation or something.\Oh, it's just a dog.\Shigechi!\Oyo?\Josuke, Okuyasu!\Hey, perfect timing, Shigechi.\Sorry this is out of the blue, but please lend us some lunch money.\We forgot to bring money. response:	Huh? What are you talking about?
context: Oh, it's just a dog.\Shigechi!\Oyo?\Josuke, Okuyasu!\Hey, perfect timing, Shigechi.\Sorry this is out of the blue, but please lend us some lunch money.\We forgot to bring money.\Huh? What are you talking about? response:	You guys should have your share from the lottery.
context: Shigechi!\Oyo?\Josuke, Okuyasu!\Hey, perfect timing, Shigechi.\Sorry this is out of the blue, but please lend us some lunch money.\We forgot to bring money.\Huh? What are you talking about?\You guys should have your share from the lottery. response:	That money's in the bank.
context: Oyo?\Josuke, Okuyasu!\Hey, perfect timing, Shigechi.\Sorry this is out of the blue, but please lend us some lunch money.\We forgot to bring money.\Huh? What are you talking about?\You guys should have your share from the lottery.\That money's in the bank. response:	It's a pain to have to get money from the bank just for some lunch.
context: Josuke, Okuyasu!\Hey, perfect timing, Shigechi.\Sorry this is out of the blue, but please lend us some lunch money.\We forgot to bring money.\Huh? What are you talking about?\You guys should have your share from the lottery.\That money's in the bank.\It's a pain to have to get money from the bank just for some lunch. response:	A thousand yen will cover both of us.
context: Hey, perfect timing, Shigechi.\Sorry this is out of the blue, but please lend us some lunch money.\We forgot to bring money.\Huh? What are you talking about?\You guys should have your share from the lottery.\That money's in the bank.\It's a pain to have to get money from the bank just for some lunch.\A thousand yen will cover both of us. response:	Yeah.
context: Sorry this is out of the blue, but please lend us some lunch money.\We forgot to bring money.\Huh? What are you talking about?\You guys should have your share from the lottery.\That money's in the bank.\It's a pain to have to get money from the bank just for some lunch.\A thousand yen will cover both of us.\Yeah. response:	Come on, please?
context: We forgot to bring money.\Huh? What are you talking about?\You guys should have your share from the lottery.\That money's in the bank.\It's a pain to have to get money from the bank just for some lunch.\A thousand yen will cover both of us.\Yeah.\Come on, please? response:	We'll go to the bank right after school.
context: Huh? What are you talking about?\You guys should have your share from the lottery.\That money's in the bank.\It's a pain to have to get money from the bank just for some lunch.\A thousand yen will cover both of us.\Yeah.\Come on, please?\We'll go to the bank right after school. response:	Hey, that bag... You've got a sandwich from St. Gentlemen!
context: You guys should have your share from the lottery.\That money's in the bank.\It's a pain to have to get money from the bank just for some lunch.\A thousand yen will cover both of us.\Yeah.\Come on, please?\We'll go to the bank right after school.\Hey, that bag... You've got a sandwich from St. Gentlemen! response:	They actually weren't sold out?
context: That money's in the bank.\It's a pain to have to get money from the bank just for some lunch.\A thousand yen will cover both of us.\Yeah.\Come on, please?\We'll go to the bank right after school.\Hey, that bag... You've got a sandwich from St. Gentlemen!\They actually weren't sold out? response:	You can't have this! This is my lunch.
context: It's a pain to have to get money from the bank just for some lunch.\A thousand yen will cover both of us.\Yeah.\Come on, please?\We'll go to the bank right after school.\Hey, that bag... You've got a sandwich from St. Gentlemen!\They actually weren't sold out?\You can't have this! This is my lunch. response:	Oh, fine. I'll lend you a thousand yen...
context: A thousand yen will cover both of us.\Yeah.\Come on, please?\We'll go to the bank right after school.\Hey, that bag... You've got a sandwich from St. Gentlemen!\They actually weren't sold out?\You can't have this! This is my lunch.\Oh, fine. I'll lend you a thousand yen... response:	That's the spirit!
context: Yeah.\Come on, please?\We'll go to the bank right after school.\Hey, that bag... You've got a sandwich from St. Gentlemen!\They actually weren't sold out?\You can't have this! This is my lunch.\Oh, fine. I'll lend you a thousand yen...\That's the spirit! response:	Thanks!
context: Come on, please?\We'll go to the bank right after school.\Hey, that bag... You've got a sandwich from St. Gentlemen!\They actually weren't sold out?\You can't have this! This is my lunch.\Oh, fine. I'll lend you a thousand yen...\That's the spirit!\Thanks! response:	I'm gonna keep an IOU for this in my planner,
context: We'll go to the bank right after school.\Hey, that bag... You've got a sandwich from St. Gentlemen!\They actually weren't sold out?\You can't have this! This is my lunch.\Oh, fine. I'll lend you a thousand yen...\That's the spirit!\Thanks!\I'm gonna keep an IOU for this in my planner, response:	so don't skip out on me.
context: Hey, that bag... You've got a sandwich from St. Gentlemen!\They actually weren't sold out?\You can't have this! This is my lunch.\Oh, fine. I'll lend you a thousand yen...\That's the spirit!\Thanks!\I'm gonna keep an IOU for this in my planner,\so don't skip out on me. response:	You're the one who skips out all the time!
context: They actually weren't sold out?\You can't have this! This is my lunch.\Oh, fine. I'll lend you a thousand yen...\That's the spirit!\Thanks!\I'm gonna keep an IOU for this in my planner,\so don't skip out on me.\You're the one who skips out all the time! response:	Let's see... June 24th.
context: You can't have this! This is my lunch.\Oh, fine. I'll lend you a thousand yen...\That's the spirit!\Thanks!\I'm gonna keep an IOU for this in my planner,\so don't skip out on me.\You're the one who skips out all the time!\Let's see... June 24th. response:	Well, anyway, thanks again, Shigechi.
context: Oh, fine. I'll lend you a thousand yen...\That's the spirit!\Thanks!\I'm gonna keep an IOU for this in my planner,\so don't skip out on me.\You're the one who skips out all the time!\Let's see... June 24th.\Well, anyway, thanks again, Shigechi. response:	Lent 1,000 yen... Lent?
context: That's the spirit!\Thanks!\I'm gonna keep an IOU for this in my planner,\so don't skip out on me.\You're the one who skips out all the time!\Let's see... June 24th.\Well, anyway, thanks again, Shigechi.\Lent 1,000 yen... Lent? response:	Later!
context: Thanks!\I'm gonna keep an IOU for this in my planner,\so don't skip out on me.\You're the one who skips out all the time!\Let's see... June 24th.\Well, anyway, thanks again, Shigechi.\Lent 1,000 yen... Lent?\Later! response:	Um, how do you write the kanji for lent again?
context: I'm gonna keep an IOU for this in my planner,\so don't skip out on me.\You're the one who skips out all the time!\Let's see... June 24th.\Well, anyway, thanks again, Shigechi.\Lent 1,000 yen... Lent?\Later!\Um, how do you write the kanji for lent again? response:	Lent...
context: so don't skip out on me.\You're the one who skips out all the time!\Let's see... June 24th.\Well, anyway, thanks again, Shigechi.\Lent 1,000 yen... Lent?\Later!\Um, how do you write the kanji for lent again?\Lent... response:	Lent
context: You're the one who skips out all the time!\Let's see... June 24th.\Well, anyway, thanks again, Shigechi.\Lent 1,000 yen... Lent?\Later!\Um, how do you write the kanji for lent again?\Lent...\Lent response:	Well, whatever.
context: Let's see... June 24th.\Well, anyway, thanks again, Shigechi.\Lent 1,000 yen... Lent?\Later!\Um, how do you write the kanji for lent again?\Lent...\Lent\Well, whatever. response:	I'll just write it in hiragana.
context: Well, anyway, thanks again, Shigechi.\Lent 1,000 yen... Lent?\Later!\Um, how do you write the kanji for lent again?\Lent...\Lent\Well, whatever.\I'll just write it in hiragana. response:	I don't know how to write Josuke or Okuyasu in kanji, anyway.
context: Lent 1,000 yen... Lent?\Later!\Um, how do you write the kanji for lent again?\Lent...\Lent\Well, whatever.\I'll just write it in hiragana.\I don't know how to write Josuke or Okuyasu in kanji, anyway. response:	Huh?
context: Later!\Um, how do you write the kanji for lent again?\Lent...\Lent\Well, whatever.\I'll just write it in hiragana.\I don't know how to write Josuke or Okuyasu in kanji, anyway.\Huh? response:	M-My sandwich...
context: Um, how do you write the kanji for lent again?\Lent...\Lent\Well, whatever.\I'll just write it in hiragana.\I don't know how to write Josuke or Okuyasu in kanji, anyway.\Huh?\M-My sandwich... response:	Wh-Where is it?
context: Lent...\Lent\Well, whatever.\I'll just write it in hiragana.\I don't know how to write Josuke or Okuyasu in kanji, anyway.\Huh?\M-My sandwich...\Wh-Where is it? response:	Oh, it's right there.
context: Lent\Well, whatever.\I'll just write it in hiragana.\I don't know how to write Josuke or Okuyasu in kanji, anyway.\Huh?\M-My sandwich...\Wh-Where is it?\Oh, it's right there. response:	I feel like it's further away than it was before, but whatever.
context: Well, whatever.\I'll just write it in hiragana.\I don't know how to write Josuke or Okuyasu in kanji, anyway.\Huh?\M-My sandwich...\Wh-Where is it?\Oh, it's right there.\I feel like it's further away than it was before, but whatever. response:	Th-That's...
context: I'll just write it in hiragana.\I don't know how to write Josuke or Okuyasu in kanji, anyway.\Huh?\M-My sandwich...\Wh-Where is it?\Oh, it's right there.\I feel like it's further away than it was before, but whatever.\Th-That's... response:	Hey, Josuke, Okuyasu, wait!
context: I don't know how to write Josuke or Okuyasu in kanji, anyway.\Huh?\M-My sandwich...\Wh-Where is it?\Oh, it's right there.\I feel like it's further away than it was before, but whatever.\Th-That's...\Hey, Josuke, Okuyasu, wait! response:	You need to put your thumbprints on this IOU!
context: Huh?\M-My sandwich...\Wh-Where is it?\Oh, it's right there.\I feel like it's further away than it was before, but whatever.\Th-That's...\Hey, Josuke, Okuyasu, wait!\You need to put your thumbprints on this IOU! response:	Your thumbprints!
context: M-My sandwich...\Wh-Where is it?\Oh, it's right there.\I feel like it's further away than it was before, but whatever.\Th-That's...\Hey, Josuke, Okuyasu, wait!\You need to put your thumbprints on this IOU!\Your thumbprints! response:	What? That little brat!
context: Wh-Where is it?\Oh, it's right there.\I feel like it's further away than it was before, but whatever.\Th-That's...\Hey, Josuke, Okuyasu, wait!\You need to put your thumbprints on this IOU!\Your thumbprints!\What? That little brat! response:	He mistook my bag for his and took it?
context: Oh, it's right there.\I feel like it's further away than it was before, but whatever.\Th-That's...\Hey, Josuke, Okuyasu, wait!\You need to put your thumbprints on this IOU!\Your thumbprints!\What? That little brat!\He mistook my bag for his and took it? response:	Jeez, what a pain.
context: I feel like it's further away than it was before, but whatever.\Th-That's...\Hey, Josuke, Okuyasu, wait!\You need to put your thumbprints on this IOU!\Your thumbprints!\What? That little brat!\He mistook my bag for his and took it?\Jeez, what a pain. response:	How do we even put our thumbprints on it?
context: Th-That's...\Hey, Josuke, Okuyasu, wait!\You need to put your thumbprints on this IOU!\Your thumbprints!\What? That little brat!\He mistook my bag for his and took it?\Jeez, what a pain.\How do we even put our thumbprints on it? response:	You know, you cut your thumb with a knife...
context: Hey, Josuke, Okuyasu, wait!\You need to put your thumbprints on this IOU!\Your thumbprints!\What? That little brat!\He mistook my bag for his and took it?\Jeez, what a pain.\How do we even put our thumbprints on it?\You know, you cut your thumb with a knife... response:	Y-You don't need to be so dramatic.
context: You need to put your thumbprints on this IOU!\Your thumbprints!\What? That little brat!\He mistook my bag for his and took it?\Jeez, what a pain.\How do we even put our thumbprints on it?\You know, you cut your thumb with a knife...\Y-You don't need to be so dramatic. response:	Fine, I'll just take your signatures.
context: Your thumbprints!\What? That little brat!\He mistook my bag for his and took it?\Jeez, what a pain.\How do we even put our thumbprints on it?\You know, you cut your thumb with a knife...\Y-You don't need to be so dramatic.\Fine, I'll just take your signatures. response:	Hey, let's hurry up and go to St. Gentlemen. They're gonna sell out.
context: What? That little brat!\He mistook my bag for his and took it?\Jeez, what a pain.\How do we even put our thumbprints on it?\You know, you cut your thumb with a knife...\Y-You don't need to be so dramatic.\Fine, I'll just take your signatures.\Hey, let's hurry up and go to St. Gentlemen. They're gonna sell out. response:	This isn't good. If he opens that bag...
context: He mistook my bag for his and took it?\Jeez, what a pain.\How do we even put our thumbprints on it?\You know, you cut your thumb with a knife...\Y-You don't need to be so dramatic.\Fine, I'll just take your signatures.\Hey, let's hurry up and go to St. Gentlemen. They're gonna sell out.\This isn't good. If he opens that bag... response:	She's wearing the ring I bought her.
context: Jeez, what a pain.\How do we even put our thumbprints on it?\You know, you cut your thumb with a knife...\Y-You don't need to be so dramatic.\Fine, I'll just take your signatures.\Hey, let's hurry up and go to St. Gentlemen. They're gonna sell out.\This isn't good. If he opens that bag...\She's wearing the ring I bought her. response:	And my fingerprints are on her... With the police's investigative skills,
context: How do we even put our thumbprints on it?\You know, you cut your thumb with a knife...\Y-You don't need to be so dramatic.\Fine, I'll just take your signatures.\Hey, let's hurry up and go to St. Gentlemen. They're gonna sell out.\This isn't good. If he opens that bag...\She's wearing the ring I bought her.\And my fingerprints are on her... With the police's investigative skills, response:	it'll just be a matter of time before they trace the ring back to me.
context: You know, you cut your thumb with a knife...\Y-You don't need to be so dramatic.\Fine, I'll just take your signatures.\Hey, let's hurry up and go to St. Gentlemen. They're gonna sell out.\This isn't good. If he opens that bag...\She's wearing the ring I bought her.\And my fingerprints are on her... With the police's investigative skills,\it'll just be a matter of time before they trace the ring back to me. response:	I, Yoshikage Kira, have never left a single clue in the last fifteen years.
