context: Halloween? response:	Yeah, Halloween!
context: You think so?\Anyway, they're already made, and the fair is tomorrow, so I was thinking maybe you could come try some?\After school maybe?\Yeah, sure...\Great!\It's really something, so look forward to it!\Tamura-san!\Okay! response:	I've been wondering for a while, but are you and Tamura-san going out?
context: Anyway, they're already made, and the fair is tomorrow, so I was thinking maybe you could come try some?\After school maybe?\Yeah, sure...\Great!\It's really something, so look forward to it!\Tamura-san!\Okay!\I've been wondering for a while, but are you and Tamura-san going out? response:	No. Do we look like it?
context: After school maybe?\Yeah, sure...\Great!\It's really something, so look forward to it!\Tamura-san!\Okay!\I've been wondering for a while, but are you and Tamura-san going out?\No. Do we look like it? response:	That's how I see it.
context: Yeah, sure...\Great!\It's really something, so look forward to it!\Tamura-san!\Okay!\I've been wondering for a while, but are you and Tamura-san going out?\No. Do we look like it?\That's how I see it. response:	In fact, I can't see it any other way.
context: Great!\It's really something, so look forward to it!\Tamura-san!\Okay!\I've been wondering for a while, but are you and Tamura-san going out?\No. Do we look like it?\That's how I see it.\In fact, I can't see it any other way. response:	That's not how we are.
context: It's really something, so look forward to it!\Tamura-san!\Okay!\I've been wondering for a while, but are you and Tamura-san going out?\No. Do we look like it?\That's how I see it.\In fact, I can't see it any other way.\That's not how we are. response:	We're close of course, considering how long we've known each other.
context: Tamura-san!\Okay!\I've been wondering for a while, but are you and Tamura-san going out?\No. Do we look like it?\That's how I see it.\In fact, I can't see it any other way.\That's not how we are.\We're close of course, considering how long we've known each other. response:	But you're saying there aren't any feelings beyond that between you two?
context: Okay!\I've been wondering for a while, but are you and Tamura-san going out?\No. Do we look like it?\That's how I see it.\In fact, I can't see it any other way.\That's not how we are.\We're close of course, considering how long we've known each other.\But you're saying there aren't any feelings beyond that between you two? response:	Right?
context: I've been wondering for a while, but are you and Tamura-san going out?\No. Do we look like it?\That's how I see it.\In fact, I can't see it any other way.\That's not how we are.\We're close of course, considering how long we've known each other.\But you're saying there aren't any feelings beyond that between you two?\Right? response:	Akagi...
context: No. Do we look like it?\That's how I see it.\In fact, I can't see it any other way.\That's not how we are.\We're close of course, considering how long we've known each other.\But you're saying there aren't any feelings beyond that between you two?\Right?\Akagi... response:	Let's say for example you had a very kind old Grandma.
context: That's how I see it.\In fact, I can't see it any other way.\That's not how we are.\We're close of course, considering how long we've known each other.\But you're saying there aren't any feelings beyond that between you two?\Right?\Akagi...\Let's say for example you had a very kind old Grandma. response:	Where's this totally unrelated example coming from?
context: In fact, I can't see it any other way.\That's not how we are.\We're close of course, considering how long we've known each other.\But you're saying there aren't any feelings beyond that between you two?\Right?\Akagi...\Let's say for example you had a very kind old Grandma.\Where's this totally unrelated example coming from? response:	One day, that Grandma gets magically transformed into a 15-year-old girl.
context: That's not how we are.\We're close of course, considering how long we've known each other.\But you're saying there aren't any feelings beyond that between you two?\Right?\Akagi...\Let's say for example you had a very kind old Grandma.\Where's this totally unrelated example coming from?\One day, that Grandma gets magically transformed into a 15-year-old girl. response:	How would you feel about her, keeping in mind that she practically raised you?
context: We're close of course, considering how long we've known each other.\But you're saying there aren't any feelings beyond that between you two?\Right?\Akagi...\Let's say for example you had a very kind old Grandma.\Where's this totally unrelated example coming from?\One day, that Grandma gets magically transformed into a 15-year-old girl.\How would you feel about her, keeping in mind that she practically raised you? response:	I don't think I can imagine how I'd feel in such a messed up situation.
context: But you're saying there aren't any feelings beyond that between you two?\Right?\Akagi...\Let's say for example you had a very kind old Grandma.\Where's this totally unrelated example coming from?\One day, that Grandma gets magically transformed into a 15-year-old girl.\How would you feel about her, keeping in mind that she practically raised you?\I don't think I can imagine how I'd feel in such a messed up situation. response:	We're pretty much like that.
context: Right?\Akagi...\Let's say for example you had a very kind old Grandma.\Where's this totally unrelated example coming from?\One day, that Grandma gets magically transformed into a 15-year-old girl.\How would you feel about her, keeping in mind that she practically raised you?\I don't think I can imagine how I'd feel in such a messed up situation.\We're pretty much like that. response:	You lost me.
context: Akagi...\Let's say for example you had a very kind old Grandma.\Where's this totally unrelated example coming from?\One day, that Grandma gets magically transformed into a 15-year-old girl.\How would you feel about her, keeping in mind that she practically raised you?\I don't think I can imagine how I'd feel in such a messed up situation.\We're pretty much like that.\You lost me. response:	Well, I don't really care if you understand or not.
context: Let's say for example you had a very kind old Grandma.\Where's this totally unrelated example coming from?\One day, that Grandma gets magically transformed into a 15-year-old girl.\How would you feel about her, keeping in mind that she practically raised you?\I don't think I can imagine how I'd feel in such a messed up situation.\We're pretty much like that.\You lost me.\Well, I don't really care if you understand or not. response:	Basically, you're not going out, and you never intend to?
context: Where's this totally unrelated example coming from?\One day, that Grandma gets magically transformed into a 15-year-old girl.\How would you feel about her, keeping in mind that she practically raised you?\I don't think I can imagine how I'd feel in such a messed up situation.\We're pretty much like that.\You lost me.\Well, I don't really care if you understand or not.\Basically, you're not going out, and you never intend to? response:	Why are you asking me this?
context: One day, that Grandma gets magically transformed into a 15-year-old girl.\How would you feel about her, keeping in mind that she practically raised you?\I don't think I can imagine how I'd feel in such a messed up situation.\We're pretty much like that.\You lost me.\Well, I don't really care if you understand or not.\Basically, you're not going out, and you never intend to?\Why are you asking me this? response:	So if some guy made a move on her, you wouldn't care?
context: How would you feel about her, keeping in mind that she practically raised you?\I don't think I can imagine how I'd feel in such a messed up situation.\We're pretty much like that.\You lost me.\Well, I don't really care if you understand or not.\Basically, you're not going out, and you never intend to?\Why are you asking me this?\So if some guy made a move on her, you wouldn't care? response:	Of course I would!
context: I don't think I can imagine how I'd feel in such a messed up situation.\We're pretty much like that.\You lost me.\Well, I don't really care if you understand or not.\Basically, you're not going out, and you never intend to?\Why are you asking me this?\So if some guy made a move on her, you wouldn't care?\Of course I would! response:	There's no way I'd allow that!
context: We're pretty much like that.\You lost me.\Well, I don't really care if you understand or not.\Basically, you're not going out, and you never intend to?\Why are you asking me this?\So if some guy made a move on her, you wouldn't care?\Of course I would!\There's no way I'd allow that! response:	I'd beat the crap out of anyone messed up enough to do that.
context: You lost me.\Well, I don't really care if you understand or not.\Basically, you're not going out, and you never intend to?\Why are you asking me this?\So if some guy made a move on her, you wouldn't care?\Of course I would!\There's no way I'd allow that!\I'd beat the crap out of anyone messed up enough to do that. response:	So basically...
context: Well, I don't really care if you understand or not.\Basically, you're not going out, and you never intend to?\Why are you asking me this?\So if some guy made a move on her, you wouldn't care?\Of course I would!\There's no way I'd allow that!\I'd beat the crap out of anyone messed up enough to do that.\So basically... response:	She's nothing more than a childhood friend to you...
context: Basically, you're not going out, and you never intend to?\Why are you asking me this?\So if some guy made a move on her, you wouldn't care?\Of course I would!\There's no way I'd allow that!\I'd beat the crap out of anyone messed up enough to do that.\So basically...\She's nothing more than a childhood friend to you... response:	You're not going out with her...
context: Why are you asking me this?\So if some guy made a move on her, you wouldn't care?\Of course I would!\There's no way I'd allow that!\I'd beat the crap out of anyone messed up enough to do that.\So basically...\She's nothing more than a childhood friend to you...\You're not going out with her... response:	You have no feelings for her...
context: So if some guy made a move on her, you wouldn't care?\Of course I would!\There's no way I'd allow that!\I'd beat the crap out of anyone messed up enough to do that.\So basically...\She's nothing more than a childhood friend to you...\You're not going out with her...\You have no feelings for her... response:	But you wouldn't allow any other guys to go out with her?
context: Of course I would!\There's no way I'd allow that!\I'd beat the crap out of anyone messed up enough to do that.\So basically...\She's nothing more than a childhood friend to you...\You're not going out with her...\You have no feelings for her...\But you wouldn't allow any other guys to go out with her? response:	Yeah, so?
context: There's no way I'd allow that!\I'd beat the crap out of anyone messed up enough to do that.\So basically...\She's nothing more than a childhood friend to you...\You're not going out with her...\You have no feelings for her...\But you wouldn't allow any other guys to go out with her?\Yeah, so? response:	So what did you do last night?
context: I'd beat the crap out of anyone messed up enough to do that.\So basically...\She's nothing more than a childhood friend to you...\You're not going out with her...\You have no feelings for her...\But you wouldn't allow any other guys to go out with her?\Yeah, so?\So what did you do last night? response:	That's a secret!
context: So basically...\She's nothing more than a childhood friend to you...\You're not going out with her...\You have no feelings for her...\But you wouldn't allow any other guys to go out with her?\Yeah, so?\So what did you do last night?\That's a secret! response:	I'm back!
context: She's nothing more than a childhood friend to you...\You're not going out with her...\You have no feelings for her...\But you wouldn't allow any other guys to go out with her?\Yeah, so?\So what did you do last night?\That's a secret!\I'm back! response:	A package arrived for you.
context: You're not going out with her...\You have no feelings for her...\But you wouldn't allow any other guys to go out with her?\Yeah, so?\So what did you do last night?\That's a secret!\I'm back!\A package arrived for you. response:	What did you buy?
context: You have no feelings for her...\But you wouldn't allow any other guys to go out with her?\Yeah, so?\So what did you do last night?\That's a secret!\I'm back!\A package arrived for you.\What did you buy? response:	A dakimakura!
context: But you wouldn't allow any other guys to go out with her?\Yeah, so?\So what did you do last night?\That's a secret!\I'm back!\A package arrived for you.\What did you buy?\A dakimakura! response:	I mean... something I found online that relieves stress.
context: Yeah, so?\So what did you do last night?\That's a secret!\I'm back!\A package arrived for you.\What did you buy?\A dakimakura!\I mean... something I found online that relieves stress. response:	Oh?
context: So what did you do last night?\That's a secret!\I'm back!\A package arrived for you.\What did you buy?\A dakimakura!\I mean... something I found online that relieves stress.\Oh? response:	If it works, let me know.
context: That's a secret!\I'm back!\A package arrived for you.\What did you buy?\A dakimakura!\I mean... something I found online that relieves stress.\Oh?\If it works, let me know. response:	Sure.
context: I'm back!\A package arrived for you.\What did you buy?\A dakimakura!\I mean... something I found online that relieves stress.\Oh?\If it works, let me know.\Sure. response:	Can't let her know...
context: A package arrived for you.\What did you buy?\A dakimakura!\I mean... something I found online that relieves stress.\Oh?\If it works, let me know.\Sure.\Can't let her know... response:	I see... sure is Halloween.
context: What did you buy?\A dakimakura!\I mean... something I found online that relieves stress.\Oh?\If it works, let me know.\Sure.\Can't let her know...\I see... sure is Halloween. response:	Are you going to get customers with this?
context: A dakimakura!\I mean... something I found online that relieves stress.\Oh?\If it works, let me know.\Sure.\Can't let her know...\I see... sure is Halloween.\Are you going to get customers with this? response:	Of course!
context: I mean... something I found online that relieves stress.\Oh?\If it works, let me know.\Sure.\Can't let her know...\I see... sure is Halloween.\Are you going to get customers with this?\Of course! response:	We're doing an event for the first day too.
context: Oh?\If it works, let me know.\Sure.\Can't let her know...\I see... sure is Halloween.\Are you going to get customers with this?\Of course!\We're doing an event for the first day too. response:	Event?
context: If it works, let me know.\Sure.\Can't let her know...\I see... sure is Halloween.\Are you going to get customers with this?\Of course!\We're doing an event for the first day too.\Event? response:	We're going to invite the kids from around the neighborhood and show them how to make sweets and hand them out.
context: Sure.\Can't let her know...\I see... sure is Halloween.\Are you going to get customers with this?\Of course!\We're doing an event for the first day too.\Event?\We're going to invite the kids from around the neighborhood and show them how to make sweets and hand them out. response:	The workers are going to be dressed up as monsters too.
context: Can't let her know...\I see... sure is Halloween.\Are you going to get customers with this?\Of course!\We're doing an event for the first day too.\Event?\We're going to invite the kids from around the neighborhood and show them how to make sweets and hand them out.\The workers are going to be dressed up as monsters too. response:	I'm back!
context: I see... sure is Halloween.\Are you going to get customers with this?\Of course!\We're doing an event for the first day too.\Event?\We're going to invite the kids from around the neighborhood and show them how to make sweets and hand them out.\The workers are going to be dressed up as monsters too.\I'm back! response:	You mean your Grandparents?
context: Are you going to get customers with this?\Of course!\We're doing an event for the first day too.\Event?\We're going to invite the kids from around the neighborhood and show them how to make sweets and hand them out.\The workers are going to be dressed up as monsters too.\I'm back!\You mean your Grandparents? response:	The rest of the family too.
context: Of course!\We're doing an event for the first day too.\Event?\We're going to invite the kids from around the neighborhood and show them how to make sweets and hand them out.\The workers are going to be dressed up as monsters too.\I'm back!\You mean your Grandparents?\The rest of the family too. response:	So I'll be help
context: We're doing an event for the first day too.\Event?\We're going to invite the kids from around the neighborhood and show them how to make sweets and hand them out.\The workers are going to be dressed up as monsters too.\I'm back!\You mean your Grandparents?\The rest of the family too.\So I'll be help response:	What's wrong?
context: Event?\We're going to invite the kids from around the neighborhood and show them how to make sweets and hand them out.\The workers are going to be dressed up as monsters too.\I'm back!\You mean your Grandparents?\The rest of the family too.\So I'll be help\What's wrong? response:	Grandpa!
context: We're going to invite the kids from around the neighborhood and show them how to make sweets and hand them out.\The workers are going to be dressed up as monsters too.\I'm back!\You mean your Grandparents?\The rest of the family too.\So I'll be help\What's wrong?\Grandpa! response:	Grandpa, you okay??
context: The workers are going to be dressed up as monsters too.\I'm back!\You mean your Grandparents?\The rest of the family too.\So I'll be help\What's wrong?\Grandpa!\Grandpa, you okay?? response:	Hey!
context: I'm back!\You mean your Grandparents?\The rest of the family too.\So I'll be help\What's wrong?\Grandpa!\Grandpa, you okay??\Hey! response:	He's cold!
context: You mean your Grandparents?\The rest of the family too.\So I'll be help\What's wrong?\Grandpa!\Grandpa, you okay??\Hey!\He's cold! response:	Call an ambulance, Manami!
context: The rest of the family too.\So I'll be help\What's wrong?\Grandpa!\Grandpa, you okay??\Hey!\He's cold!\Call an ambulance, Manami! response:	Okay!!
context: So I'll be help\What's wrong?\Grandpa!\Grandpa, you okay??\Hey!\He's cold!\Call an ambulance, Manami!\Okay!! response:	Grandpa...
context: What's wrong?\Grandpa!\Grandpa, you okay??\Hey!\He's cold!\Call an ambulance, Manami!\Okay!!\Grandpa... response:	Grandma!! Grandpa has...
context: Grandpa!\Grandpa, you okay??\Hey!\He's cold!\Call an ambulance, Manami!\Okay!!\Grandpa...\Grandma!! Grandpa has... response:	Oh?
context: Grandpa, you okay??\Hey!\He's cold!\Call an ambulance, Manami!\Okay!!\Grandpa...\Grandma!! Grandpa has...\Oh? response:	He's playing dead?
context: Hey!\He's cold!\Call an ambulance, Manami!\Okay!!\Grandpa...\Grandma!! Grandpa has...\Oh?\He's playing dead? response:	No wait, he really is dead!
context: He's cold!\Call an ambulance, Manami!\Okay!!\Grandpa...\Grandma!! Grandpa has...\Oh?\He's playing dead?\No wait, he really is dead! response:	His body's gone cold already!
context: Call an ambulance, Manami!\Okay!!\Grandpa...\Grandma!! Grandpa has...\Oh?\He's playing dead?\No wait, he really is dead!\His body's gone cold already! response:	He got into the shop refrigerator a little while ago.
context: Okay!!\Grandpa...\Grandma!! Grandpa has...\Oh?\He's playing dead?\No wait, he really is dead!\His body's gone cold already!\He got into the shop refrigerator a little while ago. response:	So this is what it was for...
context: Grandpa...\Grandma!! Grandpa has...\Oh?\He's playing dead?\No wait, he really is dead!\His body's gone cold already!\He got into the shop refrigerator a little while ago.\So this is what it was for... response:	But he doesn't have a pulse!
context: Grandma!! Grandpa has...\Oh?\He's playing dead?\No wait, he really is dead!\His body's gone cold already!\He got into the shop refrigerator a little while ago.\So this is what it was for...\But he doesn't have a pulse! response:	He's always had a weak pulse.
context: Oh?\He's playing dead?\No wait, he really is dead!\His body's gone cold already!\He got into the shop refrigerator a little while ago.\So this is what it was for...\But he doesn't have a pulse!\He's always had a weak pulse. response:	Why does he smell like a corpse?
context: He's playing dead?\No wait, he really is dead!\His body's gone cold already!\He got into the shop refrigerator a little while ago.\So this is what it was for...\But he doesn't have a pulse!\He's always had a weak pulse.\Why does he smell like a corpse? response:	That's his natural body odor.
context: No wait, he really is dead!\His body's gone cold already!\He got into the shop refrigerator a little while ago.\So this is what it was for...\But he doesn't have a pulse!\He's always had a weak pulse.\Why does he smell like a corpse?\That's his natural body odor. response:	But... wait...
context: His body's gone cold already!\He got into the shop refrigerator a little while ago.\So this is what it was for...\But he doesn't have a pulse!\He's always had a weak pulse.\Why does he smell like a corpse?\That's his natural body odor.\But... wait... response:	Grandpa, if you don't cut it out, I'll pull the hairs out of your head one by one.
context: He got into the shop refrigerator a little while ago.\So this is what it was for...\But he doesn't have a pulse!\He's always had a weak pulse.\Why does he smell like a corpse?\That's his natural body odor.\But... wait...\Grandpa, if you don't cut it out, I'll pull the hairs out of your head one by one. response:	Dang, you're one devil of a wife.
context: So this is what it was for...\But he doesn't have a pulse!\He's always had a weak pulse.\Why does he smell like a corpse?\That's his natural body odor.\But... wait...\Grandpa, if you don't cut it out, I'll pull the hairs out of your head one by one.\Dang, you're one devil of a wife. response:	How could you even think of harming what little hair I have left?
context: But he doesn't have a pulse!\He's always had a weak pulse.\Why does he smell like a corpse?\That's his natural body odor.\But... wait...\Grandpa, if you don't cut it out, I'll pull the hairs out of your head one by one.\Dang, you're one devil of a wife.\How could you even think of harming what little hair I have left? response:	See?
context: He's always had a weak pulse.\Why does he smell like a corpse?\That's his natural body odor.\But... wait...\Grandpa, if you don't cut it out, I'll pull the hairs out of your head one by one.\Dang, you're one devil of a wife.\How could you even think of harming what little hair I have left?\See? response:	Happy Halloween, Kyou-chan!
context: Why does he smell like a corpse?\That's his natural body odor.\But... wait...\Grandpa, if you don't cut it out, I'll pull the hairs out of your head one by one.\Dang, you're one devil of a wife.\How could you even think of harming what little hair I have left?\See?\Happy Halloween, Kyou-chan! response:	Trick or... what was it again?
context: That's his natural body odor.\But... wait...\Grandpa, if you don't cut it out, I'll pull the hairs out of your head one by one.\Dang, you're one devil of a wife.\How could you even think of harming what little hair I have left?\See?\Happy Halloween, Kyou-chan!\Trick or... what was it again? response:	Has your brain started to rot?!
context: But... wait...\Grandpa, if you don't cut it out, I'll pull the hairs out of your head one by one.\Dang, you're one devil of a wife.\How could you even think of harming what little hair I have left?\See?\Happy Halloween, Kyou-chan!\Trick or... what was it again?\Has your brain started to rot?! response:	Kyou-chan!
context: Grandpa, if you don't cut it out, I'll pull the hairs out of your head one by one.\Dang, you're one devil of a wife.\How could you even think of harming what little hair I have left?\See?\Happy Halloween, Kyou-chan!\Trick or... what was it again?\Has your brain started to rot?!\Kyou-chan! response:	What's the number for an ambulance??
context: Dang, you're one devil of a wife.\How could you even think of harming what little hair I have left?\See?\Happy Halloween, Kyou-chan!\Trick or... what was it again?\Has your brain started to rot?!\Kyou-chan!\What's the number for an ambulance?? response:	Like I know!
context: How could you even think of harming what little hair I have left?\See?\Happy Halloween, Kyou-chan!\Trick or... what was it again?\Has your brain started to rot?!\Kyou-chan!\What's the number for an ambulance??\Like I know! response:	I'm so glad you're still alive, Grandpa!
context: See?\Happy Halloween, Kyou-chan!\Trick or... what was it again?\Has your brain started to rot?!\Kyou-chan!\What's the number for an ambulance??\Like I know!\I'm so glad you're still alive, Grandpa! response:	Ah, sorry about that!
context: Happy Halloween, Kyou-chan!\Trick or... what was it again?\Has your brain started to rot?!\Kyou-chan!\What's the number for an ambulance??\Like I know!\I'm so glad you're still alive, Grandpa!\Ah, sorry about that! response:	I got a little carried away...
context: Trick or... what was it again?\Has your brain started to rot?!\Kyou-chan!\What's the number for an ambulance??\Like I know!\I'm so glad you're still alive, Grandpa!\Ah, sorry about that!\I got a little carried away... response:	I want to punch him in the face!!
context: Has your brain started to rot?!\Kyou-chan!\What's the number for an ambulance??\Like I know!\I'm so glad you're still alive, Grandpa!\Ah, sorry about that!\I got a little carried away...\I want to punch him in the face!! response:	What's up, Kyou-chan?
context: Kyou-chan!\What's the number for an ambulance??\Like I know!\I'm so glad you're still alive, Grandpa!\Ah, sorry about that!\I got a little carried away...\I want to punch him in the face!!\What's up, Kyou-chan? response:	Why were you playing dead?
context: What's the number for an ambulance??\Like I know!\I'm so glad you're still alive, Grandpa!\Ah, sorry about that!\I got a little carried away...\I want to punch him in the face!!\What's up, Kyou-chan?\Why were you playing dead? response:	I was just practicing my costume for tomorrow.
context: Like I know!\I'm so glad you're still alive, Grandpa!\Ah, sorry about that!\I got a little carried away...\I want to punch him in the face!!\What's up, Kyou-chan?\Why were you playing dead?\I was just practicing my costume for tomorrow. response:	My zombie impression was great, right?
context: I'm so glad you're still alive, Grandpa!\Ah, sorry about that!\I got a little carried away...\I want to punch him in the face!!\What's up, Kyou-chan?\Why were you playing dead?\I was just practicing my costume for tomorrow.\My zombie impression was great, right? response:	Actually, you seemed more like a normal corpse.
context: Ah, sorry about that!\I got a little carried away...\I want to punch him in the face!!\What's up, Kyou-chan?\Why were you playing dead?\I was just practicing my costume for tomorrow.\My zombie impression was great, right?\Actually, you seemed more like a normal corpse. response:	Any kid who sees you will get traumatized.
context: I got a little carried away...\I want to punch him in the face!!\What's up, Kyou-chan?\Why were you playing dead?\I was just practicing my costume for tomorrow.\My zombie impression was great, right?\Actually, you seemed more like a normal corpse.\Any kid who sees you will get traumatized. response:	I don't think you should let them see that.
context: I want to punch him in the face!!\What's up, Kyou-chan?\Why were you playing dead?\I was just practicing my costume for tomorrow.\My zombie impression was great, right?\Actually, you seemed more like a normal corpse.\Any kid who sees you will get traumatized.\I don't think you should let them see that. response:	He's right, you know.
context: What's up, Kyou-chan?\Why were you playing dead?\I was just practicing my costume for tomorrow.\My zombie impression was great, right?\Actually, you seemed more like a normal corpse.\Any kid who sees you will get traumatized.\I don't think you should let them see that.\He's right, you know. response:	Is that right...
context: Why were you playing dead?\I was just practicing my costume for tomorrow.\My zombie impression was great, right?\Actually, you seemed more like a normal corpse.\Any kid who sees you will get traumatized.\I don't think you should let them see that.\He's right, you know.\Is that right... response:	Well fine then.
context: I was just practicing my costume for tomorrow.\My zombie impression was great, right?\Actually, you seemed more like a normal corpse.\Any kid who sees you will get traumatized.\I don't think you should let them see that.\He's right, you know.\Is that right...\Well fine then. response:	Not like I care anyway.
context: My zombie impression was great, right?\Actually, you seemed more like a normal corpse.\Any kid who sees you will get traumatized.\I don't think you should let them see that.\He's right, you know.\Is that right...\Well fine then.\Not like I care anyway. response:	Don't bother consoling him.
context: Actually, you seemed more like a normal corpse.\Any kid who sees you will get traumatized.\I don't think you should let them see that.\He's right, you know.\Is that right...\Well fine then.\Not like I care anyway.\Don't bother consoling him. response:	If you play along with him he'll just go overboard again.
context: Any kid who sees you will get traumatized.\I don't think you should let them see that.\He's right, you know.\Is that right...\Well fine then.\Not like I care anyway.\Don't bother consoling him.\If you play along with him he'll just go overboard again. response:	Understood.
context: I don't think you should let them see that.\He's right, you know.\Is that right...\Well fine then.\Not like I care anyway.\Don't bother consoling him.\If you play along with him he'll just go overboard again.\Understood. response:	I'll go get some of the Halloween candy then.
context: He's right, you know.\Is that right...\Well fine then.\Not like I care anyway.\Don't bother consoling him.\If you play along with him he'll just go overboard again.\Understood.\I'll go get some of the Halloween candy then. response:	I'll go help her.
context: Is that right...\Well fine then.\Not like I care anyway.\Don't bother consoling him.\If you play along with him he'll just go overboard again.\Understood.\I'll go get some of the Halloween candy then.\I'll go help her. response:	You seem to be popular with the grannies.
context: Well fine then.\Not like I care anyway.\Don't bother consoling him.\If you play along with him he'll just go overboard again.\Understood.\I'll go get some of the Halloween candy then.\I'll go help her.\You seem to be popular with the grannies. response:	That doesn't make me happy!
context: Not like I care anyway.\Don't bother consoling him.\If you play along with him he'll just go overboard again.\Understood.\I'll go get some of the Halloween candy then.\I'll go help her.\You seem to be popular with the grannies.\That doesn't make me happy! response:	And why was that plural?
context: Don't bother consoling him.\If you play along with him he'll just go overboard again.\Understood.\I'll go get some of the Halloween candy then.\I'll go help her.\You seem to be popular with the grannies.\That doesn't make me happy!\And why was that plural? response:	Have you done it yet?
context: If you play along with him he'll just go overboard again.\Understood.\I'll go get some of the Halloween candy then.\I'll go help her.\You seem to be popular with the grannies.\That doesn't make me happy!\And why was that plural?\Have you done it yet? response:	Done what?!
context: Understood.\I'll go get some of the Halloween candy then.\I'll go help her.\You seem to be popular with the grannies.\That doesn't make me happy!\And why was that plural?\Have you done it yet?\Done what?! response:	And of course we haven't!
context: I'll go get some of the Halloween candy then.\I'll go help her.\You seem to be popular with the grannies.\That doesn't make me happy!\And why was that plural?\Have you done it yet?\Done what?!\And of course we haven't! response:	Hey, it's An-chan! Been a while!
context: I'll go help her.\You seem to be popular with the grannies.\That doesn't make me happy!\And why was that plural?\Have you done it yet?\Done what?!\And of course we haven't!\Hey, it's An-chan! Been a while! response:	Yo, long time
context: You seem to be popular with the grannies.\That doesn't make me happy!\And why was that plural?\Have you done it yet?\Done what?!\And of course we haven't!\Hey, it's An-chan! Been a while!\Yo, long time response:	What happened to your hair?
context: That doesn't make me happy!\And why was that plural?\Have you done it yet?\Done what?!\And of course we haven't!\Hey, it's An-chan! Been a while!\Yo, long time\What happened to your hair? response:	I cut it all off!
context: And why was that plural?\Have you done it yet?\Done what?!\And of course we haven't!\Hey, it's An-chan! Been a while!\Yo, long time\What happened to your hair?\I cut it all off! response:	What do you think?
context: Have you done it yet?\Done what?!\And of course we haven't!\Hey, it's An-chan! Been a while!\Yo, long time\What happened to your hair?\I cut it all off!\What do you think? response:	Skinheads are popular nowadays!
context: Done what?!\And of course we haven't!\Hey, it's An-chan! Been a while!\Yo, long time\What happened to your hair?\I cut it all off!\What do you think?\Skinheads are popular nowadays! response:	That's a monk's buzzcut, you know...
context: And of course we haven't!\Hey, it's An-chan! Been a while!\Yo, long time\What happened to your hair?\I cut it all off!\What do you think?\Skinheads are popular nowadays!\That's a monk's buzzcut, you know... response:	No skinhead looks like that.
context: Hey, it's An-chan! Been a while!\Yo, long time\What happened to your hair?\I cut it all off!\What do you think?\Skinheads are popular nowadays!\That's a monk's buzzcut, you know...\No skinhead looks like that. response:	No way, An-chan!
context: Yo, long time\What happened to your hair?\I cut it all off!\What do you think?\Skinheads are popular nowadays!\That's a monk's buzzcut, you know...\No skinhead looks like that.\No way, An-chan! response:	The barber said, Right, skinhead. Skinhead. then cut it with his clipper.
