context: Hello! response:	I'm Katsuki Yuri.
context: Choreography that Victor did for me alone...\On Love: Eros.\Spurt\Eros... Sexual love.\Pleasure followed by pleasure.\One just drowns in it.\D-Damn, he's so hot!\What the... Are you sick? response:	It's enough to make even me, a man, pregnant! Such eros!
context: On Love: Eros.\Spurt\Eros... Sexual love.\Pleasure followed by pleasure.\One just drowns in it.\D-Damn, he's so hot!\What the... Are you sick?\It's enough to make even me, a man, pregnant! Such eros! response:	Huh?
context: Spurt\Eros... Sexual love.\Pleasure followed by pleasure.\One just drowns in it.\D-Damn, he's so hot!\What the... Are you sick?\It's enough to make even me, a man, pregnant! Such eros!\Huh? response:	Can I skate this?
context: Eros... Sexual love.\Pleasure followed by pleasure.\One just drowns in it.\D-Damn, he's so hot!\What the... Are you sick?\It's enough to make even me, a man, pregnant! Such eros!\Huh?\Can I skate this? response:	Yuri!
context: Pleasure followed by pleasure.\One just drowns in it.\D-Damn, he's so hot!\What the... Are you sick?\It's enough to make even me, a man, pregnant! Such eros!\Huh?\Can I skate this?\Yuri! response:	How was that?
context: One just drowns in it.\D-Damn, he's so hot!\What the... Are you sick?\It's enough to make even me, a man, pregnant! Such eros!\Huh?\Can I skate this?\Yuri!\How was that? response:	Oh, um...
context: D-Damn, he's so hot!\What the... Are you sick?\It's enough to make even me, a man, pregnant! Such eros!\Huh?\Can I skate this?\Yuri!\How was that?\Oh, um... response:	It was very eros!
context: What the... Are you sick?\It's enough to make even me, a man, pregnant! Such eros!\Huh?\Can I skate this?\Yuri!\How was that?\Oh, um...\It was very eros! response:	Right?
context: It's enough to make even me, a man, pregnant! Such eros!\Huh?\Can I skate this?\Yuri!\How was that?\Oh, um...\It was very eros!\Right? response:	So, about the program composition... Which quads can you land?
context: Huh?\Can I skate this?\Yuri!\How was that?\Oh, um...\It was very eros!\Right?\So, about the program composition... Which quads can you land? response:	The toe loop, and...
context: Can I skate this?\Yuri!\How was that?\Oh, um...\It was very eros!\Right?\So, about the program composition... Which quads can you land?\The toe loop, and... response:	I can land the Salchow in practice, but never in competition.
context: Yuri!\How was that?\Oh, um...\It was very eros!\Right?\So, about the program composition... Which quads can you land?\The toe loop, and...\I can land the Salchow in practice, but never in competition. response:	So, um...
context: How was that?\Oh, um...\It was very eros!\Right?\So, about the program composition... Which quads can you land?\The toe loop, and...\I can land the Salchow in practice, but never in competition.\So, um... response:	Okay, you can practice the basics.
context: Oh, um...\It was very eros!\Right?\So, about the program composition... Which quads can you land?\The toe loop, and...\I can land the Salchow in practice, but never in competition.\So, um...\Okay, you can practice the basics. response:	I'll teach Yurio first.
context: It was very eros!\Right?\So, about the program composition... Which quads can you land?\The toe loop, and...\I can land the Salchow in practice, but never in competition.\So, um...\Okay, you can practice the basics.\I'll teach Yurio first. response:	I won't teach you anything you can't do right now.
context: Right?\So, about the program composition... Which quads can you land?\The toe loop, and...\I can land the Salchow in practice, but never in competition.\So, um...\Okay, you can practice the basics.\I'll teach Yurio first.\I won't teach you anything you can't do right now. response:	How many times have you messed up during a competition?
context: So, about the program composition... Which quads can you land?\The toe loop, and...\I can land the Salchow in practice, but never in competition.\So, um...\Okay, you can practice the basics.\I'll teach Yurio first.\I won't teach you anything you can't do right now.\How many times have you messed up during a competition? response:	You have the skill to win. Why can't you make it happen?
context: The toe loop, and...\I can land the Salchow in practice, but never in competition.\So, um...\Okay, you can practice the basics.\I'll teach Yurio first.\I won't teach you anything you can't do right now.\How many times have you messed up during a competition?\You have the skill to win. Why can't you make it happen? response:	Well, that's probably because...
context: I can land the Salchow in practice, but never in competition.\So, um...\Okay, you can practice the basics.\I'll teach Yurio first.\I won't teach you anything you can't do right now.\How many times have you messed up during a competition?\You have the skill to win. Why can't you make it happen?\Well, that's probably because... response:	I lack confidence.
context: So, um...\Okay, you can practice the basics.\I'll teach Yurio first.\I won't teach you anything you can't do right now.\How many times have you messed up during a competition?\You have the skill to win. Why can't you make it happen?\Well, that's probably because...\I lack confidence. response:	Right. My job is to make you feel confident in yourself.
context: Okay, you can practice the basics.\I'll teach Yurio first.\I won't teach you anything you can't do right now.\How many times have you messed up during a competition?\You have the skill to win. Why can't you make it happen?\Well, that's probably because...\I lack confidence.\Right. My job is to make you feel confident in yourself. response:	No one in the whole wide world knows your true eros, Yuri.
context: I'll teach Yurio first.\I won't teach you anything you can't do right now.\How many times have you messed up during a competition?\You have the skill to win. Why can't you make it happen?\Well, that's probably because...\I lack confidence.\Right. My job is to make you feel confident in yourself.\No one in the whole wide world knows your true eros, Yuri. response:	It may be an alluring side of you that you yourself are unaware of.
context: I won't teach you anything you can't do right now.\How many times have you messed up during a competition?\You have the skill to win. Why can't you make it happen?\Well, that's probably because...\I lack confidence.\Right. My job is to make you feel confident in yourself.\No one in the whole wide world knows your true eros, Yuri.\It may be an alluring side of you that you yourself are unaware of. response:	Can you show me what it is soon?
context: How many times have you messed up during a competition?\You have the skill to win. Why can't you make it happen?\Well, that's probably because...\I lack confidence.\Right. My job is to make you feel confident in yourself.\No one in the whole wide world knows your true eros, Yuri.\It may be an alluring side of you that you yourself are unaware of.\Can you show me what it is soon? response:	Hey, Victor! Aren't you teaching me first?!
context: You have the skill to win. Why can't you make it happen?\Well, that's probably because...\I lack confidence.\Right. My job is to make you feel confident in yourself.\No one in the whole wide world knows your true eros, Yuri.\It may be an alluring side of you that you yourself are unaware of.\Can you show me what it is soon?\Hey, Victor! Aren't you teaching me first?! response:	Right.
context: Well, that's probably because...\I lack confidence.\Right. My job is to make you feel confident in yourself.\No one in the whole wide world knows your true eros, Yuri.\It may be an alluring side of you that you yourself are unaware of.\Can you show me what it is soon?\Hey, Victor! Aren't you teaching me first?!\Right. response:	So, Yuri.
context: I lack confidence.\Right. My job is to make you feel confident in yourself.\No one in the whole wide world knows your true eros, Yuri.\It may be an alluring side of you that you yourself are unaware of.\Can you show me what it is soon?\Hey, Victor! Aren't you teaching me first?!\Right.\So, Yuri. response:	Think long and hard about what eros is to you.
context: Right. My job is to make you feel confident in yourself.\No one in the whole wide world knows your true eros, Yuri.\It may be an alluring side of you that you yourself are unaware of.\Can you show me what it is soon?\Hey, Victor! Aren't you teaching me first?!\Right.\So, Yuri.\Think long and hard about what eros is to you. response:	What eros is to me? What would that be?
context: No one in the whole wide world knows your true eros, Yuri.\It may be an alluring side of you that you yourself are unaware of.\Can you show me what it is soon?\Hey, Victor! Aren't you teaching me first?!\Right.\So, Yuri.\Think long and hard about what eros is to you.\What eros is to me? What would that be? response:	Hot Springs on Ice Yuri vs. Yurio Hasetsu Exhibition!!
context: It may be an alluring side of you that you yourself are unaware of.\Can you show me what it is soon?\Hey, Victor! Aren't you teaching me first?!\Right.\So, Yuri.\Think long and hard about what eros is to you.\What eros is to me? What would that be?\Hot Springs on Ice Yuri vs. Yurio Hasetsu Exhibition!! response:	Who knew we'd get a lineup like this in Hasetsu?
context: Can you show me what it is soon?\Hey, Victor! Aren't you teaching me first?!\Right.\So, Yuri.\Think long and hard about what eros is to you.\What eros is to me? What would that be?\Hot Springs on Ice Yuri vs. Yurio Hasetsu Exhibition!!\Who knew we'd get a lineup like this in Hasetsu? response:	Lots of people will come!
context: Hey, Victor! Aren't you teaching me first?!\Right.\So, Yuri.\Think long and hard about what eros is to you.\What eros is to me? What would that be?\Hot Springs on Ice Yuri vs. Yurio Hasetsu Exhibition!!\Who knew we'd get a lineup like this in Hasetsu?\Lots of people will come! response:	Well, either way...
context: Right.\So, Yuri.\Think long and hard about what eros is to you.\What eros is to me? What would that be?\Hot Springs on Ice Yuri vs. Yurio Hasetsu Exhibition!!\Who knew we'd get a lineup like this in Hasetsu?\Lots of people will come!\Well, either way... response:	Yuri's back! Cheers!
context: So, Yuri.\Think long and hard about what eros is to you.\What eros is to me? What would that be?\Hot Springs on Ice Yuri vs. Yurio Hasetsu Exhibition!!\Who knew we'd get a lineup like this in Hasetsu?\Lots of people will come!\Well, either way...\Yuri's back! Cheers! response:	Cheers!
context: Think long and hard about what eros is to you.\What eros is to me? What would that be?\Hot Springs on Ice Yuri vs. Yurio Hasetsu Exhibition!!\Who knew we'd get a lineup like this in Hasetsu?\Lots of people will come!\Well, either way...\Yuri's back! Cheers!\Cheers! response:	Huh?
context: What eros is to me? What would that be?\Hot Springs on Ice Yuri vs. Yurio Hasetsu Exhibition!!\Who knew we'd get a lineup like this in Hasetsu?\Lots of people will come!\Well, either way...\Yuri's back! Cheers!\Cheers!\Huh? response:	You had to do basic training for half a day because you didn't get eros?
context: Hot Springs on Ice Yuri vs. Yurio Hasetsu Exhibition!!\Who knew we'd get a lineup like this in Hasetsu?\Lots of people will come!\Well, either way...\Yuri's back! Cheers!\Cheers!\Huh?\You had to do basic training for half a day because you didn't get eros? response:	Yeah.
context: Who knew we'd get a lineup like this in Hasetsu?\Lots of people will come!\Well, either way...\Yuri's back! Cheers!\Cheers!\Huh?\You had to do basic training for half a day because you didn't get eros?\Yeah. response:	You should have just made something up.
context: Lots of people will come!\Well, either way...\Yuri's back! Cheers!\Cheers!\Huh?\You had to do basic training for half a day because you didn't get eros?\Yeah.\You should have just made something up. response:	I bet Victor hasn't thought much about it, either.
context: Well, either way...\Yuri's back! Cheers!\Cheers!\Huh?\You had to do basic training for half a day because you didn't get eros?\Yeah.\You should have just made something up.\I bet Victor hasn't thought much about it, either. response:	Victor's a genius, so he can get away with that.
context: Yuri's back! Cheers!\Cheers!\Huh?\You had to do basic training for half a day because you didn't get eros?\Yeah.\You should have just made something up.\I bet Victor hasn't thought much about it, either.\Victor's a genius, so he can get away with that. response:	I could see a story in the program, too.
context: Cheers!\Huh?\You had to do basic training for half a day because you didn't get eros?\Yeah.\You should have just made something up.\I bet Victor hasn't thought much about it, either.\Victor's a genius, so he can get away with that.\I could see a story in the program, too. response:	A playboy comes to a certain town
context: Huh?\You had to do basic training for half a day because you didn't get eros?\Yeah.\You should have just made something up.\I bet Victor hasn't thought much about it, either.\Victor's a genius, so he can get away with that.\I could see a story in the program, too.\A playboy comes to a certain town response:	and bewitches the women left and right.
context: You had to do basic training for half a day because you didn't get eros?\Yeah.\You should have just made something up.\I bet Victor hasn't thought much about it, either.\Victor's a genius, so he can get away with that.\I could see a story in the program, too.\A playboy comes to a certain town\and bewitches the women left and right. response:	He decides to pursue the most beautiful woman in town,
context: Yeah.\You should have just made something up.\I bet Victor hasn't thought much about it, either.\Victor's a genius, so he can get away with that.\I could see a story in the program, too.\A playboy comes to a certain town\and bewitches the women left and right.\He decides to pursue the most beautiful woman in town, response:	but she isn't swayed.
context: You should have just made something up.\I bet Victor hasn't thought much about it, either.\Victor's a genius, so he can get away with that.\I could see a story in the program, too.\A playboy comes to a certain town\and bewitches the women left and right.\He decides to pursue the most beautiful woman in town,\but she isn't swayed. response:	Then, as they play the game of love,
context: I bet Victor hasn't thought much about it, either.\Victor's a genius, so he can get away with that.\I could see a story in the program, too.\A playboy comes to a certain town\and bewitches the women left and right.\He decides to pursue the most beautiful woman in town,\but she isn't swayed.\Then, as they play the game of love, response:	she finds it difficult to make the right choices
context: Victor's a genius, so he can get away with that.\I could see a story in the program, too.\A playboy comes to a certain town\and bewitches the women left and right.\He decides to pursue the most beautiful woman in town,\but she isn't swayed.\Then, as they play the game of love,\she finds it difficult to make the right choices response:	and ends up falling for him.
context: I could see a story in the program, too.\A playboy comes to a certain town\and bewitches the women left and right.\He decides to pursue the most beautiful woman in town,\but she isn't swayed.\Then, as they play the game of love,\she finds it difficult to make the right choices\and ends up falling for him. response:	Then he casts her aside, as though he's tired of her,
context: A playboy comes to a certain town\and bewitches the women left and right.\He decides to pursue the most beautiful woman in town,\but she isn't swayed.\Then, as they play the game of love,\she finds it difficult to make the right choices\and ends up falling for him.\Then he casts her aside, as though he's tired of her, response:	and goes off to the next town.
context: and bewitches the women left and right.\He decides to pursue the most beautiful woman in town,\but she isn't swayed.\Then, as they play the game of love,\she finds it difficult to make the right choices\and ends up falling for him.\Then he casts her aside, as though he's tired of her,\and goes off to the next town. response:	Wow! So hot! Take me!
context: He decides to pursue the most beautiful woman in town,\but she isn't swayed.\Then, as they play the game of love,\she finds it difficult to make the right choices\and ends up falling for him.\Then he casts her aside, as though he's tired of her,\and goes off to the next town.\Wow! So hot! Take me! response:	That doesn't really sound like you, Yuri.
context: but she isn't swayed.\Then, as they play the game of love,\she finds it difficult to make the right choices\and ends up falling for him.\Then he casts her aside, as though he's tired of her,\and goes off to the next town.\Wow! So hot! Take me!\That doesn't really sound like you, Yuri. response:	Right?
context: Then, as they play the game of love,\she finds it difficult to make the right choices\and ends up falling for him.\Then he casts her aside, as though he's tired of her,\and goes off to the next town.\Wow! So hot! Take me!\That doesn't really sound like you, Yuri.\Right? response:	I bet people will say they'd prefer to see Victor skate the program.
context: she finds it difficult to make the right choices\and ends up falling for him.\Then he casts her aside, as though he's tired of her,\and goes off to the next town.\Wow! So hot! Take me!\That doesn't really sound like you, Yuri.\Right?\I bet people will say they'd prefer to see Victor skate the program. response:	But you looked pretty sexy in the video when you copied his program.
context: and ends up falling for him.\Then he casts her aside, as though he's tired of her,\and goes off to the next town.\Wow! So hot! Take me!\That doesn't really sound like you, Yuri.\Right?\I bet people will say they'd prefer to see Victor skate the program.\But you looked pretty sexy in the video when you copied his program. response:	Well, I can't copy him.
context: Then he casts her aside, as though he's tired of her,\and goes off to the next town.\Wow! So hot! Take me!\That doesn't really sound like you, Yuri.\Right?\I bet people will say they'd prefer to see Victor skate the program.\But you looked pretty sexy in the video when you copied his program.\Well, I can't copy him. response:	I'll never surpass him by doing that.
context: and goes off to the next town.\Wow! So hot! Take me!\That doesn't really sound like you, Yuri.\Right?\I bet people will say they'd prefer to see Victor skate the program.\But you looked pretty sexy in the video when you copied his program.\Well, I can't copy him.\I'll never surpass him by doing that. response:	Wait, you seriously think you can be better than him someday?
context: Wow! So hot! Take me!\That doesn't really sound like you, Yuri.\Right?\I bet people will say they'd prefer to see Victor skate the program.\But you looked pretty sexy in the video when you copied his program.\Well, I can't copy him.\I'll never surpass him by doing that.\Wait, you seriously think you can be better than him someday? response:	Huh?
context: That doesn't really sound like you, Yuri.\Right?\I bet people will say they'd prefer to see Victor skate the program.\But you looked pretty sexy in the video when you copied his program.\Well, I can't copy him.\I'll never surpass him by doing that.\Wait, you seriously think you can be better than him someday?\Huh? response:	Oh, um, no, not at all!
context: Right?\I bet people will say they'd prefer to see Victor skate the program.\But you looked pretty sexy in the video when you copied his program.\Well, I can't copy him.\I'll never surpass him by doing that.\Wait, you seriously think you can be better than him someday?\Huh?\Oh, um, no, not at all! response:	I mean, how can someone as inexperienced in dating as you
context: I bet people will say they'd prefer to see Victor skate the program.\But you looked pretty sexy in the video when you copied his program.\Well, I can't copy him.\I'll never surpass him by doing that.\Wait, you seriously think you can be better than him someday?\Huh?\Oh, um, no, not at all!\I mean, how can someone as inexperienced in dating as you response:	beat the hottest bachelor in the world?
context: But you looked pretty sexy in the video when you copied his program.\Well, I can't copy him.\I'll never surpass him by doing that.\Wait, you seriously think you can be better than him someday?\Huh?\Oh, um, no, not at all!\I mean, how can someone as inexperienced in dating as you\beat the hottest bachelor in the world? response:	Stop, stop!
context: Well, I can't copy him.\I'll never surpass him by doing that.\Wait, you seriously think you can be better than him someday?\Huh?\Oh, um, no, not at all!\I mean, how can someone as inexperienced in dating as you\beat the hottest bachelor in the world?\Stop, stop! response:	Hmm, something isn't right here.
context: I'll never surpass him by doing that.\Wait, you seriously think you can be better than him someday?\Huh?\Oh, um, no, not at all!\I mean, how can someone as inexperienced in dating as you\beat the hottest bachelor in the world?\Stop, stop!\Hmm, something isn't right here. response:	I'm doing it like you showed me, aren't I?
context: Wait, you seriously think you can be better than him someday?\Huh?\Oh, um, no, not at all!\I mean, how can someone as inexperienced in dating as you\beat the hottest bachelor in the world?\Stop, stop!\Hmm, something isn't right here.\I'm doing it like you showed me, aren't I? response:	The way you currently are,
context: Huh?\Oh, um, no, not at all!\I mean, how can someone as inexperienced in dating as you\beat the hottest bachelor in the world?\Stop, stop!\Hmm, something isn't right here.\I'm doing it like you showed me, aren't I?\The way you currently are, response:	your greed is too obvious.
context: Oh, um, no, not at all!\I mean, how can someone as inexperienced in dating as you\beat the hottest bachelor in the world?\Stop, stop!\Hmm, something isn't right here.\I'm doing it like you showed me, aren't I?\The way you currently are,\your greed is too obvious. response:	There's no sense of agape, unconditional love, in your performance.
context: I mean, how can someone as inexperienced in dating as you\beat the hottest bachelor in the world?\Stop, stop!\Hmm, something isn't right here.\I'm doing it like you showed me, aren't I?\The way you currently are,\your greed is too obvious.\There's no sense of agape, unconditional love, in your performance. response:	It's good to have confidence,
context: beat the hottest bachelor in the world?\Stop, stop!\Hmm, something isn't right here.\I'm doing it like you showed me, aren't I?\The way you currently are,\your greed is too obvious.\There's no sense of agape, unconditional love, in your performance.\It's good to have confidence, response:	but this program isn't where you should show it off.
context: Stop, stop!\Hmm, something isn't right here.\I'm doing it like you showed me, aren't I?\The way you currently are,\your greed is too obvious.\There's no sense of agape, unconditional love, in your performance.\It's good to have confidence,\but this program isn't where you should show it off. response:	Huh?
context: Hmm, something isn't right here.\I'm doing it like you showed me, aren't I?\The way you currently are,\your greed is too obvious.\There's no sense of agape, unconditional love, in your performance.\It's good to have confidence,\but this program isn't where you should show it off.\Huh? response:	You're the one who's skated with complete confidence this whole time!
context: I'm doing it like you showed me, aren't I?\The way you currently are,\your greed is too obvious.\There's no sense of agape, unconditional love, in your performance.\It's good to have confidence,\but this program isn't where you should show it off.\Huh?\You're the one who's skated with complete confidence this whole time! response:	Well, what's agape to you, then, Victor?!
context: The way you currently are,\your greed is too obvious.\There's no sense of agape, unconditional love, in your performance.\It's good to have confidence,\but this program isn't where you should show it off.\Huh?\You're the one who's skated with complete confidence this whole time!\Well, what's agape to you, then, Victor?! response:	It's a feeling, of course,
