context: An enormous evil power is about to be revived. response:	Finally, the time for the final battle is here.
context: we will always be together!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	The sunspot has continued its abnormal expansion
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\The sunspot has continued its abnormal expansion response:	and all over the world various natural disasters, such as
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\The sunspot has continued its abnormal expansion\and all over the world various natural disasters, such as response:	earthquakes, volcanic eruptions, and hurricanes are occurring,
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\The sunspot has continued its abnormal expansion\and all over the world various natural disasters, such as\earthquakes, volcanic eruptions, and hurricanes are occurring, response:	believed to be due to this phenomenon.
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\The sunspot has continued its abnormal expansion\and all over the world various natural disasters, such as\earthquakes, volcanic eruptions, and hurricanes are occurring,\believed to be due to this phenomenon. response:	Concerning this, the Meteorological Agency
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\The sunspot has continued its abnormal expansion\and all over the world various natural disasters, such as\earthquakes, volcanic eruptions, and hurricanes are occurring,\believed to be due to this phenomenon.\Concerning this, the Meteorological Agency response:	has said that this is a first in observation history
context: We were born in the same land, miracle romance\I believe in it, miracle romance\The sunspot has continued its abnormal expansion\and all over the world various natural disasters, such as\earthquakes, volcanic eruptions, and hurricanes are occurring,\believed to be due to this phenomenon.\Concerning this, the Meteorological Agency\has said that this is a first in observation history response:	and they cannot say how it will affect Japan.
context: I believe in it, miracle romance\The sunspot has continued its abnormal expansion\and all over the world various natural disasters, such as\earthquakes, volcanic eruptions, and hurricanes are occurring,\believed to be due to this phenomenon.\Concerning this, the Meteorological Agency\has said that this is a first in observation history\and they cannot say how it will affect Japan. response:	We have to do something about it soon. And they cannot say how it will affect Japan.
context: The sunspot has continued its abnormal expansion\and all over the world various natural disasters, such as\earthquakes, volcanic eruptions, and hurricanes are occurring,\believed to be due to this phenomenon.\Concerning this, the Meteorological Agency\has said that this is a first in observation history\and they cannot say how it will affect Japan.\We have to do something about it soon. And they cannot say how it will affect Japan. response:	The Sailor Warriors Die! The Tragic Final Battle
context: and all over the world various natural disasters, such as\earthquakes, volcanic eruptions, and hurricanes are occurring,\believed to be due to this phenomenon.\Concerning this, the Meteorological Agency\has said that this is a first in observation history\and they cannot say how it will affect Japan.\We have to do something about it soon. And they cannot say how it will affect Japan.\The Sailor Warriors Die! The Tragic Final Battle response:	Okay, everyone, thank you for waiting!
context: earthquakes, volcanic eruptions, and hurricanes are occurring,\believed to be due to this phenomenon.\Concerning this, the Meteorological Agency\has said that this is a first in observation history\and they cannot say how it will affect Japan.\We have to do something about it soon. And they cannot say how it will affect Japan.\The Sailor Warriors Die! The Tragic Final Battle\Okay, everyone, thank you for waiting! response:	This is Usagi's special curry and rice!
context: believed to be due to this phenomenon.\Concerning this, the Meteorological Agency\has said that this is a first in observation history\and they cannot say how it will affect Japan.\We have to do something about it soon. And they cannot say how it will affect Japan.\The Sailor Warriors Die! The Tragic Final Battle\Okay, everyone, thank you for waiting!\This is Usagi's special curry and rice! response:	I'm so touched that you cooked dinner!
context: Concerning this, the Meteorological Agency\has said that this is a first in observation history\and they cannot say how it will affect Japan.\We have to do something about it soon. And they cannot say how it will affect Japan.\The Sailor Warriors Die! The Tragic Final Battle\Okay, everyone, thank you for waiting!\This is Usagi's special curry and rice!\I'm so touched that you cooked dinner! response:	Oh, Dad, you're making such a big deal out of it!
context: has said that this is a first in observation history\and they cannot say how it will affect Japan.\We have to do something about it soon. And they cannot say how it will affect Japan.\The Sailor Warriors Die! The Tragic Final Battle\Okay, everyone, thank you for waiting!\This is Usagi's special curry and rice!\I'm so touched that you cooked dinner!\Oh, Dad, you're making such a big deal out of it! response:	Okay, everyone, shall we dig in?
context: and they cannot say how it will affect Japan.\We have to do something about it soon. And they cannot say how it will affect Japan.\The Sailor Warriors Die! The Tragic Final Battle\Okay, everyone, thank you for waiting!\This is Usagi's special curry and rice!\I'm so touched that you cooked dinner!\Oh, Dad, you're making such a big deal out of it!\Okay, everyone, shall we dig in? response:	Is this really edible?
context: We have to do something about it soon. And they cannot say how it will affect Japan.\The Sailor Warriors Die! The Tragic Final Battle\Okay, everyone, thank you for waiting!\This is Usagi's special curry and rice!\I'm so touched that you cooked dinner!\Oh, Dad, you're making such a big deal out of it!\Okay, everyone, shall we dig in?\Is this really edible? response:	How rude! It looks bad, but the taste is for real!
context: The Sailor Warriors Die! The Tragic Final Battle\Okay, everyone, thank you for waiting!\This is Usagi's special curry and rice!\I'm so touched that you cooked dinner!\Oh, Dad, you're making such a big deal out of it!\Okay, everyone, shall we dig in?\Is this really edible?\How rude! It looks bad, but the taste is for real! response:	What's wrong, Usagi? Is something the matter?
context: Okay, everyone, thank you for waiting!\This is Usagi's special curry and rice!\I'm so touched that you cooked dinner!\Oh, Dad, you're making such a big deal out of it!\Okay, everyone, shall we dig in?\Is this really edible?\How rude! It looks bad, but the taste is for real!\What's wrong, Usagi? Is something the matter? response:	It's spicy!
context: This is Usagi's special curry and rice!\I'm so touched that you cooked dinner!\Oh, Dad, you're making such a big deal out of it!\Okay, everyone, shall we dig in?\Is this really edible?\How rude! It looks bad, but the taste is for real!\What's wrong, Usagi? Is something the matter?\It's spicy! response:	I knew it.
context: I'm so touched that you cooked dinner!\Oh, Dad, you're making such a big deal out of it!\Okay, everyone, shall we dig in?\Is this really edible?\How rude! It looks bad, but the taste is for real!\What's wrong, Usagi? Is something the matter?\It's spicy!\I knew it. response:	Hikawa Shrine
context: Oh, Dad, you're making such a big deal out of it!\Okay, everyone, shall we dig in?\Is this really edible?\How rude! It looks bad, but the taste is for real!\What's wrong, Usagi? Is something the matter?\It's spicy!\I knew it.\Hikawa Shrine response:	Finally, it's time.
context: Okay, everyone, shall we dig in?\Is this really edible?\How rude! It looks bad, but the taste is for real!\What's wrong, Usagi? Is something the matter?\It's spicy!\I knew it.\Hikawa Shrine\Finally, it's time. response:	I can't wait!
context: Is this really edible?\How rude! It looks bad, but the taste is for real!\What's wrong, Usagi? Is something the matter?\It's spicy!\I knew it.\Hikawa Shrine\Finally, it's time.\I can't wait! response:	I can't believe we've finally come this far.
context: How rude! It looks bad, but the taste is for real!\What's wrong, Usagi? Is something the matter?\It's spicy!\I knew it.\Hikawa Shrine\Finally, it's time.\I can't wait!\I can't believe we've finally come this far. response:	Hey, hey, Rei.
context: What's wrong, Usagi? Is something the matter?\It's spicy!\I knew it.\Hikawa Shrine\Finally, it's time.\I can't wait!\I can't believe we've finally come this far.\Hey, hey, Rei. response:	Did you at least kiss Yuichiro before you left?
context: It's spicy!\I knew it.\Hikawa Shrine\Finally, it's time.\I can't wait!\I can't believe we've finally come this far.\Hey, hey, Rei.\Did you at least kiss Yuichiro before you left? response:	Why are you asking all of a sudden?!
context: I knew it.\Hikawa Shrine\Finally, it's time.\I can't wait!\I can't believe we've finally come this far.\Hey, hey, Rei.\Did you at least kiss Yuichiro before you left?\Why are you asking all of a sudden?! response:	Because if something were to happen,
context: Hikawa Shrine\Finally, it's time.\I can't wait!\I can't believe we've finally come this far.\Hey, hey, Rei.\Did you at least kiss Yuichiro before you left?\Why are you asking all of a sudden?!\Because if something were to happen, response:	you'd regret it.
context: Finally, it's time.\I can't wait!\I can't believe we've finally come this far.\Hey, hey, Rei.\Did you at least kiss Yuichiro before you left?\Why are you asking all of a sudden?!\Because if something were to happen,\you'd regret it. response:	Nothing like that is going to happen!
context: I can't wait!\I can't believe we've finally come this far.\Hey, hey, Rei.\Did you at least kiss Yuichiro before you left?\Why are you asking all of a sudden?!\Because if something were to happen,\you'd regret it.\Nothing like that is going to happen! response:	Ouch! You're mean! I was just worried for you, Rei!
context: I can't believe we've finally come this far.\Hey, hey, Rei.\Did you at least kiss Yuichiro before you left?\Why are you asking all of a sudden?!\Because if something were to happen,\you'd regret it.\Nothing like that is going to happen!\Ouch! You're mean! I was just worried for you, Rei! response:	It's none of your business!
context: Hey, hey, Rei.\Did you at least kiss Yuichiro before you left?\Why are you asking all of a sudden?!\Because if something were to happen,\you'd regret it.\Nothing like that is going to happen!\Ouch! You're mean! I was just worried for you, Rei!\It's none of your business! response:	Usagi, let's stop thinking about what ifs.
context: Did you at least kiss Yuichiro before you left?\Why are you asking all of a sudden?!\Because if something were to happen,\you'd regret it.\Nothing like that is going to happen!\Ouch! You're mean! I was just worried for you, Rei!\It's none of your business!\Usagi, let's stop thinking about what ifs. response:	She's right.
context: Why are you asking all of a sudden?!\Because if something were to happen,\you'd regret it.\Nothing like that is going to happen!\Ouch! You're mean! I was just worried for you, Rei!\It's none of your business!\Usagi, let's stop thinking about what ifs.\She's right. response:	Like me? When this is all over,
context: Because if something were to happen,\you'd regret it.\Nothing like that is going to happen!\Ouch! You're mean! I was just worried for you, Rei!\It's none of your business!\Usagi, let's stop thinking about what ifs.\She's right.\Like me? When this is all over, response:	I'm planning on having a full-blown romance!
context: you'd regret it.\Nothing like that is going to happen!\Ouch! You're mean! I was just worried for you, Rei!\It's none of your business!\Usagi, let's stop thinking about what ifs.\She's right.\Like me? When this is all over,\I'm planning on having a full-blown romance! response:	Mako... You're right. I'm sorry.
context: Nothing like that is going to happen!\Ouch! You're mean! I was just worried for you, Rei!\It's none of your business!\Usagi, let's stop thinking about what ifs.\She's right.\Like me? When this is all over,\I'm planning on having a full-blown romance!\Mako... You're right. I'm sorry. response:	Love, huh? Maybe, me, too...
context: Ouch! You're mean! I was just worried for you, Rei!\It's none of your business!\Usagi, let's stop thinking about what ifs.\She's right.\Like me? When this is all over,\I'm planning on having a full-blown romance!\Mako... You're right. I'm sorry.\Love, huh? Maybe, me, too... response:	Come on, we don't have time for chitchat.
context: It's none of your business!\Usagi, let's stop thinking about what ifs.\She's right.\Like me? When this is all over,\I'm planning on having a full-blown romance!\Mako... You're right. I'm sorry.\Love, huh? Maybe, me, too...\Come on, we don't have time for chitchat. response:	Everyone, makeup!
context: Usagi, let's stop thinking about what ifs.\She's right.\Like me? When this is all over,\I'm planning on having a full-blown romance!\Mako... You're right. I'm sorry.\Love, huh? Maybe, me, too...\Come on, we don't have time for chitchat.\Everyone, makeup! response:	Moon Prism Power Makeup!
context: She's right.\Like me? When this is all over,\I'm planning on having a full-blown romance!\Mako... You're right. I'm sorry.\Love, huh? Maybe, me, too...\Come on, we don't have time for chitchat.\Everyone, makeup!\Moon Prism Power Makeup! response:	Mercury Power
context: Like me? When this is all over,\I'm planning on having a full-blown romance!\Mako... You're right. I'm sorry.\Love, huh? Maybe, me, too...\Come on, we don't have time for chitchat.\Everyone, makeup!\Moon Prism Power Makeup!\Mercury Power response:	Mars Power
context: I'm planning on having a full-blown romance!\Mako... You're right. I'm sorry.\Love, huh? Maybe, me, too...\Come on, we don't have time for chitchat.\Everyone, makeup!\Moon Prism Power Makeup!\Mercury Power\Mars Power response:	Jupiter Power
context: Mako... You're right. I'm sorry.\Love, huh? Maybe, me, too...\Come on, we don't have time for chitchat.\Everyone, makeup!\Moon Prism Power Makeup!\Mercury Power\Mars Power\Jupiter Power response:	Venus Power
context: Love, huh? Maybe, me, too...\Come on, we don't have time for chitchat.\Everyone, makeup!\Moon Prism Power Makeup!\Mercury Power\Mars Power\Jupiter Power\Venus Power response:	Makeup!
context: Come on, we don't have time for chitchat.\Everyone, makeup!\Moon Prism Power Makeup!\Mercury Power\Mars Power\Jupiter Power\Venus Power\Makeup! response:	You're going to D-Point in the North Pole in one shot!
context: Everyone, makeup!\Moon Prism Power Makeup!\Mercury Power\Mars Power\Jupiter Power\Venus Power\Makeup!\You're going to D-Point in the North Pole in one shot! response:	How?
context: Moon Prism Power Makeup!\Mercury Power\Mars Power\Jupiter Power\Venus Power\Makeup!\You're going to D-Point in the North Pole in one shot!\How? response:	You'll combine your powers to teleport.
context: Mercury Power\Mars Power\Jupiter Power\Venus Power\Makeup!\You're going to D-Point in the North Pole in one shot!\How?\You'll combine your powers to teleport. response:	We're injured, so we'll stay behind to avoid getting in your way,
context: Mars Power\Jupiter Power\Venus Power\Makeup!\You're going to D-Point in the North Pole in one shot!\How?\You'll combine your powers to teleport.\We're injured, so we'll stay behind to avoid getting in your way, response:	but you'll be okay, right?
context: Jupiter Power\Venus Power\Makeup!\You're going to D-Point in the North Pole in one shot!\How?\You'll combine your powers to teleport.\We're injured, so we'll stay behind to avoid getting in your way,\but you'll be okay, right? response:	As long as the sailor warriors work together,
context: Venus Power\Makeup!\You're going to D-Point in the North Pole in one shot!\How?\You'll combine your powers to teleport.\We're injured, so we'll stay behind to avoid getting in your way,\but you'll be okay, right?\As long as the sailor warriors work together, response:	you'll be able to defeat Queen Beryl for sure!
context: Makeup!\You're going to D-Point in the North Pole in one shot!\How?\You'll combine your powers to teleport.\We're injured, so we'll stay behind to avoid getting in your way,\but you'll be okay, right?\As long as the sailor warriors work together,\you'll be able to defeat Queen Beryl for sure! response:	Sailor Teleport!
context: You're going to D-Point in the North Pole in one shot!\How?\You'll combine your powers to teleport.\We're injured, so we'll stay behind to avoid getting in your way,\but you'll be okay, right?\As long as the sailor warriors work together,\you'll be able to defeat Queen Beryl for sure!\Sailor Teleport! response:	Good luck!
context: How?\You'll combine your powers to teleport.\We're injured, so we'll stay behind to avoid getting in your way,\but you'll be okay, right?\As long as the sailor warriors work together,\you'll be able to defeat Queen Beryl for sure!\Sailor Teleport!\Good luck! response:	May everyone comes home safely.
context: You'll combine your powers to teleport.\We're injured, so we'll stay behind to avoid getting in your way,\but you'll be okay, right?\As long as the sailor warriors work together,\you'll be able to defeat Queen Beryl for sure!\Sailor Teleport!\Good luck!\May everyone comes home safely. response:	It's COLD!
context: We're injured, so we'll stay behind to avoid getting in your way,\but you'll be okay, right?\As long as the sailor warriors work together,\you'll be able to defeat Queen Beryl for sure!\Sailor Teleport!\Good luck!\May everyone comes home safely.\It's COLD! response:	How can you all act like there's nothing wrong?!
context: but you'll be okay, right?\As long as the sailor warriors work together,\you'll be able to defeat Queen Beryl for sure!\Sailor Teleport!\Good luck!\May everyone comes home safely.\It's COLD!\How can you all act like there's nothing wrong?! response:	Shut up! If you stand up straight, you won't be cold!
context: As long as the sailor warriors work together,\you'll be able to defeat Queen Beryl for sure!\Sailor Teleport!\Good luck!\May everyone comes home safely.\It's COLD!\How can you all act like there's nothing wrong?!\Shut up! If you stand up straight, you won't be cold! response:	When it's cold, it's cold no matter what you do!
context: you'll be able to defeat Queen Beryl for sure!\Sailor Teleport!\Good luck!\May everyone comes home safely.\It's COLD!\How can you all act like there's nothing wrong?!\Shut up! If you stand up straight, you won't be cold!\When it's cold, it's cold no matter what you do! response:	This certainly doesn't bode well.
context: Sailor Teleport!\Good luck!\May everyone comes home safely.\It's COLD!\How can you all act like there's nothing wrong?!\Shut up! If you stand up straight, you won't be cold!\When it's cold, it's cold no matter what you do!\This certainly doesn't bode well. response:	Everyone, I found it!
context: Good luck!\May everyone comes home safely.\It's COLD!\How can you all act like there's nothing wrong?!\Shut up! If you stand up straight, you won't be cold!\When it's cold, it's cold no matter what you do!\This certainly doesn't bode well.\Everyone, I found it! response:	A large amount of evil energy is being released from over there!
context: May everyone comes home safely.\It's COLD!\How can you all act like there's nothing wrong?!\Shut up! If you stand up straight, you won't be cold!\When it's cold, it's cold no matter what you do!\This certainly doesn't bode well.\Everyone, I found it!\A large amount of evil energy is being released from over there! response:	Queen Metalia will be revived shortly.
context: It's COLD!\How can you all act like there's nothing wrong?!\Shut up! If you stand up straight, you won't be cold!\When it's cold, it's cold no matter what you do!\This certainly doesn't bode well.\Everyone, I found it!\A large amount of evil energy is being released from over there!\Queen Metalia will be revived shortly. response:	I will not allow you to interfere!
context: How can you all act like there's nothing wrong?!\Shut up! If you stand up straight, you won't be cold!\When it's cold, it's cold no matter what you do!\This certainly doesn't bode well.\Everyone, I found it!\A large amount of evil energy is being released from over there!\Queen Metalia will be revived shortly.\I will not allow you to interfere! response:	Whoever wants to give them a death sentence, come forward!
context: Shut up! If you stand up straight, you won't be cold!\When it's cold, it's cold no matter what you do!\This certainly doesn't bode well.\Everyone, I found it!\A large amount of evil energy is being released from over there!\Queen Metalia will be revived shortly.\I will not allow you to interfere!\Whoever wants to give them a death sentence, come forward! response:	Please allow us, the DD Girls, to take that assignment!
context: When it's cold, it's cold no matter what you do!\This certainly doesn't bode well.\Everyone, I found it!\A large amount of evil energy is being released from over there!\Queen Metalia will be revived shortly.\I will not allow you to interfere!\Whoever wants to give them a death sentence, come forward!\Please allow us, the DD Girls, to take that assignment! response:	Wait!
context: This certainly doesn't bode well.\Everyone, I found it!\A large amount of evil energy is being released from over there!\Queen Metalia will be revived shortly.\I will not allow you to interfere!\Whoever wants to give them a death sentence, come forward!\Please allow us, the DD Girls, to take that assignment!\Wait! response:	The evil energy reading is growing stronger!
context: Everyone, I found it!\A large amount of evil energy is being released from over there!\Queen Metalia will be revived shortly.\I will not allow you to interfere!\Whoever wants to give them a death sentence, come forward!\Please allow us, the DD Girls, to take that assignment!\Wait!\The evil energy reading is growing stronger! response:	It's coming!
context: A large amount of evil energy is being released from over there!\Queen Metalia will be revived shortly.\I will not allow you to interfere!\Whoever wants to give them a death sentence, come forward!\Please allow us, the DD Girls, to take that assignment!\Wait!\The evil energy reading is growing stronger!\It's coming! response:	Tuxedo Mask...
context: Queen Metalia will be revived shortly.\I will not allow you to interfere!\Whoever wants to give them a death sentence, come forward!\Please allow us, the DD Girls, to take that assignment!\Wait!\The evil energy reading is growing stronger!\It's coming!\Tuxedo Mask... response:	Tuxedo Mask!
context: I will not allow you to interfere!\Whoever wants to give them a death sentence, come forward!\Please allow us, the DD Girls, to take that assignment!\Wait!\The evil energy reading is growing stronger!\It's coming!\Tuxedo Mask...\Tuxedo Mask! response:	Wait! It could be a trap!
context: Whoever wants to give them a death sentence, come forward!\Please allow us, the DD Girls, to take that assignment!\Wait!\The evil energy reading is growing stronger!\It's coming!\Tuxedo Mask...\Tuxedo Mask!\Wait! It could be a trap! response:	This would usually be a trap.
context: Please allow us, the DD Girls, to take that assignment!\Wait!\The evil energy reading is growing stronger!\It's coming!\Tuxedo Mask...\Tuxedo Mask!\Wait! It could be a trap!\This would usually be a trap. response:	But...
context: Wait!\The evil energy reading is growing stronger!\It's coming!\Tuxedo Mask...\Tuxedo Mask!\Wait! It could be a trap!\This would usually be a trap.\But... response:	You get targeted first because you're so simpleminded!
context: The evil energy reading is growing stronger!\It's coming!\Tuxedo Mask...\Tuxedo Mask!\Wait! It could be a trap!\This would usually be a trap.\But...\You get targeted first because you're so simpleminded! response:	But...
context: It's coming!\Tuxedo Mask...\Tuxedo Mask!\Wait! It could be a trap!\This would usually be a trap.\But...\You get targeted first because you're so simpleminded!\But... response:	I'll check into it right now.
context: Tuxedo Mask...\Tuxedo Mask!\Wait! It could be a trap!\This would usually be a trap.\But...\You get targeted first because you're so simpleminded!\But...\I'll check into it right now. response:	Help me, Sailor Moon.
context: Tuxedo Mask!\Wait! It could be a trap!\This would usually be a trap.\But...\You get targeted first because you're so simpleminded!\But...\I'll check into it right now.\Help me, Sailor Moon. response:	Sailor Moon...
context: Wait! It could be a trap!\This would usually be a trap.\But...\You get targeted first because you're so simpleminded!\But...\I'll check into it right now.\Help me, Sailor Moon.\Sailor Moon... response:	I just can't leave him like that!
context: This would usually be a trap.\But...\You get targeted first because you're so simpleminded!\But...\I'll check into it right now.\Help me, Sailor Moon.\Sailor Moon...\I just can't leave him like that! response:	Wait, Sailor Moon.
context: But...\You get targeted first because you're so simpleminded!\But...\I'll check into it right now.\Help me, Sailor Moon.\Sailor Moon...\I just can't leave him like that!\Wait, Sailor Moon. response:	Wait! Wait, Sailor Moon.
context: You get targeted first because you're so simpleminded!\But...\I'll check into it right now.\Help me, Sailor Moon.\Sailor Moon...\I just can't leave him like that!\Wait, Sailor Moon.\Wait! Wait, Sailor Moon. response:	Sailor Moon! Wait, Sailor Moon.
context: But...\I'll check into it right now.\Help me, Sailor Moon.\Sailor Moon...\I just can't leave him like that!\Wait, Sailor Moon.\Wait! Wait, Sailor Moon.\Sailor Moon! Wait, Sailor Moon. response:	Sailor Moon!
context: I'll check into it right now.\Help me, Sailor Moon.\Sailor Moon...\I just can't leave him like that!\Wait, Sailor Moon.\Wait! Wait, Sailor Moon.\Sailor Moon! Wait, Sailor Moon.\Sailor Moon! response:	But he's suffering! How can you ignore him like that?!
context: Help me, Sailor Moon.\Sailor Moon...\I just can't leave him like that!\Wait, Sailor Moon.\Wait! Wait, Sailor Moon.\Sailor Moon! Wait, Sailor Moon.\Sailor Moon!\But he's suffering! How can you ignore him like that?! response:	Let me go!
context: Sailor Moon...\I just can't leave him like that!\Wait, Sailor Moon.\Wait! Wait, Sailor Moon.\Sailor Moon! Wait, Sailor Moon.\Sailor Moon!\But he's suffering! How can you ignore him like that?!\Let me go! response:	Everyone, watch out! He's a monster! Let me go!
context: I just can't leave him like that!\Wait, Sailor Moon.\Wait! Wait, Sailor Moon.\Sailor Moon! Wait, Sailor Moon.\Sailor Moon!\But he's suffering! How can you ignore him like that?!\Let me go!\Everyone, watch out! He's a monster! Let me go! response:	Everyone, watch out! He's a monster!
context: Wait, Sailor Moon.\Wait! Wait, Sailor Moon.\Sailor Moon! Wait, Sailor Moon.\Sailor Moon!\But he's suffering! How can you ignore him like that?!\Let me go!\Everyone, watch out! He's a monster! Let me go!\Everyone, watch out! He's a monster! response:	What?!
context: Wait! Wait, Sailor Moon.\Sailor Moon! Wait, Sailor Moon.\Sailor Moon!\But he's suffering! How can you ignore him like that?!\Let me go!\Everyone, watch out! He's a monster! Let me go!\Everyone, watch out! He's a monster!\What?! response:	I told you so!
context: Sailor Moon! Wait, Sailor Moon.\Sailor Moon!\But he's suffering! How can you ignore him like that?!\Let me go!\Everyone, watch out! He's a monster! Let me go!\Everyone, watch out! He's a monster!\What?!\I told you so! response:	I'm sorry!
context: Sailor Moon!\But he's suffering! How can you ignore him like that?!\Let me go!\Everyone, watch out! He's a monster! Let me go!\Everyone, watch out! He's a monster!\What?!\I told you so!\I'm sorry! response:	Hey, monster! How dare you trick me?!
context: But he's suffering! How can you ignore him like that?!\Let me go!\Everyone, watch out! He's a monster! Let me go!\Everyone, watch out! He's a monster!\What?!\I told you so!\I'm sorry!\Hey, monster! How dare you trick me?! response:	I was a fool for being so gullible,
context: Let me go!\Everyone, watch out! He's a monster! Let me go!\Everyone, watch out! He's a monster!\What?!\I told you so!\I'm sorry!\Hey, monster! How dare you trick me?!\I was a fool for being so gullible, response:	but you're bigger fools for crushing a girl's innocent feelings!
context: Everyone, watch out! He's a monster! Let me go!\Everyone, watch out! He's a monster!\What?!\I told you so!\I'm sorry!\Hey, monster! How dare you trick me?!\I was a fool for being so gullible,\but you're bigger fools for crushing a girl's innocent feelings! response:	Because, because, you've seriously made me mad!
context: Everyone, watch out! He's a monster!\What?!\I told you so!\I'm sorry!\Hey, monster! How dare you trick me?!\I was a fool for being so gullible,\but you're bigger fools for crushing a girl's innocent feelings!\Because, because, you've seriously made me mad! response:	So, now...
context: What?!\I told you so!\I'm sorry!\Hey, monster! How dare you trick me?!\I was a fool for being so gullible,\but you're bigger fools for crushing a girl's innocent feelings!\Because, because, you've seriously made me mad!\So, now... response:	You talk too much!
context: I told you so!\I'm sorry!\Hey, monster! How dare you trick me?!\I was a fool for being so gullible,\but you're bigger fools for crushing a girl's innocent feelings!\Because, because, you've seriously made me mad!\So, now...\You talk too much! response:	Anyway!
context: I'm sorry!\Hey, monster! How dare you trick me?!\I was a fool for being so gullible,\but you're bigger fools for crushing a girl's innocent feelings!\Because, because, you've seriously made me mad!\So, now...\You talk too much!\Anyway! response:	In the name of the moon, I will punish you!
