context: The wind is warm. response:	May. When I wake up and open the window, I don't recoil from the wind anymore.
context: Setting Sun\KOMAHASHI PRIVATE HIGH SCHOOL\May.\Shogi Science Club activities have finally begun.\SCIENCE LAB\Wait, hold on.\Wait a second.\Eisaku Noguchi Third-year high school student response:	Is it okay if I look at the book?
context: KOMAHASHI PRIVATE HIGH SCHOOL\May.\Shogi Science Club activities have finally begun.\SCIENCE LAB\Wait, hold on.\Wait a second.\Eisaku Noguchi Third-year high school student\Is it okay if I look at the book? response:	After School Shogi Science Club
context: May.\Shogi Science Club activities have finally begun.\SCIENCE LAB\Wait, hold on.\Wait a second.\Eisaku Noguchi Third-year high school student\Is it okay if I look at the book?\After School Shogi Science Club response:	Go ahead.
context: Shogi Science Club activities have finally begun.\SCIENCE LAB\Wait, hold on.\Wait a second.\Eisaku Noguchi Third-year high school student\Is it okay if I look at the book?\After School Shogi Science Club\Go ahead. response:	Rei Kiriyama Profession: Pro shogi player
context: SCIENCE LAB\Wait, hold on.\Wait a second.\Eisaku Noguchi Third-year high school student\Is it okay if I look at the book?\After School Shogi Science Club\Go ahead.\Rei Kiriyama Profession: Pro shogi player response:	Shogi Science Club
context: Wait, hold on.\Wait a second.\Eisaku Noguchi Third-year high school student\Is it okay if I look at the book?\After School Shogi Science Club\Go ahead.\Rei Kiriyama Profession: Pro shogi player\Shogi Science Club response:	OOTA-KUN
context: Wait a second.\Eisaku Noguchi Third-year high school student\Is it okay if I look at the book?\After School Shogi Science Club\Go ahead.\Rei Kiriyama Profession: Pro shogi player\Shogi Science Club\OOTA-KUN response:	Get near the king as if to surround it, eh?
context: Eisaku Noguchi Third-year high school student\Is it okay if I look at the book?\After School Shogi Science Club\Go ahead.\Rei Kiriyama Profession: Pro shogi player\Shogi Science Club\OOTA-KUN\Get near the king as if to surround it, eh? response:	MUTTER MUTTER
context: Is it okay if I look at the book?\After School Shogi Science Club\Go ahead.\Rei Kiriyama Profession: Pro shogi player\Shogi Science Club\OOTA-KUN\Get near the king as if to surround it, eh?\MUTTER MUTTER response:	Former Homeroom Teacher
context: After School Shogi Science Club\Go ahead.\Rei Kiriyama Profession: Pro shogi player\Shogi Science Club\OOTA-KUN\Get near the king as if to surround it, eh?\MUTTER MUTTER\Former Homeroom Teacher response:	Faculty Advisor Takashi Hayashida
context: Go ahead.\Rei Kiriyama Profession: Pro shogi player\Shogi Science Club\OOTA-KUN\Get near the king as if to surround it, eh?\MUTTER MUTTER\Former Homeroom Teacher\Faculty Advisor Takashi Hayashida response:	For me, this is pretty much my first club activity.
context: Rei Kiriyama Profession: Pro shogi player\Shogi Science Club\OOTA-KUN\Get near the king as if to surround it, eh?\MUTTER MUTTER\Former Homeroom Teacher\Faculty Advisor Takashi Hayashida\For me, this is pretty much my first club activity. response:	I could do this, but then my bishop would be captured, so...
context: Shogi Science Club\OOTA-KUN\Get near the king as if to surround it, eh?\MUTTER MUTTER\Former Homeroom Teacher\Faculty Advisor Takashi Hayashida\For me, this is pretty much my first club activity.\I could do this, but then my bishop would be captured, so... response:	I lost.
context: OOTA-KUN\Get near the king as if to surround it, eh?\MUTTER MUTTER\Former Homeroom Teacher\Faculty Advisor Takashi Hayashida\For me, this is pretty much my first club activity.\I could do this, but then my bishop would be captured, so...\I lost. response:	SIGH
context: Get near the king as if to surround it, eh?\MUTTER MUTTER\Former Homeroom Teacher\Faculty Advisor Takashi Hayashida\For me, this is pretty much my first club activity.\I could do this, but then my bishop would be captured, so...\I lost.\SIGH response:	SLUMP
context: MUTTER MUTTER\Former Homeroom Teacher\Faculty Advisor Takashi Hayashida\For me, this is pretty much my first club activity.\I could do this, but then my bishop would be captured, so...\I lost.\SIGH\SLUMP response:	I-I didn't realize defeat could be this painful.
context: Former Homeroom Teacher\Faculty Advisor Takashi Hayashida\For me, this is pretty much my first club activity.\I could do this, but then my bishop would be captured, so...\I lost.\SIGH\SLUMP\I-I didn't realize defeat could be this painful. response:	I-I won.
context: Faculty Advisor Takashi Hayashida\For me, this is pretty much my first club activity.\I could do this, but then my bishop would be captured, so...\I lost.\SIGH\SLUMP\I-I didn't realize defeat could be this painful.\I-I won. response:	It's because I'm never subjected to such severe wins or losses in everyday life.
context: For me, this is pretty much my first club activity.\I could do this, but then my bishop would be captured, so...\I lost.\SIGH\SLUMP\I-I didn't realize defeat could be this painful.\I-I won.\It's because I'm never subjected to such severe wins or losses in everyday life. response:	And even worse, I must declare the loss myself.
context: I could do this, but then my bishop would be captured, so...\I lost.\SIGH\SLUMP\I-I didn't realize defeat could be this painful.\I-I won.\It's because I'm never subjected to such severe wins or losses in everyday life.\And even worse, I must declare the loss myself. response:	With three pawns, shift and slide the opponent's pieces
context: I lost.\SIGH\SLUMP\I-I didn't realize defeat could be this painful.\I-I won.\It's because I'm never subjected to such severe wins or losses in everyday life.\And even worse, I must declare the loss myself.\With three pawns, shift and slide the opponent's pieces response:	Even if I read the book and come up with a strategy,
context: SIGH\SLUMP\I-I didn't realize defeat could be this painful.\I-I won.\It's because I'm never subjected to such severe wins or losses in everyday life.\And even worse, I must declare the loss myself.\With three pawns, shift and slide the opponent's pieces\Even if I read the book and come up with a strategy, response:	A feisty knight will be eaten by a pawn
context: SLUMP\I-I didn't realize defeat could be this painful.\I-I won.\It's because I'm never subjected to such severe wins or losses in everyday life.\And even worse, I must declare the loss myself.\With three pawns, shift and slide the opponent's pieces\Even if I read the book and come up with a strategy,\A feisty knight will be eaten by a pawn response:	my opponent would most likely attack me in a different way,
context: I-I didn't realize defeat could be this painful.\I-I won.\It's because I'm never subjected to such severe wins or losses in everyday life.\And even worse, I must declare the loss myself.\With three pawns, shift and slide the opponent's pieces\Even if I read the book and come up with a strategy,\A feisty knight will be eaten by a pawn\my opponent would most likely attack me in a different way, response:	The pawn under a gold general is more solid than a rock
context: I-I won.\It's because I'm never subjected to such severe wins or losses in everyday life.\And even worse, I must declare the loss myself.\With three pawns, shift and slide the opponent's pieces\Even if I read the book and come up with a strategy,\A feisty knight will be eaten by a pawn\my opponent would most likely attack me in a different way,\The pawn under a gold general is more solid than a rock response:	so I don't know what to do.
context: It's because I'm never subjected to such severe wins or losses in everyday life.\And even worse, I must declare the loss myself.\With three pawns, shift and slide the opponent's pieces\Even if I read the book and come up with a strategy,\A feisty knight will be eaten by a pawn\my opponent would most likely attack me in a different way,\The pawn under a gold general is more solid than a rock\so I don't know what to do. response:	Strike rooks and bishops from a distance
context: And even worse, I must declare the loss myself.\With three pawns, shift and slide the opponent's pieces\Even if I read the book and come up with a strategy,\A feisty knight will be eaten by a pawn\my opponent would most likely attack me in a different way,\The pawn under a gold general is more solid than a rock\so I don't know what to do.\Strike rooks and bishops from a distance response:	Shogi Proverb Cards by Noguchi
context: With three pawns, shift and slide the opponent's pieces\Even if I read the book and come up with a strategy,\A feisty knight will be eaten by a pawn\my opponent would most likely attack me in a different way,\The pawn under a gold general is more solid than a rock\so I don't know what to do.\Strike rooks and bishops from a distance\Shogi Proverb Cards by Noguchi response:	As you can see, I even made shogi proverb cards.
context: Even if I read the book and come up with a strategy,\A feisty knight will be eaten by a pawn\my opponent would most likely attack me in a different way,\The pawn under a gold general is more solid than a rock\so I don't know what to do.\Strike rooks and bishops from a distance\Shogi Proverb Cards by Noguchi\As you can see, I even made shogi proverb cards. response:	And if I come up with a plan, my opponent will have a countermeasure to my plan,
context: A feisty knight will be eaten by a pawn\my opponent would most likely attack me in a different way,\The pawn under a gold general is more solid than a rock\so I don't know what to do.\Strike rooks and bishops from a distance\Shogi Proverb Cards by Noguchi\As you can see, I even made shogi proverb cards.\And if I come up with a plan, my opponent will have a countermeasure to my plan, response:	forcing me to think of a countermeasure to his countermeasures to my original plan.
context: my opponent would most likely attack me in a different way,\The pawn under a gold general is more solid than a rock\so I don't know what to do.\Strike rooks and bishops from a distance\Shogi Proverb Cards by Noguchi\As you can see, I even made shogi proverb cards.\And if I come up with a plan, my opponent will have a countermeasure to my plan,\forcing me to think of a countermeasure to his countermeasures to my original plan. response:	Bwaaa!
context: The pawn under a gold general is more solid than a rock\so I don't know what to do.\Strike rooks and bishops from a distance\Shogi Proverb Cards by Noguchi\As you can see, I even made shogi proverb cards.\And if I come up with a plan, my opponent will have a countermeasure to my plan,\forcing me to think of a countermeasure to his countermeasures to my original plan.\Bwaaa! response:	Ugh! There's no end to it, is there?
context: so I don't know what to do.\Strike rooks and bishops from a distance\Shogi Proverb Cards by Noguchi\As you can see, I even made shogi proverb cards.\And if I come up with a plan, my opponent will have a countermeasure to my plan,\forcing me to think of a countermeasure to his countermeasures to my original plan.\Bwaaa!\Ugh! There's no end to it, is there? response:	Well, no, there's no end to it.
context: Strike rooks and bishops from a distance\Shogi Proverb Cards by Noguchi\As you can see, I even made shogi proverb cards.\And if I come up with a plan, my opponent will have a countermeasure to my plan,\forcing me to think of a countermeasure to his countermeasures to my original plan.\Bwaaa!\Ugh! There's no end to it, is there?\Well, no, there's no end to it. response:	Naturally your opponent isn't going to go by the book,
context: Shogi Proverb Cards by Noguchi\As you can see, I even made shogi proverb cards.\And if I come up with a plan, my opponent will have a countermeasure to my plan,\forcing me to think of a countermeasure to his countermeasures to my original plan.\Bwaaa!\Ugh! There's no end to it, is there?\Well, no, there's no end to it.\Naturally your opponent isn't going to go by the book, response:	so just be careful as you proceed.
context: As you can see, I even made shogi proverb cards.\And if I come up with a plan, my opponent will have a countermeasure to my plan,\forcing me to think of a countermeasure to his countermeasures to my original plan.\Bwaaa!\Ugh! There's no end to it, is there?\Well, no, there's no end to it.\Naturally your opponent isn't going to go by the book,\so just be careful as you proceed. response:	ROOK
context: And if I come up with a plan, my opponent will have a countermeasure to my plan,\forcing me to think of a countermeasure to his countermeasures to my original plan.\Bwaaa!\Ugh! There's no end to it, is there?\Well, no, there's no end to it.\Naturally your opponent isn't going to go by the book,\so just be careful as you proceed.\ROOK response:	First, with Climbing Silver, your goal is to promote your rook, so please aim for that.
context: forcing me to think of a countermeasure to his countermeasures to my original plan.\Bwaaa!\Ugh! There's no end to it, is there?\Well, no, there's no end to it.\Naturally your opponent isn't going to go by the book,\so just be careful as you proceed.\ROOK\First, with Climbing Silver, your goal is to promote your rook, so please aim for that. response:	As you do that, try not to let any of your pieces be captured.
context: Bwaaa!\Ugh! There's no end to it, is there?\Well, no, there's no end to it.\Naturally your opponent isn't going to go by the book,\so just be careful as you proceed.\ROOK\First, with Climbing Silver, your goal is to promote your rook, so please aim for that.\As you do that, try not to let any of your pieces be captured. response:	And after it's promoted?
context: Ugh! There's no end to it, is there?\Well, no, there's no end to it.\Naturally your opponent isn't going to go by the book,\so just be careful as you proceed.\ROOK\First, with Climbing Silver, your goal is to promote your rook, so please aim for that.\As you do that, try not to let any of your pieces be captured.\And after it's promoted? response:	The ultimate goal is to capture your opponent's king,
context: Well, no, there's no end to it.\Naturally your opponent isn't going to go by the book,\so just be careful as you proceed.\ROOK\First, with Climbing Silver, your goal is to promote your rook, so please aim for that.\As you do that, try not to let any of your pieces be captured.\And after it's promoted?\The ultimate goal is to capture your opponent's king, response:	so you should surround that king with as many of your pieces as possible.
context: Naturally your opponent isn't going to go by the book,\so just be careful as you proceed.\ROOK\First, with Climbing Silver, your goal is to promote your rook, so please aim for that.\As you do that, try not to let any of your pieces be captured.\And after it's promoted?\The ultimate goal is to capture your opponent's king,\so you should surround that king with as many of your pieces as possible. response:	SILVER GENERAL
context: so just be careful as you proceed.\ROOK\First, with Climbing Silver, your goal is to promote your rook, so please aim for that.\As you do that, try not to let any of your pieces be captured.\And after it's promoted?\The ultimate goal is to capture your opponent's king,\so you should surround that king with as many of your pieces as possible.\SILVER GENERAL response:	PROMOTED PAWN
context: ROOK\First, with Climbing Silver, your goal is to promote your rook, so please aim for that.\As you do that, try not to let any of your pieces be captured.\And after it's promoted?\The ultimate goal is to capture your opponent's king,\so you should surround that king with as many of your pieces as possible.\SILVER GENERAL\PROMOTED PAWN response:	I've got your back, Senpai!
context: First, with Climbing Silver, your goal is to promote your rook, so please aim for that.\As you do that, try not to let any of your pieces be captured.\And after it's promoted?\The ultimate goal is to capture your opponent's king,\so you should surround that king with as many of your pieces as possible.\SILVER GENERAL\PROMOTED PAWN\I've got your back, Senpai! response:	That's reassuring.
context: As you do that, try not to let any of your pieces be captured.\And after it's promoted?\The ultimate goal is to capture your opponent's king,\so you should surround that king with as many of your pieces as possible.\SILVER GENERAL\PROMOTED PAWN\I've got your back, Senpai!\That's reassuring. response:	But if I move a lot of my pieces like that, I'll be leaving my own castle wide open.
context: And after it's promoted?\The ultimate goal is to capture your opponent's king,\so you should surround that king with as many of your pieces as possible.\SILVER GENERAL\PROMOTED PAWN\I've got your back, Senpai!\That's reassuring.\But if I move a lot of my pieces like that, I'll be leaving my own castle wide open. response:	BANG
context: The ultimate goal is to capture your opponent's king,\so you should surround that king with as many of your pieces as possible.\SILVER GENERAL\PROMOTED PAWN\I've got your back, Senpai!\That's reassuring.\But if I move a lot of my pieces like that, I'll be leaving my own castle wide open.\BANG response:	BANG
context: so you should surround that king with as many of your pieces as possible.\SILVER GENERAL\PROMOTED PAWN\I've got your back, Senpai!\That's reassuring.\But if I move a lot of my pieces like that, I'll be leaving my own castle wide open.\BANG\BANG response:	BANG
context: SILVER GENERAL\PROMOTED PAWN\I've got your back, Senpai!\That's reassuring.\But if I move a lot of my pieces like that, I'll be leaving my own castle wide open.\BANG\BANG\BANG response:	BANG
context: PROMOTED PAWN\I've got your back, Senpai!\That's reassuring.\But if I move a lot of my pieces like that, I'll be leaving my own castle wide open.\BANG\BANG\BANG\BANG response:	You noticed that, huh? You're right.
context: I've got your back, Senpai!\That's reassuring.\But if I move a lot of my pieces like that, I'll be leaving my own castle wide open.\BANG\BANG\BANG\BANG\You noticed that, huh? You're right. response:	GROAN
context: That's reassuring.\But if I move a lot of my pieces like that, I'll be leaving my own castle wide open.\BANG\BANG\BANG\BANG\You noticed that, huh? You're right.\GROAN response:	Hey, hey, hey, meow!
context: But if I move a lot of my pieces like that, I'll be leaving my own castle wide open.\BANG\BANG\BANG\BANG\You noticed that, huh? You're right.\GROAN\Hey, hey, hey, meow! response:	Give us the king-meow!
context: BANG\BANG\BANG\BANG\You noticed that, huh? You're right.\GROAN\Hey, hey, hey, meow!\Give us the king-meow! response:	Lance - Pawn - Silver General - Promoted Pawn - Bishop
context: BANG\BANG\BANG\You noticed that, huh? You're right.\GROAN\Hey, hey, hey, meow!\Give us the king-meow!\Lance - Pawn - Silver General - Promoted Pawn - Bishop response:	You'll never...
context: BANG\BANG\You noticed that, huh? You're right.\GROAN\Hey, hey, hey, meow!\Give us the king-meow!\Lance - Pawn - Silver General - Promoted Pawn - Bishop\You'll never... response:	Lance - Gold General - King - Gold General - Silver General
context: BANG\You noticed that, huh? You're right.\GROAN\Hey, hey, hey, meow!\Give us the king-meow!\Lance - Pawn - Silver General - Promoted Pawn - Bishop\You'll never...\Lance - Gold General - King - Gold General - Silver General response:	Because you only have a limited number of pieces.
context: You noticed that, huh? You're right.\GROAN\Hey, hey, hey, meow!\Give us the king-meow!\Lance - Pawn - Silver General - Promoted Pawn - Bishop\You'll never...\Lance - Gold General - King - Gold General - Silver General\Because you only have a limited number of pieces. response:	That being said, if you only defend, you won't be effective at attacking.
context: GROAN\Hey, hey, hey, meow!\Give us the king-meow!\Lance - Pawn - Silver General - Promoted Pawn - Bishop\You'll never...\Lance - Gold General - King - Gold General - Silver General\Because you only have a limited number of pieces.\That being said, if you only defend, you won't be effective at attacking. response:	DASH
context: Hey, hey, hey, meow!\Give us the king-meow!\Lance - Pawn - Silver General - Promoted Pawn - Bishop\You'll never...\Lance - Gold General - King - Gold General - Silver General\Because you only have a limited number of pieces.\That being said, if you only defend, you won't be effective at attacking.\DASH response:	This is where I prove myself!
context: Give us the king-meow!\Lance - Pawn - Silver General - Promoted Pawn - Bishop\You'll never...\Lance - Gold General - King - Gold General - Silver General\Because you only have a limited number of pieces.\That being said, if you only defend, you won't be effective at attacking.\DASH\This is where I prove myself! response:	Silver General, wait! Come back, come back!
context: Lance - Pawn - Silver General - Promoted Pawn - Bishop\You'll never...\Lance - Gold General - King - Gold General - Silver General\Because you only have a limited number of pieces.\That being said, if you only defend, you won't be effective at attacking.\DASH\This is where I prove myself!\Silver General, wait! Come back, come back! response:	SNEAK SNEAK SNEAK
context: You'll never...\Lance - Gold General - King - Gold General - Silver General\Because you only have a limited number of pieces.\That being said, if you only defend, you won't be effective at attacking.\DASH\This is where I prove myself!\Silver General, wait! Come back, come back!\SNEAK SNEAK SNEAK response:	TREMBLE TREMBLE
context: Lance - Gold General - King - Gold General - Silver General\Because you only have a limited number of pieces.\That being said, if you only defend, you won't be effective at attacking.\DASH\This is where I prove myself!\Silver General, wait! Come back, come back!\SNEAK SNEAK SNEAK\TREMBLE TREMBLE response:	Get away!
context: Because you only have a limited number of pieces.\That being said, if you only defend, you won't be effective at attacking.\DASH\This is where I prove myself!\Silver General, wait! Come back, come back!\SNEAK SNEAK SNEAK\TREMBLE TREMBLE\Get away! response:	The balance between attacking and defending is an eternal theme.
context: That being said, if you only defend, you won't be effective at attacking.\DASH\This is where I prove myself!\Silver General, wait! Come back, come back!\SNEAK SNEAK SNEAK\TREMBLE TREMBLE\Get away!\The balance between attacking and defending is an eternal theme. response:	Well, you'll just have to play a lot so you can remember things.
context: DASH\This is where I prove myself!\Silver General, wait! Come back, come back!\SNEAK SNEAK SNEAK\TREMBLE TREMBLE\Get away!\The balance between attacking and defending is an eternal theme.\Well, you'll just have to play a lot so you can remember things. response:	Not only from books, but these days you can play on the internet too,
context: This is where I prove myself!\Silver General, wait! Come back, come back!\SNEAK SNEAK SNEAK\TREMBLE TREMBLE\Get away!\The balance between attacking and defending is an eternal theme.\Well, you'll just have to play a lot so you can remember things.\Not only from books, but these days you can play on the internet too, response:	so you can enjoy playing at home in a relaxed...
context: Silver General, wait! Come back, come back!\SNEAK SNEAK SNEAK\TREMBLE TREMBLE\Get away!\The balance between attacking and defending is an eternal theme.\Well, you'll just have to play a lot so you can remember things.\Not only from books, but these days you can play on the internet too,\so you can enjoy playing at home in a relaxed... response:	Kiriyama!
context: SNEAK SNEAK SNEAK\TREMBLE TREMBLE\Get away!\The balance between attacking and defending is an eternal theme.\Well, you'll just have to play a lot so you can remember things.\Not only from books, but these days you can play on the internet too,\so you can enjoy playing at home in a relaxed...\Kiriyama! response:	POINT
context: TREMBLE TREMBLE\Get away!\The balance between attacking and defending is an eternal theme.\Well, you'll just have to play a lot so you can remember things.\Not only from books, but these days you can play on the internet too,\so you can enjoy playing at home in a relaxed...\Kiriyama!\POINT response:	Can you beat the crap out of this guy for me?
context: Get away!\The balance between attacking and defending is an eternal theme.\Well, you'll just have to play a lot so you can remember things.\Not only from books, but these days you can play on the internet too,\so you can enjoy playing at home in a relaxed...\Kiriyama!\POINT\Can you beat the crap out of this guy for me? response:	At this rate, I'll lose!
context: The balance between attacking and defending is an eternal theme.\Well, you'll just have to play a lot so you can remember things.\Not only from books, but these days you can play on the internet too,\so you can enjoy playing at home in a relaxed...\Kiriyama!\POINT\Can you beat the crap out of this guy for me?\At this rate, I'll lose! response:	What should my next move be?
context: Well, you'll just have to play a lot so you can remember things.\Not only from books, but these days you can play on the internet too,\so you can enjoy playing at home in a relaxed...\Kiriyama!\POINT\Can you beat the crap out of this guy for me?\At this rate, I'll lose!\What should my next move be? response:	I want to make this guy pay!
context: Not only from books, but these days you can play on the internet too,\so you can enjoy playing at home in a relaxed...\Kiriyama!\POINT\Can you beat the crap out of this guy for me?\At this rate, I'll lose!\What should my next move be?\I want to make this guy pay! response:	Please think on your own.
context: so you can enjoy playing at home in a relaxed...\Kiriyama!\POINT\Can you beat the crap out of this guy for me?\At this rate, I'll lose!\What should my next move be?\I want to make this guy pay!\Please think on your own. response:	What the hell? You're so cold, Kiriyama!
context: Kiriyama!\POINT\Can you beat the crap out of this guy for me?\At this rate, I'll lose!\What should my next move be?\I want to make this guy pay!\Please think on your own.\What the hell? You're so cold, Kiriyama! response:	You're a stinge!
context: POINT\Can you beat the crap out of this guy for me?\At this rate, I'll lose!\What should my next move be?\I want to make this guy pay!\Please think on your own.\What the hell? You're so cold, Kiriyama!\You're a stinge! response:	Stingy!
context: Can you beat the crap out of this guy for me?\At this rate, I'll lose!\What should my next move be?\I want to make this guy pay!\Please think on your own.\What the hell? You're so cold, Kiriyama!\You're a stinge!\Stingy! response:	How can you do this to your old teacher?
context: At this rate, I'll lose!\What should my next move be?\I want to make this guy pay!\Please think on your own.\What the hell? You're so cold, Kiriyama!\You're a stinge!\Stingy!\How can you do this to your old teacher? response:	Cheating is wrong.
context: What should my next move be?\I want to make this guy pay!\Please think on your own.\What the hell? You're so cold, Kiriyama!\You're a stinge!\Stingy!\How can you do this to your old teacher?\Cheating is wrong. response:	FLAIL
context: I want to make this guy pay!\Please think on your own.\What the hell? You're so cold, Kiriyama!\You're a stinge!\Stingy!\How can you do this to your old teacher?\Cheating is wrong.\FLAIL response:	FLAIL
context: Please think on your own.\What the hell? You're so cold, Kiriyama!\You're a stinge!\Stingy!\How can you do this to your old teacher?\Cheating is wrong.\FLAIL\FLAIL response:	Do you allow your students to cheat on tests?
context: What the hell? You're so cold, Kiriyama!\You're a stinge!\Stingy!\How can you do this to your old teacher?\Cheating is wrong.\FLAIL\FLAIL\Do you allow your students to cheat on tests? response:	NO
context: You're a stinge!\Stingy!\How can you do this to your old teacher?\Cheating is wrong.\FLAIL\FLAIL\Do you allow your students to cheat on tests?\NO response:	NO
context: Stingy!\How can you do this to your old teacher?\Cheating is wrong.\FLAIL\FLAIL\Do you allow your students to cheat on tests?\NO\NO response:	No, right? You understand?
context: How can you do this to your old teacher?\Cheating is wrong.\FLAIL\FLAIL\Do you allow your students to cheat on tests?\NO\NO\No, right? You understand? response:	I don't want to listen to reason right now!
context: Cheating is wrong.\FLAIL\FLAIL\Do you allow your students to cheat on tests?\NO\NO\No, right? You understand?\I don't want to listen to reason right now! response:	It's not reason, it's the rules. You're not a child, you know.
context: FLAIL\FLAIL\Do you allow your students to cheat on tests?\NO\NO\No, right? You understand?\I don't want to listen to reason right now!\It's not reason, it's the rules. You're not a child, you know. response:	Okay, let's keep playing.
context: FLAIL\Do you allow your students to cheat on tests?\NO\NO\No, right? You understand?\I don't want to listen to reason right now!\It's not reason, it's the rules. You're not a child, you know.\Okay, let's keep playing. response:	Don't be afraid of losing.
context: Do you allow your students to cheat on tests?\NO\NO\No, right? You understand?\I don't want to listen to reason right now!\It's not reason, it's the rules. You're not a child, you know.\Okay, let's keep playing.\Don't be afraid of losing. response:	If you don't play a lot, you can't get a feel for it.
context: NO\NO\No, right? You understand?\I don't want to listen to reason right now!\It's not reason, it's the rules. You're not a child, you know.\Okay, let's keep playing.\Don't be afraid of losing.\If you don't play a lot, you can't get a feel for it. response:	Are you telling me to get used to losing?
context: NO\No, right? You understand?\I don't want to listen to reason right now!\It's not reason, it's the rules. You're not a child, you know.\Okay, let's keep playing.\Don't be afraid of losing.\If you don't play a lot, you can't get a feel for it.\Are you telling me to get used to losing? response:	No, don't get used to it.
context: No, right? You understand?\I don't want to listen to reason right now!\It's not reason, it's the rules. You're not a child, you know.\Okay, let's keep playing.\Don't be afraid of losing.\If you don't play a lot, you can't get a feel for it.\Are you telling me to get used to losing?\No, don't get used to it. response:	If you stop getting frustrated at losing, then you'll stop studying.
context: I don't want to listen to reason right now!\It's not reason, it's the rules. You're not a child, you know.\Okay, let's keep playing.\Don't be afraid of losing.\If you don't play a lot, you can't get a feel for it.\Are you telling me to get used to losing?\No, don't get used to it.\If you stop getting frustrated at losing, then you'll stop studying. response:	Question! How strong do I have to become before saying farewell to this frustration?
context: It's not reason, it's the rules. You're not a child, you know.\Okay, let's keep playing.\Don't be afraid of losing.\If you don't play a lot, you can't get a feel for it.\Are you telling me to get used to losing?\No, don't get used to it.\If you stop getting frustrated at losing, then you'll stop studying.\Question! How strong do I have to become before saying farewell to this frustration? response:	Even if you get strong, but play with someone who's better, you'll lose.
context: Okay, let's keep playing.\Don't be afraid of losing.\If you don't play a lot, you can't get a feel for it.\Are you telling me to get used to losing?\No, don't get used to it.\If you stop getting frustrated at losing, then you'll stop studying.\Question! How strong do I have to become before saying farewell to this frustration?\Even if you get strong, but play with someone who's better, you'll lose. response:	When that happens, it's so frustrating it feels like your innards are turning upside down.
context: Don't be afraid of losing.\If you don't play a lot, you can't get a feel for it.\Are you telling me to get used to losing?\No, don't get used to it.\If you stop getting frustrated at losing, then you'll stop studying.\Question! How strong do I have to become before saying farewell to this frustration?\Even if you get strong, but play with someone who's better, you'll lose.\When that happens, it's so frustrating it feels like your innards are turning upside down. response:	It never ends?
