context: 'Cause I'm better than you! response:	I can't see you even if I tried.
context: You can become a hero...\That's why...\I'm going...!\Indoor person-to-person combat training...\Uraraka?!\Hero team...\What the heck?\The losers are practically uninjured... response:	They lost the battle, but won the war, huh?
context: That's why...\I'm going...!\Indoor person-to-person combat training...\Uraraka?!\Hero team...\What the heck?\The losers are practically uninjured...\They lost the battle, but won the war, huh? response:	This is training, though.
context: I'm going...!\Indoor person-to-person combat training...\Uraraka?!\Hero team...\What the heck?\The losers are practically uninjured...\They lost the battle, but won the war, huh?\This is training, though. response:	To the nurse's office.
context: Indoor person-to-person combat training...\Uraraka?!\Hero team...\What the heck?\The losers are practically uninjured...\They lost the battle, but won the war, huh?\This is training, though.\To the nurse's office. response:	I know.
context: Uraraka?!\Hero team...\What the heck?\The losers are practically uninjured...\They lost the battle, but won the war, huh?\This is training, though.\To the nurse's office.\I know. response:	My right...
context: Hero team...\What the heck?\The losers are practically uninjured...\They lost the battle, but won the war, huh?\This is training, though.\To the nurse's office.\I know.\My right... response:	Deku predicted it...
context: What the heck?\The losers are practically uninjured...\They lost the battle, but won the war, huh?\This is training, though.\To the nurse's office.\I know.\My right...\Deku predicted it... response:	On top of that...
context: The losers are practically uninjured...\They lost the battle, but won the war, huh?\This is training, though.\To the nurse's office.\I know.\My right...\Deku predicted it...\On top of that... response:	You're an amazing person, so that's why I want to beat you!
context: They lost the battle, but won the war, huh?\This is training, though.\To the nurse's office.\I know.\My right...\Deku predicted it...\On top of that...\You're an amazing person, so that's why I want to beat you! response:	I want to win...
context: This is training, though.\To the nurse's office.\I know.\My right...\Deku predicted it...\On top of that...\You're an amazing person, so that's why I want to beat you!\I want to win... response:	Does that mean...
context: To the nurse's office.\I know.\My right...\Deku predicted it...\On top of that...\You're an amazing person, so that's why I want to beat you!\I want to win...\Does that mean... response:	Come back, young Bakugou.
context: I know.\My right...\Deku predicted it...\On top of that...\You're an amazing person, so that's why I want to beat you!\I want to win...\Does that mean...\Come back, young Bakugou. response:	It's time to review the results.
context: My right...\Deku predicted it...\On top of that...\You're an amazing person, so that's why I want to beat you!\I want to win...\Does that mean...\Come back, young Bakugou.\It's time to review the results. response:	Whether you win or lose...
context: Deku predicted it...\On top of that...\You're an amazing person, so that's why I want to beat you!\I want to win...\Does that mean...\Come back, young Bakugou.\It's time to review the results.\Whether you win or lose... response:	Well, even if I say that...
context: On top of that...\You're an amazing person, so that's why I want to beat you!\I want to win...\Does that mean...\Come back, young Bakugou.\It's time to review the results.\Whether you win or lose...\Well, even if I say that... response:	It's not either of the winners, Ochako or Midoriya?
context: You're an amazing person, so that's why I want to beat you!\I want to win...\Does that mean...\Come back, young Bakugou.\It's time to review the results.\Whether you win or lose...\Well, even if I say that...\It's not either of the winners, Ochako or Midoriya? response:	Hmm, well...
context: I want to win...\Does that mean...\Come back, young Bakugou.\It's time to review the results.\Whether you win or lose...\Well, even if I say that...\It's not either of the winners, Ochako or Midoriya?\Hmm, well... response:	Why is that?
context: Does that mean...\Come back, young Bakugou.\It's time to review the results.\Whether you win or lose...\Well, even if I say that...\It's not either of the winners, Ochako or Midoriya?\Hmm, well...\Why is that? response:	Does anyone know?!
context: Come back, young Bakugou.\It's time to review the results.\Whether you win or lose...\Well, even if I say that...\It's not either of the winners, Ochako or Midoriya?\Hmm, well...\Why is that?\Does anyone know?! response:	Yes, Mr. All Might.
context: It's time to review the results.\Whether you win or lose...\Well, even if I say that...\It's not either of the winners, Ochako or Midoriya?\Hmm, well...\Why is that?\Does anyone know?!\Yes, Mr. All Might. response:	That is because Iida adapted the most to the context of the training.
context: Whether you win or lose...\Well, even if I say that...\It's not either of the winners, Ochako or Midoriya?\Hmm, well...\Why is that?\Does anyone know?!\Yes, Mr. All Might.\That is because Iida adapted the most to the context of the training. response:	From watching the match, it appears Bakugou acted on his own because of an obviously personal grudge.
context: Well, even if I say that...\It's not either of the winners, Ochako or Midoriya?\Hmm, well...\Why is that?\Does anyone know?!\Yes, Mr. All Might.\That is because Iida adapted the most to the context of the training.\From watching the match, it appears Bakugou acted on his own because of an obviously personal grudge. response:	And as Mr. All Might said earlier...
context: It's not either of the winners, Ochako or Midoriya?\Hmm, well...\Why is that?\Does anyone know?!\Yes, Mr. All Might.\That is because Iida adapted the most to the context of the training.\From watching the match, it appears Bakugou acted on his own because of an obviously personal grudge.\And as Mr. All Might said earlier... response:	In the same way, taking into consideration the damage he received...
context: Hmm, well...\Why is that?\Does anyone know?!\Yes, Mr. All Might.\That is because Iida adapted the most to the context of the training.\From watching the match, it appears Bakugou acted on his own because of an obviously personal grudge.\And as Mr. All Might said earlier...\In the same way, taking into consideration the damage he received... response:	As for Uraraka...
context: Why is that?\Does anyone know?!\Yes, Mr. All Might.\That is because Iida adapted the most to the context of the training.\From watching the match, it appears Bakugou acted on his own because of an obviously personal grudge.\And as Mr. All Might said earlier...\In the same way, taking into consideration the damage he received...\As for Uraraka... response:	She let her guard down mid-battle...
context: Does anyone know?!\Yes, Mr. All Might.\That is because Iida adapted the most to the context of the training.\From watching the match, it appears Bakugou acted on his own because of an obviously personal grudge.\And as Mr. All Might said earlier...\In the same way, taking into consideration the damage he received...\As for Uraraka...\She let her guard down mid-battle... response:	If she treated the papier-mache as a real weapon...
context: Yes, Mr. All Might.\That is because Iida adapted the most to the context of the training.\From watching the match, it appears Bakugou acted on his own because of an obviously personal grudge.\And as Mr. All Might said earlier...\In the same way, taking into consideration the damage he received...\As for Uraraka...\She let her guard down mid-battle...\If she treated the papier-mache as a real weapon... response:	Iida had prepared for his opponent's arrival...
context: That is because Iida adapted the most to the context of the training.\From watching the match, it appears Bakugou acted on his own because of an obviously personal grudge.\And as Mr. All Might said earlier...\In the same way, taking into consideration the damage he received...\As for Uraraka...\She let her guard down mid-battle...\If she treated the papier-mache as a real weapon...\Iida had prepared for his opponent's arrival... response:	The hero team only won because they took advantage of the fact that this was training.
context: From watching the match, it appears Bakugou acted on his own because of an obviously personal grudge.\And as Mr. All Might said earlier...\In the same way, taking into consideration the damage he received...\As for Uraraka...\She let her guard down mid-battle...\If she treated the papier-mache as a real weapon...\Iida had prepared for his opponent's arrival...\The hero team only won because they took advantage of the fact that this was training. response:	They were practically breaking the rules.
context: And as Mr. All Might said earlier...\In the same way, taking into consideration the damage he received...\As for Uraraka...\She let her guard down mid-battle...\If she treated the papier-mache as a real weapon...\Iida had prepared for his opponent's arrival...\The hero team only won because they took advantage of the fact that this was training.\They were practically breaking the rules. response:	She said more than I expected.
context: In the same way, taking into consideration the damage he received...\As for Uraraka...\She let her guard down mid-battle...\If she treated the papier-mache as a real weapon...\Iida had prepared for his opponent's arrival...\The hero team only won because they took advantage of the fact that this was training.\They were practically breaking the rules.\She said more than I expected. response:	W-Well, young Iida also has parts of him that could be more relaxed...
context: As for Uraraka...\She let her guard down mid-battle...\If she treated the papier-mache as a real weapon...\Iida had prepared for his opponent's arrival...\The hero team only won because they took advantage of the fact that this was training.\They were practically breaking the rules.\She said more than I expected.\W-Well, young Iida also has parts of him that could be more relaxed... response:	We should always start with the basics to develop depth of learning.
context: She let her guard down mid-battle...\If she treated the papier-mache as a real weapon...\Iida had prepared for his opponent's arrival...\The hero team only won because they took advantage of the fact that this was training.\They were practically breaking the rules.\She said more than I expected.\W-Well, young Iida also has parts of him that could be more relaxed...\We should always start with the basics to develop depth of learning. response:	We must strive to devote ourselves wholeheartedly.
context: If she treated the papier-mache as a real weapon...\Iida had prepared for his opponent's arrival...\The hero team only won because they took advantage of the fact that this was training.\They were practically breaking the rules.\She said more than I expected.\W-Well, young Iida also has parts of him that could be more relaxed...\We should always start with the basics to develop depth of learning.\We must strive to devote ourselves wholeheartedly. response:	Otherwise, we cannot become top heroes.
context: Iida had prepared for his opponent's arrival...\The hero team only won because they took advantage of the fact that this was training.\They were practically breaking the rules.\She said more than I expected.\W-Well, young Iida also has parts of him that could be more relaxed...\We should always start with the basics to develop depth of learning.\We must strive to devote ourselves wholeheartedly.\Otherwise, we cannot become top heroes. response:	Yaoyorozu Momo!
context: The hero team only won because they took advantage of the fact that this was training.\They were practically breaking the rules.\She said more than I expected.\W-Well, young Iida also has parts of him that could be more relaxed...\We should always start with the basics to develop depth of learning.\We must strive to devote ourselves wholeheartedly.\Otherwise, we cannot become top heroes.\Yaoyorozu Momo! response:	One of four students admitted to the hero course based on recommendations!
context: They were practically breaking the rules.\She said more than I expected.\W-Well, young Iida also has parts of him that could be more relaxed...\We should always start with the basics to develop depth of learning.\We must strive to devote ourselves wholeheartedly.\Otherwise, we cannot become top heroes.\Yaoyorozu Momo!\One of four students admitted to the hero course based on recommendations! response:	All right everyone, let's change locations and start the second match.
context: She said more than I expected.\W-Well, young Iida also has parts of him that could be more relaxed...\We should always start with the basics to develop depth of learning.\We must strive to devote ourselves wholeheartedly.\Otherwise, we cannot become top heroes.\Yaoyorozu Momo!\One of four students admitted to the hero course based on recommendations!\All right everyone, let's change locations and start the second match. response:	Tackle this training after thinking about what we just talked about.
context: W-Well, young Iida also has parts of him that could be more relaxed...\We should always start with the basics to develop depth of learning.\We must strive to devote ourselves wholeheartedly.\Otherwise, we cannot become top heroes.\Yaoyorozu Momo!\One of four students admitted to the hero course based on recommendations!\All right everyone, let's change locations and start the second match.\Tackle this training after thinking about what we just talked about. response:	Yes, sir!
context: We should always start with the basics to develop depth of learning.\We must strive to devote ourselves wholeheartedly.\Otherwise, we cannot become top heroes.\Yaoyorozu Momo!\One of four students admitted to the hero course based on recommendations!\All right everyone, let's change locations and start the second match.\Tackle this training after thinking about what we just talked about.\Yes, sir! response:	Yes, sir!
context: We must strive to devote ourselves wholeheartedly.\Otherwise, we cannot become top heroes.\Yaoyorozu Momo!\One of four students admitted to the hero course based on recommendations!\All right everyone, let's change locations and start the second match.\Tackle this training after thinking about what we just talked about.\Yes, sir!\Yes, sir! response:	Match two!
context: Otherwise, we cannot become top heroes.\Yaoyorozu Momo!\One of four students admitted to the hero course based on recommendations!\All right everyone, let's change locations and start the second match.\Tackle this training after thinking about what we just talked about.\Yes, sir!\Yes, sir!\Match two! response:	Duo B are the heroes!
context: Yaoyorozu Momo!\One of four students admitted to the hero course based on recommendations!\All right everyone, let's change locations and start the second match.\Tackle this training after thinking about what we just talked about.\Yes, sir!\Yes, sir!\Match two!\Duo B are the heroes! response:	Duo I are the villains!
context: One of four students admitted to the hero course based on recommendations!\All right everyone, let's change locations and start the second match.\Tackle this training after thinking about what we just talked about.\Yes, sir!\Yes, sir!\Match two!\Duo B are the heroes!\Duo I are the villains! response:	Ojiro.
context: All right everyone, let's change locations and start the second match.\Tackle this training after thinking about what we just talked about.\Yes, sir!\Yes, sir!\Match two!\Duo B are the heroes!\Duo I are the villains!\Ojiro. response:	I'm going to get serious!
context: Tackle this training after thinking about what we just talked about.\Yes, sir!\Yes, sir!\Match two!\Duo B are the heroes!\Duo I are the villains!\Ojiro.\I'm going to get serious! response:	I'll take off my gloves and boots, too!
context: Yes, sir!\Yes, sir!\Match two!\Duo B are the heroes!\Duo I are the villains!\Ojiro.\I'm going to get serious!\I'll take off my gloves and boots, too! response:	O-Okay...
context: Yes, sir!\Match two!\Duo B are the heroes!\Duo I are the villains!\Ojiro.\I'm going to get serious!\I'll take off my gloves and boots, too!\O-Okay... response:	Hagakure, that's the correct decision as an invisible person,
context: Match two!\Duo B are the heroes!\Duo I are the villains!\Ojiro.\I'm going to get serious!\I'll take off my gloves and boots, too!\O-Okay...\Hagakure, that's the correct decision as an invisible person, response:	but that's not great for a girl, morally speaking.
context: Duo B are the heroes!\Duo I are the villains!\Ojiro.\I'm going to get serious!\I'll take off my gloves and boots, too!\O-Okay...\Hagakure, that's the correct decision as an invisible person,\but that's not great for a girl, morally speaking. response:	You can't look, okay?
context: Duo I are the villains!\Ojiro.\I'm going to get serious!\I'll take off my gloves and boots, too!\O-Okay...\Hagakure, that's the correct decision as an invisible person,\but that's not great for a girl, morally speaking.\You can't look, okay? response:	I can't see you anyway.
context: Ojiro.\I'm going to get serious!\I'll take off my gloves and boots, too!\O-Okay...\Hagakure, that's the correct decision as an invisible person,\but that's not great for a girl, morally speaking.\You can't look, okay?\I can't see you anyway. response:	Now, let s start the second indoor person-to-person combat training match!
context: I'm going to get serious!\I'll take off my gloves and boots, too!\O-Okay...\Hagakure, that's the correct decision as an invisible person,\but that's not great for a girl, morally speaking.\You can't look, okay?\I can't see you anyway.\Now, let s start the second indoor person-to-person combat training match! response:	Shouji Mezou!
context: I'll take off my gloves and boots, too!\O-Okay...\Hagakure, that's the correct decision as an invisible person,\but that's not great for a girl, morally speaking.\You can't look, okay?\I can't see you anyway.\Now, let s start the second indoor person-to-person combat training match!\Shouji Mezou! response:	Quirk: Dupli-Arms!
context: O-Okay...\Hagakure, that's the correct decision as an invisible person,\but that's not great for a girl, morally speaking.\You can't look, okay?\I can't see you anyway.\Now, let s start the second indoor person-to-person combat training match!\Shouji Mezou!\Quirk: Dupli-Arms! response:	He can create replicas of his own body parts on the tips of his tentacles.
context: Hagakure, that's the correct decision as an invisible person,\but that's not great for a girl, morally speaking.\You can't look, okay?\I can't see you anyway.\Now, let s start the second indoor person-to-person combat training match!\Shouji Mezou!\Quirk: Dupli-Arms!\He can create replicas of his own body parts on the tips of his tentacles. response:	One in the hall on the north side of the fourth floor.
context: but that's not great for a girl, morally speaking.\You can't look, okay?\I can't see you anyway.\Now, let s start the second indoor person-to-person combat training match!\Shouji Mezou!\Quirk: Dupli-Arms!\He can create replicas of his own body parts on the tips of his tentacles.\One in the hall on the north side of the fourth floor. response:	The other is somewhere on the same floor...
context: You can't look, okay?\I can't see you anyway.\Now, let s start the second indoor person-to-person combat training match!\Shouji Mezou!\Quirk: Dupli-Arms!\He can create replicas of his own body parts on the tips of his tentacles.\One in the hall on the north side of the fourth floor.\The other is somewhere on the same floor... response:	They're barefoot...
context: I can't see you anyway.\Now, let s start the second indoor person-to-person combat training match!\Shouji Mezou!\Quirk: Dupli-Arms!\He can create replicas of his own body parts on the tips of his tentacles.\One in the hall on the north side of the fourth floor.\The other is somewhere on the same floor...\They're barefoot... response:	The invisible one is coming to ambush and capture us, huh?
context: Now, let s start the second indoor person-to-person combat training match!\Shouji Mezou!\Quirk: Dupli-Arms!\He can create replicas of his own body parts on the tips of his tentacles.\One in the hall on the north side of the fourth floor.\The other is somewhere on the same floor...\They're barefoot...\The invisible one is coming to ambush and capture us, huh? response:	Go outside.
context: Shouji Mezou!\Quirk: Dupli-Arms!\He can create replicas of his own body parts on the tips of his tentacles.\One in the hall on the north side of the fourth floor.\The other is somewhere on the same floor...\They're barefoot...\The invisible one is coming to ambush and capture us, huh?\Go outside. response:	It's dangerous.
context: Quirk: Dupli-Arms!\He can create replicas of his own body parts on the tips of his tentacles.\One in the hall on the north side of the fourth floor.\The other is somewhere on the same floor...\They're barefoot...\The invisible one is coming to ambush and capture us, huh?\Go outside.\It's dangerous. response:	I'm sure our opponents intend to fight a defensive battle...
context: He can create replicas of his own body parts on the tips of his tentacles.\One in the hall on the north side of the fourth floor.\The other is somewhere on the same floor...\They're barefoot...\The invisible one is coming to ambush and capture us, huh?\Go outside.\It's dangerous.\I'm sure our opponents intend to fight a defensive battle... response:	Owww...
context: One in the hall on the north side of the fourth floor.\The other is somewhere on the same floor...\They're barefoot...\The invisible one is coming to ambush and capture us, huh?\Go outside.\It's dangerous.\I'm sure our opponents intend to fight a defensive battle...\Owww... response:	My feet!
context: The other is somewhere on the same floor...\They're barefoot...\The invisible one is coming to ambush and capture us, huh?\Go outside.\It's dangerous.\I'm sure our opponents intend to fight a defensive battle...\Owww...\My feet! response:	Th-This Quirk is...!
context: They're barefoot...\The invisible one is coming to ambush and capture us, huh?\Go outside.\It's dangerous.\I'm sure our opponents intend to fight a defensive battle...\Owww...\My feet!\Th-This Quirk is...! response:	You can move if you want...
context: The invisible one is coming to ambush and capture us, huh?\Go outside.\It's dangerous.\I'm sure our opponents intend to fight a defensive battle...\Owww...\My feet!\Th-This Quirk is...!\You can move if you want... response:	He did not cause any damage to his teammate or the nuclear weapon,
context: Go outside.\It's dangerous.\I'm sure our opponents intend to fight a defensive battle...\Owww...\My feet!\Th-This Quirk is...!\You can move if you want...\He did not cause any damage to his teammate or the nuclear weapon, response:	and on top of that, he weakened the enemy.
context: It's dangerous.\I'm sure our opponents intend to fight a defensive battle...\Owww...\My feet!\Th-This Quirk is...!\You can move if you want...\He did not cause any damage to his teammate or the nuclear weapon,\and on top of that, he weakened the enemy. response:	He's so strong!
context: I'm sure our opponents intend to fight a defensive battle...\Owww...\My feet!\Th-This Quirk is...!\You can move if you want...\He did not cause any damage to his teammate or the nuclear weapon,\and on top of that, he weakened the enemy.\He's so strong! response:	Hero team wins!
context: Owww...\My feet!\Th-This Quirk is...!\You can move if you want...\He did not cause any damage to his teammate or the nuclear weapon,\and on top of that, he weakened the enemy.\He's so strong!\Hero team wins! response:	Heat?
context: My feet!\Th-This Quirk is...!\You can move if you want...\He did not cause any damage to his teammate or the nuclear weapon,\and on top of that, he weakened the enemy.\He's so strong!\Hero team wins!\Heat? response:	Hot, hot, hot, hot, hot, hot!
context: Th-This Quirk is...!\You can move if you want...\He did not cause any damage to his teammate or the nuclear weapon,\and on top of that, he weakened the enemy.\He's so strong!\Hero team wins!\Heat?\Hot, hot, hot, hot, hot, hot! response:	Sorry.
context: You can move if you want...\He did not cause any damage to his teammate or the nuclear weapon,\and on top of that, he weakened the enemy.\He's so strong!\Hero team wins!\Heat?\Hot, hot, hot, hot, hot, hot!\Sorry. response:	The difference in our ability was too great.
context: He did not cause any damage to his teammate or the nuclear weapon,\and on top of that, he weakened the enemy.\He's so strong!\Hero team wins!\Heat?\Hot, hot, hot, hot, hot, hot!\Sorry.\The difference in our ability was too great. response:	Todoroki Shouto!
context: and on top of that, he weakened the enemy.\He's so strong!\Hero team wins!\Heat?\Hot, hot, hot, hot, hot, hot!\Sorry.\The difference in our ability was too great.\Todoroki Shouto! response:	He's another one of the four admitted to the hero course based on recommendations.
context: He's so strong!\Hero team wins!\Heat?\Hot, hot, hot, hot, hot, hot!\Sorry.\The difference in our ability was too great.\Todoroki Shouto!\He's another one of the four admitted to the hero course based on recommendations. response:	His Quirk is Half-Cold, Half-Hot.
context: Hero team wins!\Heat?\Hot, hot, hot, hot, hot, hot!\Sorry.\The difference in our ability was too great.\Todoroki Shouto!\He's another one of the four admitted to the hero course based on recommendations.\His Quirk is Half-Cold, Half-Hot. response:	He freezes with his right and burns with his left!
context: Heat?\Hot, hot, hot, hot, hot, hot!\Sorry.\The difference in our ability was too great.\Todoroki Shouto!\He's another one of the four admitted to the hero course based on recommendations.\His Quirk is Half-Cold, Half-Hot.\He freezes with his right and burns with his left! response:	The range and temperature of his ability is unknown?!
context: Hot, hot, hot, hot, hot, hot!\Sorry.\The difference in our ability was too great.\Todoroki Shouto!\He's another one of the four admitted to the hero course based on recommendations.\His Quirk is Half-Cold, Half-Hot.\He freezes with his right and burns with his left!\The range and temperature of his ability is unknown?! response:	What is he, a monster?!
context: Sorry.\The difference in our ability was too great.\Todoroki Shouto!\He's another one of the four admitted to the hero course based on recommendations.\His Quirk is Half-Cold, Half-Hot.\He freezes with his right and burns with his left!\The range and temperature of his ability is unknown?!\What is he, a monster?! response:	W-Wow!
context: The difference in our ability was too great.\Todoroki Shouto!\He's another one of the four admitted to the hero course based on recommendations.\His Quirk is Half-Cold, Half-Hot.\He freezes with his right and burns with his left!\The range and temperature of his ability is unknown?!\What is he, a monster?!\W-Wow! response:	What's up with that Quirk?
context: Todoroki Shouto!\He's another one of the four admitted to the hero course based on recommendations.\His Quirk is Half-Cold, Half-Hot.\He freezes with his right and burns with his left!\The range and temperature of his ability is unknown?!\What is he, a monster?!\W-Wow!\What's up with that Quirk? response:	As expected of someone who got in through recommendations.
context: He's another one of the four admitted to the hero course based on recommendations.\His Quirk is Half-Cold, Half-Hot.\He freezes with his right and burns with his left!\The range and temperature of his ability is unknown?!\What is he, a monster?!\W-Wow!\What's up with that Quirk?\As expected of someone who got in through recommendations. response:	All right, everyone gather round for a review of the second match.
context: His Quirk is Half-Cold, Half-Hot.\He freezes with his right and burns with his left!\The range and temperature of his ability is unknown?!\What is he, a monster?!\W-Wow!\What's up with that Quirk?\As expected of someone who got in through recommendations.\All right, everyone gather round for a review of the second match. response:	Next, we will begin the third match!
context: He freezes with his right and burns with his left!\The range and temperature of his ability is unknown?!\What is he, a monster?!\W-Wow!\What's up with that Quirk?\As expected of someone who got in through recommendations.\All right, everyone gather round for a review of the second match.\Next, we will begin the third match! response:	Yes, sir!
context: The range and temperature of his ability is unknown?!\What is he, a monster?!\W-Wow!\What's up with that Quirk?\As expected of someone who got in through recommendations.\All right, everyone gather round for a review of the second match.\Next, we will begin the third match!\Yes, sir! response:	Yes, sir!
context: What is he, a monster?!\W-Wow!\What's up with that Quirk?\As expected of someone who got in through recommendations.\All right, everyone gather round for a review of the second match.\Next, we will begin the third match!\Yes, sir!\Yes, sir! response:	Ribbit, ribbit.
context: W-Wow!\What's up with that Quirk?\As expected of someone who got in through recommendations.\All right, everyone gather round for a review of the second match.\Next, we will begin the third match!\Yes, sir!\Yes, sir!\Ribbit, ribbit. response:	No, no, no, no!
context: What's up with that Quirk?\As expected of someone who got in through recommendations.\All right, everyone gather round for a review of the second match.\Next, we will begin the third match!\Yes, sir!\Yes, sir!\Ribbit, ribbit.\No, no, no, no! response:	Yahoo!
context: As expected of someone who got in through recommendations.\All right, everyone gather round for a review of the second match.\Next, we will begin the third match!\Yes, sir!\Yes, sir!\Ribbit, ribbit.\No, no, no, no!\Yahoo! response:	Sorry, sorry!
context: All right, everyone gather round for a review of the second match.\Next, we will begin the third match!\Yes, sir!\Yes, sir!\Ribbit, ribbit.\No, no, no, no!\Yahoo!\Sorry, sorry! response:	Good work everyone!
context: Next, we will begin the third match!\Yes, sir!\Yes, sir!\Ribbit, ribbit.\No, no, no, no!\Yahoo!\Sorry, sorry!\Good work everyone! response:	We didn't have any major injuries other than young Midoriya, either!
context: Yes, sir!\Yes, sir!\Ribbit, ribbit.\No, no, no, no!\Yahoo!\Sorry, sorry!\Good work everyone!\We didn't have any major injuries other than young Midoriya, either! response:	You guys took this on seriously!
