context: Any girl that goes to Altair either dies or transforms into a man. response:	And that means Mix?
context: We're all right now.\The checkups didn't find anything wrong.\But if we'd been there just a little longer...\Did Mikono come back yet?\No, she's still searching for High Commander Fudo.\How's Shrade?\He's all right for now, but they don't know if it'll take.\So the High Commander is missing and Shrade's tapped out? response:	Neo-Deava is good as dead!
context: The checkups didn't find anything wrong.\But if we'd been there just a little longer...\Did Mikono come back yet?\No, she's still searching for High Commander Fudo.\How's Shrade?\He's all right for now, but they don't know if it'll take.\So the High Commander is missing and Shrade's tapped out?\Neo-Deava is good as dead! response:	We might as well surrender now!
context: But if we'd been there just a little longer...\Did Mikono come back yet?\No, she's still searching for High Commander Fudo.\How's Shrade?\He's all right for now, but they don't know if it'll take.\So the High Commander is missing and Shrade's tapped out?\Neo-Deava is good as dead!\We might as well surrender now! response:	It's not over yet.
context: Did Mikono come back yet?\No, she's still searching for High Commander Fudo.\How's Shrade?\He's all right for now, but they don't know if it'll take.\So the High Commander is missing and Shrade's tapped out?\Neo-Deava is good as dead!\We might as well surrender now!\It's not over yet. response:	We should regroup and head back up to Altair!
context: No, she's still searching for High Commander Fudo.\How's Shrade?\He's all right for now, but they don't know if it'll take.\So the High Commander is missing and Shrade's tapped out?\Neo-Deava is good as dead!\We might as well surrender now!\It's not over yet.\We should regroup and head back up to Altair! response:	Andy?
context: How's Shrade?\He's all right for now, but they don't know if it'll take.\So the High Commander is missing and Shrade's tapped out?\Neo-Deava is good as dead!\We might as well surrender now!\It's not over yet.\We should regroup and head back up to Altair!\Andy? response:	I will save Mix.
context: He's all right for now, but they don't know if it'll take.\So the High Commander is missing and Shrade's tapped out?\Neo-Deava is good as dead!\We might as well surrender now!\It's not over yet.\We should regroup and head back up to Altair!\Andy?\I will save Mix. response:	Andy...
context: So the High Commander is missing and Shrade's tapped out?\Neo-Deava is good as dead!\We might as well surrender now!\It's not over yet.\We should regroup and head back up to Altair!\Andy?\I will save Mix.\Andy... response:	Andy! Are you okay?
context: Neo-Deava is good as dead!\We might as well surrender now!\It's not over yet.\We should regroup and head back up to Altair!\Andy?\I will save Mix.\Andy...\Andy! Are you okay? response:	I'm fine!
context: We might as well surrender now!\It's not over yet.\We should regroup and head back up to Altair!\Andy?\I will save Mix.\Andy...\Andy! Are you okay?\I'm fine! response:	I'm not giving up. I'll get Mix back if it's the last thing I do!
context: It's not over yet.\We should regroup and head back up to Altair!\Andy?\I will save Mix.\Andy...\Andy! Are you okay?\I'm fine!\I'm not giving up. I'll get Mix back if it's the last thing I do! response:	I was so close. I almost saw it.
context: We should regroup and head back up to Altair!\Andy?\I will save Mix.\Andy...\Andy! Are you okay?\I'm fine!\I'm not giving up. I'll get Mix back if it's the last thing I do!\I was so close. I almost saw it. response:	The perfect melody of love echoing between two worlds.
context: Andy?\I will save Mix.\Andy...\Andy! Are you okay?\I'm fine!\I'm not giving up. I'll get Mix back if it's the last thing I do!\I was so close. I almost saw it.\The perfect melody of love echoing between two worlds. response:	Don't talk.
context: I will save Mix.\Andy...\Andy! Are you okay?\I'm fine!\I'm not giving up. I'll get Mix back if it's the last thing I do!\I was so close. I almost saw it.\The perfect melody of love echoing between two worlds.\Don't talk. response:	You have to rest.
context: Andy...\Andy! Are you okay?\I'm fine!\I'm not giving up. I'll get Mix back if it's the last thing I do!\I was so close. I almost saw it.\The perfect melody of love echoing between two worlds.\Don't talk.\You have to rest. response:	Will I finish composing it before my life runs out?
context: Andy! Are you okay?\I'm fine!\I'm not giving up. I'll get Mix back if it's the last thing I do!\I was so close. I almost saw it.\The perfect melody of love echoing between two worlds.\Don't talk.\You have to rest.\Will I finish composing it before my life runs out? response:	Can you tell me with your Prophecy of Despair?
context: I'm fine!\I'm not giving up. I'll get Mix back if it's the last thing I do!\I was so close. I almost saw it.\The perfect melody of love echoing between two worlds.\Don't talk.\You have to rest.\Will I finish composing it before my life runs out?\Can you tell me with your Prophecy of Despair? response:	You really want to hear your dark future?
context: I'm not giving up. I'll get Mix back if it's the last thing I do!\I was so close. I almost saw it.\The perfect melody of love echoing between two worlds.\Don't talk.\You have to rest.\Will I finish composing it before my life runs out?\Can you tell me with your Prophecy of Despair?\You really want to hear your dark future? response:	Sorrow makes some songs all the more beautiful.
context: I was so close. I almost saw it.\The perfect melody of love echoing between two worlds.\Don't talk.\You have to rest.\Will I finish composing it before my life runs out?\Can you tell me with your Prophecy of Despair?\You really want to hear your dark future?\Sorrow makes some songs all the more beautiful. response:	Shrade...
context: The perfect melody of love echoing between two worlds.\Don't talk.\You have to rest.\Will I finish composing it before my life runs out?\Can you tell me with your Prophecy of Despair?\You really want to hear your dark future?\Sorrow makes some songs all the more beautiful.\Shrade... response:	If I finish the song, will you play it with me, my friend?
context: Don't talk.\You have to rest.\Will I finish composing it before my life runs out?\Can you tell me with your Prophecy of Despair?\You really want to hear your dark future?\Sorrow makes some songs all the more beautiful.\Shrade...\If I finish the song, will you play it with me, my friend? response:	When will High Commander Fudo come back?
context: You have to rest.\Will I finish composing it before my life runs out?\Can you tell me with your Prophecy of Despair?\You really want to hear your dark future?\Sorrow makes some songs all the more beautiful.\Shrade...\If I finish the song, will you play it with me, my friend?\When will High Commander Fudo come back? response:	We haven't heard anything from Mikono either.
context: Will I finish composing it before my life runs out?\Can you tell me with your Prophecy of Despair?\You really want to hear your dark future?\Sorrow makes some songs all the more beautiful.\Shrade...\If I finish the song, will you play it with me, my friend?\When will High Commander Fudo come back?\We haven't heard anything from Mikono either. response:	Please have one, Miss Suomi.
context: Can you tell me with your Prophecy of Despair?\You really want to hear your dark future?\Sorrow makes some songs all the more beautiful.\Shrade...\If I finish the song, will you play it with me, my friend?\When will High Commander Fudo come back?\We haven't heard anything from Mikono either.\Please have one, Miss Suomi. response:	No, thank you. I avoid high calorie foods late at night.
context: You really want to hear your dark future?\Sorrow makes some songs all the more beautiful.\Shrade...\If I finish the song, will you play it with me, my friend?\When will High Commander Fudo come back?\We haven't heard anything from Mikono either.\Please have one, Miss Suomi.\No, thank you. I avoid high calorie foods late at night. response:	I see.
context: Sorrow makes some songs all the more beautiful.\Shrade...\If I finish the song, will you play it with me, my friend?\When will High Commander Fudo come back?\We haven't heard anything from Mikono either.\Please have one, Miss Suomi.\No, thank you. I avoid high calorie foods late at night.\I see. response:	Please don't worry.
context: Shrade...\If I finish the song, will you play it with me, my friend?\When will High Commander Fudo come back?\We haven't heard anything from Mikono either.\Please have one, Miss Suomi.\No, thank you. I avoid high calorie foods late at night.\I see.\Please don't worry. response:	Fudo will return to us.
context: If I finish the song, will you play it with me, my friend?\When will High Commander Fudo come back?\We haven't heard anything from Mikono either.\Please have one, Miss Suomi.\No, thank you. I avoid high calorie foods late at night.\I see.\Please don't worry.\Fudo will return to us. response:	And he'll bring back the legend of Genesis.
context: When will High Commander Fudo come back?\We haven't heard anything from Mikono either.\Please have one, Miss Suomi.\No, thank you. I avoid high calorie foods late at night.\I see.\Please don't worry.\Fudo will return to us.\And he'll bring back the legend of Genesis. response:	Girl with hair the color of grass.
context: We haven't heard anything from Mikono either.\Please have one, Miss Suomi.\No, thank you. I avoid high calorie foods late at night.\I see.\Please don't worry.\Fudo will return to us.\And he'll bring back the legend of Genesis.\Girl with hair the color of grass. response:	I regret that even though I opened the gate for you...
context: Please have one, Miss Suomi.\No, thank you. I avoid high calorie foods late at night.\I see.\Please don't worry.\Fudo will return to us.\And he'll bring back the legend of Genesis.\Girl with hair the color of grass.\I regret that even though I opened the gate for you... response:	You!
context: No, thank you. I avoid high calorie foods late at night.\I see.\Please don't worry.\Fudo will return to us.\And he'll bring back the legend of Genesis.\Girl with hair the color of grass.\I regret that even though I opened the gate for you...\You! response:	Don't forget to keep your promise.
context: I see.\Please don't worry.\Fudo will return to us.\And he'll bring back the legend of Genesis.\Girl with hair the color of grass.\I regret that even though I opened the gate for you...\You!\Don't forget to keep your promise. response:	What promise? I didn't promise you anything...
context: Please don't worry.\Fudo will return to us.\And he'll bring back the legend of Genesis.\Girl with hair the color of grass.\I regret that even though I opened the gate for you...\You!\Don't forget to keep your promise.\What promise? I didn't promise you anything... response:	Even if you don't remember what it was,
context: Fudo will return to us.\And he'll bring back the legend of Genesis.\Girl with hair the color of grass.\I regret that even though I opened the gate for you...\You!\Don't forget to keep your promise.\What promise? I didn't promise you anything...\Even if you don't remember what it was, response:	you will keep it for me when the time comes.
context: And he'll bring back the legend of Genesis.\Girl with hair the color of grass.\I regret that even though I opened the gate for you...\You!\Don't forget to keep your promise.\What promise? I didn't promise you anything...\Even if you don't remember what it was,\you will keep it for me when the time comes. response:	Mix...
context: Girl with hair the color of grass.\I regret that even though I opened the gate for you...\You!\Don't forget to keep your promise.\What promise? I didn't promise you anything...\Even if you don't remember what it was,\you will keep it for me when the time comes.\Mix... response:	I actually saw her big bangs.
context: I regret that even though I opened the gate for you...\You!\Don't forget to keep your promise.\What promise? I didn't promise you anything...\Even if you don't remember what it was,\you will keep it for me when the time comes.\Mix...\I actually saw her big bangs. response:	But they weren't big bangs at all.
context: You!\Don't forget to keep your promise.\What promise? I didn't promise you anything...\Even if you don't remember what it was,\you will keep it for me when the time comes.\Mix...\I actually saw her big bangs.\But they weren't big bangs at all. response:	Andy, what are you doing here?
context: Don't forget to keep your promise.\What promise? I didn't promise you anything...\Even if you don't remember what it was,\you will keep it for me when the time comes.\Mix...\I actually saw her big bangs.\But they weren't big bangs at all.\Andy, what are you doing here? response:	I've got to sit right here or I'll sink.
context: What promise? I didn't promise you anything...\Even if you don't remember what it was,\you will keep it for me when the time comes.\Mix...\I actually saw her big bangs.\But they weren't big bangs at all.\Andy, what are you doing here?\I've got to sit right here or I'll sink. response:	That's one of the holes Mix filled.
context: Even if you don't remember what it was,\you will keep it for me when the time comes.\Mix...\I actually saw her big bangs.\But they weren't big bangs at all.\Andy, what are you doing here?\I've got to sit right here or I'll sink.\That's one of the holes Mix filled. response:	Yep. There are absolutely no weak points in the material she fills with.
context: you will keep it for me when the time comes.\Mix...\I actually saw her big bangs.\But they weren't big bangs at all.\Andy, what are you doing here?\I've got to sit right here or I'll sink.\That's one of the holes Mix filled.\Yep. There are absolutely no weak points in the material she fills with. response:	I can't sink into it even if my power overloads.
context: Mix...\I actually saw her big bangs.\But they weren't big bangs at all.\Andy, what are you doing here?\I've got to sit right here or I'll sink.\That's one of the holes Mix filled.\Yep. There are absolutely no weak points in the material she fills with.\I can't sink into it even if my power overloads. response:	Andy...
context: I actually saw her big bangs.\But they weren't big bangs at all.\Andy, what are you doing here?\I've got to sit right here or I'll sink.\That's one of the holes Mix filled.\Yep. There are absolutely no weak points in the material she fills with.\I can't sink into it even if my power overloads.\Andy... response:	Amata...
context: But they weren't big bangs at all.\Andy, what are you doing here?\I've got to sit right here or I'll sink.\That's one of the holes Mix filled.\Yep. There are absolutely no weak points in the material she fills with.\I can't sink into it even if my power overloads.\Andy...\Amata... response:	Say we actually got Mix back.
context: Andy, what are you doing here?\I've got to sit right here or I'll sink.\That's one of the holes Mix filled.\Yep. There are absolutely no weak points in the material she fills with.\I can't sink into it even if my power overloads.\Andy...\Amata...\Say we actually got Mix back. response:	Would I...
context: I've got to sit right here or I'll sink.\That's one of the holes Mix filled.\Yep. There are absolutely no weak points in the material she fills with.\I can't sink into it even if my power overloads.\Andy...\Amata...\Say we actually got Mix back.\Would I... response:	I mean, now that she's a boy,
context: That's one of the holes Mix filled.\Yep. There are absolutely no weak points in the material she fills with.\I can't sink into it even if my power overloads.\Andy...\Amata...\Say we actually got Mix back.\Would I...\I mean, now that she's a boy, response:	would I still love her the same?
context: Yep. There are absolutely no weak points in the material she fills with.\I can't sink into it even if my power overloads.\Andy...\Amata...\Say we actually got Mix back.\Would I...\I mean, now that she's a boy,\would I still love her the same? response:	Well, well. I didn't smell anyone, but there you are.
context: I can't sink into it even if my power overloads.\Andy...\Amata...\Say we actually got Mix back.\Would I...\I mean, now that she's a boy,\would I still love her the same?\Well, well. I didn't smell anyone, but there you are. response:	Let go of me!
context: Andy...\Amata...\Say we actually got Mix back.\Would I...\I mean, now that she's a boy,\would I still love her the same?\Well, well. I didn't smell anyone, but there you are.\Let go of me! response:	What are you running away from me for?
context: Amata...\Say we actually got Mix back.\Would I...\I mean, now that she's a boy,\would I still love her the same?\Well, well. I didn't smell anyone, but there you are.\Let go of me!\What are you running away from me for? response:	We're finally one!
context: Say we actually got Mix back.\Would I...\I mean, now that she's a boy,\would I still love her the same?\Well, well. I didn't smell anyone, but there you are.\Let go of me!\What are you running away from me for?\We're finally one! response:	Apollo...
context: Would I...\I mean, now that she's a boy,\would I still love her the same?\Well, well. I didn't smell anyone, but there you are.\Let go of me!\What are you running away from me for?\We're finally one!\Apollo... response:	Here I am, Apollo..
context: I mean, now that she's a boy,\would I still love her the same?\Well, well. I didn't smell anyone, but there you are.\Let go of me!\What are you running away from me for?\We're finally one!\Apollo...\Here I am, Apollo.. response:	I've been waiting to see you again.
context: would I still love her the same?\Well, well. I didn't smell anyone, but there you are.\Let go of me!\What are you running away from me for?\We're finally one!\Apollo...\Here I am, Apollo..\I've been waiting to see you again. response:	You came for me!
context: Well, well. I didn't smell anyone, but there you are.\Let go of me!\What are you running away from me for?\We're finally one!\Apollo...\Here I am, Apollo..\I've been waiting to see you again.\You came for me! response:	Mikono...
context: Let go of me!\What are you running away from me for?\We're finally one!\Apollo...\Here I am, Apollo..\I've been waiting to see you again.\You came for me!\Mikono... response:	Wrong, wench.
context: What are you running away from me for?\We're finally one!\Apollo...\Here I am, Apollo..\I've been waiting to see you again.\You came for me!\Mikono...\Wrong, wench. response:	We're not Apollon.
context: We're finally one!\Apollo...\Here I am, Apollo..\I've been waiting to see you again.\You came for me!\Mikono...\Wrong, wench.\We're not Apollon. response:	We're Amagura!
context: Apollo...\Here I am, Apollo..\I've been waiting to see you again.\You came for me!\Mikono...\Wrong, wench.\We're not Apollon.\We're Amagura! response:	Mikono, wait!
context: Here I am, Apollo..\I've been waiting to see you again.\You came for me!\Mikono...\Wrong, wench.\We're not Apollon.\We're Amagura!\Mikono, wait! response:	Hold it right there, wench!
context: I've been waiting to see you again.\You came for me!\Mikono...\Wrong, wench.\We're not Apollon.\We're Amagura!\Mikono, wait!\Hold it right there, wench! response:	Let go of her!
context: You came for me!\Mikono...\Wrong, wench.\We're not Apollon.\We're Amagura!\Mikono, wait!\Hold it right there, wench!\Let go of her! response:	Shut up!
context: Mikono...\Wrong, wench.\We're not Apollon.\We're Amagura!\Mikono, wait!\Hold it right there, wench!\Let go of her!\Shut up! response:	Join us, wench.
context: Wrong, wench.\We're not Apollon.\We're Amagura!\Mikono, wait!\Hold it right there, wench!\Let go of her!\Shut up!\Join us, wench. response:	Help!
context: We're not Apollon.\We're Amagura!\Mikono, wait!\Hold it right there, wench!\Let go of her!\Shut up!\Join us, wench.\Help! response:	Amata, stop!
context: We're Amagura!\Mikono, wait!\Hold it right there, wench!\Let go of her!\Shut up!\Join us, wench.\Help!\Amata, stop! response:	Mikono...
context: Mikono, wait!\Hold it right there, wench!\Let go of her!\Shut up!\Join us, wench.\Help!\Amata, stop!\Mikono... response:	Thank you.
context: Hold it right there, wench!\Let go of her!\Shut up!\Join us, wench.\Help!\Amata, stop!\Mikono...\Thank you. response:	When you clap your hands, what remains between them?
context: Let go of her!\Shut up!\Join us, wench.\Help!\Amata, stop!\Mikono...\Thank you.\When you clap your hands, what remains between them? response:	A right hand and a left. Angel and human.
context: Shut up!\Join us, wench.\Help!\Amata, stop!\Mikono...\Thank you.\When you clap your hands, what remains between them?\A right hand and a left. Angel and human. response:	Man and woman. Plus and minus.
context: Join us, wench.\Help!\Amata, stop!\Mikono...\Thank you.\When you clap your hands, what remains between them?\A right hand and a left. Angel and human.\Man and woman. Plus and minus. response:	What is in the gap between them?
context: Help!\Amata, stop!\Mikono...\Thank you.\When you clap your hands, what remains between them?\A right hand and a left. Angel and human.\Man and woman. Plus and minus.\What is in the gap between them? response:	What's in the gap between my right hand and my left?
context: Amata, stop!\Mikono...\Thank you.\When you clap your hands, what remains between them?\A right hand and a left. Angel and human.\Man and woman. Plus and minus.\What is in the gap between them?\What's in the gap between my right hand and my left? response:	Nothing.
context: Mikono...\Thank you.\When you clap your hands, what remains between them?\A right hand and a left. Angel and human.\Man and woman. Plus and minus.\What is in the gap between them?\What's in the gap between my right hand and my left?\Nothing. response:	There's nothing there, but it feels warm.
context: Thank you.\When you clap your hands, what remains between them?\A right hand and a left. Angel and human.\Man and woman. Plus and minus.\What is in the gap between them?\What's in the gap between my right hand and my left?\Nothing.\There's nothing there, but it feels warm. response:	Haven't I heard this somewhere before?
context: When you clap your hands, what remains between them?\A right hand and a left. Angel and human.\Man and woman. Plus and minus.\What is in the gap between them?\What's in the gap between my right hand and my left?\Nothing.\There's nothing there, but it feels warm.\Haven't I heard this somewhere before? response:	Long ago, just after the heavens and earth were separated,
context: A right hand and a left. Angel and human.\Man and woman. Plus and minus.\What is in the gap between them?\What's in the gap between my right hand and my left?\Nothing.\There's nothing there, but it feels warm.\Haven't I heard this somewhere before?\Long ago, just after the heavens and earth were separated, response:	the world was bathed in a glorious light.
context: Man and woman. Plus and minus.\What is in the gap between them?\What's in the gap between my right hand and my left?\Nothing.\There's nothing there, but it feels warm.\Haven't I heard this somewhere before?\Long ago, just after the heavens and earth were separated,\the world was bathed in a glorious light. response:	The flowers sang, while the creatures and insects whispered of love.
context: What is in the gap between them?\What's in the gap between my right hand and my left?\Nothing.\There's nothing there, but it feels warm.\Haven't I heard this somewhere before?\Long ago, just after the heavens and earth were separated,\the world was bathed in a glorious light.\The flowers sang, while the creatures and insects whispered of love. response:	and the angels loved, up among the stars.
context: What's in the gap between my right hand and my left?\Nothing.\There's nothing there, but it feels warm.\Haven't I heard this somewhere before?\Long ago, just after the heavens and earth were separated,\the world was bathed in a glorious light.\The flowers sang, while the creatures and insects whispered of love.\and the angels loved, up among the stars. response:	But the angels were hunters, and mankind was their prey.
context: Nothing.\There's nothing there, but it feels warm.\Haven't I heard this somewhere before?\Long ago, just after the heavens and earth were separated,\the world was bathed in a glorious light.\The flowers sang, while the creatures and insects whispered of love.\and the angels loved, up among the stars.\But the angels were hunters, and mankind was their prey. response:	In this war, there fought an Angel of Slaughter named Apollonius,
context: There's nothing there, but it feels warm.\Haven't I heard this somewhere before?\Long ago, just after the heavens and earth were separated,\the world was bathed in a glorious light.\The flowers sang, while the creatures and insects whispered of love.\and the angels loved, up among the stars.\But the angels were hunters, and mankind was their prey.\In this war, there fought an Angel of Slaughter named Apollonius, response:	and he met a girl named Celiane, and they fell in love.
context: Haven't I heard this somewhere before?\Long ago, just after the heavens and earth were separated,\the world was bathed in a glorious light.\The flowers sang, while the creatures and insects whispered of love.\and the angels loved, up among the stars.\But the angels were hunters, and mankind was their prey.\In this war, there fought an Angel of Slaughter named Apollonius,\and he met a girl named Celiane, and they fell in love. response:	Apollonius betrayed his kind and joined with the humans.
context: Long ago, just after the heavens and earth were separated,\the world was bathed in a glorious light.\The flowers sang, while the creatures and insects whispered of love.\and the angels loved, up among the stars.\But the angels were hunters, and mankind was their prey.\In this war, there fought an Angel of Slaughter named Apollonius,\and he met a girl named Celiane, and they fell in love.\Apollonius betrayed his kind and joined with the humans. response:	He, the traitor, cast off his wings and gave unto the humans a great weapon.
context: the world was bathed in a glorious light.\The flowers sang, while the creatures and insects whispered of love.\and the angels loved, up among the stars.\But the angels were hunters, and mankind was their prey.\In this war, there fought an Angel of Slaughter named Apollonius,\and he met a girl named Celiane, and they fell in love.\Apollonius betrayed his kind and joined with the humans.\He, the traitor, cast off his wings and gave unto the humans a great weapon. response:	He piloted a machine Angel and fought against the angels.
context: The flowers sang, while the creatures and insects whispered of love.\and the angels loved, up among the stars.\But the angels were hunters, and mankind was their prey.\In this war, there fought an Angel of Slaughter named Apollonius,\and he met a girl named Celiane, and they fell in love.\Apollonius betrayed his kind and joined with the humans.\He, the traitor, cast off his wings and gave unto the humans a great weapon.\He piloted a machine Angel and fought against the angels. response:	This is the legend written in the Book of Genesis.
context: and the angels loved, up among the stars.\But the angels were hunters, and mankind was their prey.\In this war, there fought an Angel of Slaughter named Apollonius,\and he met a girl named Celiane, and they fell in love.\Apollonius betrayed his kind and joined with the humans.\He, the traitor, cast off his wings and gave unto the humans a great weapon.\He piloted a machine Angel and fought against the angels.\This is the legend written in the Book of Genesis. response:	And that's what really happened 12,000 years ago?
context: But the angels were hunters, and mankind was their prey.\In this war, there fought an Angel of Slaughter named Apollonius,\and he met a girl named Celiane, and they fell in love.\Apollonius betrayed his kind and joined with the humans.\He, the traitor, cast off his wings and gave unto the humans a great weapon.\He piloted a machine Angel and fought against the angels.\This is the legend written in the Book of Genesis.\And that's what really happened 12,000 years ago? response:	No.
context: In this war, there fought an Angel of Slaughter named Apollonius,\and he met a girl named Celiane, and they fell in love.\Apollonius betrayed his kind and joined with the humans.\He, the traitor, cast off his wings and gave unto the humans a great weapon.\He piloted a machine Angel and fought against the angels.\This is the legend written in the Book of Genesis.\And that's what really happened 12,000 years ago?\No. response:	This is the previous story, the story of 24,000 years ago.
context: and he met a girl named Celiane, and they fell in love.\Apollonius betrayed his kind and joined with the humans.\He, the traitor, cast off his wings and gave unto the humans a great weapon.\He piloted a machine Angel and fought against the angels.\This is the legend written in the Book of Genesis.\And that's what really happened 12,000 years ago?\No.\This is the previous story, the story of 24,000 years ago. response:	The wheel of Fate has turned again, and the legend is about to be told once more.
context: Apollonius betrayed his kind and joined with the humans.\He, the traitor, cast off his wings and gave unto the humans a great weapon.\He piloted a machine Angel and fought against the angels.\This is the legend written in the Book of Genesis.\And that's what really happened 12,000 years ago?\No.\This is the previous story, the story of 24,000 years ago.\The wheel of Fate has turned again, and the legend is about to be told once more. response:	Once more...
context: He, the traitor, cast off his wings and gave unto the humans a great weapon.\He piloted a machine Angel and fought against the angels.\This is the legend written in the Book of Genesis.\And that's what really happened 12,000 years ago?\No.\This is the previous story, the story of 24,000 years ago.\The wheel of Fate has turned again, and the legend is about to be told once more.\Once more... response:	Amata Sora! Explain yourself!
context: He piloted a machine Angel and fought against the angels.\This is the legend written in the Book of Genesis.\And that's what really happened 12,000 years ago?\No.\This is the previous story, the story of 24,000 years ago.\The wheel of Fate has turned again, and the legend is about to be told once more.\Once more...\Amata Sora! Explain yourself! response:	I do not recall ordering a sortie!
context: This is the legend written in the Book of Genesis.\And that's what really happened 12,000 years ago?\No.\This is the previous story, the story of 24,000 years ago.\The wheel of Fate has turned again, and the legend is about to be told once more.\Once more...\Amata Sora! Explain yourself!\I do not recall ordering a sortie! response:	I'm going after Mikono.
context: And that's what really happened 12,000 years ago?\No.\This is the previous story, the story of 24,000 years ago.\The wheel of Fate has turned again, and the legend is about to be told once more.\Once more...\Amata Sora! Explain yourself!\I do not recall ordering a sortie!\I'm going after Mikono. response:	You were not given permission to move out!
context: No.\This is the previous story, the story of 24,000 years ago.\The wheel of Fate has turned again, and the legend is about to be told once more.\Once more...\Amata Sora! Explain yourself!\I do not recall ordering a sortie!\I'm going after Mikono.\You were not given permission to move out! response:	She's calling me.
context: This is the previous story, the story of 24,000 years ago.\The wheel of Fate has turned again, and the legend is about to be told once more.\Once more...\Amata Sora! Explain yourself!\I do not recall ordering a sortie!\I'm going after Mikono.\You were not given permission to move out!\She's calling me. response:	Mikono is calling for help.
context: The wheel of Fate has turned again, and the legend is about to be told once more.\Once more...\Amata Sora! Explain yourself!\I do not recall ordering a sortie!\I'm going after Mikono.\You were not given permission to move out!\She's calling me.\Mikono is calling for help. response:	I have to move fast!
context: Once more...\Amata Sora! Explain yourself!\I do not recall ordering a sortie!\I'm going after Mikono.\You were not given permission to move out!\She's calling me.\Mikono is calling for help.\I have to move fast! response:	Mikono...
context: Amata Sora! Explain yourself!\I do not recall ordering a sortie!\I'm going after Mikono.\You were not given permission to move out!\She's calling me.\Mikono is calling for help.\I have to move fast!\Mikono... response:	I can't let someone I love leave me again...
context: I do not recall ordering a sortie!\I'm going after Mikono.\You were not given permission to move out!\She's calling me.\Mikono is calling for help.\I have to move fast!\Mikono...\I can't let someone I love leave me again... response:	Yes, go to the one you love.
context: I'm going after Mikono.\You were not given permission to move out!\She's calling me.\Mikono is calling for help.\I have to move fast!\Mikono...\I can't let someone I love leave me again...\Yes, go to the one you love. response:	And go also to the Wings of the Sun.
context: You were not given permission to move out!\She's calling me.\Mikono is calling for help.\I have to move fast!\Mikono...\I can't let someone I love leave me again...\Yes, go to the one you love.\And go also to the Wings of the Sun. response:	And you, fragmented one, wake up now.
context: She's calling me.\Mikono is calling for help.\I have to move fast!\Mikono...\I can't let someone I love leave me again...\Yes, go to the one you love.\And go also to the Wings of the Sun.\And you, fragmented one, wake up now. response:	Amata...
context: Mikono is calling for help.\I have to move fast!\Mikono...\I can't let someone I love leave me again...\Yes, go to the one you love.\And go also to the Wings of the Sun.\And you, fragmented one, wake up now.\Amata... response:	Vector Z's transmitter is off. We can't track it.
context: I have to move fast!\Mikono...\I can't let someone I love leave me again...\Yes, go to the one you love.\And go also to the Wings of the Sun.\And you, fragmented one, wake up now.\Amata...\Vector Z's transmitter is off. We can't track it. response:	Cayenne, can you see where it is with the Prophecy of Despair?
context: Mikono...\I can't let someone I love leave me again...\Yes, go to the one you love.\And go also to the Wings of the Sun.\And you, fragmented one, wake up now.\Amata...\Vector Z's transmitter is off. We can't track it.\Cayenne, can you see where it is with the Prophecy of Despair? response:	I'll try.
