context: Board: Zange-chan Original CD Debut!! response:	TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.
context: Why?\Hey... Have you gone to look for her?\I couldn't find her.\Eh? You couldn't?\Have you gone to the police?\Just forget about it.\What do you mean, forget about it?\Jin! response:	It's none of your business.
context: Hey... Have you gone to look for her?\I couldn't find her.\Eh? You couldn't?\Have you gone to the police?\Just forget about it.\What do you mean, forget about it?\Jin!\It's none of your business. response:	Hey, whatever happened to Nagi-sama?
context: I couldn't find her.\Eh? You couldn't?\Have you gone to the police?\Just forget about it.\What do you mean, forget about it?\Jin!\It's none of your business.\Hey, whatever happened to Nagi-sama? response:	You mean...?
context: Eh? You couldn't?\Have you gone to the police?\Just forget about it.\What do you mean, forget about it?\Jin!\It's none of your business.\Hey, whatever happened to Nagi-sama?\You mean...? response:	Looks like she's absent again today.
context: Have you gone to the police?\Just forget about it.\What do you mean, forget about it?\Jin!\It's none of your business.\Hey, whatever happened to Nagi-sama?\You mean...?\Looks like she's absent again today. response:	Yesterday, Mikuriya was acting strange too.
context: Just forget about it.\What do you mean, forget about it?\Jin!\It's none of your business.\Hey, whatever happened to Nagi-sama?\You mean...?\Looks like she's absent again today.\Yesterday, Mikuriya was acting strange too. response:	Do you know what happened?
context: What do you mean, forget about it?\Jin!\It's none of your business.\Hey, whatever happened to Nagi-sama?\You mean...?\Looks like she's absent again today.\Yesterday, Mikuriya was acting strange too.\Do you know what happened? response:	I think it's better if you ask Jin directly...
context: Jin!\It's none of your business.\Hey, whatever happened to Nagi-sama?\You mean...?\Looks like she's absent again today.\Yesterday, Mikuriya was acting strange too.\Do you know what happened?\I think it's better if you ask Jin directly... response:	Even I know how to read the atmosphere. That's why I'm asking you.
context: It's none of your business.\Hey, whatever happened to Nagi-sama?\You mean...?\Looks like she's absent again today.\Yesterday, Mikuriya was acting strange too.\Do you know what happened?\I think it's better if you ask Jin directly...\Even I know how to read the atmosphere. That's why I'm asking you. response:	You're Mikuriya's guardian, right?
context: Hey, whatever happened to Nagi-sama?\You mean...?\Looks like she's absent again today.\Yesterday, Mikuriya was acting strange too.\Do you know what happened?\I think it's better if you ask Jin directly...\Even I know how to read the atmosphere. That's why I'm asking you.\You're Mikuriya's guardian, right? response:	Guardian? That's not...
context: You mean...?\Looks like she's absent again today.\Yesterday, Mikuriya was acting strange too.\Do you know what happened?\I think it's better if you ask Jin directly...\Even I know how to read the atmosphere. That's why I'm asking you.\You're Mikuriya's guardian, right?\Guardian? That's not... response:	I don't really know...
context: Looks like she's absent again today.\Yesterday, Mikuriya was acting strange too.\Do you know what happened?\I think it's better if you ask Jin directly...\Even I know how to read the atmosphere. That's why I'm asking you.\You're Mikuriya's guardian, right?\Guardian? That's not...\I don't really know... response:	I don't think you need to worry so much, do you?
context: Yesterday, Mikuriya was acting strange too.\Do you know what happened?\I think it's better if you ask Jin directly...\Even I know how to read the atmosphere. That's why I'm asking you.\You're Mikuriya's guardian, right?\Guardian? That's not...\I don't really know...\I don't think you need to worry so much, do you? response:	Look, Nagi-san might be throwing a tantrum, just like last time.
context: Do you know what happened?\I think it's better if you ask Jin directly...\Even I know how to read the atmosphere. That's why I'm asking you.\You're Mikuriya's guardian, right?\Guardian? That's not...\I don't really know...\I don't think you need to worry so much, do you?\Look, Nagi-san might be throwing a tantrum, just like last time. response:	Last time?
context: I think it's better if you ask Jin directly...\Even I know how to read the atmosphere. That's why I'm asking you.\You're Mikuriya's guardian, right?\Guardian? That's not...\I don't really know...\I don't think you need to worry so much, do you?\Look, Nagi-san might be throwing a tantrum, just like last time.\Last time? response:	Oh, you mean the closet incident?
context: Even I know how to read the atmosphere. That's why I'm asking you.\You're Mikuriya's guardian, right?\Guardian? That's not...\I don't really know...\I don't think you need to worry so much, do you?\Look, Nagi-san might be throwing a tantrum, just like last time.\Last time?\Oh, you mean the closet incident? response:	I'm sure something like that must have happened again.
context: You're Mikuriya's guardian, right?\Guardian? That's not...\I don't really know...\I don't think you need to worry so much, do you?\Look, Nagi-san might be throwing a tantrum, just like last time.\Last time?\Oh, you mean the closet incident?\I'm sure something like that must have happened again. response:	She'll be back in no time.
context: Guardian? That's not...\I don't really know...\I don't think you need to worry so much, do you?\Look, Nagi-san might be throwing a tantrum, just like last time.\Last time?\Oh, you mean the closet incident?\I'm sure something like that must have happened again.\She'll be back in no time. response:	You think so?
context: I don't really know...\I don't think you need to worry so much, do you?\Look, Nagi-san might be throwing a tantrum, just like last time.\Last time?\Oh, you mean the closet incident?\I'm sure something like that must have happened again.\She'll be back in no time.\You think so? response:	Well, it's concerning the two of them, so I don't think we need to butt in.
context: I don't think you need to worry so much, do you?\Look, Nagi-san might be throwing a tantrum, just like last time.\Last time?\Oh, you mean the closet incident?\I'm sure something like that must have happened again.\She'll be back in no time.\You think so?\Well, it's concerning the two of them, so I don't think we need to butt in. response:	I see, they're siblings after all.
context: Look, Nagi-san might be throwing a tantrum, just like last time.\Last time?\Oh, you mean the closet incident?\I'm sure something like that must have happened again.\She'll be back in no time.\You think so?\Well, it's concerning the two of them, so I don't think we need to butt in.\I see, they're siblings after all. response:	This is where we shouldn't be stepping in, eh?
context: Last time?\Oh, you mean the closet incident?\I'm sure something like that must have happened again.\She'll be back in no time.\You think so?\Well, it's concerning the two of them, so I don't think we need to butt in.\I see, they're siblings after all.\This is where we shouldn't be stepping in, eh? response:	Is love a calamity?, I asked out of the blue.
context: Oh, you mean the closet incident?\I'm sure something like that must have happened again.\She'll be back in no time.\You think so?\Well, it's concerning the two of them, so I don't think we need to butt in.\I see, they're siblings after all.\This is where we shouldn't be stepping in, eh?\Is love a calamity?, I asked out of the blue. response:	A calamity, indeed., replied the teacher in the same serious tone.
context: I'm sure something like that must have happened again.\She'll be back in no time.\You think so?\Well, it's concerning the two of them, so I don't think we need to butt in.\I see, they're siblings after all.\This is where we shouldn't be stepping in, eh?\Is love a calamity?, I asked out of the blue.\A calamity, indeed., replied the teacher in the same serious tone. response:	Why? I will know why in time to come.
context: She'll be back in no time.\You think so?\Well, it's concerning the two of them, so I don't think we need to butt in.\I see, they're siblings after all.\This is where we shouldn't be stepping in, eh?\Is love a calamity?, I asked out of the blue.\A calamity, indeed., replied the teacher in the same serious tone.\Why? I will know why in time to come. response:	No, you already knew.
context: You think so?\Well, it's concerning the two of them, so I don't think we need to butt in.\I see, they're siblings after all.\This is where we shouldn't be stepping in, eh?\Is love a calamity?, I asked out of the blue.\A calamity, indeed., replied the teacher in the same serious tone.\Why? I will know why in time to come.\No, you already knew. response:	Hasn't your heart been in motion because of love, ever since ages ago?
context: Well, it's concerning the two of them, so I don't think we need to butt in.\I see, they're siblings after all.\This is where we shouldn't be stepping in, eh?\Is love a calamity?, I asked out of the blue.\A calamity, indeed., replied the teacher in the same serious tone.\Why? I will know why in time to come.\No, you already knew.\Hasn't your heart been in motion because of love, ever since ages ago? response:	I tried searching my heart.
context: I see, they're siblings after all.\This is where we shouldn't be stepping in, eh?\Is love a calamity?, I asked out of the blue.\A calamity, indeed., replied the teacher in the same serious tone.\Why? I will know why in time to come.\No, you already knew.\Hasn't your heart been in motion because of love, ever since ages ago?\I tried searching my heart. response:	But it was emptier than I expected.
context: This is where we shouldn't be stepping in, eh?\Is love a calamity?, I asked out of the blue.\A calamity, indeed., replied the teacher in the same serious tone.\Why? I will know why in time to come.\No, you already knew.\Hasn't your heart been in motion because of love, ever since ages ago?\I tried searching my heart.\But it was emptier than I expected. response:	Okay, that'll be enough.
context: Is love a calamity?, I asked out of the blue.\A calamity, indeed., replied the teacher in the same serious tone.\Why? I will know why in time to come.\No, you already knew.\Hasn't your heart been in motion because of love, ever since ages ago?\I tried searching my heart.\But it was emptier than I expected.\Okay, that'll be enough. response:	At this point, Nou-sensei unexpectedly showed strong emotions in response to my questions.
context: A calamity, indeed., replied the teacher in the same serious tone.\Why? I will know why in time to come.\No, you already knew.\Hasn't your heart been in motion because of love, ever since ages ago?\I tried searching my heart.\But it was emptier than I expected.\Okay, that'll be enough.\At this point, Nou-sensei unexpectedly showed strong emotions in response to my questions. response:	This can be forgiven in view of Sensei's past, which will be described later.
context: Why? I will know why in time to come.\No, you already knew.\Hasn't your heart been in motion because of love, ever since ages ago?\I tried searching my heart.\But it was emptier than I expected.\Okay, that'll be enough.\At this point, Nou-sensei unexpectedly showed strong emotions in response to my questions.\This can be forgiven in view of Sensei's past, which will be described later. response:	This has nothing to do with you, right?
context: No, you already knew.\Hasn't your heart been in motion because of love, ever since ages ago?\I tried searching my heart.\But it was emptier than I expected.\Okay, that'll be enough.\At this point, Nou-sensei unexpectedly showed strong emotions in response to my questions.\This can be forgiven in view of Sensei's past, which will be described later.\This has nothing to do with you, right? response:	Mikuriya!
context: Hasn't your heart been in motion because of love, ever since ages ago?\I tried searching my heart.\But it was emptier than I expected.\Okay, that'll be enough.\At this point, Nou-sensei unexpectedly showed strong emotions in response to my questions.\This can be forgiven in view of Sensei's past, which will be described later.\This has nothing to do with you, right?\Mikuriya! response:	What's wrong?
context: I tried searching my heart.\But it was emptier than I expected.\Okay, that'll be enough.\At this point, Nou-sensei unexpectedly showed strong emotions in response to my questions.\This can be forgiven in view of Sensei's past, which will be described later.\This has nothing to do with you, right?\Mikuriya!\What's wrong? response:	Are you hungry or something?
context: But it was emptier than I expected.\Okay, that'll be enough.\At this point, Nou-sensei unexpectedly showed strong emotions in response to my questions.\This can be forgiven in view of Sensei's past, which will be described later.\This has nothing to do with you, right?\Mikuriya!\What's wrong?\Are you hungry or something? response:	I'm fine!
context: Okay, that'll be enough.\At this point, Nou-sensei unexpectedly showed strong emotions in response to my questions.\This can be forgiven in view of Sensei's past, which will be described later.\This has nothing to do with you, right?\Mikuriya!\What's wrong?\Are you hungry or something?\I'm fine! response:	Don't push yourself too hard, Mikuriya.
context: At this point, Nou-sensei unexpectedly showed strong emotions in response to my questions.\This can be forgiven in view of Sensei's past, which will be described later.\This has nothing to do with you, right?\Mikuriya!\What's wrong?\Are you hungry or something?\I'm fine!\Don't push yourself too hard, Mikuriya. response:	This isn't the time to be spacing out. You have to look for Nagi-san.
context: This can be forgiven in view of Sensei's past, which will be described later.\This has nothing to do with you, right?\Mikuriya!\What's wrong?\Are you hungry or something?\I'm fine!\Don't push yourself too hard, Mikuriya.\This isn't the time to be spacing out. You have to look for Nagi-san. response:	I did.
context: This has nothing to do with you, right?\Mikuriya!\What's wrong?\Are you hungry or something?\I'm fine!\Don't push yourself too hard, Mikuriya.\This isn't the time to be spacing out. You have to look for Nagi-san.\I did. response:	Hey, what did you do to Nagi-san?
context: Mikuriya!\What's wrong?\Are you hungry or something?\I'm fine!\Don't push yourself too hard, Mikuriya.\This isn't the time to be spacing out. You have to look for Nagi-san.\I did.\Hey, what did you do to Nagi-san? response:	A little squabble.
context: What's wrong?\Are you hungry or something?\I'm fine!\Don't push yourself too hard, Mikuriya.\This isn't the time to be spacing out. You have to look for Nagi-san.\I did.\Hey, what did you do to Nagi-san?\A little squabble. response:	That's all?
context: Are you hungry or something?\I'm fine!\Don't push yourself too hard, Mikuriya.\This isn't the time to be spacing out. You have to look for Nagi-san.\I did.\Hey, what did you do to Nagi-san?\A little squabble.\That's all? response:	She left on her own volition.
context: I'm fine!\Don't push yourself too hard, Mikuriya.\This isn't the time to be spacing out. You have to look for Nagi-san.\I did.\Hey, what did you do to Nagi-san?\A little squabble.\That's all?\She left on her own volition. response:	I have no right to stop her at this point in time.
context: Don't push yourself too hard, Mikuriya.\This isn't the time to be spacing out. You have to look for Nagi-san.\I did.\Hey, what did you do to Nagi-san?\A little squabble.\That's all?\She left on her own volition.\I have no right to stop her at this point in time. response:	She doesn't have any reason to stay in my house too.
context: This isn't the time to be spacing out. You have to look for Nagi-san.\I did.\Hey, what did you do to Nagi-san?\A little squabble.\That's all?\She left on her own volition.\I have no right to stop her at this point in time.\She doesn't have any reason to stay in my house too. response:	If she can't stand being around any longer, she'll just need to go somewhere else.
context: I did.\Hey, what did you do to Nagi-san?\A little squabble.\That's all?\She left on her own volition.\I have no right to stop her at this point in time.\She doesn't have any reason to stay in my house too.\If she can't stand being around any longer, she'll just need to go somewhere else. response:	Huh? What nonsense are you saying?
context: Hey, what did you do to Nagi-san?\A little squabble.\That's all?\She left on her own volition.\I have no right to stop her at this point in time.\She doesn't have any reason to stay in my house too.\If she can't stand being around any longer, she'll just need to go somewhere else.\Huh? What nonsense are you saying? response:	Isn't it obvious that she can't come back because she doesn't want to give in to you?
context: A little squabble.\That's all?\She left on her own volition.\I have no right to stop her at this point in time.\She doesn't have any reason to stay in my house too.\If she can't stand being around any longer, she'll just need to go somewhere else.\Huh? What nonsense are you saying?\Isn't it obvious that she can't come back because she doesn't want to give in to you? response:	She has nowhere else to go besides your house!
context: That's all?\She left on her own volition.\I have no right to stop her at this point in time.\She doesn't have any reason to stay in my house too.\If she can't stand being around any longer, she'll just need to go somewhere else.\Huh? What nonsense are you saying?\Isn't it obvious that she can't come back because she doesn't want to give in to you?\She has nowhere else to go besides your house! response:	She said you're her family.
context: She left on her own volition.\I have no right to stop her at this point in time.\She doesn't have any reason to stay in my house too.\If she can't stand being around any longer, she'll just need to go somewhere else.\Huh? What nonsense are you saying?\Isn't it obvious that she can't come back because she doesn't want to give in to you?\She has nowhere else to go besides your house!\She said you're her family. response:	Normally, nobody would say such a thing!
context: I have no right to stop her at this point in time.\She doesn't have any reason to stay in my house too.\If she can't stand being around any longer, she'll just need to go somewhere else.\Huh? What nonsense are you saying?\Isn't it obvious that she can't come back because she doesn't want to give in to you?\She has nowhere else to go besides your house!\She said you're her family.\Normally, nobody would say such a thing! response:	What she meant was that you're important to her! She wants you to go after her!
context: She doesn't have any reason to stay in my house too.\If she can't stand being around any longer, she'll just need to go somewhere else.\Huh? What nonsense are you saying?\Isn't it obvious that she can't come back because she doesn't want to give in to you?\She has nowhere else to go besides your house!\She said you're her family.\Normally, nobody would say such a thing!\What she meant was that you're important to her! She wants you to go after her! response:	She must be wanting to go home now!
context: If she can't stand being around any longer, she'll just need to go somewhere else.\Huh? What nonsense are you saying?\Isn't it obvious that she can't come back because she doesn't want to give in to you?\She has nowhere else to go besides your house!\She said you're her family.\Normally, nobody would say such a thing!\What she meant was that you're important to her! She wants you to go after her!\She must be wanting to go home now! response:	Anyway, I've thought too highly of you.
context: Huh? What nonsense are you saying?\Isn't it obvious that she can't come back because she doesn't want to give in to you?\She has nowhere else to go besides your house!\She said you're her family.\Normally, nobody would say such a thing!\What she meant was that you're important to her! She wants you to go after her!\She must be wanting to go home now!\Anyway, I've thought too highly of you. response:	So this is how little she meant to you.
context: Isn't it obvious that she can't come back because she doesn't want to give in to you?\She has nowhere else to go besides your house!\She said you're her family.\Normally, nobody would say such a thing!\What she meant was that you're important to her! She wants you to go after her!\She must be wanting to go home now!\Anyway, I've thought too highly of you.\So this is how little she meant to you. response:	Don't you think you're too unfeeling?
context: She has nowhere else to go besides your house!\She said you're her family.\Normally, nobody would say such a thing!\What she meant was that you're important to her! She wants you to go after her!\She must be wanting to go home now!\Anyway, I've thought too highly of you.\So this is how little she meant to you.\Don't you think you're too unfeeling? response:	You actually want her to come back, don't you?
context: She said you're her family.\Normally, nobody would say such a thing!\What she meant was that you're important to her! She wants you to go after her!\She must be wanting to go home now!\Anyway, I've thought too highly of you.\So this is how little she meant to you.\Don't you think you're too unfeeling?\You actually want her to come back, don't you? response:	But you don't dare to face her, right?
context: Normally, nobody would say such a thing!\What she meant was that you're important to her! She wants you to go after her!\She must be wanting to go home now!\Anyway, I've thought too highly of you.\So this is how little she meant to you.\Don't you think you're too unfeeling?\You actually want her to come back, don't you?\But you don't dare to face her, right? response:	That's why you're only running away, aren't you?!
context: What she meant was that you're important to her! She wants you to go after her!\She must be wanting to go home now!\Anyway, I've thought too highly of you.\So this is how little she meant to you.\Don't you think you're too unfeeling?\You actually want her to come back, don't you?\But you don't dare to face her, right?\That's why you're only running away, aren't you?! response:	Nagi-san said this before.
context: She must be wanting to go home now!\Anyway, I've thought too highly of you.\So this is how little she meant to you.\Don't you think you're too unfeeling?\You actually want her to come back, don't you?\But you don't dare to face her, right?\That's why you're only running away, aren't you?!\Nagi-san said this before. response:	When in doubt, act according to your intuition and emotion.
context: Anyway, I've thought too highly of you.\So this is how little she meant to you.\Don't you think you're too unfeeling?\You actually want her to come back, don't you?\But you don't dare to face her, right?\That's why you're only running away, aren't you?!\Nagi-san said this before.\When in doubt, act according to your intuition and emotion. response:	Gosh, why's this child so oblivious to his own feelings?
context: So this is how little she meant to you.\Don't you think you're too unfeeling?\You actually want her to come back, don't you?\But you don't dare to face her, right?\That's why you're only running away, aren't you?!\Nagi-san said this before.\When in doubt, act according to your intuition and emotion.\Gosh, why's this child so oblivious to his own feelings? response:	Jin.
context: Don't you think you're too unfeeling?\You actually want her to come back, don't you?\But you don't dare to face her, right?\That's why you're only running away, aren't you?!\Nagi-san said this before.\When in doubt, act according to your intuition and emotion.\Gosh, why's this child so oblivious to his own feelings?\Jin. response:	What's the matter?
context: You actually want her to come back, don't you?\But you don't dare to face her, right?\That's why you're only running away, aren't you?!\Nagi-san said this before.\When in doubt, act according to your intuition and emotion.\Gosh, why's this child so oblivious to his own feelings?\Jin.\What's the matter? response:	Jin? Everyone has posted that they've seen her.
context: But you don't dare to face her, right?\That's why you're only running away, aren't you?!\Nagi-san said this before.\When in doubt, act according to your intuition and emotion.\Gosh, why's this child so oblivious to his own feelings?\Jin.\What's the matter?\Jin? Everyone has posted that they've seen her. response:	It seems that she's walking around town now.
context: That's why you're only running away, aren't you?!\Nagi-san said this before.\When in doubt, act according to your intuition and emotion.\Gosh, why's this child so oblivious to his own feelings?\Jin.\What's the matter?\Jin? Everyone has posted that they've seen her.\It seems that she's walking around town now. response:	Really? Why does everyone...
context: Nagi-san said this before.\When in doubt, act according to your intuition and emotion.\Gosh, why's this child so oblivious to his own feelings?\Jin.\What's the matter?\Jin? Everyone has posted that they've seen her.\It seems that she's walking around town now.\Really? Why does everyone... response:	Nagi-san's famous around here, you know.
context: When in doubt, act according to your intuition and emotion.\Gosh, why's this child so oblivious to his own feelings?\Jin.\What's the matter?\Jin? Everyone has posted that they've seen her.\It seems that she's walking around town now.\Really? Why does everyone...\Nagi-san's famous around here, you know. response:	Information will come flying in whenever she goes out.
context: Gosh, why's this child so oblivious to his own feelings?\Jin.\What's the matter?\Jin? Everyone has posted that they've seen her.\It seems that she's walking around town now.\Really? Why does everyone...\Nagi-san's famous around here, you know.\Information will come flying in whenever she goes out. response:	You can't check because you don't have a computer at home, right?
context: Jin.\What's the matter?\Jin? Everyone has posted that they've seen her.\It seems that she's walking around town now.\Really? Why does everyone...\Nagi-san's famous around here, you know.\Information will come flying in whenever she goes out.\You can't check because you don't have a computer at home, right? response:	Be grateful!
context: What's the matter?\Jin? Everyone has posted that they've seen her.\It seems that she's walking around town now.\Really? Why does everyone...\Nagi-san's famous around here, you know.\Information will come flying in whenever she goes out.\You can't check because you don't have a computer at home, right?\Be grateful! response:	Thank you, Tsugumi!
context: Jin? Everyone has posted that they've seen her.\It seems that she's walking around town now.\Really? Why does everyone...\Nagi-san's famous around here, you know.\Information will come flying in whenever she goes out.\You can't check because you don't have a computer at home, right?\Be grateful!\Thank you, Tsugumi! response:	Listen up. The newest info we have now is...
context: It seems that she's walking around town now.\Really? Why does everyone...\Nagi-san's famous around here, you know.\Information will come flying in whenever she goes out.\You can't check because you don't have a computer at home, right?\Be grateful!\Thank you, Tsugumi!\Listen up. The newest info we have now is... response:	She claims to be a god, yet nothing is known about her...
context: Really? Why does everyone...\Nagi-san's famous around here, you know.\Information will come flying in whenever she goes out.\You can't check because you don't have a computer at home, right?\Be grateful!\Thank you, Tsugumi!\Listen up. The newest info we have now is...\She claims to be a god, yet nothing is known about her... response:	It's a wonder how you could've lived with something like that for so long.
context: Nagi-san's famous around here, you know.\Information will come flying in whenever she goes out.\You can't check because you don't have a computer at home, right?\Be grateful!\Thank you, Tsugumi!\Listen up. The newest info we have now is...\She claims to be a god, yet nothing is known about her...\It's a wonder how you could've lived with something like that for so long. response:	That's because...
context: Information will come flying in whenever she goes out.\You can't check because you don't have a computer at home, right?\Be grateful!\Thank you, Tsugumi!\Listen up. The newest info we have now is...\She claims to be a god, yet nothing is known about her...\It's a wonder how you could've lived with something like that for so long.\That's because... response:	That's because it's been fun!
context: You can't check because you don't have a computer at home, right?\Be grateful!\Thank you, Tsugumi!\Listen up. The newest info we have now is...\She claims to be a god, yet nothing is known about her...\It's a wonder how you could've lived with something like that for so long.\That's because...\That's because it's been fun! response:	Everyday was fun!
context: Be grateful!\Thank you, Tsugumi!\Listen up. The newest info we have now is...\She claims to be a god, yet nothing is known about her...\It's a wonder how you could've lived with something like that for so long.\That's because...\That's because it's been fun!\Everyday was fun! response:	Nagi!
context: Thank you, Tsugumi!\Listen up. The newest info we have now is...\She claims to be a god, yet nothing is known about her...\It's a wonder how you could've lived with something like that for so long.\That's because...\That's because it's been fun!\Everyday was fun!\Nagi! response:	Nagi...
context: Listen up. The newest info we have now is...\She claims to be a god, yet nothing is known about her...\It's a wonder how you could've lived with something like that for so long.\That's because...\That's because it's been fun!\Everyday was fun!\Nagi!\Nagi... response:	What do you mean, you were lying to me?
context: She claims to be a god, yet nothing is known about her...\It's a wonder how you could've lived with something like that for so long.\That's because...\That's because it's been fun!\Everyday was fun!\Nagi!\Nagi...\What do you mean, you were lying to me? response:	You didn't mean to lie, am I right?
context: It's a wonder how you could've lived with something like that for so long.\That's because...\That's because it's been fun!\Everyday was fun!\Nagi!\Nagi...\What do you mean, you were lying to me?\You didn't mean to lie, am I right? response:	You don't even understand yourself, right?
context: That's because...\That's because it's been fun!\Everyday was fun!\Nagi!\Nagi...\What do you mean, you were lying to me?\You didn't mean to lie, am I right?\You don't even understand yourself, right? response:	You don't know about the impurities, or why you have memory lapses!
context: That's because it's been fun!\Everyday was fun!\Nagi!\Nagi...\What do you mean, you were lying to me?\You didn't mean to lie, am I right?\You don't even understand yourself, right?\You don't know about the impurities, or why you have memory lapses! response:	You don't know anything, and you tried to keep it from me.
