context: Izanami no Mikoto. response:	Drawing on negative human emotions for strength,
context: We must simply capture the priestess and the Kushimitama.\We'll eliminate the worthless eyesores guarding her.\The Start of Tragedy\Isanami is Izanami no Mikoto?\I cannot believe the Kushimitama has been suppressing Isanami's power.\Does Isanami know?\She overheard us.\Isanami! response:	Don't worry. Saizo is with her.
context: We'll eliminate the worthless eyesores guarding her.\The Start of Tragedy\Isanami is Izanami no Mikoto?\I cannot believe the Kushimitama has been suppressing Isanami's power.\Does Isanami know?\She overheard us.\Isanami!\Don't worry. Saizo is with her. response:	B-But!
context: The Start of Tragedy\Isanami is Izanami no Mikoto?\I cannot believe the Kushimitama has been suppressing Isanami's power.\Does Isanami know?\She overheard us.\Isanami!\Don't worry. Saizo is with her.\B-But! response:	Only light can hold back the darkness.
context: Isanami is Izanami no Mikoto?\I cannot believe the Kushimitama has been suppressing Isanami's power.\Does Isanami know?\She overheard us.\Isanami!\Don't worry. Saizo is with her.\B-But!\Only light can hold back the darkness. response:	Nii-tan!
context: I cannot believe the Kushimitama has been suppressing Isanami's power.\Does Isanami know?\She overheard us.\Isanami!\Don't worry. Saizo is with her.\B-But!\Only light can hold back the darkness.\Nii-tan! response:	What should I do as her older brother?
context: Does Isanami know?\She overheard us.\Isanami!\Don't worry. Saizo is with her.\B-But!\Only light can hold back the darkness.\Nii-tan!\What should I do as her older brother? response:	Am I being tested?
context: She overheard us.\Isanami!\Don't worry. Saizo is with her.\B-But!\Only light can hold back the darkness.\Nii-tan!\What should I do as her older brother?\Am I being tested? response:	Are you telling me to endure this pain in my heart and keep going,
context: Isanami!\Don't worry. Saizo is with her.\B-But!\Only light can hold back the darkness.\Nii-tan!\What should I do as her older brother?\Am I being tested?\Are you telling me to endure this pain in my heart and keep going, response:	gods?
context: Don't worry. Saizo is with her.\B-But!\Only light can hold back the darkness.\Nii-tan!\What should I do as her older brother?\Am I being tested?\Are you telling me to endure this pain in my heart and keep going,\gods? response:	Is that supposed to help him think?
context: B-But!\Only light can hold back the darkness.\Nii-tan!\What should I do as her older brother?\Am I being tested?\Are you telling me to endure this pain in my heart and keep going,\gods?\Is that supposed to help him think? response:	I'm pretty sure it'll just make him dumber.
context: Only light can hold back the darkness.\Nii-tan!\What should I do as her older brother?\Am I being tested?\Are you telling me to endure this pain in my heart and keep going,\gods?\Is that supposed to help him think?\I'm pretty sure it'll just make him dumber. response:	Ben-chan!
context: Nii-tan!\What should I do as her older brother?\Am I being tested?\Are you telling me to endure this pain in my heart and keep going,\gods?\Is that supposed to help him think?\I'm pretty sure it'll just make him dumber.\Ben-chan! response:	Miss...
context: What should I do as her older brother?\Am I being tested?\Are you telling me to endure this pain in my heart and keep going,\gods?\Is that supposed to help him think?\I'm pretty sure it'll just make him dumber.\Ben-chan!\Miss... response:	Excuse me.
context: Am I being tested?\Are you telling me to endure this pain in my heart and keep going,\gods?\Is that supposed to help him think?\I'm pretty sure it'll just make him dumber.\Ben-chan!\Miss...\Excuse me. response:	You have guests.
context: Are you telling me to endure this pain in my heart and keep going,\gods?\Is that supposed to help him think?\I'm pretty sure it'll just make him dumber.\Ben-chan!\Miss...\Excuse me.\You have guests. response:	Guests?
context: gods?\Is that supposed to help him think?\I'm pretty sure it'll just make him dumber.\Ben-chan!\Miss...\Excuse me.\You have guests.\Guests? response:	They wish to see you immediately.
context: Is that supposed to help him think?\I'm pretty sure it'll just make him dumber.\Ben-chan!\Miss...\Excuse me.\You have guests.\Guests?\They wish to see you immediately. response:	Unbelievable. Who's visiting me now?
context: I'm pretty sure it'll just make him dumber.\Ben-chan!\Miss...\Excuse me.\You have guests.\Guests?\They wish to see you immediately.\Unbelievable. Who's visiting me now? response:	Quiet, Yukimura.
context: Ben-chan!\Miss...\Excuse me.\You have guests.\Guests?\They wish to see you immediately.\Unbelievable. Who's visiting me now?\Quiet, Yukimura. response:	Excuse the intrusion.
context: Miss...\Excuse me.\You have guests.\Guests?\They wish to see you immediately.\Unbelievable. Who's visiting me now?\Quiet, Yukimura.\Excuse the intrusion. response:	Mitsunari, Kanetsugu? What are you doing here?
context: Excuse me.\You have guests.\Guests?\They wish to see you immediately.\Unbelievable. Who's visiting me now?\Quiet, Yukimura.\Excuse the intrusion.\Mitsunari, Kanetsugu? What are you doing here? response:	I told you to be quiet.
context: You have guests.\Guests?\They wish to see you immediately.\Unbelievable. Who's visiting me now?\Quiet, Yukimura.\Excuse the intrusion.\Mitsunari, Kanetsugu? What are you doing here?\I told you to be quiet. response:	We didn't get the chance to talk in the capitol,
context: Guests?\They wish to see you immediately.\Unbelievable. Who's visiting me now?\Quiet, Yukimura.\Excuse the intrusion.\Mitsunari, Kanetsugu? What are you doing here?\I told you to be quiet.\We didn't get the chance to talk in the capitol, response:	and you never respond to my letters.
context: They wish to see you immediately.\Unbelievable. Who's visiting me now?\Quiet, Yukimura.\Excuse the intrusion.\Mitsunari, Kanetsugu? What are you doing here?\I told you to be quiet.\We didn't get the chance to talk in the capitol,\and you never respond to my letters. response:	I thought it'd be quicker to come here and speak to you directly.
context: Unbelievable. Who's visiting me now?\Quiet, Yukimura.\Excuse the intrusion.\Mitsunari, Kanetsugu? What are you doing here?\I told you to be quiet.\We didn't get the chance to talk in the capitol,\and you never respond to my letters.\I thought it'd be quicker to come here and speak to you directly. response:	This place lies between Aizu and Sawayama,
context: Quiet, Yukimura.\Excuse the intrusion.\Mitsunari, Kanetsugu? What are you doing here?\I told you to be quiet.\We didn't get the chance to talk in the capitol,\and you never respond to my letters.\I thought it'd be quicker to come here and speak to you directly.\This place lies between Aizu and Sawayama, response:	and Ueda's a well defended backwater country.
context: Excuse the intrusion.\Mitsunari, Kanetsugu? What are you doing here?\I told you to be quiet.\We didn't get the chance to talk in the capitol,\and you never respond to my letters.\I thought it'd be quicker to come here and speak to you directly.\This place lies between Aizu and Sawayama,\and Ueda's a well defended backwater country. response:	It's the perfect place for a secret meeting.
context: Mitsunari, Kanetsugu? What are you doing here?\I told you to be quiet.\We didn't get the chance to talk in the capitol,\and you never respond to my letters.\I thought it'd be quicker to come here and speak to you directly.\This place lies between Aizu and Sawayama,\and Ueda's a well defended backwater country.\It's the perfect place for a secret meeting. response:	What are you calling backwater?
context: I told you to be quiet.\We didn't get the chance to talk in the capitol,\and you never respond to my letters.\I thought it'd be quicker to come here and speak to you directly.\This place lies between Aizu and Sawayama,\and Ueda's a well defended backwater country.\It's the perfect place for a secret meeting.\What are you calling backwater? response:	It's a compliment.
context: We didn't get the chance to talk in the capitol,\and you never respond to my letters.\I thought it'd be quicker to come here and speak to you directly.\This place lies between Aizu and Sawayama,\and Ueda's a well defended backwater country.\It's the perfect place for a secret meeting.\What are you calling backwater?\It's a compliment. response:	How is that a compliment?
context: and you never respond to my letters.\I thought it'd be quicker to come here and speak to you directly.\This place lies between Aizu and Sawayama,\and Ueda's a well defended backwater country.\It's the perfect place for a secret meeting.\What are you calling backwater?\It's a compliment.\How is that a compliment? response:	Now, now. There's no point in arguing since it's the truth.
context: I thought it'd be quicker to come here and speak to you directly.\This place lies between Aizu and Sawayama,\and Ueda's a well defended backwater country.\It's the perfect place for a secret meeting.\What are you calling backwater?\It's a compliment.\How is that a compliment?\Now, now. There's no point in arguing since it's the truth. response:	If you came here to mock me, go home.
context: This place lies between Aizu and Sawayama,\and Ueda's a well defended backwater country.\It's the perfect place for a secret meeting.\What are you calling backwater?\It's a compliment.\How is that a compliment?\Now, now. There's no point in arguing since it's the truth.\If you came here to mock me, go home. response:	What are you so mad about?
context: and Ueda's a well defended backwater country.\It's the perfect place for a secret meeting.\What are you calling backwater?\It's a compliment.\How is that a compliment?\Now, now. There's no point in arguing since it's the truth.\If you came here to mock me, go home.\What are you so mad about? response:	Wha?
context: It's the perfect place for a secret meeting.\What are you calling backwater?\It's a compliment.\How is that a compliment?\Now, now. There's no point in arguing since it's the truth.\If you came here to mock me, go home.\What are you so mad about?\Wha? response:	Your words are too much for me, Kanetsugu.
context: What are you calling backwater?\It's a compliment.\How is that a compliment?\Now, now. There's no point in arguing since it's the truth.\If you came here to mock me, go home.\What are you so mad about?\Wha?\Your words are too much for me, Kanetsugu. response:	Well, what do you want?
context: It's a compliment.\How is that a compliment?\Now, now. There's no point in arguing since it's the truth.\If you came here to mock me, go home.\What are you so mad about?\Wha?\Your words are too much for me, Kanetsugu.\Well, what do you want? response:	Keep it short. I'm in the middle of something.
context: How is that a compliment?\Now, now. There's no point in arguing since it's the truth.\If you came here to mock me, go home.\What are you so mad about?\Wha?\Your words are too much for me, Kanetsugu.\Well, what do you want?\Keep it short. I'm in the middle of something. response:	Whether or not this will be short is up to you.
context: Now, now. There's no point in arguing since it's the truth.\If you came here to mock me, go home.\What are you so mad about?\Wha?\Your words are too much for me, Kanetsugu.\Well, what do you want?\Keep it short. I'm in the middle of something.\Whether or not this will be short is up to you. response:	You are the Light, Saizo.
context: If you came here to mock me, go home.\What are you so mad about?\Wha?\Your words are too much for me, Kanetsugu.\Well, what do you want?\Keep it short. I'm in the middle of something.\Whether or not this will be short is up to you.\You are the Light, Saizo. response:	Is this as far as you'll run?
context: What are you so mad about?\Wha?\Your words are too much for me, Kanetsugu.\Well, what do you want?\Keep it short. I'm in the middle of something.\Whether or not this will be short is up to you.\You are the Light, Saizo.\Is this as far as you'll run? response:	Good afternoon.
context: Wha?\Your words are too much for me, Kanetsugu.\Well, what do you want?\Keep it short. I'm in the middle of something.\Whether or not this will be short is up to you.\You are the Light, Saizo.\Is this as far as you'll run?\Good afternoon. response:	You bastard.
context: Your words are too much for me, Kanetsugu.\Well, what do you want?\Keep it short. I'm in the middle of something.\Whether or not this will be short is up to you.\You are the Light, Saizo.\Is this as far as you'll run?\Good afternoon.\You bastard. response:	Hattori Hanzo.
context: Well, what do you want?\Keep it short. I'm in the middle of something.\Whether or not this will be short is up to you.\You are the Light, Saizo.\Is this as far as you'll run?\Good afternoon.\You bastard.\Hattori Hanzo. response:	I bet you thought I died at Izumo.
context: Keep it short. I'm in the middle of something.\Whether or not this will be short is up to you.\You are the Light, Saizo.\Is this as far as you'll run?\Good afternoon.\You bastard.\Hattori Hanzo.\I bet you thought I died at Izumo. response:	Unfortunately for you, I'm quite resilient.
context: Whether or not this will be short is up to you.\You are the Light, Saizo.\Is this as far as you'll run?\Good afternoon.\You bastard.\Hattori Hanzo.\I bet you thought I died at Izumo.\Unfortunately for you, I'm quite resilient. response:	Are you thinking you've led me far enough away?
context: You are the Light, Saizo.\Is this as far as you'll run?\Good afternoon.\You bastard.\Hattori Hanzo.\I bet you thought I died at Izumo.\Unfortunately for you, I'm quite resilient.\Are you thinking you've led me far enough away? response:	Don't worry. You're my target today.
context: Is this as far as you'll run?\Good afternoon.\You bastard.\Hattori Hanzo.\I bet you thought I died at Izumo.\Unfortunately for you, I'm quite resilient.\Are you thinking you've led me far enough away?\Don't worry. You're my target today. response:	Me?
context: Good afternoon.\You bastard.\Hattori Hanzo.\I bet you thought I died at Izumo.\Unfortunately for you, I'm quite resilient.\Are you thinking you've led me far enough away?\Don't worry. You're my target today.\Me? response:	There's something we have to do before we take the Kushimitama.
context: You bastard.\Hattori Hanzo.\I bet you thought I died at Izumo.\Unfortunately for you, I'm quite resilient.\Are you thinking you've led me far enough away?\Don't worry. You're my target today.\Me?\There's something we have to do before we take the Kushimitama. response:	Kill all the braves.
context: Hattori Hanzo.\I bet you thought I died at Izumo.\Unfortunately for you, I'm quite resilient.\Are you thinking you've led me far enough away?\Don't worry. You're my target today.\Me?\There's something we have to do before we take the Kushimitama.\Kill all the braves. response:	I must thank you...
context: I bet you thought I died at Izumo.\Unfortunately for you, I'm quite resilient.\Are you thinking you've led me far enough away?\Don't worry. You're my target today.\Me?\There's something we have to do before we take the Kushimitama.\Kill all the braves.\I must thank you... response:	Of course, your exceedingly tight defenses...
context: Unfortunately for you, I'm quite resilient.\Are you thinking you've led me far enough away?\Don't worry. You're my target today.\Me?\There's something we have to do before we take the Kushimitama.\Kill all the braves.\I must thank you...\Of course, your exceedingly tight defenses... response:	You're the one Ana's working for!
context: Are you thinking you've led me far enough away?\Don't worry. You're my target today.\Me?\There's something we have to do before we take the Kushimitama.\Kill all the braves.\I must thank you...\Of course, your exceedingly tight defenses...\You're the one Ana's working for! response:	I will kill you with all the gratitude and hatred I have.
context: Don't worry. You're my target today.\Me?\There's something we have to do before we take the Kushimitama.\Kill all the braves.\I must thank you...\Of course, your exceedingly tight defenses...\You're the one Ana's working for!\I will kill you with all the gratitude and hatred I have. response:	I have decided to murder you most brutally.
context: Me?\There's something we have to do before we take the Kushimitama.\Kill all the braves.\I must thank you...\Of course, your exceedingly tight defenses...\You're the one Ana's working for!\I will kill you with all the gratitude and hatred I have.\I have decided to murder you most brutally. response:	You're starting your killing spree with me, then?
context: There's something we have to do before we take the Kushimitama.\Kill all the braves.\I must thank you...\Of course, your exceedingly tight defenses...\You're the one Ana's working for!\I will kill you with all the gratitude and hatred I have.\I have decided to murder you most brutally.\You're starting your killing spree with me, then? response:	Starting with you?
context: Kill all the braves.\I must thank you...\Of course, your exceedingly tight defenses...\You're the one Ana's working for!\I will kill you with all the gratitude and hatred I have.\I have decided to murder you most brutally.\You're starting your killing spree with me, then?\Starting with you? response:	No, it has already begun.
context: I must thank you...\Of course, your exceedingly tight defenses...\You're the one Ana's working for!\I will kill you with all the gratitude and hatred I have.\I have decided to murder you most brutally.\You're starting your killing spree with me, then?\Starting with you?\No, it has already begun. response:	The tragedy of the Five Iga Ninja and the Braves.
context: Of course, your exceedingly tight defenses...\You're the one Ana's working for!\I will kill you with all the gratitude and hatred I have.\I have decided to murder you most brutally.\You're starting your killing spree with me, then?\Starting with you?\No, it has already begun.\The tragedy of the Five Iga Ninja and the Braves. response:	The Five Iga Ninja.
context: You're the one Ana's working for!\I will kill you with all the gratitude and hatred I have.\I have decided to murder you most brutally.\You're starting your killing spree with me, then?\Starting with you?\No, it has already begun.\The tragedy of the Five Iga Ninja and the Braves.\The Five Iga Ninja. response:	Speed, strength, deception, sorcery, and mercilessness.
context: I will kill you with all the gratitude and hatred I have.\I have decided to murder you most brutally.\You're starting your killing spree with me, then?\Starting with you?\No, it has already begun.\The tragedy of the Five Iga Ninja and the Braves.\The Five Iga Ninja.\Speed, strength, deception, sorcery, and mercilessness. response:	Against the five of us who have mastered the five ninja techniques,
context: I have decided to murder you most brutally.\You're starting your killing spree with me, then?\Starting with you?\No, it has already begun.\The tragedy of the Five Iga Ninja and the Braves.\The Five Iga Ninja.\Speed, strength, deception, sorcery, and mercilessness.\Against the five of us who have mastered the five ninja techniques, response:	the braves are nothing more than a flock of fools.
context: You're starting your killing spree with me, then?\Starting with you?\No, it has already begun.\The tragedy of the Five Iga Ninja and the Braves.\The Five Iga Ninja.\Speed, strength, deception, sorcery, and mercilessness.\Against the five of us who have mastered the five ninja techniques,\the braves are nothing more than a flock of fools. response:	Killing all of you will be no trouble at all.
context: Starting with you?\No, it has already begun.\The tragedy of the Five Iga Ninja and the Braves.\The Five Iga Ninja.\Speed, strength, deception, sorcery, and mercilessness.\Against the five of us who have mastered the five ninja techniques,\the braves are nothing more than a flock of fools.\Killing all of you will be no trouble at all. response:	I'm sure you understand.
context: No, it has already begun.\The tragedy of the Five Iga Ninja and the Braves.\The Five Iga Ninja.\Speed, strength, deception, sorcery, and mercilessness.\Against the five of us who have mastered the five ninja techniques,\the braves are nothing more than a flock of fools.\Killing all of you will be no trouble at all.\I'm sure you understand. response:	You're an Iga ninja.
context: The tragedy of the Five Iga Ninja and the Braves.\The Five Iga Ninja.\Speed, strength, deception, sorcery, and mercilessness.\Against the five of us who have mastered the five ninja techniques,\the braves are nothing more than a flock of fools.\Killing all of you will be no trouble at all.\I'm sure you understand.\You're an Iga ninja. response:	Sasuke?
context: The Five Iga Ninja.\Speed, strength, deception, sorcery, and mercilessness.\Against the five of us who have mastered the five ninja techniques,\the braves are nothing more than a flock of fools.\Killing all of you will be no trouble at all.\I'm sure you understand.\You're an Iga ninja.\Sasuke? response:	What is going on?
context: Speed, strength, deception, sorcery, and mercilessness.\Against the five of us who have mastered the five ninja techniques,\the braves are nothing more than a flock of fools.\Killing all of you will be no trouble at all.\I'm sure you understand.\You're an Iga ninja.\Sasuke?\What is going on? response:	We were lured out here.
context: Against the five of us who have mastered the five ninja techniques,\the braves are nothing more than a flock of fools.\Killing all of you will be no trouble at all.\I'm sure you understand.\You're an Iga ninja.\Sasuke?\What is going on?\We were lured out here. response:	What do you mean, lured?
context: the braves are nothing more than a flock of fools.\Killing all of you will be no trouble at all.\I'm sure you understand.\You're an Iga ninja.\Sasuke?\What is going on?\We were lured out here.\What do you mean, lured? response:	Caught two bugs in my trap.
context: Killing all of you will be no trouble at all.\I'm sure you understand.\You're an Iga ninja.\Sasuke?\What is going on?\We were lured out here.\What do you mean, lured?\Caught two bugs in my trap. response:	I've been looking forward to meeting you.
context: I'm sure you understand.\You're an Iga ninja.\Sasuke?\What is going on?\We were lured out here.\What do you mean, lured?\Caught two bugs in my trap.\I've been looking forward to meeting you. response:	I'm so excited.
context: You're an Iga ninja.\Sasuke?\What is going on?\We were lured out here.\What do you mean, lured?\Caught two bugs in my trap.\I've been looking forward to meeting you.\I'm so excited. response:	What is that monstrous spider?
context: Sasuke?\What is going on?\We were lured out here.\What do you mean, lured?\Caught two bugs in my trap.\I've been looking forward to meeting you.\I'm so excited.\What is that monstrous spider? response:	Who are you?
context: What is going on?\We were lured out here.\What do you mean, lured?\Caught two bugs in my trap.\I've been looking forward to meeting you.\I'm so excited.\What is that monstrous spider?\Who are you? response:	One of the Five Iga Ninja.
context: We were lured out here.\What do you mean, lured?\Caught two bugs in my trap.\I've been looking forward to meeting you.\I'm so excited.\What is that monstrous spider?\Who are you?\One of the Five Iga Ninja. response:	Kaio, master of insects.
context: What do you mean, lured?\Caught two bugs in my trap.\I've been looking forward to meeting you.\I'm so excited.\What is that monstrous spider?\Who are you?\One of the Five Iga Ninja.\Kaio, master of insects. response:	It's a pleasure to meet you.
context: Caught two bugs in my trap.\I've been looking forward to meeting you.\I'm so excited.\What is that monstrous spider?\Who are you?\One of the Five Iga Ninja.\Kaio, master of insects.\It's a pleasure to meet you. response:	Five Iga Ninja.
context: I've been looking forward to meeting you.\I'm so excited.\What is that monstrous spider?\Who are you?\One of the Five Iga Ninja.\Kaio, master of insects.\It's a pleasure to meet you.\Five Iga Ninja. response:	You know of them?
context: I'm so excited.\What is that monstrous spider?\Who are you?\One of the Five Iga Ninja.\Kaio, master of insects.\It's a pleasure to meet you.\Five Iga Ninja.\You know of them? response:	Secret ninja. Identities unknown.
context: What is that monstrous spider?\Who are you?\One of the Five Iga Ninja.\Kaio, master of insects.\It's a pleasure to meet you.\Five Iga Ninja.\You know of them?\Secret ninja. Identities unknown. response:	Unusual techniques.
context: Who are you?\One of the Five Iga Ninja.\Kaio, master of insects.\It's a pleasure to meet you.\Five Iga Ninja.\You know of them?\Secret ninja. Identities unknown.\Unusual techniques. response:	Ninja who specialize in killing other ninja.
context: One of the Five Iga Ninja.\Kaio, master of insects.\It's a pleasure to meet you.\Five Iga Ninja.\You know of them?\Secret ninja. Identities unknown.\Unusual techniques.\Ninja who specialize in killing other ninja. response:	What are they doing in Ueda?
context: Kaio, master of insects.\It's a pleasure to meet you.\Five Iga Ninja.\You know of them?\Secret ninja. Identities unknown.\Unusual techniques.\Ninja who specialize in killing other ninja.\What are they doing in Ueda? response:	I will answer that.
context: It's a pleasure to meet you.\Five Iga Ninja.\You know of them?\Secret ninja. Identities unknown.\Unusual techniques.\Ninja who specialize in killing other ninja.\What are they doing in Ueda?\I will answer that. response:	Our leader instructed us to kill...
context: Five Iga Ninja.\You know of them?\Secret ninja. Identities unknown.\Unusual techniques.\Ninja who specialize in killing other ninja.\What are they doing in Ueda?\I will answer that.\Our leader instructed us to kill... response:	Of course, I have my own reasons for wanting to kill the two of you.
context: You know of them?\Secret ninja. Identities unknown.\Unusual techniques.\Ninja who specialize in killing other ninja.\What are they doing in Ueda?\I will answer that.\Our leader instructed us to kill...\Of course, I have my own reasons for wanting to kill the two of you. response:	Personal reasons? I know not of what you speak.
context: Secret ninja. Identities unknown.\Unusual techniques.\Ninja who specialize in killing other ninja.\What are they doing in Ueda?\I will answer that.\Our leader instructed us to kill...\Of course, I have my own reasons for wanting to kill the two of you.\Personal reasons? I know not of what you speak. response:	I assure you, I do.
context: Unusual techniques.\Ninja who specialize in killing other ninja.\What are they doing in Ueda?\I will answer that.\Our leader instructed us to kill...\Of course, I have my own reasons for wanting to kill the two of you.\Personal reasons? I know not of what you speak.\I assure you, I do. response:	I must avenge my sister Okatsu.
context: Ninja who specialize in killing other ninja.\What are they doing in Ueda?\I will answer that.\Our leader instructed us to kill...\Of course, I have my own reasons for wanting to kill the two of you.\Personal reasons? I know not of what you speak.\I assure you, I do.\I must avenge my sister Okatsu. response:	Get it now?
context: What are they doing in Ueda?\I will answer that.\Our leader instructed us to kill...\Of course, I have my own reasons for wanting to kill the two of you.\Personal reasons? I know not of what you speak.\I assure you, I do.\I must avenge my sister Okatsu.\Get it now? response:	On your guard!
context: I will answer that.\Our leader instructed us to kill...\Of course, I have my own reasons for wanting to kill the two of you.\Personal reasons? I know not of what you speak.\I assure you, I do.\I must avenge my sister Okatsu.\Get it now?\On your guard! response:	That's it. That's it!
context: Our leader instructed us to kill...\Of course, I have my own reasons for wanting to kill the two of you.\Personal reasons? I know not of what you speak.\I assure you, I do.\I must avenge my sister Okatsu.\Get it now?\On your guard!\That's it. That's it! response:	All gods are the same.
context: Of course, I have my own reasons for wanting to kill the two of you.\Personal reasons? I know not of what you speak.\I assure you, I do.\I must avenge my sister Okatsu.\Get it now?\On your guard!\That's it. That's it!\All gods are the same. response:	The more you believe, the more you will be saved.
context: Personal reasons? I know not of what you speak.\I assure you, I do.\I must avenge my sister Okatsu.\Get it now?\On your guard!\That's it. That's it!\All gods are the same.\The more you believe, the more you will be saved. response:	Whether she's a creature of the underworld,
context: I assure you, I do.\I must avenge my sister Okatsu.\Get it now?\On your guard!\That's it. That's it!\All gods are the same.\The more you believe, the more you will be saved.\Whether she's a creature of the underworld, response:	or Izanami no Mikoto, she's still a god.
context: I must avenge my sister Okatsu.\Get it now?\On your guard!\That's it. That's it!\All gods are the same.\The more you believe, the more you will be saved.\Whether she's a creature of the underworld,\or Izanami no Mikoto, she's still a god. response:	I simply need to have faith in my sister.
context: Get it now?\On your guard!\That's it. That's it!\All gods are the same.\The more you believe, the more you will be saved.\Whether she's a creature of the underworld,\or Izanami no Mikoto, she's still a god.\I simply need to have faith in my sister. response:	My sister is my true god.
