context: True Calendar year 71. response:	In this year, which would later come be known as the first year of the Third Galactic Empire,
context: It's apparently an eating contest to decide who gets to use the school field.\I can't believe high schoolers would still be fighting over who gets to use the track...\I think it's fine. At least it's peaceful.\Haruto!\We were counting on you, man...\Way to blow it, Haruto...\I told you I didn't want to do it...\Didn't matter. We rock-paper-scissored for it, and you lost. response:	The odds of the loser winning the next time are
context: I can't believe high schoolers would still be fighting over who gets to use the track...\I think it's fine. At least it's peaceful.\Haruto!\We were counting on you, man...\Way to blow it, Haruto...\I told you I didn't want to do it...\Didn't matter. We rock-paper-scissored for it, and you lost.\The odds of the loser winning the next time are response:	Zero. Totally zero. Haruto has absolutely no head for competitions.
context: I think it's fine. At least it's peaceful.\Haruto!\We were counting on you, man...\Way to blow it, Haruto...\I told you I didn't want to do it...\Didn't matter. We rock-paper-scissored for it, and you lost.\The odds of the loser winning the next time are\Zero. Totally zero. Haruto has absolutely no head for competitions. response:	Someone in a weird shirt like that has no room to talk.
context: Haruto!\We were counting on you, man...\Way to blow it, Haruto...\I told you I didn't want to do it...\Didn't matter. We rock-paper-scissored for it, and you lost.\The odds of the loser winning the next time are\Zero. Totally zero. Haruto has absolutely no head for competitions.\Someone in a weird shirt like that has no room to talk. response:	Weird?
context: We were counting on you, man...\Way to blow it, Haruto...\I told you I didn't want to do it...\Didn't matter. We rock-paper-scissored for it, and you lost.\The odds of the loser winning the next time are\Zero. Totally zero. Haruto has absolutely no head for competitions.\Someone in a weird shirt like that has no room to talk.\Weird? response:	Marie?
context: Way to blow it, Haruto...\I told you I didn't want to do it...\Didn't matter. We rock-paper-scissored for it, and you lost.\The odds of the loser winning the next time are\Zero. Totally zero. Haruto has absolutely no head for competitions.\Someone in a weird shirt like that has no room to talk.\Weird?\Marie? response:	You, Shoko!
context: I told you I didn't want to do it...\Didn't matter. We rock-paper-scissored for it, and you lost.\The odds of the loser winning the next time are\Zero. Totally zero. Haruto has absolutely no head for competitions.\Someone in a weird shirt like that has no room to talk.\Weird?\Marie?\You, Shoko! response:	The weather in the module is fair today, and Hm?
context: Didn't matter. We rock-paper-scissored for it, and you lost.\The odds of the loser winning the next time are\Zero. Totally zero. Haruto has absolutely no head for competitions.\Someone in a weird shirt like that has no room to talk.\Weird?\Marie?\You, Shoko!\The weather in the module is fair today, and Hm? response:	Your manifest said that there were two transfer students.
context: The odds of the loser winning the next time are\Zero. Totally zero. Haruto has absolutely no head for competitions.\Someone in a weird shirt like that has no room to talk.\Weird?\Marie?\You, Shoko!\The weather in the module is fair today, and Hm?\Your manifest said that there were two transfer students. response:	Peace has made this JIOR country soft.
context: Zero. Totally zero. Haruto has absolutely no head for competitions.\Someone in a weird shirt like that has no room to talk.\Weird?\Marie?\You, Shoko!\The weather in the module is fair today, and Hm?\Your manifest said that there were two transfer students.\Peace has made this JIOR country soft. response:	In short, this was settled by the balance of power between the countries of Dorssia and ARUS.
context: Someone in a weird shirt like that has no room to talk.\Weird?\Marie?\You, Shoko!\The weather in the module is fair today, and Hm?\Your manifest said that there were two transfer students.\Peace has made this JIOR country soft.\In short, this was settled by the balance of power between the countries of Dorssia and ARUS. response:	The defining characteristic of both countries is that they developed
context: Weird?\Marie?\You, Shoko!\The weather in the module is fair today, and Hm?\Your manifest said that there were two transfer students.\Peace has made this JIOR country soft.\In short, this was settled by the balance of power between the countries of Dorssia and ARUS.\The defining characteristic of both countries is that they developed response:	and expanded by means of multinational treaties.
context: Marie?\You, Shoko!\The weather in the module is fair today, and Hm?\Your manifest said that there were two transfer students.\Peace has made this JIOR country soft.\In short, this was settled by the balance of power between the countries of Dorssia and ARUS.\The defining characteristic of both countries is that they developed\and expanded by means of multinational treaties. response:	Tell us what will be on the test, already!
context: You, Shoko!\The weather in the module is fair today, and Hm?\Your manifest said that there were two transfer students.\Peace has made this JIOR country soft.\In short, this was settled by the balance of power between the countries of Dorssia and ARUS.\The defining characteristic of both countries is that they developed\and expanded by means of multinational treaties.\Tell us what will be on the test, already! response:	What do you expect, this school has only been open for three years.
context: The weather in the module is fair today, and Hm?\Your manifest said that there were two transfer students.\Peace has made this JIOR country soft.\In short, this was settled by the balance of power between the countries of Dorssia and ARUS.\The defining characteristic of both countries is that they developed\and expanded by means of multinational treaties.\Tell us what will be on the test, already!\What do you expect, this school has only been open for three years. response:	And it would be a total hassle to go back to Earth.
context: Your manifest said that there were two transfer students.\Peace has made this JIOR country soft.\In short, this was settled by the balance of power between the countries of Dorssia and ARUS.\The defining characteristic of both countries is that they developed\and expanded by means of multinational treaties.\Tell us what will be on the test, already!\What do you expect, this school has only been open for three years.\And it would be a total hassle to go back to Earth. response:	Hey this school is really pretty.
context: Peace has made this JIOR country soft.\In short, this was settled by the balance of power between the countries of Dorssia and ARUS.\The defining characteristic of both countries is that they developed\and expanded by means of multinational treaties.\Tell us what will be on the test, already!\What do you expect, this school has only been open for three years.\And it would be a total hassle to go back to Earth.\Hey this school is really pretty. response:	How do I register someone as a Wired friend?
context: In short, this was settled by the balance of power between the countries of Dorssia and ARUS.\The defining characteristic of both countries is that they developed\and expanded by means of multinational treaties.\Tell us what will be on the test, already!\What do you expect, this school has only been open for three years.\And it would be a total hassle to go back to Earth.\Hey this school is really pretty.\How do I register someone as a Wired friend? response:	Hey have you heard the story about the legendary shrine?
context: The defining characteristic of both countries is that they developed\and expanded by means of multinational treaties.\Tell us what will be on the test, already!\What do you expect, this school has only been open for three years.\And it would be a total hassle to go back to Earth.\Hey this school is really pretty.\How do I register someone as a Wired friend?\Hey have you heard the story about the legendary shrine? response:	Yeah! They say it'll make sure your love is reciprocated.
context: and expanded by means of multinational treaties.\Tell us what will be on the test, already!\What do you expect, this school has only been open for three years.\And it would be a total hassle to go back to Earth.\Hey this school is really pretty.\How do I register someone as a Wired friend?\Hey have you heard the story about the legendary shrine?\Yeah! They say it'll make sure your love is reciprocated. response:	So anyway have you heard?
context: Tell us what will be on the test, already!\What do you expect, this school has only been open for three years.\And it would be a total hassle to go back to Earth.\Hey this school is really pretty.\How do I register someone as a Wired friend?\Hey have you heard the story about the legendary shrine?\Yeah! They say it'll make sure your love is reciprocated.\So anyway have you heard? response:	They say the Dorssia Mil-Fed is violating our territorial space again.
context: What do you expect, this school has only been open for three years.\And it would be a total hassle to go back to Earth.\Hey this school is really pretty.\How do I register someone as a Wired friend?\Hey have you heard the story about the legendary shrine?\Yeah! They say it'll make sure your love is reciprocated.\So anyway have you heard?\They say the Dorssia Mil-Fed is violating our territorial space again. response:	They'll probably settle with us by paying a fine.
context: And it would be a total hassle to go back to Earth.\Hey this school is really pretty.\How do I register someone as a Wired friend?\Hey have you heard the story about the legendary shrine?\Yeah! They say it'll make sure your love is reciprocated.\So anyway have you heard?\They say the Dorssia Mil-Fed is violating our territorial space again.\They'll probably settle with us by paying a fine. response:	Geez, again?
context: Hey this school is really pretty.\How do I register someone as a Wired friend?\Hey have you heard the story about the legendary shrine?\Yeah! They say it'll make sure your love is reciprocated.\So anyway have you heard?\They say the Dorssia Mil-Fed is violating our territorial space again.\They'll probably settle with us by paying a fine.\Geez, again? response:	Man that's so lame.
context: How do I register someone as a Wired friend?\Hey have you heard the story about the legendary shrine?\Yeah! They say it'll make sure your love is reciprocated.\So anyway have you heard?\They say the Dorssia Mil-Fed is violating our territorial space again.\They'll probably settle with us by paying a fine.\Geez, again?\Man that's so lame. response:	I'm fine with it. It's more economical than having a military right?
context: Hey have you heard the story about the legendary shrine?\Yeah! They say it'll make sure your love is reciprocated.\So anyway have you heard?\They say the Dorssia Mil-Fed is violating our territorial space again.\They'll probably settle with us by paying a fine.\Geez, again?\Man that's so lame.\I'm fine with it. It's more economical than having a military right? response:	You saying that sums up everything that's wrong with this country.
context: Yeah! They say it'll make sure your love is reciprocated.\So anyway have you heard?\They say the Dorssia Mil-Fed is violating our territorial space again.\They'll probably settle with us by paying a fine.\Geez, again?\Man that's so lame.\I'm fine with it. It's more economical than having a military right?\You saying that sums up everything that's wrong with this country. response:	Hey Haruto. Aren't you ever going to tell Shoko how you feel?
context: So anyway have you heard?\They say the Dorssia Mil-Fed is violating our territorial space again.\They'll probably settle with us by paying a fine.\Geez, again?\Man that's so lame.\I'm fine with it. It's more economical than having a military right?\You saying that sums up everything that's wrong with this country.\Hey Haruto. Aren't you ever going to tell Shoko how you feel? response:	What's up?
context: They say the Dorssia Mil-Fed is violating our territorial space again.\They'll probably settle with us by paying a fine.\Geez, again?\Man that's so lame.\I'm fine with it. It's more economical than having a military right?\You saying that sums up everything that's wrong with this country.\Hey Haruto. Aren't you ever going to tell Shoko how you feel?\What's up? response:	It's nothing. Just forget it.
context: They'll probably settle with us by paying a fine.\Geez, again?\Man that's so lame.\I'm fine with it. It's more economical than having a military right?\You saying that sums up everything that's wrong with this country.\Hey Haruto. Aren't you ever going to tell Shoko how you feel?\What's up?\It's nothing. Just forget it. response:	Really?
context: Geez, again?\Man that's so lame.\I'm fine with it. It's more economical than having a military right?\You saying that sums up everything that's wrong with this country.\Hey Haruto. Aren't you ever going to tell Shoko how you feel?\What's up?\It's nothing. Just forget it.\Really? response:	Yeah.
context: Man that's so lame.\I'm fine with it. It's more economical than having a military right?\You saying that sums up everything that's wrong with this country.\Hey Haruto. Aren't you ever going to tell Shoko how you feel?\What's up?\It's nothing. Just forget it.\Really?\Yeah. response:	She's gonna get snatchet up by somebody else. Don't come crying to me when she does.
context: I'm fine with it. It's more economical than having a military right?\You saying that sums up everything that's wrong with this country.\Hey Haruto. Aren't you ever going to tell Shoko how you feel?\What's up?\It's nothing. Just forget it.\Really?\Yeah.\She's gonna get snatchet up by somebody else. Don't come crying to me when she does. response:	Hey.
context: You saying that sums up everything that's wrong with this country.\Hey Haruto. Aren't you ever going to tell Shoko how you feel?\What's up?\It's nothing. Just forget it.\Really?\Yeah.\She's gonna get snatchet up by somebody else. Don't come crying to me when she does.\Hey. response:	You've been staring at me like a freak.
context: Hey Haruto. Aren't you ever going to tell Shoko how you feel?\What's up?\It's nothing. Just forget it.\Really?\Yeah.\She's gonna get snatchet up by somebody else. Don't come crying to me when she does.\Hey.\You've been staring at me like a freak. response:	You have something on there.
context: What's up?\It's nothing. Just forget it.\Really?\Yeah.\She's gonna get snatchet up by somebody else. Don't come crying to me when she does.\Hey.\You've been staring at me like a freak.\You have something on there. response:	Show me!
context: It's nothing. Just forget it.\Really?\Yeah.\She's gonna get snatchet up by somebody else. Don't come crying to me when she does.\Hey.\You've been staring at me like a freak.\You have something on there.\Show me! response:	There's nothing! Nothing!
context: Really?\Yeah.\She's gonna get snatchet up by somebody else. Don't come crying to me when she does.\Hey.\You've been staring at me like a freak.\You have something on there.\Show me!\There's nothing! Nothing! response:	If it's nothing, then you shouldn't mind me seeing it.
context: Yeah.\She's gonna get snatchet up by somebody else. Don't come crying to me when she does.\Hey.\You've been staring at me like a freak.\You have something on there.\Show me!\There's nothing! Nothing!\If it's nothing, then you shouldn't mind me seeing it. response:	Come on, there's nothing on it!
context: She's gonna get snatchet up by somebody else. Don't come crying to me when she does.\Hey.\You've been staring at me like a freak.\You have something on there.\Show me!\There's nothing! Nothing!\If it's nothing, then you shouldn't mind me seeing it.\Come on, there's nothing on it! response:	There is!
context: Hey.\You've been staring at me like a freak.\You have something on there.\Show me!\There's nothing! Nothing!\If it's nothing, then you shouldn't mind me seeing it.\Come on, there's nothing on it!\There is! response:	Hey!
context: You've been staring at me like a freak.\You have something on there.\Show me!\There's nothing! Nothing!\If it's nothing, then you shouldn't mind me seeing it.\Come on, there's nothing on it!\There is!\Hey! response:	Pass!
context: You have something on there.\Show me!\There's nothing! Nothing!\If it's nothing, then you shouldn't mind me seeing it.\Come on, there's nothing on it!\There is!\Hey!\Pass! response:	Nice!
context: Show me!\There's nothing! Nothing!\If it's nothing, then you shouldn't mind me seeing it.\Come on, there's nothing on it!\There is!\Hey!\Pass!\Nice! response:	G-Give it back! If you don't give it back you and I are through as friends!
context: There's nothing! Nothing!\If it's nothing, then you shouldn't mind me seeing it.\Come on, there's nothing on it!\There is!\Hey!\Pass!\Nice!\G-Give it back! If you don't give it back you and I are through as friends! response:	Then answer me. Why were you looking at me?
context: If it's nothing, then you shouldn't mind me seeing it.\Come on, there's nothing on it!\There is!\Hey!\Pass!\Nice!\G-Give it back! If you don't give it back you and I are through as friends!\Then answer me. Why were you looking at me? response:	Well...
context: Come on, there's nothing on it!\There is!\Hey!\Pass!\Nice!\G-Give it back! If you don't give it back you and I are through as friends!\Then answer me. Why were you looking at me?\Well... response:	I was only thinking, She'd be beautiful, if she kept quiet...
context: There is!\Hey!\Pass!\Nice!\G-Give it back! If you don't give it back you and I are through as friends!\Then answer me. Why were you looking at me?\Well...\I was only thinking, She'd be beautiful, if she kept quiet... response:	W-Wha?!
context: Hey!\Pass!\Nice!\G-Give it back! If you don't give it back you and I are through as friends!\Then answer me. Why were you looking at me?\Well...\I was only thinking, She'd be beautiful, if she kept quiet...\W-Wha?! response:	I just mean, maybe you could keep your mouth shut!
context: Pass!\Nice!\G-Give it back! If you don't give it back you and I are through as friends!\Then answer me. Why were you looking at me?\Well...\I was only thinking, She'd be beautiful, if she kept quiet...\W-Wha?!\I just mean, maybe you could keep your mouth shut! response:	A restriction or something.
context: Nice!\G-Give it back! If you don't give it back you and I are through as friends!\Then answer me. Why were you looking at me?\Well...\I was only thinking, She'd be beautiful, if she kept quiet...\W-Wha?!\I just mean, maybe you could keep your mouth shut!\A restriction or something. response:	So I'm not?! When I talk?!
context: G-Give it back! If you don't give it back you and I are through as friends!\Then answer me. Why were you looking at me?\Well...\I was only thinking, She'd be beautiful, if she kept quiet...\W-Wha?!\I just mean, maybe you could keep your mouth shut!\A restriction or something.\So I'm not?! When I talk?! response:	No, not exactly...
context: Then answer me. Why were you looking at me?\Well...\I was only thinking, She'd be beautiful, if she kept quiet...\W-Wha?!\I just mean, maybe you could keep your mouth shut!\A restriction or something.\So I'm not?! When I talk?!\No, not exactly... response:	Then, I'm a... beauty?
context: Well...\I was only thinking, She'd be beautiful, if she kept quiet...\W-Wha?!\I just mean, maybe you could keep your mouth shut!\A restriction or something.\So I'm not?! When I talk?!\No, not exactly...\Then, I'm a... beauty? response:	No, that's not right, either.
context: I was only thinking, She'd be beautiful, if she kept quiet...\W-Wha?!\I just mean, maybe you could keep your mouth shut!\A restriction or something.\So I'm not?! When I talk?!\No, not exactly...\Then, I'm a... beauty?\No, that's not right, either. response:	So which am I?!
context: W-Wha?!\I just mean, maybe you could keep your mouth shut!\A restriction or something.\So I'm not?! When I talk?!\No, not exactly...\Then, I'm a... beauty?\No, that's not right, either.\So which am I?! response:	Ah, to be young...
context: I just mean, maybe you could keep your mouth shut!\A restriction or something.\So I'm not?! When I talk?!\No, not exactly...\Then, I'm a... beauty?\No, that's not right, either.\So which am I?!\Ah, to be young... response:	Inuzuka-senpai, you're always talking about money.
context: A restriction or something.\So I'm not?! When I talk?!\No, not exactly...\Then, I'm a... beauty?\No, that's not right, either.\So which am I?!\Ah, to be young...\Inuzuka-senpai, you're always talking about money. response:	Because I plan to become the richest person in the world someday.
context: So I'm not?! When I talk?!\No, not exactly...\Then, I'm a... beauty?\No, that's not right, either.\So which am I?!\Ah, to be young...\Inuzuka-senpai, you're always talking about money.\Because I plan to become the richest person in the world someday. response:	If you're going to dream dream big, huh?
context: No, not exactly...\Then, I'm a... beauty?\No, that's not right, either.\So which am I?!\Ah, to be young...\Inuzuka-senpai, you're always talking about money.\Because I plan to become the richest person in the world someday.\If you're going to dream dream big, huh? response:	Miss?
context: Then, I'm a... beauty?\No, that's not right, either.\So which am I?!\Ah, to be young...\Inuzuka-senpai, you're always talking about money.\Because I plan to become the richest person in the world someday.\If you're going to dream dream big, huh?\Miss? response:	Do you have a moment?
context: No, that's not right, either.\So which am I?!\Ah, to be young...\Inuzuka-senpai, you're always talking about money.\Because I plan to become the richest person in the world someday.\If you're going to dream dream big, huh?\Miss?\Do you have a moment? response:	If you don't mind, could we trouble you for directions?
context: So which am I?!\Ah, to be young...\Inuzuka-senpai, you're always talking about money.\Because I plan to become the richest person in the world someday.\If you're going to dream dream big, huh?\Miss?\Do you have a moment?\If you don't mind, could we trouble you for directions? response:	Huh? Um...
context: Ah, to be young...\Inuzuka-senpai, you're always talking about money.\Because I plan to become the richest person in the world someday.\If you're going to dream dream big, huh?\Miss?\Do you have a moment?\If you don't mind, could we trouble you for directions?\Huh? Um... response:	Your skirt is cute!
context: Inuzuka-senpai, you're always talking about money.\Because I plan to become the richest person in the world someday.\If you're going to dream dream big, huh?\Miss?\Do you have a moment?\If you don't mind, could we trouble you for directions?\Huh? Um...\Your skirt is cute! response:	Butt out. I'm talking to her.
context: Because I plan to become the richest person in the world someday.\If you're going to dream dream big, huh?\Miss?\Do you have a moment?\If you don't mind, could we trouble you for directions?\Huh? Um...\Your skirt is cute!\Butt out. I'm talking to her. response:	You're so uptight. Are you asking her to the dance or something?
context: If you're going to dream dream big, huh?\Miss?\Do you have a moment?\If you don't mind, could we trouble you for directions?\Huh? Um...\Your skirt is cute!\Butt out. I'm talking to her.\You're so uptight. Are you asking her to the dance or something? response:	I prefer to mind my manners at all times.
context: Miss?\Do you have a moment?\If you don't mind, could we trouble you for directions?\Huh? Um...\Your skirt is cute!\Butt out. I'm talking to her.\You're so uptight. Are you asking her to the dance or something?\I prefer to mind my manners at all times. response:	We should keep contact with the locals to a minimum.
context: Do you have a moment?\If you don't mind, could we trouble you for directions?\Huh? Um...\Your skirt is cute!\Butt out. I'm talking to her.\You're so uptight. Are you asking her to the dance or something?\I prefer to mind my manners at all times.\We should keep contact with the locals to a minimum. response:	Hey, wait! Do you know the way?
context: If you don't mind, could we trouble you for directions?\Huh? Um...\Your skirt is cute!\Butt out. I'm talking to her.\You're so uptight. Are you asking her to the dance or something?\I prefer to mind my manners at all times.\We should keep contact with the locals to a minimum.\Hey, wait! Do you know the way? response:	The sprinklers.
context: Huh? Um...\Your skirt is cute!\Butt out. I'm talking to her.\You're so uptight. Are you asking her to the dance or something?\I prefer to mind my manners at all times.\We should keep contact with the locals to a minimum.\Hey, wait! Do you know the way?\The sprinklers. response:	What did you say?
context: Your skirt is cute!\Butt out. I'm talking to her.\You're so uptight. Are you asking her to the dance or something?\I prefer to mind my manners at all times.\We should keep contact with the locals to a minimum.\Hey, wait! Do you know the way?\The sprinklers.\What did you say? response:	The sprinklers are spaced one every 13 meters,
context: Butt out. I'm talking to her.\You're so uptight. Are you asking her to the dance or something?\I prefer to mind my manners at all times.\We should keep contact with the locals to a minimum.\Hey, wait! Do you know the way?\The sprinklers.\What did you say?\The sprinklers are spaced one every 13 meters, response:	but they change to one every 12.5 meters in front of just that structure.
context: You're so uptight. Are you asking her to the dance or something?\I prefer to mind my manners at all times.\We should keep contact with the locals to a minimum.\Hey, wait! Do you know the way?\The sprinklers.\What did you say?\The sprinklers are spaced one every 13 meters,\but they change to one every 12.5 meters in front of just that structure. response:	There are 40 desks in each classroom visible through the windows.
context: I prefer to mind my manners at all times.\We should keep contact with the locals to a minimum.\Hey, wait! Do you know the way?\The sprinklers.\What did you say?\The sprinklers are spaced one every 13 meters,\but they change to one every 12.5 meters in front of just that structure.\There are 40 desks in each classroom visible through the windows. response:	Student body, 480.
context: We should keep contact with the locals to a minimum.\Hey, wait! Do you know the way?\The sprinklers.\What did you say?\The sprinklers are spaced one every 13 meters,\but they change to one every 12.5 meters in front of just that structure.\There are 40 desks in each classroom visible through the windows.\Student body, 480. response:	However, the structure was built using common layered construction.
context: Hey, wait! Do you know the way?\The sprinklers.\What did you say?\The sprinklers are spaced one every 13 meters,\but they change to one every 12.5 meters in front of just that structure.\There are 40 desks in each classroom visible through the windows.\Student body, 480.\However, the structure was built using common layered construction. response:	From a load-bearing standpoint, there is no room for extra facility personnel.
context: The sprinklers.\What did you say?\The sprinklers are spaced one every 13 meters,\but they change to one every 12.5 meters in front of just that structure.\There are 40 desks in each classroom visible through the windows.\Student body, 480.\However, the structure was built using common layered construction.\From a load-bearing standpoint, there is no room for extra facility personnel. response:	I must therefore conclude that it is beneath the building.
context: What did you say?\The sprinklers are spaced one every 13 meters,\but they change to one every 12.5 meters in front of just that structure.\There are 40 desks in each classroom visible through the windows.\Student body, 480.\However, the structure was built using common layered construction.\From a load-bearing standpoint, there is no room for extra facility personnel.\I must therefore conclude that it is beneath the building. response:	That's our boy...
context: The sprinklers are spaced one every 13 meters,\but they change to one every 12.5 meters in front of just that structure.\There are 40 desks in each classroom visible through the windows.\Student body, 480.\However, the structure was built using common layered construction.\From a load-bearing standpoint, there is no room for extra facility personnel.\I must therefore conclude that it is beneath the building.\That's our boy... response:	What year are those guys?
