context: Here we come! response:	It's the start of Inuyasha!
context: Koga and Sesshomaru...\They seem to be total opposites,\but they have one thing in common.\They're both on really bad terms with Inuyasha.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha! response:	Wait!
context: They seem to be total opposites,\but they have one thing in common.\They're both on really bad terms with Inuyasha.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Wait! response:	It's noteasy looking forfood in unfamiliar territory.
context: but they have one thing in common.\They're both on really bad terms with Inuyasha.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Wait!\It's noteasy looking forfood in unfamiliar territory. response:	Can't find a damned thing!
context: They're both on really bad terms with Inuyasha.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Wait!\It's noteasy looking forfood in unfamiliar territory.\Can't find a damned thing! response:	Bearit a bit longer.
context: Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Wait!\It's noteasy looking forfood in unfamiliar territory.\Can't find a damned thing!\Bearit a bit longer. response:	A little earlier we could've attacked a human village.
context: travel back in time!\To a Feudal Fairytale!\Inuyasha!\Wait!\It's noteasy looking forfood in unfamiliar territory.\Can't find a damned thing!\Bearit a bit longer.\A little earlier we could've attacked a human village. response:	But Koga ordered us not to botherhumans anymore.
context: To a Feudal Fairytale!\Inuyasha!\Wait!\It's noteasy looking forfood in unfamiliar territory.\Can't find a damned thing!\Bearit a bit longer.\A little earlier we could've attacked a human village.\But Koga ordered us not to botherhumans anymore. response:	And if we did, Kagome would hate us for it.
context: Inuyasha!\Wait!\It's noteasy looking forfood in unfamiliar territory.\Can't find a damned thing!\Bearit a bit longer.\A little earlier we could've attacked a human village.\But Koga ordered us not to botherhumans anymore.\And if we did, Kagome would hate us for it. response:	Boy, did we come far.
context: Wait!\It's noteasy looking forfood in unfamiliar territory.\Can't find a damned thing!\Bearit a bit longer.\A little earlier we could've attacked a human village.\But Koga ordered us not to botherhumans anymore.\And if we did, Kagome would hate us for it.\Boy, did we come far. response:	Yeah...
context: It's noteasy looking forfood in unfamiliar territory.\Can't find a damned thing!\Bearit a bit longer.\A little earlier we could've attacked a human village.\But Koga ordered us not to botherhumans anymore.\And if we did, Kagome would hate us for it.\Boy, did we come far.\Yeah... response:	There's a river, Jaken!
context: Can't find a damned thing!\Bearit a bit longer.\A little earlier we could've attacked a human village.\But Koga ordered us not to botherhumans anymore.\And if we did, Kagome would hate us for it.\Boy, did we come far.\Yeah...\There's a river, Jaken! response:	We can catch fish!
context: Bearit a bit longer.\A little earlier we could've attacked a human village.\But Koga ordered us not to botherhumans anymore.\And if we did, Kagome would hate us for it.\Boy, did we come far.\Yeah...\There's a river, Jaken!\We can catch fish! response:	Rin! Don't be too hasty!
context: A little earlier we could've attacked a human village.\But Koga ordered us not to botherhumans anymore.\And if we did, Kagome would hate us for it.\Boy, did we come far.\Yeah...\There's a river, Jaken!\We can catch fish!\Rin! Don't be too hasty! response:	What's that?
context: But Koga ordered us not to botherhumans anymore.\And if we did, Kagome would hate us for it.\Boy, did we come far.\Yeah...\There's a river, Jaken!\We can catch fish!\Rin! Don't be too hasty!\What's that? response:	What? A human child.
context: And if we did, Kagome would hate us for it.\Boy, did we come far.\Yeah...\There's a river, Jaken!\We can catch fish!\Rin! Don't be too hasty!\What's that?\What? A human child. response:	- Hey! Calm down, you guys. - Humans are no good.
context: Boy, did we come far.\Yeah...\There's a river, Jaken!\We can catch fish!\Rin! Don't be too hasty!\What's that?\What? A human child.\- Hey! Calm down, you guys. - Humans are no good. response:	All right! Ourwork's done. I'm going on ahead.
context: Yeah...\There's a river, Jaken!\We can catch fish!\Rin! Don't be too hasty!\What's that?\What? A human child.\- Hey! Calm down, you guys. - Humans are no good.\All right! Ourwork's done. I'm going on ahead. response:	You can eat whateveryou like in this village.
context: There's a river, Jaken!\We can catch fish!\Rin! Don't be too hasty!\What's that?\What? A human child.\- Hey! Calm down, you guys. - Humans are no good.\All right! Ourwork's done. I'm going on ahead.\You can eat whateveryou like in this village. response:	Jaken!
context: We can catch fish!\Rin! Don't be too hasty!\What's that?\What? A human child.\- Hey! Calm down, you guys. - Humans are no good.\All right! Ourwork's done. I'm going on ahead.\You can eat whateveryou like in this village.\Jaken! response:	I see... Rin was once attacked by wolves.
context: Rin! Don't be too hasty!\What's that?\What? A human child.\- Hey! Calm down, you guys. - Humans are no good.\All right! Ourwork's done. I'm going on ahead.\You can eat whateveryou like in this village.\Jaken!\I see... Rin was once attacked by wolves. response:	You there, wolves! Leave this area immediately!
context: What's that?\What? A human child.\- Hey! Calm down, you guys. - Humans are no good.\All right! Ourwork's done. I'm going on ahead.\You can eat whateveryou like in this village.\Jaken!\I see... Rin was once attacked by wolves.\You there, wolves! Leave this area immediately! response:	Why?
context: What? A human child.\- Hey! Calm down, you guys. - Humans are no good.\All right! Ourwork's done. I'm going on ahead.\You can eat whateveryou like in this village.\Jaken!\I see... Rin was once attacked by wolves.\You there, wolves! Leave this area immediately!\Why? response:	Besides, who'd you think we are?
context: - Hey! Calm down, you guys. - Humans are no good.\All right! Ourwork's done. I'm going on ahead.\You can eat whateveryou like in this village.\Jaken!\I see... Rin was once attacked by wolves.\You there, wolves! Leave this area immediately!\Why?\Besides, who'd you think we are? response:	We're the trusted henchmen of Koga,
context: All right! Ourwork's done. I'm going on ahead.\You can eat whateveryou like in this village.\Jaken!\I see... Rin was once attacked by wolves.\You there, wolves! Leave this area immediately!\Why?\Besides, who'd you think we are?\We're the trusted henchmen of Koga, response:	the young leader of the Wolf-Demon Tribe.
context: You can eat whateveryou like in this village.\Jaken!\I see... Rin was once attacked by wolves.\You there, wolves! Leave this area immediately!\Why?\Besides, who'd you think we are?\We're the trusted henchmen of Koga,\the young leader of the Wolf-Demon Tribe. response:	Hakkaku the shrewd one!
context: Jaken!\I see... Rin was once attacked by wolves.\You there, wolves! Leave this area immediately!\Why?\Besides, who'd you think we are?\We're the trusted henchmen of Koga,\the young leader of the Wolf-Demon Tribe.\Hakkaku the shrewd one! response:	And dimpled Ginta!
context: I see... Rin was once attacked by wolves.\You there, wolves! Leave this area immediately!\Why?\Besides, who'd you think we are?\We're the trusted henchmen of Koga,\the young leader of the Wolf-Demon Tribe.\Hakkaku the shrewd one!\And dimpled Ginta! response:	So there! Rememberus now?
context: You there, wolves! Leave this area immediately!\Why?\Besides, who'd you think we are?\We're the trusted henchmen of Koga,\the young leader of the Wolf-Demon Tribe.\Hakkaku the shrewd one!\And dimpled Ginta!\So there! Rememberus now? response:	Never heard of you.
context: Why?\Besides, who'd you think we are?\We're the trusted henchmen of Koga,\the young leader of the Wolf-Demon Tribe.\Hakkaku the shrewd one!\And dimpled Ginta!\So there! Rememberus now?\Never heard of you. response:	What?!
context: Besides, who'd you think we are?\We're the trusted henchmen of Koga,\the young leader of the Wolf-Demon Tribe.\Hakkaku the shrewd one!\And dimpled Ginta!\So there! Rememberus now?\Never heard of you.\What?! response:	Cowerin fear, you two!
context: We're the trusted henchmen of Koga,\the young leader of the Wolf-Demon Tribe.\Hakkaku the shrewd one!\And dimpled Ginta!\So there! Rememberus now?\Never heard of you.\What?!\Cowerin fear, you two! response:	It has been several centuries since I began serving Lord Sesshomaru!
context: the young leader of the Wolf-Demon Tribe.\Hakkaku the shrewd one!\And dimpled Ginta!\So there! Rememberus now?\Never heard of you.\What?!\Cowerin fear, you two!\It has been several centuries since I began serving Lord Sesshomaru! response:	Crossed through three thousand worlds have I, his most loyal follower!
context: Hakkaku the shrewd one!\And dimpled Ginta!\So there! Rememberus now?\Never heard of you.\What?!\Cowerin fear, you two!\It has been several centuries since I began serving Lord Sesshomaru!\Crossed through three thousand worlds have I, his most loyal follower! response:	I answerto the name Jaken!
context: And dimpled Ginta!\So there! Rememberus now?\Never heard of you.\What?!\Cowerin fear, you two!\It has been several centuries since I began serving Lord Sesshomaru!\Crossed through three thousand worlds have I, his most loyal follower!\I answerto the name Jaken! response:	You braggart!
context: So there! Rememberus now?\Never heard of you.\What?!\Cowerin fear, you two!\It has been several centuries since I began serving Lord Sesshomaru!\Crossed through three thousand worlds have I, his most loyal follower!\I answerto the name Jaken!\You braggart! response:	Never heard of you nor Sesshomaru!
context: Never heard of you.\What?!\Cowerin fear, you two!\It has been several centuries since I began serving Lord Sesshomaru!\Crossed through three thousand worlds have I, his most loyal follower!\I answerto the name Jaken!\You braggart!\Never heard of you nor Sesshomaru! response:	How dare you insult Lord Sesshomaru!
context: What?!\Cowerin fear, you two!\It has been several centuries since I began serving Lord Sesshomaru!\Crossed through three thousand worlds have I, his most loyal follower!\I answerto the name Jaken!\You braggart!\Never heard of you nor Sesshomaru!\How dare you insult Lord Sesshomaru! response:	We'll gladly fight you!
context: Cowerin fear, you two!\It has been several centuries since I began serving Lord Sesshomaru!\Crossed through three thousand worlds have I, his most loyal follower!\I answerto the name Jaken!\You braggart!\Never heard of you nor Sesshomaru!\How dare you insult Lord Sesshomaru!\We'll gladly fight you! response:	Jaken, what are you doing?
context: It has been several centuries since I began serving Lord Sesshomaru!\Crossed through three thousand worlds have I, his most loyal follower!\I answerto the name Jaken!\You braggart!\Never heard of you nor Sesshomaru!\How dare you insult Lord Sesshomaru!\We'll gladly fight you!\Jaken, what are you doing? response:	Lord Sesshomaru!
context: Crossed through three thousand worlds have I, his most loyal follower!\I answerto the name Jaken!\You braggart!\Never heard of you nor Sesshomaru!\How dare you insult Lord Sesshomaru!\We'll gladly fight you!\Jaken, what are you doing?\Lord Sesshomaru! response:	W-Who're you?!
context: I answerto the name Jaken!\You braggart!\Never heard of you nor Sesshomaru!\How dare you insult Lord Sesshomaru!\We'll gladly fight you!\Jaken, what are you doing?\Lord Sesshomaru!\W-Who're you?! response:	Wanna fight?
context: You braggart!\Never heard of you nor Sesshomaru!\How dare you insult Lord Sesshomaru!\We'll gladly fight you!\Jaken, what are you doing?\Lord Sesshomaru!\W-Who're you?!\Wanna fight? response:	We ain't running away!
context: Never heard of you nor Sesshomaru!\How dare you insult Lord Sesshomaru!\We'll gladly fight you!\Jaken, what are you doing?\Lord Sesshomaru!\W-Who're you?!\Wanna fight?\We ain't running away! response:	We ain't afraid!
context: How dare you insult Lord Sesshomaru!\We'll gladly fight you!\Jaken, what are you doing?\Lord Sesshomaru!\W-Who're you?!\Wanna fight?\We ain't running away!\We ain't afraid! response:	Rin...
context: We'll gladly fight you!\Jaken, what are you doing?\Lord Sesshomaru!\W-Who're you?!\Wanna fight?\We ain't running away!\We ain't afraid!\Rin... response:	Yes?
context: Jaken, what are you doing?\Lord Sesshomaru!\W-Who're you?!\Wanna fight?\We ain't running away!\We ain't afraid!\Rin...\Yes? response:	Weren't you going to catch fish?
context: Lord Sesshomaru!\W-Who're you?!\Wanna fight?\We ain't running away!\We ain't afraid!\Rin...\Yes?\Weren't you going to catch fish? response:	Oh yes!
context: W-Who're you?!\Wanna fight?\We ain't running away!\We ain't afraid!\Rin...\Yes?\Weren't you going to catch fish?\Oh yes! response:	H-He was kinda scary.
context: Wanna fight?\We ain't running away!\We ain't afraid!\Rin...\Yes?\Weren't you going to catch fish?\Oh yes!\H-He was kinda scary. response:	Didn't we see him before?
context: We ain't running away!\We ain't afraid!\Rin...\Yes?\Weren't you going to catch fish?\Oh yes!\H-He was kinda scary.\Didn't we see him before? response:	Say... the name Sesshomaru rings a bell.
context: We ain't afraid!\Rin...\Yes?\Weren't you going to catch fish?\Oh yes!\H-He was kinda scary.\Didn't we see him before?\Say... the name Sesshomaru rings a bell. response:	Wonderwho he was?
context: Rin...\Yes?\Weren't you going to catch fish?\Oh yes!\H-He was kinda scary.\Didn't we see him before?\Say... the name Sesshomaru rings a bell.\Wonderwho he was? response:	Anyway, let's go back to Koga.
context: Yes?\Weren't you going to catch fish?\Oh yes!\H-He was kinda scary.\Didn't we see him before?\Say... the name Sesshomaru rings a bell.\Wonderwho he was?\Anyway, let's go back to Koga. response:	Yeah... let's go!
context: Weren't you going to catch fish?\Oh yes!\H-He was kinda scary.\Didn't we see him before?\Say... the name Sesshomaru rings a bell.\Wonderwho he was?\Anyway, let's go back to Koga.\Yeah... let's go! response:	Why're you wandering around here, mutt?!
context: Oh yes!\H-He was kinda scary.\Didn't we see him before?\Say... the name Sesshomaru rings a bell.\Wonderwho he was?\Anyway, let's go back to Koga.\Yeah... let's go!\Why're you wandering around here, mutt?! response:	That's my line!
context: H-He was kinda scary.\Didn't we see him before?\Say... the name Sesshomaru rings a bell.\Wonderwho he was?\Anyway, let's go back to Koga.\Yeah... let's go!\Why're you wandering around here, mutt?!\That's my line! response:	I'm looking for Naraku and I end up running into you!
context: Didn't we see him before?\Say... the name Sesshomaru rings a bell.\Wonderwho he was?\Anyway, let's go back to Koga.\Yeah... let's go!\Why're you wandering around here, mutt?!\That's my line!\I'm looking for Naraku and I end up running into you! response:	Shaddup!
context: Say... the name Sesshomaru rings a bell.\Wonderwho he was?\Anyway, let's go back to Koga.\Yeah... let's go!\Why're you wandering around here, mutt?!\That's my line!\I'm looking for Naraku and I end up running into you!\Shaddup! response:	You don't need to butt into this.
context: Wonderwho he was?\Anyway, let's go back to Koga.\Yeah... let's go!\Why're you wandering around here, mutt?!\That's my line!\I'm looking for Naraku and I end up running into you!\Shaddup!\You don't need to butt into this. response:	I'm gonna get Naraku!
context: Anyway, let's go back to Koga.\Yeah... let's go!\Why're you wandering around here, mutt?!\That's my line!\I'm looking for Naraku and I end up running into you!\Shaddup!\You don't need to butt into this.\I'm gonna get Naraku! response:	Hey!
context: Yeah... let's go!\Why're you wandering around here, mutt?!\That's my line!\I'm looking for Naraku and I end up running into you!\Shaddup!\You don't need to butt into this.\I'm gonna get Naraku!\Hey! response:	Sorry, Kagome. I still haven't located Naraku.
context: Why're you wandering around here, mutt?!\That's my line!\I'm looking for Naraku and I end up running into you!\Shaddup!\You don't need to butt into this.\I'm gonna get Naraku!\Hey!\Sorry, Kagome. I still haven't located Naraku. response:	Wait until next time.
context: That's my line!\I'm looking for Naraku and I end up running into you!\Shaddup!\You don't need to butt into this.\I'm gonna get Naraku!\Hey!\Sorry, Kagome. I still haven't located Naraku.\Wait until next time. response:	Don't worry about it.
context: I'm looking for Naraku and I end up running into you!\Shaddup!\You don't need to butt into this.\I'm gonna get Naraku!\Hey!\Sorry, Kagome. I still haven't located Naraku.\Wait until next time.\Don't worry about it. response:	Hey Koga!
context: Shaddup!\You don't need to butt into this.\I'm gonna get Naraku!\Hey!\Sorry, Kagome. I still haven't located Naraku.\Wait until next time.\Don't worry about it.\Hey Koga! response:	Found anything to eat?
context: You don't need to butt into this.\I'm gonna get Naraku!\Hey!\Sorry, Kagome. I still haven't located Naraku.\Wait until next time.\Don't worry about it.\Hey Koga!\Found anything to eat? response:	Err... no...
context: I'm gonna get Naraku!\Hey!\Sorry, Kagome. I still haven't located Naraku.\Wait until next time.\Don't worry about it.\Hey Koga!\Found anything to eat?\Err... no... response:	What? Empty-handed? Hopeless fools.
context: Hey!\Sorry, Kagome. I still haven't located Naraku.\Wait until next time.\Don't worry about it.\Hey Koga!\Found anything to eat?\Err... no...\What? Empty-handed? Hopeless fools. response:	Hey, you skinny wolves!
context: Sorry, Kagome. I still haven't located Naraku.\Wait until next time.\Don't worry about it.\Hey Koga!\Found anything to eat?\Err... no...\What? Empty-handed? Hopeless fools.\Hey, you skinny wolves! response:	You'd betternot be thinking about attacking a village.
context: Wait until next time.\Don't worry about it.\Hey Koga!\Found anything to eat?\Err... no...\What? Empty-handed? Hopeless fools.\Hey, you skinny wolves!\You'd betternot be thinking about attacking a village. response:	So what?
context: Don't worry about it.\Hey Koga!\Found anything to eat?\Err... no...\What? Empty-handed? Hopeless fools.\Hey, you skinny wolves!\You'd betternot be thinking about attacking a village.\So what? response:	What?!
context: Hey Koga!\Found anything to eat?\Err... no...\What? Empty-handed? Hopeless fools.\Hey, you skinny wolves!\You'd betternot be thinking about attacking a village.\So what?\What?! response:	As if we'd attack humans.
context: Found anything to eat?\Err... no...\What? Empty-handed? Hopeless fools.\Hey, you skinny wolves!\You'd betternot be thinking about attacking a village.\So what?\What?!\As if we'd attack humans. response:	I'll catch a boar ortwo in no time.
context: Err... no...\What? Empty-handed? Hopeless fools.\Hey, you skinny wolves!\You'd betternot be thinking about attacking a village.\So what?\What?!\As if we'd attack humans.\I'll catch a boar ortwo in no time. response:	He even tried to eat me before.
context: What? Empty-handed? Hopeless fools.\Hey, you skinny wolves!\You'd betternot be thinking about attacking a village.\So what?\What?!\As if we'd attack humans.\I'll catch a boar ortwo in no time.\He even tried to eat me before. response:	He doesn't want Kagome to hate him.
context: Hey, you skinny wolves!\You'd betternot be thinking about attacking a village.\So what?\What?!\As if we'd attack humans.\I'll catch a boar ortwo in no time.\He even tried to eat me before.\He doesn't want Kagome to hate him. response:	I guess even Koga defers to how Kagome feels.
context: You'd betternot be thinking about attacking a village.\So what?\What?!\As if we'd attack humans.\I'll catch a boar ortwo in no time.\He even tried to eat me before.\He doesn't want Kagome to hate him.\I guess even Koga defers to how Kagome feels. response:	Say, Koga.
context: So what?\What?!\As if we'd attack humans.\I'll catch a boar ortwo in no time.\He even tried to eat me before.\He doesn't want Kagome to hate him.\I guess even Koga defers to how Kagome feels.\Say, Koga. response:	Take this and eat it.
context: What?!\As if we'd attack humans.\I'll catch a boar ortwo in no time.\He even tried to eat me before.\He doesn't want Kagome to hate him.\I guess even Koga defers to how Kagome feels.\Say, Koga.\Take this and eat it. response:	The last of Kagome's special ninja snacks!
context: As if we'd attack humans.\I'll catch a boar ortwo in no time.\He even tried to eat me before.\He doesn't want Kagome to hate him.\I guess even Koga defers to how Kagome feels.\Say, Koga.\Take this and eat it.\The last of Kagome's special ninja snacks! response:	Kagome, so you're worried about me.
context: I'll catch a boar ortwo in no time.\He even tried to eat me before.\He doesn't want Kagome to hate him.\I guess even Koga defers to how Kagome feels.\Say, Koga.\Take this and eat it.\The last of Kagome's special ninja snacks!\Kagome, so you're worried about me. response:	Well...
context: He even tried to eat me before.\He doesn't want Kagome to hate him.\I guess even Koga defers to how Kagome feels.\Say, Koga.\Take this and eat it.\The last of Kagome's special ninja snacks!\Kagome, so you're worried about me.\Well... response:	No need to give it to HIM!
context: He doesn't want Kagome to hate him.\I guess even Koga defers to how Kagome feels.\Say, Koga.\Take this and eat it.\The last of Kagome's special ninja snacks!\Kagome, so you're worried about me.\Well...\No need to give it to HIM! response:	What're you doing, fool?!
context: I guess even Koga defers to how Kagome feels.\Say, Koga.\Take this and eat it.\The last of Kagome's special ninja snacks!\Kagome, so you're worried about me.\Well...\No need to give it to HIM!\What're you doing, fool?! response:	Why you...!
context: Say, Koga.\Take this and eat it.\The last of Kagome's special ninja snacks!\Kagome, so you're worried about me.\Well...\No need to give it to HIM!\What're you doing, fool?!\Why you...! response:	- She gave it to me! - Give it back!
context: Take this and eat it.\The last of Kagome's special ninja snacks!\Kagome, so you're worried about me.\Well...\No need to give it to HIM!\What're you doing, fool?!\Why you...!\- She gave it to me! - Give it back! response:	Kagome gave it to me!
context: The last of Kagome's special ninja snacks!\Kagome, so you're worried about me.\Well...\No need to give it to HIM!\What're you doing, fool?!\Why you...!\- She gave it to me! - Give it back!\Kagome gave it to me! response:	Stop it, you two!
context: Kagome, so you're worried about me.\Well...\No need to give it to HIM!\What're you doing, fool?!\Why you...!\- She gave it to me! - Give it back!\Kagome gave it to me!\Stop it, you two! response:	Kagome, everheard of Sesshomaru?
context: Well...\No need to give it to HIM!\What're you doing, fool?!\Why you...!\- She gave it to me! - Give it back!\Kagome gave it to me!\Stop it, you two!\Kagome, everheard of Sesshomaru? response:	Afair-skinned dog-demon. Wears a furry kimono.
context: No need to give it to HIM!\What're you doing, fool?!\Why you...!\- She gave it to me! - Give it back!\Kagome gave it to me!\Stop it, you two!\Kagome, everheard of Sesshomaru?\Afair-skinned dog-demon. Wears a furry kimono. response:	Sesshomaru is Inuyasha's older brother.
context: What're you doing, fool?!\Why you...!\- She gave it to me! - Give it back!\Kagome gave it to me!\Stop it, you two!\Kagome, everheard of Sesshomaru?\Afair-skinned dog-demon. Wears a furry kimono.\Sesshomaru is Inuyasha's older brother. response:	Inuyasha's brother?!
context: Why you...!\- She gave it to me! - Give it back!\Kagome gave it to me!\Stop it, you two!\Kagome, everheard of Sesshomaru?\Afair-skinned dog-demon. Wears a furry kimono.\Sesshomaru is Inuyasha's older brother.\Inuyasha's brother?! response:	You mutt!
context: - She gave it to me! - Give it back!\Kagome gave it to me!\Stop it, you two!\Kagome, everheard of Sesshomaru?\Afair-skinned dog-demon. Wears a furry kimono.\Sesshomaru is Inuyasha's older brother.\Inuyasha's brother?!\You mutt! response:	I can't stand that smell of yours!
context: Kagome gave it to me!\Stop it, you two!\Kagome, everheard of Sesshomaru?\Afair-skinned dog-demon. Wears a furry kimono.\Sesshomaru is Inuyasha's older brother.\Inuyasha's brother?!\You mutt!\I can't stand that smell of yours! response:	Don't insult me, you puny wolf!
context: Stop it, you two!\Kagome, everheard of Sesshomaru?\Afair-skinned dog-demon. Wears a furry kimono.\Sesshomaru is Inuyasha's older brother.\Inuyasha's brother?!\You mutt!\I can't stand that smell of yours!\Don't insult me, you puny wolf! response:	What kind of guy is this Sesshomaru?
context: Kagome, everheard of Sesshomaru?\Afair-skinned dog-demon. Wears a furry kimono.\Sesshomaru is Inuyasha's older brother.\Inuyasha's brother?!\You mutt!\I can't stand that smell of yours!\Don't insult me, you puny wolf!\What kind of guy is this Sesshomaru? response:	What kind?
context: Afair-skinned dog-demon. Wears a furry kimono.\Sesshomaru is Inuyasha's older brother.\Inuyasha's brother?!\You mutt!\I can't stand that smell of yours!\Don't insult me, you puny wolf!\What kind of guy is this Sesshomaru?\What kind? response:	Well, he doesn'tget along with Inuyasha.
context: Sesshomaru is Inuyasha's older brother.\Inuyasha's brother?!\You mutt!\I can't stand that smell of yours!\Don't insult me, you puny wolf!\What kind of guy is this Sesshomaru?\What kind?\Well, he doesn'tget along with Inuyasha. response:	And has an evil sword named Tokijin.
context: Inuyasha's brother?!\You mutt!\I can't stand that smell of yours!\Don't insult me, you puny wolf!\What kind of guy is this Sesshomaru?\What kind?\Well, he doesn'tget along with Inuyasha.\And has an evil sword named Tokijin. response:	And he's extremely strong and a bit cold-hearted.
context: You mutt!\I can't stand that smell of yours!\Don't insult me, you puny wolf!\What kind of guy is this Sesshomaru?\What kind?\Well, he doesn'tget along with Inuyasha.\And has an evil sword named Tokijin.\And he's extremely strong and a bit cold-hearted. response:	Cold-hearted?
context: I can't stand that smell of yours!\Don't insult me, you puny wolf!\What kind of guy is this Sesshomaru?\What kind?\Well, he doesn'tget along with Inuyasha.\And has an evil sword named Tokijin.\And he's extremely strong and a bit cold-hearted.\Cold-hearted? response:	Inuyasha and Koga can fight like that,
context: Don't insult me, you puny wolf!\What kind of guy is this Sesshomaru?\What kind?\Well, he doesn'tget along with Inuyasha.\And has an evil sword named Tokijin.\And he's extremely strong and a bit cold-hearted.\Cold-hearted?\Inuyasha and Koga can fight like that, response:	but they'd neverkill each other.
context: What kind of guy is this Sesshomaru?\What kind?\Well, he doesn'tget along with Inuyasha.\And has an evil sword named Tokijin.\And he's extremely strong and a bit cold-hearted.\Cold-hearted?\Inuyasha and Koga can fight like that,\but they'd neverkill each other. response:	But Sesshomaru wouldn't hesitate to kill his opponent.
context: What kind?\Well, he doesn'tget along with Inuyasha.\And has an evil sword named Tokijin.\And he's extremely strong and a bit cold-hearted.\Cold-hearted?\Inuyasha and Koga can fight like that,\but they'd neverkill each other.\But Sesshomaru wouldn't hesitate to kill his opponent. response:	Kill?
context: Well, he doesn'tget along with Inuyasha.\And has an evil sword named Tokijin.\And he's extremely strong and a bit cold-hearted.\Cold-hearted?\Inuyasha and Koga can fight like that,\but they'd neverkill each other.\But Sesshomaru wouldn't hesitate to kill his opponent.\Kill? response:	But maybe he's changed lately.
context: And has an evil sword named Tokijin.\And he's extremely strong and a bit cold-hearted.\Cold-hearted?\Inuyasha and Koga can fight like that,\but they'd neverkill each other.\But Sesshomaru wouldn't hesitate to kill his opponent.\Kill?\But maybe he's changed lately. response:	He doesn't seem as cold-hearted as before.
context: And he's extremely strong and a bit cold-hearted.\Cold-hearted?\Inuyasha and Koga can fight like that,\but they'd neverkill each other.\But Sesshomaru wouldn't hesitate to kill his opponent.\Kill?\But maybe he's changed lately.\He doesn't seem as cold-hearted as before. response:	Why you...!
context: Cold-hearted?\Inuyasha and Koga can fight like that,\but they'd neverkill each other.\But Sesshomaru wouldn't hesitate to kill his opponent.\Kill?\But maybe he's changed lately.\He doesn't seem as cold-hearted as before.\Why you...! response:	Hey, I told you guys to stop!
context: Inuyasha and Koga can fight like that,\but they'd neverkill each other.\But Sesshomaru wouldn't hesitate to kill his opponent.\Kill?\But maybe he's changed lately.\He doesn't seem as cold-hearted as before.\Why you...!\Hey, I told you guys to stop! response:	I guess he was a dangerous opponent.
context: but they'd neverkill each other.\But Sesshomaru wouldn't hesitate to kill his opponent.\Kill?\But maybe he's changed lately.\He doesn't seem as cold-hearted as before.\Why you...!\Hey, I told you guys to stop!\I guess he was a dangerous opponent. response:	Good thing we didn't engage him.
context: But Sesshomaru wouldn't hesitate to kill his opponent.\Kill?\But maybe he's changed lately.\He doesn't seem as cold-hearted as before.\Why you...!\Hey, I told you guys to stop!\I guess he was a dangerous opponent.\Good thing we didn't engage him. response:	What is it? What's the matter?
