context: Hey, Umaru. response:	What kind of cake should we have for Christmas?
context: Yes, it's fine.\I've gone back because I felt sad ringing in the new year alone...\But with all the fun we've been having together, I haven't felt lonely at all.\And we shall have fun indeed!\The reason being... it is indeed Christmas!\Sylphin is pretty excited, huh? It's Christmas! Christmas! Indeed!\What a child... It's Christmas! Christmas! Indeed!\Don't you celebrate Christmas at home? Now you, Ebina! response:	Um, correct! We do not! It's Christmas!
context: I've gone back because I felt sad ringing in the new year alone...\But with all the fun we've been having together, I haven't felt lonely at all.\And we shall have fun indeed!\The reason being... it is indeed Christmas!\Sylphin is pretty excited, huh? It's Christmas! Christmas! Indeed!\What a child... It's Christmas! Christmas! Indeed!\Don't you celebrate Christmas at home? Now you, Ebina!\Um, correct! We do not! It's Christmas! response:	Oh, really?
context: But with all the fun we've been having together, I haven't felt lonely at all.\And we shall have fun indeed!\The reason being... it is indeed Christmas!\Sylphin is pretty excited, huh? It's Christmas! Christmas! Indeed!\What a child... It's Christmas! Christmas! Indeed!\Don't you celebrate Christmas at home? Now you, Ebina!\Um, correct! We do not! It's Christmas!\Oh, really? response:	It's Christmas day...
context: And we shall have fun indeed!\The reason being... it is indeed Christmas!\Sylphin is pretty excited, huh? It's Christmas! Christmas! Indeed!\What a child... It's Christmas! Christmas! Indeed!\Don't you celebrate Christmas at home? Now you, Ebina!\Um, correct! We do not! It's Christmas!\Oh, really?\It's Christmas day... response:	I'm spending Christmas with Umaru!
context: The reason being... it is indeed Christmas!\Sylphin is pretty excited, huh? It's Christmas! Christmas! Indeed!\What a child... It's Christmas! Christmas! Indeed!\Don't you celebrate Christmas at home? Now you, Ebina!\Um, correct! We do not! It's Christmas!\Oh, really?\It's Christmas day...\I'm spending Christmas with Umaru! response:	WOO-HOO!
context: Sylphin is pretty excited, huh? It's Christmas! Christmas! Indeed!\What a child... It's Christmas! Christmas! Indeed!\Don't you celebrate Christmas at home? Now you, Ebina!\Um, correct! We do not! It's Christmas!\Oh, really?\It's Christmas day...\I'm spending Christmas with Umaru!\WOO-HOO! response:	Hey, do you want to go see the lights?
context: What a child... It's Christmas! Christmas! Indeed!\Don't you celebrate Christmas at home? Now you, Ebina!\Um, correct! We do not! It's Christmas!\Oh, really?\It's Christmas day...\I'm spending Christmas with Umaru!\WOO-HOO!\Hey, do you want to go see the lights? response:	Wow...!
context: Don't you celebrate Christmas at home? Now you, Ebina!\Um, correct! We do not! It's Christmas!\Oh, really?\It's Christmas day...\I'm spending Christmas with Umaru!\WOO-HOO!\Hey, do you want to go see the lights?\Wow...! response:	These are pretty indeed!
context: Um, correct! We do not! It's Christmas!\Oh, really?\It's Christmas day...\I'm spending Christmas with Umaru!\WOO-HOO!\Hey, do you want to go see the lights?\Wow...!\These are pretty indeed! response:	Still...
context: Oh, really?\It's Christmas day...\I'm spending Christmas with Umaru!\WOO-HOO!\Hey, do you want to go see the lights?\Wow...!\These are pretty indeed!\Still... response:	It's nothing but couples here.
context: It's Christmas day...\I'm spending Christmas with Umaru!\WOO-HOO!\Hey, do you want to go see the lights?\Wow...!\These are pretty indeed!\Still...\It's nothing but couples here. response:	Yeah...
context: I'm spending Christmas with Umaru!\WOO-HOO!\Hey, do you want to go see the lights?\Wow...!\These are pretty indeed!\Still...\It's nothing but couples here.\Yeah... response:	Ah! They're dressed like Santa!
context: WOO-HOO!\Hey, do you want to go see the lights?\Wow...!\These are pretty indeed!\Still...\It's nothing but couples here.\Yeah...\Ah! They're dressed like Santa! response:	You're right!
context: Hey, do you want to go see the lights?\Wow...!\These are pretty indeed!\Still...\It's nothing but couples here.\Yeah...\Ah! They're dressed like Santa!\You're right! response:	They're selling cakes. And...
context: Wow...!\These are pretty indeed!\Still...\It's nothing but couples here.\Yeah...\Ah! They're dressed like Santa!\You're right!\They're selling cakes. And... response:	they're even selling costumes.
context: These are pretty indeed!\Still...\It's nothing but couples here.\Yeah...\Ah! They're dressed like Santa!\You're right!\They're selling cakes. And...\they're even selling costumes. response:	Big Brother sure looked pretty sad...
context: Still...\It's nothing but couples here.\Yeah...\Ah! They're dressed like Santa!\You're right!\They're selling cakes. And...\they're even selling costumes.\Big Brother sure looked pretty sad... response:	Kyou kara holiday! Mankitsu shichae! Our holiday starts today! Enjoy it to the fullest!
context: It's nothing but couples here.\Yeah...\Ah! They're dressed like Santa!\You're right!\They're selling cakes. And...\they're even selling costumes.\Big Brother sure looked pretty sad...\Kyou kara holiday! Mankitsu shichae! Our holiday starts today! Enjoy it to the fullest! response:	This is way more fun than I thought it would be, Alex!
context: Yeah...\Ah! They're dressed like Santa!\You're right!\They're selling cakes. And...\they're even selling costumes.\Big Brother sure looked pretty sad...\Kyou kara holiday! Mankitsu shichae! Our holiday starts today! Enjoy it to the fullest!\This is way more fun than I thought it would be, Alex! response:	I know, right?!
context: Ah! They're dressed like Santa!\You're right!\They're selling cakes. And...\they're even selling costumes.\Big Brother sure looked pretty sad...\Kyou kara holiday! Mankitsu shichae! Our holiday starts today! Enjoy it to the fullest!\This is way more fun than I thought it would be, Alex!\I know, right?! response:	Three-day weekend!
context: You're right!\They're selling cakes. And...\they're even selling costumes.\Big Brother sure looked pretty sad...\Kyou kara holiday! Mankitsu shichae! Our holiday starts today! Enjoy it to the fullest!\This is way more fun than I thought it would be, Alex!\I know, right?!\Three-day weekend! response:	I-I don't really follow...
context: They're selling cakes. And...\they're even selling costumes.\Big Brother sure looked pretty sad...\Kyou kara holiday! Mankitsu shichae! Our holiday starts today! Enjoy it to the fullest!\This is way more fun than I thought it would be, Alex!\I know, right?!\Three-day weekend!\I-I don't really follow... response:	Wherever you go, there are so many people...
context: they're even selling costumes.\Big Brother sure looked pretty sad...\Kyou kara holiday! Mankitsu shichae! Our holiday starts today! Enjoy it to the fullest!\This is way more fun than I thought it would be, Alex!\I know, right?!\Three-day weekend!\I-I don't really follow...\Wherever you go, there are so many people... response:	Everyone wants to do something on Christmas, right?
context: Big Brother sure looked pretty sad...\Kyou kara holiday! Mankitsu shichae! Our holiday starts today! Enjoy it to the fullest!\This is way more fun than I thought it would be, Alex!\I know, right?!\Three-day weekend!\I-I don't really follow...\Wherever you go, there are so many people...\Everyone wants to do something on Christmas, right? response:	So, do none of you have a special someone with whom to spend this time?
context: Kyou kara holiday! Mankitsu shichae! Our holiday starts today! Enjoy it to the fullest!\This is way more fun than I thought it would be, Alex!\I know, right?!\Three-day weekend!\I-I don't really follow...\Wherever you go, there are so many people...\Everyone wants to do something on Christmas, right?\So, do none of you have a special someone with whom to spend this time? response:	Ebina, do you have someone?
context: This is way more fun than I thought it would be, Alex!\I know, right?!\Three-day weekend!\I-I don't really follow...\Wherever you go, there are so many people...\Everyone wants to do something on Christmas, right?\So, do none of you have a special someone with whom to spend this time?\Ebina, do you have someone? response:	Huh?! N-no, I don't!
context: I know, right?!\Three-day weekend!\I-I don't really follow...\Wherever you go, there are so many people...\Everyone wants to do something on Christmas, right?\So, do none of you have a special someone with whom to spend this time?\Ebina, do you have someone?\Huh?! N-no, I don't! response:	What about you, Kirie?
context: Three-day weekend!\I-I don't really follow...\Wherever you go, there are so many people...\Everyone wants to do something on Christmas, right?\So, do none of you have a special someone with whom to spend this time?\Ebina, do you have someone?\Huh?! N-no, I don't!\What about you, Kirie? response:	O-o-of course I don't!
context: I-I don't really follow...\Wherever you go, there are so many people...\Everyone wants to do something on Christmas, right?\So, do none of you have a special someone with whom to spend this time?\Ebina, do you have someone?\Huh?! N-no, I don't!\What about you, Kirie?\O-o-of course I don't! response:	In that case, why don't we all go back to my house?
context: Wherever you go, there are so many people...\Everyone wants to do something on Christmas, right?\So, do none of you have a special someone with whom to spend this time?\Ebina, do you have someone?\Huh?! N-no, I don't!\What about you, Kirie?\O-o-of course I don't!\In that case, why don't we all go back to my house? response:	We'll have a Christmas party!
context: Everyone wants to do something on Christmas, right?\So, do none of you have a special someone with whom to spend this time?\Ebina, do you have someone?\Huh?! N-no, I don't!\What about you, Kirie?\O-o-of course I don't!\In that case, why don't we all go back to my house?\We'll have a Christmas party! response:	I thought we were going to talk about relationships, but she was just inviting us over...
context: So, do none of you have a special someone with whom to spend this time?\Ebina, do you have someone?\Huh?! N-no, I don't!\What about you, Kirie?\O-o-of course I don't!\In that case, why don't we all go back to my house?\We'll have a Christmas party!\I thought we were going to talk about relationships, but she was just inviting us over... response:	Here we are indeed!
context: Ebina, do you have someone?\Huh?! N-no, I don't!\What about you, Kirie?\O-o-of course I don't!\In that case, why don't we all go back to my house?\We'll have a Christmas party!\I thought we were going to talk about relationships, but she was just inviting us over...\Here we are indeed! response:	Someone spent a LOT of time decorating...
context: Huh?! N-no, I don't!\What about you, Kirie?\O-o-of course I don't!\In that case, why don't we all go back to my house?\We'll have a Christmas party!\I thought we were going to talk about relationships, but she was just inviting us over...\Here we are indeed!\Someone spent a LOT of time decorating... response:	Kirie, are you all right?
context: What about you, Kirie?\O-o-of course I don't!\In that case, why don't we all go back to my house?\We'll have a Christmas party!\I thought we were going to talk about relationships, but she was just inviting us over...\Here we are indeed!\Someone spent a LOT of time decorating...\Kirie, are you all right? response:	I-I-I... I think so!
context: O-o-of course I don't!\In that case, why don't we all go back to my house?\We'll have a Christmas party!\I thought we were going to talk about relationships, but she was just inviting us over...\Here we are indeed!\Someone spent a LOT of time decorating...\Kirie, are you all right?\I-I-I... I think so! response:	You can sit where you like, indeed!
context: In that case, why don't we all go back to my house?\We'll have a Christmas party!\I thought we were going to talk about relationships, but she was just inviting us over...\Here we are indeed!\Someone spent a LOT of time decorating...\Kirie, are you all right?\I-I-I... I think so!\You can sit where you like, indeed! response:	Huh? There's an extra cushion.
context: We'll have a Christmas party!\I thought we were going to talk about relationships, but she was just inviting us over...\Here we are indeed!\Someone spent a LOT of time decorating...\Kirie, are you all right?\I-I-I... I think so!\You can sit where you like, indeed!\Huh? There's an extra cushion. response:	Ah! Actually, one more person will be joining us!
context: I thought we were going to talk about relationships, but she was just inviting us over...\Here we are indeed!\Someone spent a LOT of time decorating...\Kirie, are you all right?\I-I-I... I think so!\You can sit where you like, indeed!\Huh? There's an extra cushion.\Ah! Actually, one more person will be joining us! response:	Could she mean... Alex?
context: Here we are indeed!\Someone spent a LOT of time decorating...\Kirie, are you all right?\I-I-I... I think so!\You can sit where you like, indeed!\Huh? There's an extra cushion.\Ah! Actually, one more person will be joining us!\Could she mean... Alex? response:	I've invited my good friend UMR!
context: Someone spent a LOT of time decorating...\Kirie, are you all right?\I-I-I... I think so!\You can sit where you like, indeed!\Huh? There's an extra cushion.\Ah! Actually, one more person will be joining us!\Could she mean... Alex?\I've invited my good friend UMR! response:	What?!
context: Kirie, are you all right?\I-I-I... I think so!\You can sit where you like, indeed!\Huh? There's an extra cushion.\Ah! Actually, one more person will be joining us!\Could she mean... Alex?\I've invited my good friend UMR!\What?! response:	Oh, really?
context: I-I-I... I think so!\You can sit where you like, indeed!\Huh? There's an extra cushion.\Ah! Actually, one more person will be joining us!\Could she mean... Alex?\I've invited my good friend UMR!\What?!\Oh, really? response:	Wh-who is that?
context: You can sit where you like, indeed!\Huh? There's an extra cushion.\Ah! Actually, one more person will be joining us!\Could she mean... Alex?\I've invited my good friend UMR!\What?!\Oh, really?\Wh-who is that? response:	UMR?
context: Huh? There's an extra cushion.\Ah! Actually, one more person will be joining us!\Could she mean... Alex?\I've invited my good friend UMR!\What?!\Oh, really?\Wh-who is that?\UMR? response:	The champion of the gaming world! And the person who gave me this badge!
context: Ah! Actually, one more person will be joining us!\Could she mean... Alex?\I've invited my good friend UMR!\What?!\Oh, really?\Wh-who is that?\UMR?\The champion of the gaming world! And the person who gave me this badge! response:	Oh, that badge is from a game?
context: Could she mean... Alex?\I've invited my good friend UMR!\What?!\Oh, really?\Wh-who is that?\UMR?\The champion of the gaming world! And the person who gave me this badge!\Oh, that badge is from a game? response:	UMR is SO cool!
context: I've invited my good friend UMR!\What?!\Oh, really?\Wh-who is that?\UMR?\The champion of the gaming world! And the person who gave me this badge!\Oh, that badge is from a game?\UMR is SO cool! response:	Is it a guy?
context: What?!\Oh, really?\Wh-who is that?\UMR?\The champion of the gaming world! And the person who gave me this badge!\Oh, that badge is from a game?\UMR is SO cool!\Is it a guy? response:	What should I do? Did I promise to meet her today?
context: Oh, really?\Wh-who is that?\UMR?\The champion of the gaming world! And the person who gave me this badge!\Oh, that badge is from a game?\UMR is SO cool!\Is it a guy?\What should I do? Did I promise to meet her today? response:	And it's thanks to UMR that we were able to get together like this today!
context: Wh-who is that?\UMR?\The champion of the gaming world! And the person who gave me this badge!\Oh, that badge is from a game?\UMR is SO cool!\Is it a guy?\What should I do? Did I promise to meet her today?\And it's thanks to UMR that we were able to get together like this today! response:	I haven't had many friends since coming to Japan.
context: UMR?\The champion of the gaming world! And the person who gave me this badge!\Oh, that badge is from a game?\UMR is SO cool!\Is it a guy?\What should I do? Did I promise to meet her today?\And it's thanks to UMR that we were able to get together like this today!\I haven't had many friends since coming to Japan. response:	Even after enrolling in school, I had little idea indeed as to how to make friends.
context: The champion of the gaming world! And the person who gave me this badge!\Oh, that badge is from a game?\UMR is SO cool!\Is it a guy?\What should I do? Did I promise to meet her today?\And it's thanks to UMR that we were able to get together like this today!\I haven't had many friends since coming to Japan.\Even after enrolling in school, I had little idea indeed as to how to make friends. response:	But then, I learned the Japanese custom of making friends by challenging others and beating them!
context: Oh, that badge is from a game?\UMR is SO cool!\Is it a guy?\What should I do? Did I promise to meet her today?\And it's thanks to UMR that we were able to get together like this today!\I haven't had many friends since coming to Japan.\Even after enrolling in school, I had little idea indeed as to how to make friends.\But then, I learned the Japanese custom of making friends by challenging others and beating them! response:	Something's not right here!
context: UMR is SO cool!\Is it a guy?\What should I do? Did I promise to meet her today?\And it's thanks to UMR that we were able to get together like this today!\I haven't had many friends since coming to Japan.\Even after enrolling in school, I had little idea indeed as to how to make friends.\But then, I learned the Japanese custom of making friends by challenging others and beating them!\Something's not right here! response:	I wanted to make friends with Umaru, which is why I challenged her at school.
context: Is it a guy?\What should I do? Did I promise to meet her today?\And it's thanks to UMR that we were able to get together like this today!\I haven't had many friends since coming to Japan.\Even after enrolling in school, I had little idea indeed as to how to make friends.\But then, I learned the Japanese custom of making friends by challenging others and beating them!\Something's not right here!\I wanted to make friends with Umaru, which is why I challenged her at school. response:	But it was UMR who taught me... you don't make friends by beating them, you do it by having FUN with them.
context: What should I do? Did I promise to meet her today?\And it's thanks to UMR that we were able to get together like this today!\I haven't had many friends since coming to Japan.\Even after enrolling in school, I had little idea indeed as to how to make friends.\But then, I learned the Japanese custom of making friends by challenging others and beating them!\Something's not right here!\I wanted to make friends with Umaru, which is why I challenged her at school.\But it was UMR who taught me... you don't make friends by beating them, you do it by having FUN with them. response:	And the strength of that becomes a dream that will lead to the future!
context: And it's thanks to UMR that we were able to get together like this today!\I haven't had many friends since coming to Japan.\Even after enrolling in school, I had little idea indeed as to how to make friends.\But then, I learned the Japanese custom of making friends by challenging others and beating them!\Something's not right here!\I wanted to make friends with Umaru, which is why I challenged her at school.\But it was UMR who taught me... you don't make friends by beating them, you do it by having FUN with them.\And the strength of that becomes a dream that will lead to the future! response:	Did I ever say that?!
context: I haven't had many friends since coming to Japan.\Even after enrolling in school, I had little idea indeed as to how to make friends.\But then, I learned the Japanese custom of making friends by challenging others and beating them!\Something's not right here!\I wanted to make friends with Umaru, which is why I challenged her at school.\But it was UMR who taught me... you don't make friends by beating them, you do it by having FUN with them.\And the strength of that becomes a dream that will lead to the future!\Did I ever say that?! response:	It was UMR's advice that let me become friends with you all!
context: Even after enrolling in school, I had little idea indeed as to how to make friends.\But then, I learned the Japanese custom of making friends by challenging others and beating them!\Something's not right here!\I wanted to make friends with Umaru, which is why I challenged her at school.\But it was UMR who taught me... you don't make friends by beating them, you do it by having FUN with them.\And the strength of that becomes a dream that will lead to the future!\Did I ever say that?!\It was UMR's advice that let me become friends with you all! response:	It was a lesson well learned: If something is bothering you, just ask for advice.
context: But then, I learned the Japanese custom of making friends by challenging others and beating them!\Something's not right here!\I wanted to make friends with Umaru, which is why I challenged her at school.\But it was UMR who taught me... you don't make friends by beating them, you do it by having FUN with them.\And the strength of that becomes a dream that will lead to the future!\Did I ever say that?!\It was UMR's advice that let me become friends with you all!\It was a lesson well learned: If something is bothering you, just ask for advice. response:	Otherwise, you will regret it!
context: Something's not right here!\I wanted to make friends with Umaru, which is why I challenged her at school.\But it was UMR who taught me... you don't make friends by beating them, you do it by having FUN with them.\And the strength of that becomes a dream that will lead to the future!\Did I ever say that?!\It was UMR's advice that let me become friends with you all!\It was a lesson well learned: If something is bothering you, just ask for advice.\Otherwise, you will regret it! response:	There are indeed many, many things for UMR and I to discuss!
context: I wanted to make friends with Umaru, which is why I challenged her at school.\But it was UMR who taught me... you don't make friends by beating them, you do it by having FUN with them.\And the strength of that becomes a dream that will lead to the future!\Did I ever say that?!\It was UMR's advice that let me become friends with you all!\It was a lesson well learned: If something is bothering you, just ask for advice.\Otherwise, you will regret it!\There are indeed many, many things for UMR and I to discuss! response:	I'm sure she's worn out.
context: But it was UMR who taught me... you don't make friends by beating them, you do it by having FUN with them.\And the strength of that becomes a dream that will lead to the future!\Did I ever say that?!\It was UMR's advice that let me become friends with you all!\It was a lesson well learned: If something is bothering you, just ask for advice.\Otherwise, you will regret it!\There are indeed many, many things for UMR and I to discuss!\I'm sure she's worn out. response:	And I bet...
context: And the strength of that becomes a dream that will lead to the future!\Did I ever say that?!\It was UMR's advice that let me become friends with you all!\It was a lesson well learned: If something is bothering you, just ask for advice.\Otherwise, you will regret it!\There are indeed many, many things for UMR and I to discuss!\I'm sure she's worn out.\And I bet... response:	she decorated this room all by herself.
