context: Hey, isn't he super hot? response:	Oh, wow. He's so my type.
context: This guy's my friend, Sunakawa Makoto.\I've known him since we were three.\Suna, it's spring.\Yeah.\It's spring in Japan, but I'm experiencing spring, too.\After all, for the first time in my life, I have a girlfriend!\Spring's awesome...\Oops. response:	You should watch where you're going.
context: I've known him since we were three.\Suna, it's spring.\Yeah.\It's spring in Japan, but I'm experiencing spring, too.\After all, for the first time in my life, I have a girlfriend!\Spring's awesome...\Oops.\You should watch where you're going. response:	Yeah.
context: Suna, it's spring.\Yeah.\It's spring in Japan, but I'm experiencing spring, too.\After all, for the first time in my life, I have a girlfriend!\Spring's awesome...\Oops.\You should watch where you're going.\Yeah. response:	Huh?
context: Yeah.\It's spring in Japan, but I'm experiencing spring, too.\After all, for the first time in my life, I have a girlfriend!\Spring's awesome...\Oops.\You should watch where you're going.\Yeah.\Huh? response:	Wait
context: It's spring in Japan, but I'm experiencing spring, too.\After all, for the first time in my life, I have a girlfriend!\Spring's awesome...\Oops.\You should watch where you're going.\Yeah.\Huh?\Wait response:	My baby!
context: After all, for the first time in my life, I have a girlfriend!\Spring's awesome...\Oops.\You should watch where you're going.\Yeah.\Huh?\Wait\My baby! response:	He's just helping you get to the top.
context: Spring's awesome...\Oops.\You should watch where you're going.\Yeah.\Huh?\Wait\My baby!\He's just helping you get to the top. response:	Huh?
context: Oops.\You should watch where you're going.\Yeah.\Huh?\Wait\My baby!\He's just helping you get to the top.\Huh? response:	Oh... Thank you.
context: You should watch where you're going.\Yeah.\Huh?\Wait\My baby!\He's just helping you get to the top.\Huh?\Oh... Thank you. response:	Th-Thank you.
context: Yeah.\Huh?\Wait\My baby!\He's just helping you get to the top.\Huh?\Oh... Thank you.\Th-Thank you. response:	That was a huge help.
context: Huh?\Wait\My baby!\He's just helping you get to the top.\Huh?\Oh... Thank you.\Th-Thank you.\That was a huge help. response:	It isn't like I did anything.
context: Wait\My baby!\He's just helping you get to the top.\Huh?\Oh... Thank you.\Th-Thank you.\That was a huge help.\It isn't like I did anything. response:	Thank you.
context: My baby!\He's just helping you get to the top.\Huh?\Oh... Thank you.\Th-Thank you.\That was a huge help.\It isn't like I did anything.\Thank you. response:	Take care!
context: He's just helping you get to the top.\Huh?\Oh... Thank you.\Th-Thank you.\That was a huge help.\It isn't like I did anything.\Thank you.\Take care! response:	Oh, right.
context: Huh?\Oh... Thank you.\Th-Thank you.\That was a huge help.\It isn't like I did anything.\Thank you.\Take care!\Oh, right. response:	Thank you.
context: Oh... Thank you.\Th-Thank you.\That was a huge help.\It isn't like I did anything.\Thank you.\Take care!\Oh, right.\Thank you. response:	Thank you so much.
context: Th-Thank you.\That was a huge help.\It isn't like I did anything.\Thank you.\Take care!\Oh, right.\Thank you.\Thank you so much. response:	You were a huge help!
context: That was a huge help.\It isn't like I did anything.\Thank you.\Take care!\Oh, right.\Thank you.\Thank you so much.\You were a huge help! response:	Thank you.
context: It isn't like I did anything.\Thank you.\Take care!\Oh, right.\Thank you.\Thank you so much.\You were a huge help!\Thank you. response:	Takeo-kun...
context: Thank you.\Take care!\Oh, right.\Thank you.\Thank you so much.\You were a huge help!\Thank you.\Takeo-kun... response:	Takeo-kun, you're so strong!
context: Take care!\Oh, right.\Thank you.\Thank you so much.\You were a huge help!\Thank you.\Takeo-kun...\Takeo-kun, you're so strong! response:	This year's spring is the true spring!
context: Oh, right.\Thank you.\Thank you so much.\You were a huge help!\Thank you.\Takeo-kun...\Takeo-kun, you're so strong!\This year's spring is the true spring! response:	Oh!
context: Thank you.\Thank you so much.\You were a huge help!\Thank you.\Takeo-kun...\Takeo-kun, you're so strong!\This year's spring is the true spring!\Oh! response:	You made these, Yamato?
context: Thank you so much.\You were a huge help!\Thank you.\Takeo-kun...\Takeo-kun, you're so strong!\This year's spring is the true spring!\Oh!\You made these, Yamato? response:	Yeah.
context: You were a huge help!\Thank you.\Takeo-kun...\Takeo-kun, you're so strong!\This year's spring is the true spring!\Oh!\You made these, Yamato?\Yeah. response:	I decided to try making Japanese sweets for the first time.
context: Thank you.\Takeo-kun...\Takeo-kun, you're so strong!\This year's spring is the true spring!\Oh!\You made these, Yamato?\Yeah.\I decided to try making Japanese sweets for the first time. response:	I thought these cherry blossom petal shapes and stuff were cute.
context: Takeo-kun...\Takeo-kun, you're so strong!\This year's spring is the true spring!\Oh!\You made these, Yamato?\Yeah.\I decided to try making Japanese sweets for the first time.\I thought these cherry blossom petal shapes and stuff were cute. response:	They're delicious!
context: Takeo-kun, you're so strong!\This year's spring is the true spring!\Oh!\You made these, Yamato?\Yeah.\I decided to try making Japanese sweets for the first time.\I thought these cherry blossom petal shapes and stuff were cute.\They're delicious! response:	You're so loud.
context: This year's spring is the true spring!\Oh!\You made these, Yamato?\Yeah.\I decided to try making Japanese sweets for the first time.\I thought these cherry blossom petal shapes and stuff were cute.\They're delicious!\You're so loud. response:	You're great at making Japanese sweets, too.
context: Oh!\You made these, Yamato?\Yeah.\I decided to try making Japanese sweets for the first time.\I thought these cherry blossom petal shapes and stuff were cute.\They're delicious!\You're so loud.\You're great at making Japanese sweets, too. response:	Really?
context: You made these, Yamato?\Yeah.\I decided to try making Japanese sweets for the first time.\I thought these cherry blossom petal shapes and stuff were cute.\They're delicious!\You're so loud.\You're great at making Japanese sweets, too.\Really? response:	It makes me so happy when you say that, Takeo-kun!
context: Yeah.\I decided to try making Japanese sweets for the first time.\I thought these cherry blossom petal shapes and stuff were cute.\They're delicious!\You're so loud.\You're great at making Japanese sweets, too.\Really?\It makes me so happy when you say that, Takeo-kun! response:	I really like her!
context: I decided to try making Japanese sweets for the first time.\I thought these cherry blossom petal shapes and stuff were cute.\They're delicious!\You're so loud.\You're great at making Japanese sweets, too.\Really?\It makes me so happy when you say that, Takeo-kun!\I really like her! response:	It's springtime.
context: I thought these cherry blossom petal shapes and stuff were cute.\They're delicious!\You're so loud.\You're great at making Japanese sweets, too.\Really?\It makes me so happy when you say that, Takeo-kun!\I really like her!\It's springtime. response:	Spring's nice.
context: They're delicious!\You're so loud.\You're great at making Japanese sweets, too.\Really?\It makes me so happy when you say that, Takeo-kun!\I really like her!\It's springtime.\Spring's nice. response:	Earlier, I was thinking the same thing, too.
context: You're so loud.\You're great at making Japanese sweets, too.\Really?\It makes me so happy when you say that, Takeo-kun!\I really like her!\It's springtime.\Spring's nice.\Earlier, I was thinking the same thing, too. response:	Oh, really?
context: You're great at making Japanese sweets, too.\Really?\It makes me so happy when you say that, Takeo-kun!\I really like her!\It's springtime.\Spring's nice.\Earlier, I was thinking the same thing, too.\Oh, really? response:	I see.
context: Really?\It makes me so happy when you say that, Takeo-kun!\I really like her!\It's springtime.\Spring's nice.\Earlier, I was thinking the same thing, too.\Oh, really?\I see. response:	Summer's good, too.
context: It makes me so happy when you say that, Takeo-kun!\I really like her!\It's springtime.\Spring's nice.\Earlier, I was thinking the same thing, too.\Oh, really?\I see.\Summer's good, too. response:	Yeah, summer's good.
context: I really like her!\It's springtime.\Spring's nice.\Earlier, I was thinking the same thing, too.\Oh, really?\I see.\Summer's good, too.\Yeah, summer's good. response:	Fall has its own charms.
context: It's springtime.\Spring's nice.\Earlier, I was thinking the same thing, too.\Oh, really?\I see.\Summer's good, too.\Yeah, summer's good.\Fall has its own charms. response:	Yeah, it sure does!
context: Spring's nice.\Earlier, I was thinking the same thing, too.\Oh, really?\I see.\Summer's good, too.\Yeah, summer's good.\Fall has its own charms.\Yeah, it sure does! response:	I like winter, too.
context: Earlier, I was thinking the same thing, too.\Oh, really?\I see.\Summer's good, too.\Yeah, summer's good.\Fall has its own charms.\Yeah, it sure does!\I like winter, too. response:	Of course I like winter.
context: Oh, really?\I see.\Summer's good, too.\Yeah, summer's good.\Fall has its own charms.\Yeah, it sure does!\I like winter, too.\Of course I like winter. response:	It wouldn't surprise me if you two keep having this convo, even when you're old and wrinkly.
context: I see.\Summer's good, too.\Yeah, summer's good.\Fall has its own charms.\Yeah, it sure does!\I like winter, too.\Of course I like winter.\It wouldn't surprise me if you two keep having this convo, even when you're old and wrinkly. response:	That's your reaction?
context: Summer's good, too.\Yeah, summer's good.\Fall has its own charms.\Yeah, it sure does!\I like winter, too.\Of course I like winter.\It wouldn't surprise me if you two keep having this convo, even when you're old and wrinkly.\That's your reaction? response:	Then can I go home now?
context: Yeah, summer's good.\Fall has its own charms.\Yeah, it sure does!\I like winter, too.\Of course I like winter.\It wouldn't surprise me if you two keep having this convo, even when you're old and wrinkly.\That's your reaction?\Then can I go home now? response:	Yeah, Yamato...
context: Fall has its own charms.\Yeah, it sure does!\I like winter, too.\Of course I like winter.\It wouldn't surprise me if you two keep having this convo, even when you're old and wrinkly.\That's your reaction?\Then can I go home now?\Yeah, Yamato... response:	It'd be great if we could stay like this forever.
context: Yeah, it sure does!\I like winter, too.\Of course I like winter.\It wouldn't surprise me if you two keep having this convo, even when you're old and wrinkly.\That's your reaction?\Then can I go home now?\Yeah, Yamato...\It'd be great if we could stay like this forever. response:	Hey, Takeo-kun?
context: I like winter, too.\Of course I like winter.\It wouldn't surprise me if you two keep having this convo, even when you're old and wrinkly.\That's your reaction?\Then can I go home now?\Yeah, Yamato...\It'd be great if we could stay like this forever.\Hey, Takeo-kun? response:	Yeah?
context: Of course I like winter.\It wouldn't surprise me if you two keep having this convo, even when you're old and wrinkly.\That's your reaction?\Then can I go home now?\Yeah, Yamato...\It'd be great if we could stay like this forever.\Hey, Takeo-kun?\Yeah? response:	Can I take a selfie with you?
context: It wouldn't surprise me if you two keep having this convo, even when you're old and wrinkly.\That's your reaction?\Then can I go home now?\Yeah, Yamato...\It'd be great if we could stay like this forever.\Hey, Takeo-kun?\Yeah?\Can I take a selfie with you? response:	Of course.
context: That's your reaction?\Then can I go home now?\Yeah, Yamato...\It'd be great if we could stay like this forever.\Hey, Takeo-kun?\Yeah?\Can I take a selfie with you?\Of course. response:	Really?
context: Then can I go home now?\Yeah, Yamato...\It'd be great if we could stay like this forever.\Hey, Takeo-kun?\Yeah?\Can I take a selfie with you?\Of course.\Really? response:	Can I use it for my lock screen, too?
context: Yeah, Yamato...\It'd be great if we could stay like this forever.\Hey, Takeo-kun?\Yeah?\Can I take a selfie with you?\Of course.\Really?\Can I use it for my lock screen, too? response:	Like this?
context: It'd be great if we could stay like this forever.\Hey, Takeo-kun?\Yeah?\Can I take a selfie with you?\Of course.\Really?\Can I use it for my lock screen, too?\Like this? response:	Is that okay?
context: Hey, Takeo-kun?\Yeah?\Can I take a selfie with you?\Of course.\Really?\Can I use it for my lock screen, too?\Like this?\Is that okay? response:	I'm going to take it.
context: Yeah?\Can I take a selfie with you?\Of course.\Really?\Can I use it for my lock screen, too?\Like this?\Is that okay?\I'm going to take it. response:	Sure.
context: Can I take a selfie with you?\Of course.\Really?\Can I use it for my lock screen, too?\Like this?\Is that okay?\I'm going to take it.\Sure. response:	Oh...
context: Of course.\Really?\Can I use it for my lock screen, too?\Like this?\Is that okay?\I'm going to take it.\Sure.\Oh... response:	I messed up.
context: Really?\Can I use it for my lock screen, too?\Like this?\Is that okay?\I'm going to take it.\Sure.\Oh...\I messed up. response:	I'm so nervous!
context: Can I use it for my lock screen, too?\Like this?\Is that okay?\I'm going to take it.\Sure.\Oh...\I messed up.\I'm so nervous! response:	I feel like my heart's about to explode...
context: Like this?\Is that okay?\I'm going to take it.\Sure.\Oh...\I messed up.\I'm so nervous!\I feel like my heart's about to explode... response:	Okay, that worked.
context: Is that okay?\I'm going to take it.\Sure.\Oh...\I messed up.\I'm so nervous!\I feel like my heart's about to explode...\Okay, that worked. response:	Good.
context: I'm going to take it.\Sure.\Oh...\I messed up.\I'm so nervous!\I feel like my heart's about to explode...\Okay, that worked.\Good. response:	Send that to my cell, too.
context: Sure.\Oh...\I messed up.\I'm so nervous!\I feel like my heart's about to explode...\Okay, that worked.\Good.\Send that to my cell, too. response:	I want to use it for my wallpaper.
context: Oh...\I messed up.\I'm so nervous!\I feel like my heart's about to explode...\Okay, that worked.\Good.\Send that to my cell, too.\I want to use it for my wallpaper. response:	Okay!
context: I messed up.\I'm so nervous!\I feel like my heart's about to explode...\Okay, that worked.\Good.\Send that to my cell, too.\I want to use it for my wallpaper.\Okay! response:	I really like her!
context: I'm so nervous!\I feel like my heart's about to explode...\Okay, that worked.\Good.\Send that to my cell, too.\I want to use it for my wallpaper.\Okay!\I really like her! response:	Oh, sorry.
context: I feel like my heart's about to explode...\Okay, that worked.\Good.\Send that to my cell, too.\I want to use it for my wallpaper.\Okay!\I really like her!\Oh, sorry. response:	Can I take this?
context: Okay, that worked.\Good.\Send that to my cell, too.\I want to use it for my wallpaper.\Okay!\I really like her!\Oh, sorry.\Can I take this? response:	Hello?
context: Good.\Send that to my cell, too.\I want to use it for my wallpaper.\Okay!\I really like her!\Oh, sorry.\Can I take this?\Hello? response:	Yeah?
context: Send that to my cell, too.\I want to use it for my wallpaper.\Okay!\I really like her!\Oh, sorry.\Can I take this?\Hello?\Yeah? response:	I'm out right now.
context: I want to use it for my wallpaper.\Okay!\I really like her!\Oh, sorry.\Can I take this?\Hello?\Yeah?\I'm out right now. response:	Huh? Yeah, that's right.
context: Okay!\I really like her!\Oh, sorry.\Can I take this?\Hello?\Yeah?\I'm out right now.\Huh? Yeah, that's right. response:	I'm with my boyfriend.
context: I really like her!\Oh, sorry.\Can I take this?\Hello?\Yeah?\I'm out right now.\Huh? Yeah, that's right.\I'm with my boyfriend. response:	I'm with my boyfriend.
context: Oh, sorry.\Can I take this?\Hello?\Yeah?\I'm out right now.\Huh? Yeah, that's right.\I'm with my boyfriend.\I'm with my boyfriend. response:	Boyfriend!
context: Can I take this?\Hello?\Yeah?\I'm out right now.\Huh? Yeah, that's right.\I'm with my boyfriend.\I'm with my boyfriend.\Boyfriend! response:	With my...
context: Hello?\Yeah?\I'm out right now.\Huh? Yeah, that's right.\I'm with my boyfriend.\I'm with my boyfriend.\Boyfriend!\With my... response:	Boyfriend!
context: Yeah?\I'm out right now.\Huh? Yeah, that's right.\I'm with my boyfriend.\I'm with my boyfriend.\Boyfriend!\With my...\Boyfriend! response:	With my...
context: I'm out right now.\Huh? Yeah, that's right.\I'm with my boyfriend.\I'm with my boyfriend.\Boyfriend!\With my...\Boyfriend!\With my... response:	Boyfriend!
context: Huh? Yeah, that's right.\I'm with my boyfriend.\I'm with my boyfriend.\Boyfriend!\With my...\Boyfriend!\With my...\Boyfriend! response:	Boyfriend!
context: I'm with my boyfriend.\I'm with my boyfriend.\Boyfriend!\With my...\Boyfriend!\With my...\Boyfriend!\Boyfriend! response:	I'm about to burst!
context: I'm with my boyfriend.\Boyfriend!\With my...\Boyfriend!\With my...\Boyfriend!\Boyfriend!\I'm about to burst! response:	But why is she so happy that I'm her boyfriend?
context: Boyfriend!\With my...\Boyfriend!\With my...\Boyfriend!\Boyfriend!\I'm about to burst!\But why is she so happy that I'm her boyfriend? response:	Yeah?
context: With my...\Boyfriend!\With my...\Boyfriend!\Boyfriend!\I'm about to burst!\But why is she so happy that I'm her boyfriend?\Yeah? response:	Huh?
context: Boyfriend!\With my...\Boyfriend!\Boyfriend!\I'm about to burst!\But why is she so happy that I'm her boyfriend?\Yeah?\Huh? response:	Okay.
context: With my...\Boyfriend!\Boyfriend!\I'm about to burst!\But why is she so happy that I'm her boyfriend?\Yeah?\Huh?\Okay. response:	Um...
context: Boyfriend!\Boyfriend!\I'm about to burst!\But why is she so happy that I'm her boyfriend?\Yeah?\Huh?\Okay.\Um... response:	What's wrong?
context: Boyfriend!\I'm about to burst!\But why is she so happy that I'm her boyfriend?\Yeah?\Huh?\Okay.\Um...\What's wrong? response:	Oh, um...
context: I'm about to burst!\But why is she so happy that I'm her boyfriend?\Yeah?\Huh?\Okay.\Um...\What's wrong?\Oh, um... response:	You can tell me.
context: But why is she so happy that I'm her boyfriend?\Yeah?\Huh?\Okay.\Um...\What's wrong?\Oh, um...\You can tell me. response:	U-Um, my friend wants to do a singles' meet.
context: Yeah?\Huh?\Okay.\Um...\What's wrong?\Oh, um...\You can tell me.\U-Um, my friend wants to do a singles' meet. response:	I have five friends who don't have boyfriends,
context: Huh?\Okay.\Um...\What's wrong?\Oh, um...\You can tell me.\U-Um, my friend wants to do a singles' meet.\I have five friends who don't have boyfriends, response:	and they want to meet you and your friends.
context: Okay.\Um...\What's wrong?\Oh, um...\You can tell me.\U-Um, my friend wants to do a singles' meet.\I have five friends who don't have boyfriends,\and they want to meet you and your friends. response:	I see...
context: Um...\What's wrong?\Oh, um...\You can tell me.\U-Um, my friend wants to do a singles' meet.\I have five friends who don't have boyfriends,\and they want to meet you and your friends.\I see... response:	Okay, got it.
context: What's wrong?\Oh, um...\You can tell me.\U-Um, my friend wants to do a singles' meet.\I have five friends who don't have boyfriends,\and they want to meet you and your friends.\I see...\Okay, got it. response:	I just have to get my friends together, right?
context: Oh, um...\You can tell me.\U-Um, my friend wants to do a singles' meet.\I have five friends who don't have boyfriends,\and they want to meet you and your friends.\I see...\Okay, got it.\I just have to get my friends together, right? response:	It's okay?
context: You can tell me.\U-Um, my friend wants to do a singles' meet.\I have five friends who don't have boyfriends,\and they want to meet you and your friends.\I see...\Okay, got it.\I just have to get my friends together, right?\It's okay? response:	No problem.
context: U-Um, my friend wants to do a singles' meet.\I have five friends who don't have boyfriends,\and they want to meet you and your friends.\I see...\Okay, got it.\I just have to get my friends together, right?\It's okay?\No problem. response:	He said it's okay.
context: I have five friends who don't have boyfriends,\and they want to meet you and your friends.\I see...\Okay, got it.\I just have to get my friends together, right?\It's okay?\No problem.\He said it's okay. response:	Yay!
context: and they want to meet you and your friends.\I see...\Okay, got it.\I just have to get my friends together, right?\It's okay?\No problem.\He said it's okay.\Yay! response:	Was that your boyfriend just now?
context: I see...\Okay, got it.\I just have to get my friends together, right?\It's okay?\No problem.\He said it's okay.\Yay!\Was that your boyfriend just now? response:	He has a nice deep voice.
context: Okay, got it.\I just have to get my friends together, right?\It's okay?\No problem.\He said it's okay.\Yay!\Was that your boyfriend just now?\He has a nice deep voice. response:	Don't worry, Yamato.
context: I just have to get my friends together, right?\It's okay?\No problem.\He said it's okay.\Yay!\Was that your boyfriend just now?\He has a nice deep voice.\Don't worry, Yamato. response:	Yeah.
context: It's okay?\No problem.\He said it's okay.\Yay!\Was that your boyfriend just now?\He has a nice deep voice.\Don't worry, Yamato.\Yeah. response:	Shuuei High School
context: No problem.\He said it's okay.\Yay!\Was that your boyfriend just now?\He has a nice deep voice.\Don't worry, Yamato.\Yeah.\Shuuei High School response:	When it comes to guy friends, I have more than most.
context: He said it's okay.\Yay!\Was that your boyfriend just now?\He has a nice deep voice.\Don't worry, Yamato.\Yeah.\Shuuei High School\When it comes to guy friends, I have more than most. response:	Morning, Takeo-kun.
context: Yay!\Was that your boyfriend just now?\He has a nice deep voice.\Don't worry, Yamato.\Yeah.\Shuuei High School\When it comes to guy friends, I have more than most.\Morning, Takeo-kun. response:	Takeo! Hey, how you doin'?
context: Was that your boyfriend just now?\He has a nice deep voice.\Don't worry, Yamato.\Yeah.\Shuuei High School\When it comes to guy friends, I have more than most.\Morning, Takeo-kun.\Takeo! Hey, how you doin'? response:	Yo, Takeo!
context: He has a nice deep voice.\Don't worry, Yamato.\Yeah.\Shuuei High School\When it comes to guy friends, I have more than most.\Morning, Takeo-kun.\Takeo! Hey, how you doin'?\Yo, Takeo! response:	Hey, morning!
context: Don't worry, Yamato.\Yeah.\Shuuei High School\When it comes to guy friends, I have more than most.\Morning, Takeo-kun.\Takeo! Hey, how you doin'?\Yo, Takeo!\Hey, morning! response:	Morning, Takeo!
context: Yeah.\Shuuei High School\When it comes to guy friends, I have more than most.\Morning, Takeo-kun.\Takeo! Hey, how you doin'?\Yo, Takeo!\Hey, morning!\Morning, Takeo! response:	Oh, hey, Takeo!
context: Shuuei High School\When it comes to guy friends, I have more than most.\Morning, Takeo-kun.\Takeo! Hey, how you doin'?\Yo, Takeo!\Hey, morning!\Morning, Takeo!\Oh, hey, Takeo! response:	Takeo!
context: When it comes to guy friends, I have more than most.\Morning, Takeo-kun.\Takeo! Hey, how you doin'?\Yo, Takeo!\Hey, morning!\Morning, Takeo!\Oh, hey, Takeo!\Takeo! response:	Takeo.
context: Morning, Takeo-kun.\Takeo! Hey, how you doin'?\Yo, Takeo!\Hey, morning!\Morning, Takeo!\Oh, hey, Takeo!\Takeo!\Takeo. response:	Yo, Takeo!
context: Takeo! Hey, how you doin'?\Yo, Takeo!\Hey, morning!\Morning, Takeo!\Oh, hey, Takeo!\Takeo!\Takeo.\Yo, Takeo! response:	What's wrong, Takeo?
context: Yo, Takeo!\Hey, morning!\Morning, Takeo!\Oh, hey, Takeo!\Takeo!\Takeo.\Yo, Takeo!\What's wrong, Takeo? response:	Something happen?
context: Hey, morning!\Morning, Takeo!\Oh, hey, Takeo!\Takeo!\Takeo.\Yo, Takeo!\What's wrong, Takeo?\Something happen? response:	Well... I have a girlfriend.
context: Morning, Takeo!\Oh, hey, Takeo!\Takeo!\Takeo.\Yo, Takeo!\What's wrong, Takeo?\Something happen?\Well... I have a girlfriend. response:	Those among you
context: Oh, hey, Takeo!\Takeo!\Takeo.\Yo, Takeo!\What's wrong, Takeo?\Something happen?\Well... I have a girlfriend.\Those among you response:	Seriously?
context: Takeo!\Takeo.\Yo, Takeo!\What's wrong, Takeo?\Something happen?\Well... I have a girlfriend.\Those among you\Seriously? response:	Congrats, Takeo!
context: Takeo.\Yo, Takeo!\What's wrong, Takeo?\Something happen?\Well... I have a girlfriend.\Those among you\Seriously?\Congrats, Takeo! response:	That makes me super happy, man!
context: Yo, Takeo!\What's wrong, Takeo?\Something happen?\Well... I have a girlfriend.\Those among you\Seriously?\Congrats, Takeo!\That makes me super happy, man! response:	Okay, time to celebrate!
context: What's wrong, Takeo?\Something happen?\Well... I have a girlfriend.\Those among you\Seriously?\Congrats, Takeo!\That makes me super happy, man!\Okay, time to celebrate! response:	Hup!
context: Something happen?\Well... I have a girlfriend.\Those among you\Seriously?\Congrats, Takeo!\That makes me super happy, man!\Okay, time to celebrate!\Hup! response:	Those among you who don't have a girlfriend,
context: Well... I have a girlfriend.\Those among you\Seriously?\Congrats, Takeo!\That makes me super happy, man!\Okay, time to celebrate!\Hup!\Those among you who don't have a girlfriend, response:	raise your hand.
context: Those among you\Seriously?\Congrats, Takeo!\That makes me super happy, man!\Okay, time to celebrate!\Hup!\Those among you who don't have a girlfriend,\raise your hand. response:	Me.
context: Seriously?\Congrats, Takeo!\That makes me super happy, man!\Okay, time to celebrate!\Hup!\Those among you who don't have a girlfriend,\raise your hand.\Me. response:	Those among you who want to do a singles' meet, raise your hand.
