context: Today was another exhausting day. response:	I just want to hurry home so I can relax.
context: I guess you'd call it horror suspense.\There are some pretty gross scenes,\but the thrills that seem to close in on you\and the realistic characters are great, aren't they?\Right, right!\Did you know that Rohan Kishibe actually lives in Morioh?\Huh?!\What?! He lives in Morioh?! response:	No way! You can't be serious! Really?!
context: There are some pretty gross scenes,\but the thrills that seem to close in on you\and the realistic characters are great, aren't they?\Right, right!\Did you know that Rohan Kishibe actually lives in Morioh?\Huh?!\What?! He lives in Morioh?!\No way! You can't be serious! Really?! response:	I couldn't believe it, either!
context: but the thrills that seem to close in on you\and the realistic characters are great, aren't they?\Right, right!\Did you know that Rohan Kishibe actually lives in Morioh?\Huh?!\What?! He lives in Morioh?!\No way! You can't be serious! Really?!\I couldn't believe it, either! response:	But I happened to overhear some realtors talking.
context: and the realistic characters are great, aren't they?\Right, right!\Did you know that Rohan Kishibe actually lives in Morioh?\Huh?!\What?! He lives in Morioh?!\No way! You can't be serious! Really?!\I couldn't believe it, either!\But I happened to overhear some realtors talking. response:	I know it seems unbelievable, but it's true!
context: Right, right!\Did you know that Rohan Kishibe actually lives in Morioh?\Huh?!\What?! He lives in Morioh?!\No way! You can't be serious! Really?!\I couldn't believe it, either!\But I happened to overhear some realtors talking.\I know it seems unbelievable, but it's true! response:	Hey, want to go see if we can get some autographs?
context: Did you know that Rohan Kishibe actually lives in Morioh?\Huh?!\What?! He lives in Morioh?!\No way! You can't be serious! Really?!\I couldn't believe it, either!\But I happened to overhear some realtors talking.\I know it seems unbelievable, but it's true!\Hey, want to go see if we can get some autographs? response:	Morioh Station
context: Huh?!\What?! He lives in Morioh?!\No way! You can't be serious! Really?!\I couldn't believe it, either!\But I happened to overhear some realtors talking.\I know it seems unbelievable, but it's true!\Hey, want to go see if we can get some autographs?\Morioh Station response:	Yes! Of course I'll go!
context: What?! He lives in Morioh?!\No way! You can't be serious! Really?!\I couldn't believe it, either!\But I happened to overhear some realtors talking.\I know it seems unbelievable, but it's true!\Hey, want to go see if we can get some autographs?\Morioh Station\Yes! Of course I'll go! response:	Rohan Kishibe's House
context: No way! You can't be serious! Really?!\I couldn't believe it, either!\But I happened to overhear some realtors talking.\I know it seems unbelievable, but it's true!\Hey, want to go see if we can get some autographs?\Morioh Station\Yes! Of course I'll go!\Rohan Kishibe's House response:	Looks like we think alike!
context: I couldn't believe it, either!\But I happened to overhear some realtors talking.\I know it seems unbelievable, but it's true!\Hey, want to go see if we can get some autographs?\Morioh Station\Yes! Of course I'll go!\Rohan Kishibe's House\Looks like we think alike! response:	Really?
context: But I happened to overhear some realtors talking.\I know it seems unbelievable, but it's true!\Hey, want to go see if we can get some autographs?\Morioh Station\Yes! Of course I'll go!\Rohan Kishibe's House\Looks like we think alike!\Really? response:	Kishibe
context: I know it seems unbelievable, but it's true!\Hey, want to go see if we can get some autographs?\Morioh Station\Yes! Of course I'll go!\Rohan Kishibe's House\Looks like we think alike!\Really?\Kishibe response:	Over there!
context: Hey, want to go see if we can get some autographs?\Morioh Station\Yes! Of course I'll go!\Rohan Kishibe's House\Looks like we think alike!\Really?\Kishibe\Over there! response:	I think that might be his studio.
context: Morioh Station\Yes! Of course I'll go!\Rohan Kishibe's House\Looks like we think alike!\Really?\Kishibe\Over there!\I think that might be his studio. response:	The light's on!
context: Yes! Of course I'll go!\Rohan Kishibe's House\Looks like we think alike!\Really?\Kishibe\Over there!\I think that might be his studio.\The light's on! response:	You're right...
context: Rohan Kishibe's House\Looks like we think alike!\Really?\Kishibe\Over there!\I think that might be his studio.\The light's on!\You're right... response:	I wonder if he has any other family.
context: Looks like we think alike!\Really?\Kishibe\Over there!\I think that might be his studio.\The light's on!\You're right...\I wonder if he has any other family. response:	I heard he lives alone.
context: Really?\Kishibe\Over there!\I think that might be his studio.\The light's on!\You're right...\I wonder if he has any other family.\I heard he lives alone. response:	He debuted at sixteen, and now he's twenty.
context: Kishibe\Over there!\I think that might be his studio.\The light's on!\You're right...\I wonder if he has any other family.\I heard he lives alone.\He debuted at sixteen, and now he's twenty. response:	Twenty?! He's so young!
context: Over there!\I think that might be his studio.\The light's on!\You're right...\I wonder if he has any other family.\I heard he lives alone.\He debuted at sixteen, and now he's twenty.\Twenty?! He's so young! response:	So he became a pro at my age.
context: I think that might be his studio.\The light's on!\You're right...\I wonder if he has any other family.\I heard he lives alone.\He debuted at sixteen, and now he's twenty.\Twenty?! He's so young!\So he became a pro at my age. response:	There's no point in snooping around, Koichi.
context: The light's on!\You're right...\I wonder if he has any other family.\I heard he lives alone.\He debuted at sixteen, and now he's twenty.\Twenty?! He's so young!\So he became a pro at my age.\There's no point in snooping around, Koichi. response:	Try ringing the doorbell.
context: You're right...\I wonder if he has any other family.\I heard he lives alone.\He debuted at sixteen, and now he's twenty.\Twenty?! He's so young!\So he became a pro at my age.\There's no point in snooping around, Koichi.\Try ringing the doorbell. response:	M-Me?
context: I wonder if he has any other family.\I heard he lives alone.\He debuted at sixteen, and now he's twenty.\Twenty?! He's so young!\So he became a pro at my age.\There's no point in snooping around, Koichi.\Try ringing the doorbell.\M-Me? response:	Oh, come on! I'm ordering you, as an older student.
context: I heard he lives alone.\He debuted at sixteen, and now he's twenty.\Twenty?! He's so young!\So he became a pro at my age.\There's no point in snooping around, Koichi.\Try ringing the doorbell.\M-Me?\Oh, come on! I'm ordering you, as an older student. response:	I tend to get pretty nervous.
context: He debuted at sixteen, and now he's twenty.\Twenty?! He's so young!\So he became a pro at my age.\There's no point in snooping around, Koichi.\Try ringing the doorbell.\M-Me?\Oh, come on! I'm ordering you, as an older student.\I tend to get pretty nervous. response:	What? That's not fair...
context: Twenty?! He's so young!\So he became a pro at my age.\There's no point in snooping around, Koichi.\Try ringing the doorbell.\M-Me?\Oh, come on! I'm ordering you, as an older student.\I tend to get pretty nervous.\What? That's not fair... response:	Episode 14 Let's Go to the Manga Artist's House, Part 1
context: So he became a pro at my age.\There's no point in snooping around, Koichi.\Try ringing the doorbell.\M-Me?\Oh, come on! I'm ordering you, as an older student.\I tend to get pretty nervous.\What? That's not fair...\Episode 14 Let's Go to the Manga Artist's House, Part 1 response:	That face!
context: There's no point in snooping around, Koichi.\Try ringing the doorbell.\M-Me?\Oh, come on! I'm ordering you, as an older student.\I tend to get pretty nervous.\What? That's not fair...\Episode 14 Let's Go to the Manga Artist's House, Part 1\That face! response:	Rohan Kishibe!
context: Try ringing the doorbell.\M-Me?\Oh, come on! I'm ordering you, as an older student.\I tend to get pretty nervous.\What? That's not fair...\Episode 14 Let's Go to the Manga Artist's House, Part 1\That face!\Rohan Kishibe! response:	He looks just like his picture in the New Year's deluxe edition!
context: M-Me?\Oh, come on! I'm ordering you, as an older student.\I tend to get pretty nervous.\What? That's not fair...\Episode 14 Let's Go to the Manga Artist's House, Part 1\That face!\Rohan Kishibe!\He looks just like his picture in the New Year's deluxe edition! response:	Uh, I mean... Rohan-sensei!
context: Oh, come on! I'm ordering you, as an older student.\I tend to get pretty nervous.\What? That's not fair...\Episode 14 Let's Go to the Manga Artist's House, Part 1\That face!\Rohan Kishibe!\He looks just like his picture in the New Year's deluxe edition!\Uh, I mean... Rohan-sensei! response:	H-Huh?
context: I tend to get pretty nervous.\What? That's not fair...\Episode 14 Let's Go to the Manga Artist's House, Part 1\That face!\Rohan Kishibe!\He looks just like his picture in the New Year's deluxe edition!\Uh, I mean... Rohan-sensei!\H-Huh? response:	Who are you two?
context: What? That's not fair...\Episode 14 Let's Go to the Manga Artist's House, Part 1\That face!\Rohan Kishibe!\He looks just like his picture in the New Year's deluxe edition!\Uh, I mean... Rohan-sensei!\H-Huh?\Who are you two? response:	What are you doing? Playing a prank?
context: Episode 14 Let's Go to the Manga Artist's House, Part 1\That face!\Rohan Kishibe!\He looks just like his picture in the New Year's deluxe edition!\Uh, I mean... Rohan-sensei!\H-Huh?\Who are you two?\What are you doing? Playing a prank? response:	N-No! We would never!
context: That face!\Rohan Kishibe!\He looks just like his picture in the New Year's deluxe edition!\Uh, I mean... Rohan-sensei!\H-Huh?\Who are you two?\What are you doing? Playing a prank?\N-No! We would never! response:	Um, we're students at Budogaoka High School.
context: Rohan Kishibe!\He looks just like his picture in the New Year's deluxe edition!\Uh, I mean... Rohan-sensei!\H-Huh?\Who are you two?\What are you doing? Playing a prank?\N-No! We would never!\Um, we're students at Budogaoka High School. response:	W-We're fans of yours, Sensei.
context: He looks just like his picture in the New Year's deluxe edition!\Uh, I mean... Rohan-sensei!\H-Huh?\Who are you two?\What are you doing? Playing a prank?\N-No! We would never!\Um, we're students at Budogaoka High School.\W-We're fans of yours, Sensei. response:	Fans? Of mine? You're readers?
context: Uh, I mean... Rohan-sensei!\H-Huh?\Who are you two?\What are you doing? Playing a prank?\N-No! We would never!\Um, we're students at Budogaoka High School.\W-We're fans of yours, Sensei.\Fans? Of mine? You're readers? response:	So my address has gotten out.
context: H-Huh?\Who are you two?\What are you doing? Playing a prank?\N-No! We would never!\Um, we're students at Budogaoka High School.\W-We're fans of yours, Sensei.\Fans? Of mine? You're readers?\So my address has gotten out. response:	N-No, um... I just happened to overhear it.
context: Who are you two?\What are you doing? Playing a prank?\N-No! We would never!\Um, we're students at Budogaoka High School.\W-We're fans of yours, Sensei.\Fans? Of mine? You're readers?\So my address has gotten out.\N-No, um... I just happened to overhear it. response:	So, I know this is sudden,
context: What are you doing? Playing a prank?\N-No! We would never!\Um, we're students at Budogaoka High School.\W-We're fans of yours, Sensei.\Fans? Of mine? You're readers?\So my address has gotten out.\N-No, um... I just happened to overhear it.\So, I know this is sudden, response:	but it would make us really happy if we could get your autograph.
context: N-No! We would never!\Um, we're students at Budogaoka High School.\W-We're fans of yours, Sensei.\Fans? Of mine? You're readers?\So my address has gotten out.\N-No, um... I just happened to overhear it.\So, I know this is sudden,\but it would make us really happy if we could get your autograph. response:	Fans of mine, eh?
context: Um, we're students at Budogaoka High School.\W-We're fans of yours, Sensei.\Fans? Of mine? You're readers?\So my address has gotten out.\N-No, um... I just happened to overhear it.\So, I know this is sudden,\but it would make us really happy if we could get your autograph.\Fans of mine, eh? response:	That's good.
context: W-We're fans of yours, Sensei.\Fans? Of mine? You're readers?\So my address has gotten out.\N-No, um... I just happened to overhear it.\So, I know this is sudden,\but it would make us really happy if we could get your autograph.\Fans of mine, eh?\That's good. response:	We might be on the same wavelength, then.
context: Fans? Of mine? You're readers?\So my address has gotten out.\N-No, um... I just happened to overhear it.\So, I know this is sudden,\but it would make us really happy if we could get your autograph.\Fans of mine, eh?\That's good.\We might be on the same wavelength, then. response:	Huh?
context: So my address has gotten out.\N-No, um... I just happened to overhear it.\So, I know this is sudden,\but it would make us really happy if we could get your autograph.\Fans of mine, eh?\That's good.\We might be on the same wavelength, then.\Huh? response:	Nothing, never mind. Pardon.
context: N-No, um... I just happened to overhear it.\So, I know this is sudden,\but it would make us really happy if we could get your autograph.\Fans of mine, eh?\That's good.\We might be on the same wavelength, then.\Huh?\Nothing, never mind. Pardon. response:	An autograph or two is no problem at all.
context: So, I know this is sudden,\but it would make us really happy if we could get your autograph.\Fans of mine, eh?\That's good.\We might be on the same wavelength, then.\Huh?\Nothing, never mind. Pardon.\An autograph or two is no problem at all. response:	Yes! I guess it's a good thing we came.
context: but it would make us really happy if we could get your autograph.\Fans of mine, eh?\That's good.\We might be on the same wavelength, then.\Huh?\Nothing, never mind. Pardon.\An autograph or two is no problem at all.\Yes! I guess it's a good thing we came. response:	I know.
context: Fans of mine, eh?\That's good.\We might be on the same wavelength, then.\Huh?\Nothing, never mind. Pardon.\An autograph or two is no problem at all.\Yes! I guess it's a good thing we came.\I know. response:	Since you're here, would you like a tour of my studio?
context: That's good.\We might be on the same wavelength, then.\Huh?\Nothing, never mind. Pardon.\An autograph or two is no problem at all.\Yes! I guess it's a good thing we came.\I know.\Since you're here, would you like a tour of my studio? response:	Huh?
context: We might be on the same wavelength, then.\Huh?\Nothing, never mind. Pardon.\An autograph or two is no problem at all.\Yes! I guess it's a good thing we came.\I know.\Since you're here, would you like a tour of my studio?\Huh? response:	You'll let us go into your studio?!
context: Huh?\Nothing, never mind. Pardon.\An autograph or two is no problem at all.\Yes! I guess it's a good thing we came.\I know.\Since you're here, would you like a tour of my studio?\Huh?\You'll let us go into your studio?! response:	I'm already done with my work for the day, so if you two would like...
context: Nothing, never mind. Pardon.\An autograph or two is no problem at all.\Yes! I guess it's a good thing we came.\I know.\Since you're here, would you like a tour of my studio?\Huh?\You'll let us go into your studio?!\I'm already done with my work for the day, so if you two would like... response:	Of course!
context: An autograph or two is no problem at all.\Yes! I guess it's a good thing we came.\I know.\Since you're here, would you like a tour of my studio?\Huh?\You'll let us go into your studio?!\I'm already done with my work for the day, so if you two would like...\Of course! response:	Then...
context: Yes! I guess it's a good thing we came.\I know.\Since you're here, would you like a tour of my studio?\Huh?\You'll let us go into your studio?!\I'm already done with my work for the day, so if you two would like...\Of course!\Then... response:	Pardon the intrusion!
context: I know.\Since you're here, would you like a tour of my studio?\Huh?\You'll let us go into your studio?!\I'm already done with my work for the day, so if you two would like...\Of course!\Then...\Pardon the intrusion! response:	Come in.
context: Since you're here, would you like a tour of my studio?\Huh?\You'll let us go into your studio?!\I'm already done with my work for the day, so if you two would like...\Of course!\Then...\Pardon the intrusion!\Come in. response:	Wow!
context: Huh?\You'll let us go into your studio?!\I'm already done with my work for the day, so if you two would like...\Of course!\Then...\Pardon the intrusion!\Come in.\Wow! response:	Wow! Raw 4-color manuscript!
context: You'll let us go into your studio?!\I'm already done with my work for the day, so if you two would like...\Of course!\Then...\Pardon the intrusion!\Come in.\Wow!\Wow! Raw 4-color manuscript! response:	This is amazing! It has so much more impact!
context: I'm already done with my work for the day, so if you two would like...\Of course!\Then...\Pardon the intrusion!\Come in.\Wow!\Wow! Raw 4-color manuscript!\This is amazing! It has so much more impact! response:	I-I'm so moved! I-I-I'm so glad that we came!
context: Of course!\Then...\Pardon the intrusion!\Come in.\Wow!\Wow! Raw 4-color manuscript!\This is amazing! It has so much more impact!\I-I'm so moved! I-I-I'm so glad that we came! response:	How long have you been working in Morioh?
context: Then...\Pardon the intrusion!\Come in.\Wow!\Wow! Raw 4-color manuscript!\This is amazing! It has so much more impact!\I-I'm so moved! I-I-I'm so glad that we came!\How long have you been working in Morioh? response:	I moved here three months ago.
context: Pardon the intrusion!\Come in.\Wow!\Wow! Raw 4-color manuscript!\This is amazing! It has so much more impact!\I-I'm so moved! I-I-I'm so glad that we came!\How long have you been working in Morioh?\I moved here three months ago. response:	My family home is in S City,
context: Come in.\Wow!\Wow! Raw 4-color manuscript!\This is amazing! It has so much more impact!\I-I'm so moved! I-I-I'm so glad that we came!\How long have you been working in Morioh?\I moved here three months ago.\My family home is in S City, response:	but I lived here for a time when I was a child.
context: Wow!\Wow! Raw 4-color manuscript!\This is amazing! It has so much more impact!\I-I'm so moved! I-I-I'm so glad that we came!\How long have you been working in Morioh?\I moved here three months ago.\My family home is in S City,\but I lived here for a time when I was a child. response:	Tokyo is very convenient, but it's pretty chaotic.
context: Wow! Raw 4-color manuscript!\This is amazing! It has so much more impact!\I-I'm so moved! I-I-I'm so glad that we came!\How long have you been working in Morioh?\I moved here three months ago.\My family home is in S City,\but I lived here for a time when I was a child.\Tokyo is very convenient, but it's pretty chaotic. response:	The environment is nowhere near
context: This is amazing! It has so much more impact!\I-I'm so moved! I-I-I'm so glad that we came!\How long have you been working in Morioh?\I moved here three months ago.\My family home is in S City,\but I lived here for a time when I was a child.\Tokyo is very convenient, but it's pretty chaotic.\The environment is nowhere near response:	as calm as it is in Morioh, and I can't work there.
context: I-I'm so moved! I-I-I'm so glad that we came!\How long have you been working in Morioh?\I moved here three months ago.\My family home is in S City,\but I lived here for a time when I was a child.\Tokyo is very convenient, but it's pretty chaotic.\The environment is nowhere near\as calm as it is in Morioh, and I can't work there. response:	Not to mention,
context: How long have you been working in Morioh?\I moved here three months ago.\My family home is in S City,\but I lived here for a time when I was a child.\Tokyo is very convenient, but it's pretty chaotic.\The environment is nowhere near\as calm as it is in Morioh, and I can't work there.\Not to mention, response:	with the fax machines and copiers we have these days,
context: I moved here three months ago.\My family home is in S City,\but I lived here for a time when I was a child.\Tokyo is very convenient, but it's pretty chaotic.\The environment is nowhere near\as calm as it is in Morioh, and I can't work there.\Not to mention,\with the fax machines and copiers we have these days, response:	I have a system where, given four hours,
context: My family home is in S City,\but I lived here for a time when I was a child.\Tokyo is very convenient, but it's pretty chaotic.\The environment is nowhere near\as calm as it is in Morioh, and I can't work there.\Not to mention,\with the fax machines and copiers we have these days,\I have a system where, given four hours, response:	I can send in a complete manuscript.
context: but I lived here for a time when I was a child.\Tokyo is very convenient, but it's pretty chaotic.\The environment is nowhere near\as calm as it is in Morioh, and I can't work there.\Not to mention,\with the fax machines and copiers we have these days,\I have a system where, given four hours,\I can send in a complete manuscript. response:	You could say there's no point in living in
context: Tokyo is very convenient, but it's pretty chaotic.\The environment is nowhere near\as calm as it is in Morioh, and I can't work there.\Not to mention,\with the fax machines and copiers we have these days,\I have a system where, given four hours,\I can send in a complete manuscript.\You could say there's no point in living in response:	the city now, other than for pointless status.
context: The environment is nowhere near\as calm as it is in Morioh, and I can't work there.\Not to mention,\with the fax machines and copiers we have these days,\I have a system where, given four hours,\I can send in a complete manuscript.\You could say there's no point in living in\the city now, other than for pointless status. response:	Um... So what do you do for assistants or staff?
context: as calm as it is in Morioh, and I can't work there.\Not to mention,\with the fax machines and copiers we have these days,\I have a system where, given four hours,\I can send in a complete manuscript.\You could say there's no point in living in\the city now, other than for pointless status.\Um... So what do you do for assistants or staff? response:	I don't have any. I draw it all by myself.
context: Not to mention,\with the fax machines and copiers we have these days,\I have a system where, given four hours,\I can send in a complete manuscript.\You could say there's no point in living in\the city now, other than for pointless status.\Um... So what do you do for assistants or staff?\I don't have any. I draw it all by myself. response:	Huh? All by yourself?!
context: with the fax machines and copiers we have these days,\I have a system where, given four hours,\I can send in a complete manuscript.\You could say there's no point in living in\the city now, other than for pointless status.\Um... So what do you do for assistants or staff?\I don't have any. I draw it all by myself.\Huh? All by yourself?! response:	You draw 19 pages of such elaborate art in just one week?!
context: I have a system where, given four hours,\I can send in a complete manuscript.\You could say there's no point in living in\the city now, other than for pointless status.\Um... So what do you do for assistants or staff?\I don't have any. I draw it all by myself.\Huh? All by yourself?!\You draw 19 pages of such elaborate art in just one week?! response:	I can draw them in four days. Five if there are color pages.
context: I can send in a complete manuscript.\You could say there's no point in living in\the city now, other than for pointless status.\Um... So what do you do for assistants or staff?\I don't have any. I draw it all by myself.\Huh? All by yourself?!\You draw 19 pages of such elaborate art in just one week?!\I can draw them in four days. Five if there are color pages. response:	What?!
context: You could say there's no point in living in\the city now, other than for pointless status.\Um... So what do you do for assistants or staff?\I don't have any. I draw it all by myself.\Huh? All by yourself?!\You draw 19 pages of such elaborate art in just one week?!\I can draw them in four days. Five if there are color pages.\What?! response:	On the remaining days, I have fun going on trips and such.
context: the city now, other than for pointless status.\Um... So what do you do for assistants or staff?\I don't have any. I draw it all by myself.\Huh? All by yourself?!\You draw 19 pages of such elaborate art in just one week?!\I can draw them in four days. Five if there are color pages.\What?!\On the remaining days, I have fun going on trips and such. response:	I don't really like dealing with people,
context: Um... So what do you do for assistants or staff?\I don't have any. I draw it all by myself.\Huh? All by yourself?!\You draw 19 pages of such elaborate art in just one week?!\I can draw them in four days. Five if there are color pages.\What?!\On the remaining days, I have fun going on trips and such.\I don't really like dealing with people, response:	and that's why I chose to be a manga artist.
context: I don't have any. I draw it all by myself.\Huh? All by yourself?!\You draw 19 pages of such elaborate art in just one week?!\I can draw them in four days. Five if there are color pages.\What?!\On the remaining days, I have fun going on trips and such.\I don't really like dealing with people,\and that's why I chose to be a manga artist. response:	If I had an assistant, it'd be harder for me to work.
context: Huh? All by yourself?!\You draw 19 pages of such elaborate art in just one week?!\I can draw them in four days. Five if there are color pages.\What?!\On the remaining days, I have fun going on trips and such.\I don't really like dealing with people,\and that's why I chose to be a manga artist.\If I had an assistant, it'd be harder for me to work. response:	That's so amazing... Wow.
