context: Time has really flown. Has it already been three years? response:	Wataya Family Grave
context: W-Wait!\I just put those sandwiches there as an offering.\I can understand why Grandpa and Dad never got along.\Your grandpa didn't like me\because I wasn't interested in karuta!\Your quarrels were the reason you took\a job in Tokyo and forced Arata to switch schools.\B-But! response:	It was a good experience, right?
context: I just put those sandwiches there as an offering.\I can understand why Grandpa and Dad never got along.\Your grandpa didn't like me\because I wasn't interested in karuta!\Your quarrels were the reason you took\a job in Tokyo and forced Arata to switch schools.\B-But!\It was a good experience, right? response:	You made friends in Tokyo.
context: I can understand why Grandpa and Dad never got along.\Your grandpa didn't like me\because I wasn't interested in karuta!\Your quarrels were the reason you took\a job in Tokyo and forced Arata to switch schools.\B-But!\It was a good experience, right?\You made friends in Tokyo. response:	That's right.
context: Your grandpa didn't like me\because I wasn't interested in karuta!\Your quarrels were the reason you took\a job in Tokyo and forced Arata to switch schools.\B-But!\It was a good experience, right?\You made friends in Tokyo.\That's right. response:	The Tokyo High School Regional is today.
context: because I wasn't interested in karuta!\Your quarrels were the reason you took\a job in Tokyo and forced Arata to switch schools.\B-But!\It was a good experience, right?\You made friends in Tokyo.\That's right.\The Tokyo High School Regional is today. response:	Are your friends doing well?
context: Your quarrels were the reason you took\a job in Tokyo and forced Arata to switch schools.\B-But!\It was a good experience, right?\You made friends in Tokyo.\That's right.\The Tokyo High School Regional is today.\Are your friends doing well? response:	You exchange e-mails, right?
context: a job in Tokyo and forced Arata to switch schools.\B-But!\It was a good experience, right?\You made friends in Tokyo.\That's right.\The Tokyo High School Regional is today.\Are your friends doing well?\You exchange e-mails, right? response:	No, not as often as before.
context: B-But!\It was a good experience, right?\You made friends in Tokyo.\That's right.\The Tokyo High School Regional is today.\Are your friends doing well?\You exchange e-mails, right?\No, not as often as before. response:	You need to send more e-mails
context: It was a good experience, right?\You made friends in Tokyo.\That's right.\The Tokyo High School Regional is today.\Are your friends doing well?\You exchange e-mails, right?\No, not as often as before.\You need to send more e-mails response:	or your friends in Tokyo will forget about you.
context: You made friends in Tokyo.\That's right.\The Tokyo High School Regional is today.\Are your friends doing well?\You exchange e-mails, right?\No, not as often as before.\You need to send more e-mails\or your friends in Tokyo will forget about you. response:	Really? I doubt that would happen.
context: That's right.\The Tokyo High School Regional is today.\Are your friends doing well?\You exchange e-mails, right?\No, not as often as before.\You need to send more e-mails\or your friends in Tokyo will forget about you.\Really? I doubt that would happen. response:	Cell phones are incredible!
context: The Tokyo High School Regional is today.\Are your friends doing well?\You exchange e-mails, right?\No, not as often as before.\You need to send more e-mails\or your friends in Tokyo will forget about you.\Really? I doubt that would happen.\Cell phones are incredible! response:	Like the misty bridge!
context: Are your friends doing well?\You exchange e-mails, right?\No, not as often as before.\You need to send more e-mails\or your friends in Tokyo will forget about you.\Really? I doubt that would happen.\Cell phones are incredible!\Like the misty bridge! response:	Chihaya...
context: You exchange e-mails, right?\No, not as often as before.\You need to send more e-mails\or your friends in Tokyo will forget about you.\Really? I doubt that would happen.\Cell phones are incredible!\Like the misty bridge!\Chihaya... response:	In my mind, our misty bridge...
context: No, not as often as before.\You need to send more e-mails\or your friends in Tokyo will forget about you.\Really? I doubt that would happen.\Cell phones are incredible!\Like the misty bridge!\Chihaya...\In my mind, our misty bridge... response:	is not a cell phone, but something else.
context: You need to send more e-mails\or your friends in Tokyo will forget about you.\Really? I doubt that would happen.\Cell phones are incredible!\Like the misty bridge!\Chihaya...\In my mind, our misty bridge...\is not a cell phone, but something else. response:	Mom, Dad.
context: or your friends in Tokyo will forget about you.\Really? I doubt that would happen.\Cell phones are incredible!\Like the misty bridge!\Chihaya...\In my mind, our misty bridge...\is not a cell phone, but something else.\Mom, Dad. response:	If I win the National High School Championship,
context: Really? I doubt that would happen.\Cell phones are incredible!\Like the misty bridge!\Chihaya...\In my mind, our misty bridge...\is not a cell phone, but something else.\Mom, Dad.\If I win the National High School Championship, response:	I want you to grant my request.
context: Cell phones are incredible!\Like the misty bridge!\Chihaya...\In my mind, our misty bridge...\is not a cell phone, but something else.\Mom, Dad.\If I win the National High School Championship,\I want you to grant my request. response:	Chihaya Furu
context: Like the misty bridge!\Chihaya...\In my mind, our misty bridge...\is not a cell phone, but something else.\Mom, Dad.\If I win the National High School Championship,\I want you to grant my request.\Chihaya Furu response:	Verse 4
context: Chihaya...\In my mind, our misty bridge...\is not a cell phone, but something else.\Mom, Dad.\If I win the National High School Championship,\I want you to grant my request.\Chihaya Furu\Verse 4 response:	To tell the people in the capital that I make for the islands
context: In my mind, our misty bridge...\is not a cell phone, but something else.\Mom, Dad.\If I win the National High School Championship,\I want you to grant my request.\Chihaya Furu\Verse 4\To tell the people in the capital that I make for the islands response:	Man, I'm so excited.
context: is not a cell phone, but something else.\Mom, Dad.\If I win the National High School Championship,\I want you to grant my request.\Chihaya Furu\Verse 4\To tell the people in the capital that I make for the islands\Man, I'm so excited. response:	I hope we don't miss the finals.
context: Mom, Dad.\If I win the National High School Championship,\I want you to grant my request.\Chihaya Furu\Verse 4\To tell the people in the capital that I make for the islands\Man, I'm so excited.\I hope we don't miss the finals. response:	They should have made it past the prelim stage, easy.
context: If I win the National High School Championship,\I want you to grant my request.\Chihaya Furu\Verse 4\To tell the people in the capital that I make for the islands\Man, I'm so excited.\I hope we don't miss the finals.\They should have made it past the prelim stage, easy. response:	Yes, yes, Doctor.
context: I want you to grant my request.\Chihaya Furu\Verse 4\To tell the people in the capital that I make for the islands\Man, I'm so excited.\I hope we don't miss the finals.\They should have made it past the prelim stage, easy.\Yes, yes, Doctor. response:	Mashima-kun hasn't sent any e-mails about them losing yet.
context: Chihaya Furu\Verse 4\To tell the people in the capital that I make for the islands\Man, I'm so excited.\I hope we don't miss the finals.\They should have made it past the prelim stage, easy.\Yes, yes, Doctor.\Mashima-kun hasn't sent any e-mails about them losing yet. response:	Eyebrows...
context: Verse 4\To tell the people in the capital that I make for the islands\Man, I'm so excited.\I hope we don't miss the finals.\They should have made it past the prelim stage, easy.\Yes, yes, Doctor.\Mashima-kun hasn't sent any e-mails about them losing yet.\Eyebrows... response:	I wonder what his problem is.
context: To tell the people in the capital that I make for the islands\Man, I'm so excited.\I hope we don't miss the finals.\They should have made it past the prelim stage, easy.\Yes, yes, Doctor.\Mashima-kun hasn't sent any e-mails about them losing yet.\Eyebrows...\I wonder what his problem is. response:	Based on his play during practice, he should be a Class A player now.
context: Man, I'm so excited.\I hope we don't miss the finals.\They should have made it past the prelim stage, easy.\Yes, yes, Doctor.\Mashima-kun hasn't sent any e-mails about them losing yet.\Eyebrows...\I wonder what his problem is.\Based on his play during practice, he should be a Class A player now. response:	He's put in so much effort, so why can't he win a tournament?
context: I hope we don't miss the finals.\They should have made it past the prelim stage, easy.\Yes, yes, Doctor.\Mashima-kun hasn't sent any e-mails about them losing yet.\Eyebrows...\I wonder what his problem is.\Based on his play during practice, he should be a Class A player now.\He's put in so much effort, so why can't he win a tournament? response:	Doctor, I ran into
context: They should have made it past the prelim stage, easy.\Yes, yes, Doctor.\Mashima-kun hasn't sent any e-mails about them losing yet.\Eyebrows...\I wonder what his problem is.\Based on his play during practice, he should be a Class A player now.\He's put in so much effort, so why can't he win a tournament?\Doctor, I ran into response:	Mashima-kun at the Kyoto and Hiroshima tournaments
context: Yes, yes, Doctor.\Mashima-kun hasn't sent any e-mails about them losing yet.\Eyebrows...\I wonder what his problem is.\Based on his play during practice, he should be a Class A player now.\He's put in so much effort, so why can't he win a tournament?\Doctor, I ran into\Mashima-kun at the Kyoto and Hiroshima tournaments response:	and watched him play.
context: Mashima-kun hasn't sent any e-mails about them losing yet.\Eyebrows...\I wonder what his problem is.\Based on his play during practice, he should be a Class A player now.\He's put in so much effort, so why can't he win a tournament?\Doctor, I ran into\Mashima-kun at the Kyoto and Hiroshima tournaments\and watched him play. response:	It seems like...
context: Eyebrows...\I wonder what his problem is.\Based on his play during practice, he should be a Class A player now.\He's put in so much effort, so why can't he win a tournament?\Doctor, I ran into\Mashima-kun at the Kyoto and Hiroshima tournaments\and watched him play.\It seems like... response:	He can never catch a lucky break when he needs it the most.
context: I wonder what his problem is.\Based on his play during practice, he should be a Class A player now.\He's put in so much effort, so why can't he win a tournament?\Doctor, I ran into\Mashima-kun at the Kyoto and Hiroshima tournaments\and watched him play.\It seems like...\He can never catch a lucky break when he needs it the most. response:	Mashima-senpai!
context: Based on his play during practice, he should be a Class A player now.\He's put in so much effort, so why can't he win a tournament?\Doctor, I ran into\Mashima-kun at the Kyoto and Hiroshima tournaments\and watched him play.\It seems like...\He can never catch a lucky break when he needs it the most.\Mashima-senpai! response:	I made them myself <3
context: He's put in so much effort, so why can't he win a tournament?\Doctor, I ran into\Mashima-kun at the Kyoto and Hiroshima tournaments\and watched him play.\It seems like...\He can never catch a lucky break when he needs it the most.\Mashima-senpai!\I made them myself <3 response:	Please, have some!
context: Doctor, I ran into\Mashima-kun at the Kyoto and Hiroshima tournaments\and watched him play.\It seems like...\He can never catch a lucky break when he needs it the most.\Mashima-senpai!\I made them myself <3\Please, have some! response:	Sorry, I try to avoid eating anything solid before a match.
context: Mashima-kun at the Kyoto and Hiroshima tournaments\and watched him play.\It seems like...\He can never catch a lucky break when he needs it the most.\Mashima-senpai!\I made them myself <3\Please, have some!\Sorry, I try to avoid eating anything solid before a match. response:	Wait. Mashima, you're copying Dr. Harada?
context: and watched him play.\It seems like...\He can never catch a lucky break when he needs it the most.\Mashima-senpai!\I made them myself <3\Please, have some!\Sorry, I try to avoid eating anything solid before a match.\Wait. Mashima, you're copying Dr. Harada? response:	I'm gonna eat up.
context: It seems like...\He can never catch a lucky break when he needs it the most.\Mashima-senpai!\I made them myself <3\Please, have some!\Sorry, I try to avoid eating anything solid before a match.\Wait. Mashima, you're copying Dr. Harada?\I'm gonna eat up. response:	If we win our next match, we're in the Nationals!
context: He can never catch a lucky break when he needs it the most.\Mashima-senpai!\I made them myself <3\Please, have some!\Sorry, I try to avoid eating anything solid before a match.\Wait. Mashima, you're copying Dr. Harada?\I'm gonna eat up.\If we win our next match, we're in the Nationals! response:	You can have some, boys.
context: Mashima-senpai!\I made them myself <3\Please, have some!\Sorry, I try to avoid eating anything solid before a match.\Wait. Mashima, you're copying Dr. Harada?\I'm gonna eat up.\If we win our next match, we're in the Nationals!\You can have some, boys. response:	Yay!
context: I made them myself <3\Please, have some!\Sorry, I try to avoid eating anything solid before a match.\Wait. Mashima, you're copying Dr. Harada?\I'm gonna eat up.\If we win our next match, we're in the Nationals!\You can have some, boys.\Yay! response:	Don't think too much.
context: Please, have some!\Sorry, I try to avoid eating anything solid before a match.\Wait. Mashima, you're copying Dr. Harada?\I'm gonna eat up.\If we win our next match, we're in the Nationals!\You can have some, boys.\Yay!\Don't think too much. response:	If I lose after doing everything I can, I can accept that.
context: Sorry, I try to avoid eating anything solid before a match.\Wait. Mashima, you're copying Dr. Harada?\I'm gonna eat up.\If we win our next match, we're in the Nationals!\You can have some, boys.\Yay!\Don't think too much.\If I lose after doing everything I can, I can accept that. response:	Group C Preliminary
context: Wait. Mashima, you're copying Dr. Harada?\I'm gonna eat up.\If we win our next match, we're in the Nationals!\You can have some, boys.\Yay!\Don't think too much.\If I lose after doing everything I can, I can accept that.\Group C Preliminary response:	What's important is that I do my best.
context: I'm gonna eat up.\If we win our next match, we're in the Nationals!\You can have some, boys.\Yay!\Don't think too much.\If I lose after doing everything I can, I can accept that.\Group C Preliminary\What's important is that I do my best. response:	Oh, there they are!
context: If we win our next match, we're in the Nationals!\You can have some, boys.\Yay!\Don't think too much.\If I lose after doing everything I can, I can accept that.\Group C Preliminary\What's important is that I do my best.\Oh, there they are! response:	Dr. Harada!
context: You can have some, boys.\Yay!\Don't think too much.\If I lose after doing everything I can, I can accept that.\Group C Preliminary\What's important is that I do my best.\Oh, there they are!\Dr. Harada! response:	Sounds like you're doing well.
context: Yay!\Don't think too much.\If I lose after doing everything I can, I can accept that.\Group C Preliminary\What's important is that I do my best.\Oh, there they are!\Dr. Harada!\Sounds like you're doing well. response:	I'm glad to hear that.
context: Don't think too much.\If I lose after doing everything I can, I can accept that.\Group C Preliminary\What's important is that I do my best.\Oh, there they are!\Dr. Harada!\Sounds like you're doing well.\I'm glad to hear that. response:	Thanks for coming to cheer us
context: If I lose after doing everything I can, I can accept that.\Group C Preliminary\What's important is that I do my best.\Oh, there they are!\Dr. Harada!\Sounds like you're doing well.\I'm glad to hear that.\Thanks for coming to cheer us response:	I'm certainly here to cheer you on,
context: Group C Preliminary\What's important is that I do my best.\Oh, there they are!\Dr. Harada!\Sounds like you're doing well.\I'm glad to hear that.\Thanks for coming to cheer us\I'm certainly here to cheer you on, response:	but that's not the only reason I'm here this year.
context: What's important is that I do my best.\Oh, there they are!\Dr. Harada!\Sounds like you're doing well.\I'm glad to hear that.\Thanks for coming to cheer us\I'm certainly here to cheer you on,\but that's not the only reason I'm here this year. response:	It's twice as exciting for me, but also quite distressing.
context: Oh, there they are!\Dr. Harada!\Sounds like you're doing well.\I'm glad to hear that.\Thanks for coming to cheer us\I'm certainly here to cheer you on,\but that's not the only reason I'm here this year.\It's twice as exciting for me, but also quite distressing. response:	Huh?
context: Dr. Harada!\Sounds like you're doing well.\I'm glad to hear that.\Thanks for coming to cheer us\I'm certainly here to cheer you on,\but that's not the only reason I'm here this year.\It's twice as exciting for me, but also quite distressing.\Huh? response:	Oh? Haven't you heard?
context: Sounds like you're doing well.\I'm glad to hear that.\Thanks for coming to cheer us\I'm certainly here to cheer you on,\but that's not the only reason I'm here this year.\It's twice as exciting for me, but also quite distressing.\Huh?\Oh? Haven't you heard? response:	Let's go, guys!
context: I'm glad to hear that.\Thanks for coming to cheer us\I'm certainly here to cheer you on,\but that's not the only reason I'm here this year.\It's twice as exciting for me, but also quite distressing.\Huh?\Oh? Haven't you heard?\Let's go, guys! response:	Homei
context: Thanks for coming to cheer us\I'm certainly here to cheer you on,\but that's not the only reason I'm here this year.\It's twice as exciting for me, but also quite distressing.\Huh?\Oh? Haven't you heard?\Let's go, guys!\Homei response:	Yes!
context: I'm certainly here to cheer you on,\but that's not the only reason I'm here this year.\It's twice as exciting for me, but also quite distressing.\Huh?\Oh? Haven't you heard?\Let's go, guys!\Homei\Yes! response:	The team to defeat last year's dark horse, Mizusawa,
context: but that's not the only reason I'm here this year.\It's twice as exciting for me, but also quite distressing.\Huh?\Oh? Haven't you heard?\Let's go, guys!\Homei\Yes!\The team to defeat last year's dark horse, Mizusawa, response:	will be this year's dark horse, Homei!
context: It's twice as exciting for me, but also quite distressing.\Huh?\Oh? Haven't you heard?\Let's go, guys!\Homei\Yes!\The team to defeat last year's dark horse, Mizusawa,\will be this year's dark horse, Homei! response:	Yes!
context: Huh?\Oh? Haven't you heard?\Let's go, guys!\Homei\Yes!\The team to defeat last year's dark horse, Mizusawa,\will be this year's dark horse, Homei!\Yes! response:	Tsuboguchi-san?
context: Oh? Haven't you heard?\Let's go, guys!\Homei\Yes!\The team to defeat last year's dark horse, Mizusawa,\will be this year's dark horse, Homei!\Yes!\Tsuboguchi-san? response:	High School Championship Tokyo Regional Final Tournament Bracket
context: Let's go, guys!\Homei\Yes!\The team to defeat last year's dark horse, Mizusawa,\will be this year's dark horse, Homei!\Yes!\Tsuboguchi-san?\High School Championship Tokyo Regional Final Tournament Bracket response:	Mizusawa High Homei High Hokuo Academy Shoyo High
context: Homei\Yes!\The team to defeat last year's dark horse, Mizusawa,\will be this year's dark horse, Homei!\Yes!\Tsuboguchi-san?\High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High Homei High Hokuo Academy Shoyo High response:	This could be dangerous.
context: Yes!\The team to defeat last year's dark horse, Mizusawa,\will be this year's dark horse, Homei!\Yes!\Tsuboguchi-san?\High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High Homei High Hokuo Academy Shoyo High\This could be dangerous. response:	Yeah, they were completely off my radar.
context: The team to defeat last year's dark horse, Mizusawa,\will be this year's dark horse, Homei!\Yes!\Tsuboguchi-san?\High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High Homei High Hokuo Academy Shoyo High\This could be dangerous.\Yeah, they were completely off my radar. response:	The data from last year won't help.
context: will be this year's dark horse, Homei!\Yes!\Tsuboguchi-san?\High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High Homei High Hokuo Academy Shoyo High\This could be dangerous.\Yeah, they were completely off my radar.\The data from last year won't help. response:	What's the problem?
context: Yes!\Tsuboguchi-san?\High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High Homei High Hokuo Academy Shoyo High\This could be dangerous.\Yeah, they were completely off my radar.\The data from last year won't help.\What's the problem? response:	Homei's advisor, Tsuboguchi-san,
context: Tsuboguchi-san?\High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High Homei High Hokuo Academy Shoyo High\This could be dangerous.\Yeah, they were completely off my radar.\The data from last year won't help.\What's the problem?\Homei's advisor, Tsuboguchi-san, response:	was the East Representative for the Master match last year,
context: High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High Homei High Hokuo Academy Shoyo High\This could be dangerous.\Yeah, they were completely off my radar.\The data from last year won't help.\What's the problem?\Homei's advisor, Tsuboguchi-san,\was the East Representative for the Master match last year, response:	and he's the ace of the Shiranami society Chihaya-chan and the president are in.
context: Mizusawa High Homei High Hokuo Academy Shoyo High\This could be dangerous.\Yeah, they were completely off my radar.\The data from last year won't help.\What's the problem?\Homei's advisor, Tsuboguchi-san,\was the East Representative for the Master match last year,\and he's the ace of the Shiranami society Chihaya-chan and the president are in. response:	Did you know, Chihaya?
context: This could be dangerous.\Yeah, they were completely off my radar.\The data from last year won't help.\What's the problem?\Homei's advisor, Tsuboguchi-san,\was the East Representative for the Master match last year,\and he's the ace of the Shiranami society Chihaya-chan and the president are in.\Did you know, Chihaya? response:	I don't understand what gets you excited...
context: Yeah, they were completely off my radar.\The data from last year won't help.\What's the problem?\Homei's advisor, Tsuboguchi-san,\was the East Representative for the Master match last year,\and he's the ace of the Shiranami society Chihaya-chan and the president are in.\Did you know, Chihaya?\I don't understand what gets you excited... response:	Everyone's worked hard to make it this far!
context: The data from last year won't help.\What's the problem?\Homei's advisor, Tsuboguchi-san,\was the East Representative for the Master match last year,\and he's the ace of the Shiranami society Chihaya-chan and the president are in.\Did you know, Chihaya?\I don't understand what gets you excited...\Everyone's worked hard to make it this far! response:	You're playing much better than two months of practice can account for!
context: What's the problem?\Homei's advisor, Tsuboguchi-san,\was the East Representative for the Master match last year,\and he's the ace of the Shiranami society Chihaya-chan and the president are in.\Did you know, Chihaya?\I don't understand what gets you excited...\Everyone's worked hard to make it this far!\You're playing much better than two months of practice can account for! response:	Every Card Counts
context: Homei's advisor, Tsuboguchi-san,\was the East Representative for the Master match last year,\and he's the ace of the Shiranami society Chihaya-chan and the president are in.\Did you know, Chihaya?\I don't understand what gets you excited...\Everyone's worked hard to make it this far!\You're playing much better than two months of practice can account for!\Every Card Counts response:	Your advice was spot on, Coach!
context: was the East Representative for the Master match last year,\and he's the ace of the Shiranami society Chihaya-chan and the president are in.\Did you know, Chihaya?\I don't understand what gets you excited...\Everyone's worked hard to make it this far!\You're playing much better than two months of practice can account for!\Every Card Counts\Your advice was spot on, Coach! response:	After changing my form, my swing is much smoother!
context: and he's the ace of the Shiranami society Chihaya-chan and the president are in.\Did you know, Chihaya?\I don't understand what gets you excited...\Everyone's worked hard to make it this far!\You're playing much better than two months of practice can account for!\Every Card Counts\Your advice was spot on, Coach!\After changing my form, my swing is much smoother! response:	Me, too!
context: Did you know, Chihaya?\I don't understand what gets you excited...\Everyone's worked hard to make it this far!\You're playing much better than two months of practice can account for!\Every Card Counts\Your advice was spot on, Coach!\After changing my form, my swing is much smoother!\Me, too! response:	I followed your instructions for sending cards
context: I don't understand what gets you excited...\Everyone's worked hard to make it this far!\You're playing much better than two months of practice can account for!\Every Card Counts\Your advice was spot on, Coach!\After changing my form, my swing is much smoother!\Me, too!\I followed your instructions for sending cards response:	and my opponent made four mistakes!
context: Everyone's worked hard to make it this far!\You're playing much better than two months of practice can account for!\Every Card Counts\Your advice was spot on, Coach!\After changing my form, my swing is much smoother!\Me, too!\I followed your instructions for sending cards\and my opponent made four mistakes! response:	Lost that one, lost that one, lost that one...
context: You're playing much better than two months of practice can account for!\Every Card Counts\Your advice was spot on, Coach!\After changing my form, my swing is much smoother!\Me, too!\I followed your instructions for sending cards\and my opponent made four mistakes!\Lost that one, lost that one, lost that one... response:	I hear, As this, Note that, The storm blasts, May it...
context: Every Card Counts\Your advice was spot on, Coach!\After changing my form, my swing is much smoother!\Me, too!\I followed your instructions for sending cards\and my opponent made four mistakes!\Lost that one, lost that one, lost that one...\I hear, As this, Note that, The storm blasts, May it... response:	Sasa, you need to learn to let go!
context: Your advice was spot on, Coach!\After changing my form, my swing is much smoother!\Me, too!\I followed your instructions for sending cards\and my opponent made four mistakes!\Lost that one, lost that one, lost that one...\I hear, As this, Note that, The storm blasts, May it...\Sasa, you need to learn to let go! response:	My fear is not, The autumn wind, Like the...
context: After changing my form, my swing is much smoother!\Me, too!\I followed your instructions for sending cards\and my opponent made four mistakes!\Lost that one, lost that one, lost that one...\I hear, As this, Note that, The storm blasts, May it...\Sasa, you need to learn to let go!\My fear is not, The autumn wind, Like the... response:	Mizusawa is strong,
context: Me, too!\I followed your instructions for sending cards\and my opponent made four mistakes!\Lost that one, lost that one, lost that one...\I hear, As this, Note that, The storm blasts, May it...\Sasa, you need to learn to let go!\My fear is not, The autumn wind, Like the...\Mizusawa is strong, response:	but the practice and hard work you've put in since spring will pay off.
context: I followed your instructions for sending cards\and my opponent made four mistakes!\Lost that one, lost that one, lost that one...\I hear, As this, Note that, The storm blasts, May it...\Sasa, you need to learn to let go!\My fear is not, The autumn wind, Like the...\Mizusawa is strong,\but the practice and hard work you've put in since spring will pay off. response:	Will you take me to Omi Jingu?
context: and my opponent made four mistakes!\Lost that one, lost that one, lost that one...\I hear, As this, Note that, The storm blasts, May it...\Sasa, you need to learn to let go!\My fear is not, The autumn wind, Like the...\Mizusawa is strong,\but the practice and hard work you've put in since spring will pay off.\Will you take me to Omi Jingu? response:	Yes!
context: Lost that one, lost that one, lost that one...\I hear, As this, Note that, The storm blasts, May it...\Sasa, you need to learn to let go!\My fear is not, The autumn wind, Like the...\Mizusawa is strong,\but the practice and hard work you've put in since spring will pay off.\Will you take me to Omi Jingu?\Yes! response:	Th-That's youthful spirit...
context: I hear, As this, Note that, The storm blasts, May it...\Sasa, you need to learn to let go!\My fear is not, The autumn wind, Like the...\Mizusawa is strong,\but the practice and hard work you've put in since spring will pay off.\Will you take me to Omi Jingu?\Yes!\Th-That's youthful spirit... response:	They changed orders every match.
context: Sasa, you need to learn to let go!\My fear is not, The autumn wind, Like the...\Mizusawa is strong,\but the practice and hard work you've put in since spring will pay off.\Will you take me to Omi Jingu?\Yes!\Th-That's youthful spirit...\They changed orders every match. response:	It's hard to see any patterns.
context: My fear is not, The autumn wind, Like the...\Mizusawa is strong,\but the practice and hard work you've put in since spring will pay off.\Will you take me to Omi Jingu?\Yes!\Th-That's youthful spirit...\They changed orders every match.\It's hard to see any patterns. response:	Go easy on us, reigning champions.
context: Mizusawa is strong,\but the practice and hard work you've put in since spring will pay off.\Will you take me to Omi Jingu?\Yes!\Th-That's youthful spirit...\They changed orders every match.\It's hard to see any patterns.\Go easy on us, reigning champions. response:	I've known Tsuboguchi-san since I was a kid.
context: but the practice and hard work you've put in since spring will pay off.\Will you take me to Omi Jingu?\Yes!\Th-That's youthful spirit...\They changed orders every match.\It's hard to see any patterns.\Go easy on us, reigning champions.\I've known Tsuboguchi-san since I was a kid. response:	He wants to win.
context: Will you take me to Omi Jingu?\Yes!\Th-That's youthful spirit...\They changed orders every match.\It's hard to see any patterns.\Go easy on us, reigning champions.\I've known Tsuboguchi-san since I was a kid.\He wants to win. response:	What order will they use?
context: Yes!\Th-That's youthful spirit...\They changed orders every match.\It's hard to see any patterns.\Go easy on us, reigning champions.\I've known Tsuboguchi-san since I was a kid.\He wants to win.\What order will they use? response:	Who's their strongest player?
context: Th-That's youthful spirit...\They changed orders every match.\It's hard to see any patterns.\Go easy on us, reigning champions.\I've known Tsuboguchi-san since I was a kid.\He wants to win.\What order will they use?\Who's their strongest player? response:	What order do we use to guarantee three victories?
context: They changed orders every match.\It's hard to see any patterns.\Go easy on us, reigning champions.\I've known Tsuboguchi-san since I was a kid.\He wants to win.\What order will they use?\Who's their strongest player?\What order do we use to guarantee three victories? response:	Good Luck
context: It's hard to see any patterns.\Go easy on us, reigning champions.\I've known Tsuboguchi-san since I was a kid.\He wants to win.\What order will they use?\Who's their strongest player?\What order do we use to guarantee three victories?\Good Luck response:	Taichi-kun! Taichi-kun!
context: Go easy on us, reigning champions.\I've known Tsuboguchi-san since I was a kid.\He wants to win.\What order will they use?\Who's their strongest player?\What order do we use to guarantee three victories?\Good Luck\Taichi-kun! Taichi-kun! response:	Good luck! I bought this for you!
context: I've known Tsuboguchi-san since I was a kid.\He wants to win.\What order will they use?\Who's their strongest player?\What order do we use to guarantee three victories?\Good Luck\Taichi-kun! Taichi-kun!\Good luck! I bought this for you! response:	A lucky charm!
context: He wants to win.\What order will they use?\Who's their strongest player?\What order do we use to guarantee three victories?\Good Luck\Taichi-kun! Taichi-kun!\Good luck! I bought this for you!\A lucky charm! response:	I bought one, too! Take it!
context: What order will they use?\Who's their strongest player?\What order do we use to guarantee three victories?\Good Luck\Taichi-kun! Taichi-kun!\Good luck! I bought this for you!\A lucky charm!\I bought one, too! Take it! response:	All you're missing is the luck!
