context: This world has one type of currency: gold. response:	The standard cost for the items in a single meal is around five gold.
context: That's insane!\Our treasury only has sixty thousand.\Even if we included all our members' belongings...\What would you use all that money for?\Imperial Garden Forest Japan Server League of Freedom Cities, Eastal/ Shinjuku Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\Imperial Forest Boar, Lv. 18 Rank/ Normal\It's pretty tough to catch them alive...\If you kill them, they just become ingredient items. response:	It's impossible...
context: Our treasury only has sixty thousand.\Even if we included all our members' belongings...\What would you use all that money for?\Imperial Garden Forest Japan Server League of Freedom Cities, Eastal/ Shinjuku Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\Imperial Forest Boar, Lv. 18 Rank/ Normal\It's pretty tough to catch them alive...\If you kill them, they just become ingredient items.\It's impossible... response:	That huge boar becomes a mere two kilograms of meat!
context: Even if we included all our members' belongings...\What would you use all that money for?\Imperial Garden Forest Japan Server League of Freedom Cities, Eastal/ Shinjuku Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\Imperial Forest Boar, Lv. 18 Rank/ Normal\It's pretty tough to catch them alive...\If you kill them, they just become ingredient items.\It's impossible...\That huge boar becomes a mere two kilograms of meat! response:	But with a good cook, if you catch them alive, you can use the entire thing.
context: What would you use all that money for?\Imperial Garden Forest Japan Server League of Freedom Cities, Eastal/ Shinjuku Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\Imperial Forest Boar, Lv. 18 Rank/ Normal\It's pretty tough to catch them alive...\If you kill them, they just become ingredient items.\It's impossible...\That huge boar becomes a mere two kilograms of meat!\But with a good cook, if you catch them alive, you can use the entire thing. response:	Okay, let's do this!
context: Imperial Garden Forest Japan Server League of Freedom Cities, Eastal/ Shinjuku Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\Imperial Forest Boar, Lv. 18 Rank/ Normal\It's pretty tough to catch them alive...\If you kill them, they just become ingredient items.\It's impossible...\That huge boar becomes a mere two kilograms of meat!\But with a good cook, if you catch them alive, you can use the entire thing.\Okay, let's do this! response:	Our quota for today is sixty!
context: Imperial Forest Boar, Lv. 18 Rank/ Normal\It's pretty tough to catch them alive...\If you kill them, they just become ingredient items.\It's impossible...\That huge boar becomes a mere two kilograms of meat!\But with a good cook, if you catch them alive, you can use the entire thing.\Okay, let's do this!\Our quota for today is sixty! response:	Okay!
context: It's pretty tough to catch them alive...\If you kill them, they just become ingredient items.\It's impossible...\That huge boar becomes a mere two kilograms of meat!\But with a good cook, if you catch them alive, you can use the entire thing.\Okay, let's do this!\Our quota for today is sixty!\Okay! response:	If it's for Marie,
context: If you kill them, they just become ingredient items.\It's impossible...\That huge boar becomes a mere two kilograms of meat!\But with a good cook, if you catch them alive, you can use the entire thing.\Okay, let's do this!\Our quota for today is sixty!\Okay!\If it's for Marie, response:	I'll catch as many as you need!
context: It's impossible...\That huge boar becomes a mere two kilograms of meat!\But with a good cook, if you catch them alive, you can use the entire thing.\Okay, let's do this!\Our quota for today is sixty!\Okay!\If it's for Marie,\I'll catch as many as you need! response:	That isn't quite right.
context: That huge boar becomes a mere two kilograms of meat!\But with a good cook, if you catch them alive, you can use the entire thing.\Okay, let's do this!\Our quota for today is sixty!\Okay!\If it's for Marie,\I'll catch as many as you need!\That isn't quite right. response:	Something easier to move in would be nice.
context: But with a good cook, if you catch them alive, you can use the entire thing.\Okay, let's do this!\Our quota for today is sixty!\Okay!\If it's for Marie,\I'll catch as many as you need!\That isn't quite right.\Something easier to move in would be nice. response:	Let's see what clothes we have in the bank.
context: Okay, let's do this!\Our quota for today is sixty!\Okay!\If it's for Marie,\I'll catch as many as you need!\That isn't quite right.\Something easier to move in would be nice.\Let's see what clothes we have in the bank. response:	Okay!
context: Our quota for today is sixty!\Okay!\If it's for Marie,\I'll catch as many as you need!\That isn't quite right.\Something easier to move in would be nice.\Let's see what clothes we have in the bank.\Okay! response:	Taste this!
context: Okay!\If it's for Marie,\I'll catch as many as you need!\That isn't quite right.\Something easier to move in would be nice.\Let's see what clothes we have in the bank.\Okay!\Taste this! response:	Let me see...
context: If it's for Marie,\I'll catch as many as you need!\That isn't quite right.\Something easier to move in would be nice.\Let's see what clothes we have in the bank.\Okay!\Taste this!\Let me see... response:	It needs a little salt.
context: I'll catch as many as you need!\That isn't quite right.\Something easier to move in would be nice.\Let's see what clothes we have in the bank.\Okay!\Taste this!\Let me see...\It needs a little salt. response:	And add coriander as a secret ingredient.
context: That isn't quite right.\Something easier to move in would be nice.\Let's see what clothes we have in the bank.\Okay!\Taste this!\Let me see...\It needs a little salt.\And add coriander as a secret ingredient. response:	Okay, thank you!
context: Something easier to move in would be nice.\Let's see what clothes we have in the bank.\Okay!\Taste this!\Let me see...\It needs a little salt.\And add coriander as a secret ingredient.\Okay, thank you! response:	Nyanta is so wonderful...
context: Let's see what clothes we have in the bank.\Okay!\Taste this!\Let me see...\It needs a little salt.\And add coriander as a secret ingredient.\Okay, thank you!\Nyanta is so wonderful... response:	Crescent Moon
context: Okay!\Taste this!\Let me see...\It needs a little salt.\And add coriander as a secret ingredient.\Okay, thank you!\Nyanta is so wonderful...\Crescent Moon response:	Crescent Moon.
context: Taste this!\Let me see...\It needs a little salt.\And add coriander as a secret ingredient.\Okay, thank you!\Nyanta is so wonderful...\Crescent Moon\Crescent Moon. response:	I haven't left the room for three days...
context: Let me see...\It needs a little salt.\And add coriander as a secret ingredient.\Okay, thank you!\Nyanta is so wonderful...\Crescent Moon\Crescent Moon.\I haven't left the room for three days... response:	I can't take this anymore...
context: It needs a little salt.\And add coriander as a secret ingredient.\Okay, thank you!\Nyanta is so wonderful...\Crescent Moon\Crescent Moon.\I haven't left the room for three days...\I can't take this anymore... response:	We need these registers for our plan.
context: And add coriander as a secret ingredient.\Okay, thank you!\Nyanta is so wonderful...\Crescent Moon\Crescent Moon.\I haven't left the room for three days...\I can't take this anymore...\We need these registers for our plan. response:	Look through and approve them.
context: Okay, thank you!\Nyanta is so wonderful...\Crescent Moon\Crescent Moon.\I haven't left the room for three days...\I can't take this anymore...\We need these registers for our plan.\Look through and approve them. response:	Wait, it's impossible... That's impossible!
context: Nyanta is so wonderful...\Crescent Moon\Crescent Moon.\I haven't left the room for three days...\I can't take this anymore...\We need these registers for our plan.\Look through and approve them.\Wait, it's impossible... That's impossible! response:	It is, indeed.
context: Crescent Moon\Crescent Moon.\I haven't left the room for three days...\I can't take this anymore...\We need these registers for our plan.\Look through and approve them.\Wait, it's impossible... That's impossible!\It is, indeed. response:	You know paperwork isn't really my thing.
context: Crescent Moon.\I haven't left the room for three days...\I can't take this anymore...\We need these registers for our plan.\Look through and approve them.\Wait, it's impossible... That's impossible!\It is, indeed.\You know paperwork isn't really my thing. response:	Approving budgets is your job, guild master.
context: I haven't left the room for three days...\I can't take this anymore...\We need these registers for our plan.\Look through and approve them.\Wait, it's impossible... That's impossible!\It is, indeed.\You know paperwork isn't really my thing.\Approving budgets is your job, guild master. response:	Shut up, shut up...
context: I can't take this anymore...\We need these registers for our plan.\Look through and approve them.\Wait, it's impossible... That's impossible!\It is, indeed.\You know paperwork isn't really my thing.\Approving budgets is your job, guild master.\Shut up, shut up... response:	Stupid Umeko!
context: We need these registers for our plan.\Look through and approve them.\Wait, it's impossible... That's impossible!\It is, indeed.\You know paperwork isn't really my thing.\Approving budgets is your job, guild master.\Shut up, shut up...\Stupid Umeko! response:	Don't use my real name!
context: Look through and approve them.\Wait, it's impossible... That's impossible!\It is, indeed.\You know paperwork isn't really my thing.\Approving budgets is your job, guild master.\Shut up, shut up...\Stupid Umeko!\Don't use my real name! response:	Umeko! Umeko! Umeko!
context: Wait, it's impossible... That's impossible!\It is, indeed.\You know paperwork isn't really my thing.\Approving budgets is your job, guild master.\Shut up, shut up...\Stupid Umeko!\Don't use my real name!\Umeko! Umeko! Umeko! response:	I've brought more, Marie.
context: It is, indeed.\You know paperwork isn't really my thing.\Approving budgets is your job, guild master.\Shut up, shut up...\Stupid Umeko!\Don't use my real name!\Umeko! Umeko! Umeko!\I've brought more, Marie. response:	Shiro, you're a demon...
context: You know paperwork isn't really my thing.\Approving budgets is your job, guild master.\Shut up, shut up...\Stupid Umeko!\Don't use my real name!\Umeko! Umeko! Umeko!\I've brought more, Marie.\Shiro, you're a demon... response:	Shiroe, I've compiled a list of everything you requested.
context: Approving budgets is your job, guild master.\Shut up, shut up...\Stupid Umeko!\Don't use my real name!\Umeko! Umeko! Umeko!\I've brought more, Marie.\Shiro, you're a demon...\Shiroe, I've compiled a list of everything you requested. response:	That was fast!
context: Shut up, shut up...\Stupid Umeko!\Don't use my real name!\Umeko! Umeko! Umeko!\I've brought more, Marie.\Shiro, you're a demon...\Shiroe, I've compiled a list of everything you requested.\That was fast! response:	And the numbers are accurate.
context: Stupid Umeko!\Don't use my real name!\Umeko! Umeko! Umeko!\I've brought more, Marie.\Shiro, you're a demon...\Shiroe, I've compiled a list of everything you requested.\That was fast!\And the numbers are accurate. response:	Our treasurer is amazing.
context: Don't use my real name!\Umeko! Umeko! Umeko!\I've brought more, Marie.\Shiro, you're a demon...\Shiroe, I've compiled a list of everything you requested.\That was fast!\And the numbers are accurate.\Our treasurer is amazing. response:	The devil himself would run
context: Umeko! Umeko! Umeko!\I've brought more, Marie.\Shiro, you're a demon...\Shiroe, I've compiled a list of everything you requested.\That was fast!\And the numbers are accurate.\Our treasurer is amazing.\The devil himself would run response:	if he saw her coming with a stack of budgets.
context: I've brought more, Marie.\Shiro, you're a demon...\Shiroe, I've compiled a list of everything you requested.\That was fast!\And the numbers are accurate.\Our treasurer is amazing.\The devil himself would run\if he saw her coming with a stack of budgets. response:	No, there are limits to my abilities.
context: Shiro, you're a demon...\Shiroe, I've compiled a list of everything you requested.\That was fast!\And the numbers are accurate.\Our treasurer is amazing.\The devil himself would run\if he saw her coming with a stack of budgets.\No, there are limits to my abilities. response:	What amazes me is the mercilessness of Shiroe's plans.
context: Shiroe, I've compiled a list of everything you requested.\That was fast!\And the numbers are accurate.\Our treasurer is amazing.\The devil himself would run\if he saw her coming with a stack of budgets.\No, there are limits to my abilities.\What amazes me is the mercilessness of Shiroe's plans. response:	He should just call himself Mr. Super Villain.
context: That was fast!\And the numbers are accurate.\Our treasurer is amazing.\The devil himself would run\if he saw her coming with a stack of budgets.\No, there are limits to my abilities.\What amazes me is the mercilessness of Shiroe's plans.\He should just call himself Mr. Super Villain. response:	Compared to Marie's spaciness, my villainy is nothing.
context: And the numbers are accurate.\Our treasurer is amazing.\The devil himself would run\if he saw her coming with a stack of budgets.\No, there are limits to my abilities.\What amazes me is the mercilessness of Shiroe's plans.\He should just call himself Mr. Super Villain.\Compared to Marie's spaciness, my villainy is nothing. response:	That's true!
context: Our treasurer is amazing.\The devil himself would run\if he saw her coming with a stack of budgets.\No, there are limits to my abilities.\What amazes me is the mercilessness of Shiroe's plans.\He should just call himself Mr. Super Villain.\Compared to Marie's spaciness, my villainy is nothing.\That's true! response:	I give up...
context: The devil himself would run\if he saw her coming with a stack of budgets.\No, there are limits to my abilities.\What amazes me is the mercilessness of Shiroe's plans.\He should just call himself Mr. Super Villain.\Compared to Marie's spaciness, my villainy is nothing.\That's true!\I give up... response:	Anyway, there's so much work,
context: if he saw her coming with a stack of budgets.\No, there are limits to my abilities.\What amazes me is the mercilessness of Shiroe's plans.\He should just call himself Mr. Super Villain.\Compared to Marie's spaciness, my villainy is nothing.\That's true!\I give up...\Anyway, there's so much work, response:	having Akatsuki for a full day is the only way I can keep going.
context: No, there are limits to my abilities.\What amazes me is the mercilessness of Shiroe's plans.\He should just call himself Mr. Super Villain.\Compared to Marie's spaciness, my villainy is nothing.\That's true!\I give up...\Anyway, there's so much work,\having Akatsuki for a full day is the only way I can keep going. response:	She's on a separate mission right now, but she could probably spare a bit of time.
context: What amazes me is the mercilessness of Shiroe's plans.\He should just call himself Mr. Super Villain.\Compared to Marie's spaciness, my villainy is nothing.\That's true!\I give up...\Anyway, there's so much work,\having Akatsuki for a full day is the only way I can keep going.\She's on a separate mission right now, but she could probably spare a bit of time. response:	Oh, my!
context: He should just call himself Mr. Super Villain.\Compared to Marie's spaciness, my villainy is nothing.\That's true!\I give up...\Anyway, there's so much work,\having Akatsuki for a full day is the only way I can keep going.\She's on a separate mission right now, but she could probably spare a bit of time.\Oh, my! response:	Is catching a cold even possible in this world?
context: Compared to Marie's spaciness, my villainy is nothing.\That's true!\I give up...\Anyway, there's so much work,\having Akatsuki for a full day is the only way I can keep going.\She's on a separate mission right now, but she could probably spare a bit of time.\Oh, my!\Is catching a cold even possible in this world? response:	Here's the money for this week. This is a great way to earn money.
context: That's true!\I give up...\Anyway, there's so much work,\having Akatsuki for a full day is the only way I can keep going.\She's on a separate mission right now, but she could probably spare a bit of time.\Oh, my!\Is catching a cold even possible in this world?\Here's the money for this week. This is a great way to earn money. response:	Thank you.
context: I give up...\Anyway, there's so much work,\having Akatsuki for a full day is the only way I can keep going.\She's on a separate mission right now, but she could probably spare a bit of time.\Oh, my!\Is catching a cold even possible in this world?\Here's the money for this week. This is a great way to earn money.\Thank you. response:	Tell Isaac hello for me.
context: Anyway, there's so much work,\having Akatsuki for a full day is the only way I can keep going.\She's on a separate mission right now, but she could probably spare a bit of time.\Oh, my!\Is catching a cold even possible in this world?\Here's the money for this week. This is a great way to earn money.\Thank you.\Tell Isaac hello for me. response:	Hey, I heard you started dealing in leather-working, too.
context: having Akatsuki for a full day is the only way I can keep going.\She's on a separate mission right now, but she could probably spare a bit of time.\Oh, my!\Is catching a cold even possible in this world?\Here's the money for this week. This is a great way to earn money.\Thank you.\Tell Isaac hello for me.\Hey, I heard you started dealing in leather-working, too. response:	We're open twenty-four hours a day, and can repair things quickly.
context: She's on a separate mission right now, but she could probably spare a bit of time.\Oh, my!\Is catching a cold even possible in this world?\Here's the money for this week. This is a great way to earn money.\Thank you.\Tell Isaac hello for me.\Hey, I heard you started dealing in leather-working, too.\We're open twenty-four hours a day, and can repair things quickly. response:	Well, now... This is quite the haul.
context: Oh, my!\Is catching a cold even possible in this world?\Here's the money for this week. This is a great way to earn money.\Thank you.\Tell Isaac hello for me.\Hey, I heard you started dealing in leather-working, too.\We're open twenty-four hours a day, and can repair things quickly.\Well, now... This is quite the haul. response:	Now it's up to you, chief!
context: Is catching a cold even possible in this world?\Here's the money for this week. This is a great way to earn money.\Thank you.\Tell Isaac hello for me.\Hey, I heard you started dealing in leather-working, too.\We're open twenty-four hours a day, and can repair things quickly.\Well, now... This is quite the haul.\Now it's up to you, chief! response:	Naotsugu! Thank you!
context: Here's the money for this week. This is a great way to earn money.\Thank you.\Tell Isaac hello for me.\Hey, I heard you started dealing in leather-working, too.\We're open twenty-four hours a day, and can repair things quickly.\Well, now... This is quite the haul.\Now it's up to you, chief!\Naotsugu! Thank you! response:	Rub, rub, rub, rub!
context: Thank you.\Tell Isaac hello for me.\Hey, I heard you started dealing in leather-working, too.\We're open twenty-four hours a day, and can repair things quickly.\Well, now... This is quite the haul.\Now it's up to you, chief!\Naotsugu! Thank you!\Rub, rub, rub, rub! response:	Hey...
context: Tell Isaac hello for me.\Hey, I heard you started dealing in leather-working, too.\We're open twenty-four hours a day, and can repair things quickly.\Well, now... This is quite the haul.\Now it's up to you, chief!\Naotsugu! Thank you!\Rub, rub, rub, rub!\Hey... response:	Don't cling to me!
context: Hey, I heard you started dealing in leather-working, too.\We're open twenty-four hours a day, and can repair things quickly.\Well, now... This is quite the haul.\Now it's up to you, chief!\Naotsugu! Thank you!\Rub, rub, rub, rub!\Hey...\Don't cling to me! response:	Marie, behave yourself.
context: We're open twenty-four hours a day, and can repair things quickly.\Well, now... This is quite the haul.\Now it's up to you, chief!\Naotsugu! Thank you!\Rub, rub, rub, rub!\Hey...\Don't cling to me!\Marie, behave yourself. response:	Shouryuu and Hien, thank you both, also!
context: Well, now... This is quite the haul.\Now it's up to you, chief!\Naotsugu! Thank you!\Rub, rub, rub, rub!\Hey...\Don't cling to me!\Marie, behave yourself.\Shouryuu and Hien, thank you both, also! response:	He was all fired up.
context: Now it's up to you, chief!\Naotsugu! Thank you!\Rub, rub, rub, rub!\Hey...\Don't cling to me!\Marie, behave yourself.\Shouryuu and Hien, thank you both, also!\He was all fired up. response:	No, you're just good at slacking off!
context: Naotsugu! Thank you!\Rub, rub, rub, rub!\Hey...\Don't cling to me!\Marie, behave yourself.\Shouryuu and Hien, thank you both, also!\He was all fired up.\No, you're just good at slacking off! response:	Who's slacking off?
context: Rub, rub, rub, rub!\Hey...\Don't cling to me!\Marie, behave yourself.\Shouryuu and Hien, thank you both, also!\He was all fired up.\No, you're just good at slacking off!\Who's slacking off? response:	You loyal little puppy!
context: Hey...\Don't cling to me!\Marie, behave yourself.\Shouryuu and Hien, thank you both, also!\He was all fired up.\No, you're just good at slacking off!\Who's slacking off?\You loyal little puppy! response:	Shut up, you flippant fox!
context: Don't cling to me!\Marie, behave yourself.\Shouryuu and Hien, thank you both, also!\He was all fired up.\No, you're just good at slacking off!\Who's slacking off?\You loyal little puppy!\Shut up, you flippant fox! response:	But there still isn't enough.
context: Marie, behave yourself.\Shouryuu and Hien, thank you both, also!\He was all fired up.\No, you're just good at slacking off!\Who's slacking off?\You loyal little puppy!\Shut up, you flippant fox!\But there still isn't enough. response:	I'm on it!
context: Shouryuu and Hien, thank you both, also!\He was all fired up.\No, you're just good at slacking off!\Who's slacking off?\You loyal little puppy!\Shut up, you flippant fox!\But there still isn't enough.\I'm on it! response:	I don't know why, but he's really into this...
context: He was all fired up.\No, you're just good at slacking off!\Who's slacking off?\You loyal little puppy!\Shut up, you flippant fox!\But there still isn't enough.\I'm on it!\I don't know why, but he's really into this... response:	I can always count on you, Shouryuu!
context: No, you're just good at slacking off!\Who's slacking off?\You loyal little puppy!\Shut up, you flippant fox!\But there still isn't enough.\I'm on it!\I don't know why, but he's really into this...\I can always count on you, Shouryuu! response:	No more!
context: Who's slacking off?\You loyal little puppy!\Shut up, you flippant fox!\But there still isn't enough.\I'm on it!\I don't know why, but he's really into this...\I can always count on you, Shouryuu!\No more! response:	This is all the paperwork.
context: You loyal little puppy!\Shut up, you flippant fox!\But there still isn't enough.\I'm on it!\I don't know why, but he's really into this...\I can always count on you, Shouryuu!\No more!\This is all the paperwork. response:	Then, I'll return to my own job.
context: Shut up, you flippant fox!\But there still isn't enough.\I'm on it!\I don't know why, but he's really into this...\I can always count on you, Shouryuu!\No more!\This is all the paperwork.\Then, I'll return to my own job. response:	Now I'm scared of glasses.
context: But there still isn't enough.\I'm on it!\I don't know why, but he's really into this...\I can always count on you, Shouryuu!\No more!\This is all the paperwork.\Then, I'll return to my own job.\Now I'm scared of glasses. response:	The glasses all frighten me!
context: I'm on it!\I don't know why, but he's really into this...\I can always count on you, Shouryuu!\No more!\This is all the paperwork.\Then, I'll return to my own job.\Now I'm scared of glasses.\The glasses all frighten me! response:	Ta-da!
context: I don't know why, but he's really into this...\I can always count on you, Shouryuu!\No more!\This is all the paperwork.\Then, I'll return to my own job.\Now I'm scared of glasses.\The glasses all frighten me!\Ta-da! response:	Oh, it's wonderful!
context: I can always count on you, Shouryuu!\No more!\This is all the paperwork.\Then, I'll return to my own job.\Now I'm scared of glasses.\The glasses all frighten me!\Ta-da!\Oh, it's wonderful! response:	Cute and distinctive.
context: No more!\This is all the paperwork.\Then, I'll return to my own job.\Now I'm scared of glasses.\The glasses all frighten me!\Ta-da!\Oh, it's wonderful!\Cute and distinctive. response:	It's amazing how nice handmade stuff looks.
context: This is all the paperwork.\Then, I'll return to my own job.\Now I'm scared of glasses.\The glasses all frighten me!\Ta-da!\Oh, it's wonderful!\Cute and distinctive.\It's amazing how nice handmade stuff looks. response:	Now we're almost done.
context: Then, I'll return to my own job.\Now I'm scared of glasses.\The glasses all frighten me!\Ta-da!\Oh, it's wonderful!\Cute and distinctive.\It's amazing how nice handmade stuff looks.\Now we're almost done. response:	It's finally time...
context: Now I'm scared of glasses.\The glasses all frighten me!\Ta-da!\Oh, it's wonderful!\Cute and distinctive.\It's amazing how nice handmade stuff looks.\Now we're almost done.\It's finally time... response:	What do you think, Henrietta?
context: The glasses all frighten me!\Ta-da!\Oh, it's wonderful!\Cute and distinctive.\It's amazing how nice handmade stuff looks.\Now we're almost done.\It's finally time...\What do you think, Henrietta? response:	In the old world, weren't you an accountant,
context: Ta-da!\Oh, it's wonderful!\Cute and distinctive.\It's amazing how nice handmade stuff looks.\Now we're almost done.\It's finally time...\What do you think, Henrietta?\In the old world, weren't you an accountant, response:	with a master's in business administration?
context: Oh, it's wonderful!\Cute and distinctive.\It's amazing how nice handmade stuff looks.\Now we're almost done.\It's finally time...\What do you think, Henrietta?\In the old world, weren't you an accountant,\with a master's in business administration? response:	I think it can work.
context: Cute and distinctive.\It's amazing how nice handmade stuff looks.\Now we're almost done.\It's finally time...\What do you think, Henrietta?\In the old world, weren't you an accountant,\with a master's in business administration?\I think it can work. response:	Basically, we just need to get the money, any way we can.
context: It's amazing how nice handmade stuff looks.\Now we're almost done.\It's finally time...\What do you think, Henrietta?\In the old world, weren't you an accountant,\with a master's in business administration?\I think it can work.\Basically, we just need to get the money, any way we can. response:	We don't have to worry about where it came from or whose it was.
context: Now we're almost done.\It's finally time...\What do you think, Henrietta?\In the old world, weren't you an accountant,\with a master's in business administration?\I think it can work.\Basically, we just need to get the money, any way we can.\We don't have to worry about where it came from or whose it was. response:	At the moment, this world has no rules.
context: It's finally time...\What do you think, Henrietta?\In the old world, weren't you an accountant,\with a master's in business administration?\I think it can work.\Basically, we just need to get the money, any way we can.\We don't have to worry about where it came from or whose it was.\At the moment, this world has no rules. response:	There's no point in restricting ourselves by making new ones.
context: What do you think, Henrietta?\In the old world, weren't you an accountant,\with a master's in business administration?\I think it can work.\Basically, we just need to get the money, any way we can.\We don't have to worry about where it came from or whose it was.\At the moment, this world has no rules.\There's no point in restricting ourselves by making new ones. response:	This world has no rules...
context: In the old world, weren't you an accountant,\with a master's in business administration?\I think it can work.\Basically, we just need to get the money, any way we can.\We don't have to worry about where it came from or whose it was.\At the moment, this world has no rules.\There's no point in restricting ourselves by making new ones.\This world has no rules... response:	In other words, we can make up our own...
context: with a master's in business administration?\I think it can work.\Basically, we just need to get the money, any way we can.\We don't have to worry about where it came from or whose it was.\At the moment, this world has no rules.\There's no point in restricting ourselves by making new ones.\This world has no rules...\In other words, we can make up our own... response:	We need a new rule to make money.
context: I think it can work.\Basically, we just need to get the money, any way we can.\We don't have to worry about where it came from or whose it was.\At the moment, this world has no rules.\There's no point in restricting ourselves by making new ones.\This world has no rules...\In other words, we can make up our own...\We need a new rule to make money. response:	A way to make people bring us money, and be happy doing so...
context: Basically, we just need to get the money, any way we can.\We don't have to worry about where it came from or whose it was.\At the moment, this world has no rules.\There's no point in restricting ourselves by making new ones.\This world has no rules...\In other words, we can make up our own...\We need a new rule to make money.\A way to make people bring us money, and be happy doing so... response:	We can do it.
context: We don't have to worry about where it came from or whose it was.\At the moment, this world has no rules.\There's no point in restricting ourselves by making new ones.\This world has no rules...\In other words, we can make up our own...\We need a new rule to make money.\A way to make people bring us money, and be happy doing so...\We can do it. response:	Five million gold.
context: At the moment, this world has no rules.\There's no point in restricting ourselves by making new ones.\This world has no rules...\In other words, we can make up our own...\We need a new rule to make money.\A way to make people bring us money, and be happy doing so...\We can do it.\Five million gold. response:	We can get the money.
context: There's no point in restricting ourselves by making new ones.\This world has no rules...\In other words, we can make up our own...\We need a new rule to make money.\A way to make people bring us money, and be happy doing so...\We can do it.\Five million gold.\We can get the money. response:	Now it's time for the plan's first stage.
