context: And it's been really dry lately, right? response:	So Yumiko brought this little humidifier to school,
context: To keep from making the things we've lost into excuses,\Yeah, but...\we steel ourselves more than usual,\trying harder than usual to act the same as usual.\Christmas, huh? I know about Ebina, but...\What about you guys?\I'll have to pass, too.\H-Hayato... response:	You have plans or something?
context: Yeah, but...\we steel ourselves more than usual,\trying harder than usual to act the same as usual.\Christmas, huh? I know about Ebina, but...\What about you guys?\I'll have to pass, too.\H-Hayato...\You have plans or something? response:	Huh...
context: we steel ourselves more than usual,\trying harder than usual to act the same as usual.\Christmas, huh? I know about Ebina, but...\What about you guys?\I'll have to pass, too.\H-Hayato...\You have plans or something?\Huh... response:	Hikki...
context: trying harder than usual to act the same as usual.\Christmas, huh? I know about Ebina, but...\What about you guys?\I'll have to pass, too.\H-Hayato...\You have plans or something?\Huh...\Hikki... response:	You're looking at us too much.
context: Christmas, huh? I know about Ebina, but...\What about you guys?\I'll have to pass, too.\H-Hayato...\You have plans or something?\Huh...\Hikki...\You're looking at us too much. response:	My Teen Romantic Comedy SNAFU TOO!
context: What about you guys?\I'll have to pass, too.\H-Hayato...\You have plans or something?\Huh...\Hikki...\You're looking at us too much.\My Teen Romantic Comedy SNAFU TOO! response:	Huh? Er, I wasn't really looking...
context: I'll have to pass, too.\H-Hayato...\You have plans or something?\Huh...\Hikki...\You're looking at us too much.\My Teen Romantic Comedy SNAFU TOO!\Huh? Er, I wasn't really looking... response:	No, you were totally looking.
context: H-Hayato...\You have plans or something?\Huh...\Hikki...\You're looking at us too much.\My Teen Romantic Comedy SNAFU TOO!\Huh? Er, I wasn't really looking...\No, you were totally looking. response:	I was kinda freaked out, honestly.
context: You have plans or something?\Huh...\Hikki...\You're looking at us too much.\My Teen Romantic Comedy SNAFU TOO!\Huh? Er, I wasn't really looking...\No, you were totally looking.\I was kinda freaked out, honestly. response:	You're the one who should stop looking at me.
context: Huh...\Hikki...\You're looking at us too much.\My Teen Romantic Comedy SNAFU TOO!\Huh? Er, I wasn't really looking...\No, you were totally looking.\I was kinda freaked out, honestly.\You're the one who should stop looking at me. response:	Huh?! Oh, that was...
context: Hikki...\You're looking at us too much.\My Teen Romantic Comedy SNAFU TOO!\Huh? Er, I wasn't really looking...\No, you were totally looking.\I was kinda freaked out, honestly.\You're the one who should stop looking at me.\Huh?! Oh, that was... response:	I just sensed something, that's all.
context: You're looking at us too much.\My Teen Romantic Comedy SNAFU TOO!\Huh? Er, I wasn't really looking...\No, you were totally looking.\I was kinda freaked out, honestly.\You're the one who should stop looking at me.\Huh?! Oh, that was...\I just sensed something, that's all. response:	Some kind of pressure, or chill...
context: My Teen Romantic Comedy SNAFU TOO!\Huh? Er, I wasn't really looking...\No, you were totally looking.\I was kinda freaked out, honestly.\You're the one who should stop looking at me.\Huh?! Oh, that was...\I just sensed something, that's all.\Some kind of pressure, or chill... response:	Those two don't feel anything alike.
context: Huh? Er, I wasn't really looking...\No, you were totally looking.\I was kinda freaked out, honestly.\You're the one who should stop looking at me.\Huh?! Oh, that was...\I just sensed something, that's all.\Some kind of pressure, or chill...\Those two don't feel anything alike. response:	Is that what you meant?
context: No, you were totally looking.\I was kinda freaked out, honestly.\You're the one who should stop looking at me.\Huh?! Oh, that was...\I just sensed something, that's all.\Some kind of pressure, or chill...\Those two don't feel anything alike.\Is that what you meant? response:	Anyway, did you need something?
context: I was kinda freaked out, honestly.\You're the one who should stop looking at me.\Huh?! Oh, that was...\I just sensed something, that's all.\Some kind of pressure, or chill...\Those two don't feel anything alike.\Is that what you meant?\Anyway, did you need something? response:	No, it's just...
context: You're the one who should stop looking at me.\Huh?! Oh, that was...\I just sensed something, that's all.\Some kind of pressure, or chill...\Those two don't feel anything alike.\Is that what you meant?\Anyway, did you need something?\No, it's just... response:	you guys were drawing attention to yourselves.
context: Huh?! Oh, that was...\I just sensed something, that's all.\Some kind of pressure, or chill...\Those two don't feel anything alike.\Is that what you meant?\Anyway, did you need something?\No, it's just...\you guys were drawing attention to yourselves. response:	Just then, somewhere inside, something hit me.
context: I just sensed something, that's all.\Some kind of pressure, or chill...\Those two don't feel anything alike.\Is that what you meant?\Anyway, did you need something?\No, it's just...\you guys were drawing attention to yourselves.\Just then, somewhere inside, something hit me. response:	Why was I watching them?
context: Some kind of pressure, or chill...\Those two don't feel anything alike.\Is that what you meant?\Anyway, did you need something?\No, it's just...\you guys were drawing attention to yourselves.\Just then, somewhere inside, something hit me.\Why was I watching them? response:	Morning!
context: Those two don't feel anything alike.\Is that what you meant?\Anyway, did you need something?\No, it's just...\you guys were drawing attention to yourselves.\Just then, somewhere inside, something hit me.\Why was I watching them?\Morning! response:	Morning, Sai-chan!
context: Is that what you meant?\Anyway, did you need something?\No, it's just...\you guys were drawing attention to yourselves.\Just then, somewhere inside, something hit me.\Why was I watching them?\Morning!\Morning, Sai-chan! response:	Morning.
context: Anyway, did you need something?\No, it's just...\you guys were drawing attention to yourselves.\Just then, somewhere inside, something hit me.\Why was I watching them?\Morning!\Morning, Sai-chan!\Morning. response:	Something wrong?
context: No, it's just...\you guys were drawing attention to yourselves.\Just then, somewhere inside, something hit me.\Why was I watching them?\Morning!\Morning, Sai-chan!\Morning.\Something wrong? response:	I just thought it was unusual to see you two talking in the classroom.
context: you guys were drawing attention to yourselves.\Just then, somewhere inside, something hit me.\Why was I watching them?\Morning!\Morning, Sai-chan!\Morning.\Something wrong?\I just thought it was unusual to see you two talking in the classroom. response:	Y-You think so?
context: Just then, somewhere inside, something hit me.\Why was I watching them?\Morning!\Morning, Sai-chan!\Morning.\Something wrong?\I just thought it was unusual to see you two talking in the classroom.\Y-You think so? response:	Did something happen?
context: Why was I watching them?\Morning!\Morning, Sai-chan!\Morning.\Something wrong?\I just thought it was unusual to see you two talking in the classroom.\Y-You think so?\Did something happen? response:	No, nothing!
context: Morning!\Morning, Sai-chan!\Morning.\Something wrong?\I just thought it was unusual to see you two talking in the classroom.\Y-You think so?\Did something happen?\No, nothing! response:	Well, we were kind of talking about club stuff, I guess...
context: Morning, Sai-chan!\Morning.\Something wrong?\I just thought it was unusual to see you two talking in the classroom.\Y-You think so?\Did something happen?\No, nothing!\Well, we were kind of talking about club stuff, I guess... response:	Oh, your club, huh?
context: Morning.\Something wrong?\I just thought it was unusual to see you two talking in the classroom.\Y-You think so?\Did something happen?\No, nothing!\Well, we were kind of talking about club stuff, I guess...\Oh, your club, huh? response:	Well, if you guys are back to doing club work like before, that's good.
context: Something wrong?\I just thought it was unusual to see you two talking in the classroom.\Y-You think so?\Did something happen?\No, nothing!\Well, we were kind of talking about club stuff, I guess...\Oh, your club, huh?\Well, if you guys are back to doing club work like before, that's good. response:	Y-Yeah...
context: I just thought it was unusual to see you two talking in the classroom.\Y-You think so?\Did something happen?\No, nothing!\Well, we were kind of talking about club stuff, I guess...\Oh, your club, huh?\Well, if you guys are back to doing club work like before, that's good.\Y-Yeah... response:	Oh, hey, you can come to us if you ever need help again.
context: Y-You think so?\Did something happen?\No, nothing!\Well, we were kind of talking about club stuff, I guess...\Oh, your club, huh?\Well, if you guys are back to doing club work like before, that's good.\Y-Yeah...\Oh, hey, you can come to us if you ever need help again. response:	Nah, you know what?
context: Did something happen?\No, nothing!\Well, we were kind of talking about club stuff, I guess...\Oh, your club, huh?\Well, if you guys are back to doing club work like before, that's good.\Y-Yeah...\Oh, hey, you can come to us if you ever need help again.\Nah, you know what? response:	You can come, even if you don't need anything.
context: No, nothing!\Well, we were kind of talking about club stuff, I guess...\Oh, your club, huh?\Well, if you guys are back to doing club work like before, that's good.\Y-Yeah...\Oh, hey, you can come to us if you ever need help again.\Nah, you know what?\You can come, even if you don't need anything. response:	You're motivated for once!
context: Well, we were kind of talking about club stuff, I guess...\Oh, your club, huh?\Well, if you guys are back to doing club work like before, that's good.\Y-Yeah...\Oh, hey, you can come to us if you ever need help again.\Nah, you know what?\You can come, even if you don't need anything.\You're motivated for once! response:	Well, later.
context: Oh, your club, huh?\Well, if you guys are back to doing club work like before, that's good.\Y-Yeah...\Oh, hey, you can come to us if you ever need help again.\Nah, you know what?\You can come, even if you don't need anything.\You're motivated for once!\Well, later. response:	By the way, Hikki...
context: Well, if you guys are back to doing club work like before, that's good.\Y-Yeah...\Oh, hey, you can come to us if you ever need help again.\Nah, you know what?\You can come, even if you don't need anything.\You're motivated for once!\Well, later.\By the way, Hikki... response:	Let's go to club together.
context: Y-Yeah...\Oh, hey, you can come to us if you ever need help again.\Nah, you know what?\You can come, even if you don't need anything.\You're motivated for once!\Well, later.\By the way, Hikki...\Let's go to club together. response:	See ya!
context: Oh, hey, you can come to us if you ever need help again.\Nah, you know what?\You can come, even if you don't need anything.\You're motivated for once!\Well, later.\By the way, Hikki...\Let's go to club together.\See ya! response:	Yep.
context: Nah, you know what?\You can come, even if you don't need anything.\You're motivated for once!\Well, later.\By the way, Hikki...\Let's go to club together.\See ya!\Yep. response:	Why'd you leave first?
context: You can come, even if you don't need anything.\You're motivated for once!\Well, later.\By the way, Hikki...\Let's go to club together.\See ya!\Yep.\Why'd you leave first? response:	I didn't. I'm waiting here.
context: You're motivated for once!\Well, later.\By the way, Hikki...\Let's go to club together.\See ya!\Yep.\Why'd you leave first?\I didn't. I'm waiting here. response:	Yeah, but...
context: Well, later.\By the way, Hikki...\Let's go to club together.\See ya!\Yep.\Why'd you leave first?\I didn't. I'm waiting here.\Yeah, but... response:	Wait, so you don't mind?
context: By the way, Hikki...\Let's go to club together.\See ya!\Yep.\Why'd you leave first?\I didn't. I'm waiting here.\Yeah, but...\Wait, so you don't mind? response:	Let's go.
context: Let's go to club together.\See ya!\Yep.\Why'd you leave first?\I didn't. I'm waiting here.\Yeah, but...\Wait, so you don't mind?\Let's go. response:	By the way, what do you do at lunch?
context: See ya!\Yep.\Why'd you leave first?\I didn't. I'm waiting here.\Yeah, but...\Wait, so you don't mind?\Let's go.\By the way, what do you do at lunch? response:	Huh? Oh... Same as always.
context: Yep.\Why'd you leave first?\I didn't. I'm waiting here.\Yeah, but...\Wait, so you don't mind?\Let's go.\By the way, what do you do at lunch?\Huh? Oh... Same as always. response:	I see.
context: Why'd you leave first?\I didn't. I'm waiting here.\Yeah, but...\Wait, so you don't mind?\Let's go.\By the way, what do you do at lunch?\Huh? Oh... Same as always.\I see. response:	Hey...
context: I didn't. I'm waiting here.\Yeah, but...\Wait, so you don't mind?\Let's go.\By the way, what do you do at lunch?\Huh? Oh... Same as always.\I see.\Hey... response:	Never mind.
context: Yeah, but...\Wait, so you don't mind?\Let's go.\By the way, what do you do at lunch?\Huh? Oh... Same as always.\I see.\Hey...\Never mind. response:	I see.
context: Wait, so you don't mind?\Let's go.\By the way, what do you do at lunch?\Huh? Oh... Same as always.\I see.\Hey...\Never mind.\I see. response:	Yahello, Yukinon!
context: Let's go.\By the way, what do you do at lunch?\Huh? Oh... Same as always.\I see.\Hey...\Never mind.\I see.\Yahello, Yukinon! response:	And he said it's unusual for me and Hikki to talk in the classroom.
context: By the way, what do you do at lunch?\Huh? Oh... Same as always.\I see.\Hey...\Never mind.\I see.\Yahello, Yukinon!\And he said it's unusual for me and Hikki to talk in the classroom. response:	How long will this continue?
context: Huh? Oh... Same as always.\I see.\Hey...\Never mind.\I see.\Yahello, Yukinon!\And he said it's unusual for me and Hikki to talk in the classroom.\How long will this continue? response:	Did he? I suppose it might be unusual.
context: I see.\Hey...\Never mind.\I see.\Yahello, Yukinon!\And he said it's unusual for me and Hikki to talk in the classroom.\How long will this continue?\Did he? I suppose it might be unusual. response:	How long will we be able to keep this up?
context: Hey...\Never mind.\I see.\Yahello, Yukinon!\And he said it's unusual for me and Hikki to talk in the classroom.\How long will this continue?\Did he? I suppose it might be unusual.\How long will we be able to keep this up? response:	Not really. Right, Hikki?
context: Never mind.\I see.\Yahello, Yukinon!\And he said it's unusual for me and Hikki to talk in the classroom.\How long will this continue?\Did he? I suppose it might be unusual.\How long will we be able to keep this up?\Not really. Right, Hikki? response:	What will happen when we can't keep it up anymore?
context: I see.\Yahello, Yukinon!\And he said it's unusual for me and Hikki to talk in the classroom.\How long will this continue?\Did he? I suppose it might be unusual.\How long will we be able to keep this up?\Not really. Right, Hikki?\What will happen when we can't keep it up anymore? response:	No, that was probably the first time we talked that much.
context: Yahello, Yukinon!\And he said it's unusual for me and Hikki to talk in the classroom.\How long will this continue?\Did he? I suppose it might be unusual.\How long will we be able to keep this up?\Not really. Right, Hikki?\What will happen when we can't keep it up anymore?\No, that was probably the first time we talked that much. response:	It kinda tired me out.
context: And he said it's unusual for me and Hikki to talk in the classroom.\How long will this continue?\Did he? I suppose it might be unusual.\How long will we be able to keep this up?\Not really. Right, Hikki?\What will happen when we can't keep it up anymore?\No, that was probably the first time we talked that much.\It kinda tired me out. response:	It tired you out?!
context: How long will this continue?\Did he? I suppose it might be unusual.\How long will we be able to keep this up?\Not really. Right, Hikki?\What will happen when we can't keep it up anymore?\No, that was probably the first time we talked that much.\It kinda tired me out.\It tired you out?! response:	I was probably watching Hayama and his buddies
context: Did he? I suppose it might be unusual.\How long will we be able to keep this up?\Not really. Right, Hikki?\What will happen when we can't keep it up anymore?\No, that was probably the first time we talked that much.\It kinda tired me out.\It tired you out?!\I was probably watching Hayama and his buddies response:	because I felt like they'd teach me
context: How long will we be able to keep this up?\Not really. Right, Hikki?\What will happen when we can't keep it up anymore?\No, that was probably the first time we talked that much.\It kinda tired me out.\It tired you out?!\I was probably watching Hayama and his buddies\because I felt like they'd teach me response:	how to mend something that's fallen apart.
context: Not really. Right, Hikki?\What will happen when we can't keep it up anymore?\No, that was probably the first time we talked that much.\It kinda tired me out.\It tired you out?!\I was probably watching Hayama and his buddies\because I felt like they'd teach me\how to mend something that's fallen apart. response:	Come in.
context: What will happen when we can't keep it up anymore?\No, that was probably the first time we talked that much.\It kinda tired me out.\It tired you out?!\I was probably watching Hayama and his buddies\because I felt like they'd teach me\how to mend something that's fallen apart.\Come in. response:	Senpai!
context: No, that was probably the first time we talked that much.\It kinda tired me out.\It tired you out?!\I was probably watching Hayama and his buddies\because I felt like they'd teach me\how to mend something that's fallen apart.\Come in.\Senpai! response:	I'm in trouble!
context: It kinda tired me out.\It tired you out?!\I was probably watching Hayama and his buddies\because I felt like they'd teach me\how to mend something that's fallen apart.\Come in.\Senpai!\I'm in trouble! response:	I'm in trouble! I'm in trouble!
context: It tired you out?!\I was probably watching Hayama and his buddies\because I felt like they'd teach me\how to mend something that's fallen apart.\Come in.\Senpai!\I'm in trouble!\I'm in trouble! I'm in trouble! response:	I'm in serious trouble!
context: I was probably watching Hayama and his buddies\because I felt like they'd teach me\how to mend something that's fallen apart.\Come in.\Senpai!\I'm in trouble!\I'm in trouble! I'm in trouble!\I'm in serious trouble! response:	A Christmas event?
context: because I felt like they'd teach me\how to mend something that's fallen apart.\Come in.\Senpai!\I'm in trouble!\I'm in trouble! I'm in trouble!\I'm in serious trouble!\A Christmas event? response:	Yeah.
context: how to mend something that's fallen apart.\Come in.\Senpai!\I'm in trouble!\I'm in trouble! I'm in trouble!\I'm in serious trouble!\A Christmas event?\Yeah. response:	So that's your first student council job...
context: Come in.\Senpai!\I'm in trouble!\I'm in trouble! I'm in trouble!\I'm in serious trouble!\A Christmas event?\Yeah.\So that's your first student council job... response:	It's a joint thing with Kaihin General High School,
context: Senpai!\I'm in trouble!\I'm in trouble! I'm in trouble!\I'm in serious trouble!\A Christmas event?\Yeah.\So that's your first student council job...\It's a joint thing with Kaihin General High School, response:	and I guess we're supposed to entertain old folks and preschool kids.
context: I'm in trouble!\I'm in trouble! I'm in trouble!\I'm in serious trouble!\A Christmas event?\Yeah.\So that's your first student council job...\It's a joint thing with Kaihin General High School,\and I guess we're supposed to entertain old folks and preschool kids. response:	Who came up with that idea?
context: I'm in trouble! I'm in trouble!\I'm in serious trouble!\A Christmas event?\Yeah.\So that's your first student council job...\It's a joint thing with Kaihin General High School,\and I guess we're supposed to entertain old folks and preschool kids.\Who came up with that idea? response:	It was the other school!
context: I'm in serious trouble!\A Christmas event?\Yeah.\So that's your first student council job...\It's a joint thing with Kaihin General High School,\and I guess we're supposed to entertain old folks and preschool kids.\Who came up with that idea?\It was the other school! response:	As if I'd ever suggest something like that!
context: A Christmas event?\Yeah.\So that's your first student council job...\It's a joint thing with Kaihin General High School,\and I guess we're supposed to entertain old folks and preschool kids.\Who came up with that idea?\It was the other school!\As if I'd ever suggest something like that! response:	I figured.
context: Yeah.\So that's your first student council job...\It's a joint thing with Kaihin General High School,\and I guess we're supposed to entertain old folks and preschool kids.\Who came up with that idea?\It was the other school!\As if I'd ever suggest something like that!\I figured. response:	So of course, I'd normally turn them down, you know?
context: So that's your first student council job...\It's a joint thing with Kaihin General High School,\and I guess we're supposed to entertain old folks and preschool kids.\Who came up with that idea?\It was the other school!\As if I'd ever suggest something like that!\I figured.\So of course, I'd normally turn them down, you know? response:	I have plans for Christmas, anyway.
context: It's a joint thing with Kaihin General High School,\and I guess we're supposed to entertain old folks and preschool kids.\Who came up with that idea?\It was the other school!\As if I'd ever suggest something like that!\I figured.\So of course, I'd normally turn them down, you know?\I have plans for Christmas, anyway. response:	You'd turn them down?
context: and I guess we're supposed to entertain old folks and preschool kids.\Who came up with that idea?\It was the other school!\As if I'd ever suggest something like that!\I figured.\So of course, I'd normally turn them down, you know?\I have plans for Christmas, anyway.\You'd turn them down? response:	You're handling your freedom too personally.
context: Who came up with that idea?\It was the other school!\As if I'd ever suggest something like that!\I figured.\So of course, I'd normally turn them down, you know?\I have plans for Christmas, anyway.\You'd turn them down?\You're handling your freedom too personally. response:	But Hiratsuka-sensei is telling us to do it.
context: It was the other school!\As if I'd ever suggest something like that!\I figured.\So of course, I'd normally turn them down, you know?\I have plans for Christmas, anyway.\You'd turn them down?\You're handling your freedom too personally.\But Hiratsuka-sensei is telling us to do it. response:	I should've known she had a hand in this...
context: As if I'd ever suggest something like that!\I figured.\So of course, I'd normally turn them down, you know?\I have plans for Christmas, anyway.\You'd turn them down?\You're handling your freedom too personally.\But Hiratsuka-sensei is telling us to do it.\I should've known she had a hand in this... response:	So I got started with things, but it's just not coming together.
context: I figured.\So of course, I'd normally turn them down, you know?\I have plans for Christmas, anyway.\You'd turn them down?\You're handling your freedom too personally.\But Hiratsuka-sensei is telling us to do it.\I should've known she had a hand in this...\So I got started with things, but it's just not coming together. response:	That's how it goes when you deal with other schools.
context: So of course, I'd normally turn them down, you know?\I have plans for Christmas, anyway.\You'd turn them down?\You're handling your freedom too personally.\But Hiratsuka-sensei is telling us to do it.\I should've known she had a hand in this...\So I got started with things, but it's just not coming together.\That's how it goes when you deal with other schools. response:	Don't feel bad.
context: I have plans for Christmas, anyway.\You'd turn them down?\You're handling your freedom too personally.\But Hiratsuka-sensei is telling us to do it.\I should've known she had a hand in this...\So I got started with things, but it's just not coming together.\That's how it goes when you deal with other schools.\Don't feel bad. response:	Actually, you should've talked to Shiromeguri-senpai before coming here.
context: You'd turn them down?\You're handling your freedom too personally.\But Hiratsuka-sensei is telling us to do it.\I should've known she had a hand in this...\So I got started with things, but it's just not coming together.\That's how it goes when you deal with other schools.\Don't feel bad.\Actually, you should've talked to Shiromeguri-senpai before coming here. response:	Oh... w-well... I mean, uh...
context: You're handling your freedom too personally.\But Hiratsuka-sensei is telling us to do it.\I should've known she had a hand in this...\So I got started with things, but it's just not coming together.\That's how it goes when you deal with other schools.\Don't feel bad.\Actually, you should've talked to Shiromeguri-senpai before coming here.\Oh... w-well... I mean, uh... response:	Oh, yeah!
context: But Hiratsuka-sensei is telling us to do it.\I should've known she had a hand in this...\So I got started with things, but it's just not coming together.\That's how it goes when you deal with other schools.\Don't feel bad.\Actually, you should've talked to Shiromeguri-senpai before coming here.\Oh... w-well... I mean, uh...\Oh, yeah! response:	I can't bother her when she's studying for entrance exams, right?
context: I should've known she had a hand in this...\So I got started with things, but it's just not coming together.\That's how it goes when you deal with other schools.\Don't feel bad.\Actually, you should've talked to Shiromeguri-senpai before coming here.\Oh... w-well... I mean, uh...\Oh, yeah!\I can't bother her when she's studying for entrance exams, right? response:	Um, you just don't like Meguri-senpai, right?
context: So I got started with things, but it's just not coming together.\That's how it goes when you deal with other schools.\Don't feel bad.\Actually, you should've talked to Shiromeguri-senpai before coming here.\Oh... w-well... I mean, uh...\Oh, yeah!\I can't bother her when she's studying for entrance exams, right?\Um, you just don't like Meguri-senpai, right? response:	You're the only ones I can turn to!
context: That's how it goes when you deal with other schools.\Don't feel bad.\Actually, you should've talked to Shiromeguri-senpai before coming here.\Oh... w-well... I mean, uh...\Oh, yeah!\I can't bother her when she's studying for entrance exams, right?\Um, you just don't like Meguri-senpai, right?\You're the only ones I can turn to! response:	Okay... I have an idea of what's going on, but...
context: Don't feel bad.\Actually, you should've talked to Shiromeguri-senpai before coming here.\Oh... w-well... I mean, uh...\Oh, yeah!\I can't bother her when she's studying for entrance exams, right?\Um, you just don't like Meguri-senpai, right?\You're the only ones I can turn to!\Okay... I have an idea of what's going on, but... response:	What do you think?
context: Actually, you should've talked to Shiromeguri-senpai before coming here.\Oh... w-well... I mean, uh...\Oh, yeah!\I can't bother her when she's studying for entrance exams, right?\Um, you just don't like Meguri-senpai, right?\You're the only ones I can turn to!\Okay... I have an idea of what's going on, but...\What do you think? response:	Sounds good! Let's do it!
context: Oh... w-well... I mean, uh...\Oh, yeah!\I can't bother her when she's studying for entrance exams, right?\Um, you just don't like Meguri-senpai, right?\You're the only ones I can turn to!\Okay... I have an idea of what's going on, but...\What do you think?\Sounds good! Let's do it! response:	It's been a while since anyone's asked for our help, you know?
context: Oh, yeah!\I can't bother her when she's studying for entrance exams, right?\Um, you just don't like Meguri-senpai, right?\You're the only ones I can turn to!\Okay... I have an idea of what's going on, but...\What do you think?\Sounds good! Let's do it!\It's been a while since anyone's asked for our help, you know? response:	We haven't done anything like this lately.
context: I can't bother her when she's studying for entrance exams, right?\Um, you just don't like Meguri-senpai, right?\You're the only ones I can turn to!\Okay... I have an idea of what's going on, but...\What do you think?\Sounds good! Let's do it!\It's been a while since anyone's asked for our help, you know?\We haven't done anything like this lately. response:	So, just like before...
context: Um, you just don't like Meguri-senpai, right?\You're the only ones I can turn to!\Okay... I have an idea of what's going on, but...\What do you think?\Sounds good! Let's do it!\It's been a while since anyone's asked for our help, you know?\We haven't done anything like this lately.\So, just like before... response:	I mean... it couldn't hurt to try... I think...
