context: A perfect serve receive... response:	Could he be...
context: He's like a hurricane, as usual.\A guerilla downpour.\Quite the noisemaker, isn't he?\Yet when he plays, he's surprisingly...\And? Where's Asahi-san? Did he come back?\No.\That wimp!\Hey, Noya! Don't talk like that about your senpai! response:	Shut up!
context: A guerilla downpour.\Quite the noisemaker, isn't he?\Yet when he plays, he's surprisingly...\And? Where's Asahi-san? Did he come back?\No.\That wimp!\Hey, Noya! Don't talk like that about your senpai!\Shut up! response:	A wimp is a wimp.
context: Quite the noisemaker, isn't he?\Yet when he plays, he's surprisingly...\And? Where's Asahi-san? Did he come back?\No.\That wimp!\Hey, Noya! Don't talk like that about your senpai!\Shut up!\A wimp is a wimp. response:	If Asahi-san's not coming back, neither am I.
context: Yet when he plays, he's surprisingly...\And? Where's Asahi-san? Did he come back?\No.\That wimp!\Hey, Noya! Don't talk like that about your senpai!\Shut up!\A wimp is a wimp.\If Asahi-san's not coming back, neither am I. response:	Hey, Noya!
context: And? Where's Asahi-san? Did he come back?\No.\That wimp!\Hey, Noya! Don't talk like that about your senpai!\Shut up!\A wimp is a wimp.\If Asahi-san's not coming back, neither am I.\Hey, Noya! response:	Haikyu!!
context: No.\That wimp!\Hey, Noya! Don't talk like that about your senpai!\Shut up!\A wimp is a wimp.\If Asahi-san's not coming back, neither am I.\Hey, Noya!\Haikyu!! response:	My job is to keep things connected.
context: That wimp!\Hey, Noya! Don't talk like that about your senpai!\Shut up!\A wimp is a wimp.\If Asahi-san's not coming back, neither am I.\Hey, Noya!\Haikyu!!\My job is to keep things connected. response:	The sky is the domain of the spikers.
context: Hey, Noya! Don't talk like that about your senpai!\Shut up!\A wimp is a wimp.\If Asahi-san's not coming back, neither am I.\Hey, Noya!\Haikyu!!\My job is to keep things connected.\The sky is the domain of the spikers. response:	It's not a place where I can battle,
context: Shut up!\A wimp is a wimp.\If Asahi-san's not coming back, neither am I.\Hey, Noya!\Haikyu!!\My job is to keep things connected.\The sky is the domain of the spikers.\It's not a place where I can battle, response:	but if I keep things connected... as long I maintain connections...
context: A wimp is a wimp.\If Asahi-san's not coming back, neither am I.\Hey, Noya!\Haikyu!!\My job is to keep things connected.\The sky is the domain of the spikers.\It's not a place where I can battle,\but if I keep things connected... as long I maintain connections... response:	the ace will surely score for our side.
context: If Asahi-san's not coming back, neither am I.\Hey, Noya!\Haikyu!!\My job is to keep things connected.\The sky is the domain of the spikers.\It's not a place where I can battle,\but if I keep things connected... as long I maintain connections...\the ace will surely score for our side. response:	Even if the ball bounces off the wall...
context: Hey, Noya!\Haikyu!!\My job is to keep things connected.\The sky is the domain of the spikers.\It's not a place where I can battle,\but if I keep things connected... as long I maintain connections...\the ace will surely score for our side.\Even if the ball bounces off the wall... response:	I'll make sure it stays connected.
context: Haikyu!!\My job is to keep things connected.\The sky is the domain of the spikers.\It's not a place where I can battle,\but if I keep things connected... as long I maintain connections...\the ace will surely score for our side.\Even if the ball bounces off the wall...\I'll make sure it stays connected. response:	So give me another chance.
context: My job is to keep things connected.\The sky is the domain of the spikers.\It's not a place where I can battle,\but if I keep things connected... as long I maintain connections...\the ace will surely score for our side.\Even if the ball bounces off the wall...\I'll make sure it stays connected.\So give me another chance. response:	Give me another chance to let you decide the toss...
context: The sky is the domain of the spikers.\It's not a place where I can battle,\but if I keep things connected... as long I maintain connections...\the ace will surely score for our side.\Even if the ball bounces off the wall...\I'll make sure it stays connected.\So give me another chance.\Give me another chance to let you decide the toss... response:	Ace.
context: It's not a place where I can battle,\but if I keep things connected... as long I maintain connections...\the ace will surely score for our side.\Even if the ball bounces off the wall...\I'll make sure it stays connected.\So give me another chance.\Give me another chance to let you decide the toss...\Ace. response:	Episode 8: He who is Called Ace
context: but if I keep things connected... as long I maintain connections...\the ace will surely score for our side.\Even if the ball bounces off the wall...\I'll make sure it stays connected.\So give me another chance.\Give me another chance to let you decide the toss...\Ace.\Episode 8: He who is Called Ace response:	U-Um...
context: the ace will surely score for our side.\Even if the ball bounces off the wall...\I'll make sure it stays connected.\So give me another chance.\Give me another chance to let you decide the toss...\Ace.\Episode 8: He who is Called Ace\U-Um... response:	Nishiya-san, you're a libero, right?
context: Even if the ball bounces off the wall...\I'll make sure it stays connected.\So give me another chance.\Give me another chance to let you decide the toss...\Ace.\Episode 8: He who is Called Ace\U-Um...\Nishiya-san, you're a libero, right? response:	You're a defender.
context: I'll make sure it stays connected.\So give me another chance.\Give me another chance to let you decide the toss...\Ace.\Episode 8: He who is Called Ace\U-Um...\Nishiya-san, you're a libero, right?\You're a defender. response:	That's Nishinoya.
context: So give me another chance.\Give me another chance to let you decide the toss...\Ace.\Episode 8: He who is Called Ace\U-Um...\Nishiya-san, you're a libero, right?\You're a defender.\That's Nishinoya. response:	And what makes you think I'm a libero?
context: Give me another chance to let you decide the toss...\Ace.\Episode 8: He who is Called Ace\U-Um...\Nishiya-san, you're a libero, right?\You're a defender.\That's Nishinoya.\And what makes you think I'm a libero? response:	Because I'm short?
context: Ace.\Episode 8: He who is Called Ace\U-Um...\Nishiya-san, you're a libero, right?\You're a defender.\That's Nishinoya.\And what makes you think I'm a libero?\Because I'm short? response:	Huh? No...
context: Episode 8: He who is Called Ace\U-Um...\Nishiya-san, you're a libero, right?\You're a defender.\That's Nishinoya.\And what makes you think I'm a libero?\Because I'm short?\Huh? No... response:	Because you're a good receiver.
context: U-Um...\Nishiya-san, you're a libero, right?\You're a defender.\That's Nishinoya.\And what makes you think I'm a libero?\Because I'm short?\Huh? No...\Because you're a good receiver. response:	Libero is a position vfor good receivers, right?
context: Nishiya-san, you're a libero, right?\You're a defender.\That's Nishinoya.\And what makes you think I'm a libero?\Because I'm short?\Huh? No...\Because you're a good receiver.\Libero is a position vfor good receivers, right? response:	That's right, isn't it?
context: You're a defender.\That's Nishinoya.\And what makes you think I'm a libero?\Because I'm short?\Huh? No...\Because you're a good receiver.\Libero is a position vfor good receivers, right?\That's right, isn't it? response:	You know what you're talking about.
context: That's Nishinoya.\And what makes you think I'm a libero?\Because I'm short?\Huh? No...\Because you're a good receiver.\Libero is a position vfor good receivers, right?\That's right, isn't it?\You know what you're talking about. response:	Plus, the captain also called you the Guardian God.
context: And what makes you think I'm a libero?\Because I'm short?\Huh? No...\Because you're a good receiver.\Libero is a position vfor good receivers, right?\That's right, isn't it?\You know what you're talking about.\Plus, the captain also called you the Guardian God. response:	Guardian? What the heck is that?
context: Because I'm short?\Huh? No...\Because you're a good receiver.\Libero is a position vfor good receivers, right?\That's right, isn't it?\You know what you're talking about.\Plus, the captain also called you the Guardian God.\Guardian? What the heck is that? response:	He's exaggerating. I'm not all that...
context: Huh? No...\Because you're a good receiver.\Libero is a position vfor good receivers, right?\That's right, isn't it?\You know what you're talking about.\Plus, the captain also called you the Guardian God.\Guardian? What the heck is that?\He's exaggerating. I'm not all that... response:	He really said that?
context: Because you're a good receiver.\Libero is a position vfor good receivers, right?\That's right, isn't it?\You know what you're talking about.\Plus, the captain also called you the Guardian God.\Guardian? What the heck is that?\He's exaggerating. I'm not all that...\He really said that? response:	Yeah, yeah.
context: Libero is a position vfor good receivers, right?\That's right, isn't it?\You know what you're talking about.\Plus, the captain also called you the Guardian God.\Guardian? What the heck is that?\He's exaggerating. I'm not all that...\He really said that?\Yeah, yeah. response:	But I don't care if he called me a cool name like that.
context: That's right, isn't it?\You know what you're talking about.\Plus, the captain also called you the Guardian God.\Guardian? What the heck is that?\He's exaggerating. I'm not all that...\He really said that?\Yeah, yeah.\But I don't care if he called me a cool name like that. response:	I won't bend so easily.
context: You know what you're talking about.\Plus, the captain also called you the Guardian God.\Guardian? What the heck is that?\He's exaggerating. I'm not all that...\He really said that?\Yeah, yeah.\But I don't care if he called me a cool name like that.\I won't bend so easily. response:	Damn you, Daichi-san!
context: Plus, the captain also called you the Guardian God.\Guardian? What the heck is that?\He's exaggerating. I'm not all that...\He really said that?\Yeah, yeah.\But I don't care if he called me a cool name like that.\I won't bend so easily.\Damn you, Daichi-san! response:	I'm still lousy at receiving,
context: Guardian? What the heck is that?\He's exaggerating. I'm not all that...\He really said that?\Yeah, yeah.\But I don't care if he called me a cool name like that.\I won't bend so easily.\Damn you, Daichi-san!\I'm still lousy at receiving, response:	even though it's the most important thing in volleyball.
context: He's exaggerating. I'm not all that...\He really said that?\Yeah, yeah.\But I don't care if he called me a cool name like that.\I won't bend so easily.\Damn you, Daichi-san!\I'm still lousy at receiving,\even though it's the most important thing in volleyball. response:	So please teach me how, Nishi...
context: He really said that?\Yeah, yeah.\But I don't care if he called me a cool name like that.\I won't bend so easily.\Damn you, Daichi-san!\I'm still lousy at receiving,\even though it's the most important thing in volleyball.\So please teach me how, Nishi... response:	Nishinoya-senpai.
context: Yeah, yeah.\But I don't care if he called me a cool name like that.\I won't bend so easily.\Damn you, Daichi-san!\I'm still lousy at receiving,\even though it's the most important thing in volleyball.\So please teach me how, Nishi...\Nishinoya-senpai. response:	You...
context: But I don't care if he called me a cool name like that.\I won't bend so easily.\Damn you, Daichi-san!\I'm still lousy at receiving,\even though it's the most important thing in volleyball.\So please teach me how, Nishi...\Nishinoya-senpai.\You... response:	I'll buy you ice cream after practice.
context: I won't bend so easily.\Damn you, Daichi-san!\I'm still lousy at receiving,\even though it's the most important thing in volleyball.\So please teach me how, Nishi...\Nishinoya-senpai.\You...\I'll buy you ice cream after practice. response:	Huh?
context: Damn you, Daichi-san!\I'm still lousy at receiving,\even though it's the most important thing in volleyball.\So please teach me how, Nishi...\Nishinoya-senpai.\You...\I'll buy you ice cream after practice.\Huh? response:	Because I am...
context: I'm still lousy at receiving,\even though it's the most important thing in volleyball.\So please teach me how, Nishi...\Nishinoya-senpai.\You...\I'll buy you ice cream after practice.\Huh?\Because I am... response:	Does that mean...
context: even though it's the most important thing in volleyball.\So please teach me how, Nishi...\Nishinoya-senpai.\You...\I'll buy you ice cream after practice.\Huh?\Because I am...\Does that mean... response:	That doesn't mean I'm going back to that club.
context: So please teach me how, Nishi...\Nishinoya-senpai.\You...\I'll buy you ice cream after practice.\Huh?\Because I am...\Does that mean...\That doesn't mean I'm going back to that club. response:	I'm going to teach you. That's all.
context: Nishinoya-senpai.\You...\I'll buy you ice cream after practice.\Huh?\Because I am...\Does that mean...\That doesn't mean I'm going back to that club.\I'm going to teach you. That's all. response:	Thanks.
context: You...\I'll buy you ice cream after practice.\Huh?\Because I am...\Does that mean...\That doesn't mean I'm going back to that club.\I'm going to teach you. That's all.\Thanks. response:	So, essentially...
context: I'll buy you ice cream after practice.\Huh?\Because I am...\Does that mean...\That doesn't mean I'm going back to that club.\I'm going to teach you. That's all.\Thanks.\So, essentially... response:	You go zip, then go whoop, and pow.
context: Huh?\Because I am...\Does that mean...\That doesn't mean I'm going back to that club.\I'm going to teach you. That's all.\Thanks.\So, essentially...\You go zip, then go whoop, and pow. response:	Like that.
context: Because I am...\Does that mean...\That doesn't mean I'm going back to that club.\I'm going to teach you. That's all.\Thanks.\So, essentially...\You go zip, then go whoop, and pow.\Like that. response:	It's no good.
context: Does that mean...\That doesn't mean I'm going back to that club.\I'm going to teach you. That's all.\Thanks.\So, essentially...\You go zip, then go whoop, and pow.\Like that.\It's no good. response:	He can't explain it because he moves purely on instinct.
context: That doesn't mean I'm going back to that club.\I'm going to teach you. That's all.\Thanks.\So, essentially...\You go zip, then go whoop, and pow.\Like that.\It's no good.\He can't explain it because he moves purely on instinct. response:	Really? I sort of understood what he was saying.
context: I'm going to teach you. That's all.\Thanks.\So, essentially...\You go zip, then go whoop, and pow.\Like that.\It's no good.\He can't explain it because he moves purely on instinct.\Really? I sort of understood what he was saying. response:	Because you belong to his species.
context: Thanks.\So, essentially...\You go zip, then go whoop, and pow.\Like that.\It's no good.\He can't explain it because he moves purely on instinct.\Really? I sort of understood what he was saying.\Because you belong to his species. response:	When you explain something,
context: So, essentially...\You go zip, then go whoop, and pow.\Like that.\It's no good.\He can't explain it because he moves purely on instinct.\Really? I sort of understood what he was saying.\Because you belong to his species.\When you explain something, response:	all you say is pow and woah and stuff.
context: You go zip, then go whoop, and pow.\Like that.\It's no good.\He can't explain it because he moves purely on instinct.\Really? I sort of understood what he was saying.\Because you belong to his species.\When you explain something,\all you say is pow and woah and stuff. response:	Nobody else understands you.
context: Like that.\It's no good.\He can't explain it because he moves purely on instinct.\Really? I sort of understood what he was saying.\Because you belong to his species.\When you explain something,\all you say is pow and woah and stuff.\Nobody else understands you. response:	Libero is a special position, isn't it?
context: It's no good.\He can't explain it because he moves purely on instinct.\Really? I sort of understood what he was saying.\Because you belong to his species.\When you explain something,\all you say is pow and woah and stuff.\Nobody else understands you.\Libero is a special position, isn't it? response:	Yes.
context: He can't explain it because he moves purely on instinct.\Really? I sort of understood what he was saying.\Because you belong to his species.\When you explain something,\all you say is pow and woah and stuff.\Nobody else understands you.\Libero is a special position, isn't it?\Yes. response:	Libero (L)
context: Really? I sort of understood what he was saying.\Because you belong to his species.\When you explain something,\all you say is pow and woah and stuff.\Nobody else understands you.\Libero is a special position, isn't it?\Yes.\Libero (L) response:	The libero specializes exclusively in defense.
context: Because you belong to his species.\When you explain something,\all you say is pow and woah and stuff.\Nobody else understands you.\Libero is a special position, isn't it?\Yes.\Libero (L)\The libero specializes exclusively in defense. response:	They're not allowed to make offensive plays, like serving or spiking.
context: When you explain something,\all you say is pow and woah and stuff.\Nobody else understands you.\Libero is a special position, isn't it?\Yes.\Libero (L)\The libero specializes exclusively in defense.\They're not allowed to make offensive plays, like serving or spiking. response:	They switch places with the rearguards to solidify defense.
context: all you say is pow and woah and stuff.\Nobody else understands you.\Libero is a special position, isn't it?\Yes.\Libero (L)\The libero specializes exclusively in defense.\They're not allowed to make offensive plays, like serving or spiking.\They switch places with the rearguards to solidify defense. response:	So that's the Guardian God of Karasuno.
context: Nobody else understands you.\Libero is a special position, isn't it?\Yes.\Libero (L)\The libero specializes exclusively in defense.\They're not allowed to make offensive plays, like serving or spiking.\They switch places with the rearguards to solidify defense.\So that's the Guardian God of Karasuno. response:	How awesome.
context: Libero is a special position, isn't it?\Yes.\Libero (L)\The libero specializes exclusively in defense.\They're not allowed to make offensive plays, like serving or spiking.\They switch places with the rearguards to solidify defense.\So that's the Guardian God of Karasuno.\How awesome. response:	It would give us a real shot in the arm if he came back.
context: Yes.\Libero (L)\The libero specializes exclusively in defense.\They're not allowed to make offensive plays, like serving or spiking.\They switch places with the rearguards to solidify defense.\So that's the Guardian God of Karasuno.\How awesome.\It would give us a real shot in the arm if he came back. response:	Master of a hundred battles
context: Libero (L)\The libero specializes exclusively in defense.\They're not allowed to make offensive plays, like serving or spiking.\They switch places with the rearguards to solidify defense.\So that's the Guardian God of Karasuno.\How awesome.\It would give us a real shot in the arm if he came back.\Master of a hundred battles response:	He has a very strong presence, notwithstanding his short stature.
context: The libero specializes exclusively in defense.\They're not allowed to make offensive plays, like serving or spiking.\They switch places with the rearguards to solidify defense.\So that's the Guardian God of Karasuno.\How awesome.\It would give us a real shot in the arm if he came back.\Master of a hundred battles\He has a very strong presence, notwithstanding his short stature. response:	You, I've been noticing your height.
context: They're not allowed to make offensive plays, like serving or spiking.\They switch places with the rearguards to solidify defense.\So that's the Guardian God of Karasuno.\How awesome.\It would give us a real shot in the arm if he came back.\Master of a hundred battles\He has a very strong presence, notwithstanding his short stature.\You, I've been noticing your height. response:	How tall are you?
context: They switch places with the rearguards to solidify defense.\So that's the Guardian God of Karasuno.\How awesome.\It would give us a real shot in the arm if he came back.\Master of a hundred battles\He has a very strong presence, notwithstanding his short stature.\You, I've been noticing your height.\How tall are you? response:	Tsukki is
context: So that's the Guardian God of Karasuno.\How awesome.\It would give us a real shot in the arm if he came back.\Master of a hundred battles\He has a very strong presence, notwithstanding his short stature.\You, I've been noticing your height.\How tall are you?\Tsukki is response:	Shut up, Yamaguchi.
context: How awesome.\It would give us a real shot in the arm if he came back.\Master of a hundred battles\He has a very strong presence, notwithstanding his short stature.\You, I've been noticing your height.\How tall are you?\Tsukki is\Shut up, Yamaguchi. response:	He inspires confidence.
context: It would give us a real shot in the arm if he came back.\Master of a hundred battles\He has a very strong presence, notwithstanding his short stature.\You, I've been noticing your height.\How tall are you?\Tsukki is\Shut up, Yamaguchi.\He inspires confidence. response:	Sorry, Tsukki.
