context: Koizumi. response:	Can't you pull a better face than that?
context: Good morning!\Good morning.\Good... morn...\Hey, look.\Wha-What are you doing wearing that, you idiot?!\What? Then just when am I supposed to wear it?\Risa, good morning.\Good morning. response:	Good morning, Nobu-chan.
context: Good morning.\Good... morn...\Hey, look.\Wha-What are you doing wearing that, you idiot?!\What? Then just when am I supposed to wear it?\Risa, good morning.\Good morning.\Good morning, Nobu-chan. response:	Good morning.
context: Good... morn...\Hey, look.\Wha-What are you doing wearing that, you idiot?!\What? Then just when am I supposed to wear it?\Risa, good morning.\Good morning.\Good morning, Nobu-chan.\Good morning. response:	Good morning, darling.
context: Hey, look.\Wha-What are you doing wearing that, you idiot?!\What? Then just when am I supposed to wear it?\Risa, good morning.\Good morning.\Good morning, Nobu-chan.\Good morning.\Good morning, darling. response:	That's a cute necklace.
context: Wha-What are you doing wearing that, you idiot?!\What? Then just when am I supposed to wear it?\Risa, good morning.\Good morning.\Good morning, Nobu-chan.\Good morning.\Good morning, darling.\That's a cute necklace. response:	Where'd you get it?
context: What? Then just when am I supposed to wear it?\Risa, good morning.\Good morning.\Good morning, Nobu-chan.\Good morning.\Good morning, darling.\That's a cute necklace.\Where'd you get it? response:	Oh! Ah, this is
context: Risa, good morning.\Good morning.\Good morning, Nobu-chan.\Good morning.\Good morning, darling.\That's a cute necklace.\Where'd you get it?\Oh! Ah, this is response:	Koizumi!
context: Good morning.\Good morning, Nobu-chan.\Good morning.\Good morning, darling.\That's a cute necklace.\Where'd you get it?\Oh! Ah, this is\Koizumi! response:	It was.. uh...
context: Good morning, Nobu-chan.\Good morning.\Good morning, darling.\That's a cute necklace.\Where'd you get it?\Oh! Ah, this is\Koizumi!\It was.. uh... response:	What's that supposed to mean?
context: Good morning.\Good morning, darling.\That's a cute necklace.\Where'd you get it?\Oh! Ah, this is\Koizumi!\It was.. uh...\What's that supposed to mean? response:	Right. You, come with me.
context: Good morning, darling.\That's a cute necklace.\Where'd you get it?\Oh! Ah, this is\Koizumi!\It was.. uh...\What's that supposed to mean?\Right. You, come with me. response:	You absolutely cannot tell those guys anything unnecessary, okay.
context: That's a cute necklace.\Where'd you get it?\Oh! Ah, this is\Koizumi!\It was.. uh...\What's that supposed to mean?\Right. You, come with me.\You absolutely cannot tell those guys anything unnecessary, okay. response:	Unnecessary?
context: Where'd you get it?\Oh! Ah, this is\Koizumi!\It was.. uh...\What's that supposed to mean?\Right. You, come with me.\You absolutely cannot tell those guys anything unnecessary, okay.\Unnecessary? response:	A-About this...
context: Oh! Ah, this is\Koizumi!\It was.. uh...\What's that supposed to mean?\Right. You, come with me.\You absolutely cannot tell those guys anything unnecessary, okay.\Unnecessary?\A-About this... response:	And that...
context: Koizumi!\It was.. uh...\What's that supposed to mean?\Right. You, come with me.\You absolutely cannot tell those guys anything unnecessary, okay.\Unnecessary?\A-About this...\And that... response:	This and that?
context: It was.. uh...\What's that supposed to mean?\Right. You, come with me.\You absolutely cannot tell those guys anything unnecessary, okay.\Unnecessary?\A-About this...\And that...\This and that? response:	Ahh... That.
context: What's that supposed to mean?\Right. You, come with me.\You absolutely cannot tell those guys anything unnecessary, okay.\Unnecessary?\A-About this...\And that...\This and that?\Ahh... That. response:	So like I said, just keep your mouth shut.
context: Right. You, come with me.\You absolutely cannot tell those guys anything unnecessary, okay.\Unnecessary?\A-About this...\And that...\This and that?\Ahh... That.\So like I said, just keep your mouth shut. response:	Why should I have to listen to your lecturing?
context: You absolutely cannot tell those guys anything unnecessary, okay.\Unnecessary?\A-About this...\And that...\This and that?\Ahh... That.\So like I said, just keep your mouth shut.\Why should I have to listen to your lecturing? response:	I am not lecturing.
context: Unnecessary?\A-About this...\And that...\This and that?\Ahh... That.\So like I said, just keep your mouth shut.\Why should I have to listen to your lecturing?\I am not lecturing. response:	Don't pull that face.
context: A-About this...\And that...\This and that?\Ahh... That.\So like I said, just keep your mouth shut.\Why should I have to listen to your lecturing?\I am not lecturing.\Don't pull that face. response:	But... I'm really happy.
context: And that...\This and that?\Ahh... That.\So like I said, just keep your mouth shut.\Why should I have to listen to your lecturing?\I am not lecturing.\Don't pull that face.\But... I'm really happy. response:	I just want to say so out loud.
context: This and that?\Ahh... That.\So like I said, just keep your mouth shut.\Why should I have to listen to your lecturing?\I am not lecturing.\Don't pull that face.\But... I'm really happy.\I just want to say so out loud. response:	I'm sorry, but I don't just want to tell Nobu-chan.
context: Ahh... That.\So like I said, just keep your mouth shut.\Why should I have to listen to your lecturing?\I am not lecturing.\Don't pull that face.\But... I'm really happy.\I just want to say so out loud.\I'm sorry, but I don't just want to tell Nobu-chan. response:	I want the whole world to know how happy I am...
context: So like I said, just keep your mouth shut.\Why should I have to listen to your lecturing?\I am not lecturing.\Don't pull that face.\But... I'm really happy.\I just want to say so out loud.\I'm sorry, but I don't just want to tell Nobu-chan.\I want the whole world to know how happy I am... response:	You're an idiot.
context: Why should I have to listen to your lecturing?\I am not lecturing.\Don't pull that face.\But... I'm really happy.\I just want to say so out loud.\I'm sorry, but I don't just want to tell Nobu-chan.\I want the whole world to know how happy I am...\You're an idiot. response:	I am.
context: I am not lecturing.\Don't pull that face.\But... I'm really happy.\I just want to say so out loud.\I'm sorry, but I don't just want to tell Nobu-chan.\I want the whole world to know how happy I am...\You're an idiot.\I am. response:	Fine!
context: Don't pull that face.\But... I'm really happy.\I just want to say so out loud.\I'm sorry, but I don't just want to tell Nobu-chan.\I want the whole world to know how happy I am...\You're an idiot.\I am.\Fine! response:	Do whatever you like.
context: But... I'm really happy.\I just want to say so out loud.\I'm sorry, but I don't just want to tell Nobu-chan.\I want the whole world to know how happy I am...\You're an idiot.\I am.\Fine!\Do whatever you like. response:	Wait up!
context: I just want to say so out loud.\I'm sorry, but I don't just want to tell Nobu-chan.\I want the whole world to know how happy I am...\You're an idiot.\I am.\Fine!\Do whatever you like.\Wait up! response:	Don't follow me.
context: I'm sorry, but I don't just want to tell Nobu-chan.\I want the whole world to know how happy I am...\You're an idiot.\I am.\Fine!\Do whatever you like.\Wait up!\Don't follow me. response:	But...
context: I want the whole world to know how happy I am...\You're an idiot.\I am.\Fine!\Do whatever you like.\Wait up!\Don't follow me.\But... response:	What's the matter?
context: You're an idiot.\I am.\Fine!\Do whatever you like.\Wait up!\Don't follow me.\But...\What's the matter? response:	We heard.
context: I am.\Fine!\Do whatever you like.\Wait up!\Don't follow me.\But...\What's the matter?\We heard. response:	I already told you! Nothing happened!
context: Fine!\Do whatever you like.\Wait up!\Don't follow me.\But...\What's the matter?\We heard.\I already told you! Nothing happened! response:	Honestly?
context: Do whatever you like.\Wait up!\Don't follow me.\But...\What's the matter?\We heard.\I already told you! Nothing happened!\Honestly? response:	Shut up. I'm going home.
context: Wait up!\Don't follow me.\But...\What's the matter?\We heard.\I already told you! Nothing happened!\Honestly?\Shut up. I'm going home. response:	Risa, you got that necklace from Otani-kun, right?
context: Don't follow me.\But...\What's the matter?\We heard.\I already told you! Nothing happened!\Honestly?\Shut up. I'm going home.\Risa, you got that necklace from Otani-kun, right? response:	Otani bought it for me
context: But...\What's the matter?\We heard.\I already told you! Nothing happened!\Honestly?\Shut up. I'm going home.\Risa, you got that necklace from Otani-kun, right?\Otani bought it for me response:	Oh my! How did you know?
context: What's the matter?\We heard.\I already told you! Nothing happened!\Honestly?\Shut up. I'm going home.\Risa, you got that necklace from Otani-kun, right?\Otani bought it for me\Oh my! How did you know? response:	Otani bought it for me
context: We heard.\I already told you! Nothing happened!\Honestly?\Shut up. I'm going home.\Risa, you got that necklace from Otani-kun, right?\Otani bought it for me\Oh my! How did you know?\Otani bought it for me response:	Oh? Is that so? That's wonderful, Risa-chan.
context: I already told you! Nothing happened!\Honestly?\Shut up. I'm going home.\Risa, you got that necklace from Otani-kun, right?\Otani bought it for me\Oh my! How did you know?\Otani bought it for me\Oh? Is that so? That's wonderful, Risa-chan. response:	What. When did he give it to you?
context: Honestly?\Shut up. I'm going home.\Risa, you got that necklace from Otani-kun, right?\Otani bought it for me\Oh my! How did you know?\Otani bought it for me\Oh? Is that so? That's wonderful, Risa-chan.\What. When did he give it to you? response:	Yesterday, while you guys were watching the fireworks.
context: Shut up. I'm going home.\Risa, you got that necklace from Otani-kun, right?\Otani bought it for me\Oh my! How did you know?\Otani bought it for me\Oh? Is that so? That's wonderful, Risa-chan.\What. When did he give it to you?\Yesterday, while you guys were watching the fireworks. response:	Oh? I had no idea.
context: Risa, you got that necklace from Otani-kun, right?\Otani bought it for me\Oh my! How did you know?\Otani bought it for me\Oh? Is that so? That's wonderful, Risa-chan.\What. When did he give it to you?\Yesterday, while you guys were watching the fireworks.\Oh? I had no idea. response:	What's up with that?!
context: Otani bought it for me\Oh my! How did you know?\Otani bought it for me\Oh? Is that so? That's wonderful, Risa-chan.\What. When did he give it to you?\Yesterday, while you guys were watching the fireworks.\Oh? I had no idea.\What's up with that?! response:	Wait. Were you guys sneaking around doing things behind our backs?
context: Oh my! How did you know?\Otani bought it for me\Oh? Is that so? That's wonderful, Risa-chan.\What. When did he give it to you?\Yesterday, while you guys were watching the fireworks.\Oh? I had no idea.\What's up with that?!\Wait. Were you guys sneaking around doing things behind our backs? response:	How dirty.
context: Otani bought it for me\Oh? Is that so? That's wonderful, Risa-chan.\What. When did he give it to you?\Yesterday, while you guys were watching the fireworks.\Oh? I had no idea.\What's up with that?!\Wait. Were you guys sneaking around doing things behind our backs?\How dirty. response:	Well, he gave me a present,
context: Oh? Is that so? That's wonderful, Risa-chan.\What. When did he give it to you?\Yesterday, while you guys were watching the fireworks.\Oh? I had no idea.\What's up with that?!\Wait. Were you guys sneaking around doing things behind our backs?\How dirty.\Well, he gave me a present, response:	And then...
context: What. When did he give it to you?\Yesterday, while you guys were watching the fireworks.\Oh? I had no idea.\What's up with that?!\Wait. Were you guys sneaking around doing things behind our backs?\How dirty.\Well, he gave me a present,\And then... response:	I can't say it!
context: Yesterday, while you guys were watching the fireworks.\Oh? I had no idea.\What's up with that?!\Wait. Were you guys sneaking around doing things behind our backs?\How dirty.\Well, he gave me a present,\And then...\I can't say it! response:	What the heck is that kyaah about?!
context: Oh? I had no idea.\What's up with that?!\Wait. Were you guys sneaking around doing things behind our backs?\How dirty.\Well, he gave me a present,\And then...\I can't say it!\What the heck is that kyaah about?! response:	Well, I've been trying really hard, but now it's paying off...
context: What's up with that?!\Wait. Were you guys sneaking around doing things behind our backs?\How dirty.\Well, he gave me a present,\And then...\I can't say it!\What the heck is that kyaah about?!\Well, I've been trying really hard, but now it's paying off... response:	I'm just so happy.
context: Wait. Were you guys sneaking around doing things behind our backs?\How dirty.\Well, he gave me a present,\And then...\I can't say it!\What the heck is that kyaah about?!\Well, I've been trying really hard, but now it's paying off...\I'm just so happy. response:	You should be. You worked really hard for this.
context: How dirty.\Well, he gave me a present,\And then...\I can't say it!\What the heck is that kyaah about?!\Well, I've been trying really hard, but now it's paying off...\I'm just so happy.\You should be. You worked really hard for this. response:	So.
context: Well, he gave me a present,\And then...\I can't say it!\What the heck is that kyaah about?!\Well, I've been trying really hard, but now it's paying off...\I'm just so happy.\You should be. You worked really hard for this.\So. response:	All Hanshin-Kyojin are finally a couple.
context: And then...\I can't say it!\What the heck is that kyaah about?!\Well, I've been trying really hard, but now it's paying off...\I'm just so happy.\You should be. You worked really hard for this.\So.\All Hanshin-Kyojin are finally a couple. response:	It's been a long wait.
context: I can't say it!\What the heck is that kyaah about?!\Well, I've been trying really hard, but now it's paying off...\I'm just so happy.\You should be. You worked really hard for this.\So.\All Hanshin-Kyojin are finally a couple.\It's been a long wait. response:	We're not going out yet.
context: What the heck is that kyaah about?!\Well, I've been trying really hard, but now it's paying off...\I'm just so happy.\You should be. You worked really hard for this.\So.\All Hanshin-Kyojin are finally a couple.\It's been a long wait.\We're not going out yet. response:	Wait! What the heck?! Didn't he ask you out?
context: Well, I've been trying really hard, but now it's paying off...\I'm just so happy.\You should be. You worked really hard for this.\So.\All Hanshin-Kyojin are finally a couple.\It's been a long wait.\We're not going out yet.\Wait! What the heck?! Didn't he ask you out? response:	So... he just gave you a present?
context: I'm just so happy.\You should be. You worked really hard for this.\So.\All Hanshin-Kyojin are finally a couple.\It's been a long wait.\We're not going out yet.\Wait! What the heck?! Didn't he ask you out?\So... he just gave you a present? response:	Well, I got more than just a present...
context: You should be. You worked really hard for this.\So.\All Hanshin-Kyojin are finally a couple.\It's been a long wait.\We're not going out yet.\Wait! What the heck?! Didn't he ask you out?\So... he just gave you a present?\Well, I got more than just a present... response:	But let's just leave it at that.
context: So.\All Hanshin-Kyojin are finally a couple.\It's been a long wait.\We're not going out yet.\Wait! What the heck?! Didn't he ask you out?\So... he just gave you a present?\Well, I got more than just a present...\But let's just leave it at that. response:	What's that supposed to mean?
context: All Hanshin-Kyojin are finally a couple.\It's been a long wait.\We're not going out yet.\Wait! What the heck?! Didn't he ask you out?\So... he just gave you a present?\Well, I got more than just a present...\But let's just leave it at that.\What's that supposed to mean? response:	Oh? But Risa-chan, you said your dream came true.
context: It's been a long wait.\We're not going out yet.\Wait! What the heck?! Didn't he ask you out?\So... he just gave you a present?\Well, I got more than just a present...\But let's just leave it at that.\What's that supposed to mean?\Oh? But Risa-chan, you said your dream came true. response:	You see, not long ago he said...
context: We're not going out yet.\Wait! What the heck?! Didn't he ask you out?\So... he just gave you a present?\Well, I got more than just a present...\But let's just leave it at that.\What's that supposed to mean?\Oh? But Risa-chan, you said your dream came true.\You see, not long ago he said... response:	I mean, suppose she was my girlfriend.
context: Wait! What the heck?! Didn't he ask you out?\So... he just gave you a present?\Well, I got more than just a present...\But let's just leave it at that.\What's that supposed to mean?\Oh? But Risa-chan, you said your dream came true.\You see, not long ago he said...\I mean, suppose she was my girlfriend. response:	Then we'd have to kiss.
context: So... he just gave you a present?\Well, I got more than just a present...\But let's just leave it at that.\What's that supposed to mean?\Oh? But Risa-chan, you said your dream came true.\You see, not long ago he said...\I mean, suppose she was my girlfriend.\Then we'd have to kiss. response:	And...
context: Well, I got more than just a present...\But let's just leave it at that.\What's that supposed to mean?\Oh? But Risa-chan, you said your dream came true.\You see, not long ago he said...\I mean, suppose she was my girlfriend.\Then we'd have to kiss.\And... response:	Even though the two of us are alone in this room right now, I don't feel a thing.
context: But let's just leave it at that.\What's that supposed to mean?\Oh? But Risa-chan, you said your dream came true.\You see, not long ago he said...\I mean, suppose she was my girlfriend.\Then we'd have to kiss.\And...\Even though the two of us are alone in this room right now, I don't feel a thing. response:	But then yesterday, that happened.
context: What's that supposed to mean?\Oh? But Risa-chan, you said your dream came true.\You see, not long ago he said...\I mean, suppose she was my girlfriend.\Then we'd have to kiss.\And...\Even though the two of us are alone in this room right now, I don't feel a thing.\But then yesterday, that happened. response:	It was no illusion!
context: Oh? But Risa-chan, you said your dream came true.\You see, not long ago he said...\I mean, suppose she was my girlfriend.\Then we'd have to kiss.\And...\Even though the two of us are alone in this room right now, I don't feel a thing.\But then yesterday, that happened.\It was no illusion! response:	What's that?
context: You see, not long ago he said...\I mean, suppose she was my girlfriend.\Then we'd have to kiss.\And...\Even though the two of us are alone in this room right now, I don't feel a thing.\But then yesterday, that happened.\It was no illusion!\What's that? response:	Who knows.
context: I mean, suppose she was my girlfriend.\Then we'd have to kiss.\And...\Even though the two of us are alone in this room right now, I don't feel a thing.\But then yesterday, that happened.\It was no illusion!\What's that?\Who knows. response:	All of my hard work has paid off.
context: Then we'd have to kiss.\And...\Even though the two of us are alone in this room right now, I don't feel a thing.\But then yesterday, that happened.\It was no illusion!\What's that?\Who knows.\All of my hard work has paid off. response:	Hey, are you an idiot?
context: And...\Even though the two of us are alone in this room right now, I don't feel a thing.\But then yesterday, that happened.\It was no illusion!\What's that?\Who knows.\All of my hard work has paid off.\Hey, are you an idiot? response:	Say whatever you like.
context: Even though the two of us are alone in this room right now, I don't feel a thing.\But then yesterday, that happened.\It was no illusion!\What's that?\Who knows.\All of my hard work has paid off.\Hey, are you an idiot?\Say whatever you like. response:	Well then, I'll see you tomorrow.
context: But then yesterday, that happened.\It was no illusion!\What's that?\Who knows.\All of my hard work has paid off.\Hey, are you an idiot?\Say whatever you like.\Well then, I'll see you tomorrow. response:	Yeah.
context: It was no illusion!\What's that?\Who knows.\All of my hard work has paid off.\Hey, are you an idiot?\Say whatever you like.\Well then, I'll see you tomorrow.\Yeah. response:	Koizumi.
context: What's that?\Who knows.\All of my hard work has paid off.\Hey, are you an idiot?\Say whatever you like.\Well then, I'll see you tomorrow.\Yeah.\Koizumi. response:	What is it?
context: Who knows.\All of my hard work has paid off.\Hey, are you an idiot?\Say whatever you like.\Well then, I'll see you tomorrow.\Yeah.\Koizumi.\What is it? response:	Want to go somewhere before going home?
context: All of my hard work has paid off.\Hey, are you an idiot?\Say whatever you like.\Well then, I'll see you tomorrow.\Yeah.\Koizumi.\What is it?\Want to go somewhere before going home? response:	At this point it would be natural to jump straight into dating, wouldn't it?
context: Hey, are you an idiot?\Say whatever you like.\Well then, I'll see you tomorrow.\Yeah.\Koizumi.\What is it?\Want to go somewhere before going home?\At this point it would be natural to jump straight into dating, wouldn't it? response:	By the way, Koizumi...
context: Say whatever you like.\Well then, I'll see you tomorrow.\Yeah.\Koizumi.\What is it?\Want to go somewhere before going home?\At this point it would be natural to jump straight into dating, wouldn't it?\By the way, Koizumi... response:	What is it?
context: Well then, I'll see you tomorrow.\Yeah.\Koizumi.\What is it?\Want to go somewhere before going home?\At this point it would be natural to jump straight into dating, wouldn't it?\By the way, Koizumi...\What is it? response:	I forgot to give this to you.
context: Yeah.\Koizumi.\What is it?\Want to go somewhere before going home?\At this point it would be natural to jump straight into dating, wouldn't it?\By the way, Koizumi...\What is it?\I forgot to give this to you. response:	Here, take one.
context: Koizumi.\What is it?\Want to go somewhere before going home?\At this point it would be natural to jump straight into dating, wouldn't it?\By the way, Koizumi...\What is it?\I forgot to give this to you.\Here, take one. response:	Cool! A ticket to the World Athletics Championships!
context: What is it?\Want to go somewhere before going home?\At this point it would be natural to jump straight into dating, wouldn't it?\By the way, Koizumi...\What is it?\I forgot to give this to you.\Here, take one.\Cool! A ticket to the World Athletics Championships! response:	And it's the night of the finals!
context: Want to go somewhere before going home?\At this point it would be natural to jump straight into dating, wouldn't it?\By the way, Koizumi...\What is it?\I forgot to give this to you.\Here, take one.\Cool! A ticket to the World Athletics Championships!\And it's the night of the finals! response:	These tickets are really hard to get.
context: At this point it would be natural to jump straight into dating, wouldn't it?\By the way, Koizumi...\What is it?\I forgot to give this to you.\Here, take one.\Cool! A ticket to the World Athletics Championships!\And it's the night of the finals!\These tickets are really hard to get. response:	My dad's been itching to get one.
context: By the way, Koizumi...\What is it?\I forgot to give this to you.\Here, take one.\Cool! A ticket to the World Athletics Championships!\And it's the night of the finals!\These tickets are really hard to get.\My dad's been itching to get one. response:	Amazing, Otani! Well done.
context: What is it?\I forgot to give this to you.\Here, take one.\Cool! A ticket to the World Athletics Championships!\And it's the night of the finals!\These tickets are really hard to get.\My dad's been itching to get one.\Amazing, Otani! Well done. response:	Good job. Big man! Big man!
context: I forgot to give this to you.\Here, take one.\Cool! A ticket to the World Athletics Championships!\And it's the night of the finals!\These tickets are really hard to get.\My dad's been itching to get one.\Amazing, Otani! Well done.\Good job. Big man! Big man! response:	What are you doing? I don't get you at all.
context: Here, take one.\Cool! A ticket to the World Athletics Championships!\And it's the night of the finals!\These tickets are really hard to get.\My dad's been itching to get one.\Amazing, Otani! Well done.\Good job. Big man! Big man!\What are you doing? I don't get you at all. response:	You're making me uneasy,
context: Cool! A ticket to the World Athletics Championships!\And it's the night of the finals!\These tickets are really hard to get.\My dad's been itching to get one.\Amazing, Otani! Well done.\Good job. Big man! Big man!\What are you doing? I don't get you at all.\You're making me uneasy, response:	Huh? Risa?
context: And it's the night of the finals!\These tickets are really hard to get.\My dad's been itching to get one.\Amazing, Otani! Well done.\Good job. Big man! Big man!\What are you doing? I don't get you at all.\You're making me uneasy,\Huh? Risa? response:	It really is you, Risa!
context: These tickets are really hard to get.\My dad's been itching to get one.\Amazing, Otani! Well done.\Good job. Big man! Big man!\What are you doing? I don't get you at all.\You're making me uneasy,\Huh? Risa?\It really is you, Risa! response:	Oh! Ake-chi! Long time no see!
context: My dad's been itching to get one.\Amazing, Otani! Well done.\Good job. Big man! Big man!\What are you doing? I don't get you at all.\You're making me uneasy,\Huh? Risa?\It really is you, Risa!\Oh! Ake-chi! Long time no see! response:	How are you?
context: Amazing, Otani! Well done.\Good job. Big man! Big man!\What are you doing? I don't get you at all.\You're making me uneasy,\Huh? Risa?\It really is you, Risa!\Oh! Ake-chi! Long time no see!\How are you? response:	I'm great!
context: Good job. Big man! Big man!\What are you doing? I don't get you at all.\You're making me uneasy,\Huh? Risa?\It really is you, Risa!\Oh! Ake-chi! Long time no see!\How are you?\I'm great! response:	Oh, this is a friend of mine from middle school.
context: What are you doing? I don't get you at all.\You're making me uneasy,\Huh? Risa?\It really is you, Risa!\Oh! Ake-chi! Long time no see!\How are you?\I'm great!\Oh, this is a friend of mine from middle school. response:	Ah. Hello.
context: You're making me uneasy,\Huh? Risa?\It really is you, Risa!\Oh! Ake-chi! Long time no see!\How are you?\I'm great!\Oh, this is a friend of mine from middle school.\Ah. Hello. response:	Don't tell me this is your boyfriend?
context: Huh? Risa?\It really is you, Risa!\Oh! Ake-chi! Long time no see!\How are you?\I'm great!\Oh, this is a friend of mine from middle school.\Ah. Hello.\Don't tell me this is your boyfriend? response:	No, no. We're just friends, just friends.
context: It really is you, Risa!\Oh! Ake-chi! Long time no see!\How are you?\I'm great!\Oh, this is a friend of mine from middle school.\Ah. Hello.\Don't tell me this is your boyfriend?\No, no. We're just friends, just friends. response:	But he might be my boyfriend tomorrow...
context: Oh! Ake-chi! Long time no see!\How are you?\I'm great!\Oh, this is a friend of mine from middle school.\Ah. Hello.\Don't tell me this is your boyfriend?\No, no. We're just friends, just friends.\But he might be my boyfriend tomorrow... response:	Of course.
context: How are you?\I'm great!\Oh, this is a friend of mine from middle school.\Ah. Hello.\Don't tell me this is your boyfriend?\No, no. We're just friends, just friends.\But he might be my boyfriend tomorrow...\Of course. response:	You always said you'd never go for a guy shorter than you, right Risa?
