context: What we have here is a model that was made of it. response:	The real one was made of valuable things like gold,
context: But then there are many pyramids with people in them.\What were they made for?\You seem to like this sort of subject.\Yes.\If you are interested come over to our house sometime.\I have even more interesting examples.\May I?\Of course. response:	Kinomoto's dad really is great.
context: What were they made for?\You seem to like this sort of subject.\Yes.\If you are interested come over to our house sometime.\I have even more interesting examples.\May I?\Of course.\Kinomoto's dad really is great. response:	Kinomoto? Kinomoto?
context: You seem to like this sort of subject.\Yes.\If you are interested come over to our house sometime.\I have even more interesting examples.\May I?\Of course.\Kinomoto's dad really is great.\Kinomoto? Kinomoto? response:	Didn't you notice by the name?
context: Yes.\If you are interested come over to our house sometime.\I have even more interesting examples.\May I?\Of course.\Kinomoto's dad really is great.\Kinomoto? Kinomoto?\Didn't you notice by the name? response:	He is Sakura-chan's dad.
context: If you are interested come over to our house sometime.\I have even more interesting examples.\May I?\Of course.\Kinomoto's dad really is great.\Kinomoto? Kinomoto?\Didn't you notice by the name?\He is Sakura-chan's dad. response:	What is that for?
context: I have even more interesting examples.\May I?\Of course.\Kinomoto's dad really is great.\Kinomoto? Kinomoto?\Didn't you notice by the name?\He is Sakura-chan's dad.\What is that for? response:	I wonder if today's talk was a little difficult?
context: May I?\Of course.\Kinomoto's dad really is great.\Kinomoto? Kinomoto?\Didn't you notice by the name?\He is Sakura-chan's dad.\What is that for?\I wonder if today's talk was a little difficult? response:	No, it was really interesting and easy to understand.
context: Of course.\Kinomoto's dad really is great.\Kinomoto? Kinomoto?\Didn't you notice by the name?\He is Sakura-chan's dad.\What is that for?\I wonder if today's talk was a little difficult?\No, it was really interesting and easy to understand. response:	That's good.
context: Kinomoto's dad really is great.\Kinomoto? Kinomoto?\Didn't you notice by the name?\He is Sakura-chan's dad.\What is that for?\I wonder if today's talk was a little difficult?\No, it was really interesting and easy to understand.\That's good. response:	What do you want to eat today?
context: Kinomoto? Kinomoto?\Didn't you notice by the name?\He is Sakura-chan's dad.\What is that for?\I wonder if today's talk was a little difficult?\No, it was really interesting and easy to understand.\That's good.\What do you want to eat today? response:	Wasn't it my brother's turn to cook?
context: Didn't you notice by the name?\He is Sakura-chan's dad.\What is that for?\I wonder if today's talk was a little difficult?\No, it was really interesting and easy to understand.\That's good.\What do you want to eat today?\Wasn't it my brother's turn to cook? response:	Touya says he has a test tomorrow.
context: He is Sakura-chan's dad.\What is that for?\I wonder if today's talk was a little difficult?\No, it was really interesting and easy to understand.\That's good.\What do you want to eat today?\Wasn't it my brother's turn to cook?\Touya says he has a test tomorrow. response:	So I'm doing it for him.
context: What is that for?\I wonder if today's talk was a little difficult?\No, it was really interesting and easy to understand.\That's good.\What do you want to eat today?\Wasn't it my brother's turn to cook?\Touya says he has a test tomorrow.\So I'm doing it for him. response:	I see, well then'
context: I wonder if today's talk was a little difficult?\No, it was really interesting and easy to understand.\That's good.\What do you want to eat today?\Wasn't it my brother's turn to cook?\Touya says he has a test tomorrow.\So I'm doing it for him.\I see, well then' response:	Break is over already?
context: No, it was really interesting and easy to understand.\That's good.\What do you want to eat today?\Wasn't it my brother's turn to cook?\Touya says he has a test tomorrow.\So I'm doing it for him.\I see, well then'\Break is over already? response:	Breaks always seem to go by quickly.
context: That's good.\What do you want to eat today?\Wasn't it my brother's turn to cook?\Touya says he has a test tomorrow.\So I'm doing it for him.\I see, well then'\Break is over already?\Breaks always seem to go by quickly. response:	Well, hurry up.
context: What do you want to eat today?\Wasn't it my brother's turn to cook?\Touya says he has a test tomorrow.\So I'm doing it for him.\I see, well then'\Break is over already?\Breaks always seem to go by quickly.\Well, hurry up. response:	Yeah.
context: Wasn't it my brother's turn to cook?\Touya says he has a test tomorrow.\So I'm doing it for him.\I see, well then'\Break is over already?\Breaks always seem to go by quickly.\Well, hurry up.\Yeah. response:	What is Sakura doing out at this hour?
context: Touya says he has a test tomorrow.\So I'm doing it for him.\I see, well then'\Break is over already?\Breaks always seem to go by quickly.\Well, hurry up.\Yeah.\What is Sakura doing out at this hour? response:	This is the time when good kids should be in bed.
context: So I'm doing it for him.\I see, well then'\Break is over already?\Breaks always seem to go by quickly.\Well, hurry up.\Yeah.\What is Sakura doing out at this hour?\This is the time when good kids should be in bed. response:	All right!
context: I see, well then'\Break is over already?\Breaks always seem to go by quickly.\Well, hurry up.\Yeah.\What is Sakura doing out at this hour?\This is the time when good kids should be in bed.\All right! response:	Good luck on your test.
context: Break is over already?\Breaks always seem to go by quickly.\Well, hurry up.\Yeah.\What is Sakura doing out at this hour?\This is the time when good kids should be in bed.\All right!\Good luck on your test. response:	Umm, please take this.
context: Breaks always seem to go by quickly.\Well, hurry up.\Yeah.\What is Sakura doing out at this hour?\This is the time when good kids should be in bed.\All right!\Good luck on your test.\Umm, please take this. response:	What is it?
context: Well, hurry up.\Yeah.\What is Sakura doing out at this hour?\This is the time when good kids should be in bed.\All right!\Good luck on your test.\Umm, please take this.\What is it? response:	Sakura-chan.
context: Yeah.\What is Sakura doing out at this hour?\This is the time when good kids should be in bed.\All right!\Good luck on your test.\Umm, please take this.\What is it?\Sakura-chan. response:	A meat bun.
context: What is Sakura doing out at this hour?\This is the time when good kids should be in bed.\All right!\Good luck on your test.\Umm, please take this.\What is it?\Sakura-chan.\A meat bun. response:	Ah dinner? Thank you.
context: This is the time when good kids should be in bed.\All right!\Good luck on your test.\Umm, please take this.\What is it?\Sakura-chan.\A meat bun.\Ah dinner? Thank you. response:	Yuki, you're hungry right?
context: All right!\Good luck on your test.\Umm, please take this.\What is it?\Sakura-chan.\A meat bun.\Ah dinner? Thank you.\Yuki, you're hungry right? response:	Thank you, Sakura-chan.
context: Good luck on your test.\Umm, please take this.\What is it?\Sakura-chan.\A meat bun.\Ah dinner? Thank you.\Yuki, you're hungry right?\Thank you, Sakura-chan. response:	It's late, so go to sleep.
context: Umm, please take this.\What is it?\Sakura-chan.\A meat bun.\Ah dinner? Thank you.\Yuki, you're hungry right?\Thank you, Sakura-chan.\It's late, so go to sleep. response:	Good night.
context: What is it?\Sakura-chan.\A meat bun.\Ah dinner? Thank you.\Yuki, you're hungry right?\Thank you, Sakura-chan.\It's late, so go to sleep.\Good night. response:	Good night.
context: Sakura-chan.\A meat bun.\Ah dinner? Thank you.\Yuki, you're hungry right?\Thank you, Sakura-chan.\It's late, so go to sleep.\Good night.\Good night. response:	All I said was meat bun.
context: A meat bun.\Ah dinner? Thank you.\Yuki, you're hungry right?\Thank you, Sakura-chan.\It's late, so go to sleep.\Good night.\Good night.\All I said was meat bun. response:	Hurry and go to sleep, I am turning out the light.
context: Ah dinner? Thank you.\Yuki, you're hungry right?\Thank you, Sakura-chan.\It's late, so go to sleep.\Good night.\Good night.\All I said was meat bun.\Hurry and go to sleep, I am turning out the light. response:	Well then,
context: Yuki, you're hungry right?\Thank you, Sakura-chan.\It's late, so go to sleep.\Good night.\Good night.\All I said was meat bun.\Hurry and go to sleep, I am turning out the light.\Well then, response:	good night.
context: Thank you, Sakura-chan.\It's late, so go to sleep.\Good night.\Good night.\All I said was meat bun.\Hurry and go to sleep, I am turning out the light.\Well then,\good night. response:	Good night.
context: It's late, so go to sleep.\Good night.\Good night.\All I said was meat bun.\Hurry and go to sleep, I am turning out the light.\Well then,\good night.\Good night. response:	Tomorrow is the last part,
context: Good night.\Good night.\All I said was meat bun.\Hurry and go to sleep, I am turning out the light.\Well then,\good night.\Good night.\Tomorrow is the last part, response:	it was a long journey.
context: Good night.\All I said was meat bun.\Hurry and go to sleep, I am turning out the light.\Well then,\good night.\Good night.\Tomorrow is the last part,\it was a long journey. response:	But Yukito-san is next door.
context: All I said was meat bun.\Hurry and go to sleep, I am turning out the light.\Well then,\good night.\Good night.\Tomorrow is the last part,\it was a long journey.\But Yukito-san is next door. response:	I feel all excited.
context: Hurry and go to sleep, I am turning out the light.\Well then,\good night.\Good night.\Tomorrow is the last part,\it was a long journey.\But Yukito-san is next door.\I feel all excited. response:	Kero-chan,
context: Well then,\good night.\Good night.\Tomorrow is the last part,\it was a long journey.\But Yukito-san is next door.\I feel all excited.\Kero-chan, response:	you started that game today didn't you?
context: good night.\Good night.\Tomorrow is the last part,\it was a long journey.\But Yukito-san is next door.\I feel all excited.\Kero-chan,\you started that game today didn't you? response:	I actually planned on finishing it in one day.
context: Good night.\Tomorrow is the last part,\it was a long journey.\But Yukito-san is next door.\I feel all excited.\Kero-chan,\you started that game today didn't you?\I actually planned on finishing it in one day. response:	Your eyes will go bad.
context: Tomorrow is the last part,\it was a long journey.\But Yukito-san is next door.\I feel all excited.\Kero-chan,\you started that game today didn't you?\I actually planned on finishing it in one day.\Your eyes will go bad. response:	Why is it ringing this late at night? Where's that bell?
context: it was a long journey.\But Yukito-san is next door.\I feel all excited.\Kero-chan,\you started that game today didn't you?\I actually planned on finishing it in one day.\Your eyes will go bad.\Why is it ringing this late at night? Where's that bell? response:	Isn't that the clock tower
context: But Yukito-san is next door.\I feel all excited.\Kero-chan,\you started that game today didn't you?\I actually planned on finishing it in one day.\Your eyes will go bad.\Why is it ringing this late at night? Where's that bell?\Isn't that the clock tower response:	at Sakura's school?
context: I feel all excited.\Kero-chan,\you started that game today didn't you?\I actually planned on finishing it in one day.\Your eyes will go bad.\Why is it ringing this late at night? Where's that bell?\Isn't that the clock tower\at Sakura's school? response:	You can really hear it.
context: Kero-chan,\you started that game today didn't you?\I actually planned on finishing it in one day.\Your eyes will go bad.\Why is it ringing this late at night? Where's that bell?\Isn't that the clock tower\at Sakura's school?\You can really hear it. response:	Would it usually go off at this hour?
context: you started that game today didn't you?\I actually planned on finishing it in one day.\Your eyes will go bad.\Why is it ringing this late at night? Where's that bell?\Isn't that the clock tower\at Sakura's school?\You can really hear it.\Would it usually go off at this hour? response:	I'm sure that bell shouldn't ring after five in the evening.
context: I actually planned on finishing it in one day.\Your eyes will go bad.\Why is it ringing this late at night? Where's that bell?\Isn't that the clock tower\at Sakura's school?\You can really hear it.\Would it usually go off at this hour?\I'm sure that bell shouldn't ring after five in the evening. response:	Aren't you mad?
context: Your eyes will go bad.\Why is it ringing this late at night? Where's that bell?\Isn't that the clock tower\at Sakura's school?\You can really hear it.\Would it usually go off at this hour?\I'm sure that bell shouldn't ring after five in the evening.\Aren't you mad? response:	But, that clock has never broke before.
context: Why is it ringing this late at night? Where's that bell?\Isn't that the clock tower\at Sakura's school?\You can really hear it.\Would it usually go off at this hour?\I'm sure that bell shouldn't ring after five in the evening.\Aren't you mad?\But, that clock has never broke before. response:	I'll be late!
context: Isn't that the clock tower\at Sakura's school?\You can really hear it.\Would it usually go off at this hour?\I'm sure that bell shouldn't ring after five in the evening.\Aren't you mad?\But, that clock has never broke before.\I'll be late! response:	You weren't able to sleep well since then, huh?
context: at Sakura's school?\You can really hear it.\Would it usually go off at this hour?\I'm sure that bell shouldn't ring after five in the evening.\Aren't you mad?\But, that clock has never broke before.\I'll be late!\You weren't able to sleep well since then, huh? response:	Time to finish
context: You can really hear it.\Would it usually go off at this hour?\I'm sure that bell shouldn't ring after five in the evening.\Aren't you mad?\But, that clock has never broke before.\I'll be late!\You weren't able to sleep well since then, huh?\Time to finish response:	my long journey.
context: Would it usually go off at this hour?\I'm sure that bell shouldn't ring after five in the evening.\Aren't you mad?\But, that clock has never broke before.\I'll be late!\You weren't able to sleep well since then, huh?\Time to finish\my long journey. response:	I'm going.
context: I'm sure that bell shouldn't ring after five in the evening.\Aren't you mad?\But, that clock has never broke before.\I'll be late!\You weren't able to sleep well since then, huh?\Time to finish\my long journey.\I'm going. response:	Be sure to study well. Well then.
context: Aren't you mad?\But, that clock has never broke before.\I'll be late!\You weren't able to sleep well since then, huh?\Time to finish\my long journey.\I'm going.\Be sure to study well. Well then. response:	The data is gone!
context: But, that clock has never broke before.\I'll be late!\You weren't able to sleep well since then, huh?\Time to finish\my long journey.\I'm going.\Be sure to study well. Well then.\The data is gone! response:	How do you think you will do?
context: I'll be late!\You weren't able to sleep well since then, huh?\Time to finish\my long journey.\I'm going.\Be sure to study well. Well then.\The data is gone!\How do you think you will do? response:	It's hard to do this high pitched part.
context: You weren't able to sleep well since then, huh?\Time to finish\my long journey.\I'm going.\Be sure to study well. Well then.\The data is gone!\How do you think you will do?\It's hard to do this high pitched part. response:	I'm sure you'll do fine.
context: Time to finish\my long journey.\I'm going.\Be sure to study well. Well then.\The data is gone!\How do you think you will do?\It's hard to do this high pitched part.\I'm sure you'll do fine. response:	I wonder.
context: my long journey.\I'm going.\Be sure to study well. Well then.\The data is gone!\How do you think you will do?\It's hard to do this high pitched part.\I'm sure you'll do fine.\I wonder. response:	Of course.
context: I'm going.\Be sure to study well. Well then.\The data is gone!\How do you think you will do?\It's hard to do this high pitched part.\I'm sure you'll do fine.\I wonder.\Of course. response:	I haven't practiced enough.
context: Be sure to study well. Well then.\The data is gone!\How do you think you will do?\It's hard to do this high pitched part.\I'm sure you'll do fine.\I wonder.\Of course.\I haven't practiced enough. response:	Relax.
context: The data is gone!\How do you think you will do?\It's hard to do this high pitched part.\I'm sure you'll do fine.\I wonder.\Of course.\I haven't practiced enough.\Relax. response:	Yeah.
context: How do you think you will do?\It's hard to do this high pitched part.\I'm sure you'll do fine.\I wonder.\Of course.\I haven't practiced enough.\Relax.\Yeah. response:	Let's see' Next is Kinomoto-san.
context: It's hard to do this high pitched part.\I'm sure you'll do fine.\I wonder.\Of course.\I haven't practiced enough.\Relax.\Yeah.\Let's see' Next is Kinomoto-san. response:	Yes!
context: I'm sure you'll do fine.\I wonder.\Of course.\I haven't practiced enough.\Relax.\Yeah.\Let's see' Next is Kinomoto-san.\Yes! response:	Sakura-chan.
context: I wonder.\Of course.\I haven't practiced enough.\Relax.\Yeah.\Let's see' Next is Kinomoto-san.\Yes!\Sakura-chan. response:	It's the next phrase.
context: Of course.\I haven't practiced enough.\Relax.\Yeah.\Let's see' Next is Kinomoto-san.\Yes!\Sakura-chan.\It's the next phrase. response:	Over here!
context: I haven't practiced enough.\Relax.\Yeah.\Let's see' Next is Kinomoto-san.\Yes!\Sakura-chan.\It's the next phrase.\Over here! response:	I made a weird sound.
context: Relax.\Yeah.\Let's see' Next is Kinomoto-san.\Yes!\Sakura-chan.\It's the next phrase.\Over here!\I made a weird sound. response:	The rest was very well done.
context: Yeah.\Let's see' Next is Kinomoto-san.\Yes!\Sakura-chan.\It's the next phrase.\Over here!\I made a weird sound.\The rest was very well done. response:	It's because you told me to relax.
context: Let's see' Next is Kinomoto-san.\Yes!\Sakura-chan.\It's the next phrase.\Over here!\I made a weird sound.\The rest was very well done.\It's because you told me to relax. response:	But your performance was wonderful.
context: Yes!\Sakura-chan.\It's the next phrase.\Over here!\I made a weird sound.\The rest was very well done.\It's because you told me to relax.\But your performance was wonderful. response:	I didn't think it was the same song.
context: Sakura-chan.\It's the next phrase.\Over here!\I made a weird sound.\The rest was very well done.\It's because you told me to relax.\But your performance was wonderful.\I didn't think it was the same song. response:	I should have practiced more.
context: It's the next phrase.\Over here!\I made a weird sound.\The rest was very well done.\It's because you told me to relax.\But your performance was wonderful.\I didn't think it was the same song.\I should have practiced more. response:	Huh?
context: Over here!\I made a weird sound.\The rest was very well done.\It's because you told me to relax.\But your performance was wonderful.\I didn't think it was the same song.\I should have practiced more.\Huh? response:	Li-kun is practicing even though the test is over.
context: I made a weird sound.\The rest was very well done.\It's because you told me to relax.\But your performance was wonderful.\I didn't think it was the same song.\I should have practiced more.\Huh?\Li-kun is practicing even though the test is over. response:	Perhaps it's because he didn't do well on today's test?
context: The rest was very well done.\It's because you told me to relax.\But your performance was wonderful.\I didn't think it was the same song.\I should have practiced more.\Huh?\Li-kun is practicing even though the test is over.\Perhaps it's because he didn't do well on today's test? response:	But, it's dangerous to do that while walking.
context: It's because you told me to relax.\But your performance was wonderful.\I didn't think it was the same song.\I should have practiced more.\Huh?\Li-kun is practicing even though the test is over.\Perhaps it's because he didn't do well on today's test?\But, it's dangerous to do that while walking. response:	I wonder if Li-kun moved from Hong Kong on his own.
context: But your performance was wonderful.\I didn't think it was the same song.\I should have practiced more.\Huh?\Li-kun is practicing even though the test is over.\Perhaps it's because he didn't do well on today's test?\But, it's dangerous to do that while walking.\I wonder if Li-kun moved from Hong Kong on his own. response:	Now that you mention it, I have never heard him talk of his family.
context: I didn't think it was the same song.\I should have practiced more.\Huh?\Li-kun is practicing even though the test is over.\Perhaps it's because he didn't do well on today's test?\But, it's dangerous to do that while walking.\I wonder if Li-kun moved from Hong Kong on his own.\Now that you mention it, I have never heard him talk of his family. response:	Look out!
context: I should have practiced more.\Huh?\Li-kun is practicing even though the test is over.\Perhaps it's because he didn't do well on today's test?\But, it's dangerous to do that while walking.\I wonder if Li-kun moved from Hong Kong on his own.\Now that you mention it, I have never heard him talk of his family.\Look out! response:	Splendid!
context: Huh?\Li-kun is practicing even though the test is over.\Perhaps it's because he didn't do well on today's test?\But, it's dangerous to do that while walking.\I wonder if Li-kun moved from Hong Kong on his own.\Now that you mention it, I have never heard him talk of his family.\Look out!\Splendid! response:	Amazing!
context: Li-kun is practicing even though the test is over.\Perhaps it's because he didn't do well on today's test?\But, it's dangerous to do that while walking.\I wonder if Li-kun moved from Hong Kong on his own.\Now that you mention it, I have never heard him talk of his family.\Look out!\Splendid!\Amazing! response:	Li-kun, that was an amazing shot.
context: Perhaps it's because he didn't do well on today's test?\But, it's dangerous to do that while walking.\I wonder if Li-kun moved from Hong Kong on his own.\Now that you mention it, I have never heard him talk of his family.\Look out!\Splendid!\Amazing!\Li-kun, that was an amazing shot. response:	Cheers to both your tests being over.
context: But, it's dangerous to do that while walking.\I wonder if Li-kun moved from Hong Kong on his own.\Now that you mention it, I have never heard him talk of his family.\Look out!\Splendid!\Amazing!\Li-kun, that was an amazing shot.\Cheers to both your tests being over. response:	Cheers!
context: I wonder if Li-kun moved from Hong Kong on his own.\Now that you mention it, I have never heard him talk of his family.\Look out!\Splendid!\Amazing!\Li-kun, that was an amazing shot.\Cheers to both your tests being over.\Cheers! response:	Delicious!
context: Now that you mention it, I have never heard him talk of his family.\Look out!\Splendid!\Amazing!\Li-kun, that was an amazing shot.\Cheers to both your tests being over.\Cheers!\Delicious! response:	It's because you tried hard.
context: Look out!\Splendid!\Amazing!\Li-kun, that was an amazing shot.\Cheers to both your tests being over.\Cheers!\Delicious!\It's because you tried hard. response:	Hey, did your test go well?
context: Splendid!\Amazing!\Li-kun, that was an amazing shot.\Cheers to both your tests being over.\Cheers!\Delicious!\It's because you tried hard.\Hey, did your test go well? response:	So-so.
context: Amazing!\Li-kun, that was an amazing shot.\Cheers to both your tests being over.\Cheers!\Delicious!\It's because you tried hard.\Hey, did your test go well?\So-so. response:	I can't stand it. I messed up one note.
context: Li-kun, that was an amazing shot.\Cheers to both your tests being over.\Cheers!\Delicious!\It's because you tried hard.\Hey, did your test go well?\So-so.\I can't stand it. I messed up one note. response:	Are you sure it wasn't just one note, right?
context: Cheers to both your tests being over.\Cheers!\Delicious!\It's because you tried hard.\Hey, did your test go well?\So-so.\I can't stand it. I messed up one note.\Are you sure it wasn't just one note, right? response:	No!
