context: A Nightmare Super-Transformation!! Freeza's Battle Power of One Million response:	What kind of transformation is this? You're making us laugh!
context: If only you had peaceably submitted to me, you would not have to experience this horror now.\What are you babbling about? I never submitted myself to you!\I was just pretending to submit, all the while waiting for the right moment to come along, so I could defeat you!\Yes, that is one of the poor habits you Saiyajins had.\Take your own father,\the king of Planet Vegeta, who was the same way.\What's this? You say the occupation of Planet Tapp is still not complete?\Y- Yes, sir. The Tappans' resistance is proving tougher than we anticipated. response:	They say it will take another three days to complete the occupation.
context: What are you babbling about? I never submitted myself to you!\I was just pretending to submit, all the while waiting for the right moment to come along, so I could defeat you!\Yes, that is one of the poor habits you Saiyajins had.\Take your own father,\the king of Planet Vegeta, who was the same way.\What's this? You say the occupation of Planet Tapp is still not complete?\Y- Yes, sir. The Tappans' resistance is proving tougher than we anticipated.\They say it will take another three days to complete the occupation. response:	Three more days!?
context: I was just pretending to submit, all the while waiting for the right moment to come along, so I could defeat you!\Yes, that is one of the poor habits you Saiyajins had.\Take your own father,\the king of Planet Vegeta, who was the same way.\What's this? You say the occupation of Planet Tapp is still not complete?\Y- Yes, sir. The Tappans' resistance is proving tougher than we anticipated.\They say it will take another three days to complete the occupation.\Three more days!? response:	Yes, sir. My humblest apologies.
context: Yes, that is one of the poor habits you Saiyajins had.\Take your own father,\the king of Planet Vegeta, who was the same way.\What's this? You say the occupation of Planet Tapp is still not complete?\Y- Yes, sir. The Tappans' resistance is proving tougher than we anticipated.\They say it will take another three days to complete the occupation.\Three more days!?\Yes, sir. My humblest apologies. response:	Why, you! Have you forgotten that we promised Freeza-sama the planet by tomorrow!?
context: Take your own father,\the king of Planet Vegeta, who was the same way.\What's this? You say the occupation of Planet Tapp is still not complete?\Y- Yes, sir. The Tappans' resistance is proving tougher than we anticipated.\They say it will take another three days to complete the occupation.\Three more days!?\Yes, sir. My humblest apologies.\Why, you! Have you forgotten that we promised Freeza-sama the planet by tomorrow!? response:	No, I would never do such a thing! However, the full moon on Tapp will not appear for three more days.
context: the king of Planet Vegeta, who was the same way.\What's this? You say the occupation of Planet Tapp is still not complete?\Y- Yes, sir. The Tappans' resistance is proving tougher than we anticipated.\They say it will take another three days to complete the occupation.\Three more days!?\Yes, sir. My humblest apologies.\Why, you! Have you forgotten that we promised Freeza-sama the planet by tomorrow!?\No, I would never do such a thing! However, the full moon on Tapp will not appear for three more days. response:	Be gone.
context: What's this? You say the occupation of Planet Tapp is still not complete?\Y- Yes, sir. The Tappans' resistance is proving tougher than we anticipated.\They say it will take another three days to complete the occupation.\Three more days!?\Yes, sir. My humblest apologies.\Why, you! Have you forgotten that we promised Freeza-sama the planet by tomorrow!?\No, I would never do such a thing! However, the full moon on Tapp will not appear for three more days.\Be gone. response:	Be gone! And let nothing remain!
context: Y- Yes, sir. The Tappans' resistance is proving tougher than we anticipated.\They say it will take another three days to complete the occupation.\Three more days!?\Yes, sir. My humblest apologies.\Why, you! Have you forgotten that we promised Freeza-sama the planet by tomorrow!?\No, I would never do such a thing! However, the full moon on Tapp will not appear for three more days.\Be gone.\Be gone! And let nothing remain! response:	As barbaric as always, I see.
context: They say it will take another three days to complete the occupation.\Three more days!?\Yes, sir. My humblest apologies.\Why, you! Have you forgotten that we promised Freeza-sama the planet by tomorrow!?\No, I would never do such a thing! However, the full moon on Tapp will not appear for three more days.\Be gone.\Be gone! And let nothing remain!\As barbaric as always, I see. response:	I did not mind if it took another three days.
context: Three more days!?\Yes, sir. My humblest apologies.\Why, you! Have you forgotten that we promised Freeza-sama the planet by tomorrow!?\No, I would never do such a thing! However, the full moon on Tapp will not appear for three more days.\Be gone.\Be gone! And let nothing remain!\As barbaric as always, I see.\I did not mind if it took another three days. response:	You've done something unfortunate here.
context: Yes, sir. My humblest apologies.\Why, you! Have you forgotten that we promised Freeza-sama the planet by tomorrow!?\No, I would never do such a thing! However, the full moon on Tapp will not appear for three more days.\Be gone.\Be gone! And let nothing remain!\As barbaric as always, I see.\I did not mind if it took another three days.\You've done something unfortunate here. response:	Nonetheless, I came to speak about your son.
context: Why, you! Have you forgotten that we promised Freeza-sama the planet by tomorrow!?\No, I would never do such a thing! However, the full moon on Tapp will not appear for three more days.\Be gone.\Be gone! And let nothing remain!\As barbaric as always, I see.\I did not mind if it took another three days.\You've done something unfortunate here.\Nonetheless, I came to speak about your son. response:	When do you intend to bring him to me?
context: No, I would never do such a thing! However, the full moon on Tapp will not appear for three more days.\Be gone.\Be gone! And let nothing remain!\As barbaric as always, I see.\I did not mind if it took another three days.\You've done something unfortunate here.\Nonetheless, I came to speak about your son.\When do you intend to bring him to me? response:	Well, that is...
context: Be gone.\Be gone! And let nothing remain!\As barbaric as always, I see.\I did not mind if it took another three days.\You've done something unfortunate here.\Nonetheless, I came to speak about your son.\When do you intend to bring him to me?\Well, that is... response:	I know! You will please bring him in three days' time,
context: Be gone! And let nothing remain!\As barbaric as always, I see.\I did not mind if it took another three days.\You've done something unfortunate here.\Nonetheless, I came to speak about your son.\When do you intend to bring him to me?\Well, that is...\I know! You will please bring him in three days' time, response:	along with your announcement of the successful occupation of Planet Tapp.
context: As barbaric as always, I see.\I did not mind if it took another three days.\You've done something unfortunate here.\Nonetheless, I came to speak about your son.\When do you intend to bring him to me?\Well, that is...\I know! You will please bring him in three days' time,\along with your announcement of the successful occupation of Planet Tapp. response:	You need not worry that I will not pamper him.
context: I did not mind if it took another three days.\You've done something unfortunate here.\Nonetheless, I came to speak about your son.\When do you intend to bring him to me?\Well, that is...\I know! You will please bring him in three days' time,\along with your announcement of the successful occupation of Planet Tapp.\You need not worry that I will not pamper him. response:	King Vegeta, are you really going to deliver the prince to Freeza-sama?
context: You've done something unfortunate here.\Nonetheless, I came to speak about your son.\When do you intend to bring him to me?\Well, that is...\I know! You will please bring him in three days' time,\along with your announcement of the successful occupation of Planet Tapp.\You need not worry that I will not pamper him.\King Vegeta, are you really going to deliver the prince to Freeza-sama? response:	Yeah.
context: Nonetheless, I came to speak about your son.\When do you intend to bring him to me?\Well, that is...\I know! You will please bring him in three days' time,\along with your announcement of the successful occupation of Planet Tapp.\You need not worry that I will not pamper him.\King Vegeta, are you really going to deliver the prince to Freeza-sama?\Yeah. response:	But won't you be risking the prince's life?
context: When do you intend to bring him to me?\Well, that is...\I know! You will please bring him in three days' time,\along with your announcement of the successful occupation of Planet Tapp.\You need not worry that I will not pamper him.\King Vegeta, are you really going to deliver the prince to Freeza-sama?\Yeah.\But won't you be risking the prince's life? response:	I'm not concerned about things such as my son's life!
context: Well, that is...\I know! You will please bring him in three days' time,\along with your announcement of the successful occupation of Planet Tapp.\You need not worry that I will not pamper him.\King Vegeta, are you really going to deliver the prince to Freeza-sama?\Yeah.\But won't you be risking the prince's life?\I'm not concerned about things such as my son's life! response:	What I find unbearable is his attitude!
context: I know! You will please bring him in three days' time,\along with your announcement of the successful occupation of Planet Tapp.\You need not worry that I will not pamper him.\King Vegeta, are you really going to deliver the prince to Freeza-sama?\Yeah.\But won't you be risking the prince's life?\I'm not concerned about things such as my son's life!\What I find unbearable is his attitude! response:	He has the mistaken idea that we Saiyajins are his slaves or something!
context: along with your announcement of the successful occupation of Planet Tapp.\You need not worry that I will not pamper him.\King Vegeta, are you really going to deliver the prince to Freeza-sama?\Yeah.\But won't you be risking the prince's life?\I'm not concerned about things such as my son's life!\What I find unbearable is his attitude!\He has the mistaken idea that we Saiyajins are his slaves or something! response:	King Vegeta!
context: You need not worry that I will not pamper him.\King Vegeta, are you really going to deliver the prince to Freeza-sama?\Yeah.\But won't you be risking the prince's life?\I'm not concerned about things such as my son's life!\What I find unbearable is his attitude!\He has the mistaken idea that we Saiyajins are his slaves or something!\King Vegeta! response:	Curse you, Freeza!
context: King Vegeta, are you really going to deliver the prince to Freeza-sama?\Yeah.\But won't you be risking the prince's life?\I'm not concerned about things such as my son's life!\What I find unbearable is his attitude!\He has the mistaken idea that we Saiyajins are his slaves or something!\King Vegeta!\Curse you, Freeza! response:	Someday, we'll teach you a lesson!
context: Yeah.\But won't you be risking the prince's life?\I'm not concerned about things such as my son's life!\What I find unbearable is his attitude!\He has the mistaken idea that we Saiyajins are his slaves or something!\King Vegeta!\Curse you, Freeza!\Someday, we'll teach you a lesson! response:	You really do resemble your dearly departed father, both in your appearance and in your foolishness.
context: But won't you be risking the prince's life?\I'm not concerned about things such as my son's life!\What I find unbearable is his attitude!\He has the mistaken idea that we Saiyajins are his slaves or something!\King Vegeta!\Curse you, Freeza!\Someday, we'll teach you a lesson!\You really do resemble your dearly departed father, both in your appearance and in your foolishness. response:	Foolish, you say?
context: I'm not concerned about things such as my son's life!\What I find unbearable is his attitude!\He has the mistaken idea that we Saiyajins are his slaves or something!\King Vegeta!\Curse you, Freeza!\Someday, we'll teach you a lesson!\You really do resemble your dearly departed father, both in your appearance and in your foolishness.\Foolish, you say? response:	That is right. If your father had not tried such a foolish stunt,
context: What I find unbearable is his attitude!\He has the mistaken idea that we Saiyajins are his slaves or something!\King Vegeta!\Curse you, Freeza!\Someday, we'll teach you a lesson!\You really do resemble your dearly departed father, both in your appearance and in your foolishness.\Foolish, you say?\That is right. If your father had not tried such a foolish stunt, response:	the Saiyajins would have gotten off without being exterminated.
context: He has the mistaken idea that we Saiyajins are his slaves or something!\King Vegeta!\Curse you, Freeza!\Someday, we'll teach you a lesson!\You really do resemble your dearly departed father, both in your appearance and in your foolishness.\Foolish, you say?\That is right. If your father had not tried such a foolish stunt,\the Saiyajins would have gotten off without being exterminated. response:	Listen up, you guys.
context: King Vegeta!\Curse you, Freeza!\Someday, we'll teach you a lesson!\You really do resemble your dearly departed father, both in your appearance and in your foolishness.\Foolish, you say?\That is right. If your father had not tried such a foolish stunt,\the Saiyajins would have gotten off without being exterminated.\Listen up, you guys. response:	Freeza is afraid of us Saiyajins ganging up in large groups.
context: Curse you, Freeza!\Someday, we'll teach you a lesson!\You really do resemble your dearly departed father, both in your appearance and in your foolishness.\Foolish, you say?\That is right. If your father had not tried such a foolish stunt,\the Saiyajins would have gotten off without being exterminated.\Listen up, you guys.\Freeza is afraid of us Saiyajins ganging up in large groups. response:	If you elite warriors combine your powers as one, we are certain to defeat him!
context: Someday, we'll teach you a lesson!\You really do resemble your dearly departed father, both in your appearance and in your foolishness.\Foolish, you say?\That is right. If your father had not tried such a foolish stunt,\the Saiyajins would have gotten off without being exterminated.\Listen up, you guys.\Freeza is afraid of us Saiyajins ganging up in large groups.\If you elite warriors combine your powers as one, we are certain to defeat him! response:	Let's show him just how strong we Saiyajins are!
context: You really do resemble your dearly departed father, both in your appearance and in your foolishness.\Foolish, you say?\That is right. If your father had not tried such a foolish stunt,\the Saiyajins would have gotten off without being exterminated.\Listen up, you guys.\Freeza is afraid of us Saiyajins ganging up in large groups.\If you elite warriors combine your powers as one, we are certain to defeat him!\Let's show him just how strong we Saiyajins are! response:	Freeza-sama,
context: Foolish, you say?\That is right. If your father had not tried such a foolish stunt,\the Saiyajins would have gotten off without being exterminated.\Listen up, you guys.\Freeza is afraid of us Saiyajins ganging up in large groups.\If you elite warriors combine your powers as one, we are certain to defeat him!\Let's show him just how strong we Saiyajins are!\Freeza-sama, response:	some Saiyajins, including the Royal family, have just arrived and are requesting an audience with you.
context: That is right. If your father had not tried such a foolish stunt,\the Saiyajins would have gotten off without being exterminated.\Listen up, you guys.\Freeza is afraid of us Saiyajins ganging up in large groups.\If you elite warriors combine your powers as one, we are certain to defeat him!\Let's show him just how strong we Saiyajins are!\Freeza-sama,\some Saiyajins, including the Royal family, have just arrived and are requesting an audience with you. response:	Freeza-sama?
context: the Saiyajins would have gotten off without being exterminated.\Listen up, you guys.\Freeza is afraid of us Saiyajins ganging up in large groups.\If you elite warriors combine your powers as one, we are certain to defeat him!\Let's show him just how strong we Saiyajins are!\Freeza-sama,\some Saiyajins, including the Royal family, have just arrived and are requesting an audience with you.\Freeza-sama? response:	Lately, there have been some disquieting tendencies among the Saiyajins, yes?
context: Listen up, you guys.\Freeza is afraid of us Saiyajins ganging up in large groups.\If you elite warriors combine your powers as one, we are certain to defeat him!\Let's show him just how strong we Saiyajins are!\Freeza-sama,\some Saiyajins, including the Royal family, have just arrived and are requesting an audience with you.\Freeza-sama?\Lately, there have been some disquieting tendencies among the Saiyajins, yes? response:	Yes, sir.
context: Freeza is afraid of us Saiyajins ganging up in large groups.\If you elite warriors combine your powers as one, we are certain to defeat him!\Let's show him just how strong we Saiyajins are!\Freeza-sama,\some Saiyajins, including the Royal family, have just arrived and are requesting an audience with you.\Freeza-sama?\Lately, there have been some disquieting tendencies among the Saiyajins, yes?\Yes, sir. response:	They are indeed becoming quite an eyesore.
context: If you elite warriors combine your powers as one, we are certain to defeat him!\Let's show him just how strong we Saiyajins are!\Freeza-sama,\some Saiyajins, including the Royal family, have just arrived and are requesting an audience with you.\Freeza-sama?\Lately, there have been some disquieting tendencies among the Saiyajins, yes?\Yes, sir.\They are indeed becoming quite an eyesore. response:	They are fools.
context: Let's show him just how strong we Saiyajins are!\Freeza-sama,\some Saiyajins, including the Royal family, have just arrived and are requesting an audience with you.\Freeza-sama?\Lately, there have been some disquieting tendencies among the Saiyajins, yes?\Yes, sir.\They are indeed becoming quite an eyesore.\They are fools. response:	Quickly, men! Freeza is in here!
context: Freeza-sama,\some Saiyajins, including the Royal family, have just arrived and are requesting an audience with you.\Freeza-sama?\Lately, there have been some disquieting tendencies among the Saiyajins, yes?\Yes, sir.\They are indeed becoming quite an eyesore.\They are fools.\Quickly, men! Freeza is in here! response:	Take this!
context: some Saiyajins, including the Royal family, have just arrived and are requesting an audience with you.\Freeza-sama?\Lately, there have been some disquieting tendencies among the Saiyajins, yes?\Yes, sir.\They are indeed becoming quite an eyesore.\They are fools.\Quickly, men! Freeza is in here!\Take this! response:	Zarbon-san, open the door.
context: Freeza-sama?\Lately, there have been some disquieting tendencies among the Saiyajins, yes?\Yes, sir.\They are indeed becoming quite an eyesore.\They are fools.\Quickly, men! Freeza is in here!\Take this!\Zarbon-san, open the door. response:	You will show the Saiyajins in.
context: Lately, there have been some disquieting tendencies among the Saiyajins, yes?\Yes, sir.\They are indeed becoming quite an eyesore.\They are fools.\Quickly, men! Freeza is in here!\Take this!\Zarbon-san, open the door.\You will show the Saiyajins in. response:	Yes, sir.
context: Yes, sir.\They are indeed becoming quite an eyesore.\They are fools.\Quickly, men! Freeza is in here!\Take this!\Zarbon-san, open the door.\You will show the Saiyajins in.\Yes, sir. response:	A little exercise may be good for me.
context: They are indeed becoming quite an eyesore.\They are fools.\Quickly, men! Freeza is in here!\Take this!\Zarbon-san, open the door.\You will show the Saiyajins in.\Yes, sir.\A little exercise may be good for me. response:	Where is Freeza!?
context: They are fools.\Quickly, men! Freeza is in here!\Take this!\Zarbon-san, open the door.\You will show the Saiyajins in.\Yes, sir.\A little exercise may be good for me.\Where is Freeza!? response:	I'll kill you, and rule the universe myself!
context: Quickly, men! Freeza is in here!\Take this!\Zarbon-san, open the door.\You will show the Saiyajins in.\Yes, sir.\A little exercise may be good for me.\Where is Freeza!?\I'll kill you, and rule the universe myself! response:	Are you sure it will be as simple as that?
context: Take this!\Zarbon-san, open the door.\You will show the Saiyajins in.\Yes, sir.\A little exercise may be good for me.\Where is Freeza!?\I'll kill you, and rule the universe myself!\Are you sure it will be as simple as that? response:	Are your men not trembling with fear even now?
context: Zarbon-san, open the door.\You will show the Saiyajins in.\Yes, sir.\A little exercise may be good for me.\Where is Freeza!?\I'll kill you, and rule the universe myself!\Are you sure it will be as simple as that?\Are your men not trembling with fear even now? response:	Aw, crap.
context: You will show the Saiyajins in.\Yes, sir.\A little exercise may be good for me.\Where is Freeza!?\I'll kill you, and rule the universe myself!\Are you sure it will be as simple as that?\Are your men not trembling with fear even now?\Aw, crap. response:	King Vegeta!
context: Yes, sir.\A little exercise may be good for me.\Where is Freeza!?\I'll kill you, and rule the universe myself!\Are you sure it will be as simple as that?\Are your men not trembling with fear even now?\Aw, crap.\King Vegeta! response:	Your king has just been defeated, do you sirs not wish to avenge him?
context: A little exercise may be good for me.\Where is Freeza!?\I'll kill you, and rule the universe myself!\Are you sure it will be as simple as that?\Are your men not trembling with fear even now?\Aw, crap.\King Vegeta!\Your king has just been defeated, do you sirs not wish to avenge him? response:	Was that the best that even Saiyajins could do?
context: Where is Freeza!?\I'll kill you, and rule the universe myself!\Are you sure it will be as simple as that?\Are your men not trembling with fear even now?\Aw, crap.\King Vegeta!\Your king has just been defeated, do you sirs not wish to avenge him?\Was that the best that even Saiyajins could do? response:	Freeza-sama, are you uninjured?
context: I'll kill you, and rule the universe myself!\Are you sure it will be as simple as that?\Are your men not trembling with fear even now?\Aw, crap.\King Vegeta!\Your king has just been defeated, do you sirs not wish to avenge him?\Was that the best that even Saiyajins could do?\Freeza-sama, are you uninjured? response:	I did not even need to transform myself.
context: Are you sure it will be as simple as that?\Are your men not trembling with fear even now?\Aw, crap.\King Vegeta!\Your king has just been defeated, do you sirs not wish to avenge him?\Was that the best that even Saiyajins could do?\Freeza-sama, are you uninjured?\I did not even need to transform myself. response:	Now then, shall we be off?
context: Are your men not trembling with fear even now?\Aw, crap.\King Vegeta!\Your king has just been defeated, do you sirs not wish to avenge him?\Was that the best that even Saiyajins could do?\Freeza-sama, are you uninjured?\I did not even need to transform myself.\Now then, shall we be off? response:	We are going to go watch the fireworks of Planet Vegeta.
context: Aw, crap.\King Vegeta!\Your king has just been defeated, do you sirs not wish to avenge him?\Was that the best that even Saiyajins could do?\Freeza-sama, are you uninjured?\I did not even need to transform myself.\Now then, shall we be off?\We are going to go watch the fireworks of Planet Vegeta. response:	How wonderful!
context: King Vegeta!\Your king has just been defeated, do you sirs not wish to avenge him?\Was that the best that even Saiyajins could do?\Freeza-sama, are you uninjured?\I did not even need to transform myself.\Now then, shall we be off?\We are going to go watch the fireworks of Planet Vegeta.\How wonderful! response:	Watch this, Zarbon-san, Dodoria-san!
context: Your king has just been defeated, do you sirs not wish to avenge him?\Was that the best that even Saiyajins could do?\Freeza-sama, are you uninjured?\I did not even need to transform myself.\Now then, shall we be off?\We are going to go watch the fireworks of Planet Vegeta.\How wonderful!\Watch this, Zarbon-san, Dodoria-san! response:	Watch these beautiful fireworks!
context: Was that the best that even Saiyajins could do?\Freeza-sama, are you uninjured?\I did not even need to transform myself.\Now then, shall we be off?\We are going to go watch the fireworks of Planet Vegeta.\How wonderful!\Watch this, Zarbon-san, Dodoria-san!\Watch these beautiful fireworks! response:	I wanted to show it to you, too.
context: Freeza-sama, are you uninjured?\I did not even need to transform myself.\Now then, shall we be off?\We are going to go watch the fireworks of Planet Vegeta.\How wonderful!\Watch this, Zarbon-san, Dodoria-san!\Watch these beautiful fireworks!\I wanted to show it to you, too. response:	The fireworks of Planet Vegeta.
context: I did not even need to transform myself.\Now then, shall we be off?\We are going to go watch the fireworks of Planet Vegeta.\How wonderful!\Watch this, Zarbon-san, Dodoria-san!\Watch these beautiful fireworks!\I wanted to show it to you, too.\The fireworks of Planet Vegeta. response:	What a load of bull! If you were really afraid of us Saiyajins,
context: Now then, shall we be off?\We are going to go watch the fireworks of Planet Vegeta.\How wonderful!\Watch this, Zarbon-san, Dodoria-san!\Watch these beautiful fireworks!\I wanted to show it to you, too.\The fireworks of Planet Vegeta.\What a load of bull! If you were really afraid of us Saiyajins, response:	simply blowing up Planet Vegeta would be a completely fruitless measure.
context: We are going to go watch the fireworks of Planet Vegeta.\How wonderful!\Watch this, Zarbon-san, Dodoria-san!\Watch these beautiful fireworks!\I wanted to show it to you, too.\The fireworks of Planet Vegeta.\What a load of bull! If you were really afraid of us Saiyajins,\simply blowing up Planet Vegeta would be a completely fruitless measure. response:	I'm right, aren't I? I mean, you let me survive, after all!
context: How wonderful!\Watch this, Zarbon-san, Dodoria-san!\Watch these beautiful fireworks!\I wanted to show it to you, too.\The fireworks of Planet Vegeta.\What a load of bull! If you were really afraid of us Saiyajins,\simply blowing up Planet Vegeta would be a completely fruitless measure.\I'm right, aren't I? I mean, you let me survive, after all! response:	Not to mention Kakarotto...
context: Watch this, Zarbon-san, Dodoria-san!\Watch these beautiful fireworks!\I wanted to show it to you, too.\The fireworks of Planet Vegeta.\What a load of bull! If you were really afraid of us Saiyajins,\simply blowing up Planet Vegeta would be a completely fruitless measure.\I'm right, aren't I? I mean, you let me survive, after all!\Not to mention Kakarotto... response:	That's enough talk out of you.
context: Watch these beautiful fireworks!\I wanted to show it to you, too.\The fireworks of Planet Vegeta.\What a load of bull! If you were really afraid of us Saiyajins,\simply blowing up Planet Vegeta would be a completely fruitless measure.\I'm right, aren't I? I mean, you let me survive, after all!\Not to mention Kakarotto...\That's enough talk out of you. response:	So then, shall I begin the next part?
context: I wanted to show it to you, too.\The fireworks of Planet Vegeta.\What a load of bull! If you were really afraid of us Saiyajins,\simply blowing up Planet Vegeta would be a completely fruitless measure.\I'm right, aren't I? I mean, you let me survive, after all!\Not to mention Kakarotto...\That's enough talk out of you.\So then, shall I begin the next part? response:	Your dearly departed father never saw this form.
context: The fireworks of Planet Vegeta.\What a load of bull! If you were really afraid of us Saiyajins,\simply blowing up Planet Vegeta would be a completely fruitless measure.\I'm right, aren't I? I mean, you let me survive, after all!\Not to mention Kakarotto...\That's enough talk out of you.\So then, shall I begin the next part?\Your dearly departed father never saw this form. response:	What!?
context: What a load of bull! If you were really afraid of us Saiyajins,\simply blowing up Planet Vegeta would be a completely fruitless measure.\I'm right, aren't I? I mean, you let me survive, after all!\Not to mention Kakarotto...\That's enough talk out of you.\So then, shall I begin the next part?\Your dearly departed father never saw this form.\What!? response:	What's this? What does he think he's doing?
context: simply blowing up Planet Vegeta would be a completely fruitless measure.\I'm right, aren't I? I mean, you let me survive, after all!\Not to mention Kakarotto...\That's enough talk out of you.\So then, shall I begin the next part?\Your dearly departed father never saw this form.\What!?\What's this? What does he think he's doing? response:	Why me? Why am I the only one that has to go through this?
context: I'm right, aren't I? I mean, you let me survive, after all!\Not to mention Kakarotto...\That's enough talk out of you.\So then, shall I begin the next part?\Your dearly departed father never saw this form.\What!?\What's this? What does he think he's doing?\Why me? Why am I the only one that has to go through this? response:	This isn't funny, for crying out loud.
context: Not to mention Kakarotto...\That's enough talk out of you.\So then, shall I begin the next part?\Your dearly departed father never saw this form.\What!?\What's this? What does he think he's doing?\Why me? Why am I the only one that has to go through this?\This isn't funny, for crying out loud. response:	W- What's this? What's going on?
context: That's enough talk out of you.\So then, shall I begin the next part?\Your dearly departed father never saw this form.\What!?\What's this? What does he think he's doing?\Why me? Why am I the only one that has to go through this?\This isn't funny, for crying out loud.\W- What's this? What's going on? response:	Help me!
context: So then, shall I begin the next part?\Your dearly departed father never saw this form.\What!?\What's this? What does he think he's doing?\Why me? Why am I the only one that has to go through this?\This isn't funny, for crying out loud.\W- What's this? What's going on?\Help me! response:	What... what's going on here?
context: Your dearly departed father never saw this form.\What!?\What's this? What does he think he's doing?\Why me? Why am I the only one that has to go through this?\This isn't funny, for crying out loud.\W- What's this? What's going on?\Help me!\What... what's going on here? response:	What!?
context: What!?\What's this? What does he think he's doing?\Why me? Why am I the only one that has to go through this?\This isn't funny, for crying out loud.\W- What's this? What's going on?\Help me!\What... what's going on here?\What!? response:	Impossible! This can't be!
context: What's this? What does he think he's doing?\Why me? Why am I the only one that has to go through this?\This isn't funny, for crying out loud.\W- What's this? What's going on?\Help me!\What... what's going on here?\What!?\Impossible! This can't be! response:	We'll be killed!
context: Why me? Why am I the only one that has to go through this?\This isn't funny, for crying out loud.\W- What's this? What's going on?\Help me!\What... what's going on here?\What!?\Impossible! This can't be!\We'll be killed! response:	I- It's a nightmare!
context: This isn't funny, for crying out loud.\W- What's this? What's going on?\Help me!\What... what's going on here?\What!?\Impossible! This can't be!\We'll be killed!\I- It's a nightmare! response:	Watch out, now! In this form, I won't be as gentle as I was before.
context: W- What's this? What's going on?\Help me!\What... what's going on here?\What!?\Impossible! This can't be!\We'll be killed!\I- It's a nightmare!\Watch out, now! In this form, I won't be as gentle as I was before. response:	W- What a Ki!
context: Help me!\What... what's going on here?\What!?\Impossible! This can't be!\We'll be killed!\I- It's a nightmare!\Watch out, now! In this form, I won't be as gentle as I was before.\W- What a Ki! response:	W- What's this? The strength of Freeza's Ki has just increased several times over!
