context: You mean... response:	Don't worry.
context: There's something I need to tell you.\We should go back down the mountain before it gets dark.\That's right.\Let's meet up with the teachers first.\Okay, Nonoka?\Wait!\I'd forgotten.\About the observatory, and about the time we all played together. response:	And that I couldn't say goodbye.
context: We should go back down the mountain before it gets dark.\That's right.\Let's meet up with the teachers first.\Okay, Nonoka?\Wait!\I'd forgotten.\About the observatory, and about the time we all played together.\And that I couldn't say goodbye. response:	And that we called the saucer.
context: That's right.\Let's meet up with the teachers first.\Okay, Nonoka?\Wait!\I'd forgotten.\About the observatory, and about the time we all played together.\And that I couldn't say goodbye.\And that we called the saucer. response:	Yuzuki, wait!
context: Let's meet up with the teachers first.\Okay, Nonoka?\Wait!\I'd forgotten.\About the observatory, and about the time we all played together.\And that I couldn't say goodbye.\And that we called the saucer.\Yuzuki, wait! response:	Hey, Koharu.
context: Okay, Nonoka?\Wait!\I'd forgotten.\About the observatory, and about the time we all played together.\And that I couldn't say goodbye.\And that we called the saucer.\Yuzuki, wait!\Hey, Koharu. response:	Damn it.
context: Wait!\I'd forgotten.\About the observatory, and about the time we all played together.\And that I couldn't say goodbye.\And that we called the saucer.\Yuzuki, wait!\Hey, Koharu.\Damn it. response:	Sorry, I...
context: I'd forgotten.\About the observatory, and about the time we all played together.\And that I couldn't say goodbye.\And that we called the saucer.\Yuzuki, wait!\Hey, Koharu.\Damn it.\Sorry, I... response:	So what if you'd forgotten?
context: About the observatory, and about the time we all played together.\And that I couldn't say goodbye.\And that we called the saucer.\Yuzuki, wait!\Hey, Koharu.\Damn it.\Sorry, I...\So what if you'd forgotten? response:	You thought we'd forgive you because of that?
context: And that I couldn't say goodbye.\And that we called the saucer.\Yuzuki, wait!\Hey, Koharu.\Damn it.\Sorry, I...\So what if you'd forgotten?\You thought we'd forgive you because of that? response:	Huh?
context: And that we called the saucer.\Yuzuki, wait!\Hey, Koharu.\Damn it.\Sorry, I...\So what if you'd forgotten?\You thought we'd forgive you because of that?\Huh? response:	A Fragment of Emotions
context: Yuzuki, wait!\Hey, Koharu.\Damn it.\Sorry, I...\So what if you'd forgotten?\You thought we'd forgive you because of that?\Huh?\A Fragment of Emotions response:	Sparkle!
context: Hey, Koharu.\Damn it.\Sorry, I...\So what if you'd forgotten?\You thought we'd forgive you because of that?\Huh?\A Fragment of Emotions\Sparkle! response:	All right!
context: Damn it.\Sorry, I...\So what if you'd forgotten?\You thought we'd forgive you because of that?\Huh?\A Fragment of Emotions\Sparkle!\All right! response:	Noel.
context: Sorry, I...\So what if you'd forgotten?\You thought we'd forgive you because of that?\Huh?\A Fragment of Emotions\Sparkle!\All right!\Noel. response:	Noel.
context: So what if you'd forgotten?\You thought we'd forgive you because of that?\Huh?\A Fragment of Emotions\Sparkle!\All right!\Noel.\Noel. response:	Nonoka.
context: You thought we'd forgive you because of that?\Huh?\A Fragment of Emotions\Sparkle!\All right!\Noel.\Noel.\Nonoka. response:	I'm sorry.
context: Huh?\A Fragment of Emotions\Sparkle!\All right!\Noel.\Noel.\Nonoka.\I'm sorry. response:	What's wrong?
context: A Fragment of Emotions\Sparkle!\All right!\Noel.\Noel.\Nonoka.\I'm sorry.\What's wrong? response:	I thought your wishes would come true if we all came together.
context: Sparkle!\All right!\Noel.\Noel.\Nonoka.\I'm sorry.\What's wrong?\I thought your wishes would come true if we all came together. response:	But it wasn't like that.
context: All right!\Noel.\Noel.\Nonoka.\I'm sorry.\What's wrong?\I thought your wishes would come true if we all came together.\But it wasn't like that. response:	I was wrong.
context: Noel.\Noel.\Nonoka.\I'm sorry.\What's wrong?\I thought your wishes would come true if we all came together.\But it wasn't like that.\I was wrong. response:	So, sorry!
context: Noel.\Nonoka.\I'm sorry.\What's wrong?\I thought your wishes would come true if we all came together.\But it wasn't like that.\I was wrong.\So, sorry! response:	Wait, my wishes?
context: Nonoka.\I'm sorry.\What's wrong?\I thought your wishes would come true if we all came together.\But it wasn't like that.\I was wrong.\So, sorry!\Wait, my wishes? response:	I'll try hard.
context: I'm sorry.\What's wrong?\I thought your wishes would come true if we all came together.\But it wasn't like that.\I was wrong.\So, sorry!\Wait, my wishes?\I'll try hard. response:	Um...
context: What's wrong?\I thought your wishes would come true if we all came together.\But it wasn't like that.\I was wrong.\So, sorry!\Wait, my wishes?\I'll try hard.\Um... response:	So cheer up, Nonoka!
context: I thought your wishes would come true if we all came together.\But it wasn't like that.\I was wrong.\So, sorry!\Wait, my wishes?\I'll try hard.\Um...\So cheer up, Nonoka! response:	Nonoka.
context: But it wasn't like that.\I was wrong.\So, sorry!\Wait, my wishes?\I'll try hard.\Um...\So cheer up, Nonoka!\Nonoka. response:	Do we have a guest?
context: I was wrong.\So, sorry!\Wait, my wishes?\I'll try hard.\Um...\So cheer up, Nonoka!\Nonoka.\Do we have a guest? response:	Dad.
context: So, sorry!\Wait, my wishes?\I'll try hard.\Um...\So cheer up, Nonoka!\Nonoka.\Do we have a guest?\Dad. response:	Don't come out dressed like that.
context: Wait, my wishes?\I'll try hard.\Um...\So cheer up, Nonoka!\Nonoka.\Do we have a guest?\Dad.\Don't come out dressed like that. response:	Huh?
context: I'll try hard.\Um...\So cheer up, Nonoka!\Nonoka.\Do we have a guest?\Dad.\Don't come out dressed like that.\Huh? response:	I did a good job cracking the eggs today.
context: Um...\So cheer up, Nonoka!\Nonoka.\Do we have a guest?\Dad.\Don't come out dressed like that.\Huh?\I did a good job cracking the eggs today. response:	She'll try hard, huh?
context: So cheer up, Nonoka!\Nonoka.\Do we have a guest?\Dad.\Don't come out dressed like that.\Huh?\I did a good job cracking the eggs today.\She'll try hard, huh? response:	It'll be a shame if my cooking gets col
context: Nonoka.\Do we have a guest?\Dad.\Don't come out dressed like that.\Huh?\I did a good job cracking the eggs today.\She'll try hard, huh?\It'll be a shame if my cooking gets col response:	Sorry, I have to go out.
context: Do we have a guest?\Dad.\Don't come out dressed like that.\Huh?\I did a good job cracking the eggs today.\She'll try hard, huh?\It'll be a shame if my cooking gets col\Sorry, I have to go out. response:	Hey!
context: Dad.\Don't come out dressed like that.\Huh?\I did a good job cracking the eggs today.\She'll try hard, huh?\It'll be a shame if my cooking gets col\Sorry, I have to go out.\Hey! response:	Noel, right?
context: Don't come out dressed like that.\Huh?\I did a good job cracking the eggs today.\She'll try hard, huh?\It'll be a shame if my cooking gets col\Sorry, I have to go out.\Hey!\Noel, right? response:	What's wrong?
context: Huh?\I did a good job cracking the eggs today.\She'll try hard, huh?\It'll be a shame if my cooking gets col\Sorry, I have to go out.\Hey!\Noel, right?\What's wrong? response:	It's so early.
context: I did a good job cracking the eggs today.\She'll try hard, huh?\It'll be a shame if my cooking gets col\Sorry, I have to go out.\Hey!\Noel, right?\What's wrong?\It's so early. response:	I want to talk about something.
context: She'll try hard, huh?\It'll be a shame if my cooking gets col\Sorry, I have to go out.\Hey!\Noel, right?\What's wrong?\It's so early.\I want to talk about something. response:	Uh...
context: It'll be a shame if my cooking gets col\Sorry, I have to go out.\Hey!\Noel, right?\What's wrong?\It's so early.\I want to talk about something.\Uh... response:	Oh, is it about Nonoka?
context: Sorry, I have to go out.\Hey!\Noel, right?\What's wrong?\It's so early.\I want to talk about something.\Uh...\Oh, is it about Nonoka? response:	Then I don't intend to forgive her or apologize to her.
context: Hey!\Noel, right?\What's wrong?\It's so early.\I want to talk about something.\Uh...\Oh, is it about Nonoka?\Then I don't intend to forgive her or apologize to her. response:	She deserved it.
context: Noel, right?\What's wrong?\It's so early.\I want to talk about something.\Uh...\Oh, is it about Nonoka?\Then I don't intend to forgive her or apologize to her.\She deserved it. response:	No, I want to talk about Nonoka, too, but...
context: What's wrong?\It's so early.\I want to talk about something.\Uh...\Oh, is it about Nonoka?\Then I don't intend to forgive her or apologize to her.\She deserved it.\No, I want to talk about Nonoka, too, but... response:	Then...
context: It's so early.\I want to talk about something.\Uh...\Oh, is it about Nonoka?\Then I don't intend to forgive her or apologize to her.\She deserved it.\No, I want to talk about Nonoka, too, but...\Then... response:	Did you call her?
context: I want to talk about something.\Uh...\Oh, is it about Nonoka?\Then I don't intend to forgive her or apologize to her.\She deserved it.\No, I want to talk about Nonoka, too, but...\Then...\Did you call her? response:	I'm going home.
context: Uh...\Oh, is it about Nonoka?\Then I don't intend to forgive her or apologize to her.\She deserved it.\No, I want to talk about Nonoka, too, but...\Then...\Did you call her?\I'm going home. response:	Wait!
context: Oh, is it about Nonoka?\Then I don't intend to forgive her or apologize to her.\She deserved it.\No, I want to talk about Nonoka, too, but...\Then...\Did you call her?\I'm going home.\Wait! response:	What do you want now?
context: Then I don't intend to forgive her or apologize to her.\She deserved it.\No, I want to talk about Nonoka, too, but...\Then...\Did you call her?\I'm going home.\Wait!\What do you want now? response:	You tricked us, and then disappeared.
context: She deserved it.\No, I want to talk about Nonoka, too, but...\Then...\Did you call her?\I'm going home.\Wait!\What do you want now?\You tricked us, and then disappeared. response:	Do you even know what happened because of the saucer?
context: No, I want to talk about Nonoka, too, but...\Then...\Did you call her?\I'm going home.\Wait!\What do you want now?\You tricked us, and then disappeared.\Do you even know what happened because of the saucer? response:	I'm sorry.
context: Then...\Did you call her?\I'm going home.\Wait!\What do you want now?\You tricked us, and then disappeared.\Do you even know what happened because of the saucer?\I'm sorry. response:	That's why I want to know.
context: Did you call her?\I'm going home.\Wait!\What do you want now?\You tricked us, and then disappeared.\Do you even know what happened because of the saucer?\I'm sorry.\That's why I want to know. response:	Tell me about this town.
context: I'm going home.\Wait!\What do you want now?\You tricked us, and then disappeared.\Do you even know what happened because of the saucer?\I'm sorry.\That's why I want to know.\Tell me about this town. response:	Please, Yuzuki, tell me.
context: Wait!\What do you want now?\You tricked us, and then disappeared.\Do you even know what happened because of the saucer?\I'm sorry.\That's why I want to know.\Tell me about this town.\Please, Yuzuki, tell me. response:	How could I...
context: What do you want now?\You tricked us, and then disappeared.\Do you even know what happened because of the saucer?\I'm sorry.\That's why I want to know.\Tell me about this town.\Please, Yuzuki, tell me.\How could I... response:	I don't want to tell you anything.
context: You tricked us, and then disappeared.\Do you even know what happened because of the saucer?\I'm sorry.\That's why I want to know.\Tell me about this town.\Please, Yuzuki, tell me.\How could I...\I don't want to tell you anything. response:	I have things I need to be doing.
context: Do you even know what happened because of the saucer?\I'm sorry.\That's why I want to know.\Tell me about this town.\Please, Yuzuki, tell me.\How could I...\I don't want to tell you anything.\I have things I need to be doing. response:	Are you going to keep doing that thing?
context: I'm sorry.\That's why I want to know.\Tell me about this town.\Please, Yuzuki, tell me.\How could I...\I don't want to tell you anything.\I have things I need to be doing.\Are you going to keep doing that thing? response:	Of course.
context: That's why I want to know.\Tell me about this town.\Please, Yuzuki, tell me.\How could I...\I don't want to tell you anything.\I have things I need to be doing.\Are you going to keep doing that thing?\Of course. response:	I'm going to drive the saucer away.
context: Tell me about this town.\Please, Yuzuki, tell me.\How could I...\I don't want to tell you anything.\I have things I need to be doing.\Are you going to keep doing that thing?\Of course.\I'm going to drive the saucer away. response:	Alone!
context: Please, Yuzuki, tell me.\How could I...\I don't want to tell you anything.\I have things I need to be doing.\Are you going to keep doing that thing?\Of course.\I'm going to drive the saucer away.\Alone! response:	Yuzuki, listen.
context: How could I...\I don't want to tell you anything.\I have things I need to be doing.\Are you going to keep doing that thing?\Of course.\I'm going to drive the saucer away.\Alone!\Yuzuki, listen. response:	Just leave me alone!
context: I don't want to tell you anything.\I have things I need to be doing.\Are you going to keep doing that thing?\Of course.\I'm going to drive the saucer away.\Alone!\Yuzuki, listen.\Just leave me alone! response:	The saucer, Nonoka, Koharu, Souta...
context: I have things I need to be doing.\Are you going to keep doing that thing?\Of course.\I'm going to drive the saucer away.\Alone!\Yuzuki, listen.\Just leave me alone!\The saucer, Nonoka, Koharu, Souta... response:	I hate you all!
context: Are you going to keep doing that thing?\Of course.\I'm going to drive the saucer away.\Alone!\Yuzuki, listen.\Just leave me alone!\The saucer, Nonoka, Koharu, Souta...\I hate you all! response:	Yuzuki!
context: Of course.\I'm going to drive the saucer away.\Alone!\Yuzuki, listen.\Just leave me alone!\The saucer, Nonoka, Koharu, Souta...\I hate you all!\Yuzuki! response:	I guess
context: I'm going to drive the saucer away.\Alone!\Yuzuki, listen.\Just leave me alone!\The saucer, Nonoka, Koharu, Souta...\I hate you all!\Yuzuki!\I guess response:	I'm not good enough.
context: Alone!\Yuzuki, listen.\Just leave me alone!\The saucer, Nonoka, Koharu, Souta...\I hate you all!\Yuzuki!\I guess\I'm not good enough. response:	Koharu, what's up?
context: Yuzuki, listen.\Just leave me alone!\The saucer, Nonoka, Koharu, Souta...\I hate you all!\Yuzuki!\I guess\I'm not good enough.\Koharu, what's up? response:	Souta, where are you right now?
context: Just leave me alone!\The saucer, Nonoka, Koharu, Souta...\I hate you all!\Yuzuki!\I guess\I'm not good enough.\Koharu, what's up?\Souta, where are you right now? response:	I'm heading home from school.
context: The saucer, Nonoka, Koharu, Souta...\I hate you all!\Yuzuki!\I guess\I'm not good enough.\Koharu, what's up?\Souta, where are you right now?\I'm heading home from school. response:	Oh.
context: I hate you all!\Yuzuki!\I guess\I'm not good enough.\Koharu, what's up?\Souta, where are you right now?\I'm heading home from school.\Oh. response:	I wanted to talk to you about Yuzuki if you were nearby.
context: Yuzuki!\I guess\I'm not good enough.\Koharu, what's up?\Souta, where are you right now?\I'm heading home from school.\Oh.\I wanted to talk to you about Yuzuki if you were nearby. response:	Did something happen?
context: I guess\I'm not good enough.\Koharu, what's up?\Souta, where are you right now?\I'm heading home from school.\Oh.\I wanted to talk to you about Yuzuki if you were nearby.\Did something happen? response:	No, nothing.
context: I'm not good enough.\Koharu, what's up?\Souta, where are you right now?\I'm heading home from school.\Oh.\I wanted to talk to you about Yuzuki if you were nearby.\Did something happen?\No, nothing. response:	I just couldn't explain properly.
context: Koharu, what's up?\Souta, where are you right now?\I'm heading home from school.\Oh.\I wanted to talk to you about Yuzuki if you were nearby.\Did something happen?\No, nothing.\I just couldn't explain properly. response:	Don't worry too much about Yuzuki.
context: Souta, where are you right now?\I'm heading home from school.\Oh.\I wanted to talk to you about Yuzuki if you were nearby.\Did something happen?\No, nothing.\I just couldn't explain properly.\Don't worry too much about Yuzuki. response:	The bus is here.
context: I'm heading home from school.\Oh.\I wanted to talk to you about Yuzuki if you were nearby.\Did something happen?\No, nothing.\I just couldn't explain properly.\Don't worry too much about Yuzuki.\The bus is here. response:	Later.
context: Oh.\I wanted to talk to you about Yuzuki if you were nearby.\Did something happen?\No, nothing.\I just couldn't explain properly.\Don't worry too much about Yuzuki.\The bus is here.\Later. response:	Hey, wait!
context: I wanted to talk to you about Yuzuki if you were nearby.\Did something happen?\No, nothing.\I just couldn't explain properly.\Don't worry too much about Yuzuki.\The bus is here.\Later.\Hey, wait! response:	Jeez, so rude.
context: Did something happen?\No, nothing.\I just couldn't explain properly.\Don't worry too much about Yuzuki.\The bus is here.\Later.\Hey, wait!\Jeez, so rude. response:	It's the saucer's fault.
context: No, nothing.\I just couldn't explain properly.\Don't worry too much about Yuzuki.\The bus is here.\Later.\Hey, wait!\Jeez, so rude.\It's the saucer's fault. response:	Mizusaka-kun!
context: I just couldn't explain properly.\Don't worry too much about Yuzuki.\The bus is here.\Later.\Hey, wait!\Jeez, so rude.\It's the saucer's fault.\Mizusaka-kun! response:	Please!
context: Don't worry too much about Yuzuki.\The bus is here.\Later.\Hey, wait!\Jeez, so rude.\It's the saucer's fault.\Mizusaka-kun!\Please! response:	Please help!
context: The bus is here.\Later.\Hey, wait!\Jeez, so rude.\It's the saucer's fault.\Mizusaka-kun!\Please!\Please help! response:	No Saucer
context: Later.\Hey, wait!\Jeez, so rude.\It's the saucer's fault.\Mizusaka-kun!\Please!\Please help!\No Saucer response:	Please help us drive the saucer out of town!
context: Hey, wait!\Jeez, so rude.\It's the saucer's fault.\Mizusaka-kun!\Please!\Please help!\No Saucer\Please help us drive the saucer out of town! response:	Please, help us!
context: Jeez, so rude.\It's the saucer's fault.\Mizusaka-kun!\Please!\Please help!\No Saucer\Please help us drive the saucer out of town!\Please, help us! response:	Wait, please.
context: It's the saucer's fault.\Mizusaka-kun!\Please!\Please help!\No Saucer\Please help us drive the saucer out of town!\Please, help us!\Wait, please. response:	At least take this, please.
context: Mizusaka-kun!\Please!\Please help!\No Saucer\Please help us drive the saucer out of town!\Please, help us!\Wait, please.\At least take this, please. response:	Please.
context: Please!\Please help!\No Saucer\Please help us drive the saucer out of town!\Please, help us!\Wait, please.\At least take this, please.\Please. response:	The details are...
context: Please help!\No Saucer\Please help us drive the saucer out of town!\Please, help us!\Wait, please.\At least take this, please.\Please.\The details are... response:	No saucer!
context: No Saucer\Please help us drive the saucer out of town!\Please, help us!\Wait, please.\At least take this, please.\Please.\The details are...\No saucer! response:	Please help!
context: Please help us drive the saucer out of town!\Please, help us!\Wait, please.\At least take this, please.\Please.\The details are...\No saucer!\Please help! response:	Please hear me out, just a little!
context: Please, help us!\Wait, please.\At least take this, please.\Please.\The details are...\No saucer!\Please help!\Please hear me out, just a little! response:	Please!
context: Wait, please.\At least take this, please.\Please.\The details are...\No saucer!\Please help!\Please hear me out, just a little!\Please! response:	Please!
context: At least take this, please.\Please.\The details are...\No saucer!\Please help!\Please hear me out, just a little!\Please!\Please! response:	No saucer!
context: Please.\The details are...\No saucer!\Please help!\Please hear me out, just a little!\Please!\Please!\No saucer! response:	Please help!
context: The details are...\No saucer!\Please help!\Please hear me out, just a little!\Please!\Please!\No saucer!\Please help! response:	Let's drive the saucer out of town!
context: No saucer!\Please help!\Please hear me out, just a little!\Please!\Please!\No saucer!\Please help!\Let's drive the saucer out of town! response:	Let's drive the
context: Please help!\Please hear me out, just a little!\Please!\Please!\No saucer!\Please help!\Let's drive the saucer out of town!\Let's drive the response:	Thank you.
context: Please hear me out, just a little!\Please!\Please!\No saucer!\Please help!\Let's drive the saucer out of town!\Let's drive the\Thank you. response:	Come on.
context: Please!\Please!\No saucer!\Please help!\Let's drive the saucer out of town!\Let's drive the\Thank you.\Come on. response:	Please help!
context: Please!\No saucer!\Please help!\Let's drive the saucer out of town!\Let's drive the\Thank you.\Come on.\Please help! response:	Noel.
context: No saucer!\Please help!\Let's drive the saucer out of town!\Let's drive the\Thank you.\Come on.\Please help!\Noel. response:	We promised.
context: Please help!\Let's drive the saucer out of town!\Let's drive the\Thank you.\Come on.\Please help!\Noel.\We promised. response:	Thanks.
context: Let's drive the saucer out of town!\Let's drive the\Thank you.\Come on.\Please help!\Noel.\We promised.\Thanks. response:	Hip hip hooray!
context: Let's drive the\Thank you.\Come on.\Please help!\Noel.\We promised.\Thanks.\Hip hip hooray! response:	Please!
context: Thank you.\Come on.\Please help!\Noel.\We promised.\Thanks.\Hip hip hooray!\Please! response:	Please help!
context: Come on.\Please help!\Noel.\We promised.\Thanks.\Hip hip hooray!\Please!\Please help! response:	Dew of Kiriyako
context: Please help!\Noel.\We promised.\Thanks.\Hip hip hooray!\Please!\Please help!\Dew of Kiriyako response:	Here.
context: Noel.\We promised.\Thanks.\Hip hip hooray!\Please!\Please help!\Dew of Kiriyako\Here. response:	Really?
context: We promised.\Thanks.\Hip hip hooray!\Please!\Please help!\Dew of Kiriyako\Here.\Really? response:	My sister's causing you trouble.
context: Thanks.\Hip hip hooray!\Please!\Please help!\Dew of Kiriyako\Here.\Really?\My sister's causing you trouble. response:	It's my fault.
context: Hip hip hooray!\Please!\Please help!\Dew of Kiriyako\Here.\Really?\My sister's causing you trouble.\It's my fault. response:	Thanks, Mizusaka-kun.
context: Please!\Please help!\Dew of Kiriyako\Here.\Really?\My sister's causing you trouble.\It's my fault.\Thanks, Mizusaka-kun. response:	Were you at school?
context: Please help!\Dew of Kiriyako\Here.\Really?\My sister's causing you trouble.\It's my fault.\Thanks, Mizusaka-kun.\Were you at school? response:	About my career options.
context: Dew of Kiriyako\Here.\Really?\My sister's causing you trouble.\It's my fault.\Thanks, Mizusaka-kun.\Were you at school?\About my career options. response:	There isn't anyone else going to study abroad.
context: Here.\Really?\My sister's causing you trouble.\It's my fault.\Thanks, Mizusaka-kun.\Were you at school?\About my career options.\There isn't anyone else going to study abroad. response:	I can only talk to the teachers about it.
context: Really?\My sister's causing you trouble.\It's my fault.\Thanks, Mizusaka-kun.\Were you at school?\About my career options.\There isn't anyone else going to study abroad.\I can only talk to the teachers about it. response:	You're studying abroad?
context: My sister's causing you trouble.\It's my fault.\Thanks, Mizusaka-kun.\Were you at school?\About my career options.\There isn't anyone else going to study abroad.\I can only talk to the teachers about it.\You're studying abroad? response:	Just so you know,
context: It's my fault.\Thanks, Mizusaka-kun.\Were you at school?\About my career options.\There isn't anyone else going to study abroad.\I can only talk to the teachers about it.\You're studying abroad?\Just so you know, response:	it has nothing to do with the fact that I don't get along with Yuzuki.
context: Thanks, Mizusaka-kun.\Were you at school?\About my career options.\There isn't anyone else going to study abroad.\I can only talk to the teachers about it.\You're studying abroad?\Just so you know,\it has nothing to do with the fact that I don't get along with Yuzuki. response:	I-I wouldn't have...
context: Were you at school?\About my career options.\There isn't anyone else going to study abroad.\I can only talk to the teachers about it.\You're studying abroad?\Just so you know,\it has nothing to do with the fact that I don't get along with Yuzuki.\I-I wouldn't have... response:	I've always planned to go overseas after middle school.
context: About my career options.\There isn't anyone else going to study abroad.\I can only talk to the teachers about it.\You're studying abroad?\Just so you know,\it has nothing to do with the fact that I don't get along with Yuzuki.\I-I wouldn't have...\I've always planned to go overseas after middle school. response:	What?
context: There isn't anyone else going to study abroad.\I can only talk to the teachers about it.\You're studying abroad?\Just so you know,\it has nothing to do with the fact that I don't get along with Yuzuki.\I-I wouldn't have...\I've always planned to go overseas after middle school.\What? response:	You were fighting over steamed buns.
context: I can only talk to the teachers about it.\You're studying abroad?\Just so you know,\it has nothing to do with the fact that I don't get along with Yuzuki.\I-I wouldn't have...\I've always planned to go overseas after middle school.\What?\You were fighting over steamed buns. response:	That was a long time ago.
context: You're studying abroad?\Just so you know,\it has nothing to do with the fact that I don't get along with Yuzuki.\I-I wouldn't have...\I've always planned to go overseas after middle school.\What?\You were fighting over steamed buns.\That was a long time ago. response:	But she's really doing all that to get back at me.
context: Just so you know,\it has nothing to do with the fact that I don't get along with Yuzuki.\I-I wouldn't have...\I've always planned to go overseas after middle school.\What?\You were fighting over steamed buns.\That was a long time ago.\But she's really doing all that to get back at me. response:	It might be good for us to be away from each other.
context: it has nothing to do with the fact that I don't get along with Yuzuki.\I-I wouldn't have...\I've always planned to go overseas after middle school.\What?\You were fighting over steamed buns.\That was a long time ago.\But she's really doing all that to get back at me.\It might be good for us to be away from each other. response:	To get back at you?
context: I-I wouldn't have...\I've always planned to go overseas after middle school.\What?\You were fighting over steamed buns.\That was a long time ago.\But she's really doing all that to get back at me.\It might be good for us to be away from each other.\To get back at you? response:	She probably wants to bother me because she hates me.
context: I've always planned to go overseas after middle school.\What?\You were fighting over steamed buns.\That was a long time ago.\But she's really doing all that to get back at me.\It might be good for us to be away from each other.\To get back at you?\She probably wants to bother me because she hates me. response:	I don't think that's it.
context: What?\You were fighting over steamed buns.\That was a long time ago.\But she's really doing all that to get back at me.\It might be good for us to be away from each other.\To get back at you?\She probably wants to bother me because she hates me.\I don't think that's it. response:	There are still some things that haven't gone back to how they were.
context: You were fighting over steamed buns.\That was a long time ago.\But she's really doing all that to get back at me.\It might be good for us to be away from each other.\To get back at you?\She probably wants to bother me because she hates me.\I don't think that's it.\There are still some things that haven't gone back to how they were. response:	They used to launch fireworks from the lake.
context: That was a long time ago.\But she's really doing all that to get back at me.\It might be good for us to be away from each other.\To get back at you?\She probably wants to bother me because she hates me.\I don't think that's it.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake. response:	Fireworks.
context: But she's really doing all that to get back at me.\It might be good for us to be away from each other.\To get back at you?\She probably wants to bother me because she hates me.\I don't think that's it.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake.\Fireworks. response:	Yuzuki still wants to see the fireworks.
context: It might be good for us to be away from each other.\To get back at you?\She probably wants to bother me because she hates me.\I don't think that's it.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake.\Fireworks.\Yuzuki still wants to see the fireworks. response:	Fireworks?
context: To get back at you?\She probably wants to bother me because she hates me.\I don't think that's it.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake.\Fireworks.\Yuzuki still wants to see the fireworks.\Fireworks? response:	Obviously we can't.
context: She probably wants to bother me because she hates me.\I don't think that's it.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake.\Fireworks.\Yuzuki still wants to see the fireworks.\Fireworks?\Obviously we can't. response:	Why not?
