context: I happened to witness something outrageous. response:	Isn't that what people call...
context: about the people here and their secrets.\Wow, a detective novel...\Who cares about that?!\We need to discuss Tohru's job offer!\Who cares?\Whatever.\Did you know that...\our manager and Fukuya's manager response:	have been rivals for a long time now?
context: Wow, a detective novel...\Who cares about that?!\We need to discuss Tohru's job offer!\Who cares?\Whatever.\Did you know that...\our manager and Fukuya's manager\have been rivals for a long time now? response:	Yeah, I've heard the rumors.
context: Who cares about that?!\We need to discuss Tohru's job offer!\Who cares?\Whatever.\Did you know that...\our manager and Fukuya's manager\have been rivals for a long time now?\Yeah, I've heard the rumors. response:	Well, while looking for a way to crush Kissuiso,
context: We need to discuss Tohru's job offer!\Who cares?\Whatever.\Did you know that...\our manager and Fukuya's manager\have been rivals for a long time now?\Yeah, I've heard the rumors.\Well, while looking for a way to crush Kissuiso, response:	Fukuya spotted Tohru.
context: Who cares?\Whatever.\Did you know that...\our manager and Fukuya's manager\have been rivals for a long time now?\Yeah, I've heard the rumors.\Well, while looking for a way to crush Kissuiso,\Fukuya spotted Tohru. response:	The loss of a talented chef would be
context: Whatever.\Did you know that...\our manager and Fukuya's manager\have been rivals for a long time now?\Yeah, I've heard the rumors.\Well, while looking for a way to crush Kissuiso,\Fukuya spotted Tohru.\The loss of a talented chef would be response:	a huge blow to Kissuiso.
context: Did you know that...\our manager and Fukuya's manager\have been rivals for a long time now?\Yeah, I've heard the rumors.\Well, while looking for a way to crush Kissuiso,\Fukuya spotted Tohru.\The loss of a talented chef would be\a huge blow to Kissuiso. response:	Then that must've been...
context: our manager and Fukuya's manager\have been rivals for a long time now?\Yeah, I've heard the rumors.\Well, while looking for a way to crush Kissuiso,\Fukuya spotted Tohru.\The loss of a talented chef would be\a huge blow to Kissuiso.\Then that must've been... response:	I saw it last night!
context: have been rivals for a long time now?\Yeah, I've heard the rumors.\Well, while looking for a way to crush Kissuiso,\Fukuya spotted Tohru.\The loss of a talented chef would be\a huge blow to Kissuiso.\Then that must've been...\I saw it last night! response:	Are you sure, Mr. Ren?
context: Yeah, I've heard the rumors.\Well, while looking for a way to crush Kissuiso,\Fukuya spotted Tohru.\The loss of a talented chef would be\a huge blow to Kissuiso.\Then that must've been...\I saw it last night!\Are you sure, Mr. Ren? response:	You'll be okay without me?
context: Well, while looking for a way to crush Kissuiso,\Fukuya spotted Tohru.\The loss of a talented chef would be\a huge blow to Kissuiso.\Then that must've been...\I saw it last night!\Are you sure, Mr. Ren?\You'll be okay without me? response:	I can keep things going here
context: Fukuya spotted Tohru.\The loss of a talented chef would be\a huge blow to Kissuiso.\Then that must've been...\I saw it last night!\Are you sure, Mr. Ren?\You'll be okay without me?\I can keep things going here response:	even when you're not around.
context: The loss of a talented chef would be\a huge blow to Kissuiso.\Then that must've been...\I saw it last night!\Are you sure, Mr. Ren?\You'll be okay without me?\I can keep things going here\even when you're not around. response:	Okay.
context: a huge blow to Kissuiso.\Then that must've been...\I saw it last night!\Are you sure, Mr. Ren?\You'll be okay without me?\I can keep things going here\even when you're not around.\Okay. response:	I think he might've been discussing
context: Then that must've been...\I saw it last night!\Are you sure, Mr. Ren?\You'll be okay without me?\I can keep things going here\even when you're not around.\Okay.\I think he might've been discussing response:	his job offer with Mr. Ren.
context: I saw it last night!\Are you sure, Mr. Ren?\You'll be okay without me?\I can keep things going here\even when you're not around.\Okay.\I think he might've been discussing\his job offer with Mr. Ren. response:	Fukuya is a four star inn.
context: Are you sure, Mr. Ren?\You'll be okay without me?\I can keep things going here\even when you're not around.\Okay.\I think he might've been discussing\his job offer with Mr. Ren.\Fukuya is a four star inn. response:	People have a brighter future working there than here,
context: You'll be okay without me?\I can keep things going here\even when you're not around.\Okay.\I think he might've been discussing\his job offer with Mr. Ren.\Fukuya is a four star inn.\People have a brighter future working there than here, response:	since we don't get as much business as them.
context: I can keep things going here\even when you're not around.\Okay.\I think he might've been discussing\his job offer with Mr. Ren.\Fukuya is a four star inn.\People have a brighter future working there than here,\since we don't get as much business as them. response:	That's saying too much, don't you think?
context: even when you're not around.\Okay.\I think he might've been discussing\his job offer with Mr. Ren.\Fukuya is a four star inn.\People have a brighter future working there than here,\since we don't get as much business as them.\That's saying too much, don't you think? response:	Mr. Ren pointed Tohru, who has great talent,
context: Okay.\I think he might've been discussing\his job offer with Mr. Ren.\Fukuya is a four star inn.\People have a brighter future working there than here,\since we don't get as much business as them.\That's saying too much, don't you think?\Mr. Ren pointed Tohru, who has great talent, response:	towards a better path.
context: I think he might've been discussing\his job offer with Mr. Ren.\Fukuya is a four star inn.\People have a brighter future working there than here,\since we don't get as much business as them.\That's saying too much, don't you think?\Mr. Ren pointed Tohru, who has great talent,\towards a better path. response:	That's my conclusion.
context: his job offer with Mr. Ren.\Fukuya is a four star inn.\People have a brighter future working there than here,\since we don't get as much business as them.\That's saying too much, don't you think?\Mr. Ren pointed Tohru, who has great talent,\towards a better path.\That's my conclusion. response:	But that's so sudden...
context: Fukuya is a four star inn.\People have a brighter future working there than here,\since we don't get as much business as them.\That's saying too much, don't you think?\Mr. Ren pointed Tohru, who has great talent,\towards a better path.\That's my conclusion.\But that's so sudden... response:	We didn't even have the chance to throw a farewell party for him...
context: People have a brighter future working there than here,\since we don't get as much business as them.\That's saying too much, don't you think?\Mr. Ren pointed Tohru, who has great talent,\towards a better path.\That's my conclusion.\But that's so sudden...\We didn't even have the chance to throw a farewell party for him... response:	But Tohru sure is good.
context: since we don't get as much business as them.\That's saying too much, don't you think?\Mr. Ren pointed Tohru, who has great talent,\towards a better path.\That's my conclusion.\But that's so sudden...\We didn't even have the chance to throw a farewell party for him...\But Tohru sure is good. response:	He's already gotten friendly
context: That's saying too much, don't you think?\Mr. Ren pointed Tohru, who has great talent,\towards a better path.\That's my conclusion.\But that's so sudden...\We didn't even have the chance to throw a farewell party for him...\But Tohru sure is good.\He's already gotten friendly response:	with the successor to Fukuya-
context: Mr. Ren pointed Tohru, who has great talent,\towards a better path.\That's my conclusion.\But that's so sudden...\We didn't even have the chance to throw a farewell party for him...\But Tohru sure is good.\He's already gotten friendly\with the successor to Fukuya- response:	That's not true!
context: towards a better path.\That's my conclusion.\But that's so sudden...\We didn't even have the chance to throw a farewell party for him...\But Tohru sure is good.\He's already gotten friendly\with the successor to Fukuya-\That's not true! response:	Minchi!
context: That's my conclusion.\But that's so sudden...\We didn't even have the chance to throw a farewell party for him...\But Tohru sure is good.\He's already gotten friendly\with the successor to Fukuya-\That's not true!\Minchi! response:	He may appear abrupt and cold,
context: But that's so sudden...\We didn't even have the chance to throw a farewell party for him...\But Tohru sure is good.\He's already gotten friendly\with the successor to Fukuya-\That's not true!\Minchi!\He may appear abrupt and cold, response:	but in reality he treasures the people working here
context: We didn't even have the chance to throw a farewell party for him...\But Tohru sure is good.\He's already gotten friendly\with the successor to Fukuya-\That's not true!\Minchi!\He may appear abrupt and cold,\but in reality he treasures the people working here response:	and his job more than anyone else!
context: But Tohru sure is good.\He's already gotten friendly\with the successor to Fukuya-\That's not true!\Minchi!\He may appear abrupt and cold,\but in reality he treasures the people working here\and his job more than anyone else! response:	There's no way that Tohru would do something like that!
context: He's already gotten friendly\with the successor to Fukuya-\That's not true!\Minchi!\He may appear abrupt and cold,\but in reality he treasures the people working here\and his job more than anyone else!\There's no way that Tohru would do something like that! response:	Am I going to be killed with a grater?
context: with the successor to Fukuya-\That's not true!\Minchi!\He may appear abrupt and cold,\but in reality he treasures the people working here\and his job more than anyone else!\There's no way that Tohru would do something like that!\Am I going to be killed with a grater? response:	Fine! Let's ask him ourselves!
context: That's not true!\Minchi!\He may appear abrupt and cold,\but in reality he treasures the people working here\and his job more than anyone else!\There's no way that Tohru would do something like that!\Am I going to be killed with a grater?\Fine! Let's ask him ourselves! response:	Actually, Tohru isn't...
context: Minchi!\He may appear abrupt and cold,\but in reality he treasures the people working here\and his job more than anyone else!\There's no way that Tohru would do something like that!\Am I going to be killed with a grater?\Fine! Let's ask him ourselves!\Actually, Tohru isn't... response:	He's not in today?
context: He may appear abrupt and cold,\but in reality he treasures the people working here\and his job more than anyone else!\There's no way that Tohru would do something like that!\Am I going to be killed with a grater?\Fine! Let's ask him ourselves!\Actually, Tohru isn't...\He's not in today? response:	We were too late.
context: but in reality he treasures the people working here\and his job more than anyone else!\There's no way that Tohru would do something like that!\Am I going to be killed with a grater?\Fine! Let's ask him ourselves!\Actually, Tohru isn't...\He's not in today?\We were too late. response:	He's flown the coop...
context: and his job more than anyone else!\There's no way that Tohru would do something like that!\Am I going to be killed with a grater?\Fine! Let's ask him ourselves!\Actually, Tohru isn't...\He's not in today?\We were too late.\He's flown the coop... response:	leaving us behind.
context: There's no way that Tohru would do something like that!\Am I going to be killed with a grater?\Fine! Let's ask him ourselves!\Actually, Tohru isn't...\He's not in today?\We were too late.\He's flown the coop...\leaving us behind. response:	Minchi...
context: Am I going to be killed with a grater?\Fine! Let's ask him ourselves!\Actually, Tohru isn't...\He's not in today?\We were too late.\He's flown the coop...\leaving us behind.\Minchi... response:	The white croaker will soon be done.
context: Fine! Let's ask him ourselves!\Actually, Tohru isn't...\He's not in today?\We were too late.\He's flown the coop...\leaving us behind.\Minchi...\The white croaker will soon be done. response:	How's the pepper leaf bud doing?
context: Actually, Tohru isn't...\He's not in today?\We were too late.\He's flown the coop...\leaving us behind.\Minchi...\The white croaker will soon be done.\How's the pepper leaf bud doing? response:	It'll be finished soon.
context: He's not in today?\We were too late.\He's flown the coop...\leaving us behind.\Minchi...\The white croaker will soon be done.\How's the pepper leaf bud doing?\It'll be finished soon. response:	Why...
context: We were too late.\He's flown the coop...\leaving us behind.\Minchi...\The white croaker will soon be done.\How's the pepper leaf bud doing?\It'll be finished soon.\Why... response:	did Tohru leave for Fukuya?
context: He's flown the coop...\leaving us behind.\Minchi...\The white croaker will soon be done.\How's the pepper leaf bud doing?\It'll be finished soon.\Why...\did Tohru leave for Fukuya? response:	You're serious about being a chef too, right?
context: leaving us behind.\Minchi...\The white croaker will soon be done.\How's the pepper leaf bud doing?\It'll be finished soon.\Why...\did Tohru leave for Fukuya?\You're serious about being a chef too, right? response:	Yes.
context: Minchi...\The white croaker will soon be done.\How's the pepper leaf bud doing?\It'll be finished soon.\Why...\did Tohru leave for Fukuya?\You're serious about being a chef too, right?\Yes. response:	Then you'll eventually find out the answer yourself.
context: The white croaker will soon be done.\How's the pepper leaf bud doing?\It'll be finished soon.\Why...\did Tohru leave for Fukuya?\You're serious about being a chef too, right?\Yes.\Then you'll eventually find out the answer yourself. response:	But-
context: How's the pepper leaf bud doing?\It'll be finished soon.\Why...\did Tohru leave for Fukuya?\You're serious about being a chef too, right?\Yes.\Then you'll eventually find out the answer yourself.\But- response:	That's what happens when you don't focus.
context: It'll be finished soon.\Why...\did Tohru leave for Fukuya?\You're serious about being a chef too, right?\Yes.\Then you'll eventually find out the answer yourself.\But-\That's what happens when you don't focus. response:	I'm sorry. I'll finish cutting these-
context: Why...\did Tohru leave for Fukuya?\You're serious about being a chef too, right?\Yes.\Then you'll eventually find out the answer yourself.\But-\That's what happens when you don't focus.\I'm sorry. I'll finish cutting these- response:	Are you out of your mind?
context: did Tohru leave for Fukuya?\You're serious about being a chef too, right?\Yes.\Then you'll eventually find out the answer yourself.\But-\That's what happens when you don't focus.\I'm sorry. I'll finish cutting these-\Are you out of your mind? response:	Do you plan on
context: You're serious about being a chef too, right?\Yes.\Then you'll eventually find out the answer yourself.\But-\That's what happens when you don't focus.\I'm sorry. I'll finish cutting these-\Are you out of your mind?\Do you plan on response:	handling the customers' food with your hand like that?
context: Yes.\Then you'll eventually find out the answer yourself.\But-\That's what happens when you don't focus.\I'm sorry. I'll finish cutting these-\Are you out of your mind?\Do you plan on\handling the customers' food with your hand like that? response:	I'll do the rest!
context: Then you'll eventually find out the answer yourself.\But-\That's what happens when you don't focus.\I'm sorry. I'll finish cutting these-\Are you out of your mind?\Do you plan on\handling the customers' food with your hand like that?\I'll do the rest! response:	Minko...
context: But-\That's what happens when you don't focus.\I'm sorry. I'll finish cutting these-\Are you out of your mind?\Do you plan on\handling the customers' food with your hand like that?\I'll do the rest!\Minko... response:	My, my. This is a pretty bad case.
context: That's what happens when you don't focus.\I'm sorry. I'll finish cutting these-\Are you out of your mind?\Do you plan on\handling the customers' food with your hand like that?\I'll do the rest!\Minko...\My, my. This is a pretty bad case. response:	Although, you can't exactly blame her.
context: I'm sorry. I'll finish cutting these-\Are you out of your mind?\Do you plan on\handling the customers' food with your hand like that?\I'll do the rest!\Minko...\My, my. This is a pretty bad case.\Although, you can't exactly blame her. response:	Her savior's no longer here.
context: Are you out of your mind?\Do you plan on\handling the customers' food with your hand like that?\I'll do the rest!\Minko...\My, my. This is a pretty bad case.\Although, you can't exactly blame her.\Her savior's no longer here. response:	Her savior?
context: Do you plan on\handling the customers' food with your hand like that?\I'll do the rest!\Minko...\My, my. This is a pretty bad case.\Although, you can't exactly blame her.\Her savior's no longer here.\Her savior? response:	The one who allowed her to work here
context: handling the customers' food with your hand like that?\I'll do the rest!\Minko...\My, my. This is a pretty bad case.\Although, you can't exactly blame her.\Her savior's no longer here.\Her savior?\The one who allowed her to work here response:	was Tohru actually.
context: I'll do the rest!\Minko...\My, my. This is a pretty bad case.\Although, you can't exactly blame her.\Her savior's no longer here.\Her savior?\The one who allowed her to work here\was Tohru actually. response:	Apparently, Minko wanted to be a chef
context: Minko...\My, my. This is a pretty bad case.\Although, you can't exactly blame her.\Her savior's no longer here.\Her savior?\The one who allowed her to work here\was Tohru actually.\Apparently, Minko wanted to be a chef response:	without even attending high school.
context: My, my. This is a pretty bad case.\Although, you can't exactly blame her.\Her savior's no longer here.\Her savior?\The one who allowed her to work here\was Tohru actually.\Apparently, Minko wanted to be a chef\without even attending high school. response:	However, her parents were against it.
context: Although, you can't exactly blame her.\Her savior's no longer here.\Her savior?\The one who allowed her to work here\was Tohru actually.\Apparently, Minko wanted to be a chef\without even attending high school.\However, her parents were against it. response:	She refused to give up her dream,
context: Her savior's no longer here.\Her savior?\The one who allowed her to work here\was Tohru actually.\Apparently, Minko wanted to be a chef\without even attending high school.\However, her parents were against it.\She refused to give up her dream, response:	so she started looking for places that would train her.
context: Her savior?\The one who allowed her to work here\was Tohru actually.\Apparently, Minko wanted to be a chef\without even attending high school.\However, her parents were against it.\She refused to give up her dream,\so she started looking for places that would train her. response:	I'm begging you.
context: The one who allowed her to work here\was Tohru actually.\Apparently, Minko wanted to be a chef\without even attending high school.\However, her parents were against it.\She refused to give up her dream,\so she started looking for places that would train her.\I'm begging you. response:	Please let me work here!
context: was Tohru actually.\Apparently, Minko wanted to be a chef\without even attending high school.\However, her parents were against it.\She refused to give up her dream,\so she started looking for places that would train her.\I'm begging you.\Please let me work here! response:	But...
context: Apparently, Minko wanted to be a chef\without even attending high school.\However, her parents were against it.\She refused to give up her dream,\so she started looking for places that would train her.\I'm begging you.\Please let me work here!\But... response:	Your parents are against this, aren't they?
context: without even attending high school.\However, her parents were against it.\She refused to give up her dream,\so she started looking for places that would train her.\I'm begging you.\Please let me work here!\But...\Your parents are against this, aren't they? response:	But...
context: However, her parents were against it.\She refused to give up her dream,\so she started looking for places that would train her.\I'm begging you.\Please let me work here!\But...\Your parents are against this, aren't they?\But... response:	Being a chef isn't as easy as you think it is.
context: She refused to give up her dream,\so she started looking for places that would train her.\I'm begging you.\Please let me work here!\But...\Your parents are against this, aren't they?\But...\Being a chef isn't as easy as you think it is. response:	Do you think you'll be able to keep it up?
context: so she started looking for places that would train her.\I'm begging you.\Please let me work here!\But...\Your parents are against this, aren't they?\But...\Being a chef isn't as easy as you think it is.\Do you think you'll be able to keep it up? response:	Yes!
context: I'm begging you.\Please let me work here!\But...\Your parents are against this, aren't they?\But...\Being a chef isn't as easy as you think it is.\Do you think you'll be able to keep it up?\Yes! response:	Then show me what you can do.
context: Please let me work here!\But...\Your parents are against this, aren't they?\But...\Being a chef isn't as easy as you think it is.\Do you think you'll be able to keep it up?\Yes!\Then show me what you can do. response:	I'm finished.
context: But...\Your parents are against this, aren't they?\But...\Being a chef isn't as easy as you think it is.\Do you think you'll be able to keep it up?\Yes!\Then show me what you can do.\I'm finished. response:	It's rather thick, isn't it?
context: Your parents are against this, aren't they?\But...\Being a chef isn't as easy as you think it is.\Do you think you'll be able to keep it up?\Yes!\Then show me what you can do.\I'm finished.\It's rather thick, isn't it? response:	Too thick.
context: But...\Being a chef isn't as easy as you think it is.\Do you think you'll be able to keep it up?\Yes!\Then show me what you can do.\I'm finished.\It's rather thick, isn't it?\Too thick. response:	I'm appalled that you decided to
context: Being a chef isn't as easy as you think it is.\Do you think you'll be able to keep it up?\Yes!\Then show me what you can do.\I'm finished.\It's rather thick, isn't it?\Too thick.\I'm appalled that you decided to response:	become a chef with this level of skill.
context: Do you think you'll be able to keep it up?\Yes!\Then show me what you can do.\I'm finished.\It's rather thick, isn't it?\Too thick.\I'm appalled that you decided to\become a chef with this level of skill. response:	She still has a lot she needs to work on.
context: Yes!\Then show me what you can do.\I'm finished.\It's rather thick, isn't it?\Too thick.\I'm appalled that you decided to\become a chef with this level of skill.\She still has a lot she needs to work on. response:	Madam Manager, Mr. Ren,
context: Then show me what you can do.\I'm finished.\It's rather thick, isn't it?\Too thick.\I'm appalled that you decided to\become a chef with this level of skill.\She still has a lot she needs to work on.\Madam Manager, Mr. Ren, response:	could you let her work here
context: I'm finished.\It's rather thick, isn't it?\Too thick.\I'm appalled that you decided to\become a chef with this level of skill.\She still has a lot she needs to work on.\Madam Manager, Mr. Ren,\could you let her work here response:	until she can at least be of some use?
context: It's rather thick, isn't it?\Too thick.\I'm appalled that you decided to\become a chef with this level of skill.\She still has a lot she needs to work on.\Madam Manager, Mr. Ren,\could you let her work here\until she can at least be of some use? response:	Although she's still a rookie,
context: Too thick.\I'm appalled that you decided to\become a chef with this level of skill.\She still has a lot she needs to work on.\Madam Manager, Mr. Ren,\could you let her work here\until she can at least be of some use?\Although she's still a rookie, response:	I can tell that she has the right mindset.
context: I'm appalled that you decided to\become a chef with this level of skill.\She still has a lot she needs to work on.\Madam Manager, Mr. Ren,\could you let her work here\until she can at least be of some use?\Although she's still a rookie,\I can tell that she has the right mindset. response:	What do you want to do, Mr. Ren?
context: become a chef with this level of skill.\She still has a lot she needs to work on.\Madam Manager, Mr. Ren,\could you let her work here\until she can at least be of some use?\Although she's still a rookie,\I can tell that she has the right mindset.\What do you want to do, Mr. Ren? response:	You're in charge of training her in the basics.
context: She still has a lot she needs to work on.\Madam Manager, Mr. Ren,\could you let her work here\until she can at least be of some use?\Although she's still a rookie,\I can tell that she has the right mindset.\What do you want to do, Mr. Ren?\You're in charge of training her in the basics. response:	Yes, sir.
context: Madam Manager, Mr. Ren,\could you let her work here\until she can at least be of some use?\Although she's still a rookie,\I can tell that she has the right mindset.\What do you want to do, Mr. Ren?\You're in charge of training her in the basics.\Yes, sir. response:	What are you looking so dumbfounded for?
context: could you let her work here\until she can at least be of some use?\Although she's still a rookie,\I can tell that she has the right mindset.\What do you want to do, Mr. Ren?\You're in charge of training her in the basics.\Yes, sir.\What are you looking so dumbfounded for? response:	Chefs need to wake up early,
context: until she can at least be of some use?\Although she's still a rookie,\I can tell that she has the right mindset.\What do you want to do, Mr. Ren?\You're in charge of training her in the basics.\Yes, sir.\What are you looking so dumbfounded for?\Chefs need to wake up early, response:	kitchen hand.
context: Although she's still a rookie,\I can tell that she has the right mindset.\What do you want to do, Mr. Ren?\You're in charge of training her in the basics.\Yes, sir.\What are you looking so dumbfounded for?\Chefs need to wake up early,\kitchen hand. response:	Th-Thank you!
context: I can tell that she has the right mindset.\What do you want to do, Mr. Ren?\You're in charge of training her in the basics.\Yes, sir.\What are you looking so dumbfounded for?\Chefs need to wake up early,\kitchen hand.\Th-Thank you! response:	I see...
context: What do you want to do, Mr. Ren?\You're in charge of training her in the basics.\Yes, sir.\What are you looking so dumbfounded for?\Chefs need to wake up early,\kitchen hand.\Th-Thank you!\I see... response:	Check up on her, okay?
context: You're in charge of training her in the basics.\Yes, sir.\What are you looking so dumbfounded for?\Chefs need to wake up early,\kitchen hand.\Th-Thank you!\I see...\Check up on her, okay? response:	Nako and I will finish the rest.
context: Yes, sir.\What are you looking so dumbfounded for?\Chefs need to wake up early,\kitchen hand.\Th-Thank you!\I see...\Check up on her, okay?\Nako and I will finish the rest. response:	Okay!
